ko:K06896	efn:DENG_01017
ko:K02959	efn:DENG_01872
ko:K03106	efn:DENG_01877
ko:K09787	efn:DENG_01878
ko:K07658	efn:DENG_01880
ko:K07636	efn:DENG_01882
ko:K02040	efn:DENG_01883
ko:K00841	efn:DENG_01884
ko:K01191	efn:DENG_01886
ko:K09704	efn:DENG_01887
ko:K01674	efn:DENG_01890
ko:K00762	efn:DENG_01891
ko:K01591	efn:DENG_01892
ko:K17828	efn:DENG_01893
ko:K02823	efn:DENG_01894
ko:K02761	efn:DENG_02010
ko:K01579	efn:DENG_02015
ko:K01918	efn:DENG_02016
ko:K00606	efn:DENG_02017
ko:K02004	efn:DENG_02025
ko:K02003	efn:DENG_02026
ko:K02004	efn:DENG_02027
ko:K02884	efn:DENG_02059
ko:K00554	efn:DENG_02060
ko:K02860	efn:DENG_02061
ko:K03322	efn:DENG_02062
ko:K00868	efn:DENG_02127
ko:K01876	efn:DENG_02129
ko:K01892	efn:DENG_02130
ko:K07560	efn:DENG_02131
ko:K00951	efn:DENG_02132
ko:K09761	efn:DENG_02133
ko:K02687	efn:DENG_02134
ko:K03652	efn:DENG_02136
ko:K07478	efn:DENG_02137
ko:K00925	efn:DENG_02140
ko:K02248	efn:DENG_02144
ko:K02246	efn:DENG_02146
ko:K02245	efn:DENG_02147
ko:K02244	efn:DENG_02148
ko:K02243	efn:DENG_02149
ko:K03294	efn:DENG_02150
ko:K06941	efn:DENG_02151
ko:K11636	efn:DENG_02152
ko:K11635	efn:DENG_02153
ko:K03466	efn:DENG_02155
ko:K03885	efn:DENG_02156
ko:K02548	efn:DENG_02157
ko:K00805	efn:DENG_02158
ko:K16012	efn:DENG_02159
ko:K16013	efn:DENG_02160
ko:K00426	efn:DENG_02161
ko:K00425	efn:DENG_02162
ko:K13653	efn:DENG_02164
ko:K06910	efn:DENG_02168
ko:K08161	efn:DENG_02169
ko:K00566	efn:DENG_02171
ko:K04487	efn:DENG_02174
ko:K00948	efn:DENG_02175
ko:K02073	efn:DENG_02183
ko:K02851	efn:DENG_02242
ko:K07058	efn:DENG_02244
ko:K01265	efn:DENG_02245
ko:K11991	efn:DENG_02252
ko:K06973	efn:DENG_02256
ko:K02818	efn:DENG_02261
ko:K02819	efn:DENG_02261
ko:K08234	efn:DENG_02262
ko:K07720	efn:DENG_02267
ko:K07718	efn:DENG_02268
ko:K17318	efn:DENG_02270
ko:K17320	efn:DENG_02272
ko:K17319	efn:DENG_02273
ko:K06147	efn:DENG_02277
ko:K06147	efn:DENG_02278
ko:K01867	efn:DENG_02279
ko:K02026	efn:DENG_02283
ko:K02025	efn:DENG_02284
ko:K02027	efn:DENG_02285
ko:K02529	efn:DENG_02291
ko:K03307	efn:DENG_02294
ko:K03335	efn:DENG_02295
ko:K00010	efn:DENG_02296
ko:K00010	efn:DENG_02297
ko:K00140	efn:DENG_02298
ko:K03337	efn:DENG_02299
ko:K03336	efn:DENG_02300
ko:K01879	efn:DENG_02361
ko:K01878	efn:DENG_02362
ko:K03584	efn:DENG_02364
ko:K07042	efn:DENG_02367
ko:K07037	efn:DENG_02368
ko:K09117	efn:DENG_02370
ko:K02970	efn:DENG_02371
ko:K02076	efn:DENG_02372
ko:K09773	efn:DENG_02373
ko:K00872	efn:DENG_02374
ko:K01733	efn:DENG_02375
ko:K00003	efn:DENG_02376
ko:K00286	efn:DENG_02378
ko:K01835	efn:DENG_02379
ko:K00364	efn:DENG_02385
ko:K01487	efn:DENG_02388
ko:K02809	efn:DENG_02392
ko:K02810	efn:DENG_02392
ko:K07106	efn:DENG_02393
ko:K09963	efn:DENG_02394
ko:K06153	efn:DENG_02397
ko:K07220	efn:DENG_02399
ko:K03306	efn:DENG_02400
ko:K02968	efn:DENG_02402
ko:K00077	efn:DENG_02404
ko:K02340	efn:DENG_02405
ko:K02238	efn:DENG_02406
ko:K02237	efn:DENG_02408
ko:K07177	efn:DENG_02409
ko:K00954	efn:DENG_02410
ko:K01958	efn:DENG_02415
ko:K03588	efn:DENG_02416
ko:K03654	efn:DENG_02418
ko:K00942	efn:DENG_02534
ko:K01223	efn:DENG_02535
ko:K02755	efn:DENG_02536
ko:K02756	efn:DENG_02536
ko:K02757	efn:DENG_02536
ko:K03488	efn:DENG_02537
ko:K01118	efn:DENG_02538
ko:K02781	efn:DENG_02540
ko:K00790	efn:DENG_02542
ko:K02114	efn:DENG_02544
ko:K02112	efn:DENG_02545
ko:K02115	efn:DENG_02546
ko:K02111	efn:DENG_02548
ko:K02113	efn:DENG_02549
ko:K01951	efn:DENG_00136
ko:K00867	efn:DENG_00137
ko:K00564	efn:DENG_00140
ko:K01488	efn:DENG_00141
ko:K02529	efn:DENG_00142
ko:K00756	efn:DENG_00144
ko:K01619	efn:DENG_00145
ko:K01489	efn:DENG_00146
ko:K07335	efn:DENG_00148
ko:K07335	efn:DENG_00149
ko:K02056	efn:DENG_00151
ko:K02057	efn:DENG_00152
ko:K02057	efn:DENG_00154
ko:K01839	efn:DENG_00161
ko:K03783	efn:DENG_00162
ko:K03784	efn:DENG_00163
ko:K02016	efn:DENG_00164
ko:K02013	efn:DENG_00166
ko:K02015	efn:DENG_00167
ko:K02015	efn:DENG_00168
ko:K01834	efn:DENG_00171
ko:K01807	efn:DENG_00173
ko:K02950	efn:DENG_00174
ko:K02992	efn:DENG_00175
ko:K02355	efn:DENG_00176
ko:K02358	efn:DENG_00177
ko:K00868	efn:DENG_00178
ko:K00574	efn:DENG_00179
ko:K02946	efn:DENG_00181
ko:K02906	efn:DENG_00182
ko:K02926	efn:DENG_00183
ko:K02892	efn:DENG_00184
ko:K02886	efn:DENG_00185
ko:K02965	efn:DENG_00187
ko:K02890	efn:DENG_00189
ko:K02982	efn:DENG_00190
ko:K02878	efn:DENG_00191
ko:K02904	efn:DENG_00192
ko:K02961	efn:DENG_00193
ko:K02874	efn:DENG_00194
ko:K02895	efn:DENG_00195
ko:K02931	efn:DENG_00196
ko:K02954	efn:DENG_00197
ko:K02994	efn:DENG_00198
ko:K02933	efn:DENG_00199
ko:K03488	efn:DENG_00253
ko:K02755	efn:DENG_00254
ko:K02756	efn:DENG_00254
ko:K02757	efn:DENG_00254
ko:K01223	efn:DENG_00255
ko:K01223	efn:DENG_00256
ko:K13530	efn:DENG_00260
ko:K13531	efn:DENG_00261
ko:K01246	efn:DENG_00262
ko:K06950	efn:DENG_00263
ko:K00208	efn:DENG_00266
ko:K09458	efn:DENG_00267
ko:K02372	efn:DENG_00268
ko:K00226	efn:DENG_00270
ko:K02356	efn:DENG_00272
ko:K01738	efn:DENG_00274
ko:K01760	efn:DENG_00275
ko:K01223	efn:DENG_00276
ko:K02761	efn:DENG_00277
ko:K03498	efn:DENG_00280
ko:K17686	efn:DENG_00283
ko:K01372	efn:DENG_00287
ko:K07729	efn:DENG_00292
ko:K15975	efn:DENG_00347
ko:K02109	efn:DENG_02550
ko:K02110	efn:DENG_02551
