ko:K21344	rsm:CMR15_20031
ko:K15977	rsm:CMR15_mp20144
ko:K15726	rsm:CMR15_mp20148
ko:K02379	rsm:CMR15_mp20158
ko:K03549	rsm:CMR15_mp20160
ko:K03704	rsm:CMR15_mp20161
ko:K02392	rsm:CMR15_mp10322
ko:K02393	rsm:CMR15_mp10323
ko:K02394	rsm:CMR15_mp10324
ko:K02395	rsm:CMR15_mp10325
ko:K00404	rsm:CMR15_mp20074
ko:K03701	rsm:CMR15_mp20075
ko:K11103	rsm:CMR15_mp20076
ko:K07246	rsm:CMR15_mp20077
ko:K02472	rsm:CMR15_mp20096
ko:K16692	rsm:CMR15_mp20098
ko:K01991	rsm:CMR15_mp20100
ko:K07044	rsm:CMR15_mp20113
ko:K00140	rsm:CMR15_mp20164
ko:K00822	rsm:CMR15_mp20165
ko:K01574	rsm:CMR15_mp20167
ko:K00019	rsm:CMR15_mp20168
ko:K07001	rsm:CMR15_mp20169
ko:K16090	rsm:CMR15_mp20171
ko:K15125	rsm:CMR15_mp20179
ko:K12511	rsm:CMR15_mp20189
ko:K12510	rsm:CMR15_mp20190
ko:K02283	rsm:CMR15_mp20191
ko:K02282	rsm:CMR15_mp20192
ko:K02280	rsm:CMR15_mp20193
ko:K02279	rsm:CMR15_mp20194
ko:K02278	rsm:CMR15_mp20196
ko:K02651	rsm:CMR15_mp20197
ko:K01425	rsm:CMR15_mp20252
ko:K02018	rsm:CMR15_mp20253
ko:K02019	rsm:CMR15_mp20255
ko:K09984	rsm:CMR15_mp20261
ko:K07664	rsm:CMR15_mp20264
ko:K07642	rsm:CMR15_mp20265
ko:K00428	rsm:CMR15_mp20276
ko:K09165	rsm:CMR15_mp20278
ko:K12543	rsm:CMR15_mp20284
ko:K12541	rsm:CMR15_mp20285
ko:K12542	rsm:CMR15_mp20286
ko:K00874	rsm:CMR15_mp20287
ko:K01753	rsm:CMR15_mp20288
ko:K06015	rsm:CMR15_mp20290
ko:K01625	rsm:CMR15_mp20293
ko:K00847	rsm:CMR15_mp20383
ko:K02024	rsm:CMR15_mp20386
ko:K01193	rsm:CMR15_mp20387
ko:K03484	rsm:CMR15_mp20389
ko:K02655	rsm:CMR15_mp20390
ko:K02673	rsm:CMR15_mp20392
ko:K02672	rsm:CMR15_mp20393
ko:K02671	rsm:CMR15_mp20394
ko:K08084	rsm:CMR15_mp20395
ko:K01611	rsm:CMR15_mp20399
ko:K08989	rsm:CMR15_mp20403
ko:K01999	rsm:CMR15_mp20404
ko:K01997	rsm:CMR15_mp20405
ko:K01998	rsm:CMR15_mp20406
ko:K01995	rsm:CMR15_mp20407
ko:K01996	rsm:CMR15_mp20408
ko:K00797	rsm:CMR15_mp20409
ko:K01061	rsm:CMR15_mp20411
ko:K08987	rsm:CMR15_mp20412
ko:K07152	rsm:CMR15_mp30145
ko:K04561	rsm:CMR15_mp30149
ko:K03710	rsm:CMR15_mp30150
ko:K14205	rsm:CMR15_mp30168
ko:K14260	rsm:CMR15_20537
ko:K00003	rsm:CMR15_20538
ko:K01733	rsm:CMR15_20539
ko:K03750	rsm:CMR15_20541
ko:K03636	rsm:CMR15_20542
ko:K06199	rsm:CMR15_20544
ko:K07518	rsm:CMR15_20545
ko:K03695	rsm:CMR15_20546
ko:K02048	rsm:CMR15_20548
ko:K00299	rsm:CMR15_20549
ko:K15553	rsm:CMR15_20550
ko:K15554	rsm:CMR15_20552
ko:K07002	rsm:CMR15_20556
ko:K02046	rsm:CMR15_20557
ko:K02047	rsm:CMR15_20558
ko:K02045	rsm:CMR15_20559
ko:K13635	rsm:CMR15_20560
ko:K01652	rsm:CMR15_20564
ko:K02553	rsm:CMR15_20565
ko:K01637	rsm:CMR15_20569
ko:K01638	rsm:CMR15_20573
ko:K03789	rsm:CMR15_20578
ko:K01153	rsm:CMR15_30585
ko:K01154	rsm:CMR15_30586
ko:K03427	rsm:CMR15_30587
