ko:K19405	ctfw:SWFP_7321
ko:K09710	ctfw:SWFP_8451
ko:K09458	ctfw:SWFP_8461
ko:K01507	ctfw:SWFP_8481
ko:K00263	ctfw:SWFP_8491
ko:K01082	ctfw:SWFP_8501
ko:K00655	ctfw:SWFP_8511
ko:K01909	ctfw:SWFP_8521
ko:K00652	ctfw:SWFP_8531
ko:K04066	ctfw:SWFP_8541
ko:K04567	ctfw:SWFP_8571
ko:K01883	ctfw:SWFP_8581
ko:K03536	ctfw:SWFP_8611
ko:K02914	ctfw:SWFP_8621
ko:K02919	ctfw:SWFP_8631
ko:K02954	ctfw:SWFP_8641
ko:K03703	ctfw:SWFP_8681
ko:K03555	ctfw:SWFP_8691
ko:K14164	ctfw:SWFP_8741
ko:K00995	ctfw:SWFP_8751
ko:K00703	ctfw:SWFP_8761
ko:K00873	ctfw:SWFP_3571
ko:K03701	ctfw:SWFP_3581
ko:K02343	ctfw:SWFP_3591
ko:K09747	ctfw:SWFP_3601
ko:K08483	ctfw:SWFP_3611
ko:K11189	ctfw:SWFP_3621
ko:K11381	ctfw:SWFP_3661
ko:K03686	ctfw:SWFP_3671
ko:K02970	ctfw:SWFP_3681
ko:K01338	ctfw:SWFP_3701
ko:K00784	ctfw:SWFP_3721
ko:K03733	ctfw:SWFP_3731
ko:K06287	ctfw:SWFP_3751
ko:K03075	ctfw:SWFP_3781
ko:K01462	ctfw:SWFP_3791
ko:K02528	ctfw:SWFP_3801
ko:K06888	ctfw:SWFP_3821
ko:K03523	ctfw:SWFP_3871
ko:K01714	ctfw:SWFP_3891
ko:K00928	ctfw:SWFP_3901
ko:K00133	ctfw:SWFP_3911
ko:K00215	ctfw:SWFP_3921
ko:K00800	ctfw:SWFP_3941
ko:K00891	ctfw:SWFP_3951
ko:K01736	ctfw:SWFP_3961
ko:K01735	ctfw:SWFP_3971
ko:K13832	ctfw:SWFP_3981
ko:K03758	ctfw:SWFP_4021
ko:K00024	ctfw:SWFP_4041
ko:K01934	ctfw:SWFP_7021
ko:K03581	ctfw:SWFP_7051
ko:K06861	ctfw:SWFP_7071
ko:K01627	ctfw:SWFP_7091
ko:K06180	ctfw:SWFP_7131
ko:K06960	ctfw:SWFP_7141
ko:K02469	ctfw:SWFP_7151
ko:K02470	ctfw:SWFP_7161
ko:K02492	ctfw:SWFP_7171
ko:K03224	ctfw:SWFP_7241
ko:K02417	ctfw:SWFP_7271
ko:K03219	ctfw:SWFP_7291
ko:K02838	ctfw:SWFP_7381
ko:K09903	ctfw:SWFP_7391
ko:K02357	ctfw:SWFP_7401
ko:K02967	ctfw:SWFP_7411
ko:K03162	ctfw:SWFP_7441
ko:K09013	ctfw:SWFP_7481
ko:K09015	ctfw:SWFP_7491
ko:K11717	ctfw:SWFP_7501
ko:K07220	ctfw:SWFP_7541
ko:K03306	ctfw:SWFP_7551
ko:K00927	ctfw:SWFP_7561
ko:K10773	ctfw:SWFP_7601
ko:K03650	ctfw:SWFP_7611
ko:K01810	ctfw:SWFP_4061
ko:K03665	ctfw:SWFP_4071
ko:K06167	ctfw:SWFP_4081
ko:K09996	ctfw:SWFP_4091
ko:K03856	ctfw:SWFP_4101
ko:K03671	ctfw:SWFP_5861
ko:K03216	ctfw:SWFP_5871
ko:K01876	ctfw:SWFP_5891
ko:K01892	ctfw:SWFP_5901
ko:K07783	ctfw:SWFP_5911
ko:K02337	ctfw:SWFP_5921
ko:K07258	ctfw:SWFP_5981
ko:K03311	ctfw:SWFP_6011
ko:K00382	ctfw:SWFP_6041
ko:K03644	ctfw:SWFP_6051
ko:K03222	ctfw:SWFP_6061
ko:K03223	ctfw:SWFP_6081
ko:K03226	ctfw:SWFP_6091
ko:K03227	ctfw:SWFP_6101
ko:K03228	ctfw:SWFP_6111
ko:K02455	ctfw:SWFP_6171
ko:K02454	ctfw:SWFP_6181
ko:K02453	ctfw:SWFP_6191
ko:K01262	ctfw:SWFP_6211
ko:K03572	ctfw:SWFP_6221
ko:K01868	ctfw:SWFP_6281
ko:K01867	ctfw:SWFP_6321
ko:K03702	ctfw:SWFP_6331
ko:K01689	ctfw:SWFP_6341
ko:K07315	ctfw:SWFP_6351
ko:K00240	ctfw:SWFP_6381
ko:K00239	ctfw:SWFP_6391
ko:K02996	ctfw:SWFP_1321
ko:K00939	ctfw:SWFP_1341
ko:K02029	ctfw:SWFP_1351
ko:K02028	ctfw:SWFP_1361
ko:K07058	ctfw:SWFP_1381
ko:K06999	ctfw:SWFP_1421
ko:K07566	ctfw:SWFP_1431
ko:K02035	ctfw:SWFP_1451
ko:K09125	ctfw:SWFP_1461
ko:K07039	ctfw:SWFP_1471
ko:K01972	ctfw:SWFP_1561
ko:K06889	ctfw:SWFP_1591
ko:K02913	ctfw:SWFP_1601
ko:K09808	ctfw:SWFP_1611
ko:K09810	ctfw:SWFP_1621
ko:K03720	ctfw:SWFP_1771
ko:K01696	ctfw:SWFP_1781
ko:K01695	ctfw:SWFP_1791
ko:K02035	ctfw:SWFP_1831
ko:K03611	ctfw:SWFP_1841
ko:K02049	ctfw:SWFP_1881
ko:K03308	ctfw:SWFP_2481
ko:K02078	ctfw:SWFP_2531
ko:K00059	ctfw:SWFP_2541
ko:K00645	ctfw:SWFP_2551
ko:K00648	ctfw:SWFP_2561
ko:K06187	ctfw:SWFP_2571
ko:K07277	ctfw:SWFP_2581
ko:K06142	ctfw:SWFP_2591
ko:K02536	ctfw:SWFP_2601
ko:K00161	ctfw:SWFP_2621
ko:K00162	ctfw:SWFP_2631
ko:K00627	ctfw:SWFP_2641
ko:K00688	ctfw:SWFP_2651
ko:K02313	ctfw:SWFP_2671
ko:K03217	ctfw:SWFP_2681
ko:K07052	ctfw:SWFP_2711
ko:K04487	ctfw:SWFP_2771
ko:K02342	ctfw:SWFP_2801
ko:K07083	ctfw:SWFP_2811
ko:K01962	ctfw:SWFP_2841
ko:K01448	ctfw:SWFP_2871
ko:K01928	ctfw:SWFP_2881
ko:K03587	ctfw:SWFP_2891
ko:K03438	ctfw:SWFP_2911
ko:K02313	ctfw:SWFP_2941
ko:K00347	ctfw:SWFP_2971
ko:K00348	ctfw:SWFP_2981
ko:K00349	ctfw:SWFP_2991
ko:K00350	ctfw:SWFP_3001
ko:K02437	ctfw:SWFP_3011
ko:K01870	ctfw:SWFP_0201
ko:K03100	ctfw:SWFP_0211
ko:K02909	ctfw:SWFP_0231
ko:K02835	ctfw:SWFP_0241
ko:K02493	ctfw:SWFP_0251
ko:K03106	ctfw:SWFP_0261
ko:K02959	ctfw:SWFP_0271
ko:K00554	ctfw:SWFP_0281
ko:K02884	ctfw:SWFP_0291
ko:K03470	ctfw:SWFP_0301
ko:K00942	ctfw:SWFP_0311
ko:K01874	ctfw:SWFP_0331
ko:K03581	ctfw:SWFP_0341
ko:K01494	ctfw:SWFP_0421
ko:K03551	ctfw:SWFP_0441
ko:K01255	ctfw:SWFP_0491
ko:K02340	ctfw:SWFP_0511
ko:K07056	ctfw:SWFP_0521
ko:K00164	ctfw:SWFP_0581
ko:K00658	ctfw:SWFP_0591
ko:K05810	ctfw:SWFP_0601
ko:K03526	ctfw:SWFP_0611
ko:K02400	ctfw:SWFP_0661
ko:K02405	ctfw:SWFP_0671
ko:K01866	ctfw:SWFP_0681
ko:K00033	ctfw:SWFP_0691
ko:K03596	ctfw:SWFP_0701
ko:K03301	ctfw:SWFP_0711
ko:K11707	ctfw:SWFP_0731
ko:K11710	ctfw:SWFP_0741
ko:K11708	ctfw:SWFP_0751
ko:K11709	ctfw:SWFP_0761
ko:K01265	ctfw:SWFP_9361
ko:K01679	ctfw:SWFP_9401
ko:K03321	ctfw:SWFP_9411
ko:K03527	ctfw:SWFP_9441
ko:K04763	ctfw:SWFP_9501
ko:K00700	ctfw:SWFP_9521
ko:K02897	ctfw:SWFP_8791
ko:K01056	ctfw:SWFP_8801
ko:K02990	ctfw:SWFP_8811
ko:K02963	ctfw:SWFP_8821
ko:K02939	ctfw:SWFP_8831
ko:K00919	ctfw:SWFP_8841
ko:K01408	ctfw:SWFP_8861
ko:K00630	ctfw:SWFP_8871
ko:K08301	ctfw:SWFP_8881
ko:K02911	ctfw:SWFP_8911
ko:K03621	ctfw:SWFP_8921
ko:K03431	ctfw:SWFP_8971
ko:K00820	ctfw:SWFP_8981
ko:K03834	ctfw:SWFP_8991
ko:K03834	ctfw:SWFP_9001
ko:K06890	ctfw:SWFP_9011
ko:K03110	ctfw:SWFP_9021
ko:K01903	ctfw:SWFP_9031
ko:K01902	ctfw:SWFP_9041
ko:K06972	ctfw:SWFP_9061
ko:K09760	ctfw:SWFP_9071
ko:K17103	ctfw:SWFP_9081
ko:K03439	ctfw:SWFP_9111
ko:K00075	ctfw:SWFP_9141
ko:K03625	ctfw:SWFP_9151
ko:K02520	ctfw:SWFP_9161
ko:K02916	ctfw:SWFP_9171
ko:K02887	ctfw:SWFP_9181
ko:K01889	ctfw:SWFP_9191
ko:K00975	ctfw:SWFP_5301
ko:K03628	ctfw:SWFP_5321
ko:K00859	ctfw:SWFP_5331
ko:K03301	ctfw:SWFP_5361
ko:K00995	ctfw:SWFP_5371
ko:K03495	ctfw:SWFP_5421
ko:K03800	ctfw:SWFP_5431
ko:K00940	ctfw:SWFP_5441
ko:K03550	ctfw:SWFP_5451
ko:K01159	ctfw:SWFP_5461
ko:K00134	ctfw:SWFP_5511
ko:K02879	ctfw:SWFP_5521
ko:K03040	ctfw:SWFP_5531
ko:K02948	ctfw:SWFP_5541
ko:K02952	ctfw:SWFP_5551
ko:K03076	ctfw:SWFP_5561
ko:K02876	ctfw:SWFP_5571
ko:K02988	ctfw:SWFP_5581
ko:K02881	ctfw:SWFP_5591
ko:K02933	ctfw:SWFP_5601
ko:K02994	ctfw:SWFP_5611
ko:K02931	ctfw:SWFP_5621
ko:K02895	ctfw:SWFP_5631
ko:K02874	ctfw:SWFP_5641
ko:K02961	ctfw:SWFP_5651
ko:K02904	ctfw:SWFP_5661
ko:K02878	ctfw:SWFP_5671
ko:K02982	ctfw:SWFP_5681
ko:K02890	ctfw:SWFP_5691
ko:K02965	ctfw:SWFP_5701
ko:K02886	ctfw:SWFP_5711
ko:K02892	ctfw:SWFP_5721
ko:K02926	ctfw:SWFP_5731
ko:K02906	ctfw:SWFP_5741
ko:K00604	ctfw:SWFP_5761
ko:K00677	ctfw:SWFP_5771
ko:K02372	ctfw:SWFP_5781
ko:K02535	ctfw:SWFP_5791
ko:K03820	ctfw:SWFP_5801
ko:K02342	ctfw:SWFP_5821
ko:K06925	ctfw:SWFP_5831
ko:K11720	ctfw:SWFP_9221
ko:K07091	ctfw:SWFP_9231
ko:K04075	ctfw:SWFP_9241
ko:K03798	ctfw:SWFP_9251
ko:K00962	ctfw:SWFP_9261
ko:K02956	ctfw:SWFP_9271
ko:K06966	ctfw:SWFP_4161
ko:K09131	ctfw:SWFP_4171
ko:K10206	ctfw:SWFP_4191
ko:K01881	ctfw:SWFP_4221
ko:K03705	ctfw:SWFP_4231
ko:K03687	ctfw:SWFP_4241
ko:K04043	ctfw:SWFP_4251
ko:K12573	ctfw:SWFP_4261
ko:K07164	ctfw:SWFP_4271
ko:K06041	ctfw:SWFP_4291
ko:K00658	ctfw:SWFP_4301
ko:K00912	ctfw:SWFP_4321
ko:K03437	ctfw:SWFP_4331
ko:K06969	ctfw:SWFP_4341
ko:K00793	ctfw:SWFP_4351
ko:K07738	ctfw:SWFP_4361
ko:K06204	ctfw:SWFP_4371
ko:K03101	ctfw:SWFP_4381
ko:K03310	ctfw:SWFP_4391
ko:K00970	ctfw:SWFP_4401
ko:K00748	ctfw:SWFP_4411
ko:K09815	ctfw:SWFP_4461
ko:K09817	ctfw:SWFP_4471
ko:K09816	ctfw:SWFP_4481
ko:K03979	ctfw:SWFP_4491
ko:K02899	ctfw:SWFP_4501
ko:K02888	ctfw:SWFP_4511
ko:K07042	ctfw:SWFP_4561
ko:K07081	ctfw:SWFP_4611
ko:K03183	ctfw:SWFP_4621
ko:K01778	ctfw:SWFP_4641
ko:K01358	ctfw:SWFP_4651
ko:K00600	ctfw:SWFP_4661
ko:K01719	ctfw:SWFP_4671
ko:K01770	ctfw:SWFP_4681
ko:K00380	ctfw:SWFP_4691
ko:K02946	ctfw:SWFP_4701
ko:K02355	ctfw:SWFP_4711
ko:K03424	ctfw:SWFP_6411
ko:K04084	ctfw:SWFP_6421
ko:K03562	ctfw:SWFP_6431
ko:K03559	ctfw:SWFP_6441
ko:K03641	ctfw:SWFP_6461
ko:K03640	ctfw:SWFP_6471
ko:K03386	ctfw:SWFP_6501
ko:K02428	ctfw:SWFP_6541
ko:K03648	ctfw:SWFP_6561
ko:K03657	ctfw:SWFP_6571
ko:K01613	ctfw:SWFP_7621
ko:K03070	ctfw:SWFP_7641
ko:K03977	ctfw:SWFP_7661
ko:K00970	ctfw:SWFP_7671
ko:K03544	ctfw:SWFP_7681
ko:K01358	ctfw:SWFP_7691
ko:K03545	ctfw:SWFP_7701
ko:K03569	ctfw:SWFP_7741
ko:K01596	ctfw:SWFP_7751
ko:K00057	ctfw:SWFP_7791
ko:K00972	ctfw:SWFP_7801
ko:K02412	ctfw:SWFP_7821
ko:K02411	ctfw:SWFP_7831
ko:K02409	ctfw:SWFP_7841
ko:K13819	ctfw:SWFP_7851
ko:K04487	ctfw:SWFP_7861
ko:K01834	ctfw:SWFP_7871
ko:K06178	ctfw:SWFP_7881
ko:K03524	ctfw:SWFP_7901
ko:K05837	ctfw:SWFP_7911
ko:K01875	ctfw:SWFP_7941
ko:K11752	ctfw:SWFP_7951
ko:K14652	ctfw:SWFP_7961
ko:K00794	ctfw:SWFP_7971
ko:K03310	ctfw:SWFP_8001
ko:K06910	ctfw:SWFP_8011
ko:K07117	ctfw:SWFP_8021
ko:K03466	ctfw:SWFP_8041
ko:K00351	ctfw:SWFP_8111
ko:K03210	ctfw:SWFP_8121
ko:K00231	ctfw:SWFP_8161
ko:K01599	ctfw:SWFP_8181
ko:K03723	ctfw:SWFP_8191
ko:K03800	ctfw:SWFP_3041
ko:K03696	ctfw:SWFP_3051
ko:K00566	ctfw:SWFP_3061
ko:K02806	ctfw:SWFP_3091
ko:K02806	ctfw:SWFP_3101
ko:K01963	ctfw:SWFP_3121
ko:K04564	ctfw:SWFP_3131
ko:K01840	ctfw:SWFP_3141
ko:K03685	ctfw:SWFP_3161
ko:K04485	ctfw:SWFP_3171
ko:K01749	ctfw:SWFP_3181
ko:K01873	ctfw:SWFP_3211
ko:K02124	ctfw:SWFP_3231
ko:K02123	ctfw:SWFP_3241
ko:K02120	ctfw:SWFP_3251
ko:K02118	ctfw:SWFP_3261
ko:K02117	ctfw:SWFP_3271
ko:K02121	ctfw:SWFP_3291
ko:K00616	ctfw:SWFP_3321
ko:K03046	ctfw:SWFP_3331
ko:K03043	ctfw:SWFP_3341
ko:K02935	ctfw:SWFP_3351
ko:K02864	ctfw:SWFP_3361
ko:K02863	ctfw:SWFP_3371
ko:K02867	ctfw:SWFP_3381
ko:K02601	ctfw:SWFP_3391
ko:K03073	ctfw:SWFP_3401
ko:K02358	ctfw:SWFP_3421
ko:K02518	ctfw:SWFP_3451
ko:K01803	ctfw:SWFP_3521
ko:K03601	ctfw:SWFP_3531
ko:K03602	ctfw:SWFP_3541
ko:K01662	ctfw:SWFP_3561
ko:K03092	ctfw:SWFP_6581
ko:K06137	ctfw:SWFP_6591
ko:K13941	ctfw:SWFP_6621
ko:K01633	ctfw:SWFP_6631
ko:K03086	ctfw:SWFP_6641
ko:K02968	ctfw:SWFP_6661
ko:K03980	ctfw:SWFP_6731
ko:K01151	ctfw:SWFP_6741
ko:K02986	ctfw:SWFP_6751
ko:K07146	ctfw:SWFP_6761
ko:K13789	ctfw:SWFP_6771
ko:K01698	ctfw:SWFP_6841
ko:K00346	ctfw:SWFP_6851
ko:K00813	ctfw:SWFP_6901
ko:K03582	ctfw:SWFP_6921
ko:K03583	ctfw:SWFP_6931
ko:K03168	ctfw:SWFP_6961
ko:K02221	ctfw:SWFP_6981
ko:K00979	ctfw:SWFP_1921
ko:K01937	ctfw:SWFP_1931
ko:K07447	ctfw:SWFP_1941
ko:K00036	ctfw:SWFP_1951
ko:K01057	ctfw:SWFP_1961
ko:K02343	ctfw:SWFP_1971
ko:K00943	ctfw:SWFP_1981
ko:K02469	ctfw:SWFP_1991
ko:K02470	ctfw:SWFP_2001
ko:K00773	ctfw:SWFP_2031
ko:K06213	ctfw:SWFP_2041
ko:K01409	ctfw:SWFP_2071
ko:K15580	ctfw:SWFP_2081
ko:K15581	ctfw:SWFP_2091
ko:K15582	ctfw:SWFP_2101
ko:K10823	ctfw:SWFP_2111
ko:K15583	ctfw:SWFP_2121
ko:K03319	ctfw:SWFP_2141
ko:K00850	ctfw:SWFP_2151
ko:K06889	ctfw:SWFP_2161
ko:K00895	ctfw:SWFP_2171
ko:K02527	ctfw:SWFP_2201
ko:K01869	ctfw:SWFP_2211
ko:K01845	ctfw:SWFP_2221
ko:K07735	ctfw:SWFP_2231
ko:K08999	ctfw:SWFP_2241
ko:K01807	ctfw:SWFP_2251
ko:K03787	ctfw:SWFP_2301
ko:K03179	ctfw:SWFP_2311
ko:K03186	ctfw:SWFP_2321
ko:K08275	ctfw:SWFP_0861
ko:K01802	ctfw:SWFP_5881
ko:K14232	ctfw:SWFP_0651
ko:K03309	ctfw:SWFP_4311
ko:K08719	ctfw:SWFP_7781
ko:K14220	ctfw:SWFP_0401
ko:K15035	ctfw:SWFP_0191
ko:K14232	ctfw:SWFP_6821
ko:K01921	ctfw:SWFP_8381
ko:K01924	ctfw:SWFP_8381
ko:K08274	ctfw:SWFP_4051
ko:K01829	ctfw:SWFP_8561
ko:K01829	ctfw:SWFP_8601
ko:K07033	ctfw:SWFP_7471
ko:K14219	ctfw:SWFP_6511
ko:K14228	ctfw:SWFP_9491
ko:K14225	ctfw:SWFP_7431
ko:K14228	ctfw:SWFP_5491
ko:K14228	ctfw:SWFP_5851
ko:K01985	ctfw:SWFP_8091
ko:K01985	ctfw:SWFP_8231
ko:K14223	ctfw:SWFP_8771
ko:K14237	ctfw:SWFP_9121
ko:K14235	ctfw:SWFP_3411
ko:K14218	ctfw:SWFP_1901
ko:K14223	ctfw:SWFP_8781
ko:K14218	ctfw:SWFP_6891
ko:K14219	ctfw:SWFP_7101
ko:K14226	ctfw:SWFP_8061
ko:K14222	ctfw:SWFP_8311
ko:K14219	ctfw:SWFP_5071
ko:K14234	ctfw:SWFP_7311
ko:K14234	ctfw:SWFP_1491
ko:K14234	ctfw:SWFP_3441
ko:K14224	ctfw:SWFP_7371
ko:K14225	ctfw:SWFP_7721
ko:K14237	ctfw:SWFP_2371
ko:K14233	ctfw:SWFP_9201
ko:K14233	ctfw:SWFP_4451
ko:K14233	ctfw:SWFP_5391
ko:K14228	ctfw:SWFP_5121
ko:K14236	ctfw:SWFP_1511
ko:K14227	ctfw:SWFP_1891
ko:K14230	ctfw:SWFP_2181
ko:K14230	ctfw:SWFP_2191
ko:K14230	ctfw:SWFP_3501
ko:K14231	ctfw:SWFP_4521
ko:K01978	ctfw:SWFP_4281
ko:K01977	ctfw:SWFP_8071
ko:K01977	ctfw:SWFP_8211
ko:K01980	ctfw:SWFP_8081
ko:K01980	ctfw:SWFP_8221
ko:K14221	ctfw:SWFP_2351
ko:K14233	ctfw:SWFP_3841
ko:K14228	ctfw:SWFP_5021
ko:K14229	ctfw:SWFP_7351
ko:K01983	ctfw:SWFP_2731
ko:K01214	ctfw:SWFP_0461
ko:K03825	ctfw:SWFP_4931
ko:K03111	ctfw:SWFP_0481
ko:K03496	ctfw:SWFP_6291
ko:K03497	ctfw:SWFP_7511
ko:K02626	ctfw:SWFP_4011
ko:K11991	ctfw:SWFP_9281
ko:K04771	ctfw:SWFP_9051
ko:K11645	ctfw:SWFP_2271
ko:K19411	ctfw:SWFP_7331
ko:K02031	ctfw:SWFP_7531
ko:K07125	ctfw:SWFP_3471
ko:K22100	ctfw:SWFP_3511
ko:K12132	ctfw:SWFP_3201
ko:K20265	ctfw:SWFP_2281
ko:K20074	ctfw:SWFP_2781
ko:K11749	ctfw:SWFP_0781
ko:K22099	ctfw:SWFP_6601
ko:K00526	ctfw:SWFP_9101
ko:K02335	ctfw:SWFP_5341
ko:K02314	ctfw:SWFP_5411
ko:K00287	ctfw:SWFP_6611
ko:K03553	ctfw:SWFP_7031
ko:K01520	ctfw:SWFP_3111
ko:K02316	ctfw:SWFP_8711
ko:K02032	ctfw:SWFP_7521
ko:K00525	ctfw:SWFP_9091
ko:K02050	ctfw:SWFP_9391
ko:K02051	ctfw:SWFP_9391
ko:K01534	ctfw:SWFP_7921
ko:K16239	ctfw:SWFP_0911
