ko:K18137	abad:ABD1_20050
ko:K04752	abad:ABD1_02040
ko:K03320	abad:ABD1_02050
ko:K03760	abad:ABD1_10510
ko:K03464	abad:ABD1_18680
ko:K03381	abad:ABD1_18690
ko:K01031	abad:ABD1_18700
ko:K01032	abad:ABD1_18710
ko:K01055	abad:ABD1_18730
ko:K01434	abad:ABD1_18740
ko:K02624	abad:ABD1_18960
ko:K07112	abad:ABD1_18980
ko:K07112	abad:ABD1_18990
ko:K05358	abad:ABD1_19010
ko:K07267	abad:ABD1_19020
ko:K03785	abad:ABD1_19040
ko:K00448	abad:ABD1_19050
ko:K00449	abad:ABD1_19060
ko:K08195	abad:ABD1_19080
ko:K01055	abad:ABD1_19090
ko:K01857	abad:ABD1_19100
ko:K03320	abad:ABD1_26950
ko:K03760	abad:ABD1_26990
ko:K07001	abad:ABD1_27030
ko:K07340	abad:ABD1_27040
ko:K00795	abad:ABD1_27070
ko:K11734	abad:ABD1_27090
ko:K05523	abad:ABD1_27110
ko:K06153	abad:ABD1_27140
ko:K02616	abad:ABD1_27150
ko:K00355	abad:ABD1_27180
ko:K06076	abad:ABD1_27190
ko:K02203	abad:ABD1_27200
ko:K00390	abad:ABD1_27210
ko:K08301	abad:ABD1_27240
ko:K06287	abad:ABD1_27250
ko:K03571	abad:ABD1_27260
ko:K03570	abad:ABD1_27270
ko:K03569	abad:ABD1_27280
ko:K02435	abad:ABD1_27290
ko:K02434	abad:ABD1_27310
ko:K05520	abad:ABD1_27320
ko:K01754	abad:ABD1_27380
ko:K07001	abad:ABD1_27390
ko:K03310	abad:ABD1_27400
ko:K07552	abad:ABD1_27440
ko:K01714	abad:ABD1_33240
ko:K01923	abad:ABD1_33260
ko:K07478	abad:ABD1_33290
ko:K09160	abad:ABD1_33310
ko:K03575	abad:ABD1_33350
ko:K01246	abad:ABD1_33380
ko:K12957	abad:ABD1_33390
ko:K06222	abad:ABD1_33430
ko:K00215	abad:ABD1_33460
ko:K03686	abad:ABD1_33480
ko:K01595	abad:ABD1_33530
ko:K07090	abad:ABD1_33560
ko:K01687	abad:ABD1_33580
ko:K00604	abad:ABD1_33590
ko:K03500	abad:ABD1_33600
ko:K03308	abad:ABD1_33620
ko:K04754	abad:ABD1_06290
ko:K03092	abad:ABD1_06300
ko:K05808	abad:ABD1_06310
ko:K00790	abad:ABD1_06330
ko:K00765	abad:ABD1_06340
ko:K00013	abad:ABD1_06350
ko:K00817	abad:ABD1_06360
ko:K01665	abad:ABD1_06370
ko:K15984	abad:ABD1_06490
ko:K01070	abad:ABD1_06510
ko:K09956	abad:ABD1_06520
ko:K01783	abad:ABD1_06530
ko:K07233	abad:ABD1_06570
ko:K00620	abad:ABD1_06610
ko:K03517	abad:ABD1_06620
ko:K00252	abad:ABD1_06670
ko:K08196	abad:ABD1_06680
ko:K10001	abad:ABD1_14900
ko:K10003	abad:ABD1_14910
ko:K10002	abad:ABD1_14920
ko:K10004	abad:ABD1_14930
ko:K07347	abad:ABD1_15110
ko:K07345	abad:ABD1_15130
ko:K01012	abad:ABD1_15160
ko:K01159	abad:ABD1_15190
ko:K03823	abad:ABD1_15220
ko:K07113	abad:ABD1_15240
ko:K00789	abad:ABD1_15270
ko:K00615	abad:ABD1_15290
ko:K07397	abad:ABD1_15300
ko:K13821	abad:ABD1_15360
ko:K12410	abad:ABD1_15390
ko:K01251	abad:ABD1_23350
ko:K00297	abad:ABD1_23360
ko:K09761	abad:ABD1_23370
ko:K00029	abad:ABD1_23390
ko:K04691	abad:ABD1_23410
ko:K04564	abad:ABD1_23430
ko:K03179	abad:ABD1_23470
ko:K03181	abad:ABD1_23480
ko:K01915	abad:ABD1_23490
ko:K03305	abad:ABD1_23500
ko:K00766	abad:ABD1_23550
ko:K01609	abad:ABD1_23560
ko:K07402	abad:ABD1_23580
ko:K13482	abad:ABD1_23590
ko:K13481	abad:ABD1_23600
ko:K01495	abad:ABD1_23610
ko:K01599	abad:ABD1_23660
ko:K02361	abad:ABD1_23680
ko:K01590	abad:ABD1_23740
ko:K01252	abad:ABD1_23750
ko:K02363	abad:ABD1_23760
ko:K03897	abad:ABD1_23780
ko:K02016	abad:ABD1_23800
ko:K08224	abad:ABD1_31610
ko:K06911	abad:ABD1_31720
ko:K00823	abad:ABD1_31760
ko:K00375	abad:ABD1_31770
ko:K11735	abad:ABD1_31780
ko:K09799	abad:ABD1_31840
ko:K03707	abad:ABD1_31850
ko:K02442	abad:ABD1_31860
ko:K08987	abad:ABD1_31870
ko:K16137	abad:ABD1_31890
ko:K03701	abad:ABD1_31900
ko:K02168	abad:ABD1_31930
ko:K14393	abad:ABD1_31950
ko:K00299	abad:ABD1_32000
ko:K01895	abad:ABD1_32040
ko:K03168	abad:ABD1_04090
ko:K03657	abad:ABD1_04120
ko:K02913	abad:ABD1_04180
ko:K02902	abad:ABD1_04190
ko:K00154	abad:ABD1_04200
ko:K01433	abad:ABD1_04220
ko:K03832	abad:ABD1_04230
ko:K03561	abad:ABD1_04240
ko:K13292	abad:ABD1_04320
ko:K07093	abad:ABD1_04340
ko:K07093	abad:ABD1_04350
ko:K03118	abad:ABD1_04360
ko:K03117	abad:ABD1_04370
ko:K03116	abad:ABD1_04380
ko:K07088	abad:ABD1_04390
ko:K00641	abad:ABD1_04440
ko:K01649	abad:ABD1_04450
ko:K16090	abad:ABD1_04470
ko:K03545	abad:ABD1_04480
ko:K01358	abad:ABD1_04490
ko:K03544	abad:ABD1_04500
ko:K01676	abad:ABD1_04530
ko:K13788	abad:ABD1_04540
ko:K00925	abad:ABD1_04550
ko:K01690	abad:ABD1_04560
ko:K01625	abad:ABD1_04570
ko:K03555	abad:ABD1_12740
ko:K02517	abad:ABD1_12780
ko:K08195	abad:ABD1_12800
ko:K07160	abad:ABD1_12920
ko:K09967	abad:ABD1_13030
ko:K09967	abad:ABD1_13040
ko:K11746	abad:ABD1_13060
ko:K07722	abad:ABD1_13100
ko:K03449	abad:ABD1_13260
ko:K09927	abad:ABD1_13270
ko:K03576	abad:ABD1_21220
ko:K10716	abad:ABD1_21260
ko:K01682	abad:ABD1_21280
ko:K09800	abad:ABD1_21300
ko:K06134	abad:ABD1_21330
ko:K09470	abad:ABD1_21350
ko:K07667	abad:ABD1_21360
ko:K07646	abad:ABD1_21370
ko:K01548	abad:ABD1_21380
ko:K01547	abad:ABD1_21390
ko:K01546	abad:ABD1_21400
ko:K00950	abad:ABD1_21410
ko:K01633	abad:ABD1_21420
ko:K01895	abad:ABD1_21460
ko:K02493	abad:ABD1_21500
ko:K02835	abad:ABD1_21510
ko:K11936	abad:ABD1_21590
ko:K09773	abad:ABD1_21620
ko:K02297	abad:ABD1_21650
ko:K02298	abad:ABD1_21660
ko:K02299	abad:ABD1_21670
ko:K02300	abad:ABD1_21680
ko:K02990	abad:ABD1_21700
ko:K02963	abad:ABD1_21710
ko:K02939	abad:ABD1_21720
ko:K02907	abad:ABD1_29480
ko:K02988	abad:ABD1_29490
ko:K02881	abad:ABD1_29500
ko:K02933	abad:ABD1_29510
ko:K02994	abad:ABD1_29520
ko:K02954	abad:ABD1_29530
ko:K02931	abad:ABD1_29540
ko:K02895	abad:ABD1_29550
ko:K02874	abad:ABD1_29560
ko:K02961	abad:ABD1_29570
ko:K02904	abad:ABD1_29580
ko:K02878	abad:ABD1_29590
ko:K02982	abad:ABD1_29600
ko:K02890	abad:ABD1_29610
ko:K02965	abad:ABD1_29620
ko:K02886	abad:ABD1_29630
ko:K02892	abad:ABD1_29640
ko:K02926	abad:ABD1_29650
ko:K02906	abad:ABD1_29660
ko:K02946	abad:ABD1_29670
ko:K06915	abad:ABD1_29700
ko:K05916	abad:ABD1_29710
ko:K13771	abad:ABD1_29720
ko:K03978	abad:ABD1_29730
ko:K07044	abad:ABD1_29740
ko:K10805	abad:ABD1_29760
ko:K00631	abad:ABD1_29770
ko:K03655	abad:ABD1_29800
ko:K06966	abad:ABD1_29830
ko:K03284	abad:ABD1_29840
ko:K07122	abad:ABD1_29850
ko:K07323	abad:ABD1_29860
ko:K02066	abad:ABD1_29880
ko:K02065	abad:ABD1_29890
ko:K01662	abad:ABD1_29930
ko:K00228	abad:ABD1_29950
ko:K00014	abad:ABD1_29960
ko:K14225	abad:ABD1_tRNA03
ko:K14225	abad:ABD1_tRNA29
ko:K14225	abad:ABD1_tRNA04
ko:K14236	abad:ABD1_tRNA08
ko:K02313	abad:ABD1_00010
ko:K02338	abad:ABD1_00020
ko:K03629	abad:ABD1_00030
ko:K02470	abad:ABD1_00040
ko:K15536	abad:ABD1_00050
ko:K06158	abad:ABD1_00070
ko:K15724	abad:ABD1_00110
ko:K09001	abad:ABD1_00130
ko:K01866	abad:ABD1_00140
ko:K03774	abad:ABD1_00170
ko:K03101	abad:ABD1_00180
ko:K01870	abad:ABD1_00190
ko:K11753	abad:ABD1_00200
ko:K15554	abad:ABD1_00250
ko:K15553	abad:ABD1_00270
ko:K15553	abad:ABD1_00280
ko:K14682	abad:ABD1_00290
ko:K03673	abad:ABD1_00350
ko:K00989	abad:ABD1_00400
ko:K01114	abad:ABD1_00420
ko:K00767	abad:ABD1_00440
ko:K03806	abad:ABD1_00450
ko:K03980	abad:ABD1_00460
ko:K03656	abad:ABD1_08310
ko:K15778	abad:ABD1_08330
ko:K00930	abad:ABD1_08340
ko:K09801	abad:ABD1_08390
ko:K06186	abad:ABD1_08400
ko:K02670	abad:ABD1_08420
ko:K02669	abad:ABD1_08430
ko:K06997	abad:ABD1_08440
ko:K03547	abad:ABD1_08460
ko:K06996	abad:ABD1_08480
ko:K07071	abad:ABD1_08500
ko:K01698	abad:ABD1_08520
ko:K03543	abad:ABD1_08540
ko:K03446	abad:ABD1_08550
ko:K08369	abad:ABD1_08670
ko:K01714	abad:ABD1_08680
ko:K03758	abad:ABD1_08750
ko:K00116	abad:ABD1_08780
ko:K02167	abad:ABD1_08810
ko:K02168	abad:ABD1_08820
ko:K02168	abad:ABD1_08830
ko:K01118	abad:ABD1_17070
ko:K07240	abad:ABD1_17080
ko:K03710	abad:ABD1_17090
ko:K01744	abad:ABD1_17190
ko:K02106	abad:ABD1_17250
ko:K01029	abad:ABD1_17260
ko:K01028	abad:ABD1_17270
ko:K00019	abad:ABD1_17300
ko:K01061	abad:ABD1_17330
ko:K02019	abad:ABD1_17420
ko:K02020	abad:ABD1_17430
ko:K02018	abad:ABD1_17440
ko:K00216	abad:ABD1_17460
ko:K00937	abad:ABD1_17500
ko:K06136	abad:ABD1_17520
ko:K06137	abad:ABD1_17530
ko:K06138	abad:ABD1_17540
ko:K06139	abad:ABD1_17550
ko:K03550	abad:ABD1_25390
ko:K03551	abad:ABD1_25400
ko:K07107	abad:ABD1_25420
ko:K03562	abad:ABD1_25430
ko:K03641	abad:ABD1_25460
ko:K03640	abad:ABD1_25470
ko:K03841	abad:ABD1_25490
ko:K03437	abad:ABD1_25500
ko:K03088	abad:ABD1_25510
ko:K10763	abad:ABD1_25560
ko:K01933	abad:ABD1_25580
ko:K11175	abad:ABD1_25590
ko:K04773	abad:ABD1_25610
ko:K02517	abad:ABD1_25620
ko:K09810	abad:ABD1_25640
ko:K09808	abad:ABD1_25650
ko:K09768	abad:ABD1_25670
ko:K00831	abad:ABD1_25700
ko:K01993	abad:ABD1_25720
ko:K02469	abad:ABD1_25790
ko:K03522	abad:ABD1_25800
ko:K03521	abad:ABD1_25810
ko:K03733	abad:ABD1_25820
ko:K01778	abad:ABD1_25840
ko:K01586	abad:ABD1_25850
ko:K11737	abad:ABD1_25870
ko:K04485	abad:ABD1_25880
ko:K04568	abad:ABD1_25900
ko:K03473	abad:ABD1_25910
ko:K03687	abad:ABD1_33720
ko:K04043	abad:ABD1_33730
ko:K01589	abad:ABD1_33780
ko:K01588	abad:ABD1_33790
ko:K09922	abad:ABD1_33800
ko:K02558	abad:ABD1_33810
ko:K00760	abad:ABD1_33900
ko:K03981	abad:ABD1_33920
ko:K03650	abad:ABD1_33950
ko:K03217	abad:ABD1_33960
ko:K08998	abad:ABD1_33970
ko:K03536	abad:ABD1_33980
ko:K07738	abad:ABD1_02060
ko:K11752	abad:ABD1_02070
ko:K00793	abad:ABD1_02090
ko:K02339	abad:ABD1_02120
ko:K01255	abad:ABD1_02130
ko:K07091	abad:ABD1_02140
ko:K11720	abad:ABD1_02150
ko:K15633	abad:ABD1_02160
ko:K03797	abad:ABD1_02170
ko:K02667	abad:ABD1_02180
ko:K02668	abad:ABD1_02190
ko:K07262	abad:ABD1_02210
ko:K01733	abad:ABD1_02220
ko:K00003	abad:ABD1_02230
ko:K03981	abad:ABD1_02240
ko:K04758	abad:ABD1_02260
ko:K04759	abad:ABD1_02270
ko:K01925	abad:ABD1_02290
ko:K03588	abad:ABD1_02300
ko:K01894	abad:ABD1_02310
ko:K06204	abad:ABD1_02320
ko:K03651	abad:ABD1_02330
ko:K03147	abad:ABD1_02350
ko:K12340	abad:ABD1_02390
ko:K02039	abad:ABD1_02400
ko:K01755	abad:ABD1_02420
ko:K08082	abad:ABD1_02430
ko:K08083	abad:ABD1_02440
ko:K01749	abad:ABD1_02450
ko:K07107	abad:ABD1_02490
ko:K02452	abad:ABD1_02520
ko:K02453	abad:ABD1_02530
ko:K01091	abad:ABD1_02550
ko:K01657	abad:ABD1_02560
ko:K09895	abad:ABD1_10560
ko:K03185	abad:ABD1_10580
ko:K06895	abad:ABD1_10640
ko:K05596	abad:ABD1_10650
ko:K07056	abad:ABD1_10670
ko:K07460	abad:ABD1_10680
ko:K03426	abad:ABD1_10710
ko:K13893	abad:ABD1_10750
ko:K13894	abad:ABD1_10760
ko:K13895	abad:ABD1_10770
ko:K13896	abad:ABD1_10780
ko:K03683	abad:ABD1_10810
ko:K01465	abad:ABD1_10820
ko:K01940	abad:ABD1_10840
ko:K14052	abad:ABD1_10970
ko:K00840	abad:ABD1_11040
ko:K00673	abad:ABD1_11050
ko:K01032	abad:ABD1_19120
ko:K01031	abad:ABD1_19130
ko:K00991	abad:ABD1_19140
ko:K05589	abad:ABD1_19150
ko:K01689	abad:ABD1_19170
ko:K01627	abad:ABD1_19180
ko:K01937	abad:ABD1_19190
ko:K07044	abad:ABD1_19210
ko:K01626	abad:ABD1_19280
ko:K09771	abad:ABD1_19290
ko:K03694	abad:ABD1_19300
ko:K06891	abad:ABD1_19310
ko:K00145	abad:ABD1_19340
ko:K07043	abad:ABD1_19360
ko:K01807	abad:ABD1_19370
ko:K01754	abad:ABD1_19380
ko:K01058	abad:ABD1_19410
ko:K16090	abad:ABD1_19430
ko:K00425	abad:ABD1_19470
ko:K00426	abad:ABD1_19480
ko:K07078	abad:ABD1_19510
ko:K03110	abad:ABD1_19520
ko:K07390	abad:ABD1_19590
ko:K01265	abad:ABD1_19620
ko:K03311	abad:ABD1_19630
ko:K09790	abad:ABD1_27500
ko:K09977	abad:ABD1_27510
ko:K01881	abad:ABD1_27640
ko:K09946	abad:ABD1_27650
ko:K06193	abad:ABD1_27660
ko:K06980	abad:ABD1_27690
ko:K03981	abad:ABD1_27700
ko:K07088	abad:ABD1_27720
ko:K03652	abad:ABD1_27750
ko:K03282	abad:ABD1_27790
ko:K06207	abad:ABD1_27800
ko:K16345	abad:ABD1_27810
ko:K11733	abad:ABD1_27830
ko:K14415	abad:ABD1_27840
ko:K08084	abad:ABD1_27870
ko:K00381	abad:ABD1_27920
ko:K00117	abad:ABD1_27930
ko:K07267	abad:ABD1_27940
ko:K02914	abad:ABD1_33990
ko:K14224	abad:ABD1_tRNA26
ko:K14224	abad:ABD1_tRNA59
ko:K14224	abad:ABD1_tRNA58
ko:K14224	abad:ABD1_tRNA57
ko:K13795	abad:ABD1_06720
ko:K13796	abad:ABD1_06730
ko:K13794	abad:ABD1_06740
ko:K03288	abad:ABD1_06760
ko:K00549	abad:ABD1_06830
ko:K09024	abad:ABD1_06840
ko:K07661	abad:ABD1_07000
ko:K07639	abad:ABD1_07010
ko:K00330	abad:ABD1_07040
ko:K00331	abad:ABD1_07050
ko:K13378	abad:ABD1_07060
ko:K00334	abad:ABD1_07070
ko:K00337	abad:ABD1_07100
ko:K00338	abad:ABD1_07110
ko:K00339	abad:ABD1_07120
ko:K00340	abad:ABD1_07130
ko:K00341	abad:ABD1_07140
ko:K00342	abad:ABD1_07150
ko:K00343	abad:ABD1_07160
ko:K00761	abad:ABD1_07170
ko:K02437	abad:ABD1_15400
ko:K09912	abad:ABD1_15440
ko:K07862	abad:ABD1_15460
ko:K00927	abad:ABD1_15520
ko:K01624	abad:ABD1_15540
ko:K03771	abad:ABD1_15550
ko:K04744	abad:ABD1_15560
ko:K07102	abad:ABD1_15570
ko:K03501	abad:ABD1_15590
ko:K00147	abad:ABD1_04610
ko:K01207	abad:ABD1_04640
ko:K03797	abad:ABD1_04650
ko:K00940	abad:ABD1_04690
ko:K06941	abad:ABD1_04700
ko:K02656	abad:ABD1_04710
ko:K01892	abad:ABD1_04740
ko:K03977	abad:ABD1_04770
ko:K02078	abad:ABD1_04800
ko:K02078	abad:ABD1_04810
ko:K01745	abad:ABD1_04860
ko:K07107	abad:ABD1_04870
ko:K09458	abad:ABD1_04950
ko:K06133	abad:ABD1_04970
ko:K03071	abad:ABD1_04980
ko:K06949	abad:ABD1_05010
ko:K13288	abad:ABD1_05020
ko:K00208	abad:ABD1_05040
ko:K05685	abad:ABD1_05060
ko:K13888	abad:ABD1_05070
ko:K02340	abad:ABD1_05080
ko:K03643	abad:ABD1_05090
ko:K01869	abad:ABD1_05100
ko:K01652	abad:ABD1_05120
ko:K01653	abad:ABD1_05130
ko:K00053	abad:ABD1_05140
ko:K09765	abad:ABD1_13290
ko:K13639	abad:ABD1_13300
ko:K09712	abad:ABD1_13310
ko:K12658	abad:ABD1_13350
ko:K01752	abad:ABD1_13430
ko:K02618	abad:ABD1_13440
ko:K02609	abad:ABD1_13450
ko:K02610	abad:ABD1_13460
ko:K02611	abad:ABD1_13470
ko:K02612	abad:ABD1_13480
ko:K02613	abad:ABD1_13490
ko:K15866	abad:ABD1_13510
ko:K00074	abad:ABD1_13520
ko:K01912	abad:ABD1_13540
ko:K02616	abad:ABD1_13550
ko:K02617	abad:ABD1_13560
ko:K04090	abad:ABD1_13670
ko:K01640	abad:ABD1_13690
ko:K01968	abad:ABD1_13700
ko:K13766	abad:ABD1_13710
ko:K01969	abad:ABD1_13720
ko:K00253	abad:ABD1_13730
ko:K15256	abad:ABD1_13760
ko:K01775	abad:ABD1_21740
ko:K07395	abad:ABD1_21750
ko:K03495	abad:ABD1_21800
ko:K02687	abad:ABD1_21820
ko:K03557	abad:ABD1_21840
ko:K00602	abad:ABD1_21850
ko:K01945	abad:ABD1_21860
ko:K02073	abad:ABD1_21870
ko:K02071	abad:ABD1_21880
ko:K02072	abad:ABD1_21890
ko:K11103	abad:ABD1_21920
ko:K01779	abad:ABD1_21980
ko:K09857	abad:ABD1_21990
ko:K06192	abad:ABD1_22000
ko:K03808	abad:ABD1_22010
ko:K03808	abad:ABD1_22020
ko:K03762	abad:ABD1_22080
ko:K07347	abad:ABD1_22110
ko:K06923	abad:ABD1_22190
ko:K03312	abad:ABD1_22200
ko:K03821	abad:ABD1_22210
ko:K07168	abad:ABD1_30010
ko:K01878	abad:ABD1_30050
ko:K01879	abad:ABD1_30060
ko:K05526	abad:ABD1_30160
ko:K01484	abad:ABD1_30170
ko:K06447	abad:ABD1_30180
ko:K00673	abad:ABD1_30190
ko:K00840	abad:ABD1_30200
ko:K00261	abad:ABD1_30210
ko:K08160	abad:ABD1_30320
ko:K03923	abad:ABD1_30340
ko:K11939	abad:ABD1_30390
ko:K07090	abad:ABD1_30420
ko:K02884	abad:ABD1_30460
ko:K00554	abad:ABD1_30470
ko:K02860	abad:ABD1_30480
ko:K02959	abad:ABD1_30490
ko:K02655	abad:ABD1_30500
ko:K02655	abad:ABD1_30510
ko:K03561	abad:ABD1_15620
ko:K00912	abad:ABD1_15650
ko:K00979	abad:ABD1_15660
ko:K02341	abad:ABD1_15670
ko:K02676	abad:ABD1_15680
ko:K03424	abad:ABD1_15690
ko:K02456	abad:ABD1_15710
ko:K02458	abad:ABD1_15720
ko:K02459	abad:ABD1_15730
ko:K02460	abad:ABD1_15740
ko:K01737	abad:ABD1_15750
ko:K03648	abad:ABD1_15760
ko:K00945	abad:ABD1_15800
ko:K02945	abad:ABD1_15810
ko:K05788	abad:ABD1_15820
ko:K01591	abad:ABD1_15840
ko:K06916	abad:ABD1_15880
ko:K01638	abad:ABD1_15890
ko:K03561	abad:ABD1_15920
ko:K03832	abad:ABD1_15930
ko:K02013	abad:ABD1_23810
ko:K02015	abad:ABD1_23820
ko:K02015	abad:ABD1_23830
ko:K06911	abad:ABD1_23890
ko:K07044	abad:ABD1_23950
ko:K13774	abad:ABD1_24040
ko:K02616	abad:ABD1_24050
ko:K06200	abad:ABD1_24080
ko:K02356	abad:ABD1_24090
ko:K02909	abad:ABD1_24130
ko:K14347	abad:ABD1_24140
ko:K08218	abad:ABD1_24160
ko:K06194	abad:ABD1_24190
ko:K03787	abad:ABD1_24200
ko:K00566	abad:ABD1_24260
ko:K07153	abad:ABD1_24270
ko:K01756	abad:ABD1_24280
ko:K08984	abad:ABD1_24290
ko:K02036	abad:ABD1_24320
ko:K02038	abad:ABD1_24330
ko:K02527	abad:ABD1_32080
ko:K02836	abad:ABD1_32110
ko:K07462	abad:ABD1_32130
ko:K00275	abad:ABD1_32140
ko:K03431	abad:ABD1_32150
ko:K06940	abad:ABD1_32170
ko:K00627	abad:ABD1_32220
ko:K00163	abad:ABD1_32230
ko:K02535	abad:ABD1_32260
ko:K03531	abad:ABD1_32270
ko:K03590	abad:ABD1_32280
ko:K03589	abad:ABD1_32290
ko:K01921	abad:ABD1_32300
ko:K01924	abad:ABD1_32310
ko:K02563	abad:ABD1_32320
ko:K01920	abad:ABD1_32330
ko:K00762	abad:ABD1_32370
ko:K01142	abad:ABD1_32380
ko:K04084	abad:ABD1_32430
ko:K16842	abad:ABD1_32470
ko:K16840	abad:ABD1_32480
ko:K07127	abad:ABD1_32490
ko:K01477	abad:ABD1_32530
ko:K01483	abad:ABD1_32540
ko:K02622	abad:ABD1_32570
ko:K07000	abad:ABD1_32580
ko:K02358	abad:ABD1_02570
ko:K03073	abad:ABD1_02580
ko:K02601	abad:ABD1_02590
ko:K02867	abad:ABD1_02600
ko:K02863	abad:ABD1_02610
ko:K02864	abad:ABD1_02620
ko:K02935	abad:ABD1_02630
ko:K03043	abad:ABD1_02640
ko:K03046	abad:ABD1_02650
ko:K07084	abad:ABD1_02700
ko:K07275	abad:ABD1_02710
ko:K04079	abad:ABD1_02730
ko:K07002	abad:ABD1_02790
ko:K01825	abad:ABD1_02830
ko:K03703	abad:ABD1_02870
ko:K00995	abad:ABD1_02890
ko:K10778	abad:ABD1_02900
ko:K07447	abad:ABD1_02950
ko:K07735	abad:ABD1_02960
ko:K03631	abad:ABD1_02970
ko:K09913	abad:ABD1_02990
ko:K03218	abad:ABD1_03000
ko:K00859	abad:ABD1_03020
ko:K02654	abad:ABD1_03030
ko:K02652	abad:ABD1_03050
ko:K01803	abad:ABD1_03060
ko:K03075	abad:ABD1_03070
ko:K11737	abad:ABD1_11060
ko:K06911	abad:ABD1_11070
ko:K06901	abad:ABD1_11120
ko:K12262	abad:ABD1_11140
ko:K03470	abad:ABD1_11160
ko:K03563	abad:ABD1_11170
