ko:K02495	seen:SE451236_00885
ko:K01644	seen:SE451236_06310
ko:K03925	seen:SE451236_06610
ko:K03438	seen:SE451236_06615
ko:K01873	seen:SE451236_05395
ko:K03586	seen:SE451236_06620
ko:K03587	seen:SE451236_06625
ko:K01928	seen:SE451236_06630
ko:K02339	seen:SE451236_05400
ko:K01929	seen:SE451236_06635
ko:K01000	seen:SE451236_06640
ko:K01925	seen:SE451236_06645
ko:K03588	seen:SE451236_06650
ko:K02563	seen:SE451236_06655
ko:K01255	seen:SE451236_05405
ko:K07091	seen:SE451236_05410
ko:K01924	seen:SE451236_06660
ko:K11720	seen:SE451236_05415
ko:K01921	seen:SE451236_06665
ko:K06146	seen:SE451236_05425
ko:K06157	seen:SE451236_05430
ko:K00046	seen:SE451236_05435
ko:K00098	seen:SE451236_05440
ko:K00851	seen:SE451236_05445
ko:K12957	seen:SE451236_05450
ko:K03589	seen:SE451236_06670
ko:K03590	seen:SE451236_06675
ko:K03531	seen:SE451236_06680
ko:K01338	seen:SE451236_05475
ko:K04095	seen:SE451236_05515
ko:K09982	seen:SE451236_05530
ko:K13637	seen:SE451236_05560
ko:K01867	seen:SE451236_05565
ko:K06887	seen:SE451236_05570
ko:K02535	seen:SE451236_06685
ko:K01779	seen:SE451236_05575
ko:K01305	seen:SE451236_05585
ko:K01643	seen:SE451236_06315
ko:K05964	seen:SE451236_06320
ko:K01153	seen:SE451236_05650
ko:K05966	seen:SE451236_06325
ko:K00215	seen:SE451236_06330
ko:K01956	seen:SE451236_06340
ko:K01955	seen:SE451236_06345
ko:K08277	seen:SE451236_06350
ko:K08279	seen:SE451236_06355
ko:K08299	seen:SE451236_06360
ko:K02182	seen:SE451236_06365
ko:K09803	seen:SE451236_05660
ko:K08298	seen:SE451236_06370
ko:K08297	seen:SE451236_06375
ko:K05245	seen:SE451236_06380
ko:K03521	seen:SE451236_06390
ko:K03522	seen:SE451236_06395
ko:K00313	seen:SE451236_06400
ko:K03855	seen:SE451236_06405
ko:K08368	seen:SE451236_06410
ko:K01002	seen:SE451236_05725
ko:K00135	seen:SE451236_05620
ko:K02317	seen:SE451236_05740
ko:K13255	seen:SE451236_05770
ko:K11746	seen:SE451236_06435
ko:K01154	seen:SE451236_05640
ko:K03427	seen:SE451236_05645
ko:K01525	seen:SE451236_06450
ko:K06195	seen:SE451236_06455
ko:K02528	seen:SE451236_06460
ko:K00564	seen:SE451236_05800
ko:K02344	seen:SE451236_05805
ko:K03789	seen:SE451236_05810
ko:K08723	seen:SE451236_05815
ko:K02837	seen:SE451236_05820
ko:K04065	seen:SE451236_05825
ko:K03424	seen:SE451236_05840
ko:K01619	seen:SE451236_05855
ko:K00758	seen:SE451236_05860
ko:K01839	seen:SE451236_05865
ko:K03784	seen:SE451236_05870
ko:K03800	seen:SE451236_05900
ko:K07186	seen:SE451236_05905
ko:K01079	seen:SE451236_05910
ko:K04485	seen:SE451236_05915
ko:K06211	seen:SE451236_05920
ko:K08309	seen:SE451236_05930
ko:K03720	seen:SE451236_05935
ko:K05804	seen:SE451236_05950
ko:K05805	seen:SE451236_05955
ko:K07663	seen:SE451236_05960
ko:K07641	seen:SE451236_05965
ko:K06143	seen:SE451236_05970
ko:K07347	seen:SE451236_05985
ko:K07773	seen:SE451236_06010
ko:K02533	seen:SE451236_06015
ko:K12524	seen:SE451236_06020
ko:K00872	seen:SE451236_06025
ko:K01733	seen:SE451236_06030
ko:K09861	seen:SE451236_06035
ko:K03310	seen:SE451236_06040
ko:K00616	seen:SE451236_06045
ko:K01579	seen:SE451236_06920
ko:K01918	seen:SE451236_06925
ko:K00606	seen:SE451236_06930
ko:K00950	seen:SE451236_06935
ko:K00970	seen:SE451236_06940
ko:K01894	seen:SE451236_06945
ko:K06204	seen:SE451236_06950
ko:K06206	seen:SE451236_06955
ko:K01975	seen:SE451236_06960
ko:K03579	seen:SE451236_06965
ko:K05365	seen:SE451236_06970
ko:K02014	seen:SE451236_06975
ko:K02013	seen:SE451236_06980
ko:K02016	seen:SE451236_06985
ko:K02015	seen:SE451236_06990
ko:K01845	seen:SE451236_07030
ko:K03281	seen:SE451236_07035
ko:K15724	seen:SE451236_07040
ko:K03297	seen:SE451236_14185
ko:K19595	seen:SE451236_07775
ko:K01625	seen:SE451236_15365
ko:K01690	seen:SE451236_15370
ko:K00036	seen:SE451236_15375
ko:K00873	seen:SE451236_15385
ko:K09817	seen:SE451236_15400
ko:K09816	seen:SE451236_15405
ko:K03551	seen:SE451236_15410
ko:K03550	seen:SE451236_15415
ko:K01159	seen:SE451236_15435
ko:K08310	seen:SE451236_15445
ko:K01876	seen:SE451236_15450
ko:K07136	seen:SE451236_15465
ko:K15256	seen:SE451236_15470
ko:K15257	seen:SE451236_15475
ko:K09907	seen:SE451236_15485
ko:K01887	seen:SE451236_15490
ko:K05515	seen:SE451236_15495
ko:K15532	seen:SE451236_15500
ko:K03516	seen:SE451236_15505
ko:K02400	seen:SE451236_15510
ko:K02401	seen:SE451236_15515
ko:K03598	seen:SE451236_19440
ko:K03597	seen:SE451236_19445
ko:K03088	seen:SE451236_19450
ko:K00278	seen:SE451236_19455
ko:K05590	seen:SE451236_19465
ko:K11249	seen:SE451236_19475
ko:K03648	seen:SE451236_19485
ko:K03214	seen:SE451236_19490
ko:K03672	seen:SE451236_19495
ko:K01990	seen:SE451236_10110
ko:K09690	seen:SE451236_09640
ko:K08348	seen:SE451236_13760
ko:K02345	seen:SE451236_15320
ko:K03111	seen:SE451236_04310
ko:K02032	seen:SE451236_12155
ko:K02031	seen:SE451236_12150
ko:K18292	seen:SE451236_21715
ko:K10906	seen:SE451236_19415
ko:K18968	seen:SE451236_07940
ko:K06148	seen:SE451236_04340
ko:K18984	seen:SE451236_12845
ko:K19611	seen:SE451236_19980
ko:K14744	seen:SE451236_16070
ko:K00526	seen:SE451236_17585
ko:K00287	seen:SE451236_06445
ko:K19221	seen:SE451236_14535
ko:K00632	seen:SE451236_18150
ko:K10906	seen:SE451236_10885
ko:K00254	seen:SE451236_11150
ko:K01175	seen:SE451236_09505
ko:K12455	seen:SE451236_16655
ko:K13654	seen:SE451236_13850
ko:K01139	seen:SE451236_02205
ko:K07274	seen:SE451236_12290
ko:K19230	seen:SE451236_14415
ko:K18828	seen:SE451236_21265
ko:K00537	seen:SE451236_18705
ko:K18816	seen:SE451236_14005
ko:K07012	seen:SE451236_20815
ko:K01420	seen:SE451236_14230
ko:K09477	seen:SE451236_09115
ko:K03559	seen:SE451236_21910
ko:K00040	seen:SE451236_21800
ko:K03779	seen:SE451236_22890
ko:K00151	seen:SE451236_11360
ko:K00265	seen:SE451236_22765
ko:K00821	seen:SE451236_03565
ko:K00951	seen:SE451236_20880
ko:K17713	seen:SE451236_18815
ko:K03604	seen:SE451236_13015
ko:K03417	seen:SE451236_07850
ko:K06075	seen:SE451236_13085
ko:K07245	seen:SE451236_15310
ko:K08302	seen:SE451236_22390
ko:K07709	seen:SE451236_00035
ko:K07307	seen:SE451236_04570
ko:K07308	seen:SE451236_04575
ko:K00247	seen:SE451236_04735
ko:K00245	seen:SE451236_04745
ko:K00244	seen:SE451236_04750
ko:K06889	seen:SE451236_04935
ko:K03476	seen:SE451236_04945
ko:K03475	seen:SE451236_04950
ko:K02822	seen:SE451236_04955
ko:K02821	seen:SE451236_04960
ko:K03079	seen:SE451236_04970
ko:K03077	seen:SE451236_04975
ko:K01119	seen:SE451236_05045
ko:K01082	seen:SE451236_05050
ko:K07304	seen:SE451236_05070
ko:K11907	seen:SE451236_07380
ko:K03148	seen:SE451236_00090
ko:K00867	seen:SE451236_00195
ko:K08314	seen:SE451236_00335
ko:K05499	seen:SE451236_00415
ko:K02446	seen:SE451236_00465
ko:K11530	seen:SE451236_00495
ko:K13283	seen:SE451236_00585
ko:K07640	seen:SE451236_00600
ko:K02855	seen:SE451236_00655
ko:K01813	seen:SE451236_00665
ko:K01629	seen:SE451236_00670
ko:K00124	seen:SE451236_00725
ko:K00127	seen:SE451236_00730
ko:K00230	seen:SE451236_00965
ko:K03498	seen:SE451236_00970
ko:K00852	seen:SE451236_01460
ko:K10439	seen:SE451236_01465
ko:K10440	seen:SE451236_01470
ko:K03718	seen:SE451236_01505
ko:K11901	seen:SE451236_07385
ko:K11900	seen:SE451236_07390
ko:K11903	seen:SE451236_07395
ko:K11903	seen:SE451236_07410
ko:K11906	seen:SE451236_07415
ko:K11893	seen:SE451236_07420
ko:K11892	seen:SE451236_07425
ko:K11891	seen:SE451236_07440
ko:K11890	seen:SE451236_07445
ko:K07347	seen:SE451236_07535
ko:K03271	seen:SE451236_07580
ko:K02346	seen:SE451236_07595
ko:K02839	seen:SE451236_07605
ko:K11750	seen:SE451236_07620
ko:K11926	seen:SE451236_07625
ko:K11929	seen:SE451236_07630
ko:K00931	seen:SE451236_07635
ko:K00147	seen:SE451236_07640
ko:K11941	seen:SE451236_11595
ko:K03670	seen:SE451236_11600
ko:K03669	seen:SE451236_11605
ko:K12147	seen:SE451236_11615
ko:K02517	seen:SE451236_11625
ko:K07146	seen:SE451236_11630
ko:K02846	seen:SE451236_11650
ko:K12148	seen:SE451236_11655
ko:K12149	seen:SE451236_11660
ko:K01465	seen:SE451236_11665
ko:K03675	seen:SE451236_11675
ko:K08162	seen:SE451236_11680
ko:K03790	seen:SE451236_11685
ko:K09915	seen:SE451236_11690
ko:K03980	seen:SE451236_11700
ko:K02399	seen:SE451236_11705
ko:K02398	seen:SE451236_11710
ko:K02386	seen:SE451236_11715
ko:K02387	seen:SE451236_11720
ko:K02388	seen:SE451236_11725
ko:K02389	seen:SE451236_11730
ko:K02390	seen:SE451236_11735
ko:K02391	seen:SE451236_11740
ko:K02392	seen:SE451236_11745
ko:K02393	seen:SE451236_11750
ko:K02394	seen:SE451236_11755
ko:K02395	seen:SE451236_11760
ko:K02396	seen:SE451236_11765
ko:K02397	seen:SE451236_11770
ko:K08300	seen:SE451236_11775
ko:K07040	seen:SE451236_11800
ko:K02911	seen:SE451236_11805
ko:K03621	seen:SE451236_11810
ko:K00648	seen:SE451236_11815
ko:K00645	seen:SE451236_11820
ko:K02078	seen:SE451236_11830
ko:K09458	seen:SE451236_11835
ko:K07082	seen:SE451236_11845
ko:K00943	seen:SE451236_11850
ko:K02409	seen:SE451236_15780
ko:K02410	seen:SE451236_15785
ko:K02411	seen:SE451236_15790
ko:K02412	seen:SE451236_15795
ko:K02413	seen:SE451236_15800
ko:K02415	seen:SE451236_15810
ko:K02416	seen:SE451236_15815
ko:K02417	seen:SE451236_15820
ko:K02418	seen:SE451236_15825
ko:K02419	seen:SE451236_15830
ko:K02420	seen:SE451236_15835
ko:K02421	seen:SE451236_15840
ko:K07781	seen:SE451236_15845
ko:K07026	seen:SE451236_15860
ko:K09781	seen:SE451236_15875
ko:K07458	seen:SE451236_15885
ko:K06950	seen:SE451236_15895
ko:K03704	seen:SE451236_15910
ko:K12542	seen:SE451236_19920
ko:K09824	seen:SE451236_19995
ko:K07241	seen:SE451236_20010
ko:K07649	seen:SE451236_20015
ko:K07774	seen:SE451236_20020
ko:K07795	seen:SE451236_20025
ko:K15737	seen:SE451236_20040
ko:K15736	seen:SE451236_20045
ko:K11735	seen:SE451236_20060
ko:K15735	seen:SE451236_20065
ko:K00375	seen:SE451236_20115
ko:K02000	seen:SE451236_20145
ko:K02001	seen:SE451236_20150
ko:K02002	seen:SE451236_20155
ko:K15974	seen:SE451236_20165
ko:K03543	seen:SE451236_20170
ko:K03446	seen:SE451236_20175
ko:K17467	seen:SE451236_02070
ko:K00998	seen:SE451236_19510
ko:K05811	seen:SE451236_19515
ko:K03695	seen:SE451236_19550
ko:K05810	seen:SE451236_19555
ko:K06180	seen:SE451236_19560
ko:K05807	seen:SE451236_19565
ko:K05809	seen:SE451236_19570
ko:K14170	seen:SE451236_19575
ko:K14187	seen:SE451236_19585
ko:K01626	seen:SE451236_19590
ko:K13636	seen:SE451236_01905
ko:K00852	seen:SE451236_01945
ko:K07784	seen:SE451236_01975
ko:K02775	seen:SE451236_02005
ko:K11189	seen:SE451236_02020
ko:K03535	seen:SE451236_02430
ko:K00101	seen:SE451236_02450
ko:K02798	seen:SE451236_02495
ko:K02799	seen:SE451236_02495
ko:K02800	seen:SE451236_02495
ko:K01176	seen:SE451236_02600
ko:K02116	seen:SE451236_01525
ko:K03796	seen:SE451236_02610
ko:K00854	seen:SE451236_02625
ko:K03830	seen:SE451236_02655
ko:K00099	seen:SE451236_07120
ko:K00806	seen:SE451236_07125
ko:K00981	seen:SE451236_07130
ko:K11749	seen:SE451236_07135
ko:K07277	seen:SE451236_07140
ko:K06142	seen:SE451236_07145
ko:K02536	seen:SE451236_07150
ko:K02372	seen:SE451236_07155
ko:K00677	seen:SE451236_07160
ko:K00748	seen:SE451236_07165
ko:K03470	seen:SE451236_07170
ko:K02337	seen:SE451236_07175
ko:K01962	seen:SE451236_07180
ko:K04075	seen:SE451236_07200
ko:K15034	seen:SE451236_07220
ko:K06079	seen:SE451236_07225
ko:K01881	seen:SE451236_07230
ko:K06080	seen:SE451236_07240
ko:K02073	seen:SE451236_07245
ko:K02072	seen:SE451236_07250
ko:K02071	seen:SE451236_07255
ko:K03273	seen:SE451236_07260
ko:K06222	seen:SE451236_07295
ko:K08307	seen:SE451236_07320
ko:K11902	seen:SE451236_07350
ko:K11895	seen:SE451236_07355
ko:K11896	seen:SE451236_07360
ko:K11897	seen:SE451236_07365
ko:K11898	seen:SE451236_07370
ko:K07127	seen:SE451236_11335
ko:K05921	seen:SE451236_11355
ko:K00455	seen:SE451236_11365
ko:K02509	seen:SE451236_11375
ko:K02511	seen:SE451236_11385
ko:K02508	seen:SE451236_11390
ko:K05516	seen:SE451236_11405
ko:K01085	seen:SE451236_11430
ko:K03809	seen:SE451236_11440
ko:K13821	seen:SE451236_11460
ko:K12972	seen:SE451236_11525
ko:K06214	seen:SE451236_11545
ko:K04338	seen:SE451236_11550
ko:K04337	seen:SE451236_11555
ko:K04335	seen:SE451236_11565
ko:K04334	seen:SE451236_11570
ko:K04336	seen:SE451236_11575
ko:K03414	seen:SE451236_15520
ko:K03413	seen:SE451236_15525
ko:K03412	seen:SE451236_15530
ko:K03408	seen:SE451236_15550
ko:K03407	seen:SE451236_15555
ko:K02557	seen:SE451236_15560
ko:K02556	seen:SE451236_15565
ko:K02402	seen:SE451236_15570
ko:K02403	seen:SE451236_15575
ko:K14064	seen:SE451236_15580
ko:K00697	seen:SE451236_15585
ko:K01087	seen:SE451236_15590
ko:K02255	seen:SE451236_15605
ko:K02217	seen:SE451236_15620
ko:K03834	seen:SE451236_15630
ko:K07039	seen:SE451236_15635
ko:K00995	seen:SE451236_15670
ko:K03703	seen:SE451236_15675
ko:K07689	seen:SE451236_15680
ko:K10010	seen:SE451236_15690
ko:K10009	seen:SE451236_15695
ko:K02424	seen:SE451236_15705
ko:K02425	seen:SE451236_15710
ko:K02405	seen:SE451236_15715
ko:K02406	seen:SE451236_15730
ko:K02407	seen:SE451236_15735
ko:K02422	seen:SE451236_15740
ko:K02423	seen:SE451236_15745
ko:K07112	seen:SE451236_15760
ko:K02408	seen:SE451236_15775
ko:K02884	seen:SE451236_19830
ko:K00554	seen:SE451236_19835
ko:K02860	seen:SE451236_19840
ko:K02959	seen:SE451236_19845
ko:K03106	seen:SE451236_19850
ko:K03687	seen:SE451236_19870
ko:K00858	seen:SE451236_19875
ko:K03631	seen:SE451236_19880
ko:K06186	seen:SE451236_19885
ko:K09801	seen:SE451236_19890
ko:K03664	seen:SE451236_19900
ko:K12543	seen:SE451236_19910
ko:K12541	seen:SE451236_19915
ko:K00090	seen:SE451236_02690
ko:K07792	seen:SE451236_02920
ko:K01424	seen:SE451236_02925
ko:K00383	seen:SE451236_02930
ko:K06149	seen:SE451236_02960
ko:K04085	seen:SE451236_03025
ko:K03406	seen:SE451236_03030
ko:K05814	seen:SE451236_03130
ko:K05815	seen:SE451236_03135
ko:K05816	seen:SE451236_03140
ko:K07048	seen:SE451236_03160
ko:K03825	seen:SE451236_03185
ko:K00851	seen:SE451236_03205
ko:K00700	seen:SE451236_03220
ko:K02441	seen:SE451236_03290
ko:K01974	seen:SE451236_03315
ko:K07491	seen:SE451236_03510
ko:K01664	seen:SE451236_03560
ko:K10914	seen:SE451236_03575
ko:K09898	seen:SE451236_03590
ko:K07019	seen:SE451236_03595
ko:K02506	seen:SE451236_03695
ko:K03499	seen:SE451236_03850
ko:K03747	seen:SE451236_03875
ko:K13641	seen:SE451236_03965
ko:K00548	seen:SE451236_03970
ko:K00799	seen:SE451236_04365
ko:K03316	seen:SE451236_04380
ko:K04015	seen:SE451236_04430
ko:K04018	seen:SE451236_04440
ko:K07126	seen:SE451236_04450
ko:K04750	seen:SE451236_04475
ko:K11104	seen:SE451236_04540
ko:K07792	seen:SE451236_04550
ko:K00602	seen:SE451236_00020
ko:K01945	seen:SE451236_00025
ko:K07803	seen:SE451236_00040
ko:K05787	seen:SE451236_00050
ko:K09891	seen:SE451236_00055
ko:K05982	seen:SE451236_00060
ko:K01599	seen:SE451236_00065
ko:K03426	seen:SE451236_00070
ko:K07740	seen:SE451236_00075
ko:K03147	seen:SE451236_00080
ko:K00788	seen:SE451236_00085
ko:K03154	seen:SE451236_00095
ko:K03149	seen:SE451236_00100
ko:K03150	seen:SE451236_00105
ko:K03046	seen:SE451236_00130
ko:K03043	seen:SE451236_00135
ko:K02935	seen:SE451236_00140
ko:K02864	seen:SE451236_00145
ko:K02863	seen:SE451236_00150
ko:K02867	seen:SE451236_00155
ko:K02601	seen:SE451236_00160
ko:K03073	seen:SE451236_00165
ko:K02358	seen:SE451236_00170
ko:K03524	seen:SE451236_00200
ko:K00075	seen:SE451236_00205
ko:K01776	seen:SE451236_00235
ko:K16092	seen:SE451236_00240
ko:K00322	seen:SE451236_00260
ko:K04761	seen:SE451236_00265
ko:K01755	seen:SE451236_00270
ko:K00930	seen:SE451236_00275
ko:K00145	seen:SE451236_00280
ko:K01438	seen:SE451236_00285
ko:K01595	seen:SE451236_00290
ko:K11202	seen:SE451236_00305
ko:K04069	seen:SE451236_00310
ko:K00656	seen:SE451236_00315
ko:K11202	seen:SE451236_00320
ko:K11203	seen:SE451236_00325
ko:K08483	seen:SE451236_00330
ko:K11189	seen:SE451236_00330
ko:K11201	seen:SE451236_00330
ko:K00005	seen:SE451236_00340
ko:K09974	seen:SE451236_00345
ko:K03782	seen:SE451236_00350
ko:K00297	seen:SE451236_00355
ko:K12525	seen:SE451236_00380
ko:K03764	seen:SE451236_00390
ko:K02909	seen:SE451236_00405
ko:K04066	seen:SE451236_00410
ko:K03591	seen:SE451236_00420
ko:K01419	seen:SE451236_00425
ko:K03667	seen:SE451236_00430
ko:K02548	seen:SE451236_00435
ko:K02553	seen:SE451236_00440
ko:K09892	seen:SE451236_00445
ko:K02440	seen:SE451236_00455
ko:K00864	seen:SE451236_00460
ko:K00528	seen:SE451236_00470
ko:K01803	seen:SE451236_00485
ko:K01783	seen:SE451236_00490
ko:K08321	seen:SE451236_00500
ko:K10555	seen:SE451236_00505
ko:K10557	seen:SE451236_00510
ko:K10556	seen:SE451236_00515
ko:K10558	seen:SE451236_00520
ko:K11531	seen:SE451236_00525
ko:K11216	seen:SE451236_00530
ko:K00847	seen:SE451236_00560
ko:K01521	seen:SE451236_00570
ko:K02048	seen:SE451236_00575
ko:K00850	seen:SE451236_00580
ko:K06006	seen:SE451236_00590
ko:K04564	seen:SE451236_00615
ko:K02856	seen:SE451236_00645
ko:K02854	seen:SE451236_00650
ko:K00848	seen:SE451236_00660
ko:K03534	seen:SE451236_00680
ko:K02379	seen:SE451236_00710
ko:K00123	seen:SE451236_00720
ko:K02380	seen:SE451236_00735
ko:K07560	seen:SE451236_00770
ko:K07058	seen:SE451236_00775
ko:K08318	seen:SE451236_00795
ko:K01671	seen:SE451236_00800
ko:K15922	seen:SE451236_00815
ko:K06207	seen:SE451236_00865
ko:K01915	seen:SE451236_00870
ko:K07708	seen:SE451236_00875
ko:K07712	seen:SE451236_00880
ko:K09894	seen:SE451236_00890
ko:K03978	seen:SE451236_00900
ko:K03673	seen:SE451236_00915
ko:K09896	seen:SE451236_00925
ko:K03752	seen:SE451236_00930
ko:K03753	seen:SE451236_00935
ko:K01825	seen:SE451236_00985
ko:K05368	seen:SE451236_01000
ko:K03182	seen:SE451236_01005
ko:K03424	seen:SE451236_01015
ko:K03118	seen:SE451236_01020
ko:K03117	seen:SE451236_01025
ko:K03116	seen:SE451236_01030
ko:K03688	seen:SE451236_01035
ko:K03690	seen:SE451236_01040
ko:K03183	seen:SE451236_01045
ko:K09760	seen:SE451236_01050
ko:K00757	seen:SE451236_01055
ko:K01061	seen:SE451236_01060
ko:K06871	seen:SE451236_01065
ko:K00549	seen:SE451236_01075
ko:K03576	seen:SE451236_01080
ko:K01754	seen:SE451236_01370
ko:K01687	seen:SE451236_01375
ko:K00826	seen:SE451236_01380
ko:K11258	seen:SE451236_01385
ko:K01652	seen:SE451236_01390
ko:K07391	seen:SE451236_01400
ko:K09897	seen:SE451236_01405
ko:K02529	seen:SE451236_01455
ko:K10441	seen:SE451236_01475
ko:K06726	seen:SE451236_01480
ko:K03549	seen:SE451236_01485
ko:K03924	seen:SE451236_01490
ko:K01914	seen:SE451236_01500
ko:K06205	seen:SE451236_01510
ko:K03495	seen:SE451236_01515
ko:K03501	seen:SE451236_01520
ko:K02108	seen:SE451236_01530
ko:K02110	seen:SE451236_01535
ko:K02109	seen:SE451236_01540
ko:K02113	seen:SE451236_01545
ko:K02111	seen:SE451236_01550
ko:K02115	seen:SE451236_01555
ko:K02112	seen:SE451236_01560
ko:K02114	seen:SE451236_01565
ko:K06890	seen:SE451236_01575
ko:K04042	seen:SE451236_01585
ko:K00820	seen:SE451236_01590
ko:K00014	seen:SE451236_01600
ko:K02769	seen:SE451236_01605
ko:K02770	seen:SE451236_01605
ko:K02040	seen:SE451236_01610
ko:K02037	seen:SE451236_01615
ko:K02038	seen:SE451236_01620
ko:K01753	seen:SE451236_01895
ko:K13629	seen:SE451236_01900
ko:K08154	seen:SE451236_01915
ko:K01652	seen:SE451236_01930
ko:K01653	seen:SE451236_01935
ko:K11534	seen:SE451236_01940
ko:K02429	seen:SE451236_01950
ko:K07675	seen:SE451236_01965
ko:K07783	seen:SE451236_01970
ko:K02773	seen:SE451236_01995
ko:K02774	seen:SE451236_02000
ko:K07726	seen:SE451236_02025
ko:K02169	seen:SE451236_10010
ko:K01935	seen:SE451236_10015
ko:K03702	seen:SE451236_10020
ko:K03639	seen:SE451236_10035
ko:K03638	seen:SE451236_10040
ko:K03637	seen:SE451236_10045
ko:K03636	seen:SE451236_10050
ko:K06890	seen:SE451236_10060
ko:K06890	seen:SE451236_10065
ko:K01993	seen:SE451236_10115
ko:K11927	seen:SE451236_10125
ko:K10037	seen:SE451236_10170
ko:K10036	seen:SE451236_10175
ko:K04047	seen:SE451236_10185
ko:K11939	seen:SE451236_10190
ko:K11934	seen:SE451236_10195
ko:K11924	seen:SE451236_10210
ko:K00656	seen:SE451236_10250
ko:K04069	seen:SE451236_10255
ko:K03750	seen:SE451236_10265
ko:K16074	seen:SE451236_14210
ko:K14055	seen:SE451236_14235
ko:K16052	seen:SE451236_14245
ko:K15580	seen:SE451236_14325
ko:K14054	seen:SE451236_14330
ko:K11065	seen:SE451236_14340
ko:K03721	seen:SE451236_14350
ko:K08990	seen:SE451236_14355
ko:K06918	seen:SE451236_14360
ko:K03971	seen:SE451236_14370
ko:K03970	seen:SE451236_14380
ko:K03969	seen:SE451236_14385
ko:K03974	seen:SE451236_14390
ko:K00208	seen:SE451236_14430
ko:K01147	seen:SE451236_14440
ko:K14051	seen:SE451236_14445
ko:K04062	seen:SE451236_14460
ko:K03113	seen:SE451236_14465
ko:K01591	seen:SE451236_14470
ko:K14347	seen:SE451236_18345
ko:K09954	seen:SE451236_18350
ko:K01972	seen:SE451236_18355
ko:K03528	seen:SE451236_18360
ko:K06203	seen:SE451236_18365
ko:K01738	seen:SE451236_18370
ko:K00868	seen:SE451236_18400
ko:K01951	seen:SE451236_18410
ko:K12339	seen:SE451236_18425
ko:K02045	seen:SE451236_18430
ko:K02047	seen:SE451236_18435
ko:K02046	seen:SE451236_18440
ko:K02048	seen:SE451236_18445
ko:K07223	seen:SE451236_18455
ko:K01448	seen:SE451236_18475
ko:K00228	seen:SE451236_18480
ko:K04033	seen:SE451236_18495
ko:K04025	seen:SE451236_18500
ko:K04026	seen:SE451236_18505
ko:K03736	seen:SE451236_18510
ko:K03735	seen:SE451236_18515
ko:K04019	seen:SE451236_18520
ko:K04023	seen:SE451236_18525
ko:K04022	seen:SE451236_18530
ko:K04024	seen:SE451236_18535
ko:K04021	seen:SE451236_18540
ko:K04027	seen:SE451236_18550
