ko:K19744	paev:N297_3988
ko:K01878	paev:N297_9
ko:K12253	paev:N297_5149
ko:K16636	paev:N297_47
ko:K01007	paev:N297_1818
ko:K00108	paev:N297_2190
ko:K03499	paev:N297_16
ko:K04096	paev:N297_21
ko:K07566	paev:N297_22
ko:K03321	paev:N297_29
ko:K02517	paev:N297_11
ko:K00604	paev:N297_18
ko:K02002	paev:N297_30
ko:K00014	paev:N297_25
ko:K01133	paev:N297_31
ko:K10253	paev:N297_34
ko:K01462	paev:N297_19
ko:K07690	paev:N297_35
ko:K00228	paev:N297_24
ko:K03500	paev:N297_17
ko:K09125	paev:N297_13
ko:K01695	paev:N297_36
ko:K07491	paev:N297_43
ko:K15125	paev:N297_42
ko:K07491	paev:N297_44
ko:K01696	paev:N297_37
ko:K09165	paev:N297_39
ko:K06148	paev:N297_887
ko:K07092	paev:N297_4961
ko:K09792	paev:N297_1589
ko:K01533	paev:N297_1591
ko:K09926	paev:N297_1592
ko:K00406	paev:N297_1594
ko:K01247	paev:N297_1733
ko:K00797	paev:N297_1734
ko:K03229	paev:N297_1737
ko:K03228	paev:N297_1738
ko:K03227	paev:N297_1739
ko:K03226	paev:N297_1740
ko:K03225	paev:N297_1741
ko:K03224	paev:N297_1744
ko:K04058	paev:N297_1745
ko:K03230	paev:N297_1750
ko:K06996	paev:N297_1718
ko:K01495	paev:N297_1720
ko:K07320	paev:N297_1724
ko:K06889	paev:N297_1726
ko:K01736	paev:N297_1727
ko:K05820	paev:N297_1728
ko:K08964	paev:N297_1729
ko:K08967	paev:N297_1730
ko:K09880	paev:N297_1731
ko:K09781	paev:N297_1914
ko:K02017	paev:N297_1919
ko:K02018	paev:N297_1920
ko:K02020	paev:N297_1921
ko:K02452	paev:N297_1926
ko:K02453	paev:N297_1927
ko:K16074	paev:N297_1932
ko:K12543	paev:N297_1934
ko:K12541	paev:N297_1935
ko:K12542	paev:N297_1936
ko:K07023	paev:N297_1937
ko:K07303	paev:N297_1939
ko:K07302	paev:N297_1940
ko:K00330	paev:N297_1943
ko:K02336	paev:N297_1945
ko:K00799	paev:N297_1950
ko:K01434	paev:N297_1953
ko:K07782	paev:N297_1958
ko:K01626	paev:N297_1961
ko:K03311	paev:N297_2033
ko:K03760	paev:N297_2034
ko:K00138	paev:N297_2047
ko:K06135	paev:N297_2048
ko:K06136	paev:N297_2049
ko:K06137	paev:N297_2050
ko:K06138	paev:N297_2051
ko:K06139	paev:N297_2052
ko:K09957	paev:N297_2057
ko:K03769	paev:N297_2059
ko:K01907	paev:N297_2060
ko:K17737	paev:N297_2061
ko:K01028	paev:N297_2062
ko:K01029	paev:N297_2063
ko:K00626	paev:N297_2064
ko:K07130	paev:N297_2146
ko:K01953	paev:N297_2149
ko:K01561	paev:N297_2151
ko:K02014	paev:N297_2154
ko:K03088	paev:N297_2158
ko:K00077	paev:N297_1800
ko:K13634	paev:N297_1802
ko:K00390	paev:N297_1804
ko:K02203	paev:N297_1805
ko:K01665	paev:N297_1806
ko:K03556	paev:N297_1807
ko:K03556	paev:N297_1808
ko:K09773	paev:N297_1817
ko:K02553	paev:N297_1820
ko:K16074	paev:N297_1821
ko:K03088	paev:N297_1824
ko:K03286	paev:N297_1825
ko:K02303	paev:N297_1826
ko:K00372	paev:N297_1827
ko:K00363	paev:N297_1828
ko:K00362	paev:N297_1829
ko:K02575	paev:N297_1831
ko:K01682	paev:N297_1835
ko:K06938	paev:N297_1836
ko:K06169	paev:N297_1838
ko:K03269	paev:N297_1840
ko:K03768	paev:N297_1841
ko:K01886	paev:N297_1842
ko:K01883	paev:N297_1843
ko:K01491	paev:N297_1844
ko:K03545	paev:N297_1854
ko:K01358	paev:N297_1855
ko:K03544	paev:N297_1856
ko:K01338	paev:N297_1857
ko:K03530	paev:N297_1858
ko:K03770	paev:N297_1860
ko:K00208	paev:N297_1861
ko:K13896	paev:N297_1862
ko:K13895	paev:N297_1863
ko:K00688	paev:N297_2212
ko:K03781	paev:N297_2216
ko:K06048	paev:N297_2253
ko:K07217	paev:N297_2257
ko:K00167	paev:N297_2321
ko:K09699	paev:N297_2322
ko:K00382	paev:N297_2323
ko:K03310	paev:N297_2325
ko:K01424	paev:N297_2326
ko:K02525	paev:N297_2332
ko:K11441	paev:N297_2334
ko:K00032	paev:N297_2336
ko:K06152	paev:N297_2337
ko:K06151	paev:N297_2338
ko:K03587	paev:N297_2345
ko:K13639	paev:N297_2346
ko:K13979	paev:N297_2348
ko:K03893	paev:N297_2351
ko:K02014	paev:N297_2362
ko:K00117	paev:N297_2363
ko:K07267	paev:N297_2364
ko:K02049	paev:N297_2367
ko:K02050	paev:N297_2368
ko:K02051	paev:N297_2369
ko:K06998	paev:N297_1964
ko:K02014	paev:N297_1971
ko:K07165	paev:N297_1972
ko:K03088	paev:N297_1973
ko:K09684	paev:N297_1976
ko:K13063	paev:N297_1963
ko:K02106	paev:N297_2065
ko:K00019	paev:N297_2066
ko:K08195	paev:N297_2069
ko:K01555	paev:N297_2071
ko:K00451	paev:N297_2072
ko:K01640	paev:N297_2074
ko:K01968	paev:N297_2075
ko:K13766	paev:N297_2076
ko:K01969	paev:N297_2077
ko:K00253	paev:N297_2078
ko:K18095	paev:N297_2082
ko:K18094	paev:N297_2083
ko:K18129	paev:N297_2084
ko:K00012	paev:N297_2086
ko:K00963	paev:N297_2087
ko:K00383	paev:N297_2089
ko:K14347	paev:N297_2090
ko:K05800	paev:N297_2092
ko:K09815	paev:N297_2479
ko:K09817	paev:N297_2480
ko:K09816	paev:N297_2481
ko:K00836	paev:N297_2485
ko:K01194	paev:N297_2488
ko:K06911	paev:N297_2490
ko:K03088	paev:N297_2498
ko:K04087	paev:N297_2511
ko:K00605	paev:N297_2515
ko:K01752	paev:N297_2516
ko:K00600	paev:N297_2517
ko:K00281	paev:N297_2518
ko:K02437	paev:N297_2519
ko:K03710	paev:N297_2372
ko:K02050	paev:N297_2380
ko:K02049	paev:N297_2381
ko:K02051	paev:N297_2382
ko:K03119	paev:N297_2383
ko:K09471	paev:N297_2390
ko:K06995	paev:N297_2391
ko:K06145	paev:N297_2393
ko:K00851	paev:N297_2394
ko:K03299	paev:N297_2395
ko:K00131	paev:N297_2397
ko:K02050	paev:N297_2401
ko:K02051	paev:N297_2402
ko:K02049	paev:N297_2403
ko:K02014	paev:N297_2409
ko:K10227	paev:N297_2412
ko:K10228	paev:N297_2413
ko:K10229	paev:N297_2414
ko:K10111	paev:N297_2415
ko:K00045	paev:N297_2416
ko:K00854	paev:N297_2417
ko:K00847	paev:N297_2418
ko:K17218	paev:N297_2419
ko:K16137	paev:N297_2269
ko:K15125	paev:N297_2533
ko:K02014	paev:N297_2537
ko:K03088	paev:N297_2539
ko:K00450	paev:N297_2541
ko:K16165	paev:N297_2542
ko:K08195	paev:N297_2543
ko:K03805	paev:N297_2547
ko:K04084	paev:N297_2549
ko:K18297	paev:N297_2563
ko:K18298	paev:N297_2564
ko:K18299	paev:N297_2565
ko:K03449	paev:N297_2571
ko:K02073	paev:N297_2423
ko:K02071	paev:N297_2424
ko:K02072	paev:N297_2425
ko:K01126	paev:N297_2426
ko:K06916	paev:N297_2427
ko:K04091	paev:N297_2430
ko:K00299	paev:N297_2431
ko:K11902	paev:N297_2434
ko:K11891	paev:N297_2435
ko:K11892	paev:N297_2436
ko:K11893	paev:N297_2437
ko:K11901	paev:N297_2439
ko:K11900	paev:N297_2440
ko:K11903	paev:N297_2441
ko:K11896	paev:N297_2443
ko:K11895	paev:N297_2444
ko:K11907	paev:N297_2445
ko:K07303	paev:N297_2451
ko:K07302	paev:N297_2452
ko:K00101	paev:N297_2455
ko:K07116	paev:N297_2458
ko:K03088	paev:N297_2460
ko:K07165	paev:N297_2461
ko:K13888	paev:N297_2462
ko:K05685	paev:N297_2463
ko:K06160	paev:N297_2470
ko:K16088	paev:N297_2471
ko:K06995	paev:N297_1978
ko:K16089	paev:N297_1984
ko:K10531	paev:N297_2459
ko:K02230	paev:N297_1985
ko:K09136	paev:N297_1988
ko:K00549	paev:N297_1989
ko:K03790	paev:N297_1990
ko:K03406	paev:N297_1992
ko:K13483	paev:N297_1993
ko:K11178	paev:N297_1994
ko:K11177	paev:N297_1995
ko:K03657	paev:N297_1997
ko:K10439	paev:N297_2008
ko:K10441	paev:N297_2009
ko:K10440	paev:N297_2010
ko:K02529	paev:N297_2011
ko:K00852	paev:N297_2012
ko:K03811	paev:N297_2020
ko:K06153	paev:N297_2021
ko:K01118	paev:N297_2024
ko:K01826	paev:N297_2028
ko:K15256	paev:N297_2098
ko:K01652	paev:N297_2099
ko:K01915	paev:N297_2104
ko:K14052	paev:N297_2105
ko:K07862	paev:N297_2106
ko:K06177	paev:N297_2107
ko:K08998	paev:N297_2109
ko:K03088	paev:N297_2114
ko:K01725	paev:N297_2116
ko:K01673	paev:N297_2117
ko:K11921	paev:N297_2118
ko:K13893	paev:N297_2122
ko:K13894	paev:N297_2123
ko:K13895	paev:N297_2124
ko:K13896	paev:N297_2125
ko:K04487	paev:N297_2126
ko:K07233	paev:N297_2128
ko:K05820	paev:N297_2132
ko:K00612	paev:N297_2133
ko:K02014	paev:N297_2134
ko:K02355	paev:N297_2135
ko:K01556	paev:N297_2145
ko:K02029	paev:N297_2275
ko:K02029	paev:N297_2276
ko:K02030	paev:N297_2277
ko:K08194	paev:N297_2283
ko:K00097	paev:N297_2285
ko:K06889	paev:N297_2291
ko:K12992	paev:N297_2305
ko:K03168	paev:N297_2316
ko:K00166	paev:N297_2320
ko:K01738	paev:N297_2169
ko:K00640	paev:N297_2170
ko:K00156	paev:N297_2173
ko:K07160	paev:N297_2177
ko:K10778	paev:N297_2183
ko:K07345	paev:N297_2194
ko:K07346	paev:N297_2195
ko:K07347	paev:N297_2196
ko:K08995	paev:N297_2200
ko:K07507	paev:N297_2218
ko:K10979	paev:N297_2220
ko:K16147	paev:N297_2221
ko:K05343	paev:N297_2222
ko:K00700	paev:N297_2223
ko:K07027	paev:N297_2224
ko:K06044	paev:N297_2232
ko:K00705	paev:N297_2233
ko:K01236	paev:N297_2234
ko:K00703	paev:N297_2235
ko:K06889	paev:N297_2238
ko:K03220	paev:N297_1764
ko:K03221	paev:N297_1766
ko:K03222	paev:N297_1770
ko:K03223	paev:N297_1772
ko:K05349	paev:N297_1773
ko:K07395	paev:N297_1780
ko:K07088	paev:N297_1782
ko:K00626	paev:N297_1784
ko:K01782	paev:N297_1785
ko:K01692	paev:N297_1796
ko:K06975	paev:N297_1797
ko:K01626	paev:N297_1798
ko:K03219	paev:N297_1763
ko:K13894	paev:N297_1864
ko:K13893	paev:N297_1865
ko:K13893	paev:N297_1866
ko:K08307	paev:N297_1867
ko:K01069	paev:N297_1868
ko:K03469	paev:N297_1870
ko:K02342	paev:N297_1871
ko:K01584	paev:N297_1873
ko:K03294	paev:N297_1875
ko:K03314	paev:N297_1874
ko:K01692	paev:N297_1876
ko:K03426	paev:N297_1879
ko:K07090	paev:N297_1878
ko:K00059	paev:N297_1882
ko:K04774	paev:N297_1887
ko:K00381	paev:N297_1893
ko:K06941	paev:N297_1896
ko:K00548	paev:N297_1900
ko:K07400	paev:N297_1904
ko:K09984	paev:N297_1906
ko:K07168	paev:N297_1910
ko:K00404	paev:N297_1913
ko:K11073	paev:N297_2671
ko:K15553	paev:N297_2673
ko:K15553	paev:N297_2674
ko:K15553	paev:N297_2675
ko:K04091	paev:N297_2677
ko:K02051	paev:N297_2678
ko:K04091	paev:N297_2679
ko:K07235	paev:N297_2685
ko:K07236	paev:N297_2686
ko:K07237	paev:N297_2687
ko:K11179	paev:N297_2688
ko:K07017	paev:N297_2771
ko:K03885	paev:N297_2773
ko:K03671	paev:N297_2776
ko:K09989	paev:N297_2787
ko:K01738	paev:N297_2791
ko:K11073	paev:N297_2793
ko:K05524	paev:N297_2797
ko:K07727	paev:N297_2884
ko:K01295	paev:N297_2886
ko:K05539	paev:N297_2895
ko:K00616	paev:N297_2896
ko:K04754	paev:N297_2900
ko:K07107	paev:N297_2901
ko:K06879	paev:N297_2906
ko:K07644	paev:N297_2910
ko:K01992	paev:N297_2911
ko:K01990	paev:N297_2912
ko:K06445	paev:N297_2915
ko:K05895	paev:N297_3012
ko:K02014	paev:N297_3014
ko:K02013	paev:N297_3015
ko:K02016	paev:N297_3016
ko:K02015	paev:N297_3018
ko:K02188	paev:N297_3011
ko:K03406	paev:N297_3023
ko:K10014	paev:N297_3026
ko:K10016	paev:N297_3027
ko:K10015	paev:N297_3028
ko:K10017	paev:N297_3029
ko:K10680	paev:N297_3035
ko:K13580	paev:N297_3045
ko:K03405	paev:N297_3046
ko:K01626	paev:N297_3047
ko:K02230	paev:N297_3048
ko:K02234	paev:N297_3049
ko:K02189	paev:N297_3052
ko:K05936	paev:N297_3053
ko:K00209	paev:N297_3055
ko:K03522	paev:N297_3056
ko:K03521	paev:N297_3057
ko:K00311	paev:N297_3058
ko:K09986	paev:N297_3059
ko:K15371	paev:N297_3174
ko:K03924	paev:N297_3176
ko:K07114	paev:N297_3179
ko:K07114	paev:N297_3180
ko:K07003	paev:N297_3185
ko:K01256	paev:N297_3189
ko:K09916	paev:N297_3191
ko:K02441	paev:N297_3192
ko:K00858	paev:N297_3194
ko:K09977	paev:N297_3195
ko:K00219	paev:N297_3198
ko:K02462	paev:N297_3204
ko:K02461	paev:N297_3205
ko:K02460	paev:N297_3206
ko:K02459	paev:N297_3207
ko:K02458	paev:N297_3208
ko:K02457	paev:N297_3209
ko:K02456	paev:N297_3210
ko:K02455	paev:N297_3211
ko:K02454	paev:N297_3212
ko:K02452	paev:N297_3213
ko:K02065	paev:N297_3324
ko:K02067	paev:N297_3325
ko:K06878	paev:N297_3333
ko:K01118	paev:N297_3335
ko:K03767	paev:N297_3339
ko:K09919	paev:N297_3342
ko:K02342	paev:N297_3344
ko:K07182	paev:N297_3345
ko:K14393	paev:N297_3346
ko:K02002	paev:N297_3348
ko:K04754	paev:N297_3351
ko:K06911	paev:N297_3352
ko:K07001	paev:N297_3353
ko:K02517	paev:N297_3354
ko:K03610	paev:N297_3355
ko:K03609	paev:N297_3356
ko:K03608	paev:N297_3357
ko:K06177	paev:N297_3358
ko:K01267	paev:N297_3359
ko:K03817	paev:N297_3360
ko:K02055	paev:N297_3362
ko:K07044	paev:N297_3444
ko:K01358	paev:N297_3445
ko:K00648	paev:N297_3452
ko:K02078	paev:N297_3453
ko:K03274	paev:N297_3456
ko:K07401	paev:N297_3457
ko:K07001	paev:N297_3458
ko:K06075	paev:N297_3460
ko:K03654	paev:N297_3463
ko:K03381	paev:N297_2578
ko:K03464	paev:N297_2579
ko:K05600	paev:N297_2584
ko:K11311	paev:N297_2585
ko:K05783	paev:N297_2586
ko:K05784	paev:N297_2587
ko:K05550	paev:N297_2588
ko:K05549	paev:N297_2589
ko:K15726	paev:N297_2591
ko:K15727	paev:N297_2592
ko:K15725	paev:N297_2593
ko:K07665	paev:N297_2594
ko:K07644	paev:N297_2595
ko:K07789	paev:N297_2598
ko:K07788	paev:N297_2599
ko:K07799	paev:N297_2600
ko:K00817	paev:N297_2603
ko:K11065	paev:N297_2604
ko:K03310	paev:N297_2605
ko:K00981	paev:N297_2608
ko:K00995	paev:N297_2613
ko:K09800	paev:N297_2614
ko:K07278	paev:N297_2615
ko:K01142	paev:N297_2617
ko:K02040	paev:N297_2620
ko:K05794	paev:N297_2621
ko:K02302	paev:N297_2691
ko:K01875	paev:N297_2692
ko:K07478	paev:N297_2693
ko:K03634	paev:N297_2694
ko:K03466	paev:N297_2695
ko:K00384	paev:N297_2696
ko:K00684	paev:N297_2697
ko:K02518	paev:N297_2699
ko:K03694	paev:N297_2700
ko:K06891	paev:N297_2701
ko:K03704	paev:N297_2702
ko:K00031	paev:N297_2703
ko:K00031	paev:N297_2704
ko:K00566	paev:N297_2706
ko:K07153	paev:N297_2707
ko:K01756	paev:N297_2709
ko:K01637	paev:N297_2714
ko:K07093	paev:N297_2715
ko:K00330	paev:N297_2717
ko:K00331	paev:N297_2718
ko:K13378	paev:N297_2719
ko:K00334	paev:N297_2720
ko:K00337	paev:N297_2723
ko:K00338	paev:N297_2724
ko:K00339	paev:N297_2725
ko:K00340	paev:N297_2726
ko:K00341	paev:N297_2727
ko:K00342	paev:N297_2728
ko:K00343	paev:N297_2729
ko:K07393	paev:N297_2690
ko:K03406	paev:N297_2732
ko:K07084	paev:N297_2733
ko:K03406	paev:N297_2734
ko:K09805	paev:N297_2813
ko:K01153	paev:N297_2815
ko:K01154	paev:N297_2817
ko:K03427	paev:N297_2818
ko:K04764	paev:N297_2822
ko:K01890	paev:N297_2823
ko:K01889	paev:N297_2824
ko:K02887	paev:N297_2825
ko:K02916	paev:N297_2826
ko:K02520	paev:N297_2827
ko:K01868	paev:N297_2828
ko:K01265	paev:N297_2835
ko:K01150	paev:N297_2837
ko:K07058	paev:N297_2842
ko:K08276	paev:N297_2848
ko:K06995	paev:N297_2855
ko:K06923	paev:N297_2925
ko:K00432	paev:N297_2928
ko:K07305	paev:N297_2929
ko:K14260	paev:N297_2930
ko:K03799	paev:N297_2932
ko:K00569	paev:N297_2934
ko:K03543	paev:N297_2938
ko:K05592	paev:N297_2942
ko:K01626	paev:N297_2945
ko:K09927	paev:N297_2946
ko:K07090	paev:N297_2949
ko:K02356	paev:N297_2953
ko:K10804	paev:N297_2958
ko:K02003	paev:N297_2959
ko:K02004	paev:N297_2960
ko:K04760	paev:N297_2961
ko:K01975	paev:N297_2963
ko:K15977	paev:N297_2966
ko:K03424	paev:N297_2969
ko:K03424	paev:N297_3064
ko:K02676	paev:N297_3065
ko:K02341	paev:N297_3066
ko:K00943	paev:N297_3067
ko:K07082	paev:N297_3068
ko:K02619	paev:N297_3069
ko:K09458	paev:N297_3070
ko:K02078	paev:N297_3071
ko:K00059	paev:N297_3072
ko:K00645	paev:N297_3073
ko:K03621	paev:N297_3074
ko:K02911	paev:N297_3075
ko:K07040	paev:N297_3076
ko:K04773	paev:N297_3078
ko:K01091	paev:N297_3079
ko:K06179	paev:N297_3080
ko:K08300	paev:N297_3081
ko:K00075	paev:N297_3082
ko:K01104	paev:N297_3083
ko:K00979	paev:N297_3084
ko:K09791	paev:N297_3085
ko:K00912	paev:N297_3086
ko:K03559	paev:N297_3087
ko:K03561	paev:N297_3088
ko:K02238	paev:N297_3089
ko:K09928	paev:N297_3090
ko:K09808	paev:N297_3091
ko:K09810	paev:N297_3092
ko:K09808	paev:N297_3093
ko:K01126	paev:N297_3096
ko:K00322	paev:N297_3097
ko:K05952	paev:N297_3098
ko:K03734	paev:N297_3099
ko:K00351	paev:N297_3100
ko:K00350	paev:N297_3101
ko:K00349	paev:N297_3102
ko:K00348	paev:N297_3103
ko:K00347	paev:N297_3104
ko:K00346	paev:N297_3105
ko:K11734	paev:N297_3106
ko:K00134	paev:N297_3107
ko:K03723	paev:N297_3108
ko:K02453	paev:N297_3214
ko:K10764	paev:N297_3216
ko:K00764	paev:N297_3217
ko:K03558	paev:N297_3218
ko:K03749	paev:N297_3219
ko:K11754	paev:N297_3220
ko:K01963	paev:N297_3221
ko:K01817	paev:N297_3222
ko:K06173	paev:N297_3223
ko:K08086	paev:N297_3224
ko:K00133	paev:N297_3226
ko:K00052	paev:N297_3227
ko:K01704	paev:N297_3229
ko:K01703	paev:N297_3230
ko:K04080	paev:N297_3235
ko:K05541	paev:N297_3238
ko:K07107	paev:N297_3239
ko:K01625	paev:N297_3240
ko:K01885	paev:N297_3247
ko:K03543	paev:N297_3249
ko:K03446	paev:N297_3250
ko:K03702	paev:N297_3251
ko:K00832	paev:N297_3252
ko:K02237	paev:N297_3254
ko:K13007	paev:N297_3257
ko:K13019	paev:N297_3260
ko:K00626	paev:N297_2626
ko:K01895	paev:N297_2628
ko:K00666	paev:N297_2630
ko:K07507	paev:N297_2631
ko:K03406	paev:N297_2636
ko:K03321	paev:N297_2638
ko:K00598	paev:N297_2639
ko:K17218	paev:N297_2641
ko:K03406	paev:N297_2650
ko:K00496	paev:N297_2651
ko:K07078	paev:N297_2652
ko:K03719	paev:N297_2654
ko:K00453	paev:N297_2656
ko:K03923	paev:N297_2657
ko:K03607	paev:N297_2660
ko:K07679	paev:N297_2661
ko:K03703	paev:N297_2664
ko:K02014	paev:N297_2669
ko:K07234	paev:N297_2743
ko:K05916	paev:N297_2745
ko:K12266	paev:N297_2746
ko:K01737	paev:N297_2747
ko:K02459	paev:N297_2753
ko:K02458	paev:N297_2754
ko:K02456	paev:N297_2755
ko:K02456	paev:N297_2756
ko:K02455	paev:N297_2757
ko:K02454	paev:N297_2758
ko:K01061	paev:N297_2763
ko:K07223	paev:N297_2860
ko:K03574	paev:N297_2865
ko:K09471	paev:N297_2875
ko:K03924	paev:N297_2978
ko:K01591	paev:N297_2979
ko:K02500	paev:N297_3263
ko:K13017	paev:N297_3266
ko:K13018	paev:N297_3267
ko:K13016	paev:N297_3269
ko:K13015	paev:N297_3270
ko:K05789	paev:N297_3271
ko:K02054	paev:N297_3364
ko:K02053	paev:N297_3365
ko:K02052	paev:N297_3366
ko:K03797	paev:N297_3369
ko:K03773	paev:N297_3376
ko:K03554	paev:N297_3379
ko:K03453	paev:N297_3380
ko:K03704	paev:N297_3382
ko:K16091	paev:N297_3384
ko:K07052	paev:N297_2988
ko:K13774	paev:N297_2990
ko:K13778	paev:N297_2991
ko:K11731	paev:N297_2992
ko:K13779	paev:N297_2993
ko:K13777	paev:N297_2994
ko:K13776	paev:N297_2996
ko:K03088	paev:N297_2999
ko:K02030	paev:N297_3005
ko:K13541	paev:N297_3006
ko:K03394	paev:N297_3007
ko:K06042	paev:N297_3008
ko:K02229	paev:N297_3009
ko:K00595	paev:N297_3010
ko:K01207	paev:N297_3111
ko:K01356	paev:N297_3113
ko:K03168	paev:N297_3117
ko:K01825	paev:N297_3120
ko:K06149	paev:N297_3123
ko:K15738	paev:N297_3125
ko:K08309	paev:N297_3126
ko:K07140	paev:N297_3128
ko:K00111	paev:N297_3131
ko:K00803	paev:N297_3132
ko:K03750	paev:N297_3134
ko:K03638	paev:N297_3135
ko:K03752	paev:N297_3136
ko:K00799	paev:N297_3142
ko:K07006	paev:N297_3143
ko:K03320	paev:N297_3146
ko:K01129	paev:N297_3150
ko:K07690	paev:N297_3152
ko:K09923	paev:N297_3153
ko:K07259	paev:N297_3154
ko:K12297	paev:N297_3155
ko:K00254	paev:N297_3156
ko:K05788	paev:N297_3272
ko:K02945	paev:N297_3273
ko:K00945	paev:N297_3274
ko:K00817	paev:N297_3276
ko:K14170	paev:N297_3277
ko:K00831	paev:N297_3278
ko:K02469	paev:N297_3279
ko:K08963	paev:N297_3280
ko:K00568	paev:N297_3282
ko:K01479	paev:N297_3286
ko:K03312	paev:N297_3287
ko:K06178	paev:N297_3290
ko:K03574	paev:N297_3291
ko:K01625	paev:N297_3292
ko:K01057	paev:N297_3293
ko:K00036	paev:N297_3294
ko:K07267	paev:N297_3297
ko:K10112	paev:N297_3298
ko:K17317	paev:N297_3299
ko:K17316	paev:N297_3300
ko:K17315	paev:N297_3301
ko:K00845	paev:N297_3304
ko:K01690	paev:N297_3305
ko:K00134	paev:N297_3306
ko:K06024	paev:N297_3309
ko:K05896	paev:N297_3310
ko:K07053	paev:N297_3312
ko:K06190	paev:N297_3313
ko:K09780	paev:N297_3314
ko:K06940	paev:N297_3321
ko:K03498	paev:N297_3322
ko:K02066	paev:N297_3323
ko:K03724	paev:N297_3388
ko:K09771	paev:N297_3391
ko:K07221	paev:N297_3395
ko:K07221	paev:N297_3396
ko:K09929	paev:N297_3398
ko:K09930	paev:N297_3399
ko:K03088	paev:N297_3402
ko:K16872	paev:N297_3403
ko:K02503	paev:N297_3411
ko:K01077	paev:N297_3412
ko:K03578	paev:N297_3413
ko:K01897	paev:N297_3415
ko:K01897	paev:N297_3416
ko:K03580	paev:N297_3427
ko:K03760	paev:N297_3429
ko:K02044	paev:N297_3432
ko:K02041	paev:N297_3433
ko:K07090	paev:N297_3898
ko:K03601	paev:N297_3901
ko:K08641	paev:N297_3907
ko:K02014	paev:N297_3915
ko:K01649	paev:N297_3917
ko:K14287	paev:N297_3923
ko:K03977	paev:N297_3924
ko:K17713	paev:N297_3925
ko:K01892	paev:N297_3927
ko:K15539	paev:N297_3929
ko:K02656	paev:N297_3930
ko:K06941	paev:N297_3931
ko:K00940	paev:N297_3932
ko:K04755	paev:N297_3934
ko:K04044	paev:N297_3935
ko:K04082	paev:N297_3936
ko:K13628	paev:N297_3937
ko:K04488	paev:N297_3938
ko:K04487	paev:N297_3939
ko:K13643	paev:N297_3940
ko:K00640	paev:N297_3941
ko:K15396	paev:N297_3942
ko:K01092	paev:N297_3943
ko:K03074	paev:N297_3945
ko:K03072	paev:N297_3946
ko:K03210	paev:N297_3947
ko:K00773	paev:N297_3948
ko:K07568	paev:N297_3949
ko:K11720	paev:N297_3953
ko:K07091	paev:N297_3954
ko:K06889	paev:N297_3955
ko:K01255	paev:N297_3957
ko:K02339	paev:N297_3958
ko:K01873	paev:N297_3960
ko:K01989	paev:N297_3962
ko:K05832	paev:N297_3963
ko:K05833	paev:N297_3964
ko:K06970	paev:N297_3966
ko:K03566	paev:N297_3972
ko:K06899	paev:N297_3975
ko:K07461	paev:N297_3980
ko:K01004	paev:N297_3983
ko:K09969	paev:N297_3984
ko:K06999	paev:N297_3985
ko:K02042	paev:N297_3434
ko:K02042	paev:N297_3435
ko:K01114	paev:N297_3438
ko:K09936	paev:N297_3439
ko:K00575	paev:N297_3467
ko:K03415	paev:N297_3468
ko:K02386	paev:N297_3469
ko:K02398	paev:N297_3470
ko:K02399	paev:N297_3471
ko:K09931	paev:N297_3473
