ko:K19405	ctri:BN197_6851
ko:K02435	ctri:BN197_0021
ko:K02434	ctri:BN197_0041
ko:K02517	ctri:BN197_0101
ko:K00425	ctri:BN197_0131
ko:K00426	ctri:BN197_0141
ko:K07175	ctri:BN197_0151
ko:K01870	ctri:BN197_0191
ko:K03100	ctri:BN197_0201
ko:K09760	ctri:BN197_8381
ko:K03439	ctri:BN197_8421
ko:K00075	ctri:BN197_8441
ko:K03625	ctri:BN197_8451
ko:K02520	ctri:BN197_8461
ko:K02916	ctri:BN197_8471
ko:K02887	ctri:BN197_8481
ko:K01889	ctri:BN197_8491
ko:K11720	ctri:BN197_8511
ko:K07091	ctri:BN197_8521
ko:K04075	ctri:BN197_8531
ko:K03798	ctri:BN197_8541
ko:K00962	ctri:BN197_8551
ko:K02956	ctri:BN197_8561
ko:K01265	ctri:BN197_8651
ko:K03321	ctri:BN197_8701
ko:K03527	ctri:BN197_8731
ko:K07058	ctri:BN197_1331
ko:K06999	ctri:BN197_1371
ko:K07566	ctri:BN197_1381
ko:K09125	ctri:BN197_1411
ko:K07039	ctri:BN197_1421
ko:K01972	ctri:BN197_1471
ko:K02913	ctri:BN197_1511
ko:K09808	ctri:BN197_1521
ko:K09810	ctri:BN197_1531
ko:K03720	ctri:BN197_1681
ko:K01696	ctri:BN197_1691
ko:K01695	ctri:BN197_1701
ko:K03611	ctri:BN197_1751
ko:K00979	ctri:BN197_1811
ko:K01937	ctri:BN197_1821
ko:K07447	ctri:BN197_1831
ko:K00036	ctri:BN197_1841
ko:K01057	ctri:BN197_1851
ko:K02343	ctri:BN197_1861
ko:K00943	ctri:BN197_1871
ko:K02469	ctri:BN197_1881
ko:K03224	ctri:BN197_6791
ko:K02417	ctri:BN197_6821
ko:K03219	ctri:BN197_6841
ko:K02838	ctri:BN197_6871
ko:K09903	ctri:BN197_6881
ko:K02357	ctri:BN197_6891
ko:K02967	ctri:BN197_6901
ko:K03162	ctri:BN197_6911
ko:K09013	ctri:BN197_6951
ko:K09015	ctri:BN197_6961
ko:K11717	ctri:BN197_6971
ko:K07220	ctri:BN197_7011
ko:K03306	ctri:BN197_7021
ko:K00927	ctri:BN197_7031
ko:K10773	ctri:BN197_7071
ko:K03650	ctri:BN197_7081
ko:K01613	ctri:BN197_7091
ko:K03070	ctri:BN197_7111
ko:K03977	ctri:BN197_7131
ko:K03544	ctri:BN197_7151
ko:K01358	ctri:BN197_7161
ko:K03545	ctri:BN197_7171
ko:K03569	ctri:BN197_7191
ko:K00057	ctri:BN197_7241
ko:K02412	ctri:BN197_7271
ko:K02411	ctri:BN197_7281
ko:K02409	ctri:BN197_7291
ko:K13819	ctri:BN197_7301
ko:K04487	ctri:BN197_7311
ko:K06178	ctri:BN197_7331
ko:K03524	ctri:BN197_7351
ko:K05837	ctri:BN197_7361
ko:K01875	ctri:BN197_7391
ko:K11752	ctri:BN197_7401
ko:K14652	ctri:BN197_7411
ko:K00794	ctri:BN197_7421
ko:K03310	ctri:BN197_7451
ko:K00351	ctri:BN197_7501
ko:K03210	ctri:BN197_7511
ko:K00231	ctri:BN197_7551
ko:K01599	ctri:BN197_7571
ko:K03723	ctri:BN197_7581
ko:K01872	ctri:BN197_7591
ko:K00615	ctri:BN197_7601
ko:K01241	ctri:BN197_7611
ko:K02356	ctri:BN197_7621
ko:K01929	ctri:BN197_7661
ko:K01000	ctri:BN197_7671
ko:K01925	ctri:BN197_7681
ko:K03588	ctri:BN197_7701
ko:K02563	ctri:BN197_7711
ko:K06960	ctri:BN197_7731
ko:K00791	ctri:BN197_7761
ko:K09710	ctri:BN197_7791
ko:K09458	ctri:BN197_7801
ko:K02909	ctri:BN197_0221
ko:K02835	ctri:BN197_0231
ko:K02493	ctri:BN197_0241
ko:K03106	ctri:BN197_0251
ko:K02959	ctri:BN197_0261
ko:K00554	ctri:BN197_0271
ko:K02884	ctri:BN197_0281
ko:K03470	ctri:BN197_0291
ko:K00942	ctri:BN197_0301
ko:K01874	ctri:BN197_0321
ko:K03581	ctri:BN197_0331
ko:K01494	ctri:BN197_0391
ko:K03551	ctri:BN197_0411
ko:K01255	ctri:BN197_0461
ko:K02340	ctri:BN197_0481
ko:K07056	ctri:BN197_0491
ko:K00164	ctri:BN197_0551
ko:K00658	ctri:BN197_0561
ko:K05810	ctri:BN197_0571
ko:K03526	ctri:BN197_0581
ko:K02400	ctri:BN197_0611
ko:K02405	ctri:BN197_0621
ko:K01866	ctri:BN197_0631
ko:K03596	ctri:BN197_0651
ko:K03301	ctri:BN197_0661
ko:K00099	ctri:BN197_0721
ko:K03629	ctri:BN197_0751
ko:K02338	ctri:BN197_0761
ko:K03664	ctri:BN197_0771
ko:K04564	ctri:BN197_2941
ko:K03685	ctri:BN197_2971
ko:K04485	ctri:BN197_2981
ko:K01749	ctri:BN197_2991
ko:K01873	ctri:BN197_3021
ko:K03046	ctri:BN197_3141
ko:K03043	ctri:BN197_3151
ko:K02935	ctri:BN197_3161
ko:K02864	ctri:BN197_3171
ko:K02863	ctri:BN197_3181
ko:K02867	ctri:BN197_3191
ko:K02601	ctri:BN197_3201
ko:K03073	ctri:BN197_3211
ko:K02358	ctri:BN197_3221
ko:K02518	ctri:BN197_3231
ko:K01803	ctri:BN197_3291
ko:K03601	ctri:BN197_3301
ko:K03602	ctri:BN197_3311
ko:K01662	ctri:BN197_3331
ko:K00873	ctri:BN197_3341
ko:K03701	ctri:BN197_3351
ko:K02343	ctri:BN197_3361
ko:K09747	ctri:BN197_3371
ko:K11381	ctri:BN197_3431
ko:K03686	ctri:BN197_3441
ko:K02970	ctri:BN197_3451
ko:K01338	ctri:BN197_3471
ko:K03222	ctri:BN197_5671
ko:K03223	ctri:BN197_5691
ko:K03226	ctri:BN197_5701
ko:K03228	ctri:BN197_5721
ko:K02455	ctri:BN197_5781
ko:K02453	ctri:BN197_5801
ko:K03572	ctri:BN197_5831
ko:K01868	ctri:BN197_5891
ko:K01867	ctri:BN197_5931
ko:K03702	ctri:BN197_5941
ko:K01689	ctri:BN197_5951
ko:K03424	ctri:BN197_6021
ko:K03562	ctri:BN197_6041
ko:K03641	ctri:BN197_6071
ko:K03640	ctri:BN197_6081
ko:K03648	ctri:BN197_6161
ko:K03657	ctri:BN197_6171
ko:K03092	ctri:BN197_6181
ko:K06137	ctri:BN197_6191
ko:K02470	ctri:BN197_1891
ko:K00773	ctri:BN197_1921
ko:K06213	ctri:BN197_1931
ko:K15580	ctri:BN197_1971
ko:K15581	ctri:BN197_1981
ko:K03319	ctri:BN197_2031
ko:K00850	ctri:BN197_2041
ko:K00895	ctri:BN197_2061
ko:K02527	ctri:BN197_2071
ko:K01869	ctri:BN197_2081
ko:K01845	ctri:BN197_2091
ko:K00912	ctri:BN197_4061
ko:K03437	ctri:BN197_4071
ko:K06969	ctri:BN197_4081
ko:K00793	ctri:BN197_4091
ko:K07738	ctri:BN197_4101
ko:K06204	ctri:BN197_4111
ko:K03101	ctri:BN197_4121
ko:K03310	ctri:BN197_4131
ko:K00748	ctri:BN197_4151
ko:K09817	ctri:BN197_4201
ko:K09816	ctri:BN197_4211
ko:K03979	ctri:BN197_4221
ko:K02899	ctri:BN197_4231
ko:K02888	ctri:BN197_4241
ko:K07042	ctri:BN197_4281
ko:K03183	ctri:BN197_4341
ko:K01778	ctri:BN197_4361
ko:K01358	ctri:BN197_4371
ko:K00600	ctri:BN197_4381
ko:K01770	ctri:BN197_4401
ko:K02946	ctri:BN197_4421
ko:K02355	ctri:BN197_4431
ko:K02992	ctri:BN197_4441
ko:K02950	ctri:BN197_4451
ko:K03797	ctri:BN197_4471
ko:K07462	ctri:BN197_4541
ko:K12257	ctri:BN197_4551
ko:K00806	ctri:BN197_4571
ko:K00981	ctri:BN197_4581
ko:K07735	ctri:BN197_2101
ko:K08999	ctri:BN197_2111
ko:K01807	ctri:BN197_2121
ko:K03787	ctri:BN197_2171
ko:K03179	ctri:BN197_2181
ko:K03186	ctri:BN197_2191
ko:K03308	ctri:BN197_2311
ko:K02078	ctri:BN197_2361
ko:K00645	ctri:BN197_2381
ko:K00648	ctri:BN197_2391
ko:K06187	ctri:BN197_2401
ko:K07277	ctri:BN197_2411
ko:K00263	ctri:BN197_7831
ko:K00655	ctri:BN197_7851
ko:K04066	ctri:BN197_7881
ko:K04567	ctri:BN197_7911
ko:K01883	ctri:BN197_7921
ko:K03536	ctri:BN197_7941
ko:K02914	ctri:BN197_7951
ko:K02919	ctri:BN197_7961
ko:K02954	ctri:BN197_7971
ko:K03703	ctri:BN197_8011
ko:K03555	ctri:BN197_8021
ko:K14164	ctri:BN197_8071
ko:K00995	ctri:BN197_8081
ko:K00703	ctri:BN197_8091
ko:K02897	ctri:BN197_8101
ko:K01056	ctri:BN197_8111
ko:K02990	ctri:BN197_8121
ko:K02963	ctri:BN197_8131
ko:K02939	ctri:BN197_8141
ko:K00919	ctri:BN197_8151
ko:K00630	ctri:BN197_8181
ko:K08301	ctri:BN197_8191
ko:K02911	ctri:BN197_8221
ko:K03621	ctri:BN197_8231
ko:K03431	ctri:BN197_8281
ko:K00820	ctri:BN197_8291
ko:K03834	ctri:BN197_8301
ko:K03834	ctri:BN197_8311
ko:K06890	ctri:BN197_8321
ko:K03110	ctri:BN197_8331
ko:K01903	ctri:BN197_8341
ko:K01902	ctri:BN197_8351
ko:K03734	ctri:BN197_0781
ko:K01491	ctri:BN197_0791
ko:K02902	ctri:BN197_0871
ko:K00705	ctri:BN197_0881
ko:K04058	ctri:BN197_0901
ko:K03230	ctri:BN197_0911
ko:K03229	ctri:BN197_0921
ko:K06942	ctri:BN197_0931
ko:K11753	ctri:BN197_0941
ko:K02834	ctri:BN197_0961
ko:K02519	ctri:BN197_0971
ko:K02600	ctri:BN197_0981
ko:K02945	ctri:BN197_0991
ko:K00384	ctri:BN197_1001
ko:K00997	ctri:BN197_1011
ko:K00208	ctri:BN197_1051
ko:K03575	ctri:BN197_1081
ko:K04077	ctri:BN197_1111
ko:K04078	ctri:BN197_1121
ko:K08602	ctri:BN197_1131
ko:K03695	ctri:BN197_1141
ko:K01783	ctri:BN197_1221
ko:K02356	ctri:BN197_1231
ko:K02160	ctri:BN197_1241
ko:K01961	ctri:BN197_1251
ko:K02871	ctri:BN197_1261
ko:K02996	ctri:BN197_1271
ko:K02029	ctri:BN197_1301
ko:K03733	ctri:BN197_3501
ko:K06287	ctri:BN197_3521
ko:K03075	ctri:BN197_3551
ko:K01462	ctri:BN197_3561
ko:K02528	ctri:BN197_3571
ko:K06888	ctri:BN197_3591
ko:K03523	ctri:BN197_3621
ko:K01714	ctri:BN197_3641
ko:K00928	ctri:BN197_3651
ko:K00133	ctri:BN197_3661
ko:K00215	ctri:BN197_3671
ko:K00800	ctri:BN197_3691
ko:K00891	ctri:BN197_3701
ko:K01736	ctri:BN197_3711
ko:K01735	ctri:BN197_3721
ko:K13832	ctri:BN197_3731
ko:K03758	ctri:BN197_3771
ko:K00024	ctri:BN197_3791
ko:K01810	ctri:BN197_3811
ko:K03665	ctri:BN197_3821
ko:K06167	ctri:BN197_3831
ko:K09996	ctri:BN197_3841
ko:K06966	ctri:BN197_3911
ko:K09131	ctri:BN197_3921
ko:K10206	ctri:BN197_3941
ko:K01881	ctri:BN197_3971
ko:K03705	ctri:BN197_3981
ko:K03687	ctri:BN197_3991
ko:K04043	ctri:BN197_4001
ko:K12573	ctri:BN197_4011
ko:K07164	ctri:BN197_4021
ko:K06041	ctri:BN197_4031
ko:K00658	ctri:BN197_4041
ko:K13941	ctri:BN197_6221
ko:K01633	ctri:BN197_6231
ko:K03086	ctri:BN197_6241
ko:K02968	ctri:BN197_6261
ko:K03980	ctri:BN197_6331
ko:K01151	ctri:BN197_6341
ko:K02986	ctri:BN197_6351
ko:K07146	ctri:BN197_6361
ko:K13789	ctri:BN197_6371
ko:K01698	ctri:BN197_6421
ko:K00346	ctri:BN197_6431
ko:K03582	ctri:BN197_6481
ko:K03583	ctri:BN197_6491
ko:K03168	ctri:BN197_6521
ko:K02221	ctri:BN197_6541
ko:K03581	ctri:BN197_6611
ko:K06861	ctri:BN197_6631
ko:K01627	ctri:BN197_6651
ko:K06180	ctri:BN197_6681
ko:K06960	ctri:BN197_6691
ko:K02469	ctri:BN197_6701
ko:K02470	ctri:BN197_6711
ko:K02492	ctri:BN197_6721
ko:K00945	ctri:BN197_4591
ko:K00655	ctri:BN197_4601
ko:K01887	ctri:BN197_4611
ko:K00790	ctri:BN197_4621
ko:K02836	ctri:BN197_4661
ko:K00991	ctri:BN197_4691
ko:K06173	ctri:BN197_4701
ko:K07710	ctri:BN197_4741
ko:K07714	ctri:BN197_4751
ko:K03584	ctri:BN197_4771
ko:K01890	ctri:BN197_4821
ko:K02034	ctri:BN197_4851
ko:K01772	ctri:BN197_4921
ko:K07099	ctri:BN197_4951
ko:K00975	ctri:BN197_4961
ko:K03628	ctri:BN197_4981
ko:K00859	ctri:BN197_4991
ko:K03301	ctri:BN197_5021
ko:K00995	ctri:BN197_5031
ko:K03495	ctri:BN197_5061
ko:K03800	ctri:BN197_5071
ko:K00940	ctri:BN197_5081
ko:K03550	ctri:BN197_5091
ko:K01159	ctri:BN197_5101
ko:K00134	ctri:BN197_5131
ko:K01985	ctri:BN197_7494
ko:K01985	ctri:BN197_7594
ko:K02028	ctri:BN197_1311
ko:K00033	ctri:BN197_0641
ko:K11707	ctri:BN197_0681
ko:K11710	ctri:BN197_0691
ko:K11708	ctri:BN197_0701
ko:K11709	ctri:BN197_0711
ko:K02035	ctri:BN197_1741
ko:K02049	ctri:BN197_1791
ko:K06889	ctri:BN197_1501
ko:K02124	ctri:BN197_3041
ko:K02123	ctri:BN197_3051
ko:K02120	ctri:BN197_3061
ko:K02118	ctri:BN197_3071
ko:K02117	ctri:BN197_3081
ko:K02121	ctri:BN197_3101
ko:K00616	ctri:BN197_3131
ko:K08483	ctri:BN197_3381
ko:K11189	ctri:BN197_3391
ko:K07098	ctri:BN197_4681
ko:K00567	ctri:BN197_4841
ko:K02033	ctri:BN197_4861
ko:K02035	ctri:BN197_4871
ko:K02030	ctri:BN197_4931
ko:K01507	ctri:BN197_7821
ko:K01082	ctri:BN197_7841
ko:K01909	ctri:BN197_7861
ko:K00652	ctri:BN197_7871
ko:K01977	ctri:BN197_7492
ko:K01977	ctri:BN197_7592
ko:K00813	ctri:BN197_6461
ko:K01934	ctri:BN197_6581
ko:K07052	ctri:BN197_2541
ko:K02342	ctri:BN197_2611
ko:K02806	ctri:BN197_2901
ko:K02806	ctri:BN197_2911
ko:K02342	ctri:BN197_5441
ko:K07258	ctri:BN197_5591
ko:K00784	ctri:BN197_3491
ko:K03856	ctri:BN197_3851
ko:K02433	ctri:BN197_0031
ko:K03471	ctri:BN197_0081
ko:K01679	ctri:BN197_8691
ko:K04763	ctri:BN197_8781
ko:K00700	ctri:BN197_8801
ko:K01409	ctri:BN197_1961
ko:K15582	ctri:BN197_1991
ko:K10823	ctri:BN197_2001
ko:K15583	ctri:BN197_2011
ko:K06889	ctri:BN197_2051
ko:K00059	ctri:BN197_2371
ko:K06910	ctri:BN197_7461
ko:K07117	ctri:BN197_7471
ko:K03177	ctri:BN197_0951
ko:K06179	ctri:BN197_1071
ko:K00939	ctri:BN197_1291
ko:K00970	ctri:BN197_4141
ko:K09815	ctri:BN197_4191
ko:K01719	ctri:BN197_4391
ko:K00380	ctri:BN197_4411
ko:K01885	ctri:BN197_4521
ko:K00970	ctri:BN197_7141
ko:K01596	ctri:BN197_7201
ko:K00972	ctri:BN197_7251
ko:K01834	ctri:BN197_7321
ko:K03227	ctri:BN197_5711
ko:K02454	ctri:BN197_5791
ko:K01262	ctri:BN197_5821
ko:K07315	ctri:BN197_5961
ko:K03386	ctri:BN197_6111
ko:K02428	ctri:BN197_6141
ko:K02035	ctri:BN197_1401
ko:K01980	ctri:BN197_7493
ko:K01980	ctri:BN197_7593
ko:K17103	ctri:BN197_8391
ko:K04084	ctri:BN197_6031
ko:K01840	ctri:BN197_2951
ko:K06972	ctri:BN197_8371
ko:K07081	ctri:BN197_4331
ko:K08275	ctri:BN197_0811
ko:K01802	ctri:BN197_5491
ko:K03309	ctri:BN197_4051
ko:K08274	ctri:BN197_3801
ko:K01921	ctri:BN197_7721
ko:K01924	ctri:BN197_7721
ko:K01829	ctri:BN197_7901
ko:K01829	ctri:BN197_7931
ko:K07033	ctri:BN197_6941
ko:K01214	ctri:BN197_0431
ko:K03825	ctri:BN197_4651
ko:K03111	ctri:BN197_0451
ko:K03496	ctri:BN197_p0061
ko:K03496	ctri:BN197_5901
ko:K03497	ctri:BN197_6981
ko:K02626	ctri:BN197_3761
ko:K11991	ctri:BN197_8571
ko:K04771	ctri:BN197_8361
ko:K19411	ctri:BN197_6861
ko:K02031	ctri:BN197_7001
ko:K07125	ctri:BN197_3251
ko:K22100	ctri:BN197_3281
ko:K12132	ctri:BN197_3011
ko:K20265	ctri:BN197_2151
ko:K20074	ctri:BN197_2591
ko:K03466	ctri:ftsK
ko:K11749	ctri:BN197_0731
ko:K22099	ctri:BN197_6201
ko:K00526	ctri:BN197_8411
ko:K02314	ctri:BN197_p0021
ko:K02335	ctri:BN197_5001
ko:K00287	ctri:BN197_6211
ko:K03553	ctri:BN197_6591
ko:K02314	ctri:BN197_5051
ko:K02316	ctri:BN197_8041
ko:K01520	ctri:BN197_2921
ko:K02032	ctri:BN197_6991
ko:K00525	ctri:BN197_8401
ko:K02050	ctri:BN197_8681
ko:K02051	ctri:BN197_8681
ko:K01534	ctri:BN197_7371
ko:K16239	ctri:BN197_0861
