ko:K07407	snm:SP70585_2287
ko:K03470	snm:SP70585_1209
ko:K03800	snm:SP70585_1212
ko:K00382	snm:SP70585_1213
ko:K02529	snm:SP70585_2072
ko:K07778	snm:SP70585_2074
ko:K02601	snm:SP70585_2094
ko:K03073	snm:SP70585_2095
ko:K02913	snm:SP70585_2096
ko:K06180	snm:SP70585_2098
ko:K00134	snm:SP70585_2099
ko:K00767	snm:SP70585_2103
ko:K05350	snm:SP70585_2107
ko:K02761	snm:SP70585_2108
ko:K02760	snm:SP70585_2109
ko:K02759	snm:SP70585_2110
ko:K03210	snm:SP70585_2115
ko:K00615	snm:SP70585_2116
ko:K03476	snm:SP70585_2117
ko:K02821	snm:SP70585_2122
ko:K02822	snm:SP70585_2123
ko:K03475	snm:SP70585_2124
ko:K06346	snm:SP70585_2126
ko:K01000	snm:SP70585_0400
ko:K03664	snm:SP70585_1016
ko:K08602	snm:SP70585_1019
ko:K01142	snm:SP70585_1898
ko:K03816	snm:SP70585_1901
ko:K06223	snm:SP70585_1905
ko:K00849	snm:SP70585_1908
ko:K02529	snm:SP70585_1909
ko:K03811	snm:SP70585_1914
ko:K05845	snm:SP70585_1916
ko:K05846	snm:SP70585_1916
ko:K02015	snm:SP70585_1924
ko:K02015	snm:SP70585_1925
ko:K02013	snm:SP70585_1926
ko:K02016	snm:SP70585_1927
ko:K08998	snm:SP70585_1928
ko:K06178	snm:SP70585_1929
ko:K06024	snm:SP70585_1930
ko:K05896	snm:SP70585_1931
ko:K07095	snm:SP70585_1934
ko:K01776	snm:SP70585_1936
ko:K09976	snm:SP70585_1937
ko:K01226	snm:SP70585_1938
ko:K03486	snm:SP70585_1940
ko:K00690	snm:SP70585_1951
ko:K01939	snm:SP70585_0027
ko:K01520	snm:SP70585_0082
ko:K04485	snm:SP70585_0084
ko:K01673	snm:SP70585_0085
ko:K00948	snm:SP70585_0087
ko:K07533	snm:SP70585_1021
ko:K03976	snm:SP70585_1026
ko:K08974	snm:SP70585_1027
ko:K04042	snm:SP70585_1029
ko:K01243	snm:SP70585_1032
ko:K02342	snm:SP70585_1034
ko:K01126	snm:SP70585_1035
ko:K06196	snm:SP70585_1039
ko:K09815	snm:SP70585_1042
ko:K01258	snm:SP70585_1047
ko:K01772	snm:SP70585_1048
ko:K03282	snm:SP70585_1049
ko:K00133	snm:SP70585_1053
ko:K01714	snm:SP70585_1054
ko:K03650	snm:SP70585_1055
ko:K01821	snm:SP70585_1056
ko:K00857	snm:SP70585_1057
ko:K02835	snm:SP70585_1059
ko:K02493	snm:SP70585_1060
ko:K07566	snm:SP70585_1061
ko:K00600	snm:SP70585_1063
ko:K00558	snm:SP70585_1071
ko:K03205	snm:SP70585_1077
ko:K03524	snm:SP70585_1958
ko:K03565	snm:SP70585_1983
ko:K07586	snm:SP70585_1984
ko:K09765	snm:SP70585_1985
ko:K09765	snm:SP70585_1986
ko:K04077	snm:SP70585_1987
ko:K04078	snm:SP70585_1988
ko:K03111	snm:SP70585_1989
ko:K06878	snm:SP70585_1991
ko:K11031	snm:SP70585_2003
ko:K04086	snm:SP70585_0402
ko:K07173	snm:SP70585_0404
ko:K00012	snm:SP70585_0425
ko:K02035	snm:SP70585_0438
ko:K05366	snm:SP70585_0440
ko:K03700	snm:SP70585_0441
ko:K07444	snm:SP70585_0444
ko:K00033	snm:SP70585_0446
ko:K00869	snm:SP70585_0452
ko:K01597	snm:SP70585_0453
ko:K00938	snm:SP70585_0454
ko:K01823	snm:SP70585_0455
ko:K01354	snm:SP70585_1383
ko:K02935	snm:SP70585_1392
ko:K02864	snm:SP70585_1393
ko:K02335	snm:SP70585_0092
ko:K06929	snm:SP70585_0093
ko:K03584	snm:SP70585_0096
ko:K03621	snm:SP70585_0097
ko:K02078	snm:SP70585_0098
ko:K01923	snm:SP70585_0111
ko:K01952	snm:SP70585_0112
ko:K00764	snm:SP70585_0113
ko:K01933	snm:SP70585_0114
ko:K11175	snm:SP70585_0115
ko:K00602	snm:SP70585_0117
ko:K01945	snm:SP70585_0118
ko:K01588	snm:SP70585_0120
ko:K01589	snm:SP70585_0121
ko:K01756	snm:SP70585_0123
ko:K02795	snm:SP70585_0128
ko:K02796	snm:SP70585_0129
ko:K02082	snm:SP70585_0131
ko:K01785	snm:SP70585_0132
ko:K07104	snm:SP70585_0133
ko:K03498	snm:SP70585_0140
ko:K03499	snm:SP70585_0141
ko:K02986	snm:SP70585_0148
ko:K02793	snm:SP70585_0343
ko:K02794	snm:SP70585_0343
ko:K06901	snm:SP70585_0346
ko:K00796	snm:SP70585_0348
ko:K01495	snm:SP70585_0350
ko:K02871	snm:SP70585_0353
ko:K02996	snm:SP70585_0354
ko:K01223	snm:SP70585_0367
ko:K02760	snm:SP70585_0369
ko:K02759	snm:SP70585_0371
ko:K02761	snm:SP70585_0373
ko:K00432	snm:SP70585_0378
ko:K01727	snm:SP70585_0379
ko:K01625	snm:SP70585_0381
ko:K00874	snm:SP70585_0382
ko:K00046	snm:SP70585_0384
ko:K02744	snm:SP70585_0385
ko:K02745	snm:SP70585_0387
ko:K02746	snm:SP70585_0388
ko:K02747	snm:SP70585_0389
ko:K03210	snm:SP70585_0390
ko:K03438	snm:SP70585_0397
ko:K02469	snm:SP70585_1266
ko:K00016	snm:SP70585_1267
ko:K07652	snm:SP70585_1272
ko:K07668	snm:SP70585_1273
ko:K03575	snm:SP70585_1274
ko:K00262	snm:SP70585_1369
ko:K03703	snm:SP70585_0679
ko:K03311	snm:SP70585_0687
ko:K02867	snm:SP70585_0691
ko:K02863	snm:SP70585_0692
ko:K00287	snm:SP70585_1612
ko:K04047	snm:SP70585_1613
ko:K01803	snm:SP70585_1615
ko:K02086	snm:SP70585_1616
ko:K00651	snm:SP70585_1617
ko:K00759	snm:SP70585_1618
ko:K10112	snm:SP70585_1620
ko:K03706	snm:SP70585_1624
ko:K05592	snm:SP70585_1625
ko:K01937	snm:SP70585_0556
ko:K00927	snm:SP70585_0559
ko:K03713	snm:SP70585_0561
ko:K01915	snm:SP70585_0562
ko:K01874	snm:SP70585_1093
ko:K02016	snm:SP70585_1112
ko:K02015	snm:SP70585_1113
ko:K02015	snm:SP70585_1114
ko:K02013	snm:SP70585_1115
ko:K01921	snm:SP70585_1137
ko:K03588	snm:SP70585_1141
ko:K01595	snm:SP70585_1142
ko:K01989	snm:SP70585_1143
ko:K05832	snm:SP70585_1144
ko:K05833	snm:SP70585_1145
ko:K02316	snm:SP70585_1146
ko:K03086	snm:SP70585_1147
ko:K03979	snm:SP70585_1153
ko:K03553	snm:SP70585_2019
ko:K06925	snm:SP70585_2023
ko:K02003	snm:SP70585_2028
ko:K00940	snm:SP70585_2030
ko:K03046	snm:SP70585_2031
ko:K03043	snm:SP70585_2032
ko:K00790	snm:SP70585_2038
ko:K07177	snm:SP70585_2040
ko:K00954	snm:SP70585_2041
ko:K01914	snm:SP70585_2043
ko:K06890	snm:SP70585_2044
ko:K03437	snm:SP70585_2045
ko:K01512	snm:SP70585_2046
ko:K03217	snm:SP70585_2047
ko:K04069	snm:SP70585_2048
ko:K01586	snm:SP70585_2049
ko:K09685	snm:SP70585_2050
ko:K03698	snm:SP70585_2051
ko:K09760	snm:SP70585_2052
ko:K01783	snm:SP70585_2054
ko:K06949	snm:SP70585_2055
ko:K02528	snm:SP70585_2056
ko:K02003	snm:SP70585_2058
ko:K05985	snm:SP70585_2062
ko:K03424	snm:SP70585_2063
ko:K02914	snm:SP70585_2065
ko:K01938	snm:SP70585_1275
ko:K01953	snm:SP70585_1296
ko:K03702	snm:SP70585_1301
ko:K00036	snm:SP70585_1305
ko:K03110	snm:SP70585_1306
ko:K03529	snm:SP70585_1309
ko:K03685	snm:SP70585_1310
ko:K00364	snm:SP70585_1312
ko:K01704	snm:SP70585_1318
ko:K00052	snm:SP70585_1320
ko:K01649	snm:SP70585_1321
ko:K01649	snm:SP70585_1322
ko:K02037	snm:SP70585_2191
ko:K02038	snm:SP70585_2192
ko:K02036	snm:SP70585_2193
ko:K02039	snm:SP70585_2194
ko:K00057	snm:SP70585_2197
ko:K00963	snm:SP70585_2198
ko:K05823	snm:SP70585_2202
ko:K01866	snm:SP70585_2206
ko:K00563	snm:SP70585_2209
ko:K00688	snm:SP70585_2211
ko:K00705	snm:SP70585_2212
ko:K02529	snm:SP70585_2217
ko:K01876	snm:SP70585_2220
ko:K01892	snm:SP70585_2230
ko:K01207	snm:SP70585_2234
ko:K01686	snm:SP70585_2237
ko:K01812	snm:SP70585_2238
ko:K01625	snm:SP70585_2239
ko:K01195	snm:SP70585_2241
ko:K00874	snm:SP70585_2242
ko:K02954	snm:SP70585_0278
ko:K02994	snm:SP70585_0279
ko:K02933	snm:SP70585_0280
ko:K02881	snm:SP70585_0281
ko:K02988	snm:SP70585_0282
ko:K02907	snm:SP70585_0283
ko:K02876	snm:SP70585_0284
ko:K03076	snm:SP70585_0285
ko:K00939	snm:SP70585_0286
ko:K02518	snm:SP70585_0287
ko:K02919	snm:SP70585_0288
ko:K02952	snm:SP70585_0289
ko:K02948	snm:SP70585_0290
ko:K03040	snm:SP70585_0291
ko:K02879	snm:SP70585_0292
ko:K07166	snm:SP70585_0293
ko:K09157	snm:SP70585_0294
ko:K02012	snm:SP70585_0301
ko:K04069	snm:SP70585_0307
ko:K02759	snm:SP70585_0310
ko:K02760	snm:SP70585_0311
ko:K02761	snm:SP70585_0312
ko:K00656	snm:SP70585_0313
ko:K00005	snm:SP70585_0315
ko:K01869	snm:SP70585_0316
ko:K03551	snm:SP70585_0319
ko:K09962	snm:SP70585_0320
ko:K00806	snm:SP70585_0321
ko:K00981	snm:SP70585_0322
ko:K01881	snm:SP70585_0324
ko:K00820	snm:SP70585_0326
ko:K02950	snm:SP70585_0329
ko:K02992	snm:SP70585_0330
ko:K02355	snm:SP70585_0331
ko:K03763	snm:SP70585_0332
ko:K07473	snm:SP70585_0333
ko:K01372	snm:SP70585_0340
ko:K02796	snm:SP70585_0341
ko:K02795	snm:SP70585_0342
ko:K06201	snm:SP70585_1324
ko:K09790	snm:SP70585_1325
ko:K03168	snm:SP70585_1326
ko:K04096	snm:SP70585_1329
ko:K01955	snm:SP70585_1338
ko:K01956	snm:SP70585_1339
ko:K00609	snm:SP70585_1340
ko:K02825	snm:SP70585_1341
ko:K10773	snm:SP70585_1342
ko:K07040	snm:SP70585_1343
ko:K03799	snm:SP70585_1348
ko:K03744	snm:SP70585_1349
ko:K03501	snm:SP70585_1350
ko:K03106	snm:SP70585_1352
ko:K09787	snm:SP70585_1353
ko:K06885	snm:SP70585_1355
ko:K02884	snm:SP70585_1358
ko:K06199	snm:SP70585_1359
ko:K06199	snm:SP70585_1360
ko:K04516	snm:SP70585_1361
ko:K02909	snm:SP70585_1364
ko:K01489	snm:SP70585_1375
ko:K02003	snm:SP70585_1381
ko:K01687	snm:SP70585_2252
ko:K00615	snm:SP70585_2253
ko:K00615	snm:SP70585_2254
ko:K03475	snm:SP70585_2255
ko:K02822	snm:SP70585_2256
ko:K02911	snm:SP70585_2260
ko:K02913	snm:SP70585_2261
ko:K09704	snm:SP70585_2272
ko:K01206	snm:SP70585_2274
ko:K01478	snm:SP70585_2275
ko:K00611	snm:SP70585_2276
ko:K00926	snm:SP70585_2277
ko:K01818	snm:SP70585_2284
ko:K01206	snm:SP70585_2289
ko:K00848	snm:SP70585_2293
ko:K09815	snm:SP70585_2295
ko:K09816	snm:SP70585_2296
ko:K09817	snm:SP70585_2297
ko:K03740	snm:SP70585_2300
ko:K03367	snm:SP70585_2304
ko:K01928	snm:SP70585_1631
ko:K07009	snm:SP70585_1632
ko:K06173	snm:SP70585_1638
ko:K06193	snm:SP70585_1642
ko:K00945	snm:SP70585_1643
ko:K06967	snm:SP70585_1651
ko:K00615	snm:SP70585_1657
ko:K02806	snm:SP70585_1662
ko:K00655	snm:SP70585_1665
ko:K02956	snm:SP70585_1667
ko:K07058	snm:SP70585_0716
ko:K06196	snm:SP70585_0717
ko:K00845	snm:SP70585_0727
ko:K00560	snm:SP70585_0728
ko:K00791	snm:SP70585_0730
ko:K03665	snm:SP70585_0731
ko:K00784	snm:SP70585_0733
ko:K07124	snm:SP70585_0734
ko:K06207	snm:SP70585_0740
ko:K02003	snm:SP70585_0744
ko:K01925	snm:SP70585_0745
ko:K02563	snm:SP70585_0746
ko:K03589	snm:SP70585_0747
ko:K01591	snm:SP70585_0748
ko:K00762	snm:SP70585_0749
ko:K04567	snm:SP70585_0760
ko:K00878	snm:SP70585_0764
ko:K00788	snm:SP70585_0765
ko:K03707	snm:SP70585_0769
ko:K00878	snm:SP70585_0771
ko:K00788	snm:SP70585_0772
ko:K07118	snm:SP70585_1668
ko:K01868	snm:SP70585_1672
ko:K07560	snm:SP70585_1685
ko:K07386	snm:SP70585_1688
ko:K11065	snm:SP70585_1692
ko:K02003	snm:SP70585_1694
ko:K01834	snm:SP70585_1696
ko:K01870	snm:SP70585_1699
ko:K04074	snm:SP70585_1701
ko:K02221	snm:SP70585_1703
ko:K09772	snm:SP70585_1704
ko:K06997	snm:SP70585_1705
ko:K03531	snm:SP70585_1706
ko:K03590	snm:SP70585_1707
ko:K01929	snm:SP70585_1710
ko:K01921	snm:SP70585_1711
ko:K06187	snm:SP70585_1712
ko:K01639	snm:SP70585_1716
ko:K02026	snm:SP70585_1720
ko:K02025	snm:SP70585_1721
ko:K01788	snm:SP70585_1724
ko:K00158	snm:SP70585_0777
ko:K01223	snm:SP70585_0781
ko:K01809	snm:SP70585_0782
ko:K07007	snm:SP70585_0787
ko:K01493	snm:SP70585_0790
ko:K00761	snm:SP70585_0791
ko:K01358	snm:SP70585_0792
ko:K01999	snm:SP70585_0794
ko:K01997	snm:SP70585_0795
ko:K01998	snm:SP70585_0796
ko:K01995	snm:SP70585_0797
ko:K01996	snm:SP70585_0798
ko:K02836	snm:SP70585_0800
ko:K09812	snm:SP70585_0801
ko:K09811	snm:SP70585_0802
ko:K02313	snm:SP70585_0001
ko:K02338	snm:SP70585_0002
ko:K06942	snm:SP70585_0004
ko:K01056	snm:SP70585_0005
ko:K03723	snm:SP70585_0006
ko:K04075	snm:SP70585_0011
ko:K00760	snm:SP70585_0012
ko:K03798	snm:SP70585_0013
ko:K00797	snm:SP70585_0957
ko:K10536	snm:SP70585_0960
ko:K03101	snm:SP70585_0967
ko:K06180	snm:SP70585_0968
ko:K00931	snm:SP70585_0970
ko:K00147	snm:SP70585_0971
ko:K00286	snm:SP70585_0972
ko:K00943	snm:SP70585_0973
ko:K02341	snm:SP70585_0974
ko:K07056	snm:SP70585_0976
ko:K04094	snm:SP70585_0982
ko:K09903	snm:SP70585_0983
ko:K02838	snm:SP70585_0984
ko:K00243	snm:SP70585_0985
ko:K06217	snm:SP70585_0987
ko:K02237	snm:SP70585_0994
ko:K02238	snm:SP70585_0995
ko:K02520	snm:SP70585_0999
ko:K02916	snm:SP70585_1000
ko:K02887	snm:SP70585_1001
ko:K07042	snm:SP70585_1007
ko:K03595	snm:SP70585_1009
ko:K10563	snm:SP70585_1010
ko:K00859	snm:SP70585_1011
ko:K02913	snm:SP70585_1013
ko:K03075	snm:SP70585_1014
ko:K01154	snm:SP70585_0566
ko:K03427	snm:SP70585_0567
ko:K01153	snm:SP70585_0568
ko:K03705	snm:SP70585_0571
ko:K03687	snm:SP70585_0572
ko:K04043	snm:SP70585_0573
ko:K03686	snm:SP70585_0575
ko:K07707	snm:SP70585_0583
ko:K07706	snm:SP70585_0584
ko:K03218	snm:SP70585_1498
ko:K00384	snm:SP70585_1499
ko:K00567	snm:SP70585_1504
ko:K11068	snm:SP70585_1507
ko:K08681	snm:SP70585_1508
ko:K06215	snm:SP70585_1509
ko:K03734	snm:SP70585_1512
ko:K01879	snm:SP70585_1516
ko:K01878	snm:SP70585_1517
ko:K02358	snm:SP70585_1527
ko:K02440	snm:SP70585_1530
ko:K02114	snm:SP70585_1544
ko:K02112	snm:SP70585_1545
ko:K02115	snm:SP70585_1546
ko:K02111	snm:SP70585_1547
ko:K02113	snm:SP70585_1548
ko:K02109	snm:SP70585_1549
ko:K02108	snm:SP70585_1550
ko:K02110	snm:SP70585_1551
ko:K03439	snm:SP70585_0611
ko:K09748	snm:SP70585_0612
ko:K02600	snm:SP70585_0613
ko:K07742	snm:SP70585_0614
ko:K02519	snm:SP70585_0616
ko:K02834	snm:SP70585_0617
ko:K09155	snm:SP70585_0627
ko:K01873	snm:SP70585_0633
ko:K03488	snm:SP70585_0640
ko:K02755	snm:SP70585_0641
ko:K02756	snm:SP70585_0641
ko:K02757	snm:SP70585_0641
ko:K01223	snm:SP70585_0642
ko:K01889	snm:SP70585_0643
ko:K01890	snm:SP70585_0645
ko:K00549	snm:SP70585_0650
ko:K03624	snm:SP70585_1556
ko:K07082	snm:SP70585_1557
ko:K01924	snm:SP70585_1560
ko:K05362	snm:SP70585_1569
ko:K07461	snm:SP70585_1574
ko:K07570	snm:SP70585_1576
ko:K02963	snm:SP70585_1578
ko:K03111	snm:SP70585_1579
ko:K02990	snm:SP70585_1580
ko:K01893	snm:SP70585_1581
ko:K09861	snm:SP70585_1589
ko:K01462	snm:SP70585_1592
ko:K03431	snm:SP70585_1601
ko:K09762	snm:SP70585_1605
ko:K06958	snm:SP70585_1607
ko:K03978	snm:SP70585_1609
ko:K03544	snm:SP70585_1610
ko:K13292	snm:SP70585_1451
ko:K03484	snm:SP70585_1764
ko:K02315	snm:SP70585_0041
ko:K00841	snm:SP70585_0095
ko:K04517	snm:SP70585_1412
ko:K01176	snm:SP70585_1420
ko:K02794	snm:SP70585_0127
ko:K10682	snm:SP70585_0146
ko:K00657	snm:SP70585_1058
ko:K08986	snm:SP70585_0942
ko:K13012	snm:SP70585_0417
ko:K00297	snm:SP70585_0651
ko:K11209	snm:SP70585_1593
ko:K12267	snm:SP70585_0719
ko:K12268	snm:SP70585_1803
ko:K12269	snm:SP70585_1802
ko:K07052	snm:SP70585_0244
ko:K06183	snm:SP70585_0339
ko:K07052	snm:SP70585_0347
ko:K03574	snm:SP70585_0786
ko:K03767	snm:SP70585_0814
ko:K01215	snm:SP70585_0406
ko:K01104	snm:SP70585_0414
ko:K02799	snm:SP70585_0467
ko:K02800	snm:SP70585_0467
ko:K01759	snm:SP70585_1002
ko:K01515	snm:SP70585_1030
ko:K01104	snm:SP70585_1090
ko:K06400	snm:SP70585_1119
ko:K03483	snm:SP70585_0468
ko:K02798	snm:SP70585_0469
ko:K01992	snm:SP70585_0580
ko:K07052	snm:SP70585_0607
ko:K07729	snm:SP70585_1461
ko:K00789	snm:SP70585_0806
ko:K00226	snm:SP70585_0807
ko:K02340	snm:SP70585_0808
ko:K04564	snm:SP70585_0809
ko:K06941	snm:SP70585_0811
ko:K02959	snm:SP70585_0817
ko:K06960	snm:SP70585_0818
ko:K02860	snm:SP70585_0820
ko:K00554	snm:SP70585_0821
ko:K03523	snm:SP70585_0826
ko:K00383	snm:SP70585_0827
ko:K01874	snm:SP70585_0831
ko:K02026	snm:SP70585_1727
ko:K02025	snm:SP70585_1728
ko:K03655	snm:SP70585_1736
ko:K01775	snm:SP70585_1737
ko:K00997	snm:SP70585_1738
ko:K01626	snm:SP70585_1739
ko:K01626	snm:SP70585_1740
ko:K03070	snm:SP70585_1741
ko:K03977	snm:SP70585_1747
ko:K11144	snm:SP70585_1750
ko:K03346	snm:SP70585_1751
ko:K07738	snm:SP70585_1752
ko:K00847	snm:SP70585_1760
ko:K01641	snm:SP70585_1766
ko:K03500	snm:SP70585_1774
ko:K00604	snm:SP70585_1775
ko:K04066	snm:SP70585_1776
ko:K03060	snm:SP70585_1777
ko:K00942	snm:SP70585_1778
ko:K01200	snm:SP70585_1189
ko:K00872	snm:SP70585_1399
ko:K00003	snm:SP70585_1400
ko:K00891	snm:SP70585_1409
ko:K00800	snm:SP70585_1410
ko:K01736	snm:SP70585_1413
ko:K01735	snm:SP70585_1414
ko:K00014	snm:SP70585_1415
ko:K03785	snm:SP70585_1416
ko:K06969	snm:SP70585_1417
ko:K01872	snm:SP70585_1421
ko:K11069	snm:SP70585_1424
ko:K11070	snm:SP70585_1425
ko:K11071	snm:SP70585_1426
ko:K00075	snm:SP70585_1428
ko:K01575	snm:SP70585_1431
ko:K02039	snm:SP70585_1434
ko:K02036	snm:SP70585_1435
ko:K02036	snm:SP70585_1436
ko:K02440	snm:SP70585_2310
ko:K00864	snm:SP70585_2312
ko:K04083	snm:SP70585_2314
ko:K03696	snm:SP70585_2322
ko:K03708	snm:SP70585_2323
ko:K02314	snm:SP70585_2330
ko:K02939	snm:SP70585_2331
ko:K05808	snm:SP70585_2333
ko:K02240	snm:SP70585_2335
ko:K01738	snm:SP70585_2337
ko:K02357	snm:SP70585_2341
ko:K02967	snm:SP70585_2342
ko:K03571	snm:SP70585_2344
ko:K03570	snm:SP70585_2345
ko:K00995	snm:SP70585_2349
ko:K03629	snm:SP70585_2354
ko:K00088	snm:SP70585_2355
ko:K01867	snm:SP70585_2356
ko:K00009	snm:SP70585_0470
ko:K03545	snm:SP70585_0472
ko:K03581	snm:SP70585_0473
ko:K03100	snm:SP70585_0474
ko:K03471	snm:SP70585_0475
ko:K07456	snm:SP70585_0478
ko:K03310	snm:SP70585_0479
ko:K11041	snm:SP70585_0481
ko:K01875	snm:SP70585_0482
ko:K00928	snm:SP70585_0484
ko:K00648	snm:SP70585_0488
ko:K02078	snm:SP70585_0489
ko:K02371	snm:SP70585_0490
ko:K00645	snm:SP70585_0491
ko:K00059	snm:SP70585_0492
ko:K09458	snm:SP70585_0493
ko:K02160	snm:SP70585_0494
ko:K02372	snm:SP70585_0495
ko:K01963	snm:SP70585_0497
ko:K01962	snm:SP70585_0498
ko:K03625	snm:SP70585_0502
ko:K02356	snm:SP70585_0504
ko:K02434	snm:SP70585_0505
ko:K02433	snm:SP70585_0506
ko:K02435	snm:SP70585_0507
ko:K02837	snm:SP70585_0508
ko:K02902	snm:SP70585_0511
ko:K07030	snm:SP70585_0513
ko:K01652	snm:SP70585_0514
ko:K01653	snm:SP70585_0515
ko:K00053	snm:SP70585_0516
ko:K01754	snm:SP70585_0519
ko:K02038	snm:SP70585_1437
ko:K02037	snm:SP70585_1438
ko:K02040	snm:SP70585_1439
ko:K01092	snm:SP70585_1442
ko:K06023	snm:SP70585_1452
ko:K02970	snm:SP70585_1453
ko:K02564	snm:SP70585_1454
ko:K07568	snm:SP70585_1455
ko:K00763	snm:SP70585_1459
ko:K08303	snm:SP70585_1469
ko:K01951	snm:SP70585_1485
ko:K03710	snm:SP70585_1486
ko:K01462	snm:SP70585_1497
ko:K00783	snm:SP70585_2368
ko:K03497	snm:SP70585_2370
ko:K06153	snm:SP70585_0528
ko:K02346	snm:SP70585_0530
ko:K00656	snm:SP70585_0532
ko:K02761	snm:SP70585_0537
ko:K00059	snm:SP70585_0837
ko:K01256	snm:SP70585_0842
ko:K03722	snm:SP70585_0847
ko:K05837	snm:SP70585_0848
ko:K03152	snm:SP70585_0849
ko:K02470	snm:SP70585_0851
ko:K06286	snm:SP70585_0852
ko:K03697	snm:SP70585_0858
ko:K01807	snm:SP70585_0864
ko:K01839	snm:SP70585_0865
ko:K03783	snm:SP70585_0868
ko:K03784	snm:SP70585_0872
ko:K02968	snm:SP70585_0874
ko:K00867	snm:SP70585_0875
ko:K00756	snm:SP70585_0878
ko:K01619	snm:SP70585_0879
ko:K01489	snm:SP70585_0880
ko:K08591	snm:SP70585_0887
ko:K02622	snm:SP70585_0888
ko:K02621	snm:SP70585_0890
ko:K00826	snm:SP70585_0891
ko:K09710	snm:SP70585_1783
ko:K00969	snm:SP70585_1786
ko:K07574	snm:SP70585_1787
ko:K07015	snm:SP70585_1789
ko:K07862	snm:SP70585_1792
ko:K03076	snm:SP70585_1804
ko:K03671	snm:SP70585_1821
ko:K06188	snm:SP70585_1823
ko:K09761	snm:SP70585_1827
ko:K02687	snm:SP70585_1828
ko:K07478	snm:SP70585_1836
ko:K01304	snm:SP70585_0895
ko:K02945	snm:SP70585_0899
ko:K02343	snm:SP70585_0903
ko:K09013	snm:SP70585_0905
ko:K09015	snm:SP70585_0906
ko:K11717	snm:SP70585_0907
ko:K04488	snm:SP70585_0908
ko:K09014	snm:SP70585_0909
ko:K07258	snm:SP70585_0910
ko:K02768	snm:SP70585_0915
ko:K02769	snm:SP70585_0915
ko:K02770	snm:SP70585_0915
ko:K03466	snm:SP70585_0916
ko:K04487	snm:SP70585_0918
ko:K03151	snm:SP70585_0919
ko:K03427	snm:SP70585_0924
ko:K01154	snm:SP70585_0929
ko:K01153	snm:SP70585_0930
ko:K03402	snm:SP70585_0932
ko:K01281	snm:SP70585_0933
ko:K02337	snm:SP70585_0934
ko:K00850	snm:SP70585_0935
ko:K00873	snm:SP70585_0936
ko:K07089	snm:SP70585_0943
ko:K06959	snm:SP70585_0946
ko:K03095	snm:SP70585_0947
ko:K02003	snm:SP70585_0949
ko:K02529	snm:SP70585_1850
ko:K07090	snm:SP70585_1859
ko:K02761	snm:SP70585_1862
ko:K02759	snm:SP70585_1863
ko:K02760	snm:SP70585_1864
ko:K02761	snm:SP70585_1866
ko:K01695	snm:SP70585_1872
ko:K01696	snm:SP70585_1873
ko:K01817	snm:SP70585_1874
ko:K01609	snm:SP70585_1875
ko:K00766	snm:SP70585_1876
ko:K01658	snm:SP70585_1877
ko:K01657	snm:SP70585_1878
ko:K07507	snm:SP70585_1883
