ko:K07497	ecr:ECIAI1_0380
ko:K03669	ecr:ECIAI1_1085
ko:K02517	ecr:ECIAI1_1089
ko:K07146	ecr:ECIAI1_1090
ko:K06218	ecr:ECIAI1_1605
ko:K12944	ecr:ECIAI1_2326
ko:K13301	ecr:ECIAI1_0097
ko:K12983	ecr:ECIAI1_3795
ko:K03079	ecr:ECIAI1_4430
ko:K00073	ecr:ECIAI1_0519
ko:K14762	ecr:ECIAI1_3773
ko:K01424	ecr:ECIAI1_1830
ko:K13926	ecr:ECIAI1_3631
ko:K07074	ecr:ECIAI1_4247
ko:K02024	ecr:ECIAI1_4265
ko:K00799	ecr:ECIAI1_1687
ko:K11209	ecr:ECIAI1_3138
ko:K01813	ecr:ECIAI1_4108
ko:K00823	ecr:ECIAI1_1327
ko:K03324	ecr:ECIAI1_4242
ko:K01093	ecr:ECIAI1_1021
ko:K11929	ecr:ECIAI1_0280
ko:K01580	ecr:ECIAI1_1503
ko:K07659	ecr:ECIAI1_3548
ko:K03755	ecr:ECIAI1_4346
ko:K04065	ecr:ECIAI1_4598
ko:K09017	ecr:ECIAI1_1058
ko:K11745	ecr:ECIAI1_0049
ko:K00108	ecr:ECIAI1_0308
ko:K11752	ecr:ECIAI1_0414
ko:K11753	ecr:ECIAI1_0026
ko:K11735	ecr:ECIAI1_2759
ko:K11072	ecr:ECIAI1_1163
ko:K04018	ecr:ECIAI1_4310
ko:K04750	ecr:ECIAI1_4336
ko:K01580	ecr:ECIAI1_3667
ko:K03759	ecr:ECIAI1_4345
ko:K06079	ecr:ECIAI1_0193
ko:K05881	ecr:ECIAI1_1217
ko:K03482	ecr:ECIAI1_1551
ko:K04025	ecr:ECIAI1_2495
ko:K09020	ecr:ECIAI1_1056
ko:K07311	ecr:ECIAI1_1639
ko:K00537	ecr:ECIAI1_2547
ko:K12297	ecr:ECIAI1_0989
ko:K12290	ecr:ECIAI1_3531
ko:K01784	ecr:ECIAI1_2111
ko:K12288	ecr:ECIAI1_3533
ko:K11732	ecr:ECIAI1_0557
ko:K11739	ecr:ECIAI1_0541
ko:K00748	ecr:ECIAI1_0182
ko:K08169	ecr:ECIAI1_1899
ko:K03799	ecr:ECIAI1_1900
ko:K03797	ecr:ECIAI1_1901
ko:K03607	ecr:ECIAI1_1902
ko:K03808	ecr:ECIAI1_1904
ko:K11392	ecr:ECIAI1_1906
ko:K07313	ecr:ECIAI1_1909
ko:K07156	ecr:ECIAI1_1913
ko:K02345	ecr:ECIAI1_1914
ko:K10857	ecr:ECIAI1_1916
ko:K01354	ecr:ECIAI1_1917
ko:K09918	ecr:ECIAI1_1921
ko:K08289	ecr:ECIAI1_1922
ko:K01625	ecr:ECIAI1_1923
ko:K01690	ecr:ECIAI1_1924
ko:K00036	ecr:ECIAI1_1925
ko:K00873	ecr:ECIAI1_1927
ko:K09955	ecr:ECIAI1_1940
ko:K02560	ecr:ECIAI1_1942
ko:K09815	ecr:ECIAI1_1944
ko:K09817	ecr:ECIAI1_1945
ko:K03543	ecr:ECIAI1_2780
ko:K07173	ecr:ECIAI1_2782
ko:K01919	ecr:ECIAI1_2783
ko:K03563	ecr:ECIAI1_2787
ko:K01872	ecr:ECIAI1_2788
ko:K03565	ecr:ECIAI1_2790
ko:K03553	ecr:ECIAI1_2791
ko:K03743	ecr:ECIAI1_2792
ko:K02783	ecr:ECIAI1_2794
ko:K02782	ecr:ECIAI1_2795
ko:K02783	ecr:ECIAI1_2795
ko:K02781	ecr:ECIAI1_2796
ko:K00068	ecr:ECIAI1_2797
ko:K02466	ecr:ECIAI1_2798
ko:K02467	ecr:ECIAI1_2800
ko:K04656	ecr:ECIAI1_2804
ko:K05796	ecr:ECIAI1_2805
ko:K01223	ecr:ECIAI1_2808
ko:K08315	ecr:ECIAI1_2811
ko:K04651	ecr:ECIAI1_2821
ko:K04652	ecr:ECIAI1_2822
ko:K04653	ecr:ECIAI1_2823
ko:K04654	ecr:ECIAI1_2824
ko:K04655	ecr:ECIAI1_2825
ko:K03555	ecr:ECIAI1_2828
ko:K07007	ecr:ECIAI1_3636
ko:K06144	ecr:ECIAI1_3638
ko:K06149	ecr:ECIAI1_3640
ko:K03305	ecr:ECIAI1_3641
ko:K01414	ecr:ECIAI1_3643
ko:K07115	ecr:ECIAI1_3644
ko:K00383	ecr:ECIAI1_3645
ko:K03893	ecr:ECIAI1_3649
ko:K07089	ecr:ECIAI1_3652
ko:K07285	ecr:ECIAI1_3654
ko:K07507	ecr:ECIAI1_3656
ko:K00428	ecr:ECIAI1_3668
ko:K01194	ecr:ECIAI1_3669
ko:K07058	ecr:ECIAI1_3672
ko:K07290	ecr:ECIAI1_3674
ko:K00874	ecr:ECIAI1_3677
ko:K11103	ecr:ECIAI1_3679
ko:K06445	ecr:ECIAI1_0261
ko:K03271	ecr:ECIAI1_0262
ko:K02400	ecr:ECIAI1_0270
ko:K02557	ecr:ECIAI1_0271
ko:K02346	ecr:ECIAI1_0272
ko:K03830	ecr:ECIAI1_0273
ko:K02839	ecr:ECIAI1_0275
ko:K00769	ecr:ECIAI1_0277
ko:K00931	ecr:ECIAI1_0281
ko:K00147	ecr:ECIAI1_0282
ko:K07402	ecr:ECIAI1_0284
ko:K08996	ecr:ECIAI1_0288
ko:K02909	ecr:ECIAI1_0296
ko:K02846	ecr:ECIAI1_1094
ko:K02536	ecr:ECIAI1_1936
ko:K07724	ecr:ECIAI1_3336
ko:K07309	ecr:ECIAI1_1637
ko:K04021	ecr:ECIAI1_2503
ko:K11749	ecr:ECIAI1_0175
ko:K12410	ecr:ECIAI1_1157
ko:K07679	ecr:ECIAI1_2435
ko:K09979	ecr:ECIAI1_3304
ko:K01487	ecr:ECIAI1_3003
ko:K07675	ecr:ECIAI1_3844
ko:K08092	ecr:ECIAI1_3742
ko:K00835	ecr:ECIAI1_3739
ko:K01061	ecr:ECIAI1_3149
ko:K00932	ecr:ECIAI1_3264
ko:K01061	ecr:ECIAI1_4025
ko:K03292	ecr:ECIAI1_4076
ko:K00124	ecr:ECIAI1_4097
ko:K05711	ecr:ECIAI1_2593
ko:K11202	ecr:ECIAI1_4104
ko:K11203	ecr:ECIAI1_4104
ko:K11208	ecr:ECIAI1_1452
ko:K11736	ecr:ECIAI1_0402
ko:K07473	ecr:ECIAI1_0266
ko:K11737	ecr:ECIAI1_4442
ko:K00885	ecr:ECIAI1_3364
ko:K05877	ecr:ECIAI1_1972
ko:K01491	ecr:ECIAI1_0531
ko:K02790	ecr:ECIAI1_1672
ko:K02791	ecr:ECIAI1_1672
ko:K12372	ecr:ECIAI1_3698
ko:K07263	ecr:ECIAI1_1504
ko:K00564	ecr:ECIAI1_4593
ko:K13053	ecr:ECIAI1_0999
ko:K07088	ecr:ECIAI1_2437
ko:K01577	ecr:ECIAI1_2438
ko:K08483	ecr:ECIAI1_2449
ko:K11189	ecr:ECIAI1_2449
ko:K11201	ecr:ECIAI1_2449
ko:K11203	ecr:ECIAI1_2452
ko:K11202	ecr:ECIAI1_2453
ko:K00845	ecr:ECIAI1_2454
ko:K03322	ecr:ECIAI1_2457
ko:K02956	ecr:ECIAI1_3315
ko:K03177	ecr:ECIAI1_3316
ko:K02834	ecr:ECIAI1_3317
ko:K02519	ecr:ECIAI1_3318
ko:K02600	ecr:ECIAI1_3319
ko:K09748	ecr:ECIAI1_3320
ko:K01940	ecr:ECIAI1_3321
ko:K03075	ecr:ECIAI1_3323
ko:K03431	ecr:ECIAI1_3324
ko:K00796	ecr:ECIAI1_3325
ko:K03798	ecr:ECIAI1_3326
ko:K02427	ecr:ECIAI1_3327
ko:K07574	ecr:ECIAI1_3328
ko:K03624	ecr:ECIAI1_3329
ko:K07259	ecr:ECIAI1_3330
ko:K03979	ecr:ECIAI1_3331
ko:K02899	ecr:ECIAI1_3333
ko:K02888	ecr:ECIAI1_3334
ko:K02523	ecr:ECIAI1_3335
ko:K00790	ecr:ECIAI1_3337
ko:K07122	ecr:ECIAI1_3339
ko:K07323	ecr:ECIAI1_3340
ko:K02067	ecr:ECIAI1_3341
ko:K02066	ecr:ECIAI1_3342
ko:K02065	ecr:ECIAI1_3343
ko:K07301	ecr:ECIAI1_3344
ko:K06041	ecr:ECIAI1_3345
ko:K03270	ecr:ECIAI1_3346
ko:K09774	ecr:ECIAI1_3348
ko:K06861	ecr:ECIAI1_3349
ko:K03092	ecr:ECIAI1_3350
ko:K05808	ecr:ECIAI1_3351
ko:K02806	ecr:ECIAI1_3352
ko:K06958	ecr:ECIAI1_3353
ko:K03814	ecr:ECIAI1_3356
ko:K07648	ecr:ECIAI1_3358
ko:K07139	ecr:ECIAI1_3359
ko:K00265	ecr:ECIAI1_3360
