ko:K16567	smer:DU99_28090
ko:K00926	smer:DU99_23840
ko:K00611	smer:DU99_23845
ko:K01478	smer:DU99_23850
ko:K01584	smer:DU99_23885
ko:K01581	smer:DU99_23890
ko:K03756	smer:DU99_23895
ko:K02030	smer:DU99_23900
ko:K07300	smer:DU99_23905
ko:K00799	smer:DU99_24350
ko:K15576	smer:DU99_24395
ko:K15577	smer:DU99_24400
ko:K15578	smer:DU99_24405
ko:K01999	smer:DU99_24415
ko:K02529	smer:DU99_24425
ko:K17213	smer:DU99_24440
ko:K03549	smer:DU99_24460
ko:K08482	smer:DU99_24465
ko:K02045	smer:DU99_24480
ko:K03477	smer:DU99_03215
ko:K10559	smer:DU99_03220
ko:K10562	smer:DU99_03225
ko:K10560	smer:DU99_03230
ko:K10561	smer:DU99_03235
ko:K03534	smer:DU99_03240
ko:K03409	smer:DU99_03260
ko:K03413	smer:DU99_03265
ko:K03407	smer:DU99_03270
ko:K03408	smer:DU99_03275
ko:K00575	smer:DU99_03280
ko:K03412	smer:DU99_03285
ko:K03413	smer:DU99_03290
ko:K03411	smer:DU99_03295
ko:K02409	smer:DU99_03305
ko:K02401	smer:DU99_03325
ko:K02410	smer:DU99_03330
ko:K02417	smer:DU99_03335
ko:K02416	smer:DU99_03340
ko:K02556	smer:DU99_03345
ko:K02391	smer:DU99_03355
ko:K02412	smer:DU99_03360
ko:K02387	smer:DU99_03370
ko:K02388	smer:DU99_03375
ko:K02408	smer:DU99_03380
ko:K02392	smer:DU99_03385
ko:K02386	smer:DU99_03390
ko:K02394	smer:DU99_03395
ko:K02393	smer:DU99_03405
ko:K02415	smer:DU99_03410
ko:K02419	smer:DU99_03415
ko:K02406	smer:DU99_03420
ko:K02406	smer:DU99_03425
ko:K02406	smer:DU99_03435
ko:K02557	smer:DU99_03445
ko:K10564	smer:DU99_03450
ko:K10565	smer:DU99_03455
ko:K01129	smer:DU99_07975
ko:K01887	smer:DU99_07980
ko:K01207	smer:DU99_07990
ko:K05896	smer:DU99_07995
ko:K06024	smer:DU99_08000
ko:K02010	smer:DU99_08005
ko:K03116	smer:DU99_08010
ko:K03117	smer:DU99_08015
ko:K03118	smer:DU99_08020
ko:K01875	smer:DU99_08025
ko:K03787	smer:DU99_08030
ko:K00573	smer:DU99_08035
ko:K06923	smer:DU99_08050
ko:K03210	smer:DU99_08055
ko:K12257	smer:DU99_08060
ko:K02291	smer:DU99_08070
ko:K04094	smer:DU99_08080
ko:K03545	smer:DU99_08100
ko:K00281	smer:DU99_08105
ko:K02437	smer:DU99_08110
ko:K00605	smer:DU99_08115
ko:K00799	smer:DU99_08145
ko:K03701	smer:DU99_08160
ko:K05595	smer:DU99_08170
ko:K02469	smer:DU99_08175
ko:K03823	smer:DU99_08185
ko:K10680	smer:DU99_08195
ko:K00384	smer:DU99_08210
ko:K12989	smer:DU99_08235
ko:K03624	smer:DU99_08240
ko:K01955	smer:DU99_08255
ko:K07054	smer:DU99_08265
ko:K01878	smer:DU99_04390
ko:K03744	smer:DU99_04400
ko:K01879	smer:DU99_04410
ko:K01945	smer:DU99_04425
ko:K11069	smer:DU99_04435
ko:K08223	smer:DU99_04440
ko:K03179	smer:DU99_04455
ko:K07566	smer:DU99_04475
ko:K00479	smer:DU99_04485
ko:K16074	smer:DU99_04505
ko:K03406	smer:DU99_04525
ko:K03215	smer:DU99_04530
ko:K06442	smer:DU99_04535
ko:K01662	smer:DU99_04540
ko:K06911	smer:DU99_04545
ko:K03602	smer:DU99_04550
ko:K07107	smer:DU99_04565
ko:K00626	smer:DU99_04570
ko:K03523	smer:DU99_04580
ko:K16784	smer:DU99_04590
ko:K09927	smer:DU99_04595
ko:K03568	smer:DU99_04600
ko:K07258	smer:DU99_04605
ko:K00275	smer:DU99_04615
ko:K00208	smer:DU99_04630
ko:K01736	smer:DU99_04645
ko:K14652	smer:DU99_04650
ko:K02275	smer:DU99_04660
ko:K02274	smer:DU99_04665
ko:K00615	smer:DU99_09270
ko:K00615	smer:DU99_09275
ko:K05800	smer:DU99_09315
ko:K09005	smer:DU99_09395
ko:K03704	smer:DU99_09400
ko:K01759	smer:DU99_09405
ko:K07462	smer:DU99_09435
ko:K00003	smer:DU99_09440
ko:K14261	smer:DU99_09445
ko:K03821	smer:DU99_09455
ko:K06206	smer:DU99_09460
ko:K01265	smer:DU99_09465
ko:K03630	smer:DU99_09470
ko:K00322	smer:DU99_09475
ko:K13628	smer:DU99_09480
ko:K11717	smer:DU99_09490
ko:K09015	smer:DU99_09495
ko:K09013	smer:DU99_09500
ko:K09014	smer:DU99_09505
ko:K04487	smer:DU99_09510
ko:K07018	smer:DU99_09515
ko:K09001	smer:DU99_09525
ko:K01866	smer:DU99_09530
ko:K03564	smer:DU99_09540
ko:K11070	smer:DU99_12585
ko:K17735	smer:DU99_12605
ko:K08299	smer:DU99_12620
ko:K02035	smer:DU99_12625
ko:K02033	smer:DU99_12630
ko:K02034	smer:DU99_12635
ko:K02031	smer:DU99_12640
ko:K02032	smer:DU99_12640
ko:K02035	smer:DU99_12650
ko:K06978	smer:DU99_12655
ko:K09964	smer:DU99_12660
ko:K02055	smer:DU99_12675
ko:K02052	smer:DU99_12680
ko:K02054	smer:DU99_12685
ko:K02053	smer:DU99_12690
ko:K00137	smer:DU99_12695
ko:K02014	smer:DU99_12700
ko:K13255	smer:DU99_12705
ko:K02016	smer:DU99_12710
ko:K14083	smer:DU99_12720
ko:K03704	smer:DU99_13030
ko:K07659	smer:DU99_13065
ko:K07638	smer:DU99_13070
ko:K06878	smer:DU99_13075
ko:K00286	smer:DU99_13080
ko:K13292	smer:DU99_13095
ko:K05810	smer:DU99_13105
ko:K00948	smer:DU99_13120
ko:K09959	smer:DU99_13130
ko:K00138	smer:DU99_13135
ko:K05782	smer:DU99_13145
ko:K02897	smer:DU99_13150
ko:K01056	smer:DU99_13155
ko:K06891	smer:DU99_13160
ko:K06942	smer:DU99_13165
ko:K17723	smer:DU99_13640
ko:K06016	smer:DU99_13665
ko:K01464	smer:DU99_13670
ko:K02049	smer:DU99_13680
ko:K02050	smer:DU99_13690
ko:K02050	smer:DU99_13695
ko:K02051	smer:DU99_13700
ko:K02005	smer:DU99_13705
ko:K03189	smer:DU99_13715
ko:K03188	smer:DU99_13720
ko:K03187	smer:DU99_13725
ko:K07726	smer:DU99_13745
ko:K01428	smer:DU99_13755
ko:K01429	smer:DU99_13770
ko:K01998	smer:DU99_14340
ko:K00823	smer:DU99_14350
ko:K02035	smer:DU99_14360
ko:K02035	smer:DU99_14370
ko:K02033	smer:DU99_14375
ko:K02034	smer:DU99_14380
ko:K16841	smer:DU99_14415
ko:K03695	smer:DU99_14480
ko:K03550	smer:DU99_15230
ko:K01159	smer:DU99_15235
ko:K09769	smer:DU99_15265
ko:K01934	smer:DU99_15270
ko:K09888	smer:DU99_15285
ko:K00615	smer:DU99_15295
ko:K00134	smer:DU99_15300
ko:K09957	smer:DU99_15305
ko:K00927	smer:DU99_15310
ko:K01623	smer:DU99_15315
ko:K06998	smer:DU99_15320
ko:K13592	smer:DU99_15345
ko:K02909	smer:DU99_15350
ko:K06147	smer:DU99_15355
ko:K02557	smer:DU99_15360
ko:K03710	smer:DU99_16265
ko:K10710	smer:DU99_16275
ko:K09972	smer:DU99_16290
ko:K02029	smer:DU99_16300
ko:K02030	smer:DU99_16310
ko:K01126	smer:DU99_16325
ko:K02034	smer:DU99_16330
ko:K03684	smer:DU99_01430
ko:K07461	smer:DU99_01440
ko:K07401	smer:DU99_01445
ko:K15977	smer:DU99_01450
ko:K06140	smer:DU99_01455
ko:K03596	smer:DU99_01465
ko:K01843	smer:DU99_01495
ko:K04568	smer:DU99_01500
ko:K02356	smer:DU99_01505
ko:K00574	smer:DU99_01510
ko:K02520	smer:DU99_01530
ko:K02916	smer:DU99_01535
ko:K02887	smer:DU99_01540
ko:K01889	smer:DU99_01545
ko:K01890	smer:DU99_01550
ko:K03601	smer:DU99_01615
ko:K00799	smer:DU99_01640
ko:K00832	smer:DU99_01660
ko:K06987	smer:DU99_01665
ko:K01876	smer:DU99_06185
ko:K04077	smer:DU99_06195
ko:K02621	smer:DU99_06210
ko:K01698	smer:DU99_06235
ko:K00600	smer:DU99_06255
ko:K07738	smer:DU99_06260
ko:K11752	smer:DU99_06265
ko:K00793	smer:DU99_06270
ko:K00794	smer:DU99_06290
ko:K03625	smer:DU99_06295
ko:K15987	smer:DU99_06305
ko:K17662	smer:DU99_06315
ko:K03621	smer:DU99_06325
ko:K00648	smer:DU99_06330
ko:K04764	smer:DU99_06335
ko:K01991	smer:DU99_06410
ko:K18234	smer:DU99_06425
ko:K02259	smer:DU99_06440
ko:K00145	smer:DU99_06445
ko:K01480	smer:DU99_06450
ko:K02996	smer:DU99_06455
ko:K02871	smer:DU99_06460
ko:K09922	smer:DU99_10335
ko:K01192	smer:DU99_10460
ko:K17317	smer:DU99_10470
ko:K17316	smer:DU99_10475
ko:K17315	smer:DU99_10480
ko:K02529	smer:DU99_10485
ko:K00033	smer:DU99_10495
ko:K03310	smer:DU99_10500
ko:K06996	smer:DU99_10515
ko:K02517	smer:DU99_10525
ko:K09458	smer:DU99_10535
ko:K09458	smer:DU99_10540
ko:K02372	smer:DU99_10545
ko:K02227	smer:DU99_10555
ko:K02225	smer:DU99_10560
ko:K02224	smer:DU99_10565
ko:K02303	smer:DU99_10570
ko:K02189	smer:DU99_10575
ko:K07090	smer:DU99_10580
ko:K02031	smer:DU99_10585
ko:K02032	smer:DU99_10585
ko:K02035	smer:DU99_10595
ko:K02033	smer:DU99_10600
ko:K02025	smer:DU99_18335
ko:K02027	smer:DU99_18340
ko:K03587	smer:DU99_18375
ko:K05366	smer:DU99_18380
ko:K03566	smer:DU99_18400
ko:K06998	smer:DU99_11495
ko:K02033	smer:DU99_16335
ko:K02035	smer:DU99_16350
ko:K01999	smer:DU99_16400
ko:K01995	smer:DU99_16405
ko:K01996	smer:DU99_16410
ko:K01997	smer:DU99_16415
ko:K01998	smer:DU99_16420
ko:K06190	smer:DU99_17470
ko:K03110	smer:DU99_17475
ko:K18707	smer:DU99_17480
ko:K01778	smer:DU99_17485
ko:K03106	smer:DU99_17495
ko:K04092	smer:DU99_17500
ko:K02959	smer:DU99_17505
ko:K02860	smer:DU99_17510
ko:K00554	smer:DU99_17515
ko:K07090	smer:DU99_17520
ko:K02884	smer:DU99_17525
ko:K02030	smer:DU99_17530
ko:K02029	smer:DU99_17535
ko:K15738	smer:DU99_17540
ko:K00949	smer:DU99_17545
ko:K02064	smer:DU99_17555
ko:K02063	smer:DU99_17560
ko:K02062	smer:DU99_17565
ko:K03089	smer:DU99_17575
ko:K07736	smer:DU99_17580
ko:K05524	smer:DU99_17585
ko:K04762	smer:DU99_17590
ko:K17675	smer:DU99_17595
ko:K00023	smer:DU99_17600
ko:K00626	smer:DU99_17605
ko:K02033	smer:DU99_18805
ko:K02035	smer:DU99_18815
ko:K03566	smer:DU99_18820
ko:K01745	smer:DU99_18825
ko:K07506	smer:DU99_18865
ko:K18009	smer:DU99_18895
ko:K15977	smer:DU99_18900
ko:K03809	smer:DU99_18920
ko:K06988	smer:DU99_18945
ko:K10439	smer:DU99_20370
ko:K10441	smer:DU99_20375
ko:K10440	smer:DU99_20380
ko:K10440	smer:DU99_20385
ko:K01560	smer:DU99_20430
ko:K05845	smer:DU99_22015
ko:K00626	smer:DU99_22050
ko:K08369	smer:DU99_22060
ko:K01707	smer:DU99_22075
ko:K02035	smer:DU99_22080
ko:K02033	smer:DU99_22085
ko:K02034	smer:DU99_22090
ko:K02031	smer:DU99_22095
ko:K02032	smer:DU99_22095
ko:K10439	smer:DU99_22115
ko:K10440	smer:DU99_22120
ko:K10441	smer:DU99_22125
ko:K10440	smer:DU99_22130
ko:K03704	smer:DU99_19725
ko:K00537	smer:DU99_19830
ko:K07726	smer:DU99_19870
ko:K02002	smer:DU99_21280
ko:K02167	smer:DU99_21290
ko:K01486	smer:DU99_21310
ko:K06901	smer:DU99_21315
ko:K01486	smer:DU99_21320
ko:K01476	smer:DU99_21330
ko:K03498	smer:DU99_21405
ko:K07657	smer:DU99_22995
ko:K02035	smer:DU99_23040
ko:K02033	smer:DU99_23045
ko:K02034	smer:DU99_23050
ko:K01760	smer:DU99_24075
ko:K03735	smer:DU99_24160
ko:K13953	smer:DU99_24185
ko:K00208	smer:DU99_24200
ko:K00925	smer:DU99_24205
ko:K00625	smer:DU99_24210
ko:K06188	smer:DU99_24235
ko:K01533	smer:DU99_24260
ko:K00406	smer:DU99_24275
ko:K00407	smer:DU99_24280
ko:K00405	smer:DU99_24285
ko:K00404	smer:DU99_24290
ko:K02048	smer:DU99_24485
ko:K02035	smer:DU99_24505
ko:K02034	smer:DU99_24525
ko:K02033	smer:DU99_24530
ko:K07118	smer:DU99_24560
ko:K03304	smer:DU99_24615
ko:K05520	smer:DU99_24680
ko:K10439	smer:DU99_24685
ko:K10440	smer:DU99_24690
ko:K10441	smer:DU99_24695
ko:K02510	smer:DU99_00075
ko:K11754	smer:DU99_00150
ko:K03671	smer:DU99_00160
ko:K02258	smer:DU99_04680
ko:K02276	smer:DU99_04685
ko:K14998	smer:DU99_04700
ko:K03527	smer:DU99_04705
ko:K02204	smer:DU99_04710
ko:K03469	smer:DU99_04715
ko:K07735	smer:DU99_04730
ko:K03790	smer:DU99_04740
ko:K01733	smer:DU99_04750
ko:K01999	smer:DU99_04760
ko:K01560	smer:DU99_04780
ko:K03575	smer:DU99_04785
ko:K03529	smer:DU99_04800
ko:K01006	smer:DU99_04805
ko:K00956	smer:DU99_04870
ko:K00957	smer:DU99_04875
ko:K00390	smer:DU99_04880
ko:K01133	smer:DU99_04905
ko:K02167	smer:DU99_04910
ko:K00799	smer:DU99_04940
ko:K00799	smer:DU99_04950
ko:K07343	smer:DU99_09565
ko:K07141	smer:DU99_09570
ko:K07402	smer:DU99_09575
ko:K07161	smer:DU99_09585
ko:K13786	smer:DU99_09595
ko:K01999	smer:DU99_09600
ko:K01783	smer:DU99_09610
ko:K01756	smer:DU99_09625
ko:K07002	smer:DU99_09640
ko:K16515	smer:DU99_09650
ko:K10218	smer:DU99_09655
ko:K07793	smer:DU99_09665
ko:K16514	smer:DU99_09680
ko:K01923	smer:DU99_09695
ko:K01952	smer:DU99_09700
ko:K01952	smer:DU99_09705
ko:K01952	smer:DU99_09730
ko:K07390	smer:DU99_09745
ko:K07552	smer:DU99_09750
ko:K07552	smer:DU99_09755
ko:K14058	smer:DU99_09765
ko:K01425	smer:DU99_09770
ko:K02986	smer:DU99_09775
ko:K06915	smer:DU99_09780
ko:K01776	smer:DU99_09785
ko:K02533	smer:DU99_09790
ko:K00031	smer:DU99_09800
ko:K03321	smer:DU99_09825
ko:K01872	smer:DU99_09830
ko:K16329	smer:DU99_09845
ko:K00759	smer:DU99_13185
ko:K01432	smer:DU99_24720
ko:K00317	smer:DU99_24725
ko:K02342	smer:DU99_24730
ko:K03704	smer:DU99_24935
ko:K03566	smer:DU99_24945
ko:K06889	smer:DU99_24970
ko:K02280	smer:DU99_24995
ko:K01578	smer:DU99_25020
ko:K18661	smer:DU99_25025
ko:K03088	smer:DU99_25060
ko:K02030	smer:DU99_25250
ko:K02029	smer:DU99_25255
ko:K02029	smer:DU99_25260
ko:K02529	smer:DU99_25265
ko:K02056	smer:DU99_25280
ko:K02057	smer:DU99_25285
ko:K02058	smer:DU99_25290
ko:K01674	smer:DU99_25335
ko:K01008	smer:DU99_25370
ko:K03088	smer:DU99_25545
ko:K06178	smer:DU99_25575
ko:K01469	smer:DU99_25580
ko:K11381	smer:DU99_25595
ko:K00658	smer:DU99_25600
ko:K10439	smer:DU99_25605
ko:K10441	smer:DU99_25610
ko:K10440	smer:DU99_25615
ko:K10440	smer:DU99_25620
ko:K05499	smer:DU99_25625
ko:K07238	smer:DU99_25640
ko:K03781	smer:DU99_25665
ko:K07006	smer:DU99_25670
ko:K00799	smer:DU99_25675
ko:K00286	smer:DU99_25685
ko:K02035	smer:DU99_25740
ko:K02026	smer:DU99_25845
ko:K09955	smer:DU99_25850
ko:K08963	smer:DU99_25885
ko:K00899	smer:DU99_25890
ko:K02056	smer:DU99_25895
ko:K02057	smer:DU99_25900
ko:K02058	smer:DU99_25905
ko:K00788	smer:DU99_25915
ko:K03149	smer:DU99_25920
ko:K03154	smer:DU99_25925
ko:K03153	smer:DU99_25930
ko:K03147	smer:DU99_25935
ko:K10126	smer:DU99_25945
ko:K10125	smer:DU99_25950
ko:K11103	smer:DU99_25955
ko:K02390	smer:DU99_03470
ko:K02396	smer:DU99_03475
ko:K02397	smer:DU99_03480
ko:K06602	smer:DU99_03485
ko:K06601	smer:DU99_03490
ko:K02389	smer:DU99_03495
ko:K02420	smer:DU99_03500
ko:K02400	smer:DU99_03505
ko:K02421	smer:DU99_03510
ko:K01491	smer:DU99_03540
ko:K02529	smer:DU99_03545
ko:K10232	smer:DU99_03555
ko:K10233	smer:DU99_03560
ko:K10234	smer:DU99_03565
ko:K01187	smer:DU99_03570
ko:K10235	smer:DU99_03575
ko:K01690	smer:DU99_03590
ko:K01057	smer:DU99_03595
ko:K00036	smer:DU99_03600
ko:K09471	smer:DU99_03605
ko:K01915	smer:DU99_03610
ko:K07007	smer:DU99_03615
ko:K03406	smer:DU99_03625
ko:K01637	smer:DU99_03645
ko:K07110	smer:DU99_03650
ko:K11073	smer:DU99_03655
ko:K11076	smer:DU99_03660
ko:K11075	smer:DU99_03665
ko:K11074	smer:DU99_03670
ko:K07289	smer:DU99_03680
ko:K01907	smer:DU99_03685
ko:K02011	smer:DU99_03690
ko:K00140	smer:DU99_03725
ko:K02012	smer:DU99_03740
ko:K13772	smer:DU99_03745
ko:K12368	smer:DU99_03750
ko:K12369	smer:DU99_03755
ko:K12370	smer:DU99_03760
ko:K12372	smer:DU99_03770
ko:K03327	smer:DU99_08275
ko:K00954	smer:DU99_08290
ko:K07568	smer:DU99_08305
ko:K00773	smer:DU99_08310
ko:K02030	smer:DU99_08315
ko:K07124	smer:DU99_08320
ko:K06167	smer:DU99_08395
ko:K03424	smer:DU99_08400
ko:K01874	smer:DU99_08405
ko:K02341	smer:DU99_08415
ko:K00943	smer:DU99_08420
ko:K07258	smer:DU99_08425
ko:K03642	smer:DU99_08430
ko:K03531	smer:DU99_11550
ko:K02010	smer:DU99_11565
ko:K02011	smer:DU99_11570
ko:K02012	smer:DU99_11575
ko:K03704	smer:DU99_11585
ko:K02970	smer:DU99_11595
ko:K00799	smer:DU99_11600
ko:K02002	smer:DU99_11630
ko:K00053	smer:DU99_11645
ko:K13888	smer:DU99_11655
ko:K05685	smer:DU99_11660
ko:K08369	smer:DU99_11690
ko:K00970	smer:DU99_13195
ko:K09986	smer:DU99_13205
ko:K03924	smer:DU99_13210
ko:K07393	smer:DU99_13235
ko:K04095	smer:DU99_13245
ko:K03088	smer:DU99_13260
ko:K01649	smer:DU99_13280
ko:K01358	smer:DU99_13290
ko:K09457	smer:DU99_13300
ko:K13503	smer:DU99_13310
ko:K16087	smer:DU99_13315
ko:K09984	smer:DU99_13775
ko:K01430	smer:DU99_13780
ko:K03190	smer:DU99_13785
ko:K01999	smer:DU99_13805
ko:K01996	smer:DU99_13815
ko:K01995	smer:DU99_13820
ko:K01998	smer:DU99_13825
ko:K01997	smer:DU99_13830
ko:K01082	smer:DU99_13835
ko:K06999	smer:DU99_13855
ko:K15975	smer:DU99_13875
ko:K02053	smer:DU99_13885
ko:K02054	smer:DU99_13890
ko:K02052	smer:DU99_13895
ko:K02055	smer:DU99_13900
ko:K01480	smer:DU99_13905
ko:K02493	smer:DU99_14500
ko:K02835	smer:DU99_14505
ko:K08484	smer:DU99_14510
ko:K00928	smer:DU99_14515
ko:K00568	smer:DU99_14525
ko:K02651	smer:DU99_14555
ko:K03574	smer:DU99_14565
ko:K00620	smer:DU99_14575
ko:K03769	smer:DU99_14580
ko:K03070	smer:DU99_14585
ko:K01895	smer:DU99_14605
ko:K01247	smer:DU99_14635
ko:K01894	smer:DU99_14640
ko:K01092	smer:DU99_15370
ko:K07126	smer:DU99_15375
ko:K00788	smer:DU99_15380
ko:K01588	smer:DU99_15405
ko:K01589	smer:DU99_15410
ko:K02919	smer:DU99_15415
ko:K00873	smer:DU99_15425
ko:K09948	smer:DU99_15440
ko:K08602	smer:DU99_15460
ko:K01665	smer:DU99_15465
ko:K02619	smer:DU99_15470
ko:K00808	smer:DU99_15480
ko:K01772	smer:DU99_15495
ko:K07340	smer:DU99_15505
ko:K08305	smer:DU99_15520
ko:K09795	smer:DU99_15525
ko:K00548	smer:DU99_16435
ko:K00847	smer:DU99_16450
ko:K00099	smer:DU99_16485
ko:K00643	smer:DU99_16490
ko:K03519	smer:DU99_16495
ko:K03520	smer:DU99_16500
ko:K03518	smer:DU99_16505
ko:K07278	smer:DU99_16525
ko:K09800	smer:DU99_16530
ko:K01476	smer:DU99_16560
ko:K03408	smer:DU99_16565
ko:K03406	smer:DU99_16575
ko:K00126	smer:DU99_16580
ko:K02911	smer:DU99_17615
ko:K03814	smer:DU99_17625
ko:K00795	smer:DU99_17630
ko:K00817	smer:DU99_17635
ko:K02424	smer:DU99_17660
ko:K10009	smer:DU99_17665
ko:K10010	smer:DU99_17670
ko:K01958	smer:DU99_17675
ko:K07782	smer:DU99_17680
ko:K06147	smer:DU99_17685
ko:K13688	smer:DU99_17700
ko:K00128	smer:DU99_17725
ko:K00812	smer:DU99_17730
ko:K00822	smer:DU99_17740
ko:K06911	smer:DU99_18950
ko:K00122	smer:DU99_19025
ko:K15975	smer:DU99_19040
ko:K00817	smer:DU99_19080
ko:K02052	smer:DU99_19090
ko:K02055	smer:DU99_19095
ko:K02054	smer:DU99_19100
ko:K02053	smer:DU99_19105
ko:K00013	smer:DU99_19110
ko:K17836	smer:DU99_20520
ko:K10979	smer:DU99_20535
ko:K03809	smer:DU99_20575
ko:K01951	smer:DU99_01695
ko:K01243	smer:DU99_01700
ko:K09947	smer:DU99_01715
ko:K03284	smer:DU99_01720
ko:K07338	smer:DU99_01725
ko:K07231	smer:DU99_01735
ko:K03500	smer:DU99_01745
ko:K03642	smer:DU99_01750
ko:K00799	smer:DU99_01765
ko:K06153	smer:DU99_01770
ko:K00329	smer:DU99_01780
ko:K00356	smer:DU99_01780
ko:K01591	smer:DU99_01790
ko:K00570	smer:DU99_01800
ko:K02338	smer:DU99_01805
ko:K07056	smer:DU99_01810
ko:K07460	smer:DU99_01815
ko:K01920	smer:DU99_01820
ko:K07391	smer:DU99_01825
ko:K01738	smer:DU99_01830
ko:K03719	smer:DU99_01850
ko:K02837	smer:DU99_01860
ko:K03337	smer:DU99_01885
ko:K03335	smer:DU99_01890
ko:K03336	smer:DU99_01895
ko:K03338	smer:DU99_01900
ko:K13038	smer:DU99_01925
ko:K00059	smer:DU99_01945
ko:K03688	smer:DU99_01950
ko:K03183	smer:DU99_01955
ko:K10563	smer:DU99_01960
ko:K01692	smer:DU99_01965
ko:K02968	smer:DU99_01970
ko:K06929	smer:DU99_06485
ko:K01740	smer:DU99_06490
ko:K06995	smer:DU99_06495
ko:K01358	smer:DU99_06520
ko:K03544	smer:DU99_06525
ko:K01338	smer:DU99_06530
ko:K03530	smer:DU99_06535
ko:K00330	smer:DU99_06590
ko:K00331	smer:DU99_06595
ko:K00332	smer:DU99_06600
ko:K00333	smer:DU99_06605
ko:K00334	smer:DU99_06615
ko:K00337	smer:DU99_06635
ko:K00338	smer:DU99_06640
ko:K00339	smer:DU99_06645
ko:K00340	smer:DU99_06650
ko:K00341	smer:DU99_06655
ko:K00342	smer:DU99_06660
ko:K00343	smer:DU99_06665
ko:K03524	smer:DU99_06670
ko:K12574	smer:DU99_06675
ko:K05606	smer:DU99_06680
ko:K01881	smer:DU99_06705
ko:K09808	smer:DU99_06710
ko:K09810	smer:DU99_06715
ko:K02337	smer:DU99_06725
ko:K02346	smer:DU99_06735
ko:K11443	smer:DU99_06745
ko:K02488	smer:DU99_06750
ko:K02913	smer:DU99_06755
ko:K10112	smer:DU99_10465
ko:K02034	smer:DU99_10605
ko:K01999	smer:DU99_10615
ko:K02230	smer:DU99_10630
ko:K02234	smer:DU99_10635
ko:K02231	smer:DU99_10640
ko:K02232	smer:DU99_10665
ko:K02002	smer:DU99_10675
ko:K02000	smer:DU99_10680
ko:K01821	smer:DU99_10695
ko:K00548	smer:DU99_10705
ko:K14083	smer:DU99_10735
ko:K16348	smer:DU99_10745
ko:K02030	smer:DU99_19955
ko:K02028	smer:DU99_19960
ko:K02029	smer:DU99_19965
ko:K02029	smer:DU99_19970
ko:K01714	smer:DU99_19975
ko:K00285	smer:DU99_19980
