ko:K10109	aat:D11S_1010
ko:K02679	aat:D11S_1832
ko:K03640	aat:D11S_1836
ko:K03641	aat:D11S_1837
ko:K02970	aat:D11S_1525
ko:K01409	aat:D11S_1527
ko:K00857	aat:D11S_1529
ko:K01972	aat:D11S_1530
ko:K03528	aat:D11S_1531
ko:K06203	aat:D11S_1532
ko:K01738	aat:D11S_1533
ko:K06942	aat:D11S_1537
ko:K01056	aat:D11S_1538
ko:K02851	aat:D11S_1550
ko:K01845	aat:D11S_1551
ko:K00990	aat:D11S_1552
ko:K01265	aat:D11S_1553
ko:K03734	aat:D11S_0642
ko:K05952	aat:D11S_0643
ko:K00566	aat:D11S_0644
ko:K01689	aat:D11S_0646
ko:K07447	aat:D11S_0647
ko:K07735	aat:D11S_0648
ko:K09761	aat:D11S_0649
ko:K03764	aat:D11S_0651
ko:K00963	aat:D11S_0652
ko:K03563	aat:D11S_0654
ko:K01872	aat:D11S_0655
ko:K06149	aat:D11S_0656
ko:K07014	aat:D11S_0659
ko:K09904	aat:D11S_0660
ko:K06899	aat:D11S_0661
ko:K06186	aat:D11S_0662
ko:K07662	aat:D11S_0663
ko:K07640	aat:D11S_0664
ko:K03312	aat:D11S_0665
ko:K07560	aat:D11S_0666
ko:K07058	aat:D11S_0667
ko:K09858	aat:D11S_0668
ko:K06915	aat:D11S_0670
ko:K06889	aat:D11S_0680
ko:K00820	aat:D11S_0681
ko:K05787	aat:D11S_0683
ko:K09891	aat:D11S_0684
ko:K01599	aat:D11S_0685
ko:K03426	aat:D11S_0686
ko:K01610	aat:D11S_0689
ko:K09800	aat:D11S_0691
ko:K07278	aat:D11S_0692
ko:K07685	aat:D11S_0693
ko:K05851	aat:D11S_0694
ko:K01749	aat:D11S_0695
ko:K01719	aat:D11S_0696
ko:K02496	aat:D11S_0697
ko:K02498	aat:D11S_0698
ko:K09125	aat:D11S_0699
ko:K05365	aat:D11S_1556
ko:K07243	aat:D11S_1557
ko:K07230	aat:D11S_1558
ko:K02003	aat:D11S_1562
ko:K03578	aat:D11S_1569
ko:K07390	aat:D11S_1572
ko:K03286	aat:D11S_1573
ko:K01772	aat:D11S_1576
ko:K11065	aat:D11S_1577
ko:K01443	aat:D11S_1578
ko:K02564	aat:D11S_1579
ko:K01639	aat:D11S_1580
ko:K01788	aat:D11S_1583
ko:K02803	aat:D11S_1587
ko:K02804	aat:D11S_1587
ko:K03702	aat:D11S_1589
ko:K02622	aat:D11S_1596
ko:K02621	aat:D11S_1598
ko:K00759	aat:D11S_1609
ko:K02560	aat:D11S_1610
ko:K03088	aat:D11S_0701
ko:K04760	aat:D11S_0703
ko:K06959	aat:D11S_0710
ko:K00880	aat:D11S_0711
ko:K10440	aat:D11S_0712
ko:K10441	aat:D11S_0713
ko:K00867	aat:D11S_0722
ko:K02470	aat:D11S_0723
ko:K03654	aat:D11S_0724
ko:K06202	aat:D11S_0725
ko:K01586	aat:D11S_0727
ko:K08996	aat:D11S_0728
ko:K01246	aat:D11S_0729
ko:K04744	aat:D11S_0730
ko:K00769	aat:D11S_0732
ko:K07124	aat:D11S_0734
ko:K03753	aat:D11S_0735
ko:K03803	aat:D11S_0736
ko:K03598	aat:D11S_0737
ko:K03597	aat:D11S_0738
ko:K03088	aat:D11S_0739
ko:K09159	aat:D11S_0740
ko:K01881	aat:D11S_0742
ko:K01042	aat:D11S_0743
ko:K03833	aat:D11S_0744
ko:K06181	aat:D11S_0748
ko:K03308	aat:D11S_0749
ko:K12515	aat:D11S_0753
ko:K12512	aat:D11S_0755
ko:K12511	aat:D11S_0756
ko:K12510	aat:D11S_0757
ko:K02283	aat:D11S_0758
ko:K02282	aat:D11S_0759
ko:K02280	aat:D11S_0761
ko:K07090	aat:D11S_1611
ko:K07261	aat:D11S_1612
ko:K01736	aat:D11S_1613
ko:K05802	aat:D11S_1614
ko:K01911	aat:D11S_1615
ko:K03645	aat:D11S_1616
ko:K03839	aat:D11S_1618
ko:K03711	aat:D11S_1619
ko:K02469	aat:D11S_1620
ko:K03113	aat:D11S_1622
ko:K01591	aat:D11S_1623
ko:K05788	aat:D11S_1626
ko:K02945	aat:D11S_1627
ko:K00945	aat:D11S_1628
ko:K09824	aat:D11S_1629
ko:K03576	aat:D11S_1635
ko:K00549	aat:D11S_1636
ko:K11179	aat:D11S_1640
ko:K01512	aat:D11S_1645
ko:K09909	aat:D11S_1646
ko:K01734	aat:D11S_1647
ko:K07320	aat:D11S_1652
ko:K00615	aat:D11S_1653
ko:K00615	aat:D11S_1654
ko:K03475	aat:D11S_1655
ko:K02822	aat:D11S_1657
ko:K01129	aat:D11S_1660
ko:K06518	aat:D11S_1662
ko:K01766	aat:D11S_1665
ko:K02426	aat:D11S_1666
ko:K03272	aat:D11S_1667
ko:K02279	aat:D11S_0762
ko:K02278	aat:D11S_0763
ko:K07042	aat:D11S_0766
ko:K03723	aat:D11S_0770
ko:K03271	aat:D11S_0771
ko:K10000	aat:D11S_0772
ko:K09997	aat:D11S_0773
ko:K09999	aat:D11S_0774
ko:K09998	aat:D11S_0775
ko:K03925	aat:D11S_0777
ko:K03438	aat:D11S_0778
ko:K03586	aat:D11S_0779
ko:K03587	aat:D11S_0780
ko:K01928	aat:D11S_0781
ko:K01929	aat:D11S_0782
ko:K01000	aat:D11S_0783
ko:K01925	aat:D11S_0784
ko:K03588	aat:D11S_0785
ko:K02563	aat:D11S_0786
ko:K01924	aat:D11S_0787
ko:K01921	aat:D11S_0788
ko:K03589	aat:D11S_0789
ko:K03590	aat:D11S_0790
ko:K03531	aat:D11S_0791
ko:K02535	aat:D11S_0792
ko:K04079	aat:D11S_0795
ko:K01439	aat:D11S_0797
ko:K01515	aat:D11S_0799
ko:K03651	aat:D11S_0800
ko:K06920	aat:D11S_0805
ko:K12297	aat:D11S_0808
ko:K00246	aat:D11S_0810
ko:K00245	aat:D11S_0811
ko:K04568	aat:D11S_0814
ko:K02013	aat:D11S_0815
ko:K02015	aat:D11S_0816
ko:K02015	aat:D11S_0817
ko:K02016	aat:D11S_0818
ko:K02517	aat:D11S_1668
ko:K07340	aat:D11S_1671
ko:K00428	aat:D11S_1676
ko:K03684	aat:D11S_1677
ko:K07285	aat:D11S_1679
ko:K03722	aat:D11S_1681
ko:K05838	aat:D11S_1683
ko:K00384	aat:D11S_1684
ko:K01142	aat:D11S_1698
ko:K12992	aat:D11S_1700
ko:K12997	aat:D11S_1701
ko:K07272	aat:D11S_1704
ko:K09691	aat:D11S_1705
ko:K09690	aat:D11S_1706
ko:K01790	aat:D11S_1707
ko:K00067	aat:D11S_1708
ko:K07724	aat:D11S_0005
ko:K00652	aat:D11S_0008
ko:K00833	aat:D11S_0009
ko:K01613	aat:D11S_0011
ko:K03773	aat:D11S_0012
ko:K00931	aat:D11S_0014
ko:K00287	aat:D11S_0018
ko:K03424	aat:D11S_0022
ko:K02341	aat:D11S_0023
ko:K00943	aat:D11S_0024
ko:K07082	aat:D11S_0025
ko:K03299	aat:D11S_0032
ko:K06889	aat:D11S_0035
ko:K03555	aat:D11S_0037
ko:K09897	aat:D11S_0041
ko:K03673	aat:D11S_0042
ko:K09896	aat:D11S_0043
ko:K03752	aat:D11S_0044
ko:K02768	aat:D11S_0046
ko:K11183	aat:D11S_0046
ko:K00882	aat:D11S_0047
ko:K02769	aat:D11S_0048
ko:K02770	aat:D11S_0048
ko:K03073	aat:D11S_0056
ko:K02601	aat:D11S_0057
ko:K02867	aat:D11S_0058
ko:K02863	aat:D11S_0059
ko:K08296	aat:D11S_0934
ko:K03431	aat:D11S_0935
ko:K00796	aat:D11S_0936
ko:K02346	aat:D11S_0937
ko:K00088	aat:D11S_0941
ko:K03524	aat:D11S_0942
ko:K04062	aat:D11S_0943
ko:K06918	aat:D11S_0954
ko:K08990	aat:D11S_0955
ko:K03721	aat:D11S_0956
ko:K03666	aat:D11S_0959
ko:K00791	aat:D11S_0960
ko:K03572	aat:D11S_0961
ko:K01448	aat:D11S_0962
ko:K06925	aat:D11S_0963
ko:K06949	aat:D11S_0972
ko:K02784	aat:D11S_0973
ko:K08483	aat:D11S_0974
ko:K02777	aat:D11S_0975
ko:K01414	aat:D11S_0976
ko:K09790	aat:D11S_0977
ko:K02035	aat:D11S_0978
ko:K02619	aat:D11S_0979
ko:K01665	aat:D11S_0980
ko:K09808	aat:D11S_0983
ko:K09808	aat:D11S_0985
ko:K01626	aat:D11S_0986
ko:K02314	aat:D11S_0988
ko:K01775	aat:D11S_0989
ko:K01810	aat:D11S_0990
ko:K03646	aat:D11S_1838
ko:K03560	aat:D11S_1839
ko:K03562	aat:D11S_1840
ko:K07107	aat:D11S_1841
ko:K00426	aat:D11S_1843
ko:K00425	aat:D11S_1844
ko:K03551	aat:D11S_1846
ko:K03550	aat:D11S_1847
ko:K01159	aat:D11S_1848
ko:K08310	aat:D11S_1851
ko:K01876	aat:D11S_1854
ko:K02445	aat:D11S_1863
ko:K03683	aat:D11S_1866
ko:K07084	aat:D11S_1867
ko:K04067	aat:D11S_1868
ko:K06168	aat:D11S_1869
ko:K09765	aat:D11S_1872
ko:K02523	aat:D11S_1873
ko:K02888	aat:D11S_1874
ko:K02899	aat:D11S_1875
ko:K03979	aat:D11S_1878
ko:K03664	aat:D11S_1880
ko:K07773	aat:D11S_1888
ko:K02909	aat:D11S_1889
ko:K06966	aat:D11S_1890
ko:K04084	aat:D11S_1891
ko:K02864	aat:D11S_0061
ko:K02935	aat:D11S_0062
ko:K03043	aat:D11S_0063
ko:K03046	aat:D11S_0064
ko:K02961	aat:D11S_0065
ko:K02904	aat:D11S_0066
ko:K02878	aat:D11S_0067
ko:K02982	aat:D11S_0068
ko:K02890	aat:D11S_0069
ko:K02886	aat:D11S_0071
ko:K02892	aat:D11S_0072
ko:K02926	aat:D11S_0073
ko:K02906	aat:D11S_0074
ko:K02946	aat:D11S_0075
ko:K02106	aat:D11S_0079
ko:K00626	aat:D11S_0080
ko:K00926	aat:D11S_0083
ko:K00611	aat:D11S_0084
ko:K05539	aat:D11S_0086
ko:K01914	aat:D11S_0087
ko:K03718	aat:D11S_0088
ko:K00757	aat:D11S_0089
ko:K03548	aat:D11S_0090
ko:K09890	aat:D11S_0093
ko:K09794	aat:D11S_0096
ko:K03775	aat:D11S_0097
ko:K09893	aat:D11S_0099
ko:K03282	aat:D11S_0100
ko:K03499	aat:D11S_0101
ko:K03500	aat:D11S_0102
ko:K00604	aat:D11S_0103
ko:K01462	aat:D11S_0104
ko:K03273	aat:D11S_0111
ko:K02071	aat:D11S_0112
ko:K02072	aat:D11S_0113
ko:K02073	aat:D11S_0114
ko:K06910	aat:D11S_0115
ko:K03216	aat:D11S_0116
ko:K09824	aat:D11S_0117
ko:K03978	aat:D11S_0119
ko:K00794	aat:D11S_0991
ko:K03625	aat:D11S_0992
ko:K00946	aat:D11S_0993
ko:K01095	aat:D11S_0994
ko:K11107	aat:D11S_0998
ko:K00526	aat:D11S_1000
ko:K00525	aat:D11S_1001
ko:K02012	aat:D11S_1004
ko:K10110	aat:D11S_1009
ko:K10108	aat:D11S_1012
ko:K10111	aat:D11S_1013
ko:K02024	aat:D11S_1014
ko:K05775	aat:D11S_1015
ko:K03750	aat:D11S_1018
ko:K01495	aat:D11S_1019
ko:K07259	aat:D11S_1020
ko:K03624	aat:D11S_1021
ko:K07574	aat:D11S_1022
ko:K00793	aat:D11S_1025
ko:K03327	aat:D11S_1026
ko:K03199	aat:D11S_1032
ko:K03813	aat:D11S_1040
ko:K03568	aat:D11S_1042
ko:K00973	aat:D11S_1709
ko:K01710	aat:D11S_1710
ko:K07270	aat:D11S_1715
ko:K03657	aat:D11S_1723
ko:K06894	aat:D11S_1043
ko:K05367	aat:D11S_1045
ko:K08300	aat:D11S_1895
ko:K06179	aat:D11S_1897
ko:K03778	aat:D11S_1899
ko:K03194	aat:D11S_1903
ko:K03197	aat:D11S_1904
ko:K03841	aat:D11S_1911
ko:K02558	aat:D11S_1912
ko:K08304	aat:D11S_1914
ko:K09815	aat:D11S_1916
ko:K09767	aat:D11S_1918
ko:K02968	aat:D11S_1922
ko:K03980	aat:D11S_1923
ko:K11753	aat:D11S_1924
ko:K01870	aat:D11S_1926
ko:K03101	aat:D11S_1927
ko:K03527	aat:D11S_1928
ko:K03545	aat:D11S_1929
ko:K04763	aat:D11S_1930
ko:K05820	aat:D11S_1931
ko:K00286	aat:D11S_1933
ko:K03554	aat:D11S_1934
ko:K02356	aat:D11S_1938
ko:K03834	aat:D11S_1941
ko:K03269	aat:D11S_1944
ko:K00655	aat:D11S_1945
ko:K04069	aat:D11S_1948
ko:K03658	aat:D11S_0124
ko:K09798	aat:D11S_0139
ko:K01834	aat:D11S_0142
ko:K09161	aat:D11S_0143
ko:K04754	aat:D11S_0144
ko:K03667	aat:D11S_0146
ko:K01419	aat:D11S_0147
ko:K03788	aat:D11S_0149
ko:K03835	aat:D11S_0152
ko:K01507	aat:D11S_0153
ko:K02858	aat:D11S_0155
ko:K01867	aat:D11S_0156
ko:K03110	aat:D11S_0157
ko:K08316	aat:D11S_0158
ko:K02793	aat:D11S_0159
ko:K02794	aat:D11S_0159
ko:K02795	aat:D11S_0160
ko:K02796	aat:D11S_0161
ko:K03784	aat:D11S_0164
ko:K11931	aat:D11S_0167
ko:K11936	aat:D11S_0168
ko:K07783	aat:D11S_0171
ko:K00275	aat:D11S_0172
ko:K05590	aat:D11S_0177
ko:K02821	aat:D11S_1047
ko:K03476	aat:D11S_1049
ko:K03477	aat:D11S_1050
ko:K03834	aat:D11S_1053
ko:K03674	aat:D11S_1056
ko:K10678	aat:D11S_1057
ko:K05844	aat:D11S_1058
ko:K01679	aat:D11S_1061
ko:K02339	aat:D11S_1062
ko:K01873	aat:D11S_1066
ko:K04047	aat:D11S_1074
ko:K01147	aat:D11S_1075
ko:K00208	aat:D11S_1076
ko:K01737	aat:D11S_1079
ko:K04567	aat:D11S_1080
ko:K02836	aat:D11S_1081
ko:K03981	aat:D11S_1083
ko:K07462	aat:D11S_1084
ko:K03673	aat:D11S_1085
ko:K01243	aat:D11S_1086
ko:K02007	aat:D11S_1089
ko:K02008	aat:D11S_1090
ko:K02006	aat:D11S_1091
ko:K04654	aat:D11S_1093
ko:K04655	aat:D11S_1094
ko:K00014	aat:D11S_1096
ko:K11720	aat:D11S_1098
ko:K07091	aat:D11S_1099
ko:K01255	aat:D11S_1100
ko:K02017	aat:D11S_1101
ko:K02018	aat:D11S_1102
ko:K00656	aat:D11S_1949
ko:K06212	aat:D11S_1950
ko:K01207	aat:D11S_1953
ko:K00850	aat:D11S_1956
ko:K09861	aat:D11S_1959
ko:K03648	aat:D11S_1960
ko:K06866	aat:D11S_1961
ko:K03596	aat:D11S_1962
ko:K03100	aat:D11S_1963
ko:K03685	aat:D11S_1964
ko:K03595	aat:D11S_1965
ko:K03650	aat:D11S_1966
ko:K03217	aat:D11S_1967
ko:K03536	aat:D11S_1969
ko:K02914	aat:D11S_1970
ko:K02313	aat:D11S_1972
ko:K02338	aat:D11S_1973
ko:K03629	aat:D11S_1974
ko:K04565	aat:D11S_1976
ko:K00027	aat:D11S_1980
ko:K07007	aat:D11S_1981
ko:K02199	aat:D11S_1983
ko:K04013	aat:D11S_1988
ko:K03385	aat:D11S_1989
ko:K02200	aat:D11S_1993
ko:K02199	aat:D11S_1994
ko:K02198	aat:D11S_1995
ko:K02197	aat:D11S_1996
ko:K02196	aat:D11S_1997
ko:K02195	aat:D11S_1998
ko:K02194	aat:D11S_1999
ko:K02193	aat:D11S_2000
ko:K03811	aat:D11S_0180
ko:K06177	aat:D11S_0181
ko:K07173	aat:D11S_0183
ko:K00661	aat:D11S_0185
ko:K03656	aat:D11S_0192
ko:K02335	aat:D11S_0195
ko:K03274	aat:D11S_0201
ko:K02843	aat:D11S_0203
ko:K01460	aat:D11S_0204
ko:K02569	aat:D11S_0205
ko:K02568	aat:D11S_0206
ko:K02574	aat:D11S_0207
ko:K02573	aat:D11S_0208
ko:K02567	aat:D11S_0209
ko:K02570	aat:D11S_0210
ko:K07674	aat:D11S_0212
ko:K00075	aat:D11S_0213
ko:K03089	aat:D11S_0215
ko:K02355	aat:D11S_0220
ko:K02992	aat:D11S_0221
ko:K00053	aat:D11S_0224
ko:K05786	aat:D11S_0226
ko:K00014	aat:D11S_0227
ko:K07566	aat:D11S_0228
ko:K07479	aat:D11S_0229
ko:K09760	aat:D11S_0230
ko:K02439	aat:D11S_0232
ko:K02441	aat:D11S_0234
ko:K02444	aat:D11S_0235
ko:K02020	aat:D11S_1103
ko:K02019	aat:D11S_1104
ko:K08722	aat:D11S_1106
ko:K04691	aat:D11S_1107
ko:K11752	aat:D11S_1108
ko:K07738	aat:D11S_1109
ko:K06968	aat:D11S_1110
ko:K03566	aat:D11S_1111
ko:K00826	aat:D11S_1112
ko:K03402	aat:D11S_1115
ko:K07071	aat:D11S_1116
ko:K03617	aat:D11S_1117
ko:K03616	aat:D11S_1118
ko:K03615	aat:D11S_1119
ko:K03614	aat:D11S_1120
ko:K03612	aat:D11S_1121
ko:K03613	aat:D11S_1122
ko:K10773	aat:D11S_1123
ko:K03308	aat:D11S_1124
ko:K09816	aat:D11S_1125
ko:K09817	aat:D11S_1126
ko:K02013	aat:D11S_1128
ko:K02015	aat:D11S_1129
ko:K02015	aat:D11S_1130
ko:K02016	aat:D11S_1131
ko:K02380	aat:D11S_1133
ko:K07645	aat:D11S_1137
ko:K00681	aat:D11S_1138
ko:K01940	aat:D11S_1140
ko:K02837	aat:D11S_1143
ko:K00982	aat:D11S_1146
ko:K02064	aat:D11S_1153
ko:K02063	aat:D11S_1154
ko:K01012	aat:D11S_1156
ko:K00029	aat:D11S_2005
ko:K04564	aat:D11S_2006
ko:K07054	aat:D11S_2008
ko:K08591	aat:D11S_2010
ko:K01633	aat:D11S_2011
ko:K03611	aat:D11S_2014
ko:K03314	aat:D11S_2015
ko:K03603	aat:D11S_2016
ko:K02552	aat:D11S_2018
ko:K02551	aat:D11S_2019
ko:K08680	aat:D11S_2020
ko:K02956	aat:D11S_2021
ko:K00789	aat:D11S_2022
ko:K02742	aat:D11S_2023
ko:K03837	aat:D11S_2024
ko:K01752	aat:D11S_2025
ko:K06941	aat:D11S_2027
ko:K02656	aat:D11S_2028
ko:K01892	aat:D11S_2031
ko:K10763	aat:D11S_2034
ko:K00761	aat:D11S_2037
ko:K03770	aat:D11S_2038
ko:K01919	aat:D11S_2039
ko:K01358	aat:D11S_2042
ko:K03544	aat:D11S_2043
ko:K03427	aat:D11S_2050
ko:K02548	aat:D11S_2053
ko:K02553	aat:D11S_2054
ko:K07098	aat:D11S_0819
ko:K06187	aat:D11S_0821
ko:K03169	aat:D11S_0822
ko:K03075	aat:D11S_0824
ko:K03814	aat:D11S_0829
ko:K03720	aat:D11S_0830
ko:K08309	aat:D11S_0831
ko:K09780	aat:D11S_0832
ko:K10806	aat:D11S_0833
ko:K06190	aat:D11S_0834
ko:K07275	aat:D11S_0837
ko:K03631	aat:D11S_0838
ko:K00858	aat:D11S_0839
ko:K03687	aat:D11S_0841
ko:K00647	aat:D11S_0844
ko:K07648	aat:D11S_0846
ko:K10541	aat:D11S_0847
ko:K10542	aat:D11S_0848
ko:K10540	aat:D11S_0849
ko:K02529	aat:D11S_0850
ko:K00849	aat:D11S_0852
ko:K01785	aat:D11S_0853
ko:K03319	aat:D11S_0856
ko:K01643	aat:D11S_0858
ko:K01644	aat:D11S_0859
ko:K01646	aat:D11S_0860
ko:K01910	aat:D11S_0861
ko:K06189	aat:D11S_0863
ko:K03820	aat:D11S_0864
ko:K02518	aat:D11S_0865
ko:K07751	aat:D11S_0867
ko:K00940	aat:D11S_0868
ko:K12373	aat:D11S_0869
ko:K03593	aat:D11S_0871
ko:K01874	aat:D11S_0872
ko:K04755	aat:D11S_0874
ko:K04044	aat:D11S_0875
ko:K03299	aat:D11S_1724
ko:K00851	aat:D11S_1725
ko:K06145	aat:D11S_1727
ko:K02379	aat:D11S_1728
ko:K04656	aat:D11S_1735
ko:K12140	aat:D11S_1741
ko:K12141	aat:D11S_1742
ko:K08315	aat:D11S_1747
ko:K01902	aat:D11S_1750
ko:K01903	aat:D11S_1751
ko:K00658	aat:D11S_1753
ko:K00164	aat:D11S_1754
ko:K03797	aat:D11S_1759
ko:K03607	aat:D11S_1760
ko:K03808	aat:D11S_1761
ko:K01258	aat:D11S_1763
ko:K11071	aat:D11S_1765
ko:K11070	aat:D11S_1766
ko:K11069	aat:D11S_1767
ko:K01489	aat:D11S_1768
ko:K01875	aat:D11S_1770
ko:K07792	aat:D11S_1771
ko:K07478	aat:D11S_1772
ko:K03634	aat:D11S_1773
ko:K03466	aat:D11S_1774
ko:K04485	aat:D11S_1776
ko:K07220	aat:D11S_1778
ko:K03306	aat:D11S_1779
ko:K07184	aat:D11S_1780
ko:K09889	aat:D11S_2057
ko:K03592	aat:D11S_2058
ko:K00760	aat:D11S_2059
ko:K02471	aat:D11S_0238
ko:K07085	aat:D11S_0239
ko:K09903	aat:D11S_0241
ko:K02838	aat:D11S_0243
ko:K00099	aat:D11S_0244
ko:K00806	aat:D11S_0245
ko:K00981	aat:D11S_0246
ko:K11749	aat:D11S_0247
ko:K07277	aat:D11S_0248
ko:K06142	aat:D11S_0249
ko:K02536	aat:D11S_0250
ko:K02372	aat:D11S_0251
ko:K00677	aat:D11S_0252
ko:K00748	aat:D11S_0253
ko:K03470	aat:D11S_0254
ko:K00995	aat:D11S_0257
ko:K00981	aat:D11S_0259
ko:K03831	aat:D11S_0260
ko:K00616	aat:D11S_0267
ko:K00615	aat:D11S_0268
ko:K09022	aat:D11S_0269
ko:K03565	aat:D11S_0270
ko:K03553	aat:D11S_0271
ko:K06158	aat:D11S_0272
ko:K05595	aat:D11S_0273
ko:K01619	aat:D11S_0279
ko:K11534	aat:D11S_0280
ko:K04042	aat:D11S_0282
ko:K09001	aat:D11S_0283
ko:K07106	aat:D11S_0284
ko:K07001	aat:D11S_0287
