ko:K02051	sams:NI36_00795
ko:K19068	sams:NI36_00705
ko:K14196	sams:NI36_00475
ko:K03784	sams:NI36_00615
ko:K08168	sams:NI36_00620
ko:K01619	sams:NI36_00625
ko:K08170	sams:NI36_00435
ko:K01104	sams:NI36_00690
ko:K01791	sams:NI36_00710
ko:K13012	sams:NI36_00740
ko:K00620	sams:NI36_00835
ko:K00145	sams:NI36_00840
ko:K00819	sams:NI36_00845
ko:K03311	sams:NI36_00850
ko:K20116	sams:NI36_00865
ko:K20117	sams:NI36_00865
ko:K20118	sams:NI36_00865
ko:K09963	sams:NI36_00870
ko:K07106	sams:NI36_00875
ko:K02809	sams:NI36_00880
ko:K02810	sams:NI36_00880
ko:K01153	sams:NI36_00895
ko:K02031	sams:NI36_00905
ko:K02032	sams:NI36_00905
ko:K02033	sams:NI36_00910
ko:K01788	sams:NI36_01500
ko:K03800	sams:NI36_01550
ko:K03475	sams:NI36_01555
ko:K02822	sams:NI36_01560
ko:K02821	sams:NI36_01565
ko:K18909	sams:NI36_01575
ko:K18908	sams:NI36_01580
ko:K02445	sams:NI36_01590
ko:K00299	sams:NI36_01605
ko:K03817	sams:NI36_01615
ko:K07224	sams:NI36_01620
ko:K16301	sams:NI36_01625
ko:K07243	sams:NI36_01630
ko:K03118	sams:NI36_01635
ko:K03116	sams:NI36_01640
ko:K07729	sams:NI36_01650
ko:K01990	sams:NI36_01660
ko:K00626	sams:NI36_01680
ko:K00549	sams:NI36_01690
ko:K00297	sams:NI36_01695
ko:K00547	sams:NI36_01695
ko:K01760	sams:NI36_01700
ko:K01739	sams:NI36_01705
ko:K03497	sams:NI36_01710
ko:K06942	sams:NI36_01725
ko:K02990	sams:NI36_01750
ko:K03111	sams:NI36_01755
ko:K02963	sams:NI36_01760
ko:K03043	sams:NI36_02695
ko:K03046	sams:NI36_02700
ko:K07590	sams:NI36_02705
ko:K02950	sams:NI36_02710
ko:K02992	sams:NI36_02715
ko:K02355	sams:NI36_02720
ko:K02358	sams:NI36_02725
ko:K00639	sams:NI36_02735
ko:K05523	sams:NI36_02740
ko:K00853	sams:NI36_02745
ko:K00826	sams:NI36_02755
ko:K01091	sams:NI36_02760
ko:K15519	sams:NI36_02765
ko:K15518	sams:NI36_02770
ko:K11991	sams:NI36_02775
ko:K14194	sams:NI36_02790
ko:K14194	sams:NI36_02795
ko:K14194	sams:NI36_02800
ko:K00712	sams:NI36_02805
ko:K00712	sams:NI36_02810
ko:K09007	sams:NI36_02820
ko:K02564	sams:NI36_02835
ko:K08093	sams:NI36_02840
ko:K08094	sams:NI36_02845
ko:K03762	sams:NI36_02855
ko:K00626	sams:NI36_02865
ko:K00868	sams:NI36_02885
ko:K03648	sams:NI36_02890
ko:K07491	sams:NI36_02920
ko:K00435	sams:NI36_02925
ko:K00625	sams:NI36_02930
ko:K16869	sams:NI36_02935
ko:K00869	sams:NI36_02940
ko:K01597	sams:NI36_02945
ko:K00938	sams:NI36_02950
ko:K07474	sams:NI36_04260
ko:K11040	sams:NI36_04265
ko:K08974	sams:NI36_04295
ko:K09013	sams:NI36_04300
ko:K09015	sams:NI36_04305
ko:K11717	sams:NI36_04310
ko:K04488	sams:NI36_04315
ko:K09014	sams:NI36_04320
ko:K00459	sams:NI36_04340
ko:K07090	sams:NI36_04355
ko:K03644	sams:NI36_04365
ko:K03367	sams:NI36_04405
ko:K03739	sams:NI36_04410
ko:K14188	sams:NI36_04415
ko:K03740	sams:NI36_04420
ko:K03885	sams:NI36_04435
ko:K13628	sams:NI36_04445
ko:K03885	sams:NI36_04450
ko:K01255	sams:NI36_04455
ko:K07084	sams:NI36_04460
ko:K00604	sams:NI36_05910
ko:K03500	sams:NI36_05915
ko:K06941	sams:NI36_05920
ko:K20074	sams:NI36_05925
ko:K12132	sams:NI36_05930
ko:K06949	sams:NI36_05935
ko:K01783	sams:NI36_05940
ko:K00949	sams:NI36_05945
ko:K02902	sams:NI36_05950
ko:K07030	sams:NI36_05960
ko:K03655	sams:NI36_05965
ko:K03621	sams:NI36_05975
ko:K00645	sams:NI36_05980
ko:K00059	sams:NI36_05985
ko:K02078	sams:NI36_05995
ko:K03685	sams:NI36_06000
ko:K03529	sams:NI36_06005
ko:K03110	sams:NI36_06010
ko:K09787	sams:NI36_06015
ko:K03106	sams:NI36_06020
ko:K02959	sams:NI36_06025
ko:K02860	sams:NI36_06030
ko:K00554	sams:NI36_06035
ko:K02884	sams:NI36_06040
ko:K14540	sams:NI36_06055
ko:K03470	sams:NI36_06060
ko:K01903	sams:NI36_06065
ko:K01902	sams:NI36_06070
ko:K04096	sams:NI36_06085
ko:K03168	sams:NI36_06090
ko:K04094	sams:NI36_06095
ko:K03733	sams:NI36_06100
ko:K01419	sams:NI36_06105
ko:K03667	sams:NI36_06110
ko:K03706	sams:NI36_06115
ko:K02967	sams:NI36_06125
ko:K02357	sams:NI36_06135
ko:K09903	sams:NI36_06140
ko:K02838	sams:NI36_06145
ko:K00806	sams:NI36_06150
ko:K00981	sams:NI36_06155
ko:K11749	sams:NI36_06160
ko:K01881	sams:NI36_06165
ko:K03763	sams:NI36_06170
ko:K09748	sams:NI36_06175
ko:K02600	sams:NI36_06180
ko:K07742	sams:NI36_06185
ko:K02519	sams:NI36_06195
ko:K02834	sams:NI36_06200
ko:K02315	sams:NI36_07915
ko:K03111	sams:NI36_07935
ko:K07741	sams:NI36_07985
ko:K07651	sams:NI36_08060
ko:K07775	sams:NI36_08065
ko:K06178	sams:NI36_08070
ko:K06024	sams:NI36_08075
ko:K05896	sams:NI36_08080
ko:K09763	sams:NI36_08085
ko:K04763	sams:NI36_08090
ko:K03711	sams:NI36_08095
ko:K01515	sams:NI36_08100
ko:K07124	sams:NI36_08115
ko:K00286	sams:NI36_08120
ko:K00784	sams:NI36_08125
ko:K00036	sams:NI36_08130
ko:K01187	sams:NI36_08140
ko:K00033	sams:NI36_08160
ko:K01258	sams:NI36_08165
ko:K09699	sams:NI36_08185
ko:K00167	sams:NI36_08190
ko:K00166	sams:NI36_08195
ko:K05592	sams:NI36_10180
ko:K01929	sams:NI36_10185
ko:K01921	sams:NI36_10190
ko:K05837	sams:NI36_10195
ko:K21600	sams:NI36_10210
ko:K06131	sams:NI36_10215
ko:K06950	sams:NI36_10220
ko:K03217	sams:NI36_10230
ko:K00788	sams:NI36_10235
ko:K00878	sams:NI36_10240
ko:K00941	sams:NI36_10245
ko:K03707	sams:NI36_10250
ko:K03111	sams:NI36_10265
ko:K02372	sams:NI36_10290
ko:K00790	sams:NI36_10295
ko:K02114	sams:NI36_10315
ko:K02112	sams:NI36_10320
ko:K02115	sams:NI36_10325
ko:K02111	sams:NI36_10330
ko:K02113	sams:NI36_10335
ko:K02109	sams:NI36_10340
ko:K02110	sams:NI36_10345
ko:K02108	sams:NI36_10350
ko:K02116	sams:NI36_10355
ko:K01791	sams:NI36_10360
ko:K00761	sams:NI36_10365
ko:K00600	sams:NI36_10370
ko:K01104	sams:NI36_10380
ko:K07566	sams:NI36_10385
ko:K02493	sams:NI36_10390
ko:K02835	sams:NI36_10395
ko:K00857	sams:NI36_10400
ko:K02909	sams:NI36_10405
ko:K03628	sams:NI36_10410
ko:K00128	sams:NI36_10415
ko:K00790	sams:NI36_10425
ko:K01624	sams:NI36_10430
ko:K01937	sams:NI36_10440
ko:K03048	sams:NI36_10445
ko:K02034	sams:NI36_00915
ko:K02035	sams:NI36_00920
ko:K00681	sams:NI36_00925
ko:K01118	sams:NI36_00935
ko:K10112	sams:NI36_00945
ko:K15770	sams:NI36_00950
ko:K15771	sams:NI36_00955
ko:K15772	sams:NI36_00960
ko:K07784	sams:NI36_00985
ko:K07720	sams:NI36_00990
ko:K02012	sams:NI36_01000
ko:K00656	sams:NI36_01005
ko:K04069	sams:NI36_01010
ko:K01126	sams:NI36_01020
ko:K14199	sams:NI36_01025
ko:K00632	sams:NI36_01040
ko:K07516	sams:NI36_01045
ko:K00252	sams:NI36_01050
ko:K01897	sams:NI36_01055
ko:K02035	sams:NI36_01070
ko:K05916	sams:NI36_01085
ko:K00016	sams:NI36_01095
ko:K02790	sams:NI36_01105
ko:K02791	sams:NI36_01105
ko:K02773	sams:NI36_01125
ko:K02774	sams:NI36_01130
ko:K02775	sams:NI36_01135
ko:K00008	sams:NI36_01140
ko:K00008	sams:NI36_01150
ko:K21030	sams:NI36_01155
ko:K05352	sams:NI36_01160
ko:K18704	sams:NI36_01165
ko:K21591	sams:NI36_01170
ko:K21030	sams:NI36_01175
ko:K05352	sams:NI36_01180
ko:K18704	sams:NI36_01185
ko:K07322	sams:NI36_01195
ko:K01834	sams:NI36_01805
ko:K03387	sams:NI36_01825
ko:K03386	sams:NI36_01830
ko:K19285	sams:NI36_01835
ko:K06956	sams:NI36_01840
ko:K03816	sams:NI36_01865
ko:K16169	sams:NI36_01870
ko:K00088	sams:NI36_01875
ko:K01951	sams:NI36_01880
ko:K08987	sams:NI36_01940
ko:K11042	sams:NI36_01950
ko:K07491	sams:NI36_01955
ko:K03427	sams:NI36_02010
ko:K01154	sams:NI36_02015
ko:K06885	sams:NI36_03025
ko:K13953	sams:NI36_03035
ko:K01887	sams:NI36_03050
ko:K07457	sams:NI36_03055
ko:K02016	sams:NI36_03060
ko:K02015	sams:NI36_03065
ko:K07025	sams:NI36_03070
ko:K09936	sams:NI36_03100
ko:K05565	sams:NI36_03120
ko:K05566	sams:NI36_03125
ko:K05567	sams:NI36_03130
ko:K05568	sams:NI36_03135
ko:K05569	sams:NI36_03140
ko:K05570	sams:NI36_03145
ko:K05571	sams:NI36_03150
ko:K03316	sams:NI36_03155
ko:K19975	sams:NI36_03160
ko:K19976	sams:NI36_03165
ko:K19973	sams:NI36_03170
ko:K03709	sams:NI36_03175
ko:K05946	sams:NI36_03185
ko:K09693	sams:NI36_03190
ko:K09692	sams:NI36_03195
ko:K21285	sams:NI36_03200
ko:K00980	sams:NI36_03210
ko:K07258	sams:NI36_03215
ko:K18104	sams:NI36_03220
ko:K16323	sams:NI36_03225
ko:K02013	sams:NI36_03240
ko:K02015	sams:NI36_03245
ko:K02015	sams:NI36_03250
ko:K05878	sams:NI36_03255
ko:K05879	sams:NI36_03260
ko:K05571	sams:NI36_04475
ko:K05570	sams:NI36_04480
ko:K05569	sams:NI36_04485
ko:K05568	sams:NI36_04490
ko:K05567	sams:NI36_04495
ko:K05566	sams:NI36_04500
ko:K05565	sams:NI36_04505
ko:K06347	sams:NI36_04510
ko:K03768	sams:NI36_04515
ko:K00819	sams:NI36_04530
ko:K00260	sams:NI36_04535
ko:K01126	sams:NI36_04540
ko:K01755	sams:NI36_04545
ko:K01940	sams:NI36_04550
ko:K01810	sams:NI36_04555
ko:K03100	sams:NI36_04565
ko:K03100	sams:NI36_04570
ko:K16899	sams:NI36_04575
ko:K16898	sams:NI36_04580
ko:K08255	sams:NI36_04595
ko:K21064	sams:NI36_04600
ko:K03695	sams:NI36_04615
ko:K06910	sams:NI36_04645
ko:K00648	sams:NI36_04660
ko:K09458	sams:NI36_04665
ko:K15581	sams:NI36_04675
ko:K15582	sams:NI36_04680
ko:K15583	sams:NI36_04685
ko:K10823	sams:NI36_04690
ko:K15580	sams:NI36_04695
ko:K02035	sams:NI36_04700
ko:K02031	sams:NI36_04705
ko:K02033	sams:NI36_04715
ko:K02034	sams:NI36_04720
ko:K01867	sams:NI36_04730
ko:K16509	sams:NI36_04735
ko:K16511	sams:NI36_04740
ko:K06198	sams:NI36_04745
ko:K08602	sams:NI36_04750
ko:K03177	sams:NI36_06205
ko:K11753	sams:NI36_06210
ko:K02956	sams:NI36_06215
ko:K00962	sams:NI36_06220
ko:K12574	sams:NI36_06225
ko:K03466	sams:NI36_06230
ko:K00059	sams:NI36_06250
ko:K00995	sams:NI36_06265
ko:K03553	sams:NI36_06275
ko:K18682	sams:NI36_06280
ko:K09769	sams:NI36_06290
ko:K00174	sams:NI36_06295
ko:K00175	sams:NI36_06300
ko:K06168	sams:NI36_06310
ko:K03555	sams:NI36_06325
ko:K03572	sams:NI36_06330
ko:K02443	sams:NI36_06335
ko:K02440	sams:NI36_06340
ko:K00864	sams:NI36_06345
ko:K00111	sams:NI36_06350
ko:K03666	sams:NI36_06365
ko:K00432	sams:NI36_06370
ko:K03665	sams:NI36_06375
ko:K03713	sams:NI36_06385
ko:K01915	sams:NI36_06390
ko:K01620	sams:NI36_06495
ko:K00382	sams:NI36_08200
ko:K03631	sams:NI36_08205
ko:K03402	sams:NI36_08210
ko:K13789	sams:NI36_08215
ko:K03602	sams:NI36_08220
ko:K03601	sams:NI36_08225
ko:K03625	sams:NI36_08230
ko:K01961	sams:NI36_08240
ko:K02160	sams:NI36_08245
ko:K02356	sams:NI36_08250
ko:K01262	sams:NI36_08255
ko:K03800	sams:NI36_08270
ko:K00283	sams:NI36_08280
ko:K00282	sams:NI36_08285
ko:K00605	sams:NI36_08290
ko:K00891	sams:NI36_08295
ko:K02246	sams:NI36_08315
ko:K02245	sams:NI36_08320
ko:K02244	sams:NI36_08325
ko:K02243	sams:NI36_08330
ko:K00845	sams:NI36_08345
ko:K19225	sams:NI36_08355
ko:K02913	sams:NI36_08365
ko:K12553	sams:NI36_08370
ko:K04564	sams:NI36_08375
ko:K02076	sams:NI36_08380
ko:K09816	sams:NI36_08385
ko:K09817	sams:NI36_08390
ko:K01151	sams:NI36_08395
ko:K18692	sams:NI36_08400
ko:K06967	sams:NI36_08410
ko:K03086	sams:NI36_08415
ko:K02316	sams:NI36_08420
ko:K09773	sams:NI36_08425
ko:K01880	sams:NI36_08435
ko:K03584	sams:NI36_08440
ko:K03595	sams:NI36_08445
ko:K01489	sams:NI36_08450
ko:K00887	sams:NI36_08455
ko:K07042	sams:NI36_08460
ko:K06217	sams:NI36_08465
ko:K07704	sams:NI36_01200
ko:K07705	sams:NI36_01205
ko:K05338	sams:NI36_01210
ko:K05339	sams:NI36_01215
ko:K03489	sams:NI36_01220
ko:K01223	sams:NI36_01230
ko:K00852	sams:NI36_01245
ko:K06726	sams:NI36_01250
ko:K06216	sams:NI36_01255
ko:K02529	sams:NI36_01260
ko:K01442	sams:NI36_01280
ko:K01990	sams:NI36_01290
ko:K01992	sams:NI36_01295
ko:K01992	sams:NI36_01300
ko:K03466	sams:NI36_01340
ko:K03311	sams:NI36_01435
ko:K02004	sams:NI36_01450
ko:K02003	sams:NI36_01455
ko:K16329	sams:NI36_01470
ko:K03307	sams:NI36_01480
ko:K01639	sams:NI36_01485
ko:K05577	sams:NI36_02115
ko:K09822	sams:NI36_02120
ko:K03928	sams:NI36_02140
ko:K03308	sams:NI36_02145
ko:K17216	sams:NI36_02150
ko:K17217	sams:NI36_02155
ko:K02071	sams:NI36_02160
ko:K02072	sams:NI36_02165
ko:K02073	sams:NI36_02170
ko:K00265	sams:NI36_02210
ko:K00266	sams:NI36_02215
ko:K02818	sams:NI36_02225
ko:K02819	sams:NI36_02225
ko:K01226	sams:NI36_02230
ko:K03486	sams:NI36_02235
ko:K02343	sams:NI36_02245
ko:K09747	sams:NI36_02250
ko:K06187	sams:NI36_02255
ko:K00943	sams:NI36_02285
ko:K02341	sams:NI36_02300
ko:K07461	sams:NI36_02320
ko:K07056	sams:NI36_02325
ko:K01874	sams:NI36_02335
ko:K03424	sams:NI36_02340
ko:K05985	sams:NI36_02345
ko:K02528	sams:NI36_02350
ko:K00919	sams:NI36_02360
ko:K09685	sams:NI36_02365
ko:K09022	sams:NI36_02370
ko:K06412	sams:NI36_02375
ko:K07491	sams:NI36_02380
ko:K19078	sams:NI36_03305
ko:K19077	sams:NI36_03310
ko:K19079	sams:NI36_03315
ko:K19080	sams:NI36_03320
ko:K07220	sams:NI36_03325
ko:K03306	sams:NI36_03330
ko:K06890	sams:NI36_03340
ko:K09705	sams:NI36_03360
ko:K09145	sams:NI36_03370
ko:K09793	sams:NI36_03390
ko:K06966	sams:NI36_03420
ko:K09768	sams:NI36_03425
ko:K06153	sams:NI36_03435
ko:K16013	sams:NI36_03440
ko:K16012	sams:NI36_03445
ko:K18906	sams:NI36_03450
ko:K01669	sams:NI36_03475
ko:K06934	sams:NI36_03490
ko:K19576	sams:NI36_03495
ko:K03976	sams:NI36_03505
ko:K03436	sams:NI36_03510
ko:K00882	sams:NI36_03515
ko:K02768	sams:NI36_03520
ko:K02769	sams:NI36_03520
ko:K02770	sams:NI36_03520
ko:K01443	sams:NI36_03530
ko:K20534	sams:NI36_03545
ko:K10681	sams:NI36_03550
ko:K10682	sams:NI36_03555
ko:K16937	sams:NI36_03560
ko:K10026	sams:NI36_03575
ko:K06886	sams:NI36_04760
ko:K07816	sams:NI36_04775
ko:K00858	sams:NI36_04780
ko:K06180	sams:NI36_04785
ko:K06213	sams:NI36_04790
ko:K03455	sams:NI36_04795
ko:K00208	sams:NI36_04800
ko:K03310	sams:NI36_04810
ko:K03429	sams:NI36_04840
ko:K05362	sams:NI36_04845
ko:K02837	sams:NI36_04855
ko:K02250	sams:NI36_04890
ko:K03800	sams:NI36_04900
ko:K07052	sams:NI36_04910
ko:K02003	sams:NI36_04945
ko:K15977	sams:NI36_04955
ko:K02016	sams:NI36_04960
ko:K02548	sams:NI36_04980
ko:K02552	sams:NI36_04985
ko:K02551	sams:NI36_04990
ko:K08680	sams:NI36_04995
ko:K01661	sams:NI36_05000
ko:K13715	sams:NI36_05010
ko:K00841	sams:NI36_05020
ko:K13714	sams:NI36_05040
ko:K06131	sams:NI36_06505
ko:K01174	sams:NI36_06515
ko:K00928	sams:NI36_06530
ko:K00003	sams:NI36_06535
ko:K01733	sams:NI36_06540
ko:K00872	sams:NI36_06545
ko:K03293	sams:NI36_06565
ko:K03781	sams:NI36_06570
ko:K02913	sams:NI36_06575
ko:K02954	sams:NI36_06580
ko:K00364	sams:NI36_06585
ko:K01356	sams:NI36_06600
ko:K00615	sams:NI36_06615
ko:K09976	sams:NI36_06620
ko:K03547	sams:NI36_06635
ko:K03546	sams:NI36_06640
ko:K03282	sams:NI36_06645
ko:K05020	sams:NI36_06650
ko:K01681	sams:NI36_06655
ko:K07107	sams:NI36_06660
ko:K08591	sams:NI36_06670
ko:K02622	sams:NI36_06675
ko:K02621	sams:NI36_06680
ko:K03310	sams:NI36_06690
ko:K03480	sams:NI36_06695
ko:K14205	sams:NI36_06710
ko:K07304	sams:NI36_06715
ko:K01821	sams:NI36_06725
ko:K03502	sams:NI36_06730
ko:K04517	sams:NI36_06735
ko:K01657	sams:NI36_06745
ko:K01658	sams:NI36_06750
ko:K00766	sams:NI36_06755
ko:K01609	sams:NI36_06760
ko:K01696	sams:NI36_06770
ko:K01695	sams:NI36_06775
ko:K11694	sams:NI36_06780
ko:K11695	sams:NI36_06785
ko:K02970	sams:NI36_08485
ko:K18707	sams:NI36_08490
ko:K09761	sams:NI36_08495
ko:K02687	sams:NI36_08500
ko:K03686	sams:NI36_08505
ko:K04043	sams:NI36_08510
ko:K03687	sams:NI36_08515
ko:K03705	sams:NI36_08520
ko:K03596	sams:NI36_08530
ko:K02968	sams:NI36_08535
ko:K02340	sams:NI36_08540
ko:K02238	sams:NI36_08545
ko:K01493	sams:NI36_08550
ko:K02237	sams:NI36_08555
ko:K09710	sams:NI36_08565
ko:K00969	sams:NI36_08575
ko:K07574	sams:NI36_08580
ko:K00014	sams:NI36_08585
ko:K06948	sams:NI36_08590
ko:K07015	sams:NI36_08595
ko:K01243	sams:NI36_08600
ko:K07491	sams:NI36_08615
ko:K11040	sams:NI36_08620
ko:K07160	sams:NI36_08640
ko:K01961	sams:NI36_08645
ko:K02160	sams:NI36_08650
ko:K03624	sams:NI36_08665
ko:K00876	sams:NI36_08670
ko:K08303	sams:NI36_08675
ko:K07447	sams:NI36_08695
ko:K01872	sams:NI36_08705
ko:K03581	sams:NI36_08710
ko:K00566	sams:NI36_08720
ko:K04487	sams:NI36_08725
ko:K17472	sams:NI36_08745
ko:K07478	sams:NI36_08750
ko:K04042	sams:NI36_02390
ko:K00948	sams:NI36_02395
ko:K02897	sams:NI36_02400
ko:K01056	sams:NI36_02405
ko:K03723	sams:NI36_02410
ko:K02499	sams:NI36_02420
ko:K13052	sams:NI36_02430
ko:K07571	sams:NI36_02435
ko:K04075	sams:NI36_02440
ko:K00760	sams:NI36_02445
ko:K03798	sams:NI36_02450
ko:K04083	sams:NI36_02455
ko:K01738	sams:NI36_02460
ko:K00796	sams:NI36_02465
ko:K01633	sams:NI36_02470
ko:K00950	sams:NI36_02475
ko:K04567	sams:NI36_02485
ko:K00375	sams:NI36_02570
ko:K06215	sams:NI36_02575
ko:K08681	sams:NI36_02580
ko:K11535	sams:NI36_02585
ko:K03708	sams:NI36_02590
ko:K19411	sams:NI36_02595
ko:K19405	sams:NI36_02600
ko:K03696	sams:NI36_02605
ko:K04485	sams:NI36_02615
ko:K09698	sams:NI36_02625
ko:K00640	sams:NI36_02630
ko:K01883	sams:NI36_02635
ko:K11145	sams:NI36_02640
ko:K03218	sams:NI36_02645
ko:K06962	sams:NI36_02650
ko:K03091	sams:NI36_02655
ko:K03073	sams:NI36_02660
ko:K02601	sams:NI36_02665
ko:K02867	sams:NI36_02670
ko:K02863	sams:NI36_02675
ko:K02864	sams:NI36_02680
ko:K02935	sams:NI36_02685
ko:K01737	sams:NI36_03580
ko:K06920	sams:NI36_03585
ko:K01664	sams:NI36_03590
ko:K01665	sams:NI36_03595
ko:K02619	sams:NI36_03600
ko:K19005	sams:NI36_03620
ko:K15738	sams:NI36_03630
ko:K03654	sams:NI36_03635
ko:K05847	sams:NI36_03640
ko:K05845	sams:NI36_03645
ko:K05846	sams:NI36_03645
ko:K00817	sams:NI36_03650
ko:K03305	sams:NI36_03670
ko:K09457	sams:NI36_03675
ko:K03647	sams:NI36_03685
ko:K00525	sams:NI36_03690
ko:K00526	sams:NI36_03695
ko:K02015	sams:NI36_03705
ko:K02015	sams:NI36_03710
ko:K02013	sams:NI36_03715
ko:K02016	sams:NI36_03720
ko:K00075	sams:NI36_03730
ko:K00865	sams:NI36_03750
ko:K01258	sams:NI36_03755
ko:K02851	sams:NI36_03775
ko:K02240	sams:NI36_03790
ko:K02242	sams:NI36_03795
ko:K03070	sams:NI36_03805
ko:K02836	sams:NI36_03815
ko:K07023	sams:NI36_03830
ko:K03702	sams:NI36_03840
ko:K03701	sams:NI36_03845
ko:K06023	sams:NI36_03850
ko:K13292	sams:NI36_03855
ko:K02829	sams:NI36_05065
ko:K02828	sams:NI36_05070
ko:K02827	sams:NI36_05075
ko:K02826	sams:NI36_05080
ko:K01491	sams:NI36_05095
ko:K01588	sams:NI36_05100
ko:K01589	sams:NI36_05105
ko:K01923	sams:NI36_05110
ko:K01952	sams:NI36_05120
ko:K01952	sams:NI36_05125
ko:K00764	sams:NI36_05130
ko:K01933	sams:NI36_05135
ko:K11175	sams:NI36_05140
ko:K00602	sams:NI36_05145
ko:K01945	sams:NI36_05150
ko:K16785	sams:NI36_05155
ko:K16786	sams:NI36_05160
ko:K16787	sams:NI36_05160
ko:K16925	sams:NI36_05165
ko:K11189	sams:NI36_05195
ko:K08483	sams:NI36_05200
ko:K00425	sams:NI36_05210
ko:K00426	sams:NI36_05215
ko:K03499	sams:NI36_05220
ko:K12574	sams:NI36_05225
ko:K01462	sams:NI36_05240
ko:K00161	sams:NI36_05250
ko:K00162	sams:NI36_05255
ko:K00627	sams:NI36_05260
ko:K00382	sams:NI36_05265
ko:K11072	sams:NI36_05280
ko:K11071	sams:NI36_05285
ko:K11070	sams:NI36_05290
ko:K11069	sams:NI36_05295
ko:K03322	sams:NI36_05310
ko:K02031	sams:NI36_06805
ko:K02034	sams:NI36_06810
ko:K02033	sams:NI36_06815
ko:K02039	sams:NI36_06835
ko:K02036	sams:NI36_06840
ko:K02038	sams:NI36_06845
ko:K02037	sams:NI36_06850
ko:K02040	sams:NI36_06855
ko:K00243	sams:NI36_06860
ko:K00928	sams:NI36_06870
ko:K00133	sams:NI36_06875
ko:K01714	sams:NI36_06880
ko:K00215	sams:NI36_06885
ko:K05822	sams:NI36_06890
ko:K01775	sams:NI36_06900
ko:K01586	sams:NI36_06905
ko:K07734	sams:NI36_06910
ko:K03704	sams:NI36_06920
ko:K01512	sams:NI36_06935
ko:K03311	sams:NI36_06950
ko:K00658	sams:NI36_06975
ko:K00164	sams:NI36_06980
ko:K18940	sams:NI36_06985
ko:K18941	sams:NI36_06990
ko:K19302	sams:NI36_06995
ko:K02563	sams:NI36_07000
ko:K03797	sams:NI36_07010
ko:K02777	sams:NI36_07025
ko:K07305	sams:NI36_07030
ko:K07304	sams:NI36_07035
ko:K00287	sams:NI36_07045
ko:K00560	sams:NI36_07050
ko:K01876	sams:NI36_08765
ko:K01892	sams:NI36_08770
ko:K01448	sams:NI36_08775
ko:K07560	sams:NI36_08780
ko:K00951	sams:NI36_08785
ko:K00759	sams:NI36_08790
ko:K07462	sams:NI36_08795
ko:K12257	sams:NI36_08800
ko:K03210	sams:NI36_08805
ko:K00773	sams:NI36_08810
ko:K07568	sams:NI36_08815
ko:K03551	sams:NI36_08820
ko:K03550	sams:NI36_08825
ko:K06209	sams:NI36_08830
ko:K03979	sams:NI36_08835
ko:K02899	sams:NI36_08840
ko:K07584	sams:NI36_08845
ko:K02888	sams:NI36_08850
ko:K03571	sams:NI36_08855
ko:K03570	sams:NI36_08860
ko:K03630	sams:NI36_08880
ko:K02236	sams:NI36_08885
ko:K11754	sams:NI36_08895
ko:K01873	sams:NI36_08900
ko:K01246	sams:NI36_08905
ko:K07120	sams:NI36_08910
ko:K01845	sams:NI36_08920
ko:K01698	sams:NI36_08925
ko:K01719	sams:NI36_08930
ko:K01749	sams:NI36_08935
ko:K02497	sams:NI36_08940
ko:K02492	sams:NI36_08945
ko:K03978	sams:NI36_08950
