ko:K00105	sagr:SAIL_3440
ko:K02795	sagr:SAIL_19740
ko:K02793	sagr:SAIL_19760
ko:K07706	sagr:SAIL_19860
ko:K07658	sagr:SAIL_19920
ko:K03574	sagr:SAIL_20040
ko:K07729	sagr:SAIL_20090
ko:K05845	sagr:SAIL_21240
ko:K05846	sagr:SAIL_21240
ko:K05595	sagr:SAIL_21380
ko:K16787	sagr:SAIL_21450
ko:K16786	sagr:SAIL_21460
ko:K00088	sagr:SAIL_21540
ko:K01478	sagr:SAIL_21580
ko:K11144	sagr:SAIL_16740
ko:K03346	sagr:SAIL_16750
ko:K03499	sagr:SAIL_16840
ko:K16924	sagr:SAIL_16870
ko:K01439	sagr:SAIL_16930
ko:K02030	sagr:SAIL_16950
ko:K06948	sagr:SAIL_17160
ko:K02433	sagr:SAIL_17200
ko:K01424	sagr:SAIL_17340
ko:K02808	sagr:SAIL_17470
ko:K02809	sagr:SAIL_17470
ko:K02810	sagr:SAIL_17470
ko:K01262	sagr:SAIL_17610
ko:K12555	sagr:SAIL_20690
ko:K01619	sagr:SAIL_20740
ko:K03317	sagr:SAIL_20750
ko:K05833	sagr:SAIL_20800
ko:K05832	sagr:SAIL_20810
ko:K01989	sagr:SAIL_20820
ko:K07104	sagr:SAIL_20840
ko:K03810	sagr:SAIL_20880
ko:K08152	sagr:SAIL_21010
ko:K00841	sagr:SAIL_520
ko:K07052	sagr:SAIL_550
ko:K12296	sagr:SAIL_1500
ko:K03048	sagr:SAIL_1660
ko:K06889	sagr:SAIL_1680
ko:K15051	sagr:SAIL_2260
ko:K03693	sagr:SAIL_2280
ko:K02243	sagr:SAIL_2320
ko:K02244	sagr:SAIL_2330
ko:K02248	sagr:SAIL_2340
ko:K07729	sagr:SAIL_2380
ko:K07052	sagr:SAIL_2400
ko:K01261	sagr:SAIL_2420
ko:K02035	sagr:SAIL_2540
ko:K02033	sagr:SAIL_2550
ko:K02817	sagr:SAIL_2600
ko:K02818	sagr:SAIL_2600
ko:K02819	sagr:SAIL_2600
ko:K01226	sagr:SAIL_2610
ko:K02822	sagr:SAIL_2630
ko:K03475	sagr:SAIL_2640
ko:K10947	sagr:SAIL_3320
ko:K12556	sagr:SAIL_3580
ko:K02030	sagr:SAIL_3610
ko:K02028	sagr:SAIL_3630
ko:K01916	sagr:SAIL_3670
ko:K02371	sagr:SAIL_4250
ko:K00059	sagr:SAIL_4270
ko:K02795	sagr:SAIL_4400
ko:K02793	sagr:SAIL_4410
ko:K02794	sagr:SAIL_4410
ko:K01992	sagr:SAIL_3520
ko:K14228	sagr:SAIL_t3140
ko:K01990	sagr:SAIL_10550
ko:K01992	sagr:SAIL_4540
ko:K01992	sagr:SAIL_20350
ko:K01990	sagr:SAIL_4530
ko:K01990	sagr:SAIL_15470
ko:K01990	sagr:SAIL_20360
ko:K01990	sagr:SAIL_3300
ko:K14988	sagr:SAIL_7410
ko:K01977	sagr:SAIL_r1230
ko:K01977	sagr:SAIL_r2170
ko:K01977	sagr:SAIL_r2990
ko:K01977	sagr:SAIL_r4940
ko:K01977	sagr:SAIL_r160
ko:K01977	sagr:SAIL_r290
ko:K01977	sagr:SAIL_r4140
ko:K01990	sagr:SAIL_3510
ko:K03495	sagr:SAIL_21370
ko:K00566	sagr:SAIL_21390
ko:K01752	sagr:SAIL_21400
ko:K01752	sagr:SAIL_21410
ko:K16785	sagr:SAIL_21440
ko:K00995	sagr:SAIL_21470
ko:K03629	sagr:SAIL_21510
ko:K05340	sagr:SAIL_21520
ko:K02313	sagr:SAIL_10
ko:K02338	sagr:SAIL_20
ko:K06942	sagr:SAIL_60
ko:K01056	sagr:SAIL_70
ko:K02003	sagr:SAIL_8300
ko:K03975	sagr:SAIL_8330
ko:K02068	sagr:SAIL_8340
ko:K02069	sagr:SAIL_8350
ko:K03778	sagr:SAIL_8390
ko:K00874	sagr:SAIL_8420
ko:K01195	sagr:SAIL_8430
ko:K01625	sagr:SAIL_8450
ko:K01812	sagr:SAIL_8460
ko:K01686	sagr:SAIL_8470
ko:K01207	sagr:SAIL_8500
ko:K02529	sagr:SAIL_8520
ko:K01868	sagr:SAIL_8560
ko:K10040	sagr:SAIL_8600
ko:K10040	sagr:SAIL_8610
ko:K10039	sagr:SAIL_8620
ko:K09790	sagr:SAIL_8670
ko:K03685	sagr:SAIL_8680
ko:K03529	sagr:SAIL_8690
ko:K03110	sagr:SAIL_8720
ko:K07089	sagr:SAIL_8740
ko:K06959	sagr:SAIL_8770
ko:K00831	sagr:SAIL_16230
ko:K07056	sagr:SAIL_16260
ko:K02341	sagr:SAIL_16280
ko:K00943	sagr:SAIL_16290
ko:K01996	sagr:SAIL_16320
ko:K01995	sagr:SAIL_16330
ko:K01998	sagr:SAIL_16340
ko:K01997	sagr:SAIL_16350
ko:K01999	sagr:SAIL_16360
ko:K01358	sagr:SAIL_16380
ko:K00761	sagr:SAIL_16390
ko:K14155	sagr:SAIL_16400
ko:K03216	sagr:SAIL_16410
ko:K08998	sagr:SAIL_16450
ko:K06178	sagr:SAIL_16460
ko:K06024	sagr:SAIL_16470
ko:K05896	sagr:SAIL_16480
ko:K07095	sagr:SAIL_16510
ko:K01776	sagr:SAIL_16530
ko:K06890	sagr:SAIL_16570
ko:K06950	sagr:SAIL_16580
ko:K03437	sagr:SAIL_16590
ko:K01512	sagr:SAIL_16600
ko:K03217	sagr:SAIL_16610
ko:K10009	sagr:SAIL_16620
ko:K02424	sagr:SAIL_16630
ko:K01598	sagr:SAIL_11790
ko:K00951	sagr:SAIL_19640
ko:K01873	sagr:SAIL_5530
ko:K15342	sagr:SAIL_5610
ko:K01914	sagr:SAIL_5670
ko:K00954	sagr:SAIL_5710
ko:K06941	sagr:SAIL_5750
ko:K03523	sagr:SAIL_5800
ko:K01012	sagr:SAIL_5810
ko:K10773	sagr:SAIL_5860
ko:K06207	sagr:SAIL_5910
ko:K01925	sagr:SAIL_5930
ko:K02563	sagr:SAIL_5940
ko:K03589	sagr:SAIL_5950
ko:K03590	sagr:SAIL_5960
ko:K03531	sagr:SAIL_5970
ko:K06997	sagr:SAIL_5980
ko:K09772	sagr:SAIL_5990
ko:K02221	sagr:SAIL_6000
ko:K04074	sagr:SAIL_6020
ko:K01870	sagr:SAIL_6030
ko:K01462	sagr:SAIL_13810
ko:K00262	sagr:SAIL_13820
ko:K03828	sagr:SAIL_13870
ko:K15738	sagr:SAIL_13880
ko:K02768	sagr:SAIL_13940
ko:K02769	sagr:SAIL_13940
ko:K02770	sagr:SAIL_13940
ko:K00077	sagr:SAIL_14020
ko:K00554	sagr:SAIL_14050
ko:K02860	sagr:SAIL_14060
ko:K06960	sagr:SAIL_14110
ko:K02959	sagr:SAIL_14120
ko:K02003	sagr:SAIL_14140
ko:K01955	sagr:SAIL_14170
ko:K01956	sagr:SAIL_14180
ko:K02825	sagr:SAIL_14190
ko:K06180	sagr:SAIL_14200
ko:K03101	sagr:SAIL_14210
ko:K02899	sagr:SAIL_14230
ko:K03402	sagr:SAIL_21550
ko:K00611	sagr:SAIL_21600
ko:K03758	sagr:SAIL_21610
ko:K00926	sagr:SAIL_21620
ko:K01867	sagr:SAIL_21630
ko:K00783	sagr:SAIL_21710
ko:K03702	sagr:SAIL_15240
ko:K03979	sagr:SAIL_15310
ko:K03664	sagr:SAIL_15420
ko:K12573	sagr:SAIL_15430
ko:K03075	sagr:SAIL_15440
ko:K00859	sagr:SAIL_15480
ko:K07042	sagr:SAIL_15600
ko:K02029	sagr:SAIL_6080
ko:K01491	sagr:SAIL_6110
ko:K03601	sagr:SAIL_6130
ko:K03602	sagr:SAIL_6140
ko:K13789	sagr:SAIL_6150
ko:K06442	sagr:SAIL_6160
ko:K03402	sagr:SAIL_6170
ko:K03631	sagr:SAIL_6180
ko:K03530	sagr:SAIL_6220
ko:K06885	sagr:SAIL_6300
ko:K04041	sagr:SAIL_6350
ko:K02836	sagr:SAIL_6370
ko:K09812	sagr:SAIL_6380
ko:K09811	sagr:SAIL_6390
ko:K01893	sagr:SAIL_6470
ko:K06958	sagr:SAIL_6520
ko:K02888	sagr:SAIL_14250
ko:K07282	sagr:SAIL_14260
ko:K03151	sagr:SAIL_14270
ko:K04487	sagr:SAIL_14280
ko:K01736	sagr:SAIL_14320
ko:K01735	sagr:SAIL_14330
ko:K03785	sagr:SAIL_14340
ko:K06969	sagr:SAIL_14350
ko:K02887	sagr:SAIL_14370
ko:K02916	sagr:SAIL_14380
ko:K02520	sagr:SAIL_14390
ko:K00945	sagr:SAIL_14400
ko:K02013	sagr:SAIL_14470
ko:K02016	sagr:SAIL_14480
ko:K02015	sagr:SAIL_14490
ko:K02015	sagr:SAIL_14500
ko:K04069	sagr:SAIL_14530
ko:K07139	sagr:SAIL_14560
ko:K03100	sagr:SAIL_14660
ko:K03817	sagr:SAIL_7840
ko:K03655	sagr:SAIL_7900
ko:K06287	sagr:SAIL_8030
ko:K02078	sagr:SAIL_8120
ko:K02372	sagr:SAIL_8130
ko:K11050	sagr:SAIL_8150
ko:K11051	sagr:SAIL_8160
ko:K00243	sagr:SAIL_15710
ko:K02838	sagr:SAIL_15720
ko:K09903	sagr:SAIL_15730
ko:K10824	sagr:SAIL_15740
ko:K15587	sagr:SAIL_15750
ko:K15586	sagr:SAIL_15760
ko:K15585	sagr:SAIL_15770
ko:K15584	sagr:SAIL_15780
ko:K02863	sagr:SAIL_15790
ko:K02867	sagr:SAIL_15800
ko:K08170	sagr:SAIL_15820
ko:K03466	sagr:SAIL_15870
ko:K04042	sagr:SAIL_15960
ko:K03311	sagr:SAIL_16110
ko:K01874	sagr:SAIL_16120
ko:K16868	sagr:SAIL_16130
ko:K01142	sagr:SAIL_16170
ko:K08659	sagr:SAIL_6550
ko:K02909	sagr:SAIL_6570
ko:K02884	sagr:SAIL_6630
ko:K05837	sagr:SAIL_6650
ko:K02470	sagr:SAIL_6670
ko:K01079	sagr:SAIL_6690
ko:K01689	sagr:SAIL_6720
ko:K00800	sagr:SAIL_6740
ko:K00891	sagr:SAIL_6750
ko:K00891	sagr:SAIL_6760
ko:K03215	sagr:SAIL_6780
ko:K00991	sagr:SAIL_14750
ko:K00067	sagr:SAIL_14840
ko:K03086	sagr:SAIL_14860
ko:K03282	sagr:SAIL_14890
ko:K02970	sagr:SAIL_14900
ko:K06940	sagr:SAIL_14910
ko:K03320	sagr:SAIL_14930
ko:K07146	sagr:SAIL_14950
ko:K02445	sagr:SAIL_14980
ko:K00688	sagr:SAIL_14990
ko:K00705	sagr:SAIL_15000
ko:K02529	sagr:SAIL_15010
ko:K15771	sagr:SAIL_15030
ko:K15772	sagr:SAIL_15040
ko:K03305	sagr:SAIL_15050
ko:K03070	sagr:SAIL_15100
ko:K03076	sagr:SAIL_15140
ko:K03565	sagr:SAIL_5030
ko:K07006	sagr:SAIL_5160
ko:K16264	sagr:SAIL_5240
ko:K02773	sagr:SAIL_5330
ko:K02774	sagr:SAIL_5340
ko:K02773	sagr:SAIL_5370
ko:K02774	sagr:SAIL_5390
ko:K07407	sagr:SAIL_5440
ko:K00849	sagr:SAIL_5450
ko:K00965	sagr:SAIL_5460
ko:K03665	sagr:SAIL_13290
ko:K00791	sagr:SAIL_13300
ko:K04486	sagr:SAIL_13340
ko:K01126	sagr:SAIL_13380
ko:K03703	sagr:SAIL_13390
ko:K09765	sagr:SAIL_13400
ko:K03327	sagr:SAIL_13410
ko:K02003	sagr:SAIL_13460
ko:K02935	sagr:SAIL_13470
ko:K02864	sagr:SAIL_13480
ko:K03978	sagr:SAIL_13560
ko:K03544	sagr:SAIL_13570
ko:K11068	sagr:SAIL_13640
ko:K03555	sagr:SAIL_21040
ko:K03402	sagr:SAIL_21050
ko:K01887	sagr:SAIL_21060
ko:K01876	sagr:SAIL_21110
ko:K01892	sagr:SAIL_21120
ko:K02911	sagr:SAIL_21130
ko:K02913	sagr:SAIL_21140
ko:K00926	sagr:SAIL_21190
ko:K00611	sagr:SAIL_21200
ko:K07717	sagr:SAIL_21210
ko:K07719	sagr:SAIL_21220
ko:K05847	sagr:SAIL_21230
ko:K14205	sagr:SAIL_21250
ko:K14205	sagr:SAIL_21260
ko:K08987	sagr:SAIL_21280
ko:K01421	sagr:SAIL_21290
ko:K02986	sagr:SAIL_21320
ko:K02939	sagr:SAIL_21350
ko:K02003	sagr:SAIL_1830
ko:K01940	sagr:SAIL_1870
ko:K01755	sagr:SAIL_1880
ko:K01624	sagr:SAIL_1890
ko:K02902	sagr:SAIL_1910
ko:K06153	sagr:SAIL_2020
ko:K16511	sagr:SAIL_2030
ko:K09013	sagr:SAIL_2050
ko:K09015	sagr:SAIL_2060
ko:K11717	sagr:SAIL_2070
ko:K09014	sagr:SAIL_2090
ko:K15580	sagr:SAIL_2120
ko:K15581	sagr:SAIL_2130
ko:K00919	sagr:SAIL_2220
ko:K09817	sagr:SAIL_2240
ko:K09816	sagr:SAIL_2250
ko:K01866	sagr:SAIL_2270
ko:K03043	sagr:SAIL_2290
ko:K03046	sagr:SAIL_2300
ko:K00940	sagr:SAIL_10440
ko:K03596	sagr:SAIL_10450
ko:K06950	sagr:SAIL_10470
ko:K02337	sagr:SAIL_10570
ko:K00850	sagr:SAIL_10590
ko:K00873	sagr:SAIL_10600
ko:K03100	sagr:SAIL_10610
ko:K00820	sagr:SAIL_10630
ko:K06193	sagr:SAIL_10640
ko:K02029	sagr:SAIL_10650
ko:K02968	sagr:SAIL_10680
ko:K07335	sagr:SAIL_10720
ko:K02057	sagr:SAIL_10740
ko:K02057	sagr:SAIL_10750
ko:K02469	sagr:SAIL_10780
ko:K01951	sagr:SAIL_10830
ko:K07007	sagr:SAIL_18110
ko:K02954	sagr:SAIL_18130
ko:K01620	sagr:SAIL_18140
ko:K03789	sagr:SAIL_18160
ko:K01915	sagr:SAIL_18210
ko:K00927	sagr:SAIL_18240
ko:K00134	sagr:SAIL_18260
ko:K02355	sagr:SAIL_18270
ko:K02992	sagr:SAIL_18280
ko:K02950	sagr:SAIL_18290
ko:K09760	sagr:SAIL_18320
ko:K01783	sagr:SAIL_18340
ko:K06949	sagr:SAIL_18350
ko:K00563	sagr:SAIL_18360
ko:K02528	sagr:SAIL_18370
ko:K05985	sagr:SAIL_18390
ko:K03424	sagr:SAIL_18400
ko:K03740	sagr:SAIL_18510
ko:K14188	sagr:SAIL_18520
ko:K03739	sagr:SAIL_18530
ko:K03367	sagr:SAIL_18540
ko:K02914	sagr:SAIL_18570
ko:K04069	sagr:SAIL_3990
ko:K02759	sagr:SAIL_4020
ko:K02760	sagr:SAIL_4030
ko:K02761	sagr:SAIL_4040
ko:K00656	sagr:SAIL_4050
ko:K00005	sagr:SAIL_4070
ko:K01738	sagr:SAIL_4090
ko:K05808	sagr:SAIL_4130
ko:K00928	sagr:SAIL_4190
ko:K00648	sagr:SAIL_4230
ko:K02078	sagr:SAIL_4240
ko:K00645	sagr:SAIL_4260
ko:K09458	sagr:SAIL_4280
ko:K02160	sagr:SAIL_4290
ko:K02372	sagr:SAIL_4300
ko:K01961	sagr:SAIL_4310
ko:K01963	sagr:SAIL_4320
ko:K01962	sagr:SAIL_4330
ko:K01875	sagr:SAIL_4360
ko:K06901	sagr:SAIL_4450
ko:K00796	sagr:SAIL_12280
ko:K01495	sagr:SAIL_12290
ko:K11754	sagr:SAIL_12300
ko:K05786	sagr:SAIL_12310
ko:K00872	sagr:SAIL_12320
ko:K00003	sagr:SAIL_12330
ko:K11065	sagr:SAIL_12430
ko:K03657	sagr:SAIL_12540
ko:K03310	sagr:SAIL_12570
ko:K02945	sagr:SAIL_12680
ko:K00826	sagr:SAIL_12720
ko:K02621	sagr:SAIL_12730
ko:K02622	sagr:SAIL_12740
ko:K08591	sagr:SAIL_12750
ko:K03648	sagr:SAIL_12760
ko:K07478	sagr:SAIL_20110
ko:K06966	sagr:SAIL_20420
ko:K00005	sagr:SAIL_20480
ko:K00549	sagr:SAIL_20520
ko:K03723	sagr:SAIL_80
ko:K04075	sagr:SAIL_130
ko:K00760	sagr:SAIL_140
ko:K03798	sagr:SAIL_150
ko:K00948	sagr:SAIL_510
ko:K03584	sagr:SAIL_530
ko:K03621	sagr:SAIL_570
ko:K02078	sagr:SAIL_580
ko:K01923	sagr:SAIL_590
ko:K01952	sagr:SAIL_600
ko:K00764	sagr:SAIL_620
ko:K01933	sagr:SAIL_630
ko:K11175	sagr:SAIL_640
ko:K00602	sagr:SAIL_660
ko:K13292	sagr:SAIL_8820
ko:K08303	sagr:SAIL_8870
ko:K03322	sagr:SAIL_8900
ko:K11752	sagr:SAIL_8910
ko:K00793	sagr:SAIL_8920
ko:K14652	sagr:SAIL_8930
ko:K00794	sagr:SAIL_8940
ko:K04567	sagr:SAIL_8950
ko:K01595	sagr:SAIL_9040
ko:K03588	sagr:SAIL_9050
ko:K02358	sagr:SAIL_9060
ko:K01803	sagr:SAIL_9070
ko:K00687	sagr:SAIL_9090
ko:K06187	sagr:SAIL_9100
ko:K01921	sagr:SAIL_9120
ko:K01929	sagr:SAIL_9130
ko:K08177	sagr:SAIL_9140
ko:K02837	sagr:SAIL_9170
ko:K02071	sagr:SAIL_9190
ko:K02072	sagr:SAIL_9200
ko:K02073	sagr:SAIL_9210
ko:K05592	sagr:SAIL_9220
ko:K07461	sagr:SAIL_9230
ko:K00655	sagr:SAIL_9250
ko:K02237	sagr:SAIL_9260
ko:K03624	sagr:SAIL_16650
ko:K07082	sagr:SAIL_16660
ko:K07082	sagr:SAIL_16670
ko:K01924	sagr:SAIL_16690
ko:K03977	sagr:SAIL_16730
ko:K07738	sagr:SAIL_16760
ko:K07040	sagr:SAIL_16790
ko:K03799	sagr:SAIL_16800
ko:K03744	sagr:SAIL_16810
ko:K03501	sagr:SAIL_16820
ko:K16785	sagr:SAIL_16850
ko:K16786	sagr:SAIL_16860
ko:K16787	sagr:SAIL_16860
ko:K07862	sagr:SAIL_16880
ko:K03311	sagr:SAIL_16890
ko:K02072	sagr:SAIL_16910
ko:K02071	sagr:SAIL_16920
ko:K02073	sagr:SAIL_16940
ko:K07010	sagr:SAIL_16960
ko:K05878	sagr:SAIL_17010
ko:K05879	sagr:SAIL_17020
ko:K02440	sagr:SAIL_17040
ko:K09710	sagr:SAIL_17110
ko:K00925	sagr:SAIL_2370
ko:K00286	sagr:SAIL_2410
ko:K06878	sagr:SAIL_2460
ko:K07704	sagr:SAIL_2500
ko:K05338	sagr:SAIL_2520
ko:K05339	sagr:SAIL_2530
ko:K02034	sagr:SAIL_2570
ko:K00615	sagr:SAIL_2650
ko:K00615	sagr:SAIL_2660
ko:K02956	sagr:SAIL_2680
ko:K00962	sagr:SAIL_2690
ko:K00640	sagr:SAIL_2710
ko:K01883	sagr:SAIL_2730
ko:K11145	sagr:SAIL_2740
ko:K03218	sagr:SAIL_2750
ko:K06962	sagr:SAIL_2760
ko:K02871	sagr:SAIL_2800
ko:K02996	sagr:SAIL_2810
ko:K03710	sagr:SAIL_10840
ko:K04094	sagr:SAIL_10850
ko:K02073	sagr:SAIL_10870
ko:K02003	sagr:SAIL_10910
ko:K15580	sagr:SAIL_10970
ko:K03106	sagr:SAIL_11000
ko:K01256	sagr:SAIL_11050
ko:K02039	sagr:SAIL_11060
ko:K02036	sagr:SAIL_11070
ko:K02036	sagr:SAIL_11080
ko:K02038	sagr:SAIL_11090
ko:K02037	sagr:SAIL_11100
ko:K02040	sagr:SAIL_11110
ko:K11753	sagr:SAIL_11170
ko:K02003	sagr:SAIL_11250
ko:K03168	sagr:SAIL_11260
ko:K04096	sagr:SAIL_11280
ko:K02016	sagr:SAIL_11300
ko:K02013	sagr:SAIL_11310
ko:K02000	sagr:SAIL_18600
ko:K00880	sagr:SAIL_18670
ko:K01939	sagr:SAIL_18830
ko:K01919	sagr:SAIL_18870
ko:K04083	sagr:SAIL_18900
ko:K03823	sagr:SAIL_18930
ko:K03696	sagr:SAIL_18950
ko:K02357	sagr:SAIL_18980
ko:K02967	sagr:SAIL_18990
ko:K03387	sagr:SAIL_19010
ko:K06925	sagr:SAIL_4460
ko:K02503	sagr:SAIL_4510
ko:K03439	sagr:SAIL_4560
ko:K09748	sagr:SAIL_4580
ko:K02600	sagr:SAIL_4590
ko:K07742	sagr:SAIL_4600
ko:K02519	sagr:SAIL_4620
ko:K02834	sagr:SAIL_4630
ko:K06929	sagr:SAIL_4720
ko:K10682	sagr:SAIL_4760
ko:K10681	sagr:SAIL_4770
ko:K00773	sagr:SAIL_4790
ko:K03523	sagr:SAIL_4810
ko:K11991	sagr:SAIL_4830
ko:K01810	sagr:SAIL_4850
ko:K07335	sagr:SAIL_4880
ko:K00963	sagr:SAIL_4890
ko:K00057	sagr:SAIL_4900
ko:K03536	sagr:SAIL_4910
ko:K03217	sagr:SAIL_4920
ko:K01807	sagr:SAIL_13010
ko:K01575	sagr:SAIL_13090
ko:K01652	sagr:SAIL_13100
ko:K01790	sagr:SAIL_13170
ko:K00973	sagr:SAIL_13180
ko:K06967	sagr:SAIL_13210
ko:K00759	sagr:SAIL_13230
ko:K07462	sagr:SAIL_13250
ko:K07124	sagr:SAIL_13260
ko:K01869	sagr:SAIL_20620
ko:K02601	sagr:SAIL_20650
ko:K03073	sagr:SAIL_20680
ko:K06180	sagr:SAIL_20700
ko:K01839	sagr:SAIL_20730
ko:K00757	sagr:SAIL_20760
ko:K04077	sagr:SAIL_20780
ko:K04078	sagr:SAIL_20790
ko:K09861	sagr:SAIL_20850
ko:K07447	sagr:SAIL_20940
ko:K01246	sagr:SAIL_20990
ko:K03550	sagr:SAIL_21000
ko:K03572	sagr:SAIL_21020
ko:K03704	sagr:SAIL_21030
ko:K01060	sagr:SAIL_770
ko:K01945	sagr:SAIL_790
ko:K01588	sagr:SAIL_800
ko:K01589	sagr:SAIL_810
ko:K01756	sagr:SAIL_830
ko:K03551	sagr:SAIL_860
ko:K04072	sagr:SAIL_900
ko:K01733	sagr:SAIL_920
ko:K02946	sagr:SAIL_940
ko:K02906	sagr:SAIL_950
ko:K02926	sagr:SAIL_960
ko:K02892	sagr:SAIL_970
ko:K02886	sagr:SAIL_980
ko:K02965	sagr:SAIL_990
ko:K02890	sagr:SAIL_1000
ko:K02982	sagr:SAIL_1010
ko:K02878	sagr:SAIL_1020
ko:K02904	sagr:SAIL_1030
ko:K02961	sagr:SAIL_1040
ko:K02874	sagr:SAIL_1050
ko:K02895	sagr:SAIL_1060
ko:K02931	sagr:SAIL_1070
ko:K02954	sagr:SAIL_1080
ko:K02994	sagr:SAIL_1090
ko:K02933	sagr:SAIL_1100
ko:K02881	sagr:SAIL_1110
ko:K02988	sagr:SAIL_1120
ko:K02907	sagr:SAIL_1130
ko:K02876	sagr:SAIL_1140
ko:K03076	sagr:SAIL_1150
ko:K02518	sagr:SAIL_1170
ko:K02919	sagr:SAIL_1180
ko:K02952	sagr:SAIL_1190
ko:K02948	sagr:SAIL_1200
ko:K03040	sagr:SAIL_1210
ko:K02879	sagr:SAIL_1220
ko:K02340	sagr:SAIL_9330
ko:K04564	sagr:SAIL_9340
ko:K01223	sagr:SAIL_9370
ko:K02647	sagr:SAIL_9380
ko:K00865	sagr:SAIL_9390
ko:K07568	sagr:SAIL_9430
ko:K08602	sagr:SAIL_9500
ko:K01872	sagr:SAIL_9550
ko:K07150	sagr:SAIL_9560
ko:K00876	sagr:SAIL_9710
ko:K02343	sagr:SAIL_9730
ko:K03524	sagr:SAIL_9750
ko:K00789	sagr:SAIL_9760
ko:K16925	sagr:SAIL_9800
ko:K16786	sagr:SAIL_9810
ko:K16787	sagr:SAIL_9810
ko:K00969	sagr:SAIL_17140
ko:K07574	sagr:SAIL_17150
ko:K07015	sagr:SAIL_17170
ko:K02434	sagr:SAIL_17190
ko:K02435	sagr:SAIL_17220
ko:K09773	sagr:SAIL_17250
ko:K00074	sagr:SAIL_17270
ko:K03706	sagr:SAIL_17290
ko:K14260	sagr:SAIL_17300
ko:K00014	sagr:SAIL_17350
ko:K03655	sagr:SAIL_17370
ko:K01775	sagr:SAIL_17390
ko:K00997	sagr:SAIL_17400
ko:K01626	sagr:SAIL_17410
ko:K03070	sagr:SAIL_17430
ko:K01809	sagr:SAIL_17440
ko:K00847	sagr:SAIL_17450
ko:K01193	sagr:SAIL_17480
ko:K03484	sagr:SAIL_17490
ko:K03625	sagr:SAIL_17500
ko:K02356	sagr:SAIL_17520
ko:K05846	sagr:SAIL_2950
ko:K05845	sagr:SAIL_2960
ko:K05846	sagr:SAIL_2970
ko:K05847	sagr:SAIL_2980
ko:K03088	sagr:SAIL_3250
ko:K01443	sagr:SAIL_3340
ko:K01878	sagr:SAIL_3370
ko:K01118	sagr:SAIL_3380
ko:K01879	sagr:SAIL_3400
ko:K02015	sagr:SAIL_11320
ko:K02015	sagr:SAIL_11330
ko:K03470	sagr:SAIL_11350
ko:K14540	sagr:SAIL_11380
ko:K07704	sagr:SAIL_11420
