ko:K09779	ctla:L2BAMS2_00002
ko:K03664	ctla:L2BAMS2_00079
ko:K03734	ctla:L2BAMS2_00080
ko:K01491	ctla:L2BAMS2_00081
ko:K02902	ctla:L2BAMS2_00087
ko:K00705	ctla:L2BAMS2_00088
ko:K04058	ctla:L2BAMS2_00090
ko:K03230	ctla:L2BAMS2_00091
ko:K03229	ctla:L2BAMS2_00092
ko:K06942	ctla:L2BAMS2_00093
ko:K11753	ctla:L2BAMS2_00094
ko:K02836	ctla:L2BAMS2_00478
ko:K00991	ctla:L2BAMS2_00481
ko:K06173	ctla:L2BAMS2_00482
ko:K07710	ctla:L2BAMS2_00487
ko:K07714	ctla:L2BAMS2_00488
ko:K03584	ctla:L2BAMS2_00491
ko:K08998	ctla:L2BAMS2_00495
ko:K01890	ctla:L2BAMS2_00497
ko:K02034	ctla:L2BAMS2_00500
ko:K01772	ctla:L2BAMS2_00509
ko:K07099	ctla:L2BAMS2_00512
ko:K00975	ctla:L2BAMS2_00513
ko:K03628	ctla:L2BAMS2_00515
ko:K00859	ctla:L2BAMS2_00516
ko:K03301	ctla:L2BAMS2_00519
ko:K00995	ctla:L2BAMS2_00520
ko:K03495	ctla:L2BAMS2_00523
ko:K03800	ctla:L2BAMS2_00524
ko:K00940	ctla:L2BAMS2_00525
ko:K03550	ctla:L2BAMS2_00526
ko:K01159	ctla:L2BAMS2_00527
ko:K03798	ctla:L2BAMS2_00895
ko:K00962	ctla:L2BAMS2_00896
ko:K02956	ctla:L2BAMS2_00897
ko:K01265	ctla:L2BAMS2_00906
ko:K03321	ctla:L2BAMS2_00913
ko:K03527	ctla:L2BAMS2_00916
ko:K00554	ctla:L2BAMS2_00029
ko:K02834	ctla:L2BAMS2_00096
ko:K02519	ctla:L2BAMS2_00097
ko:K02600	ctla:L2BAMS2_00098
ko:K02945	ctla:L2BAMS2_00099
ko:K00384	ctla:L2BAMS2_00100
ko:K00997	ctla:L2BAMS2_00101
ko:K00208	ctla:L2BAMS2_00105
ko:K03575	ctla:L2BAMS2_00108
ko:K04077	ctla:L2BAMS2_00111
ko:K04078	ctla:L2BAMS2_00112
ko:K08602	ctla:L2BAMS2_00114
ko:K03695	ctla:L2BAMS2_00115
ko:K01783	ctla:L2BAMS2_00123
ko:K02356	ctla:L2BAMS2_00124
ko:K02160	ctla:L2BAMS2_00125
ko:K01961	ctla:L2BAMS2_00126
ko:K02871	ctla:L2BAMS2_00127
ko:K02996	ctla:L2BAMS2_00128
ko:K02029	ctla:L2BAMS2_00131
ko:K07058	ctla:L2BAMS2_00134
ko:K06999	ctla:L2BAMS2_00138
ko:K07566	ctla:L2BAMS2_00139
ko:K09125	ctla:L2BAMS2_00142
ko:K07039	ctla:L2BAMS2_00143
ko:K00134	ctla:L2BAMS2_00531
ko:K02879	ctla:L2BAMS2_00532
ko:K03040	ctla:L2BAMS2_00533
ko:K02948	ctla:L2BAMS2_00534
ko:K02952	ctla:L2BAMS2_00535
ko:K03076	ctla:L2BAMS2_00536
ko:K02876	ctla:L2BAMS2_00537
ko:K02988	ctla:L2BAMS2_00538
ko:K02881	ctla:L2BAMS2_00539
ko:K02933	ctla:L2BAMS2_00540
ko:K02994	ctla:L2BAMS2_00541
ko:K02931	ctla:L2BAMS2_00542
ko:K02895	ctla:L2BAMS2_00543
ko:K02874	ctla:L2BAMS2_00544
ko:K02961	ctla:L2BAMS2_00545
ko:K02904	ctla:L2BAMS2_00546
ko:K02878	ctla:L2BAMS2_00547
ko:K02982	ctla:L2BAMS2_00548
ko:K02890	ctla:L2BAMS2_00549
ko:K02965	ctla:L2BAMS2_00550
ko:K02886	ctla:L2BAMS2_00551
ko:K02892	ctla:L2BAMS2_00552
ko:K02926	ctla:L2BAMS2_00553
ko:K02906	ctla:L2BAMS2_00554
ko:K00604	ctla:L2BAMS2_00556
ko:K00677	ctla:L2BAMS2_00557
ko:K02372	ctla:L2BAMS2_00558
ko:K02535	ctla:L2BAMS2_00559
ko:K03820	ctla:L2BAMS2_00560
ko:K06925	ctla:L2BAMS2_00563
ko:K03671	ctla:L2BAMS2_00566
ko:K03216	ctla:L2BAMS2_00567
ko:K01876	ctla:L2BAMS2_00569
ko:K01892	ctla:L2BAMS2_00570
ko:K07783	ctla:L2BAMS2_00571
ko:K02337	ctla:L2BAMS2_00572
ko:K02884	ctla:L2BAMS2_00030
ko:K01972	ctla:L2BAMS2_00150
ko:K02913	ctla:L2BAMS2_00154
ko:K09808	ctla:L2BAMS2_00155
ko:K09810	ctla:L2BAMS2_00156
ko:K03720	ctla:L2BAMS2_00169
ko:K01696	ctla:L2BAMS2_00170
ko:K01695	ctla:L2BAMS2_00171
ko:K03611	ctla:L2BAMS2_00175
ko:K00979	ctla:L2BAMS2_00183
ko:K01937	ctla:L2BAMS2_00184
ko:K07447	ctla:L2BAMS2_00185
ko:K00036	ctla:L2BAMS2_00186
ko:K01057	ctla:L2BAMS2_00187
ko:K02343	ctla:L2BAMS2_00188
ko:K00943	ctla:L2BAMS2_00189
ko:K02469	ctla:L2BAMS2_00190
ko:K02470	ctla:L2BAMS2_00191
ko:K00773	ctla:L2BAMS2_00194
ko:K06213	ctla:L2BAMS2_00195
ko:K15580	ctla:L2BAMS2_00199
ko:K15581	ctla:L2BAMS2_00200
ko:K03311	ctla:L2BAMS2_00581
ko:K00382	ctla:L2BAMS2_00584
ko:K03644	ctla:L2BAMS2_00585
ko:K03222	ctla:L2BAMS2_00586
ko:K03223	ctla:L2BAMS2_00588
ko:K03226	ctla:L2BAMS2_00589
ko:K03228	ctla:L2BAMS2_00591
ko:K02455	ctla:L2BAMS2_00597
ko:K02453	ctla:L2BAMS2_00599
ko:K03572	ctla:L2BAMS2_00602
ko:K01868	ctla:L2BAMS2_00608
ko:K01867	ctla:L2BAMS2_00612
ko:K03702	ctla:L2BAMS2_00613
ko:K01689	ctla:L2BAMS2_00614
ko:K00240	ctla:L2BAMS2_00618
ko:K00239	ctla:L2BAMS2_00619
ko:K03424	ctla:L2BAMS2_00622
ko:K03562	ctla:L2BAMS2_00624
ko:K03641	ctla:L2BAMS2_00627
ko:K03640	ctla:L2BAMS2_00628
ko:K02909	ctla:L2BAMS2_00024
ko:K03470	ctla:L2BAMS2_00031
ko:K07056	ctla:L2BAMS2_00050
ko:K03319	ctla:L2BAMS2_00205
ko:K00850	ctla:L2BAMS2_00206
ko:K00895	ctla:L2BAMS2_00208
ko:K02527	ctla:L2BAMS2_00211
ko:K01869	ctla:L2BAMS2_00212
ko:K01845	ctla:L2BAMS2_00213
ko:K07735	ctla:L2BAMS2_00214
ko:K08999	ctla:L2BAMS2_00215
ko:K01807	ctla:L2BAMS2_00216
ko:K03787	ctla:L2BAMS2_00221
ko:K03179	ctla:L2BAMS2_00222
ko:K03186	ctla:L2BAMS2_00223
ko:K03308	ctla:L2BAMS2_00236
ko:K02078	ctla:L2BAMS2_00241
ko:K00645	ctla:L2BAMS2_00243
ko:K00648	ctla:L2BAMS2_00244
ko:K06187	ctla:L2BAMS2_00245
ko:K07277	ctla:L2BAMS2_00246
ko:K06142	ctla:L2BAMS2_00247
ko:K02536	ctla:L2BAMS2_00248
ko:K00161	ctla:L2BAMS2_00250
ko:K00162	ctla:L2BAMS2_00251
ko:K00627	ctla:L2BAMS2_00252
ko:K00688	ctla:L2BAMS2_00253
ko:K03648	ctla:L2BAMS2_00637
ko:K03657	ctla:L2BAMS2_00638
ko:K03092	ctla:L2BAMS2_00639
ko:K06137	ctla:L2BAMS2_00640
ko:K13941	ctla:L2BAMS2_00643
ko:K01633	ctla:L2BAMS2_00644
ko:K03086	ctla:L2BAMS2_00645
ko:K02968	ctla:L2BAMS2_00647
ko:K03980	ctla:L2BAMS2_00654
ko:K01151	ctla:L2BAMS2_00655
ko:K02986	ctla:L2BAMS2_00656
ko:K07146	ctla:L2BAMS2_00657
ko:K13789	ctla:L2BAMS2_00658
ko:K01698	ctla:L2BAMS2_00664
ko:K00346	ctla:L2BAMS2_00665
ko:K03582	ctla:L2BAMS2_00671
ko:K03583	ctla:L2BAMS2_00672
ko:K03168	ctla:L2BAMS2_00675
ko:K02221	ctla:L2BAMS2_00677
ko:K03581	ctla:L2BAMS2_00684
ko:K02835	ctla:L2BAMS2_00025
ko:K00942	ctla:L2BAMS2_00032
ko:K02313	ctla:L2BAMS2_00255
ko:K03217	ctla:L2BAMS2_00256
ko:K04487	ctla:L2BAMS2_00263
ko:K07083	ctla:L2BAMS2_00267
ko:K01962	ctla:L2BAMS2_00270
ko:K01448	ctla:L2BAMS2_00273
ko:K01928	ctla:L2BAMS2_00274
ko:K03587	ctla:L2BAMS2_00275
ko:K03438	ctla:L2BAMS2_00277
ko:K02313	ctla:L2BAMS2_00280
ko:K00347	ctla:L2BAMS2_00283
ko:K00348	ctla:L2BAMS2_00284
ko:K00349	ctla:L2BAMS2_00285
ko:K00350	ctla:L2BAMS2_00286
ko:K02437	ctla:L2BAMS2_00287
ko:K03800	ctla:L2BAMS2_00290
ko:K03696	ctla:L2BAMS2_00291
ko:K00566	ctla:L2BAMS2_00292
ko:K01963	ctla:L2BAMS2_00298
ko:K04564	ctla:L2BAMS2_00299
ko:K03685	ctla:L2BAMS2_00302
ko:K04485	ctla:L2BAMS2_00303
ko:K01749	ctla:L2BAMS2_00304
ko:K06861	ctla:L2BAMS2_00686
ko:K01627	ctla:L2BAMS2_00688
ko:K06180	ctla:L2BAMS2_00692
ko:K06960	ctla:L2BAMS2_00693
ko:K02469	ctla:L2BAMS2_00694
ko:K02470	ctla:L2BAMS2_00695
ko:K02492	ctla:L2BAMS2_00696
ko:K03224	ctla:L2BAMS2_00703
ko:K02417	ctla:L2BAMS2_00706
ko:K03219	ctla:L2BAMS2_00708
ko:K02838	ctla:L2BAMS2_00714
ko:K09903	ctla:L2BAMS2_00715
ko:K02357	ctla:L2BAMS2_00716
ko:K02967	ctla:L2BAMS2_00717
ko:K03162	ctla:L2BAMS2_00720
ko:K09013	ctla:L2BAMS2_00724
ko:K09015	ctla:L2BAMS2_00725
ko:K11717	ctla:L2BAMS2_00726
ko:K07220	ctla:L2BAMS2_00730
ko:K03306	ctla:L2BAMS2_00731
ko:K00927	ctla:L2BAMS2_00732
ko:K10773	ctla:L2BAMS2_00736
ko:K03650	ctla:L2BAMS2_00737
ko:K01613	ctla:L2BAMS2_00738
ko:K02028	ctla:L2BAMS2_00132
ko:K15035	ctla:L2BAMS2_00020
ko:K14222	ctla:L2BAMS2_00803
ko:K14220	ctla:L2BAMS2_00039
ko:K01985	ctla:L2BAMS2_00783
ko:K01985	ctla:L2BAMS2_00796
ko:K01980	ctla:L2BAMS2_00782
ko:K01980	ctla:L2BAMS2_00795
ko:K17103	ctla:L2BAMS2_00879
ko:K14228	ctla:L2BAMS2_00485
ko:K14233	ctla:L2BAMS2_00521
ko:K14219	ctla:L2BAMS2_00632
ko:K04084	ctla:L2BAMS2_00623
ko:K14227	ctla:L2BAMS2_00180
ko:K14218	ctla:L2BAMS2_00668
ko:K14230	ctla:L2BAMS2_00209
ko:K14230	ctla:L2BAMS2_00335
ko:K14235	ctla:L2BAMS2_00327
ko:K14233	ctla:L2BAMS2_00368
ko:K14231	ctla:L2BAMS2_00436
ko:K14228	ctla:L2BAMS2_00529
ko:K14221	ctla:L2BAMS2_00225
ko:K14233	ctla:L2BAMS2_00429
ko:K14228	ctla:L2BAMS2_00565
ko:K14219	ctla:L2BAMS2_00489
ko:K14219	ctla:L2BAMS2_00689
ko:K14232	ctla:L2BAMS2_00662
ko:K14229	ctla:L2BAMS2_00712
ko:K14224	ctla:L2BAMS2_00713
ko:K14226	ctla:L2BAMS2_00780
ko:K14223	ctla:L2BAMS2_00847
ko:K14218	ctla:L2BAMS2_00181
ko:K14234	ctla:L2BAMS2_00709
ko:K14225	ctla:L2BAMS2_00718
ko:K14228	ctla:L2BAMS2_00493
ko:K14228	ctla:L2BAMS2_00921
ko:K14232	ctla:L2BAMS2_00062
ko:K14237	ctla:L2BAMS2_00226
ko:K14230	ctla:L2BAMS2_00210
ko:K01977	ctla:L2BAMS2_00781
ko:K01977	ctla:L2BAMS2_00794
ko:K14234	ctla:L2BAMS2_00144
ko:K14234	ctla:L2BAMS2_00329
ko:K14236	ctla:L2BAMS2_00145
ko:K14225	ctla:L2BAMS2_00747
ko:K14237	ctla:L2BAMS2_00882
ko:K01840	ctla:L2BAMS2_00300
ko:K06972	ctla:L2BAMS2_00877
ko:K08274	ctla:L2BAMS2_00390
ko:K07081	ctla:L2BAMS2_00445
ko:K03625	ctla:L2BAMS2_00885
ko:K01679	ctla:L2BAMS2_00910
ko:K07125	ctla:L2BAMS2_00332
ko:K22100	ctla:L2BAMS2_00336
ko:K01802	ctla:L2BAMS2_00568
ko:K08275	ctla:L2BAMS2_00082
ko:K08719	ctla:L2BAMS2_00753
ko:K01829	ctla:L2BAMS2_00828
ko:K01829	ctla:L2BAMS2_00832
ko:K03309	ctla:L2BAMS2_00415
ko:K07033	ctla:L2BAMS2_00723
ko:K03825	ctla:L2BAMS2_00477
ko:K03497	ctla:L2BAMS2_00727
ko:K03496	ctla:L2BAMS2_00609
ko:K03496	ctla:L2BAMS2_p7
ko:K03111	ctla:L2BAMS2_00046
ko:K02626	ctla:L2BAMS2_00386
ko:K11991	ctla:L2BAMS2_00898
ko:K04771	ctla:L2BAMS2_00876
ko:K19411	ctla:L2BAMS2_00711
ko:K02031	ctla:L2BAMS2_00729
ko:K12132	ctla:L2BAMS2_00306
ko:K20265	ctla:L2BAMS2_00219
ko:K20074	ctla:L2BAMS2_00264
ko:K11749	ctla:L2BAMS2_00075
ko:K22099	ctla:L2BAMS2_00641
ko:K00526	ctla:L2BAMS2_00881
ko:K02314	ctla:L2BAMS2_00522
ko:K00287	ctla:L2BAMS2_00642
ko:K03553	ctla:L2BAMS2_00682
ko:K02316	ctla:L2BAMS2_00841
ko:K02314	ctla:L2BAMS2_p3
ko:K02335	ctla:L2BAMS2_00517
ko:K01520	ctla:L2BAMS2_00297
ko:K02032	ctla:L2BAMS2_00728
ko:K00525	ctla:L2BAMS2_00880
ko:K02050	ctla:L2BAMS2_00909
ko:K02051	ctla:L2BAMS2_00909
ko:K01534	ctla:L2BAMS2_00767
ko:K16239	ctla:L2BAMS2_00086
