ko:K08153	bthi:BTK_04825
ko:K01611	bthi:BTK_24045
ko:K00134	bthi:BTK_24050
ko:K00859	bthi:BTK_24055
ko:K10563	bthi:BTK_24065
ko:K07636	bthi:BTK_24075
ko:K07658	bthi:BTK_24080
ko:K00024	bthi:BTK_24100
ko:K00031	bthi:BTK_24105
ko:K01647	bthi:BTK_24110
ko:K07113	bthi:BTK_24125
ko:K00873	bthi:BTK_24130
ko:K07693	bthi:BTK_28410
ko:K07778	bthi:BTK_28415
ko:K01992	bthi:BTK_28420
ko:K01990	bthi:BTK_28425
ko:K01265	bthi:BTK_28430
ko:K03088	bthi:BTK_28465
ko:K01887	bthi:BTK_28470
ko:K01480	bthi:BTK_28500
ko:K00797	bthi:BTK_28505
ko:K01126	bthi:BTK_28520
ko:K01821	bthi:BTK_28540
ko:K06885	bthi:BTK_28545
ko:K02016	bthi:BTK_28550
ko:K02013	bthi:BTK_28555
ko:K02015	bthi:BTK_28560
ko:K02015	bthi:BTK_28565
ko:K06314	bthi:BTK_28575
ko:K16869	bthi:BTK_28580
ko:K00625	bthi:BTK_28585
ko:K01449	bthi:BTK_28600
ko:K06305	bthi:BTK_28605
ko:K10716	bthi:BTK_28620
ko:K03648	bthi:BTK_28640
ko:K02283	bthi:BTK_33611
ko:K07038	bthi:BTK_33771
ko:K01980	bthi:BTK_r29436
ko:K01980	bthi:BTK_r29438
ko:K01980	bthi:BTK_r29418
ko:K01980	bthi:BTK_r29432
ko:K01980	bthi:BTK_r29428
ko:K01980	bthi:BTK_r29442
ko:K01980	bthi:BTK_r29424
ko:K01980	bthi:BTK_r29444
ko:K01980	bthi:BTK_r29420
ko:K01980	bthi:BTK_r29422
ko:K01980	bthi:BTK_r29440
ko:K01980	bthi:BTK_r29434
ko:K01980	bthi:BTK_r29430
ko:K01980	bthi:BTK_r29426
ko:K07071	bthi:BTK_02970
ko:K03565	bthi:BTK_02975
ko:K06428	bthi:BTK_02990
ko:K07038	bthi:BTK_03000
ko:K03575	bthi:BTK_03005
ko:K06422	bthi:BTK_03015
ko:K07586	bthi:BTK_03025
ko:K11085	bthi:BTK_03030
ko:K00265	bthi:BTK_03040
ko:K01845	bthi:BTK_03045
ko:K01990	bthi:BTK_03050
ko:K01992	bthi:BTK_03055
ko:K01992	bthi:BTK_03060
ko:K08713	bthi:BTK_03065
ko:K03564	bthi:BTK_03070
ko:K09825	bthi:BTK_03075
ko:K03574	bthi:BTK_03100
ko:K03216	bthi:BTK_03125
ko:K07180	bthi:BTK_03140
ko:K09786	bthi:BTK_03145
ko:K01387	bthi:BTK_03160
ko:K07192	bthi:BTK_03170
ko:K03406	bthi:BTK_03175
ko:K03300	bthi:BTK_03190
ko:K01990	bthi:BTK_07650
ko:K01992	bthi:BTK_07655
ko:K13280	bthi:BTK_07685
ko:K09607	bthi:BTK_07715
ko:K00128	bthi:BTK_07720
ko:K11072	bthi:BTK_07725
ko:K11071	bthi:BTK_07730
ko:K11070	bthi:BTK_07735
ko:K11069	bthi:BTK_07740
ko:K06180	bthi:BTK_07760
ko:K11473	bthi:BTK_07775
ko:K00104	bthi:BTK_07780
ko:K02647	bthi:BTK_07785
ko:K00782	bthi:BTK_07820
ko:K02236	bthi:BTK_07825
ko:K02598	bthi:BTK_07835
ko:K06421	bthi:BTK_07850
ko:K00023	bthi:BTK_07875
ko:K03821	bthi:BTK_07880
ko:K02012	bthi:BTK_07905
ko:K02010	bthi:BTK_07910
ko:K02011	bthi:BTK_07915
ko:K07152	bthi:BTK_12340
ko:K01953	bthi:BTK_12350
ko:K02016	bthi:BTK_12375
ko:K00824	bthi:BTK_12380
ko:K13993	bthi:BTK_12405
ko:K02480	bthi:BTK_12415
ko:K13953	bthi:BTK_12435
ko:K00851	bthi:BTK_12450
ko:K03299	bthi:BTK_12455
ko:K00033	bthi:BTK_12460
ko:K03206	bthi:BTK_12480
ko:K05847	bthi:BTK_12495
ko:K05845	bthi:BTK_12500
ko:K05846	bthi:BTK_12500
ko:K03758	bthi:BTK_12505
ko:K11686	bthi:BTK_12530
ko:K01034	bthi:BTK_12570
ko:K01438	bthi:BTK_12580
ko:K06714	bthi:BTK_12590
ko:K01843	bthi:BTK_12595
ko:K06377	bthi:BTK_12635
ko:K01895	bthi:BTK_17105
ko:K01640	bthi:BTK_17120
ko:K02160	bthi:BTK_17125
ko:K01961	bthi:BTK_17130
ko:K01992	bthi:BTK_17155
ko:K17836	bthi:BTK_17180
ko:K03088	bthi:BTK_17200
ko:K06213	bthi:BTK_17215
ko:K03588	bthi:BTK_17220
ko:K01442	bthi:BTK_17245
ko:K01580	bthi:BTK_17250
ko:K03716	bthi:BTK_17260
ko:K06315	bthi:BTK_17265
ko:K03837	bthi:BTK_17285
ko:K01752	bthi:BTK_17290
ko:K01752	bthi:BTK_17295
ko:K07001	bthi:BTK_17305
ko:K01953	bthi:BTK_17320
ko:K01975	bthi:BTK_24710
ko:K01439	bthi:BTK_24715
ko:K06183	bthi:BTK_24725
ko:K07007	bthi:BTK_24735
ko:K00034	bthi:BTK_24775
ko:K05340	bthi:BTK_24780
ko:K03636	bthi:BTK_24790
ko:K03635	bthi:BTK_24795
ko:K03753	bthi:BTK_24800
ko:K03750	bthi:BTK_24805
ko:K03637	bthi:BTK_24810
ko:K03639	bthi:BTK_24820
ko:K00641	bthi:BTK_24860
ko:K01869	bthi:BTK_24905
ko:K03455	bthi:BTK_24915
ko:K07228	bthi:BTK_24920
ko:K02004	bthi:BTK_24930
ko:K02003	bthi:BTK_24935
ko:K07139	bthi:BTK_24955
ko:K01779	bthi:BTK_24965
ko:K16188	bthi:BTK_24980
ko:K00975	bthi:BTK_25570
ko:K00700	bthi:BTK_25575
ko:K00016	bthi:BTK_25585
ko:K07507	bthi:BTK_25595
ko:K10716	bthi:BTK_25600
ko:K01810	bthi:BTK_25610
ko:K09779	bthi:BTK_25615
ko:K07570	bthi:BTK_25620
ko:K10907	bthi:BTK_25625
ko:K14155	bthi:BTK_25655
ko:K06347	bthi:BTK_25670
ko:K06348	bthi:BTK_25675
ko:K01880	bthi:BTK_25695
ko:K03523	bthi:BTK_25720
ko:K00963	bthi:BTK_25725
ko:K01835	bthi:BTK_25730
ko:K01255	bthi:BTK_25740
ko:K03530	bthi:BTK_30344
ko:K07729	bthi:BTK_30429
ko:K01953	bthi:BTK_30469
ko:K02004	bthi:BTK_30484
ko:K02003	bthi:BTK_30489
ko:K03644	bthi:BTK_26390
ko:K09014	bthi:BTK_26415
ko:K04488	bthi:BTK_26420
ko:K11717	bthi:BTK_26425
ko:K09013	bthi:BTK_26440
ko:K02073	bthi:BTK_26445
ko:K02073	bthi:BTK_26450
ko:K02072	bthi:BTK_26455
ko:K02071	bthi:BTK_26460
ko:K07476	bthi:BTK_26475
ko:K02437	bthi:BTK_26480
ko:K00537	bthi:BTK_26485
ko:K07035	bthi:BTK_26500
ko:K00016	bthi:BTK_26505
ko:K07516	bthi:BTK_26545
ko:K00318	bthi:BTK_26560
ko:K03406	bthi:BTK_26575
ko:K03294	bthi:BTK_26595
ko:K03217	bthi:BTK_26605
ko:K07729	bthi:BTK_26645
ko:K09936	bthi:BTK_31289
ko:K15580	bthi:BTK_31331
ko:K06284	bthi:BTK_31336
ko:K03530	bthi:BTK_31351
ko:K04763	bthi:BTK_31381
ko:K02443	bthi:BTK_03215
ko:K05816	bthi:BTK_03220
ko:K05814	bthi:BTK_03225
ko:K03424	bthi:BTK_01045
ko:K02035	bthi:BTK_01085
ko:K02033	bthi:BTK_01090
ko:K02035	bthi:BTK_01095
ko:K02033	bthi:BTK_01100
ko:K02033	bthi:BTK_01125
ko:K02034	bthi:BTK_01130
ko:K00457	bthi:BTK_01190
ko:K00451	bthi:BTK_01200
ko:K03294	bthi:BTK_01205
ko:K01921	bthi:BTK_01215
ko:K01929	bthi:BTK_01220
ko:K05592	bthi:BTK_01225
ko:K00997	bthi:BTK_01245
ko:K01775	bthi:BTK_01255
ko:K07723	bthi:BTK_01260
ko:K06959	bthi:BTK_01270
ko:K03095	bthi:BTK_01280
ko:K03719	bthi:BTK_05530
ko:K09458	bthi:BTK_05545
ko:K17103	bthi:BTK_05600
ko:K04749	bthi:BTK_05790
ko:K04757	bthi:BTK_05795
ko:K00826	bthi:BTK_10245
ko:K01652	bthi:BTK_10250
ko:K01653	bthi:BTK_10255
ko:K00053	bthi:BTK_10260
ko:K01687	bthi:BTK_10265
ko:K01754	bthi:BTK_10270
ko:K07282	bthi:BTK_10280
ko:K07150	bthi:BTK_10285
ko:K18118	bthi:BTK_10315
ko:K12960	bthi:BTK_10330
ko:K15580	bthi:BTK_10335
ko:K03322	bthi:BTK_10345
ko:K07146	bthi:BTK_10350
ko:K00077	bthi:BTK_10360
ko:K11033	bthi:BTK_10375
ko:K11034	bthi:BTK_10380
ko:K11034	bthi:BTK_10385
ko:K07052	bthi:BTK_10400
ko:K05346	bthi:BTK_10410
ko:K01619	bthi:BTK_10415
ko:K11535	bthi:BTK_10420
ko:K00756	bthi:BTK_10425
ko:K01489	bthi:BTK_10430
ko:K01262	bthi:BTK_10450
ko:K01118	bthi:BTK_10485
ko:K03311	bthi:BTK_10490
ko:K05606	bthi:BTK_10495
ko:K14166	bthi:BTK_10500
ko:K06994	bthi:BTK_15030
ko:K06994	bthi:BTK_15045
ko:K15555	bthi:BTK_15145
ko:K15553	bthi:BTK_15150
ko:K15554	bthi:BTK_15155
ko:K04091	bthi:BTK_15160
ko:K01990	bthi:BTK_15235
ko:K01992	bthi:BTK_15240
ko:K09680	bthi:BTK_15255
ko:K02372	bthi:BTK_15260
ko:K01356	bthi:BTK_19595
ko:K10947	bthi:BTK_19610
ko:K01915	bthi:BTK_19615
ko:K03713	bthi:BTK_19620
ko:K03665	bthi:BTK_19630
ko:K06413	bthi:BTK_19645
ko:K03666	bthi:BTK_19665
ko:K00791	bthi:BTK_19670
ko:K02768	bthi:BTK_19685
ko:K02769	bthi:BTK_19685
ko:K02770	bthi:BTK_19685
ko:K00882	bthi:BTK_19690
ko:K03436	bthi:BTK_19695
ko:K08976	bthi:BTK_19705
ko:K11735	bthi:BTK_19720
ko:K01183	bthi:BTK_19725
ko:K07098	bthi:BTK_19730
ko:K03530	bthi:BTK_19740
ko:K03830	bthi:BTK_19745
ko:K17686	bthi:BTK_19750
ko:K07213	bthi:BTK_19755
ko:K07017	bthi:BTK_19770
ko:K02013	bthi:BTK_19775
ko:K02015	bthi:BTK_19780
ko:K02015	bthi:BTK_19785
ko:K02016	bthi:BTK_19790
ko:K13530	bthi:BTK_19795
ko:K13531	bthi:BTK_19800
ko:K01247	bthi:BTK_19805
ko:K01258	bthi:BTK_19810
ko:K01834	bthi:BTK_19820
ko:K02563	bthi:BTK_19835
ko:K01048	bthi:BTK_24985
ko:K00645	bthi:BTK_29494
ko:K00074	bthi:BTK_29499
ko:K04091	bthi:BTK_29524
ko:K15657	bthi:BTK_29544
ko:K06133	bthi:BTK_29554
ko:K00611	bthi:BTK_29559
ko:K13409	bthi:BTK_29594
ko:K09765	bthi:BTK_29679
ko:K01990	bthi:BTK_29699
ko:K07979	bthi:BTK_29704
ko:K00034	bthi:BTK_29744
ko:K05340	bthi:BTK_29749
ko:K03611	bthi:BTK_29774
ko:K04095	bthi:BTK_34426
ko:K04763	bthi:BTK_34476
ko:K03666	bthi:BTK_34496
ko:K07692	bthi:BTK_34561
ko:K05815	bthi:BTK_03230
ko:K05813	bthi:BTK_03235
ko:K03406	bthi:BTK_03270
ko:K11614	bthi:BTK_03275
ko:K11616	bthi:BTK_03285
ko:K00027	bthi:BTK_03290
ko:K00375	bthi:BTK_03305
ko:K02379	bthi:BTK_03345
ko:K00123	bthi:BTK_03350
ko:K01126	bthi:BTK_03360
ko:K00259	bthi:BTK_03365
ko:K03294	bthi:BTK_03370
ko:K01534	bthi:BTK_03385
ko:K00763	bthi:BTK_03390
ko:K11535	bthi:BTK_03435
ko:K08234	bthi:BTK_03460
ko:K01744	bthi:BTK_03470
ko:K03303	bthi:BTK_03475
ko:K01744	bthi:BTK_03490
ko:K08234	bthi:BTK_03495
ko:K05306	bthi:BTK_07920
ko:K03430	bthi:BTK_07925
ko:K09798	bthi:BTK_07960
ko:K13532	bthi:BTK_07970
ko:K15973	bthi:BTK_07975
ko:K07697	bthi:BTK_08000
ko:K06920	bthi:BTK_08005
ko:K01737	bthi:BTK_08010
ko:K10026	bthi:BTK_08015
ko:K09457	bthi:BTK_08020
ko:K03647	bthi:BTK_08055
ko:K01990	bthi:BTK_08080
ko:K07052	bthi:BTK_08100
ko:K03719	bthi:BTK_08110
ko:K01297	bthi:BTK_08130
ko:K00459	bthi:BTK_08135
ko:K03740	bthi:BTK_08140
ko:K14188	bthi:BTK_08145
ko:K03739	bthi:BTK_08150
ko:K03367	bthi:BTK_08155
ko:K03839	bthi:BTK_08180
ko:K07533	bthi:BTK_12685
ko:K06304	bthi:BTK_12715
ko:K05366	bthi:BTK_12750
ko:K01647	bthi:BTK_12770
ko:K01720	bthi:BTK_12775
ko:K00140	bthi:BTK_12795
ko:K03547	bthi:BTK_12820
ko:K08177	bthi:BTK_12845
ko:K00216	bthi:BTK_12850
ko:K02361	bthi:BTK_12855
ko:K02363	bthi:BTK_12860
ko:K01252	bthi:BTK_12865
ko:K06133	bthi:BTK_12890
ko:K03530	bthi:BTK_12900
ko:K03310	bthi:BTK_12920
ko:K05982	bthi:BTK_17450
ko:K07260	bthi:BTK_17485
ko:K07282	bthi:BTK_17490
ko:K02106	bthi:BTK_17535
ko:K00355	bthi:BTK_17540
ko:K16927	bthi:BTK_17565
ko:K16786	bthi:BTK_17570
ko:K16787	bthi:BTK_17570
ko:K16785	bthi:BTK_17575
ko:K02553	bthi:BTK_17590
ko:K03976	bthi:BTK_17610
ko:K01892	bthi:BTK_17615
ko:K00873	bthi:BTK_17635
ko:K06925	bthi:BTK_01285
ko:K03789	bthi:BTK_01295
ko:K01409	bthi:BTK_01300
ko:K06158	bthi:BTK_01305
ko:K01926	bthi:BTK_01310
ko:K07052	bthi:BTK_01320
ko:K04078	bthi:BTK_01325
ko:K04077	bthi:BTK_01330
ko:K01951	bthi:BTK_01410
ko:K06370	bthi:BTK_23330
ko:K06370	bthi:BTK_23335
ko:K03517	bthi:BTK_23340
ko:K00767	bthi:BTK_23345
ko:K00278	bthi:BTK_23350
ko:K04487	bthi:BTK_23355
ko:K07105	bthi:BTK_23360
ko:K04518	bthi:BTK_23370
ko:K02004	bthi:BTK_23375
ko:K02004	bthi:BTK_23380
ko:K02003	bthi:BTK_23385
ko:K03979	bthi:BTK_23400
ko:K06375	bthi:BTK_23405
ko:K02899	bthi:BTK_23410
ko:K07584	bthi:BTK_23415
ko:K02888	bthi:BTK_23420
ko:K08301	bthi:BTK_23425
ko:K06402	bthi:BTK_23430
ko:K06401	bthi:BTK_23435
ko:K03609	bthi:BTK_23440
ko:K03610	bthi:BTK_23445
ko:K03571	bthi:BTK_23450
ko:K03570	bthi:BTK_23455
ko:K03569	bthi:BTK_23460
ko:K03630	bthi:BTK_23465
ko:K06287	bthi:BTK_23470
ko:K06380	bthi:BTK_23475
ko:K11754	bthi:BTK_23480
ko:K01873	bthi:BTK_23485
ko:K06417	bthi:BTK_23495
ko:K01845	bthi:BTK_23500
ko:K01698	bthi:BTK_23505
ko:K01719	bthi:BTK_23510
ko:K01749	bthi:BTK_23515
ko:K02497	bthi:BTK_23520
ko:K02492	bthi:BTK_23525
ko:K03978	bthi:BTK_23540
ko:K01338	bthi:BTK_23545
ko:K04076	bthi:BTK_23550
ko:K03544	bthi:BTK_23555
ko:K03545	bthi:BTK_23560
ko:K07095	bthi:BTK_23585
ko:K02005	bthi:BTK_27825
ko:K02445	bthi:BTK_27830
ko:K02012	bthi:BTK_27835
ko:K00012	bthi:BTK_27875
ko:K16698	bthi:BTK_27880
ko:K00963	bthi:BTK_27915
ko:K01104	bthi:BTK_27920
ko:K02372	bthi:BTK_27940
ko:K03569	bthi:BTK_27945
ko:K06283	bthi:BTK_27950
ko:K06386	bthi:BTK_27960
ko:K01990	bthi:BTK_27975
ko:K06381	bthi:BTK_27980
ko:K00790	bthi:BTK_27985
ko:K00343	bthi:BTK_28000
ko:K00342	bthi:BTK_28005
ko:K00340	bthi:BTK_28020
ko:K00339	bthi:BTK_28025
ko:K00338	bthi:BTK_28030
ko:K00337	bthi:BTK_28035
ko:K00333	bthi:BTK_28040
ko:K00332	bthi:BTK_28045
ko:K00331	bthi:BTK_28050
ko:K00330	bthi:BTK_28055
ko:K02114	bthi:BTK_28080
ko:K02112	bthi:BTK_28085
ko:K02115	bthi:BTK_28090
ko:K02111	bthi:BTK_28095
ko:K02113	bthi:BTK_28100
ko:K02109	bthi:BTK_28105
ko:K06284	bthi:BTK_32916
ko:K06407	bthi:BTK_32961
ko:K02283	bthi:BTK_33076
ko:K03790	bthi:BTK_13100
ko:K03789	bthi:BTK_09130
ko:K03790	bthi:BTK_14415
ko:K03790	bthi:BTK_15535
ko:K03790	bthi:BTK_31134
ko:K01744	bthi:BTK_03505
ko:K03303	bthi:BTK_03510
ko:K06425	bthi:BTK_03530
ko:K03305	bthi:BTK_03535
ko:K02016	bthi:BTK_03540
ko:K02015	bthi:BTK_03545
ko:K02015	bthi:BTK_03550
ko:K02013	bthi:BTK_03555
ko:K00639	bthi:BTK_03565
ko:K03574	bthi:BTK_03575
ko:K04748	bthi:BTK_03585
ko:K06131	bthi:BTK_03590
ko:K03758	bthi:BTK_03605
ko:K03486	bthi:BTK_03610
ko:K02818	bthi:BTK_03615
ko:K02819	bthi:BTK_03615
ko:K01226	bthi:BTK_03620
ko:K06295	bthi:BTK_03635
ko:K03310	bthi:BTK_03645
ko:K10041	bthi:BTK_03655
ko:K10039	bthi:BTK_03660
ko:K10040	bthi:BTK_03665
ko:K10040	bthi:BTK_03670
ko:K02205	bthi:BTK_03675
ko:K03088	bthi:BTK_03690
ko:K02445	bthi:BTK_03745
ko:K02529	bthi:BTK_03760
ko:K00852	bthi:BTK_03765
ko:K06726	bthi:BTK_03770
ko:K10441	bthi:BTK_03775
ko:K10440	bthi:BTK_03780
ko:K10439	bthi:BTK_03785
ko:K00616	bthi:BTK_03790
ko:K09607	bthi:BTK_03795
ko:K03327	bthi:BTK_08215
ko:K06153	bthi:BTK_08220
ko:K03498	bthi:BTK_08245
ko:K00826	bthi:BTK_08275
ko:K01652	bthi:BTK_08280
ko:K01653	bthi:BTK_08285
ko:K00053	bthi:BTK_08290
ko:K01649	bthi:BTK_08295
ko:K00052	bthi:BTK_08300
ko:K01703	bthi:BTK_08305
ko:K01704	bthi:BTK_08310
ko:K02502	bthi:BTK_08315
ko:K00765	bthi:BTK_08320
ko:K00013	bthi:BTK_08325
ko:K01693	bthi:BTK_08330
ko:K02501	bthi:BTK_08335
ko:K01814	bthi:BTK_08340
ko:K02500	bthi:BTK_08345
ko:K01496	bthi:BTK_08350
ko:K01523	bthi:BTK_08355
ko:K04486	bthi:BTK_08360
ko:K17103	bthi:BTK_08375
ko:K01586	bthi:BTK_08390
ko:K00390	bthi:BTK_08400
ko:K00958	bthi:BTK_08405
ko:K00860	bthi:BTK_08410
ko:K00366	bthi:BTK_08415
ko:K02303	bthi:BTK_08425
ko:K02304	bthi:BTK_08435
ko:K03308	bthi:BTK_08440
ko:K11102	bthi:BTK_08455
ko:K11619	bthi:BTK_08470
ko:K06182	bthi:BTK_12940
ko:K01868	bthi:BTK_12945
ko:K02003	bthi:BTK_12950
ko:K02004	bthi:BTK_12955
ko:K00158	bthi:BTK_12960
ko:K07238	bthi:BTK_12965
ko:K09936	bthi:BTK_12995
ko:K03090	bthi:BTK_05800
ko:K03594	bthi:BTK_05805
ko:K00575	bthi:BTK_05815
ko:K03407	bthi:BTK_05820
