ko:K19079	saun:SAKOR_00656
ko:K03183	saun:SAKOR_01413
ko:K03530	saun:SAKOR_01416
ko:K00057	saun:SAKOR_01417
ko:K03977	saun:SAKOR_01418
ko:K02945	saun:SAKOR_01419
ko:K00945	saun:SAKOR_01422
ko:K03654	saun:SAKOR_01426
ko:K12410	saun:SAKOR_02165
ko:K01575	saun:SAKOR_02174
ko:K01652	saun:SAKOR_02175
ko:K02996	saun:SAKOR_02179
ko:K02871	saun:SAKOR_02180
ko:K06173	saun:SAKOR_02181
ko:K16785	saun:SAKOR_02182
ko:K02879	saun:SAKOR_02185
ko:K03040	saun:SAKOR_02186
ko:K02948	saun:SAKOR_02187
ko:K02952	saun:SAKOR_02188
ko:K02919	saun:SAKOR_02189
ko:K02518	saun:SAKOR_02190
ko:K03076	saun:SAKOR_02192
ko:K02876	saun:SAKOR_02193
ko:K02907	saun:SAKOR_02194
ko:K02988	saun:SAKOR_02195
ko:K02881	saun:SAKOR_02196
ko:K02933	saun:SAKOR_02197
ko:K02994	saun:SAKOR_02198
ko:K02954	saun:SAKOR_02199
ko:K02931	saun:SAKOR_02200
ko:K02895	saun:SAKOR_02201
ko:K02874	saun:SAKOR_02202
ko:K02961	saun:SAKOR_02203
ko:K02904	saun:SAKOR_02204
ko:K02878	saun:SAKOR_02205
ko:K02982	saun:SAKOR_02206
ko:K02890	saun:SAKOR_02207
ko:K02965	saun:SAKOR_02208
ko:K02886	saun:SAKOR_02209
ko:K02892	saun:SAKOR_02210
ko:K02926	saun:SAKOR_02211
ko:K02906	saun:SAKOR_02212
ko:K02946	saun:SAKOR_02213
ko:K10009	saun:SAKOR_02391
ko:K02424	saun:SAKOR_02392
ko:K14197	saun:SAKOR_02397
ko:K01012	saun:SAKOR_02406
ko:K00833	saun:SAKOR_02407
ko:K01935	saun:SAKOR_02408
ko:K00865	saun:SAKOR_02416
ko:K00231	saun:SAKOR_01784
ko:K01772	saun:SAKOR_01785
ko:K01599	saun:SAKOR_01786
ko:K02503	saun:SAKOR_01791
ko:K06180	saun:SAKOR_01806
ko:K03216	saun:SAKOR_01812
ko:K09765	saun:SAKOR_02585
ko:K06978	saun:SAKOR_02588
ko:K01579	saun:SAKOR_02590
ko:K01918	saun:SAKOR_02591
ko:K00606	saun:SAKOR_02592
ko:K00077	saun:SAKOR_02593
ko:K01575	saun:SAKOR_02594
ko:K00823	saun:SAKOR_02597
ko:K01623	saun:SAKOR_02599
ko:K00116	saun:SAKOR_02600
ko:K01895	saun:SAKOR_02602
ko:K03300	saun:SAKOR_02613
ko:K02304	saun:SAKOR_02615
ko:K00432	saun:SAKOR_02617
ko:K01951	saun:SAKOR_00389
ko:K08987	saun:SAKOR_00402
ko:K11042	saun:SAKOR_00404
ko:K01154	saun:SAKOR_00416
ko:K05577	saun:SAKOR_00435
ko:K14540	saun:SAKOR_01170
ko:K03470	saun:SAKOR_01171
ko:K01903	saun:SAKOR_01172
ko:K01902	saun:SAKOR_01173
ko:K04096	saun:SAKOR_01176
ko:K03168	saun:SAKOR_01178
ko:K04094	saun:SAKOR_01179
ko:K03733	saun:SAKOR_01180
ko:K01419	saun:SAKOR_01181
ko:K03667	saun:SAKOR_01182
ko:K03706	saun:SAKOR_01183
ko:K02967	saun:SAKOR_01184
ko:K02357	saun:SAKOR_01185
ko:K09903	saun:SAKOR_01186
ko:K02838	saun:SAKOR_01187
ko:K00806	saun:SAKOR_01188
ko:K00981	saun:SAKOR_01189
ko:K11749	saun:SAKOR_01190
ko:K01881	saun:SAKOR_01191
ko:K03763	saun:SAKOR_01192
ko:K09748	saun:SAKOR_01193
ko:K02600	saun:SAKOR_01194
ko:K07742	saun:SAKOR_01195
ko:K02519	saun:SAKOR_01197
ko:K02834	saun:SAKOR_01198
ko:K11753	saun:SAKOR_01200
ko:K02956	saun:SAKOR_01201
ko:K00962	saun:SAKOR_01202
ko:K03466	saun:SAKOR_01204
ko:K00995	saun:SAKOR_01211
ko:K09769	saun:SAKOR_01216
ko:K00174	saun:SAKOR_01217
ko:K00175	saun:SAKOR_01218
ko:K06168	saun:SAKOR_01220
ko:K01114	saun:SAKOR_01985
ko:K02016	saun:SAKOR_01991
ko:K04077	saun:SAKOR_01993
ko:K04078	saun:SAKOR_01994
ko:K07078	saun:SAKOR_01997
ko:K07813	saun:SAKOR_02000
ko:K07800	saun:SAKOR_02001
ko:K07707	saun:SAKOR_02003
ko:K00847	saun:SAKOR_02004
ko:K01193	saun:SAKOR_02005
ko:K03484	saun:SAKOR_02006
ko:K03320	saun:SAKOR_02007
ko:K07112	saun:SAKOR_02009
ko:K01926	saun:SAKOR_02010
ko:K06158	saun:SAKOR_02011
ko:K03789	saun:SAKOR_02014
ko:K06925	saun:SAKOR_02016
ko:K01687	saun:SAKOR_02017
ko:K01652	saun:SAKOR_02018
ko:K01653	saun:SAKOR_02019
ko:K00053	saun:SAKOR_02020
ko:K01649	saun:SAKOR_02021
ko:K00052	saun:SAKOR_02022
ko:K01703	saun:SAKOR_02023
ko:K01745	saun:SAKOR_00008
ko:K01875	saun:SAKOR_00009
ko:K00641	saun:SAKOR_00012
ko:K02939	saun:SAKOR_00015
ko:K01939	saun:SAKOR_00017
ko:K00783	saun:SAKOR_00024
ko:K05571	saun:SAKOR_00858
ko:K05569	saun:SAKOR_00860
ko:K05567	saun:SAKOR_00862
ko:K05566	saun:SAKOR_00863
ko:K06347	saun:SAKOR_00865
ko:K00260	saun:SAKOR_00870
ko:K01126	saun:SAKOR_00872
ko:K01755	saun:SAKOR_00873
ko:K01940	saun:SAKOR_00874
ko:K01810	saun:SAKOR_00875
ko:K03100	saun:SAKOR_00877
ko:K03100	saun:SAKOR_00878
ko:K16898	saun:SAKOR_00880
ko:K03695	saun:SAKOR_00890
ko:K00648	saun:SAKOR_00900
ko:K09458	saun:SAKOR_00901
ko:K15581	saun:SAKOR_00903
ko:K15580	saun:SAKOR_00907
ko:K00031	saun:SAKOR_01635
ko:K01647	saun:SAKOR_01636
ko:K11737	saun:SAKOR_01637
ko:K00873	saun:SAKOR_01638
ko:K00850	saun:SAKOR_01639
ko:K01962	saun:SAKOR_01640
ko:K01963	saun:SAKOR_01641
ko:K02337	saun:SAKOR_01643
ko:K00259	saun:SAKOR_01650
ko:K00925	saun:SAKOR_01652
ko:K11065	saun:SAKOR_01654
ko:K07090	saun:SAKOR_01655
ko:K03151	saun:SAKOR_01656
ko:K04487	saun:SAKOR_01657
ko:K02986	saun:SAKOR_01661
ko:K01126	saun:SAKOR_01662
ko:K02803	saun:SAKOR_01667
ko:K02804	saun:SAKOR_01667
ko:K00655	saun:SAKOR_01668
ko:K01866	saun:SAKOR_01670
ko:K12551	saun:SAKOR_01671
ko:K01938	saun:SAKOR_01673
ko:K01895	saun:SAKOR_01674
ko:K04766	saun:SAKOR_01675
ko:K04768	saun:SAKOR_01676
ko:K02529	saun:SAKOR_01677
ko:K13853	saun:SAKOR_01678
ko:K01924	saun:SAKOR_01681
ko:K11737	saun:SAKOR_02422
ko:K00077	saun:SAKOR_02427
ko:K08170	saun:SAKOR_02428
ko:K05846	saun:SAKOR_02429
ko:K05845	saun:SAKOR_02430
ko:K05846	saun:SAKOR_02431
ko:K05847	saun:SAKOR_02432
ko:K02069	saun:SAKOR_02437
ko:K02068	saun:SAKOR_02438
ko:K10824	saun:SAKOR_02447
ko:K15587	saun:SAKOR_02448
ko:K15586	saun:SAKOR_02449
ko:K15585	saun:SAKOR_02450
ko:K15584	saun:SAKOR_02451
ko:K09822	saun:SAKOR_00436
ko:K03928	saun:SAKOR_00440
ko:K03308	saun:SAKOR_00442
ko:K17217	saun:SAKOR_00444
ko:K02071	saun:SAKOR_00445
ko:K02072	saun:SAKOR_00446
ko:K02073	saun:SAKOR_00447
ko:K00266	saun:SAKOR_00456
ko:K02818	saun:SAKOR_00457
ko:K02819	saun:SAKOR_00457
ko:K02343	saun:SAKOR_00461
ko:K09747	saun:SAKOR_00462
ko:K06187	saun:SAKOR_00463
ko:K00943	saun:SAKOR_00465
ko:K02341	saun:SAKOR_00467
ko:K07461	saun:SAKOR_00471
ko:K07056	saun:SAKOR_00472
ko:K01874	saun:SAKOR_00474
ko:K03424	saun:SAKOR_00475
ko:K05985	saun:SAKOR_00476
ko:K02528	saun:SAKOR_00477
ko:K00919	saun:SAKOR_00479
ko:K06412	saun:SAKOR_00482
ko:K04042	saun:SAKOR_00484
ko:K00948	saun:SAKOR_00485
ko:K02897	saun:SAKOR_00486
ko:K01056	saun:SAKOR_00487
ko:K03555	saun:SAKOR_01223
ko:K03572	saun:SAKOR_01224
ko:K02440	saun:SAKOR_01226
ko:K00864	saun:SAKOR_01227
ko:K00111	saun:SAKOR_01228
ko:K00791	saun:SAKOR_01230
ko:K03666	saun:SAKOR_01231
ko:K00432	saun:SAKOR_01232
ko:K03665	saun:SAKOR_01233
ko:K01915	saun:SAKOR_01236
ko:K01620	saun:SAKOR_01251
ko:K06131	saun:SAKOR_01253
ko:K07778	saun:SAKOR_01256
ko:K00928	saun:SAKOR_01262
ko:K00003	saun:SAKOR_01264
ko:K01733	saun:SAKOR_01265
ko:K00872	saun:SAKOR_01266
ko:K03781	saun:SAKOR_01270
ko:K02913	saun:SAKOR_01271
ko:K02954	saun:SAKOR_01272
ko:K00364	saun:SAKOR_01273
ko:K01356	saun:SAKOR_01275
ko:K00615	saun:SAKOR_01278
ko:K01704	saun:SAKOR_02024
ko:K01754	saun:SAKOR_02025
ko:K06959	saun:SAKOR_02028
ko:K01775	saun:SAKOR_02035
ko:K00997	saun:SAKOR_02036
ko:K02013	saun:SAKOR_00641
ko:K02015	saun:SAKOR_00642
ko:K02015	saun:SAKOR_00643
ko:K05878	saun:SAKOR_00644
ko:K05879	saun:SAKOR_00645
ko:K07220	saun:SAKOR_00658
ko:K03306	saun:SAKOR_00659
ko:K06890	saun:SAKOR_00661
ko:K09793	saun:SAKOR_00671
ko:K06966	saun:SAKOR_00677
ko:K09768	saun:SAKOR_00678
ko:K06153	saun:SAKOR_00680
ko:K01669	saun:SAKOR_00688
ko:K07651	saun:SAKOR_01435
ko:K07775	saun:SAKOR_01436
ko:K06178	saun:SAKOR_01437
ko:K06024	saun:SAKOR_01438
ko:K05896	saun:SAKOR_01439
ko:K07124	saun:SAKOR_01446
ko:K00286	saun:SAKOR_01447
ko:K00036	saun:SAKOR_01450
ko:K09699	saun:SAKOR_01462
ko:K00167	saun:SAKOR_01463
ko:K00166	saun:SAKOR_01464
ko:K00382	saun:SAKOR_01465
ko:K03631	saun:SAKOR_01466
ko:K03402	saun:SAKOR_01467
ko:K13789	saun:SAKOR_01468
ko:K03602	saun:SAKOR_01469
ko:K03601	saun:SAKOR_01470
ko:K03625	saun:SAKOR_01471
ko:K01961	saun:SAKOR_01473
ko:K02160	saun:SAKOR_01474
ko:K02356	saun:SAKOR_01475
ko:K03800	saun:SAKOR_01479
ko:K00283	saun:SAKOR_01481
ko:K06901	saun:SAKOR_02215
ko:K05340	saun:SAKOR_02219
ko:K07088	saun:SAKOR_02221
ko:K11693	saun:SAKOR_02225
ko:K03639	saun:SAKOR_02233
ko:K03752	saun:SAKOR_02234
ko:K03636	saun:SAKOR_02235
ko:K03753	saun:SAKOR_02237
ko:K03750	saun:SAKOR_02238
ko:K03637	saun:SAKOR_02239
ko:K03638	saun:SAKOR_02240
ko:K02018	saun:SAKOR_02243
ko:K02020	saun:SAKOR_02244
ko:K02379	saun:SAKOR_02246
ko:K03523	saun:SAKOR_02248
ko:K02016	saun:SAKOR_02250
ko:K08717	saun:SAKOR_02252
ko:K01430	saun:SAKOR_02253
ko:K01429	saun:SAKOR_02254
ko:K01428	saun:SAKOR_02255
ko:K03187	saun:SAKOR_02256
ko:K03188	saun:SAKOR_02257
ko:K03189	saun:SAKOR_02258
ko:K03190	saun:SAKOR_02259
ko:K02773	saun:SAKOR_00221
ko:K02774	saun:SAKOR_00222
ko:K05352	saun:SAKOR_00229
ko:K07322	saun:SAKOR_00238
ko:K07704	saun:SAKOR_00239
ko:K05338	saun:SAKOR_00241
ko:K05339	saun:SAKOR_00242
ko:K03489	saun:SAKOR_00243
ko:K01223	saun:SAKOR_00245
ko:K06726	saun:SAKOR_00248
ko:K02529	saun:SAKOR_00250
ko:K01442	saun:SAKOR_00255
ko:K03466	saun:SAKOR_00270
ko:K01462	saun:SAKOR_01013
ko:K00161	saun:SAKOR_01015
ko:K00162	saun:SAKOR_01016
ko:K00627	saun:SAKOR_01017
ko:K00382	saun:SAKOR_01018
ko:K03322	saun:SAKOR_01027
ko:K06207	saun:SAKOR_01031
ko:K03588	saun:SAKOR_01035
ko:K02259	saun:SAKOR_01037
ko:K08976	saun:SAKOR_01039
ko:K01126	saun:SAKOR_01042
ko:K00954	saun:SAKOR_01046
ko:K07040	saun:SAKOR_01048
ko:K02911	saun:SAKOR_01049
ko:K14193	saun:SAKOR_01051
ko:K02016	saun:SAKOR_01054
ko:K02015	saun:SAKOR_01055
ko:K08600	saun:SAKOR_01056
ko:K03437	saun:SAKOR_01058
ko:K01889	saun:SAKOR_01059
ko:K01890	saun:SAKOR_01060
ko:K03564	saun:SAKOR_01819
ko:K01845	saun:SAKOR_01820
ko:K03575	saun:SAKOR_01824
ko:K07038	saun:SAKOR_01825
ko:K03565	saun:SAKOR_01829
ko:K04478	saun:SAKOR_01830
ko:K05520	saun:SAKOR_01831
ko:K07058	saun:SAKOR_01839
ko:K07681	saun:SAKOR_01841
ko:K01265	saun:SAKOR_01844
ko:K02217	saun:SAKOR_01852
ko:K02346	saun:SAKOR_01854
ko:K03215	saun:SAKOR_01856
ko:K02434	saun:SAKOR_01859
ko:K02435	saun:SAKOR_01861
ko:K14192	saun:SAKOR_02630
ko:K00926	saun:SAKOR_02632
ko:K03758	saun:SAKOR_02633
ko:K00611	saun:SAKOR_02634
ko:K02768	saun:SAKOR_02642
ko:K02769	saun:SAKOR_02642
ko:K02770	saun:SAKOR_02642
ko:K01809	saun:SAKOR_02643
ko:K01421	saun:SAKOR_02644
ko:K03070	saun:SAKOR_02650
ko:K03076	saun:SAKOR_02654
ko:K11936	saun:SAKOR_02668
ko:K11755	saun:SAKOR_02675
ko:K02500	saun:SAKOR_02676
ko:K01548	saun:SAKOR_02041
ko:K01547	saun:SAKOR_02042
ko:K01546	saun:SAKOR_02043
ko:K07646	saun:SAKOR_02044
ko:K07667	saun:SAKOR_02045
ko:K01929	saun:SAKOR_02047
ko:K01921	saun:SAKOR_02048
ko:K05837	saun:SAKOR_02049
ko:K06131	saun:SAKOR_02054
ko:K06950	saun:SAKOR_02055
ko:K03217	saun:SAKOR_02057
ko:K00788	saun:SAKOR_02058
ko:K00878	saun:SAKOR_02059
ko:K00941	saun:SAKOR_02060
ko:K03707	saun:SAKOR_02061
ko:K02372	saun:SAKOR_02066
ko:K00790	saun:SAKOR_02067
ko:K02114	saun:SAKOR_02069
ko:K08170	saun:SAKOR_00077
ko:K03324	saun:SAKOR_00079
ko:K03303	saun:SAKOR_00084
ko:K14196	saun:SAKOR_00085
ko:K02015	saun:SAKOR_00087
ko:K02015	saun:SAKOR_00088
ko:K02016	saun:SAKOR_00089
ko:K01586	saun:SAKOR_00097
ko:K04564	saun:SAKOR_00109
ko:K01839	saun:SAKOR_00115
ko:K02042	saun:SAKOR_00116
ko:K02034	saun:SAKOR_00912
ko:K01867	saun:SAKOR_00913
ko:K16511	saun:SAKOR_00915
ko:K08602	saun:SAKOR_00917
ko:K06886	saun:SAKOR_00919
ko:K00858	saun:SAKOR_00923
ko:K06180	saun:SAKOR_00924
ko:K06213	saun:SAKOR_00925
ko:K00208	saun:SAKOR_00927
ko:K03310	saun:SAKOR_00929
ko:K01247	saun:SAKOR_00932
ko:K02837	saun:SAKOR_00938
ko:K02250	saun:SAKOR_00944
ko:K03800	saun:SAKOR_00946
ko:K02003	saun:SAKOR_00954
ko:K15977	saun:SAKOR_00957
ko:K02016	saun:SAKOR_00958
ko:K03466	saun:SAKOR_01682
ko:K06878	saun:SAKOR_01683
ko:K03439	saun:SAKOR_01690
ko:K00824	saun:SAKOR_01692
ko:K07007	saun:SAKOR_01697
ko:K01869	saun:SAKOR_01701
ko:K07139	saun:SAKOR_01703
ko:K00318	saun:SAKOR_01710
ko:K00794	saun:SAKOR_01711
ko:K14652	saun:SAKOR_01712
ko:K00793	saun:SAKOR_01713
ko:K11752	saun:SAKOR_01714
ko:K03893	saun:SAKOR_01717
ko:K06199	saun:SAKOR_01726
ko:K06199	saun:SAKOR_01727
ko:K00963	saun:SAKOR_02487
ko:K13732	saun:SAKOR_02489
ko:K11476	saun:SAKOR_02493
ko:K04041	saun:SAKOR_02504
ko:K06999	saun:SAKOR_02507
ko:K15975	saun:SAKOR_02508
ko:K15973	saun:SAKOR_02509
ko:K06975	saun:SAKOR_02510
ko:K03778	saun:SAKOR_02513
ko:K16917	saun:SAKOR_02515
ko:K16916	saun:SAKOR_02516
ko:K03823	saun:SAKOR_02518
ko:K01752	saun:SAKOR_02520
ko:K01752	saun:SAKOR_02521
ko:K03723	saun:SAKOR_00488
ko:K07571	saun:SAKOR_00493
ko:K04075	saun:SAKOR_00494
ko:K00760	saun:SAKOR_00495
ko:K03798	saun:SAKOR_00496
ko:K04083	saun:SAKOR_00497
ko:K01738	saun:SAKOR_00498
ko:K00796	saun:SAKOR_00499
ko:K01633	saun:SAKOR_00500
ko:K00950	saun:SAKOR_00501
ko:K04567	saun:SAKOR_00502
ko:K00375	saun:SAKOR_00503
ko:K06215	saun:SAKOR_00504
ko:K08681	saun:SAKOR_00505
ko:K11535	saun:SAKOR_00506
ko:K03696	saun:SAKOR_00510
ko:K04485	saun:SAKOR_00511
ko:K00640	saun:SAKOR_00514
ko:K01883	saun:SAKOR_00515
ko:K11145	saun:SAKOR_00516
ko:K03218	saun:SAKOR_00517
ko:K06962	saun:SAKOR_00518
ko:K03091	saun:SAKOR_00519
ko:K02913	saun:SAKOR_00520
ko:K03073	saun:SAKOR_00521
ko:K02601	saun:SAKOR_00522
ko:K02867	saun:SAKOR_00523
ko:K02863	saun:SAKOR_00524
ko:K02864	saun:SAKOR_00525
ko:K02935	saun:SAKOR_00526
ko:K03043	saun:SAKOR_00528
ko:K03046	saun:SAKOR_00529
ko:K07590	saun:SAKOR_00530
ko:K02950	saun:SAKOR_00531
ko:K02992	saun:SAKOR_00532
ko:K03547	saun:SAKOR_01281
ko:K03282	saun:SAKOR_01283
ko:K01681	saun:SAKOR_01287
ko:K07107	saun:SAKOR_01288
ko:K08591	saun:SAKOR_01290
ko:K02622	saun:SAKOR_01291
ko:K02621	saun:SAKOR_01292
ko:K03310	saun:SAKOR_01293
ko:K03480	saun:SAKOR_01294
ko:K14205	saun:SAKOR_01297
ko:K01821	saun:SAKOR_01300
ko:K01657	saun:SAKOR_01304
ko:K00766	saun:SAKOR_01306
ko:K01609	saun:SAKOR_01307
ko:K01817	saun:SAKOR_01308
ko:K01696	saun:SAKOR_01309
ko:K01695	saun:SAKOR_01310
ko:K11694	saun:SAKOR_01311
ko:K11695	saun:SAKOR_01312
ko:K02034	saun:SAKOR_01317
ko:K02039	saun:SAKOR_01322
ko:K02036	saun:SAKOR_01323
ko:K02038	saun:SAKOR_01324
ko:K02037	saun:SAKOR_01325
ko:K02040	saun:SAKOR_01326
ko:K00243	saun:SAKOR_01327
ko:K00928	saun:SAKOR_01329
