ko:K18928	bpsh:DR55_5026
ko:K06189	bpsh:DR55_423
ko:K03820	bpsh:DR55_424
ko:K01878	bpsh:DR55_425
ko:K01879	bpsh:DR55_426
ko:K03273	bpsh:DR55_427
ko:K00655	bpsh:DR55_428
ko:K07043	bpsh:DR55_429
ko:K01759	bpsh:DR55_430
ko:K02528	bpsh:DR55_432
ko:K00097	bpsh:DR55_433
ko:K03771	bpsh:DR55_434
ko:K04744	bpsh:DR55_435
ko:K07102	bpsh:DR55_436
ko:K00145	bpsh:DR55_1245
ko:K03809	bpsh:DR55_1246
ko:K06910	bpsh:DR55_1247
ko:K00762	bpsh:DR55_1248
ko:K00029	bpsh:DR55_1249
ko:K04090	bpsh:DR55_1250
ko:K00457	bpsh:DR55_1252
ko:K03719	bpsh:DR55_1253
ko:K02613	bpsh:DR55_1257
ko:K02612	bpsh:DR55_1258
ko:K02611	bpsh:DR55_1259
ko:K02610	bpsh:DR55_1260
ko:K02609	bpsh:DR55_1261
ko:K02358	bpsh:DR55_1272
ko:K03073	bpsh:DR55_1274
ko:K02601	bpsh:DR55_1275
ko:K02867	bpsh:DR55_1276
ko:K02863	bpsh:DR55_1277
ko:K02864	bpsh:DR55_1278
ko:K02935	bpsh:DR55_1279
ko:K03043	bpsh:DR55_1280
ko:K03046	bpsh:DR55_1281
ko:K03654	bpsh:DR55_1282
ko:K02950	bpsh:DR55_1283
ko:K02992	bpsh:DR55_1284
ko:K02355	bpsh:DR55_1285
ko:K02358	bpsh:DR55_1286
ko:K02946	bpsh:DR55_1287
ko:K02906	bpsh:DR55_1288
ko:K02926	bpsh:DR55_1289
ko:K02892	bpsh:DR55_1290
ko:K02886	bpsh:DR55_1291
ko:K02965	bpsh:DR55_1292
ko:K02890	bpsh:DR55_1293
ko:K02982	bpsh:DR55_1294
ko:K02878	bpsh:DR55_1295
ko:K02904	bpsh:DR55_1296
ko:K02961	bpsh:DR55_1297
ko:K02874	bpsh:DR55_1298
ko:K02895	bpsh:DR55_1299
ko:K03596	bpsh:DR55_2085
ko:K03100	bpsh:DR55_2086
ko:K03685	bpsh:DR55_2087
ko:K03584	bpsh:DR55_2089
ko:K03474	bpsh:DR55_2090
ko:K00997	bpsh:DR55_2091
ko:K01207	bpsh:DR55_2092
ko:K02356	bpsh:DR55_2094
ko:K03703	bpsh:DR55_2096
ko:K06911	bpsh:DR55_2103
ko:K02348	bpsh:DR55_2104
ko:K07152	bpsh:DR55_2107
ko:K01087	bpsh:DR55_2108
ko:K00697	bpsh:DR55_2109
ko:K06147	bpsh:DR55_2110
ko:K08983	bpsh:DR55_2113
ko:K01999	bpsh:DR55_2115
ko:K01114	bpsh:DR55_2118
ko:K00868	bpsh:DR55_2119
ko:K00720	bpsh:DR55_2122
ko:K10016	bpsh:DR55_2127
ko:K10015	bpsh:DR55_2128
ko:K10017	bpsh:DR55_2129
ko:K00673	bpsh:DR55_2132
ko:K00673	bpsh:DR55_2133
ko:K06447	bpsh:DR55_2134
ko:K01484	bpsh:DR55_2135
ko:K09786	bpsh:DR55_2929
ko:K07180	bpsh:DR55_2930
ko:K00852	bpsh:DR55_2932
ko:K02529	bpsh:DR55_2933
ko:K10440	bpsh:DR55_2934
ko:K10441	bpsh:DR55_2935
ko:K10439	bpsh:DR55_2936
ko:K13635	bpsh:DR55_2937
ko:K02045	bpsh:DR55_2938
ko:K02047	bpsh:DR55_2939
ko:K02046	bpsh:DR55_2940
ko:K02048	bpsh:DR55_2941
ko:K01356	bpsh:DR55_2942
ko:K09695	bpsh:DR55_2946
ko:K09694	bpsh:DR55_2947
ko:K07089	bpsh:DR55_2949
ko:K05539	bpsh:DR55_2954
ko:K15555	bpsh:DR55_2960
ko:K15554	bpsh:DR55_2961
ko:K04091	bpsh:DR55_2962
ko:K00684	bpsh:DR55_2969
ko:K00254	bpsh:DR55_2971
ko:K02424	bpsh:DR55_2972
ko:K10009	bpsh:DR55_2973
ko:K01807	bpsh:DR55_2976
ko:K11066	bpsh:DR55_2977
ko:K11904	bpsh:DR55_3770
ko:K11907	bpsh:DR55_3771
ko:K11895	bpsh:DR55_3772
ko:K11896	bpsh:DR55_3773
ko:K11905	bpsh:DR55_3774
ko:K11903	bpsh:DR55_3775
ko:K11900	bpsh:DR55_3776
ko:K11901	bpsh:DR55_3777
ko:K11910	bpsh:DR55_3780
ko:K07152	bpsh:DR55_3785
ko:K00368	bpsh:DR55_3787
ko:K01916	bpsh:DR55_3792
ko:K08322	bpsh:DR55_3795
ko:K08323	bpsh:DR55_3796
ko:K00040	bpsh:DR55_3798
ko:K09471	bpsh:DR55_3804
ko:K00128	bpsh:DR55_3809
ko:K03734	bpsh:DR55_3810
ko:K00380	bpsh:DR55_3811
ko:K02484	bpsh:DR55_3815
ko:K08369	bpsh:DR55_3817
ko:K07644	bpsh:DR55_4618
ko:K00375	bpsh:DR55_4620
ko:K04064	bpsh:DR55_4622
ko:K00208	bpsh:DR55_4625
ko:K16137	bpsh:DR55_4629
ko:K03928	bpsh:DR55_4632
ko:K01775	bpsh:DR55_4637
ko:K07140	bpsh:DR55_4642
ko:K07649	bpsh:DR55_4644
ko:K07774	bpsh:DR55_4645
ko:K02012	bpsh:DR55_4646
ko:K02011	bpsh:DR55_4647
ko:K02010	bpsh:DR55_4648
ko:K02510	bpsh:DR55_4651
ko:K02509	bpsh:DR55_4653
ko:K01826	bpsh:DR55_4654
ko:K00455	bpsh:DR55_4655
ko:K00151	bpsh:DR55_4656
ko:K05921	bpsh:DR55_4657
ko:K05921	bpsh:DR55_4658
ko:K02484	bpsh:DR55_4663
ko:K00166	bpsh:DR55_5457
ko:K00167	bpsh:DR55_5458
ko:K09699	bpsh:DR55_5459
ko:K00382	bpsh:DR55_5460
ko:K06133	bpsh:DR55_5465
ko:K00240	bpsh:DR55_5469
ko:K01613	bpsh:DR55_5470
ko:K06147	bpsh:DR55_5472
ko:K00612	bpsh:DR55_5477
ko:K04065	bpsh:DR55_5488
ko:K08995	bpsh:DR55_5493
ko:K00141	bpsh:DR55_277
ko:K01576	bpsh:DR55_278
ko:K00007	bpsh:DR55_280
ko:K00854	bpsh:DR55_281
ko:K10111	bpsh:DR55_287
ko:K10229	bpsh:DR55_289
ko:K10228	bpsh:DR55_290
ko:K10227	bpsh:DR55_291
ko:K16371	bpsh:DR55_292
ko:K00847	bpsh:DR55_293
ko:K09823	bpsh:DR55_295
ko:K02077	bpsh:DR55_296
ko:K02074	bpsh:DR55_297
ko:K02075	bpsh:DR55_298
ko:K01070	bpsh:DR55_299
ko:K00121	bpsh:DR55_300
ko:K00854	bpsh:DR55_302
ko:K18139	bpsh:DR55_304
ko:K18138	bpsh:DR55_305
ko:K03585	bpsh:DR55_306
ko:K03577	bpsh:DR55_307
ko:K02484	bpsh:DR55_312
ko:K07259	bpsh:DR55_314
ko:K07566	bpsh:DR55_318
ko:K01589	bpsh:DR55_319
ko:K01588	bpsh:DR55_320
ko:K01923	bpsh:DR55_321
ko:K01624	bpsh:DR55_322
ko:K00873	bpsh:DR55_323
ko:K00927	bpsh:DR55_324
ko:K03736	bpsh:DR55_1134
ko:K00138	bpsh:DR55_1136
ko:K04033	bpsh:DR55_1137
ko:K01652	bpsh:DR55_1139
ko:K01752	bpsh:DR55_1141
ko:K00281	bpsh:DR55_1143
ko:K02437	bpsh:DR55_1144
ko:K00605	bpsh:DR55_1145
ko:K03656	bpsh:DR55_1150
ko:K03406	bpsh:DR55_1163
ko:K00648	bpsh:DR55_1175
ko:K02078	bpsh:DR55_1176
ko:K00648	bpsh:DR55_1177
ko:K02407	bpsh:DR55_1181
ko:K02406	bpsh:DR55_1182
ko:K02970	bpsh:DR55_1183
ko:K01246	bpsh:DR55_1184
ko:K03332	bpsh:DR55_4809
ko:K18676	bpsh:DR55_1185
ko:K06188	bpsh:DR55_1187
ko:K00126	bpsh:DR55_1979
ko:K00123	bpsh:DR55_1980
ko:K00124	bpsh:DR55_1981
ko:K00127	bpsh:DR55_1982
ko:K00568	bpsh:DR55_1987
ko:K03286	bpsh:DR55_1988
ko:K02469	bpsh:DR55_1989
ko:K09924	bpsh:DR55_1990
ko:K00831	bpsh:DR55_1991
ko:K14170	bpsh:DR55_1992
ko:K00800	bpsh:DR55_1993
ko:K00945	bpsh:DR55_1994
ko:K02945	bpsh:DR55_1995
ko:K05788	bpsh:DR55_1996
ko:K00012	bpsh:DR55_1999
ko:K03274	bpsh:DR55_2001
ko:K02237	bpsh:DR55_2002
ko:K12339	bpsh:DR55_2003
ko:K08305	bpsh:DR55_2004
ko:K02071	bpsh:DR55_2007
ko:K02072	bpsh:DR55_2008
ko:K02073	bpsh:DR55_2009
ko:K03521	bpsh:DR55_2010
ko:K03522	bpsh:DR55_2011
ko:K00285	bpsh:DR55_2013
ko:K03719	bpsh:DR55_2014
ko:K02959	bpsh:DR55_2018
ko:K02860	bpsh:DR55_2019
ko:K00554	bpsh:DR55_2020
ko:K02884	bpsh:DR55_2021
ko:K02227	bpsh:DR55_2025
ko:K06949	bpsh:DR55_2028
ko:K00666	bpsh:DR55_2826
ko:K05845	bpsh:DR55_2829
ko:K05846	bpsh:DR55_2830
ko:K05847	bpsh:DR55_2831
ko:K05846	bpsh:DR55_2833
ko:K03758	bpsh:DR55_2835
ko:K01478	bpsh:DR55_2836
ko:K00611	bpsh:DR55_2837
ko:K00926	bpsh:DR55_2838
ko:K03449	bpsh:DR55_2847
ko:K05936	bpsh:DR55_2849
ko:K05895	bpsh:DR55_2850
ko:K02188	bpsh:DR55_2851
ko:K00595	bpsh:DR55_2852
ko:K02229	bpsh:DR55_2853
ko:K06042	bpsh:DR55_2854
ko:K03394	bpsh:DR55_2855
ko:K13541	bpsh:DR55_2856
ko:K01183	bpsh:DR55_2857
ko:K06999	bpsh:DR55_2859
ko:K13580	bpsh:DR55_2864
ko:K03405	bpsh:DR55_2865
ko:K02230	bpsh:DR55_2866
ko:K02234	bpsh:DR55_2867
ko:K07241	bpsh:DR55_2868
ko:K02189	bpsh:DR55_2869
ko:K02224	bpsh:DR55_2871
ko:K02014	bpsh:DR55_2873
ko:K10531	bpsh:DR55_2874
ko:K07657	bpsh:DR55_3666
ko:K02669	bpsh:DR55_3668
ko:K03219	bpsh:DR55_3678
ko:K12255	bpsh:DR55_3685
ko:K07154	bpsh:DR55_3688
ko:K00694	bpsh:DR55_3697
ko:K03119	bpsh:DR55_3700
ko:K15551	bpsh:DR55_3701
ko:K10831	bpsh:DR55_3702
ko:K15552	bpsh:DR55_3703
ko:K09990	bpsh:DR55_3708
ko:K03306	bpsh:DR55_3709
ko:K04127	bpsh:DR55_4511
ko:K03119	bpsh:DR55_4512
ko:K01869	bpsh:DR55_4517
ko:K06894	bpsh:DR55_4521
ko:K05367	bpsh:DR55_4522
ko:K03410	bpsh:DR55_4523
ko:K00832	bpsh:DR55_4531
ko:K11734	bpsh:DR55_4532
ko:K11068	bpsh:DR55_4536
ko:K01999	bpsh:DR55_4537
ko:K03534	bpsh:DR55_4546
ko:K18333	bpsh:DR55_4547
ko:K18335	bpsh:DR55_4549
ko:K07046	bpsh:DR55_4550
ko:K01685	bpsh:DR55_4551
ko:K02057	bpsh:DR55_4553
ko:K02056	bpsh:DR55_4554
ko:K05819	bpsh:DR55_4559
ko:K12508	bpsh:DR55_4560
ko:K18383	bpsh:DR55_4562
ko:K01574	bpsh:DR55_5353
ko:K00019	bpsh:DR55_5354
ko:K07001	bpsh:DR55_5355
ko:K00799	bpsh:DR55_5357
ko:K16135	bpsh:DR55_5359
ko:K07246	bpsh:DR55_5360
ko:K09958	bpsh:DR55_5362
ko:K00060	bpsh:DR55_5365
ko:K00639	bpsh:DR55_5366
ko:K00537	bpsh:DR55_5376
ko:K03088	bpsh:DR55_5378
ko:K03410	bpsh:DR55_5382
ko:K06045	bpsh:DR55_5386
ko:K10036	bpsh:DR55_5388
ko:K10037	bpsh:DR55_5389
ko:K10038	bpsh:DR55_5390
ko:K01607	bpsh:DR55_5393
ko:K04754	bpsh:DR55_5394
ko:K07003	bpsh:DR55_5395
ko:K06181	bpsh:DR55_223
ko:K09005	bpsh:DR55_224
ko:K02355	bpsh:DR55_225
ko:K03710	bpsh:DR55_229
ko:K01647	bpsh:DR55_231
ko:K00077	bpsh:DR55_235
ko:K07240	bpsh:DR55_238
ko:K04564	bpsh:DR55_240
ko:K03601	bpsh:DR55_241
ko:K00912	bpsh:DR55_242
ko:K09791	bpsh:DR55_243
ko:K00979	bpsh:DR55_244
ko:K00939	bpsh:DR55_245
ko:K03980	bpsh:DR55_248
ko:K02968	bpsh:DR55_249
ko:K00075	bpsh:DR55_252
ko:K09767	bpsh:DR55_253
ko:K08591	bpsh:DR55_254
ko:K04763	bpsh:DR55_257
ko:K00567	bpsh:DR55_258
ko:K06925	bpsh:DR55_260
ko:K01448	bpsh:DR55_261
ko:K15268	bpsh:DR55_262
ko:K06911	bpsh:DR55_263
ko:K05838	bpsh:DR55_264
ko:K00275	bpsh:DR55_266
ko:K00574	bpsh:DR55_267
ko:K07304	bpsh:DR55_269
ko:K07130	bpsh:DR55_272
ko:K01556	bpsh:DR55_273
ko:K00453	bpsh:DR55_274
ko:K08195	bpsh:DR55_275
ko:K00077	bpsh:DR55_276
ko:K00140	bpsh:DR55_1085
ko:K01995	bpsh:DR55_1087
ko:K01996	bpsh:DR55_1088
ko:K01999	bpsh:DR55_1089
ko:K01997	bpsh:DR55_1090
ko:K01998	bpsh:DR55_1091
ko:K01999	bpsh:DR55_1093
ko:K01997	bpsh:DR55_1094
ko:K01995	bpsh:DR55_1095
ko:K01998	bpsh:DR55_1095
ko:K01996	bpsh:DR55_1096
ko:K03495	bpsh:DR55_1097
ko:K03501	bpsh:DR55_1098
ko:K02116	bpsh:DR55_1102
ko:K02108	bpsh:DR55_1103
ko:K02110	bpsh:DR55_1104
ko:K02109	bpsh:DR55_1105
ko:K02113	bpsh:DR55_1106
ko:K02111	bpsh:DR55_1107
ko:K02115	bpsh:DR55_1108
ko:K02112	bpsh:DR55_1109
ko:K02114	bpsh:DR55_1110
ko:K00666	bpsh:DR55_1111
ko:K06929	bpsh:DR55_1112
ko:K01713	bpsh:DR55_1113
ko:K01599	bpsh:DR55_1114
ko:K04066	bpsh:DR55_1115
ko:K13821	bpsh:DR55_1117
ko:K01999	bpsh:DR55_1118
ko:K12508	bpsh:DR55_1119
ko:K09456	bpsh:DR55_1120
ko:K10013	bpsh:DR55_1123
ko:K01534	bpsh:DR55_1128
ko:K03735	bpsh:DR55_1133
ko:K03610	bpsh:DR55_1924
ko:K03609	bpsh:DR55_1925
ko:K03608	bpsh:DR55_1926
ko:K02841	bpsh:DR55_1930
ko:K03832	bpsh:DR55_1933
ko:K02428	bpsh:DR55_1938
ko:K00989	bpsh:DR55_1939
ko:K00942	bpsh:DR55_1941
ko:K03060	bpsh:DR55_1942
ko:K04760	bpsh:DR55_1946
ko:K03704	bpsh:DR55_1950
ko:K02342	bpsh:DR55_1951
ko:K04093	bpsh:DR55_1952
ko:K02014	bpsh:DR55_1955
ko:K03841	bpsh:DR55_1962
ko:K03576	bpsh:DR55_1963
ko:K00549	bpsh:DR55_1964
ko:K01256	bpsh:DR55_1965
ko:K01487	bpsh:DR55_1968
ko:K06901	bpsh:DR55_1969
ko:K07402	bpsh:DR55_1971
ko:K03611	bpsh:DR55_1972
ko:K02433	bpsh:DR55_1973
ko:K13472	bpsh:DR55_2776
ko:K12541	bpsh:DR55_2777
ko:K12542	bpsh:DR55_2778
ko:K00860	bpsh:DR55_2781
ko:K01745	bpsh:DR55_2787
ko:K01712	bpsh:DR55_2789
ko:K09703	bpsh:DR55_2790
ko:K01466	bpsh:DR55_2792
ko:K06016	bpsh:DR55_2793
ko:K03088	bpsh:DR55_2795
ko:K15977	bpsh:DR55_2798
ko:K09930	bpsh:DR55_2800
ko:K01434	bpsh:DR55_2802
ko:K00612	bpsh:DR55_2803
ko:K01620	bpsh:DR55_2806
ko:K01755	bpsh:DR55_2807
ko:K01738	bpsh:DR55_2808
ko:K01755	bpsh:DR55_2812
ko:K01940	bpsh:DR55_2813
ko:K00817	bpsh:DR55_2816
ko:K03408	bpsh:DR55_2823
ko:K00124	bpsh:DR55_3606
ko:K00127	bpsh:DR55_3607
ko:K02380	bpsh:DR55_3608
ko:K01042	bpsh:DR55_3609
ko:K03833	bpsh:DR55_3610
ko:K05349	bpsh:DR55_3614
ko:K08195	bpsh:DR55_3617
ko:K07152	bpsh:DR55_3620
ko:K18292	bpsh:DR55_3631
ko:K18290	bpsh:DR55_3632
ko:K18288	bpsh:DR55_3633
ko:K00156	bpsh:DR55_3634
ko:K00836	bpsh:DR55_3635
ko:K03228	bpsh:DR55_3641
ko:K03224	bpsh:DR55_3643
ko:K03223	bpsh:DR55_3644
ko:K03222	bpsh:DR55_3646
ko:K18374	bpsh:DR55_3647
ko:K03229	bpsh:DR55_3649
ko:K03230	bpsh:DR55_3650
ko:K18381	bpsh:DR55_3651
ko:K03225	bpsh:DR55_3652
ko:K03226	bpsh:DR55_3653
ko:K03227	bpsh:DR55_3654
ko:K03220	bpsh:DR55_3656
ko:K00059	bpsh:DR55_4470
ko:K07396	bpsh:DR55_4473
ko:K02407	bpsh:DR55_4475
ko:K00852	bpsh:DR55_4482
ko:K07044	bpsh:DR55_4486
ko:K18369	bpsh:DR55_4496
ko:K01387	bpsh:DR55_4509
ko:K01114	bpsh:DR55_5297
ko:K10126	bpsh:DR55_5302
ko:K10125	bpsh:DR55_5303
ko:K03701	bpsh:DR55_5307
ko:K03088	bpsh:DR55_5308
ko:K08995	bpsh:DR55_5310
ko:K07240	bpsh:DR55_5313
ko:K08195	bpsh:DR55_5323
ko:K01607	bpsh:DR55_5324
ko:K01055	bpsh:DR55_5325
ko:K01857	bpsh:DR55_5326
ko:K01032	bpsh:DR55_5327
ko:K01031	bpsh:DR55_5328
ko:K00481	bpsh:DR55_5329
ko:K01495	bpsh:DR55_5331
ko:K00640	bpsh:DR55_5333
ko:K01053	bpsh:DR55_5336
ko:K05596	bpsh:DR55_5341
ko:K06895	bpsh:DR55_5342
ko:K09930	bpsh:DR55_5346
ko:K02073	bpsh:DR55_5091
ko:K05879	bpsh:DR55_5096
ko:K05878	bpsh:DR55_5097
ko:K00065	bpsh:DR55_5099
ko:K17205	bpsh:DR55_5100
ko:K17206	bpsh:DR55_5101
ko:K17207	bpsh:DR55_5102
ko:K01808	bpsh:DR55_5103
ko:K06966	bpsh:DR55_5106
ko:K02053	bpsh:DR55_5107
ko:K02055	bpsh:DR55_5108
ko:K02052	bpsh:DR55_5109
ko:K02053	bpsh:DR55_5110
ko:K16087	bpsh:DR55_5113
ko:K07225	bpsh:DR55_5114
ko:K02016	bpsh:DR55_5115
ko:K02015	bpsh:DR55_5117
ko:K02013	bpsh:DR55_5118
ko:K05366	bpsh:DR55_5120
ko:K05596	bpsh:DR55_5122
ko:K01620	bpsh:DR55_5121
ko:K00425	bpsh:DR55_5123
ko:K00426	bpsh:DR55_5124
ko:K00801	bpsh:DR55_5128
ko:K17686	bpsh:DR55_5136
ko:K10126	bpsh:DR55_655
ko:K10125	bpsh:DR55_656
ko:K11103	bpsh:DR55_657
ko:K14393	bpsh:DR55_658
ko:K00681	bpsh:DR55_668
ko:K03644	bpsh:DR55_670
ko:K03801	bpsh:DR55_671
ko:K03566	bpsh:DR55_673
ko:K09158	bpsh:DR55_674
ko:K00824	bpsh:DR55_675
ko:K07258	bpsh:DR55_676
ko:K07018	bpsh:DR55_677
ko:K18480	bpsh:DR55_680
ko:K02067	bpsh:DR55_681
ko:K02065	bpsh:DR55_682
ko:K02066	bpsh:DR55_683
ko:K01119	bpsh:DR55_684
ko:K03524	bpsh:DR55_686
ko:K03525	bpsh:DR55_687
ko:K07001	bpsh:DR55_691
ko:K01692	bpsh:DR55_694
ko:K16171	bpsh:DR55_695
ko:K00548	bpsh:DR55_699
