ko:K19586	ecly:LI62_17630
ko:K07807	ecly:LI62_20570
ko:K02535	ecly:LI62_20575
ko:K03503	ecly:LI62_20600
ko:K03111	ecly:LI62_20780
ko:K08163	ecly:LI62_24930
ko:K03650	ecly:LI62_24935
ko:K03217	ecly:LI62_24940
ko:K03536	ecly:LI62_24945
ko:K02914	ecly:LI62_24950
ko:K02283	ecly:LI62_00080
ko:K03497	ecly:LI62_00095
ko:K19164	ecly:LI62_00125
ko:K19163	ecly:LI62_00130
ko:K03496	ecly:LI62_00155
ko:K18698	ecly:LI62_00205
ko:K03492	ecly:LI62_05300
ko:K01222	ecly:LI62_05310
ko:K02761	ecly:LI62_05315
ko:K03152	ecly:LI62_05320
ko:K00077	ecly:LI62_05325
ko:K09767	ecly:LI62_05330
ko:K01628	ecly:LI62_05340
ko:K03435	ecly:LI62_05345
ko:K10439	ecly:LI62_05355
ko:K10440	ecly:LI62_05360
ko:K10441	ecly:LI62_05365
ko:K01818	ecly:LI62_05370
ko:K00879	ecly:LI62_05375
ko:K02431	ecly:LI62_05380
ko:K02300	ecly:LI62_05390
ko:K02299	ecly:LI62_05395
ko:K02298	ecly:LI62_05400
ko:K02297	ecly:LI62_05405
ko:K08218	ecly:LI62_05415
ko:K09786	ecly:LI62_09650
ko:K07180	ecly:LI62_09655
ko:K01792	ecly:LI62_09665
ko:K00134	ecly:LI62_09670
ko:K07305	ecly:LI62_09675
ko:K09916	ecly:LI62_09680
ko:K01183	ecly:LI62_09685
ko:K08281	ecly:LI62_09690
ko:K01424	ecly:LI62_09695
ko:K04773	ecly:LI62_09700
ko:K01008	ecly:LI62_09710
ko:K03169	ecly:LI62_09715
ko:K00262	ecly:LI62_09720
ko:K08320	ecly:LI62_09730
ko:K05779	ecly:LI62_09750
ko:K05778	ecly:LI62_09755
ko:K05777	ecly:LI62_09760
ko:K01142	ecly:LI62_09770
ko:K00840	ecly:LI62_09775
ko:K00673	ecly:LI62_09780
ko:K06447	ecly:LI62_09785
ko:K01484	ecly:LI62_09790
ko:K05526	ecly:LI62_09795
ko:K09975	ecly:LI62_09805
ko:K05984	ecly:LI62_09810
ko:K01916	ecly:LI62_09815
ko:K04064	ecly:LI62_09820
ko:K02760	ecly:LI62_09825
ko:K02761	ecly:LI62_09830
ko:K02759	ecly:LI62_09835
ko:K03490	ecly:LI62_09840
ko:K01222	ecly:LI62_09845
ko:K03478	ecly:LI62_09850
ko:K03781	ecly:LI62_09855
ko:K15722	ecly:LI62_09860
ko:K06956	ecly:LI62_09865
ko:K07038	ecly:LI62_09870
ko:K00065	ecly:LI62_09875
ko:K10823	ecly:LI62_14180
ko:K15583	ecly:LI62_14185
ko:K15582	ecly:LI62_14190
ko:K15581	ecly:LI62_14195
ko:K15580	ecly:LI62_14200
ko:K04072	ecly:LI62_14210
ko:K03746	ecly:LI62_14220
ko:K00963	ecly:LI62_14225
ko:K07001	ecly:LI62_14235
ko:K09858	ecly:LI62_14240
ko:K01433	ecly:LI62_14245
ko:K00374	ecly:LI62_14260
ko:K00373	ecly:LI62_14265
ko:K00371	ecly:LI62_14270
ko:K00370	ecly:LI62_14275
ko:K02575	ecly:LI62_14280
ko:K07673	ecly:LI62_14285
ko:K07684	ecly:LI62_14290
ko:K00372	ecly:LI62_14300
ko:K00362	ecly:LI62_14305
ko:K15578	ecly:LI62_14310
ko:K15577	ecly:LI62_14315
ko:K06039	ecly:LI62_14330
ko:K03406	ecly:LI62_14335
ko:K07232	ecly:LI62_14345
ko:K07300	ecly:LI62_14355
ko:K01627	ecly:LI62_14360
ko:K02493	ecly:LI62_14375
ko:K02835	ecly:LI62_14380
ko:K02492	ecly:LI62_14385
ko:K02494	ecly:LI62_14390
ko:K00919	ecly:LI62_14395
ko:K00948	ecly:LI62_14400
ko:K03321	ecly:LI62_14405
ko:K01056	ecly:LI62_14420
ko:K06942	ecly:LI62_14425
ko:K02391	ecly:LI62_18570
ko:K02390	ecly:LI62_18575
ko:K02389	ecly:LI62_18580
ko:K02388	ecly:LI62_18585
ko:K02387	ecly:LI62_18590
ko:K02386	ecly:LI62_18595
ko:K02398	ecly:LI62_18600
ko:K02399	ecly:LI62_18605
ko:K02422	ecly:LI62_18615
ko:K02407	ecly:LI62_18620
ko:K02406	ecly:LI62_18625
ko:K02421	ecly:LI62_18640
ko:K02420	ecly:LI62_18645
ko:K02419	ecly:LI62_18650
ko:K02418	ecly:LI62_18655
ko:K02417	ecly:LI62_18660
ko:K02416	ecly:LI62_18665
ko:K02415	ecly:LI62_18670
ko:K02414	ecly:LI62_18675
ko:K02413	ecly:LI62_18680
ko:K02412	ecly:LI62_18685
ko:K02411	ecly:LI62_18690
ko:K02410	ecly:LI62_18695
ko:K02409	ecly:LI62_18700
ko:K02408	ecly:LI62_18705
ko:K00575	ecly:LI62_18710
ko:K03412	ecly:LI62_18715
ko:K03413	ecly:LI62_18720
ko:K03414	ecly:LI62_18725
ko:K02401	ecly:LI62_18730
ko:K02400	ecly:LI62_18735
ko:K03516	ecly:LI62_18740
ko:K15509	ecly:LI62_18750
ko:K15509	ecly:LI62_18775
ko:K02510	ecly:LI62_18790
ko:K12543	ecly:LI62_18805
ko:K12541	ecly:LI62_18810
ko:K12542	ecly:LI62_18815
ko:K04759	ecly:LI62_23000
ko:K07490	ecly:LI62_23005
ko:K02170	ecly:LI62_23010
ko:K07400	ecly:LI62_23020
ko:K06155	ecly:LI62_23025
ko:K00705	ecly:LI62_23030
ko:K00688	ecly:LI62_23035
ko:K03556	ecly:LI62_23040
ko:K02444	ecly:LI62_23045
ko:K02441	ecly:LI62_23050
ko:K02439	ecly:LI62_23055
ko:K00111	ecly:LI62_23065
ko:K00688	ecly:LI62_23070
ko:K00703	ecly:LI62_23075
ko:K00975	ecly:LI62_23080
ko:K00700	ecly:LI62_23090
ko:K00133	ecly:LI62_23095
ko:K06156	ecly:LI62_23110
ko:K00851	ecly:LI62_23115
ko:K06145	ecly:LI62_23120
ko:K06911	ecly:LI62_23125
ko:K03825	ecly:LI62_23135
ko:K00681	ecly:LI62_23140
ko:K01126	ecly:LI62_23150
ko:K05816	ecly:LI62_23155
ko:K05815	ecly:LI62_23160
ko:K05814	ecly:LI62_23165
ko:K05813	ecly:LI62_23170
ko:K01996	ecly:LI62_23175
ko:K01995	ecly:LI62_23180
ko:K01998	ecly:LI62_23185
ko:K01997	ecly:LI62_23190
ko:K01999	ecly:LI62_23195
ko:K01999	ecly:LI62_23215
ko:K00823	ecly:LI62_23220
ko:K03089	ecly:LI62_23225
ko:K09811	ecly:LI62_23230
ko:K09812	ecly:LI62_23235
ko:K03110	ecly:LI62_23240
ko:K08316	ecly:LI62_23245
ko:K08993	ecly:LI62_23250
ko:K11198	ecly:LI62_02925
ko:K11199	ecly:LI62_02925
ko:K11200	ecly:LI62_02925
ko:K01191	ecly:LI62_02930
ko:K02769	ecly:LI62_02935
ko:K02770	ecly:LI62_02935
ko:K01226	ecly:LI62_02950
ko:K02818	ecly:LI62_02955
ko:K02819	ecly:LI62_02955
ko:K03485	ecly:LI62_02960
ko:K01531	ecly:LI62_02965
ko:K12373	ecly:LI62_02970
ko:K09022	ecly:LI62_02980
ko:K00610	ecly:LI62_02985
ko:K00609	ecly:LI62_02990
ko:K00611	ecly:LI62_03005
ko:K00926	ecly:LI62_03010
ko:K01478	ecly:LI62_03015
ko:K01198	ecly:LI62_03040
ko:K00611	ecly:LI62_03060
ko:K09893	ecly:LI62_03065
ko:K06169	ecly:LI62_03070
ko:K03427	ecly:LI62_03180
ko:K03427	ecly:LI62_03185
ko:K01153	ecly:LI62_03200
ko:K00833	ecly:LI62_07395
ko:K01012	ecly:LI62_07400
ko:K00652	ecly:LI62_07405
ko:K02169	ecly:LI62_07410
ko:K01935	ecly:LI62_07415
ko:K03702	ecly:LI62_07425
ko:K03639	ecly:LI62_07435
ko:K03638	ecly:LI62_07440
ko:K03637	ecly:LI62_07445
ko:K03636	ecly:LI62_07450
ko:K03635	ecly:LI62_07455
ko:K06890	ecly:LI62_07460
ko:K07027	ecly:LI62_07465
ko:K01993	ecly:LI62_07500
ko:K11927	ecly:LI62_07510
ko:K07349	ecly:LI62_07520
ko:K07347	ecly:LI62_07530
ko:K07345	ecly:LI62_07540
ko:K13650	ecly:LI62_07560
ko:K06970	ecly:LI62_07570
ko:K10038	ecly:LI62_07580
ko:K10037	ecly:LI62_07585
ko:K10036	ecly:LI62_07590
ko:K04047	ecly:LI62_07595
ko:K11939	ecly:LI62_07600
ko:K11934	ecly:LI62_07605
ko:K11924	ecly:LI62_07620
ko:K03543	ecly:LI62_07630
ko:K03446	ecly:LI62_07635
ko:K07017	ecly:LI62_07655
ko:K05541	ecly:LI62_16375
ko:K06518	ecly:LI62_16380
ko:K01489	ecly:LI62_16390
ko:K03748	ecly:LI62_16395
ko:K10541	ecly:LI62_16400
ko:K10542	ecly:LI62_16405
ko:K10540	ecly:LI62_16410
ko:K02529	ecly:LI62_16415
ko:K07148	ecly:LI62_16420
ko:K01495	ecly:LI62_16425
ko:K01070	ecly:LI62_16435
ko:K16089	ecly:LI62_16440
ko:K11733	ecly:LI62_16445
ko:K01151	ecly:LI62_16460
ko:K02769	ecly:LI62_16465
ko:K02770	ecly:LI62_16465
ko:K00882	ecly:LI62_16470
ko:K02768	ecly:LI62_16475
ko:K11183	ecly:LI62_16475
ko:K03291	ecly:LI62_16485
ko:K06940	ecly:LI62_16490
ko:K02356	ecly:LI62_16495
ko:K01686	ecly:LI62_16500
ko:K13694	ecly:LI62_16520
ko:K13893	ecly:LI62_16530
ko:K13894	ecly:LI62_16535
ko:K13895	ecly:LI62_16540
ko:K13896	ecly:LI62_16545
ko:K07552	ecly:LI62_16555
ko:K06183	ecly:LI62_16560
ko:K02897	ecly:LI62_16570
ko:K06899	ecly:LI62_16575
ko:K09904	ecly:LI62_16580
ko:K07014	ecly:LI62_16585
ko:K08276	ecly:LI62_16600
ko:K00116	ecly:LI62_16605
ko:K03321	ecly:LI62_16610
ko:K06213	ecly:LI62_16615
ko:K06159	ecly:LI62_16620
ko:K03919	ecly:LI62_16625
ko:K10778	ecly:LI62_16630
ko:K03734	ecly:LI62_16635
ko:K09475	ecly:LI62_16640
ko:K07676	ecly:LI62_16645
ko:K03169	ecly:LI62_20790
ko:K12055	ecly:LI62_20835
ko:K11935	ecly:LI62_20865
ko:K11931	ecly:LI62_20870
ko:K11936	ecly:LI62_20875
ko:K11937	ecly:LI62_20880
ko:K01460	ecly:LI62_20885
ko:K11209	ecly:LI62_20890
ko:K02430	ecly:LI62_20895
ko:K03406	ecly:LI62_20900
ko:K03559	ecly:LI62_20930
ko:K03561	ecly:LI62_20935
ko:K01760	ecly:LI62_20940
ko:K08325	ecly:LI62_20955
ko:K06221	ecly:LI62_20960
ko:K15773	ecly:LI62_20980
ko:K16137	ecly:LI62_20985
ko:K07480	ecly:LI62_21000
ko:K00121	ecly:LI62_21010
ko:K01070	ecly:LI62_21020
ko:K03701	ecly:LI62_21035
ko:K18768	ecly:LI62_00245
ko:K14393	ecly:LI62_02080
ko:K01895	ecly:LI62_02090
ko:K11102	ecly:LI62_02095
ko:K07126	ecly:LI62_02100
ko:K07483	ecly:LI62_02115
ko:K01624	ecly:LI62_02140
ko:K09988	ecly:LI62_02145
ko:K10439	ecly:LI62_02150
ko:K10440	ecly:LI62_02155
ko:K10441	ecly:LI62_02160
ko:K00881	ecly:LI62_02170
ko:K17195	ecly:LI62_02175
ko:K10550	ecly:LI62_02180
ko:K10551	ecly:LI62_02185
ko:K10549	ecly:LI62_02190
ko:K01808	ecly:LI62_02200
ko:K06167	ecly:LI62_02210
ko:K09994	ecly:LI62_02215
ko:K05774	ecly:LI62_02220
ko:K06162	ecly:LI62_02225
ko:K05780	ecly:LI62_02230
ko:K05781	ecly:LI62_02235
ko:K06163	ecly:LI62_02240
ko:K06164	ecly:LI62_02245
ko:K06165	ecly:LI62_02250
ko:K06166	ecly:LI62_02255
ko:K02043	ecly:LI62_02260
ko:K02042	ecly:LI62_02265
ko:K02044	ecly:LI62_02270
ko:K02041	ecly:LI62_02275
ko:K04750	ecly:LI62_02280
ko:K06193	ecly:LI62_02285
ko:K02526	ecly:LI62_02300
ko:K03762	ecly:LI62_02305
ko:K08984	ecly:LI62_02335
ko:K08225	ecly:LI62_06570
ko:K02016	ecly:LI62_06575
ko:K02361	ecly:LI62_06580
ko:K02363	ecly:LI62_06585
ko:K01252	ecly:LI62_06590
ko:K00216	ecly:LI62_06595
ko:K06200	ecly:LI62_06605
ko:K08317	ecly:LI62_06625
ko:K02056	ecly:LI62_06630
ko:K02057	ecly:LI62_06635
ko:K02058	ecly:LI62_06640
ko:K00899	ecly:LI62_06650
ko:K08963	ecly:LI62_06655
ko:K08967	ecly:LI62_06660
ko:K09880	ecly:LI62_06665
ko:K08964	ecly:LI62_06670
ko:K14287	ecly:LI62_06675
ko:K03386	ecly:LI62_06695
ko:K03387	ecly:LI62_06700
ko:K11932	ecly:LI62_06705
ko:K06140	ecly:LI62_06715
ko:K08483	ecly:LI62_06730
ko:K11189	ecly:LI62_06730
ko:K11201	ecly:LI62_06730
ko:K08326	ecly:LI62_06740
ko:K11203	ecly:LI62_06745
ko:K11202	ecly:LI62_06750
ko:K01169	ecly:LI62_06755
ko:K03326	ecly:LI62_06760
ko:K07798	ecly:LI62_06780
ko:K07787	ecly:LI62_06785
ko:K12973	ecly:LI62_06790
ko:K03704	ecly:LI62_06795
ko:K06199	ecly:LI62_06800
ko:K03425	ecly:LI62_06810
ko:K03644	ecly:LI62_06815
ko:K03801	ecly:LI62_06825
ko:K09158	ecly:LI62_06830
ko:K07258	ecly:LI62_06835
ko:K03642	ecly:LI62_06840
ko:K00276	ecly:LI62_11030
ko:K02618	ecly:LI62_11035
ko:K05804	ecly:LI62_03775
ko:K05805	ecly:LI62_03780
ko:K07773	ecly:LI62_03785
ko:K02533	ecly:LI62_03790
ko:K12524	ecly:LI62_03795
ko:K00872	ecly:LI62_03800
ko:K01733	ecly:LI62_03805
ko:K09861	ecly:LI62_03815
ko:K03310	ecly:LI62_03820
ko:K00616	ecly:LI62_03825
ko:K03831	ecly:LI62_03830
ko:K07034	ecly:LI62_03840
ko:K04043	ecly:LI62_03850
ko:K03686	ecly:LI62_03855
ko:K03313	ecly:LI62_03860
ko:K03717	ecly:LI62_03865
ko:K02968	ecly:LI62_03870
ko:K11753	ecly:LI62_03875
ko:K01870	ecly:LI62_03880
ko:K03101	ecly:LI62_03885
ko:K03774	ecly:LI62_03890
ko:K03527	ecly:LI62_03895
ko:K06859	ecly:LI62_03900
ko:K06859	ecly:LI62_03905
ko:K02795	ecly:LI62_03915
ko:K02794	ecly:LI62_03920
ko:K02793	ecly:LI62_03925
ko:K02529	ecly:LI62_03935
ko:K00215	ecly:LI62_03940
ko:K01956	ecly:LI62_03945
ko:K01955	ecly:LI62_03950
ko:K11746	ecly:LI62_03965
ko:K01525	ecly:LI62_03980
ko:K06195	ecly:LI62_03985
ko:K02528	ecly:LI62_03990
ko:K00097	ecly:LI62_03995
ko:K03771	ecly:LI62_04000
ko:K04744	ecly:LI62_04005
ko:K05801	ecly:LI62_04010
ko:K06177	ecly:LI62_04015
ko:K03580	ecly:LI62_04020
ko:K02336	ecly:LI62_04025
ko:K01804	ecly:LI62_04035
ko:K00853	ecly:LI62_04040
ko:K02099	ecly:LI62_04045
ko:K08219	ecly:LI62_08220
ko:K04069	ecly:LI62_08230
ko:K00656	ecly:LI62_08235
ko:K06212	ecly:LI62_08240
ko:K09136	ecly:LI62_08245
ko:K00831	ecly:LI62_08255
ko:K00800	ecly:LI62_08260
ko:K00945	ecly:LI62_08265
ko:K02945	ecly:LI62_08270
ko:K05788	ecly:LI62_08275
ko:K02238	ecly:LI62_08280
ko:K11085	ecly:LI62_08285
ko:K00912	ecly:LI62_08290
ko:K09927	ecly:LI62_08295
ko:K09791	ecly:LI62_08300
ko:K00979	ecly:LI62_08305
ko:K06219	ecly:LI62_08320
ko:K03633	ecly:LI62_08325
ko:K03804	ecly:LI62_08330
ko:K03632	ecly:LI62_08335
ko:K00813	ecly:LI62_08355
ko:K09476	ecly:LI62_08360
ko:K01893	ecly:LI62_08365
ko:K00763	ecly:LI62_08370
ko:K01256	ecly:LI62_08375
ko:K15555	ecly:LI62_08380
ko:K15554	ecly:LI62_08385
ko:K04091	ecly:LI62_08390
ko:K15553	ecly:LI62_08395
ko:K00299	ecly:LI62_08400
ko:K00254	ecly:LI62_08405
ko:K18657	ecly:LI62_08410
ko:K07140	ecly:LI62_08415
ko:K12297	ecly:LI62_08420
ko:K15738	ecly:LI62_08425
ko:K03808	ecly:LI62_08430
ko:K06192	ecly:LI62_08435
ko:K09857	ecly:LI62_08440
ko:K03812	ecly:LI62_08445
ko:K01716	ecly:LI62_08450
ko:K04770	ecly:LI62_08455
ko:K09911	ecly:LI62_08460
ko:K03286	ecly:LI62_08465
ko:K13053	ecly:LI62_08470
ko:K07343	ecly:LI62_08475
ko:K03658	ecly:LI62_08490
ko:K08169	ecly:LI62_13050
ko:K03322	ecly:LI62_17195
ko:K11535	ecly:LI62_17200
ko:K01885	ecly:LI62_17230
ko:K14347	ecly:LI62_17270
ko:K09954	ecly:LI62_17275
ko:K01972	ecly:LI62_17280
ko:K03528	ecly:LI62_17285
ko:K06203	ecly:LI62_17290
ko:K01738	ecly:LI62_17295
ko:K02784	ecly:LI62_17300
ko:K08483	ecly:LI62_17305
ko:K02777	ecly:LI62_17310
ko:K00868	ecly:LI62_17315
ko:K12339	ecly:LI62_17320
ko:K02045	ecly:LI62_17325
ko:K02047	ecly:LI62_17330
ko:K02046	ecly:LI62_17335
ko:K02048	ecly:LI62_17340
ko:K07223	ecly:LI62_17345
ko:K01448	ecly:LI62_17365
ko:K00228	ecly:LI62_17370
ko:K00029	ecly:LI62_17375
ko:K00616	ecly:LI62_17380
ko:K00615	ecly:LI62_17385
ko:K06878	ecly:LI62_17390
ko:K12113	ecly:LI62_17395
ko:K12111	ecly:LI62_17400
ko:K12112	ecly:LI62_17405
ko:K03931	ecly:LI62_17420
ko:K12945	ecly:LI62_17430
ko:K07674	ecly:LI62_17445
ko:K18324	ecly:LI62_17450
ko:K01439	ecly:LI62_17460
ko:K06911	ecly:LI62_21645
ko:K00656	ecly:LI62_21660
ko:K00932	ecly:LI62_21665
ko:K03838	ecly:LI62_21670
ko:K01754	ecly:LI62_21675
ko:K07592	ecly:LI62_21680
ko:K00865	ecly:LI62_21685
ko:K01630	ecly:LI62_21695
ko:K01708	ecly:LI62_21700
ko:K16371	ecly:LI62_21710
ko:K02745	ecly:LI62_21715
ko:K02746	ecly:LI62_21720
ko:K02747	ecly:LI62_21725
ko:K02744	ecly:LI62_21730
ko:K02079	ecly:LI62_21735
ko:K02082	ecly:LI62_21740
ko:K08302	ecly:LI62_21745
ko:K14155	ecly:LI62_21755
ko:K07056	ecly:LI62_21770
ko:K02609	ecly:LI62_11040
ko:K02610	ecly:LI62_11045
ko:K02611	ecly:LI62_11050
ko:K02612	ecly:LI62_11055
ko:K02613	ecly:LI62_11060
ko:K01692	ecly:LI62_11065
ko:K15866	ecly:LI62_11070
ko:K00074	ecly:LI62_11075
ko:K02614	ecly:LI62_11080
ko:K02615	ecly:LI62_11085
ko:K01912	ecly:LI62_11090
ko:K02616	ecly:LI62_11095
ko:K02617	ecly:LI62_11100
ko:K09701	ecly:LI62_11140
ko:K00574	ecly:LI62_11145
ko:K09936	ecly:LI62_11165
ko:K09936	ecly:LI62_11170
ko:K00549	ecly:LI62_11180
ko:K09912	ecly:LI62_11190
ko:K06177	ecly:LI62_11195
ko:K01118	ecly:LI62_11200
ko:K03578	ecly:LI62_11205
ko:K07248	ecly:LI62_11235
ko:K12262	ecly:LI62_11240
ko:K12543	ecly:LI62_11255
ko:K12541	ecly:LI62_11265
ko:K12542	ecly:LI62_11270
ko:K00244	ecly:LI62_15555
ko:K11106	ecly:LI62_15560
ko:K01676	ecly:LI62_15565
ko:K03288	ecly:LI62_15580
ko:K09933	ecly:LI62_15595
ko:K03894	ecly:LI62_15605
ko:K03896	ecly:LI62_15610
ko:K03895	ecly:LI62_15615
ko:K02014	ecly:LI62_15625
ko:K13635	ecly:LI62_15645
ko:K16291	ecly:LI62_15660
ko:K11932	ecly:LI62_15670
ko:K12973	ecly:LI62_15690
ko:K01241	ecly:LI62_15700
ko:K09802	ecly:LI62_15720
ko:K07470	ecly:LI62_15730
ko:K07258	ecly:LI62_15735
ko:K01141	ecly:LI62_15740
ko:K00765	ecly:LI62_15760
ko:K00013	ecly:LI62_15765
ko:K00817	ecly:LI62_15770
ko:K01089	ecly:LI62_15775
ko:K02501	ecly:LI62_15780
ko:K01814	ecly:LI62_15785
ko:K02500	ecly:LI62_15790
ko:K11755	ecly:LI62_15795
ko:K05789	ecly:LI62_15800
ko:K08679	ecly:LI62_15805
ko:K00012	ecly:LI62_15810
ko:K00033	ecly:LI62_15815
ko:K01790	ecly:LI62_15820
ko:K09159	ecly:LI62_19935
ko:K06980	ecly:LI62_19940
ko:K11068	ecly:LI62_19945
ko:K01223	ecly:LI62_19955
ko:K08344	ecly:LI62_19965
ko:K00281	ecly:LI62_19985
ko:K02437	ecly:LI62_19990
ko:K00605	ecly:LI62_19995
ko:K18800	ecly:LI62_20000
ko:K03185	ecly:LI62_20005
ko:K01262	ecly:LI62_20010
ko:K09895	ecly:LI62_20015
ko:K09888	ecly:LI62_20020
ko:K01934	ecly:LI62_20025
ko:K00058	ecly:LI62_20030
ko:K01807	ecly:LI62_20035
ko:K05596	ecly:LI62_20040
ko:K09807	ecly:LI62_20045
ko:K06895	ecly:LI62_20050
ko:K03442	ecly:LI62_20060
ko:K01624	ecly:LI62_20065
ko:K00927	ecly:LI62_20070
ko:K03472	ecly:LI62_20075
ko:K00615	ecly:LI62_20080
ko:K07387	ecly:LI62_20085
ko:K01652	ecly:LI62_20095
ko:K06989	ecly:LI62_20105
ko:K01480	ecly:LI62_20170
ko:K01585	ecly:LI62_20175
ko:K00789	ecly:LI62_20180
ko:K08137	ecly:LI62_20185
ko:K02742	ecly:LI62_20190
ko:K01150	ecly:LI62_20195
ko:K09761	ecly:LI62_20200
ko:K01920	ecly:LI62_20205
ko:K06006	ecly:LI62_24375
ko:K07640	ecly:LI62_24385
ko:K04564	ecly:LI62_24395
ko:K02856	ecly:LI62_24400
ko:K02854	ecly:LI62_24405
ko:K02855	ecly:LI62_24410
ko:K00848	ecly:LI62_24420
ko:K01813	ecly:LI62_24425
ko:K01629	ecly:LI62_24430
ko:K10559	ecly:LI62_24435
ko:K10562	ecly:LI62_24440
ko:K10560	ecly:LI62_24445
ko:K10561	ecly:LI62_24450
ko:K03534	ecly:LI62_24460
ko:K02532	ecly:LI62_24465
ko:K07407	ecly:LI62_24470
ko:K02529	ecly:LI62_24475
ko:K02379	ecly:LI62_24520
ko:K00123	ecly:LI62_24525
ko:K00123	ecly:LI62_24530
ko:K00124	ecly:LI62_24535
ko:K00127	ecly:LI62_24540
ko:K02380	ecly:LI62_24545
ko:K07560	ecly:LI62_24570
ko:K07058	ecly:LI62_24575
ko:K18478	ecly:LI62_24590
ko:K08318	ecly:LI62_24595
ko:K01671	ecly:LI62_24600
ko:K18479	ecly:LI62_24605
ko:K15922	ecly:LI62_24610
ko:K03292	ecly:LI62_24615
ko:K03292	ecly:LI62_24620
ko:K06207	ecly:LI62_24630
ko:K01915	ecly:LI62_24635
ko:K07708	ecly:LI62_24640
ko:K07712	ecly:LI62_24645
ko:K07121	ecly:LI62_21775
ko:K07460	ecly:LI62_21780
ko:K12961	ecly:LI62_21785
ko:K07089	ecly:LI62_21795
ko:K05520	ecly:LI62_21805
ko:K09979	ecly:LI62_21810
ko:K07461	ecly:LI62_21815
ko:K03824	ecly:LI62_21820
ko:K08303	ecly:LI62_21830
ko:K03835	ecly:LI62_21845
ko:K05592	ecly:LI62_21850
ko:K05803	ecly:LI62_21855
ko:K00962	ecly:LI62_21860
ko:K02956	ecly:LI62_21865
ko:K03177	ecly:LI62_21870
ko:K02834	ecly:LI62_21875
ko:K02519	ecly:LI62_21880
ko:K02600	ecly:LI62_21885
ko:K09748	ecly:LI62_21890
ko:K01940	ecly:LI62_21900
ko:K03075	ecly:LI62_21910
ko:K02313	ecly:LI62_00285
ko:K02338	ecly:LI62_00290
ko:K03629	ecly:LI62_00295
ko:K02470	ecly:LI62_00300
ko:K00883	ecly:LI62_00325
ko:K01631	ecly:LI62_00330
ko:K01684	ecly:LI62_00335
ko:K08194	ecly:LI62_00340
ko:K04080	ecly:LI62_00355
ko:K04081	ecly:LI62_00360
ko:K02967	ecly:LI62_04585
ko:K02357	ecly:LI62_04590
ko:K09903	ecly:LI62_04595
ko:K02838	ecly:LI62_04600
ko:K00099	ecly:LI62_04605
ko:K00806	ecly:LI62_04610
ko:K00981	ecly:LI62_04615
ko:K11749	ecly:LI62_04620
ko:K07277	ecly:LI62_04625
ko:K06142	ecly:LI62_04630
ko:K02536	ecly:LI62_04635
ko:K02372	ecly:LI62_04640
ko:K00677	ecly:LI62_04645
ko:K00748	ecly:LI62_04650
