ko:K14222	hie:R2846_0559
ko:K02656	hie:R2846_0214
ko:K06941	hie:R2846_0215
ko:K07262	hie:R2846_0216
ko:K11605	hie:R2846_0219
ko:K11606	hie:R2846_0220
ko:K03707	hie:R2846_0221
ko:K15598	hie:R2846_0222
ko:K08218	hie:R2846_0227
ko:K02568	hie:R2846_0230
ko:K02573	hie:R2846_0232
ko:K02567	hie:R2846_0233
ko:K02570	hie:R2846_0234
ko:K02572	hie:R2846_0235
ko:K09923	hie:R2846_0236
ko:K03439	hie:R2846_0237
ko:K04066	hie:R2846_0238
ko:K04751	hie:R2846_0240
ko:K03831	hie:R2846_0241
ko:K00901	hie:R2846_0242
ko:K03215	hie:R2846_0248
ko:K03584	hie:R2846_0249
ko:K02356	hie:R2846_0253
ko:K09906	hie:R2846_1041
ko:K00873	hie:R2846_1049
ko:K01775	hie:R2846_1051
ko:K01810	hie:R2846_1052
ko:K06077	hie:R2846_1054
ko:K09907	hie:R2846_1056
ko:K01887	hie:R2846_1057
ko:K01653	hie:R2846_1058
ko:K01652	hie:R2846_1059
ko:K01433	hie:R2846_1062
ko:K00800	hie:R2846_1063
ko:K07478	hie:R2846_1066
ko:K03634	hie:R2846_1067
ko:K03466	hie:R2846_1068
ko:K04485	hie:R2846_1070
ko:K09929	hie:R2846_1075
ko:K09930	hie:R2846_1076
ko:K15977	hie:R2846_1078
ko:K07220	hie:R2846_1079
ko:K03306	hie:R2846_1080
ko:K07184	hie:R2846_1081
ko:K02494	hie:R2846_1083
ko:K00919	hie:R2846_1084
ko:K00948	hie:R2846_1085
ko:K01866	hie:R2846_1086
ko:K06206	hie:R2846_1087
ko:K03327	hie:R2846_1088
ko:K00793	hie:R2846_1089
ko:K03553	hie:R2846_1733
ko:K07084	hie:R2846_0256
ko:K03683	hie:R2846_0257
ko:K15256	hie:R2846_0261
ko:K01876	hie:R2846_0263
ko:K08310	hie:R2846_0264
ko:K01159	hie:R2846_0266
ko:K03550	hie:R2846_0267
ko:K03551	hie:R2846_0268
ko:K05820	hie:R2846_0271
ko:K00286	hie:R2846_0272
ko:K03554	hie:R2846_0273
ko:K07447	hie:R2846_0274
ko:K07735	hie:R2846_0275
ko:K09761	hie:R2846_0276
ko:K03820	hie:R2846_0277
ko:K06189	hie:R2846_0278
ko:K03806	hie:R2846_0279
ko:K02682	hie:R2846_0280
ko:K02504	hie:R2846_0281
ko:K02505	hie:R2846_0282
ko:K03628	hie:R2846_0284
ko:K03764	hie:R2846_0285
ko:K03837	hie:R2846_0292
ko:K01752	hie:R2846_0293
ko:K03835	hie:R2846_0294
ko:K14260	hie:R2846_0295
ko:K02551	hie:R2846_0297
ko:K00757	hie:R2846_0300
ko:K09858	hie:R2846_0302
ko:K07058	hie:R2846_0303
ko:K01256	hie:R2846_1090
ko:K01588	hie:R2846_1091
ko:K01589	hie:R2846_1092
ko:K02007	hie:R2846_1096
ko:K09908	hie:R2846_1103
ko:K02897	hie:R2846_1105
ko:K01939	hie:R2846_1111
ko:K01595	hie:R2846_1114
ko:K06918	hie:R2846_1117
ko:K06173	hie:R2846_1124
ko:K03841	hie:R2846_1125
ko:K03303	hie:R2846_1126
ko:K03673	hie:R2846_1129
ko:K07462	hie:R2846_1130
ko:K03981	hie:R2846_1131
ko:K02836	hie:R2846_1132
ko:K04567	hie:R2846_1133
ko:K00024	hie:R2846_1134
ko:K03402	hie:R2846_1135
ko:K07071	hie:R2846_1136
ko:K00764	hie:R2846_1137
ko:K03558	hie:R2846_1138
ko:K09899	hie:R2846_1139
ko:K00925	hie:R2846_1140
ko:K13788	hie:R2846_1141
ko:K00549	hie:R2846_0564
ko:K07270	hie:R2846_1456
ko:K15035	hie:R2846_0800
ko:K10440	hie:R2846_0080
ko:K00852	hie:R2846_0078
ko:K14226	hie:R2846_0523
ko:K02358	hie:R2846_1708
ko:K07213	hie:R2846_0290
ko:K07213	hie:R2846_0289
ko:K02426	hie:R2846_0987
ko:K00769	hie:R2846_1660
ko:K02014	hie:R2846_1658
ko:K14227	hie:R2846_0526
ko:K14227	hie:R2846_0654
ko:K14227	hie:R2846_1605
ko:K08304	hie:R2846_0519
ko:K12297	hie:R2846_0521
ko:K01875	hie:R2846_0532
ko:K03106	hie:R2846_0536
ko:K01153	hie:R2846_0537
ko:K03655	hie:R2846_0539
ko:K03427	hie:R2846_0540
ko:K04079	hie:R2846_0542
ko:K02011	hie:R2846_0547
ko:K02012	hie:R2846_0548
ko:K00865	hie:R2846_0552
ko:K06997	hie:R2846_0553
ko:K12524	hie:R2846_0554
ko:K00872	hie:R2846_0555
ko:K01733	hie:R2846_0556
ko:K03778	hie:R2846_0562
ko:K03671	hie:R2846_0563
ko:K03424	hie:R2846_0566
ko:K01883	hie:R2846_0568
ko:K10805	hie:R2846_0570
ko:K02968	hie:R2846_1344
ko:K03980	hie:R2846_1345
ko:K11753	hie:R2846_1346
ko:K01870	hie:R2846_1347
ko:K03212	hie:R2846_1351
ko:K05501	hie:R2846_1354
ko:K13038	hie:R2846_1356
ko:K03630	hie:R2846_1357
ko:K02902	hie:R2846_1358
ko:K02913	hie:R2846_1359
ko:K00836	hie:R2846_1360
ko:K13745	hie:R2846_1363
ko:K04691	hie:R2846_1365
ko:K11752	hie:R2846_1366
ko:K07738	hie:R2846_1367
ko:K03583	hie:R2846_1368
ko:K02681	hie:R2846_1369
ko:K02680	hie:R2846_1371
ko:K02679	hie:R2846_1372
ko:K04016	hie:R2846_1374
ko:K02199	hie:R2846_1375
ko:K07007	hie:R2846_1377
ko:K01689	hie:R2846_1378
ko:K03781	hie:R2846_1382
ko:K01878	hie:R2846_1383
ko:K01879	hie:R2846_1386
ko:K02340	hie:R2846_1394
ko:K09760	hie:R2846_0083
ko:K03667	hie:R2846_0086
ko:K01419	hie:R2846_0087
ko:K03788	hie:R2846_0088
ko:K07173	hie:R2846_0089
ko:K03501	hie:R2846_0093
ko:K02108	hie:R2846_0095
ko:K02110	hie:R2846_0096
ko:K02109	hie:R2846_0097
ko:K02113	hie:R2846_0098
ko:K02111	hie:R2846_0099
ko:K07053	hie:R2846_0883
ko:K14055	hie:R2846_0903
ko:K11175	hie:R2846_0905
ko:K01933	hie:R2846_0906
ko:K01696	hie:R2846_0908
ko:K01695	hie:R2846_0909
ko:K03704	hie:R2846_0912
ko:K09917	hie:R2846_0913
ko:K06175	hie:R2846_0914
ko:K03151	hie:R2846_0916
ko:K03602	hie:R2846_0917
ko:K00795	hie:R2846_0918
ko:K01662	hie:R2846_0919
ko:K03600	hie:R2846_0920
ko:K03599	hie:R2846_0921
ko:K02996	hie:R2846_0922
ko:K02871	hie:R2846_0923
ko:K00297	hie:R2846_0924
ko:K01935	hie:R2846_0925
ko:K09902	hie:R2846_0926
ko:K01495	hie:R2846_0927
ko:K03750	hie:R2846_0928
ko:K09901	hie:R2846_0930
ko:K12267	hie:R2846_0933
ko:K03088	hie:R2846_0936
ko:K01756	hie:R2846_1701
ko:K07153	hie:R2846_1702
ko:K01867	hie:R2846_1703
ko:K05539	hie:R2846_1705
ko:K03598	hie:R2846_1714
ko:K03597	hie:R2846_1715
ko:K03088	hie:R2846_1716
ko:K09159	hie:R2846_1717
ko:K03282	hie:R2846_1718
ko:K03500	hie:R2846_1720
ko:K00604	hie:R2846_1721
ko:K01462	hie:R2846_1722
ko:K03565	hie:R2846_1734
ko:K06199	hie:R2846_1735
ko:K00611	hie:R2846_1737
ko:K00926	hie:R2846_1738
ko:K05995	hie:R2846_1741
ko:K12940	hie:R2846_1743
ko:K07648	hie:R2846_0417
ko:K01153	hie:R2846_0419
ko:K01154	hie:R2846_0422
ko:K03427	hie:R2846_0423
ko:K01414	hie:R2846_0424
ko:K09790	hie:R2846_0425
ko:K01735	hie:R2846_0430
ko:K00891	hie:R2846_0431
ko:K02959	hie:R2846_0434
ko:K02860	hie:R2846_0435
ko:K00554	hie:R2846_0436
ko:K02884	hie:R2846_0437
ko:K01008	hie:R2846_0438
ko:K02560	hie:R2846_0439
ko:K07090	hie:R2846_0440
ko:K07261	hie:R2846_0441
ko:K01736	hie:R2846_0442
ko:K05802	hie:R2846_0443
ko:K01911	hie:R2846_0444
ko:K03645	hie:R2846_0445
ko:K03839	hie:R2846_0447
ko:K00262	hie:R2846_0449
ko:K03118	hie:R2846_0450
ko:K03117	hie:R2846_0451
ko:K03116	hie:R2846_0452
ko:K01070	hie:R2846_0455
ko:K03310	hie:R2846_0456
ko:K00656	hie:R2846_0459
ko:K04069	hie:R2846_0460
ko:K05807	hie:R2846_0462
ko:K06180	hie:R2846_0463
ko:K05810	hie:R2846_0464
ko:K00566	hie:R2846_0465
ko:K05952	hie:R2846_0466
ko:K03734	hie:R2846_0467
ko:K02199	hie:R2846_1243
ko:K02198	hie:R2846_1244
ko:K02197	hie:R2846_1245
ko:K02196	hie:R2846_1246
ko:K02195	hie:R2846_1247
ko:K02194	hie:R2846_1248
ko:K04564	hie:R2846_1250
ko:K02065	hie:R2846_1251
ko:K02066	hie:R2846_1252
ko:K07323	hie:R2846_1254
ko:K07122	hie:R2846_1255
ko:K00790	hie:R2846_1257
ko:K03811	hie:R2846_1261
ko:K01937	hie:R2846_1262
ko:K00425	hie:R2846_1263
ko:K00426	hie:R2846_1264
ko:K03578	hie:R2846_1267
ko:K03385	hie:R2846_1268
ko:K04013	hie:R2846_1269
ko:K09903	hie:R2846_1272
ko:K02372	hie:R2846_1274
ko:K00677	hie:R2846_1275
ko:K00748	hie:R2846_1276
ko:K03470	hie:R2846_1277
ko:K07306	hie:R2846_1286
ko:K06957	hie:R2846_0781
ko:K03723	hie:R2846_0783
ko:K01963	hie:R2846_0785
ko:K11754	hie:R2846_0786
ko:K00641	hie:R2846_0788
ko:K02469	hie:R2846_0789
ko:K09136	hie:R2846_0790
ko:K02013	hie:R2846_0792
ko:K01874	hie:R2846_0796
ko:K09748	hie:R2846_0802
ko:K02600	hie:R2846_0803
ko:K02519	hie:R2846_0804
ko:K01153	hie:R2846_0805
ko:K01154	hie:R2846_0807
ko:K02834	hie:R2846_0809
ko:K14187	hie:R2846_0811
ko:K06879	hie:R2846_0812
ko:K02426	hie:R2846_0814
ko:K01766	hie:R2846_0815
ko:K01129	hie:R2846_0819
ko:K04047	hie:R2846_0826
ko:K15257	hie:R2846_0828
ko:K01586	hie:R2846_1598
ko:K07685	hie:R2846_1599
ko:K09894	hie:R2846_1601
ko:K03799	hie:R2846_1610
ko:K04754	hie:R2846_1612
ko:K02601	hie:R2846_1613
ko:K03073	hie:R2846_1614
ko:K03544	hie:R2846_1615
ko:K01358	hie:R2846_1616
ko:K03545	hie:R2846_1617
ko:K03833	hie:R2846_1621
ko:K01042	hie:R2846_1622
ko:K03555	hie:R2846_1624
ko:K06194	hie:R2846_1625
ko:K03787	hie:R2846_1628
ko:K06176	hie:R2846_1629
ko:K09893	hie:R2846_1630
ko:K03775	hie:R2846_1631
ko:K07278	hie:R2846_1632
ko:K09800	hie:R2846_1633
ko:K01524	hie:R2846_1634
ko:K06181	hie:R2846_1635
ko:K00053	hie:R2846_1637
ko:K02521	hie:R2846_1638
ko:K05786	hie:R2846_1639
ko:K00989	hie:R2846_0311
ko:K00762	hie:R2846_0312
ko:K05801	hie:R2846_0313
ko:K05541	hie:R2846_0314
ko:K02439	hie:R2846_1640
ko:K01803	hie:R2846_1641
ko:K03733	hie:R2846_1643
ko:K00864	hie:R2846_1646
ko:K02440	hie:R2846_1647
ko:K01126	hie:R2846_1648
ko:K03089	hie:R2846_0315
ko:K00075	hie:R2846_0317
ko:K07674	hie:R2846_0318
ko:K08591	hie:R2846_0319
ko:K01633	hie:R2846_0320
ko:K11211	hie:R2846_0325
ko:K05809	hie:R2846_0329
ko:K07287	hie:R2846_0330
ko:K01714	hie:R2846_0331
ko:K03564	hie:R2846_0332
ko:K03561	hie:R2846_0333
ko:K03832	hie:R2846_0335
ko:K03701	hie:R2846_0354
ko:K07568	hie:R2846_0357
ko:K00773	hie:R2846_0358
ko:K03210	hie:R2846_0361
ko:K07320	hie:R2846_1143
ko:K13634	hie:R2846_1144
ko:K06178	hie:R2846_1145
ko:K01903	hie:R2846_1148
ko:K06968	hie:R2846_1149
ko:K00826	hie:R2846_1151
ko:K06920	hie:R2846_1153
ko:K01737	hie:R2846_1154
ko:K03657	hie:R2846_1156
ko:K12369	hie:R2846_1157
ko:K12370	hie:R2846_1158
ko:K12371	hie:R2846_1159
ko:K12372	hie:R2846_1160
ko:K03271	hie:R2846_1162
ko:K09997	hie:R2846_1164
ko:K09999	hie:R2846_1165
ko:K02742	hie:R2846_1169
ko:K00789	hie:R2846_1170
ko:K01665	hie:R2846_1172
ko:K09802	hie:R2846_1174
ko:K00831	hie:R2846_1175
ko:K00817	hie:R2846_1176
ko:K07390	hie:R2846_1177
ko:K01772	hie:R2846_1181
ko:K05838	hie:R2846_1182
ko:K00384	hie:R2846_1183
ko:K06956	hie:R2846_1188
ko:K00760	hie:R2846_1189
ko:K03592	hie:R2846_1190
ko:K09889	hie:R2846_1191
ko:K11719	hie:R2846_1192
ko:K13288	hie:R2846_0676
ko:K06949	hie:R2846_0677
ko:K02168	hie:R2846_0685
ko:K01255	hie:R2846_0686
ko:K07091	hie:R2846_0687
ko:K11720	hie:R2846_0688
ko:K00549	hie:R2846_0689
ko:K07270	hie:R2846_0694
ko:K02019	hie:R2846_0697
ko:K02020	hie:R2846_0698
ko:K02018	hie:R2846_0699
ko:K03308	hie:R2846_0701
ko:K10773	hie:R2846_0702
ko:K03270	hie:R2846_0715
ko:K06041	hie:R2846_0716
ko:K07322	hie:R2846_0718
ko:K03639	hie:R2846_0719
ko:K03637	hie:R2846_0720
ko:K03636	hie:R2846_0721
ko:K03808	hie:R2846_0724
ko:K03814	hie:R2846_1496
ko:K03720	hie:R2846_1497
ko:K08309	hie:R2846_1498
ko:K09780	hie:R2846_1499
ko:K10806	hie:R2846_1500
ko:K06190	hie:R2846_1501
ko:K10542	hie:R2846_1504
ko:K02529	hie:R2846_1506
ko:K00965	hie:R2846_1507
ko:K00849	hie:R2846_1508
ko:K09895	hie:R2846_1510
ko:K01872	hie:R2846_1513
ko:K03563	hie:R2846_1514
ko:K00963	hie:R2846_1515
ko:K01755	hie:R2846_1516
ko:K04083	hie:R2846_1517
ko:K01610	hie:R2846_1518
ko:K02838	hie:R2846_1519
ko:K00099	hie:R2846_1520
ko:K07090	hie:R2846_1521
ko:K06871	hie:R2846_1522
ko:K02879	hie:R2846_1524
ko:K03040	hie:R2846_1525
ko:K02986	hie:R2846_1526
ko:K02948	hie:R2846_1527
ko:K02952	hie:R2846_1528
ko:K02919	hie:R2846_1529
ko:K03076	hie:R2846_1530
ko:K02876	hie:R2846_1531
ko:K02907	hie:R2846_1532
ko:K02988	hie:R2846_1533
ko:K02881	hie:R2846_1534
ko:K02933	hie:R2846_1535
ko:K02994	hie:R2846_1536
ko:K02954	hie:R2846_1537
ko:K02931	hie:R2846_1538
ko:K02895	hie:R2846_1539
ko:K02874	hie:R2846_1540
ko:K02961	hie:R2846_1542
ko:K02904	hie:R2846_1543
ko:K02878	hie:R2846_1544
ko:K02982	hie:R2846_1545
ko:K02890	hie:R2846_1546
ko:K02965	hie:R2846_1547
ko:K03687	hie:R2846_0574
ko:K00858	hie:R2846_0575
ko:K03631	hie:R2846_0576
ko:K00982	hie:R2846_0577
ko:K00791	hie:R2846_0578
ko:K03572	hie:R2846_0579
ko:K01448	hie:R2846_0580
ko:K06925	hie:R2846_0581
ko:K00950	hie:R2846_0582
ko:K06204	hie:R2846_0584
ko:K00912	hie:R2846_0587
ko:K00979	hie:R2846_0588
ko:K03703	hie:R2846_0589
ko:K01686	hie:R2846_0591
ko:K00874	hie:R2846_0597
ko:K01625	hie:R2846_0599
ko:K06193	hie:R2846_0600
ko:K07109	hie:R2846_0601
ko:K08990	hie:R2846_0604
ko:K01142	hie:R2846_0606
ko:K03571	hie:R2846_0608
ko:K03570	hie:R2846_0609
ko:K03569	hie:R2846_0610
ko:K02471	hie:R2846_0611
ko:K07085	hie:R2846_0612
ko:K18828	hie:R2846_1362
ko:K09710	hie:R2846_0613
ko:K00783	hie:R2846_0614
ko:K05515	hie:R2846_0615
ko:K05837	hie:R2846_0616
ko:K03642	hie:R2846_0617
ko:K09158	hie:R2846_0619
ko:K03801	hie:R2846_0620
ko:K03644	hie:R2846_0621
ko:K01910	hie:R2846_0622
ko:K03643	hie:R2846_1395
ko:K01869	hie:R2846_1396
ko:K00806	hie:R2846_1397
ko:K00981	hie:R2846_1398
ko:K11749	hie:R2846_1399
ko:K07277	hie:R2846_1400
ko:K06142	hie:R2846_1401
ko:K02536	hie:R2846_1402
ko:K02357	hie:R2846_1403
ko:K02967	hie:R2846_1404
ko:K03070	hie:R2846_1408
ko:K11991	hie:R2846_1411
ko:K13292	hie:R2846_1413
ko:K08311	hie:R2846_1415
ko:K00931	hie:R2846_1416
ko:K03543	hie:R2846_1418
ko:K03446	hie:R2846_1419
ko:K03591	hie:R2846_1420
ko:K03732	hie:R2846_1424
ko:K09862	hie:R2846_1425
ko:K00859	hie:R2846_1426
ko:K00600	hie:R2846_1427
ko:K01945	hie:R2846_1429
ko:K00602	hie:R2846_1430
ko:K15977	hie:R2846_1431
ko:K04084	hie:R2846_1432
ko:K07773	hie:R2846_1433
ko:K03310	hie:R2846_1434
ko:K09765	hie:R2846_1435
ko:K02523	hie:R2846_1436
ko:K02888	hie:R2846_1437
ko:K02899	hie:R2846_1438
ko:K03979	hie:R2846_1440
ko:K00940	hie:R2846_1441
ko:K07751	hie:R2846_1442
ko:K02115	hie:R2846_0100
ko:K02112	hie:R2846_0101
ko:K02114	hie:R2846_0102
ko:K03834	hie:R2846_0103
ko:K11755	hie:R2846_0104
ko:K02500	hie:R2846_0105
ko:K01814	hie:R2846_0106
ko:K02501	hie:R2846_0107
ko:K01089	hie:R2846_0108
ko:K00817	hie:R2846_0109
ko:K00013	hie:R2846_0110
ko:K00765	hie:R2846_0111
ko:K06980	hie:R2846_0113
ko:K01807	hie:R2846_0115
ko:K01338	hie:R2846_0117
ko:K09824	hie:R2846_0118
ko:K02825	hie:R2846_0120
ko:K03771	hie:R2846_0121
ko:K07082	hie:R2846_0122
ko:K00943	hie:R2846_0123
ko:K02341	hie:R2846_0124
ko:K03424	hie:R2846_0125
ko:K02768	hie:R2846_0131
ko:K11183	hie:R2846_0131
ko:K02769	hie:R2846_0133
ko:K02770	hie:R2846_0133
ko:K03075	hie:R2846_0135
ko:K06187	hie:R2846_0137
ko:K09747	hie:R2846_0138
ko:K07115	hie:R2846_0139
ko:K05366	hie:R2846_0140
ko:K02507	hie:R2846_0145
ko:K07400	hie:R2846_0147
ko:K03426	hie:R2846_0148
ko:K09891	hie:R2846_0149
ko:K08296	hie:R2846_0939
ko:K03431	hie:R2846_0940
ko:K00796	hie:R2846_0941
ko:K03798	hie:R2846_0942
ko:K07574	hie:R2846_0944
ko:K03624	hie:R2846_0945
ko:K07259	hie:R2846_0946
ko:K02956	hie:R2846_0947
ko:K01716	hie:R2846_0950
ko:K04770	hie:R2846_0951
ko:K09911	hie:R2846_0952
ko:K03581	hie:R2846_0953
ko:K03582	hie:R2846_0954
ko:K02887	hie:R2846_0955
ko:K02916	hie:R2846_0956
ko:K02520	hie:R2846_0957
ko:K01792	hie:R2846_0958
ko:K12410	hie:R2846_0968
ko:K04764	hie:R2846_0972
ko:K01890	hie:R2846_0973
ko:K01889	hie:R2846_0974
ko:K11107	hie:R2846_0976
ko:K00215	hie:R2846_0977
ko:K01095	hie:R2846_0979
ko:K00946	hie:R2846_0980
ko:K03625	hie:R2846_0981
ko:K00794	hie:R2846_0982
ko:K01893	hie:R2846_0983
ko:K01673	hie:R2846_0984
ko:K00351	hie:R2846_0468
ko:K00350	hie:R2846_0469
ko:K00349	hie:R2846_0470
ko:K00348	hie:R2846_0471
ko:K00347	hie:R2846_0472
ko:K00346	hie:R2846_0473
ko:K05527	hie:R2846_0474
ko:K07286	hie:R2846_0475
ko:K01613	hie:R2846_0477
ko:K07040	hie:R2846_0478
ko:K02911	hie:R2846_0479
ko:K00648	hie:R2846_0480
ko:K00645	hie:R2846_0481
ko:K02078	hie:R2846_0483
ko:K06133	hie:R2846_0485
ko:K04088	hie:R2846_0486
ko:K04087	hie:R2846_0487
ko:K00885	hie:R2846_0493
ko:K01443	hie:R2846_0497
ko:K03977	hie:R2846_0503
ko:K08159	hie:R2846_0504
ko:K01494	hie:R2846_0506
ko:K00876	hie:R2846_0507
ko:K06901	hie:R2846_0508
ko:K00995	hie:R2846_0513
ko:K02558	hie:R2846_0515
ko:K07133	hie:R2846_1294
ko:K02221	hie:R2846_1296
ko:K03284	hie:R2846_1297
ko:K09767	hie:R2846_1298
ko:K01079	hie:R2846_1299
ko:K00615	hie:R2846_1300
ko:K01012	hie:R2846_1301
ko:K02063	hie:R2846_1303
ko:K02064	hie:R2846_1304
ko:K02237	hie:R2846_1305
ko:K03527	hie:R2846_1306
ko:K03101	hie:R2846_1307
ko:K03770	hie:R2846_1309
ko:K03650	hie:R2846_1310
ko:K03217	hie:R2846_1311
ko:K08998	hie:R2846_1312
ko:K03536	hie:R2846_1313
ko:K02914	hie:R2846_1314
ko:K02313	hie:R2846_1318
ko:K02338	hie:R2846_1319
ko:K03629	hie:R2846_1320
ko:K01704	hie:R2846_1322
ko:K01703	hie:R2846_1323
ko:K00052	hie:R2846_1324
ko:K01649	hie:R2846_1325
ko:K04096	hie:R2846_1326
ko:K09861	hie:R2846_1327
ko:K00850	hie:R2846_1329
ko:K03664	hie:R2846_1330
ko:K03557	hie:R2846_1331
ko:K02687	hie:R2846_1333
ko:K04095	hie:R2846_1334
ko:K14392	hie:R2846_1336
ko:K01961	hie:R2846_1338
ko:K02160	hie:R2846_1339
ko:K03786	hie:R2846_1340
ko:K01661	hie:R2846_1342
ko:K08301	hie:R2846_0830
ko:K01886	hie:R2846_0833
ko:K09160	hie:R2846_0834
ko:K00705	hie:R2846_0835
ko:K00975	hie:R2846_0838
ko:K00703	hie:R2846_0839
ko:K00688	hie:R2846_0840
ko:K00324	hie:R2846_0841
ko:K00325	hie:R2846_0842
ko:K03168	hie:R2846_0844
ko:K01118	hie:R2846_0845
ko:K01868	hie:R2846_0846
ko:K14058	hie:R2846_0851
ko:K03633	hie:R2846_0852
ko:K03804	hie:R2846_0853
ko:K03632	hie:R2846_0854
ko:K01141	hie:R2846_0857
ko:K07636	hie:R2846_0858
ko:K02036	hie:R2846_0860
ko:K02038	hie:R2846_0861
ko:K02037	hie:R2846_0862
ko:K02040	hie:R2846_0863
ko:K02217	hie:R2846_0864
ko:K02217	hie:R2846_0865
ko:K01657	hie:R2846_0867
ko:K00766	hie:R2846_0870
ko:K13498	hie:R2846_0871
ko:K04653	hie:R2846_0872
ko:K01873	hie:R2846_0873
ko:K09900	hie:R2846_0875
ko:K02339	hie:R2846_0878
ko:K02445	hie:R2846_1651
ko:K00111	hie:R2846_1652
ko:K00112	hie:R2846_1653
ko:K00113	hie:R2846_1654
ko:K02013	hie:R2846_1655
ko:K02016	hie:R2846_1656
ko:K02015	hie:R2846_1657
ko:K05589	hie:R2846_1661
ko:K00991	hie:R2846_1662
ko:K01770	hie:R2846_1663
ko:K07560	hie:R2846_1664
ko:K06205	hie:R2846_1665
ko:K09892	hie:R2846_1666
ko:K07154	hie:R2846_1669
ko:K07154	hie:R2846_1670
ko:K06158	hie:R2846_1676
ko:K07479	hie:R2846_1677
ko:K07566	hie:R2846_1678
ko:K00014	hie:R2846_1679
ko:K01246	hie:R2846_1681
ko:K02527	hie:R2846_1683
ko:K00954	hie:R2846_1684
ko:K03656	hie:R2846_1686
ko:K03923	hie:R2846_1688
ko:K07507	hie:R2846_1689
ko:K00133	hie:R2846_1690
ko:K07821	hie:R2846_1692
ko:K04042	hie:R2846_1698
ko:K02935	hie:R2846_1699
ko:K02864	hie:R2846_1700
ko:K03072	hie:R2846_0362
ko:K03074	hie:R2846_0363
ko:K09890	hie:R2846_0366
ko:K05592	hie:R2846_0369
ko:K05803	hie:R2846_0370
ko:K00962	hie:R2846_0371
ko:K03311	hie:R2846_0374
ko:K03313	hie:R2846_0375
ko:K05786	hie:R2846_0377
ko:K01951	hie:R2846_0378
ko:K03524	hie:R2846_0380
ko:K13256	hie:R2846_0387
ko:K02498	hie:R2846_0388
ko:K02496	hie:R2846_0389
ko:K05851	hie:R2846_0390
ko:K00057	hie:R2846_0391
ko:K00640	hie:R2846_0392
ko:K00014	hie:R2846_0393
ko:K14445	hie:R2846_0394
ko:K01491	hie:R2846_0395
ko:K01628	hie:R2846_0399
ko:K02431	hie:R2846_0400
ko:K01818	hie:R2846_0402
ko:K02430	hie:R2846_0403
ko:K03580	hie:R2846_0404
ko:K02444	hie:R2846_0407
ko:K02073	hie:R2846_0408
ko:K02072	hie:R2846_0409
ko:K02071	hie:R2846_0410
ko:K03273	hie:R2846_0411
ko:K09774	hie:R2846_1193
ko:K06861	hie:R2846_1194
ko:K06958	hie:R2846_1196
ko:K14170	hie:R2846_1197
ko:K02535	hie:R2846_1198
ko:K03531	hie:R2846_1199
ko:K03590	hie:R2846_1200
ko:K03589	hie:R2846_1201
ko:K01921	hie:R2846_1202
ko:K01924	hie:R2846_1203
ko:K02563	hie:R2846_1204
ko:K03588	hie:R2846_1205
ko:K01925	hie:R2846_1206
ko:K01000	hie:R2846_1207
ko:K01929	hie:R2846_1208
