ko:K10026	sic:SiL_1387
ko:K15342	sic:SiL_0612
ko:K06915	sic:SiL_0616
ko:K09140	sic:SiL_1454
ko:K00927	sic:SiL_1457
ko:K00600	sic:SiL_1460
ko:K00021	sic:SiL_1461
ko:K01611	sic:SiL_1465
ko:K06139	sic:SiL_1473
ko:K01869	sic:SiL_1492
ko:K00286	sic:SiL_1502
ko:K01733	sic:SiL_1504
ko:K02036	sic:SiL_1505
ko:K01997	sic:SiL_2310
ko:K01998	sic:SiL_2311
ko:K00123	sic:SiL_2323
ko:K02379	sic:SiL_2325
ko:K00313	sic:SiL_2328
ko:K00175	sic:SiL_2330
ko:K00174	sic:SiL_2331
ko:K01595	sic:SiL_0068
ko:K01849	sic:SiL_0075
ko:K07090	sic:SiL_0081
ko:K01714	sic:SiL_0083
ko:K01883	sic:SiL_0090
ko:K15916	sic:SiL_0091
ko:K06915	sic:SiL_0095
ko:K01142	sic:SiL_0100
ko:K07107	sic:SiL_0104
ko:K02189	sic:SiL_0106
ko:K05936	sic:SiL_0107
ko:K03394	sic:SiL_0108
ko:K02191	sic:SiL_0109
ko:K02188	sic:SiL_0110
ko:K06042	sic:SiL_0112
ko:K07333	sic:SiL_0117
ko:K03609	sic:SiL_0122
ko:K03390	sic:SiL_0977
ko:K03388	sic:SiL_0979
ko:K03390	sic:SiL_0981
ko:K00382	sic:SiL_0985
ko:K01012	sic:SiL_0992
ko:K09711	sic:SiL_0994
ko:K03800	sic:SiL_0995
ko:K06929	sic:SiL_0996
ko:K01681	sic:SiL_1014
ko:K15566	sic:SiL_1021
ko:K01040	sic:SiL_1023
ko:K03105	sic:SiL_1828
ko:K02995	sic:SiL_1829
ko:K15888	sic:SiL_1830
ko:K15372	sic:SiL_0646
ko:K07402	sic:SiL_0648
ko:K01273	sic:SiL_0674
ko:K06153	sic:SiL_0679
ko:K03799	sic:SiL_0680
ko:K02013	sic:SiL_1506
ko:K02015	sic:SiL_1507
ko:K02016	sic:SiL_1508
ko:K03118	sic:SiL_1509
ko:K03116	sic:SiL_1510
ko:K03116	sic:SiL_1511
ko:K07739	sic:SiL_1513
ko:K09744	sic:SiL_1517
ko:K06915	sic:SiL_1523
ko:K01867	sic:SiL_1540
ko:K00817	sic:SiL_1545
ko:K03124	sic:SiL_1547
ko:K03113	sic:SiL_1548
ko:K01880	sic:SiL_1550
ko:K01170	sic:SiL_1554
ko:K03186	sic:SiL_1556
ko:K07133	sic:SiL_2372
ko:K00313	sic:SiL_2382
ko:K00384	sic:SiL_2392
ko:K03521	sic:SiL_2394
ko:K03522	sic:SiL_2395
ko:K00172	sic:SiL_2400
ko:K00171	sic:SiL_2401
ko:K00169	sic:SiL_2402
ko:K00170	sic:SiL_2403
ko:K05831	sic:SiL_1831
ko:K05827	sic:SiL_1833
ko:K05826	sic:SiL_1834
ko:K05828	sic:SiL_1836
ko:K05829	sic:SiL_1837
ko:K06915	sic:SiL_1839
ko:K08094	sic:SiL_1840
ko:K01649	sic:SiL_1852
ko:K03179	sic:SiL_1853
ko:K03500	sic:SiL_1857
ko:K10773	sic:SiL_1864
ko:K03724	sic:SiL_1867
ko:K14228	sic:SiL_t0001
ko:K14218	sic:SiL_t0002
ko:K14218	sic:SiL_t0032
ko:K14218	sic:SiL_t0026
ko:K01980	sic:SiL_r0001
ko:K11645	sic:SiL_1991
ko:K16937	sic:SiL_0683
ko:K03183	sic:SiL_0690
ko:K08980	sic:SiL_0693
ko:K02616	sic:SiL_0703
ko:K16640	sic:SiL_0707
ko:K16786	sic:SiL_0714
ko:K16787	sic:SiL_0714
ko:K16785	sic:SiL_0715
ko:K05592	sic:SiL_0719
ko:K01895	sic:SiL_0724
ko:K00261	sic:SiL_0727
ko:K02974	sic:SiL_1559
ko:K02977	sic:SiL_1560
ko:K02975	sic:SiL_1571
ko:K03170	sic:SiL_1573
ko:K13525	sic:SiL_1574
ko:K09735	sic:SiL_1576
ko:K03050	sic:SiL_1577
ko:K03049	sic:SiL_1578
ko:K07158	sic:SiL_1579
ko:K02991	sic:SiL_1581
ko:K02956	sic:SiL_1583
ko:K00549	sic:SiL_1584
ko:K00549	sic:SiL_1585
ko:K02224	sic:SiL_1587
ko:K00793	sic:SiL_1590
ko:K00794	sic:SiL_1591
ko:K06915	sic:SiL_1596
ko:K03724	sic:SiL_1597
ko:K02875	sic:SiL_1598
ko:K06957	sic:SiL_1602
ko:K07731	sic:SiL_1607
ko:K14534	sic:SiL_2419
ko:K00836	sic:SiL_2429
ko:K06016	sic:SiL_2432
ko:K06940	sic:SiL_2440
ko:K15977	sic:SiL_2443
ko:K06137	sic:SiL_2453
ko:K03799	sic:SiL_2458
ko:K06920	sic:SiL_2472
ko:K03265	sic:SiL_0129
ko:K07101	sic:SiL_0130
ko:K13051	sic:SiL_0138
ko:K08979	sic:SiL_0143
ko:K00239	sic:SiL_0146
ko:K00240	sic:SiL_0147
ko:K03924	sic:SiL_0151
ko:K03750	sic:SiL_0154
ko:K00872	sic:SiL_0157
ko:K06961	sic:SiL_0163
ko:K07178	sic:SiL_0164
ko:K03238	sic:SiL_0168
ko:K09148	sic:SiL_0169
ko:K07562	sic:SiL_0170
ko:K03470	sic:SiL_0171
ko:K07333	sic:SiL_0173
ko:K07332	sic:SiL_0174
ko:K07023	sic:SiL_0177
ko:K02003	sic:SiL_1028
ko:K05520	sic:SiL_1034
ko:K02019	sic:SiL_1035
ko:K01589	sic:SiL_1036
ko:K01588	sic:SiL_1037
ko:K02437	sic:SiL_1041
ko:K03320	sic:SiL_1047
ko:K03237	sic:SiL_1052
ko:K02978	sic:SiL_1053
ko:K02929	sic:SiL_1054
ko:K02683	sic:SiL_1056
ko:K00948	sic:SiL_1059
ko:K07446	sic:SiL_1060
ko:K09736	sic:SiL_1062
ko:K01975	sic:SiL_1064
ko:K07558	sic:SiL_1065
ko:K07176	sic:SiL_1066
ko:K15495	sic:SiL_1072
ko:K07124	sic:SiL_1073
ko:K00123	sic:SiL_1074
ko:K03424	sic:SiL_1075
ko:K05825	sic:SiL_1873
ko:K01890	sic:SiL_1876
ko:K01889	sic:SiL_1877
ko:K01265	sic:SiL_1879
ko:K06885	sic:SiL_1882
ko:K02936	sic:SiL_1885
ko:K04567	sic:SiL_1886
ko:K07073	sic:SiL_1888
ko:K06965	sic:SiL_1891
ko:K03789	sic:SiL_1892
ko:K01866	sic:SiL_1895
ko:K02952	sic:SiL_1898
ko:K02986	sic:SiL_1899
ko:K02948	sic:SiL_1900
ko:K03047	sic:SiL_1901
ko:K02883	sic:SiL_1902
ko:K02871	sic:SiL_1903
ko:K02996	sic:SiL_1904
ko:K03058	sic:SiL_1905
ko:K02967	sic:SiL_1906
ko:K06981	sic:SiL_1909
ko:K01001	sic:SiL_1912
ko:K03424	sic:SiL_1924
ko:K01895	sic:SiL_0747
ko:K06982	sic:SiL_0182
ko:K09722	sic:SiL_0183
ko:K00606	sic:SiL_0184
ko:K01649	sic:SiL_0192
ko:K07142	sic:SiL_0193
ko:K01737	sic:SiL_0198
ko:K00384	sic:SiL_0201
ko:K07101	sic:SiL_0207
ko:K05606	sic:SiL_0209
ko:K13993	sic:SiL_0210
ko:K06874	sic:SiL_0211
ko:K03231	sic:SiL_0212
ko:K07141	sic:SiL_0215
ko:K15429	sic:SiL_0223
ko:K01915	sic:SiL_0224
ko:K02873	sic:SiL_0226
ko:K07472	sic:SiL_0231
ko:K01951	sic:SiL_0232
ko:K05982	sic:SiL_0235
ko:K12140	sic:SiL_1078
ko:K12141	sic:SiL_1079
ko:K07241	sic:SiL_1085
ko:K00278	sic:SiL_1088
ko:K00767	sic:SiL_1089
ko:K00703	sic:SiL_1097
ko:K00873	sic:SiL_1102
ko:K01807	sic:SiL_1104
ko:K01649	sic:SiL_1105
ko:K09903	sic:SiL_1107
ko:K03106	sic:SiL_1112
ko:K03263	sic:SiL_1113
ko:K03166	sic:SiL_1114
ko:K00179	sic:SiL_0754
ko:K00180	sic:SiL_0755
ko:K01895	sic:SiL_0756
ko:K03564	sic:SiL_0757
ko:K00261	sic:SiL_0765
ko:K00053	sic:SiL_0768
ko:K03147	sic:SiL_0769
ko:K07133	sic:SiL_0785
ko:K09000	sic:SiL_0791
ko:K00820	sic:SiL_1612
ko:K00973	sic:SiL_1613
ko:K00798	sic:SiL_1616
ko:K03500	sic:SiL_1621
ko:K03671	sic:SiL_1624
ko:K01915	sic:SiL_1626
ko:K01495	sic:SiL_1628
ko:K03639	sic:SiL_1630
ko:K01738	sic:SiL_1633
ko:K09157	sic:SiL_1636
ko:K00763	sic:SiL_1638
ko:K02966	sic:SiL_1639
ko:K06875	sic:SiL_1640
ko:K02910	sic:SiL_1642
ko:K03264	sic:SiL_1643
ko:K02944	sic:SiL_1644
ko:K04797	sic:SiL_1645
ko:K03110	sic:SiL_1646
ko:K02601	sic:SiL_1648
ko:K02867	sic:SiL_1649
ko:K02863	sic:SiL_1650
ko:K02864	sic:SiL_1651
ko:K02869	sic:SiL_1652
ko:K01872	sic:SiL_1653
ko:K03151	sic:SiL_1659
ko:K01858	sic:SiL_1660
ko:K00343	sic:SiL_1661
ko:K00340	sic:SiL_1663
ko:K00339	sic:SiL_1664
ko:K01443	sic:SiL_2482
ko:K02034	sic:SiL_2485
ko:K01684	sic:SiL_2491
ko:K02826	sic:SiL_2497
ko:K02827	sic:SiL_2498
ko:K00113	sic:SiL_2510
ko:K01912	sic:SiL_2526
ko:K03167	sic:SiL_1115
ko:K00809	sic:SiL_1116
ko:K14415	sic:SiL_1117
ko:K03724	sic:SiL_1119
ko:K03170	sic:SiL_1121
ko:K03622	sic:SiL_1122
ko:K02435	sic:SiL_1128
ko:K04768	sic:SiL_1941
ko:K08289	sic:SiL_1942
ko:K03638	sic:SiL_1949
ko:K06920	sic:SiL_1954
ko:K07090	sic:SiL_1955
ko:K07022	sic:SiL_1970
ko:K15764	sic:SiL_0415
ko:K01652	sic:SiL_0417
ko:K06911	sic:SiL_0422
ko:K00688	sic:SiL_0428
ko:K02034	sic:SiL_0442
ko:K02034	sic:SiL_0449
ko:K02961	sic:SiL_1287
ko:K02874	sic:SiL_1288
ko:K02895	sic:SiL_1289
ko:K02987	sic:SiL_1290
ko:K02931	sic:SiL_1291
ko:K02954	sic:SiL_1292
ko:K02994	sic:SiL_1293
ko:K02933	sic:SiL_1294
ko:K02912	sic:SiL_1295
ko:K02885	sic:SiL_1296
ko:K02881	sic:SiL_1297
ko:K02988	sic:SiL_1298
ko:K02907	sic:SiL_1299
ko:K02876	sic:SiL_1300
ko:K03076	sic:SiL_1301
ko:K02915	sic:SiL_1304
ko:K00945	sic:SiL_1305
ko:K06974	sic:SiL_1309
ko:K09384	sic:SiL_1329
ko:K03752	sic:SiL_1339
ko:K03750	sic:SiL_1340
ko:K03753	sic:SiL_1341
ko:K02034	sic:SiL_2151
ko:K02034	sic:SiL_2161
ko:K01195	sic:SiL_2168
ko:K01714	sic:SiL_2169
ko:K05349	sic:SiL_2171
ko:K01811	sic:SiL_2184
ko:K03924	sic:SiL_0830
ko:K01790	sic:SiL_0832
ko:K00338	sic:SiL_1665
ko:K00337	sic:SiL_1666
ko:K00333	sic:SiL_1667
ko:K00332	sic:SiL_1668
ko:K00330	sic:SiL_1669
ko:K04564	sic:SiL_1675
ko:K03785	sic:SiL_1682
ko:K00800	sic:SiL_1683
ko:K00891	sic:SiL_1684
ko:K01736	sic:SiL_1685
ko:K00014	sic:SiL_1686
ko:K01735	sic:SiL_1687
ko:K14187	sic:SiL_1689
ko:K00615	sic:SiL_1690
ko:K00615	sic:SiL_1691
ko:K02866	sic:SiL_1696
ko:K07561	sic:SiL_1697
ko:K07573	sic:SiL_1698
ko:K03056	sic:SiL_1699
ko:K03057	sic:SiL_1700
ko:K03057	sic:SiL_1701
ko:K06174	sic:SiL_1704
ko:K01622	sic:SiL_1705
ko:K02962	sic:SiL_1706
ko:K06915	sic:SiL_1709
ko:K01170	sic:SiL_1712
ko:K01892	sic:SiL_1713
ko:K03433	sic:SiL_1714
ko:K03052	sic:SiL_1715
ko:K02034	sic:SiL_2537
ko:K13057	sic:SiL_2546
ko:K00573	sic:SiL_2556
ko:K03707	sic:SiL_2557
ko:K01803	sic:SiL_2564
ko:K09147	sic:SiL_2565
ko:K01647	sic:SiL_2567
ko:K01720	sic:SiL_2570
ko:K00024	sic:SiL_2571
ko:K06206	sic:SiL_2582
ko:K09003	sic:SiL_0239
ko:K01704	sic:SiL_0250
ko:K01703	sic:SiL_0251
ko:K01669	sic:SiL_0252
ko:K12410	sic:SiL_0259
ko:K01902	sic:SiL_0265
ko:K01903	sic:SiL_0266
ko:K01868	sic:SiL_0269
ko:K07732	sic:SiL_1131
ko:K14656	sic:SiL_1132
ko:K06953	sic:SiL_1134
ko:K03120	sic:SiL_1135
ko:K08975	sic:SiL_1138
ko:K03124	sic:SiL_1141
ko:K00555	sic:SiL_1143
ko:K07728	sic:SiL_1144
ko:K09737	sic:SiL_1145
ko:K04795	sic:SiL_1146
ko:K14564	sic:SiL_1147
ko:K02983	sic:SiL_1148
ko:K09482	sic:SiL_1149
ko:K03330	sic:SiL_1150
ko:K09014	sic:SiL_1155
ko:K09013	sic:SiL_1156
ko:K06869	sic:SiL_1159
ko:K02437	sic:SiL_1160
ko:K00605	sic:SiL_1161
ko:K00282	sic:SiL_1162
ko:K00283	sic:SiL_1163
ko:K01689	sic:SiL_1167
ko:K03168	sic:SiL_1172
ko:K03055	sic:SiL_1173
ko:K03653	sic:SiL_1176
ko:K02227	sic:SiL_1984
ko:K02233	sic:SiL_1985
ko:K02232	sic:SiL_1986
ko:K01951	sic:SiL_1987
ko:K03799	sic:SiL_1988
ko:K06957	sic:SiL_1999
ko:K00823	sic:SiL_2002
ko:K01652	sic:SiL_2003
ko:K03281	sic:SiL_2011
ko:K07301	sic:SiL_2018
ko:K00820	sic:SiL_0456
ko:K06966	sic:SiL_0460
ko:K16845	sic:SiL_0462
ko:K16846	sic:SiL_0463
ko:K07241	sic:SiL_0468
ko:K01644	sic:SiL_0470
ko:K00373	sic:SiL_0477
ko:K00371	sic:SiL_0478
ko:K00370	sic:SiL_0479
ko:K02575	sic:SiL_0480
ko:K00688	sic:SiL_0484
ko:K07133	sic:SiL_0494
ko:K00331	sic:SiL_1350
ko:K07566	sic:SiL_1351
ko:K03524	sic:SiL_1352
ko:K03592	sic:SiL_1354
ko:K03568	sic:SiL_1355
ko:K07722	sic:SiL_1356
ko:K00003	sic:SiL_1358
ko:K04069	sic:SiL_1362
ko:K09129	sic:SiL_1364
ko:K07477	sic:SiL_1370
ko:K01955	sic:SiL_1372
ko:K01956	sic:SiL_1373
ko:K01755	sic:SiL_1374
ko:K01940	sic:SiL_1375
ko:K01933	sic:SiL_1377
ko:K01945	sic:SiL_1378
ko:K00764	sic:SiL_1379
ko:K00764	sic:SiL_1380
ko:K01952	sic:SiL_1381
ko:K01952	sic:SiL_1382
ko:K01923	sic:SiL_1384
ko:K06878	sic:SiL_1385
ko:K06943	sic:SiL_1386
ko:K01591	sic:SiL_1394
ko:K00762	sic:SiL_1395
ko:K00609	sic:SiL_1396
ko:K00610	sic:SiL_1397
ko:K00074	sic:SiL_2207
ko:K02826	sic:SiL_2232
ko:K02034	sic:SiL_2242
ko:K01494	sic:SiL_2246
ko:K06871	sic:SiL_2250
ko:K10725	sic:SiL_0002
ko:K01790	sic:SiL_0865
ko:K00067	sic:SiL_0866
ko:K00973	sic:SiL_0867
ko:K01895	sic:SiL_0907
ko:K01638	sic:SiL_0910
ko:K06869	sic:SiL_1718
ko:K07398	sic:SiL_1719
ko:K03420	sic:SiL_1720
ko:K03627	sic:SiL_1721
ko:K03665	sic:SiL_1722
ko:K07254	sic:SiL_1723
ko:K06932	sic:SiL_1732
ko:K10725	sic:SiL_1733
ko:K09120	sic:SiL_1734
ko:K00952	sic:SiL_1735
ko:K05873	sic:SiL_1737
ko:K04483	sic:SiL_1740
ko:K01754	sic:SiL_1742
ko:K07137	sic:SiL_1745
ko:K01939	sic:SiL_1746
ko:K06863	sic:SiL_1747
ko:K06863	sic:SiL_1748
ko:K01756	sic:SiL_1749
ko:K00946	sic:SiL_1750
ko:K06937	sic:SiL_1751
ko:K02434	sic:SiL_1755
ko:K00761	sic:SiL_1756
ko:K02979	sic:SiL_1757
ko:K02896	sic:SiL_1758
ko:K00940	sic:SiL_1759
ko:K03243	sic:SiL_1760
ko:K03053	sic:SiL_1762
ko:K03041	sic:SiL_1764
ko:K03042	sic:SiL_1765
ko:K02908	sic:SiL_1766
ko:K02600	sic:SiL_1767
ko:K02950	sic:SiL_1768
ko:K04719	sic:SiL_2588
ko:K00382	sic:SiL_2589
ko:K01915	sic:SiL_2593
ko:K16640	sic:SiL_2597
ko:K01151	sic:SiL_2613
ko:K07743	sic:SiL_2617
ko:K00067	sic:SiL_2618
ko:K00031	sic:SiL_2641
ko:K00111	sic:SiL_0302
ko:K00170	sic:SiL_0323
ko:K00169	sic:SiL_0324
ko:K00171	sic:SiL_0325
ko:K08177	sic:SiL_0326
ko:K03303	sic:SiL_0327
ko:K01873	sic:SiL_1183
ko:K00812	sic:SiL_1184
ko:K01609	sic:SiL_1185
ko:K01657	sic:SiL_1187
ko:K01817	sic:SiL_1188
ko:K00766	sic:SiL_1189
ko:K01695	sic:SiL_1190
ko:K06001	sic:SiL_1191
ko:K01512	sic:SiL_1192
ko:K01858	sic:SiL_1193
ko:K03182	sic:SiL_1197
ko:K01733	sic:SiL_1198
ko:K00928	sic:SiL_1199
ko:K00133	sic:SiL_1200
ko:K00611	sic:SiL_1203
ko:K01887	sic:SiL_1215
ko:K09721	sic:SiL_1216
ko:K07143	sic:SiL_1217
ko:K00943	sic:SiL_1218
ko:K10725	sic:SiL_1228
ko:K03637	sic:SiL_1230
ko:K04800	sic:SiL_1231
ko:K03433	sic:SiL_1234
ko:K11473	sic:SiL_2059
ko:K03800	sic:SiL_2060
ko:K03644	sic:SiL_2061
ko:K03800	sic:SiL_2063
ko:K03809	sic:SiL_2064
ko:K08980	sic:SiL_2066
ko:K03885	sic:SiL_2068
ko:K08369	sic:SiL_2073
ko:K00782	sic:SiL_2085
ko:K06885	sic:SiL_2088
ko:K11529	sic:SiL_1349
ko:K14231	sic:SiL_t0017
ko:K14225	sic:SiL_t0018
ko:K14225	sic:SiL_t0025
ko:K14233	sic:SiL_t0042
ko:K17219	sic:SiL_0554
ko:K17104	sic:SiL_1728
ko:K01385	sic:SiL_0729
ko:K03784	sic:SiL_1472
ko:K02004	sic:SiL_0687
ko:K02503	sic:SiL_2620
ko:K07133	sic:SiL_0951
ko:K14221	sic:SiL_t0036
ko:K01985	sic:SiL_r0003
ko:K11395	sic:SiL_2015
ko:K05308	sic:SiL_2014
ko:K14227	sic:SiL_t0003
ko:K14237	sic:SiL_t0011
ko:K04479	sic:SiL_0229
ko:K17105	sic:SiL_1427
ko:K02031	sic:SiL_2538
ko:K17221	sic:SiL_0556
ko:K17220	sic:SiL_0555
ko:K03457	sic:SiL_0725
ko:K17218	sic:SiL_0071
ko:K17218	sic:SiL_2523
ko:K00096	sic:SiL_1240
ko:K01977	sic:SiL_r0002
ko:K14223	sic:SiL_t0006
ko:K14223	sic:SiL_t0023
ko:K14219	sic:SiL_t0008
ko:K14219	sic:SiL_t0030
ko:K14228	sic:SiL_t0009
ko:K14228	sic:SiL_t0015
ko:K14224	sic:SiL_t0010
ko:K14224	sic:SiL_t0021
ko:K14230	sic:SiL_t0014
ko:K14219	sic:SiL_t0019
ko:K14225	sic:SiL_t0022
ko:K14233	sic:SiL_t0024
ko:K14232	sic:SiL_t0027
ko:K14237	sic:SiL_t0031
ko:K14237	sic:SiL_t0040
ko:K14233	sic:SiL_t0034
ko:K14232	sic:SiL_t0044
ko:K14234	sic:SiL_t0045
ko:K10197	sic:SiL_2144
ko:K10198	sic:SiL_2304
ko:K01897	sic:SiL_2146
ko:K15020	sic:SiL_1236
ko:K01011	sic:SiL_1084
ko:K13722	sic:SiL_2611
ko:K14230	sic:SiL_t0020
ko:K02189	sic:SiL_1849
ko:K07333	sic:SiL_1860
ko:K15038	sic:SiL_0776
ko:K07332	sic:SiL_1859
ko:K15497	sic:SiL_1625
ko:K17285	sic:SiL_2297
ko:K14232	sic:SiL_t0004
ko:K14228	sic:SiL_t0005
ko:K14228	sic:SiL_t0016
ko:K14234	sic:SiL_t0007
ko:K14234	sic:SiL_t0033
ko:K14236	sic:SiL_t0012
ko:K14233	sic:SiL_t0013
ko:K14219	sic:SiL_t0028
ko:K14219	sic:SiL_t0029
ko:K14230	sic:SiL_t0035
ko:K14226	sic:SiL_t0037
ko:K14229	sic:SiL_t0038
ko:K14229	sic:SiL_t0039
ko:K14235	sic:SiL_t0041
ko:K14220	sic:SiL_t0043
ko:K14654	sic:SiL_0521
ko:K06994	sic:SiL_0539
ko:K05595	sic:SiL_1403
ko:K01496	sic:SiL_1410
ko:K01523	sic:SiL_1412
ko:K02124	sic:SiL_1440
ko:K02120	sic:SiL_1441
ko:K02118	sic:SiL_1442
ko:K02117	sic:SiL_1443
ko:K02121	sic:SiL_1444
ko:K02122	sic:SiL_1445
ko:K02123	sic:SiL_1446
ko:K01474	sic:SiL_2262
ko:K02303	sic:SiL_2270
ko:K01011	sic:SiL_2271
ko:K01607	sic:SiL_2278
ko:K00666	sic:SiL_2284
ko:K00626	sic:SiL_2285
ko:K00027	sic:SiL_2289
ko:K07034	sic:SiL_2294
ko:K01474	sic:SiL_0572
ko:K06610	sic:SiL_0581
ko:K01992	sic:SiL_0622
ko:K01990	sic:SiL_0623
ko:K06971	sic:SiL_0625
ko:K00150	sic:SiL_1458
ko:K01641	sic:SiL_1464
ko:K01470	sic:SiL_2314
ko:K03855	sic:SiL_2327
ko:K00666	sic:SiL_2336
ko:K01439	sic:SiL_0645
ko:K06994	sic:SiL_1526
ko:K03593	sic:SiL_1533
ko:K01934	sic:SiL_1536
ko:K01480	sic:SiL_1549
ko:K02428	sic:SiL_1563
ko:K07442	sic:SiL_1568
ko:K15635	sic:SiL_1575
ko:K03242	sic:SiL_1580
ko:K02858	sic:SiL_1589
ko:K08096	sic:SiL_1592
ko:K03177	sic:SiL_1599
ko:K11131	sic:SiL_1600
ko:K03626	sic:SiL_1608
ko:K01480	sic:SiL_2426
ko:K00772	sic:SiL_2446
ko:K09715	sic:SiL_2466
ko:K00626	sic:SiL_0749
ko:K00626	sic:SiL_0750
ko:K00869	sic:SiL_1611
ko:K04763	sic:SiL_1618
ko:K06984	sic:SiL_1622
ko:K02924	sic:SiL_1641
