ko:K00805	bcer:BCK_00805
ko:K02003	bcer:BCK_11455
ko:K07228	bcer:BCK_11470
ko:K01869	bcer:BCK_11485
ko:K00641	bcer:BCK_11525
ko:K03639	bcer:BCK_11555
ko:K03657	bcer:BCK_02220
ko:K00208	bcer:BCK_02255
ko:K00067	bcer:BCK_02260
ko:K01790	bcer:BCK_02270
ko:K00973	bcer:BCK_02275
ko:K06180	bcer:BCK_02335
ko:K00858	bcer:BCK_02340
ko:K06886	bcer:BCK_02360
ko:K08602	bcer:BCK_02375
ko:K06131	bcer:BCK_02385
ko:K16511	bcer:BCK_02390
ko:K15581	bcer:BCK_02435
ko:K15580	bcer:BCK_02440
ko:K01867	bcer:BCK_02450
ko:K05548	bcer:BCK_06060
ko:K07074	bcer:BCK_06075
ko:K02016	bcer:BCK_06140
ko:K02015	bcer:BCK_06145
ko:K02015	bcer:BCK_06150
ko:K01628	bcer:BCK_06155
ko:K03387	bcer:BCK_06180
ko:K14665	bcer:BCK_06195
ko:K03315	bcer:BCK_06200
ko:K07043	bcer:BCK_06220
ko:K03215	bcer:BCK_06245
ko:K01091	bcer:BCK_06290
ko:K02434	bcer:BCK_06300
ko:K02435	bcer:BCK_06310
ko:K07566	bcer:BCK_08725
ko:K15977	bcer:BCK_08755
ko:K07007	bcer:BCK_11640
ko:K01975	bcer:BCK_11665
ko:K03439	bcer:BCK_11685
ko:K06878	bcer:BCK_11720
ko:K03466	bcer:BCK_11730
ko:K00763	bcer:BCK_11735
ko:K01924	bcer:BCK_11740
ko:K03817	bcer:BCK_11765
ko:K02529	bcer:BCK_11810
ko:K03282	bcer:BCK_11835
ko:K04768	bcer:BCK_11855
ko:K04766	bcer:BCK_11865
ko:K01895	bcer:BCK_11870
ko:K03088	bcer:BCK_11885
ko:K01866	bcer:BCK_11895
ko:K09748	bcer:BCK_16165
ko:K02600	bcer:BCK_16170
ko:K07742	bcer:BCK_16175
ko:K02519	bcer:BCK_16185
ko:K02834	bcer:BCK_16195
ko:K11753	bcer:BCK_16205
ko:K02956	bcer:BCK_16210
ko:K00962	bcer:BCK_16215
ko:K06410	bcer:BCK_16235
ko:K06411	bcer:BCK_16240
ko:K00133	bcer:BCK_16245
ko:K00928	bcer:BCK_16250
ko:K01714	bcer:BCK_16255
ko:K03466	bcer:BCK_16275
ko:K03710	bcer:BCK_16280
ko:K07335	bcer:BCK_16285
ko:K02057	bcer:BCK_16295
ko:K02057	bcer:BCK_16300
ko:K00995	bcer:BCK_16335
ko:K09769	bcer:BCK_16355
ko:K06416	bcer:BCK_16360
ko:K01273	bcer:BCK_16365
ko:K00174	bcer:BCK_16370
ko:K00175	bcer:BCK_16375
ko:K06168	bcer:BCK_16380
ko:K06328	bcer:BCK_16390
ko:K03555	bcer:BCK_16395
ko:K03572	bcer:BCK_16400
ko:K01442	bcer:BCK_16405
ko:K07137	bcer:BCK_16425
ko:K01449	bcer:BCK_16430
ko:K01807	bcer:BCK_20925
ko:K03088	bcer:BCK_20935
ko:K01358	bcer:BCK_20940
ko:K02002	bcer:BCK_20945
ko:K02000	bcer:BCK_20950
ko:K02001	bcer:BCK_20955
ko:K00627	bcer:BCK_21030
ko:K00382	bcer:BCK_21035
ko:K01556	bcer:BCK_21105
ko:K07130	bcer:BCK_21110
ko:K00453	bcer:BCK_21115
ko:K01449	bcer:BCK_21135
ko:K03665	bcer:BCK_25430
ko:K00648	bcer:BCK_25440
ko:K01443	bcer:BCK_25480
ko:K01752	bcer:BCK_14505
ko:K01752	bcer:BCK_14510
ko:K00286	bcer:BCK_14515
ko:K07124	bcer:BCK_14525
ko:K00145	bcer:BCK_14535
ko:K00620	bcer:BCK_14540
ko:K00930	bcer:BCK_14545
ko:K00611	bcer:BCK_14555
ko:K03315	bcer:BCK_14585
ko:K00833	bcer:BCK_14595
ko:K01935	bcer:BCK_14600
ko:K02170	bcer:BCK_14610
ko:K02169	bcer:BCK_14615
ko:K01012	bcer:BCK_14620
ko:K00794	bcer:BCK_14630
ko:K14652	bcer:BCK_14635
ko:K00793	bcer:BCK_14640
ko:K11752	bcer:BCK_14645
ko:K07084	bcer:BCK_14675
ko:K06871	bcer:BCK_19140
ko:K02003	bcer:BCK_19155
ko:K02548	bcer:BCK_19200
ko:K05577	bcer:BCK_19215
ko:K09822	bcer:BCK_19220
ko:K01669	bcer:BCK_19255
ko:K01929	bcer:BCK_23750
ko:K01870	bcer:BCK_23765
ko:K01887	bcer:BCK_23790
ko:K15738	bcer:BCK_23840
ko:K06950	bcer:BCK_23845
ko:K06416	bcer:BCK_23855
ko:K00675	bcer:BCK_23870
ko:K07322	bcer:BCK_23895
ko:K00362	bcer:BCK_23900
ko:K00363	bcer:BCK_23905
ko:K13542	bcer:BCK_23910
ko:K02304	bcer:BCK_23920
ko:K07088	bcer:BCK_23930
ko:K02575	bcer:BCK_23940
ko:K03636	bcer:BCK_23945
ko:K03750	bcer:BCK_23955
ko:K03639	bcer:BCK_23965
ko:K00373	bcer:BCK_23980
ko:K00371	bcer:BCK_23985
ko:K00370	bcer:BCK_23990
ko:K03924	bcer:BCK_23995
ko:K00432	bcer:BCK_24010
ko:K02034	bcer:BCK_03680
ko:K01448	bcer:BCK_03725
ko:K03070	bcer:BCK_03800
ko:K03321	bcer:BCK_03815
ko:K03652	bcer:BCK_03860
ko:K01575	bcer:BCK_03870
ko:K01652	bcer:BCK_03875
ko:K03076	bcer:BCK_07220
ko:K02876	bcer:BCK_07225
ko:K02907	bcer:BCK_07230
ko:K02988	bcer:BCK_07235
ko:K02881	bcer:BCK_07240
ko:K02933	bcer:BCK_07245
ko:K02994	bcer:BCK_07250
ko:K02954	bcer:BCK_07255
ko:K02931	bcer:BCK_07260
ko:K02895	bcer:BCK_07265
ko:K02874	bcer:BCK_07270
ko:K02961	bcer:BCK_07275
ko:K02904	bcer:BCK_07280
ko:K02878	bcer:BCK_07285
ko:K02982	bcer:BCK_07290
ko:K02890	bcer:BCK_07295
ko:K02965	bcer:BCK_07300
ko:K02886	bcer:BCK_07305
ko:K02892	bcer:BCK_07310
ko:K02926	bcer:BCK_07315
ko:K02906	bcer:BCK_07320
ko:K02946	bcer:BCK_07325
ko:K02358	bcer:BCK_07335
ko:K02355	bcer:BCK_07340
ko:K02992	bcer:BCK_07345
ko:K02950	bcer:BCK_07350
ko:K07590	bcer:BCK_07355
ko:K03046	bcer:BCK_07360
ko:K03043	bcer:BCK_07365
ko:K02935	bcer:BCK_07375
ko:K02864	bcer:BCK_07380
ko:K02863	bcer:BCK_07385
ko:K02867	bcer:BCK_07390
ko:K02601	bcer:BCK_07395
ko:K03073	bcer:BCK_07400
ko:K02913	bcer:BCK_07405
ko:K03091	bcer:BCK_07410
ko:K06962	bcer:BCK_07415
ko:K03218	bcer:BCK_07420
ko:K11145	bcer:BCK_07425
ko:K01883	bcer:BCK_07430
ko:K00640	bcer:BCK_07435
ko:K01770	bcer:BCK_07445
ko:K00991	bcer:BCK_07450
ko:K04485	bcer:BCK_07465
ko:K03696	bcer:BCK_07470
ko:K07118	bcer:BCK_09955
ko:K03310	bcer:BCK_09960
ko:K03310	bcer:BCK_09965
ko:K11535	bcer:BCK_09975
ko:K02217	bcer:BCK_09985
ko:K06966	bcer:BCK_09995
ko:K04047	bcer:BCK_10010
ko:K03310	bcer:BCK_10015
ko:K07228	bcer:BCK_10025
ko:K06911	bcer:BCK_10045
ko:K01874	bcer:BCK_10080
ko:K03217	bcer:BCK_10150
ko:K00318	bcer:BCK_10205
ko:K06318	bcer:BCK_13080
ko:K03550	bcer:BCK_13085
ko:K03551	bcer:BCK_13090
ko:K07568	bcer:BCK_13100
ko:K00773	bcer:BCK_13105
ko:K03210	bcer:BCK_13110
ko:K06409	bcer:BCK_13125
ko:K12257	bcer:BCK_13135
ko:K02392	bcer:BCK_00070
ko:K02404	bcer:BCK_00075
ko:K02400	bcer:BCK_00080
ko:K02401	bcer:BCK_00085
ko:K02421	bcer:BCK_00090
ko:K02420	bcer:BCK_00095
ko:K02419	bcer:BCK_00100
ko:K02417	bcer:BCK_00110
ko:K02416	bcer:BCK_00115
ko:K02417	bcer:BCK_00120
ko:K02406	bcer:BCK_00130
ko:K02406	bcer:BCK_00135
ko:K03415	bcer:BCK_00145
ko:K02390	bcer:BCK_00160
ko:K02389	bcer:BCK_00165
ko:K02412	bcer:BCK_00180
ko:K02411	bcer:BCK_00185
ko:K02410	bcer:BCK_00190
ko:K02409	bcer:BCK_00195
ko:K02408	bcer:BCK_00200
ko:K02388	bcer:BCK_00205
ko:K02387	bcer:BCK_00210
ko:K02422	bcer:BCK_00220
ko:K02407	bcer:BCK_00225
ko:K02397	bcer:BCK_00230
ko:K02396	bcer:BCK_00235
ko:K09770	bcer:BCK_00245
ko:K02417	bcer:BCK_00270
ko:K03407	bcer:BCK_00275
ko:K03413	bcer:BCK_00280
ko:K02557	bcer:BCK_00285
ko:K02556	bcer:BCK_00290
ko:K07023	bcer:BCK_00295
ko:K03666	bcer:BCK_00300
ko:K03088	bcer:BCK_00345
ko:K14393	bcer:BCK_00400
ko:K09190	bcer:BCK_00425
ko:K03704	bcer:BCK_00430
ko:K07148	bcer:BCK_00530
ko:K16169	bcer:BCK_00535
ko:K03816	bcer:BCK_00540
ko:K01265	bcer:BCK_00545
ko:K01299	bcer:BCK_00555
ko:K07444	bcer:BCK_00570
ko:K06327	bcer:BCK_00585
ko:K05366	bcer:BCK_00630
ko:K10773	bcer:BCK_00640
ko:K00812	bcer:BCK_00650
ko:K01579	bcer:BCK_00670
ko:K01918	bcer:BCK_00675
ko:K00606	bcer:BCK_00680
ko:K03524	bcer:BCK_00690
ko:K01734	bcer:BCK_00710
ko:K00215	bcer:BCK_00715
ko:K06973	bcer:BCK_00735
ko:K03888	bcer:BCK_00755
ko:K03887	bcer:BCK_00760
ko:K00817	bcer:BCK_00785
ko:K01735	bcer:BCK_00790
ko:K01736	bcer:BCK_00795
ko:K00940	bcer:BCK_00800
ko:K03183	bcer:BCK_00810
ko:K01495	bcer:BCK_00820
ko:K03530	bcer:BCK_00825
ko:K06398	bcer:BCK_00830
ko:K00057	bcer:BCK_00850
ko:K03977	bcer:BCK_00855
ko:K05739	bcer:BCK_00865
ko:K02945	bcer:BCK_00885
ko:K00945	bcer:BCK_00890
ko:K00384	bcer:BCK_00905
ko:K00260	bcer:BCK_00925
ko:K16511	bcer:BCK_00930
ko:K03654	bcer:BCK_00955
ko:K07651	bcer:BCK_00990
ko:K07775	bcer:BCK_00995
ko:K07399	bcer:BCK_01005
ko:K06178	bcer:BCK_01015
ko:K06374	bcer:BCK_01020
ko:K06373	bcer:BCK_01025
ko:K04564	bcer:BCK_01035
ko:K14205	bcer:BCK_01050
ko:K01839	bcer:BCK_14755
ko:K00756	bcer:BCK_14765
ko:K03284	bcer:BCK_14770
ko:K06901	bcer:BCK_14775
ko:K07462	bcer:BCK_13145
ko:K00759	bcer:BCK_13150
ko:K07560	bcer:BCK_13160
ko:K01892	bcer:BCK_13180
ko:K01876	bcer:BCK_13185
ko:K07478	bcer:BCK_13200
ko:K04487	bcer:BCK_13210
ko:K00566	bcer:BCK_13215
ko:K03581	bcer:BCK_13225
ko:K01872	bcer:BCK_13255
ko:K07447	bcer:BCK_13265
ko:K07082	bcer:BCK_13275
ko:K08303	bcer:BCK_13285
ko:K08303	bcer:BCK_13290
ko:K00876	bcer:BCK_13295
ko:K03624	bcer:BCK_13300
ko:K04072	bcer:BCK_13340
ko:K07507	bcer:BCK_17630
ko:K03453	bcer:BCK_17685
ko:K07734	bcer:BCK_17700
ko:K07734	bcer:BCK_17705
ko:K01126	bcer:BCK_17745
ko:K10536	bcer:BCK_17775
ko:K08602	bcer:BCK_17790
ko:K00675	bcer:BCK_17795
ko:K02493	bcer:BCK_17815
ko:K02015	bcer:BCK_17865
ko:K02015	bcer:BCK_17870
ko:K02016	bcer:BCK_17875
ko:K01953	bcer:BCK_22405
ko:K07396	bcer:BCK_22470
ko:K03088	bcer:BCK_22495
ko:K02003	bcer:BCK_22570
ko:K03168	bcer:BCK_27183
ko:K03666	bcer:BCK_27218
ko:K09807	bcer:BCK_14780
ko:K06379	bcer:BCK_14825
ko:K03091	bcer:BCK_14830
ko:K03308	bcer:BCK_14835
ko:K06403	bcer:BCK_14845
ko:K06404	bcer:BCK_14850
ko:K06405	bcer:BCK_14855
ko:K06406	bcer:BCK_14860
ko:K06407	bcer:BCK_14865
ko:K06407	bcer:BCK_14870
ko:K06408	bcer:BCK_14875
ko:K02859	bcer:BCK_14900
ko:K05896	bcer:BCK_14915
ko:K06024	bcer:BCK_14920
ko:K01443	bcer:BCK_14930
ko:K03710	bcer:BCK_14940
ko:K03480	bcer:BCK_14950
ko:K08967	bcer:BCK_15005
ko:K08966	bcer:BCK_15015
ko:K08965	bcer:BCK_15020
ko:K06385	bcer:BCK_19425
ko:K03100	bcer:BCK_19435
ko:K06350	bcer:BCK_19450
ko:K07160	bcer:BCK_19455
ko:K01304	bcer:BCK_19470
ko:K03100	bcer:BCK_19490
ko:K11733	bcer:BCK_19535
ko:K07090	bcer:BCK_19545
ko:K00876	bcer:BCK_19565
ko:K09768	bcer:BCK_19580
ko:K13652	bcer:BCK_19610
ko:K02003	bcer:BCK_19635
ko:K03924	bcer:BCK_19685
ko:K03088	bcer:BCK_24040
ko:K01938	bcer:BCK_24075
ko:K00375	bcer:BCK_24160
ko:K01775	bcer:BCK_24190
ko:K01821	bcer:BCK_24210
ko:K01666	bcer:BCK_24220
ko:K02082	bcer:BCK_25485
ko:K03710	bcer:BCK_25490
ko:K01448	bcer:BCK_25550
ko:K00928	bcer:BCK_25575
ko:K01914	bcer:BCK_25590
ko:K07719	bcer:BCK_25610
ko:K07717	bcer:BCK_25615
ko:K01744	bcer:BCK_25625
ko:K11102	bcer:BCK_25630
ko:K09903	bcer:BCK_25635
ko:K06131	bcer:BCK_25640
ko:K01753	bcer:BCK_25695
ko:K10010	bcer:BCK_03920
ko:K10009	bcer:BCK_03925
ko:K02424	bcer:BCK_03930
ko:K01776	bcer:BCK_03955
ko:K03758	bcer:BCK_03960
ko:K03781	bcer:BCK_03970
ko:K05520	bcer:BCK_03975
ko:K03923	bcer:BCK_03995
ko:K07106	bcer:BCK_04070
ko:K10979	bcer:BCK_04130
ko:K06332	bcer:BCK_04145
ko:K06333	bcer:BCK_04150
ko:K06334	bcer:BCK_04155
ko:K03311	bcer:BCK_04160
ko:K02034	bcer:BCK_04165
ko:K04567	bcer:BCK_07490
ko:K00950	bcer:BCK_07505
ko:K01633	bcer:BCK_07510
ko:K00796	bcer:BCK_07515
ko:K01665	bcer:BCK_07530
ko:K01738	bcer:BCK_07535
ko:K04083	bcer:BCK_07540
ko:K03525	bcer:BCK_07545
ko:K03798	bcer:BCK_07550
ko:K00760	bcer:BCK_07555
ko:K04075	bcer:BCK_07560
ko:K06382	bcer:BCK_07565
ko:K07571	bcer:BCK_07570
ko:K04769	bcer:BCK_07605
ko:K03723	bcer:BCK_07610
ko:K01056	bcer:BCK_07620
ko:K00948	bcer:BCK_07625
ko:K04042	bcer:BCK_07630
ko:K06412	bcer:BCK_07635
ko:K00919	bcer:BCK_07650
ko:K06423	bcer:BCK_07655
ko:K07516	bcer:BCK_10220
ko:K02437	bcer:BCK_10300
ko:K07476	bcer:BCK_10305
ko:K02071	bcer:BCK_10320
ko:K02072	bcer:BCK_10325
ko:K02073	bcer:BCK_10330
ko:K02073	bcer:BCK_10335
ko:K09013	bcer:BCK_10345
ko:K09015	bcer:BCK_10350
ko:K11717	bcer:BCK_10355
ko:K09014	bcer:BCK_10365
ko:K03644	bcer:BCK_10400
ko:K02016	bcer:BCK_13350
ko:K02015	bcer:BCK_13355
ko:K02013	bcer:BCK_13360
ko:K00500	bcer:BCK_13410
ko:K14647	bcer:BCK_13415
ko:K02913	bcer:BCK_13470
ko:K03091	bcer:BCK_13485
ko:K01613	bcer:BCK_13490
ko:K06371	bcer:BCK_13495
ko:K07015	bcer:BCK_13500
ko:K00014	bcer:BCK_13510
ko:K07574	bcer:BCK_13515
ko:K00969	bcer:BCK_13520
ko:K09710	bcer:BCK_13530
ko:K02239	bcer:BCK_13540
ko:K02237	bcer:BCK_13545
ko:K02340	bcer:BCK_13565
ko:K02968	bcer:BCK_13570
ko:K06012	bcer:BCK_13575
ko:K03596	bcer:BCK_13585
ko:K03705	bcer:BCK_13600
ko:K03687	bcer:BCK_13605
ko:K04043	bcer:BCK_13610
ko:K03686	bcer:BCK_13615
ko:K02687	bcer:BCK_13620
ko:K09761	bcer:BCK_13625
ko:K09936	bcer:BCK_17985
ko:K05601	bcer:BCK_18060
ko:K03093	bcer:BCK_18105
ko:K01754	bcer:BCK_22625
ko:K09001	bcer:BCK_22645
ko:K02761	bcer:BCK_22655
ko:K02760	bcer:BCK_22660
ko:K00133	bcer:BCK_22780
ko:K03704	bcer:BCK_22810
ko:K00231	bcer:BCK_22830
ko:K07220	bcer:BCK_01115
ko:K03306	bcer:BCK_01120
ko:K07090	bcer:BCK_01125
ko:K05916	bcer:BCK_01140
ko:K03311	bcer:BCK_01170
ko:K11622	bcer:BCK_01190
ko:K11619	bcer:BCK_01200
ko:K11102	bcer:BCK_01215
ko:K03308	bcer:BCK_01230
ko:K02304	bcer:BCK_01235
ko:K00860	bcer:BCK_01260
ko:K00958	bcer:BCK_01265
ko:K00390	bcer:BCK_01270
ko:K01586	bcer:BCK_01280
ko:K04486	bcer:BCK_01310
ko:K02500	bcer:BCK_01325
ko:K01814	bcer:BCK_01330
ko:K02501	bcer:BCK_01335
ko:K01693	bcer:BCK_01340
ko:K00013	bcer:BCK_01345
ko:K00765	bcer:BCK_01350
ko:K00375	bcer:BCK_05230
ko:K11616	bcer:BCK_05250
ko:K11614	bcer:BCK_05260
ko:K00899	bcer:BCK_15035
ko:K08963	bcer:BCK_15040
ko:K00019	bcer:BCK_15050
ko:K15771	bcer:BCK_15155
ko:K15772	bcer:BCK_15160
ko:K07697	bcer:BCK_15180
ko:K00549	bcer:BCK_15200
ko:K01524	bcer:BCK_15240
ko:K00937	bcer:BCK_15245
ko:K09776	bcer:BCK_15295
ko:K03781	bcer:BCK_19755
ko:K03762	bcer:BCK_19810
ko:K03924	bcer:BCK_19825
ko:K00876	bcer:BCK_19860
ko:K07707	bcer:BCK_19870
ko:K07727	bcer:BCK_19890
ko:K10255	bcer:BCK_19910
ko:K02205	bcer:BCK_19920
ko:K00286	bcer:BCK_19935
ko:K00931	bcer:BCK_19940
ko:K00147	bcer:BCK_19945
ko:K16323	bcer:BCK_19960
ko:K06385	bcer:BCK_24305
ko:K06878	bcer:BCK_24320
ko:K03311	bcer:BCK_24325
ko:K09793	bcer:BCK_24345
ko:K06131	bcer:BCK_24365
ko:K07089	bcer:BCK_24385
ko:K03284	bcer:BCK_24390
ko:K06330	bcer:BCK_24410
ko:K11210	bcer:BCK_24430
ko:K15580	bcer:BCK_24435
ko:K04047	bcer:BCK_24515
ko:K06949	bcer:BCK_24540
ko:K13275	bcer:BCK_24575
ko:K09458	bcer:BCK_02465
ko:K00648	bcer:BCK_02470
ko:K02254	bcer:BCK_02475
ko:K03695	bcer:BCK_02500
ko:K00243	bcer:BCK_02540
ko:K09767	bcer:BCK_02545
ko:K03320	bcer:BCK_02560
ko:K03781	bcer:BCK_02595
ko:K01772	bcer:BCK_02600
ko:K01953	bcer:BCK_02605
ko:K06299	bcer:BCK_02640
ko:K06300	bcer:BCK_02645
ko:K06301	bcer:BCK_02650
ko:K06302	bcer:BCK_02655
ko:K06303	bcer:BCK_02660
ko:K06304	bcer:BCK_02665
ko:K03100	bcer:BCK_02685
ko:K02250	bcer:BCK_02705
ko:K03704	bcer:BCK_02720
ko:K01637	bcer:BCK_02735
ko:K01638	bcer:BCK_02740
ko:K02073	bcer:BCK_06340
ko:K02072	bcer:BCK_06345
ko:K02071	bcer:BCK_06350
ko:K07090	bcer:BCK_06370
ko:K01972	bcer:BCK_06380
ko:K03657	bcer:BCK_06385
ko:K01945	bcer:BCK_06410
ko:K00602	bcer:BCK_06415
ko:K11175	bcer:BCK_06420
ko:K01933	bcer:BCK_06425
ko:K00764	bcer:BCK_06430
ko:K01952	bcer:BCK_06435
ko:K01952	bcer:BCK_06440
ko:K01952	bcer:BCK_06445
ko:K01923	bcer:BCK_06450
ko:K01756	bcer:BCK_06455
ko:K01589	bcer:BCK_06460
ko:K01588	bcer:BCK_06465
ko:K01779	bcer:BCK_06495
ko:K01808	bcer:BCK_08770
ko:K00600	bcer:BCK_08780
ko:K00761	bcer:BCK_08785
ko:K02108	bcer:BCK_08805
ko:K02110	bcer:BCK_08810
ko:K02109	bcer:BCK_08815
ko:K02113	bcer:BCK_08820
ko:K02111	bcer:BCK_08825
ko:K02115	bcer:BCK_08830
ko:K02112	bcer:BCK_08835
ko:K02114	bcer:BCK_08840
ko:K00330	bcer:BCK_08860
ko:K00331	bcer:BCK_08865
ko:K00332	bcer:BCK_08870
ko:K00333	bcer:BCK_08875
ko:K00337	bcer:BCK_08880
ko:K00338	bcer:BCK_08885
ko:K00339	bcer:BCK_08890
ko:K00340	bcer:BCK_08895
ko:K00341	bcer:BCK_08900
ko:K00342	bcer:BCK_08905
ko:K00343	bcer:BCK_08910
ko:K00790	bcer:BCK_08925
ko:K06381	bcer:BCK_08930
ko:K06386	bcer:BCK_08950
ko:K06283	bcer:BCK_08960
ko:K03569	bcer:BCK_08965
ko:K02372	bcer:BCK_08970
ko:K00963	bcer:BCK_08995
ko:K02986	bcer:BCK_11920
ko:K01761	bcer:BCK_11925
ko:K04487	bcer:BCK_11955
ko:K03151	bcer:BCK_11960
ko:K01895	bcer:BCK_11970
ko:K00858	bcer:BCK_11985
ko:K11065	bcer:BCK_12000
ko:K00925	bcer:BCK_12010
ko:K01940	bcer:BCK_12050
ko:K01755	bcer:BCK_12055
ko:K00259	bcer:BCK_12095
ko:K02337	bcer:BCK_12200
ko:K01247	bcer:BCK_16525
ko:K13531	bcer:BCK_16530
ko:K13530	bcer:BCK_16535
ko:K02016	bcer:BCK_16540
ko:K02015	bcer:BCK_16545
ko:K02015	bcer:BCK_16550
ko:K02013	bcer:BCK_16555
ko:K16264	bcer:BCK_16580
ko:K03530	bcer:BCK_16605
ko:K11735	bcer:BCK_16625
ko:K08976	bcer:BCK_16640
ko:K02768	bcer:BCK_16660
ko:K02769	bcer:BCK_16660
ko:K02770	bcer:BCK_16660
ko:K00791	bcer:BCK_16675
ko:K03666	bcer:BCK_16680
ko:K06413	bcer:BCK_16695
ko:K03665	bcer:BCK_16710
ko:K01915	bcer:BCK_16725
ko:K03076	bcer:BCK_21205
ko:K00675	bcer:BCK_21255
ko:K00285	bcer:BCK_21265
ko:K08310	bcer:BCK_21270
