ko:K00887	lpb:SH83_08180
ko:K03856	lpb:SH83_04490
ko:K01735	lpb:SH83_04495
ko:K03319	lpb:SH83_04500
ko:K03780	lpb:SH83_04510
ko:K03779	lpb:SH83_04515
ko:K05966	lpb:SH83_04525
ko:K00016	lpb:SH83_04550
ko:K03319	lpb:SH83_04555
ko:K00027	lpb:SH83_04565
ko:K01910	lpb:SH83_04570
ko:K01646	lpb:SH83_04575
ko:K01644	lpb:SH83_04580
ko:K01643	lpb:SH83_04585
ko:K03596	lpb:SH83_13025
ko:K03426	lpb:SH83_13035
ko:K00244	lpb:SH83_13045
ko:K04047	lpb:SH83_13055
ko:K03489	lpb:SH83_13060
ko:K01223	lpb:SH83_13065
ko:K02761	lpb:SH83_13070
ko:K01607	lpb:SH83_13090
ko:K13979	lpb:SH83_13155
ko:K01834	lpb:SH83_13225
ko:K00574	lpb:SH83_13245
ko:K07090	lpb:SH83_13290
ko:K03823	lpb:SH83_13305
ko:K07478	lpb:SH83_06320
ko:K01779	lpb:SH83_06335
ko:K07015	lpb:SH83_06350
ko:K06948	lpb:SH83_06355
ko:K07574	lpb:SH83_06360
ko:K00969	lpb:SH83_06365
ko:K09710	lpb:SH83_06375
ko:K07040	lpb:SH83_06390
ko:K00033	lpb:SH83_06405
ko:K07478	lpb:SH83_06410
ko:K03547	lpb:SH83_06435
ko:K03217	lpb:SH83_06445
ko:K01512	lpb:SH83_06450
ko:K03437	lpb:SH83_06455
ko:K06950	lpb:SH83_06460
ko:K01889	lpb:SH83_06470
ko:K01890	lpb:SH83_06475
ko:K07082	lpb:SH83_06480
ko:K00876	lpb:SH83_06485
ko:K03624	lpb:SH83_06490
ko:K01934	lpb:SH83_06520
ko:K00845	lpb:SH83_06535
ko:K05995	lpb:SH83_06540
ko:K01126	lpb:SH83_06555
ko:K00791	lpb:SH83_06560
ko:K03713	lpb:SH83_06565
ko:K01915	lpb:SH83_06570
ko:K04487	lpb:SH83_09975
ko:K06286	lpb:SH83_09985
ko:K02986	lpb:SH83_09995
ko:K01919	lpb:SH83_10020
ko:K07478	lpb:SH83_10025
ko:K17836	lpb:SH83_10040
ko:K01126	lpb:SH83_10050
ko:K01921	lpb:SH83_10055
ko:K00016	lpb:SH83_10070
ko:K02073	lpb:SH83_10075
ko:K02072	lpb:SH83_10080
ko:K02071	lpb:SH83_10085
ko:K02437	lpb:SH83_10090
ko:K05837	lpb:SH83_10095
ko:K08998	lpb:SH83_10105
ko:K03569	lpb:SH83_10110
ko:K03817	lpb:SH83_10115
ko:K00790	lpb:SH83_10120
ko:K02114	lpb:SH83_10125
ko:K02112	lpb:SH83_10130
ko:K02115	lpb:SH83_10135
ko:K02111	lpb:SH83_10140
ko:K02113	lpb:SH83_10145
ko:K02109	lpb:SH83_10150
ko:K02110	lpb:SH83_10155
ko:K02108	lpb:SH83_10160
ko:K02824	lpb:SH83_10165
ko:K00761	lpb:SH83_10170
ko:K00600	lpb:SH83_10175
ko:K07566	lpb:SH83_10180
ko:K02493	lpb:SH83_10185
ko:K02835	lpb:SH83_10190
ko:K01928	lpb:SH83_10200
ko:K07009	lpb:SH83_10205
ko:K01809	lpb:SH83_10210
ko:K00826	lpb:SH83_10225
ko:K01486	lpb:SH83_13865
ko:K00286	lpb:SH83_02400
ko:K01443	lpb:SH83_02405
ko:K03710	lpb:SH83_02410
ko:K05946	lpb:SH83_02415
ko:K00763	lpb:SH83_02420
ko:K01916	lpb:SH83_02425
ko:K01537	lpb:SH83_02430
ko:K06959	lpb:SH83_02440
ko:K03095	lpb:SH83_02445
ko:K00003	lpb:SH83_02450
ko:K00872	lpb:SH83_02455
ko:K02793	lpb:SH83_02500
ko:K02794	lpb:SH83_02500
ko:K02795	lpb:SH83_02505
ko:K01579	lpb:SH83_02520
ko:K02793	lpb:SH83_02555
ko:K02794	lpb:SH83_02555
ko:K00648	lpb:SH83_02565
ko:K02160	lpb:SH83_02570
ko:K01961	lpb:SH83_02575
ko:K01963	lpb:SH83_02580
ko:K01962	lpb:SH83_02585
ko:K07088	lpb:SH83_02595
ko:K01834	lpb:SH83_02605
ko:K01372	lpb:SH83_02615
ko:K01807	lpb:SH83_02620
ko:K06975	lpb:SH83_02625
ko:K04485	lpb:SH83_02635
ko:K09698	lpb:SH83_02645
ko:K01883	lpb:SH83_02650
ko:K11145	lpb:SH83_02655
ko:K01679	lpb:SH83_04615
ko:K00244	lpb:SH83_04620
ko:K05964	lpb:SH83_04625
ko:K07088	lpb:SH83_04645
ko:K03294	lpb:SH83_04650
ko:K00425	lpb:SH83_04675
ko:K00426	lpb:SH83_04680
ko:K16013	lpb:SH83_04685
ko:K16012	lpb:SH83_04690
ko:K00805	lpb:SH83_04705
ko:K02548	lpb:SH83_04710
ko:K03816	lpb:SH83_04725
ko:K01589	lpb:SH83_04735
ko:K03657	lpb:SH83_04740
ko:K01972	lpb:SH83_04745
ko:K02435	lpb:SH83_04755
ko:K02433	lpb:SH83_04760
ko:K02434	lpb:SH83_04765
ko:K07029	lpb:SH83_04770
ko:K03215	lpb:SH83_04775
ko:K02761	lpb:SH83_04790
ko:K07273	lpb:SH83_04805
ko:K03704	lpb:SH83_04815
ko:K02761	lpb:SH83_04840
ko:K00262	lpb:SH83_04865
ko:K01791	lpb:SH83_04875
ko:K02888	lpb:SH83_06610
ko:K07584	lpb:SH83_06615
ko:K02899	lpb:SH83_06620
ko:K01262	lpb:SH83_06625
ko:K02356	lpb:SH83_06630
ko:K03625	lpb:SH83_06640
ko:K01491	lpb:SH83_06645
ko:K03601	lpb:SH83_06650
ko:K03602	lpb:SH83_06655
ko:K13789	lpb:SH83_06660
ko:K06442	lpb:SH83_06665
ko:K03402	lpb:SH83_06670
ko:K03631	lpb:SH83_06675
ko:K05847	lpb:SH83_06680
ko:K05846	lpb:SH83_06685
ko:K05845	lpb:SH83_06690
ko:K05846	lpb:SH83_06695
ko:K00942	lpb:SH83_06705
ko:K03060	lpb:SH83_06710
ko:K13038	lpb:SH83_06715
ko:K04066	lpb:SH83_06720
ko:K00604	lpb:SH83_06725
ko:K03500	lpb:SH83_06730
ko:K06949	lpb:SH83_06745
ko:K01783	lpb:SH83_06750
ko:K00949	lpb:SH83_06755
ko:K02902	lpb:SH83_06760
ko:K07030	lpb:SH83_06770
ko:K03655	lpb:SH83_06775
ko:K03621	lpb:SH83_06780
ko:K02078	lpb:SH83_06785
ko:K03685	lpb:SH83_06790
ko:K03529	lpb:SH83_06795
ko:K03110	lpb:SH83_06800
ko:K09787	lpb:SH83_06805
ko:K03106	lpb:SH83_06810
ko:K02959	lpb:SH83_06815
ko:K06960	lpb:SH83_06820
ko:K02860	lpb:SH83_06825
ko:K00554	lpb:SH83_06830
ko:K02884	lpb:SH83_06835
ko:K01990	lpb:SH83_06855
ko:K01992	lpb:SH83_06860
ko:K01657	lpb:SH83_06865
ko:K01658	lpb:SH83_06870
ko:K00766	lpb:SH83_06875
ko:K01609	lpb:SH83_06880
ko:K01817	lpb:SH83_06885
ko:K01696	lpb:SH83_06890
ko:K03218	lpb:SH83_02660
ko:K06962	lpb:SH83_02665
ko:K03091	lpb:SH83_02670
ko:K02913	lpb:SH83_02675
ko:K03073	lpb:SH83_02680
ko:K02601	lpb:SH83_02685
ko:K02867	lpb:SH83_02695
ko:K02863	lpb:SH83_02700
ko:K02864	lpb:SH83_02705
ko:K02935	lpb:SH83_02710
ko:K15051	lpb:SH83_02715
ko:K14205	lpb:SH83_02725
ko:K06966	lpb:SH83_02730
ko:K00564	lpb:SH83_02750
ko:K11991	lpb:SH83_02755
ko:K02343	lpb:SH83_02760
ko:K09747	lpb:SH83_02765
ko:K06187	lpb:SH83_02770
ko:K00943	lpb:SH83_02780
ko:K02341	lpb:SH83_02790
ko:K07056	lpb:SH83_02800
ko:K01784	lpb:SH83_02810
ko:K03430	lpb:SH83_02815
ko:K05306	lpb:SH83_02820
ko:K02042	lpb:SH83_02825
ko:K02042	lpb:SH83_02830
ko:K02041	lpb:SH83_02835
ko:K02044	lpb:SH83_02840
ko:K03789	lpb:SH83_02850
ko:K03789	lpb:SH83_02855
ko:K01409	lpb:SH83_02860
ko:K06158	lpb:SH83_02865
ko:K01926	lpb:SH83_02870
ko:K07052	lpb:SH83_02875
ko:K04078	lpb:SH83_02880
ko:K04077	lpb:SH83_02885
ko:K02851	lpb:SH83_02895
ko:K02040	lpb:SH83_02900
ko:K02240	lpb:SH83_02910
ko:K02242	lpb:SH83_02915
ko:K03070	lpb:SH83_02925
ko:K02836	lpb:SH83_02930
ko:K07658	lpb:SH83_02940
ko:K07636	lpb:SH83_02945
ko:K07058	lpb:SH83_04880
ko:K02440	lpb:SH83_04885
ko:K12996	lpb:SH83_04930
ko:K00973	lpb:SH83_04955
ko:K01790	lpb:SH83_04960
ko:K00067	lpb:SH83_04970
ko:K01104	lpb:SH83_04995
ko:K12992	lpb:SH83_05005
ko:K00973	lpb:SH83_05035
ko:K07473	lpb:SH83_05040
ko:K07483	lpb:SH83_05045
ko:K01854	lpb:SH83_05070
ko:K03565	lpb:SH83_05145
ko:K07586	lpb:SH83_05150
ko:K02313	lpb:SH83_00005
ko:K02338	lpb:SH83_00010
ko:K03629	lpb:SH83_00020
ko:K02470	lpb:SH83_00025
ko:K02469	lpb:SH83_00030
ko:K02990	lpb:SH83_00035
ko:K03111	lpb:SH83_00040
ko:K02963	lpb:SH83_00045
ko:K02939	lpb:SH83_00055
ko:K00931	lpb:SH83_00070
ko:K00147	lpb:SH83_00075
ko:K00700	lpb:SH83_00090
ko:K00975	lpb:SH83_00095
ko:K00975	lpb:SH83_00100
ko:K00703	lpb:SH83_00105
ko:K00688	lpb:SH83_00110
ko:K01838	lpb:SH83_00125
ko:K03704	lpb:SH83_00140
ko:K07668	lpb:SH83_00155
ko:K07652	lpb:SH83_00160
ko:K00783	lpb:SH83_00185
ko:K06915	lpb:SH83_00195
ko:K07090	lpb:SH83_00215
ko:K01737	lpb:SH83_00230
ko:K03319	lpb:SH83_00245
ko:K01695	lpb:SH83_06895
ko:K02372	lpb:SH83_06930
ko:K00648	lpb:SH83_06935
ko:K02078	lpb:SH83_06940
ko:K00645	lpb:SH83_06945
ko:K00059	lpb:SH83_06950
ko:K09458	lpb:SH83_06955
ko:K02160	lpb:SH83_06960
ko:K02372	lpb:SH83_06965
ko:K01961	lpb:SH83_06970
ko:K01963	lpb:SH83_06975
ko:K01962	lpb:SH83_06980
ko:K00208	lpb:SH83_06985
ko:K06133	lpb:SH83_06990
ko:K07150	lpb:SH83_06995
ko:K06949	lpb:SH83_07010
ko:K00574	lpb:SH83_07055
ko:K08659	lpb:SH83_07130
ko:K01821	lpb:SH83_07135
ko:K01586	lpb:SH83_07140
ko:K02548	lpb:SH83_07145
ko:K10716	lpb:SH83_07150
ko:K03294	lpb:SH83_07170
ko:K02040	lpb:SH83_02950
ko:K02037	lpb:SH83_02955
ko:K02038	lpb:SH83_02960
ko:K02036	lpb:SH83_02965
ko:K02036	lpb:SH83_02970
ko:K02039	lpb:SH83_02975
ko:K08972	lpb:SH83_02985
ko:K06023	lpb:SH83_02990
ko:K13292	lpb:SH83_02995
ko:K00057	lpb:SH83_03000
ko:K00963	lpb:SH83_03005
ko:K00384	lpb:SH83_03050
ko:K01835	lpb:SH83_03075
ko:K08641	lpb:SH83_03090
ko:K07023	lpb:SH83_03100
ko:K03702	lpb:SH83_03105
ko:K03701	lpb:SH83_03110
ko:K07173	lpb:SH83_03115
ko:K01940	lpb:SH83_03120
ko:K01755	lpb:SH83_03125
ko:K06958	lpb:SH83_03135
ko:K09762	lpb:SH83_03145
ko:K15580	lpb:SH83_03150
ko:K01358	lpb:SH83_03160
ko:K03092	lpb:SH83_03170
ko:K05311	lpb:SH83_03175
ko:K00134	lpb:SH83_03180
ko:K00927	lpb:SH83_03185
ko:K01803	lpb:SH83_03190
ko:K01689	lpb:SH83_03195
ko:K03075	lpb:SH83_03210
ko:K03928	lpb:SH83_03215
ko:K12573	lpb:SH83_03220
ko:K03664	lpb:SH83_03225
ko:K02029	lpb:SH83_03235
ko:K02030	lpb:SH83_03235
ko:K02028	lpb:SH83_03240
ko:K00016	lpb:SH83_05175
ko:K03299	lpb:SH83_05190
ko:K00851	lpb:SH83_05195
ko:K00033	lpb:SH83_05200
ko:K00383	lpb:SH83_05205
ko:K02837	lpb:SH83_05210
ko:K07090	lpb:SH83_05230
ko:K15580	lpb:SH83_05240
ko:K15581	lpb:SH83_05245
ko:K15582	lpb:SH83_05250
ko:K15583	lpb:SH83_05255
ko:K10823	lpb:SH83_05260
ko:K03697	lpb:SH83_05275
ko:K11189	lpb:SH83_05285
ko:K08483	lpb:SH83_05290
ko:K19002	lpb:SH83_05295
ko:K13678	lpb:SH83_05300
ko:K07027	lpb:SH83_05305
ko:K07258	lpb:SH83_05310
ko:K00841	lpb:SH83_05315
ko:K19005	lpb:SH83_05325
ko:K00759	lpb:SH83_05400
ko:K06901	lpb:SH83_05405
ko:K01772	lpb:SH83_05430
ko:K16235	lpb:SH83_05435
ko:K00547	lpb:SH83_05440
ko:K00712	lpb:SH83_05445
ko:K00789	lpb:SH83_05455
ko:K01574	lpb:SH83_00270
ko:K01838	lpb:SH83_00285
ko:K01442	lpb:SH83_00290
ko:K01104	lpb:SH83_00300
ko:K00483	lpb:SH83_00305
ko:K01118	lpb:SH83_00325
ko:K01259	lpb:SH83_00375
ko:K09861	lpb:SH83_00380
ko:K15580	lpb:SH83_00390
ko:K02006	lpb:SH83_00425
ko:K02008	lpb:SH83_00430
ko:K02007	lpb:SH83_00435
ko:K06898	lpb:SH83_00450
ko:K09121	lpb:SH83_00455
ko:K02440	lpb:SH83_00465
ko:K06864	lpb:SH83_00470
ko:K00878	lpb:SH83_00480
ko:K00941	lpb:SH83_00485
ko:K00788	lpb:SH83_00490
ko:K07010	lpb:SH83_00500
ko:K13993	lpb:SH83_00555
ko:K00691	lpb:SH83_07195
ko:K16211	lpb:SH83_07190
ko:K01785	lpb:SH83_07200
ko:K01823	lpb:SH83_07205
ko:K00938	lpb:SH83_07210
ko:K01597	lpb:SH83_07215
ko:K00869	lpb:SH83_07220
ko:K01893	lpb:SH83_07245
ko:K02086	lpb:SH83_07250
ko:K02071	lpb:SH83_07260
ko:K02072	lpb:SH83_07265
ko:K02073	lpb:SH83_07270
ko:K02012	lpb:SH83_07285
ko:K02010	lpb:SH83_07290
ko:K05366	lpb:SH83_07295
ko:K03700	lpb:SH83_07300
ko:K07444	lpb:SH83_07315
ko:K06889	lpb:SH83_07320
ko:K01992	lpb:SH83_07355
ko:K01990	lpb:SH83_07360
ko:K03469	lpb:SH83_07380
ko:K01938	lpb:SH83_07390
ko:K03101	lpb:SH83_07395
ko:K06180	lpb:SH83_07400
ko:K02825	lpb:SH83_07405
ko:K01956	lpb:SH83_07410
ko:K01955	lpb:SH83_07415
ko:K05937	lpb:SH83_07425
ko:K01990	lpb:SH83_07450
ko:K08161	lpb:SH83_00570
ko:K03449	lpb:SH83_00580
ko:K10254	lpb:SH83_00600
ko:K16785	lpb:SH83_00620
ko:K16786	lpb:SH83_00625
ko:K16787	lpb:SH83_00625
ko:K16924	lpb:SH83_00630
ko:K03492	lpb:SH83_00640
ko:K00059	lpb:SH83_00665
ko:K05878	lpb:SH83_00705
ko:K05879	lpb:SH83_00710
ko:K02440	lpb:SH83_00720
ko:K03648	lpb:SH83_03255
ko:K00625	lpb:SH83_03260
ko:K06925	lpb:SH83_03265
ko:K02342	lpb:SH83_03275
ko:K01142	lpb:SH83_03280
ko:K03810	lpb:SH83_03285
ko:K00075	lpb:SH83_03290
ko:K03316	lpb:SH83_03295
ko:K18672	lpb:SH83_03310
ko:K03431	lpb:SH83_03320
ko:K00820	lpb:SH83_03325
ko:K01785	lpb:SH83_03345
ko:K00864	lpb:SH83_03380
ko:K16509	lpb:SH83_03395
ko:K01524	lpb:SH83_03415
ko:K00937	lpb:SH83_03420
ko:K01524	lpb:SH83_03425
ko:K07271	lpb:SH83_03430
ko:K06901	lpb:SH83_03440
ko:K00158	lpb:SH83_03445
ko:K11753	lpb:SH83_03450
ko:K00158	lpb:SH83_03455
ko:K01259	lpb:SH83_03460
ko:K03524	lpb:SH83_03465
ko:K01281	lpb:SH83_03475
ko:K03294	lpb:SH83_03490
ko:K00868	lpb:SH83_03500
ko:K00942	lpb:SH83_03510
ko:K02076	lpb:SH83_03515
ko:K00841	lpb:SH83_03535
ko:K03778	lpb:SH83_03540
ko:K10041	lpb:SH83_03550
ko:K00712	lpb:SH83_05480
ko:K00712	lpb:SH83_05485
ko:K01869	lpb:SH83_05505
ko:K06183	lpb:SH83_05515
ko:K05816	lpb:SH83_05535
ko:K05814	lpb:SH83_05540
ko:K05815	lpb:SH83_05545
ko:K05813	lpb:SH83_05550
ko:K01126	lpb:SH83_05555
ko:K03282	lpb:SH83_05565
ko:K01421	lpb:SH83_05570
ko:K01992	lpb:SH83_05575
ko:K01990	lpb:SH83_05580
ko:K01990	lpb:SH83_05585
ko:K07304	lpb:SH83_05595
ko:K07706	lpb:SH83_05625
ko:K07707	lpb:SH83_05630
ko:K07052	lpb:SH83_05645
ko:K00549	lpb:SH83_05705
ko:K00958	lpb:SH83_05715
ko:K00860	lpb:SH83_05720
ko:K01187	lpb:SH83_00735
ko:K15770	lpb:SH83_00740
ko:K15771	lpb:SH83_00745
ko:K15772	lpb:SH83_00750
ko:K10112	lpb:SH83_00765
ko:K00691	lpb:SH83_00770
ko:K00847	lpb:SH83_00785
ko:K07407	lpb:SH83_00790
ko:K02808	lpb:SH83_00795
ko:K02809	lpb:SH83_00795
ko:K02810	lpb:SH83_00795
ko:K01193	lpb:SH83_00800
ko:K03484	lpb:SH83_00805
ko:K01182	lpb:SH83_00810
ko:K03315	lpb:SH83_00820
ko:K01182	lpb:SH83_00825
ko:K15580	lpb:SH83_00845
ko:K08974	lpb:SH83_07525
ko:K03303	lpb:SH83_07545
ko:K00383	lpb:SH83_07585
ko:K07304	lpb:SH83_07615
ko:K07305	lpb:SH83_07620
ko:K15986	lpb:SH83_07625
ko:K02621	lpb:SH83_07635
ko:K02622	lpb:SH83_07640
ko:K08591	lpb:SH83_07645
ko:K03667	lpb:SH83_07655
ko:K01419	lpb:SH83_07660
ko:K03733	lpb:SH83_07665
ko:K04094	lpb:SH83_07670
ko:K03168	lpb:SH83_07675
ko:K04096	lpb:SH83_07680
ko:K03470	lpb:SH83_07685
ko:K14540	lpb:SH83_07690
ko:K06988	lpb:SH83_07705
ko:K03797	lpb:SH83_07720
ko:K03315	lpb:SH83_13880
ko:K03575	lpb:SH83_13925
ko:K13993	lpb:SH83_13940
ko:K02348	lpb:SH83_13955
ko:K01442	lpb:SH83_13975
ko:K01533	lpb:SH83_13980
ko:K18926	lpb:SH83_14000
ko:K08161	lpb:SH83_14025
ko:K06889	lpb:SH83_14030
ko:K01119	lpb:SH83_14050
ko:K07088	lpb:SH83_14055
ko:K06153	lpb:SH83_14080
ko:K01610	lpb:SH83_14140
ko:K01580	lpb:SH83_14150
ko:K07045	lpb:SH83_14210
ko:K07223	lpb:SH83_14220
ko:K03183	lpb:SH83_14225
ko:K01534	lpb:SH83_14240
ko:K02440	lpb:SH83_14245
ko:K03671	lpb:SH83_14250
ko:K07386	lpb:SH83_14280
ko:K06188	lpb:SH83_14340
ko:K03688	lpb:SH83_14345
ko:K03311	lpb:SH83_14350
ko:K16209	lpb:SH83_14355
ko:K12308	lpb:SH83_14360
ko:K02529	lpb:SH83_14365
ko:K06610	lpb:SH83_14375
ko:K06610	lpb:SH83_14385
ko:K04095	lpb:SH83_14395
ko:K07726	lpb:SH83_14400
ko:K02529	lpb:SH83_14405
ko:K00965	lpb:SH83_14410
ko:K01784	lpb:SH83_14415
ko:K00849	lpb:SH83_14420
ko:K01190	lpb:SH83_14425
ko:K01190	lpb:SH83_14430
ko:K07407	lpb:SH83_14435
ko:K16209	lpb:SH83_14440
ko:K01785	lpb:SH83_14445
ko:K02529	lpb:SH83_14450
ko:K00244	lpb:SH83_14465
ko:K03734	lpb:SH83_14470
ko:K03785	lpb:SH83_14475
ko:K00014	lpb:SH83_14480
ko:K00014	lpb:SH83_14495
ko:K00014	lpb:SH83_14500
ko:K02761	lpb:SH83_14540
ko:K07106	lpb:SH83_14545
ko:K09963	lpb:SH83_14555
ko:K01223	lpb:SH83_14560
ko:K02755	lpb:SH83_14565
ko:K02756	lpb:SH83_14565
ko:K02757	lpb:SH83_14565
ko:K03488	lpb:SH83_14570
ko:K14155	lpb:SH83_14580
ko:K11202	lpb:SH83_14585
ko:K11203	lpb:SH83_14585
ko:K11201	lpb:SH83_14590
ko:K02809	lpb:SH83_14605
ko:K02810	lpb:SH83_14605
ko:K07106	lpb:SH83_14610
ko:K09963	lpb:SH83_14615
ko:K01223	lpb:SH83_14620
ko:K01223	lpb:SH83_14625
ko:K02755	lpb:SH83_14630
ko:K02756	lpb:SH83_14630
ko:K02757	lpb:SH83_14630
ko:K03488	lpb:SH83_14635
ko:K05342	lpb:SH83_14640
ko:K02529	lpb:SH83_14645
ko:K16211	lpb:SH83_14650
ko:K01187	lpb:SH83_14655
ko:K01442	lpb:SH83_14665
ko:K00615	lpb:SH83_14675
ko:K00616	lpb:SH83_14680
ko:K03475	lpb:SH83_14685
ko:K02822	lpb:SH83_14690
ko:K02821	lpb:SH83_14695
ko:K00008	lpb:SH83_14710
ko:K02775	lpb:SH83_14715
ko:K02774	lpb:SH83_14720
ko:K02773	lpb:SH83_14725
ko:K00661	lpb:SH83_14745
ko:K01804	lpb:SH83_14750
ko:K02103	lpb:SH83_14770
ko:K01788	lpb:SH83_14775
ko:K03781	lpb:SH83_14800
ko:K16509	lpb:SH83_14805
ko:K07707	lpb:SH83_14810
ko:K07706	lpb:SH83_14815
ko:K07813	lpb:SH83_14825
ko:K04086	lpb:SH83_14830
ko:K00158	lpb:SH83_14845
ko:K00158	lpb:SH83_14855
ko:K01629	lpb:SH83_14870
ko:K01813	lpb:SH83_14875
ko:K03534	lpb:SH83_14880
ko:K00848	lpb:SH83_14885
ko:K06610	lpb:SH83_14890
ko:K02773	lpb:SH83_14915
ko:K02774	lpb:SH83_14920
ko:K02775	lpb:SH83_14925
ko:K01628	lpb:SH83_14935
ko:K06609	lpb:SH83_14940
ko:K00010	lpb:SH83_14945
ko:K00010	lpb:SH83_14950
ko:K03335	lpb:SH83_14955
ko:K00010	lpb:SH83_14960
ko:K06609	lpb:SH83_14965
ko:K00010	lpb:SH83_14970
ko:K01250	lpb:SH83_14985
ko:K03826	lpb:SH83_00855
ko:K00058	lpb:SH83_00860
ko:K00831	lpb:SH83_00865
ko:K00925	lpb:SH83_00895
ko:K06199	lpb:SH83_00905
ko:K06199	lpb:SH83_00910
ko:K18231	lpb:SH83_00915
ko:K16785	lpb:SH83_00920
ko:K16786	lpb:SH83_00925
ko:K16787	lpb:SH83_00925
ko:K16925	lpb:SH83_00930
ko:K00432	lpb:SH83_00935
ko:K03624	lpb:SH83_00945
ko:K07729	lpb:SH83_00955
ko:K02564	lpb:SH83_00960
ko:K08659	lpb:SH83_00965
ko:K02799	lpb:SH83_00970
ko:K02800	lpb:SH83_00970
ko:K02798	lpb:SH83_00980
ko:K00009	lpb:SH83_00985
ko:K03671	lpb:SH83_00995
ko:K00940	lpb:SH83_01015
ko:K09963	lpb:SH83_01045
ko:K01465	lpb:SH83_01050
ko:K01042	lpb:SH83_01055
ko:K00874	lpb:SH83_01065
ko:K00640	lpb:SH83_01070
ko:K01760	lpb:SH83_01075
ko:K01738	lpb:SH83_01080
ko:K01265	lpb:SH83_01085
ko:K03811	lpb:SH83_01090
ko:K03486	lpb:SH83_01105
ko:K01226	lpb:SH83_01110
ko:K02755	lpb:SH83_01115
ko:K02756	lpb:SH83_01115
ko:K02757	lpb:SH83_01115
ko:K02755	lpb:SH83_01120
ko:K02756	lpb:SH83_01120
ko:K02757	lpb:SH83_01120
ko:K15738	lpb:SH83_07755
ko:K00974	lpb:SH83_07765
ko:K00215	lpb:SH83_07770
ko:K03530	lpb:SH83_07785
ko:K03977	lpb:SH83_07790
ko:K02945	lpb:SH83_07795
ko:K00945	lpb:SH83_07800
ko:K03654	lpb:SH83_07810
ko:K06178	lpb:SH83_07825
ko:K06024	lpb:SH83_07830
ko:K05896	lpb:SH83_07835
ko:K02859	lpb:SH83_07840
ko:K04763	lpb:SH83_07845
ko:K00243	lpb:SH83_07850
ko:K00873	lpb:SH83_07860
ko:K00850	lpb:SH83_07865
