ko:K19079	saur:SABB_00708
ko:K03305	saur:SABB_00777
ko:K09457	saur:SABB_00778
ko:K03647	saur:SABB_03820
ko:K02015	saur:SABB_02902
ko:K02015	saur:SABB_03821
ko:K02013	saur:SABB_00785
ko:K02016	saur:SABB_00786
ko:K03648	saur:SABB_00630
ko:K00625	saur:SABB_00637
ko:K16869	saur:SABB_00638
ko:K00869	saur:SABB_00639
ko:K01597	saur:SABB_00640
ko:K00938	saur:SABB_00641
ko:K05565	saur:SABB_00671
ko:K05566	saur:SABB_00672
ko:K05567	saur:SABB_00673
ko:K05568	saur:SABB_04731
ko:K05569	saur:SABB_00675
ko:K05570	saur:SABB_02627
ko:K05571	saur:SABB_00677
ko:K03316	saur:SABB_03813
ko:K03709	saur:SABB_00682
ko:K05946	saur:SABB_00684
ko:K09693	saur:SABB_03359
ko:K07258	saur:SABB_00690
ko:K16323	saur:SABB_00692
ko:K06966	saur:SABB_00727
ko:K09768	saur:SABB_00728
ko:K06153	saur:SABB_00730
ko:K16013	saur:SABB_02890
ko:K16012	saur:SABB_00732
ko:K01669	saur:SABB_00739
ko:K06934	saur:SABB_02894
ko:K03976	saur:SABB_00746
ko:K03436	saur:SABB_00747
ko:K00882	saur:SABB_00748
ko:K02768	saur:SABB_00749
ko:K02769	saur:SABB_00749
ko:K02770	saur:SABB_00749
ko:K01443	saur:SABB_00750
ko:K06885	saur:SABB_00654
ko:K13953	saur:SABB_00656
ko:K01887	saur:SABB_00658
ko:K07457	saur:SABB_00659
ko:K02016	saur:SABB_02625
ko:K02015	saur:SABB_00661
ko:K07025	saur:SABB_00662
ko:K09936	saur:SABB_00668
ko:K02013	saur:SABB_00694
ko:K02015	saur:SABB_00695
ko:K02015	saur:SABB_00696
ko:K05878	saur:SABB_00697
ko:K05879	saur:SABB_02884
ko:K15518	saur:SABB_00608
ko:K02564	saur:SABB_00620
ko:K08093	saur:SABB_00621
ko:K08094	saur:SABB_00622
ko:K03762	saur:SABB_00624
ko:K00626	saur:SABB_00626
ko:K00868	saur:SABB_00629
ko:K02437	saur:SABB_00856
ko:K07476	saur:SABB_00858
ko:K02071	saur:SABB_00860
ko:K02072	saur:SABB_00861
ko:K02073	saur:SABB_00862
ko:K08974	saur:SABB_00883
ko:K11991	saur:SABB_00609
ko:K14194	saur:SABB_00612
ko:K14194	saur:SABB_04282
ko:K14194	saur:SABB_02621
ko:K00712	saur:SABB_00615
ko:K00712	saur:SABB_00616
ko:K09007	saur:SABB_00617
ko:K00075	saur:SABB_00788
ko:K00865	saur:SABB_00792
ko:K01258	saur:SABB_00793
ko:K02851	saur:SABB_00797
ko:K02240	saur:SABB_05419
ko:K02242	saur:SABB_02905
ko:K03070	saur:SABB_00803
ko:K11145	saur:SABB_00581
ko:K03218	saur:SABB_00582
ko:K06962	saur:SABB_00583
ko:K03091	saur:SABB_02619
ko:K02913	saur:SABB_05517
ko:K03073	saur:SABB_00585
ko:K02601	saur:SABB_00586
ko:K02867	saur:SABB_00587
ko:K02863	saur:SABB_00588
ko:K02864	saur:SABB_00589
ko:K02935	saur:SABB_00590
ko:K03043	saur:SABB_00593
ko:K02836	saur:SABB_00804
ko:K07023	saur:SABB_00806
ko:K03702	saur:SABB_03914
ko:K03701	saur:SABB_00809
ko:K06023	saur:SABB_00810
ko:K13292	saur:SABB_00811
ko:K00384	saur:SABB_00814
ko:K09762	saur:SABB_00817
ko:K01358	saur:SABB_00818
ko:K07071	saur:SABB_00819
ko:K05311	saur:SABB_00821
ko:K00134	saur:SABB_00822
ko:K00927	saur:SABB_00823
ko:K01803	saur:SABB_02639
ko:K15633	saur:SABB_00825
ko:K01689	saur:SABB_00826
ko:K07220	saur:SABB_00710
ko:K03306	saur:SABB_00711
ko:K06890	saur:SABB_05252
ko:K09705	saur:SABB_00717
ko:K09793	saur:SABB_00721
ko:K10681	saur:SABB_00754
ko:K10682	saur:SABB_03818
ko:K16937	saur:SABB_02633
ko:K10026	saur:SABB_00759
ko:K01737	saur:SABB_00760
ko:K06920	saur:SABB_00761
ko:K01664	saur:SABB_00763
ko:K01665	saur:SABB_02897
ko:K02619	saur:SABB_00765
ko:K09013	saur:SABB_00884
ko:K09015	saur:SABB_00885
ko:K11717	saur:SABB_00886
ko:K04488	saur:SABB_03823
ko:K09014	saur:SABB_03376
ko:K00459	saur:SABB_02924
ko:K07090	saur:SABB_00893
ko:K03644	saur:SABB_02643
ko:K03070	saur:SABB_03872
ko:K12270	saur:SABB_05182
ko:K12269	saur:SABB_03168
ko:K12268	saur:SABB_02061
ko:K03076	saur:SABB_03169
ko:K07304	saur:SABB_02070
ko:K01104	saur:SABB_02072
ko:K11936	saur:SABB_02731
ko:K11755	saur:SABB_02080
ko:K02500	saur:SABB_02081
ko:K01814	saur:SABB_02082
ko:K02501	saur:SABB_02083
ko:K01693	saur:SABB_05426
ko:K00817	saur:SABB_02085
ko:K00013	saur:SABB_02086
ko:K00765	saur:SABB_02087
ko:K16785	saur:SABB_02091
ko:K16786	saur:SABB_02092
ko:K16787	saur:SABB_02092
ko:K16924	saur:SABB_04492
ko:K02352	saur:SABB_02096
ko:K07146	saur:SABB_02097
ko:K01304	saur:SABB_02098
ko:K03319	saur:SABB_02101
ko:K05786	saur:SABB_02102
ko:K03367	saur:SABB_00901
ko:K03739	saur:SABB_00902
ko:K14188	saur:SABB_00903
ko:K03740	saur:SABB_00904
ko:K03885	saur:SABB_00907
ko:K13628	saur:SABB_00909
ko:K03885	saur:SABB_00910
ko:K01255	saur:SABB_00911
ko:K07084	saur:SABB_00912
ko:K05571	saur:SABB_00915
ko:K05570	saur:SABB_00916
ko:K05569	saur:SABB_00917
ko:K05568	saur:SABB_00918
ko:K05567	saur:SABB_05420
ko:K05566	saur:SABB_02931
ko:K05565	saur:SABB_02645
ko:K06347	saur:SABB_00922
ko:K03768	saur:SABB_00923
ko:K00819	saur:SABB_02646
ko:K00260	saur:SABB_03826
ko:K01126	saur:SABB_03827
ko:K01755	saur:SABB_00929
ko:K01940	saur:SABB_00930
ko:K01810	saur:SABB_00931
ko:K03100	saur:SABB_00933
ko:K03100	saur:SABB_00934
ko:K16899	saur:SABB_00935
ko:K16898	saur:SABB_00936
ko:K03695	saur:SABB_00943
ko:K06910	saur:SABB_00948
ko:K00648	saur:SABB_03830
ko:K09458	saur:SABB_00951
ko:K15581	saur:SABB_00953
ko:K15582	saur:SABB_00954
ko:K15583	saur:SABB_00955
ko:K10823	saur:SABB_00956
ko:K15580	saur:SABB_00957
ko:K02035	saur:SABB_00958
ko:K02033	saur:SABB_05273
ko:K02034	saur:SABB_00963
ko:K01867	saur:SABB_00964
ko:K16509	saur:SABB_00965
ko:K16511	saur:SABB_00966
ko:K08602	saur:SABB_00969
ko:K06886	saur:SABB_00971
ko:K07816	saur:SABB_00974
ko:K00858	saur:SABB_00975
ko:K06180	saur:SABB_00976
ko:K06213	saur:SABB_00977
ko:K03455	saur:SABB_00978
ko:K00208	saur:SABB_00979
ko:K03310	saur:SABB_00981
ko:K05362	saur:SABB_00986
ko:K02837	saur:SABB_00988
ko:K02250	saur:SABB_00993
ko:K03800	saur:SABB_00995
ko:K07052	saur:SABB_02940
ko:K02003	saur:SABB_00999
ko:K15977	saur:SABB_01003
ko:K02016	saur:SABB_04981
ko:K02548	saur:SABB_01007
ko:K02552	saur:SABB_01008
ko:K02551	saur:SABB_01009
ko:K08680	saur:SABB_03583
ko:K01661	saur:SABB_01011
ko:K13715	saur:SABB_04982
ko:K00841	saur:SABB_02942
ko:K02829	saur:SABB_01024
ko:K02828	saur:SABB_01025
ko:K02827	saur:SABB_01026
ko:K02826	saur:SABB_03392
ko:K01491	saur:SABB_01029
ko:K01588	saur:SABB_01030
ko:K01589	saur:SABB_01031
ko:K01923	saur:SABB_01032
ko:K01952	saur:SABB_03394
ko:K01952	saur:SABB_01035
ko:K00764	saur:SABB_01036
ko:K01933	saur:SABB_01037
ko:K11175	saur:SABB_01038
ko:K00602	saur:SABB_02947
ko:K01945	saur:SABB_01040
ko:K16785	saur:SABB_01041
ko:K16786	saur:SABB_01042
ko:K16787	saur:SABB_01042
ko:K16925	saur:SABB_01043
ko:K06969	saur:SABB_01045
ko:K11189	saur:SABB_01047
ko:K08483	saur:SABB_01048
ko:K00425	saur:SABB_02656
ko:K00426	saur:SABB_01051
ko:K03499	saur:SABB_01052
ko:K12574	saur:SABB_01053
ko:K01462	saur:SABB_01055
ko:K00161	saur:SABB_01057
ko:K00162	saur:SABB_01058
ko:K00627	saur:SABB_01059
ko:K00382	saur:SABB_01060
ko:K11072	saur:SABB_01063
ko:K11071	saur:SABB_02948
ko:K11070	saur:SABB_02949
ko:K11069	saur:SABB_01066
ko:K03322	saur:SABB_01069
ko:K01092	saur:SABB_01071
ko:K06207	saur:SABB_01072
ko:K03588	saur:SABB_01075
ko:K01958	saur:SABB_03399
ko:K02259	saur:SABB_05126
ko:K08976	saur:SABB_01079
ko:K01126	saur:SABB_01082
ko:K00954	saur:SABB_01086
ko:K07040	saur:SABB_01088
ko:K02911	saur:SABB_05521
ko:K05337	saur:SABB_00034
ko:K03654	saur:SABB_02582
ko:K01424	saur:SABB_00039
ko:K00945	saur:SABB_00040
ko:K02945	saur:SABB_00041
ko:K03977	saur:SABB_00042
ko:K00057	saur:SABB_00043
ko:K03530	saur:SABB_00044
ko:K03183	saur:SABB_00046
ko:K00805	saur:SABB_00047
ko:K00940	saur:SABB_00048
ko:K01736	saur:SABB_00049
ko:K01735	saur:SABB_00050
ko:K00800	saur:SABB_03284
ko:K06973	saur:SABB_02775
ko:K00974	saur:SABB_00058
ko:K03524	saur:SABB_00059
ko:K01893	saur:SABB_02584
ko:K02086	saur:SABB_00062
ko:K10773	saur:SABB_00063
ko:K05366	saur:SABB_00065
ko:K03700	saur:SABB_04211
ko:K07444	saur:SABB_00070
ko:K00259	saur:SABB_00075
ko:K01754	saur:SABB_00076
ko:K03294	saur:SABB_00077
ko:K08170	saur:SABB_00078
ko:K03469	saur:SABB_00080
ko:K09125	saur:SABB_00081
ko:K07304	saur:SABB_00089
ko:K07305	saur:SABB_00090
ko:K01817	saur:SABB_02587
ko:K01609	saur:SABB_00142
ko:K00766	saur:SABB_00143
ko:K01658	saur:SABB_02798
ko:K01657	saur:SABB_00145
ko:K04517	saur:SABB_00147
ko:K01821	saur:SABB_05525
ko:K07304	saur:SABB_00150
ko:K14205	saur:SABB_00151
ko:K03480	saur:SABB_00153
ko:K03310	saur:SABB_00154
ko:K02621	saur:SABB_00155
ko:K02622	saur:SABB_00156
ko:K08591	saur:SABB_00157
ko:K07107	saur:SABB_00159
ko:K01681	saur:SABB_00160
ko:K05020	saur:SABB_00161
ko:K03282	saur:SABB_00162
ko:K03547	saur:SABB_00164
ko:K09976	saur:SABB_00166
ko:K00615	saur:SABB_00167
ko:K01356	saur:SABB_00170
ko:K00364	saur:SABB_02805
ko:K02954	saur:SABB_00173
ko:K02913	saur:SABB_05519
ko:K03781	saur:SABB_03627
ko:K00872	saur:SABB_02806
ko:K01733	saur:SABB_00179
ko:K00003	saur:SABB_00180
ko:K00928	saur:SABB_00181
ko:K01992	saur:SABB_00188
ko:K01990	saur:SABB_00189
ko:K06131	saur:SABB_05413
ko:K01620	saur:SABB_00191
ko:K09748	saur:SABB_00241
ko:K03763	saur:SABB_02813
ko:K01881	saur:SABB_00243
ko:K11749	saur:SABB_00244
ko:K00981	saur:SABB_00245
ko:K00806	saur:SABB_00246
ko:K02838	saur:SABB_00247
ko:K09903	saur:SABB_02814
ko:K02357	saur:SABB_00249
ko:K02967	saur:SABB_00250
ko:K03706	saur:SABB_00251
ko:K03667	saur:SABB_03310
ko:K01419	saur:SABB_00253
ko:K03733	saur:SABB_00254
ko:K04094	saur:SABB_00255
ko:K03168	saur:SABB_00256
ko:K04096	saur:SABB_03311
ko:K01902	saur:SABB_00260
ko:K01903	saur:SABB_00261
ko:K03470	saur:SABB_00262
ko:K14540	saur:SABB_00263
ko:K02884	saur:SABB_00265
ko:K00554	saur:SABB_00266
ko:K02860	saur:SABB_00267
ko:K02959	saur:SABB_00268
ko:K03106	saur:SABB_00269
ko:K09787	saur:SABB_00270
ko:K03110	saur:SABB_00271
ko:K03529	saur:SABB_00272
ko:K03685	saur:SABB_00273
ko:K02078	saur:SABB_00274
ko:K00059	saur:SABB_05422
ko:K00645	saur:SABB_00276
ko:K03621	saur:SABB_00277
ko:K03655	saur:SABB_00279
ko:K07030	saur:SABB_00280
ko:K02902	saur:SABB_05526
ko:K01783	saur:SABB_00283
ko:K06949	saur:SABB_00284
ko:K06941	saur:SABB_00287
ko:K03500	saur:SABB_02817
ko:K07651	saur:SABB_00415
ko:K07775	saur:SABB_03639
ko:K06178	saur:SABB_00417
ko:K06024	saur:SABB_00418
ko:K05896	saur:SABB_02840
ko:K09763	saur:SABB_00420
ko:K04763	saur:SABB_00421
ko:K03711	saur:SABB_00422
ko:K01515	saur:SABB_00423
ko:K07124	saur:SABB_00426
ko:K00286	saur:SABB_02610
ko:K00784	saur:SABB_00428
ko:K00036	saur:SABB_00429
ko:K01187	saur:SABB_00431
ko:K07447	saur:SABB_00534
ko:K01872	saur:SABB_00536
ko:K03581	saur:SABB_00537
ko:K00566	saur:SABB_00539
ko:K04487	saur:SABB_00540
ko:K17472	saur:SABB_00542
ko:K07478	saur:SABB_04173
ko:K01876	saur:SABB_00545
ko:K01892	saur:SABB_00546
ko:K01448	saur:SABB_00547
ko:K07560	saur:SABB_03341
ko:K00951	saur:SABB_03342
ko:K07491	saur:SABB_05277
ko:K00759	saur:SABB_00551
ko:K07462	saur:SABB_00552
ko:K12257	saur:SABB_00553
ko:K03210	saur:SABB_00554
ko:K00773	saur:SABB_00555
ko:K07568	saur:SABB_00556
ko:K03551	saur:SABB_00557
ko:K03550	saur:SABB_00558
ko:K06209	saur:SABB_03950
ko:K03979	saur:SABB_00560
ko:K02899	saur:SABB_00561
ko:K07584	saur:SABB_00562
ko:K02888	saur:SABB_00563
ko:K03571	saur:SABB_00564
ko:K03570	saur:SABB_00565
ko:K04763	saur:SABB_05236
ko:K03630	saur:SABB_05268
ko:K02236	saur:SABB_01790
ko:K11754	saur:SABB_03695
ko:K01873	saur:SABB_01792
ko:K01246	saur:SABB_01793
ko:K07120	saur:SABB_01794
ko:K01845	saur:SABB_01795
ko:K01698	saur:SABB_01796
ko:K01719	saur:SABB_01797
ko:K01749	saur:SABB_01798
ko:K02497	saur:SABB_01799
ko:K03797	saur:SABB_00093
ko:K02563	saur:SABB_00095
ko:K00164	saur:SABB_00100
ko:K00658	saur:SABB_00101
ko:K03311	saur:SABB_02787
ko:K01512	saur:SABB_02789
ko:K01586	saur:SABB_00112
ko:K01775	saur:SABB_00113
ko:K05822	saur:SABB_00115
ko:K00215	saur:SABB_00116
ko:K01714	saur:SABB_00117
ko:K00133	saur:SABB_00118
ko:K00928	saur:SABB_00119
ko:K07491	saur:SABB_05276
ko:K00243	saur:SABB_00122
ko:K02040	saur:SABB_00124
ko:K02037	saur:SABB_00125
ko:K02038	saur:SABB_00126
ko:K02036	saur:SABB_00127
ko:K02039	saur:SABB_00128
ko:K02033	saur:SABB_05421
ko:K02034	saur:SABB_04214
ko:K11695	saur:SABB_00137
ko:K11694	saur:SABB_00138
ko:K01695	saur:SABB_02797
ko:K01696	saur:SABB_00140
ko:K01915	saur:SABB_00198
ko:K03713	saur:SABB_03905
ko:K03665	saur:SABB_02593
ko:K00432	saur:SABB_00202
ko:K03666	saur:SABB_00203
ko:K00791	saur:SABB_03779
ko:K00111	saur:SABB_00206
ko:K00864	saur:SABB_00207
ko:K02440	saur:SABB_00208
ko:K02443	saur:SABB_00209
ko:K03572	saur:SABB_00210
ko:K03555	saur:SABB_00211
ko:K06168	saur:SABB_00214
ko:K00175	saur:SABB_00216
ko:K00174	saur:SABB_03781
ko:K09769	saur:SABB_03304
ko:K00995	saur:SABB_03305
ko:K00059	saur:SABB_00226
ko:K03466	saur:SABB_00230
ko:K12574	saur:SABB_02594
ko:K00962	saur:SABB_00232
ko:K02956	saur:SABB_00233
ko:K11753	saur:SABB_00234
ko:K03177	saur:SABB_00235
ko:K02834	saur:SABB_00236
ko:K02519	saur:SABB_00237
ko:K07742	saur:SABB_00239
ko:K02600	saur:SABB_00240
ko:K00604	saur:SABB_03312
ko:K01462	saur:SABB_00290
ko:K04066	saur:SABB_05206
ko:K13038	saur:SABB_00294
ko:K03060	saur:SABB_00295
ko:K00942	saur:SABB_00296
ko:K00762	saur:SABB_00300
ko:K01591	saur:SABB_03313
ko:K01955	saur:SABB_00302
ko:K01956	saur:SABB_02597
ko:K01465	saur:SABB_03314
ko:K00609	saur:SABB_00305
ko:K02824	saur:SABB_00306
ko:K02825	saur:SABB_02821
ko:K06180	saur:SABB_00308
ko:K03101	saur:SABB_00309
ko:K07104	saur:SABB_00310
ko:K01870	saur:SABB_03316
ko:K04074	saur:SABB_00312
ko:K02221	saur:SABB_00314
ko:K09772	saur:SABB_04399
ko:K05810	saur:SABB_00317
ko:K03531	saur:SABB_00318
ko:K03590	saur:SABB_00319
ko:K03589	saur:SABB_00320
ko:K01925	saur:SABB_00321
ko:K01000	saur:SABB_00322
ko:K12552	saur:SABB_02599
ko:K03438	saur:SABB_00325
ko:K03925	saur:SABB_00326
ko:K07025	saur:SABB_00329
ko:K11041	saur:SABB_00330
ko:K00926	saur:SABB_02824
ko:K00611	saur:SABB_00334
ko:K00033	saur:SABB_00434
ko:K09699	saur:SABB_00438
ko:K00167	saur:SABB_00439
ko:K00166	saur:SABB_00440
ko:K00382	saur:SABB_00441
ko:K03631	saur:SABB_00442
ko:K03402	saur:SABB_02844
ko:K13789	saur:SABB_05032
ko:K03602	saur:SABB_00445
ko:K03601	saur:SABB_00446
ko:K03625	saur:SABB_03331
ko:K01961	saur:SABB_00449
ko:K02160	saur:SABB_00450
ko:K02356	saur:SABB_00451
ko:K03800	saur:SABB_00455
ko:K00283	saur:SABB_00457
ko:K00282	saur:SABB_03797
ko:K00605	saur:SABB_00459
ko:K00891	saur:SABB_00460
ko:K02246	saur:SABB_04962
ko:K02245	saur:SABB_02848
ko:K02244	saur:SABB_00465
ko:K02243	saur:SABB_00466
ko:K00845	saur:SABB_00469
ko:K02913	saur:SABB_05520
ko:K12553	saur:SABB_00472
ko:K04564	saur:SABB_00473
ko:K02076	saur:SABB_00474
ko:K09816	saur:SABB_00475
ko:K09817	saur:SABB_00476
ko:K01151	saur:SABB_00477
ko:K02492	saur:SABB_03696
ko:K03978	saur:SABB_01801
