ko:K01214	cmz:TAC_01630
ko:K03733	cmz:TAC_03290
ko:K06287	cmz:TAC_03300
ko:K03075	cmz:TAC_03315
ko:K01462	cmz:TAC_03320
ko:K02528	cmz:TAC_03325
ko:K03625	cmz:TAC_01155
ko:K02520	cmz:TAC_01160
ko:K02916	cmz:TAC_01165
ko:K02887	cmz:TAC_01170
ko:K01889	cmz:TAC_01175
ko:K11720	cmz:TAC_01195
ko:K07091	cmz:TAC_01200
ko:K04075	cmz:TAC_01205
ko:K03798	cmz:TAC_01210
ko:K00962	cmz:TAC_01215
ko:K02956	cmz:TAC_01220
ko:K11991	cmz:TAC_01225
ko:K01265	cmz:TAC_01265
ko:K01679	cmz:TAC_01285
ko:K03321	cmz:TAC_01290
ko:K03527	cmz:TAC_01305
ko:K04763	cmz:TAC_01340
ko:K00700	cmz:TAC_01350
ko:K09779	cmz:TAC_01410
ko:K02435	cmz:TAC_01415
ko:K02433	cmz:TAC_01420
ko:K02434	cmz:TAC_01425
ko:K03471	cmz:TAC_01445
ko:K02517	cmz:TAC_01455
ko:K00425	cmz:TAC_01475
ko:K00426	cmz:TAC_01480
ko:K07175	cmz:TAC_01485
ko:K01870	cmz:TAC_01505
ko:K03100	cmz:TAC_01510
ko:K02909	cmz:TAC_01520
ko:K02835	cmz:TAC_01525
ko:K06888	cmz:TAC_03335
ko:K03523	cmz:TAC_03355
ko:K01714	cmz:TAC_03365
ko:K00928	cmz:TAC_03370
ko:K00133	cmz:TAC_03375
ko:K00215	cmz:TAC_03380
ko:K00800	cmz:TAC_03390
ko:K00891	cmz:TAC_03395
ko:K01736	cmz:TAC_03400
ko:K01735	cmz:TAC_03405
ko:K13832	cmz:TAC_03410
ko:K03758	cmz:TAC_03430
ko:K00024	cmz:TAC_03440
ko:K08274	cmz:TAC_03445
ko:K01810	cmz:TAC_03450
ko:K03665	cmz:TAC_03455
ko:K06167	cmz:TAC_03460
ko:K09996	cmz:TAC_03465
ko:K03856	cmz:TAC_03470
ko:K06966	cmz:TAC_03505
ko:K09131	cmz:TAC_03510
ko:K10206	cmz:TAC_03520
ko:K01881	cmz:TAC_03535
ko:K03705	cmz:TAC_03540
ko:K03687	cmz:TAC_03545
ko:K04043	cmz:TAC_03550
ko:K12573	cmz:TAC_03555
ko:K07164	cmz:TAC_03560
ko:K06041	cmz:TAC_03570
ko:K00658	cmz:TAC_03575
ko:K00912	cmz:TAC_03585
ko:K03437	cmz:TAC_03590
ko:K06969	cmz:TAC_03595
ko:K00793	cmz:TAC_03600
ko:K07738	cmz:TAC_03605
ko:K06204	cmz:TAC_03610
ko:K03101	cmz:TAC_03615
ko:K03310	cmz:TAC_03620
ko:K00970	cmz:TAC_03625
ko:K02493	cmz:TAC_01530
ko:K03106	cmz:TAC_01535
ko:K02959	cmz:TAC_01540
ko:K00554	cmz:TAC_01545
ko:K02884	cmz:TAC_01550
ko:K03470	cmz:TAC_01555
ko:K00942	cmz:TAC_01560
ko:K01874	cmz:TAC_01570
ko:K03581	cmz:TAC_01575
ko:K01494	cmz:TAC_01615
ko:K03551	cmz:TAC_01620
ko:K03111	cmz:TAC_01640
ko:K01255	cmz:TAC_01650
ko:K02340	cmz:TAC_01660
ko:K07056	cmz:TAC_01665
ko:K00164	cmz:TAC_01700
ko:K00658	cmz:TAC_01705
ko:K05810	cmz:TAC_01710
ko:K03526	cmz:TAC_01715
ko:K02400	cmz:TAC_01735
ko:K02405	cmz:TAC_01740
ko:K01866	cmz:TAC_01745
ko:K00033	cmz:TAC_01750
ko:K03596	cmz:TAC_01755
ko:K03301	cmz:TAC_01760
ko:K11707	cmz:TAC_01785
ko:K11710	cmz:TAC_01790
ko:K11708	cmz:TAC_01795
ko:K11709	cmz:TAC_01800
ko:K00099	cmz:TAC_01805
ko:K03629	cmz:TAC_01820
ko:K02338	cmz:TAC_01825
ko:K00748	cmz:TAC_03630
ko:K09815	cmz:TAC_03655
ko:K09817	cmz:TAC_03660
ko:K09816	cmz:TAC_03665
ko:K03979	cmz:TAC_03670
ko:K02899	cmz:TAC_03675
ko:K02888	cmz:TAC_03680
ko:K07042	cmz:TAC_03710
ko:K07081	cmz:TAC_03740
ko:K03183	cmz:TAC_03745
ko:K01778	cmz:TAC_03755
ko:K01358	cmz:TAC_03760
ko:K00600	cmz:TAC_03765
ko:K01719	cmz:TAC_03770
ko:K01770	cmz:TAC_03775
ko:K00380	cmz:TAC_03780
ko:K02946	cmz:TAC_03785
ko:K02355	cmz:TAC_03790
ko:K02992	cmz:TAC_03795
ko:K02950	cmz:TAC_03800
ko:K03797	cmz:TAC_03810
ko:K01885	cmz:TAC_03840
ko:K07462	cmz:TAC_03850
ko:K12257	cmz:TAC_03855
ko:K00806	cmz:TAC_03870
ko:K00981	cmz:TAC_03875
ko:K00945	cmz:TAC_03880
ko:K00655	cmz:TAC_03885
ko:K01887	cmz:TAC_03890
ko:K00790	cmz:TAC_03895
ko:K03825	cmz:TAC_03910
ko:K07098	cmz:TAC_03930
ko:K03980	cmz:TAC_04850
ko:K01151	cmz:TAC_04855
ko:K02986	cmz:TAC_04860
ko:K07146	cmz:TAC_04870
ko:K13789	cmz:TAC_04875
ko:K03664	cmz:TAC_01830
ko:K03734	cmz:TAC_01835
ko:K01491	cmz:TAC_01840
ko:K08275	cmz:TAC_01850
ko:K02902	cmz:TAC_01875
ko:K00705	cmz:TAC_01880
ko:K03230	cmz:TAC_01895
ko:K03229	cmz:TAC_01900
ko:K06942	cmz:TAC_01905
ko:K11753	cmz:TAC_01910
ko:K03177	cmz:TAC_01915
ko:K02834	cmz:TAC_01920
ko:K02519	cmz:TAC_01925
ko:K02600	cmz:TAC_01930
ko:K02945	cmz:TAC_01935
ko:K00384	cmz:TAC_01940
ko:K00997	cmz:TAC_01945
ko:K00208	cmz:TAC_01965
ko:K06179	cmz:TAC_01975
ko:K03575	cmz:TAC_01980
ko:K04077	cmz:TAC_01995
ko:K04078	cmz:TAC_02000
ko:K08602	cmz:TAC_02005
ko:K03695	cmz:TAC_02015
ko:K01783	cmz:TAC_02055
ko:K02356	cmz:TAC_02060
ko:K02160	cmz:TAC_02065
ko:K01961	cmz:TAC_02070
ko:K02871	cmz:TAC_02075
ko:K02996	cmz:TAC_02080
ko:K00939	cmz:TAC_02090
ko:K02029	cmz:TAC_02095
ko:K02028	cmz:TAC_02100
ko:K07058	cmz:TAC_02110
ko:K06999	cmz:TAC_02130
ko:K07566	cmz:TAC_02135
ko:K01698	cmz:TAC_00005
ko:K00346	cmz:TAC_00010
ko:K04771	cmz:TAC_01105
ko:K02031	cmz:TAC_00340
ko:K11645	cmz:TAC_02570
ko:K11749	cmz:TAC_01810
ko:K19405	cmz:TAC_00240
ko:K19411	cmz:TAC_00245
ko:K07125	cmz:TAC_03160
ko:K02032	cmz:TAC_00335
ko:K14237	cmz:TAC_01140
ko:K01977	cmz:TAC_00610
ko:K01977	cmz:TAC_00685
ko:K12132	cmz:TAC_03025
ko:K20074	cmz:TAC_02800
ko:K20265	cmz:TAC_02575
ko:K14234	cmz:TAC_00235
ko:K14225	cmz:TAC_00280
ko:K14225	cmz:TAC_00430
ko:K01985	cmz:TAC_00620
ko:K01985	cmz:TAC_00695
ko:K14233	cmz:TAC_01180
ko:K14232	cmz:TAC_01730
ko:K14237	cmz:TAC_02615
ko:K14227	cmz:TAC_02365
ko:K14230	cmz:TAC_02520
ko:K14220	cmz:TAC_01605
ko:K01980	cmz:TAC_00615
ko:K01980	cmz:TAC_00690
ko:K14234	cmz:TAC_02165
ko:K01978	cmz:TAC_03565
ko:K21053	cmz:TAC_02300
ko:K22100	cmz:TAC_03180
ko:K22099	cmz:TAC_04775
ko:K00526	cmz:TAC_01130
ko:K02335	cmz:TAC_04125
ko:K00287	cmz:TAC_04780
ko:K03553	cmz:TAC_00100
ko:K02316	cmz:TAC_00930
ko:K01520	cmz:TAC_02975
ko:K02314	cmz:TAC_04155
ko:K00525	cmz:TAC_01125
ko:K02050	cmz:TAC_01280
ko:K02051	cmz:TAC_01280
ko:K03309	cmz:TAC_03580
ko:K01829	cmz:TAC_00885
ko:K14236	cmz:TAC_02170
ko:K14226	cmz:TAC_00600
ko:K01534	cmz:TAC_00535
ko:K16239	cmz:TAC_01870
ko:K04058	cmz:TAC_01890
