ko:K07050	bsf:BSS2_I1026
ko:K16079	bsf:BSS2_I0948
ko:K09803	bsf:BSS2_I0952
ko:K02498	bsf:BSS2_I1822
ko:K01719	bsf:BSS2_I1824
ko:K01749	bsf:BSS2_I1825
ko:K01409	bsf:BSS2_I1826
ko:K00057	bsf:BSS2_I1827
ko:K09780	bsf:BSS2_I1828
ko:K03466	bsf:BSS2_I1832
ko:K03320	bsf:BSS2_I1834
ko:K10805	bsf:BSS2_I1835
ko:K03185	bsf:BSS2_I1836
ko:K00240	bsf:BSS2_I1838
ko:K00239	bsf:BSS2_I1839
ko:K00242	bsf:BSS2_I1840
ko:K00241	bsf:BSS2_I1841
ko:K01703	bsf:BSS2_I1843
ko:K02884	bsf:BSS2_I1844
ko:K03457	bsf:BSS2_I1845
ko:K00554	bsf:BSS2_I1850
ko:K02860	bsf:BSS2_I1851
ko:K03733	bsf:BSS2_I1852
ko:K09973	bsf:BSS2_I1853
ko:K00382	bsf:BSS2_I1854
ko:K00658	bsf:BSS2_I1858
ko:K00164	bsf:BSS2_I1859
ko:K01902	bsf:BSS2_I1861
ko:K01903	bsf:BSS2_I1862
ko:K00024	bsf:BSS2_I1863
ko:K06916	bsf:BSS2_I1865
ko:K01778	bsf:BSS2_I1868
ko:K00481	bsf:BSS2_II0612
ko:K02623	bsf:BSS2_II0613
ko:K01055	bsf:BSS2_II0614
ko:K01607	bsf:BSS2_II0615
ko:K00449	bsf:BSS2_II0616
ko:K00448	bsf:BSS2_II0617
ko:K01857	bsf:BSS2_II0618
ko:K01999	bsf:BSS2_II0619
ko:K01997	bsf:BSS2_II0620
ko:K01998	bsf:BSS2_II0621
ko:K01995	bsf:BSS2_II0622
ko:K01996	bsf:BSS2_II0623
ko:K01486	bsf:BSS2_II0624
ko:K01273	bsf:BSS2_II0625
ko:K05813	bsf:BSS2_II0626
ko:K05814	bsf:BSS2_II0627
ko:K05815	bsf:BSS2_II0628
ko:K05816	bsf:BSS2_II0629
ko:K06901	bsf:BSS2_II0632
ko:K07090	bsf:BSS2_II0638
ko:K07077	bsf:BSS2_II0639
ko:K00128	bsf:BSS2_II0641
ko:K02016	bsf:BSS2_II0643
ko:K02015	bsf:BSS2_II0644
ko:K02013	bsf:BSS2_II0645
ko:K01469	bsf:BSS2_II0648
ko:K02424	bsf:BSS2_II0649
ko:K10009	bsf:BSS2_II0650
ko:K10010	bsf:BSS2_II0651
ko:K01524	bsf:BSS2_II0652
ko:K02427	bsf:BSS2_II0653
ko:K17317	bsf:BSS2_II0657
ko:K17316	bsf:BSS2_II0658
ko:K17315	bsf:BSS2_II0659
ko:K00794	bsf:BSS2_II0661
ko:K02011	bsf:BSS2_II0664
ko:K02012	bsf:BSS2_II0665
ko:K02010	bsf:BSS2_II0666
ko:K02510	bsf:BSS2_II1094
ko:K02509	bsf:BSS2_II1096
ko:K00151	bsf:BSS2_II1098
ko:K01826	bsf:BSS2_II1099
ko:K07025	bsf:BSS2_II1104
ko:K01999	bsf:BSS2_II1110
ko:K01997	bsf:BSS2_II1111
ko:K01995	bsf:BSS2_II1112
ko:K01998	bsf:BSS2_II1112
ko:K01996	bsf:BSS2_II1113
ko:K00337	bsf:BSS2_I0791
ko:K00338	bsf:BSS2_I0792
ko:K00339	bsf:BSS2_I0793
ko:K00340	bsf:BSS2_I0794
ko:K00341	bsf:BSS2_I0795
ko:K00342	bsf:BSS2_I0796
ko:K00343	bsf:BSS2_I0797
ko:K03524	bsf:BSS2_I0798
ko:K12574	bsf:BSS2_I0799
ko:K05606	bsf:BSS2_I0800
ko:K01881	bsf:BSS2_I0804
ko:K09808	bsf:BSS2_I0805
ko:K09810	bsf:BSS2_I0806
ko:K02337	bsf:BSS2_I0807
ko:K02986	bsf:BSS2_I0812
ko:K14058	bsf:BSS2_I0813
ko:K07552	bsf:BSS2_I0816
ko:K07390	bsf:BSS2_I0817
ko:K01952	bsf:BSS2_I0819
ko:K01952	bsf:BSS2_I0822
ko:K01952	bsf:BSS2_I0823
ko:K01923	bsf:BSS2_I0824
ko:K02510	bsf:BSS2_I0826
ko:K07002	bsf:BSS2_I0827
ko:K07104	bsf:BSS2_I0830
ko:K01756	bsf:BSS2_I0831
ko:K01783	bsf:BSS2_I0832
ko:K02517	bsf:BSS2_I0833
ko:K09458	bsf:BSS2_I0835
ko:K09458	bsf:BSS2_I0836
ko:K01785	bsf:BSS2_I0839
ko:K00874	bsf:BSS2_I0840
ko:K06162	bsf:BSS2_I0842
ko:K05539	bsf:BSS2_I0844
ko:K06985	bsf:BSS2_I0845
ko:K06938	bsf:BSS2_I0846
ko:K02233	bsf:BSS2_I0847
ko:K00768	bsf:BSS2_I0848
ko:K00949	bsf:BSS2_I1701
ko:K02064	bsf:BSS2_I1702
ko:K02063	bsf:BSS2_I1703
ko:K02062	bsf:BSS2_I1704
ko:K03089	bsf:BSS2_I1708
ko:K07736	bsf:BSS2_I1711
ko:K05524	bsf:BSS2_I1712
ko:K04762	bsf:BSS2_I1714
ko:K00626	bsf:BSS2_I1717
ko:K02911	bsf:BSS2_I1719
ko:K03814	bsf:BSS2_I1720
ko:K00795	bsf:BSS2_I1721
ko:K00019	bsf:BSS2_I1723
ko:K01958	bsf:BSS2_I1724
ko:K01999	bsf:BSS2_I1725
ko:K01999	bsf:BSS2_I1728
ko:K01995	bsf:BSS2_I1731
ko:K01998	bsf:BSS2_I1732
ko:K01997	bsf:BSS2_I1733
ko:K12658	bsf:BSS2_I1734
ko:K06075	bsf:BSS2_I1737
ko:K02114	bsf:BSS2_I1739
ko:K02112	bsf:BSS2_I1740
ko:K02115	bsf:BSS2_I1741
ko:K02111	bsf:BSS2_I1742
ko:K02113	bsf:BSS2_I1743
ko:K04066	bsf:BSS2_I1745
ko:K00616	bsf:BSS2_I1746
ko:K03643	bsf:BSS2_I1747
ko:K01869	bsf:BSS2_I1748
ko:K06997	bsf:BSS2_I1749
ko:K01895	bsf:BSS2_I1752
ko:K03799	bsf:BSS2_I1754
ko:K03500	bsf:BSS2_I1755
ko:K00602	bsf:BSS2_I1757
ko:K09699	bsf:BSS2_II0501
ko:K00382	bsf:BSS2_II0502
ko:K14998	bsf:BSS2_II0503
ko:K03466	bsf:BSS2_II0505
ko:K01266	bsf:BSS2_II0506
ko:K08369	bsf:BSS2_II0507
ko:K03919	bsf:BSS2_II0508
ko:K10823	bsf:BSS2_II0509
ko:K15583	bsf:BSS2_II0509
ko:K15582	bsf:BSS2_II0510
ko:K15581	bsf:BSS2_II0511
ko:K15580	bsf:BSS2_II0512
ko:K15580	bsf:BSS2_II0513
ko:K00012	bsf:BSS2_II0520
ko:K07039	bsf:BSS2_II0528
ko:K13772	bsf:BSS2_II0534
ko:K03594	bsf:BSS2_II0537
ko:K14441	bsf:BSS2_II0538
ko:K02058	bsf:BSS2_II0539
ko:K02057	bsf:BSS2_II0540
ko:K02057	bsf:BSS2_II0541
ko:K02056	bsf:BSS2_II0542
ko:K01004	bsf:BSS2_II0544
ko:K03185	bsf:BSS2_II0545
ko:K11940	bsf:BSS2_II0546
ko:K02035	bsf:BSS2_II0548
ko:K03723	bsf:BSS2_II0551
ko:K09159	bsf:BSS2_II0552
ko:K03655	bsf:BSS2_II0553
ko:K00820	bsf:BSS2_II0554
ko:K04042	bsf:BSS2_II0555
ko:K06196	bsf:BSS2_II0556
ko:K02035	bsf:BSS2_II1043
ko:K02033	bsf:BSS2_II1044
ko:K02034	bsf:BSS2_II1045
ko:K01426	bsf:BSS2_II1048
ko:K11078	bsf:BSS2_II1049
ko:K01845	bsf:BSS2_II1051
ko:K01628	bsf:BSS2_II1053
ko:K09815	bsf:BSS2_II1061
ko:K09817	bsf:BSS2_II1062
ko:K09816	bsf:BSS2_II1063
ko:K00955	bsf:BSS2_I0191
ko:K01082	bsf:BSS2_I0192
ko:K02444	bsf:BSS2_I0195
ko:K00111	bsf:BSS2_I0196
ko:K00138	bsf:BSS2_I0197
ko:K13953	bsf:BSS2_I0198
ko:K09959	bsf:BSS2_I0199
ko:K15599	bsf:BSS2_I0204
ko:K03707	bsf:BSS2_I0205
ko:K15598	bsf:BSS2_I0206
ko:K00788	bsf:BSS2_I0207
ko:K03149	bsf:BSS2_I0208
ko:K03154	bsf:BSS2_I0209
ko:K03153	bsf:BSS2_I0210
ko:K00941	bsf:BSS2_I0211
ko:K05846	bsf:BSS2_I0215
ko:K05847	bsf:BSS2_I0216
ko:K05846	bsf:BSS2_I0217
ko:K05845	bsf:BSS2_I0218
ko:K00262	bsf:BSS2_I0220
ko:K00303	bsf:BSS2_I0222
ko:K00305	bsf:BSS2_I0225
ko:K02027	bsf:BSS2_I0227
ko:K02025	bsf:BSS2_I0228
ko:K02026	bsf:BSS2_I0229
ko:K10112	bsf:BSS2_I0230
ko:K03534	bsf:BSS2_I0232
ko:K18335	bsf:BSS2_I0235
ko:K18334	bsf:BSS2_I0237
ko:K09862	bsf:BSS2_I0240
ko:K06287	bsf:BSS2_I0241
ko:K02518	bsf:BSS2_I0242
ko:K00013	bsf:BSS2_I0245
ko:K09919	bsf:BSS2_I1136
ko:K02503	bsf:BSS2_I1137
ko:K03694	bsf:BSS2_I1138
ko:K06891	bsf:BSS2_I1139
ko:K01752	bsf:BSS2_I1144
ko:K09457	bsf:BSS2_I1152
ko:K01965	bsf:BSS2_I1157
ko:K01847	bsf:BSS2_I1158
ko:K07080	bsf:BSS2_I1162
ko:K01776	bsf:BSS2_I1163
ko:K02533	bsf:BSS2_I1164
ko:K05520	bsf:BSS2_I1165
ko:K00031	bsf:BSS2_I1167
ko:K01077	bsf:BSS2_I1168
ko:K01872	bsf:BSS2_I1169
ko:K07478	bsf:BSS2_I1174
ko:K02879	bsf:BSS2_I1176
ko:K03040	bsf:BSS2_I1177
ko:K02948	bsf:BSS2_I1178
ko:K02952	bsf:BSS2_I1179
ko:K00939	bsf:BSS2_I1180
ko:K03076	bsf:BSS2_I1181
ko:K02876	bsf:BSS2_I1182
ko:K02907	bsf:BSS2_I1183
ko:K02988	bsf:BSS2_I1184
ko:K02881	bsf:BSS2_I1185
ko:K02933	bsf:BSS2_I1186
ko:K02994	bsf:BSS2_I1187
ko:K02954	bsf:BSS2_I1188
ko:K02931	bsf:BSS2_I1189
ko:K02895	bsf:BSS2_I1190
ko:K01695	bsf:BSS2_I2042
ko:K01696	bsf:BSS2_I2044
ko:K01817	bsf:BSS2_I2045
ko:K07043	bsf:BSS2_I2047
ko:K05782	bsf:BSS2_I2049
ko:K02520	bsf:BSS2_I2051
ko:K02916	bsf:BSS2_I2053
ko:K02887	bsf:BSS2_I2054
ko:K01889	bsf:BSS2_I2056
ko:K01890	bsf:BSS2_I2057
ko:K04043	bsf:BSS2_I2059
ko:K03686	bsf:BSS2_I2060
ko:K00570	bsf:BSS2_I2061
ko:K01591	bsf:BSS2_I2062
ko:K01920	bsf:BSS2_I2064
ko:K07391	bsf:BSS2_I2066
ko:K03642	bsf:BSS2_I2069
ko:K09790	bsf:BSS2_I2071
ko:K02040	bsf:BSS2_I2072
ko:K02037	bsf:BSS2_I2073
ko:K02038	bsf:BSS2_I2074
ko:K02036	bsf:BSS2_I2075
ko:K02039	bsf:BSS2_I2076
ko:K07657	bsf:BSS2_I2077
ko:K04047	bsf:BSS2_I2083
ko:K03789	bsf:BSS2_I2085
ko:K06168	bsf:BSS2_I2087
ko:K07042	bsf:BSS2_I2090
ko:K03820	bsf:BSS2_I2092
ko:K00789	bsf:BSS2_I2094
ko:K03439	bsf:BSS2_I2095
ko:K09748	bsf:BSS2_I2096
ko:K02600	bsf:BSS2_I2097
ko:K07742	bsf:BSS2_I2098
ko:K02519	bsf:BSS2_I2099
ko:K02834	bsf:BSS2_I2100
ko:K03177	bsf:BSS2_I2101
ko:K15584	bsf:BSS2_II0763
ko:K07722	bsf:BSS2_II0764
ko:K01708	bsf:BSS2_II0765
ko:K02053	bsf:BSS2_II0766
ko:K02052	bsf:BSS2_II0767
ko:K02055	bsf:BSS2_II0768
ko:K01812	bsf:BSS2_II0769
ko:K01686	bsf:BSS2_II0771
ko:K06199	bsf:BSS2_II0773
ko:K06199	bsf:BSS2_II0774
ko:K09137	bsf:BSS2_II0775
ko:K13582	bsf:BSS2_II0777
ko:K07090	bsf:BSS2_II0779
ko:K06953	bsf:BSS2_II0781
ko:K03724	bsf:BSS2_II0782
ko:K00459	bsf:BSS2_II0787
ko:K06158	bsf:BSS2_I0674
ko:K00940	bsf:BSS2_I0676
ko:K09914	bsf:BSS2_I0677
ko:K03635	bsf:BSS2_I0678
ko:K03636	bsf:BSS2_I0679
ko:K03703	bsf:BSS2_I0681
ko:K16079	bsf:BSS2_I0683
ko:K00799	bsf:BSS2_I0684
ko:K01166	bsf:BSS2_I0685
ko:K07115	bsf:BSS2_I0687
ko:K11175	bsf:BSS2_I0691
ko:K01933	bsf:BSS2_I0692
ko:K01784	bsf:BSS2_I0697
ko:K03303	bsf:BSS2_I0702
ko:K00939	bsf:BSS2_I0706
ko:K01760	bsf:BSS2_I0721
ko:K09969	bsf:BSS2_I0723
ko:K09970	bsf:BSS2_I0725
ko:K09971	bsf:BSS2_I0726
ko:K09972	bsf:BSS2_I0727
ko:K00480	bsf:BSS2_I0728
ko:K00135	bsf:BSS2_I1590
ko:K01247	bsf:BSS2_I1595
ko:K01894	bsf:BSS2_I1596
ko:K01638	bsf:BSS2_I1597
ko:K03823	bsf:BSS2_I1598
ko:K03089	bsf:BSS2_I1599
ko:K06180	bsf:BSS2_I1600
ko:K03711	bsf:BSS2_I1603
ko:K03088	bsf:BSS2_I1607
ko:K03561	bsf:BSS2_I1615
ko:K03559	bsf:BSS2_I1616
ko:K03832	bsf:BSS2_I1617
ko:K13888	bsf:BSS2_I1619
ko:K05800	bsf:BSS2_I1622
ko:K01939	bsf:BSS2_I1629
ko:K00058	bsf:BSS2_I1631
ko:K00831	bsf:BSS2_I1633
ko:K03453	bsf:BSS2_I1634
ko:K03431	bsf:BSS2_I1636
ko:K03798	bsf:BSS2_I1637
ko:K04075	bsf:BSS2_I1638
ko:K01714	bsf:BSS2_II0388
ko:K02034	bsf:BSS2_II0389
ko:K02033	bsf:BSS2_II0390
ko:K02035	bsf:BSS2_II0391
ko:K01991	bsf:BSS2_II0398
ko:K02377	bsf:BSS2_II0399
ko:K01711	bsf:BSS2_II0400
ko:K16079	bsf:BSS2_II0403
ko:K03818	bsf:BSS2_II0404
ko:K02851	bsf:BSS2_II0407
ko:K01845	bsf:BSS2_II0412
ko:K01790	bsf:BSS2_II0416
ko:K00978	bsf:BSS2_II0418
ko:K00864	bsf:BSS2_II0422
ko:K08224	bsf:BSS2_II0423
ko:K07305	bsf:BSS2_II0425
ko:K00626	bsf:BSS2_II0427
ko:K01895	bsf:BSS2_II0429
ko:K00058	bsf:BSS2_II0432
ko:K01462	bsf:BSS2_II0433
ko:K09781	bsf:BSS2_II0434
ko:K07112	bsf:BSS2_II0436
ko:K07112	bsf:BSS2_II0437
ko:K01993	bsf:BSS2_II0442
ko:K07401	bsf:BSS2_II0985
ko:K07461	bsf:BSS2_II0986
ko:K03596	bsf:BSS2_II0987
ko:K00329	bsf:BSS2_II0989
ko:K00356	bsf:BSS2_II0989
ko:K06153	bsf:BSS2_II0990
ko:K00799	bsf:BSS2_II0992
ko:K07261	bsf:BSS2_II0995
ko:K01734	bsf:BSS2_II0996
ko:K00845	bsf:BSS2_II0997
ko:K06147	bsf:BSS2_II0998
ko:K00215	bsf:BSS2_II0999
ko:K01834	bsf:BSS2_II1000
ko:K04719	bsf:BSS2_II1002
ko:K00154	bsf:BSS2_II1006
ko:K06131	bsf:BSS2_II1008
ko:K02837	bsf:BSS2_II1011
ko:K13038	bsf:BSS2_II1012
ko:K03688	bsf:BSS2_II1013
ko:K11068	bsf:BSS2_I0067
ko:K14162	bsf:BSS2_I0068
ko:K14161	bsf:BSS2_I0069
ko:K14160	bsf:BSS2_I0070
ko:K01940	bsf:BSS2_I0073
ko:K06941	bsf:BSS2_I0076
ko:K01724	bsf:BSS2_I0080
ko:K01104	bsf:BSS2_I0081
ko:K01975	bsf:BSS2_I0082
ko:K10804	bsf:BSS2_I0083
ko:K02003	bsf:BSS2_I0084
ko:K02004	bsf:BSS2_I0085
ko:K06890	bsf:BSS2_I0086
ko:K03823	bsf:BSS2_I0087
ko:K01681	bsf:BSS2_I0091
ko:K02193	bsf:BSS2_I0092
ko:K02194	bsf:BSS2_I0093
ko:K02195	bsf:BSS2_I0094
ko:K02196	bsf:BSS2_I0095
ko:K02199	bsf:BSS2_I0096
ko:K01687	bsf:BSS2_I0097
ko:K02048	bsf:BSS2_I0105
ko:K02046	bsf:BSS2_I0106
ko:K02047	bsf:BSS2_I0107
ko:K02045	bsf:BSS2_I0108
ko:K13688	bsf:BSS2_I0109
ko:K00763	bsf:BSS2_I0110
ko:K00847	bsf:BSS2_I0113
ko:K16079	bsf:BSS2_I0116
ko:K16079	bsf:BSS2_I0117
ko:K03684	bsf:BSS2_I0118
ko:K05592	bsf:BSS2_I0122
ko:K02470	bsf:BSS2_I0123
ko:K01070	bsf:BSS2_I0125
ko:K03809	bsf:BSS2_I1021
ko:K01754	bsf:BSS2_I1023
ko:K11927	bsf:BSS2_I1024
ko:K01738	bsf:BSS2_I1025
ko:K01011	bsf:BSS2_I1027
ko:K18118	bsf:BSS2_I1030
ko:K03446	bsf:BSS2_I1031
ko:K03543	bsf:BSS2_I1032
ko:K13953	bsf:BSS2_I1033
ko:K14347	bsf:BSS2_I1036
ko:K01784	bsf:BSS2_I1038
ko:K04765	bsf:BSS2_I1039
ko:K01868	bsf:BSS2_I1043
ko:K08998	bsf:BSS2_I1045
ko:K01495	bsf:BSS2_I1047
ko:K01496	bsf:BSS2_I1048
ko:K07001	bsf:BSS2_I1049
ko:K00252	bsf:BSS2_I1054
ko:K18138	bsf:BSS2_I1057
ko:K03585	bsf:BSS2_I1058
ko:K00773	bsf:BSS2_I1060
ko:K07568	bsf:BSS2_I1061
ko:K00954	bsf:BSS2_I1064
ko:K02469	bsf:BSS2_I1066
ko:K05595	bsf:BSS2_I1067
ko:K05774	bsf:BSS2_I1068
ko:K02043	bsf:BSS2_I1069
ko:K03701	bsf:BSS2_I1073
ko:K03530	bsf:BSS2_I1074
ko:K02221	bsf:BSS2_I1926
ko:K01507	bsf:BSS2_I1927
ko:K00655	bsf:BSS2_I1928
ko:K09811	bsf:BSS2_I1930
ko:K09812	bsf:BSS2_I1931
ko:K06188	bsf:BSS2_I1935
ko:K01142	bsf:BSS2_I1938
ko:K09125	bsf:BSS2_I1948
ko:K02902	bsf:BSS2_I1949
ko:K01534	bsf:BSS2_I1952
ko:K09883	bsf:BSS2_I1955
ko:K05527	bsf:BSS2_I1959
ko:K01735	bsf:BSS2_I1962
ko:K00891	bsf:BSS2_I1963
ko:K04763	bsf:BSS2_I1965
ko:K01962	bsf:BSS2_I1966
ko:K04085	bsf:BSS2_I1968
ko:K00059	bsf:BSS2_I1973
ko:K10112	bsf:BSS2_II0708
ko:K02027	bsf:BSS2_II0711
ko:K02025	bsf:BSS2_II0712
ko:K02026	bsf:BSS2_II0713
ko:K02013	bsf:BSS2_II0717
ko:K02015	bsf:BSS2_II0718
ko:K02016	bsf:BSS2_II0719
ko:K06075	bsf:BSS2_II0724
ko:K09761	bsf:BSS2_II0725
ko:K01919	bsf:BSS2_II0726
ko:K03601	bsf:BSS2_II0727
ko:K01915	bsf:BSS2_II0731
ko:K09471	bsf:BSS2_II0733
ko:K02433	bsf:BSS2_I0557
ko:K02426	bsf:BSS2_I0558
ko:K11357	bsf:BSS2_I0560
ko:K05366	bsf:BSS2_I0567
ko:K02200	bsf:BSS2_I0589
ko:K02197	bsf:BSS2_I0590
ko:K02198	bsf:BSS2_I0591
ko:K02200	bsf:BSS2_I0592
ko:K00982	bsf:BSS2_I0596
ko:K07716	bsf:BSS2_I0598
ko:K01256	bsf:BSS2_I0599
ko:K00311	bsf:BSS2_I0603
ko:K01241	bsf:BSS2_I0605
ko:K07126	bsf:BSS2_I0611
ko:K07659	bsf:BSS2_I1478
ko:K07638	bsf:BSS2_I1479
ko:K06878	bsf:BSS2_I1481
ko:K13292	bsf:BSS2_I1485
ko:K05810	bsf:BSS2_I1487
ko:K00948	bsf:BSS2_I1490
ko:K06915	bsf:BSS2_I1491
ko:K02897	bsf:BSS2_I1492
ko:K01056	bsf:BSS2_I1493
ko:K06942	bsf:BSS2_I1494
ko:K00759	bsf:BSS2_I1497
ko:K00413	bsf:BSS2_I1498
ko:K00412	bsf:BSS2_I1499
ko:K00411	bsf:BSS2_I1500
ko:K03216	bsf:BSS2_I1501
ko:K00228	bsf:BSS2_I1504
ko:K03824	bsf:BSS2_I1505
ko:K00970	bsf:BSS2_I1506
ko:K09986	bsf:BSS2_I1508
ko:K03924	bsf:BSS2_I1509
ko:K07393	bsf:BSS2_I1514
ko:K07275	bsf:BSS2_I1515
ko:K01649	bsf:BSS2_I1519
ko:K13503	bsf:BSS2_I1523
ko:K03719	bsf:BSS2_I1524
ko:K02002	bsf:BSS2_I1532
ko:K08303	bsf:BSS2_II0275
ko:K03182	bsf:BSS2_II0277
ko:K03186	bsf:BSS2_II0278
ko:K03769	bsf:BSS2_II0280
ko:K00374	bsf:BSS2_II0281
ko:K00373	bsf:BSS2_II0282
ko:K00371	bsf:BSS2_II0283
ko:K00370	bsf:BSS2_II0284
ko:K02529	bsf:BSS2_II0287
ko:K10236	bsf:BSS2_II0289
ko:K10237	bsf:BSS2_II0290
ko:K10238	bsf:BSS2_II0291
ko:K10111	bsf:BSS2_II0292
ko:K03647	bsf:BSS2_II0300
ko:K03610	bsf:BSS2_II0306
ko:K03609	bsf:BSS2_II0307
ko:K07090	bsf:BSS2_II1115
ko:K03710	bsf:BSS2_II1116
ko:K02027	bsf:BSS2_II1117
ko:K02026	bsf:BSS2_II1118
ko:K02025	bsf:BSS2_II1119
ko:K00254	bsf:BSS2_I0307
ko:K01259	bsf:BSS2_I0310
ko:K03282	bsf:BSS2_I0314
ko:K00643	bsf:BSS2_I0315
ko:K06518	bsf:BSS2_I0321
ko:K01918	bsf:BSS2_I0325
ko:K00606	bsf:BSS2_I0326
ko:K00528	bsf:BSS2_I0327
ko:K13747	bsf:BSS2_I0330
ko:K03327	bsf:BSS2_I0335
ko:K14977	bsf:BSS2_I0340
ko:K13481	bsf:BSS2_I0343
ko:K13482	bsf:BSS2_I0344
ko:K07402	bsf:BSS2_I0345
ko:K01487	bsf:BSS2_I0348
ko:K01533	bsf:BSS2_I0351
ko:K00406	bsf:BSS2_I0354
ko:K00407	bsf:BSS2_I0355
ko:K00405	bsf:BSS2_I0356
ko:K00404	bsf:BSS2_I0357
ko:K10778	bsf:BSS2_I0362
ko:K17938	bsf:BSS2_I0365
ko:K06206	bsf:BSS2_I1248
ko:K01265	bsf:BSS2_I1249
ko:K03630	bsf:BSS2_I1250
ko:K16079	bsf:BSS2_I1251
ko:K00595	bsf:BSS2_I1252
ko:K02229	bsf:BSS2_I1253
ko:K06042	bsf:BSS2_I1254
ko:K03394	bsf:BSS2_I1255
ko:K13541	bsf:BSS2_I1256
ko:K13786	bsf:BSS2_I1259
ko:K01999	bsf:BSS2_I1260
ko:K02227	bsf:BSS2_I1261
ko:K02225	bsf:BSS2_I1262
ko:K02224	bsf:BSS2_I1263
ko:K02303	bsf:BSS2_I1264
ko:K02188	bsf:BSS2_I1265
ko:K05895	bsf:BSS2_I1266
ko:K05936	bsf:BSS2_I1267
ko:K02189	bsf:BSS2_I1268
ko:K07090	bsf:BSS2_I1270
ko:K08978	bsf:BSS2_I1271
ko:K02230	bsf:BSS2_I1273
ko:K02234	bsf:BSS2_I1274
ko:K02231	bsf:BSS2_I1275
ko:K02232	bsf:BSS2_I1278
ko:K06442	bsf:BSS2_I0427
ko:K03215	bsf:BSS2_I0428
ko:K06966	bsf:BSS2_I0429
ko:K06147	bsf:BSS2_I0432
ko:K01613	bsf:BSS2_I0433
ko:K17103	bsf:BSS2_I0434
ko:K00764	bsf:BSS2_I0437
ko:K03558	bsf:BSS2_I0438
ko:K04485	bsf:BSS2_I0439
ko:K00574	bsf:BSS2_I0441
ko:K02939	bsf:BSS2_I0442
ko:K02963	bsf:BSS2_I0444
ko:K02990	bsf:BSS2_I0445
ko:K00645	bsf:BSS2_I0447
ko:K00059	bsf:BSS2_I0448
ko:K02078	bsf:BSS2_I0449
ko:K09458	bsf:BSS2_I0451
ko:K07082	bsf:BSS2_I0452
ko:K00942	bsf:BSS2_I0454
ko:K03568	bsf:BSS2_I0455
ko:K02275	bsf:BSS2_I0457
ko:K02274	bsf:BSS2_I0458
ko:K02258	bsf:BSS2_I0461
ko:K02276	bsf:BSS2_I0462
ko:K14998	bsf:BSS2_I0464
ko:K03527	bsf:BSS2_I0465
ko:K02204	bsf:BSS2_I0466
ko:K03469	bsf:BSS2_I0467
ko:K07735	bsf:BSS2_I0470
ko:K03790	bsf:BSS2_I0472
ko:K01733	bsf:BSS2_I0474
ko:K03281	bsf:BSS2_I0480
ko:K01560	bsf:BSS2_I0482
ko:K03575	bsf:BSS2_I0483
ko:K03529	bsf:BSS2_I0487
ko:K07552	bsf:BSS2_I1361
ko:K09985	bsf:BSS2_I1364
ko:K03657	bsf:BSS2_I1373
ko:K05805	bsf:BSS2_I1374
ko:K07152	bsf:BSS2_I1376
ko:K02687	bsf:BSS2_I1377
ko:K01262	bsf:BSS2_I1378
ko:K01972	bsf:BSS2_I1380
ko:K03631	bsf:BSS2_I1381
