ko:K13060	yet:CH48_48
ko:K07454	yet:CH48_1080
ko:K10974	yet:CH48_1081
ko:K10974	yet:CH48_1083
ko:K11720	yet:CH48_1096
ko:K07091	yet:CH48_1097
ko:K01255	yet:CH48_1098
ko:K02339	yet:CH48_1099
ko:K01873	yet:CH48_1100
ko:K03828	yet:CH48_1101
ko:K09893	yet:CH48_1103
ko:K00611	yet:CH48_1104
ko:K02035	yet:CH48_1106
ko:K02033	yet:CH48_1107
ko:K02034	yet:CH48_1108
ko:K01534	yet:CH48_1913
ko:K08993	yet:CH48_1918
ko:K08316	yet:CH48_1919
ko:K03110	yet:CH48_1920
ko:K09812	yet:CH48_1921
ko:K09811	yet:CH48_1922
ko:K03089	yet:CH48_1923
ko:K01999	yet:CH48_1927
ko:K01997	yet:CH48_1928
ko:K01998	yet:CH48_1929
ko:K01995	yet:CH48_1930
ko:K01996	yet:CH48_1931
ko:K05813	yet:CH48_1938
ko:K05814	yet:CH48_1939
ko:K05815	yet:CH48_1940
ko:K05816	yet:CH48_1941
ko:K01126	yet:CH48_1942
ko:K07088	yet:CH48_1943
ko:K03576	yet:CH48_1944
ko:K00549	yet:CH48_1946
ko:K01061	yet:CH48_1947
ko:K00757	yet:CH48_1948
ko:K06200	yet:CH48_1951
ko:K09760	yet:CH48_1953
ko:K03183	yet:CH48_1954
ko:K03690	yet:CH48_1955
ko:K03688	yet:CH48_1956
ko:K03116	yet:CH48_1957
ko:K03117	yet:CH48_1958
ko:K03118	yet:CH48_1959
ko:K03424	yet:CH48_1960
ko:K01698	yet:CH48_1961
ko:K05785	yet:CH48_1962
ko:K03182	yet:CH48_1963
ko:K05368	yet:CH48_1964
ko:K14761	yet:CH48_2780
ko:K01491	yet:CH48_2781
ko:K07644	yet:CH48_2787
ko:K07665	yet:CH48_2788
ko:K06889	yet:CH48_2789
ko:K18850	yet:CH48_2791
ko:K03182	yet:CH48_2793
ko:K06147	yet:CH48_2795
ko:K03704	yet:CH48_2802
ko:K06199	yet:CH48_2803
ko:K18968	yet:CH48_2804
ko:K03425	yet:CH48_2805
ko:K03644	yet:CH48_2806
ko:K03801	yet:CH48_2807
ko:K09158	yet:CH48_2808
ko:K07258	yet:CH48_2809
ko:K03642	yet:CH48_2810
ko:K05837	yet:CH48_2811
ko:K05515	yet:CH48_2812
ko:K00783	yet:CH48_2813
ko:K09710	yet:CH48_2814
ko:K00969	yet:CH48_2815
ko:K02340	yet:CH48_2816
ko:K03643	yet:CH48_2817
ko:K01869	yet:CH48_2818
ko:K10004	yet:CH48_2820
ko:K10002	yet:CH48_2821
ko:K10003	yet:CH48_2822
ko:K10001	yet:CH48_2823
ko:K07006	yet:CH48_2824
ko:K03820	yet:CH48_2825
ko:K06189	yet:CH48_2826
ko:K07042	yet:CH48_2827
ko:K06168	yet:CH48_2829
ko:K03184	yet:CH48_2830
ko:K01626	yet:CH48_3642
ko:K09773	yet:CH48_3643
ko:K05997	yet:CH48_3650
ko:K09014	yet:CH48_3651
ko:K09013	yet:CH48_3652
ko:K09015	yet:CH48_3653
ko:K11717	yet:CH48_3654
ko:K02426	yet:CH48_3655
ko:K06078	yet:CH48_3657
ko:K00873	yet:CH48_3658
ko:K03327	yet:CH48_3662
ko:K00793	yet:CH48_3663
ko:K00574	yet:CH48_3664
ko:K03604	yet:CH48_3667
ko:K04564	yet:CH48_3669
ko:K07390	yet:CH48_3671
ko:K03683	yet:CH48_3672
ko:K01759	yet:CH48_3673
ko:K10680	yet:CH48_3674
ko:K16137	yet:CH48_3675
ko:K03760	yet:CH48_3676
ko:K06938	yet:CH48_3677
ko:K06075	yet:CH48_3682
ko:K06077	yet:CH48_3683
ko:K09001	yet:CH48_3685
ko:K00275	yet:CH48_3687
ko:K01866	yet:CH48_3688
ko:K00868	yet:CH48_3689
ko:K00799	yet:CH48_3690
ko:K06996	yet:CH48_3693
ko:K03305	yet:CH48_3694
ko:K06999	yet:CH48_469
ko:K06957	yet:CH48_471
ko:K07054	yet:CH48_473
ko:K01923	yet:CH48_474
ko:K07287	yet:CH48_475
ko:K01714	yet:CH48_476
ko:K03567	yet:CH48_477
ko:K03564	yet:CH48_478
ko:K03548	yet:CH48_479
ko:K00537	yet:CH48_481
ko:K10763	yet:CH48_482
ko:K02824	yet:CH48_483
ko:K00761	yet:CH48_484
ko:K01933	yet:CH48_485
ko:K11175	yet:CH48_486
ko:K00657	yet:CH48_487
ko:K18475	yet:CH48_489
ko:K02036	yet:CH48_490
ko:K02038	yet:CH48_491
ko:K02037	yet:CH48_492
ko:K00937	yet:CH48_493
ko:K01524	yet:CH48_494
ko:K06213	yet:CH48_496
ko:K04046	yet:CH48_498
ko:K07799	yet:CH48_500
ko:K07788	yet:CH48_501
ko:K07789	yet:CH48_502
ko:K18326	yet:CH48_504
ko:K07642	yet:CH48_505
ko:K07664	yet:CH48_506
ko:K09946	yet:CH48_507
ko:K08303	yet:CH48_508
ko:K02783	yet:CH48_510
ko:K02782	yet:CH48_511
ko:K02783	yet:CH48_511
ko:K02781	yet:CH48_512
ko:K00068	yet:CH48_513
ko:K07479	yet:CH48_1326
ko:K03747	yet:CH48_1327
ko:K04096	yet:CH48_1328
ko:K01462	yet:CH48_1329
ko:K00604	yet:CH48_1330
ko:K03500	yet:CH48_1331
ko:K03499	yet:CH48_1332
ko:K03282	yet:CH48_1333
ko:K09890	yet:CH48_1336
ko:K02879	yet:CH48_1339
ko:K03040	yet:CH48_1340
ko:K02986	yet:CH48_1341
ko:K02948	yet:CH48_1342
ko:K02952	yet:CH48_1343
ko:K02919	yet:CH48_1344
ko:K03076	yet:CH48_1345
ko:K02876	yet:CH48_1346
ko:K02907	yet:CH48_1347
ko:K02988	yet:CH48_1348
ko:K02881	yet:CH48_1349
ko:K02933	yet:CH48_1350
ko:K02994	yet:CH48_1351
ko:K02954	yet:CH48_1352
ko:K02931	yet:CH48_1353
ko:K02895	yet:CH48_1354
ko:K02874	yet:CH48_1355
ko:K02961	yet:CH48_1356
ko:K02904	yet:CH48_1357
ko:K02878	yet:CH48_1358
ko:K02982	yet:CH48_1359
ko:K02890	yet:CH48_1360
ko:K02965	yet:CH48_1361
ko:K02886	yet:CH48_1362
ko:K02892	yet:CH48_1363
ko:K02926	yet:CH48_1364
ko:K02906	yet:CH48_1365
ko:K02946	yet:CH48_1366
ko:K03594	yet:CH48_1367
ko:K02192	yet:CH48_1369
ko:K02358	yet:CH48_1370
ko:K02355	yet:CH48_1371
ko:K02992	yet:CH48_1372
ko:K07048	yet:CH48_569
ko:K04751	yet:CH48_572
ko:K01950	yet:CH48_573
ko:K07715	yet:CH48_574
ko:K07711	yet:CH48_576
ko:K01952	yet:CH48_578
ko:K18691	yet:CH48_579
ko:K11991	yet:CH48_580
ko:K18697	yet:CH48_582
ko:K07106	yet:CH48_583
ko:K16321	yet:CH48_586
ko:K00997	yet:CH48_587
ko:K03474	yet:CH48_588
ko:K03584	yet:CH48_589
ko:K03685	yet:CH48_591
ko:K03100	yet:CH48_592
ko:K03596	yet:CH48_593
ko:K03803	yet:CH48_595
ko:K03598	yet:CH48_596
ko:K03597	yet:CH48_597
ko:K03088	yet:CH48_598
ko:K00278	yet:CH48_599
ko:K15460	yet:CH48_600
ko:K05590	yet:CH48_601
ko:K03648	yet:CH48_608
ko:K03687	yet:CH48_609
ko:K00858	yet:CH48_610
ko:K03631	yet:CH48_611
ko:K06186	yet:CH48_612
ko:K09801	yet:CH48_613
ko:K03664	yet:CH48_616
ko:K07659	yet:CH48_1433
ko:K04760	yet:CH48_1434
ko:K06959	yet:CH48_1439
ko:K04758	yet:CH48_1440
ko:K04759	yet:CH48_1441
ko:K07490	yet:CH48_1442
ko:K02170	yet:CH48_1444
ko:K07400	yet:CH48_1446
ko:K00705	yet:CH48_1449
ko:K00688	yet:CH48_1450
ko:K00688	yet:CH48_1452
ko:K03556	yet:CH48_1453
ko:K02439	yet:CH48_1455
ko:K02441	yet:CH48_1456
ko:K02444	yet:CH48_1457
ko:K00111	yet:CH48_1459
ko:K00688	yet:CH48_1460
ko:K00703	yet:CH48_1461
ko:K00975	yet:CH48_1462
ko:K00700	yet:CH48_1464
ko:K02478	yet:CH48_1466
ko:K01575	yet:CH48_1467
ko:K01652	yet:CH48_1468
ko:K00133	yet:CH48_1469
ko:K00851	yet:CH48_1471
ko:K06155	yet:CH48_1472
ko:K06145	yet:CH48_1473
ko:K06911	yet:CH48_1474
ko:K03825	yet:CH48_1475
ko:K03335	yet:CH48_1476
ko:K00010	yet:CH48_1477
ko:K03336	yet:CH48_1478
ko:K03338	yet:CH48_1479
ko:K03337	yet:CH48_1481
ko:K00140	yet:CH48_1482
ko:K02004	yet:CH48_2294
ko:K02003	yet:CH48_2297
ko:K07483	yet:CH48_2300
ko:K07214	yet:CH48_2301
ko:K02013	yet:CH48_2302
ko:K02015	yet:CH48_2303
ko:K02015	yet:CH48_2304
ko:K02016	yet:CH48_2305
ko:K03406	yet:CH48_2308
ko:K02400	yet:CH48_2310
ko:K02401	yet:CH48_2311
ko:K02421	yet:CH48_2312
ko:K02420	yet:CH48_2313
ko:K02419	yet:CH48_2314
ko:K02417	yet:CH48_2315
ko:K02416	yet:CH48_2316
ko:K02408	yet:CH48_2318
ko:K02409	yet:CH48_2319
ko:K02410	yet:CH48_2320
ko:K02411	yet:CH48_2321
ko:K02412	yet:CH48_2322
ko:K02399	yet:CH48_2325
ko:K02398	yet:CH48_2326
ko:K02386	yet:CH48_2327
ko:K02387	yet:CH48_2328
ko:K02388	yet:CH48_2329
ko:K02389	yet:CH48_2330
ko:K02390	yet:CH48_2331
ko:K02391	yet:CH48_2332
ko:K02392	yet:CH48_2333
ko:K02393	yet:CH48_2334
ko:K02394	yet:CH48_2335
ko:K02395	yet:CH48_2336
ko:K02396	yet:CH48_2337
ko:K02397	yet:CH48_2338
ko:K02406	yet:CH48_2342
ko:K02407	yet:CH48_2343
ko:K02422	yet:CH48_2344
ko:K02414	yet:CH48_2346
ko:K02415	yet:CH48_2347
ko:K02405	yet:CH48_2348
ko:K02224	yet:CH48_3157
ko:K02227	yet:CH48_3158
ko:K06042	yet:CH48_3159
ko:K02188	yet:CH48_3160
ko:K03399	yet:CH48_3161
ko:K02191	yet:CH48_3162
ko:K05936	yet:CH48_3163
ko:K02189	yet:CH48_3164
ko:K05895	yet:CH48_3166
ko:K02190	yet:CH48_3167
ko:K03394	yet:CH48_3168
ko:K02007	yet:CH48_3169
ko:K02009	yet:CH48_3170
ko:K02008	yet:CH48_3171
ko:K02006	yet:CH48_3172
ko:K02232	yet:CH48_3173
ko:K02231	yet:CH48_3174
ko:K02233	yet:CH48_3175
ko:K02226	yet:CH48_3176
ko:K00768	yet:CH48_3177
ko:K11537	yet:CH48_3178
ko:K11902	yet:CH48_3185
ko:K11895	yet:CH48_3186
ko:K11896	yet:CH48_3187
ko:K11907	yet:CH48_3188
ko:K02619	yet:CH48_1
ko:K09458	yet:CH48_2
ko:K02078	yet:CH48_3
ko:K00059	yet:CH48_4
ko:K00645	yet:CH48_5
ko:K00648	yet:CH48_6
ko:K03621	yet:CH48_7
ko:K02911	yet:CH48_8
ko:K07040	yet:CH48_9
ko:K06179	yet:CH48_11
ko:K08300	yet:CH48_12
ko:K01465	yet:CH48_14
ko:K12149	yet:CH48_15
ko:K12148	yet:CH48_16
ko:K00281	yet:CH48_849
ko:K02437	yet:CH48_850
ko:K00605	yet:CH48_851
ko:K18800	yet:CH48_852
ko:K03185	yet:CH48_853
ko:K01262	yet:CH48_854
ko:K09895	yet:CH48_855
ko:K09888	yet:CH48_856
ko:K01934	yet:CH48_857
ko:K01689	yet:CH48_858
ko:K01937	yet:CH48_859
ko:K04765	yet:CH48_861
ko:K00951	yet:CH48_862
ko:K03215	yet:CH48_863
ko:K07678	yet:CH48_864
ko:K01129	yet:CH48_866
ko:K01243	yet:CH48_867
ko:K06858	yet:CH48_868
ko:K15724	yet:CH48_870
ko:K03281	yet:CH48_871
ko:K01845	yet:CH48_872
ko:K02575	yet:CH48_873
ko:K02015	yet:CH48_874
ko:K02016	yet:CH48_876
ko:K02013	yet:CH48_877
ko:K05365	yet:CH48_878
ko:K03579	yet:CH48_879
ko:K01975	yet:CH48_880
ko:K06206	yet:CH48_881
ko:K06204	yet:CH48_882
ko:K01894	yet:CH48_883
ko:K00970	yet:CH48_884
ko:K00950	yet:CH48_885
ko:K00606	yet:CH48_886
ko:K01918	yet:CH48_887
ko:K01579	yet:CH48_888
ko:K01992	yet:CH48_890
ko:K01990	yet:CH48_891
ko:K01673	yet:CH48_893
ko:K00760	yet:CH48_894
ko:K14588	yet:CH48_895
ko:K00797	yet:CH48_897
ko:K01611	yet:CH48_898
ko:K09910	yet:CH48_901
ko:K01682	yet:CH48_902
ko:K03753	yet:CH48_1698
ko:K03752	yet:CH48_1699
ko:K09896	yet:CH48_1700
ko:K03673	yet:CH48_1702
ko:K03978	yet:CH48_1704
ko:K09894	yet:CH48_1705
ko:K07712	yet:CH48_1707
ko:K07708	yet:CH48_1708
ko:K01915	yet:CH48_1710
ko:K06207	yet:CH48_1711
ko:K07058	yet:CH48_1713
ko:K07560	yet:CH48_1714
ko:K16345	yet:CH48_1721
ko:K03312	yet:CH48_1722
ko:K03655	yet:CH48_1724
ko:K00556	yet:CH48_1725
ko:K03060	yet:CH48_1727
ko:K00942	yet:CH48_1728
ko:K03317	yet:CH48_1733
ko:K13816	yet:CH48_1734
ko:K14051	yet:CH48_1735
ko:K06897	yet:CH48_1736
ko:K00989	yet:CH48_1739
ko:K00762	yet:CH48_1740
ko:K05501	yet:CH48_1741
ko:K13038	yet:CH48_1743
ko:K03630	yet:CH48_1744
ko:K02902	yet:CH48_1745
ko:K02913	yet:CH48_1746
ko:K10563	yet:CH48_1747
ko:K00954	yet:CH48_1748
ko:K12984	yet:CH48_1749
ko:K02950	yet:CH48_1373
ko:K07237	yet:CH48_1374
ko:K07236	yet:CH48_1375
ko:K07235	yet:CH48_1376
ko:K03772	yet:CH48_1378
ko:K03745	yet:CH48_1379
ko:K03775	yet:CH48_1380
ko:K07460	yet:CH48_2186
ko:K07121	yet:CH48_2187
ko:K07056	yet:CH48_2188
ko:K07345	yet:CH48_2189
ko:K07347	yet:CH48_2191
ko:K13979	yet:CH48_2195
ko:K06911	yet:CH48_2196
ko:K07393	yet:CH48_2198
ko:K15977	yet:CH48_2199
ko:K08191	yet:CH48_2208
ko:K01812	yet:CH48_2209
ko:K00041	yet:CH48_2210
ko:K01685	yet:CH48_2211
ko:K07862	yet:CH48_2213
ko:K07043	yet:CH48_2216
ko:K00219	yet:CH48_2221
ko:K15268	yet:CH48_2222
ko:K01580	yet:CH48_2225
ko:K01425	yet:CH48_2227
ko:K11191	yet:CH48_2228
ko:K11192	yet:CH48_2228
ko:K07106	yet:CH48_2229
ko:K15835	yet:CH48_2230
ko:K01207	yet:CH48_2231
ko:K03086	yet:CH48_2236
ko:K02970	yet:CH48_2238
ko:K01409	yet:CH48_2239
ko:K08591	yet:CH48_2240
ko:K01070	yet:CH48_3051
ko:K00121	yet:CH48_3052
ko:K01495	yet:CH48_3055
ko:K07148	yet:CH48_3056
ko:K02529	yet:CH48_3057
ko:K10540	yet:CH48_3058
ko:K10542	yet:CH48_3059
ko:K10541	yet:CH48_3060
ko:K15836	yet:CH48_3061
ko:K05796	yet:CH48_3063
ko:K08315	yet:CH48_3064
ko:K12145	yet:CH48_3065
ko:K12143	yet:CH48_3067
ko:K12142	yet:CH48_3068
ko:K12141	yet:CH48_3069
ko:K12140	yet:CH48_3070
ko:K12139	yet:CH48_3071
ko:K12138	yet:CH48_3072
ko:K12136	yet:CH48_3074
ko:K04651	yet:CH48_3075
ko:K04653	yet:CH48_3076
ko:K03748	yet:CH48_3077
ko:K00027	yet:CH48_3078
ko:K01489	yet:CH48_3080
ko:K06518	yet:CH48_3082
ko:K02058	yet:CH48_3085
ko:K01874	yet:CH48_3087
ko:K03593	yet:CH48_3088
ko:K00876	yet:CH48_3089
ko:K01494	yet:CH48_3090
ko:K07289	yet:CH48_3091
ko:K03326	yet:CH48_3092
ko:K00971	yet:CH48_3094
ko:K01840	yet:CH48_3095
ko:K00963	yet:CH48_3096
ko:K00963	yet:CH48_3097
ko:K01711	yet:CH48_3098
ko:K09780	yet:CH48_3918
ko:K09981	yet:CH48_3920
ko:K06131	yet:CH48_3922
ko:K09901	yet:CH48_3923
ko:K10823	yet:CH48_3924
ko:K15583	yet:CH48_3925
ko:K15582	yet:CH48_3926
ko:K15581	yet:CH48_3927
ko:K15580	yet:CH48_3928
ko:K15580	yet:CH48_3929
ko:K04072	yet:CH48_3931
ko:K03746	yet:CH48_3933
ko:K00012	yet:CH48_3934
ko:K07001	yet:CH48_3936
ko:K09858	yet:CH48_3937
ko:K01433	yet:CH48_3938
ko:K01142	yet:CH48_3943
ko:K08320	yet:CH48_3944
ko:K03169	yet:CH48_3946
ko:K01008	yet:CH48_3947
ko:K04773	yet:CH48_3949
ko:K01424	yet:CH48_3950
ko:K08281	yet:CH48_3951
ko:K09916	yet:CH48_3953
ko:K07305	yet:CH48_3954
ko:K00134	yet:CH48_3955
ko:K01792	yet:CH48_3956
ko:K07180	yet:CH48_3958
ko:K09786	yet:CH48_3959
ko:K06911	yet:CH48_3963
ko:K07552	yet:CH48_3965
ko:K01775	yet:CH48_3966
ko:K00285	yet:CH48_3967
ko:K03603	yet:CH48_3969
ko:K03314	yet:CH48_3970
ko:K03611	yet:CH48_3971
ko:K06201	yet:CH48_3972
ko:K07345	yet:CH48_3189
ko:K07347	yet:CH48_3191
ko:K11901	yet:CH48_3193
ko:K11900	yet:CH48_3194
ko:K11903	yet:CH48_3195
ko:K11906	yet:CH48_3196
ko:K11893	yet:CH48_3197
ko:K11892	yet:CH48_3198
ko:K11891	yet:CH48_3199
ko:K11904	yet:CH48_3200
ko:K11898	yet:CH48_3203
ko:K11897	yet:CH48_3204
ko:K01940	yet:CH48_3205
ko:K07245	yet:CH48_4027
ko:K07156	yet:CH48_4028
ko:K02217	yet:CH48_4029
ko:K02345	yet:CH48_4030
ko:K01259	yet:CH48_4031
ko:K10857	yet:CH48_4033
ko:K01354	yet:CH48_4034
ko:K09900	yet:CH48_4036
ko:K09918	yet:CH48_4037
ko:K05591	yet:CH48_4038
ko:K08289	yet:CH48_4039
ko:K09917	yet:CH48_4040
ko:K01665	yet:CH48_4041
ko:K01752	yet:CH48_4043
ko:K02793	yet:CH48_4047
ko:K02794	yet:CH48_4047
ko:K02795	yet:CH48_4048
ko:K02014	yet:CH48_4052
ko:K00563	yet:CH48_4055
ko:K03587	yet:CH48_4056
ko:K03704	yet:CH48_4058
ko:K12973	yet:CH48_4060
ko:K11734	yet:CH48_4061
ko:K03758	yet:CH48_4070
ko:K06147	yet:CH48_4072
ko:K07178	yet:CH48_4073
ko:K07506	yet:CH48_4080
ko:K02527	yet:CH48_1750
ko:K06180	yet:CH48_2568
ko:K05807	yet:CH48_2569
ko:K05809	yet:CH48_2570
ko:K05811	yet:CH48_2577
ko:K00998	yet:CH48_2578
ko:K05812	yet:CH48_2580
ko:K03672	yet:CH48_2581
ko:K03214	yet:CH48_2582
ko:K03446	yet:CH48_2584
ko:K03543	yet:CH48_2585
ko:K15974	yet:CH48_2587
ko:K02030	yet:CH48_2597
ko:K02029	yet:CH48_2598
ko:K02029	yet:CH48_2599
ko:K02028	yet:CH48_2600
ko:K02083	yet:CH48_2602
ko:K14287	yet:CH48_2604
ko:K08964	yet:CH48_2605
ko:K09880	yet:CH48_2606
ko:K08967	yet:CH48_2607
ko:K08963	yet:CH48_2608
ko:K00899	yet:CH48_2609
ko:K06445	yet:CH48_2613
ko:K03271	yet:CH48_2614
ko:K00346	yet:CH48_2617
ko:K00347	yet:CH48_2618
ko:K00348	yet:CH48_2619
ko:K00349	yet:CH48_2620
ko:K17850	yet:CH48_3440
ko:K01467	yet:CH48_3441
ko:K06942	yet:CH48_3442
ko:K01056	yet:CH48_3444
ko:K00948	yet:CH48_3447
ko:K00919	yet:CH48_3448
ko:K02494	yet:CH48_3449
ko:K02492	yet:CH48_3450
ko:K02835	yet:CH48_3451
ko:K02493	yet:CH48_3452
ko:K01627	yet:CH48_3455
ko:K03321	yet:CH48_3456
ko:K18967	yet:CH48_3458
ko:K12972	yet:CH48_3462
ko:K04477	yet:CH48_3463
ko:K08162	yet:CH48_3466
ko:K03790	yet:CH48_3469
ko:K09915	yet:CH48_3470
ko:K03810	yet:CH48_3471
ko:K03980	yet:CH48_3472
ko:K07300	yet:CH48_3473
ko:K13635	yet:CH48_3477
ko:K07673	yet:CH48_3478
ko:K00426	yet:CH48_3479
ko:K00425	yet:CH48_3480
ko:K00840	yet:CH48_3482
ko:K12545	yet:CH48_1804
ko:K00335	yet:CH48_307
ko:K03321	yet:CH48_629
ko:K03478	yet:CH48_630
ko:K03490	yet:CH48_631
ko:K02759	yet:CH48_632
ko:K01223	yet:CH48_633
ko:K02761	yet:CH48_634
ko:K02760	yet:CH48_635
ko:K06199	yet:CH48_640
ko:K06199	yet:CH48_641
ko:K10716	yet:CH48_642
ko:K07241	yet:CH48_644
