ko:K16235	bbrj:B7017_1059
ko:K00058	bbrj:B7017_1239
ko:K07738	bbrj:B7017_1240
ko:K01356	bbrj:B7017_1242
ko:K16264	bbrj:B7017_1243
ko:K00016	bbrj:B7017_1244
ko:K03665	bbrj:B7017_1245
ko:K03578	bbrj:B7017_1247
ko:K01915	bbrj:B7017_1249
ko:K01814	bbrj:B7017_1251
ko:K01817	bbrj:B7017_1251
ko:K02501	bbrj:B7017_1252
ko:K01693	bbrj:B7017_1254
ko:K00817	bbrj:B7017_1255
ko:K00013	bbrj:B7017_1256
ko:K01512	bbrj:B7017_1257
ko:K18333	bbrj:B7017_1262
ko:K18334	bbrj:B7017_1263
ko:K10254	bbrj:B7017_1498
ko:K02337	bbrj:B7017_1501
ko:K06180	bbrj:B7017_1503
ko:K03101	bbrj:B7017_1504
ko:K02221	bbrj:B7017_1506
ko:K09772	bbrj:B7017_1507
ko:K03531	bbrj:B7017_1508
ko:K01880	bbrj:B7017_1510
ko:K01992	bbrj:B7017_1513
ko:K00878	bbrj:B7017_1516
ko:K03147	bbrj:B7017_1517
ko:K13525	bbrj:B7017_1518
ko:K00941	bbrj:B7017_1519
ko:K16925	bbrj:B7017_0637
ko:K16786	bbrj:B7017_0638
ko:K16787	bbrj:B7017_0638
ko:K16785	bbrj:B7017_0639
ko:K03437	bbrj:B7017_0640
ko:K01889	bbrj:B7017_0641
ko:K01890	bbrj:B7017_0642
ko:K00145	bbrj:B7017_0644
ko:K00620	bbrj:B7017_0645
ko:K00930	bbrj:B7017_0646
ko:K00611	bbrj:B7017_0648
ko:K03402	bbrj:B7017_0649
ko:K01940	bbrj:B7017_0650
ko:K01755	bbrj:B7017_0655
ko:K03154	bbrj:B7017_0656
ko:K03149	bbrj:B7017_0657
ko:K06950	bbrj:B7017_0660
ko:K01866	bbrj:B7017_0663
ko:K06442	bbrj:B7017_0667
ko:K00858	bbrj:B7017_0671
ko:K03631	bbrj:B7017_0672
ko:K07979	bbrj:B7017_0676
ko:K01990	bbrj:B7017_0677
ko:K01733	bbrj:B7017_0681
ko:K00147	bbrj:B7017_0682
ko:K00969	bbrj:B7017_0684
ko:K09118	bbrj:B7017_0686
ko:K03823	bbrj:B7017_0687
ko:K01056	bbrj:B7017_0688
ko:K03723	bbrj:B7017_0689
ko:K01689	bbrj:B7017_0691
ko:K09009	bbrj:B7017_0693
ko:K01524	bbrj:B7017_0694
ko:K16209	bbrj:B7017_1744
ko:K01190	bbrj:B7017_1745
ko:K02529	bbrj:B7017_1746
ko:K02027	bbrj:B7017_1748
ko:K02004	bbrj:B7017_1752
ko:K02004	bbrj:B7017_1753
ko:K02003	bbrj:B7017_1754
ko:K01104	bbrj:B7017_1756
ko:K00831	bbrj:B7017_1765
ko:K02039	bbrj:B7017_1768
ko:K01834	bbrj:B7017_1769
ko:K02548	bbrj:B7017_1770
ko:K04567	bbrj:B7017_1771
ko:K01784	bbrj:B7017_1780
ko:K15533	bbrj:B7017_1782
ko:K02026	bbrj:B7017_1783
ko:K02025	bbrj:B7017_1784
ko:K02027	bbrj:B7017_1785
ko:K01875	bbrj:B7017_1786
ko:K02313	bbrj:B7017_0001
ko:K02338	bbrj:B7017_0002
ko:K03629	bbrj:B7017_0003
ko:K02470	bbrj:B7017_0005
ko:K02469	bbrj:B7017_0006
ko:K02529	bbrj:B7017_0008
ko:K01190	bbrj:B7017_0010
ko:K00262	bbrj:B7017_0013
ko:K07043	bbrj:B7017_0016
ko:K07133	bbrj:B7017_0018
ko:K04047	bbrj:B7017_0019
ko:K10117	bbrj:B7017_0021
ko:K02529	bbrj:B7017_0023
ko:K01193	bbrj:B7017_0024
ko:K10117	bbrj:B7017_0025
ko:K01872	bbrj:B7017_0866
ko:K07447	bbrj:B7017_0867
ko:K07082	bbrj:B7017_0868
ko:K02654	bbrj:B7017_0869
ko:K01736	bbrj:B7017_0870
ko:K13829	bbrj:B7017_0871
ko:K03786	bbrj:B7017_0872
ko:K01937	bbrj:B7017_0873
ko:K09014	bbrj:B7017_0875
ko:K09015	bbrj:B7017_0876
ko:K09013	bbrj:B7017_0877
ko:K11717	bbrj:B7017_0878
ko:K04488	bbrj:B7017_0879
ko:K00975	bbrj:B7017_0881
ko:K09761	bbrj:B7017_0883
ko:K02503	bbrj:B7017_0884
ko:K07042	bbrj:B7017_0886
ko:K01897	bbrj:B7017_0889
ko:K00324	bbrj:B7017_0890
ko:K00324	bbrj:B7017_0891
ko:K00325	bbrj:B7017_0892
ko:K08177	bbrj:B7017_0893
ko:K02897	bbrj:B7017_0894
ko:K00826	bbrj:B7017_0895
ko:K01990	bbrj:B7017_0909
ko:K06287	bbrj:B7017_1944
ko:K00872	bbrj:B7017_1945
ko:K00003	bbrj:B7017_1946
ko:K01586	bbrj:B7017_1949
ko:K01887	bbrj:B7017_1950
ko:K00790	bbrj:B7017_1953
ko:K16957	bbrj:B7017_1955
ko:K16958	bbrj:B7017_1956
ko:K16959	bbrj:B7017_1957
ko:K01704	bbrj:B7017_1963
ko:K01703	bbrj:B7017_1964
ko:K00937	bbrj:B7017_1967
ko:K02026	bbrj:B7017_1971
ko:K00761	bbrj:B7017_1972
ko:K00783	bbrj:B7017_1973
ko:K01885	bbrj:B7017_1975
ko:K03695	bbrj:B7017_1977
ko:K01854	bbrj:B7017_1982
ko:K08094	bbrj:B7017_1986
ko:K02057	bbrj:B7017_1987
ko:K02057	bbrj:B7017_1988
ko:K02056	bbrj:B7017_1989
ko:K02058	bbrj:B7017_1990
ko:K00854	bbrj:B7017_1991
ko:K01885	bbrj:B7017_0204
ko:K07243	bbrj:B7017_0207
ko:K07230	bbrj:B7017_0208
ko:K02004	bbrj:B7017_0210
ko:K02004	bbrj:B7017_0211
ko:K02003	bbrj:B7017_0212
ko:K01421	bbrj:B7017_0215
ko:K01421	bbrj:B7017_0216
ko:K00033	bbrj:B7017_0218
ko:K01057	bbrj:B7017_0219
ko:K00036	bbrj:B7017_0221
ko:K17836	bbrj:B7017_0222
ko:K08659	bbrj:B7017_0223
ko:K03110	bbrj:B7017_0226
ko:K03320	bbrj:B7017_0227
ko:K04751	bbrj:B7017_0228
ko:K00990	bbrj:B7017_0229
ko:K07009	bbrj:B7017_0233
ko:K03688	bbrj:B7017_0235
ko:K06997	bbrj:B7017_0236
ko:K02990	bbrj:B7017_0238
ko:K02963	bbrj:B7017_0240
ko:K02939	bbrj:B7017_0241
ko:K02440	bbrj:B7017_0242
ko:K17686	bbrj:B7017_0243
ko:K09760	bbrj:B7017_0245
ko:K01990	bbrj:B7017_0248
ko:K01462	bbrj:B7017_1075
ko:K01897	bbrj:B7017_1076
ko:K00088	bbrj:B7017_1078
ko:K00031	bbrj:B7017_1079
ko:K01409	bbrj:B7017_1095
ko:K03789	bbrj:B7017_1096
ko:K06925	bbrj:B7017_1098
ko:K02340	bbrj:B7017_1099
ko:K02237	bbrj:B7017_1101
ko:K01869	bbrj:B7017_1102
ko:K03284	bbrj:B7017_1104
ko:K01834	bbrj:B7017_1105
ko:K07006	bbrj:B7017_1107
ko:K09704	bbrj:B7017_1111
ko:K05349	bbrj:B7017_1115
ko:K02026	bbrj:B7017_1117
ko:K02025	bbrj:B7017_1118
ko:K02027	bbrj:B7017_1119
ko:K01191	bbrj:B7017_1120
ko:K01191	bbrj:B7017_1121
ko:K03767	bbrj:B7017_1128
ko:K00951	bbrj:B7017_1129
ko:K02030	bbrj:B7017_0474
ko:K02030	bbrj:B7017_0475
ko:K02029	bbrj:B7017_0476
ko:K02028	bbrj:B7017_0477
ko:K00820	bbrj:B7017_0478
ko:K06177	bbrj:B7017_0479
ko:K02025	bbrj:B7017_0481a
ko:K02026	bbrj:B7017_0481b
ko:K12308	bbrj:B7017_0482
ko:K02027	bbrj:B7017_0483
ko:K02027	bbrj:B7017_0484
ko:K03525	bbrj:B7017_0485
ko:K02035	bbrj:B7017_0486
ko:K02033	bbrj:B7017_0487
ko:K02034	bbrj:B7017_0488
ko:K01697	bbrj:B7017_0491
ko:K01739	bbrj:B7017_0492
ko:K03654	bbrj:B7017_0493
ko:K07173	bbrj:B7017_0494
ko:K03294	bbrj:B7017_0496
ko:K01775	bbrj:B7017_0497
ko:K01129	bbrj:B7017_0498
ko:K06215	bbrj:B7017_0500
ko:K08681	bbrj:B7017_0501
ko:K02027	bbrj:B7017_0508
ko:K01182	bbrj:B7017_0510
ko:K15580	bbrj:B7017_0512
ko:K12267	bbrj:B7017_0513
ko:K02003	bbrj:B7017_0514
ko:K01662	bbrj:B7017_0517
ko:K01588	bbrj:B7017_0519
ko:K01589	bbrj:B7017_0520
ko:K03711	bbrj:B7017_0521
ko:K03711	bbrj:B7017_0527
ko:K01756	bbrj:B7017_1579
ko:K03530	bbrj:B7017_1581
ko:K13571	bbrj:B7017_1582
ko:K13570	bbrj:B7017_1583
ko:K01092	bbrj:B7017_1584
ko:K17195	bbrj:B7017_1586
ko:K02770	bbrj:B7017_1587
ko:K02769	bbrj:B7017_1588
ko:K02768	bbrj:B7017_1589
ko:K13527	bbrj:B7017_1593
ko:K01079	bbrj:B7017_1595
ko:K04066	bbrj:B7017_1596
ko:K07025	bbrj:B7017_1597
ko:K00604	bbrj:B7017_1598
ko:K01687	bbrj:B7017_1599
ko:K03060	bbrj:B7017_1600
ko:K00789	bbrj:B7017_1601
ko:K15342	bbrj:B7017_1610
ko:K01870	bbrj:B7017_1617
ko:K00852	bbrj:B7017_1618
ko:K03326	bbrj:B7017_1619
ko:K12700	bbrj:B7017_1620
ko:K02529	bbrj:B7017_1622
ko:K06147	bbrj:B7017_1623
ko:K06147	bbrj:B7017_1624
ko:K01752	bbrj:B7017_0696
ko:K03624	bbrj:B7017_0698
ko:K11068	bbrj:B7017_0699
ko:K03466	bbrj:B7017_0702
ko:K00700	bbrj:B7017_0712
ko:K07736	bbrj:B7017_0713
ko:K01770	bbrj:B7017_0714
ko:K02075	bbrj:B7017_0715
ko:K02074	bbrj:B7017_0716
ko:K02077	bbrj:B7017_0717
ko:K01491	bbrj:B7017_0718
ko:K02945	bbrj:B7017_0719
ko:K00859	bbrj:B7017_0720
ko:K03702	bbrj:B7017_0721
ko:K05794	bbrj:B7017_0722
ko:K00873	bbrj:B7017_0723
ko:K01515	bbrj:B7017_0724
ko:K01246	bbrj:B7017_0733
ko:K00800	bbrj:B7017_0743
ko:K00925	bbrj:B7017_0744
ko:K13788	bbrj:B7017_0745
ko:K02755	bbrj:B7017_1790
ko:K02756	bbrj:B7017_1790
ko:K02757	bbrj:B7017_1790
ko:K01835	bbrj:B7017_1791
ko:K03469	bbrj:B7017_1795
ko:K01807	bbrj:B7017_1796
ko:K04485	bbrj:B7017_1799
ko:K11753	bbrj:B7017_1800
ko:K03177	bbrj:B7017_1801
ko:K02834	bbrj:B7017_1802
ko:K02519	bbrj:B7017_1803
ko:K02600	bbrj:B7017_1804
ko:K06173	bbrj:B7017_1809
ko:K02879	bbrj:B7017_1810
ko:K03040	bbrj:B7017_1811
ko:K02948	bbrj:B7017_1812
ko:K02952	bbrj:B7017_1813
ko:K02919	bbrj:B7017_1814
ko:K02518	bbrj:B7017_1815
ko:K00939	bbrj:B7017_1816
ko:K03076	bbrj:B7017_1817
ko:K02876	bbrj:B7017_1818
ko:K02907	bbrj:B7017_1819
ko:K02988	bbrj:B7017_1820
ko:K02881	bbrj:B7017_1821
ko:K02933	bbrj:B7017_1822
ko:K02994	bbrj:B7017_1823
ko:K02954	bbrj:B7017_1824
ko:K02931	bbrj:B7017_1825
ko:K02895	bbrj:B7017_1826
ko:K02874	bbrj:B7017_1827
ko:K02961	bbrj:B7017_1828
ko:K02904	bbrj:B7017_1829
ko:K02878	bbrj:B7017_1830
ko:K02982	bbrj:B7017_1831
ko:K02890	bbrj:B7017_1832
ko:K02965	bbrj:B7017_1833
ko:K02886	bbrj:B7017_1834
ko:K02892	bbrj:B7017_1835
ko:K02926	bbrj:B7017_1836
ko:K02906	bbrj:B7017_1837
ko:K02946	bbrj:B7017_1838
ko:K01575	bbrj:B7017_1839
ko:K10119	bbrj:B7017_0032
ko:K10118	bbrj:B7017_0033
ko:K10117	bbrj:B7017_0042
ko:K04047	bbrj:B7017_0043
ko:K03699	bbrj:B7017_0044
ko:K01673	bbrj:B7017_0046
ko:K03386	bbrj:B7017_0047
ko:K00384	bbrj:B7017_0048
ko:K01784	bbrj:B7017_0049
ko:K06330	bbrj:B7017_0054
ko:K07133	bbrj:B7017_0058
ko:K03655	bbrj:B7017_0059
ko:K01595	bbrj:B7017_0061
ko:K11928	bbrj:B7017_0063
ko:K01867	bbrj:B7017_0066
ko:K00688	bbrj:B7017_0072
ko:K01664	bbrj:B7017_0078
ko:K11939	bbrj:B7017_0912
ko:K01992	bbrj:B7017_0916
ko:K03088	bbrj:B7017_0919
ko:K02004	bbrj:B7017_0923
ko:K02003	bbrj:B7017_0924
ko:K01151	bbrj:B7017_0943
ko:K01696	bbrj:B7017_0945
ko:K01695	bbrj:B7017_0946
ko:K01783	bbrj:B7017_0948
ko:K01523	bbrj:B7017_0949
ko:K00765	bbrj:B7017_0950
ko:K01091	bbrj:B7017_0959
ko:K03727	bbrj:B7017_0961
ko:K00963	bbrj:B7017_0964
ko:K03977	bbrj:B7017_0966
ko:K07272	bbrj:B7017_2003
ko:K01990	bbrj:B7017_2008
ko:K01992	bbrj:B7017_2009
ko:K00973	bbrj:B7017_2012
ko:K06950	bbrj:B7017_2018
ko:K03549	bbrj:B7017_2020
ko:K03424	bbrj:B7017_2021
ko:K06147	bbrj:B7017_2022
ko:K06147	bbrj:B7017_2023
ko:K07133	bbrj:B7017_2025
ko:K10119	bbrj:B7017_2027
ko:K10118	bbrj:B7017_2028
ko:K10117	bbrj:B7017_2029
ko:K12308	bbrj:B7017_2031
ko:K07133	bbrj:B7017_2032
ko:K02035	bbrj:B7017_2036
ko:K02031	bbrj:B7017_2037
ko:K02032	bbrj:B7017_2037
ko:K02034	bbrj:B7017_2038
ko:K02033	bbrj:B7017_2039
ko:K01372	bbrj:B7017_2040
ko:K01874	bbrj:B7017_2042
ko:K07056	bbrj:B7017_2044
ko:K03734	bbrj:B7017_2046
ko:K06147	bbrj:B7017_2047
ko:K02004	bbrj:B7017_2051
ko:K02003	bbrj:B7017_2052
ko:K02435	bbrj:B7017_0251
ko:K02433	bbrj:B7017_0252
ko:K02434	bbrj:B7017_0253
ko:K03628	bbrj:B7017_0257
ko:K10188	bbrj:B7017_0262
ko:K10189	bbrj:B7017_0263
ko:K10190	bbrj:B7017_0264
ko:K07407	bbrj:B7017_0265
ko:K04092	bbrj:B7017_0267
ko:K01873	bbrj:B7017_0269
ko:K10773	bbrj:B7017_0271
ko:K01507	bbrj:B7017_0275
ko:K16147	bbrj:B7017_0276
ko:K00651	bbrj:B7017_0278
ko:K02108	bbrj:B7017_0279
ko:K02110	bbrj:B7017_0280
ko:K02109	bbrj:B7017_0281
ko:K02113	bbrj:B7017_0282
ko:K02111	bbrj:B7017_0283
ko:K02115	bbrj:B7017_0284
ko:K02112	bbrj:B7017_0285
ko:K02114	bbrj:B7017_0286
ko:K07503	bbrj:B7017_0287
ko:K05838	bbrj:B7017_0291
ko:K00057	bbrj:B7017_0296
ko:K01921	bbrj:B7017_0297
ko:K02055	bbrj:B7017_0298
ko:K02054	bbrj:B7017_0299
ko:K02053	bbrj:B7017_0300
ko:K02052	bbrj:B7017_0301
ko:K02469	bbrj:B7017_1134
ko:K03724	bbrj:B7017_1138
ko:K00852	bbrj:B7017_1139
ko:K02470	bbrj:B7017_1141
ko:K03086	bbrj:B7017_1142
ko:K13787	bbrj:B7017_1144
ko:K00655	bbrj:B7017_1146
ko:K00766	bbrj:B7017_1148
ko:K03070	bbrj:B7017_1149
ko:K03565	bbrj:B7017_1151
ko:K03743	bbrj:B7017_1155
ko:K00995	bbrj:B7017_1156
ko:K03466	bbrj:B7017_1157
ko:K04095	bbrj:B7017_1158
ko:K00791	bbrj:B7017_1159
ko:K06168	bbrj:B7017_1160
ko:K06890	bbrj:B7017_1163
ko:K01681	bbrj:B7017_1166
ko:K01142	bbrj:B7017_1172
ko:K02031	bbrj:B7017_1173
ko:K02032	bbrj:B7017_1173
ko:K15582	bbrj:B7017_1174
ko:K15581	bbrj:B7017_1175
ko:K15580	bbrj:B7017_1176
ko:K03733	bbrj:B7017_1177
ko:K02003	bbrj:B7017_1178
ko:K02004	bbrj:B7017_1179
ko:K04517	bbrj:B7017_1181
ko:K14170	bbrj:B7017_1182
ko:K06207	bbrj:B7017_1184
ko:K07089	bbrj:B7017_0529
ko:K02077	bbrj:B7017_0531
ko:K00128	bbrj:B7017_0533
ko:K01945	bbrj:B7017_0534
ko:K01933	bbrj:B7017_0535
ko:K00764	bbrj:B7017_0536
ko:K01952	bbrj:B7017_0548
ko:K01923	bbrj:B7017_0549
ko:K08289	bbrj:B7017_0550
ko:K08969	bbrj:B7017_0551
ko:K01620	bbrj:B7017_0553
ko:K03453	bbrj:B7017_0554
ko:K02950	bbrj:B7017_0555
ko:K02992	bbrj:B7017_0556
ko:K02355	bbrj:B7017_0557
ko:K02358	bbrj:B7017_0558
ko:K06199	bbrj:B7017_0564
ko:K06199	bbrj:B7017_0565
ko:K07133	bbrj:B7017_0568
ko:K07220	bbrj:B7017_0569
ko:K01126	bbrj:B7017_0570
ko:K05813	bbrj:B7017_0571
ko:K05815	bbrj:B7017_0572
ko:K05814	bbrj:B7017_0573
ko:K03306	bbrj:B7017_0574
ko:K03701	bbrj:B7017_0578
ko:K07457	bbrj:B7017_0580
ko:K05349	bbrj:B7017_1631
ko:K01919	bbrj:B7017_1633
ko:K03601	bbrj:B7017_1637
ko:K03602	bbrj:B7017_1638
ko:K01897	bbrj:B7017_1640
ko:K03282	bbrj:B7017_1641
ko:K01524	bbrj:B7017_1644
ko:K07458	bbrj:B7017_1647
ko:K00674	bbrj:B7017_1650
ko:K01647	bbrj:B7017_1651
ko:K01265	bbrj:B7017_1652
ko:K07386	bbrj:B7017_1654
ko:K01881	bbrj:B7017_1656
ko:K13288	bbrj:B7017_1659
ko:K01187	bbrj:B7017_1661
ko:K00088	bbrj:B7017_1665
ko:K02851	bbrj:B7017_1666
ko:K01996	bbrj:B7017_1668
ko:K01995	bbrj:B7017_1669
ko:K01998	bbrj:B7017_1670
ko:K01997	bbrj:B7017_1671
ko:K01999	bbrj:B7017_1672
ko:K02493	bbrj:B7017_1673
ko:K02835	bbrj:B7017_1674
ko:K02909	bbrj:B7017_1675
ko:K01462	bbrj:B7017_1680
ko:K00948	bbrj:B7017_0746
ko:K01951	bbrj:B7017_0748
ko:K04042	bbrj:B7017_0750
ko:K09710	bbrj:B7017_0751
ko:K02073	bbrj:B7017_0755
ko:K02071	bbrj:B7017_0756
ko:K02072	bbrj:B7017_0757
ko:K01950	bbrj:B7017_0759
ko:K00656	bbrj:B7017_0761
ko:K04069	bbrj:B7017_0762
ko:K03684	bbrj:B7017_0764
ko:K03545	bbrj:B7017_0765
ko:K01358	bbrj:B7017_0768
ko:K01358	bbrj:B7017_0769
ko:K03544	bbrj:B7017_0770
ko:K14155	bbrj:B7017_0771
ko:K03313	bbrj:B7017_0772
ko:K06966	bbrj:B7017_0773
ko:K00240	bbrj:B7017_0775
ko:K00239	bbrj:B7017_0776
ko:K04096	bbrj:B7017_0777
ko:K07391	bbrj:B7017_0778
ko:K07460	bbrj:B7017_0779
ko:K00868	bbrj:B7017_0781
ko:K01740	bbrj:B7017_0782
ko:K02003	bbrj:B7017_0783
ko:K02004	bbrj:B7017_0784
ko:K00286	bbrj:B7017_0788
ko:K02030	bbrj:B7017_0789
ko:K02028	bbrj:B7017_0790
ko:K02029	bbrj:B7017_0791
ko:K02029	bbrj:B7017_0792
ko:K06942	bbrj:B7017_0793
ko:K13653	bbrj:B7017_0794
ko:K04072	bbrj:B7017_1841
ko:K05351	bbrj:B7017_1843
ko:K02996	bbrj:B7017_1850
ko:K02871	bbrj:B7017_1851
ko:K00705	bbrj:B7017_1852
ko:K05350	bbrj:B7017_1857
ko:K02026	bbrj:B7017_1858
ko:K02025	bbrj:B7017_1859
ko:K02027	bbrj:B7017_1860
ko:K02529	bbrj:B7017_1861
ko:K11939	bbrj:B7017_1863
ko:K02346	bbrj:B7017_1865
ko:K03294	bbrj:B7017_1868
ko:K00075	bbrj:B7017_1869
ko:K02913	bbrj:B7017_1870
ko:K04078	bbrj:B7017_1871
ko:K03790	bbrj:B7017_1873
ko:K02935	bbrj:B7017_1880
ko:K02864	bbrj:B7017_1881
ko:K06901	bbrj:B7017_1883
ko:K02036	bbrj:B7017_1884
ko:K02038	bbrj:B7017_1885
ko:K02037	bbrj:B7017_1886
ko:K02040	bbrj:B7017_1887
ko:K07776	bbrj:B7017_1888
ko:K07768	bbrj:B7017_1889
ko:K01278	bbrj:B7017_0086
ko:K01048	bbrj:B7017_0087
ko:K12267	bbrj:B7017_0093
ko:K11068	bbrj:B7017_0100
ko:K00773	bbrj:B7017_0101
ko:K08372	bbrj:B7017_0102
ko:K00528	bbrj:B7017_0104
ko:K03799	bbrj:B7017_0105
ko:K01624	bbrj:B7017_0108
ko:K01939	bbrj:B7017_0109
ko:K06199	bbrj:B7017_0111
ko:K06199	bbrj:B7017_0112
ko:K03484	bbrj:B7017_0113
ko:K00690	bbrj:B7017_0115
ko:K03484	bbrj:B7017_0117
ko:K00053	bbrj:B7017_0119
ko:K10240	bbrj:B7017_0121
ko:K10241	bbrj:B7017_0122
ko:K10242	bbrj:B7017_0123
ko:K05350	bbrj:B7017_0124
ko:K00053	bbrj:B7017_0125
ko:K01187	bbrj:B7017_0128
ko:K07284	bbrj:B7017_0132
ko:K00705	bbrj:B7017_0133
ko:K05343	bbrj:B7017_0134
ko:K15770	bbrj:B7017_0135
ko:K15771	bbrj:B7017_0136
ko:K15772	bbrj:B7017_0137
ko:K06178	bbrj:B7017_0967
ko:K06188	bbrj:B7017_0968
ko:K00602	bbrj:B7017_0970
ko:K01902	bbrj:B7017_0972
ko:K01903	bbrj:B7017_0973
ko:K00759	bbrj:B7017_0974
ko:K03210	bbrj:B7017_0975
ko:K03551	bbrj:B7017_0976
ko:K03550	bbrj:B7017_0977
ko:K01159	bbrj:B7017_0978
ko:K01868	bbrj:B7017_0981
ko:K06153	bbrj:B7017_0983
ko:K03686	bbrj:B7017_0985
ko:K03705	bbrj:B7017_0986
ko:K00615	bbrj:B7017_0987
ko:K00616	bbrj:B7017_0988
ko:K03311	bbrj:B7017_0989
ko:K14260	bbrj:B7017_0991
ko:K00016	bbrj:B7017_0993
ko:K03075	bbrj:B7017_0994
ko:K01803	bbrj:B7017_0995
ko:K00927	bbrj:B7017_0996
ko:K09762	bbrj:B7017_0997
ko:K06958	bbrj:B7017_0998
ko:K00014	bbrj:B7017_0999
ko:K03703	bbrj:B7017_1000
ko:K03701	bbrj:B7017_1001
ko:K11358	bbrj:B7017_1002
ko:K16786	bbrj:B7017_1004
ko:K16787	bbrj:B7017_1004
ko:K00762	bbrj:B7017_1012
ko:K17828	bbrj:B7017_1013
ko:K02823	bbrj:B7017_1014
ko:K01591	bbrj:B7017_1015
ko:K01465	bbrj:B7017_1016
ko:K00610	bbrj:B7017_1017
ko:K10119	bbrj:B7017_2055
ko:K10118	bbrj:B7017_2056
ko:K10117	bbrj:B7017_2058
ko:K01421	bbrj:B7017_2062
ko:K01421	bbrj:B7017_2063
ko:K12410	bbrj:B7017_2066
ko:K01754	bbrj:B7017_2067
ko:K01182	bbrj:B7017_2068
ko:K10119	bbrj:B7017_2069
ko:K10118	bbrj:B7017_2070
ko:K10117	bbrj:B7017_2071
ko:K07407	bbrj:B7017_2073
ko:K11991	bbrj:B7017_2074
ko:K03316	bbrj:B7017_2075
ko:K07090	bbrj:B7017_2076
ko:K06999	bbrj:B7017_2077
ko:K01494	bbrj:B7017_2079
