ko:K19405	cthj:CTRC953_03555
ko:K02874	cthj:CTRC953_02725
ko:K02961	cthj:CTRC953_02730
ko:K02904	cthj:CTRC953_02735
ko:K02878	cthj:CTRC953_02740
ko:K02982	cthj:CTRC953_02745
ko:K02890	cthj:CTRC953_02750
ko:K02965	cthj:CTRC953_02755
ko:K02886	cthj:CTRC953_02760
ko:K02892	cthj:CTRC953_02765
ko:K02926	cthj:CTRC953_02770
ko:K02906	cthj:CTRC953_02775
ko:K00604	cthj:CTRC953_02785
ko:K00677	cthj:CTRC953_02790
ko:K02372	cthj:CTRC953_02795
ko:K02535	cthj:CTRC953_02800
ko:K00773	cthj:CTRC953_00995
ko:K06213	cthj:CTRC953_01000
ko:K15580	cthj:CTRC953_01020
ko:K15581	cthj:CTRC953_01025
ko:K03319	cthj:CTRC953_01050
ko:K00850	cthj:CTRC953_01055
ko:K00895	cthj:CTRC953_01065
ko:K02527	cthj:CTRC953_01070
ko:K01869	cthj:CTRC953_01075
ko:K01845	cthj:CTRC953_01080
ko:K07735	cthj:CTRC953_01085
ko:K08999	cthj:CTRC953_01090
ko:K01807	cthj:CTRC953_01095
ko:K09903	cthj:CTRC953_03575
ko:K02357	cthj:CTRC953_03580
ko:K02967	cthj:CTRC953_03585
ko:K03162	cthj:CTRC953_03590
ko:K09013	cthj:CTRC953_03615
ko:K09015	cthj:CTRC953_03620
ko:K11717	cthj:CTRC953_03625
ko:K07220	cthj:CTRC953_03645
ko:K03306	cthj:CTRC953_03650
ko:K00927	cthj:CTRC953_03655
ko:K10773	cthj:CTRC953_03675
ko:K03650	cthj:CTRC953_03680
ko:K01613	cthj:CTRC953_03685
ko:K03070	cthj:CTRC953_03695
ko:K03977	cthj:CTRC953_03705
ko:K03544	cthj:CTRC953_03715
ko:K01358	cthj:CTRC953_03720
ko:K03545	cthj:CTRC953_03725
ko:K03569	cthj:CTRC953_03740
ko:K00057	cthj:CTRC953_03765
ko:K02412	cthj:CTRC953_03780
ko:K02411	cthj:CTRC953_03785
ko:K02409	cthj:CTRC953_03790
ko:K13819	cthj:CTRC953_03795
ko:K04487	cthj:CTRC953_03800
ko:K06178	cthj:CTRC953_03815
ko:K03524	cthj:CTRC953_03825
ko:K01963	cthj:CTRC953_01505
ko:K04564	cthj:CTRC953_01510
ko:K03685	cthj:CTRC953_01525
ko:K04485	cthj:CTRC953_01530
ko:K01749	cthj:CTRC953_01535
ko:K01873	cthj:CTRC953_01545
ko:K03046	cthj:CTRC953_01605
ko:K03043	cthj:CTRC953_01610
ko:K02935	cthj:CTRC953_01615
ko:K02864	cthj:CTRC953_01620
ko:K02863	cthj:CTRC953_01625
ko:K03527	cthj:CTRC953_04580
ko:K01870	cthj:CTRC953_00105
ko:K03100	cthj:CTRC953_00110
ko:K02909	cthj:CTRC953_00120
ko:K02835	cthj:CTRC953_00125
ko:K02493	cthj:CTRC953_00130
ko:K03106	cthj:CTRC953_00135
ko:K02959	cthj:CTRC953_00140
ko:K00554	cthj:CTRC953_00145
ko:K02884	cthj:CTRC953_00150
ko:K03470	cthj:CTRC953_00155
ko:K00942	cthj:CTRC953_00160
ko:K01874	cthj:CTRC953_00170
ko:K03581	cthj:CTRC953_00175
ko:K01494	cthj:CTRC953_00200
ko:K00748	cthj:CTRC953_02130
ko:K09817	cthj:CTRC953_02155
ko:K09816	cthj:CTRC953_02160
ko:K03979	cthj:CTRC953_02165
ko:K02899	cthj:CTRC953_02170
ko:K02888	cthj:CTRC953_02175
ko:K07042	cthj:CTRC953_02195
ko:K03183	cthj:CTRC953_02225
ko:K01778	cthj:CTRC953_02235
ko:K01358	cthj:CTRC953_02240
ko:K00600	cthj:CTRC953_02245
ko:K03695	cthj:CTRC953_00590
ko:K01783	cthj:CTRC953_00630
ko:K02356	cthj:CTRC953_00635
ko:K02160	cthj:CTRC953_00640
ko:K01961	cthj:CTRC953_00645
ko:K02871	cthj:CTRC953_00655
ko:K02996	cthj:CTRC953_00660
ko:K02029	cthj:CTRC953_00675
ko:K07058	cthj:CTRC953_00690
ko:K06999	cthj:CTRC953_00710
ko:K07566	cthj:CTRC953_00715
ko:K03820	cthj:CTRC953_02805
ko:K06925	cthj:CTRC953_02820
ko:K03671	cthj:CTRC953_02830
ko:K03216	cthj:CTRC953_02835
ko:K01876	cthj:CTRC953_02845
ko:K01892	cthj:CTRC953_02850
ko:K07783	cthj:CTRC953_02855
ko:K02337	cthj:CTRC953_02860
ko:K03311	cthj:CTRC953_02915
ko:K00382	cthj:CTRC953_02930
ko:K03644	cthj:CTRC953_02935
ko:K03222	cthj:CTRC953_02940
ko:K03223	cthj:CTRC953_02950
ko:K03226	cthj:CTRC953_02955
ko:K03228	cthj:CTRC953_02965
ko:K02455	cthj:CTRC953_02995
ko:K02453	cthj:CTRC953_03005
ko:K03572	cthj:CTRC953_03020
ko:K01868	cthj:CTRC953_03050
ko:K14218	cthj:CTRC953_t04697
ko:K14219	cthj:CTRC953_t04731
ko:K03787	cthj:CTRC953_01120
ko:K03179	cthj:CTRC953_01125
ko:K03186	cthj:CTRC953_01130
ko:K03308	cthj:CTRC953_01190
ko:K02078	cthj:CTRC953_01215
ko:K00645	cthj:CTRC953_01225
ko:K00648	cthj:CTRC953_01230
ko:K06187	cthj:CTRC953_01235
ko:K07277	cthj:CTRC953_01240
ko:K05837	cthj:CTRC953_03830
ko:K01875	cthj:CTRC953_03845
ko:K11752	cthj:CTRC953_03850
ko:K14652	cthj:CTRC953_03855
ko:K00794	cthj:CTRC953_03860
ko:K03310	cthj:CTRC953_03875
ko:K03466	cthj:CTRC953_03895
ko:K00351	cthj:CTRC953_03905
ko:K03210	cthj:CTRC953_03910
ko:K00231	cthj:CTRC953_03930
ko:K01599	cthj:CTRC953_03940
ko:K03723	cthj:CTRC953_03945
ko:K01872	cthj:CTRC953_03950
ko:K00615	cthj:CTRC953_03960
ko:K01241	cthj:CTRC953_03965
ko:K02356	cthj:CTRC953_03975
ko:K01929	cthj:CTRC953_03995
ko:K01000	cthj:CTRC953_04000
ko:K01925	cthj:CTRC953_04005
ko:K03588	cthj:CTRC953_04015
ko:K02563	cthj:CTRC953_04020
ko:K06960	cthj:CTRC953_04030
ko:K01980	cthj:CTRC953_r04769
ko:K01980	cthj:CTRC953_r04771
ko:K14220	cthj:CTRC953_t04687
ko:K14234	cthj:CTRC953_t04691
ko:K14234	cthj:CTRC953_t04709
ko:K14236	cthj:CTRC953_t04693
ko:K14227	cthj:CTRC953_t04695
ko:K14230	cthj:CTRC953_t04699
ko:K14230	cthj:CTRC953_t04711
ko:K14221	cthj:CTRC953_t04703
ko:K14237	cthj:CTRC953_t04705
ko:K14235	cthj:CTRC953_t04707
ko:K14233	cthj:CTRC953_t04715
ko:K14233	cthj:CTRC953_t04725
ko:K14229	cthj:CTRC953_t04741
ko:K14224	cthj:CTRC953_t04743
ko:K14226	cthj:CTRC953_t04749
ko:K01985	cthj:CTRC953_r04761
ko:K01985	cthj:CTRC953_r04763
ko:K14222	cthj:CTRC953_t04751
ko:K14223	cthj:CTRC953_t04753
ko:K14233	cthj:CTRC953_t04757
ko:K02867	cthj:CTRC953_01630
ko:K02601	cthj:CTRC953_01635
ko:K03073	cthj:CTRC953_01640
ko:K02358	cthj:CTRC953_01645
ko:K02518	cthj:CTRC953_01650
ko:K01803	cthj:CTRC953_01685
ko:K03601	cthj:CTRC953_01690
ko:K03602	cthj:CTRC953_01695
ko:K01662	cthj:CTRC953_01705
ko:K00873	cthj:CTRC953_01710
ko:K03701	cthj:CTRC953_01715
ko:K02343	cthj:CTRC953_01720
ko:K09747	cthj:CTRC953_01725
ko:K03551	cthj:CTRC953_00210
ko:K01255	cthj:CTRC953_00240
ko:K02340	cthj:CTRC953_00250
ko:K07056	cthj:CTRC953_00255
ko:K00164	cthj:CTRC953_00290
ko:K00658	cthj:CTRC953_00295
ko:K05810	cthj:CTRC953_00300
ko:K03526	cthj:CTRC953_00305
ko:K02400	cthj:CTRC953_00320
ko:K02405	cthj:CTRC953_00325
ko:K01866	cthj:CTRC953_00330
ko:K01770	cthj:CTRC953_02260
ko:K02946	cthj:CTRC953_02270
ko:K02355	cthj:CTRC953_02275
ko:K02992	cthj:CTRC953_02280
ko:K02950	cthj:CTRC953_02285
ko:K03797	cthj:CTRC953_02295
ko:K07462	cthj:CTRC953_02330
ko:K12257	cthj:CTRC953_02340
ko:K00806	cthj:CTRC953_02350
ko:K00981	cthj:CTRC953_02360
ko:K00945	cthj:CTRC953_02365
ko:K00655	cthj:CTRC953_02370
ko:K01887	cthj:CTRC953_02375
ko:K00790	cthj:CTRC953_02380
ko:K09125	cthj:CTRC953_00730
ko:K07039	cthj:CTRC953_00735
ko:K01972	cthj:CTRC953_00765
ko:K02913	cthj:CTRC953_00785
ko:K09810	cthj:CTRC953_00795
ko:K03720	cthj:CTRC953_00870
ko:K01867	cthj:CTRC953_03070
ko:K03702	cthj:CTRC953_03075
ko:K01689	cthj:CTRC953_03080
ko:K00240	cthj:CTRC953_03100
ko:K00239	cthj:CTRC953_03105
ko:K06142	cthj:CTRC953_01245
ko:K02536	cthj:CTRC953_01250
ko:K00161	cthj:CTRC953_01260
ko:K00162	cthj:CTRC953_01265
ko:K00627	cthj:CTRC953_01270
ko:K00688	cthj:CTRC953_01275
ko:K02313	cthj:CTRC953_01285
ko:K03217	cthj:CTRC953_01290
ko:K04487	cthj:CTRC953_01325
ko:K07083	cthj:CTRC953_01345
ko:K01962	cthj:CTRC953_01360
ko:K00791	cthj:CTRC953_04045
ko:K09710	cthj:CTRC953_04060
ko:K09458	cthj:CTRC953_04065
ko:K00263	cthj:CTRC953_04080
ko:K00655	cthj:CTRC953_04090
ko:K04066	cthj:CTRC953_04105
ko:K04567	cthj:CTRC953_04120
ko:K01883	cthj:CTRC953_04125
ko:K03536	cthj:CTRC953_04140
ko:K02919	cthj:CTRC953_04145
ko:K02954	cthj:CTRC953_04150
ko:K03703	cthj:CTRC953_04175
ko:K03555	cthj:CTRC953_04180
ko:K14164	cthj:CTRC953_04205
ko:K00995	cthj:CTRC953_04210
ko:K00703	cthj:CTRC953_04215
ko:K02897	cthj:CTRC953_04220
ko:K01056	cthj:CTRC953_04225
ko:K02990	cthj:CTRC953_04230
ko:K02963	cthj:CTRC953_04235
ko:K02939	cthj:CTRC953_04240
ko:K00919	cthj:CTRC953_04245
ko:K00630	cthj:CTRC953_04265
ko:K08301	cthj:CTRC953_04270
ko:K02911	cthj:CTRC953_04285
ko:K03621	cthj:CTRC953_04290
ko:K03424	cthj:CTRC953_03120
ko:K03562	cthj:CTRC953_03130
ko:K03641	cthj:CTRC953_03145
ko:K03640	cthj:CTRC953_03150
ko:K03648	cthj:CTRC953_03190
ko:K03657	cthj:CTRC953_03195
ko:K03092	cthj:CTRC953_03200
ko:K06137	cthj:CTRC953_03205
ko:K13941	cthj:CTRC953_03220
ko:K01633	cthj:CTRC953_03225
ko:K03086	cthj:CTRC953_03230
ko:K02968	cthj:CTRC953_03240
ko:K03980	cthj:CTRC953_03275
ko:K01151	cthj:CTRC953_03280
ko:K02986	cthj:CTRC953_03290
ko:K07146	cthj:CTRC953_03295
ko:K13789	cthj:CTRC953_03300
ko:K11381	cthj:CTRC953_01755
ko:K03686	cthj:CTRC953_01760
ko:K02970	cthj:CTRC953_01765
ko:K01338	cthj:CTRC953_01775
ko:K03733	cthj:CTRC953_01790
ko:K06287	cthj:CTRC953_01800
ko:K03075	cthj:CTRC953_01815
ko:K01462	cthj:CTRC953_01820
ko:K02528	cthj:CTRC953_01825
ko:K06888	cthj:CTRC953_01835
ko:K03523	cthj:CTRC953_01860
ko:K14234	cthj:CTRC953_t04739
ko:K03596	cthj:CTRC953_00340
ko:K03301	cthj:CTRC953_00345
ko:K00099	cthj:CTRC953_00380
ko:K03629	cthj:CTRC953_00395
ko:K02338	cthj:CTRC953_00400
ko:K03664	cthj:CTRC953_00405
ko:K03734	cthj:CTRC953_00410
ko:K01491	cthj:CTRC953_00415
ko:K02902	cthj:CTRC953_00450
ko:K00705	cthj:CTRC953_00455
ko:K04058	cthj:CTRC953_00465
ko:K02836	cthj:CTRC953_02400
ko:K00991	cthj:CTRC953_02415
ko:K06173	cthj:CTRC953_02420
ko:K07710	cthj:CTRC953_02440
ko:K07714	cthj:CTRC953_02445
ko:K03584	cthj:CTRC953_02455
ko:K08998	cthj:CTRC953_02480
ko:K01890	cthj:CTRC953_02490
ko:K02034	cthj:CTRC953_02505
ko:K01772	cthj:CTRC953_02550
ko:K14225	cthj:CTRC953_t04745
ko:K14228	cthj:CTRC953_t04723
ko:K09808	cthj:CTRC953_00790
ko:K01696	cthj:CTRC953_00880
ko:K01695	cthj:CTRC953_00885
ko:K03611	cthj:CTRC953_00910
ko:K00979	cthj:CTRC953_00940
ko:K01937	cthj:CTRC953_00945
ko:K07447	cthj:CTRC953_00950
ko:K00036	cthj:CTRC953_00955
ko:K01057	cthj:CTRC953_00960
ko:K02343	cthj:CTRC953_00965
ko:K00943	cthj:CTRC953_00970
ko:K02469	cthj:CTRC953_00975
ko:K02470	cthj:CTRC953_00980
ko:K01698	cthj:CTRC953_03330
ko:K00346	cthj:CTRC953_03335
ko:K03582	cthj:CTRC953_03360
ko:K03583	cthj:CTRC953_03365
ko:K03168	cthj:CTRC953_03380
ko:K02221	cthj:CTRC953_03390
ko:K03581	cthj:CTRC953_03430
ko:K06861	cthj:CTRC953_03440
ko:K01627	cthj:CTRC953_03450
ko:K06180	cthj:CTRC953_03470
ko:K06960	cthj:CTRC953_03475
ko:K02469	cthj:CTRC953_03480
ko:K02470	cthj:CTRC953_03485
ko:K02492	cthj:CTRC953_03490
ko:K03224	cthj:CTRC953_03525
ko:K02417	cthj:CTRC953_03540
ko:K03219	cthj:CTRC953_03550
ko:K02838	cthj:CTRC953_03570
ko:K14228	cthj:CTRC953_t04759
ko:K14232	cthj:CTRC953_t04689
ko:K01448	cthj:CTRC953_01375
ko:K01928	cthj:CTRC953_01380
ko:K03587	cthj:CTRC953_01385
ko:K03438	cthj:CTRC953_01395
ko:K02313	cthj:CTRC953_01410
ko:K00347	cthj:CTRC953_01425
ko:K00348	cthj:CTRC953_01430
ko:K00349	cthj:CTRC953_01435
ko:K00350	cthj:CTRC953_01440
ko:K02437	cthj:CTRC953_01445
ko:K03800	cthj:CTRC953_01460
ko:K03696	cthj:CTRC953_01465
ko:K00566	cthj:CTRC953_01470
ko:K03431	cthj:CTRC953_04325
ko:K00820	cthj:CTRC953_04330
ko:K03834	cthj:CTRC953_04335
ko:K03834	cthj:CTRC953_04345
ko:K06890	cthj:CTRC953_04350
ko:K03110	cthj:CTRC953_04355
ko:K01903	cthj:CTRC953_04360
ko:K01902	cthj:CTRC953_04365
ko:K09760	cthj:CTRC953_04380
ko:K17103	cthj:CTRC953_04385
ko:K03439	cthj:CTRC953_04400
ko:K00075	cthj:CTRC953_04410
ko:K03625	cthj:CTRC953_04420
ko:K02520	cthj:CTRC953_04425
ko:K02916	cthj:CTRC953_04430
ko:K02887	cthj:CTRC953_04435
ko:K01889	cthj:CTRC953_04440
ko:K11720	cthj:CTRC953_04455
ko:K07091	cthj:CTRC953_04460
ko:K04075	cthj:CTRC953_04465
ko:K03798	cthj:CTRC953_04470
ko:K00962	cthj:CTRC953_04475
ko:K02956	cthj:CTRC953_04480
ko:K01265	cthj:CTRC953_04530
ko:K03321	cthj:CTRC953_04565
ko:K01714	cthj:CTRC953_01875
ko:K00928	cthj:CTRC953_01880
ko:K00133	cthj:CTRC953_01885
ko:K00215	cthj:CTRC953_01890
ko:K00800	cthj:CTRC953_01900
ko:K00891	cthj:CTRC953_01905
ko:K01736	cthj:CTRC953_01910
ko:K01735	cthj:CTRC953_01915
ko:K13832	cthj:CTRC953_01920
ko:K03758	cthj:CTRC953_01940
ko:K00024	cthj:CTRC953_01950
ko:K01810	cthj:CTRC953_01960
ko:K03665	cthj:CTRC953_01965
ko:K06167	cthj:CTRC953_01970
ko:K09996	cthj:CTRC953_01975
ko:K14230	cthj:CTRC953_t04701
ko:K01977	cthj:CTRC953_r04765
ko:K01977	cthj:CTRC953_r04767
ko:K02035	cthj:CTRC953_00725
ko:K06889	cthj:CTRC953_00780
ko:K07315	cthj:CTRC953_03085
ko:K00241	cthj:CTRC953_03110
ko:K00241	cthj:CTRC953_03115
ko:K03386	cthj:CTRC953_03165
ko:K02428	cthj:CTRC953_03180
ko:K02124	cthj:CTRC953_01555
ko:K02123	cthj:CTRC953_01560
ko:K02120	cthj:CTRC953_01565
ko:K02118	cthj:CTRC953_01570
ko:K02117	cthj:CTRC953_01575
ko:K02121	cthj:CTRC953_01585
ko:K00616	cthj:CTRC953_01600
ko:K04763	cthj:CTRC953_04620
ko:K00700	cthj:CTRC953_04630
ko:K08483	cthj:CTRC953_01730
ko:K11189	cthj:CTRC953_01735
ko:K14225	cthj:CTRC953_t04747
ko:K14231	cthj:CTRC953_t04717
ko:K00784	cthj:CTRC953_01785
ko:K03856	cthj:CTRC953_01980
ko:K02035	cthj:CTRC953_00905
ko:K02049	cthj:CTRC953_00930
ko:K00813	cthj:CTRC953_03350
ko:K01934	cthj:CTRC953_03410
ko:K01409	cthj:CTRC953_01015
ko:K15582	cthj:CTRC953_01030
ko:K10823	cthj:CTRC953_01035
ko:K15583	cthj:CTRC953_01040
ko:K06889	cthj:CTRC953_01060
ko:K00970	cthj:CTRC953_03710
ko:K01596	cthj:CTRC953_03745
ko:K00972	cthj:CTRC953_03770
ko:K01834	cthj:CTRC953_03805
ko:K02433	cthj:CTRC953_00020
ko:K03471	cthj:CTRC953_00045
ko:K00970	cthj:CTRC953_02125
ko:K09815	cthj:CTRC953_02150
ko:K00059	cthj:CTRC953_01220
ko:K06910	cthj:CTRC953_03880
ko:K07117	cthj:CTRC953_03885
ko:K07052	cthj:CTRC953_01305
ko:K02342	cthj:CTRC953_01340
ko:K01507	cthj:CTRC953_04075
ko:K01082	cthj:CTRC953_04085
ko:K01909	cthj:CTRC953_04095
ko:K00652	cthj:CTRC953_04100
ko:K01408	cthj:CTRC953_04260
ko:K00033	cthj:CTRC953_00335
ko:K01719	cthj:CTRC953_02255
ko:K00380	cthj:CTRC953_02265
ko:K01885	cthj:CTRC953_02320
ko:K11707	cthj:CTRC953_00360
ko:K11710	cthj:CTRC953_00365
ko:K11708	cthj:CTRC953_00370
ko:K11709	cthj:CTRC953_00375
ko:K07098	cthj:CTRC953_02410
ko:K00567	cthj:CTRC953_02500
ko:K02033	cthj:CTRC953_02510
ko:K02035	cthj:CTRC953_02515
ko:K02030	cthj:CTRC953_02555
ko:K03177	cthj:CTRC953_00490
ko:K06179	cthj:CTRC953_00550
ko:K02806	cthj:CTRC953_01490
ko:K02806	cthj:CTRC953_01495
ko:K00939	cthj:CTRC953_00670
ko:K02028	cthj:CTRC953_00680
ko:K02342	cthj:CTRC953_02815
ko:K07258	cthj:CTRC953_02890
ko:K03227	cthj:CTRC953_02960
ko:K02454	cthj:CTRC953_03000
ko:K01262	cthj:CTRC953_03015
ko:K14237	cthj:CTRC953_t04755
ko:K01840	cthj:CTRC953_01515
ko:K06972	cthj:CTRC953_04375
ko:K11645	cthj:CTRC953_01105
ko:K08274	cthj:CTRC953_01955
ko:K07081	cthj:CTRC953_02220
ko:K01802	cthj:CTRC953_02840
ko:K08275	cthj:CTRC953_00425
ko:K08719	cthj:CTRC953_03760
ko:K01829	cthj:CTRC953_04115
ko:K01829	cthj:CTRC953_04135
ko:K03309	cthj:CTRC953_02080
ko:K07033	cthj:CTRC953_03610
ko:K01214	cthj:CTRC953_00220
ko:K03825	cthj:CTRC953_02395
ko:K03111	cthj:CTRC953_00230
ko:K03496	cthj:CTRC953_03055
ko:K03497	cthj:CTRC953_03630
ko:K02626	cthj:CTRC953_01935
ko:K11991	cthj:CTRC953_04485
ko:K02031	cthj:CTRC953_03640
ko:K04771	cthj:CTRC953_04370
ko:K19411	cthj:CTRC953_03560
ko:K07125	cthj:CTRC953_01660
ko:K22100	cthj:CTRC953_01680
ko:K12132	cthj:CTRC953_01540
ko:K20265	cthj:CTRC953_01110
ko:K20074	cthj:CTRC953_01330
ko:K11749	cthj:CTRC953_00385
ko:K22099	cthj:CTRC953_03210
ko:K00526	cthj:CTRC953_04395
ko:K02335	cthj:CTRC953_02590
ko:K01520	cthj:CTRC953_01500
ko:K02314	cthj:CTRC953_02620
ko:K00287	cthj:CTRC953_03215
ko:K03553	cthj:CTRC953_03420
ko:K02316	cthj:CTRC953_04190
ko:K02032	cthj:CTRC953_03635
ko:K00525	cthj:CTRC953_04390
ko:K02050	cthj:CTRC953_04545
ko:K02051	cthj:CTRC953_04545
ko:K01534	cthj:CTRC953_03835
ko:K16239	cthj:CTRC953_00445
