ko:K19079	suc:ECTR2_612
ko:K00948	suc:ECTR2_440
ko:K02897	suc:ECTR2_441
ko:K01056	suc:ECTR2_442
ko:K03723	suc:ECTR2_443
ko:K07571	suc:ECTR2_448
ko:K04075	suc:ECTR2_449
ko:K00760	suc:ECTR2_450
ko:K03798	suc:ECTR2_451
ko:K03654	suc:ECTR2_1333
ko:K07651	suc:ECTR2_1342
ko:K07775	suc:ECTR2_1343
ko:K06178	suc:ECTR2_1344
ko:K06024	suc:ECTR2_1345
ko:K05896	suc:ECTR2_1346
ko:K07124	suc:ECTR2_1353
ko:K00286	suc:ECTR2_1354
ko:K00036	suc:ECTR2_1356
ko:K09699	suc:ECTR2_1367
ko:K00167	suc:ECTR2_1368
ko:K00166	suc:ECTR2_1369
ko:K00382	suc:ECTR2_1370
ko:K03631	suc:ECTR2_1371
ko:K03402	suc:ECTR2_1372
ko:K13789	suc:ECTR2_1373
ko:K03602	suc:ECTR2_1374
ko:K03601	suc:ECTR2_1375
ko:K03625	suc:ECTR2_1376
ko:K01961	suc:ECTR2_1378
ko:K02160	suc:ECTR2_1379
ko:K02356	suc:ECTR2_1380
ko:K03190	suc:ECTR2_2154
ko:K03315	suc:ECTR2_2160
ko:K09940	suc:ECTR2_2162
ko:K00123	suc:ECTR2_2168
ko:K03453	suc:ECTR2_2180
ko:K02749	suc:ECTR2_2182
ko:K02750	suc:ECTR2_2182
ko:K03481	suc:ECTR2_2183
ko:K01468	suc:ECTR2_2190
ko:K01712	suc:ECTR2_2191
ko:K11210	suc:ECTR2_2193
ko:K02529	suc:ECTR2_232
ko:K01442	suc:ECTR2_236
ko:K03466	suc:ECTR2_248
ko:K03311	suc:ECTR2_266
ko:K02003	suc:ECTR2_269
ko:K03800	suc:ECTR2_287
ko:K07778	suc:ECTR2_1180
ko:K00928	suc:ECTR2_1186
ko:K00003	suc:ECTR2_1187
ko:K01733	suc:ECTR2_1188
ko:K00872	suc:ECTR2_1189
ko:K03781	suc:ECTR2_1193
ko:K02913	suc:ECTR2_1194
ko:K02954	suc:ECTR2_1195
ko:K00364	suc:ECTR2_1196
ko:K01356	suc:ECTR2_1198
ko:K00615	suc:ECTR2_1201
ko:K03547	suc:ECTR2_1204
ko:K03282	suc:ECTR2_1206
ko:K01681	suc:ECTR2_1208
ko:K07107	suc:ECTR2_1209
ko:K08591	suc:ECTR2_1211
ko:K02622	suc:ECTR2_1212
ko:K02621	suc:ECTR2_1213
ko:K03310	suc:ECTR2_1214
ko:K03480	suc:ECTR2_1215
ko:K14205	suc:ECTR2_1217
ko:K01821	suc:ECTR2_1220
ko:K01657	suc:ECTR2_1224
ko:K00766	suc:ECTR2_1226
ko:K01609	suc:ECTR2_1227
ko:K01817	suc:ECTR2_1228
ko:K01696	suc:ECTR2_1229
ko:K01695	suc:ECTR2_1230
ko:K01809	suc:ECTR2_1999
ko:K02013	suc:ECTR2_2007
ko:K00820	suc:ECTR2_2008
ko:K00009	suc:ECTR2_2012
ko:K03431	suc:ECTR2_2014
ko:K01476	suc:ECTR2_2017
ko:K11068	suc:ECTR2_2031
ko:K07038	suc:ECTR2_2033
ko:K02015	suc:ECTR2_2036
ko:K02015	suc:ECTR2_2037
ko:K02016	suc:ECTR2_2038
ko:K02787	suc:ECTR2_2051
ko:K02788	suc:ECTR2_2051
ko:K01807	suc:ECTR2_2196
ko:K09771	suc:ECTR2_2200
ko:K03652	suc:ECTR2_2204
ko:K03312	suc:ECTR2_2205
ko:K15519	suc:ECTR2_510
ko:K15518	suc:ECTR2_511
ko:K14194	suc:ECTR2_515
ko:K14194	suc:ECTR2_516
ko:K14194	suc:ECTR2_517
ko:K09007	suc:ECTR2_520
ko:K08094	suc:ECTR2_525
ko:K03762	suc:ECTR2_527
ko:K00868	suc:ECTR2_533
ko:K03648	suc:ECTR2_534
ko:K06885	suc:ECTR2_556
ko:K01887	suc:ECTR2_560
ko:K02016	suc:ECTR2_562
ko:K02015	suc:ECTR2_563
ko:K03705	suc:ECTR2_1432
ko:K03596	suc:ECTR2_1434
ko:K02968	suc:ECTR2_1435
ko:K02340	suc:ECTR2_1436
ko:K02237	suc:ECTR2_1439
ko:K09710	suc:ECTR2_1441
ko:K00969	suc:ECTR2_1443
ko:K07574	suc:ECTR2_1444
ko:K00014	suc:ECTR2_1445
ko:K07015	suc:ECTR2_1447
ko:K07160	suc:ECTR2_1454
ko:K01961	suc:ECTR2_1455
ko:K02160	suc:ECTR2_1456
ko:K03624	suc:ECTR2_1459
ko:K00876	suc:ECTR2_1460
ko:K08303	suc:ECTR2_1461
ko:K07447	suc:ECTR2_1465
ko:K01872	suc:ECTR2_1467
ko:K03581	suc:ECTR2_1468
ko:K00566	suc:ECTR2_1470
ko:K04487	suc:ECTR2_1471
ko:K07478	suc:ECTR2_1476
ko:K01876	suc:ECTR2_1478
ko:K01892	suc:ECTR2_1479
ko:K01448	suc:ECTR2_1480
ko:K00363	suc:ECTR2_2258
ko:K00362	suc:ECTR2_2259
ko:K01012	suc:ECTR2_2284
ko:K00833	suc:ECTR2_2285
ko:K01935	suc:ECTR2_2286
ko:K00865	suc:ECTR2_2290
ko:K00077	suc:ECTR2_2301
ko:K08170	suc:ECTR2_2302
ko:K05846	suc:ECTR2_2303
ko:K05845	suc:ECTR2_2304
ko:K05846	suc:ECTR2_2305
ko:K03367	suc:ECTR2_788
ko:K03739	suc:ECTR2_789
ko:K14188	suc:ECTR2_790
ko:K03740	suc:ECTR2_791
ko:K03885	suc:ECTR2_794
ko:K03885	suc:ECTR2_797
ko:K01255	suc:ECTR2_798
ko:K07084	suc:ECTR2_799
ko:K05571	suc:ECTR2_802
ko:K05569	suc:ECTR2_804
ko:K05567	suc:ECTR2_806
ko:K05566	suc:ECTR2_807
ko:K06347	suc:ECTR2_809
ko:K00260	suc:ECTR2_814
ko:K01126	suc:ECTR2_815
ko:K01755	suc:ECTR2_816
ko:K01940	suc:ECTR2_817
ko:K01810	suc:ECTR2_818
ko:K03100	suc:ECTR2_820
ko:K03100	suc:ECTR2_821
ko:K03695	suc:ECTR2_830
ko:K00648	suc:ECTR2_838
ko:K09458	suc:ECTR2_839
ko:K06180	suc:ECTR2_1692
ko:K03216	suc:ECTR2_1697
ko:K03564	suc:ECTR2_1734
ko:K01845	suc:ECTR2_1735
ko:K03575	suc:ECTR2_1739
ko:K11936	suc:ECTR2_2520
ko:K11755	suc:ECTR2_2525
ko:K02500	suc:ECTR2_2526
ko:K01814	suc:ECTR2_2527
ko:K02501	suc:ECTR2_2528
ko:K01693	suc:ECTR2_2529
ko:K00817	suc:ECTR2_2530
ko:K00013	suc:ECTR2_2531
ko:K00765	suc:ECTR2_2532
ko:K07146	suc:ECTR2_2542
ko:K01304	suc:ECTR2_2543
ko:K03319	suc:ECTR2_2547
ko:K05786	suc:ECTR2_2548
ko:K07241	suc:ECTR2_2550
ko:K03704	suc:ECTR2_2556
ko:K04083	suc:ECTR2_452
ko:K01738	suc:ECTR2_453
ko:K00796	suc:ECTR2_454
ko:K01633	suc:ECTR2_455
ko:K00950	suc:ECTR2_456
ko:K04567	suc:ECTR2_457
ko:K00375	suc:ECTR2_471
ko:K06215	suc:ECTR2_472
ko:K00817	suc:ECTR2_674
ko:K03305	suc:ECTR2_677
ko:K09457	suc:ECTR2_678
ko:K02015	suc:ECTR2_683
ko:K02015	suc:ECTR2_685
ko:K02013	suc:ECTR2_686
ko:K02016	suc:ECTR2_687
ko:K00075	suc:ECTR2_688
ko:K00865	suc:ECTR2_692
ko:K03070	suc:ECTR2_703
ko:K02836	suc:ECTR2_704
ko:K07023	suc:ECTR2_706
ko:K03702	suc:ECTR2_708
ko:K03701	suc:ECTR2_709
ko:K13292	suc:ECTR2_711
ko:K00384	suc:ECTR2_714
ko:K01358	suc:ECTR2_719
ko:K07071	suc:ECTR2_720
ko:K05311	suc:ECTR2_722
ko:K00134	suc:ECTR2_723
ko:K00927	suc:ECTR2_724
ko:K01803	suc:ECTR2_725
ko:K15633	suc:ECTR2_726
ko:K01689	suc:ECTR2_727
ko:K01924	suc:ECTR2_1580
ko:K03466	suc:ECTR2_1581
ko:K06878	suc:ECTR2_1582
ko:K03439	suc:ECTR2_1588
ko:K00824	suc:ECTR2_1590
ko:K07007	suc:ECTR2_1595
ko:K01869	suc:ECTR2_1598
ko:K07139	suc:ECTR2_1600
ko:K00318	suc:ECTR2_1604
ko:K00794	suc:ECTR2_1605
ko:K14652	suc:ECTR2_1606
ko:K00793	suc:ECTR2_1607
ko:K11752	suc:ECTR2_1608
ko:K03893	suc:ECTR2_1610
ko:K06199	suc:ECTR2_1619
ko:K06199	suc:ECTR2_1620
ko:K00789	suc:ECTR2_1625
ko:K01610	suc:ECTR2_1626
ko:K08998	suc:ECTR2_1630
ko:K03778	suc:ECTR2_2412
ko:K09765	suc:ECTR2_2445
ko:K06978	suc:ECTR2_2448
ko:K01579	suc:ECTR2_2451
ko:K01918	suc:ECTR2_2452
ko:K00606	suc:ECTR2_2453
ko:K00077	suc:ECTR2_2454
ko:K01575	suc:ECTR2_2455
ko:K00823	suc:ECTR2_2458
ko:K11535	suc:ECTR2_474
ko:K03696	suc:ECTR2_478
ko:K04485	suc:ECTR2_479
ko:K00640	suc:ECTR2_482
ko:K01883	suc:ECTR2_483
ko:K11145	suc:ECTR2_484
ko:K03218	suc:ECTR2_485
ko:K06962	suc:ECTR2_486
ko:K03091	suc:ECTR2_487
ko:K02913	suc:ECTR2_488
ko:K03073	suc:ECTR2_489
ko:K02601	suc:ECTR2_490
ko:K02867	suc:ECTR2_491
ko:K02863	suc:ECTR2_492
ko:K02864	suc:ECTR2_493
ko:K02935	suc:ECTR2_494
ko:K03043	suc:ECTR2_496
ko:K03046	suc:ECTR2_497
ko:K07590	suc:ECTR2_498
ko:K02950	suc:ECTR2_499
ko:K02992	suc:ECTR2_500
ko:K02355	suc:ECTR2_501
ko:K02358	suc:ECTR2_502
ko:K05523	suc:ECTR2_505
ko:K00826	suc:ECTR2_508
ko:K01091	suc:ECTR2_509
ko:K03800	suc:ECTR2_1384
ko:K00283	suc:ECTR2_1386
ko:K00282	suc:ECTR2_1387
ko:K00605	suc:ECTR2_1388
ko:K00891	suc:ECTR2_1389
ko:K02913	suc:ECTR2_1401
ko:K04564	suc:ECTR2_1403
ko:K09816	suc:ECTR2_1405
ko:K09817	suc:ECTR2_1406
ko:K01151	suc:ECTR2_1407
ko:K06967	suc:ECTR2_1410
ko:K03086	suc:ECTR2_1411
ko:K09773	suc:ECTR2_1413
ko:K01880	suc:ECTR2_1415
ko:K03584	suc:ECTR2_1416
ko:K07042	suc:ECTR2_1420
ko:K02970	suc:ECTR2_1425
ko:K09761	suc:ECTR2_1427
ko:K02687	suc:ECTR2_1428
ko:K03686	suc:ECTR2_1429
ko:K04043	suc:ECTR2_1430
ko:K03687	suc:ECTR2_1431
ko:K03284	suc:ECTR2_2207
ko:K07107	suc:ECTR2_2208
ko:K07552	suc:ECTR2_2215
ko:K00116	suc:ECTR2_2225
ko:K03303	suc:ECTR2_2226
ko:K11102	suc:ECTR2_2243
ko:K07696	suc:ECTR2_2250
ko:K00373	suc:ECTR2_2254
ko:K00371	suc:ECTR2_2255
ko:K00370	suc:ECTR2_2256
ko:K08681	suc:ECTR2_473
ko:K02445	suc:ECTR2_296
ko:K00299	suc:ECTR2_299
ko:K03817	suc:ECTR2_302
ko:K07224	suc:ECTR2_303
ko:K07243	suc:ECTR2_305
ko:K03118	suc:ECTR2_306
ko:K03116	suc:ECTR2_308
ko:K00549	suc:ECTR2_317
ko:K06942	suc:ECTR2_324
ko:K02990	suc:ECTR2_326
ko:K02963	suc:ECTR2_328
ko:K03387	suc:ECTR2_340
ko:K06956	suc:ECTR2_343
ko:K02034	suc:ECTR2_1238
ko:K02039	suc:ECTR2_1242
ko:K02036	suc:ECTR2_1243
ko:K02038	suc:ECTR2_1244
ko:K02037	suc:ECTR2_1245
ko:K02040	suc:ECTR2_1246
ko:K00243	suc:ECTR2_1248
ko:K00928	suc:ECTR2_1250
ko:K00133	suc:ECTR2_1251
ko:K01714	suc:ECTR2_1252
ko:K00215	suc:ECTR2_1253
ko:K01775	suc:ECTR2_1256
ko:K01586	suc:ECTR2_1257
ko:K03704	suc:ECTR2_1259
ko:K01512	suc:ECTR2_1261
ko:K03311	suc:ECTR2_1264
ko:K00658	suc:ECTR2_1269
ko:K00164	suc:ECTR2_1270
ko:K02563	suc:ECTR2_1274
ko:K03797	suc:ECTR2_1276
ko:K12410	suc:ECTR2_2058
ko:K01575	suc:ECTR2_2067
ko:K01652	suc:ECTR2_2068
ko:K02996	suc:ECTR2_2079
ko:K02871	suc:ECTR2_2080
ko:K06173	suc:ECTR2_2081
ko:K02879	suc:ECTR2_2085
ko:K03040	suc:ECTR2_2086
ko:K02948	suc:ECTR2_2087
ko:K02952	suc:ECTR2_2088
ko:K02919	suc:ECTR2_2089
ko:K02518	suc:ECTR2_2090
ko:K03076	suc:ECTR2_2092
ko:K02876	suc:ECTR2_2093
ko:K02907	suc:ECTR2_2094
ko:K02988	suc:ECTR2_2095
ko:K02881	suc:ECTR2_2096
ko:K02933	suc:ECTR2_2097
ko:K02994	suc:ECTR2_2098
ko:K02954	suc:ECTR2_2099
ko:K02931	suc:ECTR2_2100
ko:K02895	suc:ECTR2_2101
ko:K09936	suc:ECTR2_570
ko:K05566	suc:ECTR2_575
ko:K05567	suc:ECTR2_576
ko:K05569	suc:ECTR2_578
ko:K05571	suc:ECTR2_580
ko:K05946	suc:ECTR2_588
ko:K02013	suc:ECTR2_598
ko:K02015	suc:ECTR2_599
ko:K02015	suc:ECTR2_600
ko:K05878	suc:ECTR2_601
ko:K05879	suc:ECTR2_602
ko:K07220	suc:ECTR2_614
ko:K03306	suc:ECTR2_615
ko:K06890	suc:ECTR2_617
ko:K07560	suc:ECTR2_1481
ko:K00759	suc:ECTR2_1483
ko:K07462	suc:ECTR2_1484
ko:K12257	suc:ECTR2_1485
ko:K03210	suc:ECTR2_1486
ko:K00773	suc:ECTR2_1487
ko:K07568	suc:ECTR2_1488
ko:K03551	suc:ECTR2_1489
ko:K03550	suc:ECTR2_1490
ko:K06209	suc:ECTR2_1491
ko:K03979	suc:ECTR2_1492
ko:K02899	suc:ECTR2_1493
ko:K02888	suc:ECTR2_1495
ko:K03571	suc:ECTR2_1496
ko:K03570	suc:ECTR2_1497
ko:K03630	suc:ECTR2_1501
ko:K11754	suc:ECTR2_1503
ko:K01873	suc:ECTR2_1504
ko:K01246	suc:ECTR2_1505
ko:K01845	suc:ECTR2_1508
ko:K01698	suc:ECTR2_1509
ko:K01749	suc:ECTR2_1511
ko:K02497	suc:ECTR2_1512
ko:K02492	suc:ECTR2_1513
ko:K03978	suc:ECTR2_1514
ko:K03544	suc:ECTR2_1515
ko:K03545	suc:ECTR2_1516
ko:K02887	suc:ECTR2_1519
ko:K02916	suc:ECTR2_1520
ko:K02520	suc:ECTR2_1521
ko:K01868	suc:ECTR2_1523
ko:K07738	suc:ECTR2_1526
ko:K00134	suc:ECTR2_1527
ko:K00859	suc:ECTR2_1528
ko:K05847	suc:ECTR2_2306
ko:K02069	suc:ECTR2_2311
ko:K02068	suc:ECTR2_2312
ko:K10824	suc:ECTR2_2320
ko:K15587	suc:ECTR2_2321
ko:K15586	suc:ECTR2_2322
ko:K15585	suc:ECTR2_2323
ko:K15584	suc:ECTR2_2324
ko:K00963	suc:ECTR2_2353
ko:K03816	suc:ECTR2_347
ko:K01951	suc:ECTR2_350
ko:K08987	suc:ECTR2_355
ko:K03427	suc:ECTR2_366
ko:K01154	suc:ECTR2_367
ko:K05577	suc:ECTR2_386
ko:K09822	suc:ECTR2_387
ko:K03928	suc:ECTR2_391
ko:K03308	suc:ECTR2_392
ko:K02071	suc:ECTR2_395
ko:K02072	suc:ECTR2_396
ko:K02073	suc:ECTR2_397
ko:K09125	suc:ECTR2_1287
ko:K08170	suc:ECTR2_1290
ko:K01754	suc:ECTR2_1292
ko:K00259	suc:ECTR2_1293
ko:K07444	suc:ECTR2_1298
ko:K05366	suc:ECTR2_1304
ko:K10773	suc:ECTR2_1306
ko:K01893	suc:ECTR2_1308
ko:K03524	suc:ECTR2_1310
ko:K06973	suc:ECTR2_1314
ko:K00800	suc:ECTR2_1318
ko:K01735	suc:ECTR2_1319
ko:K01736	suc:ECTR2_1320
ko:K00940	suc:ECTR2_1321
ko:K03183	suc:ECTR2_1323
ko:K03530	suc:ECTR2_1325
ko:K00057	suc:ECTR2_1326
ko:K03977	suc:ECTR2_1327
ko:K02945	suc:ECTR2_1328
ko:K00945	suc:ECTR2_1329
ko:K02874	suc:ECTR2_2102
ko:K02961	suc:ECTR2_2103
ko:K02904	suc:ECTR2_2104
ko:K02878	suc:ECTR2_2105
ko:K02982	suc:ECTR2_2106
ko:K02890	suc:ECTR2_2107
ko:K02965	suc:ECTR2_2108
ko:K02886	suc:ECTR2_2109
ko:K02892	suc:ECTR2_2110
ko:K02926	suc:ECTR2_2111
ko:K02906	suc:ECTR2_2112
ko:K02946	suc:ECTR2_2113
ko:K06901	suc:ECTR2_2115
ko:K07088	suc:ECTR2_2120
ko:K03639	suc:ECTR2_2129
ko:K03752	suc:ECTR2_2130
ko:K03636	suc:ECTR2_2131
ko:K03753	suc:ECTR2_2133
ko:K03750	suc:ECTR2_2134
ko:K03637	suc:ECTR2_2135
ko:K03638	suc:ECTR2_2136
ko:K09790	suc:ECTR2_130
ko:K08996	suc:ECTR2_144
ko:K00930	suc:ECTR2_145
ko:K00620	suc:ECTR2_146
ko:K00145	suc:ECTR2_147
ko:K03311	suc:ECTR2_149
ko:K07106	suc:ECTR2_154
ko:K01153	suc:ECTR2_157
ko:K02003	suc:ECTR2_160
ko:K02034	suc:ECTR2_168
ko:K01118	suc:ECTR2_172
ko:K15771	suc:ECTR2_176
ko:K15772	suc:ECTR2_177
ko:K02012	suc:ECTR2_185
ko:K00656	suc:ECTR2_186
ko:K04069	suc:ECTR2_187
ko:K01126	suc:ECTR2_188
ko:K07516	suc:ECTR2_192
ko:K00252	suc:ECTR2_193
ko:K05916	suc:ECTR2_200
ko:K02773	suc:ECTR2_206
ko:K02774	suc:ECTR2_207
ko:K05352	suc:ECTR2_213
ko:K07322	suc:ECTR2_220
ko:K07704	suc:ECTR2_221
ko:K05338	suc:ECTR2_223
ko:K05339	suc:ECTR2_224
ko:K03489	suc:ECTR2_225
ko:K01223	suc:ECTR2_227
ko:K06726	suc:ECTR2_230
ko:K02519	suc:ECTR2_1125
ko:K02834	suc:ECTR2_1126
ko:K11753	suc:ECTR2_1128
ko:K02956	suc:ECTR2_1129
ko:K00962	suc:ECTR2_1130
ko:K03466	suc:ECTR2_1132
ko:K00995	suc:ECTR2_1139
ko:K09769	suc:ECTR2_1144
ko:K00174	suc:ECTR2_1145
ko:K00175	suc:ECTR2_1146
ko:K06168	suc:ECTR2_1148
ko:K03555	suc:ECTR2_1151
ko:K03572	suc:ECTR2_1152
ko:K02440	suc:ECTR2_1156
ko:K00864	suc:ECTR2_1157
ko:K02018	suc:ECTR2_2139
ko:K02020	suc:ECTR2_2140
ko:K02379	suc:ECTR2_2141
ko:K03523	suc:ECTR2_2143
ko:K02016	suc:ECTR2_2145
ko:K08717	suc:ECTR2_2147
ko:K01430	suc:ECTR2_2148
ko:K01429	suc:ECTR2_2149
ko:K01428	suc:ECTR2_2150
ko:K03187	suc:ECTR2_2151
ko:K03188	suc:ECTR2_2152
ko:K03189	suc:ECTR2_2153
ko:K01462	suc:ECTR2_1071
ko:K00604	suc:ECTR2_1072
ko:K03500	suc:ECTR2_1073
ko:K06941	suc:ECTR2_1074
ko:K06949	suc:ECTR2_1077
ko:K01783	suc:ECTR2_1078
ko:K02902	suc:ECTR2_1080
ko:K03655	suc:ECTR2_1083
ko:K03621	suc:ECTR2_1085
ko:K00645	suc:ECTR2_1086
ko:K02078	suc:ECTR2_1088
ko:K03685	suc:ECTR2_1089
ko:K03529	suc:ECTR2_1090
ko:K03110	suc:ECTR2_1091
ko:K03106	suc:ECTR2_1093
ko:K02959	suc:ECTR2_1094
ko:K02860	suc:ECTR2_1095
ko:K00554	suc:ECTR2_1096
ko:K02884	suc:ECTR2_1097
ko:K14540	suc:ECTR2_1099
ko:K03470	suc:ECTR2_1100
ko:K01903	suc:ECTR2_1101
ko:K01902	suc:ECTR2_1102
ko:K04096	suc:ECTR2_1105
ko:K03168	suc:ECTR2_1106
ko:K04094	suc:ECTR2_1107
ko:K03733	suc:ECTR2_1108
ko:K01419	suc:ECTR2_1109
ko:K03667	suc:ECTR2_1110
ko:K03706	suc:ECTR2_1111
ko:K02967	suc:ECTR2_1112
ko:K02357	suc:ECTR2_1113
ko:K09903	suc:ECTR2_1114
ko:K02838	suc:ECTR2_1115
ko:K00806	suc:ECTR2_1116
ko:K00981	suc:ECTR2_1117
ko:K11749	suc:ECTR2_1118
ko:K01881	suc:ECTR2_1119
ko:K03763	suc:ECTR2_1120
ko:K09748	suc:ECTR2_1121
ko:K02600	suc:ECTR2_1122
ko:K07742	suc:ECTR2_1123
ko:K03789	suc:ECTR2_1901
ko:K06925	suc:ECTR2_1903
ko:K01687	suc:ECTR2_1904
ko:K01652	suc:ECTR2_1905
ko:K01653	suc:ECTR2_1906
ko:K00053	suc:ECTR2_1907
ko:K01649	suc:ECTR2_1908
ko:K00052	suc:ECTR2_1909
ko:K01703	suc:ECTR2_1910
ko:K01704	suc:ECTR2_1911
ko:K01754	suc:ECTR2_1912
ko:K06959	suc:ECTR2_1919
ko:K01775	suc:ECTR2_1926
ko:K00997	suc:ECTR2_1927
ko:K01548	suc:ECTR2_1931
ko:K01547	suc:ECTR2_1932
ko:K01546	suc:ECTR2_1933
ko:K07646	suc:ECTR2_1934
ko:K07667	suc:ECTR2_1935
ko:K01929	suc:ECTR2_1938
ko:K01921	suc:ECTR2_1939
ko:K05837	suc:ECTR2_1940
ko:K06131	suc:ECTR2_1944
ko:K06950	suc:ECTR2_1945
ko:K03217	suc:ECTR2_1946
ko:K00788	suc:ECTR2_1947
ko:K00878	suc:ECTR2_1948
ko:K00791	suc:ECTR2_1160
ko:K03666	suc:ECTR2_1161
ko:K00432	suc:ECTR2_1162
ko:K03665	suc:ECTR2_1163
ko:K01915	suc:ECTR2_1166
ko:K01620	suc:ECTR2_1175
ko:K06131	suc:ECTR2_1177
ko:K00941	suc:ECTR2_1949
ko:K03707	suc:ECTR2_1950
ko:K02372	suc:ECTR2_1955
ko:K00790	suc:ECTR2_1956
ko:K02114	suc:ECTR2_1958
