ko:K09796	vcf:IR04_00165
ko:K18675	vcf:IR04_08010
ko:K12373	vcf:IR04_08015
ko:K18676	vcf:IR04_08020
ko:K02034	vcf:IR04_08040
ko:K02033	vcf:IR04_08045
ko:K02035	vcf:IR04_08050
ko:K00564	vcf:IR04_08060
ko:K01845	vcf:IR04_08070
ko:K15724	vcf:IR04_08080
ko:K18990	vcf:IR04_08085
ko:K18989	vcf:IR04_08090
ko:K01866	vcf:IR04_08100
ko:K07259	vcf:IR04_08105
ko:K08720	vcf:IR04_08110
ko:K03624	vcf:IR04_08115
ko:K07574	vcf:IR04_08120
ko:K02427	vcf:IR04_08125
ko:K03798	vcf:IR04_08130
ko:K00796	vcf:IR04_08135
ko:K03431	vcf:IR04_08140
ko:K03075	vcf:IR04_08145
ko:K09748	vcf:IR04_08160
ko:K02600	vcf:IR04_08165
ko:K02519	vcf:IR04_08170
ko:K02834	vcf:IR04_08175
ko:K03177	vcf:IR04_08180
ko:K02956	vcf:IR04_08185
ko:K00962	vcf:IR04_08190
ko:K05803	vcf:IR04_08195
ko:K08303	vcf:IR04_08215
ko:K03824	vcf:IR04_08230
ko:K02344	vcf:IR04_08235
ko:K03789	vcf:IR04_08240
ko:K01256	vcf:IR04_12705
ko:K03797	vcf:IR04_12715
ko:K03607	vcf:IR04_12720
ko:K03808	vcf:IR04_12735
ko:K11392	vcf:IR04_12745
ko:K00243	vcf:IR04_12750
ko:K01626	vcf:IR04_12765
ko:K09767	vcf:IR04_12770
ko:K12410	vcf:IR04_12775
ko:K00127	vcf:IR04_12785
ko:K00124	vcf:IR04_12790
ko:K00123	vcf:IR04_12795
ko:K02379	vcf:IR04_12825
ko:K05772	vcf:IR04_12845
ko:K05773	vcf:IR04_12850
ko:K06857	vcf:IR04_12855
ko:K03752	vcf:IR04_12860
ko:K03750	vcf:IR04_12865
ko:K02030	vcf:IR04_12870
ko:K00884	vcf:IR04_12890
ko:K05812	vcf:IR04_12895
ko:K03406	vcf:IR04_12905
ko:K03327	vcf:IR04_12930
ko:K03832	vcf:IR04_12950
ko:K03559	vcf:IR04_12955
ko:K03561	vcf:IR04_12960
ko:K03561	vcf:IR04_12965
ko:K05813	vcf:IR04_12975
ko:K09862	vcf:IR04_17230
ko:K02621	vcf:IR04_17235
ko:K02622	vcf:IR04_17240
ko:K07000	vcf:IR04_17245
ko:K03651	vcf:IR04_17250
ko:K09920	vcf:IR04_17255
ko:K01515	vcf:IR04_17260
ko:K12340	vcf:IR04_17265
ko:K03272	vcf:IR04_17270
ko:K00982	vcf:IR04_17275
ko:K03406	vcf:IR04_17280
ko:K18446	vcf:IR04_17290
ko:K07220	vcf:IR04_17295
ko:K03306	vcf:IR04_17300
ko:K07184	vcf:IR04_17305
ko:K02451	vcf:IR04_17310
ko:K02450	vcf:IR04_17315
ko:K00974	vcf:IR04_17320
ko:K01689	vcf:IR04_17325
ko:K01937	vcf:IR04_17330
ko:K04765	vcf:IR04_17340
ko:K00951	vcf:IR04_17345
ko:K03215	vcf:IR04_17350
ko:K07678	vcf:IR04_17355
ko:K00997	vcf:IR04_17375
ko:K03474	vcf:IR04_17380
ko:K03584	vcf:IR04_17385
ko:K03685	vcf:IR04_17395
ko:K03100	vcf:IR04_17400
ko:K03596	vcf:IR04_17405
ko:K03803	vcf:IR04_17410
ko:K03598	vcf:IR04_17415
ko:K03597	vcf:IR04_17420
ko:K03088	vcf:IR04_17425
ko:K00278	vcf:IR04_17430
ko:K09159	vcf:IR04_17440
ko:K06980	vcf:IR04_17445
ko:K18800	vcf:IR04_17455
ko:K03185	vcf:IR04_17460
ko:K09895	vcf:IR04_17465
ko:K09888	vcf:IR04_17470
ko:K01807	vcf:IR04_17480
ko:K00058	vcf:IR04_17485
ko:K01653	vcf:IR04_17490
ko:K01652	vcf:IR04_17495
ko:K01897	vcf:IR04_17500
ko:K05798	vcf:IR04_17505
ko:K07783	vcf:IR04_03030
ko:K00873	vcf:IR04_03035
ko:K07647	vcf:IR04_03040
ko:K11930	vcf:IR04_03045
ko:K01734	vcf:IR04_03050
ko:K08281	vcf:IR04_03055
ko:K00901	vcf:IR04_03060
ko:K03658	vcf:IR04_03075
ko:K00021	vcf:IR04_03105
ko:K02017	vcf:IR04_03110
ko:K02018	vcf:IR04_03115
ko:K02020	vcf:IR04_03120
ko:K02232	vcf:IR04_03125
ko:K10909	vcf:IR04_03170
ko:K10910	vcf:IR04_03175
ko:K09802	vcf:IR04_03200
ko:K00864	vcf:IR04_03215
ko:K02440	vcf:IR04_03220
ko:K00111	vcf:IR04_03230
ko:K00112	vcf:IR04_03235
ko:K00113	vcf:IR04_03240
ko:K00648	vcf:IR04_03245
ko:K03672	vcf:IR04_03250
ko:K09998	vcf:IR04_03285
ko:K09999	vcf:IR04_03290
ko:K09997	vcf:IR04_03295
ko:K10000	vcf:IR04_03300
ko:K03924	vcf:IR04_03315
ko:K03186	vcf:IR04_17800
ko:K02558	vcf:IR04_17805
ko:K03841	vcf:IR04_17810
ko:K01507	vcf:IR04_17815
ko:K09800	vcf:IR04_17825
ko:K07278	vcf:IR04_17830
ko:K07304	vcf:IR04_17835
ko:K07109	vcf:IR04_17840
ko:K02003	vcf:IR04_17855
ko:K02004	vcf:IR04_17860
ko:K09950	vcf:IR04_17865
ko:K00860	vcf:IR04_17875
ko:K00956	vcf:IR04_17880
ko:K00957	vcf:IR04_17885
ko:K02303	vcf:IR04_17890
ko:K01119	vcf:IR04_17895
ko:K05591	vcf:IR04_17905
ko:K02348	vcf:IR04_17910
ko:K03773	vcf:IR04_17925
ko:K02879	vcf:IR04_17935
ko:K03040	vcf:IR04_17940
ko:K02986	vcf:IR04_17945
ko:K02948	vcf:IR04_17950
ko:K02952	vcf:IR04_17955
ko:K02919	vcf:IR04_17960
ko:K03076	vcf:IR04_17965
ko:K02876	vcf:IR04_17970
ko:K02907	vcf:IR04_17975
ko:K02988	vcf:IR04_17980
ko:K02881	vcf:IR04_17985
ko:K02933	vcf:IR04_17990
ko:K02994	vcf:IR04_17995
ko:K02954	vcf:IR04_18000
ko:K02931	vcf:IR04_18005
ko:K02895	vcf:IR04_18010
ko:K02874	vcf:IR04_18015
ko:K02961	vcf:IR04_18020
ko:K02904	vcf:IR04_18025
ko:K02878	vcf:IR04_18030
ko:K02982	vcf:IR04_18035
ko:K02890	vcf:IR04_18040
ko:K02965	vcf:IR04_18045
ko:K02886	vcf:IR04_18050
ko:K05805	vcf:IR04_03485
ko:K00892	vcf:IR04_03490
ko:K05592	vcf:IR04_03505
ko:K01147	vcf:IR04_03510
ko:K02040	vcf:IR04_03520
ko:K06876	vcf:IR04_03530
ko:K05994	vcf:IR04_03545
ko:K01480	vcf:IR04_03550
ko:K01585	vcf:IR04_03555
ko:K06213	vcf:IR04_03565
ko:K04078	vcf:IR04_03570
ko:K04077	vcf:IR04_03575
ko:K00928	vcf:IR04_03585
ko:K06720	vcf:IR04_03590
ko:K00836	vcf:IR04_03595
ko:K06718	vcf:IR04_03600
ko:K01724	vcf:IR04_03605
ko:K00500	vcf:IR04_03610
ko:K01907	vcf:IR04_03615
ko:K00060	vcf:IR04_03860
ko:K00639	vcf:IR04_03865
ko:K05523	vcf:IR04_03870
ko:K05523	vcf:IR04_03875
ko:K08234	vcf:IR04_03890
ko:K15536	vcf:IR04_03905
ko:K04477	vcf:IR04_03910
ko:K03568	vcf:IR04_07080
ko:K01478	vcf:IR04_07085
ko:K09893	vcf:IR04_07095
ko:K07080	vcf:IR04_07120
ko:K03402	vcf:IR04_07125
ko:K00024	vcf:IR04_07130
ko:K03758	vcf:IR04_07135
ko:K03758	vcf:IR04_07140
ko:K02523	vcf:IR04_07145
ko:K02888	vcf:IR04_07150
ko:K02899	vcf:IR04_07155
ko:K03979	vcf:IR04_07160
ko:K01525	vcf:IR04_07180
ko:K06195	vcf:IR04_07185
ko:K02528	vcf:IR04_07190
ko:K00097	vcf:IR04_07195
ko:K03771	vcf:IR04_07200
ko:K04744	vcf:IR04_07205
ko:K05801	vcf:IR04_07210
ko:K03406	vcf:IR04_07240
ko:K08306	vcf:IR04_07265
ko:K03575	vcf:IR04_07275
ko:K03439	vcf:IR04_07280
ko:K01425	vcf:IR04_07285
ko:K02428	vcf:IR04_07295
ko:K09131	vcf:IR04_07305
ko:K02221	vcf:IR04_07310
ko:K00286	vcf:IR04_07315
ko:K06997	vcf:IR04_07320
ko:K02669	vcf:IR04_07325
ko:K02670	vcf:IR04_07330
ko:K01866	vcf:IR04_07340
ko:K07447	vcf:IR04_07345
ko:K07735	vcf:IR04_07350
ko:K01920	vcf:IR04_07355
ko:K09761	vcf:IR04_07360
ko:K01150	vcf:IR04_07365
ko:K06918	vcf:IR04_11825
ko:K08990	vcf:IR04_11830
ko:K03721	vcf:IR04_11835
ko:K03790	vcf:IR04_11840
ko:K11939	vcf:IR04_11850
ko:K01775	vcf:IR04_11855
ko:K03406	vcf:IR04_11860
ko:K14445	vcf:IR04_11865
ko:K03413	vcf:IR04_11875
ko:K09824	vcf:IR04_11880
ko:K07639	vcf:IR04_11890
ko:K07661	vcf:IR04_11895
ko:K05952	vcf:IR04_11905
ko:K10540	vcf:IR04_11915
ko:K10542	vcf:IR04_11920
ko:K10541	vcf:IR04_11925
ko:K07793	vcf:IR04_11940
ko:K07794	vcf:IR04_11945
ko:K07795	vcf:IR04_11950
ko:K03417	vcf:IR04_11960
ko:K01659	vcf:IR04_11965
ko:K01908	vcf:IR04_11980
ko:K00457	vcf:IR04_12005
ko:K00451	vcf:IR04_12010
ko:K16171	vcf:IR04_12015
ko:K07814	vcf:IR04_12025
ko:K06969	vcf:IR04_12045
ko:K01512	vcf:IR04_12050
ko:K11179	vcf:IR04_12055
ko:K09971	vcf:IR04_12070
ko:K09970	vcf:IR04_12075
ko:K09969	vcf:IR04_12080
ko:K02304	vcf:IR04_12085
ko:K10026	vcf:IR04_12095
ko:K06920	vcf:IR04_12100
ko:K00981	vcf:IR04_16415
ko:K00806	vcf:IR04_16420
ko:K02838	vcf:IR04_16425
ko:K09903	vcf:IR04_16430
ko:K02357	vcf:IR04_16435
ko:K02967	vcf:IR04_16440
ko:K01265	vcf:IR04_16445
ko:K00990	vcf:IR04_16450
ko:K01095	vcf:IR04_16460
ko:K00946	vcf:IR04_16465
ko:K03625	vcf:IR04_16470
ko:K00794	vcf:IR04_16475
ko:K14652	vcf:IR04_16480
ko:K00793	vcf:IR04_16485
ko:K11752	vcf:IR04_16490
ko:K07738	vcf:IR04_16495
ko:K00147	vcf:IR04_16500
ko:K00931	vcf:IR04_16505
ko:K11926	vcf:IR04_16510
ko:K11750	vcf:IR04_16515
ko:K00769	vcf:IR04_16520
ko:K06901	vcf:IR04_16525
ko:K01270	vcf:IR04_16530
ko:K05844	vcf:IR04_16540
ko:K06987	vcf:IR04_16545
ko:K03308	vcf:IR04_16550
ko:K02346	vcf:IR04_16580
ko:K05952	vcf:IR04_16585
ko:K03734	vcf:IR04_16590
ko:K00351	vcf:IR04_16595
ko:K00350	vcf:IR04_16600
ko:K00349	vcf:IR04_16605
ko:K00348	vcf:IR04_16610
ko:K00347	vcf:IR04_16615
ko:K00346	vcf:IR04_16620
ko:K05527	vcf:IR04_16625
ko:K07286	vcf:IR04_16635
ko:K03767	vcf:IR04_16640
ko:K00998	vcf:IR04_06480
ko:K00075	vcf:IR04_06490
ko:K03524	vcf:IR04_06495
ko:K00867	vcf:IR04_06500
ko:K02358	vcf:IR04_06525
ko:K03073	vcf:IR04_06530
ko:K02601	vcf:IR04_06535
ko:K02867	vcf:IR04_06540
ko:K02863	vcf:IR04_06545
ko:K02864	vcf:IR04_06550
ko:K02935	vcf:IR04_06555
ko:K03043	vcf:IR04_06560
ko:K03046	vcf:IR04_06565
ko:K07740	vcf:IR04_06570
ko:K03426	vcf:IR04_06575
ko:K01599	vcf:IR04_06580
ko:K15633	vcf:IR04_06600
ko:K14445	vcf:IR04_06610
ko:K01613	vcf:IR04_06615
ko:K06949	vcf:IR04_06620
ko:K13288	vcf:IR04_06625
ko:K18979	vcf:IR04_06675
ko:K06925	vcf:IR04_06680
ko:K01448	vcf:IR04_06685
ko:K03572	vcf:IR04_06690
ko:K00791	vcf:IR04_06695
ko:K03666	vcf:IR04_06700
ko:K03665	vcf:IR04_06705
ko:K04088	vcf:IR04_06710
ko:K04087	vcf:IR04_06715
ko:K09937	vcf:IR04_06720
ko:K03745	vcf:IR04_06725
ko:K03772	vcf:IR04_06735
ko:K07235	vcf:IR04_06745
ko:K07236	vcf:IR04_06750
ko:K07237	vcf:IR04_06755
ko:K02950	vcf:IR04_06760
ko:K02992	vcf:IR04_06765
ko:K02355	vcf:IR04_06770
ko:K03748	vcf:IR04_11245
ko:K00027	vcf:IR04_11255
ko:K01923	vcf:IR04_11265
ko:K07126	vcf:IR04_11280
ko:K01745	vcf:IR04_11325
ko:K01712	vcf:IR04_11330
ko:K01479	vcf:IR04_11335
ko:K01468	vcf:IR04_11340
ko:K05836	vcf:IR04_11345
ko:K09901	vcf:IR04_11355
ko:K02356	vcf:IR04_11360
ko:K02336	vcf:IR04_11375
ko:K07689	vcf:IR04_11380
ko:K03703	vcf:IR04_11385
ko:K00995	vcf:IR04_11390
ko:K03828	vcf:IR04_11420
ko:K01889	vcf:IR04_11425
ko:K01890	vcf:IR04_11430
ko:K04764	vcf:IR04_11435
ko:K00569	vcf:IR04_11450
ko:K08289	vcf:IR04_11455
ko:K07088	vcf:IR04_11460
ko:K01489	vcf:IR04_11465
ko:K06518	vcf:IR04_11475
ko:K01141	vcf:IR04_11480
ko:K06956	vcf:IR04_11485
ko:K07305	vcf:IR04_11490
ko:K00768	vcf:IR04_11500
ko:K02233	vcf:IR04_11505
ko:K02231	vcf:IR04_11510
ko:K02226	vcf:IR04_11515
ko:K05526	vcf:IR04_11520
ko:K06073	vcf:IR04_11525
ko:K06074	vcf:IR04_11530
ko:K01439	vcf:IR04_15870
ko:K07287	vcf:IR04_15885
ko:K01714	vcf:IR04_15890
ko:K03567	vcf:IR04_15895
ko:K03564	vcf:IR04_15900
ko:K03406	vcf:IR04_15905
ko:K03548	vcf:IR04_15910
ko:K00537	vcf:IR04_15925
ko:K03809	vcf:IR04_15930
ko:K09938	vcf:IR04_15940
ko:K02824	vcf:IR04_15945
ko:K03976	vcf:IR04_15950
ko:K11751	vcf:IR04_15955
ko:K01627	vcf:IR04_15960
ko:K02493	vcf:IR04_15975
ko:K02835	vcf:IR04_15980
ko:K02492	vcf:IR04_15985
ko:K02494	vcf:IR04_15990
ko:K00919	vcf:IR04_15995
ko:K00948	vcf:IR04_16000
ko:K01056	vcf:IR04_16005
ko:K06942	vcf:IR04_16010
ko:K02406	vcf:IR04_16095
ko:K02406	vcf:IR04_16100
ko:K02397	vcf:IR04_16105
ko:K02396	vcf:IR04_16110
ko:K02395	vcf:IR04_16115
ko:K02394	vcf:IR04_16120
ko:K02393	vcf:IR04_16125
ko:K02392	vcf:IR04_16130
ko:K02391	vcf:IR04_16135
ko:K02390	vcf:IR04_16140
ko:K02389	vcf:IR04_16145
ko:K07473	vcf:IR04_01445
ko:K09803	vcf:IR04_01485
ko:K06996	vcf:IR04_01510
ko:K09702	vcf:IR04_01540
ko:K03098	vcf:IR04_01565
ko:K07746	vcf:IR04_01615
ko:K07483	vcf:IR04_01675
ko:K09962	vcf:IR04_01700
ko:K03823	vcf:IR04_01735
ko:K12541	vcf:IR04_04780
ko:K09749	vcf:IR04_04785
ko:K03406	vcf:IR04_04800
ko:K03412	vcf:IR04_04805
ko:K03411	vcf:IR04_04810
ko:K00575	vcf:IR04_04815
ko:K03406	vcf:IR04_04820
ko:K03408	vcf:IR04_04825
ko:K03408	vcf:IR04_04830
ko:K03407	vcf:IR04_04835
ko:K03413	vcf:IR04_04840
ko:K02035	vcf:IR04_04855
ko:K02033	vcf:IR04_04860
ko:K02034	vcf:IR04_04865
ko:K08218	vcf:IR04_16645
ko:K07167	vcf:IR04_16650
ko:K03088	vcf:IR04_16655
ko:K07157	vcf:IR04_16660
ko:K05517	vcf:IR04_16665
ko:K00077	vcf:IR04_16670
ko:K03152	vcf:IR04_16675
ko:K02769	vcf:IR04_02140
ko:K02770	vcf:IR04_02140
ko:K00882	vcf:IR04_02145
ko:K02768	vcf:IR04_02150
ko:K11183	vcf:IR04_02150
ko:K03435	vcf:IR04_02155
ko:K03547	vcf:IR04_02160
ko:K03281	vcf:IR04_02185
ko:K14540	vcf:IR04_02195
ko:K03549	vcf:IR04_02200
ko:K03737	vcf:IR04_02205
ko:K07646	vcf:IR04_02210
ko:K07667	vcf:IR04_02215
ko:K03116	vcf:IR04_02220
ko:K12262	vcf:IR04_02245
ko:K07459	vcf:IR04_02275
ko:K01081	vcf:IR04_02280
ko:K05794	vcf:IR04_02285
ko:K06193	vcf:IR04_02295
ko:K00681	vcf:IR04_02345
ko:K00324	vcf:IR04_02370
ko:K00325	vcf:IR04_02375
ko:K03113	vcf:IR04_02410
ko:K01921	vcf:IR04_02420
ko:K16087	vcf:IR04_02440
ko:K11925	vcf:IR04_02445
ko:K01262	vcf:IR04_05275
ko:K07552	vcf:IR04_05285
ko:K03718	vcf:IR04_05295
ko:K15984	vcf:IR04_05305
ko:K06149	vcf:IR04_05320
ko:K02217	vcf:IR04_05325
ko:K06144	vcf:IR04_05330
ko:K07007	vcf:IR04_05335
ko:K09760	vcf:IR04_05345
ko:K03183	vcf:IR04_05350
ko:K03690	vcf:IR04_05355
ko:K03688	vcf:IR04_05360
ko:K03116	vcf:IR04_05365
ko:K03117	vcf:IR04_05370
ko:K03118	vcf:IR04_05375
ko:K00428	vcf:IR04_05380
ko:K03327	vcf:IR04_05385
ko:K01356	vcf:IR04_05395
ko:K00631	vcf:IR04_05400
ko:K03179	vcf:IR04_05405
ko:K03181	vcf:IR04_05410
ko:K02415	vcf:IR04_05415
ko:K03406	vcf:IR04_05420
ko:K02441	vcf:IR04_05430
ko:K02439	vcf:IR04_05435
ko:K03424	vcf:IR04_05440
ko:K01698	vcf:IR04_05445
ko:K03978	vcf:IR04_05460
ko:K09894	vcf:IR04_05475
ko:K02498	vcf:IR04_05490
ko:K02496	vcf:IR04_05495
ko:K01719	vcf:IR04_05500
ko:K01749	vcf:IR04_05505
ko:K05851	vcf:IR04_05515
ko:K06202	vcf:IR04_05520
ko:K01586	vcf:IR04_05530
ko:K01778	vcf:IR04_05535
ko:K09921	vcf:IR04_05540
ko:K03733	vcf:IR04_05545
ko:K08985	vcf:IR04_05565
ko:K01048	vcf:IR04_05575
ko:K09158	vcf:IR04_10080
ko:K07258	vcf:IR04_10085
ko:K03642	vcf:IR04_10090
ko:K05837	vcf:IR04_10095
ko:K05515	vcf:IR04_10100
ko:K00783	vcf:IR04_10105
ko:K09710	vcf:IR04_10110
ko:K02340	vcf:IR04_10115
ko:K03643	vcf:IR04_10120
ko:K01869	vcf:IR04_10125
ko:K03820	vcf:IR04_10135
ko:K06189	vcf:IR04_10140
ko:K07042	vcf:IR04_10145
ko:K06168	vcf:IR04_10155
ko:K03184	vcf:IR04_10160
ko:K02777	vcf:IR04_10165
ko:K08483	vcf:IR04_10170
ko:K00681	vcf:IR04_05905
ko:K05786	vcf:IR04_05910
ko:K03654	vcf:IR04_05915
ko:K18893	vcf:IR04_05930
ko:K02014	vcf:IR04_05935
ko:K02013	vcf:IR04_05940
ko:K02016	vcf:IR04_05945
ko:K02015	vcf:IR04_05950
ko:K15835	vcf:IR04_05955
ko:K07106	vcf:IR04_05960
ko:K11191	vcf:IR04_05965
ko:K11192	vcf:IR04_05965
ko:K00762	vcf:IR04_05985
ko:K02560	vcf:IR04_05990
ko:K02517	vcf:IR04_05995
ko:K05501	vcf:IR04_06000
ko:K13038	vcf:IR04_06005
ko:K03406	vcf:IR04_06010
ko:K03630	vcf:IR04_06015
ko:K02902	vcf:IR04_06020
ko:K02913	vcf:IR04_06025
ko:K10563	vcf:IR04_06035
ko:K00954	vcf:IR04_06040
ko:K12984	vcf:IR04_06050
ko:K12982	vcf:IR04_06055
ko:K11211	vcf:IR04_06060
ko:K02527	vcf:IR04_06090
ko:K02843	vcf:IR04_06105
ko:K02847	vcf:IR04_06110
ko:K03274	vcf:IR04_06125
ko:K01840	vcf:IR04_06135
ko:K01711	vcf:IR04_06140
ko:K02078	vcf:IR04_06165
ko:K07443	vcf:IR04_10665
ko:K00134	vcf:IR04_10685
ko:K07052	vcf:IR04_10705
ko:K06910	vcf:IR04_10710
ko:K07566	vcf:IR04_10730
ko:K03410	vcf:IR04_10750
ko:K02044	vcf:IR04_10780
ko:K15580	vcf:IR04_10785
ko:K15581	vcf:IR04_10790
ko:K15582	vcf:IR04_10795
ko:K15583	vcf:IR04_10800
ko:K10823	vcf:IR04_10805
ko:K07393	vcf:IR04_10810
ko:K13788	vcf:IR04_10815
ko:K00925	vcf:IR04_10820
ko:K09899	vcf:IR04_10825
ko:K01989	vcf:IR04_10835
ko:K05832	vcf:IR04_10840
ko:K05833	vcf:IR04_10845
ko:K05541	vcf:IR04_10855
ko:K07039	vcf:IR04_10860
ko:K03634	vcf:IR04_10865
ko:K07478	vcf:IR04_10870
ko:K01875	vcf:IR04_10875
ko:K00833	vcf:IR04_10880
ko:K01012	vcf:IR04_10885
ko:K00652	vcf:IR04_10890
ko:K02169	vcf:IR04_10895
ko:K01935	vcf:IR04_10900
ko:K03799	vcf:IR04_10910
ko:K09701	vcf:IR04_10930
ko:K00574	vcf:IR04_10935
ko:K01756	vcf:IR04_10955
ko:K07153	vcf:IR04_10960
ko:K04072	vcf:IR04_15305
ko:K00133	vcf:IR04_15315
ko:K03315	vcf:IR04_15320
ko:K06899	vcf:IR04_15330
ko:K09904	vcf:IR04_15335
ko:K07014	vcf:IR04_15340
ko:K03169	vcf:IR04_15360
ko:K07390	vcf:IR04_15365
ko:K04564	vcf:IR04_15370
ko:K04754	vcf:IR04_15385
ko:K02200	vcf:IR04_15395
ko:K02199	vcf:IR04_15400
ko:K02198	vcf:IR04_15405
ko:K02197	vcf:IR04_15410
ko:K02196	vcf:IR04_15415
ko:K02195	vcf:IR04_15420
ko:K02194	vcf:IR04_15425
ko:K02193	vcf:IR04_15430
ko:K03408	vcf:IR04_15440
ko:K03408	vcf:IR04_15445
ko:K03496	vcf:IR04_15450
ko:K03412	vcf:IR04_15455
ko:K03407	vcf:IR04_15460
ko:K03414	vcf:IR04_15465
ko:K03413	vcf:IR04_15470
ko:K02405	vcf:IR04_15475
ko:K04562	vcf:IR04_15480
ko:K02404	vcf:IR04_15485
ko:K02400	vcf:IR04_15490
ko:K08296	vcf:IR04_15495
ko:K09907	vcf:IR04_15505
ko:K01887	vcf:IR04_15510
ko:K04759	vcf:IR04_15525
ko:K04758	vcf:IR04_15530
ko:K09815	vcf:IR04_15540
ko:K09817	vcf:IR04_15545
ko:K09816	vcf:IR04_15550
ko:K01902	vcf:IR04_15555
ko:K01903	vcf:IR04_15560
ko:K00658	vcf:IR04_15565
ko:K00164	vcf:IR04_15570
ko:K00240	vcf:IR04_15575
ko:K17758	vcf:IR04_00855
ko:K17759	vcf:IR04_00855
ko:K03778	vcf:IR04_00860
ko:K10716	vcf:IR04_00870
ko:K00364	vcf:IR04_00880
ko:K07491	vcf:IR04_00905
ko:K11927	vcf:IR04_00910
ko:K07792	vcf:IR04_00915
ko:K01916	vcf:IR04_00920
ko:K00969	vcf:IR04_00925
ko:K08154	vcf:IR04_00950
ko:K11018	vcf:IR04_00965
ko:K09607	vcf:IR04_00990
ko:K02016	vcf:IR04_01005
ko:K02015	vcf:IR04_01010
ko:K02015	vcf:IR04_01015
ko:K02013	vcf:IR04_01020
ko:K16087	vcf:IR04_01030
ko:K09956	vcf:IR04_01035
ko:K00925	vcf:IR04_01040
ko:K03078	vcf:IR04_01080
ko:K03077	vcf:IR04_01090
ko:K02821	vcf:IR04_01095
ko:K02822	vcf:IR04_01100
ko:K03475	vcf:IR04_01100
ko:K03477	vcf:IR04_01105
ko:K03476	vcf:IR04_01110
ko:K12262	vcf:IR04_01115
ko:K09897	vcf:IR04_04495
ko:K02564	vcf:IR04_04510
ko:K05775	vcf:IR04_04520
ko:K02024	vcf:IR04_04525
ko:K03406	vcf:IR04_04540
ko:K10117	vcf:IR04_04550
ko:K03406	vcf:IR04_04555
ko:K01626	vcf:IR04_04565
ko:K02028	vcf:IR04_04570
ko:K02029	vcf:IR04_04575
ko:K02030	vcf:IR04_04580
ko:K02029	vcf:IR04_04585
ko:K01840	vcf:IR04_04590
ko:K02798	vcf:IR04_04610
ko:K02799	vcf:IR04_04610
ko:K02800	vcf:IR04_04610
ko:K00009	vcf:IR04_04615
ko:K02562	vcf:IR04_04620
ko:K03810	vcf:IR04_04625
ko:K03760	vcf:IR04_04875
ko:K07645	vcf:IR04_04880
ko:K06957	vcf:IR04_04915
ko:K02784	vcf:IR04_10175
ko:K01738	vcf:IR04_10180
ko:K06203	vcf:IR04_10185
ko:K03528	vcf:IR04_10190
