ko:K13060	ypc:BZ23_2820
ko:K09978	ypc:BZ23_1812
ko:K03778	ypc:BZ23_1815
ko:K03668	ypc:BZ23_1816
ko:K07507	ypc:BZ23_1818
ko:K03297	ypc:BZ23_1819
ko:K03737	ypc:BZ23_1820
ko:K14058	ypc:BZ23_1821
ko:K16074	ypc:BZ23_1825
ko:K15580	ypc:BZ23_1826
ko:K14054	ypc:BZ23_1827
ko:K11065	ypc:BZ23_1829
ko:K07491	ypc:BZ23_1830
ko:K03721	ypc:BZ23_1831
ko:K08990	ypc:BZ23_1834
ko:K06918	ypc:BZ23_1835
ko:K03971	ypc:BZ23_1836
ko:K03970	ypc:BZ23_1838
ko:K03969	ypc:BZ23_1839
ko:K03974	ypc:BZ23_1840
ko:K08351	ypc:BZ23_2640
ko:K02529	ypc:BZ23_2642
ko:K01586	ypc:BZ23_2641
ko:K07396	ypc:BZ23_2648
ko:K02465	ypc:BZ23_2652
ko:K02461	ypc:BZ23_2654
ko:K02460	ypc:BZ23_2655
ko:K02459	ypc:BZ23_2656
ko:K02458	ypc:BZ23_2657
ko:K02457	ypc:BZ23_2658
ko:K02456	ypc:BZ23_2659
ko:K02455	ypc:BZ23_2660
ko:K02454	ypc:BZ23_2661
ko:K02453	ypc:BZ23_2662
ko:K02452	ypc:BZ23_2663
ko:K01673	ypc:BZ23_2665
ko:K08961	ypc:BZ23_2669
ko:K16371	ypc:BZ23_2672
ko:K02082	ypc:BZ23_2673
ko:K02745	ypc:BZ23_2674
ko:K02746	ypc:BZ23_2675
ko:K02747	ypc:BZ23_2676
ko:K02744	ypc:BZ23_2677
ko:K02079	ypc:BZ23_2678
ko:K00065	ypc:BZ23_2679
ko:K06871	ypc:BZ23_2681
ko:K08302	ypc:BZ23_2684
ko:K08191	ypc:BZ23_2688
ko:K01187	ypc:BZ23_2689
ko:K03630	ypc:BZ23_3501
ko:K06946	ypc:BZ23_3504
ko:K07491	ypc:BZ23_3507
ko:K07043	ypc:BZ23_3509
ko:K01153	ypc:BZ23_3510
ko:K01154	ypc:BZ23_3512
ko:K03427	ypc:BZ23_3513
ko:K02529	ypc:BZ23_3518
ko:K10544	ypc:BZ23_3519
ko:K10545	ypc:BZ23_3520
ko:K10543	ypc:BZ23_3521
ko:K01805	ypc:BZ23_3522
ko:K00854	ypc:BZ23_3523
ko:K08160	ypc:BZ23_3529
ko:K03833	ypc:BZ23_3535
ko:K01042	ypc:BZ23_3536
ko:K02380	ypc:BZ23_3537
ko:K00127	ypc:BZ23_3538
ko:K00124	ypc:BZ23_3539
ko:K00123	ypc:BZ23_3540
ko:K00123	ypc:BZ23_3541
ko:K02379	ypc:BZ23_3542
ko:K04564	ypc:BZ23_3543
ko:K14762	ypc:BZ23_3548
ko:K02562	ypc:BZ23_3550
ko:K00009	ypc:BZ23_3551
ko:K02798	ypc:BZ23_3552
ko:K02799	ypc:BZ23_3552
ko:K02800	ypc:BZ23_3552
ko:K02388	ypc:BZ23_1305
ko:K02389	ypc:BZ23_1306
ko:K02390	ypc:BZ23_1307
ko:K07491	ypc:BZ23_1308
ko:K02390	ypc:BZ23_1309
ko:K02391	ypc:BZ23_1310
ko:K02392	ypc:BZ23_1311
ko:K02393	ypc:BZ23_1312
ko:K02394	ypc:BZ23_1313
ko:K02395	ypc:BZ23_1314
ko:K02396	ypc:BZ23_1315
ko:K02397	ypc:BZ23_1316
ko:K02057	ypc:BZ23_1319
ko:K02058	ypc:BZ23_1320
ko:K02056	ypc:BZ23_1321
ko:K02057	ypc:BZ23_1322
ko:K02421	ypc:BZ23_1326
ko:K02420	ypc:BZ23_1327
ko:K02419	ypc:BZ23_1328
ko:K02418	ypc:BZ23_1329
ko:K02417	ypc:BZ23_1330
ko:K02416	ypc:BZ23_1331
ko:K02415	ypc:BZ23_1332
ko:K02414	ypc:BZ23_1333
ko:K02413	ypc:BZ23_1334
ko:K02412	ypc:BZ23_1335
ko:K02411	ypc:BZ23_1336
ko:K02410	ypc:BZ23_1337
ko:K02409	ypc:BZ23_1338
ko:K02408	ypc:BZ23_1339
ko:K07341	ypc:BZ23_1341
ko:K01247	ypc:BZ23_1342
ko:K02423	ypc:BZ23_1345
ko:K02422	ypc:BZ23_1346
ko:K02407	ypc:BZ23_1347
ko:K02406	ypc:BZ23_1348
ko:K02405	ypc:BZ23_1349
ko:K02425	ypc:BZ23_1350
ko:K05396	ypc:BZ23_1351
ko:K02424	ypc:BZ23_1352
ko:K10009	ypc:BZ23_1353
ko:K00335	ypc:BZ23_2163
ko:K00334	ypc:BZ23_2164
ko:K13378	ypc:BZ23_2165
ko:K00331	ypc:BZ23_2166
ko:K00330	ypc:BZ23_2167
ko:K14260	ypc:BZ23_2169
ko:K08722	ypc:BZ23_2170
ko:K09161	ypc:BZ23_2174
ko:K09899	ypc:BZ23_2175
ko:K00925	ypc:BZ23_2176
ko:K13788	ypc:BZ23_2177
ko:K02821	ypc:BZ23_2179
ko:K02822	ypc:BZ23_2180
ko:K03475	ypc:BZ23_2181
ko:K07095	ypc:BZ23_2183
ko:K07071	ypc:BZ23_2186
ko:K10017	ypc:BZ23_2187
ko:K10015	ypc:BZ23_2188
ko:K10016	ypc:BZ23_2189
ko:K10014	ypc:BZ23_2190
ko:K03186	ypc:BZ23_2191
ko:K00764	ypc:BZ23_2192
ko:K03558	ypc:BZ23_2193
ko:K03749	ypc:BZ23_2194
ko:K11754	ypc:BZ23_2195
ko:K01963	ypc:BZ23_2196
ko:K03975	ypc:BZ23_2197
ko:K06173	ypc:BZ23_2198
ko:K03473	ypc:BZ23_2200
ko:K01779	ypc:BZ23_2205
ko:K00647	ypc:BZ23_2206
ko:K15461	ypc:BZ23_2207
ko:K09906	ypc:BZ23_2209
ko:K07090	ypc:BZ23_2210
ko:K07261	ypc:BZ23_2211
ko:K01736	ypc:BZ23_2212
ko:K07320	ypc:BZ23_2213
ko:K04095	ypc:BZ23_3021
ko:K07396	ypc:BZ23_3025
ko:K15549	ypc:BZ23_3035
ko:K15547	ypc:BZ23_3036
ko:K05349	ypc:BZ23_3038
ko:K02026	ypc:BZ23_3040
ko:K02025	ypc:BZ23_3041
ko:K02027	ypc:BZ23_3042
ko:K02529	ypc:BZ23_3043
ko:K10112	ypc:BZ23_3045
ko:K15125	ypc:BZ23_3056
ko:K00219	ypc:BZ23_3065
ko:K07043	ypc:BZ23_3068
ko:K05816	ypc:BZ23_3868
ko:K01126	ypc:BZ23_3869
ko:K07088	ypc:BZ23_3870
ko:K03576	ypc:BZ23_3874
ko:K00549	ypc:BZ23_3876
ko:K01061	ypc:BZ23_3877
ko:K00757	ypc:BZ23_3878
ko:K06200	ypc:BZ23_3880
ko:K07491	ypc:BZ23_3881
ko:K09760	ypc:BZ23_3883
ko:K03183	ypc:BZ23_3884
ko:K03690	ypc:BZ23_3885
ko:K03688	ypc:BZ23_3886
ko:K03116	ypc:BZ23_3887
ko:K03117	ypc:BZ23_3888
ko:K03118	ypc:BZ23_3889
ko:K03424	ypc:BZ23_3890
ko:K01698	ypc:BZ23_3891
ko:K05785	ypc:BZ23_3892
ko:K03182	ypc:BZ23_3893
ko:K05368	ypc:BZ23_3894
ko:K01825	ypc:BZ23_3896
ko:K03498	ypc:BZ23_3899
ko:K00230	ypc:BZ23_3900
ko:K00075	ypc:BZ23_3906
ko:K03524	ypc:BZ23_3907
ko:K00867	ypc:BZ23_3908
ko:K02358	ypc:BZ23_3914
ko:K03073	ypc:BZ23_3915
ko:K02601	ypc:BZ23_3916
ko:K02867	ypc:BZ23_3917
ko:K02863	ypc:BZ23_3918
ko:K02864	ypc:BZ23_3919
ko:K02935	ypc:BZ23_3920
ko:K03043	ypc:BZ23_3922
ko:K03046	ypc:BZ23_3923
ko:K10010	ypc:BZ23_1354
ko:K13821	ypc:BZ23_1357
ko:K11928	ypc:BZ23_1359
ko:K07243	ypc:BZ23_1360
ko:K07224	ypc:BZ23_1361
ko:K16301	ypc:BZ23_1362
ko:K03809	ypc:BZ23_1363
ko:K17948	ypc:BZ23_1364
ko:K11737	ypc:BZ23_1365
ko:K07689	ypc:BZ23_1371
ko:K03703	ypc:BZ23_1372
ko:K00995	ypc:BZ23_1373
ko:K08296	ypc:BZ23_2215
ko:K01782	ypc:BZ23_2216
ko:K06076	ypc:BZ23_2219
ko:K04754	ypc:BZ23_2220
ko:K02200	ypc:BZ23_2222
ko:K02199	ypc:BZ23_2223
ko:K02198	ypc:BZ23_2224
ko:K02197	ypc:BZ23_2225
ko:K02196	ypc:BZ23_2226
ko:K02195	ypc:BZ23_2227
ko:K02194	ypc:BZ23_2228
ko:K02193	ypc:BZ23_2229
ko:K03744	ypc:BZ23_2232
ko:K06193	ypc:BZ23_2234
ko:K11897	ypc:BZ23_2236
ko:K11898	ypc:BZ23_2237
ko:K11904	ypc:BZ23_2240
ko:K11891	ypc:BZ23_2241
ko:K11892	ypc:BZ23_2242
ko:K11893	ypc:BZ23_2243
ko:K11906	ypc:BZ23_2244
ko:K11903	ypc:BZ23_2245
ko:K11900	ypc:BZ23_2246
ko:K11901	ypc:BZ23_2247
ko:K07347	ypc:BZ23_2249
ko:K07345	ypc:BZ23_2251
ko:K11907	ypc:BZ23_2252
ko:K11896	ypc:BZ23_2253
ko:K11895	ypc:BZ23_2254
ko:K11902	ypc:BZ23_2255
ko:K08305	ypc:BZ23_2262
ko:K02012	ypc:BZ23_2263
ko:K02011	ypc:BZ23_2264
ko:K02010	ypc:BZ23_2265
ko:K06887	ypc:BZ23_2268
ko:K07862	ypc:BZ23_3070
ko:K01685	ypc:BZ23_3072
ko:K00041	ypc:BZ23_3073
ko:K01812	ypc:BZ23_3074
ko:K08191	ypc:BZ23_3075
ko:K15977	ypc:BZ23_3084
ko:K07393	ypc:BZ23_3085
ko:K06911	ypc:BZ23_3087
ko:K07056	ypc:BZ23_3088
ko:K07121	ypc:BZ23_3089
ko:K07460	ypc:BZ23_3090
ko:K12961	ypc:BZ23_3091
ko:K03814	ypc:BZ23_3093
ko:K07648	ypc:BZ23_3095
ko:K07139	ypc:BZ23_3097
ko:K00265	ypc:BZ23_3098
ko:K00266	ypc:BZ23_3099
ko:K03600	ypc:BZ23_3101
ko:K03599	ypc:BZ23_3102
ko:K02996	ypc:BZ23_3103
ko:K02871	ypc:BZ23_3104
ko:K06916	ypc:BZ23_3105
ko:K09908	ypc:BZ23_3106
ko:K04691	ypc:BZ23_3108
ko:K00790	ypc:BZ23_3109
ko:K07122	ypc:BZ23_3111
ko:K07323	ypc:BZ23_3112
ko:K02067	ypc:BZ23_3113
ko:K02066	ypc:BZ23_3114
ko:K02065	ypc:BZ23_3115
ko:K07301	ypc:BZ23_3116
ko:K06041	ypc:BZ23_3117
ko:K03270	ypc:BZ23_3118
ko:K11719	ypc:BZ23_3119
ko:K09774	ypc:BZ23_3120
ko:K06861	ypc:BZ23_3121
ko:K03092	ypc:BZ23_3122
ko:K05808	ypc:BZ23_3123
ko:K02806	ypc:BZ23_3124
ko:K03150	ypc:BZ23_3924
ko:K03149	ypc:BZ23_3925
ko:K03154	ypc:BZ23_3926
ko:K03148	ypc:BZ23_3927
ko:K00788	ypc:BZ23_3928
ko:K03147	ypc:BZ23_3929
ko:K07740	ypc:BZ23_3930
ko:K03426	ypc:BZ23_3931
ko:K01599	ypc:BZ23_3933
ko:K05982	ypc:BZ23_3934
ko:K09891	ypc:BZ23_3935
ko:K05787	ypc:BZ23_3936
ko:K01945	ypc:BZ23_3938
ko:K00602	ypc:BZ23_3939
ko:K14393	ypc:BZ23_3948
ko:K01895	ypc:BZ23_3950
ko:K11102	ypc:BZ23_3951
ko:K14979	ypc:BZ23_3952
ko:K14978	ypc:BZ23_3953
ko:K03219	ypc:BZ23_3954
ko:K03220	ypc:BZ23_3955
ko:K18984	ypc:BZ23_3956
ko:K03221	ypc:BZ23_3958
ko:K03222	ypc:BZ23_3961
ko:K03230	ypc:BZ23_3964
ko:K03224	ypc:BZ23_3965
ko:K03225	ypc:BZ23_3968
ko:K03226	ypc:BZ23_3969
ko:K03227	ypc:BZ23_3970
ko:K03228	ypc:BZ23_3971
ko:K03229	ypc:BZ23_3972
ko:K07112	ypc:BZ23_3973
ko:K01760	ypc:BZ23_3977
ko:K02013	ypc:BZ23_3978
ko:K06887	ypc:BZ23_1433
ko:K01586	ypc:BZ23_1443
ko:K09803	ypc:BZ23_1453
ko:K03710	ypc:BZ23_1463
ko:K02027	ypc:BZ23_1466
ko:K07306	ypc:BZ23_2270
ko:K07307	ypc:BZ23_2271
ko:K07308	ypc:BZ23_2272
ko:K18843	ypc:BZ23_2278
ko:K14261	ypc:BZ23_2280
ko:K00845	ypc:BZ23_2282
ko:K03322	ypc:BZ23_2287
ko:K11535	ypc:BZ23_2288
ko:K01885	ypc:BZ23_2293
ko:K09962	ypc:BZ23_2297
ko:K09954	ypc:BZ23_2299
ko:K01972	ypc:BZ23_2300
ko:K03528	ypc:BZ23_2301
ko:K06203	ypc:BZ23_2302
ko:K01738	ypc:BZ23_2303
ko:K02784	ypc:BZ23_2304
ko:K08483	ypc:BZ23_2305
ko:K02484	ypc:BZ23_2307
ko:K13888	ypc:BZ23_2309
ko:K05685	ypc:BZ23_2310
ko:K03307	ypc:BZ23_2312
ko:K14155	ypc:BZ23_2315
ko:K07114	ypc:BZ23_2316
ko:K12339	ypc:BZ23_2320
ko:K02045	ypc:BZ23_2321
ko:K02047	ypc:BZ23_2322
ko:K02046	ypc:BZ23_2323
ko:K02048	ypc:BZ23_2324
ko:K06958	ypc:BZ23_3125
ko:K08485	ypc:BZ23_3126
ko:K00609	ypc:BZ23_3127
ko:K00610	ypc:BZ23_3128
ko:K09022	ypc:BZ23_3129
ko:K03485	ypc:BZ23_3131
ko:K02818	ypc:BZ23_3132
ko:K02819	ypc:BZ23_3132
ko:K01226	ypc:BZ23_3133
ko:K06140	ypc:BZ23_3135
ko:K15536	ypc:BZ23_3136
ko:K03592	ypc:BZ23_3138
ko:K09889	ypc:BZ23_3139
ko:K03623	ypc:BZ23_3140
ko:K00135	ypc:BZ23_3142
ko:K03468	ypc:BZ23_3143
ko:K15548	ypc:BZ23_3144
ko:K11021	ypc:BZ23_3156
ko:K03568	ypc:BZ23_3157
ko:K08301	ypc:BZ23_3160
ko:K06287	ypc:BZ23_3161
ko:K03571	ypc:BZ23_3162
ko:K03570	ypc:BZ23_3163
ko:K03569	ypc:BZ23_3164
ko:K18765	ypc:BZ23_3165
ko:K17247	ypc:BZ23_3168
ko:K03786	ypc:BZ23_3169
ko:K02160	ypc:BZ23_3170
ko:K01961	ypc:BZ23_3171
ko:K14392	ypc:BZ23_3174
ko:K02687	ypc:BZ23_3175
ko:K05540	ypc:BZ23_3176
ko:K03557	ypc:BZ23_3177
ko:K02015	ypc:BZ23_3979
ko:K02016	ypc:BZ23_3980
ko:K07225	ypc:BZ23_3981
ko:K16087	ypc:BZ23_3982
ko:K07227	ypc:BZ23_3985
ko:K00297	ypc:BZ23_3987
ko:K05791	ypc:BZ23_3994
ko:K05792	ypc:BZ23_3995
ko:K05793	ypc:BZ23_3996
ko:K05794	ypc:BZ23_3997
ko:K05795	ypc:BZ23_3998
ko:K05795	ypc:BZ23_3999
ko:K03181	ypc:BZ23_4006
ko:K03179	ypc:BZ23_4007
ko:K00631	ypc:BZ23_4008
ko:K00901	ypc:BZ23_4009
ko:K01356	ypc:BZ23_4010
ko:K09823	ypc:BZ23_4011
ko:K05539	ypc:BZ23_4012
ko:K01775	ypc:BZ23_4016
ko:K00832	ypc:BZ23_4017
ko:K03701	ypc:BZ23_4019
ko:K03111	ypc:BZ23_4020
ko:K03534	ypc:BZ23_4021
ko:K01629	ypc:BZ23_4023
ko:K01813	ypc:BZ23_4024
ko:K00848	ypc:BZ23_4025
ko:K02855	ypc:BZ23_4028
ko:K02854	ypc:BZ23_4029
ko:K02856	ypc:BZ23_4030
ko:K02025	ypc:BZ23_1467
ko:K02026	ypc:BZ23_1468
ko:K10111	ypc:BZ23_1469
ko:K07347	ypc:BZ23_1473
ko:K07345	ypc:BZ23_1475
ko:K07679	ypc:BZ23_1476
ko:K07688	ypc:BZ23_1477
ko:K18288	ypc:BZ23_1478
ko:K18290	ypc:BZ23_1479
ko:K18292	ypc:BZ23_1480
ko:K00350	ypc:BZ23_1487
ko:K11738	ypc:BZ23_1489
ko:K01425	ypc:BZ23_1491
ko:K07243	ypc:BZ23_1493
ko:K07230	ypc:BZ23_1494
ko:K02004	ypc:BZ23_1496
ko:K02004	ypc:BZ23_1497
ko:K02003	ypc:BZ23_1498
ko:K16868	ypc:BZ23_1501
ko:K11935	ypc:BZ23_1503
ko:K11931	ypc:BZ23_1504
ko:K11936	ypc:BZ23_1505
ko:K11937	ypc:BZ23_1506
ko:K07300	ypc:BZ23_1510
ko:K07673	ypc:BZ23_1511
ko:K00840	ypc:BZ23_1516
ko:K00673	ypc:BZ23_1517
ko:K06447	ypc:BZ23_1518
ko:K01484	ypc:BZ23_1519
ko:K05526	ypc:BZ23_1520
ko:K03290	ypc:BZ23_2325
ko:K00885	ypc:BZ23_2328
ko:K01788	ypc:BZ23_2330
ko:K01639	ypc:BZ23_2331
ko:K07223	ypc:BZ23_2332
ko:K00228	ypc:BZ23_2342
ko:K09768	ypc:BZ23_2343
ko:K00029	ypc:BZ23_2344
ko:K02569	ypc:BZ23_2346
ko:K02568	ypc:BZ23_2347
ko:K02567	ypc:BZ23_2348
ko:K02570	ypc:BZ23_2349
ko:K02572	ypc:BZ23_2350
ko:K07685	ypc:BZ23_2351
ko:K18324	ypc:BZ23_2353
ko:K07038	ypc:BZ23_2355
ko:K06871	ypc:BZ23_2356
ko:K02010	ypc:BZ23_2358
ko:K02011	ypc:BZ23_2359
ko:K02012	ypc:BZ23_2360
ko:K01439	ypc:BZ23_2363
ko:K06957	ypc:BZ23_2366
ko:K07054	ypc:BZ23_2368
ko:K01923	ypc:BZ23_2369
ko:K07287	ypc:BZ23_2370
ko:K03305	ypc:BZ23_1847
ko:K00799	ypc:BZ23_1850
ko:K00868	ypc:BZ23_1851
ko:K01866	ypc:BZ23_1852
ko:K00275	ypc:BZ23_1853
ko:K09001	ypc:BZ23_1855
ko:K06077	ypc:BZ23_1856
ko:K06075	ypc:BZ23_1857
ko:K06938	ypc:BZ23_1859
ko:K03760	ypc:BZ23_1860
ko:K16137	ypc:BZ23_1861
ko:K10680	ypc:BZ23_1862
ko:K11021	ypc:BZ23_1863
ko:K01759	ypc:BZ23_1864
ko:K03683	ypc:BZ23_1865
ko:K07390	ypc:BZ23_1866
ko:K04564	ypc:BZ23_1869
ko:K03604	ypc:BZ23_1871
ko:K00574	ypc:BZ23_1874
ko:K00793	ypc:BZ23_1875
ko:K03327	ypc:BZ23_1876
ko:K00873	ypc:BZ23_1880
ko:K06078	ypc:BZ23_1881
ko:K02426	ypc:BZ23_1883
ko:K11717	ypc:BZ23_1884
ko:K09015	ypc:BZ23_1885
ko:K09013	ypc:BZ23_1886
ko:K09014	ypc:BZ23_1887
ko:K05997	ypc:BZ23_1888
ko:K09773	ypc:BZ23_1893
ko:K01626	ypc:BZ23_1894
ko:K08997	ypc:BZ23_1895
ko:K03800	ypc:BZ23_1896
ko:K12963	ypc:BZ23_1898
ko:K12962	ypc:BZ23_1899
ko:K07264	ypc:BZ23_1900
ko:K02024	ypc:BZ23_2691
ko:K02778	ypc:BZ23_2692
ko:K12308	ypc:BZ23_2693
ko:K01224	ypc:BZ23_2694
ko:K15772	ypc:BZ23_2695
ko:K15771	ypc:BZ23_2696
ko:K15770	ypc:BZ23_2697
ko:K10111	ypc:BZ23_2698
ko:K17207	ypc:BZ23_2699
ko:K17206	ypc:BZ23_2700
ko:K17205	ypc:BZ23_2701
ko:K07733	ypc:BZ23_2718
ko:K13655	ypc:BZ23_2721
ko:K13651	ypc:BZ23_2722
ko:K04567	ypc:BZ23_2728
ko:K02836	ypc:BZ23_2729
ko:K07462	ypc:BZ23_2730
ko:K03981	ypc:BZ23_2731
ko:K04763	ypc:BZ23_2732
ko:K03840	ypc:BZ23_2733
ko:K06143	ypc:BZ23_2734
ko:K07641	ypc:BZ23_2735
ko:K07663	ypc:BZ23_2736
ko:K09159	ypc:BZ23_2737
ko:K06980	ypc:BZ23_2738
ko:K11068	ypc:BZ23_2740
ko:K00281	ypc:BZ23_2744
ko:K01879	ypc:BZ23_3554
ko:K01878	ypc:BZ23_3555
ko:K01246	ypc:BZ23_3556
ko:K03826	ypc:BZ23_3557
ko:K00090	ypc:BZ23_3560
ko:K01176	ypc:BZ23_3561
ko:K00835	ypc:BZ23_3563
ko:K07085	ypc:BZ23_3564
ko:K04081	ypc:BZ23_3565
ko:K04080	ypc:BZ23_3566
ko:K01754	ypc:BZ23_3570
ko:K02470	ypc:BZ23_3574
ko:K03629	ypc:BZ23_3575
ko:K02338	ypc:BZ23_3576
ko:K02313	ypc:BZ23_3577
ko:K02914	ypc:BZ23_3579
ko:K03536	ypc:BZ23_3580
ko:K08998	ypc:BZ23_3581
ko:K03217	ypc:BZ23_3582
ko:K03650	ypc:BZ23_3583
ko:K00209	ypc:BZ23_3584
ko:K07491	ypc:BZ23_3585
ko:K06901	ypc:BZ23_3588
ko:K02029	ypc:BZ23_3590
ko:K02029	ypc:BZ23_3591
ko:K02030	ypc:BZ23_3592
ko:K02039	ypc:BZ23_3594
ko:K02036	ypc:BZ23_3595
ko:K02038	ypc:BZ23_3596
ko:K02037	ypc:BZ23_3597
ko:K02040	ypc:BZ23_3598
ko:K00820	ypc:BZ23_3600
ko:K04042	ypc:BZ23_3601
ko:K02114	ypc:BZ23_3602
ko:K01714	ypc:BZ23_2371
ko:K03567	ypc:BZ23_2372
ko:K03564	ypc:BZ23_2373
ko:K03548	ypc:BZ23_2376
ko:K01607	ypc:BZ23_3181
ko:K03704	ypc:BZ23_3185
ko:K03704	ypc:BZ23_3186
ko:K03704	ypc:BZ23_3187
ko:K11209	ypc:BZ23_3190
ko:K02057	ypc:BZ23_3193
ko:K02057	ypc:BZ23_3194
ko:K02056	ypc:BZ23_3195
ko:K02058	ypc:BZ23_3196
ko:K12974	ypc:BZ23_3197
ko:K03316	ypc:BZ23_3199
ko:K06901	ypc:BZ23_3200
ko:K07473	ypc:BZ23_3201
ko:K15555	ypc:BZ23_3202
ko:K15554	ypc:BZ23_3203
ko:K04091	ypc:BZ23_3204
ko:K15553	ypc:BZ23_3205
ko:K00299	ypc:BZ23_3206
ko:K01619	ypc:BZ23_3207
ko:K00852	ypc:BZ23_3208
ko:K02057	ypc:BZ23_3209
ko:K11904	ypc:BZ23_3217
ko:K19048	ypc:BZ23_3219
ko:K11904	ypc:BZ23_3224
ko:K11911	ypc:BZ23_3225
ko:K19048	ypc:BZ23_3227
ko:K05796	ypc:BZ23_4037
ko:K04084	ypc:BZ23_4039
ko:K03926	ypc:BZ23_4040
ko:K07791	ypc:BZ23_4041
ko:K01744	ypc:BZ23_4042
ko:K07113	ypc:BZ23_4043
ko:K04078	ypc:BZ23_4044
ko:K04077	ypc:BZ23_4045
ko:K02356	ypc:BZ23_4048
ko:K11741	ypc:BZ23_4049
ko:K00247	ypc:BZ23_4050
ko:K00246	ypc:BZ23_4051
ko:K00245	ypc:BZ23_4052
ko:K00244	ypc:BZ23_4053
ko:K04568	ypc:BZ23_4054
ko:K01613	ypc:BZ23_4056
ko:K06949	ypc:BZ23_4057
ko:K13288	ypc:BZ23_4058
ko:K18979	ypc:BZ23_4064
ko:K17758	ypc:BZ23_4065
ko:K17759	ypc:BZ23_4065
ko:K06925	ypc:BZ23_4066
ko:K01448	ypc:BZ23_4067
ko:K03572	ypc:BZ23_4068
ko:K00791	ypc:BZ23_4069
ko:K03666	ypc:BZ23_4070
ko:K03665	ypc:BZ23_4071
ko:K04088	ypc:BZ23_4072
ko:K04087	ypc:BZ23_4073
ko:K09937	ypc:BZ23_4074
ko:K01939	ypc:BZ23_4075
ko:K13771	ypc:BZ23_4076
ko:K12573	ypc:BZ23_4077
ko:K03218	ypc:BZ23_4078
ko:K09456	ypc:BZ23_4079
ko:K06889	ypc:BZ23_4081
ko:K02990	ypc:BZ23_4083
ko:K02963	ypc:BZ23_4084
ko:K02939	ypc:BZ23_4085
ko:K07269	ypc:BZ23_4087
ko:K03773	ypc:BZ23_4088
ko:K07322	ypc:BZ23_4089
ko:K01479	ypc:BZ23_1522
ko:K01468	ypc:BZ23_1523
ko:K05836	ypc:BZ23_1524
ko:K05603	ypc:BZ23_1525
ko:K09975	ypc:BZ23_1526
ko:K00648	ypc:BZ23_1528
ko:K00720	ypc:BZ23_1533
ko:K07126	ypc:BZ23_1538
ko:K07491	ypc:BZ23_1550
ko:K01607	ypc:BZ23_1551
ko:K07644	ypc:BZ23_1552
ko:K07665	ypc:BZ23_1553
ko:K06889	ypc:BZ23_1554
ko:K06942	ypc:BZ23_1558
ko:K01056	ypc:BZ23_1559
ko:K00948	ypc:BZ23_1561
ko:K00919	ypc:BZ23_1562
