ko:K08744	mtut:HKBT1_1911
ko:K02038	mtut:HKBT1_0978
ko:K02040	mtut:HKBT1_0980
ko:K02036	mtut:HKBT1_0981
ko:K02040	mtut:HKBT1_0982
ko:K02037	mtut:HKBT1_0983
ko:K02038	mtut:HKBT1_0984
ko:K10979	mtut:HKBT1_0985
ko:K10563	mtut:HKBT1_0992
ko:K02492	mtut:HKBT1_0531
ko:K01749	mtut:HKBT1_0532
ko:K13542	mtut:HKBT1_0533
ko:K01698	mtut:HKBT1_0534
ko:K11735	mtut:HKBT1_0544
ko:K01845	mtut:HKBT1_0546
ko:K06196	mtut:HKBT1_0549
ko:K07399	mtut:HKBT1_0550
ko:K11608	mtut:HKBT1_0557
ko:K02548	mtut:HKBT1_0558
ko:K00772	mtut:HKBT1_0559
ko:K17947	mtut:HKBT1_0560
ko:K09931	mtut:HKBT1_0564
ko:K01911	mtut:HKBT1_0566
ko:K03306	mtut:HKBT1_0569
ko:K00666	mtut:HKBT1_0575
ko:K02549	mtut:HKBT1_0577
ko:K02551	mtut:HKBT1_0579
ko:K12583	mtut:HKBT1_0581
ko:K03183	mtut:HKBT1_0582
ko:K00805	mtut:HKBT1_0586
ko:K01661	mtut:HKBT1_0572
ko:K01265	mtut:HKBT1_0770
ko:K03088	mtut:HKBT1_0771
ko:K00140	mtut:HKBT1_0791
ko:K02484	mtut:HKBT1_0797
ko:K00121	mtut:HKBT1_0800
ko:K05917	mtut:HKBT1_0803
ko:K00128	mtut:HKBT1_0807
ko:K01607	mtut:HKBT1_0810
ko:K01945	mtut:HKBT1_0811
ko:K01756	mtut:HKBT1_0816
ko:K01923	mtut:HKBT1_0819
ko:K01354	mtut:HKBT1_0820
ko:K01952	mtut:HKBT1_0829
ko:K03710	mtut:HKBT1_0833
ko:K00382	mtut:HKBT1_0835
ko:K07223	mtut:HKBT1_0841
ko:K01952	mtut:HKBT1_0845
ko:K07052	mtut:HKBT1_0846
ko:K00764	mtut:HKBT1_0850
ko:K01933	mtut:HKBT1_0851
ko:K06980	mtut:HKBT1_0853
ko:K02619	mtut:HKBT1_0854
ko:K01011	mtut:HKBT1_0857
ko:K15520	mtut:HKBT1_0861
ko:K02036	mtut:HKBT1_0862
ko:K02039	mtut:HKBT1_0863
ko:K03921	mtut:HKBT1_0866
ko:K06986	mtut:HKBT1_0824
ko:K07077	mtut:HKBT1_0825
ko:K01952	mtut:HKBT1_0828
ko:K08641	mtut:HKBT1_0880
ko:K01259	mtut:HKBT1_0882
ko:K00161	mtut:HKBT1_0885
ko:K07684	mtut:HKBT1_0886
ko:K02480	mtut:HKBT1_0887
ko:K01738	mtut:HKBT1_0891
ko:K07052	mtut:HKBT1_0690
ko:K01130	mtut:HKBT1_0695
ko:K03043	mtut:HKBT1_0700
ko:K03046	mtut:HKBT1_0701
ko:K01151	mtut:HKBT1_0705
ko:K03932	mtut:HKBT1_0706
ko:K09456	mtut:HKBT1_0707
ko:K01692	mtut:HKBT1_0708
ko:K02616	mtut:HKBT1_0709
ko:K01692	mtut:HKBT1_0710
ko:K06994	mtut:HKBT1_0711
ko:K02950	mtut:HKBT1_0717
ko:K02992	mtut:HKBT1_0718
ko:K02355	mtut:HKBT1_0719
ko:K02358	mtut:HKBT1_0720
ko:K00101	mtut:HKBT1_0730
ko:K02946	mtut:HKBT1_0736
ko:K02906	mtut:HKBT1_0737
ko:K02926	mtut:HKBT1_0738
ko:K02892	mtut:HKBT1_0739
ko:K02886	mtut:HKBT1_0740
ko:K02965	mtut:HKBT1_0741
ko:K02890	mtut:HKBT1_0742
ko:K02982	mtut:HKBT1_0743
ko:K02878	mtut:HKBT1_0744
ko:K02904	mtut:HKBT1_0745
ko:K07671	mtut:HKBT1_0949
ko:K01962	mtut:HKBT1_0950
ko:K01963	mtut:HKBT1_0950
ko:K01692	mtut:HKBT1_0951
ko:K06996	mtut:HKBT1_0958
ko:K11159	mtut:HKBT1_0961
ko:K00626	mtut:HKBT1_0962
ko:K07655	mtut:HKBT1_0948
ko:K00939	mtut:HKBT1_0769
ko:K01796	mtut:HKBT1_0898
ko:K14267	mtut:HKBT1_0901
ko:K00626	mtut:HKBT1_0902
ko:K01782	mtut:HKBT1_0903
ko:K10843	mtut:HKBT1_0904
ko:K03637	mtut:HKBT1_0907
ko:K03635	mtut:HKBT1_0909
ko:K03639	mtut:HKBT1_0912
ko:K03704	mtut:HKBT1_0914
ko:K00831	mtut:HKBT1_0927
ko:K00528	mtut:HKBT1_0929
ko:K04750	mtut:HKBT1_0930
ko:K01647	mtut:HKBT1_0935
ko:K01647	mtut:HKBT1_0942
ko:K03799	mtut:HKBT1_0587
ko:K00057	mtut:HKBT1_0588
ko:K09767	mtut:HKBT1_0590
ko:K00763	mtut:HKBT1_0599
ko:K07282	mtut:HKBT1_0600
ko:K06996	mtut:HKBT1_0603
ko:K09122	mtut:HKBT1_0605
ko:K02066	mtut:HKBT1_0613
ko:K02066	mtut:HKBT1_0614
ko:K02067	mtut:HKBT1_0615
ko:K02067	mtut:HKBT1_0616
ko:K02067	mtut:HKBT1_0617
ko:K02067	mtut:HKBT1_0618
ko:K02067	mtut:HKBT1_0619
ko:K02067	mtut:HKBT1_0620
ko:K07133	mtut:HKBT1_0623
ko:K02484	mtut:HKBT1_0627
ko:K02484	mtut:HKBT1_0628
ko:K01810	mtut:HKBT1_0994
ko:K04093	mtut:HKBT1_0998
ko:K03657	mtut:HKBT1_0999
ko:K01903	mtut:HKBT1_1001
ko:K01902	mtut:HKBT1_1002
ko:K11175	mtut:HKBT1_1006
ko:K00602	mtut:HKBT1_1007
ko:K03405	mtut:HKBT1_1008
ko:K12956	mtut:HKBT1_1019
ko:K01692	mtut:HKBT1_1021
ko:K01965	mtut:HKBT1_1023
ko:K02911	mtut:HKBT1_1029
ko:K07669	mtut:HKBT1_1031
ko:K07653	mtut:HKBT1_1032
ko:K08372	mtut:HKBT1_1033
ko:K03282	mtut:HKBT1_1035
ko:K02003	mtut:HKBT1_1036
ko:K02004	mtut:HKBT1_1037
ko:K00965	mtut:HKBT1_0647
ko:K00965	mtut:HKBT1_0648
ko:K00849	mtut:HKBT1_0649
ko:K03581	mtut:HKBT1_0659
ko:K03582	mtut:HKBT1_0660
ko:K03583	mtut:HKBT1_0661
ko:K01692	mtut:HKBT1_0662
ko:K02913	mtut:HKBT1_0666
ko:K03073	mtut:HKBT1_0670
ko:K02601	mtut:HKBT1_0671
ko:K02867	mtut:HKBT1_0672
ko:K02863	mtut:HKBT1_0673
ko:K00574	mtut:HKBT1_0674
ko:K00574	mtut:HKBT1_0675
ko:K00574	mtut:HKBT1_0676
ko:K00574	mtut:HKBT1_0677
ko:K00645	mtut:HKBT1_0681
ko:K00845	mtut:HKBT1_0682
ko:K02864	mtut:HKBT1_0683
ko:K02935	mtut:HKBT1_0684
ko:K11159	mtut:HKBT1_0686
ko:K02065	mtut:HKBT1_0687
ko:K00362	mtut:HKBT1_0269
ko:K00363	mtut:HKBT1_0270
ko:K02231	mtut:HKBT1_0271
ko:K02232	mtut:HKBT1_0272
ko:K01719	mtut:HKBT1_0277
ko:K02575	mtut:HKBT1_0278
ko:K11738	mtut:HKBT1_0362
ko:K04043	mtut:HKBT1_0366
ko:K03687	mtut:HKBT1_0367
ko:K03686	mtut:HKBT1_0368
ko:K13640	mtut:HKBT1_0369
ko:K01939	mtut:HKBT1_0373
ko:K06213	mtut:HKBT1_0378
ko:K01624	mtut:HKBT1_0379
ko:K03975	mtut:HKBT1_0380
ko:K13788	mtut:HKBT1_0424
ko:K00925	mtut:HKBT1_0425
ko:K14949	mtut:HKBT1_0426
ko:K02030	mtut:HKBT1_0427
ko:K03574	mtut:HKBT1_0429
ko:K00788	mtut:HKBT1_0430
ko:K03153	mtut:HKBT1_0431
ko:K03154	mtut:HKBT1_0432
ko:K03149	mtut:HKBT1_0433
ko:K07020	mtut:HKBT1_0438
ko:K00941	mtut:HKBT1_0439
ko:K03147	mtut:HKBT1_0440
ko:K01142	mtut:HKBT1_0444
ko:K01462	mtut:HKBT1_0446
ko:K06048	mtut:HKBT1_0450
ko:K07157	mtut:HKBT1_0451
ko:K13525	mtut:HKBT1_0452
ko:K17103	mtut:HKBT1_0453
ko:K01613	mtut:HKBT1_0454
ko:K03750	mtut:HKBT1_0455
ko:K04077	mtut:HKBT1_0457
ko:K00574	mtut:HKBT1_0487
ko:K00574	mtut:HKBT1_0488
ko:K16645	mtut:HKBT1_0495
ko:K01619	mtut:HKBT1_0498
ko:K00075	mtut:HKBT1_0502
ko:K15521	mtut:HKBT1_0506
ko:K06895	mtut:HKBT1_0508
ko:K01834	mtut:HKBT1_0509
ko:K07768	mtut:HKBT1_0510
ko:K07776	mtut:HKBT1_0511
ko:K02313	mtut:HKBT1_0001
ko:K02338	mtut:HKBT1_0004
ko:K03629	mtut:HKBT1_0005
ko:K02470	mtut:HKBT1_0007
ko:K02469	mtut:HKBT1_0008
ko:K03767	mtut:HKBT1_0013
ko:K01664	mtut:HKBT1_0018
ko:K00459	mtut:HKBT1_0026
ko:K00652	mtut:HKBT1_0037
ko:K07735	mtut:HKBT1_0043
ko:K02990	mtut:HKBT1_0058
ko:K02963	mtut:HKBT1_0060
ko:K02939	mtut:HKBT1_0061
ko:K01577	mtut:HKBT1_0128
ko:K02355	mtut:HKBT1_0130
ko:K05343	mtut:HKBT1_0136
ko:K16146	mtut:HKBT1_0137
ko:K07304	mtut:HKBT1_0148
ko:K03088	mtut:HKBT1_0198
ko:K05349	mtut:HKBT1_0201
ko:K01687	mtut:HKBT1_0205
ko:K07386	mtut:HKBT1_0214
ko:K06860	mtut:HKBT1_0223
ko:K03439	mtut:HKBT1_0224
ko:K01596	mtut:HKBT1_0227
ko:K01692	mtut:HKBT1_0238
ko:K02016	mtut:HKBT1_0282
ko:K01469	mtut:HKBT1_0283
ko:K02575	mtut:HKBT1_0284
ko:K00666	mtut:HKBT1_0287
ko:K14743	mtut:HKBT1_0309
ko:K00598	mtut:HKBT1_0312
ko:K04719	mtut:HKBT1_0323
ko:K01126	mtut:HKBT1_0334
ko:K07238	mtut:HKBT1_0335
ko:K01304	mtut:HKBT1_0336
ko:K01494	mtut:HKBT1_0338
ko:K07161	mtut:HKBT1_0384
ko:K07141	mtut:HKBT1_0387
ko:K07402	mtut:HKBT1_0388
ko:K03520	mtut:HKBT1_0389
ko:K03518	mtut:HKBT1_0390
ko:K03519	mtut:HKBT1_0391
ko:K07402	mtut:HKBT1_0392
ko:K09165	mtut:HKBT1_0395
ko:K00762	mtut:HKBT1_0398
ko:K03695	mtut:HKBT1_0400
ko:K08289	mtut:HKBT1_0404
ko:K10764	mtut:HKBT1_0406
ko:K03885	mtut:HKBT1_0407
ko:K00252	mtut:HKBT1_0415
ko:K06994	mtut:HKBT1_0417
ko:K03088	mtut:HKBT1_0462
ko:K00574	mtut:HKBT1_0464
ko:K09701	mtut:HKBT1_0465
ko:K06994	mtut:HKBT1_0467
ko:K01692	mtut:HKBT1_0473
ko:K01322	mtut:HKBT1_0475
ko:K00138	mtut:HKBT1_0476
ko:K09959	mtut:HKBT1_0477
ko:K00382	mtut:HKBT1_0480
ko:K07110	mtut:HKBT1_0483
ko:K01637	mtut:HKBT1_0485
ko:K00074	mtut:HKBT1_0486
ko:K01524	mtut:HKBT1_0517
ko:K00286	mtut:HKBT1_0521
ko:K01784	mtut:HKBT1_0523
ko:K00574	mtut:HKBT1_0525
ko:K06994	mtut:HKBT1_0529
ko:K01869	mtut:HKBT1_0046
ko:K01858	mtut:HKBT1_0051
ko:K09118	mtut:HKBT1_0070
ko:K00031	mtut:HKBT1_0073
ko:K01752	mtut:HKBT1_0076
ko:K00600	mtut:HKBT1_0077
ko:K14155	mtut:HKBT1_0080
ko:K12140	mtut:HKBT1_0091
ko:K12141	mtut:HKBT1_0092
ko:K01243	mtut:HKBT1_0097
ko:K12949	mtut:HKBT1_0098
ko:K12422	mtut:HKBT1_0105
ko:K02351	mtut:HKBT1_0108
ko:K07245	mtut:HKBT1_0108
ko:K12949	mtut:HKBT1_0109
ko:K02902	mtut:HKBT1_0113
ko:K12955	mtut:HKBT1_0115
ko:K03271	mtut:HKBT1_0122
ko:K03273	mtut:HKBT1_0123
ko:K07031	mtut:HKBT1_0124
ko:K03281	mtut:HKBT1_0154
ko:K00128	mtut:HKBT1_0158
ko:K01104	mtut:HKBT1_0166
ko:K09958	mtut:HKBT1_0168
ko:K00324	mtut:HKBT1_0169
ko:K00324	mtut:HKBT1_0170
ko:K00325	mtut:HKBT1_0171
ko:K07107	mtut:HKBT1_0177
ko:K00666	mtut:HKBT1_0181
ko:K02066	mtut:HKBT1_0182
ko:K02066	mtut:HKBT1_0183
ko:K02067	mtut:HKBT1_0184
ko:K02067	mtut:HKBT1_0185
ko:K02067	mtut:HKBT1_0186
ko:K02067	mtut:HKBT1_0187
ko:K02067	mtut:HKBT1_0188
ko:K02067	mtut:HKBT1_0189
ko:K18481	mtut:HKBT1_0190
ko:K18481	mtut:HKBT1_0191
ko:K18481	mtut:HKBT1_0192
ko:K18481	mtut:HKBT1_0193
ko:K06911	mtut:HKBT1_0196
ko:K00128	mtut:HKBT1_0239
ko:K07048	mtut:HKBT1_0246
ko:K00135	mtut:HKBT1_0250
ko:K16648	mtut:HKBT1_0252
ko:K01207	mtut:HKBT1_0254
ko:K00059	mtut:HKBT1_0259
ko:K00626	mtut:HKBT1_0260
ko:K00240	mtut:HKBT1_0264
ko:K00239	mtut:HKBT1_0265
ko:K00012	mtut:HKBT1_0339
ko:K17218	mtut:HKBT1_0347
ko:K00973	mtut:HKBT1_0350
ko:K14260	mtut:HKBT1_0353
ko:K01657	mtut:HKBT1_1697
ko:K01609	mtut:HKBT1_1699
ko:K01696	mtut:HKBT1_1700
ko:K01695	mtut:HKBT1_1701
ko:K00873	mtut:HKBT1_1706
ko:K10805	mtut:HKBT1_1707
ko:K16012	mtut:HKBT1_1709
ko:K16013	mtut:HKBT1_1710
ko:K00426	mtut:HKBT1_1711
ko:K00425	mtut:HKBT1_1712
ko:K02945	mtut:HKBT1_1719
ko:K00859	mtut:HKBT1_1720
ko:K09146	mtut:HKBT1_1721
ko:K03702	mtut:HKBT1_1722
ko:K14340	mtut:HKBT1_1724
ko:K03701	mtut:HKBT1_1727
ko:K04567	mtut:HKBT1_1730
ko:K02520	mtut:HKBT1_1731
ko:K02916	mtut:HKBT1_1732
ko:K02887	mtut:HKBT1_1733
ko:K00658	mtut:HKBT1_2335
ko:K07071	mtut:HKBT1_2336
ko:K03801	mtut:HKBT1_2337
ko:K03644	mtut:HKBT1_2338
ko:K01915	mtut:HKBT1_2341
ko:K00982	mtut:HKBT1_2342
ko:K01915	mtut:HKBT1_2343
ko:K00606	mtut:HKBT1_2347
ko:K09990	mtut:HKBT1_2349
ko:K07164	mtut:HKBT1_2351
ko:K00817	mtut:HKBT1_2353
ko:K01104	mtut:HKBT1_2357
ko:K02227	mtut:HKBT1_2359
ko:K03386	mtut:HKBT1_2362
ko:K09771	mtut:HKBT1_2784
ko:K01835	mtut:HKBT1_3223
ko:K06199	mtut:HKBT1_3224
ko:K06199	mtut:HKBT1_3225
ko:K01644	mtut:HKBT1_3230
ko:K13419	mtut:HKBT1_3235
ko:K00121	mtut:HKBT1_3241
ko:K09781	mtut:HKBT1_3248
ko:K02986	mtut:HKBT1_3661
ko:K02948	mtut:HKBT1_3662
ko:K02952	mtut:HKBT1_3663
ko:K02919	mtut:HKBT1_3664
ko:K02518	mtut:HKBT1_3665
ko:K01790	mtut:HKBT1_3668
ko:K01666	mtut:HKBT1_3672
ko:K01652	mtut:HKBT1_3673
ko:K14743	mtut:HKBT1_4097
ko:K14743	mtut:HKBT1_4100
ko:K00970	mtut:HKBT1_4122
ko:K00384	mtut:HKBT1_1567
ko:K01692	mtut:HKBT1_1568
ko:K01681	mtut:HKBT1_1572
ko:K03924	mtut:HKBT1_1576
ko:K07114	mtut:HKBT1_1578
ko:K11610	mtut:HKBT1_1580
ko:K11611	mtut:HKBT1_1581
ko:K01772	mtut:HKBT1_1582
ko:K01847	mtut:HKBT1_1590
ko:K01847	mtut:HKBT1_1591
ko:K07588	mtut:HKBT1_1594
ko:K09165	mtut:HKBT1_1597
ko:K02805	mtut:HKBT1_1602
ko:K02805	mtut:HKBT1_1603
ko:K01711	mtut:HKBT1_1608
ko:K01711	mtut:HKBT1_1611
ko:K02377	mtut:HKBT1_1612
ko:K06994	mtut:HKBT1_1623
ko:K01000	mtut:HKBT1_2276
ko:K01929	mtut:HKBT1_2277
ko:K01928	mtut:HKBT1_2278
ko:K03587	mtut:HKBT1_2283
ko:K03438	mtut:HKBT1_2285
ko:K03925	mtut:HKBT1_2286
ko:K13787	mtut:HKBT1_2291
ko:K14337	mtut:HKBT1_2292
ko:K01626	mtut:HKBT1_2296
ko:K13671	mtut:HKBT1_2300
ko:K00655	mtut:HKBT1_2301
ko:K03768	mtut:HKBT1_2724
ko:K00951	mtut:HKBT1_2725
ko:K00759	mtut:HKBT1_2726
ko:K02035	mtut:HKBT1_2727
ko:K03074	mtut:HKBT1_2728
ko:K03072	mtut:HKBT1_2729
ko:K03210	mtut:HKBT1_2730
ko:K07250	mtut:HKBT1_2731
ko:K12421	mtut:HKBT1_2732
ko:K03551	mtut:HKBT1_2734
ko:K03550	mtut:HKBT1_2735
ko:K01159	mtut:HKBT1_2736
ko:K00797	mtut:HKBT1_2743
ko:K08681	mtut:HKBT1_2747
ko:K10805	mtut:HKBT1_2748
ko:K06215	mtut:HKBT1_2749
ko:K00275	mtut:HKBT1_2750
ko:K01972	mtut:HKBT1_3166
ko:K00566	mtut:HKBT1_3178
ko:K04487	mtut:HKBT1_3179
ko:K03522	mtut:HKBT1_3182
ko:K03521	mtut:HKBT1_3183
ko:K16149	mtut:HKBT1_3185
ko:K16150	mtut:HKBT1_3186
ko:K01692	mtut:HKBT1_3194
ko:K03088	mtut:HKBT1_3605
ko:K04077	mtut:HKBT1_3608
ko:K04078	mtut:HKBT1_3609
ko:K01409	mtut:HKBT1_3610
ko:K03789	mtut:HKBT1_3611
ko:K06925	mtut:HKBT1_3613
ko:K01775	mtut:HKBT1_3614
ko:K01875	mtut:HKBT1_4046
ko:K04518	mtut:HKBT1_4050
ko:K01126	mtut:HKBT1_4054
ko:K04564	mtut:HKBT1_4061
ko:K02553	mtut:HKBT1_4068
ko:K00666	mtut:HKBT1_1845
ko:K00705	mtut:HKBT1_1870
ko:K14743	mtut:HKBT1_1885
ko:K07507	mtut:HKBT1_1900
ko:K03885	mtut:HKBT1_1901
ko:K07045	mtut:HKBT1_2423
ko:K06889	mtut:HKBT1_2427
ko:K03568	mtut:HKBT1_2441
ko:K02025	mtut:HKBT1_2442
ko:K02026	mtut:HKBT1_2443
ko:K02027	mtut:HKBT1_2444
ko:K00819	mtut:HKBT1_2447
ko:K00819	mtut:HKBT1_2448
ko:K07738	mtut:HKBT1_2861
ko:K01356	mtut:HKBT1_2863
ko:K05794	mtut:HKBT1_2866
ko:K03665	mtut:HKBT1_2868
ko:K01778	mtut:HKBT1_2869
ko:K00791	mtut:HKBT1_2870
ko:K06168	mtut:HKBT1_2876
ko:K03565	mtut:HKBT1_2879
ko:K10533	mtut:HKBT1_2884
ko:K00330	mtut:HKBT1_3309
ko:K00331	mtut:HKBT1_3310
ko:K00332	mtut:HKBT1_3311
ko:K00333	mtut:HKBT1_3312
ko:K00334	mtut:HKBT1_3313
ko:K00337	mtut:HKBT1_3316
ko:K00338	mtut:HKBT1_3317
ko:K00339	mtut:HKBT1_3318
ko:K00340	mtut:HKBT1_3319
ko:K00341	mtut:HKBT1_3320
ko:K00342	mtut:HKBT1_3321
ko:K00343	mtut:HKBT1_3322
ko:K09136	mtut:HKBT1_1464
ko:K02825	mtut:HKBT1_1467
ko:K00609	mtut:HKBT1_1469
ko:K01465	mtut:HKBT1_1470
ko:K01956	mtut:HKBT1_1472
ko:K01955	mtut:HKBT1_1473
ko:K01591	mtut:HKBT1_1474
ko:K00942	mtut:HKBT1_1479
ko:K03060	mtut:HKBT1_1480
ko:K13038	mtut:HKBT1_1481
ko:K00789	mtut:HKBT1_1482
ko:K04066	mtut:HKBT1_1492
ko:K00604	mtut:HKBT1_1496
ko:K03500	mtut:HKBT1_1497
ko:K01783	mtut:HKBT1_1498
ko:K11752	mtut:HKBT1_1499
ko:K14954	mtut:HKBT1_1501
ko:K00793	mtut:HKBT1_1502
ko:K14652	mtut:HKBT1_1505
ko:K00794	mtut:HKBT1_1506
ko:K03703	mtut:HKBT1_1510
ko:K03432	mtut:HKBT1_2226
ko:K03433	mtut:HKBT1_2227
ko:K13570	mtut:HKBT1_2228
ko:K13527	mtut:HKBT1_2232
ko:K09764	mtut:HKBT1_2234
ko:K07442	mtut:HKBT1_2235
ko:K00765	mtut:HKBT1_2238
ko:K01523	mtut:HKBT1_2239
ko:K00548	mtut:HKBT1_2242
ko:K11738	mtut:HKBT1_2245
ko:K15526	mtut:HKBT1_2248
ko:K01584	mtut:HKBT1_2673
ko:K03625	mtut:HKBT1_2675
ko:K02356	mtut:HKBT1_2676
ko:K03786	mtut:HKBT1_2679
ko:K01735	mtut:HKBT1_2680
ko:K00891	mtut:HKBT1_2681
ko:K01736	mtut:HKBT1_2682
ko:K02654	mtut:HKBT1_2694
ko:K00014	mtut:HKBT1_2695
ko:K00954	mtut:HKBT1_3114
ko:K01958	mtut:HKBT1_3116
ko:K03655	mtut:HKBT1_3123
ko:K07030	mtut:HKBT1_3124
ko:K02902	mtut:HKBT1_3125
ko:K03648	mtut:HKBT1_3126
ko:K00946	mtut:HKBT1_3127
ko:K01921	mtut:HKBT1_3131
ko:K00057	mtut:HKBT1_3132
ko:K14941	mtut:HKBT1_3133
ko:K00937	mtut:HKBT1_3134
ko:K03530	mtut:HKBT1_3136
ko:K01704	mtut:HKBT1_3137
ko:K01703	mtut:HKBT1_3138
ko:K06945	mtut:HKBT1_3550
ko:K07131	mtut:HKBT1_3552
ko:K03216	mtut:HKBT1_3554
ko:K14162	mtut:HKBT1_3558
ko:K01087	mtut:HKBT1_3560
ko:K01692	mtut:HKBT1_3562
ko:K01426	mtut:HKBT1_3564
ko:K07025	mtut:HKBT1_3565
ko:K17811	mtut:HKBT1_3566
ko:K15911	mtut:HKBT1_3567
ko:K01662	mtut:HKBT1_3568
ko:K03527	mtut:HKBT1_3569
ko:K13787	mtut:HKBT1_3570
ko:K13787	mtut:HKBT1_3573
ko:K01692	mtut:HKBT1_3985
ko:K16649	mtut:HKBT1_3993
ko:K03924	mtut:HKBT1_3328
ko:K15981	mtut:HKBT1_3746
ko:K00626	mtut:HKBT1_3747
ko:K01692	mtut:HKBT1_3751
ko:K00626	mtut:HKBT1_3757
ko:K00059	mtut:HKBT1_3760
ko:K00622	mtut:HKBT1_3767
ko:K16049	mtut:HKBT1_3770
ko:K16050	mtut:HKBT1_3771
ko:K16047	mtut:HKBT1_3772
ko:K00036	mtut:HKBT1_1187
ko:K00033	mtut:HKBT1_1188
ko:K01006	mtut:HKBT1_1193
ko:K01720	mtut:HKBT1_1197
ko:K01647	mtut:HKBT1_1198
ko:K00549	mtut:HKBT1_1200
ko:K00626	mtut:HKBT1_1207
ko:K16168	mtut:HKBT1_1211
ko:K07052	mtut:HKBT1_1212
ko:K01692	mtut:HKBT1_1213
ko:K01692	mtut:HKBT1_1215
ko:K01796	mtut:HKBT1_1214
ko:K06994	mtut:HKBT1_1218
ko:K12410	mtut:HKBT1_1225
ko:K13669	mtut:HKBT1_1235
ko:K01724	mtut:HKBT1_1236
ko:K03574	mtut:HKBT1_1237
ko:K00370	mtut:HKBT1_1238
ko:K00371	mtut:HKBT1_1239
ko:K02358	mtut:HKBT1_2076
ko:K09131	mtut:HKBT1_2087
ko:K05596	mtut:HKBT1_2088
ko:K06895	mtut:HKBT1_2089
ko:K12953	mtut:HKBT1_2102
ko:K02046	mtut:HKBT1_2531
ko:K02048	mtut:HKBT1_2532
ko:K03596	mtut:HKBT1_2537
ko:K00784	mtut:HKBT1_2540
ko:K02968	mtut:HKBT1_2546
ko:K02340	mtut:HKBT1_2547
ko:K02238	mtut:HKBT1_2548
ko:K02237	mtut:HKBT1_2549
ko:K09710	mtut:HKBT1_2555
ko:K00969	mtut:HKBT1_2556
ko:K05813	mtut:HKBT1_2976
ko:K05815	mtut:HKBT1_2977
ko:K05814	mtut:HKBT1_2978
ko:K02834	mtut:HKBT1_2981
ko:K02519	mtut:HKBT1_2982
ko:K07742	mtut:HKBT1_2983
