ko:K19405	ctls:L2BAMS4_00711
ko:K03685	ctls:L2BAMS4_00303
ko:K04485	ctls:L2BAMS4_00304
ko:K01749	ctls:L2BAMS4_00305
ko:K01873	ctls:L2BAMS4_00308
ko:K03559	ctls:L2BAMS4_00626
ko:K08301	ctls:L2BAMS4_00858
ko:K02911	ctls:L2BAMS4_00861
ko:K03621	ctls:L2BAMS4_00862
ko:K03431	ctls:L2BAMS4_00867
ko:K00820	ctls:L2BAMS4_00868
ko:K03834	ctls:L2BAMS4_00869
ko:K03834	ctls:L2BAMS4_00871
ko:K06890	ctls:L2BAMS4_00872
ko:K03110	ctls:L2BAMS4_00873
ko:K01903	ctls:L2BAMS4_00874
ko:K01902	ctls:L2BAMS4_00875
ko:K09760	ctls:L2BAMS4_00878
ko:K00075	ctls:L2BAMS4_00884
ko:K02520	ctls:L2BAMS4_00886
ko:K02916	ctls:L2BAMS4_00887
ko:K02887	ctls:L2BAMS4_00888
ko:K01889	ctls:L2BAMS4_00889
ko:K11720	ctls:L2BAMS4_00892
ko:K07091	ctls:L2BAMS4_00893
ko:K04075	ctls:L2BAMS4_00894
ko:K03798	ctls:L2BAMS4_00895
ko:K00962	ctls:L2BAMS4_00896
ko:K02956	ctls:L2BAMS4_00897
ko:K09779	ctls:L2BAMS4_00002
ko:K02435	ctls:L2BAMS4_00003
ko:K02434	ctls:L2BAMS4_00005
ko:K02517	ctls:L2BAMS4_00011
ko:K00425	ctls:L2BAMS4_00014
ko:K00426	ctls:L2BAMS4_00015
ko:K07175	ctls:L2BAMS4_00016
ko:K01870	ctls:L2BAMS4_00021
ko:K03100	ctls:L2BAMS4_00022
ko:K02909	ctls:L2BAMS4_00024
ko:K02835	ctls:L2BAMS4_00025
ko:K02493	ctls:L2BAMS4_00026
ko:K03106	ctls:L2BAMS4_00027
ko:K02959	ctls:L2BAMS4_00028
ko:K00554	ctls:L2BAMS4_00029
ko:K02884	ctls:L2BAMS4_00030
ko:K03470	ctls:L2BAMS4_00031
ko:K00942	ctls:L2BAMS4_00032
ko:K01874	ctls:L2BAMS4_00034
ko:K03581	ctls:L2BAMS4_00035
ko:K01494	ctls:L2BAMS4_00041
ko:K03551	ctls:L2BAMS4_00042
ko:K01255	ctls:L2BAMS4_00047
ko:K02340	ctls:L2BAMS4_00049
ko:K03720	ctls:L2BAMS4_00170
ko:K01696	ctls:L2BAMS4_00171
ko:K01695	ctls:L2BAMS4_00172
ko:K03611	ctls:L2BAMS4_00176
ko:K00979	ctls:L2BAMS4_00184
ko:K01937	ctls:L2BAMS4_00185
ko:K07447	ctls:L2BAMS4_00186
ko:K00036	ctls:L2BAMS4_00187
ko:K01057	ctls:L2BAMS4_00188
ko:K02343	ctls:L2BAMS4_00189
ko:K00943	ctls:L2BAMS4_00190
ko:K02469	ctls:L2BAMS4_00191
ko:K02470	ctls:L2BAMS4_00192
ko:K00773	ctls:L2BAMS4_00195
ko:K06213	ctls:L2BAMS4_00196
ko:K15580	ctls:L2BAMS4_00200
ko:K15581	ctls:L2BAMS4_00201
ko:K03319	ctls:L2BAMS4_00206
ko:K00850	ctls:L2BAMS4_00207
ko:K00895	ctls:L2BAMS4_00209
ko:K03046	ctls:L2BAMS4_00320
ko:K03043	ctls:L2BAMS4_00321
ko:K02935	ctls:L2BAMS4_00322
ko:K02864	ctls:L2BAMS4_00323
ko:K02863	ctls:L2BAMS4_00324
ko:K02867	ctls:L2BAMS4_00325
ko:K02601	ctls:L2BAMS4_00326
ko:K03073	ctls:L2BAMS4_00327
ko:K02358	ctls:L2BAMS4_00329
ko:K02518	ctls:L2BAMS4_00331
ko:K01803	ctls:L2BAMS4_00338
ko:K03601	ctls:L2BAMS4_00339
ko:K03602	ctls:L2BAMS4_00340
ko:K01662	ctls:L2BAMS4_00342
ko:K00873	ctls:L2BAMS4_00343
ko:K03701	ctls:L2BAMS4_00344
ko:K02343	ctls:L2BAMS4_00345
ko:K09747	ctls:L2BAMS4_00346
ko:K11381	ctls:L2BAMS4_00352
ko:K03686	ctls:L2BAMS4_00353
ko:K02970	ctls:L2BAMS4_00354
ko:K01338	ctls:L2BAMS4_00356
ko:K03733	ctls:L2BAMS4_00359
ko:K06287	ctls:L2BAMS4_00361
ko:K03075	ctls:L2BAMS4_00364
ko:K01462	ctls:L2BAMS4_00365
ko:K02528	ctls:L2BAMS4_00366
ko:K07738	ctls:L2BAMS4_00421
ko:K06204	ctls:L2BAMS4_00422
ko:K03101	ctls:L2BAMS4_00423
ko:K03310	ctls:L2BAMS4_00424
ko:K00748	ctls:L2BAMS4_00426
ko:K09817	ctls:L2BAMS4_00432
ko:K09816	ctls:L2BAMS4_00433
ko:K03979	ctls:L2BAMS4_00434
ko:K02899	ctls:L2BAMS4_00435
ko:K02888	ctls:L2BAMS4_00436
ko:K07042	ctls:L2BAMS4_00441
ko:K03183	ctls:L2BAMS4_00447
ko:K01778	ctls:L2BAMS4_00449
ko:K01358	ctls:L2BAMS4_00450
ko:K00600	ctls:L2BAMS4_00451
ko:K01770	ctls:L2BAMS4_00453
ko:K02946	ctls:L2BAMS4_00455
ko:K02355	ctls:L2BAMS4_00456
ko:K02992	ctls:L2BAMS4_00457
ko:K02950	ctls:L2BAMS4_00458
ko:K03797	ctls:L2BAMS4_00460
ko:K07462	ctls:L2BAMS4_00467
ko:K12257	ctls:L2BAMS4_00468
ko:K00806	ctls:L2BAMS4_00470
ko:K00981	ctls:L2BAMS4_00471
ko:K00945	ctls:L2BAMS4_00472
ko:K00655	ctls:L2BAMS4_00473
ko:K03550	ctls:L2BAMS4_00527
ko:K01159	ctls:L2BAMS4_00528
ko:K00134	ctls:L2BAMS4_00532
ko:K02879	ctls:L2BAMS4_00533
ko:K03040	ctls:L2BAMS4_00534
ko:K02948	ctls:L2BAMS4_00535
ko:K02952	ctls:L2BAMS4_00536
ko:K03076	ctls:L2BAMS4_00537
ko:K02876	ctls:L2BAMS4_00538
ko:K02988	ctls:L2BAMS4_00539
ko:K02881	ctls:L2BAMS4_00540
ko:K02933	ctls:L2BAMS4_00541
ko:K02994	ctls:L2BAMS4_00542
ko:K02931	ctls:L2BAMS4_00543
ko:K02895	ctls:L2BAMS4_00544
ko:K02874	ctls:L2BAMS4_00545
ko:K02961	ctls:L2BAMS4_00546
ko:K02904	ctls:L2BAMS4_00547
ko:K02878	ctls:L2BAMS4_00548
ko:K02982	ctls:L2BAMS4_00549
ko:K02890	ctls:L2BAMS4_00550
ko:K02965	ctls:L2BAMS4_00551
ko:K02886	ctls:L2BAMS4_00552
ko:K02892	ctls:L2BAMS4_00553
ko:K02926	ctls:L2BAMS4_00554
ko:K02906	ctls:L2BAMS4_00555
ko:K00604	ctls:L2BAMS4_00557
ko:K00677	ctls:L2BAMS4_00558
ko:K02372	ctls:L2BAMS4_00559
ko:K02535	ctls:L2BAMS4_00560
ko:K03820	ctls:L2BAMS4_00561
ko:K06925	ctls:L2BAMS4_00564
ko:K03671	ctls:L2BAMS4_00567
ko:K03216	ctls:L2BAMS4_00568
ko:K01876	ctls:L2BAMS4_00570
ko:K01892	ctls:L2BAMS4_00571
ko:K07783	ctls:L2BAMS4_00572
ko:K02337	ctls:L2BAMS4_00573
ko:K03581	ctls:L2BAMS4_00685
ko:K06861	ctls:L2BAMS4_00687
ko:K01627	ctls:L2BAMS4_00689
ko:K06180	ctls:L2BAMS4_00693
ko:K06960	ctls:L2BAMS4_00694
ko:K02469	ctls:L2BAMS4_00695
ko:K02470	ctls:L2BAMS4_00696
ko:K02492	ctls:L2BAMS4_00697
ko:K03224	ctls:L2BAMS4_00704
ko:K02417	ctls:L2BAMS4_00707
ko:K03219	ctls:L2BAMS4_00709
ko:K02838	ctls:L2BAMS4_00715
ko:K09903	ctls:L2BAMS4_00716
ko:K02357	ctls:L2BAMS4_00717
ko:K02967	ctls:L2BAMS4_00718
ko:K03162	ctls:L2BAMS4_00720
ko:K09013	ctls:L2BAMS4_00724
ko:K09015	ctls:L2BAMS4_00725
ko:K11717	ctls:L2BAMS4_00726
ko:K07220	ctls:L2BAMS4_00730
ko:K03306	ctls:L2BAMS4_00731
ko:K00927	ctls:L2BAMS4_00732
ko:K10773	ctls:L2BAMS4_00736
ko:K03650	ctls:L2BAMS4_00737
ko:K01613	ctls:L2BAMS4_00738
ko:K02028	ctls:L2BAMS4_00132
ko:K15035	ctls:L2BAMS4_00020
ko:K14222	ctls:L2BAMS4_00803
ko:K01985	ctls:L2BAMS4_00783
ko:K01985	ctls:L2BAMS4_00796
ko:K01980	ctls:L2BAMS4_00782
ko:K01980	ctls:L2BAMS4_00795
ko:K17103	ctls:L2BAMS4_00879
ko:K00939	ctls:L2BAMS4_00130
ko:K02035	ctls:L2BAMS4_00141
ko:K06889	ctls:L2BAMS4_00153
ko:K02035	ctls:L2BAMS4_00175
ko:K02049	ctls:L2BAMS4_00180
ko:K01409	ctls:L2BAMS4_00199
ko:K15582	ctls:L2BAMS4_00202
ko:K10823	ctls:L2BAMS4_00203
ko:K15583	ctls:L2BAMS4_00204
ko:K06889	ctls:L2BAMS4_00208
ko:K07098	ctls:L2BAMS4_00481
ko:K00567	ctls:L2BAMS4_00500
ko:K02033	ctls:L2BAMS4_00502
ko:K02035	ctls:L2BAMS4_00503
ko:K02030	ctls:L2BAMS4_00511
ko:K02342	ctls:L2BAMS4_00563
ko:K00059	ctls:L2BAMS4_00243
ko:K07052	ctls:L2BAMS4_00260
ko:K02342	ctls:L2BAMS4_00267
ko:K07258	ctls:L2BAMS4_00579
ko:K02806	ctls:L2BAMS4_00296
ko:K02806	ctls:L2BAMS4_00297
ko:K02124	ctls:L2BAMS4_00310
ko:K02123	ctls:L2BAMS4_00311
ko:K02120	ctls:L2BAMS4_00312
ko:K02118	ctls:L2BAMS4_00313
ko:K02117	ctls:L2BAMS4_00314
ko:K02121	ctls:L2BAMS4_00316
ko:K00616	ctls:L2BAMS4_00319
ko:K00970	ctls:L2BAMS4_00743
ko:K01596	ctls:L2BAMS4_00750
ko:K00972	ctls:L2BAMS4_00755
ko:K01834	ctls:L2BAMS4_00762
ko:K06910	ctls:L2BAMS4_00776
ko:K07117	ctls:L2BAMS4_00777
ko:K08483	ctls:L2BAMS4_00347
ko:K11189	ctls:L2BAMS4_00348
ko:K00784	ctls:L2BAMS4_00358
ko:K01507	ctls:L2BAMS4_00820
ko:K01082	ctls:L2BAMS4_00822
ko:K01909	ctls:L2BAMS4_00824
ko:K00652	ctls:L2BAMS4_00825
ko:K03227	ctls:L2BAMS4_00591
ko:K02454	ctls:L2BAMS4_00599
ko:K01262	ctls:L2BAMS4_00602
ko:K07315	ctls:L2BAMS4_00616
ko:K00241	ctls:L2BAMS4_00621
ko:K00241	ctls:L2BAMS4_00622
ko:K03386	ctls:L2BAMS4_00632
ko:K02433	ctls:L2BAMS4_00004
ko:K03471	ctls:L2BAMS4_00009
ko:K03856	ctls:L2BAMS4_00396
ko:K01408	ctls:L2BAMS4_00856
ko:K02428	ctls:L2BAMS4_00636
ko:K00813	ctls:L2BAMS4_00670
ko:K01934	ctls:L2BAMS4_00682
ko:K00033	ctls:L2BAMS4_00066
ko:K11707	ctls:L2BAMS4_00070
ko:K11710	ctls:L2BAMS4_00071
ko:K11708	ctls:L2BAMS4_00072
ko:K11709	ctls:L2BAMS4_00073
ko:K03177	ctls:L2BAMS4_00095
ko:K06179	ctls:L2BAMS4_00107
ko:K00970	ctls:L2BAMS4_00425
ko:K09815	ctls:L2BAMS4_00431
ko:K01719	ctls:L2BAMS4_00452
ko:K00380	ctls:L2BAMS4_00454
ko:K01885	ctls:L2BAMS4_00465
ko:K01679	ctls:L2BAMS4_00912
ko:K04763	ctls:L2BAMS4_00923
ko:K00700	ctls:L2BAMS4_00925
ko:K14228	ctls:L2BAMS4_00486
ko:K14233	ctls:L2BAMS4_00522
ko:K14219	ctls:L2BAMS4_00633
ko:K04084	ctls:L2BAMS4_00624
ko:K14227	ctls:L2BAMS4_00181
ko:K14218	ctls:L2BAMS4_00669
ko:K14230	ctls:L2BAMS4_00210
ko:K14230	ctls:L2BAMS4_00336
ko:K14235	ctls:L2BAMS4_00328
ko:K14233	ctls:L2BAMS4_00369
ko:K14231	ctls:L2BAMS4_00437
ko:K14221	ctls:L2BAMS4_00226
ko:K14233	ctls:L2BAMS4_00430
ko:K14228	ctls:L2BAMS4_00530
ko:K14228	ctls:L2BAMS4_00566
ko:K14219	ctls:L2BAMS4_00490
ko:K14219	ctls:L2BAMS4_00690
ko:K14232	ctls:L2BAMS4_00663
ko:K14229	ctls:L2BAMS4_00713
ko:K14224	ctls:L2BAMS4_00714
ko:K14226	ctls:L2BAMS4_00780
ko:K14223	ctls:L2BAMS4_00847
ko:K14218	ctls:L2BAMS4_00182
ko:K14234	ctls:L2BAMS4_00710
ko:K14225	ctls:L2BAMS4_00719
ko:K14228	ctls:L2BAMS4_00494
ko:K14228	ctls:L2BAMS4_00921
ko:K14232	ctls:L2BAMS4_00062
ko:K14237	ctls:L2BAMS4_00227
ko:K14230	ctls:L2BAMS4_00211
ko:K01977	ctls:L2BAMS4_00781
ko:K01977	ctls:L2BAMS4_00794
ko:K14220	ctls:L2BAMS4_00039
ko:K14234	ctls:L2BAMS4_00144
ko:K14234	ctls:L2BAMS4_00330
ko:K14236	ctls:L2BAMS4_00145
ko:K14225	ctls:L2BAMS4_00747
ko:K14237	ctls:L2BAMS4_00882
ko:K01840	ctls:L2BAMS4_00301
ko:K06972	ctls:L2BAMS4_00877
ko:K08274	ctls:L2BAMS4_00391
ko:K07081	ctls:L2BAMS4_00446
ko:K07125	ctls:L2BAMS4_00333
ko:K03625	ctls:L2BAMS4_00885
ko:K01679	ctls:L2BAMS4_00910
ko:K01802	ctls:L2BAMS4_00569
ko:K08275	ctls:L2BAMS4_00082
ko:K08719	ctls:L2BAMS4_00753
ko:K01829	ctls:L2BAMS4_00828
ko:K01829	ctls:L2BAMS4_00832
ko:K03309	ctls:L2BAMS4_00416
ko:K07033	ctls:L2BAMS4_00723
ko:K03825	ctls:L2BAMS4_00478
ko:K03111	ctls:L2BAMS4_00046
ko:K03496	ctls:L2BAMS4_p7
ko:K03496	ctls:L2BAMS4_00610
ko:K03497	ctls:L2BAMS4_00727
ko:K02626	ctls:L2BAMS4_00387
ko:K11991	ctls:L2BAMS4_00898
ko:K04771	ctls:L2BAMS4_00876
ko:K19411	ctls:L2BAMS4_00712
ko:K02031	ctls:L2BAMS4_00729
ko:K22100	ctls:L2BAMS4_00337
ko:K12132	ctls:L2BAMS4_00307
ko:K20265	ctls:L2BAMS4_00220
ko:K20074	ctls:L2BAMS4_00265
ko:K11749	ctls:L2BAMS4_00075
ko:K22099	ctls:L2BAMS4_00642
ko:K00526	ctls:L2BAMS4_00881
ko:K01520	ctls:L2BAMS4_00298
ko:K02316	ctls:L2BAMS4_00841
ko:K02314	ctls:L2BAMS4_p3
ko:K02314	ctls:L2BAMS4_00523
ko:K00287	ctls:L2BAMS4_00643
ko:K03553	ctls:L2BAMS4_00683
ko:K02335	ctls:L2BAMS4_00518
ko:K02032	ctls:L2BAMS4_00728
ko:K00525	ctls:L2BAMS4_00880
ko:K02050	ctls:L2BAMS4_00909
ko:K02051	ctls:L2BAMS4_00909
ko:K01534	ctls:L2BAMS4_00767
ko:K16239	ctls:L2BAMS4_00086
