ko:K18917	cod:Cp106_0615
ko:K00872	cod:Cp106_0817
ko:K03628	cod:Cp106_0821
ko:K02835	cod:Cp106_0822
ko:K02493	cod:Cp106_0823
ko:K02108	cod:Cp106_0827
ko:K02110	cod:Cp106_0828
ko:K02109	cod:Cp106_0829
ko:K02113	cod:Cp106_0830
ko:K02111	cod:Cp106_0831
ko:K02115	cod:Cp106_0832
ko:K02112	cod:Cp106_0833
ko:K02114	cod:Cp106_0834
ko:K05606	cod:Cp106_0837
ko:K05838	cod:Cp106_0839
ko:K02013	cod:Cp106_0842
ko:K03521	cod:Cp106_0845
ko:K03522	cod:Cp106_0846
ko:K04487	cod:Cp106_0847
ko:K00566	cod:Cp106_0849
ko:K01972	cod:Cp106_0852
ko:K02435	cod:Cp106_0855
ko:K02015	cod:Cp106_0861
ko:K02013	cod:Cp106_0862
ko:K02016	cod:Cp106_0863
ko:K02434	cod:Cp106_0865
ko:K05596	cod:Cp106_0868
ko:K01687	cod:Cp106_0871
ko:K02036	cod:Cp106_1668
ko:K02037	cod:Cp106_1670
ko:K02040	cod:Cp106_1671
ko:K06980	cod:Cp106_1677
ko:K01933	cod:Cp106_1679
ko:K00764	cod:Cp106_1680
ko:K11068	cod:Cp106_1684
ko:K01952	cod:Cp106_1685
ko:K01952	cod:Cp106_1686
ko:K01952	cod:Cp106_1687
ko:K00432	cod:Cp106_1688
ko:K01354	cod:Cp106_1689
ko:K01923	cod:Cp106_1691
ko:K01756	cod:Cp106_1692
ko:K01945	cod:Cp106_1695
ko:K00156	cod:Cp106_1705
ko:K00697	cod:Cp106_1710
ko:K03218	cod:Cp106_1714
ko:K01883	cod:Cp106_1715
ko:K01770	cod:Cp106_1716
ko:K00991	cod:Cp106_1717
ko:K07736	cod:Cp106_1718
ko:K02072	cod:Cp106_0425
ko:K02071	cod:Cp106_0426
ko:K02073	cod:Cp106_0427
ko:K02073	cod:Cp106_0428
ko:K03216	cod:Cp106_0435
ko:K01491	cod:Cp106_0436
ko:K00641	cod:Cp106_0439
ko:K02016	cod:Cp106_0442
ko:K02015	cod:Cp106_0443
ko:K02013	cod:Cp106_0444
ko:K00031	cod:Cp106_0447
ko:K01142	cod:Cp106_0450
ko:K01867	cod:Cp106_0452
ko:K07058	cod:Cp106_0453
ko:K00761	cod:Cp106_0459
ko:K00382	cod:Cp106_0463
ko:K06287	cod:Cp106_0473
ko:K02529	cod:Cp106_0475
ko:K03524	cod:Cp106_0479
ko:K02884	cod:Cp106_1299
ko:K06959	cod:Cp106_1300
ko:K00554	cod:Cp106_1303
ko:K02860	cod:Cp106_1304
ko:K02959	cod:Cp106_1306
ko:K03106	cod:Cp106_1307
ko:K00990	cod:Cp106_1308
ko:K04751	cod:Cp106_1309
ko:K03110	cod:Cp106_1310
ko:K01512	cod:Cp106_1313
ko:K03310	cod:Cp106_1314
ko:K03685	cod:Cp106_1316
ko:K07040	cod:Cp106_1317
ko:K00259	cod:Cp106_1320
ko:K00262	cod:Cp106_1321
ko:K00865	cod:Cp106_1322
ko:K00688	cod:Cp106_1326
ko:K00873	cod:Cp106_1328
ko:K01609	cod:Cp106_1330
ko:K02500	cod:Cp106_1333
ko:K02501	cod:Cp106_1336
ko:K01693	cod:Cp106_1339
ko:K00817	cod:Cp106_1340
ko:K00013	cod:Cp106_1341
ko:K04762	cod:Cp106_1351
ko:K03624	cod:Cp106_0705
ko:K00600	cod:Cp106_0712
ko:K03823	cod:Cp106_0718
ko:K03602	cod:Cp106_0724
ko:K03601	cod:Cp106_0725
ko:K03527	cod:Cp106_0726
ko:K06942	cod:Cp106_0729
ko:K06193	cod:Cp106_0732
ko:K09781	cod:Cp106_0736
ko:K00077	cod:Cp106_0737
ko:K06207	cod:Cp106_0751
ko:K01808	cod:Cp106_1567
ko:K06886	cod:Cp106_1571
ko:K09936	cod:Cp106_1572
ko:K07107	cod:Cp106_1574
ko:K09136	cod:Cp106_1584
ko:K06200	cod:Cp106_1588
ko:K14645	cod:Cp106_1590
ko:K07124	cod:Cp106_1592
ko:K13288	cod:Cp106_1593
ko:K01714	cod:Cp106_1594
ko:K08281	cod:Cp106_1597
ko:K03564	cod:Cp106_1600
ko:K00997	cod:Cp106_1602
ko:K00989	cod:Cp106_1614
ko:K01776	cod:Cp106_1616
ko:K06891	cod:Cp106_1619
ko:K05845	cod:Cp106_0101
ko:K03480	cod:Cp106_0124
ko:K00375	cod:Cp106_0129
ko:K06215	cod:Cp106_0131
ko:K08681	cod:Cp106_0132
ko:K00773	cod:Cp106_0137
ko:K00098	cod:Cp106_0141
ko:K09747	cod:Cp106_0147
ko:K06187	cod:Cp106_0148
ko:K08999	cod:Cp106_0980
ko:K03284	cod:Cp106_0989
ko:K03885	cod:Cp106_0991
ko:K00574	cod:Cp106_0992
ko:K03820	cod:Cp106_0999
ko:K07113	cod:Cp106_1000
ko:K02230	cod:Cp106_1001
ko:K02229	cod:Cp106_1002
ko:K06042	cod:Cp106_1003
ko:K05895	cod:Cp106_1005
ko:K05936	cod:Cp106_1006
ko:K03118	cod:Cp106_1011
ko:K03116	cod:Cp106_1012
ko:K01938	cod:Cp106_1023
ko:K01744	cod:Cp106_1024
ko:K07791	cod:Cp106_1025
ko:K00765	cod:Cp106_1026
ko:K06153	cod:Cp106_1032
ko:K03695	cod:Cp106_1832
ko:K03312	cod:Cp106_1835
ko:K02003	cod:Cp106_1840
ko:K03686	cod:Cp106_1851
ko:K03687	cod:Cp106_1852
ko:K04043	cod:Cp106_1853
ko:K03306	cod:Cp106_1863
ko:K02013	cod:Cp106_1869
ko:K02015	cod:Cp106_1870
ko:K02016	cod:Cp106_1871
ko:K03190	cod:Cp106_1872
ko:K03189	cod:Cp106_1873
ko:K03188	cod:Cp106_1874
ko:K03187	cod:Cp106_1875
ko:K01428	cod:Cp106_1876
ko:K01429	cod:Cp106_1877
ko:K01430	cod:Cp106_1878
ko:K14260	cod:Cp106_1881
ko:K04567	cod:Cp106_1883
ko:K00012	cod:Cp106_1887
ko:K03043	cod:Cp106_0314
ko:K03046	cod:Cp106_0315
ko:K07089	cod:Cp106_0322
ko:K04069	cod:Cp106_0323
ko:K02950	cod:Cp106_0326
ko:K02992	cod:Cp106_0327
ko:K02355	cod:Cp106_0328
ko:K02358	cod:Cp106_0329
ko:K02946	cod:Cp106_0336
ko:K02906	cod:Cp106_0337
ko:K02926	cod:Cp106_0338
ko:K02892	cod:Cp106_0339
ko:K02886	cod:Cp106_0340
ko:K02965	cod:Cp106_0341
ko:K02890	cod:Cp106_0342
ko:K02982	cod:Cp106_0343
ko:K02878	cod:Cp106_0344
ko:K02904	cod:Cp106_0345
ko:K02961	cod:Cp106_0346
ko:K02034	cod:Cp106_0349
ko:K02874	cod:Cp106_0353
ko:K02895	cod:Cp106_0354
ko:K02931	cod:Cp106_0355
ko:K03837	cod:Cp106_0356
ko:K01752	cod:Cp106_0357
ko:K02994	cod:Cp106_0361
ko:K02933	cod:Cp106_0362
ko:K02881	cod:Cp106_0363
ko:K02988	cod:Cp106_0364
ko:K02907	cod:Cp106_0365
ko:K07560	cod:Cp106_1193
ko:K04756	cod:Cp106_1200
ko:K04761	cod:Cp106_1202
ko:K03578	cod:Cp106_1204
ko:K07738	cod:Cp106_1205
ko:K01356	cod:Cp106_1207
ko:K14393	cod:Cp106_0597
ko:K03327	cod:Cp106_0602
ko:K01697	cod:Cp106_0603
ko:K01586	cod:Cp106_0604
ko:K02034	cod:Cp106_0609
ko:K03724	cod:Cp106_0619
ko:K01810	cod:Cp106_0623
ko:K03657	cod:Cp106_0626
ko:K11175	cod:Cp106_0630
ko:K00602	cod:Cp106_0631
ko:K10008	cod:Cp106_0632
ko:K10005	cod:Cp106_0633
ko:K10006	cod:Cp106_0634
ko:K10007	cod:Cp106_0635
ko:K01644	cod:Cp106_0636
ko:K02963	cod:Cp106_0639
ko:K02954	cod:Cp106_0640
ko:K02913	cod:Cp106_0641
ko:K02902	cod:Cp106_0642
ko:K02909	cod:Cp106_0643
ko:K02911	cod:Cp106_0644
ko:K00820	cod:Cp106_1470
ko:K01129	cod:Cp106_1473
ko:K01880	cod:Cp106_1478
ko:K00806	cod:Cp106_1483
ko:K03584	cod:Cp106_1484
ko:K00868	cod:Cp106_1486
ko:K07042	cod:Cp106_1488
ko:K09761	cod:Cp106_1490
ko:K03686	cod:Cp106_1491
ko:K03705	cod:Cp106_1492
ko:K00705	cod:Cp106_1496
ko:K01284	cod:Cp106_1499
ko:K03311	cod:Cp106_1506
ko:K07088	cod:Cp106_1511
ko:K00299	cod:Cp106_1216
ko:K03665	cod:Cp106_1218
ko:K01778	cod:Cp106_1221
ko:K00791	cod:Cp106_1222
ko:K06168	cod:Cp106_1227
ko:K03565	cod:Cp106_1228
ko:K03523	cod:Cp106_1231
ko:K00995	cod:Cp106_1237
ko:K09780	cod:Cp106_1238
ko:K03466	cod:Cp106_1241
ko:K01714	cod:Cp106_1244
ko:K07735	cod:Cp106_2050
ko:K03980	cod:Cp106_2054
ko:K03088	cod:Cp106_2055
ko:K00384	cod:Cp106_2056
ko:K03671	cod:Cp106_2057
ko:K01448	cod:Cp106_2058
ko:K03501	cod:Cp106_2062
ko:K03217	cod:Cp106_2063
ko:K08998	cod:Cp106_2064
ko:K03536	cod:Cp106_2065
ko:K02914	cod:Cp106_2066
ko:K02313	cod:Cp106_0001
ko:K02338	cod:Cp106_0002
ko:K03629	cod:Cp106_0003
ko:K02470	cod:Cp106_0005
ko:K02469	cod:Cp106_0009
ko:K02057	cod:Cp106_0015
ko:K02013	cod:Cp106_0025
ko:K02015	cod:Cp106_0026
ko:K02015	cod:Cp106_0027
ko:K02016	cod:Cp106_0028
ko:K02016	cod:Cp106_0040
ko:K01653	cod:Cp106_0876
ko:K00053	cod:Cp106_0877
ko:K00052	cod:Cp106_0882
ko:K01012	cod:Cp106_0891
ko:K01703	cod:Cp106_0894
ko:K01704	cod:Cp106_0895
ko:K00057	cod:Cp106_0898
ko:K01921	cod:Cp106_0899
ko:K00946	cod:Cp106_0901
ko:K03648	cod:Cp106_0902
ko:K03655	cod:Cp106_0904
ko:K00954	cod:Cp106_0907
ko:K07090	cod:Cp106_0908
ko:K02029	cod:Cp106_0911
ko:K02945	cod:Cp106_0916
ko:K00859	cod:Cp106_0919
ko:K03702	cod:Cp106_0921
ko:K04485	cod:Cp106_1724
ko:K01673	cod:Cp106_1726
ko:K03575	cod:Cp106_1727
ko:K03696	cod:Cp106_1730
ko:K04567	cod:Cp106_1736
ko:K02168	cod:Cp106_1741
ko:K01918	cod:Cp106_1743
ko:K00950	cod:Cp106_1747
ko:K01633	cod:Cp106_1748
ko:K00796	cod:Cp106_1749
ko:K01495	cod:Cp106_1750
ko:K03798	cod:Cp106_1751
ko:K00760	cod:Cp106_1752
ko:K04075	cod:Cp106_1753
ko:K07259	cod:Cp106_1754
ko:K11103	cod:Cp106_1757
ko:K04077	cod:Cp106_1766
ko:K05567	cod:Cp106_1772
ko:K05569	cod:Cp106_1774
ko:K01589	cod:Cp106_0481
ko:K01588	cod:Cp106_0482
ko:K01251	cod:Cp106_0503
ko:K00943	cod:Cp106_0504
ko:K03070	cod:Cp106_0510
ko:K06949	cod:Cp106_0516
ko:K00800	cod:Cp106_0517
ko:K03088	cod:Cp106_0520
ko:K03657	cod:Cp106_0531
ko:K03426	cod:Cp106_0533
ko:K03657	cod:Cp106_0534
ko:K07043	cod:Cp106_0536
ko:K01754	cod:Cp106_1354
ko:K02337	cod:Cp106_1355
ko:K05786	cod:Cp106_1356
ko:K06180	cod:Cp106_1358
ko:K03101	cod:Cp106_1359
ko:K02346	cod:Cp106_1363
ko:K01870	cod:Cp106_1364
ko:K02221	cod:Cp106_1368
ko:K09772	cod:Cp106_1369
ko:K05810	cod:Cp106_1370
ko:K03531	cod:Cp106_1371
ko:K03589	cod:Cp106_1372
ko:K01924	cod:Cp106_1373
ko:K02563	cod:Cp106_1374
ko:K03588	cod:Cp106_1375
ko:K01925	cod:Cp106_1376
ko:K01000	cod:Cp106_1377
ko:K01929	cod:Cp106_1378
ko:K01928	cod:Cp106_1379
ko:K03587	cod:Cp106_1380
ko:K03438	cod:Cp106_1382
ko:K03925	cod:Cp106_1383
ko:K00297	cod:Cp106_1389
ko:K01626	cod:Cp106_1394
ko:K00655	cod:Cp106_1397
ko:K01649	cod:Cp106_0159
ko:K05346	cod:Cp106_0160
ko:K00928	cod:Cp106_0170
ko:K00133	cod:Cp106_0172
ko:K03088	cod:Cp106_0173
ko:K03781	cod:Cp106_0174
ko:K02011	cod:Cp106_0179
ko:K02012	cod:Cp106_0180
ko:K02445	cod:Cp106_0181
ko:K05571	cod:Cp106_0184
ko:K05569	cod:Cp106_0186
ko:K05567	cod:Cp106_0188
ko:K09117	cod:Cp106_0193
ko:K10773	cod:Cp106_0201
ko:K06966	cod:Cp106_0764
ko:K00796	cod:Cp106_0765
ko:K00563	cod:Cp106_0769
ko:K01193	cod:Cp106_0770
ko:K01575	cod:Cp106_0771
ko:K00975	cod:Cp106_0773
ko:K03088	cod:Cp106_0775
ko:K03117	cod:Cp106_0777
ko:K00014	cod:Cp106_0785
ko:K00965	cod:Cp106_0792
ko:K00849	cod:Cp106_0793
ko:K05592	cod:Cp106_0794
ko:K00782	cod:Cp106_0810
ko:K03303	cod:Cp106_0813
ko:K01887	cod:Cp106_0814
ko:K00763	cod:Cp106_1620
ko:K01079	cod:Cp106_1623
ko:K02217	cod:Cp106_1631
ko:K02919	cod:Cp106_1636
ko:K06199	cod:Cp106_1647
ko:K06199	cod:Cp106_1648
ko:K02003	cod:Cp106_1650
ko:K00790	cod:Cp106_1652
ko:K01738	cod:Cp106_1655
ko:K00640	cod:Cp106_1656
ko:K06975	cod:Cp106_1657
ko:K00005	cod:Cp106_1658
ko:K00425	cod:Cp106_1660
ko:K00426	cod:Cp106_1661
ko:K02039	cod:Cp106_1666
ko:K05881	cod:Cp106_1040
ko:K05879	cod:Cp106_1041
ko:K05878	cod:Cp106_1042
ko:K01772	cod:Cp106_1056
ko:K01681	cod:Cp106_1059
ko:K01951	cod:Cp106_1061
ko:K07166	cod:Cp106_1062
ko:K09157	cod:Cp106_1063
ko:K11717	cod:Cp106_1070
ko:K09013	cod:Cp106_1071
ko:K09015	cod:Cp106_1072
ko:K09014	cod:Cp106_1073
ko:K02259	cod:Cp106_1078
ko:K00615	cod:Cp106_1080
ko:K00036	cod:Cp106_1082
ko:K01057	cod:Cp106_1084
ko:K03075	cod:Cp106_1085
ko:K01595	cod:Cp106_1086
ko:K01494	cod:Cp106_1888
ko:K01207	cod:Cp106_1891
ko:K03439	cod:Cp106_1900
ko:K01126	cod:Cp106_1922
ko:K02445	cod:Cp106_1923
ko:K02013	cod:Cp106_1925
ko:K02015	cod:Cp106_1926
ko:K02016	cod:Cp106_1927
ko:K01875	cod:Cp106_1931
ko:K03710	cod:Cp106_1932
ko:K02876	cod:Cp106_0366
ko:K03076	cod:Cp106_0375
ko:K02518	cod:Cp106_0380
ko:K02952	cod:Cp106_0381
ko:K02948	cod:Cp106_0382
ko:K02986	cod:Cp106_0383
ko:K03040	cod:Cp106_0384
ko:K02879	cod:Cp106_0385
ko:K06173	cod:Cp106_0386
ko:K03466	cod:Cp106_0391
ko:K02871	cod:Cp106_0395
ko:K02996	cod:Cp106_0396
ko:K03431	cod:Cp106_0397
ko:K01775	cod:Cp106_0402
ko:K06925	cod:Cp106_0403
ko:K07085	cod:Cp106_0404
ko:K03789	cod:Cp106_0407
ko:K04078	cod:Cp106_0409
ko:K04077	cod:Cp106_0410
ko:K03088	cod:Cp106_0412
ko:K01951	cod:Cp106_0418
ko:K00215	cod:Cp106_1246
ko:K00962	cod:Cp106_1247
ko:K02956	cod:Cp106_1248
ko:K11753	cod:Cp106_1250
ko:K02834	cod:Cp106_1256
ko:K02519	cod:Cp106_1257
ko:K07742	cod:Cp106_1258
ko:K02600	cod:Cp106_1259
ko:K09748	cod:Cp106_1260
ko:K09861	cod:Cp106_1263
ko:K02224	cod:Cp106_1268
ko:K13580	cod:Cp106_1270
ko:K00116	cod:Cp106_1272
ko:K02232	cod:Cp106_1276
ko:K01265	cod:Cp106_1277
ko:K00099	cod:Cp106_1281
ko:K00981	cod:Cp106_1285
ko:K02838	cod:Cp106_1286
ko:K09903	cod:Cp106_1287
ko:K02357	cod:Cp106_1288
ko:K02967	cod:Cp106_1289
ko:K03733	cod:Cp106_1291
ko:K04096	cod:Cp106_1292
ko:K07391	cod:Cp106_1293
ko:K07460	cod:Cp106_1295
ko:K03470	cod:Cp106_1297
ko:K03100	cod:Cp106_1298
ko:K03282	cod:Cp106_0651
ko:K00963	cod:Cp106_0654
ko:K03750	cod:Cp106_0655
ko:K15977	cod:Cp106_0658
ko:K07056	cod:Cp106_0664
ko:K01874	cod:Cp106_0665
ko:K03424	cod:Cp106_0666
ko:K02528	cod:Cp106_0668
ko:K00919	cod:Cp106_0669
ko:K03811	cod:Cp106_0674
ko:K00134	cod:Cp106_0678
ko:K02837	cod:Cp106_0681
ko:K01056	cod:Cp106_0683
ko:K00459	cod:Cp106_0684
ko:K01056	cod:Cp106_0686
ko:K02897	cod:Cp106_0687
ko:K00948	cod:Cp106_0689
ko:K04042	cod:Cp106_0690
ko:K03723	cod:Cp106_0694
ko:K03758	cod:Cp106_0695
ko:K01689	cod:Cp106_0698
ko:K01524	cod:Cp106_0701
ko:K02034	cod:Cp106_1514
ko:K06997	cod:Cp106_1518
ko:K07112	cod:Cp106_1519
ko:K03596	cod:Cp106_1527
ko:K02968	cod:Cp106_1529
ko:K02340	cod:Cp106_1532
ko:K02237	cod:Cp106_1535
ko:K09710	cod:Cp106_1538
ko:K00969	cod:Cp106_1539
ko:K00147	cod:Cp106_1540
ko:K07085	cod:Cp106_1542
ko:K00931	cod:Cp106_1543
ko:K03979	cod:Cp106_1544
ko:K02899	cod:Cp106_1545
ko:K02888	cod:Cp106_1546
ko:K00940	cod:Cp106_1550
ko:K11754	cod:Cp106_1553
ko:K01873	cod:Cp106_1554
ko:K00024	cod:Cp106_1555
ko:K03544	cod:Cp106_1558
ko:K13950	cod:Cp106_1559
ko:K01358	cod:Cp106_1560
ko:K01358	cod:Cp106_1561
ko:K03545	cod:Cp106_1562
ko:K06911	cod:Cp106_1566
ko:K05343	cod:Cp106_0044
ko:K03088	cod:Cp106_0051
ko:K05846	cod:Cp106_0055
ko:K05846	cod:Cp106_0056
ko:K05847	cod:Cp106_0057
ko:K01012	cod:Cp106_0060
ko:K01241	cod:Cp106_0064
ko:K01858	cod:Cp106_0067
ko:K06966	cod:Cp106_0075
ko:K07090	cod:Cp106_0082
ko:K03579	cod:Cp106_0085
ko:K03919	cod:Cp106_0086
ko:K01246	cod:Cp106_0087
ko:K06996	cod:Cp106_0091
ko:K00864	cod:Cp106_0095
ko:K02440	cod:Cp106_0096
ko:K14232	cod:Cp106_t48
ko:K14232	cod:Cp106_t44
ko:K18955	cod:Cp106_0494
ko:K02283	cod:Cp106_0211
ko:K12510	cod:Cp106_0212
ko:K03704	cod:Cp106_0218
ko:K03168	cod:Cp106_0219
ko:K02341	cod:Cp106_0222
ko:K00973	cod:Cp106_0226
ko:K00382	cod:Cp106_0234
ko:K07110	cod:Cp106_0235
ko:K00239	cod:Cp106_0237
ko:K00240	cod:Cp106_0238
ko:K04069	cod:Cp106_0243
ko:K00656	cod:Cp106_0245
ko:K00075	cod:Cp106_0248
ko:K01524	cod:Cp106_0255
ko:K00286	cod:Cp106_0257
ko:K01803	cod:Cp106_1087
ko:K00927	cod:Cp106_1088
ko:K00134	cod:Cp106_1089
ko:K06958	cod:Cp106_1092
ko:K03703	cod:Cp106_1093
ko:K00794	cod:Cp106_1095
ko:K14652	cod:Cp106_1096
ko:K00793	cod:Cp106_1097
ko:K11752	cod:Cp106_1098
ko:K01783	cod:Cp106_1099
ko:K03500	cod:Cp106_1100
ko:K00604	cod:Cp106_1101
ko:K01462	cod:Cp106_1102
ko:K04066	cod:Cp106_1103
ko:K00789	cod:Cp106_1104
ko:K13038	cod:Cp106_1105
ko:K03060	cod:Cp106_1106
ko:K00942	cod:Cp106_1107
ko:K01591	cod:Cp106_1110
ko:K01955	cod:Cp106_1111
ko:K01956	cod:Cp106_1112
ko:K01465	cod:Cp106_1113
ko:K00609	cod:Cp106_1114
ko:K02825	cod:Cp106_1115
ko:K07071	cod:Cp106_1116
ko:K03625	cod:Cp106_1118
ko:K02356	cod:Cp106_1119
ko:K03786	cod:Cp106_1121
ko:K01735	cod:Cp106_1122
ko:K00891	cod:Cp106_1123
ko:K01736	cod:Cp106_1124
ko:K02654	cod:Cp106_1125
ko:K00014	cod:Cp106_1126
ko:K07082	cod:Cp106_1127
ko:K07447	cod:Cp106_1128
ko:K01872	cod:Cp106_1130
ko:K07478	cod:Cp106_1131
ko:K01876	cod:Cp106_1133
ko:K01421	cod:Cp106_1136
ko:K03310	cod:Cp106_1942
ko:K01126	cod:Cp106_1944
ko:K04564	cod:Cp106_1950
ko:K08224	cod:Cp106_1952
ko:K07146	cod:Cp106_1963
ko:K03217	cod:Cp106_1966
ko:K09125	cod:Cp106_1968
ko:K08369	cod:Cp106_1981
ko:K02939	cod:Cp106_1986
ko:K02990	cod:Cp106_1988
ko:K01840	cod:Cp106_0164
ko:K01840	cod:Cp106_0461
ko:K07009	cod:Cp106_0155
ko:K02342	cod:Cp106_0157
ko:K03784	cod:Cp106_0161
ko:K01619	cod:Cp106_0163
ko:K07657	cod:Cp106_0182
ko:K05570	cod:Cp106_0185
ko:K05568	cod:Cp106_0187
ko:K06910	cod:Cp106_1039
ko:K07588	cod:Cp106_1046
ko:K01847	cod:Cp106_1048
ko:K01847	cod:Cp106_1049
ko:K04488	cod:Cp106_1069
ko:K14339	cod:Cp106_1075
ko:K00616	cod:Cp106_1081
ko:K00135	cod:Cp106_1889
ko:K01596	cod:Cp106_1899
ko:K06860	cod:Cp106_1901
ko:K12437	cod:Cp106_1908
ko:K12428	cod:Cp106_1909
ko:K13687	cod:Cp106_1915
ko:K14136	cod:Cp106_1916
ko:K01854	cod:Cp106_1924
ko:K04518	cod:Cp106_1936
