ko:K14224	cjy:QZ67_02024
ko:K00332	cjy:QZ67_01700
ko:K00331	cjy:QZ67_01701
ko:K00330	cjy:QZ67_01702
ko:K02034	cjy:QZ67_01705
ko:K03559	cjy:QZ67_01759
ko:K03832	cjy:QZ67_01760
ko:K00566	cjy:QZ67_01762
ko:K01736	cjy:QZ67_01763
ko:K03685	cjy:QZ67_01764
ko:K03469	cjy:QZ67_01765
ko:K01928	cjy:QZ67_01770
ko:K09747	cjy:QZ67_01771
ko:K00795	cjy:QZ67_01773
ko:K00615	cjy:QZ67_01775
ko:K02066	cjy:QZ67_01776
ko:K02065	cjy:QZ67_01777
ko:K02067	cjy:QZ67_01778
ko:K18480	cjy:QZ67_01779
ko:K01265	cjy:QZ67_01781
ko:K01776	cjy:QZ67_01782
ko:K03313	cjy:QZ67_01784
ko:K03313	cjy:QZ67_01785
ko:K07243	cjy:QZ67_01787
ko:K07230	cjy:QZ67_01788
ko:K02004	cjy:QZ67_01791
ko:K02004	cjy:QZ67_01792
ko:K02004	cjy:QZ67_01793
ko:K02003	cjy:QZ67_01794
ko:K01689	cjy:QZ67_01807
ko:K11785	cjy:QZ67_01809
ko:K02420	cjy:QZ67_01810
ko:K00075	cjy:QZ67_01811
ko:K01740	cjy:QZ67_01867
ko:K02390	cjy:QZ67_01868
ko:K01159	cjy:QZ67_01869
ko:K00791	cjy:QZ67_00241
ko:K03179	cjy:QZ67_00242
ko:K03639	cjy:QZ67_00246
ko:K01737	cjy:QZ67_00248
ko:K09761	cjy:QZ67_00251
ko:K02909	cjy:QZ67_00252
ko:K07056	cjy:QZ67_00253
ko:K03218	cjy:QZ67_00254
ko:K14261	cjy:QZ67_00257
ko:K00003	cjy:QZ67_00258
ko:K07460	cjy:QZ67_00259
ko:K03671	cjy:QZ67_00260
ko:K00384	cjy:QZ67_00261
ko:K07093	cjy:QZ67_00262
ko:K03406	cjy:QZ67_00263
ko:K07238	cjy:QZ67_00264
ko:K07812	cjy:QZ67_00265
ko:K03532	cjy:QZ67_00266
ko:K00826	cjy:QZ67_00270
ko:K01821	cjy:QZ67_00271
ko:K03564	cjy:QZ67_00272
ko:K09765	cjy:QZ67_00273
ko:K02372	cjy:QZ67_00274
ko:K00677	cjy:QZ67_00275
ko:K03544	cjy:QZ67_00276
ko:K03569	cjy:QZ67_00277
ko:K03570	cjy:QZ67_00278
ko:K01955	cjy:QZ67_00279
ko:K00616	cjy:QZ67_00281
ko:K01079	cjy:QZ67_00282
ko:K03408	cjy:QZ67_00283
ko:K03407	cjy:QZ67_00284
ko:K03415	cjy:QZ67_00285
ko:K03269	cjy:QZ67_00286
ko:K03624	cjy:QZ67_00287
ko:K00748	cjy:QZ67_00288
ko:K11382	cjy:QZ67_00290
ko:K11382	cjy:QZ67_00291
ko:K03787	cjy:QZ67_00293
ko:K03830	cjy:QZ67_00295
ko:K01579	cjy:QZ67_00296
ko:K01918	cjy:QZ67_00297
ko:K00606	cjy:QZ67_00298
ko:K02017	cjy:QZ67_00300
ko:K02018	cjy:QZ67_00301
ko:K02020	cjy:QZ67_00303
ko:K02169	cjy:QZ67_00304
ko:K09789	cjy:QZ67_00305
ko:K00652	cjy:QZ67_00306
ko:K00833	cjy:QZ67_00307
ko:K01935	cjy:QZ67_00308
ko:K18925	cjy:QZ67_00309
ko:K18924	cjy:QZ67_00310
ko:K02897	cjy:QZ67_00311
ko:K01056	cjy:QZ67_00312
ko:K11720	cjy:QZ67_00313
ko:K01586	cjy:QZ67_00314
ko:K02566	cjy:QZ67_00315
ko:K14170	cjy:QZ67_00316
ko:K00817	cjy:QZ67_00317
ko:K02409	cjy:QZ67_00318
ko:K02410	cjy:QZ67_00319
ko:K02411	cjy:QZ67_00320
ko:K01662	cjy:QZ67_00321
ko:K09825	cjy:QZ67_00322
ko:K03183	cjy:QZ67_00324
ko:K03601	cjy:QZ67_00325
ko:K00831	cjy:QZ67_00326
ko:K00648	cjy:QZ67_00328
ko:K00648	cjy:QZ67_00329
ko:K03621	cjy:QZ67_00330
ko:K02911	cjy:QZ67_00331
ko:K00940	cjy:QZ67_00333
ko:K03386	cjy:QZ67_00335
ko:K02401	cjy:QZ67_00336
ko:K02557	cjy:QZ67_00337
ko:K02556	cjy:QZ67_00338
ko:K08173	cjy:QZ67_00340
ko:K03701	cjy:QZ67_00346
ko:K07090	cjy:QZ67_00347
ko:K01657	cjy:QZ67_00348
ko:K13497	cjy:QZ67_00349
ko:K01817	cjy:QZ67_00350
ko:K01696	cjy:QZ67_00351
ko:K01695	cjy:QZ67_00352
ko:K02417	cjy:QZ67_00354
ko:K01524	cjy:QZ67_00356
ko:K01633	cjy:QZ67_00359
ko:K08591	cjy:QZ67_00360
ko:K00428	cjy:QZ67_00361
ko:K03431	cjy:QZ67_00362
ko:K03101	cjy:QZ67_00363
ko:K08973	cjy:QZ67_00364
ko:K18139	cjy:QZ67_00367
ko:K18138	cjy:QZ67_00368
ko:K03585	cjy:QZ67_00369
ko:K18992	cjy:QZ67_00370
ko:K02970	cjy:QZ67_00372
ko:K09767	cjy:QZ67_00376
ko:K17247	cjy:QZ67_00380
ko:K01591	cjy:QZ67_00383
ko:K03625	cjy:QZ67_00384
ko:K00794	cjy:QZ67_00385
ko:K01627	cjy:QZ67_00386
ko:K03977	cjy:QZ67_00388
ko:K00891	cjy:QZ67_00389
ko:K01867	cjy:QZ67_00390
ko:K01875	cjy:QZ67_00391
ko:K00873	cjy:QZ67_00394
ko:K00116	cjy:QZ67_00395
ko:K03525	cjy:QZ67_00396
ko:K02435	cjy:QZ67_00400
ko:K03558	cjy:QZ67_00401
ko:K03711	cjy:QZ67_00402
ko:K04567	cjy:QZ67_00403
ko:K00600	cjy:QZ67_00404
ko:K03749	cjy:QZ67_00406
ko:K03749	cjy:QZ67_00407
ko:K00014	cjy:QZ67_00408
ko:K13292	cjy:QZ67_00410
ko:K00246	cjy:QZ67_00411
ko:K00244	cjy:QZ67_00412
ko:K00245	cjy:QZ67_00413
ko:K07126	cjy:QZ67_00416
ko:K06152	cjy:QZ67_00417
ko:K06151	cjy:QZ67_00418
ko:K01925	cjy:QZ67_00437
ko:K01000	cjy:QZ67_00438
ko:K15633	cjy:QZ67_00439
ko:K00059	cjy:QZ67_00440
ko:K00239	cjy:QZ67_00442
ko:K00240	cjy:QZ67_00443
ko:K00241	cjy:QZ67_00444
ko:K03707	cjy:QZ67_00445
ko:K02078	cjy:QZ67_00446
ko:K09458	cjy:QZ67_00447
ko:K09458	cjy:QZ67_00448
ko:K01962	cjy:QZ67_00449
ko:K16089	cjy:QZ67_00450
ko:K16089	cjy:QZ67_00452
ko:K08077	cjy:QZ67_00453
ko:K09794	cjy:QZ67_00455
ko:K02902	cjy:QZ67_00456
ko:K01783	cjy:QZ67_00457
ko:K02342	cjy:QZ67_00458
ko:K03147	cjy:QZ67_00459
ko:K09778	cjy:QZ67_00463
ko:K06168	cjy:QZ67_00464
ko:K02600	cjy:QZ67_00466
ko:K11784	cjy:QZ67_00468
ko:K03655	cjy:QZ67_00470
ko:K06886	cjy:QZ67_00471
ko:K02029	cjy:QZ67_00473
ko:K02029	cjy:QZ67_00474
ko:K02028	cjy:QZ67_00475
ko:K02358	cjy:QZ67_00480
ko:K02913	cjy:QZ67_00481
ko:K03073	cjy:QZ67_00483
ko:K02601	cjy:QZ67_00484
ko:K02867	cjy:QZ67_00485
ko:K02863	cjy:QZ67_00486
ko:K02864	cjy:QZ67_00487
ko:K02935	cjy:QZ67_00488
ko:K03043	cjy:QZ67_00489
ko:K01714	cjy:QZ67_00492
ko:K16849	cjy:QZ67_00493
ko:K16850	cjy:QZ67_00494
ko:K18333	cjy:QZ67_00496
ko:K02429	cjy:QZ67_00497
ko:K03534	cjy:QZ67_00499
ko:K07248	cjy:QZ67_00500
ko:K02950	cjy:QZ67_00501
ko:K02992	cjy:QZ67_00502
ko:K02355	cjy:QZ67_00503
ko:K02355	cjy:QZ67_00504
ko:K07097	cjy:QZ67_00944
ko:K06940	cjy:QZ67_00507
ko:K01609	cjy:QZ67_00509
ko:K06917	cjy:QZ67_00511
ko:K03320	cjy:QZ67_00512
ko:K01772	cjy:QZ67_00513
ko:K13017	cjy:QZ67_00515
ko:K01872	cjy:QZ67_00516
ko:K06287	cjy:QZ67_00517
ko:K05366	cjy:QZ67_00518
ko:K03695	cjy:QZ67_00519
ko:K03695	cjy:QZ67_00520
ko:K03797	cjy:QZ67_00522
ko:K01923	cjy:QZ67_00523
ko:K01952	cjy:QZ67_00524
ko:K01952	cjy:QZ67_00525
ko:K00655	cjy:QZ67_00527
ko:K06199	cjy:QZ67_00528
ko:K04079	cjy:QZ67_00529
ko:K03324	cjy:QZ67_00532
ko:K03324	cjy:QZ67_00534
ko:K03587	cjy:QZ67_00535
ko:K02408	cjy:QZ67_00536
ko:K02388	cjy:QZ67_00537
ko:K02387	cjy:QZ67_00538
ko:K07082	cjy:QZ67_00539
ko:K00031	cjy:QZ67_00541
ko:K00024	cjy:QZ67_00542
ko:K01903	cjy:QZ67_00543
ko:K01902	cjy:QZ67_00544
ko:K00176	cjy:QZ67_00545
ko:K00174	cjy:QZ67_00546
ko:K00175	cjy:QZ67_00547
ko:K00177	cjy:QZ67_00548
ko:K02523	cjy:QZ67_00551
ko:K02492	cjy:QZ67_00552
ko:K01881	cjy:QZ67_00553
ko:K01649	cjy:QZ67_00554
ko:K01749	cjy:QZ67_00555
ko:K03182	cjy:QZ67_00556
ko:K06603	cjy:QZ67_00557
ko:K02407	cjy:QZ67_00558
ko:K02422	cjy:QZ67_00559
ko:K02356	cjy:QZ67_00561
ko:K00147	cjy:QZ67_00568
ko:K00384	cjy:QZ67_00569
ko:K14652	cjy:QZ67_00586
ko:K09117	cjy:QZ67_00587
ko:K01652	cjy:QZ67_00588
ko:K01653	cjy:QZ67_00589
ko:K02536	cjy:QZ67_00590
ko:K07568	cjy:QZ67_00591
ko:K03118	cjy:QZ67_00592
ko:K03117	cjy:QZ67_00593
ko:K08311	cjy:QZ67_00595
ko:K00928	cjy:QZ67_00596
ko:K02341	cjy:QZ67_00598
ko:K00796	cjy:QZ67_00599
ko:K01972	cjy:QZ67_00600
ko:K06442	cjy:QZ67_00603
ko:K11753	cjy:QZ67_00604
ko:K15256	cjy:QZ67_00605
ko:K01173	cjy:QZ67_00609
ko:K10773	cjy:QZ67_00610
ko:K01624	cjy:QZ67_00612
ko:K03978	cjy:QZ67_00666
ko:K05515	cjy:QZ67_00668
ko:K01262	cjy:QZ67_00669
ko:K03305	cjy:QZ67_00670
ko:K03305	cjy:QZ67_00672
ko:K03667	cjy:QZ67_00676
ko:K01419	cjy:QZ67_00677
ko:K02939	cjy:QZ67_00678
ko:K01940	cjy:QZ67_00679
ko:K06925	cjy:QZ67_00681
ko:K06861	cjy:QZ67_00682
ko:K03092	cjy:QZ67_00683
ko:K02990	cjy:QZ67_01144
ko:K03111	cjy:QZ67_01145
ko:K02963	cjy:QZ67_01146
ko:K01338	cjy:QZ67_01147
ko:K05807	cjy:QZ67_01148
ko:K13626	cjy:QZ67_01149
ko:K00286	cjy:QZ67_01150
ko:K01719	cjy:QZ67_01154
ko:K00788	cjy:QZ67_01155
ko:K00941	cjy:QZ67_01156
ko:K07457	cjy:QZ67_01157
ko:K06923	cjy:QZ67_01158
ko:K03723	cjy:QZ67_01159
ko:K11754	cjy:QZ67_01162
ko:K01869	cjy:QZ67_01165
ko:K03074	cjy:QZ67_01166
ko:K03072	cjy:QZ67_01167
ko:K03820	cjy:QZ67_01168
ko:K03820	cjy:QZ67_01169
ko:K00789	cjy:QZ67_01170
ko:K07862	cjy:QZ67_01171
ko:K00609	cjy:QZ67_01173
ko:K08602	cjy:QZ67_01174
ko:K03657	cjy:QZ67_01176
ko:K03177	cjy:QZ67_01177
ko:K03563	cjy:QZ67_01178
ko:K00919	cjy:QZ67_01179
ko:K03664	cjy:QZ67_01180
ko:K06891	cjy:QZ67_01183
ko:K03694	cjy:QZ67_01184
ko:K07792	cjy:QZ67_00684
ko:K01546	cjy:QZ67_00685
ko:K01546	cjy:QZ67_00686
ko:K01546	cjy:QZ67_00687
ko:K01547	cjy:QZ67_00688
ko:K01547	cjy:QZ67_00689
ko:K01548	cjy:QZ67_00690
ko:K07646	cjy:QZ67_00691
ko:K03702	cjy:QZ67_00692
ko:K02456	cjy:QZ67_00695
ko:K04066	cjy:QZ67_00696
ko:K03526	cjy:QZ67_00699
ko:K02393	cjy:QZ67_00700
ko:K13788	cjy:QZ67_00701
ko:K00925	cjy:QZ67_00702
ko:K03438	cjy:QZ67_00706
ko:K03770	cjy:QZ67_00707
ko:K03590	cjy:QZ67_00708
ko:K03531	cjy:QZ67_00709
ko:K02392	cjy:QZ67_00710
ko:K02392	cjy:QZ67_00711
ko:K01915	cjy:QZ67_00712
ko:K08303	cjy:QZ67_00714
ko:K01588	cjy:QZ67_00715
ko:K01878	cjy:QZ67_00717
ko:K07164	cjy:QZ67_00719
ko:K03694	cjy:QZ67_01185
ko:K00684	cjy:QZ67_01186
ko:K03406	cjy:QZ67_01187
ko:K05595	cjy:QZ67_01188
ko:K07305	cjy:QZ67_01189
ko:K17103	cjy:QZ67_01191
ko:K01613	cjy:QZ67_01192
ko:K03798	cjy:QZ67_01193
ko:K02687	cjy:QZ67_01194
ko:K03413	cjy:QZ67_01195
ko:K00793	cjy:QZ67_01293
ko:K04078	cjy:QZ67_01295
ko:K04077	cjy:QZ67_01296
ko:K02484	cjy:QZ67_01297
ko:K02484	cjy:QZ67_01302
ko:K05516	cjy:QZ67_01305
ko:K13640	cjy:QZ67_01306
ko:K03455	cjy:QZ67_01307
ko:K01091	cjy:QZ67_01309
ko:K01879	cjy:QZ67_01310
ko:K01524	cjy:QZ67_01313
ko:K03474	cjy:QZ67_01314
ko:K00097	cjy:QZ67_01315
ko:K00097	cjy:QZ67_01316
ko:K01599	cjy:QZ67_01320
ko:K03703	cjy:QZ67_01323
ko:K01951	cjy:QZ67_01325
ko:K01945	cjy:QZ67_01327
ko:K04744	cjy:QZ67_01329
ko:K00962	cjy:QZ67_01330
ko:K00962	cjy:QZ67_01331
ko:K01821	cjy:QZ67_01333
ko:K01104	cjy:QZ67_01337
ko:K03686	cjy:QZ67_01339
ko:K02484	cjy:QZ67_01341
ko:K06187	cjy:QZ67_01342
ko:K03605	cjy:QZ67_01343
ko:K03620	cjy:QZ67_01344
ko:K07171	cjy:QZ67_01412
ko:K03498	cjy:QZ67_01418
ko:K03499	cjy:QZ67_01419
ko:K11782	cjy:QZ67_01420
ko:K00761	cjy:QZ67_01421
ko:K00029	cjy:QZ67_01422
ko:K01885	cjy:QZ67_01423
ko:K01961	cjy:QZ67_01425
ko:K02160	cjy:QZ67_01426
ko:K01494	cjy:QZ67_01427
ko:K15894	cjy:QZ67_01428
ko:K15895	cjy:QZ67_01429
ko:K00662	cjy:QZ67_01431
ko:K00662	cjy:QZ67_01432
ko:K00648	cjy:QZ67_01437
ko:K15897	cjy:QZ67_01447
ko:K15896	cjy:QZ67_01448
ko:K02500	cjy:QZ67_01449
ko:K02501	cjy:QZ67_01450
ko:K02527	cjy:QZ67_00720
ko:K06180	cjy:QZ67_00721
ko:K03106	cjy:QZ67_00722
ko:K02959	cjy:QZ67_00723
ko:K06960	cjy:QZ67_00724
ko:K02860	cjy:QZ67_00725
ko:K00554	cjy:QZ67_00726
ko:K02884	cjy:QZ67_00727
ko:K07127	cjy:QZ67_00728
ko:K01626	cjy:QZ67_00729
ko:K02337	cjy:QZ67_00731
ko:K06997	cjy:QZ67_00732
ko:K02406	cjy:QZ67_00733
ko:K02493	cjy:QZ67_00735
ko:K06013	cjy:QZ67_00736
ko:K03831	cjy:QZ67_00738
ko:K03284	cjy:QZ67_00739
ko:K02055	cjy:QZ67_00740
ko:K02054	cjy:QZ67_00743
ko:K02053	cjy:QZ67_00744
ko:K02052	cjy:QZ67_00745
ko:K02030	cjy:QZ67_00747
ko:K01150	cjy:QZ67_00791
ko:K03832	cjy:QZ67_00821
ko:K16089	cjy:QZ67_00822
ko:K03705	cjy:QZ67_00823
ko:K03687	cjy:QZ67_00824
ko:K04043	cjy:QZ67_00825
ko:K00812	cjy:QZ67_00828
ko:K00640	cjy:QZ67_00829
ko:K01585	cjy:QZ67_00830
ko:K01892	cjy:QZ67_00831
ko:K00943	cjy:QZ67_00832
ko:K00954	cjy:QZ67_00833
ko:K03186	cjy:QZ67_00834
ko:K02386	cjy:QZ67_00835
ko:K02073	cjy:QZ67_00836
ko:K02073	cjy:QZ67_00837
ko:K02073	cjy:QZ67_00838
ko:K02072	cjy:QZ67_00839
ko:K02071	cjy:QZ67_00840
ko:K01873	cjy:QZ67_00841
ko:K03657	cjy:QZ67_00844
ko:K11065	cjy:QZ67_00846
ko:K02567	cjy:QZ67_00847
ko:K02573	cjy:QZ67_00848
ko:K02574	cjy:QZ67_00849
ko:K02568	cjy:QZ67_00850
ko:K02570	cjy:QZ67_00852
ko:K00974	cjy:QZ67_00856
ko:K01433	cjy:QZ67_00857
ko:K06921	cjy:QZ67_00860
ko:K01929	cjy:QZ67_00863
ko:K01921	cjy:QZ67_00866
ko:K03550	cjy:QZ67_00867
ko:K03980	cjy:QZ67_00869
ko:K01883	cjy:QZ67_00870
ko:K11085	cjy:QZ67_00871
ko:K00254	cjy:QZ67_00872
ko:K01714	cjy:QZ67_00874
ko:K00076	cjy:QZ67_00875
ko:K01916	cjy:QZ67_00878
ko:K00912	cjy:QZ67_00879
ko:K01733	cjy:QZ67_00880
ko:K00979	cjy:QZ67_00881
ko:K02030	cjy:QZ67_00884
ko:K02419	cjy:QZ67_00886
ko:K04042	cjy:QZ67_00887
ko:K13038	cjy:QZ67_00888
ko:K00806	cjy:QZ67_00890
ko:K02654	cjy:QZ67_00891
ko:K07091	cjy:QZ67_00893
ko:K06173	cjy:QZ67_00894
ko:K01754	cjy:QZ67_00895
ko:K01754	cjy:QZ67_00896
ko:K06929	cjy:QZ67_00897
ko:K09943	cjy:QZ67_00898
ko:K00557	cjy:QZ67_00899
ko:K01682	cjy:QZ67_00903
ko:K00567	cjy:QZ67_00904
ko:K01772	cjy:QZ67_00905
ko:K01874	cjy:QZ67_00906
ko:K03841	cjy:QZ67_00908
ko:K03753	cjy:QZ67_00909
ko:K08309	cjy:QZ67_00911
ko:K02221	cjy:QZ67_00912
ko:K01885	cjy:QZ67_00913
ko:K07098	cjy:QZ67_00914
ko:K01613	cjy:QZ67_00915
ko:K04061	cjy:QZ67_00916
ko:K01845	cjy:QZ67_00922
ko:K01491	cjy:QZ67_00924
ko:K03100	cjy:QZ67_00925
ko:K03750	cjy:QZ67_00926
ko:K00790	cjy:QZ67_00927
ko:K01664	cjy:QZ67_00929
ko:K03342	cjy:QZ67_00930
ko:K04763	cjy:QZ67_00931
ko:K03673	cjy:QZ67_00932
ko:K03611	cjy:QZ67_00933
ko:K03673	cjy:QZ67_00938
ko:K02400	cjy:QZ67_00945
ko:K02956	cjy:QZ67_00947
ko:K03466	cjy:QZ67_00948
ko:K03466	cjy:QZ67_00949
ko:K02397	cjy:QZ67_00950
ko:K15738	cjy:QZ67_00953
ko:K00058	cjy:QZ67_00956
ko:K02945	cjy:QZ67_00958
ko:K03527	cjy:QZ67_00959
ko:K00800	cjy:QZ67_00960
ko:K01890	cjy:QZ67_00961
ko:K01889	cjy:QZ67_00962
ko:K02503	cjy:QZ67_00963
ko:K03152	cjy:QZ67_00964
ko:K02029	cjy:QZ67_00966
ko:K02028	cjy:QZ67_00967
ko:K03310	cjy:QZ67_00968
ko:K03216	cjy:QZ67_00969
ko:K01775	cjy:QZ67_00970
ko:K07152	cjy:QZ67_00975
ko:K01738	cjy:QZ67_00976
ko:K03530	cjy:QZ67_00977
ko:K10806	cjy:QZ67_00981
ko:K06200	cjy:QZ67_00983
ko:K00948	cjy:QZ67_00984
ko:K10040	cjy:QZ67_00985
ko:K10040	cjy:QZ67_00986
ko:K10039	cjy:QZ67_00987
ko:K07107	cjy:QZ67_01043
ko:K15257	cjy:QZ67_01050
ko:K01270	cjy:QZ67_01054
ko:K02030	cjy:QZ67_01056
ko:K09861	cjy:QZ67_01058
ko:K00611	cjy:QZ67_01066
ko:K01698	cjy:QZ67_01067
ko:K01497	cjy:QZ67_01068
ko:K03501	cjy:QZ67_01069
ko:K03086	cjy:QZ67_01073
ko:K08296	cjy:QZ67_01074
ko:K01735	cjy:QZ67_01080
ko:K09944	cjy:QZ67_01081
ko:K00773	cjy:QZ67_01082
ko:K01996	cjy:QZ67_01087
ko:K01995	cjy:QZ67_01088
ko:K01998	cjy:QZ67_01089
ko:K01997	cjy:QZ67_01090
ko:K01999	cjy:QZ67_01091
ko:K01999	cjy:QZ67_01092
ko:K15912	cjy:QZ67_01197
ko:K15910	cjy:QZ67_01198
ko:K15913	cjy:QZ67_01200
ko:K15914	cjy:QZ67_01202
ko:K17251	cjy:QZ67_01203
ko:K17251	cjy:QZ67_01204
ko:K17248	cjy:QZ67_01205
ko:K17249	cjy:QZ67_01207
ko:K01784	cjy:QZ67_01209
ko:K07501	cjy:QZ67_01210
ko:K02841	cjy:QZ67_01211
ko:K02517	cjy:QZ67_01212
ko:K08068	cjy:QZ67_01220
ko:K02843	cjy:QZ67_01225
ko:K03271	cjy:QZ67_01226
ko:K03272	cjy:QZ67_01227
ko:K03274	cjy:QZ67_01228
ko:K03273	cjy:QZ67_01229
ko:K08738	cjy:QZ67_01230
ko:K17686	cjy:QZ67_01232
ko:K03628	cjy:QZ67_01233
ko:K02343	cjy:QZ67_01234
ko:K00316	cjy:QZ67_01235
ko:K01533	cjy:QZ67_01236
ko:K16264	cjy:QZ67_01238
ko:K09981	cjy:QZ67_01239
ko:K15898	cjy:QZ67_01452
ko:K18430	cjy:QZ67_01463
ko:K18429	cjy:QZ67_01464
ko:K02406	cjy:QZ67_01473
ko:K02406	cjy:QZ67_01474
ko:K02456	cjy:QZ67_01479
ko:K01409	cjy:QZ67_01480
ko:K00099	cjy:QZ67_01482
ko:K00981	cjy:QZ67_01483
ko:K03752	cjy:QZ67_01486
ko:K01058	cjy:QZ67_01487
ko:K02015	cjy:QZ67_01488
ko:K02015	cjy:QZ67_01489
ko:K02013	cjy:QZ67_01490
ko:K02016	cjy:QZ67_01491
ko:K03385	cjy:QZ67_01494
ko:K15876	cjy:QZ67_01495
ko:K00937	cjy:QZ67_01496
ko:K03407	cjy:QZ67_01498
ko:K03551	cjy:QZ67_01499
ko:K01679	cjy:QZ67_01501
ko:K00820	cjy:QZ67_01503
ko:K00990	cjy:QZ67_01504
ko:K02313	cjy:QZ67_00001
ko:K02338	cjy:QZ67_00002
ko:K02470	cjy:QZ67_00003
ko:K07084	cjy:QZ67_00006
ko:K00265	cjy:QZ67_00007
ko:K00266	cjy:QZ67_00008
ko:K03470	cjy:QZ67_00009
ko:K02237	cjy:QZ67_00010
ko:K01687	cjy:QZ67_00012
ko:K01687	cjy:QZ67_00013
ko:K08996	cjy:QZ67_00014
ko:K07023	cjy:QZ67_00015
ko:K06920	cjy:QZ67_00016
ko:K03406	cjy:QZ67_00020
ko:K00428	cjy:QZ67_00021
ko:K06180	cjy:QZ67_00023
ko:K01756	cjy:QZ67_00024
ko:K06956	cjy:QZ67_00027
ko:K01937	cjy:QZ67_00029
ko:K07462	cjy:QZ67_00030
ko:K01424	cjy:QZ67_00031
ko:K09797	cjy:QZ67_00039
ko:K07552	cjy:QZ67_00040
ko:K06207	cjy:QZ67_00044
ko:K02389	cjy:QZ67_00047
ko:K02390	cjy:QZ67_00048
ko:K03319	cjy:QZ67_00053
ko:K00566	cjy:QZ67_00057
ko:K06966	cjy:QZ67_00058
ko:K06992	cjy:QZ67_00064
ko:K02417	cjy:QZ67_00065
ko:K02417	cjy:QZ67_00066
ko:K02416	cjy:QZ67_00067
ko:K02405	cjy:QZ67_00068
ko:K04562	cjy:QZ67_00070
ko:K02404	cjy:QZ67_00071
ko:K00950	cjy:QZ67_00072
ko:K03786	cjy:QZ67_00073
ko:K04773	cjy:QZ67_00075
ko:K00782	cjy:QZ67_00080
ko:K18929	cjy:QZ67_00081
ko:K18928	cjy:QZ67_00082
ko:K03303	cjy:QZ67_00083
ko:K11015	cjy:QZ67_00084
ko:K11014	cjy:QZ67_00085
ko:K11013	cjy:QZ67_00086
ko:K00425	cjy:QZ67_00088
ko:K00426	cjy:QZ67_00089
ko:K01779	cjy:QZ67_00090
ko:K03648	cjy:QZ67_00091
ko:K01744	cjy:QZ67_00092
ko:K07791	cjy:QZ67_00093
ko:K09859	cjy:QZ67_00094
ko:K07337	cjy:QZ67_00096
ko:K02888	cjy:QZ67_00099
ko:K02899	cjy:QZ67_00100
ko:K03979	cjy:QZ67_00101
ko:K00931	cjy:QZ67_00102
ko:K00604	cjy:QZ67_00103
ko:K03524	cjy:QZ67_00104
ko:K03496	cjy:QZ67_00105
ko:K03497	cjy:QZ67_00106
ko:K02109	cjy:QZ67_00107
ko:K02109	cjy:QZ67_00108
ko:K02109	cjy:QZ67_00109
ko:K02113	cjy:QZ67_00110
ko:K02111	cjy:QZ67_00111
ko:K02115	cjy:QZ67_00112
ko:K02112	cjy:QZ67_00113
ko:K02114	cjy:QZ67_00114
