ko:K18929	hef:HPF16_0147
ko:K03561	hef:HPF16_1270
ko:K03832	hef:HPF16_1272
ko:K04656	hef:HPF16_1275
ko:K02377	hef:HPF16_1277
ko:K01711	hef:HPF16_1278
ko:K09747	hef:HPF16_1285
ko:K00246	hef:HPF16_0199
ko:K01803	hef:HPF16_0200
ko:K00208	hef:HPF16_0201
ko:K02536	hef:HPF16_0202
ko:K00789	hef:HPF16_0203
ko:K00940	hef:HPF16_0204
ko:K02911	hef:HPF16_0206
ko:K03621	hef:HPF16_0207
ko:K00648	hef:HPF16_0208
ko:K04079	hef:HPF16_0218
ko:K03495	hef:HPF16_0221
ko:K14445	hef:HPF16_0222
ko:K00981	hef:HPF16_0223
ko:K00099	hef:HPF16_0224
ko:K04487	hef:HPF16_0229
ko:K13819	hef:HPF16_0230
ko:K04485	hef:HPF16_0232
ko:K12267	hef:HPF16_0233
ko:K07090	hef:HPF16_0234
ko:K00979	hef:HPF16_0238
ko:K03981	hef:HPF16_0239
ko:K01749	hef:HPF16_0245
ko:K01881	hef:HPF16_0246
ko:K02492	hef:HPF16_0247
ko:K02523	hef:HPF16_0248
ko:K02112	hef:HPF16_1074
ko:K02115	hef:HPF16_1075
ko:K02111	hef:HPF16_1076
ko:K02113	hef:HPF16_1077
ko:K02109	hef:HPF16_1078
ko:K02109	hef:HPF16_1079
ko:K03524	hef:HPF16_1082
ko:K00604	hef:HPF16_1083
ko:K02884	hef:HPF16_1087
ko:K00554	hef:HPF16_1088
ko:K02860	hef:HPF16_1089
ko:K06960	hef:HPF16_1090
ko:K02959	hef:HPF16_1091
ko:K03106	hef:HPF16_1092
ko:K01873	hef:HPF16_1093
ko:K02563	hef:HPF16_1095
ko:K00286	hef:HPF16_1098
ko:K04095	hef:HPF16_1099
ko:K07042	hef:HPF16_1100
ko:K03839	hef:HPF16_1101
ko:K00384	hef:HPF16_1104
ko:K01810	hef:HPF16_1106
ko:K06200	hef:HPF16_1108
ko:K02029	hef:HPF16_1109
ko:K02429	hef:HPF16_1114
ko:K06901	hef:HPF16_1115
ko:K01839	hef:HPF16_1118
ko:K08159	hef:HPF16_1124
ko:K01599	hef:HPF16_0755
ko:K02406	hef:HPF16_0758
ko:K03611	hef:HPF16_0764
ko:K00177	hef:HPF16_0767
ko:K00175	hef:HPF16_0768
ko:K00174	hef:HPF16_0769
ko:K00176	hef:HPF16_0770
ko:K07082	hef:HPF16_0771
ko:K10773	hef:HPF16_0774
ko:K02417	hef:HPF16_0775
ko:K01465	hef:HPF16_0778
ko:K01491	hef:HPF16_0782
ko:K03100	hef:HPF16_0783
ko:K01808	hef:HPF16_0785
ko:K00759	hef:HPF16_0787
ko:K01255	hef:HPF16_0789
ko:K06942	hef:HPF16_0790
ko:K01778	hef:HPF16_0793
ko:K02970	hef:HPF16_0797
ko:K02078	hef:HPF16_0799
ko:K09458	hef:HPF16_0800
ko:K01962	hef:HPF16_0801
ko:K03218	hef:HPF16_0805
ko:K07056	hef:HPF16_0806
ko:K02909	hef:HPF16_0807
ko:K03628	hef:HPF16_0808
ko:K01776	hef:HPF16_0809
ko:K06895	hef:HPF16_0643
ko:K02343	hef:HPF16_0644
ko:K06925	hef:HPF16_0645
ko:K06861	hef:HPF16_0646
ko:K03092	hef:HPF16_0647
ko:K06920	hef:HPF16_0649
ko:K02221	hef:HPF16_0653
ko:K08309	hef:HPF16_0654
ko:K00963	hef:HPF16_0655
ko:K00790	hef:HPF16_0657
ko:K01744	hef:HPF16_0658
ko:K01079	hef:HPF16_0661
ko:K02217	hef:HPF16_0662
ko:K07277	hef:HPF16_0664
ko:K02434	hef:HPF16_0667
ko:K03685	hef:HPF16_0671
ko:K01736	hef:HPF16_0672
ko:K11473	hef:HPF16_0675
ko:K00812	hef:HPF16_0679
ko:K07090	hef:HPF16_0687
ko:K04042	hef:HPF16_0694
ko:K02419	hef:HPF16_0695
ko:K02416	hef:HPF16_0420
ko:K02417	hef:HPF16_0421
ko:K07478	hef:HPF16_0425
ko:K05516	hef:HPF16_0427
ko:K12506	hef:HPF16_0431
ko:K00995	hef:HPF16_0434
ko:K01714	hef:HPF16_0437
ko:K00937	hef:HPF16_0440
ko:K01154	hef:HPF16_0441
ko:K03427	hef:HPF16_0442
ko:K01153	hef:HPF16_0443
ko:K01153	hef:HPF16_0444
ko:K08602	hef:HPF16_0450
ko:K02020	hef:HPF16_0453
ko:K02018	hef:HPF16_0454
ko:K06207	hef:HPF16_0461
ko:K01579	hef:HPF16_1286
ko:K03694	hef:HPF16_1287
ko:K06891	hef:HPF16_1288
ko:K01935	hef:HPF16_1291
ko:K00031	hef:HPF16_1293
ko:K01647	hef:HPF16_1294
ko:K01012	hef:HPF16_1298
ko:K07058	hef:HPF16_1299
ko:K09457	hef:HPF16_1310
ko:K09710	hef:HPF16_1311
ko:K00791	hef:HPF16_1312
ko:K00075	hef:HPF16_1316
ko:K02420	hef:HPF16_1317
ko:K02412	hef:HPF16_1318
ko:K01870	hef:HPF16_1320
ko:K06941	hef:HPF16_1323
ko:K06041	hef:HPF16_1324
ko:K02528	hef:HPF16_1326
ko:K01433	hef:HPF16_1329
ko:K04773	hef:HPF16_1330
ko:K03563	hef:HPF16_1338
ko:K00919	hef:HPF16_1339
ko:K04047	hef:HPF16_0251
ko:K07710	hef:HPF16_0252
ko:K02394	hef:HPF16_0254
ko:K05592	hef:HPF16_0255
ko:K13896	hef:HPF16_0258
ko:K13895	hef:HPF16_0259
ko:K01939	hef:HPF16_0262
ko:K11749	hef:HPF16_0265
ko:K03601	hef:HPF16_0266
ko:K03695	hef:HPF16_0271
ko:K01465	hef:HPF16_0273
ko:K06168	hef:HPF16_0276
ko:K09778	hef:HPF16_0277
ko:K06940	hef:HPF16_0281
ko:K01609	hef:HPF16_0283
ko:K01524	hef:HPF16_0285
ko:K02841	hef:HPF16_0286
ko:K02517	hef:HPF16_0287
ko:K00773	hef:HPF16_0288
ko:K09944	hef:HPF16_0289
ko:K01735	hef:HPF16_0290
ko:K01586	hef:HPF16_0298
ko:K01163	hef:HPF16_0300
ko:K02397	hef:HPF16_0303
ko:K02888	hef:HPF16_0304
ko:K02899	hef:HPF16_0305
ko:K12368	hef:HPF16_0306
ko:K00133	hef:HPF16_1127
ko:K01892	hef:HPF16_1128
ko:K02355	hef:HPF16_1131
ko:K02992	hef:HPF16_1132
ko:K02950	hef:HPF16_1133
ko:K02935	hef:HPF16_1135
ko:K02864	hef:HPF16_1136
ko:K02863	hef:HPF16_1137
ko:K02867	hef:HPF16_1138
ko:K02601	hef:HPF16_1139
ko:K03073	hef:HPF16_1140
ko:K02913	hef:HPF16_1141
ko:K02358	hef:HPF16_1142
ko:K00640	hef:HPF16_1146
ko:K02110	hef:HPF16_1147
ko:K00962	hef:HPF16_1148
ko:K04744	hef:HPF16_1150
ko:K01945	hef:HPF16_1152
ko:K00806	hef:HPF16_1155
ko:K06199	hef:HPF16_1159
ko:K08311	hef:HPF16_1162
ko:K00928	hef:HPF16_1163
ko:K02341	hef:HPF16_1165
ko:K00796	hef:HPF16_1166
ko:K09804	hef:HPF16_1170
ko:K01956	hef:HPF16_1171
ko:K06287	hef:HPF16_1174
ko:K01872	hef:HPF16_1175
ko:K02108	hef:HPF16_0532
ko:K07270	hef:HPF16_0534
ko:K00384	hef:HPF16_0535
ko:K03671	hef:HPF16_0536
ko:K07460	hef:HPF16_0537
ko:K00003	hef:HPF16_0538
ko:K03703	hef:HPF16_0539
ko:K02557	hef:HPF16_0545
ko:K02556	hef:HPF16_0546
ko:K02415	hef:HPF16_0553
ko:K00997	hef:HPF16_0554
ko:K07043	hef:HPF16_0556
ko:K07270	hef:HPF16_0557
ko:K14652	hef:HPF16_0558
ko:K03636	hef:HPF16_0561
ko:K03831	hef:HPF16_0563
ko:K03637	hef:HPF16_0564
ko:K15846	hef:HPF16_0565
ko:K03545	hef:HPF16_0567
ko:K01358	hef:HPF16_0568
ko:K01462	hef:HPF16_0569
ko:K07391	hef:HPF16_0570
ko:K01534	hef:HPF16_0571
ko:K01154	hef:HPF16_0572
ko:K03070	hef:HPF16_0575
ko:K03634	hef:HPF16_0576
ko:K01682	hef:HPF16_0581
ko:K09903	hef:HPF16_0583
ko:K11720	hef:HPF16_1395
ko:K09943	hef:HPF16_1402
ko:K11752	hef:HPF16_1405
ko:K03312	hef:HPF16_1406
ko:K08591	hef:HPF16_1409
ko:K01633	hef:HPF16_1410
ko:K01042	hef:HPF16_1413
ko:K02600	hef:HPF16_1414
ko:K03655	hef:HPF16_1418
ko:K01142	hef:HPF16_1421
ko:K02313	hef:HPF16_1423
ko:K00820	hef:HPF16_1426
ko:K01154	hef:HPF16_1428
ko:K03427	hef:HPF16_1430
ko:K01153	hef:HPF16_1431
ko:K07043	hef:HPF16_1432
ko:K01476	hef:HPF16_1434
ko:K00259	hef:HPF16_1435
ko:K00858	hef:HPF16_1438
ko:K03631	hef:HPF16_1439
ko:K01783	hef:HPF16_1444
ko:K03841	hef:HPF16_1445
ko:K01428	hef:HPF16_0084
ko:K03101	hef:HPF16_0086
ko:K03431	hef:HPF16_0087
ko:K02968	hef:HPF16_0088
ko:K02835	hef:HPF16_0089
ko:K02996	hef:HPF16_0096
ko:K02871	hef:HPF16_0097
ko:K00116	hef:HPF16_0099
ko:K03086	hef:HPF16_0101
ko:K00645	hef:HPF16_0103
ko:K01733	hef:HPF16_0111
ko:K09765	hef:HPF16_0113
ko:K07173	hef:HPF16_0118
ko:K04043	hef:HPF16_0122
ko:K03687	hef:HPF16_0123
ko:K03705	hef:HPF16_0124
ko:K01628	hef:HPF16_0125
ko:K02406	hef:HPF16_0128
ko:K03168	hef:HPF16_0129
ko:K01868	hef:HPF16_0134
ko:K02520	hef:HPF16_0135
ko:K02916	hef:HPF16_0136
ko:K02887	hef:HPF16_0137
ko:K15257	hef:HPF16_0978
ko:K01772	hef:HPF16_0979
ko:K01874	hef:HPF16_0980
ko:K00574	hef:HPF16_0981
ko:K15846	hef:HPF16_0983
ko:K01951	hef:HPF16_0984
ko:K02503	hef:HPF16_0992
ko:K01889	hef:HPF16_0993
ko:K01890	hef:HPF16_0994
ko:K00800	hef:HPF16_0995
ko:K03527	hef:HPF16_0996
ko:K02945	hef:HPF16_0997
ko:K03182	hef:HPF16_1000
ko:K06997	hef:HPF16_1001
ko:K03269	hef:HPF16_1002
ko:K03415	hef:HPF16_1003
ko:K03407	hef:HPF16_1004
ko:K03408	hef:HPF16_1005
ko:K11065	hef:HPF16_1006
ko:K04564	hef:HPF16_1007
ko:K15256	hef:HPF16_1008
ko:K04066	hef:HPF16_1009
ko:K02493	hef:HPF16_1016
ko:K00262	hef:HPF16_1017
ko:K01772	hef:HPF16_1021
ko:K01752	hef:HPF16_0141
ko:K03837	hef:HPF16_0142
ko:K01626	hef:HPF16_0143
ko:K03564	hef:HPF16_0145
ko:K00782	hef:HPF16_0146
ko:K03303	hef:HPF16_0149
ko:K03303	hef:HPF16_0150
ko:K03575	hef:HPF16_0151
ko:K00404	hef:HPF16_0153
ko:K00405	hef:HPF16_0154
ko:K00407	hef:HPF16_0155
ko:K00406	hef:HPF16_0156
ko:K01689	hef:HPF16_0163
ko:K00891	hef:HPF16_0166
ko:K01698	hef:HPF16_0171
ko:K08303	hef:HPF16_0176
ko:K02836	hef:HPF16_0178
ko:K03750	hef:HPF16_0179
ko:K02421	hef:HPF16_0181
ko:K01624	hef:HPF16_0184
ko:K02356	hef:HPF16_0185
ko:K03820	hef:HPF16_0188
ko:K03558	hef:HPF16_0189
ko:K04567	hef:HPF16_0190
ko:K00600	hef:HPF16_0191
ko:K09761	hef:HPF16_1023
ko:K01494	hef:HPF16_1025
ko:K02160	hef:HPF16_1026
ko:K01961	hef:HPF16_1027
ko:K00573	hef:HPF16_1034
ko:K07091	hef:HPF16_1035
ko:K06173	hef:HPF16_1036
ko:K01625	hef:HPF16_1041
ko:K01690	hef:HPF16_1042
ko:K00036	hef:HPF16_1043
ko:K01057	hef:HPF16_1044
ko:K13979	hef:HPF16_1046
ko:K00172	hef:HPF16_1051
ko:K00171	hef:HPF16_1052
ko:K00169	hef:HPF16_1053
ko:K00170	hef:HPF16_1054
ko:K01756	hef:HPF16_1055
ko:K03702	hef:HPF16_1057
ko:K02396	hef:HPF16_1061
ko:K03775	hef:HPF16_1066
ko:K03640	hef:HPF16_1068
ko:K03641	hef:HPF16_1069
ko:K02114	hef:HPF16_1073
ko:K03667	hef:HPF16_0838
ko:K01419	hef:HPF16_0839
ko:K02939	hef:HPF16_0840
ko:K01915	hef:HPF16_0843
ko:K00215	hef:HPF16_0845
ko:K02470	hef:HPF16_0852
ko:K01058	hef:HPF16_0854
ko:K03308	hef:HPF16_0855
ko:K03308	hef:HPF16_0856
ko:K07107	hef:HPF16_0857
ko:K01925	hef:HPF16_0859
ko:K01000	hef:HPF16_0860
ko:K15846	hef:HPF16_0861
ko:K02902	hef:HPF16_0862
ko:K02338	hef:HPF16_0853
ko:K04759	hef:HPF16_0697
ko:K07501	hef:HPF16_0698
ko:K01028	hef:HPF16_0703
ko:K01029	hef:HPF16_0704
ko:K02106	hef:HPF16_0705
ko:K10856	hef:HPF16_0709
ko:K00901	hef:HPF16_0711
ko:K02469	hef:HPF16_0712
ko:K03701	hef:HPF16_0715
ko:K03438	hef:HPF16_0717
ko:K07023	hef:HPF16_0721
ko:K03620	hef:HPF16_0727
ko:K03923	hef:HPF16_0730
ko:K01924	hef:HPF16_0736
ko:K07456	hef:HPF16_0738
ko:K07270	hef:HPF16_0740
ko:K07270	hef:HPF16_0742
ko:K01876	hef:HPF16_0744
ko:K03415	hef:HPF16_0745
ko:K01972	hef:HPF16_0746
ko:K03781	hef:HPF16_0480
ko:K01159	hef:HPF16_0487
ko:K03781	hef:HPF16_0489
ko:K06193	hef:HPF16_0492
ko:K01521	hef:HPF16_0493
ko:K02390	hef:HPF16_0494
ko:K04651	hef:HPF16_0495
ko:K00748	hef:HPF16_0497
ko:K03624	hef:HPF16_0498
ko:K03525	hef:HPF16_0502
ko:K09792	hef:HPF16_0503
ko:K03273	hef:HPF16_0504
ko:K03274	hef:HPF16_0505
ko:K03272	hef:HPF16_0506
ko:K03271	hef:HPF16_0507
ko:K00364	hef:HPF16_0508
ko:K09805	hef:HPF16_0510
ko:K03427	hef:HPF16_0512
ko:K01154	hef:HPF16_0513
ko:K01153	hef:HPF16_0515
ko:K00878	hef:HPF16_0516
ko:K00941	hef:HPF16_0517
ko:K00788	hef:HPF16_0518
ko:K13038	hef:HPF16_0520
ko:K15894	hef:HPF16_0521
ko:K09860	hef:HPF16_0524
ko:K03530	hef:HPF16_0525
ko:K03977	hef:HPF16_0526
ko:K00797	hef:HPF16_0528
ko:K00859	hef:HPF16_0529
ko:K03664	hef:HPF16_1340
ko:K03561	hef:HPF16_1341
ko:K02914	hef:HPF16_1343
ko:K03536	hef:HPF16_1344
ko:K03217	hef:HPF16_1346
ko:K03650	hef:HPF16_1348
ko:K07337	hef:HPF16_1353
ko:K06178	hef:HPF16_1355
ko:K02337	hef:HPF16_1356
ko:K00428	hef:HPF16_1357
ko:K02065	hef:HPF16_1361
ko:K02066	hef:HPF16_1362
ko:K00826	hef:HPF16_1364
ko:K00943	hef:HPF16_1371
ko:K00954	hef:HPF16_1372
ko:K03186	hef:HPF16_1373
ko:K02386	hef:HPF16_1374
ko:K03657	hef:HPF16_1375
ko:K01875	hef:HPF16_1377
ko:K03602	hef:HPF16_1379
ko:K03183	hef:HPF16_1380
ko:K08973	hef:HPF16_1381
ko:K01993	hef:HPF16_1385
ko:K03306	hef:HPF16_1388
ko:K01928	hef:HPF16_1391
ko:K02897	hef:HPF16_1393
ko:K01056	hef:HPF16_1394
ko:K12370	hef:HPF16_0308
ko:K12372	hef:HPF16_0310
ko:K03979	hef:HPF16_0311
ko:K01845	hef:HPF16_0314
ko:K07226	hef:HPF16_0325
ko:K01887	hef:HPF16_0326
ko:K03116	hef:HPF16_0327
ko:K00942	hef:HPF16_0328
ko:K02393	hef:HPF16_0332
ko:K00912	hef:HPF16_0336
ko:K00053	hef:HPF16_0338
ko:K03609	hef:HPF16_0339
ko:K03608	hef:HPF16_0340
ko:K04096	hef:HPF16_0341
ko:K07447	hef:HPF16_0342
ko:K06180	hef:HPF16_0350
ko:K07462	hef:HPF16_0351
ko:K01937	hef:HPF16_0352
ko:K02409	hef:HPF16_0354
ko:K02410	hef:HPF16_0355
ko:K02411	hef:HPF16_0356
ko:K01662	hef:HPF16_0357
ko:K03596	hef:HPF16_0358
ko:K02392	hef:HPF16_0361
ko:K03466	hef:HPF16_0363
ko:K09794	hef:HPF16_1176
ko:K02963	hef:HPF16_1178
ko:K02990	hef:HPF16_1180
ko:K02340	hef:HPF16_1181
ko:K12573	hef:HPF16_1182
ko:K00014	hef:HPF16_1183
ko:K13894	hef:HPF16_1185
ko:K13893	hef:HPF16_1186
ko:K01867	hef:HPF16_1187
ko:K02169	hef:HPF16_1188
ko:K03075	hef:HPF16_1189
ko:K02838	hef:HPF16_1190
ko:K00762	hef:HPF16_1191
ko:K12410	hef:HPF16_1194
ko:K00330	hef:HPF16_1195
ko:K00331	hef:HPF16_1196
ko:K00332	hef:HPF16_1197
ko:K00333	hef:HPF16_1198
ko:K00334	hef:HPF16_1199
ko:K00337	hef:HPF16_1202
ko:K00338	hef:HPF16_1203
ko:K00339	hef:HPF16_1204
ko:K00340	hef:HPF16_1205
ko:K00341	hef:HPF16_1206
ko:K00342	hef:HPF16_1207
ko:K00343	hef:HPF16_1208
ko:K15778	hef:HPF16_1210
ko:K01695	hef:HPF16_1211
ko:K01696	hef:HPF16_1212
ko:K13498	hef:HPF16_1213
ko:K00766	hef:HPF16_1214
ko:K01657	hef:HPF16_1216
ko:K03707	hef:HPF16_1220
ko:K03811	hef:HPF16_1221
ko:K02879	hef:HPF16_1223
ko:K03040	hef:HPF16_1224
ko:K02986	hef:HPF16_1225
ko:K02948	hef:HPF16_1226
ko:K02952	hef:HPF16_1227
ko:K02919	hef:HPF16_1228
ko:K02518	hef:HPF16_1229
ko:K01265	hef:HPF16_1230
ko:K07316	hef:HPF16_0267
ko:K18682	hef:HPF16_0601
ko:K03625	hef:HPF16_0001
ko:K00794	hef:HPF16_0002
ko:K01627	hef:HPF16_0003
ko:K01673	hef:HPF16_0004
ko:K01591	hef:HPF16_0005
ko:K01918	hef:HPF16_0006
ko:K04077	hef:HPF16_0008
ko:K04078	hef:HPF16_0009
ko:K00566	hef:HPF16_0011
ko:K09859	hef:HPF16_0016
ko:K03415	hef:HPF16_0017
ko:K13747	hef:HPF16_0018
ko:K03760	hef:HPF16_0020
ko:K01173	hef:HPF16_0022
ko:K03550	hef:HPF16_0868
ko:K03980	hef:HPF16_0870
ko:K01883	hef:HPF16_0871
ko:K02013	hef:HPF16_0873
ko:K02015	hef:HPF16_0874
ko:K04654	hef:HPF16_0881
ko:K04653	hef:HPF16_0882
ko:K00925	hef:HPF16_0885
ko:K13788	hef:HPF16_0886
ko:K02389	hef:HPF16_0888
ko:K02390	hef:HPF16_0889
ko:K03657	hef:HPF16_0892
ko:K01955	hef:HPF16_0898
ko:K00134	hef:HPF16_0900
ko:K01821	hef:HPF16_0903
ko:K06187	hef:HPF16_0904
ko:K06176	hef:HPF16_0905
ko:K03799	hef:HPF16_0906
ko:K01495	hef:HPF16_0907
ko:K00795	hef:HPF16_0908
ko:K03787	hef:HPF16_0909
ko:K01737	hef:HPF16_0911
ko:K01338	hef:HPF16_0024
ko:K05807	hef:HPF16_0025
ko:K13626	hef:HPF16_0026
ko:K02372	hef:HPF16_0027
ko:K00677	hef:HPF16_0028
ko:K03544	hef:HPF16_0029
ko:K03569	hef:HPF16_0030
ko:K03570	hef:HPF16_0031
ko:K03179	hef:HPF16_0039
ko:K01613	hef:HPF16_0042
ko:K03517	hef:HPF16_0043
ko:K00767	hef:HPF16_0044
ko:K03797	hef:HPF16_0049
ko:K00655	hef:HPF16_0051
ko:K03648	hef:HPF16_0052
ko:K00134	hef:HPF16_0053
ko:K00927	hef:HPF16_0054
ko:K03284	hef:HPF16_0055
ko:K13821	hef:HPF16_0061
ko:K03190	hef:HPF16_0079
ko:K03189	hef:HPF16_0080
ko:K03188	hef:HPF16_0081
ko:K03187	hef:HPF16_0082
ko:K01775	hef:HPF16_0920
ko:K03310	hef:HPF16_0921
ko:K00285	hef:HPF16_0922
ko:K00783	hef:HPF16_0928
ko:K01963	hef:HPF16_0929
ko:K13292	hef:HPF16_0934
ko:K02527	hef:HPF16_0936
ko:K07164	hef:HPF16_0937
ko:K01878	hef:HPF16_0939
ko:K00057	hef:HPF16_0940
ko:K01879	hef:HPF16_0955
ko:K15633	hef:HPF16_0957
ko:K02435	hef:HPF16_0958
ko:K00833	hef:HPF16_0959
ko:K03770	hef:HPF16_0960
ko:K03590	hef:HPF16_0961
ko:K03531	hef:HPF16_0962
ko:K16091	hef:HPF16_0696
ko:K16091	hef:HPF16_0555
ko:K16091	hef:HPF16_1433
ko:K00104	hef:HPF16_0846
ko:K04763	hef:HPF16_0685
ko:K00567	hef:HPF16_0686
ko:K14233	hef:HPF16_t07
ko:K14218	hef:HPF16_t09
ko:K14219	hef:HPF16_t22
ko:K14226	hef:HPF16_t23
ko:K15726	hef:HPF16_0952
ko:K01977	hef:HPF16_r03
ko:K01977	hef:HPF16_r06
ko:K14230	hef:HPF16_t28
ko:K14234	hef:HPF16_t30
ko:K14225	hef:HPF16_t31
ko:K14236	hef:HPF16_t32
ko:K14234	hef:HPF16_t33
ko:K14218	hef:HPF16_t27
ko:K14228	hef:HPF16_t34
ko:K14228	hef:HPF16_t35
ko:K14231	hef:HPF16_t36
ko:K10716	hef:HPF16_0863
ko:K14224	hef:HPF16_t01
ko:K02014	hef:HPF16_0488
ko:K02014	hef:HPF16_1412
ko:K02028	hef:HPF16_1111
ko:K02030	hef:HPF16_1112
ko:K06603	hef:HPF16_0610
ko:K00769	hef:HPF16_0628
ko:K03386	hef:HPF16_1477
ko:K01409	hef:HPF16_1497
ko:K01916	hef:HPF16_0337
ko:K07126	hef:HPF16_0343
ko:K00949	hef:HPF16_1222
ko:K07126	hef:HPF16_0835
ko:K08077	hef:HPF16_0848
ko:K03279	hef:HPF16_0168
ko:K07126	hef:HPF16_0169
ko:K15898	hef:HPF16_0186
ko:K01784	hef:HPF16_1037
ko:K07126	hef:HPF16_1040
ko:K00845	hef:HPF16_1045
ko:K07126	hef:HPF16_1059
ko:K02433	hef:HPF16_0530
ko:K00088	hef:HPF16_0531
ko:K05845	hef:HPF16_0543
ko:K05846	hef:HPF16_0543
ko:K03635	hef:HPF16_0562
ko:K02004	hef:HPF16_0574
ko:K01156	hef:HPF16_1416
ko:K07316	hef:HPF16_1417
ko:K07126	hef:HPF16_1442
ko:K02342	hef:HPF16_1443
ko:K01424	hef:HPF16_0640
ko:K01885	hef:HPF16_0652
ko:K03469	hef:HPF16_0670
ko:K04763	hef:HPF16_0681
ko:K00567	hef:HPF16_0682
ko:K13016	hef:HPF16_0688
ko:K11085	hef:HPF16_0371
ko:K07098	hef:HPF16_0407
ko:K01262	hef:HPF16_0414
ko:K01679	hef:HPF16_1256
ko:K04655	hef:HPF16_1276
ko:K04652	hef:HPF16_0883
ko:K02014	hef:HPF16_0896
ko:K00245	hef:HPF16_0197
ko:K00244	hef:HPF16_0198
ko:K03593	hef:HPF16_0215
ko:K07126	hef:HPF16_0219
ko:K01439	hef:HPF16_0220
ko:K06910	hef:HPF16_0227
ko:K07126	hef:HPF16_0243
