ko:K22220	mavd:NF84_17360
ko:K07258	mavd:NF84_19760
ko:K01443	mavd:NF84_19770
ko:K07058	mavd:NF84_19780
ko:K01867	mavd:NF84_19785
ko:K00031	mavd:NF84_19795
ko:K00031	mavd:NF84_19800
ko:K00641	mavd:NF84_19810
ko:K01491	mavd:NF84_19840
ko:K06945	mavd:NF84_19870
ko:K07131	mavd:NF84_19880
ko:K03216	mavd:NF84_19895
ko:K14162	mavd:NF84_19905
ko:K01087	mavd:NF84_19915
ko:K02484	mavd:NF84_03190
ko:K00121	mavd:NF84_03205
ko:K05917	mavd:NF84_03220
ko:K00128	mavd:NF84_03240
ko:K01607	mavd:NF84_03255
ko:K01945	mavd:NF84_03260
ko:K00681	mavd:NF84_03265
ko:K01756	mavd:NF84_03285
ko:K01923	mavd:NF84_03300
ko:K01354	mavd:NF84_03305
ko:K06986	mavd:NF84_03330
ko:K07077	mavd:NF84_03335
ko:K01952	mavd:NF84_03350
ko:K01952	mavd:NF84_03355
ko:K03710	mavd:NF84_03365
ko:K07223	mavd:NF84_03380
ko:K01952	mavd:NF84_03400
ko:K07052	mavd:NF84_03405
ko:K00764	mavd:NF84_03415
ko:K01933	mavd:NF84_03420
ko:K06980	mavd:NF84_03430
ko:K02619	mavd:NF84_03435
ko:K12423	mavd:NF84_07865
ko:K06994	mavd:NF84_07875
ko:K02237	mavd:NF84_07905
ko:K02238	mavd:NF84_07910
ko:K02340	mavd:NF84_07915
ko:K02968	mavd:NF84_07920
ko:K00784	mavd:NF84_07945
ko:K03596	mavd:NF84_07960
ko:K02048	mavd:NF84_07980
ko:K02046	mavd:NF84_07985
ko:K02047	mavd:NF84_07990
ko:K02045	mavd:NF84_07995
ko:K00390	mavd:NF84_08000
ko:K00392	mavd:NF84_08005
ko:K07086	mavd:NF84_08015
ko:K04781	mavd:NF84_08025
ko:K03921	mavd:NF84_08030
ko:K00626	mavd:NF84_08130
ko:K01692	mavd:NF84_08135
ko:K04093	mavd:NF84_12550
ko:K07045	mavd:NF84_12600
ko:K01915	mavd:NF84_12605
ko:K03594	mavd:NF84_12625
ko:K04761	mavd:NF84_12650
ko:K03386	mavd:NF84_12655
ko:K04756	mavd:NF84_12660
ko:K00101	mavd:NF84_12675
ko:K00626	mavd:NF84_12715
ko:K06153	mavd:NF84_12725
ko:K07052	mavd:NF84_12740
ko:K13953	mavd:NF84_12745
ko:K02017	mavd:NF84_12760
ko:K02018	mavd:NF84_12765
ko:K02020	mavd:NF84_12775
ko:K03885	mavd:NF84_12795
ko:K00033	mavd:NF84_12815
ko:K00088	mavd:NF84_12820
ko:K02078	mavd:NF84_12825
ko:K02379	mavd:NF84_17095
ko:K03470	mavd:NF84_17115
ko:K03100	mavd:NF84_17120
ko:K02884	mavd:NF84_17125
ko:K00554	mavd:NF84_17135
ko:K02860	mavd:NF84_17140
ko:K06960	mavd:NF84_17145
ko:K02959	mavd:NF84_17150
ko:K07258	mavd:NF84_17160
ko:K03106	mavd:NF84_17180
ko:K00990	mavd:NF84_17195
ko:K04751	mavd:NF84_17200
ko:K03320	mavd:NF84_17205
ko:K03110	mavd:NF84_17210
ko:K03529	mavd:NF84_17215
ko:K01512	mavd:NF84_17220
ko:K10563	mavd:NF84_17235
ko:K03685	mavd:NF84_17240
ko:K07040	mavd:NF84_17245
ko:K07089	mavd:NF84_17260
ko:K01652	mavd:NF84_17265
ko:K03466	mavd:NF84_17295
ko:K06994	mavd:NF84_17325
ko:K00954	mavd:NF84_17365
ko:K11735	mavd:NF84_21330
ko:K04091	mavd:NF84_21340
ko:K01698	mavd:NF84_21380
ko:K13542	mavd:NF84_21385
ko:K01749	mavd:NF84_21390
ko:K02492	mavd:NF84_21395
ko:K00574	mavd:NF84_21430
ko:K01784	mavd:NF84_21440
ko:K00286	mavd:NF84_21450
ko:K01524	mavd:NF84_21470
ko:K07776	mavd:NF84_21490
ko:K07768	mavd:NF84_21495
ko:K01834	mavd:NF84_21500
ko:K15521	mavd:NF84_21510
ko:K00075	mavd:NF84_21530
ko:K01619	mavd:NF84_21550
ko:K16645	mavd:NF84_21565
ko:K00574	mavd:NF84_21585
ko:K00574	mavd:NF84_21590
ko:K00074	mavd:NF84_21595
ko:K01637	mavd:NF84_21600
ko:K07110	mavd:NF84_21610
ko:K14743	mavd:NF84_22490
ko:K02902	mavd:NF84_22555
ko:K02913	mavd:NF84_22560
ko:K07089	mavd:NF84_22570
ko:K00666	mavd:NF84_22630
ko:K02575	mavd:NF84_22640
ko:K02016	mavd:NF84_22650
ko:K02575	mavd:NF84_22665
ko:K01719	mavd:NF84_22670
ko:K00363	mavd:NF84_22685
ko:K00362	mavd:NF84_22690
ko:K00239	mavd:NF84_22710
ko:K00240	mavd:NF84_22715
ko:K00626	mavd:NF84_22740
ko:K00059	mavd:NF84_22745
ko:K01207	mavd:NF84_22765
ko:K01011	mavd:NF84_03460
ko:K15520	mavd:NF84_03485
ko:K02037	mavd:NF84_03495
ko:K02038	mavd:NF84_03500
ko:K02036	mavd:NF84_03505
ko:K02039	mavd:NF84_03510
ko:K03921	mavd:NF84_03525
ko:K03704	mavd:NF84_03610
ko:K08641	mavd:NF84_03615
ko:K01848	mavd:NF84_03630
ko:K01849	mavd:NF84_03635
ko:K01259	mavd:NF84_03685
ko:K13727	mavd:NF84_03690
ko:K00626	mavd:NF84_03695
ko:K07588	mavd:NF84_03700
ko:K00161	mavd:NF84_03705
ko:K07684	mavd:NF84_03710
ko:K02480	mavd:NF84_03715
ko:K05712	mavd:NF84_03735
ko:K05713	mavd:NF84_03740
ko:K07107	mavd:NF84_08140
ko:K00128	mavd:NF84_08170
ko:K00626	mavd:NF84_08350
ko:K01909	mavd:NF84_12830
ko:K01638	mavd:NF84_12855
ko:K00281	mavd:NF84_12875
ko:K08999	mavd:NF84_12885
ko:K02437	mavd:NF84_12900
ko:K03070	mavd:NF84_12925
ko:K01652	mavd:NF84_12930
ko:K02471	mavd:NF84_12935
ko:K07507	mavd:NF84_12970
ko:K14743	mavd:NF84_13045
ko:K03655	mavd:NF84_17400
ko:K07030	mavd:NF84_17405
ko:K02902	mavd:NF84_17415
ko:K03648	mavd:NF84_17445
ko:K00946	mavd:NF84_17450
ko:K01921	mavd:NF84_17460
ko:K00057	mavd:NF84_17465
ko:K14941	mavd:NF84_17470
ko:K00937	mavd:NF84_17475
ko:K03574	mavd:NF84_17480
ko:K03530	mavd:NF84_17485
ko:K01704	mavd:NF84_17490
ko:K01703	mavd:NF84_17495
ko:K01885	mavd:NF84_17520
ko:K00052	mavd:NF84_17535
ko:K00058	mavd:NF84_17540
ko:K03809	mavd:NF84_17550
ko:K00053	mavd:NF84_17555
ko:K01653	mavd:NF84_17560
ko:K01652	mavd:NF84_17565
ko:K15977	mavd:NF84_17575
ko:K02434	mavd:NF84_17585
ko:K02433	mavd:NF84_17600
ko:K02435	mavd:NF84_17605
ko:K06994	mavd:NF84_17620
ko:K01758	mavd:NF84_17640
ko:K00382	mavd:NF84_21625
ko:K09959	mavd:NF84_21640
ko:K00138	mavd:NF84_21645
ko:K01322	mavd:NF84_21650
ko:K01692	mavd:NF84_21660
ko:K06994	mavd:NF84_21670
ko:K04077	mavd:NF84_21725
ko:K03750	mavd:NF84_21745
ko:K01613	mavd:NF84_21755
ko:K17103	mavd:NF84_21760
ko:K13525	mavd:NF84_21765
ko:K07157	mavd:NF84_21790
ko:K06048	mavd:NF84_21795
ko:K01462	mavd:NF84_21815
ko:K01142	mavd:NF84_21825
ko:K03147	mavd:NF84_21845
ko:K00941	mavd:NF84_21850
ko:K07020	mavd:NF84_21855
ko:K01664	mavd:NF84_00085
ko:K02078	mavd:NF84_00145
ko:K01909	mavd:NF84_00150
ko:K06975	mavd:NF84_00185
ko:K06911	mavd:NF84_00190
ko:K01810	mavd:NF84_04650
ko:K04093	mavd:NF84_04655
ko:K03657	mavd:NF84_04660
ko:K01903	mavd:NF84_04675
ko:K01902	mavd:NF84_04680
ko:K00626	mavd:NF84_04685
ko:K11175	mavd:NF84_04705
ko:K00602	mavd:NF84_04710
ko:K03405	mavd:NF84_04720
ko:K06221	mavd:NF84_04730
ko:K01692	mavd:NF84_04740
ko:K01965	mavd:NF84_04750
ko:K02911	mavd:NF84_04770
ko:K07669	mavd:NF84_04775
ko:K07653	mavd:NF84_04780
ko:K08372	mavd:NF84_04785
ko:K03282	mavd:NF84_04795
ko:K00963	mavd:NF84_04815
ko:K03750	mavd:NF84_04820
ko:K03790	mavd:NF84_04825
ko:K07031	mavd:NF84_04870
ko:K03271	mavd:NF84_04875
ko:K03273	mavd:NF84_04880
ko:K01478	mavd:NF84_04905
ko:K07056	mavd:NF84_04915
ko:K01665	mavd:NF84_04920
ko:K03088	mavd:NF84_04925
ko:K02575	mavd:NF84_09350
ko:K00232	mavd:NF84_09355
ko:K16786	mavd:NF84_09375
ko:K16787	mavd:NF84_09375
ko:K16785	mavd:NF84_09380
ko:K02027	mavd:NF84_09395
ko:K02026	mavd:NF84_09400
ko:K02025	mavd:NF84_09405
ko:K03568	mavd:NF84_09410
ko:K07028	mavd:NF84_09465
ko:K04079	mavd:NF84_09525
ko:K00626	mavd:NF84_09570
ko:K01082	mavd:NF84_09580
ko:K14155	mavd:NF84_09595
ko:K01940	mavd:NF84_13975
ko:K03402	mavd:NF84_13980
ko:K00611	mavd:NF84_13985
ko:K00930	mavd:NF84_13995
ko:K00620	mavd:NF84_14000
ko:K00145	mavd:NF84_14005
ko:K01890	mavd:NF84_14010
ko:K01889	mavd:NF84_14015
ko:K03437	mavd:NF84_14035
ko:K02887	mavd:NF84_14040
ko:K02916	mavd:NF84_14045
ko:K02520	mavd:NF84_14050
ko:K04567	mavd:NF84_14055
ko:K03701	mavd:NF84_14090
ko:K14340	mavd:NF84_14105
ko:K07507	mavd:NF84_14110
ko:K03702	mavd:NF84_14120
ko:K09146	mavd:NF84_14145
ko:K10563	mavd:NF84_14155
ko:K00859	mavd:NF84_14165
ko:K02945	mavd:NF84_14170
ko:K00464	mavd:NF84_14175
ko:K00425	mavd:NF84_14225
ko:K00426	mavd:NF84_14230
ko:K16013	mavd:NF84_14235
ko:K16012	mavd:NF84_14240
ko:K10805	mavd:NF84_14250
ko:K03664	mavd:NF84_18275
ko:K09811	mavd:NF84_18280
ko:K09812	mavd:NF84_18285
ko:K02836	mavd:NF84_18300
ko:K00528	mavd:NF84_18305
ko:K06886	mavd:NF84_18315
ko:K04561	mavd:NF84_18325
ko:K05602	mavd:NF84_18355
ko:K00451	mavd:NF84_18375
ko:K01640	mavd:NF84_18390
ko:K00330	mavd:NF84_18430
ko:K00331	mavd:NF84_18435
ko:K00332	mavd:NF84_18440
ko:K00333	mavd:NF84_18445
ko:K00334	mavd:NF84_18450
ko:K00337	mavd:NF84_18465
ko:K00338	mavd:NF84_18470
ko:K00339	mavd:NF84_18475
ko:K00340	mavd:NF84_18480
ko:K00341	mavd:NF84_18485
ko:K00342	mavd:NF84_18490
ko:K16648	mavd:NF84_22775
ko:K03781	mavd:NF84_22790
ko:K03781	mavd:NF84_22795
ko:K00122	mavd:NF84_22805
ko:K01759	mavd:NF84_22815
ko:K01652	mavd:NF84_22830
ko:K00135	mavd:NF84_22835
ko:K07048	mavd:NF84_22855
ko:K00128	mavd:NF84_22885
ko:K01692	mavd:NF84_22905
ko:K01596	mavd:NF84_22965
ko:K03439	mavd:NF84_22980
ko:K06860	mavd:NF84_22985
ko:K07386	mavd:NF84_23030
ko:K04047	mavd:NF84_23035
ko:K14953	mavd:NF84_01725
ko:K02343	mavd:NF84_01750
ko:K00574	mavd:NF84_01755
ko:K01448	mavd:NF84_01770
ko:K09747	mavd:NF84_01775
ko:K06187	mavd:NF84_01780
ko:K07009	mavd:NF84_01785
ko:K02342	mavd:NF84_01795
ko:K01649	mavd:NF84_01800
ko:K00928	mavd:NF84_01805
ko:K00133	mavd:NF84_01810
ko:K01919	mavd:NF84_01830
ko:K07008	mavd:NF84_01840
ko:K00864	mavd:NF84_01865
ko:K03924	mavd:NF84_01895
ko:K09117	mavd:NF84_01915
ko:K03833	mavd:NF84_01920
ko:K01042	mavd:NF84_01925
ko:K01008	mavd:NF84_01935
ko:K00123	mavd:NF84_01940
ko:K00123	mavd:NF84_01945
ko:K00124	mavd:NF84_01950
ko:K05520	mavd:NF84_01965
ko:K08296	mavd:NF84_06385
ko:K02035	mavd:NF84_06410
ko:K02031	mavd:NF84_06415
ko:K02032	mavd:NF84_06415
ko:K02034	mavd:NF84_06420
ko:K02033	mavd:NF84_06425
ko:K01673	mavd:NF84_06430
ko:K00957	mavd:NF84_06440
ko:K00955	mavd:NF84_06445
ko:K01887	mavd:NF84_06645
ko:K01586	mavd:NF84_06650
ko:K00003	mavd:NF84_06655
ko:K01733	mavd:NF84_06660
ko:K00872	mavd:NF84_06665
ko:K03628	mavd:NF84_06670
ko:K03929	mavd:NF84_11120
ko:K00851	mavd:NF84_11130
ko:K08281	mavd:NF84_11150
ko:K03088	mavd:NF84_11165
ko:K02027	mavd:NF84_11170
ko:K02025	mavd:NF84_11175
ko:K02026	mavd:NF84_11180
ko:K10112	mavd:NF84_11185
ko:K07001	mavd:NF84_11190
ko:K07243	mavd:NF84_11205
ko:K07224	mavd:NF84_11210
ko:K16301	mavd:NF84_11215
ko:K03088	mavd:NF84_11230
ko:K00038	mavd:NF84_11335
ko:K06994	mavd:NF84_11340
ko:K01892	mavd:NF84_15675
ko:K03768	mavd:NF84_15685
ko:K00951	mavd:NF84_15695
ko:K00759	mavd:NF84_15700
ko:K02035	mavd:NF84_15705
ko:K03074	mavd:NF84_15710
ko:K03210	mavd:NF84_15720
ko:K07250	mavd:NF84_15725
ko:K12421	mavd:NF84_15730
ko:K03551	mavd:NF84_15740
ko:K03550	mavd:NF84_15745
ko:K01159	mavd:NF84_15750
ko:K00797	mavd:NF84_15775
ko:K08681	mavd:NF84_15785
ko:K10805	mavd:NF84_15790
ko:K06215	mavd:NF84_15795
ko:K08256	mavd:NF84_15805
ko:K00995	mavd:NF84_15815
ko:K01868	mavd:NF84_15825
ko:K03316	mavd:NF84_15830
ko:K00459	mavd:NF84_15855
ko:K01857	mavd:NF84_15895
ko:K00448	mavd:NF84_15900
ko:K00449	mavd:NF84_15905
ko:K11609	mavd:NF84_19945
ko:K14161	mavd:NF84_19955
ko:K01951	mavd:NF84_19965
ko:K03333	mavd:NF84_19995
ko:K00088	mavd:NF84_20000
ko:K00088	mavd:NF84_20005
ko:K03088	mavd:NF84_20020
ko:K04077	mavd:NF84_20045
ko:K04078	mavd:NF84_20050
ko:K01409	mavd:NF84_20055
ko:K03789	mavd:NF84_20060
ko:K06925	mavd:NF84_20070
ko:K01775	mavd:NF84_20080
ko:K01580	mavd:NF84_20085
ko:K00820	mavd:NF84_20105
ko:K03431	mavd:NF84_20140
ko:K02996	mavd:NF84_20145
ko:K02871	mavd:NF84_20150
ko:K03466	mavd:NF84_20160
ko:K06173	mavd:NF84_20185
ko:K02879	mavd:NF84_20190
ko:K03040	mavd:NF84_20195
ko:K02986	mavd:NF84_20200
ko:K02948	mavd:NF84_20205
ko:K02952	mavd:NF84_20210
ko:K05337	mavd:NF84_03910
ko:K05337	mavd:NF84_03920
ko:K01607	mavd:NF84_04000
ko:K18481	mavd:NF84_04025
ko:K18481	mavd:NF84_04030
ko:K01796	mavd:NF84_08500
ko:K00128	mavd:NF84_08520
ko:K02509	mavd:NF84_08565
ko:K02510	mavd:NF84_08570
ko:K07068	mavd:NF84_08630
ko:K00128	mavd:NF84_08645
ko:K02164	mavd:NF84_08705
ko:K07068	mavd:NF84_08725
ko:K15866	mavd:NF84_08730
ko:K00705	mavd:NF84_13120
ko:K01692	mavd:NF84_13190
ko:K03090	mavd:NF84_13250
ko:K01130	mavd:NF84_13380
ko:K01972	mavd:NF84_17645
ko:K00566	mavd:NF84_17660
ko:K04487	mavd:NF84_17665
ko:K03522	mavd:NF84_17680
ko:K03521	mavd:NF84_17685
ko:K16149	mavd:NF84_17695
ko:K16150	mavd:NF84_17700
ko:K07071	mavd:NF84_17705
ko:K13787	mavd:NF84_17725
ko:K10027	mavd:NF84_17730
ko:K02291	mavd:NF84_17735
ko:K09879	mavd:NF84_17755
ko:K01823	mavd:NF84_17770
ko:K06994	mavd:NF84_17775
ko:K01669	mavd:NF84_17785
ko:K01692	mavd:NF84_17820
ko:K02013	mavd:NF84_17830
ko:K01079	mavd:NF84_17835
ko:K02274	mavd:NF84_17840
ko:K02016	mavd:NF84_17845
ko:K13979	mavd:NF84_17850
ko:K03647	mavd:NF84_17890
ko:K02346	mavd:NF84_17910
ko:K03149	mavd:NF84_21910
ko:K03154	mavd:NF84_21915
ko:K03153	mavd:NF84_21920
ko:K00788	mavd:NF84_21925
ko:K03574	mavd:NF84_21930
ko:K02030	mavd:NF84_21940
ko:K14949	mavd:NF84_21945
ko:K00925	mavd:NF84_21980
ko:K13788	mavd:NF84_21985
ko:K00252	mavd:NF84_22020
ko:K03885	mavd:NF84_22040
ko:K10764	mavd:NF84_22045
ko:K08289	mavd:NF84_22055
ko:K01939	mavd:NF84_22065
ko:K16264	mavd:NF84_22085
ko:K03975	mavd:NF84_22100
ko:K01027	mavd:NF84_22105
ko:K00762	mavd:NF84_22125
ko:K07124	mavd:NF84_22130
ko:K03695	mavd:NF84_22140
ko:K13789	mavd:NF84_22185
ko:K07735	mavd:NF84_00255
ko:K01869	mavd:NF84_00270
ko:K02028	mavd:NF84_00285
ko:K02029	mavd:NF84_00290
ko:K02030	mavd:NF84_00290
ko:K14728	mavd:NF84_00325
ko:K01858	mavd:NF84_00330
ko:K02990	mavd:NF84_00365
ko:K02939	mavd:NF84_00380
ko:K06994	mavd:NF84_00410
ko:K03823	mavd:NF84_00470
ko:K18481	mavd:NF84_00475
ko:K02066	mavd:NF84_00485
ko:K02066	mavd:NF84_00490
ko:K02067	mavd:NF84_00500
ko:K01874	mavd:NF84_05005
ko:K03424	mavd:NF84_05010
ko:K02528	mavd:NF84_05020
ko:K00919	mavd:NF84_05025
ko:K00666	mavd:NF84_05030
ko:K01056	mavd:NF84_05035
ko:K02897	mavd:NF84_05040
ko:K00537	mavd:NF84_05055
ko:K00948	mavd:NF84_05060
ko:K04042	mavd:NF84_05065
ko:K01586	mavd:NF84_05080
ko:K03723	mavd:NF84_05085
ko:K02428	mavd:NF84_05090
ko:K01689	mavd:NF84_05100
ko:K09009	mavd:NF84_05110
ko:K01524	mavd:NF84_05115
ko:K07667	mavd:NF84_05125
ko:K07646	mavd:NF84_05130
ko:K01548	mavd:NF84_05135
ko:K01547	mavd:NF84_05140
ko:K01546	mavd:NF84_05145
ko:K07656	mavd:NF84_05160
ko:K07672	mavd:NF84_05165
ko:K00666	mavd:NF84_05215
ko:K07090	mavd:NF84_09630
ko:K01011	mavd:NF84_09635
ko:K14335	mavd:NF84_09640
ko:K03316	mavd:NF84_09650
ko:K14475	mavd:NF84_09655
ko:K00390	mavd:NF84_09690
ko:K00392	mavd:NF84_09695
ko:K01448	mavd:NF84_09760
ko:K00153	mavd:NF84_09825
ko:K00803	mavd:NF84_09850
ko:K00111	mavd:NF84_09860
ko:K17752	mavd:NF84_01990
ko:K17762	mavd:NF84_01995
ko:K17763	mavd:NF84_02000
ko:K01738	mavd:NF84_02050
ko:K10773	mavd:NF84_02105
ko:K01895	mavd:NF84_02140
ko:K15580	mavd:NF84_02150
ko:K15581	mavd:NF84_02155
ko:K15582	mavd:NF84_02160
ko:K02031	mavd:NF84_02165
ko:K02032	mavd:NF84_02165
ko:K12510	mavd:NF84_02255
ko:K02909	mavd:NF84_06675
ko:K02835	mavd:NF84_06680
ko:K02493	mavd:NF84_06685
ko:K02851	mavd:NF84_06695
ko:K02108	mavd:NF84_06705
ko:K02110	mavd:NF84_06710
ko:K02109	mavd:NF84_06715
ko:K02111	mavd:NF84_06725
ko:K02115	mavd:NF84_06730
ko:K02112	mavd:NF84_06735
ko:K02114	mavd:NF84_06740
ko:K00790	mavd:NF84_06755
ko:K00567	mavd:NF84_06780
ko:K13529	mavd:NF84_06785
ko:K07503	mavd:NF84_06810
ko:K05606	mavd:NF84_06820
ko:K00626	mavd:NF84_06825
ko:K05838	mavd:NF84_06830
ko:K00700	mavd:NF84_06835
ko:K16147	mavd:NF84_06840
ko:K00688	mavd:NF84_06845
ko:K00763	mavd:NF84_06855
ko:K06891	mavd:NF84_06860
ko:K01776	mavd:NF84_06880
ko:K00989	mavd:NF84_06890
ko:K02428	mavd:NF84_06895
ko:K14698	mavd:NF84_06930
ko:K14699	mavd:NF84_06935
ko:K06446	mavd:NF84_06955
ko:K00140	mavd:NF84_11360
ko:K02066	mavd:NF84_11385
ko:K02066	mavd:NF84_11390
ko:K02067	mavd:NF84_11395
ko:K02067	mavd:NF84_11400
ko:K02067	mavd:NF84_11405
ko:K02067	mavd:NF84_11410
ko:K02067	mavd:NF84_11415
ko:K02067	mavd:NF84_11420
ko:K18481	mavd:NF84_11425
ko:K18481	mavd:NF84_11430
ko:K00059	mavd:NF84_11480
ko:K00626	mavd:NF84_11520
ko:K01692	mavd:NF84_11525
ko:K00128	mavd:NF84_11555
ko:K07090	mavd:NF84_15970
ko:K03781	mavd:NF84_15975
ko:K01574	mavd:NF84_16065
ko:K01607	mavd:NF84_16115
ko:K06916	mavd:NF84_16165
ko:K16647	mavd:NF84_16180
ko:K07305	mavd:NF84_16185
ko:K00231	mavd:NF84_16215
ko:K01599	mavd:NF84_16220
ko:K01692	mavd:NF84_16225
ko:K03684	mavd:NF84_16235
ko:K01662	mavd:NF84_16240
ko:K02919	mavd:NF84_20215
ko:K02518	mavd:NF84_20220
ko:K01790	mavd:NF84_20240
ko:K00140	mavd:NF84_20290
ko:K00817	mavd:NF84_20310
ko:K00648	mavd:NF84_20315
ko:K01652	mavd:NF84_20325
ko:K02003	mavd:NF84_20330
ko:K02004	mavd:NF84_20335
ko:K16839	mavd:NF84_20350
ko:K03088	mavd:NF84_20360
ko:K01265	mavd:NF84_20365
ko:K00939	mavd:NF84_20370
ko:K03076	mavd:NF84_20375
ko:K00854	mavd:NF84_20390
ko:K00058	mavd:NF84_20395
ko:K01628	mavd:NF84_20400
ko:K04773	mavd:NF84_20430
ko:K02876	mavd:NF84_20440
ko:K02907	mavd:NF84_20445
ko:K02988	mavd:NF84_20450
ko:K02881	mavd:NF84_20455
ko:K02933	mavd:NF84_20460
ko:K02994	mavd:NF84_20465
ko:K02954	mavd:NF84_20470
ko:K02931	mavd:NF84_20475
ko:K02895	mavd:NF84_20480
ko:K02874	mavd:NF84_20485
ko:K02066	mavd:NF84_04065
ko:K02066	mavd:NF84_04070
ko:K02067	mavd:NF84_04080
ko:K02067	mavd:NF84_04085
ko:K18481	mavd:NF84_04110
ko:K18481	mavd:NF84_04115
ko:K02164	mavd:NF84_04140
ko:K18687	mavd:NF84_04180
ko:K02192	mavd:NF84_04190
ko:K01796	mavd:NF84_04205
ko:K14267	mavd:NF84_04220
ko:K00626	mavd:NF84_04225
ko:K01782	mavd:NF84_04230
ko:K10843	mavd:NF84_04275
ko:K03637	mavd:NF84_04290
ko:K03635	mavd:NF84_04300
ko:K03639	mavd:NF84_04315
ko:K03704	mavd:NF84_04325
ko:K07393	mavd:NF84_04335
ko:K00121	mavd:NF84_08750
ko:K05337	mavd:NF84_08780
ko:K01006	mavd:NF84_08835
ko:K07068	mavd:NF84_08860
ko:K18481	mavd:NF84_08880
ko:K18481	mavd:NF84_08885
ko:K03624	mavd:NF84_08930
ko:K05337	mavd:NF84_08970
ko:K01992	mavd:NF84_08995
ko:K01626	mavd:NF84_09010
ko:K04787	mavd:NF84_09015
ko:K04788	mavd:NF84_09020
ko:K12507	mavd:NF84_13410
ko:K00666	mavd:NF84_13430
ko:K07068	mavd:NF84_13440
ko:K16051	mavd:NF84_13530
ko:K15982	mavd:NF84_13600
ko:K01953	mavd:NF84_13690
ko:K06200	mavd:NF84_17975
ko:K06994	mavd:NF84_18050
ko:K16786	mavd:NF84_18055
ko:K16787	mavd:NF84_18055
ko:K01689	mavd:NF84_18060
