ko:K00500	chb:G5O_0748
ko:K09013	chb:G5O_0066
ko:K09015	chb:G5O_0067
ko:K11717	chb:G5O_0068
ko:K07220	chb:G5O_0075
ko:K03306	chb:G5O_0076
ko:K00927	chb:G5O_0077
ko:K04058	chb:G5O_0494
ko:K03230	chb:G5O_0495
ko:K03229	chb:G5O_0496
ko:K06942	chb:G5O_0497
ko:K11753	chb:G5O_0498
ko:K02834	chb:G5O_0500
ko:K02519	chb:G5O_0501
ko:K02600	chb:G5O_0502
ko:K02945	chb:G5O_0503
ko:K00997	chb:G5O_0505
ko:K03217	chb:G5O_0508
ko:K02313	chb:G5O_0509
ko:K00688	chb:G5O_0511
ko:K00627	chb:G5O_0512
ko:K00162	chb:G5O_0513
ko:K00161	chb:G5O_0514
ko:K02536	chb:G5O_0516
ko:K06142	chb:G5O_0517
ko:K07277	chb:G5O_0518
ko:K06187	chb:G5O_0519
ko:K01159	chb:G5O_0138
ko:K03550	chb:G5O_0139
ko:K00940	chb:G5O_0140
ko:K03800	chb:G5O_0141
ko:K03495	chb:G5O_0142
ko:K00995	chb:G5O_0145
ko:K03301	chb:G5O_0146
ko:K00859	chb:G5O_0149
ko:K03628	chb:G5O_0150
ko:K00762	chb:G5O_0153
ko:K00975	chb:G5O_0154
ko:K07099	chb:G5O_0155
ko:K01772	chb:G5O_0158
ko:K01057	chb:G5O_0577
ko:K00036	chb:G5O_0578
ko:K15580	chb:G5O_0579
ko:K03402	chb:G5O_0581
ko:K02029	chb:G5O_0582
ko:K07058	chb:G5O_0586
ko:K01783	chb:G5O_0589
ko:K02356	chb:G5O_0590
ko:K02160	chb:G5O_0591
ko:K01961	chb:G5O_0592
ko:K00658	chb:G5O_0248
ko:K06041	chb:G5O_0249
ko:K07164	chb:G5O_0250
ko:K00600	chb:G5O_0255
ko:K01358	chb:G5O_0256
ko:K01778	chb:G5O_0257
ko:K03183	chb:G5O_0259
ko:K07042	chb:G5O_0266
ko:K03652	chb:G5O_0270
ko:K12573	chb:G5O_0271
ko:K04043	chb:G5O_0273
ko:K03687	chb:G5O_0274
ko:K03705	chb:G5O_0275
ko:K02959	chb:G5O_0691
ko:K03106	chb:G5O_0692
ko:K02493	chb:G5O_0693
ko:K02835	chb:G5O_0694
ko:K02909	chb:G5O_0695
ko:K03100	chb:G5O_0697
ko:K01870	chb:G5O_0698
ko:K07175	chb:G5O_0700
ko:K00426	chb:G5O_0705
ko:K00425	chb:G5O_0706
ko:K02517	chb:G5O_0709
ko:K00873	chb:G5O_0710
ko:K03701	chb:G5O_0711
ko:K01873	chb:G5O_0713
ko:K06888	chb:G5O_0338
ko:K02528	chb:G5O_0340
ko:K01662	chb:G5O_0341
ko:K03602	chb:G5O_0343
ko:K03601	chb:G5O_0344
ko:K01803	chb:G5O_0345
ko:K03075	chb:G5O_0346
ko:K01462	chb:G5O_0347
ko:K06287	chb:G5O_0350
ko:K03733	chb:G5O_0352
ko:K01338	chb:G5O_0355
ko:K02970	chb:G5O_0357
ko:K03686	chb:G5O_0358
ko:K11381	chb:G5O_0359
ko:K03527	chb:G5O_0780
ko:K03321	chb:G5O_0783
ko:K01265	chb:G5O_0789
ko:K02956	chb:G5O_0799
ko:K00962	chb:G5O_0800
ko:K03798	chb:G5O_0801
ko:K04075	chb:G5O_0802
ko:K07091	chb:G5O_0803
ko:K11720	chb:G5O_0804
ko:K01889	chb:G5O_0807
ko:K02887	chb:G5O_0808
ko:K02916	chb:G5O_0809
ko:K02520	chb:G5O_0810
ko:K03625	chb:G5O_0811
ko:K00075	chb:G5O_0812
ko:K09760	chb:G5O_0819
ko:K01902	chb:G5O_0824
ko:K01903	chb:G5O_0825
ko:K03110	chb:G5O_0826
ko:K06890	chb:G5O_0827
ko:K03834	chb:G5O_0828
ko:K00820	chb:G5O_0829
ko:K03696	chb:G5O_0386
ko:K03800	chb:G5O_0387
ko:K02437	chb:G5O_0390
ko:K00350	chb:G5O_0391
ko:K00349	chb:G5O_0392
ko:K00348	chb:G5O_0393
ko:K02313	chb:G5O_0397
ko:K03438	chb:G5O_0400
ko:K03587	chb:G5O_0402
ko:K01928	chb:G5O_0403
ko:K01448	chb:G5O_0404
ko:K01962	chb:G5O_0408
ko:K07083	chb:G5O_0411
ko:K00263	chb:G5O_0887
ko:K09458	chb:G5O_0890
ko:K09710	chb:G5O_0891
ko:K00791	chb:G5O_0895
ko:K03926	chb:G5O_0899
ko:K06960	chb:G5O_0900
ko:K02563	chb:G5O_0902
ko:K03588	chb:G5O_0903
ko:K01925	chb:G5O_0905
ko:K01000	chb:G5O_0906
ko:K01929	chb:G5O_0907
ko:K02356	chb:G5O_0912
ko:K01241	chb:G5O_0913
ko:K00615	chb:G5O_0914
ko:K01872	chb:G5O_0915
ko:K03723	chb:G5O_0916
ko:K01599	chb:G5O_0917
ko:K00231	chb:G5O_0919
ko:K03210	chb:G5O_0923
ko:K00351	chb:G5O_0924
ko:K03466	chb:G5O_0932
ko:K03310	chb:G5O_0936
ko:K00794	chb:G5O_0940
ko:K14652	chb:G5O_0941
ko:K11752	chb:G5O_0942
ko:K00346	chb:G5O_0009
ko:K03582	chb:G5O_0015
ko:K03583	chb:G5O_0016
ko:K07146	chb:G5O_0018
ko:K02986	chb:G5O_0019
ko:K01151	chb:G5O_0020
ko:K03980	chb:G5O_0021
ko:K01255	chb:G5O_0440
ko:K02340	chb:G5O_0442
ko:K07056	chb:G5O_0443
ko:K00164	chb:G5O_0450
ko:K00658	chb:G5O_0451
ko:K05810	chb:G5O_0452
ko:K03526	chb:G5O_0453
ko:K02400	chb:G5O_0463
ko:K02405	chb:G5O_0464
ko:K01866	chb:G5O_0466
ko:K03572	chb:G5O_1000
ko:K01868	chb:G5O_1006
ko:K01867	chb:G5O_1010
ko:K03702	chb:G5O_1011
ko:K01689	chb:G5O_1012
ko:K00240	chb:G5O_1018
ko:K00239	chb:G5O_1019
ko:K03424	chb:G5O_1021
ko:K03562	chb:G5O_1023
ko:K03641	chb:G5O_1026
ko:K03640	chb:G5O_1027
ko:K03648	chb:G5O_1036
ko:K03657	chb:G5O_1037
ko:K03092	chb:G5O_1038
ko:K03168	chb:G5O_1040
ko:K02221	chb:G5O_1042
ko:K06137	chb:G5O_1048
ko:K13941	chb:G5O_1051
ko:K01633	chb:G5O_1052
ko:K03086	chb:G5O_1053
ko:K02968	chb:G5O_1055
ko:K01840	chb:G5O_0375
ko:K11645	chb:G5O_0535
ko:K15583	chb:G5O_0637
ko:K00850	chb:G5O_0640
ko:K10823	chb:G5O_0636
ko:K01834	chb:G5O_0950
ko:K07714	chb:G5O_0180
ko:K00895	chb:G5O_0642
ko:K08719	chb:G5O_0960
ko:K02067	chb:G5O_0663
ko:K11707	chb:G5O_0473
ko:K11709	chb:G5O_0476
ko:K11708	chb:G5O_0475
ko:K11710	chb:G5O_0474
ko:K03559	chb:G5O_1024
ko:K09810	chb:G5O_0568
ko:K02028	chb:G5O_0583
ko:K14233	chb:G5O_0232
ko:K14220	chb:G5O_0679
ko:K14224	chb:G5O_0056
ko:K01985	chb:G5O_0926
ko:K17103	chb:G5O_0818
ko:K14219	chb:G5O_0179
ko:K14219	chb:G5O_0031
ko:K14234	chb:G5O_0560
ko:K01980	chb:G5O_0927
ko:K04084	chb:G5O_1022
ko:K14227	chb:G5O_0623
ko:K14233	chb:G5O_0806
ko:K14226	chb:G5O_0931
ko:K14218	chb:G5O_0012
ko:K14218	chb:G5O_0624
ko:K14234	chb:G5O_0051
ko:K14229	chb:G5O_0055
ko:K14225	chb:G5O_0061
ko:K14228	chb:G5O_0097
ko:K14228	chb:G5O_0135
ko:K14228	chb:G5O_0184
ko:K14228	chb:G5O_0174
ko:K14228	chb:G5O_0774
ko:K14233	chb:G5O_0144
ko:K14233	chb:G5O_0337
ko:K14219	chb:G5O_0405
ko:K14219	chb:G5O_1031
ko:K14231	chb:G5O_0224
ko:K14232	chb:G5O_0460
ko:K14232	chb:G5O_1062
ko:K14221	chb:G5O_0555
ko:K14237	chb:G5O_0556
ko:K14236	chb:G5O_0561
ko:K14230	chb:G5O_0643
ko:K14230	chb:G5O_0644
ko:K14230	chb:G5O_0739
ko:K14235	chb:G5O_0733
ko:K14222	chb:G5O_0908
ko:K01977	chb:G5O_0929
ko:K14225	chb:G5O_0966
ko:K14234	chb:G5O_0735
ko:K14237	chb:G5O_0814
ko:K14223	chb:G5O_0860
ko:K06972	chb:G5O_0820
ko:K04077	chb:G5O_1032
ko:K07081	chb:G5O_0260
ko:K08275	chb:G5O_0486
ko:K08274	chb:G5O_0770
ko:K18707	chb:G5O_0297
ko:K03496	chb:G5O_1007
ko:K03496	chb:G5O_p0003
ko:K03497	chb:G5O_0072
ko:K03825	chb:G5O_0192
ko:K03111	chb:G5O_0439
ko:K02626	chb:G5O_0765
ko:K11991	chb:G5O_0798
ko:K04771	chb:G5O_0822
ko:K19405	chb:G5O_0053
ko:K19411	chb:G5O_0054
ko:K11749	chb:G5O_0478
ko:K07033	chb:G5O_0065
ko:K12132	chb:G5O_0712
ko:K20074	chb:G5O_0429
ko:K20265	chb:G5O_0534
ko:K01214	chb:G5O_0437
ko:K01802	chb:G5O_0094
ko:K22099	chb:G5O_1049
ko:K00526	chb:G5O_0816
ko:K01520	chb:G5O_0378
ko:K02335	chb:G5O_0148
ko:K02316	chb:G5O_0869
ko:K03553	chb:G5O_1047
ko:K00287	chb:G5O_1050
ko:K02314	chb:G5O_p0006
ko:K02314	chb:G5O_0143
ko:K03309	chb:G5O_0247
ko:K02031	chb:G5O_0074
ko:K00525	chb:G5O_0817
ko:K02050	chb:G5O_0785
ko:K02051	chb:G5O_0785
ko:K01829	chb:G5O_0877
ko:K01534	chb:G5O_0945
ko:K16239	chb:G5O_0490
