ko:K02029	lhl:LBHH_0678
ko:K03723	lhl:LBHH_0258
ko:K04075	lhl:LBHH_0262
ko:K03798	lhl:LBHH_0263
ko:K04083	lhl:LBHH_0264
ko:K04567	lhl:LBHH_0266
ko:K03696	lhl:LBHH_0269
ko:K03043	lhl:LBHH_0270
ko:K03046	lhl:LBHH_0271
ko:K02950	lhl:LBHH_0274
ko:K02992	lhl:LBHH_0275
ko:K02355	lhl:LBHH_0276
ko:K02946	lhl:LBHH_0278
ko:K02906	lhl:LBHH_0279
ko:K02926	lhl:LBHH_0280
ko:K02892	lhl:LBHH_0281
ko:K02886	lhl:LBHH_0282
ko:K02965	lhl:LBHH_0283
ko:K02890	lhl:LBHH_0284
ko:K02982	lhl:LBHH_0285
ko:K02878	lhl:LBHH_0286
ko:K02904	lhl:LBHH_0287
ko:K02961	lhl:LBHH_0288
ko:K02874	lhl:LBHH_0289
ko:K02895	lhl:LBHH_0290
ko:K02931	lhl:LBHH_0291
ko:K02994	lhl:LBHH_0292
ko:K02933	lhl:LBHH_0293
ko:K02881	lhl:LBHH_0294
ko:K02988	lhl:LBHH_0295
ko:K02907	lhl:LBHH_0296
ko:K02876	lhl:LBHH_0297
ko:K03076	lhl:LBHH_0298
ko:K02518	lhl:LBHH_0300
ko:K02952	lhl:LBHH_0301
ko:K02948	lhl:LBHH_0302
ko:K03040	lhl:LBHH_0303
ko:K02879	lhl:LBHH_0304
ko:K14540	lhl:LBHH_1130
ko:K11068	lhl:LBHH_1134
ko:K03530	lhl:LBHH_1140
ko:K03977	lhl:LBHH_1141
ko:K02945	lhl:LBHH_1142
ko:K02503	lhl:LBHH_0516
ko:K03439	lhl:LBHH_0521
ko:K06878	lhl:LBHH_0523
ko:K01924	lhl:LBHH_0525
ko:K01938	lhl:LBHH_0533
ko:K01588	lhl:LBHH_0534
ko:K01589	lhl:LBHH_0535
ko:K01923	lhl:LBHH_0536
ko:K01952	lhl:LBHH_0537
ko:K01952	lhl:LBHH_0538
ko:K00764	lhl:LBHH_0539
ko:K01933	lhl:LBHH_0540
ko:K11175	lhl:LBHH_0541
ko:K00602	lhl:LBHH_0542
ko:K01945	lhl:LBHH_0543
ko:K15342	lhl:LBHH_0549
ko:K00859	lhl:LBHH_0562
ko:K07738	lhl:LBHH_0563
ko:K01868	lhl:LBHH_0566
ko:K00075	lhl:LBHH_1408
ko:K06925	lhl:LBHH_1410
ko:K03648	lhl:LBHH_1412
ko:K01803	lhl:LBHH_1415
ko:K00927	lhl:LBHH_1416
ko:K00134	lhl:LBHH_1417
ko:K05311	lhl:LBHH_1418
ko:K01358	lhl:LBHH_1425
ko:K06958	lhl:LBHH_1429
ko:K03701	lhl:LBHH_1431
ko:K03702	lhl:LBHH_1432
ko:K00975	lhl:LBHH_1434
ko:K00057	lhl:LBHH_1435
ko:K13292	lhl:LBHH_1436
ko:K02836	lhl:LBHH_1439
ko:K03070	lhl:LBHH_1440
ko:K00995	lhl:LBHH_1448
ko:K03466	lhl:LBHH_1453
ko:K03216	lhl:LBHH_1455
ko:K00826	lhl:LBHH_0742
ko:K02888	lhl:LBHH_0744
ko:K02899	lhl:LBHH_0745
ko:K02356	lhl:LBHH_0747
ko:K03625	lhl:LBHH_0749
ko:K01491	lhl:LBHH_0750
ko:K03601	lhl:LBHH_0751
ko:K03602	lhl:LBHH_0752
ko:K13789	lhl:LBHH_0753
ko:K06442	lhl:LBHH_0754
ko:K03631	lhl:LBHH_0755
ko:K00942	lhl:LBHH_0757
ko:K03060	lhl:LBHH_0758
ko:K04066	lhl:LBHH_0759
ko:K00604	lhl:LBHH_0760
ko:K03500	lhl:LBHH_0761
ko:K06949	lhl:LBHH_0764
ko:K01783	lhl:LBHH_0765
ko:K02902	lhl:LBHH_0768
ko:K03655	lhl:LBHH_0771
ko:K03621	lhl:LBHH_0772
ko:K02078	lhl:LBHH_0773
ko:K02034	lhl:LBHH_0777
ko:K03685	lhl:LBHH_0780
ko:K03529	lhl:LBHH_0781
ko:K03110	lhl:LBHH_0782
ko:K08659	lhl:LBHH_0783
ko:K03106	lhl:LBHH_0788
ko:K02959	lhl:LBHH_0789
ko:K02860	lhl:LBHH_0790
ko:K00554	lhl:LBHH_0791
ko:K02884	lhl:LBHH_0792
ko:K01356	lhl:LBHH_0795
ko:K00945	lhl:LBHH_1143
ko:K06178	lhl:LBHH_1146
ko:K06024	lhl:LBHH_1147
ko:K05896	lhl:LBHH_1148
ko:K02859	lhl:LBHH_1149
ko:K00243	lhl:LBHH_1151
ko:K00873	lhl:LBHH_1152
ko:K00850	lhl:LBHH_1153
ko:K02337	lhl:LBHH_1154
ko:K02911	lhl:LBHH_1157
ko:K07124	lhl:LBHH_1159
ko:K03979	lhl:LBHH_1162
ko:K03703	lhl:LBHH_1163
ko:K13038	lhl:LBHH_1169
ko:K01876	lhl:LBHH_1172
ko:K01892	lhl:LBHH_1173
ko:K07560	lhl:LBHH_1174
ko:K02687	lhl:LBHH_1177
ko:K07106	lhl:LBHH_2008
ko:K06901	lhl:LBHH_2014
ko:K07133	lhl:LBHH_2015
ko:K06901	lhl:LBHH_2018
ko:K06901	lhl:LBHH_2020
ko:K03495	lhl:LBHH_2030
ko:K03650	lhl:LBHH_2031
ko:K03217	lhl:LBHH_2032
ko:K03536	lhl:LBHH_2033
ko:K01443	lhl:LBHH_1616
ko:K03710	lhl:LBHH_1617
ko:K03724	lhl:LBHH_1621
ko:K01610	lhl:LBHH_1624
ko:K00925	lhl:LBHH_1630
ko:K00820	lhl:LBHH_1635
ko:K04072	lhl:LBHH_1636
ko:K07407	lhl:LBHH_1644
ko:K01193	lhl:LBHH_1647
ko:K01875	lhl:LBHH_1649
ko:K00948	lhl:LBHH_0140
ko:K01921	lhl:LBHH_0146
ko:K02044	lhl:LBHH_0157
ko:K02041	lhl:LBHH_0158
ko:K02042	lhl:LBHH_0159
ko:K02042	lhl:LBHH_0160
ko:K01246	lhl:LBHH_0162
ko:K01953	lhl:LBHH_0165
ko:K03549	lhl:LBHH_0174
ko:K03701	lhl:LBHH_1049
ko:K05846	lhl:LBHH_1054
ko:K05847	lhl:LBHH_1055
ko:K05846	lhl:LBHH_1056
ko:K05845	lhl:LBHH_1057
ko:K03523	lhl:LBHH_1062
ko:K00549	lhl:LBHH_1888
ko:K00297	lhl:LBHH_1889
ko:K06901	lhl:LBHH_1892
ko:K00759	lhl:LBHH_1893
ko:K03523	lhl:LBHH_1895
ko:K03524	lhl:LBHH_1896
ko:K00208	lhl:LBHH_1897
ko:K01962	lhl:LBHH_1898
ko:K01963	lhl:LBHH_1899
ko:K01961	lhl:LBHH_1900
ko:K02372	lhl:LBHH_1901
ko:K02160	lhl:LBHH_1902
ko:K09458	lhl:LBHH_1903
ko:K00645	lhl:LBHH_1905
ko:K02078	lhl:LBHH_1906
ko:K00648	lhl:LBHH_1907
ko:K02372	lhl:LBHH_1909
ko:K08177	lhl:LBHH_1921
ko:K08369	lhl:LBHH_1924
ko:K00767	lhl:LBHH_1925
ko:K13678	lhl:LBHH_0422
ko:K03075	lhl:LBHH_0425
ko:K12573	lhl:LBHH_0426
ko:K03664	lhl:LBHH_0427
ko:K00789	lhl:LBHH_0430
ko:K01869	lhl:LBHH_0434
ko:K05878	lhl:LBHH_0436
ko:K05879	lhl:LBHH_0437
ko:K00384	lhl:LBHH_0448
ko:K03589	lhl:LBHH_1296
ko:K02563	lhl:LBHH_1297
ko:K01925	lhl:LBHH_1298
ko:K01000	lhl:LBHH_1299
ko:K03438	lhl:LBHH_1302
ko:K03925	lhl:LBHH_1303
ko:K03571	lhl:LBHH_1306
ko:K03570	lhl:LBHH_1307
ko:K03569	lhl:LBHH_1308
ko:K03630	lhl:LBHH_1309
ko:K11754	lhl:LBHH_1311
ko:K01873	lhl:LBHH_1312
ko:K03151	lhl:LBHH_1337
ko:K04487	lhl:LBHH_1338
ko:K02986	lhl:LBHH_1340
ko:K07478	lhl:LBHH_1342
ko:K05837	lhl:LBHH_1345
ko:K08998	lhl:LBHH_1347
ko:K03569	lhl:LBHH_1348
ko:K02114	lhl:LBHH_1350
ko:K02057	lhl:LBHH_0691
ko:K02057	lhl:LBHH_0692
ko:K07335	lhl:LBHH_0694
ko:K00762	lhl:LBHH_0704
ko:K01591	lhl:LBHH_0705
ko:K00609	lhl:LBHH_0708
ko:K01465	lhl:LBHH_0709
ko:K01956	lhl:LBHH_0710
ko:K01955	lhl:LBHH_0711
ko:K01821	lhl:LBHH_0740
ko:K03704	lhl:LBHH_1573
ko:K03215	lhl:LBHH_1576
ko:K03315	lhl:LBHH_1577
ko:K06890	lhl:LBHH_1579
ko:K02434	lhl:LBHH_1582
ko:K02435	lhl:LBHH_1584
ko:K01972	lhl:LBHH_1586
ko:K03657	lhl:LBHH_1587
ko:K00763	lhl:LBHH_1595
ko:K05946	lhl:LBHH_1597
ko:K03710	lhl:LBHH_1600
ko:K01126	lhl:LBHH_1607
ko:K02044	lhl:LBHH_0021
ko:K00847	lhl:LBHH_0023
ko:K07507	lhl:LBHH_0030
ko:K01689	lhl:LBHH_0044
ko:K02068	lhl:LBHH_0047
ko:K02069	lhl:LBHH_0048
ko:K03778	lhl:LBHH_0077
ko:K01142	lhl:LBHH_0078
ko:K02621	lhl:LBHH_0923
ko:K02622	lhl:LBHH_0924
ko:K08591	lhl:LBHH_0925
ko:K04047	lhl:LBHH_0929
ko:K09157	lhl:LBHH_0937
ko:K07166	lhl:LBHH_0938
ko:K02029	lhl:LBHH_0951
ko:K07559	lhl:LBHH_0959
ko:K08602	lhl:LBHH_1776
ko:K06956	lhl:LBHH_1783
ko:K01779	lhl:LBHH_1790
ko:K01928	lhl:LBHH_1791
ko:K06942	lhl:LBHH_1797
ko:K03501	lhl:LBHH_1802
ko:K03734	lhl:LBHH_1804
ko:K08659	lhl:LBHH_1810
ko:K02003	lhl:LBHH_1811
ko:K09861	lhl:LBHH_1816
ko:K07727	lhl:LBHH_1831
ko:K02520	lhl:LBHH_0572
ko:K02916	lhl:LBHH_0573
ko:K02887	lhl:LBHH_0574
ko:K07015	lhl:LBHH_0575
ko:K00969	lhl:LBHH_0577
ko:K09710	lhl:LBHH_0579
ko:K07040	lhl:LBHH_0581
ko:K03217	lhl:LBHH_0592
ko:K01512	lhl:LBHH_0593
ko:K03437	lhl:LBHH_0594
ko:K01889	lhl:LBHH_0596
ko:K01890	lhl:LBHH_0597
ko:K06173	lhl:LBHH_0308
ko:K02871	lhl:LBHH_0309
ko:K02996	lhl:LBHH_0310
ko:K03152	lhl:LBHH_0312
ko:K07090	lhl:LBHH_0314
ko:K01531	lhl:LBHH_0321
ko:K04485	lhl:LBHH_0329
ko:K01883	lhl:LBHH_0331
ko:K11145	lhl:LBHH_0332
ko:K03218	lhl:LBHH_0333
ko:K03091	lhl:LBHH_0334
ko:K01662	lhl:LBHH_0337
ko:K03073	lhl:LBHH_0338
ko:K02601	lhl:LBHH_0339
ko:K02867	lhl:LBHH_0340
ko:K02863	lhl:LBHH_0341
ko:K02040	lhl:LBHH_0342
ko:K02037	lhl:LBHH_0343
ko:K02038	lhl:LBHH_0344
ko:K02036	lhl:LBHH_0345
ko:K02036	lhl:LBHH_0346
ko:K02039	lhl:LBHH_0347
ko:K07088	lhl:LBHH_0348
ko:K02864	lhl:LBHH_0349
ko:K02935	lhl:LBHH_0350
ko:K02343	lhl:LBHH_0354
ko:K09747	lhl:LBHH_0355
ko:K06187	lhl:LBHH_0356
ko:K00943	lhl:LBHH_0358
ko:K02341	lhl:LBHH_0360
ko:K07056	lhl:LBHH_0362
ko:K03624	lhl:LBHH_0598
ko:K02913	lhl:LBHH_0604
ko:K00791	lhl:LBHH_0609
ko:K01915	lhl:LBHH_0612
ko:K02529	lhl:LBHH_0620
ko:K02781	lhl:LBHH_1457
ko:K06180	lhl:LBHH_1462
ko:K00858	lhl:LBHH_1463
ko:K02837	lhl:LBHH_1475
ko:K03565	lhl:LBHH_1479
ko:K00963	lhl:LBHH_1493
ko:K07058	lhl:LBHH_1494
ko:K01265	lhl:LBHH_1495
ko:K02761	lhl:LBHH_1500
ko:K00760	lhl:LBHH_1504
ko:K03481	lhl:LBHH_1510
ko:K00574	lhl:LBHH_0800
ko:K00655	lhl:LBHH_0801
ko:K07461	lhl:LBHH_0802
ko:K02967	lhl:LBHH_0803
ko:K02357	lhl:LBHH_0804
ko:K09903	lhl:LBHH_0805
ko:K02838	lhl:LBHH_0806
ko:K00981	lhl:LBHH_0808
ko:K11749	lhl:LBHH_0809
ko:K01881	lhl:LBHH_0810
ko:K03763	lhl:LBHH_0811
ko:K09748	lhl:LBHH_0812
ko:K02600	lhl:LBHH_0813
ko:K07742	lhl:LBHH_0814
ko:K02519	lhl:LBHH_0816
ko:K02834	lhl:LBHH_0817
ko:K11753	lhl:LBHH_0819
ko:K03705	lhl:LBHH_0820
ko:K03687	lhl:LBHH_0821
ko:K04043	lhl:LBHH_0822
ko:K03686	lhl:LBHH_0823
ko:K03596	lhl:LBHH_0827
ko:K07462	lhl:LBHH_0829
ko:K00759	lhl:LBHH_0830
ko:K01738	lhl:LBHH_0831
ko:K00651	lhl:LBHH_0832
ko:K06131	lhl:LBHH_0833
ko:K05964	lhl:LBHH_0840
ko:K01733	lhl:LBHH_0849
ko:K00003	lhl:LBHH_0850
ko:K00872	lhl:LBHH_0852
ko:K09773	lhl:LBHH_0855
ko:K02970	lhl:LBHH_0856
ko:K08659	lhl:LBHH_1665
ko:K03778	lhl:LBHH_1678
ko:K07088	lhl:LBHH_1679
ko:K03811	lhl:LBHH_1687
ko:K02356	lhl:LBHH_1700
ko:K03657	lhl:LBHH_1704
ko:K07085	lhl:LBHH_1709
ko:K09758	lhl:LBHH_1710
ko:K01643	lhl:LBHH_1196
ko:K01644	lhl:LBHH_1197
ko:K01646	lhl:LBHH_1198
ko:K01910	lhl:LBHH_1199
ko:K03319	lhl:LBHH_1201
ko:K07133	lhl:LBHH_1210
ko:K02072	lhl:LBHH_1211
ko:K02071	lhl:LBHH_1212
ko:K02073	lhl:LBHH_1213
ko:K01442	lhl:LBHH_1220
ko:K01689	lhl:LBHH_1223
ko:K01223	lhl:LBHH_1228
ko:K02761	lhl:LBHH_1229
ko:K00763	lhl:LBHH_1236
ko:K01223	lhl:LBHH_1240
ko:K01304	lhl:LBHH_0191
ko:K01866	lhl:LBHH_0197
ko:K06950	lhl:LBHH_0199
ko:K13993	lhl:LBHH_0202
ko:K03624	lhl:LBHH_0203
ko:K01867	lhl:LBHH_0206
ko:K01531	lhl:LBHH_0209
ko:K01874	lhl:LBHH_0210
ko:K03424	lhl:LBHH_0211
ko:K05985	lhl:LBHH_0212
ko:K02528	lhl:LBHH_0213
ko:K04042	lhl:LBHH_0217
ko:K00948	lhl:LBHH_0221
ko:K06885	lhl:LBHH_0224
ko:K01937	lhl:LBHH_0227
ko:K00790	lhl:LBHH_0228
ko:K08659	lhl:LBHH_0231
ko:K03816	lhl:LBHH_0234
ko:K01951	lhl:LBHH_0237
ko:K00600	lhl:LBHH_0240
ko:K08987	lhl:LBHH_1096
ko:K00868	lhl:LBHH_1105
ko:K03654	lhl:LBHH_1110
ko:K01581	lhl:LBHH_1113
ko:K06199	lhl:LBHH_1116
ko:K06199	lhl:LBHH_1117
ko:K03667	lhl:LBHH_1123
ko:K01419	lhl:LBHH_1124
ko:K03733	lhl:LBHH_1125
ko:K04094	lhl:LBHH_1126
ko:K03168	lhl:LBHH_1127
ko:K04096	lhl:LBHH_1128
ko:K03470	lhl:LBHH_1129
ko:K00864	lhl:LBHH_1943
ko:K00941	lhl:LBHH_1944
ko:K01756	lhl:LBHH_1955
ko:K01939	lhl:LBHH_1956
ko:K00364	lhl:LBHH_1957
ko:K01914	lhl:LBHH_1959
ko:K03100	lhl:LBHH_1964
ko:K02761	lhl:LBHH_1967
ko:K02003	lhl:LBHH_1968
ko:K03740	lhl:LBHH_1980
ko:K14188	lhl:LBHH_1981
ko:K03739	lhl:LBHH_1982
ko:K03367	lhl:LBHH_1983
ko:K00691	lhl:LBHH_1935
ko:K10040	lhl:LBHH_1539
ko:K01271	lhl:LBHH_0411
ko:K00980	lhl:LBHH_1599
ko:K01779	lhl:LBHH_1834
ko:K01928	lhl:LBHH_1835
ko:K06147	lhl:LBHH_1838
ko:K06147	lhl:LBHH_1839
ko:K06942	lhl:LBHH_1841
ko:K03497	lhl:LBHH_1843
ko:K03496	lhl:LBHH_1844
ko:K03497	lhl:LBHH_1845
ko:K03501	lhl:LBHH_1846
ko:K03734	lhl:LBHH_1848
ko:K01104	lhl:LBHH_1849
ko:K08659	lhl:LBHH_1854
ko:K02003	lhl:LBHH_1855
ko:K02004	lhl:LBHH_1856
ko:K06889	lhl:LBHH_1859
ko:K09861	lhl:LBHH_1860
ko:K02029	lhl:LBHH_0950
ko:K10039	lhl:LBHH_1551
ko:K00088	lhl:LBHH_0200
ko:K09685	lhl:LBHH_0216
ko:K03048	lhl:LBHH_0226
ko:K01258	lhl:LBHH_1101
ko:K07009	lhl:LBHH_1946
ko:K09963	lhl:LBHH_1958
ko:K01262	lhl:LBHH_0746
ko:K00949	lhl:LBHH_0766
ko:K07030	lhl:LBHH_0770
ko:K02033	lhl:LBHH_0776
ko:K02035	lhl:LBHH_0778
ko:K02035	lhl:LBHH_0779
ko:K03294	lhl:LBHH_0785
ko:K09787	lhl:LBHH_0787
ko:K09976	lhl:LBHH_0797
ko:K01607	lhl:LBHH_1629
ko:K02795	lhl:LBHH_1642
ko:K02793	lhl:LBHH_1643
ko:K02794	lhl:LBHH_1643
ko:K00135	lhl:LBHH_1654
ko:K06994	lhl:LBHH_1656
ko:K07729	lhl:LBHH_0046
ko:K05833	lhl:LBHH_0066
ko:K05832	lhl:LBHH_0067
ko:K01989	lhl:LBHH_0068
ko:K06147	lhl:LBHH_0075
ko:K03768	lhl:LBHH_0920
ko:K15986	lhl:LBHH_0921
ko:K09705	lhl:LBHH_0933
ko:K06889	lhl:LBHH_2044
ko:K00383	lhl:LBHH_0942
ko:K07729	lhl:LBHH_0965
ko:K07457	lhl:LBHH_0966
ko:K02074	lhl:LBHH_1785
ko:K02077	lhl:LBHH_1786
ko:K06147	lhl:LBHH_1794
ko:K01104	lhl:LBHH_1805
ko:K02004	lhl:LBHH_1812
ko:K06889	lhl:LBHH_1815
ko:K00882	lhl:LBHH_1824
ko:K03436	lhl:LBHH_1825
ko:K07668	lhl:LBHH_0096
ko:K07652	lhl:LBHH_0097
ko:K01259	lhl:LBHH_0109
ko:K07386	lhl:LBHH_0997
ko:K01361	lhl:LBHH_1000
ko:K07533	lhl:LBHH_1001
ko:K01081	lhl:LBHH_1007
ko:K08161	lhl:LBHH_1871
ko:K03647	lhl:LBHH_1882
ko:K03177	lhl:LBHH_0818
ko:K02025	lhl:LBHH_1663
ko:K15051	lhl:LBHH_1666
ko:K02342	lhl:LBHH_1667
ko:K01259	lhl:LBHH_1692
ko:K01488	lhl:LBHH_1693
ko:K00867	lhl:LBHH_1701
ko:K02004	lhl:LBHH_1718
ko:K03469	lhl:LBHH_0134
ko:K01104	lhl:LBHH_0155
ko:K09155	lhl:LBHH_0171
ko:K07386	lhl:LBHH_0173
ko:K03455	lhl:LBHH_0183
ko:K07304	lhl:LBHH_1031
ko:K01992	lhl:LBHH_1041
ko:K00059	lhl:LBHH_1904
ko:K03574	lhl:LBHH_0867
ko:K01258	lhl:LBHH_0870
ko:K01823	lhl:LBHH_0881
ko:K00938	lhl:LBHH_0882
ko:K01597	lhl:LBHH_0883
ko:K00869	lhl:LBHH_0884
ko:K02086	lhl:LBHH_0890
ko:K03700	lhl:LBHH_0893
ko:K01424	lhl:LBHH_1724
ko:K01104	lhl:LBHH_1749
ko:K03647	lhl:LBHH_1766
ko:K03486	lhl:LBHH_0453
ko:K01226	lhl:LBHH_0454
ko:K02755	lhl:LBHH_0455
ko:K02756	lhl:LBHH_0455
ko:K02757	lhl:LBHH_0455
ko:K00158	lhl:LBHH_0457
ko:K07258	lhl:LBHH_0472
ko:K05966	lhl:LBHH_0501
ko:K12555	lhl:LBHH_0507
ko:K02248	lhl:LBHH_1380
ko:K02246	lhl:LBHH_1382
ko:K02245	lhl:LBHH_1383
ko:K02244	lhl:LBHH_1384
ko:K02243	lhl:LBHH_1385
ko:K06889	lhl:LBHH_1391
ko:K02755	lhl:LBHH_1394
ko:K02756	lhl:LBHH_1394
ko:K02757	lhl:LBHH_1394
ko:K03488	lhl:LBHH_1395
ko:K01104	lhl:LBHH_1397
ko:K14230	lhl:LBHH_tRNA021
ko:K00016	lhl:LBHH_0256
ko:K02236	lhl:LBHH_0273
ko:K00939	lhl:LBHH_0299
ko:K03316	lhl:LBHH_1131
ko:K00974	lhl:LBHH_1137
ko:K04763	lhl:LBHH_1150
ko:K01119	lhl:LBHH_1156
ko:K00784	lhl:LBHH_1160
ko:K03294	lhl:LBHH_1165
ko:K00841	lhl:LBHH_1171
ko:K03976	lhl:LBHH_1178
ko:K06910	lhl:LBHH_1182
ko:K07052	lhl:LBHH_1999
ko:K02564	lhl:LBHH_2004
ko:K09963	lhl:LBHH_2006
ko:K00033	lhl:LBHH_2029
ko:K03698	lhl:LBHH_0511
ko:K09155	lhl:LBHH_0512
ko:K07533	lhl:LBHH_0514
ko:K10563	lhl:LBHH_0561
