ko:K01006	lmw:LMOSLCC2755_1928
ko:K02412	lmw:LMOSLCC2755_0729
ko:K00820	lmw:LMOSLCC2755_0739
ko:K07726	lmw:LMOSLCC2755_0746
ko:K02237	lmw:LMOSLCC2755_1489
ko:K09710	lmw:LMOSLCC2755_1491
ko:K00969	lmw:LMOSLCC2755_1494
ko:K07574	lmw:LMOSLCC2755_1495
ko:K00014	lmw:LMOSLCC2755_1496
ko:K07015	lmw:LMOSLCC2755_1498
ko:K03624	lmw:LMOSLCC2755_1502
ko:K00876	lmw:LMOSLCC2755_1503
ko:K07082	lmw:LMOSLCC2755_1506
ko:K07447	lmw:LMOSLCC2755_1509
ko:K01872	lmw:LMOSLCC2755_1511
ko:K02003	lmw:LMOSLCC2755_1512
ko:K03581	lmw:LMOSLCC2755_1516
ko:K00566	lmw:LMOSLCC2755_1519
ko:K04487	lmw:LMOSLCC2755_1520
ko:K07478	lmw:LMOSLCC2755_1521
ko:K03320	lmw:LMOSLCC2755_1523
ko:K04751	lmw:LMOSLCC2755_1524
ko:K01876	lmw:LMOSLCC2755_1526
ko:K01892	lmw:LMOSLCC2755_1527
ko:K01448	lmw:LMOSLCC2755_1528
ko:K07560	lmw:LMOSLCC2755_1529
ko:K00759	lmw:LMOSLCC2755_1531
ko:K07462	lmw:LMOSLCC2755_1532
ko:K01624	lmw:LMOSLCC2755_2199
ko:K01624	lmw:LMOSLCC2755_2200
ko:K03710	lmw:LMOSLCC2755_2211
ko:K03671	lmw:LMOSLCC2755_2219
ko:K08177	lmw:LMOSLCC2755_2238
ko:K15975	lmw:LMOSLCC2755_0760
ko:K06999	lmw:LMOSLCC2755_0761
ko:K03665	lmw:LMOSLCC2755_0763
ko:K03800	lmw:LMOSLCC2755_0765
ko:K01118	lmw:LMOSLCC2755_0786
ko:K11737	lmw:LMOSLCC2755_0787
ko:K07150	lmw:LMOSLCC2755_0794
ko:K07118	lmw:LMOSLCC2755_0795
ko:K05786	lmw:LMOSLCC2755_0796
ko:K11733	lmw:LMOSLCC2755_0799
ko:K12257	lmw:LMOSLCC2755_1534
ko:K03210	lmw:LMOSLCC2755_1536
ko:K00773	lmw:LMOSLCC2755_1537
ko:K07568	lmw:LMOSLCC2755_1538
ko:K03551	lmw:LMOSLCC2755_1539
ko:K03550	lmw:LMOSLCC2755_1540
ko:K03979	lmw:LMOSLCC2755_1544
ko:K00864	lmw:LMOSLCC2755_1545
ko:K02440	lmw:LMOSLCC2755_1546
ko:K02899	lmw:LMOSLCC2755_1547
ko:K02888	lmw:LMOSLCC2755_1549
ko:K08301	lmw:LMOSLCC2755_1550
ko:K03609	lmw:LMOSLCC2755_1551
ko:K03610	lmw:LMOSLCC2755_1552
ko:K03571	lmw:LMOSLCC2755_1553
ko:K03570	lmw:LMOSLCC2755_1554
ko:K03569	lmw:LMOSLCC2755_1555
ko:K03630	lmw:LMOSLCC2755_1556
ko:K11754	lmw:LMOSLCC2755_1559
ko:K01873	lmw:LMOSLCC2755_1560
ko:K01845	lmw:LMOSLCC2755_1561
ko:K01698	lmw:LMOSLCC2755_1562
ko:K01749	lmw:LMOSLCC2755_1564
ko:K02492	lmw:LMOSLCC2755_1565
ko:K03978	lmw:LMOSLCC2755_1566
ko:K01868	lmw:LMOSLCC2755_1567
ko:K07738	lmw:LMOSLCC2755_1570
ko:K00859	lmw:LMOSLCC2755_1571
ko:K00031	lmw:LMOSLCC2755_1574
ko:K01647	lmw:LMOSLCC2755_1575
ko:K07113	lmw:LMOSLCC2755_1577
ko:K00873	lmw:LMOSLCC2755_1578
ko:K00850	lmw:LMOSLCC2755_1579
ko:K08600	lmw:LMOSLCC2755_2249
ko:K02013	lmw:LMOSLCC2755_2250
ko:K02015	lmw:LMOSLCC2755_2251
ko:K02016	lmw:LMOSLCC2755_2252
ko:K08602	lmw:LMOSLCC2755_2256
ko:K15581	lmw:LMOSLCC2755_2263
ko:K15580	lmw:LMOSLCC2755_2264
ko:K01867	lmw:LMOSLCC2755_2266
ko:K09458	lmw:LMOSLCC2755_2269
ko:K00648	lmw:LMOSLCC2755_2270
ko:K03695	lmw:LMOSLCC2755_2274
ko:K06890	lmw:LMOSLCC2755_2275
ko:K01772	lmw:LMOSLCC2755_2279
ko:K01599	lmw:LMOSLCC2755_2280
ko:K02503	lmw:LMOSLCC2755_2284
ko:K16329	lmw:LMOSLCC2755_2344
ko:K03629	lmw:LMOSLCC2755_0005
ko:K02470	lmw:LMOSLCC2755_0006
ko:K02469	lmw:LMOSLCC2755_0007
ko:K06131	lmw:LMOSLCC2755_0008
ko:K02826	lmw:LMOSLCC2755_0013
ko:K02827	lmw:LMOSLCC2755_0014
ko:K02828	lmw:LMOSLCC2755_0015
ko:K02829	lmw:LMOSLCC2755_0016
ko:K01223	lmw:LMOSLCC2755_0018
ko:K02529	lmw:LMOSLCC2755_0036
ko:K02761	lmw:LMOSLCC2755_0039
ko:K13252	lmw:LMOSLCC2755_0041
ko:K10536	lmw:LMOSLCC2755_0043
ko:K00926	lmw:LMOSLCC2755_0044
ko:K10536	lmw:LMOSLCC2755_0045
ko:K03481	lmw:LMOSLCC2755_0046
ko:K03975	lmw:LMOSLCC2755_0047
ko:K02990	lmw:LMOSLCC2755_0049
ko:K02963	lmw:LMOSLCC2755_0051
ko:K07813	lmw:LMOSLCC2755_0053
ko:K00847	lmw:LMOSLCC2755_0813
ko:K03324	lmw:LMOSLCC2755_0826
ko:K03737	lmw:LMOSLCC2755_0827
ko:K04041	lmw:LMOSLCC2755_0828
ko:K07088	lmw:LMOSLCC2755_0829
ko:K13256	lmw:LMOSLCC2755_0834
ko:K01921	lmw:LMOSLCC2755_0853
ko:K01929	lmw:LMOSLCC2755_0854
ko:K02529	lmw:LMOSLCC2755_0856
ko:K01962	lmw:LMOSLCC2755_1580
ko:K01963	lmw:LMOSLCC2755_1581
ko:K02337	lmw:LMOSLCC2755_1582
ko:K00259	lmw:LMOSLCC2755_1587
ko:K00925	lmw:LMOSLCC2755_1589
ko:K11065	lmw:LMOSLCC2755_1591
ko:K04773	lmw:LMOSLCC2755_1594
ko:K00858	lmw:LMOSLCC2755_1595
ko:K00611	lmw:LMOSLCC2755_1596
ko:K00930	lmw:LMOSLCC2755_1598
ko:K00620	lmw:LMOSLCC2755_1599
ko:K00145	lmw:LMOSLCC2755_1600
ko:K03151	lmw:LMOSLCC2755_1601
ko:K04487	lmw:LMOSLCC2755_1602
ko:K02986	lmw:LMOSLCC2755_1605
ko:K01866	lmw:LMOSLCC2755_1607
ko:K02529	lmw:LMOSLCC2755_1608
ko:K13853	lmw:LMOSLCC2755_1609
ko:K01924	lmw:LMOSLCC2755_1614
ko:K03466	lmw:LMOSLCC2755_1615
ko:K06878	lmw:LMOSLCC2755_1616
ko:K03439	lmw:LMOSLCC2755_1625
ko:K00014	lmw:LMOSLCC2755_2304
ko:K13531	lmw:LMOSLCC2755_2310
ko:K13530	lmw:LMOSLCC2755_2311
ko:K06180	lmw:LMOSLCC2755_2312
ko:K07220	lmw:LMOSLCC2755_2316
ko:K03306	lmw:LMOSLCC2755_2317
ko:K06901	lmw:LMOSLCC2755_2322
ko:K05520	lmw:LMOSLCC2755_2324
ko:K02759	lmw:LMOSLCC2755_2326
ko:K02250	lmw:LMOSLCC2755_2337
ko:K07707	lmw:LMOSLCC2755_0056
ko:K02939	lmw:LMOSLCC2755_0058
ko:K01939	lmw:LMOSLCC2755_0061
ko:K03466	lmw:LMOSLCC2755_0068
ko:K10778	lmw:LMOSLCC2755_0084
ko:K02110	lmw:LMOSLCC2755_0095
ko:K02113	lmw:LMOSLCC2755_0096
ko:K02111	lmw:LMOSLCC2755_0097
ko:K02115	lmw:LMOSLCC2755_0098
ko:K02112	lmw:LMOSLCC2755_0099
ko:K02114	lmw:LMOSLCC2755_0100
ko:K05592	lmw:LMOSLCC2755_0865
ko:K02759	lmw:LMOSLCC2755_0873
ko:K02760	lmw:LMOSLCC2755_0874
ko:K02761	lmw:LMOSLCC2755_0875
ko:K00231	lmw:LMOSLCC2755_0883
ko:K00997	lmw:LMOSLCC2755_0884
ko:K01775	lmw:LMOSLCC2755_0885
ko:K07723	lmw:LMOSLCC2755_0886
ko:K03321	lmw:LMOSLCC2755_0896
ko:K06959	lmw:LMOSLCC2755_0897
ko:K02761	lmw:LMOSLCC2755_0902
ko:K00824	lmw:LMOSLCC2755_1629
ko:K01695	lmw:LMOSLCC2755_1637
ko:K01696	lmw:LMOSLCC2755_1638
ko:K01817	lmw:LMOSLCC2755_1639
ko:K01609	lmw:LMOSLCC2755_1640
ko:K00766	lmw:LMOSLCC2755_1641
ko:K01657	lmw:LMOSLCC2755_1643
ko:K04072	lmw:LMOSLCC2755_1644
ko:K01246	lmw:LMOSLCC2755_1649
ko:K01681	lmw:LMOSLCC2755_1651
ko:K03547	lmw:LMOSLCC2755_1656
ko:K00655	lmw:LMOSLCC2755_1657
ko:K02357	lmw:LMOSLCC2755_1666
ko:K02967	lmw:LMOSLCC2755_1667
ko:K07106	lmw:LMOSLCC2755_1670
ko:K02768	lmw:LMOSLCC2755_2339
ko:K02769	lmw:LMOSLCC2755_2339
ko:K02770	lmw:LMOSLCC2755_2339
ko:K00299	lmw:LMOSLCC2755_2355
ko:K01421	lmw:LMOSLCC2755_2365
ko:K01448	lmw:LMOSLCC2755_0141
ko:K06975	lmw:LMOSLCC2755_0146
ko:K02034	lmw:LMOSLCC2755_0149
ko:K09817	lmw:LMOSLCC2755_0157
ko:K09816	lmw:LMOSLCC2755_0158
ko:K02760	lmw:LMOSLCC2755_0915
ko:K02761	lmw:LMOSLCC2755_0916
ko:K02759	lmw:LMOSLCC2755_0917
ko:K01223	lmw:LMOSLCC2755_0918
ko:K07089	lmw:LMOSLCC2755_0921
ko:K03652	lmw:LMOSLCC2755_0928
ko:K03800	lmw:LMOSLCC2755_0932
ko:K03216	lmw:LMOSLCC2755_0937
ko:K04079	lmw:LMOSLCC2755_0943
ko:K04047	lmw:LMOSLCC2755_0944
ko:K03449	lmw:LMOSLCC2755_0948
ko:K01869	lmw:LMOSLCC2755_1672
ko:K07139	lmw:LMOSLCC2755_1673
ko:K01953	lmw:LMOSLCC2755_1675
ko:K00789	lmw:LMOSLCC2755_1676
ko:K08998	lmw:LMOSLCC2755_1682
ko:K01911	lmw:LMOSLCC2755_1684
ko:K01661	lmw:LMOSLCC2755_1685
ko:K02551	lmw:LMOSLCC2755_1687
ko:K02548	lmw:LMOSLCC2755_1689
ko:K00549	lmw:LMOSLCC2755_1693
ko:K01810	lmw:LMOSLCC2755_2372
ko:K14155	lmw:LMOSLCC2755_2375
ko:K02003	lmw:LMOSLCC2755_2377
ko:K02760	lmw:LMOSLCC2755_2378
ko:K00928	lmw:LMOSLCC2755_2379
ko:K05566	lmw:LMOSLCC2755_2384
ko:K05567	lmw:LMOSLCC2755_2385
ko:K05569	lmw:LMOSLCC2755_2387
ko:K05571	lmw:LMOSLCC2755_2389
ko:K09775	lmw:LMOSLCC2755_2391
ko:K03885	lmw:LMOSLCC2755_2395
ko:K07090	lmw:LMOSLCC2755_2410
ko:K09014	lmw:LMOSLCC2755_2414
ko:K11717	lmw:LMOSLCC2755_2416
ko:K09015	lmw:LMOSLCC2755_2417
ko:K02341	lmw:LMOSLCC2755_0165
ko:K07461	lmw:LMOSLCC2755_0169
ko:K07056	lmw:LMOSLCC2755_0170
ko:K06284	lmw:LMOSLCC2755_0171
ko:K01874	lmw:LMOSLCC2755_0176
ko:K03424	lmw:LMOSLCC2755_0184
ko:K05985	lmw:LMOSLCC2755_0186
ko:K02528	lmw:LMOSLCC2755_0187
ko:K00919	lmw:LMOSLCC2755_0189
ko:K02003	lmw:LMOSLCC2755_0193
ko:K06412	lmw:LMOSLCC2755_0195
ko:K06412	lmw:LMOSLCC2755_0196
ko:K04042	lmw:LMOSLCC2755_0197
ko:K00948	lmw:LMOSLCC2755_0198
ko:K01114	lmw:LMOSLCC2755_0204
ko:K02897	lmw:LMOSLCC2755_0209
ko:K01056	lmw:LMOSLCC2755_0211
ko:K01443	lmw:LMOSLCC2755_0957
ko:K03710	lmw:LMOSLCC2755_0959
ko:K08303	lmw:LMOSLCC2755_0962
ko:K03744	lmw:LMOSLCC2755_0963
ko:K03799	lmw:LMOSLCC2755_0964
ko:K00858	lmw:LMOSLCC2755_0969
ko:K06180	lmw:LMOSLCC2755_0970
ko:K00208	lmw:LMOSLCC2755_0971
ko:K03740	lmw:LMOSLCC2755_0972
ko:K14188	lmw:LMOSLCC2755_0973
ko:K03739	lmw:LMOSLCC2755_0974
ko:K03367	lmw:LMOSLCC2755_0975
ko:K01807	lmw:LMOSLCC2755_0977
ko:K00826	lmw:LMOSLCC2755_0980
ko:K00432	lmw:LMOSLCC2755_0985
ko:K02837	lmw:LMOSLCC2755_0990
ko:K01845	lmw:LMOSLCC2755_1697
ko:K10780	lmw:LMOSLCC2755_1700
ko:K03575	lmw:LMOSLCC2755_1701
ko:K07038	lmw:LMOSLCC2755_1702
ko:K03565	lmw:LMOSLCC2755_1705
ko:K07071	lmw:LMOSLCC2755_1706
ko:K14205	lmw:LMOSLCC2755_1707
ko:K03790	lmw:LMOSLCC2755_1710
ko:K01358	lmw:LMOSLCC2755_1734
ko:K09013	lmw:LMOSLCC2755_2418
ko:K02073	lmw:LMOSLCC2755_2420
ko:K02072	lmw:LMOSLCC2755_2421
ko:K02071	lmw:LMOSLCC2755_2422
ko:K02437	lmw:LMOSLCC2755_2428
ko:K05837	lmw:LMOSLCC2755_2430
ko:K05837	lmw:LMOSLCC2755_2431
ko:K02013	lmw:LMOSLCC2755_2432
ko:K02015	lmw:LMOSLCC2755_2433
ko:K02016	lmw:LMOSLCC2755_2434
ko:K03664	lmw:LMOSLCC2755_2452
ko:K12573	lmw:LMOSLCC2755_2453
ko:K03928	lmw:LMOSLCC2755_2454
ko:K03075	lmw:LMOSLCC2755_2455
ko:K01689	lmw:LMOSLCC2755_2459
ko:K15633	lmw:LMOSLCC2755_2460
ko:K01803	lmw:LMOSLCC2755_2461
ko:K00927	lmw:LMOSLCC2755_2462
ko:K00134	lmw:LMOSLCC2755_2463
ko:K05311	lmw:LMOSLCC2755_2464
ko:K03723	lmw:LMOSLCC2755_0212
ko:K07571	lmw:LMOSLCC2755_0216
ko:K03798	lmw:LMOSLCC2755_0218
ko:K03525	lmw:LMOSLCC2755_0219
ko:K04083	lmw:LMOSLCC2755_0220
ko:K01738	lmw:LMOSLCC2755_0221
ko:K00796	lmw:LMOSLCC2755_0222
ko:K01633	lmw:LMOSLCC2755_0223
ko:K00950	lmw:LMOSLCC2755_0224
ko:K04567	lmw:LMOSLCC2755_0226
ko:K03696	lmw:LMOSLCC2755_0230
ko:K04485	lmw:LMOSLCC2755_0231
ko:K00991	lmw:LMOSLCC2755_0233
ko:K01770	lmw:LMOSLCC2755_0234
ko:K00640	lmw:LMOSLCC2755_0236
ko:K01883	lmw:LMOSLCC2755_0237
ko:K11145	lmw:LMOSLCC2755_0238
ko:K03218	lmw:LMOSLCC2755_0239
ko:K06962	lmw:LMOSLCC2755_0240
ko:K03091	lmw:LMOSLCC2755_0241
ko:K03073	lmw:LMOSLCC2755_0242
ko:K02601	lmw:LMOSLCC2755_0243
ko:K02867	lmw:LMOSLCC2755_0245
ko:K02863	lmw:LMOSLCC2755_0246
ko:K02864	lmw:LMOSLCC2755_0247
ko:K02935	lmw:LMOSLCC2755_0248
ko:K05823	lmw:LMOSLCC2755_1014
ko:K02000	lmw:LMOSLCC2755_1016
ko:K02001	lmw:LMOSLCC2755_1017
ko:K02002	lmw:LMOSLCC2755_1018
ko:K00243	lmw:LMOSLCC2755_1021
ko:K11622	lmw:LMOSLCC2755_1022
ko:K02529	lmw:LMOSLCC2755_1032
ko:K00615	lmw:LMOSLCC2755_1034
ko:K00615	lmw:LMOSLCC2755_1035
ko:K00864	lmw:LMOSLCC2755_1036
ko:K03752	lmw:LMOSLCC2755_1040
ko:K02018	lmw:LMOSLCC2755_1042
ko:K02020	lmw:LMOSLCC2755_1043
ko:K03750	lmw:LMOSLCC2755_1044
ko:K03753	lmw:LMOSLCC2755_1045
ko:K03636	lmw:LMOSLCC2755_1047
ko:K03637	lmw:LMOSLCC2755_1048
ko:K03639	lmw:LMOSLCC2755_1049
ko:K03638	lmw:LMOSLCC2755_1050
ko:K07058	lmw:LMOSLCC2755_1768
ko:K01265	lmw:LMOSLCC2755_1771
ko:K03839	lmw:LMOSLCC2755_1772
ko:K03569	lmw:LMOSLCC2755_1775
ko:K02759	lmw:LMOSLCC2755_1780
ko:K02760	lmw:LMOSLCC2755_1781
ko:K02529	lmw:LMOSLCC2755_1785
ko:K05349	lmw:LMOSLCC2755_1787
ko:K00266	lmw:LMOSLCC2755_1791
ko:K03092	lmw:LMOSLCC2755_2465
ko:K01273	lmw:LMOSLCC2755_2466
ko:K01358	lmw:LMOSLCC2755_2472
ko:K06958	lmw:LMOSLCC2755_2479
ko:K00384	lmw:LMOSLCC2755_2483
ko:K06019	lmw:LMOSLCC2755_2486
ko:K13292	lmw:LMOSLCC2755_2487
ko:K08972	lmw:LMOSLCC2755_2489
ko:K03701	lmw:LMOSLCC2755_2493
ko:K03702	lmw:LMOSLCC2755_2494
ko:K07023	lmw:LMOSLCC2755_2497
ko:K02039	lmw:LMOSLCC2755_2500
ko:K02036	lmw:LMOSLCC2755_2501
ko:K02036	lmw:LMOSLCC2755_2502
ko:K02038	lmw:LMOSLCC2755_2503
ko:K02037	lmw:LMOSLCC2755_2504
ko:K02040	lmw:LMOSLCC2755_2505
ko:K07636	lmw:LMOSLCC2755_2506
ko:K06131	lmw:LMOSLCC2755_2509
ko:K00690	lmw:LMOSLCC2755_0256
ko:K03043	lmw:LMOSLCC2755_0258
ko:K03046	lmw:LMOSLCC2755_0259
ko:K01223	lmw:LMOSLCC2755_0261
ko:K15975	lmw:LMOSLCC2755_0271
ko:K02034	lmw:LMOSLCC2755_0273
ko:K01223	lmw:LMOSLCC2755_0276
ko:K02072	lmw:LMOSLCC2755_0290
ko:K02071	lmw:LMOSLCC2755_0291
ko:K02073	lmw:LMOSLCC2755_0292
ko:K01462	lmw:LMOSLCC2755_1053
ko:K00161	lmw:LMOSLCC2755_1054
ko:K00162	lmw:LMOSLCC2755_1055
ko:K00627	lmw:LMOSLCC2755_1056
ko:K00382	lmw:LMOSLCC2755_1057
ko:K03284	lmw:LMOSLCC2755_1062
ko:K06207	lmw:LMOSLCC2755_1065
ko:K03588	lmw:LMOSLCC2755_1069
ko:K02016	lmw:LMOSLCC2755_1071
ko:K00963	lmw:LMOSLCC2755_1076
ko:K00973	lmw:LMOSLCC2755_1079
ko:K01790	lmw:LMOSLCC2755_1080
ko:K00067	lmw:LMOSLCC2755_1082
ko:K00763	lmw:LMOSLCC2755_1090
ko:K02760	lmw:LMOSLCC2755_1093
ko:K01951	lmw:LMOSLCC2755_1094
ko:K08317	lmw:LMOSLCC2755_1795
ko:K02029	lmw:LMOSLCC2755_1798
ko:K01486	lmw:LMOSLCC2755_1800
ko:K02003	lmw:LMOSLCC2755_1805
ko:K00891	lmw:LMOSLCC2755_1807
ko:K03215	lmw:LMOSLCC2755_1809
ko:K02434	lmw:LMOSLCC2755_1812
ko:K02435	lmw:LMOSLCC2755_1814
ko:K01972	lmw:LMOSLCC2755_1816
ko:K03657	lmw:LMOSLCC2755_1817
ko:K03308	lmw:LMOSLCC2755_1819
ko:K01945	lmw:LMOSLCC2755_1822
ko:K00602	lmw:LMOSLCC2755_1823
ko:K11175	lmw:LMOSLCC2755_1824
ko:K01933	lmw:LMOSLCC2755_1825
ko:K00764	lmw:LMOSLCC2755_1826
ko:K01952	lmw:LMOSLCC2755_1827
ko:K01952	lmw:LMOSLCC2755_1828
ko:K01952	lmw:LMOSLCC2755_1829
ko:K01923	lmw:LMOSLCC2755_1830
ko:K01756	lmw:LMOSLCC2755_1831
ko:K01589	lmw:LMOSLCC2755_1832
ko:K01588	lmw:LMOSLCC2755_1833
ko:K09811	lmw:LMOSLCC2755_2512
ko:K09812	lmw:LMOSLCC2755_2513
ko:K02836	lmw:LMOSLCC2755_2515
ko:K03070	lmw:LMOSLCC2755_2516
ko:K05946	lmw:LMOSLCC2755_2527
ko:K02372	lmw:LMOSLCC2755_2530
ko:K03569	lmw:LMOSLCC2755_2531
ko:K00790	lmw:LMOSLCC2755_2532
ko:K02114	lmw:LMOSLCC2755_2534
ko:K02112	lmw:LMOSLCC2755_2535
ko:K02115	lmw:LMOSLCC2755_2536
ko:K02111	lmw:LMOSLCC2755_2537
ko:K02113	lmw:LMOSLCC2755_2538
ko:K02109	lmw:LMOSLCC2755_2539
ko:K02110	lmw:LMOSLCC2755_2540
ko:K02108	lmw:LMOSLCC2755_2541
ko:K00761	lmw:LMOSLCC2755_2544
ko:K00600	lmw:LMOSLCC2755_2545
ko:K07566	lmw:LMOSLCC2755_2547
ko:K02493	lmw:LMOSLCC2755_2548
ko:K02835	lmw:LMOSLCC2755_2549
ko:K00872	lmw:LMOSLCC2755_2551
ko:K01733	lmw:LMOSLCC2755_2552
ko:K00003	lmw:LMOSLCC2755_2553
ko:K02909	lmw:LMOSLCC2755_2554
ko:K00783	lmw:LMOSLCC2755_0300
ko:K02761	lmw:LMOSLCC2755_0309
ko:K02760	lmw:LMOSLCC2755_0310
ko:K02759	lmw:LMOSLCC2755_0312
ko:K03707	lmw:LMOSLCC2755_0319
ko:K00878	lmw:LMOSLCC2755_0320
ko:K00941	lmw:LMOSLCC2755_0321
ko:K00788	lmw:LMOSLCC2755_0322
ko:K01223	lmw:LMOSLCC2755_0323
ko:K00615	lmw:LMOSLCC2755_0343
ko:K01808	lmw:LMOSLCC2755_0346
ko:K01803	lmw:LMOSLCC2755_0347
ko:K05879	lmw:LMOSLCC2755_0348
ko:K03827	lmw:LMOSLCC2755_1117
ko:K01358	lmw:LMOSLCC2755_1131
ko:K02304	lmw:LMOSLCC2755_1133
ko:K04031	lmw:LMOSLCC2755_1136
ko:K04029	lmw:LMOSLCC2755_1137
ko:K02231	lmw:LMOSLCC2755_1139
ko:K02233	lmw:LMOSLCC2755_1140
ko:K13919	lmw:LMOSLCC2755_1146
ko:K13920	lmw:LMOSLCC2755_1147
ko:K06950	lmw:LMOSLCC2755_1835
ko:K02013	lmw:LMOSLCC2755_1836
ko:K01142	lmw:LMOSLCC2755_1840
ko:K02887	lmw:LMOSLCC2755_1841
ko:K02916	lmw:LMOSLCC2755_1842
ko:K02520	lmw:LMOSLCC2755_1843
ko:K02884	lmw:LMOSLCC2755_1846
ko:K00554	lmw:LMOSLCC2755_1851
ko:K02860	lmw:LMOSLCC2755_1852
ko:K07010	lmw:LMOSLCC2755_1854
ko:K06960	lmw:LMOSLCC2755_1855
ko:K02959	lmw:LMOSLCC2755_1856
ko:K03106	lmw:LMOSLCC2755_1861
ko:K03110	lmw:LMOSLCC2755_1863
ko:K03529	lmw:LMOSLCC2755_1864
ko:K03685	lmw:LMOSLCC2755_1865
ko:K02078	lmw:LMOSLCC2755_1867
ko:K00645	lmw:LMOSLCC2755_1869
ko:K03621	lmw:LMOSLCC2755_1870
ko:K03655	lmw:LMOSLCC2755_1872
ko:K01752	lmw:LMOSLCC2755_1873
ko:K01752	lmw:LMOSLCC2755_1874
ko:K02902	lmw:LMOSLCC2755_1877
ko:K03628	lmw:LMOSLCC2755_2557
ko:K00790	lmw:LMOSLCC2755_2558
ko:K13678	lmw:LMOSLCC2755_2560
ko:K01937	lmw:LMOSLCC2755_2565
ko:K01887	lmw:LMOSLCC2755_2567
ko:K01821	lmw:LMOSLCC2755_2570
ko:K06885	lmw:LMOSLCC2755_2571
ko:K08281	lmw:LMOSLCC2755_2577
ko:K16264	lmw:LMOSLCC2755_2581
ko:K02003	lmw:LMOSLCC2755_2586
ko:K02379	lmw:LMOSLCC2755_2590
ko:K00123	lmw:LMOSLCC2755_2592
ko:K05878	lmw:LMOSLCC2755_0349
ko:K02769	lmw:LMOSLCC2755_0360
ko:K02770	lmw:LMOSLCC2755_0360
ko:K01624	lmw:LMOSLCC2755_0361
