ko:K03293	sage:EN72_08165
ko:K02004	sage:EN72_04170
ko:K15051	sage:EN72_04185
ko:K03975	sage:EN72_04190
ko:K02068	sage:EN72_04195
ko:K02069	sage:EN72_04200
ko:K07035	sage:EN72_04215
ko:K03778	sage:EN72_04220
ko:K00874	sage:EN72_04230
ko:K01195	sage:EN72_04235
ko:K01625	sage:EN72_04245
ko:K01812	sage:EN72_04250
ko:K01686	sage:EN72_04255
ko:K01207	sage:EN72_04270
ko:K02529	sage:EN72_04280
ko:K01176	sage:EN72_04285
ko:K01868	sage:EN72_04300
ko:K10040	sage:EN72_04320
ko:K10040	sage:EN72_04325
ko:K10039	sage:EN72_04330
ko:K10041	sage:EN72_04335
ko:K07668	sage:EN72_04340
ko:K07652	sage:EN72_04345
ko:K09790	sage:EN72_04355
ko:K03685	sage:EN72_04360
ko:K03529	sage:EN72_04365
ko:K03110	sage:EN72_04380
ko:K08986	sage:EN72_04385
ko:K07089	sage:EN72_04390
ko:K06959	sage:EN72_04405
ko:K03095	sage:EN72_04410
ko:K06023	sage:EN72_04425
ko:K13292	sage:EN72_04430
ko:K08303	sage:EN72_04455
ko:K03322	sage:EN72_04470
ko:K11752	sage:EN72_04475
ko:K00793	sage:EN72_04480
ko:K14652	sage:EN72_04485
ko:K00794	sage:EN72_04490
ko:K04567	sage:EN72_04495
ko:K07025	sage:EN72_04500
ko:K03976	sage:EN72_04510
ko:K07273	sage:EN72_04520
ko:K01595	sage:EN72_04540
ko:K03588	sage:EN72_04545
ko:K02358	sage:EN72_04550
ko:K01803	sage:EN72_04555
ko:K01834	sage:EN72_04560
ko:K00687	sage:EN72_04565
ko:K06187	sage:EN72_04570
ko:K01921	sage:EN72_04575
ko:K01929	sage:EN72_04580
ko:K08177	sage:EN72_04585
ko:K02837	sage:EN72_04600
ko:K02071	sage:EN72_04610
ko:K02072	sage:EN72_04615
ko:K02073	sage:EN72_04620
ko:K05592	sage:EN72_04625
ko:K07461	sage:EN72_04630
ko:K00655	sage:EN72_04640
ko:K02237	sage:EN72_04645
ko:K02238	sage:EN72_04650
ko:K02340	sage:EN72_04675
ko:K04564	sage:EN72_04680
ko:K03488	sage:EN72_04685
ko:K02755	sage:EN72_04690
ko:K02756	sage:EN72_04690
ko:K02757	sage:EN72_04690
ko:K01223	sage:EN72_04695
ko:K02647	sage:EN72_04700
ko:K00865	sage:EN72_04705
ko:K03299	sage:EN72_04710
ko:K01361	sage:EN72_10755
ko:K01869	sage:EN72_10775
ko:K02601	sage:EN72_10790
ko:K03073	sage:EN72_10800
ko:K12555	sage:EN72_10805
ko:K06180	sage:EN72_10810
ko:K01839	sage:EN72_10820
ko:K01619	sage:EN72_10825
ko:K03317	sage:EN72_10830
ko:K00757	sage:EN72_10835
ko:K04077	sage:EN72_10850
ko:K04078	sage:EN72_10855
ko:K05833	sage:EN72_10860
ko:K05832	sage:EN72_10865
ko:K01989	sage:EN72_10870
ko:K07104	sage:EN72_10880
ko:K09861	sage:EN72_10885
ko:K03810	sage:EN72_10900
ko:K07447	sage:EN72_10930
ko:K07052	sage:EN72_05600
ko:K02004	sage:EN72_05605
ko:K02003	sage:EN72_05610
ko:K03168	sage:EN72_05615
ko:K04096	sage:EN72_05620
ko:K02016	sage:EN72_05625
ko:K02013	sage:EN72_05630
ko:K02015	sage:EN72_05635
ko:K02015	sage:EN72_05640
ko:K00661	sage:EN72_05645
ko:K03470	sage:EN72_05650
ko:K14540	sage:EN72_05655
ko:K07705	sage:EN72_05670
ko:K07704	sage:EN72_05675
ko:K03466	sage:EN72_05785
ko:K01955	sage:EN72_05830
ko:K01956	sage:EN72_05835
ko:K00609	sage:EN72_05840
ko:K01465	sage:EN72_05845
ko:K00762	sage:EN72_05850
ko:K01591	sage:EN72_05855
ko:K00133	sage:EN72_05875
ko:K01515	sage:EN72_08405
ko:K04042	sage:EN72_08410
ko:K04750	sage:EN72_08415
ko:K00059	sage:EN72_08435
ko:K03311	sage:EN72_08480
ko:K01874	sage:EN72_08485
ko:K16868	sage:EN72_08490
ko:K01142	sage:EN72_08510
ko:K00567	sage:EN72_08520
ko:K00058	sage:EN72_08525
ko:K00831	sage:EN72_08535
ko:K06201	sage:EN72_08540
ko:K07056	sage:EN72_08545
ko:K02341	sage:EN72_08555
ko:K00943	sage:EN72_08560
ko:K04767	sage:EN72_08565
ko:K01996	sage:EN72_08570
ko:K01995	sage:EN72_08575
ko:K01998	sage:EN72_08580
ko:K01997	sage:EN72_08585
ko:K01999	sage:EN72_08590
ko:K01358	sage:EN72_08600
ko:K00761	sage:EN72_08605
ko:K14155	sage:EN72_08610
ko:K03216	sage:EN72_08615
ko:K03294	sage:EN72_08620
ko:K03499	sage:EN72_08625
ko:K03498	sage:EN72_08630
ko:K08998	sage:EN72_08635
ko:K06178	sage:EN72_08640
ko:K06024	sage:EN72_08645
ko:K05896	sage:EN72_08650
ko:K07095	sage:EN72_08665
ko:K03742	sage:EN72_10950
ko:K01246	sage:EN72_10955
ko:K03550	sage:EN72_10960
ko:K08152	sage:EN72_10965
ko:K03572	sage:EN72_10970
ko:K03704	sage:EN72_10975
ko:K03555	sage:EN72_10980
ko:K03402	sage:EN72_10985
ko:K01887	sage:EN72_10990
ko:K01876	sage:EN72_11010
ko:K01892	sage:EN72_11015
ko:K02911	sage:EN72_11020
ko:K02913	sage:EN72_11025
ko:K00926	sage:EN72_11115
ko:K00611	sage:EN72_11120
ko:K07717	sage:EN72_11125
ko:K07719	sage:EN72_11130
ko:K05847	sage:EN72_11135
ko:K05845	sage:EN72_11140
ko:K05846	sage:EN72_11140
ko:K14205	sage:EN72_11145
ko:K08987	sage:EN72_11155
ko:K01421	sage:EN72_11160
ko:K06131	sage:EN72_05895
ko:K01938	sage:EN72_05900
ko:K03800	sage:EN72_05905
ko:K01598	sage:EN72_05945
ko:K01835	sage:EN72_05955
ko:K06147	sage:EN72_05965
ko:K00600	sage:EN72_05985
ko:K07566	sage:EN72_05990
ko:K02493	sage:EN72_05995
ko:K02835	sage:EN72_06000
ko:K01821	sage:EN72_06010
ko:K03734	sage:EN72_06015
ko:K16169	sage:EN72_06035
ko:K03816	sage:EN72_06040
ko:K00364	sage:EN72_06045
ko:K03549	sage:EN72_06060
ko:K00625	sage:EN72_06070
ko:K06180	sage:EN72_06075
ko:K00858	sage:EN72_06080
ko:K07816	sage:EN72_06085
ko:K00948	sage:EN72_06095
ko:K04487	sage:EN72_06100
ko:K01926	sage:EN72_06110
ko:K03630	sage:EN72_06115
ko:K01223	sage:EN72_06125
ko:K02428	sage:EN72_08670
ko:K01776	sage:EN72_08675
ko:K09976	sage:EN72_08680
ko:K16788	sage:EN72_08685
ko:K07105	sage:EN72_08690
ko:K06890	sage:EN72_08695
ko:K06950	sage:EN72_08700
ko:K03437	sage:EN72_08705
ko:K01512	sage:EN72_08710
ko:K03217	sage:EN72_08715
ko:K10009	sage:EN72_08720
ko:K02424	sage:EN72_08725
ko:K01426	sage:EN72_08730
ko:K03624	sage:EN72_08735
ko:K07082	sage:EN72_08740
ko:K01924	sage:EN72_08750
ko:K03977	sage:EN72_08770
ko:K11144	sage:EN72_08775
ko:K03346	sage:EN72_08780
ko:K07738	sage:EN72_08785
ko:K07040	sage:EN72_08800
ko:K03799	sage:EN72_08805
ko:K03744	sage:EN72_08810
ko:K03501	sage:EN72_08815
ko:K03499	sage:EN72_08825
ko:K16785	sage:EN72_08830
ko:K16924	sage:EN72_08840
ko:K07862	sage:EN72_08845
ko:K03311	sage:EN72_08850
ko:K18369	sage:EN72_08855
ko:K02072	sage:EN72_08860
ko:K02071	sage:EN72_08865
ko:K01439	sage:EN72_08870
ko:K02073	sage:EN72_08875
ko:K02030	sage:EN72_08880
ko:K07010	sage:EN72_08885
ko:K07010	sage:EN72_08900
ko:K05878	sage:EN72_08925
ko:K05879	sage:EN72_08930
ko:K02440	sage:EN72_08940
ko:K07729	sage:EN72_11260
ko:K02986	sage:EN72_11285
ko:K02939	sage:EN72_11300
ko:K03495	sage:EN72_11310
ko:K05595	sage:EN72_11315
ko:K00566	sage:EN72_11320
ko:K01752	sage:EN72_11325
ko:K01752	sage:EN72_11330
ko:K16785	sage:EN72_11345
ko:K16787	sage:EN72_11350
ko:K16786	sage:EN72_11355
ko:K00995	sage:EN72_11360
ko:K03629	sage:EN72_11380
ko:K05340	sage:EN72_11385
ko:K00088	sage:EN72_11395
ko:K03402	sage:EN72_11400
ko:K01478	sage:EN72_11415
ko:K00611	sage:EN72_11425
ko:K03758	sage:EN72_11430
ko:K00926	sage:EN72_11435
ko:K01867	sage:EN72_11440
ko:K00783	sage:EN72_11480
ko:K11069	sage:EN72_06185
ko:K11070	sage:EN72_06190
ko:K11071	sage:EN72_06195
ko:K11072	sage:EN72_06200
ko:K00075	sage:EN72_06205
ko:K00950	sage:EN72_06210
ko:K01633	sage:EN72_06215
ko:K00796	sage:EN72_06220
ko:K01495	sage:EN72_06225
ko:K11754	sage:EN72_06230
ko:K05786	sage:EN72_06235
ko:K00872	sage:EN72_06240
ko:K00003	sage:EN72_06245
ko:K05020	sage:EN72_06255
ko:K00135	sage:EN72_06260
ko:K07729	sage:EN72_06280
ko:K11065	sage:EN72_06290
ko:K03657	sage:EN72_06345
ko:K02614	sage:EN72_06350
ko:K02824	sage:EN72_06355
ko:K03310	sage:EN72_06360
ko:K06518	sage:EN72_06370
ko:K02945	sage:EN72_06390
ko:K00826	sage:EN72_06410
ko:K02621	sage:EN72_06415
ko:K02622	sage:EN72_06420
ko:K08591	sage:EN72_06425
ko:K03648	sage:EN72_06430
ko:K09710	sage:EN72_08970
ko:K00969	sage:EN72_08985
ko:K07574	sage:EN72_08990
ko:K06948	sage:EN72_08995
ko:K07015	sage:EN72_09000
ko:K02434	sage:EN72_09010
ko:K02433	sage:EN72_09015
ko:K02435	sage:EN72_09020
ko:K01006	sage:EN72_09025
ko:K09773	sage:EN72_09030
ko:K00074	sage:EN72_09040
ko:K03706	sage:EN72_09050
ko:K14260	sage:EN72_09055
ko:K01424	sage:EN72_09070
ko:K00014	sage:EN72_09075
ko:K03655	sage:EN72_09085
ko:K01775	sage:EN72_09095
ko:K00997	sage:EN72_09100
ko:K01626	sage:EN72_09105
ko:K03070	sage:EN72_09110
ko:K01809	sage:EN72_09115
ko:K00847	sage:EN72_09120
ko:K02808	sage:EN72_09125
ko:K02809	sage:EN72_09125
ko:K02810	sage:EN72_09125
ko:K01193	sage:EN72_09130
ko:K03484	sage:EN72_09135
ko:K03625	sage:EN72_09140
ko:K02356	sage:EN72_09150
ko:K01262	sage:EN72_09190
ko:K03701	sage:EN72_09205
ko:K03284	sage:EN72_09215
ko:K02963	sage:EN72_09220
ko:K02990	sage:EN72_09230
ko:K03575	sage:EN72_09235
ko:K01791	sage:EN72_06450
ko:K01104	sage:EN72_06515
ko:K03784	sage:EN72_06535
ko:K03783	sage:EN72_06545
ko:K00537	sage:EN72_06550
ko:K01839	sage:EN72_06555
ko:K01807	sage:EN72_06560
ko:K03930	sage:EN72_06570
ko:K12574	sage:EN72_06575
ko:K05833	sage:EN72_06580
ko:K05832	sage:EN72_06585
ko:K01989	sage:EN72_06590
ko:K01575	sage:EN72_06600
ko:K01652	sage:EN72_06605
ko:K03574	sage:EN72_06625
ko:K01727	sage:EN72_06630
ko:K01790	sage:EN72_06640
ko:K00973	sage:EN72_06645
ko:K06967	sage:EN72_06660
ko:K02086	sage:EN72_06665
ko:K00759	sage:EN72_06670
ko:K07462	sage:EN72_06680
ko:K07124	sage:EN72_06685
ko:K00784	sage:EN72_06690
ko:K03665	sage:EN72_06700
ko:K00791	sage:EN72_06705
ko:K03671	sage:EN72_09245
ko:K07456	sage:EN72_09255
ko:K03471	sage:EN72_09270
ko:K03100	sage:EN72_09275
ko:K03581	sage:EN72_09280
ko:K02346	sage:EN72_09290
ko:K00656	sage:EN72_09295
ko:K02440	sage:EN72_09320
ko:K01281	sage:EN72_09340
ko:K00805	sage:EN72_09350
ko:K16012	sage:EN72_09355
ko:K16013	sage:EN72_09360
ko:K00426	sage:EN72_09365
ko:K00425	sage:EN72_09370
ko:K03885	sage:EN72_09375
ko:K02548	sage:EN72_09380
ko:K03427	sage:EN72_09390
ko:K00615	sage:EN72_09400
ko:K00616	sage:EN72_09405
ko:K17195	sage:EN72_09410
ko:K02770	sage:EN72_09415
ko:K02768	sage:EN72_09420
ko:K02769	sage:EN72_09425
ko:K06221	sage:EN72_09460
ko:K09747	sage:EN72_09490
ko:K00574	sage:EN72_09495
ko:K02342	sage:EN72_09505
ko:K07007	sage:EN72_09515
ko:K02954	sage:EN72_09525
ko:K02313	sage:EN72_00005
ko:K02338	sage:EN72_00010
ko:K06942	sage:EN72_00035
ko:K01056	sage:EN72_00040
ko:K03723	sage:EN72_00045
ko:K01467	sage:EN72_00065
ko:K04075	sage:EN72_00070
ko:K00760	sage:EN72_00075
ko:K03798	sage:EN72_00080
ko:K00948	sage:EN72_00260
ko:K00841	sage:EN72_00265
ko:K03584	sage:EN72_00270
ko:K07052	sage:EN72_00275
ko:K03621	sage:EN72_00280
ko:K02078	sage:EN72_00285
ko:K01923	sage:EN72_00290
ko:K01952	sage:EN72_00295
ko:K00764	sage:EN72_00300
ko:K01933	sage:EN72_00305
ko:K11175	sage:EN72_00310
ko:K00602	sage:EN72_00320
ko:K01788	sage:EN72_00335
ko:K11041	sage:EN72_06715
ko:K04486	sage:EN72_06725
ko:K03703	sage:EN72_06750
ko:K09765	sage:EN72_06755
ko:K03327	sage:EN72_06760
ko:K04750	sage:EN72_06765
ko:K09815	sage:EN72_06815
ko:K01992	sage:EN72_06995
ko:K01990	sage:EN72_07000
ko:K01620	sage:EN72_09530
ko:K01409	sage:EN72_09535
ko:K03789	sage:EN72_09540
ko:K12574	sage:EN72_09555
ko:K01915	sage:EN72_09565
ko:K03713	sage:EN72_09570
ko:K00927	sage:EN72_09580
ko:K00134	sage:EN72_09590
ko:K02355	sage:EN72_09595
ko:K02992	sage:EN72_09600
ko:K02950	sage:EN72_09605
ko:K09685	sage:EN72_09610
ko:K03698	sage:EN72_09615
ko:K09760	sage:EN72_09620
ko:K00949	sage:EN72_09625
ko:K01783	sage:EN72_09630
ko:K06949	sage:EN72_09635
ko:K00563	sage:EN72_09640
ko:K02528	sage:EN72_09645
ko:K05985	sage:EN72_09655
ko:K03424	sage:EN72_09660
ko:K03740	sage:EN72_09685
ko:K14188	sage:EN72_09690
ko:K03739	sage:EN72_09695
ko:K03367	sage:EN72_09700
ko:K02914	sage:EN72_09720
ko:K02001	sage:EN72_09730
ko:K02002	sage:EN72_09730
ko:K02000	sage:EN72_09735
ko:K03476	sage:EN72_09745
ko:K03493	sage:EN72_09750
ko:K00880	sage:EN72_09760
ko:K07045	sage:EN72_09765
ko:K02775	sage:EN72_09770
ko:K00616	sage:EN72_09790
ko:K02027	sage:EN72_00340
ko:K02025	sage:EN72_00345
ko:K02026	sage:EN72_00350
ko:K01639	sage:EN72_00365
ko:K01060	sage:EN72_00375
ko:K01945	sage:EN72_00385
ko:K01588	sage:EN72_00395
ko:K01589	sage:EN72_00400
ko:K01756	sage:EN72_00410
ko:K03551	sage:EN72_00420
ko:K01104	sage:EN72_00425
ko:K04072	sage:EN72_00445
ko:K13953	sage:EN72_00450
ko:K01733	sage:EN72_00455
ko:K02946	sage:EN72_00465
