ko:K00343	xfn:XfasM23_0253
ko:K01649	xfn:XfasM23_1111
ko:K02911	xfn:XfasM23_1113
ko:K07040	xfn:XfasM23_1114
ko:K03924	xfn:XfasM23_1116
ko:K07285	xfn:XfasM23_1119
ko:K09747	xfn:XfasM23_1122
ko:K00057	xfn:XfasM23_1129
ko:K03071	xfn:XfasM23_1130
ko:K01924	xfn:XfasM23_1968
ko:K03588	xfn:XfasM23_1970
ko:K01000	xfn:XfasM23_1971
ko:K01929	xfn:XfasM23_1972
ko:K01928	xfn:XfasM23_1973
ko:K03586	xfn:XfasM23_1975
ko:K03438	xfn:XfasM23_1976
ko:K03925	xfn:XfasM23_1977
ko:K03439	xfn:XfasM23_1982
ko:K03149	xfn:XfasM23_1983
ko:K03525	xfn:XfasM23_1137
ko:K06997	xfn:XfasM23_1145
ko:K04083	xfn:XfasM23_1148
ko:K00940	xfn:XfasM23_1717
ko:K00134	xfn:XfasM23_1718
ko:K01939	xfn:XfasM23_1719
ko:K09937	xfn:XfasM23_1720
ko:K04087	xfn:XfasM23_1721
ko:K04088	xfn:XfasM23_1722
ko:K02658	xfn:XfasM23_1724
ko:K03746	xfn:XfasM23_1726
ko:K01881	xfn:XfasM23_1727
ko:K03832	xfn:XfasM23_0009
ko:K03559	xfn:XfasM23_0011
ko:K03559	xfn:XfasM23_0012
ko:K01626	xfn:XfasM23_0017
ko:K02672	xfn:XfasM23_0021
ko:K02655	xfn:XfasM23_0024
ko:K01591	xfn:XfasM23_0025
ko:K03282	xfn:XfasM23_0027
ko:K07115	xfn:XfasM23_0029
ko:K05916	xfn:XfasM23_0036
ko:K03474	xfn:XfasM23_0038
ko:K03497	xfn:XfasM23_0039
ko:K01012	xfn:XfasM23_0041
ko:K07112	xfn:XfasM23_1997
ko:K07112	xfn:XfasM23_1998
ko:K01494	xfn:XfasM23_2000
ko:K06925	xfn:XfasM23_2004
ko:K03684	xfn:XfasM23_2009
ko:K04764	xfn:XfasM23_2014
ko:K02887	xfn:XfasM23_2017
ko:K02916	xfn:XfasM23_2018
ko:K02520	xfn:XfasM23_2019
ko:K01868	xfn:XfasM23_2020
ko:K01153	xfn:XfasM23_0230
ko:K01803	xfn:XfasM23_0238
ko:K00330	xfn:XfasM23_0240
ko:K00332	xfn:XfasM23_0242
ko:K00334	xfn:XfasM23_0244
ko:K00335	xfn:XfasM23_0245
ko:K00336	xfn:XfasM23_0246
ko:K00337	xfn:XfasM23_0247
ko:K00339	xfn:XfasM23_0249
ko:K00340	xfn:XfasM23_0250
ko:K10805	xfn:XfasM23_0306
ko:K06978	xfn:XfasM23_0309
ko:K01251	xfn:XfasM23_0314
ko:K00677	xfn:XfasM23_0319
ko:K02372	xfn:XfasM23_0320
ko:K02536	xfn:XfasM23_0321
ko:K07277	xfn:XfasM23_0322
ko:K00099	xfn:XfasM23_0324
ko:K00981	xfn:XfasM23_0325
ko:K00806	xfn:XfasM23_0326
ko:K01778	xfn:XfasM23_0734
ko:K09921	xfn:XfasM23_0735
ko:K03183	xfn:XfasM23_0740
ko:K09005	xfn:XfasM23_0746
ko:K02014	xfn:XfasM23_0747
ko:K00390	xfn:XfasM23_0750
ko:K00381	xfn:XfasM23_0751
ko:K00380	xfn:XfasM23_0752
ko:K00942	xfn:XfasM23_0756
ko:K00989	xfn:XfasM23_0758
ko:K02493	xfn:XfasM23_0765
ko:K04095	xfn:XfasM23_1067
ko:K00641	xfn:XfasM23_1915
ko:K00573	xfn:XfasM23_1919
ko:K06194	xfn:XfasM23_1921
ko:K01775	xfn:XfasM23_1923
ko:K00285	xfn:XfasM23_1924
ko:K07305	xfn:XfasM23_1925
ko:K01192	xfn:XfasM23_1928
ko:K00097	xfn:XfasM23_1934
ko:K03771	xfn:XfasM23_1935
ko:K04744	xfn:XfasM23_1936
ko:K03185	xfn:XfasM23_1937
ko:K03184	xfn:XfasM23_1938
ko:K01738	xfn:XfasM23_1942
ko:K00873	xfn:XfasM23_1948
ko:K00927	xfn:XfasM23_1949
ko:K01885	xfn:XfasM23_1950
ko:K00013	xfn:XfasM23_1352
ko:K00765	xfn:XfasM23_1353
ko:K01733	xfn:XfasM23_1356
ko:K00872	xfn:XfasM23_1357
ko:K00609	xfn:XfasM23_1359
ko:K07447	xfn:XfasM23_1360
ko:K07735	xfn:XfasM23_1361
ko:K07258	xfn:XfasM23_1362
ko:K03088	xfn:XfasM23_1369
ko:K03596	xfn:XfasM23_1372
ko:K03100	xfn:XfasM23_1373
ko:K03595	xfn:XfasM23_1376
ko:K00014	xfn:XfasM23_1617
ko:K04084	xfn:XfasM23_1620
ko:K03926	xfn:XfasM23_1621
ko:K04078	xfn:XfasM23_1622
ko:K04077	xfn:XfasM23_1623
ko:K01711	xfn:XfasM23_1630
ko:K07336	xfn:XfasM23_1638
ko:K09939	xfn:XfasM23_1639
ko:K03734	xfn:XfasM23_1642
ko:K07102	xfn:XfasM23_1645
ko:K10763	xfn:XfasM23_1647
ko:K09938	xfn:XfasM23_1649
ko:K01933	xfn:XfasM23_1650
ko:K11175	xfn:XfasM23_1651
ko:K00943	xfn:XfasM23_1654
ko:K07386	xfn:XfasM23_1657
ko:K01716	xfn:XfasM23_1660
ko:K07043	xfn:XfasM23_1663
ko:K01772	xfn:XfasM23_1664
ko:K03116	xfn:XfasM23_1666
ko:K02535	xfn:XfasM23_1962
ko:K03531	xfn:XfasM23_1964
ko:K03589	xfn:XfasM23_1966
ko:K01921	xfn:XfasM23_1967
ko:K00931	xfn:XfasM23_0290
ko:K00147	xfn:XfasM23_0291
ko:K03322	xfn:XfasM23_0302
ko:K02519	xfn:XfasM23_0179
ko:K02834	xfn:XfasM23_0180
ko:K03177	xfn:XfasM23_0181
ko:K02956	xfn:XfasM23_0182
ko:K00962	xfn:XfasM23_0183
ko:K05592	xfn:XfasM23_0191
ko:K03522	xfn:XfasM23_0193
ko:K03521	xfn:XfasM23_0194
ko:K00973	xfn:XfasM23_0196
ko:K01790	xfn:XfasM23_0197
ko:K00067	xfn:XfasM23_0198
ko:K00939	xfn:XfasM23_0210
ko:K02558	xfn:XfasM23_0211
ko:K01255	xfn:XfasM23_0215
ko:K03427	xfn:XfasM23_2182
ko:K03544	xfn:XfasM23_0468
ko:K01338	xfn:XfasM23_0469
ko:K03530	xfn:XfasM23_0470
ko:K03770	xfn:XfasM23_0471
ko:K09799	xfn:XfasM23_0472
ko:K03671	xfn:XfasM23_0477
ko:K03117	xfn:XfasM23_1667
ko:K03118	xfn:XfasM23_1668
ko:K01951	xfn:XfasM23_1670
ko:K07088	xfn:XfasM23_0767
ko:K02454	xfn:XfasM23_0769
ko:K02456	xfn:XfasM23_0771
ko:K02457	xfn:XfasM23_0772
ko:K02459	xfn:XfasM23_0774
ko:K02461	xfn:XfasM23_0776
ko:K03387	xfn:XfasM23_0782
ko:K04761	xfn:XfasM23_0783
ko:K02909	xfn:XfasM23_0786
ko:K01647	xfn:XfasM23_0787
ko:K02996	xfn:XfasM23_0788
ko:K02871	xfn:XfasM23_0789
ko:K06134	xfn:XfasM23_0790
ko:K01611	xfn:XfasM23_0791
ko:K06077	xfn:XfasM23_0799
ko:K00164	xfn:XfasM23_0803
ko:K01756	xfn:XfasM23_0805
ko:K03495	xfn:XfasM23_0817
ko:K02838	xfn:XfasM23_0327
ko:K06076	xfn:XfasM23_0328
ko:K09903	xfn:XfasM23_0332
ko:K01690	xfn:XfasM23_0335
ko:K01057	xfn:XfasM23_0336
ko:K00845	xfn:XfasM23_0337
ko:K00036	xfn:XfasM23_0338
ko:K06980	xfn:XfasM23_0340
ko:K00241	xfn:XfasM23_0342
ko:K00242	xfn:XfasM23_0343
ko:K03111	xfn:XfasM23_1081
ko:K07708	xfn:XfasM23_1084
ko:K07712	xfn:XfasM23_1085
ko:K03320	xfn:XfasM23_1088
ko:K06153	xfn:XfasM23_1091
ko:K03688	xfn:XfasM23_1098
ko:K01354	xfn:XfasM23_0732
ko:K03690	xfn:XfasM23_1099
ko:K01433	xfn:XfasM23_1100
ko:K03644	xfn:XfasM23_0554
ko:K03801	xfn:XfasM23_0555
ko:K01937	xfn:XfasM23_0566
ko:K01627	xfn:XfasM23_0567
ko:K01689	xfn:XfasM23_0568
ko:K05589	xfn:XfasM23_0569
ko:K00991	xfn:XfasM23_0570
ko:K01770	xfn:XfasM23_0571
ko:K00311	xfn:XfasM23_0574
ko:K02067	xfn:XfasM23_0577
ko:K02065	xfn:XfasM23_0578
ko:K02066	xfn:XfasM23_0579
ko:K07390	xfn:XfasM23_1496
ko:K03305	xfn:XfasM23_0955
ko:K00432	xfn:XfasM23_0956
ko:K00528	xfn:XfasM23_0957
ko:K03147	xfn:XfasM23_0958
ko:K06920	xfn:XfasM23_0998
ko:K03797	xfn:XfasM23_1001
ko:K00600	xfn:XfasM23_1851
ko:K07391	xfn:XfasM23_0460
ko:K03545	xfn:XfasM23_0466
ko:K06158	xfn:XfasM23_1276
ko:K02014	xfn:XfasM23_1277
ko:K02014	xfn:XfasM23_1279
ko:K03455	xfn:XfasM23_1281
ko:K02040	xfn:XfasM23_1282
ko:K02037	xfn:XfasM23_1283
ko:K02038	xfn:XfasM23_1284
ko:K02036	xfn:XfasM23_1285
ko:K02039	xfn:XfasM23_1286
ko:K03683	xfn:XfasM23_1287
ko:K02528	xfn:XfasM23_1288
ko:K06195	xfn:XfasM23_1289
ko:K03527	xfn:XfasM23_1519
ko:K03101	xfn:XfasM23_1520
ko:K01870	xfn:XfasM23_1521
ko:K03980	xfn:XfasM23_1523
ko:K02968	xfn:XfasM23_1524
ko:K03979	xfn:XfasM23_1525
ko:K02899	xfn:XfasM23_1526
ko:K02888	xfn:XfasM23_1527
ko:K02945	xfn:XfasM23_1540
ko:K00945	xfn:XfasM23_1541
ko:K02919	xfn:XfasM23_1542
ko:K03578	xfn:XfasM23_0651
ko:K02300	xfn:XfasM23_0653
ko:K02299	xfn:XfasM23_0654
ko:K02523	xfn:XfasM23_0657
ko:K00116	xfn:XfasM23_1853
ko:K05810	xfn:XfasM23_1855
ko:K06180	xfn:XfasM23_1856
ko:K05807	xfn:XfasM23_1857
ko:K04759	xfn:XfasM23_1860
ko:K04758	xfn:XfasM23_1861
ko:K01462	xfn:XfasM23_1865
ko:K04096	xfn:XfasM23_1867
ko:K03747	xfn:XfasM23_1868
ko:K02879	xfn:XfasM23_0458
ko:K03600	xfn:XfasM23_1876
ko:K03599	xfn:XfasM23_1877
ko:K00413	xfn:XfasM23_1878
ko:K00412	xfn:XfasM23_1879
ko:K00411	xfn:XfasM23_1880
ko:K06217	xfn:XfasM23_1883
ko:K06189	xfn:XfasM23_1886
ko:K03284	xfn:XfasM23_1888
ko:K03722	xfn:XfasM23_1901
ko:K02071	xfn:XfasM23_1906
ko:K06959	xfn:XfasM23_1303
ko:K06910	xfn:XfasM23_1305
ko:K01507	xfn:XfasM23_1306
ko:K05838	xfn:XfasM23_1307
ko:K01869	xfn:XfasM23_1309
ko:K03643	xfn:XfasM23_1310
ko:K02340	xfn:XfasM23_1311
ko:K00969	xfn:XfasM23_1312
ko:K09710	xfn:XfasM23_1313
ko:K03642	xfn:XfasM23_1316
ko:K07390	xfn:XfasM23_2134
ko:K03670	xfn:XfasM23_2144
ko:K04773	xfn:XfasM23_2145
ko:K03327	xfn:XfasM23_2146
ko:K03089	xfn:XfasM23_2151
ko:K09812	xfn:XfasM23_2155
ko:K03732	xfn:XfasM23_2156
ko:K03671	xfn:XfasM23_2157
ko:K03797	xfn:XfasM23_2160
ko:K00266	xfn:XfasM23_2165
ko:K00286	xfn:XfasM23_2167
ko:K01206	xfn:XfasM23_2169
ko:K08483	xfn:XfasM23_0664
ko:K02821	xfn:XfasM23_0666
ko:K06023	xfn:XfasM23_0668
ko:K05808	xfn:XfasM23_0669
ko:K06861	xfn:XfasM23_0671
ko:K09774	xfn:XfasM23_0672
ko:K03270	xfn:XfasM23_0674
ko:K06041	xfn:XfasM23_0675
ko:K01952	xfn:XfasM23_0682
ko:K03981	xfn:XfasM23_0683
ko:K01919	xfn:XfasM23_0687
ko:K03978	xfn:XfasM23_0688
ko:K03673	xfn:XfasM23_0692
ko:K03673	xfn:XfasM23_0693
ko:K07153	xfn:XfasM23_0695
ko:K00566	xfn:XfasM23_0696
ko:K03694	xfn:XfasM23_0699
ko:K02518	xfn:XfasM23_0700
ko:K00684	xfn:XfasM23_0701
ko:K09919	xfn:XfasM23_0702
ko:K00384	xfn:XfasM23_0703
ko:K03634	xfn:XfasM23_0706
ko:K07478	xfn:XfasM23_0707
ko:K02193	xfn:XfasM23_1560
ko:K02194	xfn:XfasM23_1561
ko:K02195	xfn:XfasM23_1562
ko:K02072	xfn:XfasM23_1907
ko:K02073	xfn:XfasM23_1908
ko:K07275	xfn:XfasM23_1909
ko:K00950	xfn:XfasM23_0172
ko:K00606	xfn:XfasM23_0173
ko:K01918	xfn:XfasM23_0174
ko:K01579	xfn:XfasM23_0175
ko:K01810	xfn:XfasM23_0176
ko:K09748	xfn:XfasM23_0177
ko:K09941	xfn:XfasM23_0480
ko:K02902	xfn:XfasM23_0481
ko:K02913	xfn:XfasM23_0482
ko:K06131	xfn:XfasM23_0483
ko:K06207	xfn:XfasM23_0487
ko:K03579	xfn:XfasM23_0501
ko:K02197	xfn:XfasM23_1564
ko:K02198	xfn:XfasM23_1565
ko:K02199	xfn:XfasM23_1566
ko:K02200	xfn:XfasM23_1567
ko:K02200	xfn:XfasM23_1568
ko:K00641	xfn:XfasM23_1569
ko:K02356	xfn:XfasM23_1576
ko:K01935	xfn:XfasM23_1580
ko:K02676	xfn:XfasM23_1582
ko:K07082	xfn:XfasM23_1584
ko:K01657	xfn:XfasM23_1585
ko:K09458	xfn:XfasM23_1586
ko:K02078	xfn:XfasM23_1587
ko:K00645	xfn:XfasM23_1589
ko:K03775	xfn:XfasM23_1607
ko:K07148	xfn:XfasM23_1608
ko:K10773	xfn:XfasM23_1610
ko:K06199	xfn:XfasM23_0708
ko:K00950	xfn:XfasM23_0710
ko:K07043	xfn:XfasM23_0228
ko:K09960	xfn:XfasM23_1036
ko:K09803	xfn:XfasM23_1055
ko:K09800	xfn:XfasM23_0505
ko:K02687	xfn:XfasM23_1336
ko:K02356	xfn:XfasM23_1338
ko:K00845	xfn:XfasM23_0714
ko:K01443	xfn:XfasM23_0719
ko:K01963	xfn:XfasM23_0720
ko:K03431	xfn:XfasM23_0721
ko:K05710	xfn:XfasM23_0725
ko:K09015	xfn:XfasM23_0727
ko:K09013	xfn:XfasM23_0728
ko:K09014	xfn:XfasM23_0729
ko:K07566	xfn:XfasM23_1870
ko:K02338	xfn:XfasM23_0002
ko:K01589	xfn:XfasM23_2136
ko:K03631	xfn:XfasM23_1458
ko:K02487	xfn:XfasM23_0896
ko:K06596	xfn:XfasM23_0896
ko:K02662	xfn:XfasM23_1789
ko:K09761	xfn:XfasM23_0143
ko:K01737	xfn:XfasM23_0146
ko:K09924	xfn:XfasM23_0147
ko:K08973	xfn:XfasM23_0151
ko:K01923	xfn:XfasM23_0154
ko:K01783	xfn:XfasM23_0156
ko:K00766	xfn:XfasM23_0159
ko:K01609	xfn:XfasM23_0160
ko:K00773	xfn:XfasM23_0167
ko:K03210	xfn:XfasM23_0168
ko:K03072	xfn:XfasM23_0169
ko:K03074	xfn:XfasM23_0170
ko:K03641	xfn:XfasM23_0949
ko:K03640	xfn:XfasM23_0950
ko:K05982	xfn:XfasM23_0954
ko:K09807	xfn:XfasM23_0407
ko:K06287	xfn:XfasM23_0408
ko:K08301	xfn:XfasM23_0409
ko:K03568	xfn:XfasM23_0412
ko:K09889	xfn:XfasM23_0413
ko:K02112	xfn:XfasM23_0424
ko:K02113	xfn:XfasM23_0427
ko:K02109	xfn:XfasM23_0428
ko:K02110	xfn:XfasM23_0429
ko:K02108	xfn:XfasM23_0430
ko:K02946	xfn:XfasM23_0432
ko:K02906	xfn:XfasM23_0433
ko:K02926	xfn:XfasM23_0434
ko:K02892	xfn:XfasM23_0435
ko:K02886	xfn:XfasM23_0436
ko:K02965	xfn:XfasM23_0437
ko:K02890	xfn:XfasM23_0438
ko:K02982	xfn:XfasM23_0439
ko:K02878	xfn:XfasM23_0440
ko:K02904	xfn:XfasM23_0441
ko:K02961	xfn:XfasM23_0442
ko:K02874	xfn:XfasM23_0443
ko:K02895	xfn:XfasM23_0444
ko:K02931	xfn:XfasM23_0445
ko:K02954	xfn:XfasM23_0446
ko:K02994	xfn:XfasM23_0447
ko:K02302	xfn:XfasM23_1941
ko:K00790	xfn:XfasM23_0677
ko:K05515	xfn:XfasM23_0590
ko:K05365	xfn:XfasM23_1899
ko:K03587	xfn:XfasM23_1974
ko:K00794	xfn:XfasM23_1845
ko:K00133	xfn:XfasM23_0640
ko:K01817	xfn:XfasM23_0643
ko:K00800	xfn:XfasM23_1441
ko:K00831	xfn:XfasM23_1443
ko:K03832	xfn:XfasM23_1444
ko:K00287	xfn:XfasM23_1448
ko:K00560	xfn:XfasM23_1449
ko:K04043	xfn:XfasM23_1455
ko:K03687	xfn:XfasM23_1456
ko:K06186	xfn:XfasM23_1460
ko:K09801	xfn:XfasM23_1461
ko:K03664	xfn:XfasM23_1463
ko:K03704	xfn:XfasM23_1465
ko:K06173	xfn:XfasM23_0642
ko:K00526	xfn:XfasM23_0475
ko:K00525	xfn:XfasM23_0474
ko:K02238	xfn:XfasM23_0350
ko:K01419	xfn:XfasM23_0737
ko:K03701	xfn:XfasM23_1528
ko:K03657	xfn:XfasM23_0035
ko:K01915	xfn:XfasM23_1090
ko:K03427	xfn:XfasM23_2177
ko:K03168	xfn:XfasM23_1869
ko:K09065	xfn:XfasM23_0284
ko:K03561	xfn:XfasM23_0351
ko:K03723	xfn:XfasM23_0031
ko:K00275	xfn:XfasM23_0612
ko:K01886	xfn:XfasM23_0613
ko:K06201	xfn:XfasM23_0615
ko:K02048	xfn:XfasM23_0618
ko:K02046	xfn:XfasM23_0619
ko:K02047	xfn:XfasM23_0620
ko:K02045	xfn:XfasM23_0621
ko:K02517	xfn:XfasM23_0622
ko:K03086	xfn:XfasM23_0623
ko:K02170	xfn:XfasM23_0627
ko:K02259	xfn:XfasM23_0629
ko:K08309	xfn:XfasM23_0633
ko:K01613	xfn:XfasM23_0634
ko:K07152	xfn:XfasM23_0635
ko:K07320	xfn:XfasM23_0637
ko:K01736	xfn:XfasM23_0638
ko:K00615	xfn:XfasM23_0910
ko:K03501	xfn:XfasM23_0911
ko:K00767	xfn:XfasM23_0920
ko:K00278	xfn:XfasM23_0921
ko:K03517	xfn:XfasM23_0922
ko:K03720	xfn:XfasM23_0924
ko:K03424	xfn:XfasM23_0932
ko:K03575	xfn:XfasM23_0937
ko:K03550	xfn:XfasM23_0942
ko:K03549	xfn:XfasM23_0943
ko:K07107	xfn:XfasM23_0945
ko:K03562	xfn:XfasM23_0946
ko:K03560	xfn:XfasM23_0947
ko:K03646	xfn:XfasM23_0948
ko:K00852	xfn:XfasM23_1792
ko:K02314	xfn:XfasM23_1794
ko:K03777	xfn:XfasM23_1801
ko:K03611	xfn:XfasM23_1805
ko:K02669	xfn:XfasM23_1221
ko:K02670	xfn:XfasM23_1222
ko:K07283	xfn:XfasM23_1224
ko:K01749	xfn:XfasM23_1225
ko:K06999	xfn:XfasM23_1228
ko:K03669	xfn:XfasM23_1229
ko:K00847	xfn:XfasM23_1240
ko:K02429	xfn:XfasM23_1241
ko:K03745	xfn:XfasM23_1243
ko:K00012	xfn:XfasM23_1244
ko:K00432	xfn:XfasM23_1246
ko:K01872	xfn:XfasM23_0087
ko:K03563	xfn:XfasM23_0088
ko:K01414	xfn:XfasM23_0089
ko:K01738	xfn:XfasM23_0090
ko:K07233	xfn:XfasM23_0093
ko:K01873	xfn:XfasM23_0094
ko:K01255	xfn:XfasM23_0098
ko:K07091	xfn:XfasM23_0099
ko:K00820	xfn:XfasM23_0103
ko:K00797	xfn:XfasM23_0105
ko:K01887	xfn:XfasM23_0109
ko:K03630	xfn:XfasM23_0110
ko:K01520	xfn:XfasM23_0112
ko:K00762	xfn:XfasM23_0115
ko:K03832	xfn:XfasM23_0891
ko:K01920	xfn:XfasM23_0892
ko:K02660	xfn:XfasM23_0895
ko:K00764	xfn:XfasM23_0899
ko:K03558	xfn:XfasM23_0900
ko:K01284	xfn:XfasM23_0904
ko:K00912	xfn:XfasM23_0354
ko:K06903	xfn:XfasM23_0359
ko:K03809	xfn:XfasM23_0384
ko:K00763	xfn:XfasM23_0385
ko:K01956	xfn:XfasM23_0392
ko:K01955	xfn:XfasM23_0393
ko:K07462	xfn:XfasM23_0396
ko:K02836	xfn:XfasM23_0397
ko:K01925	xfn:XfasM23_0404
ko:K03205	xfn:XfasM23_2248
ko:K03571	xfn:XfasM23_0589
ko:K05837	xfn:XfasM23_0591
ko:K01247	xfn:XfasM23_0601
ko:K01599	xfn:XfasM23_0609
ko:K01735	xfn:XfasM23_0610
ko:K01153	xfn:XfasM23_2175
ko:K03218	xfn:XfasM23_0869
ko:K01495	xfn:XfasM23_0871
ko:K03807	xfn:XfasM23_0873
ko:K01945	xfn:XfasM23_0875
ko:K03216	xfn:XfasM23_0879
ko:K06940	xfn:XfasM23_0886
ko:K01633	xfn:XfasM23_1734
ko:K01409	xfn:XfasM23_1735
ko:K02970	xfn:XfasM23_1736
ko:K09117	xfn:XfasM23_1737
ko:K07058	xfn:XfasM23_1738
ko:K01867	xfn:XfasM23_1743
ko:K02065	xfn:XfasM23_1748
ko:K02066	xfn:XfasM23_1749
ko:K02067	xfn:XfasM23_1750
ko:K07323	xfn:XfasM23_1751
ko:K04754	xfn:XfasM23_1753
ko:K09760	xfn:XfasM23_1755
ko:K02049	xfn:XfasM23_1756
ko:K02050	xfn:XfasM23_1757
ko:K06969	xfn:XfasM23_1761
ko:K06906	xfn:XfasM23_1154
ko:K06908	xfn:XfasM23_1157
ko:K06907	xfn:XfasM23_1158
ko:K05844	xfn:XfasM23_2024
ko:K02667	xfn:XfasM23_2035
ko:K02192	xfn:XfasM23_1769
ko:K08311	xfn:XfasM23_1770
ko:K00789	xfn:XfasM23_1771
ko:K05539	xfn:XfasM23_1775
ko:K02014	xfn:XfasM23_1776
ko:K03695	xfn:XfasM23_1779
ko:K00788	xfn:XfasM23_1781
ko:K02666	xfn:XfasM23_1785
ko:K00791	xfn:XfasM23_0059
ko:K00796	xfn:XfasM23_0060
ko:K03798	xfn:XfasM23_0062
ko:K02427	xfn:XfasM23_0063
ko:K07574	xfn:XfasM23_0064
ko:K01687	xfn:XfasM23_0066
ko:K02517	xfn:XfasM23_0070
ko:K02527	xfn:XfasM23_0071
ko:K01206	xfn:XfasM23_0072
ko:K02959	xfn:XfasM23_0073
ko:K02860	xfn:XfasM23_0074
ko:K00554	xfn:XfasM23_0075
ko:K02884	xfn:XfasM23_0076
ko:K01265	xfn:XfasM23_0078
ko:K01439	xfn:XfasM23_0081
ko:K02668	xfn:XfasM23_2036
ko:K08963	xfn:XfasM23_2043
ko:K01972	xfn:XfasM23_2047
ko:K03528	xfn:XfasM23_2048
ko:K02939	xfn:XfasM23_2050
ko:K02963	xfn:XfasM23_2051
ko:K02990	xfn:XfasM23_2052
ko:K09690	xfn:XfasM23_2055
ko:K09691	xfn:XfasM23_2056
ko:K00075	xfn:XfasM23_2059
ko:K02357	xfn:XfasM23_2065
ko:K02933	xfn:XfasM23_0448
ko:K02881	xfn:XfasM23_0449
