ko:K19744	bcew:DM40_1511
ko:K03536	bcew:DM40_762
ko:K02914	bcew:DM40_763
ko:K02313	bcew:DM40_764
ko:K02338	bcew:DM40_765
ko:K02470	bcew:DM40_766
ko:K03427	bcew:DM40_767
ko:K01154	bcew:DM40_770
ko:K01153	bcew:DM40_771
ko:K03781	bcew:DM40_789
ko:K03088	bcew:DM40_790
ko:K03088	bcew:DM40_795
ko:K01156	bcew:DM40_802
ko:K07316	bcew:DM40_803
ko:K07649	bcew:DM40_806
ko:K02050	bcew:DM40_807
ko:K02049	bcew:DM40_808
ko:K02051	bcew:DM40_809
ko:K07687	bcew:DM40_810
ko:K13409	bcew:DM40_812
ko:K13408	bcew:DM40_813
ko:K06895	bcew:DM40_1603
ko:K03182	bcew:DM40_1604
ko:K03625	bcew:DM40_1607
ko:K00794	bcew:DM40_1608
ko:K14652	bcew:DM40_1609
ko:K09983	bcew:DM40_1610
ko:K00793	bcew:DM40_1611
ko:K11752	bcew:DM40_1612
ko:K01845	bcew:DM40_1613
ko:K07552	bcew:DM40_1615
ko:K00845	bcew:DM40_1616
ko:K01057	bcew:DM40_1617
ko:K00036	bcew:DM40_1618
ko:K17315	bcew:DM40_1619
ko:K17316	bcew:DM40_1620
ko:K17317	bcew:DM40_1621
ko:K10112	bcew:DM40_1622
ko:K00384	bcew:DM40_1625
ko:K03466	bcew:DM40_1627
ko:K03634	bcew:DM40_1628
ko:K07478	bcew:DM40_1629
ko:K01875	bcew:DM40_1632
ko:K00496	bcew:DM40_1635
ko:K03610	bcew:DM40_1638
ko:K03609	bcew:DM40_1639
ko:K03608	bcew:DM40_1640
ko:K02841	bcew:DM40_1643
ko:K03832	bcew:DM40_1646
ko:K02428	bcew:DM40_1651
ko:K00989	bcew:DM40_1652
ko:K00942	bcew:DM40_1654
ko:K03695	bcew:DM40_2444
ko:K13771	bcew:DM40_2445
ko:K06886	bcew:DM40_2446
ko:K03635	bcew:DM40_2447
ko:K03636	bcew:DM40_2448
ko:K03750	bcew:DM40_2449
ko:K01733	bcew:DM40_2450
ko:K00003	bcew:DM40_2451
ko:K14260	bcew:DM40_2452
ko:K10012	bcew:DM40_2457
ko:K00604	bcew:DM40_2458
ko:K03564	bcew:DM40_2461
ko:K07175	bcew:DM40_2462
ko:K03306	bcew:DM40_2464
ko:K07220	bcew:DM40_2465
ko:K02939	bcew:DM40_2467
ko:K02963	bcew:DM40_2468
ko:K02686	bcew:DM40_2469
ko:K02990	bcew:DM40_2470
ko:K03088	bcew:DM40_2472
ko:K01608	bcew:DM40_2474
ko:K01424	bcew:DM40_2478
ko:K03424	bcew:DM40_2487
ko:K02341	bcew:DM40_2488
ko:K00943	bcew:DM40_2489
ko:K07082	bcew:DM40_2490
ko:K06980	bcew:DM40_2491
ko:K17686	bcew:DM40_3278
ko:K07507	bcew:DM40_3282
ko:K01796	bcew:DM40_3286
ko:K01659	bcew:DM40_3289
ko:K03417	bcew:DM40_3290
ko:K02688	bcew:DM40_3291
ko:K16856	bcew:DM40_3294
ko:K10823	bcew:DM40_3309
ko:K15583	bcew:DM40_3310
ko:K15582	bcew:DM40_3311
ko:K15581	bcew:DM40_3312
ko:K15580	bcew:DM40_3313
ko:K03305	bcew:DM40_3315
ko:K05786	bcew:DM40_3318
ko:K01512	bcew:DM40_3319
ko:K03527	bcew:DM40_3323
ko:K10036	bcew:DM40_4125
ko:K10037	bcew:DM40_4126
ko:K10038	bcew:DM40_4127
ko:K01607	bcew:DM40_4130
ko:K03387	bcew:DM40_4133
ko:K03386	bcew:DM40_4134
ko:K01999	bcew:DM40_4138
ko:K06016	bcew:DM40_4140
ko:K00820	bcew:DM40_4143
ko:K11936	bcew:DM40_4145
ko:K11931	bcew:DM40_4146
ko:K01259	bcew:DM40_4159
ko:K03430	bcew:DM40_4161
ko:K01841	bcew:DM40_4163
ko:K18118	bcew:DM40_4168
ko:K03086	bcew:DM40_4171
ko:K01687	bcew:DM40_4174
ko:K01755	bcew:DM40_65
ko:K01584	bcew:DM40_68
ko:K01494	bcew:DM40_69
ko:K03593	bcew:DM40_71
ko:K01874	bcew:DM40_73
ko:K09800	bcew:DM40_74
ko:K05896	bcew:DM40_77
ko:K01918	bcew:DM40_78
ko:K01579	bcew:DM40_79
ko:K15977	bcew:DM40_81
ko:K02232	bcew:DM40_83
ko:K02231	bcew:DM40_84
ko:K02227	bcew:DM40_85
ko:K02225	bcew:DM40_86
ko:K02016	bcew:DM40_87
ko:K02226	bcew:DM40_88
ko:K02233	bcew:DM40_89
ko:K00768	bcew:DM40_90
ko:K02013	bcew:DM40_91
ko:K02015	bcew:DM40_92
ko:K09888	bcew:DM40_95
ko:K13292	bcew:DM40_98
ko:K01687	bcew:DM40_100
ko:K08738	bcew:DM40_101
ko:K02339	bcew:DM40_103
ko:K01255	bcew:DM40_104
ko:K07091	bcew:DM40_105
ko:K11720	bcew:DM40_106
ko:K02303	bcew:DM40_108
ko:K00956	bcew:DM40_109
ko:K00957	bcew:DM40_110
ko:K00390	bcew:DM40_111
ko:K00381	bcew:DM40_113
ko:K13634	bcew:DM40_114
ko:K01999	bcew:DM40_115
ko:K02437	bcew:DM40_918
ko:K00605	bcew:DM40_919
ko:K03656	bcew:DM40_923
ko:K02805	bcew:DM40_933
ko:K02407	bcew:DM40_945
ko:K02406	bcew:DM40_946
ko:K02970	bcew:DM40_947
ko:K01246	bcew:DM40_948
ko:K18676	bcew:DM40_949
ko:K06188	bcew:DM40_951
ko:K02403	bcew:DM40_954
ko:K02402	bcew:DM40_955
ko:K02556	bcew:DM40_956
ko:K02557	bcew:DM40_957
ko:K03413	bcew:DM40_958
ko:K03407	bcew:DM40_959
ko:K03408	bcew:DM40_960
ko:K00575	bcew:DM40_962
ko:K03411	bcew:DM40_963
ko:K03412	bcew:DM40_964
ko:K03413	bcew:DM40_965
ko:K03414	bcew:DM40_966
ko:K02401	bcew:DM40_972
ko:K02400	bcew:DM40_973
ko:K05524	bcew:DM40_1762
ko:K00763	bcew:DM40_1763
ko:K00782	bcew:DM40_1764
ko:K09760	bcew:DM40_1767
ko:K03750	bcew:DM40_1770
ko:K03752	bcew:DM40_1771
ko:K03639	bcew:DM40_1772
ko:K08300	bcew:DM40_1773
ko:K06179	bcew:DM40_1774
ko:K01091	bcew:DM40_1775
ko:K04773	bcew:DM40_1777
ko:K07056	bcew:DM40_1778
ko:K06287	bcew:DM40_1779
ko:K07040	bcew:DM40_1780
ko:K02911	bcew:DM40_1781
ko:K03621	bcew:DM40_1782
ko:K00648	bcew:DM40_1783
ko:K00645	bcew:DM40_1784
ko:K00059	bcew:DM40_1785
ko:K02078	bcew:DM40_1786
ko:K09458	bcew:DM40_1787
ko:K03088	bcew:DM40_1789
ko:K03597	bcew:DM40_1790
ko:K03598	bcew:DM40_1791
ko:K03596	bcew:DM40_1794
ko:K03100	bcew:DM40_1795
ko:K03685	bcew:DM40_1796
ko:K03584	bcew:DM40_1798
ko:K03474	bcew:DM40_1799
ko:K00997	bcew:DM40_1800
ko:K01207	bcew:DM40_1801
ko:K02356	bcew:DM40_1803
ko:K03703	bcew:DM40_1805
ko:K03823	bcew:DM40_1811
ko:K01265	bcew:DM40_1814
ko:K03723	bcew:DM40_2599
ko:K01438	bcew:DM40_2600
ko:K01754	bcew:DM40_2601
ko:K05366	bcew:DM40_2602
ko:K03969	bcew:DM40_2603
ko:K03282	bcew:DM40_2605
ko:K09165	bcew:DM40_2608
ko:K07127	bcew:DM40_2611
ko:K01483	bcew:DM40_2614
ko:K01477	bcew:DM40_2615
ko:K13485	bcew:DM40_2616
ko:K16841	bcew:DM40_2618
ko:K03457	bcew:DM40_2619
ko:K01297	bcew:DM40_2621
ko:K11991	bcew:DM40_2622
ko:K01975	bcew:DM40_2625
ko:K01951	bcew:DM40_2626
ko:K00088	bcew:DM40_2628
ko:K09801	bcew:DM40_2634
ko:K03664	bcew:DM40_2636
ko:K09773	bcew:DM40_2640
ko:K03437	bcew:DM40_2641
ko:K03470	bcew:DM40_2642
ko:K00748	bcew:DM40_2643
ko:K00677	bcew:DM40_2644
ko:K02372	bcew:DM40_2645
ko:K02536	bcew:DM40_2646
ko:K06142	bcew:DM40_2647
ko:K07277	bcew:DM40_2648
ko:K09703	bcew:DM40_3434
ko:K06895	bcew:DM40_3440
ko:K05596	bcew:DM40_3441
ko:K00640	bcew:DM40_3446
ko:K01495	bcew:DM40_3448
ko:K00481	bcew:DM40_3450
ko:K01031	bcew:DM40_3451
ko:K01032	bcew:DM40_3452
ko:K01857	bcew:DM40_3453
ko:K01055	bcew:DM40_3454
ko:K01607	bcew:DM40_3455
ko:K08195	bcew:DM40_3456
ko:K11904	bcew:DM40_3459
ko:K06889	bcew:DM40_3466
ko:K01843	bcew:DM40_3467
ko:K06889	bcew:DM40_3471
ko:K07240	bcew:DM40_3473
ko:K06938	bcew:DM40_3477
ko:K05523	bcew:DM40_3483
ko:K00666	bcew:DM40_3484
ko:K02051	bcew:DM40_4277
ko:K04091	bcew:DM40_4279
ko:K01126	bcew:DM40_4284
ko:K00801	bcew:DM40_4285
ko:K00375	bcew:DM40_4289
ko:K00692	bcew:DM40_4293
ko:K02529	bcew:DM40_4294
ko:K04064	bcew:DM40_4298
ko:K07644	bcew:DM40_4302
ko:K07665	bcew:DM40_4303
ko:K00666	bcew:DM40_4308
ko:K03719	bcew:DM40_4312
ko:K07124	bcew:DM40_4317
ko:K00822	bcew:DM40_4322
ko:K00140	bcew:DM40_4323
ko:K01266	bcew:DM40_4328
ko:K00156	bcew:DM40_5120
ko:K02275	bcew:DM40_5123
ko:K15408	bcew:DM40_5124
ko:K05783	bcew:DM40_5132
ko:K05784	bcew:DM40_5133
ko:K05550	bcew:DM40_5134
ko:K05549	bcew:DM40_5135
ko:K03381	bcew:DM40_5136
ko:K03464	bcew:DM40_5137
ko:K08159	bcew:DM40_5145
ko:K00240	bcew:DM40_5147
ko:K07507	bcew:DM40_5149
ko:K16147	bcew:DM40_5154
ko:K05343	bcew:DM40_5155
ko:K00700	bcew:DM40_5156
ko:K01236	bcew:DM40_5158
ko:K00705	bcew:DM40_5159
ko:K06044	bcew:DM40_5160
ko:K03325	bcew:DM40_5162
ko:K01613	bcew:DM40_5167
ko:K05520	bcew:DM40_5170
ko:K06147	bcew:DM40_331
ko:K10806	bcew:DM40_332
ko:K02379	bcew:DM40_334
ko:K07516	bcew:DM40_337
ko:K08310	bcew:DM40_341
ko:K01876	bcew:DM40_342
ko:K03688	bcew:DM40_346
ko:K03690	bcew:DM40_347
ko:K03183	bcew:DM40_349
ko:K01754	bcew:DM40_353
ko:K06879	bcew:DM40_354
ko:K06015	bcew:DM40_356
ko:K01753	bcew:DM40_358
ko:K05520	bcew:DM40_359
ko:K03303	bcew:DM40_368
ko:K07387	bcew:DM40_369
ko:K00023	bcew:DM40_373
ko:K00626	bcew:DM40_374
ko:K03701	bcew:DM40_380
ko:K01433	bcew:DM40_382
ko:K11895	bcew:DM40_1192
ko:K11907	bcew:DM40_1193
ko:K11902	bcew:DM40_1194
ko:K03286	bcew:DM40_1195
ko:K11890	bcew:DM40_1196
ko:K11891	bcew:DM40_1197
ko:K16074	bcew:DM40_1200
ko:K01256	bcew:DM40_1201
ko:K09941	bcew:DM40_1205
ko:K04046	bcew:DM40_1209
ko:K03704	bcew:DM40_1210
ko:K03186	bcew:DM40_1213
ko:K07390	bcew:DM40_1214
ko:K02493	bcew:DM40_1215
ko:K02835	bcew:DM40_1216
ko:K02492	bcew:DM40_1217
ko:K01262	bcew:DM40_1220
ko:K01560	bcew:DM40_1222
ko:K11735	bcew:DM40_1225
ko:K06942	bcew:DM40_1226
ko:K03981	bcew:DM40_1228
ko:K01118	bcew:DM40_1230
ko:K03648	bcew:DM40_1231
ko:K01609	bcew:DM40_1233
ko:K00766	bcew:DM40_1234
ko:K01658	bcew:DM40_1235
ko:K01657	bcew:DM40_1236
ko:K01091	bcew:DM40_1237
ko:K01783	bcew:DM40_1238
ko:K06195	bcew:DM40_1239
ko:K08304	bcew:DM40_1241
ko:K01912	bcew:DM40_1242
ko:K00428	bcew:DM40_2026
ko:K01886	bcew:DM40_2030
ko:K04062	bcew:DM40_2031
ko:K07002	bcew:DM40_2032
ko:K01872	bcew:DM40_2034
ko:K07107	bcew:DM40_2038
ko:K01997	bcew:DM40_2039
ko:K01998	bcew:DM40_2040
ko:K01995	bcew:DM40_2041
ko:K01996	bcew:DM40_2042
ko:K00059	bcew:DM40_2043
ko:K03337	bcew:DM40_2045
ko:K03335	bcew:DM40_2046
ko:K03336	bcew:DM40_2047
ko:K03338	bcew:DM40_2048
ko:K17213	bcew:DM40_2049
ko:K17215	bcew:DM40_2050
ko:K06605	bcew:DM40_2052
ko:K00010	bcew:DM40_2053
ko:K03335	bcew:DM40_2054
ko:K00140	bcew:DM40_2057
ko:K00963	bcew:DM40_2065
ko:K01873	bcew:DM40_2066
ko:K03657	bcew:DM40_2067
ko:K01243	bcew:DM40_2068
ko:K08223	bcew:DM40_2069
ko:K03406	bcew:DM40_2070
ko:K07230	bcew:DM40_2854
ko:K03702	bcew:DM40_2855
ko:K00832	bcew:DM40_2856
ko:K00019	bcew:DM40_2857
ko:K07115	bcew:DM40_2859
ko:K09861	bcew:DM40_2873
ko:K14287	bcew:DM40_2875
ko:K00799	bcew:DM40_2876
ko:K01515	bcew:DM40_2884
ko:K00343	bcew:DM40_2886
ko:K00342	bcew:DM40_2887
ko:K00341	bcew:DM40_2888
ko:K00340	bcew:DM40_2889
ko:K00339	bcew:DM40_2890
ko:K00338	bcew:DM40_2891
ko:K00337	bcew:DM40_2892
ko:K00334	bcew:DM40_2895
ko:K00333	bcew:DM40_2896
ko:K00332	bcew:DM40_2897
ko:K00331	bcew:DM40_2898
ko:K00330	bcew:DM40_2899
ko:K03075	bcew:DM40_2901
ko:K01803	bcew:DM40_2902
ko:K01607	bcew:DM40_3704
ko:K00799	bcew:DM40_3710
ko:K07006	bcew:DM40_3711
ko:K02014	bcew:DM40_3712
ko:K03811	bcew:DM40_3713
ko:K01740	bcew:DM40_3715
ko:K07074	bcew:DM40_3716
ko:K14415	bcew:DM40_3717
ko:K14414	bcew:DM40_3720
ko:K15125	bcew:DM40_3726
ko:K01940	bcew:DM40_3732
ko:K11733	bcew:DM40_3735
ko:K05836	bcew:DM40_3742
ko:K10016	bcew:DM40_3743
ko:K03219	bcew:DM40_4818
ko:K03227	bcew:DM40_4819
ko:K03230	bcew:DM40_4820
ko:K07267	bcew:DM40_4826
ko:K01194	bcew:DM40_4827
ko:K09927	bcew:DM40_4829
ko:K01091	bcew:DM40_4833
ko:K01586	bcew:DM40_4837
ko:K02424	bcew:DM40_4838
ko:K10009	bcew:DM40_4839
ko:K02028	bcew:DM40_4840
ko:K01760	bcew:DM40_4841
ko:K01611	bcew:DM40_4849
ko:K08989	bcew:DM40_4853
ko:K00797	bcew:DM40_4854
ko:K01448	bcew:DM40_4856
ko:K01467	bcew:DM40_5651
ko:K00064	bcew:DM40_5652
ko:K03762	bcew:DM40_5666
ko:K01895	bcew:DM40_5668
ko:K01259	bcew:DM40_5673
ko:K06136	bcew:DM40_5676
ko:K06137	bcew:DM40_5677
ko:K06138	bcew:DM40_5678
ko:K06139	bcew:DM40_5679
ko:K01991	bcew:DM40_5682
ko:K01104	bcew:DM40_5683
ko:K16692	bcew:DM40_5684
ko:K07265	bcew:DM40_5686
ko:K03819	bcew:DM40_5687
ko:K01627	bcew:DM40_5690
ko:K03270	bcew:DM40_5691
ko:K00979	bcew:DM40_5692
ko:K06041	bcew:DM40_5693
ko:K00963	bcew:DM40_5697
ko:K02403	bcew:DM40_5698
ko:K03168	bcew:DM40_5700
ko:K01053	bcew:DM40_4970
ko:K00058	bcew:DM40_4971
ko:K00285	bcew:DM40_4977
ko:K07046	bcew:DM40_4979
ko:K10439	bcew:DM40_4980
ko:K10440	bcew:DM40_4981
ko:K10441	bcew:DM40_4982
ko:K18333	bcew:DM40_4983
ko:K18334	bcew:DM40_4984
ko:K18335	bcew:DM40_4986
ko:K00471	bcew:DM40_4990
ko:K07107	bcew:DM40_4992
ko:K17735	bcew:DM40_4993
ko:K02002	bcew:DM40_4995
ko:K00029	bcew:DM40_4997
ko:K05819	bcew:DM40_4999
ko:K01666	bcew:DM40_5000
ko:K04073	bcew:DM40_5001
ko:K02554	bcew:DM40_5002
ko:K05713	bcew:DM40_5003
ko:K05712	bcew:DM40_5004
ko:K05818	bcew:DM40_5005
ko:K17736	bcew:DM40_5011
ko:K02035	bcew:DM40_5806
ko:K02033	bcew:DM40_5807
ko:K02034	bcew:DM40_5808
ko:K02031	bcew:DM40_5809
ko:K02032	bcew:DM40_5809
ko:K07665	bcew:DM40_5818
ko:K07644	bcew:DM40_5820
ko:K02030	bcew:DM40_5825
ko:K02029	bcew:DM40_5826
ko:K02029	bcew:DM40_5827
ko:K02028	bcew:DM40_5828
ko:K14393	bcew:DM40_5854
ko:K00384	bcew:DM40_5858
ko:K10015	bcew:DM40_3744
ko:K10017	bcew:DM40_3745
ko:K02556	bcew:DM40_3752
ko:K02557	bcew:DM40_3753
ko:K03406	bcew:DM40_3754
ko:K08068	bcew:DM40_3755
ko:K07300	bcew:DM40_4543
ko:K03535	bcew:DM40_4546
ko:K07168	bcew:DM40_4548
ko:K09913	bcew:DM40_4552
ko:K15977	bcew:DM40_4558
ko:K06894	bcew:DM40_4562
ko:K05367	bcew:DM40_4563
ko:K10001	bcew:DM40_4567
ko:K14645	bcew:DM40_4568
ko:K01531	bcew:DM40_4570
ko:K07262	bcew:DM40_4575
ko:K02035	bcew:DM40_4584
ko:K03322	bcew:DM40_4585
ko:K01569	bcew:DM40_4586
ko:K08641	bcew:DM40_4588
ko:K02035	bcew:DM40_4589
ko:K02033	bcew:DM40_4590
ko:K02034	bcew:DM40_4591
ko:K10679	bcew:DM40_5401
ko:K02002	bcew:DM40_5403
ko:K07124	bcew:DM40_5404
ko:K14189	bcew:DM40_5405
ko:K07305	bcew:DM40_5421
ko:K07304	bcew:DM40_5423
ko:K01464	bcew:DM40_5425
ko:K03457	bcew:DM40_5426
ko:K17723	bcew:DM40_5427
ko:K06016	bcew:DM40_5429
ko:K00626	bcew:DM40_5431
ko:K01895	bcew:DM40_5433
ko:K09691	bcew:DM40_1550
ko:K09690	bcew:DM40_1551
ko:K14219	bcew:DM40_925
ko:K14234	bcew:DM40_1163
ko:K14218	bcew:DM40_997
ko:K14230	bcew:DM40_282
ko:K14220	bcew:DM40_1760
ko:K14220	bcew:DM40_1761
ko:K18900	bcew:DM40_3187
ko:K10229	bcew:DM40_224
ko:K10228	bcew:DM40_225
ko:K10227	bcew:DM40_226
ko:K16371	bcew:DM40_227
ko:K00847	bcew:DM40_228
ko:K09823	bcew:DM40_230
ko:K02077	bcew:DM40_231
ko:K02074	bcew:DM40_232
ko:K02075	bcew:DM40_234
ko:K01070	bcew:DM40_235
ko:K00854	bcew:DM40_236
ko:K18139	bcew:DM40_238
ko:K18138	bcew:DM40_239
ko:K03585	bcew:DM40_240
ko:K03577	bcew:DM40_241
ko:K07259	bcew:DM40_250
ko:K07566	bcew:DM40_253
ko:K01589	bcew:DM40_254
ko:K01588	bcew:DM40_255
ko:K01923	bcew:DM40_256
ko:K01624	bcew:DM40_257
ko:K00873	bcew:DM40_258
ko:K00927	bcew:DM40_259
ko:K00826	bcew:DM40_262
ko:K02843	bcew:DM40_264
ko:K07019	bcew:DM40_266
ko:K03637	bcew:DM40_269
ko:K03832	bcew:DM40_270
ko:K01902	bcew:DM40_274
ko:K02876	bcew:DM40_1086
ko:K03076	bcew:DM40_1087
ko:K02518	bcew:DM40_1088
ko:K02919	bcew:DM40_1089
ko:K02952	bcew:DM40_1090
ko:K02948	bcew:DM40_1091
ko:K02986	bcew:DM40_1092
ko:K03040	bcew:DM40_1093
ko:K02879	bcew:DM40_1094
ko:K03926	bcew:DM40_1095
ko:K04084	bcew:DM40_1096
ko:K01698	bcew:DM40_1097
ko:K03978	bcew:DM40_1098
ko:K07399	bcew:DM40_1100
ko:K17247	bcew:DM40_1103
ko:K06202	bcew:DM40_1105
ko:K05366	bcew:DM40_1106
ko:K02666	bcew:DM40_1110
ko:K00891	bcew:DM40_1111
ko:K01735	bcew:DM40_1112
ko:K01129	bcew:DM40_1113
ko:K05813	bcew:DM40_1114
ko:K05814	bcew:DM40_1115
ko:K05815	bcew:DM40_1116
ko:K05816	bcew:DM40_1117
ko:K01126	bcew:DM40_1118
ko:K07275	bcew:DM40_1119
ko:K07491	bcew:DM40_1120
ko:K00266	bcew:DM40_1122
ko:K03310	bcew:DM40_1124
ko:K01975	bcew:DM40_1125
ko:K02471	bcew:DM40_1126
ko:K03153	bcew:DM40_1127
ko:K03154	bcew:DM40_1128
ko:K03149	bcew:DM40_1129
ko:K00788	bcew:DM40_1130
ko:K02065	bcew:DM40_1131
ko:K02066	bcew:DM40_1132
ko:K02067	bcew:DM40_1133
ko:K04754	bcew:DM40_1134
ko:K07323	bcew:DM40_1135
ko:K07122	bcew:DM40_1136
ko:K01990	bcew:DM40_1137
ko:K01992	bcew:DM40_1138
