ko:K02028	lli:uc509_1749
ko:K07124	lli:uc509_0639
ko:K07462	lli:uc509_0640
ko:K00759	lli:uc509_0641
ko:K07082	lli:uc509_0643
ko:K03624	lli:uc509_0644
ko:K03696	lli:uc509_0650
ko:K01689	lli:uc509_0652
ko:K02003	lli:uc509_0653
ko:K03284	lli:uc509_0657
ko:K00656	lli:uc509_0658
ko:K00859	lli:uc509_0659
ko:K02913	lli:uc509_0661
ko:K03588	lli:uc509_0662
ko:K01681	lli:uc509_0665
ko:K00031	lli:uc509_0666
ko:K01358	lli:uc509_0667
ko:K03311	lli:uc509_0678
ko:K06975	lli:uc509_0679
ko:K03424	lli:uc509_0681
ko:K05985	lli:uc509_0683
ko:K02528	lli:uc509_0684
ko:K02563	lli:uc509_1535
ko:K01925	lli:uc509_1536
ko:K04751	lli:uc509_1537
ko:K03320	lli:uc509_1538
ko:K07040	lli:uc509_1541
ko:K02909	lli:uc509_1542
ko:K01956	lli:uc509_1545
ko:K00609	lli:uc509_1546
ko:K02825	lli:uc509_1549
ko:K16264	lli:uc509_1552
ko:K00147	lli:uc509_1553
ko:K00931	lli:uc509_1554
ko:K03106	lli:uc509_1562a
ko:K07507	lli:uc509_1565
ko:K01714	lli:uc509_1566
ko:K00133	lli:uc509_1568
ko:K02440	lli:uc509_1569
ko:K00615	lli:uc509_1571
ko:K01625	lli:uc509_1575
ko:K01812	lli:uc509_1577
ko:K16210	lli:uc509_1579
ko:K01686	lli:uc509_1580
ko:K02621	lli:uc509_1037
ko:K11752	lli:uc509_1041
ko:K00793	lli:uc509_1042
ko:K14652	lli:uc509_1043
ko:K00794	lli:uc509_1044
ko:K03101	lli:uc509_1049
ko:K06180	lli:uc509_1050
ko:K09775	lli:uc509_1051
ko:K00820	lli:uc509_1058
ko:K01926	lli:uc509_1060
ko:K06158	lli:uc509_1062
ko:K00762	lli:uc509_1064
ko:K01465	lli:uc509_1065
ko:K10773	lli:uc509_1072
ko:K06967	lli:uc509_1073
ko:K06885	lli:uc509_1077
ko:K02888	lli:uc509_1080
ko:K02899	lli:uc509_1082
ko:K03322	lli:uc509_1083
ko:K07042	lli:uc509_1086
ko:K09962	lli:uc509_1088
ko:K14155	lli:uc509_1893
ko:K00651	lli:uc509_1895
ko:K07088	lli:uc509_1897
ko:K09760	lli:uc509_1900
ko:K01783	lli:uc509_1901
ko:K06949	lli:uc509_1904
ko:K01890	lli:uc509_1906
ko:K01889	lli:uc509_1907
ko:K13727	lli:uc509_1908
ko:K01939	lli:uc509_1913
ko:K04083	lli:uc509_1916
ko:K01876	lli:uc509_1931
ko:K01892	lli:uc509_1933
ko:K00995	lli:uc509_1936
ko:K03629	lli:uc509_1941
ko:K00965	lli:uc509_1946
ko:K00849	lli:uc509_1947
ko:K02356	lli:uc509_0686
ko:K03625	lli:uc509_0688
ko:K00975	lli:uc509_0690
ko:K00975	lli:uc509_0691
ko:K00703	lli:uc509_0692
ko:K03305	lli:uc509_0699
ko:K00425	lli:uc509_0701
ko:K00426	lli:uc509_0702
ko:K03704	lli:uc509_0719
ko:K01911	lli:uc509_0733
ko:K01661	lli:uc509_0735
ko:K02551	lli:uc509_0737
ko:K02529	lli:uc509_1591
ko:K01756	lli:uc509_1592
ko:K03785	lli:uc509_1593
ko:K03671	lli:uc509_1595
ko:K07456	lli:uc509_1596
ko:K02529	lli:uc509_1599
ko:K07444	lli:uc509_1603
ko:K02340	lli:uc509_1605
ko:K03466	lli:uc509_1607
ko:K00876	lli:uc509_1612
ko:K03183	lli:uc509_1621
ko:K01421	lli:uc509_1622
ko:K01223	lli:uc509_1623
ko:K08998	lli:uc509_1624
ko:K01662	lli:uc509_1625
ko:K02529	lli:uc509_1628
ko:K01878	lli:uc509_1096
ko:K01879	lli:uc509_1097
ko:K00969	lli:uc509_1100
ko:K00763	lli:uc509_1101
ko:K02003	lli:uc509_1104
ko:K01928	lli:uc509_1107
ko:K01575	lli:uc509_1108
ko:K03596	lli:uc509_1109
ko:K03427	lli:uc509_1115
ko:K02469	lli:uc509_1116
ko:K03734	lli:uc509_1117
ko:K03657	lli:uc509_1122
ko:K01246	lli:uc509_1124
ko:K11753	lli:uc509_1138
ko:K07106	lli:uc509_1141
ko:K01803	lli:uc509_1144
ko:K16209	lli:uc509_1949
ko:K08303	lli:uc509_1955
ko:K00563	lli:uc509_1958
ko:K02503	lli:uc509_1966
ko:K02863	lli:uc509_1969
ko:K02867	lli:uc509_1970
ko:K00243	lli:uc509_1975
ko:K02838	lli:uc509_1977
ko:K09903	lli:uc509_1978
ko:K00925	lli:uc509_1981
ko:K00925	lli:uc509_1982
ko:K06207	lli:uc509_1985
ko:K04047	lli:uc509_1998
ko:K02346	lli:uc509_2002
ko:K03758	lli:uc509_2004
ko:K00928	lli:uc509_0747
ko:K07001	lli:uc509_0748
ko:K02939	lli:uc509_0752
ko:K03439	lli:uc509_0756
ko:K07738	lli:uc509_0757
ko:K03977	lli:uc509_0763
ko:K09748	lli:uc509_0775
ko:K02600	lli:uc509_0776
ko:K07742	lli:uc509_0778
ko:K02519	lli:uc509_0780
ko:K02834	lli:uc509_0781
ko:K01809	lli:uc509_0782
ko:K00648	lli:uc509_0784
ko:K02078	lli:uc509_0785
ko:K00645	lli:uc509_0786
ko:K09458	lli:uc509_0788
ko:K02160	lli:uc509_0789
ko:K02372	lli:uc509_0790
ko:K01961	lli:uc509_0791
ko:K01963	lli:uc509_0792
ko:K01962	lli:uc509_0793
ko:K01738	lli:uc509_0795
ko:K15771	lli:uc509_1637
ko:K15772	lli:uc509_1638
ko:K00945	lli:uc509_1644
ko:K01875	lli:uc509_1653
ko:K02039	lli:uc509_1660
ko:K02036	lli:uc509_1661
ko:K02036	lli:uc509_1662
ko:K02038	lli:uc509_1663
ko:K02037	lli:uc509_1664
ko:K02040	lli:uc509_1665
ko:K02040	lli:uc509_1666
ko:K03664	lli:uc509_1667
ko:K01872	lli:uc509_1671
ko:K08602	lli:uc509_1674
ko:K06901	lli:uc509_1678
ko:K00782	lli:uc509_1682
ko:K06890	lli:uc509_1683
ko:K06950	lli:uc509_1685
ko:K02968	lli:uc509_1686
ko:K03581	lli:uc509_1687
ko:K00891	lli:uc509_1690
ko:K00364	lli:uc509_1156
ko:K03816	lli:uc509_1161
ko:K16169	lli:uc509_1162
ko:K03216	lli:uc509_1164
ko:K03544	lli:uc509_1167
ko:K03978	lli:uc509_1168
ko:K01633	lli:uc509_1169
ko:K00796	lli:uc509_1171
ko:K11754	lli:uc509_1173
ko:K00003	lli:uc509_1175
ko:K00872	lli:uc509_1176
ko:K00075	lli:uc509_1178
ko:K01198	lli:uc509_1186
ko:K03215	lli:uc509_1198
ko:K07137	lli:uc509_1199
ko:K01652	lli:uc509_1203
ko:K12573	lli:uc509_1208
ko:K00926	lli:uc509_2006
ko:K03758	lli:uc509_2007
ko:K00611	lli:uc509_2008
ko:K01887	lli:uc509_2011
ko:K03402	lli:uc509_2012
ko:K01924	lli:uc509_2013
ko:K02440	lli:uc509_2024
ko:K07010	lli:uc509_2026
ko:K04485	lli:uc509_2042
ko:K03273	lli:uc509_2044
ko:K03271	lli:uc509_2045
ko:K02879	lli:uc509_2052
ko:K03040	lli:uc509_2053
ko:K02948	lli:uc509_2054
ko:K02952	lli:uc509_2055
ko:K02518	lli:uc509_2056
ko:K03076	lli:uc509_2058
ko:K01142	lli:uc509_0804
ko:K01874	lli:uc509_0805
ko:K00145	lli:uc509_0816
ko:K00620	lli:uc509_0817
ko:K00930	lli:uc509_0819
ko:K00611	lli:uc509_0820
ko:K03685	lli:uc509_0822
ko:K03529	lli:uc509_0823
ko:K03110	lli:uc509_0832
ko:K00948	lli:uc509_0833
ko:K01869	lli:uc509_0835
ko:K02761	lli:uc509_0837
ko:K01223	lli:uc509_0838
ko:K03885	lli:uc509_0843
ko:K03885	lli:uc509_0844
ko:K01752	lli:uc509_0845
ko:K01752	lli:uc509_0846
ko:K00566	lli:uc509_0853
ko:K02945	lli:uc509_0854
ko:K00757	lli:uc509_0858
ko:K03811	lli:uc509_0859
ko:K03703	lli:uc509_0860
ko:K00800	lli:uc509_1691
ko:K02003	lli:uc509_1697
ko:K01736	lli:uc509_1699
ko:K09936	lli:uc509_1702
ko:K01735	lli:uc509_1703
ko:K00014	lli:uc509_1704
ko:K03975	lli:uc509_1705
ko:K02114	lli:uc509_1713
ko:K02112	lli:uc509_1714
ko:K02115	lli:uc509_1715
ko:K02111	lli:uc509_1716
ko:K02113	lli:uc509_1717
ko:K02109	lli:uc509_1718
ko:K02108	lli:uc509_1719
ko:K02110	lli:uc509_1720
ko:K02237	lli:uc509_1727
ko:K03707	lli:uc509_1733
ko:K03524	lli:uc509_1735
ko:K03523	lli:uc509_1736
ko:K09014	lli:uc509_1741
ko:K00817	lli:uc509_1213
ko:K02502	lli:uc509_1214
ko:K00013	lli:uc509_1217
ko:K01693	lli:uc509_1218
ko:K02501	lli:uc509_1220
ko:K01814	lli:uc509_1221
ko:K02500	lli:uc509_1222
ko:K11755	lli:uc509_1223
ko:K04486	lli:uc509_1224
ko:K07146	lli:uc509_1225
ko:K01649	lli:uc509_1226
ko:K00052	lli:uc509_1232
ko:K01704	lli:uc509_1237
ko:K02013	lli:uc509_1238
ko:K01653	lli:uc509_1241
ko:K00053	lli:uc509_1242
ko:K01754	lli:uc509_1243
ko:K01575	lli:uc509_1244
ko:K04096	lli:uc509_1246
ko:K03168	lli:uc509_1247
ko:K04094	lli:uc509_1248
ko:K09799	lli:uc509_1253
ko:K00297	lli:uc509_1259
ko:K00549	lli:uc509_1260
ko:K01531	lli:uc509_1262
ko:K03740	lli:uc509_1263
ko:K14188	lli:uc509_1264
ko:K03739	lli:uc509_1265
ko:K03367	lli:uc509_1266
ko:K00788	lli:uc509_1267
ko:K02876	lli:uc509_2059
ko:K02907	lli:uc509_2060
ko:K02988	lli:uc509_2061
ko:K02881	lli:uc509_2062
ko:K02933	lli:uc509_2063
ko:K02994	lli:uc509_2064
ko:K02954	lli:uc509_2066
ko:K02931	lli:uc509_2067
ko:K02895	lli:uc509_2068
ko:K02874	lli:uc509_2069
ko:K02961	lli:uc509_2070
ko:K02904	lli:uc509_2071
ko:K02878	lli:uc509_2072
ko:K02982	lli:uc509_2073
ko:K02890	lli:uc509_2074
ko:K02965	lli:uc509_2075
ko:K02886	lli:uc509_2076
ko:K02892	lli:uc509_2077
ko:K02926	lli:uc509_2078
ko:K02906	lli:uc509_2079
ko:K02946	lli:uc509_2080
ko:K03282	lli:uc509_2082
ko:K01733	lli:uc509_2084
ko:K02601	lli:uc509_2085
ko:K03073	lli:uc509_2086
ko:K02913	lli:uc509_2086a
ko:K06180	lli:uc509_2092
ko:K09816	lli:uc509_2094
ko:K09817	lli:uc509_2095
ko:K03763	lli:uc509_2105
ko:K01881	lli:uc509_2108
ko:K04567	lli:uc509_0392
ko:K00941	lli:uc509_1268
ko:K00878	lli:uc509_1269
ko:K02935	lli:uc509_1278
ko:K02864	lli:uc509_1279
ko:K06178	lli:uc509_1289
ko:K06024	lli:uc509_1290
ko:K05896	lli:uc509_1291
ko:K07095	lli:uc509_1294
ko:K01776	lli:uc509_1296
ko:K01586	lli:uc509_1298
ko:K00266	lli:uc509_1300
ko:K00826	lli:uc509_1303
ko:K03470	lli:uc509_1309
ko:K14540	lli:uc509_1310
ko:K11749	lli:uc509_2109
ko:K00981	lli:uc509_2110
ko:K00806	lli:uc509_2111
ko:K03210	lli:uc509_2112
ko:K00783	lli:uc509_2114
ko:K02357	lli:uc509_2128
ko:K02967	lli:uc509_2129
ko:K04072	lli:uc509_2132
ko:K00954	lli:uc509_2139
ko:K03088	lli:uc509_2143
ko:K01810	lli:uc509_2145
ko:K06940	lli:uc509_2146
ko:K01873	lli:uc509_2152
ko:K03565	lli:uc509_2161
ko:K03151	lli:uc509_0399
ko:K01118	lli:uc509_0402
ko:K01866	lli:uc509_0406
ko:K06878	lli:uc509_0413
ko:K04078	lli:uc509_0416
ko:K04077	lli:uc509_0417
ko:K00943	lli:uc509_0422
ko:K02341	lli:uc509_0423
ko:K07056	lli:uc509_0426
ko:K04564	lli:uc509_0436
ko:K01118	lli:uc509_0439
ko:K02760	lli:uc509_0446
ko:K02759	lli:uc509_0447
ko:K02761	lli:uc509_0449
ko:K01223	lli:uc509_0450
ko:K01972	lli:uc509_0451
ko:K03737	lli:uc509_0455
ko:K03431	lli:uc509_0459
ko:K05970	lli:uc509_1324
ko:K03547	lli:uc509_1333
ko:K00077	lli:uc509_1334
ko:K00563	lli:uc509_1342
ko:K02057	lli:uc509_1344
ko:K02057	lli:uc509_1345
ko:K00873	lli:uc509_1347
ko:K00850	lli:uc509_1348
ko:K01443	lli:uc509_1349
ko:K00057	lli:uc509_1352
ko:K00963	lli:uc509_1353
ko:K03501	lli:uc509_1357
ko:K01591	lli:uc509_1359
ko:K01223	lli:uc509_1364
ko:K01060	lli:uc509_1372
ko:K02963	lli:uc509_2168
ko:K02990	lli:uc509_2170
ko:K06153	lli:uc509_2171
ko:K11733	lli:uc509_2172
ko:K02343	lli:uc509_2173
ko:K01915	lli:uc509_2179
ko:K03551	lli:uc509_2182
ko:K03550	lli:uc509_2183
ko:K03572	lli:uc509_2184
ko:K03555	lli:uc509_2186
ko:K07090	lli:uc509_2191
ko:K00036	lli:uc509_2193
ko:K07015	lli:uc509_2194
ko:K03686	lli:uc509_2195
ko:K01779	lli:uc509_2197
ko:K01953	lli:uc509_2199
ko:K03571	lli:uc509_2201
ko:K03570	lli:uc509_2202
ko:K01807	lli:uc509_2204
ko:K06925	lli:uc509_0467
ko:K03427	lli:uc509_0477
ko:K06173	lli:uc509_0492
ko:K00868	lli:uc509_0493
ko:K01937	lli:uc509_0497
ko:K06966	lli:uc509_0513
ko:K02337	lli:uc509_0517
ko:K11068	lli:uc509_0518
ko:K01207	lli:uc509_0521
ko:K03530	lli:uc509_0523
ko:K06872	lli:uc509_1375
ko:K06181	lli:uc509_1376
ko:K00864	lli:uc509_1377
ko:K00111	lli:uc509_1378
ko:K02440	lli:uc509_1379
ko:K01955	lli:uc509_1387
ko:K00432	lli:uc509_1388
ko:K09765	lli:uc509_1391
ko:K03710	lli:uc509_1400
ko:K07335	lli:uc509_1401
ko:K00756	lli:uc509_1405
ko:K13256	lli:uc509_1408
ko:K02000	lli:uc509_1416
ko:K01223	lli:uc509_1418
ko:K01695	lli:uc509_1422
ko:K01696	lli:uc509_1423
ko:K01817	lli:uc509_1425
ko:K01609	lli:uc509_1426
ko:K03650	lli:uc509_2214
ko:K03655	lli:uc509_2219
ko:K06193	lli:uc509_2220
ko:K00134	lli:uc509_2221
ko:K02996	lli:uc509_2228
ko:K02871	lli:uc509_2229
ko:K02003	lli:uc509_2231
ko:K03100	lli:uc509_2233
ko:K02355	lli:uc509_2238
ko:K02992	lli:uc509_2239
ko:K02950	lli:uc509_2240
ko:K05340	lli:uc509_2244
ko:K07139	lli:uc509_2246
ko:K03575	lli:uc509_0861
ko:K03070	lli:uc509_0863
ko:K00997	lli:uc509_0872
ko:K01775	lli:uc509_0873
ko:K05847	lli:uc509_0877
ko:K01491	lli:uc509_0884
ko:K03601	lli:uc509_0885
ko:K03602	lli:uc509_0886
ko:K00865	lli:uc509_0888
ko:K13789	lli:uc509_0889
ko:K06442	lli:uc509_0891
ko:K03402	lli:uc509_0892
ko:K03631	lli:uc509_0893
ko:K03438	lli:uc509_0897
ko:K01000	lli:uc509_0900
ko:K02003	lli:uc509_0903
ko:K02884	lli:uc509_0907
ko:K03811	lli:uc509_0914
ko:K03530	lli:uc509_0917
ko:K11717	lli:uc509_1744
ko:K09015	lli:uc509_1745
ko:K09013	lli:uc509_1746
ko:K16511	lli:uc509_1748
ko:K03046	lli:uc509_1752
ko:K03043	lli:uc509_1753
ko:K07443	lli:uc509_1757
ko:K03654	lli:uc509_1762
ko:K04069	lli:uc509_1768
ko:K03701	lli:uc509_1777
ko:K07461	lli:uc509_1779
ko:K01893	lli:uc509_1786
ko:K02034	lli:uc509_1793
ko:K13530	lli:uc509_0526
ko:K00675	lli:uc509_0527
ko:K04487	lli:uc509_0536
ko:K01738	lli:uc509_0539
ko:K05366	lli:uc509_0542
ko:K00790	lli:uc509_0548
ko:K03545	lli:uc509_0553
ko:K03086	lli:uc509_0555
ko:K02445	lli:uc509_0557
ko:K01462	lli:uc509_0565
ko:K08311	lli:uc509_0566
ko:K03702	lli:uc509_0567
ko:K00766	lli:uc509_1429
ko:K01657	lli:uc509_1431
ko:K01662	lli:uc509_1441
ko:K03284	lli:uc509_1443
ko:K01951	lli:uc509_1451
ko:K00847	lli:uc509_1453
ko:K01805	lli:uc509_1456
ko:K01589	lli:uc509_1458
ko:K01588	lli:uc509_1459
ko:K01945	lli:uc509_1461
ko:K00602	lli:uc509_1465
ko:K00760	lli:uc509_1466
ko:K11175	lli:uc509_1471
ko:K01933	lli:uc509_1472
ko:K03695	lli:uc509_1473
ko:K00764	lli:uc509_1480
ko:K14224	lli:uc509_tRNA1
ko:K14224	lli:uc509_tRNA59
ko:K12556	lli:uc509_0899
ko:K04763	lli:uc509_0923
ko:K11617	lli:uc509_0929
ko:K11618	lli:uc509_0930
ko:K03768	lli:uc509_0931
ko:K03768	lli:uc509_0932
ko:K07570	lli:uc509_0933
ko:K07386	lli:uc509_1756
ko:K05362	lli:uc509_1759
ko:K13953	lli:uc509_1761
ko:K01258	lli:uc509_1765
ko:K15986	lli:uc509_1767
ko:K03699	lli:uc509_1769
ko:K03810	lli:uc509_1781
ko:K00949	lli:uc509_1782
ko:K02056	lli:uc509_1343
ko:K00016	lli:uc509_1346
ko:K00805	lli:uc509_1355
ko:K00805	lli:uc509_1356
ko:K02823	lli:uc509_1361
ko:K03492	lli:uc509_1363
ko:K02025	lli:uc509_1368
ko:K03299	lli:uc509_2162
ko:K00851	lli:uc509_2163
ko:K00033	lli:uc509_2164
ko:K07098	lli:uc509_2167
ko:K04516	lli:uc509_2176
ko:K03713	lli:uc509_2180
ko:K01104	lli:uc509_2181
ko:K03784	lli:uc509_0967
ko:K10254	lli:uc509_0998
ko:K00882	lli:uc509_1001
ko:K02035	lli:uc509_1792
ko:K02033	lli:uc509_1794
ko:K07025	lli:uc509_1804
ko:K01372	lli:uc509_1839
ko:K01243	lli:uc509_1842
ko:K01515	lli:uc509_1844
ko:K09787	lli:uc509_1396
ko:K01489	lli:uc509_1402
ko:K01619	lli:uc509_1403
ko:K00564	lli:uc509_1406
ko:K00867	lli:uc509_1407
ko:K06183	lli:uc509_2211
ko:K07052	lli:uc509_2226
ko:K02004	lli:uc509_2230
ko:K03471	lli:uc509_2232
ko:K09685	lli:uc509_2234
ko:K09762	lli:uc509_1015
ko:K07586	lli:uc509_1020
ko:K03647	lli:uc509_1029
ko:K02342	lli:uc509_1035
ko:K02348	lli:uc509_1036
ko:K09825	lli:uc509_1437
ko:K01607	lli:uc509_1487
ko:K07258	lli:uc509_2243
ko:K07035	lli:uc509_p5005
ko:K14218	lli:uc509_tRNA46
ko:K14218	lli:uc509_tRNA60
ko:K14218	lli:uc509_tRNA48
ko:K14218	lli:uc509_tRNA57
ko:K14218	lli:uc509_tRNA49
ko:K14218	lli:uc509_tRNA18
ko:K07304	lli:uc509_1505
ko:K00974	lli:uc509_1514
ko:K01048	lli:uc509_1521
ko:K00054	lli:uc509_1525
ko:K00626	lli:uc509_1526
ko:K01641	lli:uc509_1527
ko:K02564	lli:uc509_1528
ko:K02086	lli:uc509_1071
ko:K07584	lli:uc509_1081
ko:K02242	lli:uc509_1089
ko:K01081	lli:uc509_1094
ko:K01916	lli:uc509_1103
ko:K02004	lli:uc509_1105
ko:K07009	lli:uc509_1106
ko:K03698	lli:uc509_1899
ko:K06889	lli:uc509_1529
ko:K01361	lli:uc509_p6025
ko:K07533	lli:uc509_p6026
ko:K03342	lli:uc509_p7010
ko:K04750	lli:uc509_1125
ko:K00244	lli:uc509_1126
ko:K03177	lli:uc509_1137
ko:K00016	lli:uc509_1139
ko:K09963	lli:uc509_1140
ko:K02808	lli:uc509_1142
ko:K02809	lli:uc509_1142
ko:K02810	lli:uc509_1142
ko:K07273	lli:uc509_1151
ko:K01607	lli:uc509_1942
ko:K01784	lli:uc509_1945
ko:K01785	lli:uc509_1948
ko:K06201	lli:uc509_1959
ko:K07304	lli:uc509_1974
ko:K00845	lli:uc509_1996
ko:K02029	lli:uc509_0976
ko:K16509	lli:uc509_0669
ko:K01262	lli:uc509_0685
ko:K07052	lli:uc509_0698
ko:K16013	lli:uc509_0703
ko:K16012	lli:uc509_0704
ko:K07069	lli:uc509_0713
ko:K02824	lli:uc509_1548
ko:K09155	lli:uc509_1556
ko:K06988	lli:uc509_1560
ko:K00657	lli:uc509_1561
ko:K03475	lli:uc509_1572
ko:K02822	lli:uc509_1573
ko:K11041	lli:uc509_p8013
ko:K01220	lli:uc509_p8017
ko:K02786	lli:uc509_p8019
ko:K01635	lli:uc509_p8020
ko:K00917	lli:uc509_p8021
ko:K01819	lli:uc509_p8022
ko:K01819	lli:uc509_p8023
ko:K02530	lli:uc509_p8024
ko:K11072	lli:uc509_1179
ko:K11071	lli:uc509_1180
ko:K11069	lli:uc509_1182
ko:K01788	lli:uc509_1196
ko:K07030	lli:uc509_1211
ko:K02236	lli:uc509_2000
ko:K01478	lli:uc509_2009
ko:K07052	lli:uc509_2023
ko:K01281	lli:uc509_2025
ko:K09698	lli:uc509_2029
ko:K02549	lli:uc509_0732
ko:K08680	lli:uc509_0736
ko:K02552	lli:uc509_0738
ko:K01424	lli:uc509_0743
ko:K07192	lli:uc509_0746
ko:K03346	lli:uc509_0758
ko:K11144	lli:uc509_0759
ko:K00852	lli:uc509_1590
ko:K00625	lli:uc509_1611
ko:K14982	lli:uc509_1626
ko:K14983	lli:uc509_1627
ko:K00691	lli:uc509_1629
ko:K15770	lli:uc509_1636
ko:K02033	lli:uc509_p8038
ko:K02035	lli:uc509_p8040
ko:K07386	lli:uc509_p8041
ko:K07052	lli:uc509_p8067
ko:K03709	lli:uc509_1261
ko:K05363	lli:uc509_2051
ko:K00939	lli:uc509_2057
ko:K12555	lli:uc509_2088
ko:K09815	lli:uc509_2096
ko:K00059	lli:uc509_0787
ko:K00059	lli:uc509_0807
ko:K05337	lli:uc509_1646
ko:K02793	lli:uc509_1647
ko:K02794	lli:uc509_1647
ko:K02795	lli:uc509_1648
ko:K07533	lli:uc509_1672
ko:K06198	lli:uc509_1675
ko:K04518	lli:uc509_1689
ko:K02428	lli:uc509_1295
ko:K09976	lli:uc509_1297
ko:K07032	lli:uc509_1329
ko:K02248	lli:uc509_2099
ko:K02245	lli:uc509_2102
ko:K02244	lli:uc509_2103
ko:K02243	lli:uc509_2104
ko:K12296	lli:uc509_2126
ko:K06286	lli:uc509_2127
ko:K07404	lli:uc509_2131
ko:K07177	lli:uc509_2138
ko:K08152	lli:uc509_2141
ko:K02030	lli:uc509_0974
