ko:K11893	ses:SARI_02631
ko:K07703	ses:SARI_03344
ko:K02761	ses:SARI_01665
ko:K01223	ses:SARI_04599
ko:K06221	ses:SARI_04460
ko:K00370	ses:SARI_01190
ko:K10857	ses:SARI_01068
ko:K00245	ses:SARI_03291
ko:K00371	ses:SARI_01191
ko:K01695	ses:SARI_01228
ko:K01696	ses:SARI_01229
ko:K02345	ses:SARI_01070
ko:K07811	ses:SARI_03822
ko:K05934	ses:SARI_00861
ko:K03060	ses:SARI_03898
ko:K01448	ses:SARI_04669
ko:K00765	ses:SARI_00813
ko:K00382	ses:SARI_02839
ko:K01222	ses:SARI_02171
ko:K01222	ses:SARI_01662
ko:K10763	ses:SARI_00384
ko:K03470	ses:SARI_02772
ko:K01972	ses:SARI_00461
ko:K03587	ses:SARI_01104
ko:K08298	ses:SARI_02928
ko:K05366	ses:SARI_04122
ko:K05367	ses:SARI_00346
ko:K02071	ses:SARI_02423
ko:K00963	ses:SARI_01201
ko:K03073	ses:SARI_03517
ko:K00604	ses:SARI_04220
ko:K03974	ses:SARI_01279
ko:K03969	ses:SARI_01280
ko:K00567	ses:SARI_01323
ko:K03110	ses:SARI_04065
ko:K02909	ses:SARI_03560
ko:K03814	ses:SARI_04299
ko:K01151	ses:SARI_00686
ko:K05874	ses:SARI_03047
ko:K03168	ses:SARI_01246
ko:K01955	ses:SARI_02937
ko:K03736	ses:SARI_00427
ko:K00957	ses:SARI_00021
ko:K02798	ses:SARI_03955
ko:K02799	ses:SARI_03955
ko:K02800	ses:SARI_03955
ko:K02871	ses:SARI_04279
ko:K09747	ses:SARI_02449
ko:K00826	ses:SARI_03749
ko:K10823	ses:SARI_01211
ko:K02361	ses:SARI_02341
ko:K07461	ses:SARI_04352
ko:K03546	ses:SARI_02531
ko:K03186	ses:SARI_00036
ko:K01657	ses:SARI_01232
ko:K02472	ses:SARI_03732
ko:K07307	ses:SARI_01432
ko:K07307	ses:SARI_03341
ko:K05592	ses:SARI_04344
ko:K03183	ses:SARI_03687
ko:K03641	ses:SARI_02188
ko:K03977	ses:SARI_00360
ko:K00901	ses:SARI_03442
ko:K06206	ses:SARI_02810
ko:K00525	ses:SARI_00166
ko:K00549	ses:SARI_03692
ko:K03835	ses:SARI_04345
ko:K00768	ses:SARI_00872
ko:K02837	ses:SARI_03020
ko:K07709	ses:SARI_03484
ko:K07803	ses:SARI_03485
ko:K00525	ses:SARI_00615
ko:K04754	ses:SARI_00507
ko:K10806	ses:SARI_01218
ko:K03572	ses:SARI_03272
ko:K06076	ses:SARI_00508
ko:K01892	ses:SARI_00357
ko:K02945	ses:SARI_01981
ko:K00648	ses:SARI_01805
ko:K03413	ses:SARI_01030
ko:K00820	ses:SARI_03790
ko:K03686	ses:SARI_02979
ko:K00526	ses:SARI_00165
ko:K07042	ses:SARI_02274
ko:K02160	ses:SARI_04254
ko:K02400	ses:SARI_01033
ko:K02401	ses:SARI_01032
ko:K00057	ses:SARI_03941
ko:K03808	ses:SARI_01093
ko:K03808	ses:SARI_01946
ko:K01007	ses:SARI_01619
ko:K06968	ses:SARI_04682
ko:K03665	ses:SARI_03269
ko:K02405	ses:SARI_00981
ko:K01845	ses:SARI_02802
ko:K03923	ses:SARI_04450
ko:K00864	ses:SARI_03571
ko:K09812	ses:SARI_04066
ko:K06192	ses:SARI_01945
ko:K09811	ses:SARI_04067
ko:K03624	ses:SARI_04326
ko:K07713	ses:SARI_03483
ko:K02190	ses:SARI_00863
ko:K03075	ses:SARI_04332
ko:K00974	ses:SARI_04425
ko:K00790	ses:SARI_04318
ko:K03043	ses:SARI_03509
ko:K03711	ses:SARI_02249
ko:K10748	ses:SARI_01507
ko:K06223	ses:SARI_04131
ko:K13041	ses:SARI_01595
ko:K02437	ses:SARI_04597
ko:K03980	ses:SARI_01827
ko:K03600	ses:SARI_04283
ko:K03919	ses:SARI_00625
ko:K06189	ses:SARI_02275
ko:K03701	ses:SARI_03424
ko:K03702	ses:SARI_02127
ko:K03573	ses:SARI_04654
ko:K03582	ses:SARI_04666
ko:K03583	ses:SARI_04664
ko:K03581	ses:SARI_04667
ko:K02336	ses:SARI_02907
ko:K03703	ses:SARI_00991
ko:K03657	ses:SARI_03706
ko:K03555	ses:SARI_00042
ko:K03550	ses:SARI_01051
ko:K02420	ses:SARI_00957
ko:K02421	ses:SARI_00956
ko:K01448	ses:SARI_00432
ko:K04044	ses:SARI_00337
ko:K03177	ses:SARI_04340
ko:K02317	ses:SARI_03036
ko:K03629	ses:SARI_03809
ko:K03655	ses:SARI_03895
ko:K01972	ses:SARI_03901
ko:K03584	ses:SARI_00299
ko:K03077	ses:SARI_03245
ko:K01704	ses:SARI_02892
ko:K02835	ses:SARI_01177
ko:K03551	ses:SARI_01052
ko:K01159	ses:SARI_01050
ko:K04066	ses:SARI_03561
ko:K03666	ses:SARI_03270
ko:K01956	ses:SARI_02938
ko:K03315	ses:SARI_01415
ko:K00526	ses:SARI_00614
ko:K08354	ses:SARI_00824
ko:K01893	ses:SARI_01958
ko:K01056	ses:SARI_01169
ko:K05834	ses:SARI_03697
ko:K00537	ses:SARI_00385
ko:K00344	ses:SARI_03433
ko:K02188	ses:SARI_00856
ko:K01419	ses:SARI_03564
ko:K03975	ses:SARI_00532
ko:K03427	ses:SARI_01421
ko:K04069	ses:SARI_02079
ko:K02110	ses:SARI_03781
ko:K03614	ses:SARI_01526
ko:K02114	ses:SARI_03787
ko:K02313	ses:SARI_03807
ko:K03613	ses:SARI_01528
ko:K09903	ses:SARI_02785
ko:K02380	ses:SARI_03633
ko:K03734	ses:SARI_00623
ko:K00970	ses:SARI_02813
ko:K03563	ses:SARI_00147
ko:K03612	ses:SARI_01527
ko:K01997	ses:SARI_04072
ko:K03645	ses:SARI_02244
ko:K03617	ses:SARI_01522
ko:K00537	ses:SARI_01919
ko:K07722	ses:SARI_04052
ko:K00631	ses:SARI_03443
ko:K01153	ses:SARI_01423
ko:K01915	ses:SARI_03652
ko:K02551	ses:SARI_00590
ko:K01962	ses:SARI_02770
ko:K04082	ses:SARI_00336
ko:K02356	ses:SARI_00676
ko:K03291	ses:SARI_00678
ko:K00882	ses:SARI_00680
ko:K06866	ses:SARI_00279
ko:K02769	ses:SARI_00681
ko:K02770	ses:SARI_00681
ko:K00278	ses:SARI_00282
ko:K02781	ses:SARI_00138
ko:K01674	ses:SARI_04248
ko:K02079	ses:SARI_04363
ko:K03609	ses:SARI_01124
ko:K11250	ses:SARI_01711
ko:K05916	ses:SARI_00320
ko:K00600	ses:SARI_00322
ko:K05820	ses:SARI_00323
ko:K04488	ses:SARI_00334
ko:K01661	ses:SARI_00592
ko:K02549	ses:SARI_00593
ko:K01241	ses:SARI_00882
ko:K02012	ses:SARI_00892
ko:K02011	ses:SARI_00893
ko:K09933	ses:SARI_00903
ko:K07751	ses:SARI_00340
ko:K06894	ses:SARI_00345
ko:K07306	ses:SARI_00347
ko:K07308	ses:SARI_00349
ko:K00940	ses:SARI_00351
ko:K01995	ses:SARI_04074
ko:K00656	ses:SARI_02080
ko:K02793	ses:SARI_01110
ko:K02794	ses:SARI_01110
ko:K11191	ses:SARI_00438
ko:K11192	ses:SARI_00438
ko:K03098	ses:SARI_03294
ko:K06042	ses:SARI_00855
ko:K05516	ses:SARI_01889
ko:K00230	ses:SARI_03672
ko:K02498	ses:SARI_03717
ko:K01689	ses:SARI_00009
ko:K02931	ses:SARI_04201
ko:K05541	ses:SARI_00724
ko:K07262	ses:SARI_00730
ko:K03777	ses:SARI_00732
ko:K05846	ses:SARI_00735
ko:K05846	ses:SARI_00737
ko:K05804	ses:SARI_02997
ko:K07636	ses:SARI_02528
ko:K05966	ses:SARI_02316
ko:K02115	ses:SARI_03785
ko:K02112	ses:SARI_03786
ko:K08303	ses:SARI_01374
ko:K07306	ses:SARI_03342
ko:K02511	ses:SARI_01894
ko:K06941	ses:SARI_00353
ko:K01996	ses:SARI_04075
ko:K02887	ses:SARI_01633
ko:K00558	ses:SARI_00944
ko:K03667	ses:SARI_03565
ko:K01042	ses:SARI_03965
ko:K01791	ses:SARI_00800
ko:K01791	ses:SARI_03733
ko:K03610	ses:SARI_01125
ko:K03615	ses:SARI_01525
ko:K07034	ses:SARI_02981
ko:K07643	ses:SARI_03366
ko:K07771	ses:SARI_03365
ko:K10805	ses:SARI_02469
ko:K03588	ses:SARI_02874
ko:K03225	ses:SARI_01564
ko:K03225	ses:SARI_00082
ko:K02484	ses:SARI_01908
ko:K02483	ses:SARI_01907
ko:K06178	ses:SARI_01241
ko:K03226	ses:SARI_01563
ko:K03592	ses:SARI_03209
ko:K01939	ses:SARI_03265
ko:K02939	ses:SARI_03238
ko:K06195	ses:SARI_02915
ko:K02600	ses:SARI_04337
ko:K03608	ses:SARI_01123
ko:K02948	ses:SARI_04211
ko:K01595	ses:SARI_03545
ko:K08680	ses:SARI_00591
ko:K11085	ses:SARI_01978
ko:K01933	ses:SARI_00381
ko:K01582	ses:SARI_00317
ko:K01903	ses:SARI_02210
ko:K02387	ses:SARI_01823
ko:K03071	ses:SARI_03940
ko:K01883	ses:SARI_02415
ko:K00362	ses:SARI_04140
ko:K00363	ses:SARI_04138
ko:K02409	ses:SARI_00968
ko:K02504	ses:SARI_02852
ko:K02425	ses:SARI_00982
ko:K07675	ses:SARI_03860
ko:K07640	ses:SARI_03586
ko:K10914	ses:SARI_04149
ko:K02116	ses:SARI_03779
ko:K02108	ses:SARI_03780
ko:K07677	ses:SARI_00618
ko:K07638	ses:SARI_04114
ko:K01902	ses:SARI_02209
ko:K06891	ses:SARI_02017
ko:K03827	ses:SARI_03475
ko:K09458	ses:SARI_01801
ko:K07458	ses:SARI_00945
ko:K05982	ses:SARI_03489
ko:K03785	ses:SARI_01618
ko:K04103	ses:SARI_00479
ko:K02340	ses:SARI_02286
ko:K02341	ses:SARI_01791
ko:K04564	ses:SARI_03588
ko:K03046	ses:SARI_03508
ko:K07173	ses:SARI_00157
ko:K01963	ses:SARI_00533
ko:K01961	ses:SARI_04253
ko:K00793	ses:SARI_01556
ko:K02556	ses:SARI_01017
ko:K02557	ses:SARI_01018
ko:K01807	ses:SARI_04587
ko:K03092	ses:SARI_04305
ko:K09823	ses:SARI_03438
ko:K00609	ses:SARI_03191
ko:K01447	ses:SARI_00898
ko:K03806	ses:SARI_02849
ko:K00281	ses:SARI_04598
ko:K02469	ses:SARI_00617
ko:K02470	ses:SARI_03810
ko:K02621	ses:SARI_04454
ko:K02622	ses:SARI_04448
ko:K02411	ses:SARI_00966
ko:K02407	ses:SARI_00977
ko:K02422	ses:SARI_00976
ko:K02346	ses:SARI_02697
ko:K00219	ses:SARI_04408
ko:K02001	ses:SARI_00163
ko:K02337	ses:SARI_02771
ko:K02338	ses:SARI_03808
ko:K02339	ses:SARI_03167
ko:K04477	ses:SARI_01861
ko:K04565	ses:SARI_01541
ko:K04565	ses:SARI_04625
ko:K10440	ses:SARI_03766
ko:K00647	ses:SARI_00522
ko:K03722	ses:SARI_02105
ko:K03723	ses:SARI_01775
ko:K03553	ses:SARI_00143
ko:K02686	ses:SARI_03240
ko:K04067	ses:SARI_02452
ko:K01646	ses:SARI_02312
ko:K06177	ses:SARI_02909
ko:K01588	ses:SARI_02419
ko:K08300	ses:SARI_01812
ko:K02520	ses:SARI_01636
ko:K02342	ses:SARI_02738
ko:K03646	ses:SARI_02189
ko:K03640	ses:SARI_02187
ko:K03616	ses:SARI_01523
ko:K00239	ses:SARI_02214
ko:K07274	ses:SARI_01694
ko:K07795	ses:SARI_00189
ko:K07774	ses:SARI_00190
ko:K07649	ses:SARI_00191
ko:K07241	ses:SARI_00192
ko:K09824	ses:SARI_00194
ko:K03186	ses:SARI_00543
ko:K10014	ses:SARI_00545
ko:K10016	ses:SARI_00546
ko:K10015	ses:SARI_00547
ko:K10017	ses:SARI_00548
ko:K07095	ses:SARI_00552
ko:K02821	ses:SARI_00555
ko:K02822	ses:SARI_00557
ko:K00615	ses:SARI_00559
ko:K00615	ses:SARI_00560
ko:K00925	ses:SARI_00563
ko:K09899	ses:SARI_00564
ko:K09161	ses:SARI_00565
ko:K00331	ses:SARI_00572
ko:K00335	ses:SARI_00575
ko:K00336	ses:SARI_00576
ko:K00337	ses:SARI_00577
ko:K00338	ses:SARI_00578
ko:K03415	ses:SARI_00584
ko:K00784	ses:SARI_00585
ko:K02348	ses:SARI_00587
ko:K05594	ses:SARI_00588
ko:K02552	ses:SARI_00589
ko:K03664	ses:SARI_00240
ko:K09801	ses:SARI_00242
ko:K06186	ses:SARI_00243
ko:K00858	ses:SARI_00245
ko:K03687	ses:SARI_00246
ko:K03106	ses:SARI_00249
ko:K02959	ses:SARI_00250
ko:K02860	ses:SARI_00251
ko:K00554	ses:SARI_00252
ko:K02884	ses:SARI_00253
ko:K01626	ses:SARI_00257
ko:K07259	ses:SARI_04325
ko:K07574	ses:SARI_04327
ko:K02427	ses:SARI_04328
ko:K03798	ses:SARI_04329
ko:K00796	ses:SARI_04330
ko:K03431	ses:SARI_04331
ko:K01940	ses:SARI_04334
ko:K09748	ses:SARI_04336
ko:K02834	ses:SARI_04339
ko:K00962	ses:SARI_04342
ko:K05803	ses:SARI_04343
ko:K08303	ses:SARI_04348
ko:K03824	ses:SARI_04350
ko:K07460	ses:SARI_04357
ko:K07121	ses:SARI_04358
ko:K07056	ses:SARI_04359
ko:K08302	ses:SARI_04361
ko:K02335	ses:SARI_03661
ko:K01673	ses:SARI_02823
ko:K02783	ses:SARI_00140
ko:K00658	ses:SARI_02211
ko:K02509	ses:SARI_01896
ko:K00927	ses:SARI_04576
ko:K01624	ses:SARI_04577
ko:K03442	ses:SARI_04578
ko:K09807	ses:SARI_04580
ko:K07588	ses:SARI_04584
ko:K09888	ses:SARI_04591
ko:K09895	ses:SARI_04592
ko:K01262	ses:SARI_04593
ko:K03185	ses:SARI_04594
ko:K00605	ses:SARI_04596
ko:K09900	ses:SARI_04600
ko:K06980	ses:SARI_04602
ko:K09159	ses:SARI_04603
ko:K03840	ses:SARI_04605
ko:K03981	ses:SARI_04607
ko:K02836	ses:SARI_04609
ko:K00697	ses:SARI_01013
ko:K02403	ses:SARI_01015
ko:K02402	ses:SARI_01016
ko:K03407	ses:SARI_01019
ko:K03408	ses:SARI_01020
ko:K07347	ses:SARI_01025
ko:K03414	ses:SARI_01031
ko:K09908	ses:SARI_04277
ko:K03599	ses:SARI_04281
ko:K01639	ses:SARI_04285
ko:K03290	ses:SARI_04286
ko:K01788	ses:SARI_04287
ko:K07139	ses:SARI_04295
ko:K07648	ses:SARI_04296
ko:K05808	ses:SARI_04304
ko:K06861	ses:SARI_04306
ko:K09774	ses:SARI_04307
ko:K03270	ses:SARI_04309
ko:K06041	ses:SARI_04310
ko:K07301	ses:SARI_04311
ko:K01815	ses:SARI_04637
ko:K02854	ses:SARI_03597
ko:K02855	ses:SARI_03598
ko:K00848	ses:SARI_03600
ko:K01629	ses:SARI_03602
ko:K03534	ses:SARI_03604
ko:K02379	ses:SARI_03629
ko:K00127	ses:SARI_03632
ko:K07560	ses:SARI_03638
ko:K07058	ses:SARI_03639
ko:K06207	ses:SARI_03651
ko:K00135	ses:SARI_03055
ko:K01305	ses:SARI_03063
ko:K04083	ses:SARI_04117
ko:K04762	ses:SARI_04118
ko:K08312	ses:SARI_04121
ko:K00891	ses:SARI_04128
ko:K01735	ses:SARI_04129
ko:K03112	ses:SARI_04130
ko:K01783	ses:SARI_04132
ko:K01867	ses:SARI_04134
ko:K06141	ses:SARI_04142
ko:K04095	ses:SARI_04145
ko:K03532	ses:SARI_03820
ko:K00428	ses:SARI_03824
ko:K02194	ses:SARI_03826
ko:K02198	ses:SARI_03830
ko:K02199	ses:SARI_03831
ko:K02200	ses:SARI_03832
ko:K04080	ses:SARI_03835
ko:K04081	ses:SARI_03836
ko:K07085	ses:SARI_03839
ko:K03307	ses:SARI_03841
ko:K00389	ses:SARI_03844
ko:K06871	ses:SARI_03846
ko:K01753	ses:SARI_03847
ko:K01653	ses:SARI_03854
ko:K00797	ses:SARI_02828
ko:K01611	ses:SARI_02829
ko:K09910	ses:SARI_02834
ko:K03402	ses:SARI_04273
ko:K02798	ses:SARI_04563
ko:K03224	ses:SARI_01567
ko:K02647	ses:SARI_02794
ko:K01129	ses:SARI_02796
ko:K06858	ses:SARI_02798
ko:K03281	ses:SARI_02801
ko:K02015	ses:SARI_02803
ko:K02016	ses:SARI_02804
ko:K02013	ses:SARI_02805
ko:K02014	ses:SARI_02806
ko:K03579	ses:SARI_02808
ko:K01975	ses:SARI_02809
ko:K06204	ses:SARI_02811
ko:K00950	ses:SARI_02814
ko:K00606	ses:SARI_02816
ko:K01918	ses:SARI_02817
ko:K02039	ses:SARI_03796
ko:K06901	ses:SARI_03798
ko:K03650	ses:SARI_03803
ko:K03217	ses:SARI_03804
ko:K03536	ses:SARI_03805
ko:K02914	ses:SARI_03806
ko:K06287	ses:SARI_04262
ko:K08301	ses:SARI_04263
ko:K03568	ses:SARI_04265
ko:K03623	ses:SARI_04270
ko:K06726	ses:SARI_03768
ko:K03549	ses:SARI_03770
ko:K03924	ses:SARI_03771
ko:K06205	ses:SARI_03775
ko:K03495	ses:SARI_03776
ko:K01881	ses:SARI_02759
ko:K00677	ses:SARI_02774
ko:K02536	ses:SARI_02776
ko:K06142	ses:SARI_02777
ko:K07277	ses:SARI_02778
ko:K00981	ses:SARI_02780
ko:K00806	ses:SARI_02781
ko:K00099	ses:SARI_02782
ko:K02838	ses:SARI_02783
ko:K02357	ses:SARI_02786
ko:K01265	ses:SARI_02789
ko:K00990	ses:SARI_02790
ko:K00674	ses:SARI_02791
ko:K07322	ses:SARI_03232
ko:K07269	ses:SARI_03235
ko:K02963	ses:SARI_03239
ko:K02990	ses:SARI_03242
ko:K02821	ses:SARI_03249
ko:K03475	ses:SARI_03251
ko:K03476	ses:SARI_03252
ko:K09456	ses:SARI_03257
ko:K08989	ses:SARI_03259
ko:K09980	ses:SARI_03261
ko:K03218	ses:SARI_03262
ko:K09937	ses:SARI_03266
ko:K04087	ses:SARI_03267
ko:K04088	ses:SARI_03268
ko:K00791	ses:SARI_03271
ko:K07147	ses:SARI_04256
ko:K03516	ses:SARI_01034
ko:K09907	ses:SARI_01040
ko:K06201	ses:SARI_01041
ko:K07136	ses:SARI_01044
ko:K08310	ses:SARI_01048
ko:K09816	ses:SARI_01053
ko:K09817	ses:SARI_01054
ko:K09815	ses:SARI_01055
ko:K02560	ses:SARI_01057
ko:K00873	ses:SARI_01058
ko:K00036	ses:SARI_01060
ko:K01690	ses:SARI_01061
ko:K08289	ses:SARI_01063
ko:K09918	ses:SARI_01064
ko:K01354	ses:SARI_01067
ko:K07156	ses:SARI_01071
ko:K07313	ses:SARI_01088
ko:K00656	ses:SARI_04378
ko:K01752	ses:SARI_04379
ko:K06911	ses:SARI_04383
ko:K07043	ses:SARI_04406
ko:K03776	ses:SARI_04411
ko:K01775	ses:SARI_03431
ko:K05539	ses:SARI_03435
ko:K03327	ses:SARI_03440
ko:K03179	ses:SARI_03444
ko:K03181	ses:SARI_03445
ko:K05775	ses:SARI_03446
ko:K10111	ses:SARI_03448
ko:K10108	ses:SARI_03450
ko:K10109	ses:SARI_03452
ko:K10110	ses:SARI_03453
ko:K01810	ses:SARI_03461
ko:K00928	ses:SARI_03462
ko:K06182	ses:SARI_03464
ko:K09912	ses:SARI_03465
ko:K05995	ses:SARI_03466
ko:K09920	ses:SARI_04445
ko:K03651	ses:SARI_04446
ko:K07000	ses:SARI_04447
ko:K00655	ses:SARI_04455
ko:K03319	ses:SARI_04459
ko:K02841	ses:SARI_03929
ko:K02843	ses:SARI_03930
ko:K03274	ses:SARI_03931
ko:K00639	ses:SARI_03932
ko:K09798	ses:SARI_03935
ko:K03676	ses:SARI_03939
ko:K00640	ses:SARI_03942
ko:K03535	ses:SARI_03943
ko:K06145	ses:SARI_03945
ko:K03216	ses:SARI_03947
ko:K00101	ses:SARI_03948
ko:K02562	ses:SARI_03953
ko:K00009	ses:SARI_03954
ko:K03833	ses:SARI_03966
ko:K03796	ses:SARI_03973
ko:K01805	ses:SARI_03976
ko:K01878	ses:SARI_03981
ko:K01879	ses:SARI_03982
ko:K03527	ses:SARI_02945
ko:K00058	ses:SARI_04588
ko:K11392	ses:SARI_01091
ko:K04774	ses:SARI_01244
ko:K08992	ses:SARI_01253
ko:K02824	ses:SARI_00383
ko:K01515	ses:SARI_04444
ko:K07686	ses:SARI_03859
ko:K09477	ses:SARI_02317
ko:K04652	ses:SARI_00117
ko:K04042	ses:SARI_03789
ko:K01091	ses:SARI_04133
ko:K02431	ses:SARI_04684
ko:K01756	ses:SARI_01758
ko:K00322	ses:SARI_03538
ko:K04761	ses:SARI_03539
ko:K00930	ses:SARI_03542
ko:K00145	ses:SARI_03543
ko:K00005	ses:SARI_03549
ko:K03764	ses:SARI_03557
ko:K05499	ses:SARI_03562
ko:K03591	ses:SARI_03563
ko:K02548	ses:SARI_03566
ko:K02553	ses:SARI_03567
ko:K09892	ses:SARI_03569
ko:K02440	ses:SARI_03570
ko:K00528	ses:SARI_03573
ko:K01803	ses:SARI_03576
ko:K03319	ses:SARI_03577
ko:K01521	ses:SARI_03579
ko:K02048	ses:SARI_03580
ko:K07662	ses:SARI_03585
ko:K02856	ses:SARI_03596
ko:K06871	ses:SARI_03135
ko:K08993	ses:SARI_04063
ko:K08316	ses:SARI_04064
ko:K03089	ses:SARI_04068
ko:K01999	ses:SARI_04069
ko:K01999	ses:SARI_04071
ko:K01998	ses:SARI_04073
ko:K05813	ses:SARI_04076
ko:K05814	ses:SARI_04077
ko:K05815	ses:SARI_04078
ko:K05816	ses:SARI_04079
ko:K01126	ses:SARI_04080
ko:K00681	ses:SARI_04082
ko:K06911	ses:SARI_04085
ko:K06145	ses:SARI_04086
ko:K00851	ses:SARI_04087
ko:K00133	ses:SARI_04089
ko:K00700	ses:SARI_04090
ko:K02438	ses:SARI_04091
ko:K00975	ses:SARI_04092
ko:K00688	ses:SARI_04094
ko:K00111	ses:SARI_04095
ko:K02441	ses:SARI_04097
ko:K03439	ses:SARI_04537
ko:K09923	ses:SARI_04538
ko:K09131	ses:SARI_04543
ko:K02221	ses:SARI_04544
ko:K06997	ses:SARI_04545
ko:K02669	ses:SARI_04546
ko:K07447	ses:SARI_04548
ko:K07735	ses:SARI_04549
ko:K01920	ses:SARI_04550
ko:K09761	ses:SARI_04551
ko:K02742	ses:SARI_04553
ko:K00789	ses:SARI_04556
ko:K01480	ses:SARI_04560
ko:K07387	ses:SARI_04561
ko:K00615	ses:SARI_04562
ko:K03305	ses:SARI_04046
ko:K06144	ses:SARI_04048
ko:K07007	ses:SARI_04050
ko:K02314	ses:SARI_03086
ko:K03269	ses:SARI_02417
ko:K07150	ses:SARI_04531
ko:K03289	ses:SARI_04533
ko:K08306	ses:SARI_04534
ko:K09001	ses:SARI_01536
ko:K02565	ses:SARI_02259
ko:K00163	ses:SARI_02842
ko:K02967	ses:SARI_02787
ko:K02392	ses:SARI_01818
ko:K02391	ses:SARI_01819
ko:K02390	ses:SARI_01820
ko:K02388	ses:SARI_01822
ko:K02386	ses:SARI_01824
ko:K02398	ses:SARI_01825
ko:K02399	ses:SARI_01826
ko:K09915	ses:SARI_01829
ko:K03607	ses:SARI_01095
ko:K03797	ses:SARI_01096
ko:K03799	ses:SARI_01097
ko:K08169	ses:SARI_01098
ko:K03704	ses:SARI_01103
ko:K00563	ses:SARI_01105
ko:K02796	ses:SARI_01108
ko:K02795	ses:SARI_01109
ko:K01752	ses:SARI_01113
ko:K01665	ses:SARI_01115
ko:K09917	ses:SARI_01116
ko:K07285	ses:SARI_01120
ko:K03684	ses:SARI_01122
ko:K09902	ses:SARI_01126
ko:K09160	ses:SARI_01128
ko:K03611	ses:SARI_01132
ko:K03790	ses:SARI_01830
ko:K08162	ses:SARI_01831
ko:K03675	ses:SARI_01832
ko:K01465	ses:SARI_01834
ko:K07146	ses:SARI_01842
ko:K02517	ses:SARI_01843
