ko:K19743	zmb:ZZ6_1206
ko:K03701	zmb:ZZ6_1522
ko:K03594	zmb:ZZ6_1524
ko:K03629	zmb:ZZ6_1525
ko:K02470	zmb:ZZ6_1526
ko:K07223	zmb:ZZ6_1529
ko:K00426	zmb:ZZ6_1531
ko:K00425	zmb:ZZ6_1532
ko:K00656	zmb:ZZ6_1533
ko:K04069	zmb:ZZ6_1534
ko:K09771	zmb:ZZ6_1537
ko:K03811	zmb:ZZ6_1538
ko:K07568	zmb:ZZ6_0442
ko:K00275	zmb:ZZ6_0443
ko:K10941	zmb:ZZ6_0444
ko:K07267	zmb:ZZ6_0447
ko:K01872	zmb:ZZ6_0449
ko:K01887	zmb:ZZ6_0451
ko:K01129	zmb:ZZ6_0452
ko:K03531	zmb:ZZ6_0455
ko:K03590	zmb:ZZ6_0456
ko:K03589	zmb:ZZ6_0457
ko:K01921	zmb:ZZ6_0458
ko:K00075	zmb:ZZ6_0459
ko:K01924	zmb:ZZ6_0460
ko:K02563	zmb:ZZ6_0461
ko:K03588	zmb:ZZ6_0462
ko:K01925	zmb:ZZ6_0463
ko:K01000	zmb:ZZ6_0464
ko:K01929	zmb:ZZ6_0465
ko:K01928	zmb:ZZ6_0466
ko:K03587	zmb:ZZ6_0467
ko:K03438	zmb:ZZ6_0469
ko:K01738	zmb:ZZ6_0472
ko:K01952	zmb:ZZ6_0473
ko:K00012	zmb:ZZ6_0474
ko:K01737	zmb:ZZ6_0475
ko:K09760	zmb:ZZ6_0478
ko:K01462	zmb:ZZ6_0479
ko:K06187	zmb:ZZ6_0480
ko:K00604	zmb:ZZ6_0481
ko:K06173	zmb:ZZ6_0482
ko:K09131	zmb:ZZ6_0483
ko:K14441	zmb:ZZ6_0484
ko:K01255	zmb:ZZ6_0485
ko:K00145	zmb:ZZ6_0487
ko:K01993	zmb:ZZ6_0489
ko:K13926	zmb:ZZ6_0490
ko:K09801	zmb:ZZ6_1324
ko:K01091	zmb:ZZ6_1325
ko:K05788	zmb:ZZ6_1328
ko:K02945	zmb:ZZ6_1330
ko:K00945	zmb:ZZ6_1331
ko:K00800	zmb:ZZ6_1332
ko:K01687	zmb:ZZ6_1336
ko:K09799	zmb:ZZ6_1346
ko:K01256	zmb:ZZ6_1349
ko:K08325	zmb:ZZ6_1353
ko:K01755	zmb:ZZ6_1354
ko:K01586	zmb:ZZ6_1356
ko:K00963	zmb:ZZ6_1357
ko:K16074	zmb:ZZ6_1358
ko:K07460	zmb:ZZ6_1361
ko:K07056	zmb:ZZ6_1362
ko:K05807	zmb:ZZ6_1365
ko:K00528	zmb:ZZ6_1370
ko:K04754	zmb:ZZ6_1374
ko:K00297	zmb:ZZ6_1376
ko:K06167	zmb:ZZ6_0227
ko:K03424	zmb:ZZ6_0228
ko:K01874	zmb:ZZ6_0229
ko:K02341	zmb:ZZ6_0230
ko:K00943	zmb:ZZ6_0231
ko:K03642	zmb:ZZ6_0233
ko:K00694	zmb:ZZ6_0238
ko:K02884	zmb:ZZ6_0241
ko:K00554	zmb:ZZ6_0242
ko:K02860	zmb:ZZ6_0243
ko:K02959	zmb:ZZ6_0244
ko:K03106	zmb:ZZ6_0245
ko:K01778	zmb:ZZ6_0246
ko:K03110	zmb:ZZ6_0248
ko:K02426	zmb:ZZ6_0251
ko:K03970	zmb:ZZ6_0254
ko:K03969	zmb:ZZ6_0255
ko:K03974	zmb:ZZ6_0257
ko:K04564	zmb:ZZ6_0258
ko:K01633	zmb:ZZ6_0259
ko:K02621	zmb:ZZ6_0263
ko:K01923	zmb:ZZ6_0264
ko:K02036	zmb:ZZ6_0265
ko:K02038	zmb:ZZ6_0266
ko:K02037	zmb:ZZ6_0267
ko:K02040	zmb:ZZ6_0268
ko:K03282	zmb:ZZ6_0270
ko:K03744	zmb:ZZ6_0271
ko:K06872	zmb:ZZ6_0272
ko:K06890	zmb:ZZ6_0005
ko:K01061	zmb:ZZ6_0006
ko:K01265	zmb:ZZ6_0008
ko:K01620	zmb:ZZ6_0009
ko:K01256	zmb:ZZ6_0011
ko:K06911	zmb:ZZ6_0017
ko:K03809	zmb:ZZ6_0019
ko:K00858	zmb:ZZ6_0022
ko:K03437	zmb:ZZ6_0023
ko:K06958	zmb:ZZ6_0026
ko:K14980	zmb:ZZ6_0028
ko:K14981	zmb:ZZ6_0029
ko:K03500	zmb:ZZ6_0031
ko:K02528	zmb:ZZ6_0037
ko:K00097	zmb:ZZ6_0038
ko:K03771	zmb:ZZ6_0039
ko:K04744	zmb:ZZ6_0040
ko:K01255	zmb:ZZ6_0041
ko:K02339	zmb:ZZ6_0042
ko:K01676	zmb:ZZ6_0043
ko:K06442	zmb:ZZ6_0044
ko:K00286	zmb:ZZ6_0047
ko:K03801	zmb:ZZ6_0048
ko:K07106	zmb:ZZ6_0057
ko:K01972	zmb:ZZ6_0883
ko:K00773	zmb:ZZ6_0884
ko:K03702	zmb:ZZ6_0885
ko:K05837	zmb:ZZ6_0887
ko:K05515	zmb:ZZ6_0888
ko:K03570	zmb:ZZ6_0890
ko:K03569	zmb:ZZ6_0891
ko:K01940	zmb:ZZ6_0278
ko:K03675	zmb:ZZ6_1109
ko:K07042	zmb:ZZ6_1112
ko:K06168	zmb:ZZ6_1114
ko:K03408	zmb:ZZ6_1115
ko:K03413	zmb:ZZ6_1116
ko:K03411	zmb:ZZ6_1117
ko:K03412	zmb:ZZ6_1118
ko:K03407	zmb:ZZ6_1120
ko:K01012	zmb:ZZ6_1129
ko:K07267	zmb:ZZ6_1136
ko:K01093	zmb:ZZ6_1138
ko:K03724	zmb:ZZ6_1141
ko:K00865	zmb:ZZ6_1144
ko:K00820	zmb:ZZ6_1146
ko:K07090	zmb:ZZ6_1147
ko:K03449	zmb:ZZ6_1150
ko:K06287	zmb:ZZ6_1153
ko:K00014	zmb:ZZ6_1154
ko:K00859	zmb:ZZ6_1155
ko:K02392	zmb:ZZ6_0662
ko:K02393	zmb:ZZ6_0663
ko:K02394	zmb:ZZ6_0664
ko:K02395	zmb:ZZ6_0665
ko:K02396	zmb:ZZ6_0666
ko:K02397	zmb:ZZ6_0667
ko:K02556	zmb:ZZ6_0668
ko:K02557	zmb:ZZ6_0669
ko:K13587	zmb:ZZ6_0671
ko:K01962	zmb:ZZ6_0672
ko:K00891	zmb:ZZ6_0676
ko:K01735	zmb:ZZ6_0677
ko:K04485	zmb:ZZ6_0681
ko:K01591	zmb:ZZ6_0683
ko:K01817	zmb:ZZ6_0684
ko:K01696	zmb:ZZ6_0685
ko:K01695	zmb:ZZ6_0686
ko:K01963	zmb:ZZ6_0687
ko:K11754	zmb:ZZ6_0688
ko:K08218	zmb:ZZ6_0689
ko:K06178	zmb:ZZ6_0691
ko:K03657	zmb:ZZ6_0693
ko:K03675	zmb:ZZ6_0694
ko:K02687	zmb:ZZ6_0697
ko:K00242	zmb:ZZ6_0699
ko:K01902	zmb:ZZ6_0700
ko:K08224	zmb:ZZ6_0701
ko:K03579	zmb:ZZ6_0702
ko:K02523	zmb:ZZ6_0703
ko:K04092	zmb:ZZ6_0704
ko:K00817	zmb:ZZ6_0705
ko:K06923	zmb:ZZ6_0706
ko:K09748	zmb:ZZ6_0708
ko:K02600	zmb:ZZ6_0709
ko:K07742	zmb:ZZ6_0710
ko:K02519	zmb:ZZ6_0711
ko:K02834	zmb:ZZ6_0712
ko:K02956	zmb:ZZ6_0715
ko:K00962	zmb:ZZ6_0716
ko:K08311	zmb:ZZ6_1540
ko:K00764	zmb:ZZ6_1542
ko:K01919	zmb:ZZ6_1544
ko:K09761	zmb:ZZ6_1545
ko:K00946	zmb:ZZ6_1546
ko:K03625	zmb:ZZ6_1547
ko:K00013	zmb:ZZ6_1548
ko:K00765	zmb:ZZ6_1549
ko:K05527	zmb:ZZ6_1550
ko:K09883	zmb:ZZ6_1555
ko:K04759	zmb:ZZ6_1557
ko:K04758	zmb:ZZ6_1558
ko:K02337	zmb:ZZ6_1559
ko:K01952	zmb:ZZ6_1563
ko:K01952	zmb:ZZ6_1564
ko:K06041	zmb:ZZ6_1565
ko:K07799	zmb:ZZ6_1566
ko:K07788	zmb:ZZ6_1567
ko:K07789	zmb:ZZ6_1568
ko:K00948	zmb:ZZ6_1575
ko:K02916	zmb:ZZ6_1577
ko:K02887	zmb:ZZ6_1578
ko:K01889	zmb:ZZ6_1579
ko:K01890	zmb:ZZ6_1580
ko:K02493	zmb:ZZ6_1583
ko:K02835	zmb:ZZ6_1584
ko:K01892	zmb:ZZ6_1585
ko:K09985	zmb:ZZ6_1588
ko:K01693	zmb:ZZ6_1589
ko:K02501	zmb:ZZ6_1590
ko:K01814	zmb:ZZ6_1591
ko:K02500	zmb:ZZ6_1592
ko:K03572	zmb:ZZ6_0892
ko:K07735	zmb:ZZ6_0897
ko:K03665	zmb:ZZ6_0898
ko:K03666	zmb:ZZ6_0899
ko:K03320	zmb:ZZ6_0900
ko:K03568	zmb:ZZ6_0902
ko:K00812	zmb:ZZ6_0904
ko:K00788	zmb:ZZ6_0909
ko:K02356	zmb:ZZ6_0912
ko:K09457	zmb:ZZ6_0914
ko:K03101	zmb:ZZ6_0916
ko:K01870	zmb:ZZ6_0917
ko:K11753	zmb:ZZ6_0918
ko:K06131	zmb:ZZ6_0923
ko:K00286	zmb:ZZ6_0926
ko:K07266	zmb:ZZ6_0928
ko:K01772	zmb:ZZ6_0931
ko:K09939	zmb:ZZ6_0933
ko:K03601	zmb:ZZ6_0934
ko:K01945	zmb:ZZ6_0935
ko:K01465	zmb:ZZ6_0498
ko:K00609	zmb:ZZ6_0499
ko:K07447	zmb:ZZ6_0508
ko:K02435	zmb:ZZ6_0509
ko:K02434	zmb:ZZ6_0511
ko:K06213	zmb:ZZ6_0520
ko:K00566	zmb:ZZ6_0521
ko:K00990	zmb:ZZ6_0524
ko:K01868	zmb:ZZ6_0525
ko:K13588	zmb:ZZ6_0535
ko:K06180	zmb:ZZ6_0537
ko:K03089	zmb:ZZ6_0538
ko:K01738	zmb:ZZ6_0539
ko:K09958	zmb:ZZ6_0542
ko:K02837	zmb:ZZ6_0544
ko:K03149	zmb:ZZ6_0547
ko:K03786	zmb:ZZ6_0548
ko:K02160	zmb:ZZ6_0549
ko:K01961	zmb:ZZ6_0550
ko:K03596	zmb:ZZ6_1380
ko:K04761	zmb:ZZ6_1386
ko:K00640	zmb:ZZ6_1388
ko:K14261	zmb:ZZ6_1391
ko:K06891	zmb:ZZ6_1392
ko:K00790	zmb:ZZ6_1393
ko:K05810	zmb:ZZ6_1395
ko:K03060	zmb:ZZ6_1398
ko:K00847	zmb:ZZ6_1399
ko:K03832	zmb:ZZ6_1401
ko:K03561	zmb:ZZ6_1402
ko:K02970	zmb:ZZ6_1405
ko:K03100	zmb:ZZ6_1408
ko:K00997	zmb:ZZ6_1409
ko:K03474	zmb:ZZ6_1410
ko:K00762	zmb:ZZ6_1411
ko:K05838	zmb:ZZ6_1412
ko:K07157	zmb:ZZ6_1413
ko:K03185	zmb:ZZ6_1414
ko:K03466	zmb:ZZ6_1415
ko:K01142	zmb:ZZ6_1418
ko:K01736	zmb:ZZ6_1424
ko:K00208	zmb:ZZ6_1425
ko:K07058	zmb:ZZ6_1426
ko:K01465	zmb:ZZ6_1428
ko:K06980	zmb:ZZ6_1429
ko:K01939	zmb:ZZ6_1430
ko:K02502	zmb:ZZ6_1431
ko:K00574	zmb:ZZ6_0280
ko:K06941	zmb:ZZ6_0281
ko:K04069	zmb:ZZ6_0284
ko:K06920	zmb:ZZ6_0287
ko:K04487	zmb:ZZ6_0288
ko:K07018	zmb:ZZ6_0289
ko:K01581	zmb:ZZ6_0290
ko:K00809	zmb:ZZ6_0291
ko:K02066	zmb:ZZ6_0292
ko:K02065	zmb:ZZ6_0293
ko:K02518	zmb:ZZ6_0296
ko:K06287	zmb:ZZ6_0297
ko:K09862	zmb:ZZ6_0299
ko:K00796	zmb:ZZ6_0304
ko:K03470	zmb:ZZ6_0306
ko:K00941	zmb:ZZ6_0307
ko:K03431	zmb:ZZ6_0308
ko:K03305	zmb:ZZ6_0309
ko:K00549	zmb:ZZ6_0310
ko:K07566	zmb:ZZ6_0311
ko:K01625	zmb:ZZ6_0313
ko:K04080	zmb:ZZ6_0317
ko:K06204	zmb:ZZ6_0320
ko:K01875	zmb:ZZ6_0321
ko:K03787	zmb:ZZ6_0322
ko:K02034	zmb:ZZ6_0325
ko:K02338	zmb:ZZ6_0327
ko:K16092	zmb:ZZ6_0328
ko:K02016	zmb:ZZ6_0329
ko:K09160	zmb:ZZ6_1161
ko:K00602	zmb:ZZ6_1165
ko:K00782	zmb:ZZ6_1169
ko:K01783	zmb:ZZ6_1171
ko:K03500	zmb:ZZ6_1172
ko:K03687	zmb:ZZ6_1173
ko:K03705	zmb:ZZ6_1174
ko:K00989	zmb:ZZ6_1175
ko:K07043	zmb:ZZ6_1179
ko:K00381	zmb:ZZ6_1181
ko:K00390	zmb:ZZ6_1182
ko:K02302	zmb:ZZ6_1183
ko:K00957	zmb:ZZ6_1184
ko:K00860	zmb:ZZ6_1186
ko:K01599	zmb:ZZ6_1191
ko:K08973	zmb:ZZ6_1192
ko:K03628	zmb:ZZ6_1193
ko:K01061	zmb:ZZ6_1195
ko:K03650	zmb:ZZ6_1197
ko:K03495	zmb:ZZ6_1200
ko:K03501	zmb:ZZ6_1201
ko:K01647	zmb:ZZ6_1212
ko:K03699	zmb:ZZ6_0937
ko:K02529	zmb:ZZ6_0065
ko:K02078	zmb:ZZ6_0066
ko:K09458	zmb:ZZ6_0067
ko:K07082	zmb:ZZ6_0068
ko:K01754	zmb:ZZ6_0070
ko:K06447	zmb:ZZ6_0072
ko:K01951	zmb:ZZ6_0078
ko:K02195	zmb:ZZ6_0079
ko:K02197	zmb:ZZ6_0081
ko:K02198	zmb:ZZ6_0082
ko:K02199	zmb:ZZ6_0083
ko:K02919	zmb:ZZ6_0089
ko:K03778	zmb:ZZ6_0094
ko:K09823	zmb:ZZ6_0097
ko:K01662	zmb:ZZ6_0098
ko:K09688	zmb:ZZ6_0101
ko:K07462	zmb:ZZ6_0105
ko:K01495	zmb:ZZ6_0106
ko:K02939	zmb:ZZ6_0108
ko:K02963	zmb:ZZ6_0109
ko:K02990	zmb:ZZ6_0110
ko:K00645	zmb:ZZ6_0111
ko:K03116	zmb:ZZ6_0114
ko:K03117	zmb:ZZ6_0115
ko:K03118	zmb:ZZ6_0116
ko:K02902	zmb:ZZ6_0939
ko:K13292	zmb:ZZ6_0941
ko:K09807	zmb:ZZ6_0944
ko:K03585	zmb:ZZ6_0947
ko:K03704	zmb:ZZ6_0949
ko:K03684	zmb:ZZ6_0950
ko:K11719	zmb:ZZ6_0951
ko:K09774	zmb:ZZ6_0952
ko:K06861	zmb:ZZ6_0953
ko:K03092	zmb:ZZ6_0954
ko:K03777	zmb:ZZ6_0956
ko:K02194	zmb:ZZ6_0960
ko:K03820	zmb:ZZ6_0964
ko:K00789	zmb:ZZ6_0965
ko:K11443	zmb:ZZ6_0968
ko:K02913	zmb:ZZ6_0969
ko:K03667	zmb:ZZ6_0970
ko:K01419	zmb:ZZ6_0971
ko:K03530	zmb:ZZ6_0972
ko:K02114	zmb:ZZ6_0974
ko:K02112	zmb:ZZ6_0975
ko:K02115	zmb:ZZ6_0976
ko:K02111	zmb:ZZ6_0977
ko:K02113	zmb:ZZ6_0978
ko:K03218	zmb:ZZ6_0982
ko:K02013	zmb:ZZ6_0984
ko:K02015	zmb:ZZ6_0985
ko:K00641	zmb:ZZ6_0989
ko:K01609	zmb:ZZ6_0720
ko:K00031	zmb:ZZ6_0721
ko:K01681	zmb:ZZ6_0722
ko:K02879	zmb:ZZ6_0723
ko:K03040	zmb:ZZ6_0724
ko:K02948	zmb:ZZ6_0725
ko:K02952	zmb:ZZ6_0726
ko:K03076	zmb:ZZ6_0728
ko:K02876	zmb:ZZ6_0729
ko:K02907	zmb:ZZ6_0730
ko:K02988	zmb:ZZ6_0731
ko:K02881	zmb:ZZ6_0732
ko:K02933	zmb:ZZ6_0733
ko:K02994	zmb:ZZ6_0734
ko:K02954	zmb:ZZ6_0735
ko:K02931	zmb:ZZ6_0736
ko:K02895	zmb:ZZ6_0737
ko:K02874	zmb:ZZ6_0738
ko:K02961	zmb:ZZ6_0739
ko:K02904	zmb:ZZ6_0740
ko:K02878	zmb:ZZ6_0741
ko:K02982	zmb:ZZ6_0742
ko:K02890	zmb:ZZ6_0743
ko:K02965	zmb:ZZ6_0744
ko:K02886	zmb:ZZ6_0745
ko:K02892	zmb:ZZ6_0746
ko:K02926	zmb:ZZ6_0747
ko:K02906	zmb:ZZ6_0748
ko:K02946	zmb:ZZ6_0749
ko:K02358	zmb:ZZ6_0750
ko:K02355	zmb:ZZ6_0751
ko:K02992	zmb:ZZ6_0752
ko:K02950	zmb:ZZ6_0753
ko:K00382	zmb:ZZ6_0755
ko:K10806	zmb:ZZ6_0756
ko:K00627	zmb:ZZ6_0757
ko:K15034	zmb:ZZ6_0761
ko:K04042	zmb:ZZ6_0768
ko:K01091	zmb:ZZ6_0769
ko:K07278	zmb:ZZ6_0770
ko:K09800	zmb:ZZ6_0771
ko:K07552	zmb:ZZ6_0772
ko:K01595	zmb:ZZ6_1596
ko:K00930	zmb:ZZ6_1598
ko:K00979	zmb:ZZ6_1603
ko:K01627	zmb:ZZ6_1604
ko:K01129	zmb:ZZ6_1609
ko:K01903	zmb:ZZ6_1613
ko:K03521	zmb:ZZ6_1614
ko:K03522	zmb:ZZ6_1615
ko:K01057	zmb:ZZ6_1616
ko:K06207	zmb:ZZ6_1620
ko:K05795	zmb:ZZ6_1628
ko:K09799	zmb:ZZ6_1629
ko:K09973	zmb:ZZ6_1636
ko:K01878	zmb:ZZ6_1637
ko:K01879	zmb:ZZ6_1638
ko:K01869	zmb:ZZ6_1647
ko:K03643	zmb:ZZ6_1648
ko:K02340	zmb:ZZ6_1649
ko:K00720	zmb:ZZ6_0334
ko:K06901	zmb:ZZ6_0337
ko:K03446	zmb:ZZ6_0340
ko:K03543	zmb:ZZ6_0341
ko:K01443	zmb:ZZ6_0344
ko:K03814	zmb:ZZ6_0346
ko:K00413	zmb:ZZ6_0347
ko:K00412	zmb:ZZ6_0348
ko:K00411	zmb:ZZ6_0349
ko:K03216	zmb:ZZ6_0351
ko:K00228	zmb:ZZ6_0352
ko:K03544	zmb:ZZ6_0354
ko:K01358	zmb:ZZ6_0355
ko:K03545	zmb:ZZ6_0357
ko:K01193	zmb:ZZ6_0359
ko:K08679	zmb:ZZ6_0360
ko:K00832	zmb:ZZ6_0364
ko:K00684	zmb:ZZ6_0372
ko:K03704	zmb:ZZ6_0375
ko:K03070	zmb:ZZ6_0376
ko:K00620	zmb:ZZ6_0377
ko:K03781	zmb:ZZ6_0382
ko:K03631	zmb:ZZ6_1219
ko:K04077	zmb:ZZ6_1221
ko:K04078	zmb:ZZ6_1222
ko:K04773	zmb:ZZ6_1223
ko:K08303	zmb:ZZ6_1224
ko:K07265	zmb:ZZ6_1227
ko:K04066	zmb:ZZ6_1228
ko:K00833	zmb:ZZ6_1232
ko:K02170	zmb:ZZ6_1234
ko:K03733	zmb:ZZ6_1236
ko:K01920	zmb:ZZ6_1237
ko:K06942	zmb:ZZ6_1238
ko:K01056	zmb:ZZ6_1239
ko:K02897	zmb:ZZ6_1240
ko:K03555	zmb:ZZ6_1243
ko:K02520	zmb:ZZ6_1244
ko:K00057	zmb:ZZ6_1245
ko:K01749	zmb:ZZ6_1247
ko:K02911	zmb:ZZ6_1250
ko:K03621	zmb:ZZ6_1251
ko:K00648	zmb:ZZ6_1252
ko:K03210	zmb:ZZ6_1253
ko:K03072	zmb:ZZ6_1254
ko:K03074	zmb:ZZ6_1255
ko:K01733	zmb:ZZ6_1258
ko:K06969	zmb:ZZ6_1260
ko:K09765	zmb:ZZ6_1264
ko:K12972	zmb:ZZ6_1265
ko:K01698	zmb:ZZ6_1268
ko:K01873	zmb:ZZ6_1269
ko:K09991	zmb:ZZ6_1271
ko:K01915	zmb:ZZ6_0773
ko:K04751	zmb:ZZ6_0774
ko:K01354	zmb:ZZ6_0776
ko:K01644	zmb:ZZ6_0778
ko:K07507	zmb:ZZ6_0781
ko:K00003	zmb:ZZ6_0782
ko:K11752	zmb:ZZ6_0789
ko:K00793	zmb:ZZ6_0790
ko:K14652	zmb:ZZ6_0791
ko:K00794	zmb:ZZ6_0792
ko:K01657	zmb:ZZ6_0796
ko:K03770	zmb:ZZ6_0797
ko:K01803	zmb:ZZ6_0798
ko:K03075	zmb:ZZ6_0799
ko:K01937	zmb:ZZ6_0800
ko:K01881	zmb:ZZ6_0801
ko:K09808	zmb:ZZ6_0802
ko:K05800	zmb:ZZ6_0804
ko:K01938	zmb:ZZ6_0806
ko:K03977	zmb:ZZ6_0807
ko:K09795	zmb:ZZ6_0814
ko:K00942	zmb:ZZ6_0824
ko:K00788	zmb:ZZ6_1656
ko:K03695	zmb:ZZ6_1657
ko:K01589	zmb:ZZ6_1660
ko:K01588	zmb:ZZ6_1661
ko:K03179	zmb:ZZ6_1662
ko:K11927	zmb:ZZ6_1664
ko:K03789	zmb:ZZ6_1667
ko:K03594	zmb:ZZ6_1670
ko:K00133	zmb:ZZ6_1673
ko:K03088	zmb:ZZ6_1676
ko:K01142	zmb:ZZ6_1679
ko:K11720	zmb:ZZ6_1685
ko:K13584	zmb:ZZ6_1692
ko:K03685	zmb:ZZ6_1701
ko:K12251	zmb:ZZ6_1704
ko:K10536	zmb:ZZ6_1705
ko:K02986	zmb:ZZ6_1706
ko:K01810	zmb:ZZ6_0123
ko:K03549	zmb:ZZ6_0125
ko:K07738	zmb:ZZ6_0131
ko:K00600	zmb:ZZ6_0132
ko:K01808	zmb:ZZ6_0133
ko:K00643	zmb:ZZ6_0134
ko:K01776	zmb:ZZ6_0135
ko:K08591	zmb:ZZ6_0137
ko:K04096	zmb:ZZ6_0138
ko:K03168	zmb:ZZ6_0139
ko:K13038	zmb:ZZ6_0142
ko:K03688	zmb:ZZ6_0143
ko:K03183	zmb:ZZ6_0144
ko:K00311	zmb:ZZ6_0148
ko:K00919	zmb:ZZ6_0150
ko:K03215	zmb:ZZ6_0153
ko:K07278	zmb:ZZ6_0157
ko:K09800	zmb:ZZ6_0158
ko:K01484	zmb:ZZ6_0159
ko:K01207	zmb:ZZ6_0160
ko:K06978	zmb:ZZ6_0163
ko:K02039	zmb:ZZ6_0167
ko:K07636	zmb:ZZ6_0168
ko:K01613	zmb:ZZ6_0169
ko:K07736	zmb:ZZ6_0993
ko:K03327	zmb:ZZ6_0998
ko:K02888	zmb:ZZ6_1000
ko:K02899	zmb:ZZ6_1001
ko:K03979	zmb:ZZ6_1003
ko:K00931	zmb:ZZ6_1004
ko:K00766	zmb:ZZ6_1012
ko:K01356	zmb:ZZ6_1013
ko:K02836	zmb:ZZ6_1014
ko:K05366	zmb:ZZ6_1015
ko:K01448	zmb:ZZ6_1016
ko:K08300	zmb:ZZ6_1019
ko:K01752	zmb:ZZ6_1023
ko:K16088	zmb:ZZ6_1024
ko:K01626	zmb:ZZ6_1025
ko:K01883	zmb:ZZ6_1026
ko:K01251	zmb:ZZ6_1029
ko:K00927	zmb:ZZ6_1033
ko:K00134	zmb:ZZ6_1034
ko:K00615	zmb:ZZ6_1035
ko:K09888	zmb:ZZ6_1038
ko:K03147	zmb:ZZ6_1039
ko:K01126	zmb:ZZ6_1041
ko:K03640	zmb:ZZ6_1042
ko:K03641	zmb:ZZ6_1043
ko:K03562	zmb:ZZ6_1046
ko:K07107	zmb:ZZ6_1047
ko:K16264	zmb:ZZ6_0429
ko:K03827	zmb:ZZ6_0552
ko:K03046	zmb:ZZ6_0553
ko:K03043	zmb:ZZ6_0554
ko:K02935	zmb:ZZ6_0555
ko:K02864	zmb:ZZ6_0556
ko:K02863	zmb:ZZ6_0557
ko:K02867	zmb:ZZ6_0558
ko:K02601	zmb:ZZ6_0559
ko:K03073	zmb:ZZ6_0560
ko:K03664	zmb:ZZ6_0562
ko:K01714	zmb:ZZ6_0563
ko:K08309	zmb:ZZ6_0564
ko:K04760	zmb:ZZ6_0565
ko:K01876	zmb:ZZ6_0567
ko:K03684	zmb:ZZ6_0568
ko:K01524	zmb:ZZ6_0569
ko:K00937	zmb:ZZ6_0570
ko:K01933	zmb:ZZ6_0573
ko:K11175	zmb:ZZ6_0574
ko:K00215	zmb:ZZ6_0575
ko:K10773	zmb:ZZ6_0576
ko:K03565	zmb:ZZ6_0577
ko:K02469	zmb:ZZ6_0588
ko:K04094	zmb:ZZ6_0589
ko:K01652	zmb:ZZ6_0593
ko:K15342	zmb:ZZ6_0600
ko:K00052	zmb:ZZ6_0602
ko:K10764	zmb:ZZ6_0603
ko:K00831	zmb:ZZ6_1433
ko:K09758	zmb:ZZ6_1435
ko:K06966	zmb:ZZ6_1438
ko:K03575	zmb:ZZ6_1440
ko:K06134	zmb:ZZ6_1447
ko:K03797	zmb:ZZ6_1449
