ko:K02028	suo:SSU12_0456
ko:K02034	suo:SSU12_1801
ko:K09014	suo:SSU12_1807
ko:K11717	suo:SSU12_1810
ko:K09015	suo:SSU12_1811
ko:K09013	suo:SSU12_1812
ko:K06153	suo:SSU12_1815
ko:K01754	suo:SSU12_1820
ko:K00053	suo:SSU12_1821
ko:K01653	suo:SSU12_1822
ko:K01652	suo:SSU12_1823
ko:K01687	suo:SSU12_1828
ko:K02996	suo:SSU12_1833
ko:K02871	suo:SSU12_1834
ko:K06962	suo:SSU12_1836
ko:K03218	suo:SSU12_1837
ko:K07718	suo:SSU12_1845
ko:K02440	suo:SSU12_0250
ko:K06915	suo:SSU12_0251
ko:K02913	suo:SSU12_0260
ko:K02911	suo:SSU12_0261
ko:K01892	suo:SSU12_0262
ko:K04072	suo:SSU12_0265
ko:K01733	suo:SSU12_0266
ko:K07166	suo:SSU12_0279
ko:K09157	suo:SSU12_0280
ko:K03705	suo:SSU12_0282
ko:K03687	suo:SSU12_0283
ko:K04043	suo:SSU12_0284
ko:K03686	suo:SSU12_0285
ko:K07727	suo:SSU12_0290
ko:K01534	suo:SSU12_0292
ko:K06173	suo:SSU12_0294
ko:K00868	suo:SSU12_0295
ko:K01443	suo:SSU12_1160
ko:K01736	suo:SSU12_1163
ko:K03785	suo:SSU12_1164
ko:K06969	suo:SSU12_1165
ko:K02887	suo:SSU12_1168
ko:K02916	suo:SSU12_1169
ko:K02520	suo:SSU12_1170
ko:K00945	suo:SSU12_1171
ko:K00067	suo:SSU12_1194
ko:K01790	suo:SSU12_1197
ko:K00973	suo:SSU12_1198
ko:K07238	suo:SSU12_1199
ko:K06967	suo:SSU12_1201
ko:K00651	suo:SSU12_1203
ko:K00759	suo:SSU12_1204
ko:K01869	suo:SSU12_2012
ko:K07707	suo:SSU12_2022
ko:K07560	suo:SSU12_2025
ko:K07150	suo:SSU12_2029
ko:K09761	suo:SSU12_2030
ko:K02687	suo:SSU12_2031
ko:K07478	suo:SSU12_2035
ko:K03555	suo:SSU12_2045
ko:K03402	suo:SSU12_2046
ko:K01887	suo:SSU12_2047
ko:K00705	suo:SSU12_2051
ko:K02529	suo:SSU12_2056
ko:K01876	suo:SSU12_2060
ko:K05349	suo:SSU12_2064
ko:K02860	suo:SSU12_0762
ko:K00554	suo:SSU12_0763
ko:K00817	suo:SSU12_0764
ko:K02768	suo:SSU12_0767
ko:K02769	suo:SSU12_0767
ko:K02770	suo:SSU12_0767
ko:K00215	suo:SSU12_0770
ko:K15738	suo:SSU12_0772
ko:K03544	suo:SSU12_0780
ko:K03978	suo:SSU12_0781
ko:K00940	suo:SSU12_0782
ko:K03596	suo:SSU12_0784
ko:K01821	suo:SSU12_0785
ko:K02835	suo:SSU12_0790
ko:K02493	suo:SSU12_0791
ko:K07566	suo:SSU12_0792
ko:K00600	suo:SSU12_0794
ko:K01951	suo:SSU12_0816
ko:K03710	suo:SSU12_0817
ko:K03106	suo:SSU12_0819
ko:K03216	suo:SSU12_1643
ko:K08998	suo:SSU12_1645
ko:K06178	suo:SSU12_1646
ko:K06024	suo:SSU12_1647
ko:K05896	suo:SSU12_1648
ko:K07095	suo:SSU12_1651
ko:K01776	suo:SSU12_1653
ko:K01586	suo:SSU12_1655
ko:K06890	suo:SSU12_1657
ko:K06950	suo:SSU12_1658
ko:K03437	suo:SSU12_1660
ko:K01512	suo:SSU12_1661
ko:K03217	suo:SSU12_1662
ko:K03624	suo:SSU12_1663
ko:K07082	suo:SSU12_1664
ko:K01924	suo:SSU12_1666
ko:K03977	suo:SSU12_1671
ko:K07738	suo:SSU12_1675
ko:K07040	suo:SSU12_1679
ko:K00384	suo:SSU12_1680
ko:K01000	suo:SSU12_1684
ko:K03438	suo:SSU12_1687
ko:K03734	suo:SSU12_1696
ko:K02003	suo:SSU12_0474
ko:K04567	suo:SSU12_0478
ko:K03588	suo:SSU12_0486
ko:K01595	suo:SSU12_0487
ko:K03088	suo:SSU12_0488
ko:K02358	suo:SSU12_0490
ko:K01803	suo:SSU12_0491
ko:K06885	suo:SSU12_0493
ko:K02337	suo:SSU12_0501
ko:K00850	suo:SSU12_0502
ko:K00873	suo:SSU12_0503
ko:K03100	suo:SSU12_0507
ko:K00820	suo:SSU12_0508
ko:K02029	suo:SSU12_0509
ko:K00931	suo:SSU12_0515
ko:K00147	suo:SSU12_0516
ko:K00286	suo:SSU12_0517
ko:K09861	suo:SSU12_0521
ko:K01223	suo:SSU12_1375
ko:K01575	suo:SSU12_1379
ko:K01689	suo:SSU12_1387
ko:K00865	suo:SSU12_1391
ko:K01091	suo:SSU12_1392
ko:K01079	suo:SSU12_1394
ko:K02470	suo:SSU12_1396
ko:K03152	suo:SSU12_1397
ko:K05837	suo:SSU12_1398
ko:K02909	suo:SSU12_1417
ko:K03734	suo:SSU12_1418
ko:K02954	suo:SSU12_1421
ko:K02994	suo:SSU12_0085
ko:K02933	suo:SSU12_0087
ko:K02881	suo:SSU12_0088
ko:K02988	suo:SSU12_0089
ko:K02907	suo:SSU12_0090
ko:K02876	suo:SSU12_0091
ko:K03076	suo:SSU12_0092
ko:K02518	suo:SSU12_0094
ko:K02952	suo:SSU12_0095
ko:K02948	suo:SSU12_0096
ko:K03040	suo:SSU12_0097
ko:K02879	suo:SSU12_0098
ko:K09817	suo:SSU12_0112
ko:K09816	suo:SSU12_0113
ko:K01866	suo:SSU12_0119
ko:K03043	suo:SSU12_0121
ko:K03046	suo:SSU12_0122
ko:K02469	suo:SSU12_0990
ko:K02057	suo:SSU12_0994
ko:K02057	suo:SSU12_0995
ko:K07335	suo:SSU12_0998
ko:K00756	suo:SSU12_1001
ko:K02968	suo:SSU12_1004
ko:K02039	suo:SSU12_1012
ko:K02036	suo:SSU12_1013
ko:K02036	suo:SSU12_1014
ko:K02038	suo:SSU12_1015
ko:K02037	suo:SSU12_1016
ko:K02040	suo:SSU12_1017
ko:K11753	suo:SSU12_1023
ko:K07088	suo:SSU12_1040
ko:K11145	suo:SSU12_1858
ko:K01883	suo:SSU12_1859
ko:K00640	suo:SSU12_1862
ko:K00962	suo:SSU12_1863
ko:K07106	suo:SSU12_1869
ko:K02956	suo:SSU12_1871
ko:K01462	suo:SSU12_1880
ko:K01704	suo:SSU12_1882
ko:K01703	suo:SSU12_1883
ko:K00052	suo:SSU12_1884
ko:K01649	suo:SSU12_1885
ko:K07078	suo:SSU12_1888
ko:K03763	suo:SSU12_1890
ko:K05878	suo:SSU12_1893
ko:K05879	suo:SSU12_1894
ko:K02440	suo:SSU12_1896
ko:K01881	suo:SSU12_1897
ko:K11749	suo:SSU12_1898
ko:K00981	suo:SSU12_1899
ko:K00806	suo:SSU12_1900
ko:K03210	suo:SSU12_1901
ko:K01939	suo:SSU12_1902
ko:K01919	suo:SSU12_1903
ko:K04083	suo:SSU12_1907
ko:K03367	suo:SSU12_0595
ko:K03739	suo:SSU12_0596
ko:K14188	suo:SSU12_0597
ko:K03740	suo:SSU12_0598
ko:K00432	suo:SSU12_0602
ko:K02015	suo:SSU12_0603
ko:K02015	suo:SSU12_0604
ko:K02016	suo:SSU12_0605
ko:K02013	suo:SSU12_0606
ko:K00655	suo:SSU12_0608
ko:K02237	suo:SSU12_0609
ko:K00943	suo:SSU12_0616
ko:K02341	suo:SSU12_0617
ko:K07056	suo:SSU12_0619
ko:K00831	suo:SSU12_0620
ko:K01142	suo:SSU12_0626
ko:K01938	suo:SSU12_0645
ko:K04564	suo:SSU12_1486
ko:K02340	suo:SSU12_1487
ko:K09765	suo:SSU12_1489
ko:K01996	suo:SSU12_1490
ko:K01995	suo:SSU12_1491
ko:K01998	suo:SSU12_1492
ko:K01997	suo:SSU12_1493
ko:K01999	suo:SSU12_1494
ko:K01358	suo:SSU12_1496
ko:K00761	suo:SSU12_1497
ko:K00690	suo:SSU12_1499
ko:K10117	suo:SSU12_1502
ko:K07407	suo:SSU12_1503
ko:K14155	suo:SSU12_1505
ko:K07461	suo:SSU12_1512
ko:K01118	suo:SSU12_1514
ko:K05592	suo:SSU12_1518
ko:K00868	suo:SSU12_1525
ko:K04042	suo:SSU12_1529
ko:K03545	suo:SSU12_0312
ko:K01937	suo:SSU12_0317
ko:K01624	suo:SSU12_0318
ko:K02902	suo:SSU12_0319
ko:K03655	suo:SSU12_0321
ko:K14260	suo:SSU12_0326
ko:K03706	suo:SSU12_0327
ko:K02884	suo:SSU12_0329
ko:K02435	suo:SSU12_0331
ko:K02434	suo:SSU12_0333
ko:K01129	suo:SSU12_0334
ko:K02529	suo:SSU12_0335
ko:K00849	suo:SSU12_0336
ko:K00965	suo:SSU12_0337
ko:K07015	suo:SSU12_0341
ko:K07574	suo:SSU12_0343
ko:K00969	suo:SSU12_0344
ko:K09710	suo:SSU12_0348
ko:K01462	suo:SSU12_0357
ko:K00705	suo:SSU12_0359
ko:K00688	suo:SSU12_0360
ko:K07462	suo:SSU12_1207
ko:K06131	suo:SSU12_1208
ko:K07124	suo:SSU12_1210
ko:K03665	suo:SSU12_1213
ko:K00791	suo:SSU12_1214
ko:K03449	suo:SSU12_1216
ko:K00077	suo:SSU12_1221
ko:K00243	suo:SSU12_1222
ko:K02838	suo:SSU12_1223
ko:K09903	suo:SSU12_1224
ko:K02863	suo:SSU12_1228
ko:K02867	suo:SSU12_1229
ko:K03466	suo:SSU12_1232
ko:K01193	suo:SSU12_1233
ko:K02529	suo:SSU12_1237
ko:K02837	suo:SSU12_1243
ko:K01929	suo:SSU12_1246
ko:K01921	suo:SSU12_1248
ko:K06187	suo:SSU12_1249
ko:K00687	suo:SSU12_1250
ko:K02986	suo:SSU12_2072
ko:K02939	suo:SSU12_2076
ko:K03495	suo:SSU12_2078
ko:K00566	suo:SSU12_2084
ko:K01752	suo:SSU12_2085
ko:K01752	suo:SSU12_2086
ko:K00995	suo:SSU12_2091
ko:K03629	suo:SSU12_2096
ko:K01867	suo:SSU12_2098
ko:K00783	suo:SSU12_2105
ko:K02003	suo:SSU12_0832
ko:K13653	suo:SSU12_0842
ko:K04094	suo:SSU12_0843
ko:K14415	suo:SSU12_0853
ko:K03885	suo:SSU12_1699
ko:K01879	suo:SSU12_1707
ko:K01878	suo:SSU12_1708
ko:K02072	suo:SSU12_1711
ko:K02071	suo:SSU12_1712
ko:K02073	suo:SSU12_1714
ko:K07010	suo:SSU12_1715
ko:K00549	suo:SSU12_1716
ko:K00297	suo:SSU12_1717
ko:K06901	suo:SSU12_1718
ko:K01875	suo:SSU12_1724
ko:K03427	suo:SSU12_1725
ko:K01154	suo:SSU12_1726
ko:K01153	suo:SSU12_1727
ko:K01962	suo:SSU12_1734
ko:K01963	suo:SSU12_1735
ko:K01961	suo:SSU12_1736
ko:K02372	suo:SSU12_1737
ko:K02160	suo:SSU12_1738
ko:K09458	suo:SSU12_1739
ko:K00645	suo:SSU12_1741
ko:K02078	suo:SSU12_1743
ko:K00648	suo:SSU12_1744
ko:K00928	suo:SSU12_1748
ko:K00800	suo:SSU12_0558
ko:K00891	suo:SSU12_0559
ko:K03215	suo:SSU12_0562
ko:K01893	suo:SSU12_0571
ko:K06958	suo:SSU12_0576
ko:K00611	suo:SSU12_0582
ko:K00926	suo:SSU12_0583
ko:K03402	suo:SSU12_0587
ko:K07568	suo:SSU12_0588
ko:K01153	suo:SSU12_0648
ko:K03427	suo:SSU12_0649
ko:K01154	suo:SSU12_0650
ko:K03823	suo:SSU12_0654
ko:K04069	suo:SSU12_0658
ko:K02759	suo:SSU12_0661
ko:K02760	suo:SSU12_0662
ko:K02761	suo:SSU12_0663
ko:K00656	suo:SSU12_0664
ko:K00005	suo:SSU12_0667
ko:K00133	suo:SSU12_0668
ko:K01714	suo:SSU12_0669
ko:K00864	suo:SSU12_0674
ko:K02440	suo:SSU12_0676
ko:K15975	suo:SSU12_0677
ko:K06999	suo:SSU12_0679
ko:K03657	suo:SSU12_0683
ko:K00941	suo:SSU12_0685
ko:K00878	suo:SSU12_0686
ko:K00788	suo:SSU12_0687
ko:K00757	suo:SSU12_0689
ko:K03703	suo:SSU12_0701
ko:K03979	suo:SSU12_0703
ko:K02003	suo:SSU12_1539
ko:K05847	suo:SSU12_1546
ko:K13292	suo:SSU12_1550
ko:K01809	suo:SSU12_1552
ko:K06959	suo:SSU12_1559
ko:K07058	suo:SSU12_1563
ko:K01265	suo:SSU12_1564
ko:K00790	suo:SSU12_1566
ko:K00789	suo:SSU12_1568
ko:K03524	suo:SSU12_1572
ko:K02343	suo:SSU12_1574
ko:K00925	suo:SSU12_0134
ko:K11754	suo:SSU12_0137
ko:K06878	suo:SSU12_0142
ko:K04078	suo:SSU12_0146
ko:K04077	suo:SSU12_0147
ko:K02950	suo:SSU12_0148
ko:K02992	suo:SSU12_0149
ko:K02355	suo:SSU12_0150
ko:K00134	suo:SSU12_0153
ko:K00927	suo:SSU12_0154
ko:K01915	suo:SSU12_0157
ko:K03789	suo:SSU12_0162
ko:K07407	suo:SSU12_0168
ko:K07007	suo:SSU12_0179
ko:K00615	suo:SSU12_0185
ko:K00615	suo:SSU12_0186
ko:K01126	suo:SSU12_0187
ko:K09747	suo:SSU12_0188
ko:K02082	suo:SSU12_0189
ko:K08987	suo:SSU12_1045
ko:K00950	suo:SSU12_1051
ko:K01633	suo:SSU12_1052
ko:K00796	suo:SSU12_1053
ko:K01495	suo:SSU12_1054
ko:K01890	suo:SSU12_1060
ko:K01889	suo:SSU12_1062
ko:K01207	suo:SSU12_1063
ko:K01207	suo:SSU12_1064
ko:K01686	suo:SSU12_1067
ko:K01812	suo:SSU12_1068
ko:K01625	suo:SSU12_1069
ko:K01195	suo:SSU12_1071
ko:K00874	suo:SSU12_1072
ko:K00790	suo:SSU12_1076
ko:K02114	suo:SSU12_1078
ko:K02112	suo:SSU12_1079
ko:K02115	suo:SSU12_1080
ko:K02111	suo:SSU12_1081
ko:K02113	suo:SSU12_1082
ko:K02109	suo:SSU12_1083
ko:K02108	suo:SSU12_1084
ko:K02110	suo:SSU12_1085
ko:K01972	suo:SSU12_1087
ko:K07089	suo:SSU12_1089
ko:K00036	suo:SSU12_1091
ko:K03110	suo:SSU12_1094
ko:K03529	suo:SSU12_1097
ko:K03685	suo:SSU12_1098
ko:K03811	suo:SSU12_1910
ko:K03696	suo:SSU12_1912
ko:K02357	suo:SSU12_1916
ko:K02967	suo:SSU12_1917
ko:K02601	suo:SSU12_1920
ko:K03073	suo:SSU12_1921
ko:K02913	suo:SSU12_1922
ko:K06180	suo:SSU12_1925
ko:K09760	suo:SSU12_1929
ko:K01783	suo:SSU12_1931
ko:K06949	suo:SSU12_1932
ko:K02528	suo:SSU12_1942
ko:K05985	suo:SSU12_1950
ko:K03424	suo:SSU12_1951
ko:K02914	suo:SSU12_1952
ko:K03217	suo:SSU12_1954
ko:K03536	suo:SSU12_1955
ko:K01755	suo:SSU12_1956
ko:K01940	suo:SSU12_1957
ko:K00876	suo:SSU12_1578
ko:K07146	suo:SSU12_0370
ko:K03704	suo:SSU12_0375
ko:K03501	suo:SSU12_0376
ko:K05366	suo:SSU12_0377
ko:K07444	suo:SSU12_0382
ko:K07173	suo:SSU12_0384
ko:K00942	suo:SSU12_0386
ko:K03060	suo:SSU12_0387
ko:K04066	suo:SSU12_0388
ko:K00604	suo:SSU12_0389
ko:K03500	suo:SSU12_0390
ko:K01738	suo:SSU12_0399
ko:K05808	suo:SSU12_0403
ko:K03565	suo:SSU12_0407
ko:K03710	suo:SSU12_0410
ko:K12308	suo:SSU12_0412
ko:K01868	suo:SSU12_1261
ko:K02529	suo:SSU12_1267
ko:K00773	suo:SSU12_1269
ko:K06929	suo:SSU12_1271
ko:K02003	suo:SSU12_1276
ko:K11065	suo:SSU12_1278
ko:K03664	suo:SSU12_1283
ko:K12573	suo:SSU12_1284
ko:K03075	suo:SSU12_1285
ko:K02913	suo:SSU12_1286
ko:K00859	suo:SSU12_1288
ko:K07042	suo:SSU12_1292
ko:K04758	suo:SSU12_1301
ko:K04759	suo:SSU12_1302
ko:K09811	suo:SSU12_1303
ko:K09812	suo:SSU12_1304
ko:K02836	suo:SSU12_1305
ko:K02313	suo:SSU12_0001
ko:K02338	suo:SSU12_0002
ko:K06942	suo:SSU12_0006
ko:K01056	suo:SSU12_0007
ko:K03723	suo:SSU12_0008
ko:K04075	suo:SSU12_0013
ko:K00760	suo:SSU12_0014
ko:K03798	suo:SSU12_0015
ko:K03570	suo:SSU12_0019
ko:K03571	suo:SSU12_0020
ko:K00948	suo:SSU12_0022
ko:K03584	suo:SSU12_0024
ko:K02935	suo:SSU12_0912
ko:K02864	suo:SSU12_0913
ko:K03168	suo:SSU12_0914
ko:K04096	suo:SSU12_0915
ko:K11068	suo:SSU12_0921
ko:K03470	suo:SSU12_0923
ko:K14540	suo:SSU12_0924
ko:K06940	suo:SSU12_0925
ko:K06287	suo:SSU12_0926
ko:K01465	suo:SSU12_0928
ko:K03648	suo:SSU12_0929
ko:K00762	suo:SSU12_0931
ko:K01591	suo:SSU12_0933
ko:K01775	suo:SSU12_1752
ko:K00997	suo:SSU12_1753
ko:K03070	suo:SSU12_1754
ko:K00847	suo:SSU12_1756
ko:K01193	suo:SSU12_1758
ko:K03484	suo:SSU12_1759
ko:K03625	suo:SSU12_1760
ko:K02356	suo:SSU12_1762
ko:K03701	suo:SSU12_1764
ko:K03284	suo:SSU12_1765
ko:K02963	suo:SSU12_1768
ko:K02990	suo:SSU12_1770
ko:K03800	suo:SSU12_1772
ko:K00382	suo:SSU12_1775
ko:K00627	suo:SSU12_1776
ko:K00162	suo:SSU12_1777
ko:K00161	suo:SSU12_1778
ko:K02834	suo:SSU12_1782
ko:K02519	suo:SSU12_1783
ko:K07742	suo:SSU12_1785
ko:K02600	suo:SSU12_1786
ko:K09748	suo:SSU12_1787
ko:K03439	suo:SSU12_1788
ko:K02503	suo:SSU12_1792
ko:K06925	suo:SSU12_1796
ko:K00656	suo:SSU12_0194
ko:K02346	suo:SSU12_0195
ko:K07118	suo:SSU12_0197
ko:K02761	suo:SSU12_0202
ko:K03581	suo:SSU12_0213
ko:K03100	suo:SSU12_0214
ko:K07456	suo:SSU12_0223
ko:K03671	suo:SSU12_0225
ko:K12267	suo:SSU12_0227
ko:K02003	suo:SSU12_0231
ko:K03310	suo:SSU12_0233
ko:K00262	suo:SSU12_0236
ko:K07282	suo:SSU12_0238
ko:K01421	suo:SSU12_0244
ko:K00031	suo:SSU12_1106
ko:K01647	suo:SSU12_1107
ko:K01681	suo:SSU12_1108
ko:K03210	suo:SSU12_1119
ko:K02747	suo:SSU12_1120
ko:K02746	suo:SSU12_1121
ko:K01625	suo:SSU12_1125
ko:K00874	suo:SSU12_1126
ko:K01872	suo:SSU12_1139
ko:K08602	suo:SSU12_1145
ko:K01874	suo:SSU12_1147
ko:K01626	suo:SSU12_1150
ko:K01626	suo:SSU12_1151
ko:K00014	suo:SSU12_1152
ko:K01735	suo:SSU12_1153
ko:K01673	suo:SSU12_1969
ko:K04485	suo:SSU12_1970
ko:K00057	suo:SSU12_1976
ko:K00963	suo:SSU12_1977
ko:K05823	suo:SSU12_1980
ko:K01810	suo:SSU12_1985
ko:K00615	suo:SSU12_1988
ko:K02761	suo:SSU12_2004
ko:K02759	suo:SSU12_2006
ko:K02760	suo:SSU12_2007
ko:K08591	suo:SSU12_0708
ko:K02622	suo:SSU12_0709
ko:K04095	suo:SSU12_0711
ko:K04095	suo:SSU12_0712
ko:K02621	suo:SSU12_0715
ko:K00826	suo:SSU12_0717
ko:K02945	suo:SSU12_0719
ko:K01620	suo:SSU12_0720
ko:K04487	suo:SSU12_0723
ko:K03151	suo:SSU12_0724
ko:K03311	suo:SSU12_0725
ko:K02888	suo:SSU12_0726
ko:K02899	suo:SSU12_0727
ko:K03101	suo:SSU12_0730
ko:K06180	suo:SSU12_0731
ko:K06193	suo:SSU12_0732
ko:K02825	suo:SSU12_0734
ko:K00609	suo:SSU12_0735
ko:K01956	suo:SSU12_0736
ko:K01955	suo:SSU12_0737
ko:K01304	suo:SSU12_0739
ko:K02959	suo:SSU12_0741
ko:K06960	suo:SSU12_0742
ko:K00003	suo:SSU12_0746
ko:K00872	suo:SSU12_0747
ko:K00075	suo:SSU12_0748
ko:K10773	suo:SSU12_0758
ko:K00364	suo:SSU12_0759
ko:K03327	suo:SSU12_0760
ko:K03530	suo:SSU12_1594
ko:K03631	suo:SSU12_1598
ko:K03402	suo:SSU12_1599
ko:K06442	suo:SSU12_1600
ko:K13789	suo:SSU12_1601
ko:K03602	suo:SSU12_1602
ko:K03601	suo:SSU12_1603
ko:K04069	suo:SSU12_1615
ko:K02013	suo:SSU12_1617
ko:K00763	suo:SSU12_1620
ko:K06941	suo:SSU12_1623
ko:K00954	suo:SSU12_1626
ko:K07778	suo:SSU12_1632
ko:K04047	suo:SSU12_1635
ko:K01873	suo:SSU12_0422
ko:K01914	suo:SSU12_0429
ko:K06207	suo:SSU12_0430
ko:K03100	suo:SSU12_0433
ko:K01925	suo:SSU12_0439
ko:K02563	suo:SSU12_0440
ko:K03589	suo:SSU12_0441
ko:K03590	suo:SSU12_0442
ko:K03531	suo:SSU12_0443
ko:K06997	suo:SSU12_0444
ko:K09772	suo:SSU12_0445
ko:K02221	suo:SSU12_0446
ko:K04074	suo:SSU12_0448
ko:K01870	suo:SSU12_0450
ko:K01491	suo:SSU12_0457
ko:K03100	suo:SSU12_0459
ko:K08303	suo:SSU12_0467
ko:K03523	suo:SSU12_0470
ko:K03086	suo:SSU12_1321
ko:K03282	suo:SSU12_1323
ko:K02970	suo:SSU12_1325
ko:K00688	suo:SSU12_1332
ko:K01839	suo:SSU12_1336
ko:K01807	suo:SSU12_1337
ko:K01154	suo:SSU12_1338
ko:K01154	suo:SSU12_1339
ko:K03427	suo:SSU12_1340
ko:K01153	suo:SSU12_1341
ko:K03650	suo:SSU12_1342
ko:K03744	suo:SSU12_1346
ko:K07862	suo:SSU12_1351
ko:K03431	suo:SSU12_1357
ko:K01928	suo:SSU12_1360
ko:K00563	suo:SSU12_1362
ko:K06158	suo:SSU12_1365
ko:K10716	suo:SSU12_1022
ko:K14232	suo:SSU12_t010
ko:K10040	suo:SSU12_1259
ko:K12296	suo:SSU12_0016
ko:K00841	suo:SSU12_0023
ko:K01507	suo:SSU12_0932
ko:K02823	suo:SSU12_0935
ko:K02808	suo:SSU12_1757
ko:K02809	suo:SSU12_1757
ko:K02810	suo:SSU12_1757
ko:K01262	suo:SSU12_1763
ko:K07030	suo:SSU12_1797
ko:K01834	suo:SSU12_1587
ko:K11072	suo:SSU12_0749
ko:K11071	suo:SSU12_0750
ko:K11069	suo:SSU12_0752
ko:K01361	suo:SSU12_0755
ko:K00626	suo:SSU12_1588
ko:K01641	suo:SSU12_1589
ko:K00054	suo:SSU12_1590
ko:K07054	suo:SSU12_1604
ko:K15986	suo:SSU12_1613
ko:K02236	suo:SSU12_1619
ko:K01916	suo:SSU12_1621
ko:K07177	suo:SSU12_1625
ko:K01104	suo:SSU12_1637
ko:K01261	suo:SSU12_0138
ko:K07386	suo:SSU12_0152
ko:K03713	suo:SSU12_0156
ko:K01409	suo:SSU12_0163
ko:K02025	suo:SSU12_0166
ko:K02822	suo:SSU12_0183
ko:K03475	suo:SSU12_0184
ko:K01281	suo:SSU12_0191
ko:K15051	suo:SSU12_1074
ko:K03708	suo:SSU12_1913
ko:K12555	suo:SSU12_1923
ko:K09685	suo:SSU12_1926
ko:K03698	suo:SSU12_1928
ko:K00949	suo:SSU12_1930
ko:K03574	suo:SSU12_1946
ko:K06346	suo:SSU12_1953
ko:K07105	suo:SSU12_1959
ko:K16511	suo:SSU12_1814
ko:K07025	suo:SSU12_0694
ko:K04750	suo:SSU12_0698
ko:K07491	suo:SSU12_1537
ko:K02004	suo:SSU12_1538
ko:K05845	suo:SSU12_1545
ko:K05846	suo:SSU12_1545
ko:K06023	suo:SSU12_1551
ko:K03095	suo:SSU12_1558
ko:K01759	suo:SSU12_1584
ko:K02564	suo:SSU12_0590
ko:K07393	suo:SSU12_0600
ko:K06183	suo:SSU12_0601
ko:K05362	suo:SSU12_0607
ko:K02238	suo:SSU12_0610
ko:K04767	suo:SSU12_0612
ko:K00058	suo:SSU12_0622
ko:K00567	suo:SSU12_0623
ko:K03294	suo:SSU12_0628
ko:K07052	suo:SSU12_0632
ko:K07316	suo:SSU12_0637
ko:K01156	suo:SSU12_0638
ko:K01835	suo:SSU12_0641
ko:K01081	suo:SSU12_1485
ko:K01243	suo:SSU12_1526
ko:K01515	suo:SSU12_1528
ko:K00059	suo:SSU12_1532
ko:K00700	suo:SSU12_0940
ko:K03574	suo:SSU12_0943
ko:K01220	suo:SSU12_0956
ko:K02786	suo:SSU12_0958
ko:K01635	suo:SSU12_0960
ko:K00917	suo:SSU12_0961
ko:K01819	suo:SSU12_0963
ko:K01819	suo:SSU12_0964
ko:K02530	suo:SSU12_0966
ko:K06147	suo:SSU12_0975
ko:K00625	suo:SSU12_0977
ko:K07816	suo:SSU12_0980
ko:K02033	suo:SSU12_1802
ko:K02035	suo:SSU12_1805
ko:K07258	suo:SSU12_1806
ko:K04488	suo:SSU12_1809
ko:K07720	suo:SSU12_1844
ko:K01739	suo:SSU12_1506
ko:K03436	suo:SSU12_0765
ko:K00882	suo:SSU12_0766
ko:K00974	suo:SSU12_0771
ko:K00845	suo:SSU12_0774
ko:K09787	suo:SSU12_0818
ko:K02428	suo:SSU12_1652
ko:K09976	suo:SSU12_1654
ko:K01372	suo:SSU12_1656
ko:K11144	suo:SSU12_1673
ko:K03346	suo:SSU12_1674
ko:K00033	suo:SSU12_1678
