ko:K13060	ypu:BZ21_2539
ko:K02055	ypu:BZ21_1291
ko:K02053	ypu:BZ21_1292
ko:K02054	ypu:BZ21_1293
ko:K04477	ypu:BZ21_1298
ko:K08162	ypu:BZ21_1301
ko:K03790	ypu:BZ21_1302
ko:K00937	ypu:BZ21_2106
ko:K01524	ypu:BZ21_2107
ko:K06213	ypu:BZ21_2108
ko:K04046	ypu:BZ21_2109
ko:K02053	ypu:BZ21_2111
ko:K02054	ypu:BZ21_2112
ko:K02055	ypu:BZ21_2113
ko:K00823	ypu:BZ21_2114
ko:K00375	ypu:BZ21_2115
ko:K02052	ypu:BZ21_2116
ko:K07799	ypu:BZ21_2117
ko:K07788	ypu:BZ21_2118
ko:K07789	ypu:BZ21_2119
ko:K18326	ypu:BZ21_2120
ko:K07642	ypu:BZ21_2121
ko:K07664	ypu:BZ21_2122
ko:K09946	ypu:BZ21_2123
ko:K08303	ypu:BZ21_2124
ko:K00941	ypu:BZ21_2128
ko:K06887	ypu:BZ21_2135
ko:K01951	ypu:BZ21_2136
ko:K00088	ypu:BZ21_2137
ko:K03601	ypu:BZ21_2138
ko:K07088	ypu:BZ21_2140
ko:K03977	ypu:BZ21_2141
ko:K17713	ypu:BZ21_2142
ko:K01892	ypu:BZ21_2144
ko:K03526	ypu:BZ21_2145
ko:K15539	ypu:BZ21_2146
ko:K02656	ypu:BZ21_2147
ko:K06941	ypu:BZ21_2148
ko:K00940	ypu:BZ21_2149
ko:K07751	ypu:BZ21_2154
ko:K04755	ypu:BZ21_2156
ko:K04044	ypu:BZ21_2157
ko:K11905	ypu:BZ21_2958
ko:K11900	ypu:BZ21_2959
ko:K11901	ypu:BZ21_2960
ko:K11903	ypu:BZ21_2961
ko:K05775	ypu:BZ21_2963
ko:K02024	ypu:BZ21_2964
ko:K10111	ypu:BZ21_2965
ko:K10108	ypu:BZ21_2967
ko:K10109	ypu:BZ21_2968
ko:K10110	ypu:BZ21_2969
ko:K13256	ypu:BZ21_2970
ko:K01810	ypu:BZ21_2971
ko:K00928	ypu:BZ21_2972
ko:K11017	ypu:BZ21_2973
ko:K11016	ypu:BZ21_2974
ko:K00548	ypu:BZ21_2975
ko:K13641	ypu:BZ21_2976
ko:K00906	ypu:BZ21_2977
ko:K01637	ypu:BZ21_2978
ko:K01638	ypu:BZ21_2979
ko:K00651	ypu:BZ21_2980
ko:K00014	ypu:BZ21_2992
ko:K07566	ypu:BZ21_2993
ko:K07479	ypu:BZ21_2994
ko:K03747	ypu:BZ21_2995
ko:K04096	ypu:BZ21_2996
ko:K01462	ypu:BZ21_2997
ko:K00604	ypu:BZ21_2998
ko:K03500	ypu:BZ21_2999
ko:K03499	ypu:BZ21_3000
ko:K03282	ypu:BZ21_3001
ko:K09890	ypu:BZ21_3002
ko:K02879	ypu:BZ21_3004
ko:K03040	ypu:BZ21_3005
ko:K02986	ypu:BZ21_3006
ko:K02948	ypu:BZ21_3007
ko:K02952	ypu:BZ21_3008
ko:K02919	ypu:BZ21_3009
ko:K03076	ypu:BZ21_3010
ko:K02876	ypu:BZ21_3011
ko:K07269	ypu:BZ21_3817
ko:K03773	ypu:BZ21_3818
ko:K07322	ypu:BZ21_3819
ko:K01119	ypu:BZ21_3820
ko:K01082	ypu:BZ21_3821
ko:K07109	ypu:BZ21_3822
ko:K07304	ypu:BZ21_3825
ko:K07278	ypu:BZ21_3826
ko:K09800	ypu:BZ21_3827
ko:K01507	ypu:BZ21_3829
ko:K03841	ypu:BZ21_3830
ko:K02558	ypu:BZ21_3831
ko:K03402	ypu:BZ21_3833
ko:K00024	ypu:BZ21_3834
ko:K07724	ypu:BZ21_3835
ko:K02523	ypu:BZ21_3837
ko:K02888	ypu:BZ21_3838
ko:K02899	ypu:BZ21_3839
ko:K03979	ypu:BZ21_3841
ko:K07643	ypu:BZ21_3842
ko:K07771	ypu:BZ21_3843
ko:K07259	ypu:BZ21_3844
ko:K03624	ypu:BZ21_3845
ko:K07574	ypu:BZ21_3846
ko:K02427	ypu:BZ21_3847
ko:K03798	ypu:BZ21_3848
ko:K00796	ypu:BZ21_3849
ko:K03431	ypu:BZ21_3850
ko:K03075	ypu:BZ21_3851
ko:K09748	ypu:BZ21_3854
ko:K02600	ypu:BZ21_3855
ko:K02519	ypu:BZ21_3856
ko:K02834	ypu:BZ21_3857
ko:K03177	ypu:BZ21_3858
ko:K02956	ypu:BZ21_3859
ko:K00962	ypu:BZ21_3860
ko:K05803	ypu:BZ21_3861
ko:K05592	ypu:BZ21_3862
ko:K03585	ypu:BZ21_3867
ko:K18138	ypu:BZ21_3868
ko:K18139	ypu:BZ21_3869
ko:K01512	ypu:BZ21_798
ko:K11179	ypu:BZ21_799
ko:K02372	ypu:BZ21_808
ko:K00647	ypu:BZ21_809
ko:K00059	ypu:BZ21_810
ko:K01641	ypu:BZ21_811
ko:K02520	ypu:BZ21_1628
ko:K01868	ypu:BZ21_1629
ko:K05595	ypu:BZ21_1632
ko:K08308	ypu:BZ21_1633
ko:K11604	ypu:BZ21_1634
ko:K11607	ypu:BZ21_1635
ko:K11605	ypu:BZ21_1636
ko:K11606	ypu:BZ21_1637
ko:K01815	ypu:BZ21_1642
ko:K00065	ypu:BZ21_1643
ko:K01731	ypu:BZ21_1644
ko:K10193	ypu:BZ21_1645
ko:K10194	ypu:BZ21_1646
ko:K10195	ypu:BZ21_1647
ko:K10192	ypu:BZ21_1648
ko:K07038	ypu:BZ21_1650
ko:K06956	ypu:BZ21_1651
ko:K11066	ypu:BZ21_1652
ko:K01730	ypu:BZ21_1654
ko:K08169	ypu:BZ21_1655
ko:K07346	ypu:BZ21_1656
ko:K07345	ypu:BZ21_1657
ko:K07347	ypu:BZ21_1658
ko:K15540	ypu:BZ21_1659
ko:K07345	ypu:BZ21_1660
ko:K03799	ypu:BZ21_1661
ko:K03797	ypu:BZ21_1663
ko:K03607	ypu:BZ21_1664
ko:K03808	ypu:BZ21_1666
ko:K07346	ypu:BZ21_1671
ko:K07347	ypu:BZ21_1672
ko:K01775	ypu:BZ21_1681
ko:K00058	ypu:BZ21_2474
ko:K01807	ypu:BZ21_2475
ko:K05596	ypu:BZ21_2476
ko:K09807	ypu:BZ21_2477
ko:K06895	ypu:BZ21_2478
ko:K00645	ypu:BZ21_817
ko:K11901	ypu:BZ21_819
ko:K11900	ypu:BZ21_820
ko:K11893	ypu:BZ21_821
ko:K11892	ypu:BZ21_822
ko:K11903	ypu:BZ21_824
ko:K11907	ypu:BZ21_825
ko:K11904	ypu:BZ21_826
ko:K11891	ypu:BZ21_834
ko:K11910	ypu:BZ21_835
ko:K11896	ypu:BZ21_838
ko:K11895	ypu:BZ21_839
ko:K11906	ypu:BZ21_840
ko:K11905	ypu:BZ21_841
ko:K11911	ypu:BZ21_842
ko:K03750	ypu:BZ21_847
ko:K06871	ypu:BZ21_849
ko:K02003	ypu:BZ21_850
ko:K02005	ypu:BZ21_851
ko:K02004	ypu:BZ21_852
ko:K01070	ypu:BZ21_854
ko:K00121	ypu:BZ21_855
ko:K01495	ypu:BZ21_858
ko:K07148	ypu:BZ21_859
ko:K10540	ypu:BZ21_860
ko:K10542	ypu:BZ21_861
ko:K10541	ypu:BZ21_862
ko:K03748	ypu:BZ21_863
ko:K00027	ypu:BZ21_864
ko:K01489	ypu:BZ21_865
ko:K06518	ypu:BZ21_867
ko:K03414	ypu:BZ21_1686
ko:K03413	ypu:BZ21_1687
ko:K03412	ypu:BZ21_1688
ko:K00575	ypu:BZ21_1689
ko:K05877	ypu:BZ21_1690
ko:K03408	ypu:BZ21_1694
ko:K03407	ypu:BZ21_1695
ko:K02557	ypu:BZ21_1696
ko:K02556	ypu:BZ21_1697
ko:K02402	ypu:BZ21_1698
ko:K02403	ypu:BZ21_1699
ko:K01531	ypu:BZ21_1700
ko:K07507	ypu:BZ21_1701
ko:K05876	ypu:BZ21_1702
ko:K03704	ypu:BZ21_1704
ko:K01190	ypu:BZ21_1705
ko:K03719	ypu:BZ21_1709
ko:K01093	ypu:BZ21_1712
ko:K03776	ypu:BZ21_1716
ko:K00031	ypu:BZ21_1719
ko:K06181	ypu:BZ21_1720
ko:K12152	ypu:BZ21_1721
ko:K00566	ypu:BZ21_1722
ko:K07153	ypu:BZ21_1723
ko:K01756	ypu:BZ21_1724
ko:K07660	ypu:BZ21_1726
ko:K07637	ypu:BZ21_1727
ko:K18850	ypu:BZ21_1728
ko:K01258	ypu:BZ21_1729
ko:K12410	ypu:BZ21_1730
ko:K00884	ypu:BZ21_1731
ko:K09808	ypu:BZ21_1732
ko:K09810	ypu:BZ21_1733
ko:K09808	ypu:BZ21_1734
ko:K03723	ypu:BZ21_1735
ko:K11892	ypu:BZ21_2528
ko:K11893	ypu:BZ21_2529
ko:K11900	ypu:BZ21_2530
ko:K11901	ypu:BZ21_2531
ko:K07052	ypu:BZ21_2536
ko:K03894	ypu:BZ21_2543
ko:K03896	ypu:BZ21_2544
ko:K03895	ypu:BZ21_2545
ko:K03897	ypu:BZ21_2546
ko:K02014	ypu:BZ21_2547
ko:K02529	ypu:BZ21_2550
ko:K14445	ypu:BZ21_2551
ko:K11904	ypu:BZ21_2564
ko:K16321	ypu:BZ21_2567
ko:K06147	ypu:BZ21_2571
ko:K06147	ypu:BZ21_2572
ko:K02014	ypu:BZ21_2579
ko:K01258	ypu:BZ21_2580
ko:K12942	ypu:BZ21_2581
ko:K03517	ypu:BZ21_422
ko:K03811	ypu:BZ21_423
ko:K16264	ypu:BZ21_424
ko:K01626	ypu:BZ21_426
ko:K01834	ypu:BZ21_427
ko:K01785	ypu:BZ21_429
ko:K00849	ypu:BZ21_430
ko:K00965	ypu:BZ21_431
ko:K01784	ypu:BZ21_432
ko:K07052	ypu:BZ21_433
ko:K05776	ypu:BZ21_435
ko:K02019	ypu:BZ21_436
ko:K02020	ypu:BZ21_438
ko:K02018	ypu:BZ21_439
ko:K02017	ypu:BZ21_440
ko:K07404	ypu:BZ21_442
ko:K00833	ypu:BZ21_443
ko:K01012	ypu:BZ21_444
ko:K00652	ypu:BZ21_445
ko:K02169	ypu:BZ21_446
ko:K01935	ypu:BZ21_447
ko:K03702	ypu:BZ21_449
ko:K03639	ypu:BZ21_453
ko:K03637	ypu:BZ21_454
ko:K03636	ypu:BZ21_455
ko:K03635	ypu:BZ21_456
ko:K06890	ypu:BZ21_457
ko:K02167	ypu:BZ21_460
ko:K02168	ypu:BZ21_461
ko:K03815	ypu:BZ21_464
ko:K11537	ypu:BZ21_465
ko:K07803	ypu:BZ21_466
ko:K07709	ypu:BZ21_467
ko:K03980	ypu:BZ21_1305
ko:K11017	ypu:BZ21_1306
ko:K11016	ypu:BZ21_1307
ko:K01887	ypu:BZ21_1308
ko:K09907	ypu:BZ21_1309
ko:K06201	ypu:BZ21_1310
ko:K15257	ypu:BZ21_1311
ko:K15256	ypu:BZ21_1312
ko:K07136	ypu:BZ21_1313
ko:K01876	ypu:BZ21_1315
ko:K08310	ypu:BZ21_1316
ko:K01159	ypu:BZ21_1318
ko:K03550	ypu:BZ21_1319
ko:K03551	ypu:BZ21_1320
ko:K03442	ypu:BZ21_2479
ko:K01624	ypu:BZ21_2480
ko:K00927	ypu:BZ21_2481
ko:K03472	ypu:BZ21_2482
ko:K00615	ypu:BZ21_2483
ko:K07387	ypu:BZ21_2484
ko:K01585	ypu:BZ21_2486
ko:K00789	ypu:BZ21_2488
ko:K02742	ypu:BZ21_2489
ko:K01150	ypu:BZ21_2490
ko:K09761	ypu:BZ21_2491
ko:K01920	ypu:BZ21_2492
ko:K07735	ypu:BZ21_2493
ko:K07447	ypu:BZ21_2494
ko:K12251	ypu:BZ21_2495
ko:K10536	ypu:BZ21_2496
ko:K02669	ypu:BZ21_2497
ko:K06997	ypu:BZ21_2498
ko:K00286	ypu:BZ21_2499
ko:K02221	ypu:BZ21_2500
ko:K09131	ypu:BZ21_2501
ko:K02428	ypu:BZ21_2502
ko:K01425	ypu:BZ21_2506
ko:K09923	ypu:BZ21_2507
ko:K03439	ypu:BZ21_2508
ko:K03575	ypu:BZ21_2509
ko:K08306	ypu:BZ21_2511
ko:K02016	ypu:BZ21_2512
ko:K02014	ypu:BZ21_2513
ko:K10440	ypu:BZ21_2514
ko:K10441	ypu:BZ21_2515
ko:K10439	ypu:BZ21_2516
ko:K01581	ypu:BZ21_2517
ko:K11904	ypu:BZ21_2524
ko:K11907	ypu:BZ21_2525
ko:K11903	ypu:BZ21_2526
ko:K02112	ypu:BZ21_3330
ko:K02115	ypu:BZ21_3331
ko:K02111	ypu:BZ21_3332
ko:K02113	ypu:BZ21_3333
ko:K02109	ypu:BZ21_3334
ko:K02110	ypu:BZ21_3335
ko:K02108	ypu:BZ21_3336
ko:K02116	ypu:BZ21_3337
ko:K03501	ypu:BZ21_3338
ko:K03495	ypu:BZ21_3339
ko:K06205	ypu:BZ21_3340
ko:K03718	ypu:BZ21_3341
ko:K01914	ypu:BZ21_3342
ko:K03924	ypu:BZ21_3344
ko:K03549	ypu:BZ21_3345
ko:K06726	ypu:BZ21_3346
ko:K00852	ypu:BZ21_3347
ko:K03753	ypu:BZ21_3356
ko:K03752	ypu:BZ21_3357
ko:K09896	ypu:BZ21_3358
ko:K03673	ypu:BZ21_3360
ko:K03978	ypu:BZ21_3362
ko:K09894	ypu:BZ21_3363
ko:K07712	ypu:BZ21_3365
ko:K07708	ypu:BZ21_3366
ko:K01915	ypu:BZ21_3367
ko:K06207	ypu:BZ21_3368
ko:K07058	ypu:BZ21_3370
ko:K07560	ypu:BZ21_3371
ko:K16345	ypu:BZ21_3374
ko:K03312	ypu:BZ21_3375
ko:K03655	ypu:BZ21_3376
ko:K00556	ypu:BZ21_3377
ko:K03060	ypu:BZ21_3379
ko:K00942	ypu:BZ21_3380
ko:K01972	ypu:BZ21_3381
ko:K00989	ypu:BZ21_3384
ko:K00762	ypu:BZ21_3385
ko:K05501	ypu:BZ21_3386
ko:K13038	ypu:BZ21_3388
ko:K03630	ypu:BZ21_3389
ko:K02902	ypu:BZ21_3390
ko:K02913	ypu:BZ21_3391
ko:K10563	ypu:BZ21_3392
ko:K00954	ypu:BZ21_3393
ko:K12984	ypu:BZ21_3394
ko:K02527	ypu:BZ21_3395
ko:K02841	ypu:BZ21_3396
ko:K02843	ypu:BZ21_3397
ko:K03274	ypu:BZ21_3398
ko:K00639	ypu:BZ21_3399
ko:K00060	ypu:BZ21_3400
ko:K09798	ypu:BZ21_3401
ko:K15633	ypu:BZ21_3403
ko:K03071	ypu:BZ21_3406
ko:K00057	ypu:BZ21_3407
ko:K00640	ypu:BZ21_3408
ko:K03216	ypu:BZ21_3409
ko:K10778	ypu:BZ21_3410
ko:K07640	ypu:BZ21_3411
ko:K06006	ypu:BZ21_3413
ko:K13283	ypu:BZ21_3415
ko:K00850	ypu:BZ21_3416
ko:K02048	ypu:BZ21_3418
ko:K02020	ypu:BZ21_3419
ko:K03319	ypu:BZ21_3420
ko:K10218	ypu:BZ21_3421
ko:K16515	ypu:BZ21_3422
ko:K16516	ypu:BZ21_3423
ko:K01803	ypu:BZ21_3424
ko:K00528	ypu:BZ21_3427
ko:K02446	ypu:BZ21_3428
ko:K00864	ypu:BZ21_3429
ko:K02440	ypu:BZ21_3430
ko:K09892	ypu:BZ21_3431
ko:K13409	ypu:BZ21_3432
ko:K13408	ypu:BZ21_3433
ko:K02058	ypu:BZ21_870
ko:K01874	ypu:BZ21_872
ko:K03593	ypu:BZ21_873
ko:K00876	ypu:BZ21_874
ko:K01494	ypu:BZ21_875
ko:K07289	ypu:BZ21_876
ko:K13255	ypu:BZ21_878
ko:K13745	ypu:BZ21_879
ko:K03897	ypu:BZ21_880
ko:K02013	ypu:BZ21_883
ko:K02015	ypu:BZ21_884
ko:K02015	ypu:BZ21_885
ko:K02016	ypu:BZ21_886
ko:K16088	ypu:BZ21_887
ko:K00963	ypu:BZ21_889
ko:K00963	ypu:BZ21_890
ko:K00033	ypu:BZ21_891
ko:K11755	ypu:BZ21_892
ko:K02500	ypu:BZ21_893
ko:K01814	ypu:BZ21_894
ko:K02501	ypu:BZ21_895
ko:K01089	ypu:BZ21_896
ko:K00817	ypu:BZ21_897
ko:K00013	ypu:BZ21_898
ko:K00765	ypu:BZ21_899
ko:K02057	ypu:BZ21_903
ko:K02056	ypu:BZ21_904
ko:K08317	ypu:BZ21_905
ko:K01141	ypu:BZ21_908
ko:K09802	ypu:BZ21_910
ko:K18335	ypu:BZ21_914
ko:K18334	ypu:BZ21_916
ko:K00101	ypu:BZ21_918
ko:K01940	ypu:BZ21_919
ko:K03885	ypu:BZ21_1739
ko:K07000	ypu:BZ21_1740
ko:K01207	ypu:BZ21_1741
ko:K07251	ypu:BZ21_1742
ko:K07337	ypu:BZ21_1743
ko:K02503	ypu:BZ21_1745
ko:K00014	ypu:BZ21_1746
ko:K02778	ypu:BZ21_1757
ko:K02779	ypu:BZ21_1757
ko:K03424	ypu:BZ21_1758
ko:K02341	ypu:BZ21_1759
ko:K00943	ypu:BZ21_1760
ko:K07082	ypu:BZ21_1761
ko:K02619	ypu:BZ21_1762
ko:K09458	ypu:BZ21_1763
ko:K02078	ypu:BZ21_1764
ko:K00059	ypu:BZ21_1765
ko:K00645	ypu:BZ21_1766
ko:K00648	ypu:BZ21_1767
ko:K03621	ypu:BZ21_1768
ko:K02911	ypu:BZ21_1769
ko:K07040	ypu:BZ21_1770
ko:K06179	ypu:BZ21_1772
ko:K08300	ypu:BZ21_1774
ko:K01465	ypu:BZ21_1776
ko:K12149	ypu:BZ21_1777
ko:K12148	ypu:BZ21_1778
ko:K02846	ypu:BZ21_1779
ko:K11744	ypu:BZ21_1782
ko:K07146	ypu:BZ21_1783
ko:K02517	ypu:BZ21_1785
ko:K03305	ypu:BZ21_1786
ko:K03669	ypu:BZ21_1788
ko:K03670	ypu:BZ21_1789
ko:K11941	ypu:BZ21_1790
ko:K12678	ypu:BZ21_2584
ko:K07483	ypu:BZ21_2590
ko:K06077	ypu:BZ21_2593
ko:K02557	ypu:BZ21_2597
ko:K02556	ypu:BZ21_2598
ko:K02405	ypu:BZ21_2599
ko:K02415	ypu:BZ21_2600
ko:K02414	ypu:BZ21_2601
ko:K02422	ypu:BZ21_2603
ko:K02407	ypu:BZ21_2604
ko:K02406	ypu:BZ21_2605
ko:K02406	ypu:BZ21_2606
ko:K02397	ypu:BZ21_2610
ko:K02396	ypu:BZ21_2611
ko:K02395	ypu:BZ21_2612
ko:K02394	ypu:BZ21_2613
ko:K02393	ypu:BZ21_2614
ko:K02392	ypu:BZ21_2615
ko:K02391	ypu:BZ21_2616
ko:K02390	ypu:BZ21_2617
ko:K02389	ypu:BZ21_2618
ko:K02388	ypu:BZ21_2619
ko:K02387	ypu:BZ21_2620
ko:K02386	ypu:BZ21_2621
ko:K02398	ypu:BZ21_2622
ko:K02399	ypu:BZ21_2623
ko:K02412	ypu:BZ21_2625
ko:K02411	ypu:BZ21_2626
ko:K02410	ypu:BZ21_2627
ko:K02409	ypu:BZ21_2628
ko:K02408	ypu:BZ21_2629
ko:K02416	ypu:BZ21_2631
ko:K02417	ypu:BZ21_2632
ko:K02419	ypu:BZ21_2633
ko:K02420	ypu:BZ21_2634
ko:K02553	ypu:BZ21_3436
ko:K02548	ypu:BZ21_3437
ko:K03667	ypu:BZ21_3438
ko:K01419	ypu:BZ21_3439
ko:K03591	ypu:BZ21_3440
ko:K05499	ypu:BZ21_3441
ko:K04066	ypu:BZ21_3443
ko:K02909	ypu:BZ21_3444
ko:K03764	ypu:BZ21_3446
ko:K01739	ypu:BZ21_3447
ko:K12525	ypu:BZ21_3448
ko:K00297	ypu:BZ21_3449
ko:K01595	ypu:BZ21_3450
ko:K01438	ypu:BZ21_3451
ko:K00145	ypu:BZ21_3452
ko:K00930	ypu:BZ21_3453
ko:K01755	ypu:BZ21_3454
ko:K16152	ypu:BZ21_3455
ko:K12545	ypu:BZ21_3456
ko:K12536	ypu:BZ21_3457
ko:K12537	ypu:BZ21_3458
ko:K03832	ypu:BZ21_3459
ko:K00382	ypu:BZ21_3460
ko:K04761	ypu:BZ21_3463
ko:K00322	ypu:BZ21_3462
ko:K16092	ypu:BZ21_3468
ko:K01776	ypu:BZ21_3469
ko:K02058	ypu:BZ21_3476
ko:K02056	ypu:BZ21_3477
ko:K02057	ypu:BZ21_3478
ko:K02057	ypu:BZ21_3480
ko:K09897	ypu:BZ21_3481
ko:K07391	ypu:BZ21_3482
ko:K01652	ypu:BZ21_3483
ko:K11258	ypu:BZ21_3484
ko:K00826	ypu:BZ21_3485
ko:K01687	ypu:BZ21_3486
ko:K09816	ypu:BZ21_1321
ko:K09817	ypu:BZ21_1322
ko:K09815	ypu:BZ21_1323
ko:K02560	ypu:BZ21_1325
ko:K00873	ypu:BZ21_1326
ko:K00036	ypu:BZ21_1328
ko:K01625	ypu:BZ21_1330
ko:K11743	ypu:BZ21_1331
ko:K11742	ypu:BZ21_1332
ko:K14742	ypu:BZ21_1335
ko:K07285	ypu:BZ21_1336
ko:K01897	ypu:BZ21_1337
ko:K03684	ypu:BZ21_1338
ko:K03608	ypu:BZ21_1339
ko:K03609	ypu:BZ21_1340
ko:K03610	ypu:BZ21_1341
ko:K09902	ypu:BZ21_1342
ko:K08305	ypu:BZ21_1343
ko:K09160	ypu:BZ21_1345
ko:K04487	ypu:BZ21_1347
ko:K03611	ypu:BZ21_1350
ko:K03314	ypu:BZ21_1351
ko:K03603	ypu:BZ21_1352
ko:K00285	ypu:BZ21_1354
ko:K07552	ypu:BZ21_1355
ko:K06911	ypu:BZ21_1356
ko:K04082	ypu:BZ21_2158
ko:K13628	ypu:BZ21_2159
ko:K04488	ypu:BZ21_2160
ko:K04487	ypu:BZ21_2161
ko:K13643	ypu:BZ21_2162
ko:K15396	ypu:BZ21_2163
ko:K01092	ypu:BZ21_2164
ko:K05820	ypu:BZ21_2167
ko:K00600	ypu:BZ21_2170
ko:K05916	ypu:BZ21_2171
ko:K04751	ypu:BZ21_2173
ko:K01950	ypu:BZ21_2174
ko:K07715	ypu:BZ21_2175
ko:K07711	ypu:BZ21_2177
ko:K01952	ypu:BZ21_2180
ko:K18691	ypu:BZ21_2181
ko:K11991	ypu:BZ21_2182
ko:K18697	ypu:BZ21_2183
ko:K07106	ypu:BZ21_2184
ko:K00997	ypu:BZ21_2187
ko:K03474	ypu:BZ21_2188
ko:K03584	ypu:BZ21_2189
ko:K03685	ypu:BZ21_2191
ko:K03100	ypu:BZ21_2192
ko:K03596	ypu:BZ21_2193
ko:K03803	ypu:BZ21_2195
ko:K03598	ypu:BZ21_2196
ko:K03597	ypu:BZ21_2197
ko:K03088	ypu:BZ21_2198
ko:K00278	ypu:BZ21_2199
ko:K15460	ypu:BZ21_2200
ko:K05590	ypu:BZ21_2201
ko:K03648	ypu:BZ21_2207
ko:K01304	ypu:BZ21_2208
ko:K02907	ypu:BZ21_3012
ko:K02988	ypu:BZ21_3013
ko:K02881	ypu:BZ21_3014
ko:K02933	ypu:BZ21_3015
ko:K02994	ypu:BZ21_3016
ko:K02954	ypu:BZ21_3017
ko:K02931	ypu:BZ21_3018
ko:K02895	ypu:BZ21_3019
ko:K02874	ypu:BZ21_3020
ko:K02961	ypu:BZ21_3021
ko:K02904	ypu:BZ21_3022
ko:K02878	ypu:BZ21_3023
ko:K02982	ypu:BZ21_3024
ko:K02890	ypu:BZ21_3025
ko:K02965	ypu:BZ21_3026
ko:K02886	ypu:BZ21_3027
ko:K02892	ypu:BZ21_3028
ko:K02926	ypu:BZ21_3029
ko:K02906	ypu:BZ21_3030
ko:K02946	ypu:BZ21_3031
ko:K03594	ypu:BZ21_3032
ko:K02192	ypu:BZ21_3033
ko:K02358	ypu:BZ21_3034
ko:K02355	ypu:BZ21_3035
ko:K02992	ypu:BZ21_3036
ko:K02950	ypu:BZ21_3037
ko:K07237	ypu:BZ21_3038
ko:K07236	ypu:BZ21_3039
ko:K07235	ypu:BZ21_3040
ko:K03772	ypu:BZ21_3042
ko:K03743	ypu:BZ21_25
ko:K03565	ypu:BZ21_27
ko:K01872	ypu:BZ21_28
ko:K03563	ypu:BZ21_29
ko:K01919	ypu:BZ21_36
ko:K07173	ypu:BZ21_37
