ko:K07062	xcj:J158_04449
ko:K02493	xcj:J158_01031
ko:K01259	xcj:J158_01032
ko:K01515	xcj:J158_01034
ko:K00324	xcj:J158_01041
ko:K03088	xcj:J158_01045
ko:K00324	xcj:J158_01046
ko:K00325	xcj:J158_01047
ko:K00826	xcj:J158_01050
ko:K14645	xcj:J158_01051
ko:K14645	xcj:J158_01052
ko:K14645	xcj:J158_01053
ko:K03976	xcj:J158_01054
ko:K01424	xcj:J158_01055
ko:K03809	xcj:J158_01059
ko:K07058	xcj:J158_01060
ko:K07497	xcj:J158_01176
ko:K07483	xcj:J158_01177
ko:K07483	xcj:J158_01200
ko:K07497	xcj:J158_01201
ko:K03545	xcj:J158_01207
ko:K01358	xcj:J158_01208
ko:K03544	xcj:J158_01209
ko:K01338	xcj:J158_01210
ko:K03530	xcj:J158_01211
ko:K03770	xcj:J158_01215
ko:K08307	xcj:J158_01217
ko:K01069	xcj:J158_01218
ko:K03469	xcj:J158_01220
ko:K02342	xcj:J158_01221
ko:K12982	xcj:J158_01225
ko:K11211	xcj:J158_01226
ko:K03639	xcj:J158_01228
ko:K03637	xcj:J158_01229
ko:K03636	xcj:J158_01230
ko:K03635	xcj:J158_01231
ko:K02298	xcj:J158_01398
ko:K02299	xcj:J158_01399
ko:K02300	xcj:J158_01400
ko:K04485	xcj:J158_01402
ko:K04079	xcj:J158_01406
ko:K17763	xcj:J158_01408
ko:K17762	xcj:J158_01409
ko:K17752	xcj:J158_01410
ko:K01198	xcj:J158_01414
ko:K01209	xcj:J158_01414
ko:K02014	xcj:J158_01415
ko:K03672	xcj:J158_01416
ko:K03412	xcj:J158_01419
ko:K01209	xcj:J158_01424
ko:K01785	xcj:J158_01425
ko:K03106	xcj:J158_01427
ko:K00459	xcj:J158_01428
ko:K02959	xcj:J158_01430
ko:K02860	xcj:J158_01431
ko:K00554	xcj:J158_01432
ko:K02884	xcj:J158_01433
ko:K00799	xcj:J158_01437
ko:K04762	xcj:J158_01438
ko:K03782	xcj:J158_01439
ko:K03555	xcj:J158_01441
ko:K01206	xcj:J158_01446
ko:K01190	xcj:J158_01448
ko:K01224	xcj:J158_01449
ko:K03711	xcj:J158_01664
ko:K03631	xcj:J158_01665
ko:K03705	xcj:J158_01666
ko:K03687	xcj:J158_01667
ko:K04043	xcj:J158_01668
ko:K03686	xcj:J158_01669
ko:K00868	xcj:J158_01671
ko:K04517	xcj:J158_01672
ko:K04761	xcj:J158_01677
ko:K06147	xcj:J158_01678
ko:K06966	xcj:J158_01680
ko:K00382	xcj:J158_01681
ko:K00658	xcj:J158_01682
ko:K00164	xcj:J158_01683
ko:K18850	xcj:J158_01685
ko:K01756	xcj:J158_01687
ko:K01679	xcj:J158_01690
ko:K01992	xcj:J158_01694
ko:K01990	xcj:J158_01695
ko:K07979	xcj:J158_01696
ko:K00432	xcj:J158_01698
ko:K03772	xcj:J158_01699
ko:K00012	xcj:J158_01700
ko:K03745	xcj:J158_01701
ko:K02529	xcj:J158_01704
ko:K02429	xcj:J158_01705
ko:K00847	xcj:J158_01706
ko:K00548	xcj:J158_01708
ko:K00548	xcj:J158_01709
ko:K12573	xcj:J158_01714
ko:K03218	xcj:J158_01716
ko:K03683	xcj:J158_01718
ko:K01921	xcj:J158_00903
ko:K10804	xcj:J158_00957
ko:K00901	xcj:J158_00961
ko:K03744	xcj:J158_00962
ko:K06872	xcj:J158_00963
ko:K13292	xcj:J158_00965
ko:K15555	xcj:J158_00971
ko:K15554	xcj:J158_00972
ko:K15553	xcj:J158_00973
ko:K04091	xcj:J158_00974
ko:K00299	xcj:J158_00975
ko:K02014	xcj:J158_00976
ko:K02035	xcj:J158_00980
ko:K02033	xcj:J158_00981
ko:K02034	xcj:J158_00982
ko:K02031	xcj:J158_00984
ko:K02032	xcj:J158_00984
ko:K01525	xcj:J158_00985
ko:K06195	xcj:J158_00986
ko:K02528	xcj:J158_00987
ko:K00097	xcj:J158_00988
ko:K03771	xcj:J158_00989
ko:K04744	xcj:J158_00990
ko:K00798	xcj:J158_00994
ko:K03185	xcj:J158_00996
ko:K03184	xcj:J158_00997
ko:K11475	xcj:J158_01001
ko:K04101	xcj:J158_01002
ko:K04100	xcj:J158_01003
ko:K02623	xcj:J158_01004
ko:K00666	xcj:J158_01005
ko:K01512	xcj:J158_01062
ko:K03638	xcj:J158_01065
ko:K02835	xcj:J158_01067
ko:K02492	xcj:J158_01068
ko:K02494	xcj:J158_01070
ko:K00919	xcj:J158_01071
ko:K00948	xcj:J158_01073
ko:K02897	xcj:J158_01074
ko:K01056	xcj:J158_01075
ko:K06942	xcj:J158_01076
ko:K02358	xcj:J158_01080
ko:K03073	xcj:J158_01082
ko:K02601	xcj:J158_01083
ko:K02867	xcj:J158_01084
ko:K02863	xcj:J158_01085
ko:K02864	xcj:J158_01086
ko:K02935	xcj:J158_01087
ko:K03043	xcj:J158_01089
ko:K03046	xcj:J158_01090
ko:K02950	xcj:J158_01091
ko:K02992	xcj:J158_01092
ko:K02355	xcj:J158_01093
ko:K02358	xcj:J158_01094
ko:K02946	xcj:J158_01095
ko:K02906	xcj:J158_01096
ko:K02926	xcj:J158_01097
ko:K02892	xcj:J158_01098
ko:K02886	xcj:J158_01099
ko:K02965	xcj:J158_01100
ko:K02890	xcj:J158_01101
ko:K02982	xcj:J158_01102
ko:K02878	xcj:J158_01103
ko:K02904	xcj:J158_01104
ko:K02961	xcj:J158_01105
ko:K02874	xcj:J158_01106
ko:K02895	xcj:J158_01107
ko:K02931	xcj:J158_01108
ko:K02954	xcj:J158_01109
ko:K02994	xcj:J158_01110
ko:K02933	xcj:J158_01111
ko:K02881	xcj:J158_01112
ko:K02988	xcj:J158_01113
ko:K02907	xcj:J158_01114
ko:K02876	xcj:J158_01115
ko:K03076	xcj:J158_01116
ko:K02952	xcj:J158_01117
ko:K02948	xcj:J158_01118
ko:K07483	xcj:J158_01234
ko:K07497	xcj:J158_01235
ko:K02343	xcj:J158_01241
ko:K09747	xcj:J158_01242
ko:K06187	xcj:J158_01243
ko:K07285	xcj:J158_01245
ko:K03924	xcj:J158_01248
ko:K06287	xcj:J158_01252
ko:K07040	xcj:J158_01253
ko:K02911	xcj:J158_01254
ko:K00648	xcj:J158_01255
ko:K00645	xcj:J158_01257
ko:K00059	xcj:J158_01258
ko:K02078	xcj:J158_01259
ko:K09458	xcj:J158_01260
ko:K01657	xcj:J158_01261
ko:K07082	xcj:J158_01262
ko:K02341	xcj:J158_01263
ko:K02676	xcj:J158_01264
ko:K02688	xcj:J158_01267
ko:K03417	xcj:J158_01268
ko:K01659	xcj:J158_01269
ko:K07746	xcj:J158_01271
ko:K02014	xcj:J158_01274
ko:K06894	xcj:J158_01276
ko:K01126	xcj:J158_01278
ko:K05367	xcj:J158_01279
ko:K03594	xcj:J158_01280
ko:K13993	xcj:J158_01282
ko:K05516	xcj:J158_01283
ko:K02658	xcj:J158_01285
ko:K04088	xcj:J158_01287
ko:K00140	xcj:J158_01452
ko:K00020	xcj:J158_01456
ko:K16264	xcj:J158_01457
ko:K01782	xcj:J158_01458
ko:K03088	xcj:J158_01459
ko:K04771	xcj:J158_01461
ko:K03596	xcj:J158_01462
ko:K03100	xcj:J158_01463
ko:K03685	xcj:J158_01465
ko:K03584	xcj:J158_01467
ko:K03215	xcj:J158_01469
ko:K06955	xcj:J158_01472
ko:K06876	xcj:J158_01473
ko:K01207	xcj:J158_01474
ko:K00760	xcj:J158_01475
ko:K03704	xcj:J158_01477
ko:K06953	xcj:J158_01479
ko:K03724	xcj:J158_01480
ko:K07577	xcj:J158_01483
ko:K00626	xcj:J158_01489
ko:K00263	xcj:J158_01491
ko:K07043	xcj:J158_01493
ko:K04046	xcj:J158_01499
ko:K03775	xcj:J158_01500
ko:K06193	xcj:J158_01502
ko:K02039	xcj:J158_01720
ko:K02036	xcj:J158_01721
ko:K02038	xcj:J158_01722
ko:K02037	xcj:J158_01723
ko:K02040	xcj:J158_01724
ko:K02040	xcj:J158_01725
ko:K07221	xcj:J158_01726
ko:K01673	xcj:J158_01728
ko:K10773	xcj:J158_01730
ko:K01715	xcj:J158_01732
ko:K01011	xcj:J158_01735
ko:K09164	xcj:J158_01736
ko:K03824	xcj:J158_01740
ko:K12297	xcj:J158_01742
ko:K00858	xcj:J158_01743
ko:K01081	xcj:J158_01744
ko:K01141	xcj:J158_01747
ko:K00486	xcj:J158_01748
ko:K01556	xcj:J158_01749
ko:K00452	xcj:J158_01751
ko:K01673	xcj:J158_01752
ko:K07734	xcj:J158_01764
ko:K01893	xcj:J158_01768
ko:K13628	xcj:J158_01769
ko:K02990	xcj:J158_01770
ko:K02963	xcj:J158_01771
ko:K02939	xcj:J158_01772
ko:K03529	xcj:J158_01773
ko:K03528	xcj:J158_01774
ko:K02313	xcj:J158_00111
ko:K02338	xcj:J158_00112
ko:K03629	xcj:J158_00113
ko:K02470	xcj:J158_00115
ko:K07052	xcj:J158_00116
ko:K03832	xcj:J158_00119
ko:K03561	xcj:J158_00120
ko:K03559	xcj:J158_00121
ko:K03559	xcj:J158_00122
ko:K03474	xcj:J158_00123
ko:K06131	xcj:J158_00125
ko:K06076	xcj:J158_00130
ko:K00058	xcj:J158_00133
ko:K03797	xcj:J158_00134
ko:K02986	xcj:J158_01119
ko:K03040	xcj:J158_01120
ko:K02879	xcj:J158_01121
ko:K03611	xcj:J158_01122
ko:K01626	xcj:J158_01124
ko:K01426	xcj:J158_01126
ko:K06207	xcj:J158_01128
ko:K03768	xcj:J158_01129
ko:K00024	xcj:J158_01130
ko:K00799	xcj:J158_01131
ko:K00219	xcj:J158_01133
ko:K03286	xcj:J158_01135
ko:K06178	xcj:J158_01137
ko:K00639	xcj:J158_01139
ko:K02048	xcj:J158_01140
ko:K02046	xcj:J158_01141
ko:K02047	xcj:J158_01142
ko:K02045	xcj:J158_01143
ko:K00060	xcj:J158_01145
ko:K01114	xcj:J158_01147
ko:K11754	xcj:J158_01151
ko:K03558	xcj:J158_01153
ko:K00764	xcj:J158_01154
ko:K03269	xcj:J158_01159
ko:K19302	xcj:J158_01161
ko:K01524	xcj:J158_01163
ko:K00937	xcj:J158_01164
ko:K07636	xcj:J158_01165
ko:K07657	xcj:J158_01166
ko:K00030	xcj:J158_01170
ko:K04087	xcj:J158_01288
ko:K01939	xcj:J158_01290
ko:K01256	xcj:J158_01291
ko:K19336	xcj:J158_01293
ko:K19335	xcj:J158_01294
ko:K01201	xcj:J158_01309
ko:K00384	xcj:J158_01316
ko:K03701	xcj:J158_01320
ko:K11177	xcj:J158_01321
ko:K11178	xcj:J158_01322
ko:K13483	xcj:J158_01323
ko:K09003	xcj:J158_01324
ko:K07341	xcj:J158_01328
ko:K01356	xcj:J158_01330
ko:K14161	xcj:J158_01332
ko:K14162	xcj:J158_01333
ko:K10680	xcj:J158_01503
ko:K01975	xcj:J158_01507
ko:K14205	xcj:J158_01511
ko:K00574	xcj:J158_01515
ko:K00574	xcj:J158_01518
ko:K09701	xcj:J158_01519
ko:K03088	xcj:J158_01523
ko:K03616	xcj:J158_01526
ko:K01874	xcj:J158_01528
ko:K08234	xcj:J158_01532
ko:K16235	xcj:J158_01533
ko:K00547	xcj:J158_01534
ko:K09125	xcj:J158_01536
ko:K10947	xcj:J158_01540
ko:K05973	xcj:J158_01542
ko:K08973	xcj:J158_01544
ko:K01962	xcj:J158_01547
ko:K02337	xcj:J158_01548
ko:K03470	xcj:J158_01549
ko:K00748	xcj:J158_01550
ko:K00677	xcj:J158_01551
ko:K02372	xcj:J158_01552
ko:K02536	xcj:J158_01553
ko:K00817	xcj:J158_01776
ko:K01972	xcj:J158_01777
ko:K04568	xcj:J158_01778
ko:K08963	xcj:J158_01780
ko:K02469	xcj:J158_01781
ko:K00117	xcj:J158_01782
ko:K01712	xcj:J158_01784
ko:K01479	xcj:J158_01785
ko:K01745	xcj:J158_01786
ko:K01468	xcj:J158_01787
ko:K05836	xcj:J158_01789
ko:K17247	xcj:J158_01795
ko:K00831	xcj:J158_01797
ko:K14170	xcj:J158_01798
ko:K00800	xcj:J158_01799
ko:K03832	xcj:J158_01800
ko:K01875	xcj:J158_01802
ko:K01118	xcj:J158_01803
ko:K08482	xcj:J158_01812
ko:K02200	xcj:J158_01815
ko:K02199	xcj:J158_01816
ko:K02198	xcj:J158_01817
ko:K02197	xcj:J158_01818
ko:K02196	xcj:J158_01819
ko:K02195	xcj:J158_01820
ko:K03088	xcj:J158_01823
ko:K08738	xcj:J158_01826
ko:K12262	xcj:J158_01828
ko:K13979	xcj:J158_00142
ko:K00266	xcj:J158_00143
ko:K00265	xcj:J158_00144
ko:K01434	xcj:J158_00148
ko:K12994	xcj:J158_00151
ko:K12995	xcj:J158_00152
ko:K03606	xcj:J158_00153
ko:K01791	xcj:J158_00154
ko:K05946	xcj:J158_00156
ko:K01953	xcj:J158_00161
ko:K01953	xcj:J158_00169
ko:K07502	xcj:J158_00190
ko:K06877	xcj:J158_00191
ko:K11068	xcj:J158_00192
ko:K03781	xcj:J158_01347
ko:K03929	xcj:J158_01349
ko:K00281	xcj:J158_01350
ko:K07552	xcj:J158_01353
ko:K01283	xcj:J158_01355
ko:K03760	xcj:J158_01356
ko:K03608	xcj:J158_01362
ko:K03609	xcj:J158_01363
ko:K03610	xcj:J158_01364
ko:K01247	xcj:J158_01370
ko:K07260	xcj:J158_01371
ko:K08289	xcj:J158_01375
ko:K10805	xcj:J158_01382
ko:K07107	xcj:J158_01385
ko:K03701	xcj:J158_01386
ko:K02888	xcj:J158_01387
ko:K02899	xcj:J158_01388
ko:K03979	xcj:J158_01389
ko:K02968	xcj:J158_01390
ko:K03980	xcj:J158_01391
ko:K11753	xcj:J158_01392
ko:K01870	xcj:J158_01393
ko:K03101	xcj:J158_01394
ko:K03527	xcj:J158_01395
ko:K02297	xcj:J158_01397
ko:K07277	xcj:J158_01555
ko:K11749	xcj:J158_01556
ko:K00099	xcj:J158_01557
ko:K00981	xcj:J158_01558
ko:K00806	xcj:J158_01559
ko:K02838	xcj:J158_01560
ko:K09903	xcj:J158_01561
ko:K02357	xcj:J158_01563
ko:K02967	xcj:J158_01564
ko:K07346	xcj:J158_01565
ko:K07347	xcj:J158_01568
ko:K07346	xcj:J158_01569
ko:K01265	xcj:J158_01571
ko:K00990	xcj:J158_01572
ko:K00674	xcj:J158_01573
ko:K01439	xcj:J158_01575
ko:K01953	xcj:J158_01576
ko:K02014	xcj:J158_01578
ko:K01434	xcj:J158_01580
ko:K03594	xcj:J158_01581
ko:K00569	xcj:J158_01582
ko:K02621	xcj:J158_01584
ko:K03543	xcj:J158_01588
ko:K03446	xcj:J158_01589
ko:K05349	xcj:J158_01591
ko:K03305	xcj:J158_01593
ko:K06975	xcj:J158_01596
ko:K15974	xcj:J158_01598
ko:K01284	xcj:J158_01599
ko:K00432	xcj:J158_01600
ko:K00528	xcj:J158_01601
ko:K06147	xcj:J158_01602
ko:K01676	xcj:J158_01603
ko:K00799	xcj:J158_01604
ko:K01673	xcj:J158_01605
ko:K01058	xcj:J158_01606
ko:K09793	xcj:J158_01607
ko:K02169	xcj:J158_01840
ko:K08369	xcj:J158_01847
ko:K03699	xcj:J158_01851
ko:K07220	xcj:J158_01852
ko:K03306	xcj:J158_01853
ko:K02622	xcj:J158_01856
ko:K01937	xcj:J158_01858
ko:K01627	xcj:J158_01859
ko:K01689	xcj:J158_01861
ko:K05589	xcj:J158_01862
ko:K00991	xcj:J158_01863
ko:K01770	xcj:J158_01864
ko:K06176	xcj:J158_01865
ko:K03787	xcj:J158_01867
ko:K00573	xcj:J158_01868
ko:K06194	xcj:J158_01870
ko:K07574	xcj:J158_01873
ko:K02427	xcj:J158_01874
ko:K03798	xcj:J158_01875
ko:K00796	xcj:J158_01876
ko:K00791	xcj:J158_01877
ko:K03666	xcj:J158_01878
ko:K03665	xcj:J158_01879
ko:K03743	xcj:J158_01880
ko:K03688	xcj:J158_01881
ko:K01356	xcj:J158_01882
ko:K03565	xcj:J158_01884
ko:K00059	xcj:J158_00196
ko:K00355	xcj:J158_00201
ko:K07483	xcj:J158_00203
ko:K07497	xcj:J158_00204
ko:K03671	xcj:J158_00221
ko:K03762	xcj:J158_00222
ko:K03924	xcj:J158_00230
ko:K03568	xcj:J158_00233
ko:K03568	xcj:J158_00234
ko:K03841	xcj:J158_00236
ko:K00832	xcj:J158_00237
ko:K02014	xcj:J158_00238
ko:K00138	xcj:J158_00241
ko:K09959	xcj:J158_00242
ko:K10979	xcj:J158_00245
ko:K00101	xcj:J158_00246
ko:K03704	xcj:J158_01608
ko:K06077	xcj:J158_01609
ko:K03424	xcj:J158_01612
ko:K00252	xcj:J158_01615
ko:K00799	xcj:J158_01617
ko:K01953	xcj:J158_01618
ko:K01669	xcj:J158_01621
ko:K07497	xcj:J158_01650
ko:K07497	xcj:J158_01651
ko:K03664	xcj:J158_01660
ko:K09801	xcj:J158_01662
ko:K06186	xcj:J158_01663
ko:K01872	xcj:J158_01885
ko:K03563	xcj:J158_01886
ko:K03406	xcj:J158_01888
ko:K06911	xcj:J158_01889
ko:K00941	xcj:J158_01895
ko:K07175	xcj:J158_01898
ko:K03564	xcj:J158_01899
ko:K03567	xcj:J158_01901
ko:K01714	xcj:J158_01902
ko:K05524	xcj:J158_01904
ko:K00883	xcj:J158_01905
ko:K01684	xcj:J158_01907
ko:K01631	xcj:J158_01908
ko:K05970	xcj:J158_01914
ko:K01811	xcj:J158_01916
ko:K15923	xcj:J158_01917
ko:K00854	xcj:J158_01918
ko:K01805	xcj:J158_01919
ko:K01448	xcj:J158_01923
ko:K09007	xcj:J158_01924
ko:K00970	xcj:J158_01928
ko:K00950	xcj:J158_01929
ko:K00606	xcj:J158_01930
ko:K01918	xcj:J158_01931
ko:K01579	xcj:J158_01932
ko:K01810	xcj:J158_01933
ko:K07093	xcj:J158_01936
ko:K05349	xcj:J158_01937
ko:K03307	xcj:J158_01938
ko:K01218	xcj:J158_01940
ko:K00209	xcj:J158_00254
ko:K00874	xcj:J158_00256
ko:K07483	xcj:J158_00267
ko:K07497	xcj:J158_00268
ko:K16147	xcj:J158_00269
ko:K05343	xcj:J158_00270
ko:K00700	xcj:J158_00271
ko:K07095	xcj:J158_00272
ko:K00064	xcj:J158_00273
ko:K03929	xcj:J158_00274
ko:K02554	xcj:J158_00276
ko:K02529	xcj:J158_00281
ko:K01815	xcj:J158_00282
ko:K00065	xcj:J158_00283
ko:K01808	xcj:J158_00284
ko:K00500	xcj:J158_00288
ko:K03719	xcj:J158_00289
ko:K16088	xcj:J158_00290
ko:K07001	xcj:J158_00291
ko:K02013	xcj:J158_00293
ko:K05847	xcj:J158_00296
ko:K05845	xcj:J158_00297
ko:K05846	xcj:J158_00297
ko:K07154	xcj:J158_00301
ko:K04090	xcj:J158_00303
ko:K07088	xcj:J158_00305
ko:K03496	xcj:J158_00306
ko:K00655	xcj:J158_00311
ko:K07019	xcj:J158_00312
ko:K06910	xcj:J158_00315
ko:K06153	xcj:J158_00318
ko:K01915	xcj:J158_00319
ko:K04751	xcj:J158_00320
ko:K03320	xcj:J158_00321
ko:K07708	xcj:J158_00322
ko:K07712	xcj:J158_00323
ko:K04565	xcj:J158_00324
ko:K04565	xcj:J158_00325
ko:K00626	xcj:J158_00328
ko:K02498	xcj:J158_00329
ko:K02496	xcj:J158_00330
ko:K01719	xcj:J158_00331
ko:K07270	xcj:J158_00332
ko:K03071	xcj:J158_00336
ko:K00057	xcj:J158_00337
ko:K00156	xcj:J158_00339
ko:K03216	xcj:J158_00345
ko:K06940	xcj:J158_00351
ko:K03690	xcj:J158_00357
ko:K03688	xcj:J158_00358
ko:K06175	xcj:J158_00360
ko:K09924	xcj:J158_00361
ko:K15034	xcj:J158_00362
ko:K13051	xcj:J158_00364
ko:K01284	xcj:J158_00365
ko:K06996	xcj:J158_00368
ko:K01638	xcj:J158_00372
ko:K01637	xcj:J158_00373
ko:K01968	xcj:J158_00379
ko:K01969	xcj:J158_00380
ko:K00253	xcj:J158_00381
ko:K07004	xcj:J158_00390
ko:K07018	xcj:J158_00395
ko:K06916	xcj:J158_00396
ko:K06181	xcj:J158_00406
ko:K03579	xcj:J158_00409
ko:K07127	xcj:J158_00411
ko:K13485	xcj:J158_00413
ko:K00839	xcj:J158_00416
ko:K02083	xcj:J158_00417
ko:K00681	xcj:J158_00421
ko:K02433	xcj:J158_00422
ko:K01488	xcj:J158_00424
ko:K06901	xcj:J158_00425
ko:K03424	xcj:J158_00429
ko:K08224	xcj:J158_00433
ko:K01433	xcj:J158_00440
ko:K07664	xcj:J158_00441
ko:K07642	xcj:J158_00442
ko:K00297	xcj:J158_00447
ko:K09765	xcj:J158_00448
ko:K03576	xcj:J158_00449
ko:K00299	xcj:J158_00450
ko:K00549	xcj:J158_00452
ko:K02526	xcj:J158_00453
ko:K19267	xcj:J158_00455
ko:K07497	xcj:J158_00460
ko:K07483	xcj:J158_00461
ko:K01687	xcj:J158_00463
ko:K06940	xcj:J158_00465
ko:K00141	xcj:J158_00472
ko:K18954	xcj:J158_00473
ko:K00481	xcj:J158_00474
ko:K00864	xcj:J158_00477
ko:K02440	xcj:J158_00478
ko:K00111	xcj:J158_00479
ko:K02444	xcj:J158_00480
ko:K01039	xcj:J158_00483
ko:K01040	xcj:J158_00484
ko:K07823	xcj:J158_00485
ko:K00449	xcj:J158_00486
ko:K00448	xcj:J158_00487
ko:K01857	xcj:J158_00488
ko:K01055	xcj:J158_00489
ko:K01607	xcj:J158_00490
ko:K02624	xcj:J158_00492
ko:K07178	xcj:J158_00493
ko:K01066	xcj:J158_00494
ko:K03495	xcj:J158_00496
ko:K01754	xcj:J158_00498
ko:K02169	xcj:J158_00502
ko:K00059	xcj:J158_00503
ko:K02170	xcj:J158_00504
ko:K00652	xcj:J158_00506
ko:K01012	xcj:J158_00507
ko:K03179	xcj:J158_00509
ko:K18376	xcj:J158_00513
ko:K03220	xcj:J158_00519
ko:K03227	xcj:J158_00521
ko:K03226	xcj:J158_00522
ko:K03225	xcj:J158_00523
ko:K18381	xcj:J158_00524
ko:K03230	xcj:J158_00525
ko:K03229	xcj:J158_00526
ko:K18373	xcj:J158_00527
ko:K18374	xcj:J158_00528
ko:K03222	xcj:J158_00529
ko:K03223	xcj:J158_00531
ko:K03224	xcj:J158_00532
ko:K03228	xcj:J158_00534
ko:K03219	xcj:J158_00535
ko:K01002	xcj:J158_00541
ko:K09781	xcj:J158_00543
ko:K00703	xcj:J158_00545
ko:K00700	xcj:J158_00546
ko:K01236	xcj:J158_00547
ko:K00705	xcj:J158_00548
ko:K06044	xcj:J158_00549
ko:K00059	xcj:J158_00553
ko:K00627	xcj:J158_00564
ko:K00162	xcj:J158_00566
ko:K00161	xcj:J158_00567
ko:K07004	xcj:J158_00568
ko:K00453	xcj:J158_00569
ko:K03305	xcj:J158_00570
ko:K00457	xcj:J158_00573
ko:K00451	xcj:J158_00574
ko:K05564	xcj:J158_00577
ko:K05563	xcj:J158_00578
ko:K05562	xcj:J158_00579
ko:K05561	xcj:J158_00580
ko:K05560	xcj:J158_00581
ko:K05559	xcj:J158_00582
ko:K01923	xcj:J158_00590
ko:K01783	xcj:J158_00593
ko:K01657	xcj:J158_00596
ko:K01620	xcj:J158_00597
ko:K01658	xcj:J158_00598
ko:K00766	xcj:J158_00600
ko:K01609	xcj:J158_00601
ko:K18697	xcj:J158_00602
ko:K10914	xcj:J158_00603
ko:K01611	xcj:J158_00604
ko:K11741	xcj:J158_00605
ko:K06134	xcj:J158_00606
ko:K02871	xcj:J158_00607
ko:K02996	xcj:J158_00608
ko:K08311	xcj:J158_00611
ko:K03594	xcj:J158_00612
ko:K15724	xcj:J158_00618
ko:K03426	xcj:J158_00621
ko:K03807	xcj:J158_00622
ko:K01945	xcj:J158_00629
ko:K00602	xcj:J158_00631
ko:K00995	xcj:J158_00632
ko:K00981	xcj:J158_00639
ko:K03557	xcj:J158_00640
ko:K02687	xcj:J158_00645
ko:K01961	xcj:J158_00648
ko:K02160	xcj:J158_00650
ko:K03786	xcj:J158_00651
ko:K04084	xcj:J158_00652
ko:K03926	xcj:J158_00653
ko:K04078	xcj:J158_00660
