ko:K12132	btht:H175_ch3922
ko:K01034	btht:H175_ch2246
ko:K01438	btht:H175_ch2248
ko:K06714	btht:H175_ch2250
ko:K06304	btht:H175_ch2275
ko:K05366	btht:H175_ch2281
ko:K01647	btht:H175_ch2284
ko:K02003	btht:H175_ch3097
ko:K03100	btht:H175_ch3102
ko:K01304	btht:H175_ch3105
ko:K07160	btht:H175_ch3108
ko:K06350	btht:H175_ch3109
ko:K03100	btht:H175_ch3114
ko:K09932	btht:H175_ch3138
ko:K15973	btht:H175_ch3141
ko:K06941	btht:H175_ch3924
ko:K03500	btht:H175_ch3925
ko:K00604	btht:H175_ch3926
ko:K01462	btht:H175_ch3927
ko:K04066	btht:H175_ch3928
ko:K13038	btht:H175_ch3929
ko:K03060	btht:H175_ch3930
ko:K00942	btht:H175_ch3931
ko:K09777	btht:H175_ch3932
ko:K00762	btht:H175_ch3945
ko:K01591	btht:H175_ch3946
ko:K01955	btht:H175_ch3949
ko:K01956	btht:H175_ch3950
ko:K01465	btht:H175_ch3951
ko:K00609	btht:H175_ch3952
ko:K02825	btht:H175_ch3954
ko:K06180	btht:H175_ch3955
ko:K03101	btht:H175_ch3956
ko:K01870	btht:H175_ch3958
ko:K04074	btht:H175_ch3959
ko:K02221	btht:H175_ch3961
ko:K09772	btht:H175_ch3962
ko:K06997	btht:H175_ch3963
ko:K05810	btht:H175_ch3964
ko:K03091	btht:H175_ch3966
ko:K03091	btht:H175_ch3967
ko:K06383	btht:H175_ch3968
ko:K03531	btht:H175_ch3969
ko:K03590	btht:H175_ch3970
ko:K00925	btht:H175_ch4734
ko:K11065	btht:H175_ch4736
ko:K00858	btht:H175_ch4739
ko:K01895	btht:H175_ch4742
ko:K03151	btht:H175_ch4744
ko:K04487	btht:H175_ch4745
ko:K01761	btht:H175_ch4751
ko:K02986	btht:H175_ch4752
ko:K01866	btht:H175_ch4755
ko:K03088	btht:H175_ch4757
ko:K01895	btht:H175_ch4760
ko:K04766	btht:H175_ch4761
ko:K04768	btht:H175_ch4763
ko:K03282	btht:H175_ch4770
ko:K02529	btht:H175_ch4774
ko:K00651	btht:H175_ch5536
ko:K01740	btht:H175_ch5537
ko:K01118	btht:H175_ch5542
ko:K00868	btht:H175_ch5545
ko:K06200	btht:H175_ch5548
ko:K08369	btht:H175_ch5550
ko:K05946	btht:H175_ch5552
ko:K12267	btht:H175_ch5571
ko:K05339	btht:H175_ch5573
ko:K05338	btht:H175_ch5574
ko:K07704	btht:H175_ch5576
ko:K00491	btht:H175_ch5579
ko:K04564	btht:H175_ch5580
ko:K11068	btht:H175_ch5585
ko:K16786	btht:H175_ch2670
ko:K16787	btht:H175_ch2670
ko:K18345	btht:H175_ch2756
ko:K11991	btht:H175_ch0017
ko:K07979	btht:H175_ch4149
ko:K16963	btht:H175_ch3533
ko:K14234	btht:H175_trna34
ko:K14234	btht:H175_trna72
ko:K14234	btht:H175_trna57
ko:K02303	btht:H175_ch1372
ko:K00951	btht:H175_ch4492
ko:K16898	btht:H175_ch1089
ko:K07729	btht:H175_ch0379
ko:K06902	btht:H175_ch0380
ko:K01104	btht:H175_ch0394
ko:K08978	btht:H175_ch0404
ko:K07729	btht:H175_ch1208
ko:K13280	btht:H175_ch1223
ko:K09607	btht:H175_ch1229
ko:K11072	btht:H175_ch1231
ko:K11071	btht:H175_ch1232
ko:K11069	btht:H175_ch1234
ko:K06994	btht:H175_ch1236
ko:K06976	btht:H175_ch2074
ko:K01759	btht:H175_ch2085
ko:K00374	btht:H175_ch2100
ko:K03635	btht:H175_ch2105
ko:K09680	btht:H175_ch2942
ko:K01771	btht:H175_ch3764
ko:K00059	btht:H175_ch3788
ko:K02056	btht:H175_ch3793
ko:K02428	btht:H175_ch4584
ko:K02116	btht:H175_ch5441
ko:K03700	btht:H175_233p160
ko:K16786	btht:H175_ch3284
ko:K16787	btht:H175_ch3284
ko:K16785	btht:H175_ch3285
ko:K15555	btht:H175_ch2961
ko:K01985	btht:H175_rrna21
ko:K01985	btht:H175_rrna24
ko:K01985	btht:H175_rrna18
ko:K01985	btht:H175_rrna12
ko:K01985	btht:H175_rrna09
ko:K01985	btht:H175_rrna03
ko:K01985	btht:H175_rrna27
ko:K01985	btht:H175_rrna30
ko:K01985	btht:H175_rrna06
ko:K01985	btht:H175_rrna33
ko:K01985	btht:H175_rrna15
ko:K01985	btht:H175_rrna37
ko:K01985	btht:H175_rrna36
ko:K01784	btht:H175_ch0431
ko:K07586	btht:H175_ch0451
ko:K11085	btht:H175_ch0452
ko:K09825	btht:H175_ch0462
ko:K02236	btht:H175_ch1251
ko:K06421	btht:H175_ch1256
ko:K02010	btht:H175_ch1268
ko:K03647	btht:H175_ch1298
ko:K01259	btht:H175_ch2168
ko:K06994	btht:H175_ch2986
ko:K04517	btht:H175_ch2991
ko:K07729	btht:H175_ch3853
ko:K00241	btht:H175_ch4610
ko:K03471	btht:H175_ch4649
ko:K07052	btht:H175_ch4657
ko:K02446	btht:H175_ch5462
ko:K03048	btht:H175_ch5468
ko:K00626	btht:H175_ch5473
ko:K01480	btht:H175_ch5500
ko:K06962	btht:H175_ch0089
ko:K03091	btht:H175_ch0090
ko:K03073	btht:H175_ch0091
ko:K02601	btht:H175_ch0092
ko:K02867	btht:H175_ch0093
ko:K02863	btht:H175_ch0094
ko:K02864	btht:H175_ch0095
ko:K02935	btht:H175_ch0096
ko:K03043	btht:H175_ch0098
ko:K03046	btht:H175_ch0099
ko:K07590	btht:H175_ch0100
ko:K02950	btht:H175_ch0101
ko:K02992	btht:H175_ch0102
ko:K02355	btht:H175_ch0103
ko:K02358	btht:H175_ch0104
ko:K02946	btht:H175_ch0106
ko:K02906	btht:H175_ch0107
ko:K02926	btht:H175_ch0108
ko:K02892	btht:H175_ch0109
ko:K02886	btht:H175_ch0110
ko:K02965	btht:H175_ch0111
ko:K02890	btht:H175_ch0112
ko:K02982	btht:H175_ch0113
ko:K02878	btht:H175_ch0114
ko:K02904	btht:H175_ch0115
ko:K02961	btht:H175_ch0116
ko:K02874	btht:H175_ch0117
ko:K02895	btht:H175_ch0118
ko:K02931	btht:H175_ch0119
ko:K02954	btht:H175_ch0120
ko:K02994	btht:H175_ch0121
ko:K02933	btht:H175_ch0122
ko:K02881	btht:H175_ch0123
ko:K02988	btht:H175_ch0124
ko:K02907	btht:H175_ch0125
ko:K02876	btht:H175_ch0126
ko:K03076	btht:H175_ch0127
ko:K01265	btht:H175_ch0129
ko:K02518	btht:H175_ch0130
ko:K01923	btht:H175_ch0268
ko:K01952	btht:H175_ch0269
ko:K01952	btht:H175_ch0270
ko:K01952	btht:H175_ch0271
ko:K00764	btht:H175_ch0272
ko:K01933	btht:H175_ch0273
ko:K11175	btht:H175_ch0274
ko:K00602	btht:H175_ch0275
ko:K01945	btht:H175_ch0276
ko:K03657	btht:H175_ch0283
ko:K01972	btht:H175_ch0284
ko:K07090	btht:H175_ch0286
ko:K02071	btht:H175_ch0289
ko:K02072	btht:H175_ch0290
ko:K02073	btht:H175_ch0291
ko:K02435	btht:H175_ch0296
ko:K02434	btht:H175_ch0298
ko:K01091	btht:H175_ch0300
ko:K03215	btht:H175_ch0311
ko:K07043	btht:H175_ch0314
ko:K01953	btht:H175_ch1103
ko:K01772	btht:H175_ch1104
ko:K03781	btht:H175_ch1105
ko:K03320	btht:H175_ch1106
ko:K09767	btht:H175_ch1109
ko:K00243	btht:H175_ch1110
ko:K03695	btht:H175_ch1118
ko:K02254	btht:H175_ch1122
ko:K00648	btht:H175_ch1124
ko:K09458	btht:H175_ch1125
ko:K01867	btht:H175_ch1128
ko:K15581	btht:H175_ch1131
ko:K16511	btht:H175_ch1140
ko:K06131	btht:H175_ch1141
ko:K08602	btht:H175_ch1143
ko:K06886	btht:H175_ch1146
ko:K15652	btht:H175_ch1965
ko:K08221	btht:H175_ch1967
ko:K06895	btht:H175_ch1968
ko:K07001	btht:H175_ch1971
ko:K11636	btht:H175_ch1978
ko:K13275	btht:H175_ch1980
ko:K06949	btht:H175_ch1987
ko:K04047	btht:H175_ch1992
ko:K15580	btht:H175_ch2009
ko:K11210	btht:H175_ch2010
ko:K02002	btht:H175_ch2830
ko:K01358	btht:H175_ch2831
ko:K03088	btht:H175_ch2832
ko:K01807	btht:H175_ch2834
ko:K03823	btht:H175_ch2847
ko:K03657	btht:H175_ch2854
ko:K03654	btht:H175_ch2860
ko:K01448	btht:H175_ch2864
ko:K03310	btht:H175_ch2873
ko:K01714	btht:H175_ch2875
ko:K07090	btht:H175_ch3678
ko:K00615	btht:H175_ch3687
ko:K02042	btht:H175_ch3689
ko:K02042	btht:H175_ch3690
ko:K02041	btht:H175_ch3691
ko:K02044	btht:H175_ch3692
ko:K01356	btht:H175_ch3696
ko:K01915	btht:H175_ch3700
ko:K03665	btht:H175_ch3703
ko:K06413	btht:H175_ch3706
ko:K03666	btht:H175_ch3711
ko:K00791	btht:H175_ch3712
ko:K01872	btht:H175_ch4474
ko:K03581	btht:H175_ch4480
ko:K00566	btht:H175_ch4482
ko:K04487	btht:H175_ch4483
ko:K07478	btht:H175_ch4485
ko:K01876	btht:H175_ch4488
ko:K01892	btht:H175_ch4489
ko:K07560	btht:H175_ch4491
ko:K00759	btht:H175_ch4493
ko:K07462	btht:H175_ch4494
ko:K12257	btht:H175_ch4496
ko:K06409	btht:H175_ch4498
ko:K03210	btht:H175_ch4501
ko:K00773	btht:H175_ch4502
ko:K07568	btht:H175_ch4503
ko:K03551	btht:H175_ch4505
ko:K03550	btht:H175_ch4506
ko:K02016	btht:H175_ch4507
ko:K06318	btht:H175_ch4508
ko:K06370	btht:H175_ch4511
ko:K03517	btht:H175_ch4512
ko:K00767	btht:H175_ch4513
ko:K00278	btht:H175_ch4514
ko:K04487	btht:H175_ch4515
ko:K02003	btht:H175_ch4521
ko:K03979	btht:H175_ch4524
ko:K03797	btht:H175_ch5294
ko:K09811	btht:H175_ch5295
ko:K09812	btht:H175_ch5296
ko:K02836	btht:H175_ch5299
ko:K03070	btht:H175_ch5301
ko:K05808	btht:H175_ch5302
ko:K03704	btht:H175_ch5304
ko:K00012	btht:H175_ch5314
ko:K07240	btht:H175_ch5319
ko:K02759	btht:H175_ch5322
ko:K02761	btht:H175_ch5323
ko:K02760	btht:H175_ch5324
ko:K00797	btht:H175_ch5325
ko:K01611	btht:H175_ch5326
ko:K02759	btht:H175_ch5327
ko:K02761	btht:H175_ch5328
ko:K02760	btht:H175_ch5329
ko:K01421	btht:H175_ch5334
ko:K16789	btht:H175_ch4920
ko:K02004	btht:H175_ch4930
ko:K02004	btht:H175_ch4935
ko:K02549	btht:H175_ch4959
ko:K08680	btht:H175_ch4962
ko:K02829	btht:H175_ch0683
ko:K02828	btht:H175_ch0684
ko:K02827	btht:H175_ch0685
ko:K02826	btht:H175_ch0686
ko:K06310	btht:H175_ch0693
ko:K06311	btht:H175_ch0694
ko:K06312	btht:H175_ch0695
ko:K04759	btht:H175_ch0697
ko:K04758	btht:H175_ch0699
ko:K02040	btht:H175_ch0700
ko:K02037	btht:H175_ch0701
ko:K02038	btht:H175_ch0702
ko:K03707	btht:H175_ch0709
ko:K15600	btht:H175_ch0710
ko:K15598	btht:H175_ch0712
ko:K10810	btht:H175_ch0713
ko:K03154	btht:H175_ch0715
ko:K03149	btht:H175_ch0716
ko:K08989	btht:H175_ch1523
ko:K03704	btht:H175_ch1548
ko:K09190	btht:H175_ch1549
ko:K14393	btht:H175_ch1554
ko:K03088	btht:H175_ch1564
ko:K03088	btht:H175_ch2400
ko:K02760	btht:H175_ch2407
ko:K02761	btht:H175_ch2408
ko:K09001	btht:H175_ch2410
ko:K01754	btht:H175_ch2414
ko:K07090	btht:H175_ch2448
ko:K00831	btht:H175_ch3251
ko:K01434	btht:H175_ch3257
ko:K07282	btht:H175_ch3264
ko:K02106	btht:H175_ch3276
ko:K00355	btht:H175_ch3278
ko:K02553	btht:H175_ch3288
ko:K02919	btht:H175_ch0131
ko:K02952	btht:H175_ch0132
ko:K02948	btht:H175_ch0133
ko:K03040	btht:H175_ch0134
ko:K02879	btht:H175_ch0135
ko:K16785	btht:H175_ch0138
ko:K06173	btht:H175_ch0139
ko:K02871	btht:H175_ch0140
ko:K02996	btht:H175_ch0141
ko:K07396	btht:H175_ch0882
ko:K07090	btht:H175_ch0897
ko:K00826	btht:H175_ch1736
ko:K01652	btht:H175_ch1737
ko:K01653	btht:H175_ch1738
ko:K00053	btht:H175_ch1739
ko:K01687	btht:H175_ch1740
ko:K01754	btht:H175_ch1741
ko:K07282	btht:H175_ch1742
ko:K07150	btht:H175_ch1743
ko:K12960	btht:H175_ch1752
ko:K16137	btht:H175_ch1754
ko:K15580	btht:H175_ch1756
ko:K03322	btht:H175_ch1762
ko:K07146	btht:H175_ch1763
ko:K00077	btht:H175_ch1765
ko:K11034	btht:H175_ch1769
ko:K11034	btht:H175_ch1770
ko:K05346	btht:H175_ch1781
ko:K11535	btht:H175_ch1783
ko:K00756	btht:H175_ch1784
ko:K03100	btht:H175_ch2666
ko:K01779	btht:H175_ch2668
ko:K02015	btht:H175_ch3457
ko:K02015	btht:H175_ch3458
ko:K00675	btht:H175_ch3472
ko:K08602	btht:H175_ch3473
ko:K10536	btht:H175_ch3474
ko:K13256	btht:H175_ch3478
ko:K10536	btht:H175_ch3479
ko:K01126	btht:H175_ch3485
ko:K07734	btht:H175_ch3493
ko:K06394	btht:H175_ch4271
ko:K06393	btht:H175_ch4272
ko:K06392	btht:H175_ch4273
ko:K06391	btht:H175_ch4274
ko:K06390	btht:H175_ch4275
ko:K02356	btht:H175_ch4279
ko:K03786	btht:H175_ch4281
ko:K03716	btht:H175_ch4287
ko:K03800	btht:H175_ch4291
ko:K00283	btht:H175_ch4308
ko:K00282	btht:H175_ch4309
ko:K00605	btht:H175_ch4310
ko:K00891	btht:H175_ch4318
ko:K00472	btht:H175_ch4319
ko:K01778	btht:H175_ch5078
ko:K03885	btht:H175_ch5080
ko:K02068	btht:H175_ch5082
ko:K02069	btht:H175_ch5083
ko:K06193	btht:H175_ch5084
ko:K00355	btht:H175_ch5099
ko:K03644	btht:H175_ch5114
ko:K09014	btht:H175_ch5119
ko:K11717	btht:H175_ch5121
ko:K09015	btht:H175_ch5122
ko:K09013	btht:H175_ch5123
ko:K02073	btht:H175_ch5124
ko:K02073	btht:H175_ch5125
ko:K02072	btht:H175_ch5126
ko:K02071	btht:H175_ch5127
ko:K16924	btht:H175_ch2669
ko:K01892	btht:H175_ch3297
ko:K00549	btht:H175_ch4073
ko:K07697	btht:H175_ch4077
ko:K15772	btht:H175_ch4082
ko:K15771	btht:H175_ch4083
ko:K00019	btht:H175_ch4102
ko:K08963	btht:H175_ch4104
ko:K00899	btht:H175_ch4105
ko:K08965	btht:H175_ch4108
ko:K08966	btht:H175_ch4109
ko:K08967	btht:H175_ch4111
ko:K07173	btht:H175_ch4904
ko:K08998	btht:H175_ch4905
ko:K01673	btht:H175_ch4906
ko:K00425	btht:H175_ch4907
ko:K00426	btht:H175_ch4908
ko:K03969	btht:H175_ch4915
ko:K04759	btht:H175_ch4918
ko:K04758	btht:H175_ch4919
ko:K00760	btht:H175_ch4927
ko:K02003	btht:H175_ch4936
ko:K16927	btht:H175_ch3283
ko:K02552	btht:H175_ch4964
ko:K04763	btht:H175_63p03
ko:K09963	btht:H175_ch0769
ko:K00575	btht:H175_ch1582
ko:K07258	btht:H175_ch2450
ko:K11626	btht:H175_ch2461
ko:K03294	btht:H175_ch2470
ko:K01243	btht:H175_ch3292
ko:K06889	btht:H175_ch3293
ko:K03976	btht:H175_ch3296
ko:K00059	btht:H175_ch3307
ko:K01560	btht:H175_ch3314
ko:K01104	btht:H175_ch3316
ko:K01759	btht:H175_ch3321
ko:K02116	btht:H175_ch3338
ko:K03315	btht:H175_ch0318
ko:K14665	btht:H175_ch0319
ko:K03387	btht:H175_ch0322
ko:K00899	btht:H175_ch0324
ko:K08963	btht:H175_ch0325
ko:K01628	btht:H175_ch0326
ko:K02015	btht:H175_ch0327
ko:K02015	btht:H175_ch0328
ko:K02016	btht:H175_ch0329
ko:K07074	btht:H175_ch0341
ko:K05548	btht:H175_ch0342
ko:K02029	btht:H175_ch0345
ko:K03402	btht:H175_ch0349
ko:K00611	btht:H175_ch0351
ko:K03758	btht:H175_ch0352
ko:K00926	btht:H175_ch0353
ko:K01421	btht:H175_ch0360
ko:K00878	btht:H175_ch0362
ko:K00788	btht:H175_ch0363
ko:K07791	btht:H175_ch0364
ko:K00858	btht:H175_ch1150
ko:K06180	btht:H175_ch1151
ko:K00973	btht:H175_ch1163
ko:K01790	btht:H175_ch1164
ko:K00067	btht:H175_ch1166
ko:K00208	btht:H175_ch1167
ko:K03657	btht:H175_ch1174
ko:K01657	btht:H175_ch1183
ko:K00766	btht:H175_ch1185
ko:K01609	btht:H175_ch1186
ko:K01817	btht:H175_ch1187
ko:K01696	btht:H175_ch1188
ko:K01695	btht:H175_ch1189
ko:K03303	btht:H175_ch1192
ko:K06330	btht:H175_ch2014
ko:K03284	btht:H175_ch2018
ko:K08964	btht:H175_ch4110
ko:K08483	btht:H175_ch4120
ko:K11189	btht:H175_ch4121
ko:K02564	btht:H175_ch4126
ko:K09763	btht:H175_ch4131
ko:K03768	btht:H175_ch4133
ko:K07258	btht:H175_ch4148
ko:K00700	btht:H175_ch4977
ko:K00016	btht:H175_ch4980
ko:K07570	btht:H175_ch4986
ko:K00090	btht:H175_ch4989
ko:K07491	btht:H175_328p008
ko:K00088	btht:H175_ch0008
ko:K07258	btht:H175_ch0009
ko:K01448	btht:H175_ch0143
ko:K06294	btht:H175_ch0145
ko:K06349	btht:H175_ch0146
ko:K00865	btht:H175_ch0149
ko:K01476	btht:H175_ch0150
ko:K03431	btht:H175_ch0153
ko:K00820	btht:H175_ch0154
ko:K02072	btht:H175_ch0160
ko:K02071	btht:H175_ch0161
