ko:K07591	ebr:ECB_02986
ko:K00052	ebr:ECB_00075
ko:K01649	ebr:ECB_00076
ko:K05798	ebr:ECB_00078
ko:K01652	ebr:ECB_00079
ko:K01653	ebr:ECB_00080
ko:K03435	ebr:ECB_00081
ko:K03925	ebr:ECB_00082
ko:K03438	ebr:ECB_00083
ko:K03586	ebr:ECB_00084
ko:K03587	ebr:ECB_00085
ko:K01928	ebr:ECB_00086
ko:K01929	ebr:ECB_00087
ko:K01000	ebr:ECB_00088
ko:K01925	ebr:ECB_00089
ko:K03588	ebr:ECB_00090
ko:K02563	ebr:ECB_00091
ko:K01924	ebr:ECB_00092
ko:K01921	ebr:ECB_00093
ko:K03589	ebr:ECB_00094
ko:K03590	ebr:ECB_00095
ko:K03531	ebr:ECB_00096
ko:K02535	ebr:ECB_00097
ko:K03070	ebr:ECB_00099
ko:K09862	ebr:ECB_00101
ko:K00859	ebr:ECB_00103
ko:K00364	ebr:ECB_00104
ko:K02682	ebr:ECB_00107
ko:K00767	ebr:ECB_00108
ko:K03806	ebr:ECB_00109
ko:K03807	ebr:ECB_00110
ko:K11734	ebr:ECB_00111
ko:K00163	ebr:ECB_00113
ko:K00627	ebr:ECB_00114
ko:K00382	ebr:ECB_00115
ko:K01491	ebr:ECB_00479
ko:K00097	ebr:ECB_00056
ko:K03771	ebr:ECB_00057
ko:K04744	ebr:ECB_00058
ko:K05801	ebr:ECB_00059
ko:K01034	ebr:ECB_02148
ko:K00823	ebr:ECB_01279
ko:K13053	ebr:ECB_00962
ko:K03761	ebr:ECB_02481
ko:K09477	ebr:ECB_00580
ko:K13051	ebr:ECB_00795
ko:K13292	ebr:ECB_02676
ko:K12961	ebr:ECB_03016
ko:K12963	ebr:ECB_02185
ko:K00247	ebr:ECB_04023
ko:K01119	ebr:ECB_04085
ko:K02057	ebr:ECB_04099
ko:K05874	ebr:ECB_04232
ko:K02056	ebr:ECB_04097
ko:K02058	ebr:ECB_04096
ko:K02681	ebr:ECB_02671
ko:K12985	ebr:ECB_03481
ko:K13014	ebr:ECB_02182
ko:K10804	ebr:ECB_00445
ko:K05877	ebr:ECB_01856
ko:K12137	ebr:ECB_02374
ko:K12142	ebr:ECB_02379
ko:K12144	ebr:ECB_02381
ko:K12145	ebr:ECB_02382
ko:K12146	ebr:ECB_02383
ko:K03459	ebr:ECB_02384
ko:K01011	ebr:ECB_02413
ko:K02057	ebr:ECB_02438
ko:K02058	ebr:ECB_02440
ko:K01048	ebr:ECB_03704
ko:K01271	ebr:ECB_03738
ko:K01061	ebr:ECB_03717
ko:K01061	ebr:ECB_02875
ko:K14225	ebr:ECB_t00076
ko:K03297	ebr:ECB_00493
ko:K16345	ebr:ECB_03512
ko:K00024	ebr:ECB_03096
ko:K04338	ebr:ECB_01035
ko:K04337	ebr:ECB_01036
ko:K04335	ebr:ECB_01038
ko:K04334	ebr:ECB_01039
ko:K04336	ebr:ECB_01040
ko:K11941	ebr:ECB_01044
ko:K03670	ebr:ECB_01045
ko:K03669	ebr:ECB_01046
ko:K12147	ebr:ECB_01048
ko:K02517	ebr:ECB_01050
ko:K07146	ebr:ECB_01051
ko:K02846	ebr:ECB_01055
ko:K12148	ebr:ECB_01056
ko:K12149	ebr:ECB_01057
ko:K01465	ebr:ECB_01058
ko:K03675	ebr:ECB_01060
ko:K08162	ebr:ECB_01061
ko:K03790	ebr:ECB_01062
ko:K09915	ebr:ECB_01063
ko:K03980	ebr:ECB_01065
ko:K02399	ebr:ECB_01066
ko:K02398	ebr:ECB_01067
ko:K02386	ebr:ECB_01068
ko:K02387	ebr:ECB_01069
ko:K02388	ebr:ECB_01070
ko:K02389	ebr:ECB_01071
ko:K02390	ebr:ECB_01072
ko:K02391	ebr:ECB_01073
ko:K02392	ebr:ECB_01074
ko:K02393	ebr:ECB_01075
ko:K02394	ebr:ECB_01076
ko:K02395	ebr:ECB_01077
ko:K02396	ebr:ECB_01078
ko:K02397	ebr:ECB_01079
ko:K08300	ebr:ECB_01080
ko:K07040	ebr:ECB_01084
ko:K02911	ebr:ECB_01085
ko:K03621	ebr:ECB_01086
ko:K00648	ebr:ECB_01087
ko:K00645	ebr:ECB_01088
ko:K02078	ebr:ECB_01090
ko:K09458	ebr:ECB_01091
ko:K07470	ebr:ECB_01912
ko:K01141	ebr:ECB_01914
ko:K07112	ebr:ECB_01916
ko:K00765	ebr:ECB_01921
ko:K00013	ebr:ECB_01922
ko:K00817	ebr:ECB_01923
ko:K01089	ebr:ECB_01924
ko:K02501	ebr:ECB_01925
ko:K01814	ebr:ECB_01926
ko:K02500	ebr:ECB_01927
ko:K11755	ebr:ECB_01928
ko:K00012	ebr:ECB_01930
ko:K01790	ebr:ECB_01944
ko:K00973	ebr:ECB_01945
ko:K00067	ebr:ECB_01946
ko:K00963	ebr:ECB_01948
ko:K03208	ebr:ECB_01956
ko:K03439	ebr:ECB_02790
ko:K03575	ebr:ECB_02791
ko:K08306	ebr:ECB_02793
ko:K01581	ebr:ECB_02795
ko:K07150	ebr:ECB_02796
ko:K06041	ebr:ECB_02814
ko:K10107	ebr:ECB_02815
ko:K00979	ebr:ECB_02817
ko:K07266	ebr:ECB_02818
ko:K07265	ebr:ECB_02819
ko:K09689	ebr:ECB_02827
ko:K09688	ebr:ECB_02828
ko:K06163	ebr:ECB_03970
ko:K02460	ebr:ECB_02831
ko:K02459	ebr:ECB_02832
ko:K02457	ebr:ECB_02834
ko:K02456	ebr:ECB_02835
ko:K02453	ebr:ECB_02838
ko:K02452	ebr:ECB_02839
ko:K02654	ebr:ECB_02841
ko:K03547	ebr:ECB_00346
ko:K07636	ebr:ECB_00348
ko:K03311	ebr:ECB_00349
ko:K11736	ebr:ECB_00350
ko:K01638	ebr:ECB_02844
ko:K11473	ebr:ECB_02846
ko:K11472	ebr:ECB_02847
ko:K11474	ebr:ECB_02849
ko:K05786	ebr:ECB_03698
ko:K01058	ebr:ECB_03700
ko:K03654	ebr:ECB_03701
ko:K03576	ebr:ECB_03707
ko:K00549	ebr:ECB_03708
ko:K00926	ebr:ECB_03712
ko:K00757	ebr:ECB_03718
ko:K00883	ebr:ECB_03723
ko:K09760	ebr:ECB_03725
ko:K03183	ebr:ECB_03726
ko:K03690	ebr:ECB_03727
ko:K03688	ebr:ECB_03728
ko:K03116	ebr:ECB_03729
ko:K03117	ebr:ECB_03730
ko:K03118	ebr:ECB_03731
ko:K03424	ebr:ECB_03732
ko:K03182	ebr:ECB_03734
ko:K05368	ebr:ECB_03735
ko:K02688	ebr:ECB_00285
ko:K01720	ebr:ECB_00288
ko:K01908	ebr:ECB_00289
ko:K10974	ebr:ECB_00290
ko:K11921	ebr:ECB_00292
ko:K01673	ebr:ECB_00293
ko:K01725	ebr:ECB_00294
ko:K03449	ebr:ECB_00295
ko:K02532	ebr:ECB_00297
ko:K05818	ebr:ECB_00300
ko:K01666	ebr:ECB_00306
ko:K09912	ebr:ECB_00308
ko:K03119	ebr:ECB_00318
ko:K01698	ebr:ECB_00319
ko:K01921	ebr:ECB_00328
ko:K00286	ebr:ECB_00333
ko:K09768	ebr:ECB_00334
ko:K00891	ebr:ECB_00335
ko:K09913	ebr:ECB_00338
ko:K03554	ebr:ECB_00342
ko:K00847	ebr:ECB_00343
ko:K01433	ebr:ECB_01208
ko:K09858	ebr:ECB_01209
ko:K07001	ebr:ECB_01210
ko:K00963	ebr:ECB_01212
ko:K09901	ebr:ECB_01222
ko:K06131	ebr:ECB_01223
ko:K10716	ebr:ECB_01224
ko:K09780	ebr:ECB_01225
ko:K03832	ebr:ECB_01226
ko:K10806	ebr:ECB_01227
ko:K06190	ebr:ECB_01228
ko:K07275	ebr:ECB_01230
ko:K01695	ebr:ECB_01234
ko:K01696	ebr:ECB_01235
ko:K01657	ebr:ECB_01238
ko:K07053	ebr:ECB_01240
ko:K02839	ebr:ECB_00231
ko:K11750	ebr:ECB_00234
ko:K11926	ebr:ECB_00235
ko:K00931	ebr:ECB_00239
ko:K00147	ebr:ECB_00240
ko:K07402	ebr:ECB_00242
ko:K11177	ebr:ECB_00243
ko:K08996	ebr:ECB_00246
ko:K06940	ebr:ECB_00247
ko:K02909	ebr:ECB_00255
ko:K00782	ebr:ECB_00264
ko:K02167	ebr:ECB_00269
ko:K02168	ebr:ECB_00270
ko:K00926	ebr:ECB_00278
ko:K03610	ebr:ECB_01151
ko:K09902	ebr:ECB_01154
ko:K09160	ebr:ECB_01156
ko:K03611	ebr:ECB_01160
ko:K03314	ebr:ECB_01161
ko:K03603	ebr:ECB_01162
ko:K00285	ebr:ECB_01164
ko:K01775	ebr:ECB_01165
ko:K08308	ebr:ECB_01168
ko:K01194	ebr:ECB_01172
ko:K05881	ebr:ECB_01173
ko:K05879	ebr:ECB_01174
ko:K05878	ebr:ECB_01175
ko:K05880	ebr:ECB_01176
ko:K06942	ebr:ECB_01178
ko:K01056	ebr:ECB_01179
ko:K00948	ebr:ECB_01182
ko:K00919	ebr:ECB_01183
ko:K02494	ebr:ECB_01184
ko:K02492	ebr:ECB_01185
ko:K02835	ebr:ECB_01186
ko:K02493	ebr:ECB_01187
ko:K01627	ebr:ECB_01190
ko:K07300	ebr:ECB_01194
ko:K07673	ebr:ECB_01200
ko:K02575	ebr:ECB_01201
ko:K00370	ebr:ECB_01202
ko:K00371	ebr:ECB_01203
ko:K00373	ebr:ECB_01204
ko:K10542	ebr:ECB_02078
ko:K02529	ebr:ECB_02080
ko:K07148	ebr:ECB_02081
ko:K01495	ebr:ECB_02082
ko:K11733	ebr:ECB_02085
ko:K01151	ebr:ECB_02088
ko:K10213	ebr:ECB_02091
ko:K02769	ebr:ECB_02096
ko:K02770	ebr:ECB_02096
ko:K02768	ebr:ECB_02098
ko:K11183	ebr:ECB_02098
ko:K03291	ebr:ECB_02099
ko:K06940	ebr:ECB_02100
ko:K02356	ebr:ECB_02101
ko:K07552	ebr:ECB_02112
ko:K02897	ebr:ECB_02115
ko:K06899	ebr:ECB_02116
ko:K09904	ebr:ECB_02117
ko:K07014	ebr:ECB_02118
ko:K07685	ebr:ECB_02120
ko:K02199	ebr:ECB_02122
ko:K02198	ebr:ECB_02123
ko:K02197	ebr:ECB_02124
ko:K02196	ebr:ECB_02125
ko:K02195	ebr:ECB_02126
ko:K02194	ebr:ECB_02127
ko:K06911	ebr:ECB_02975
ko:K01752	ebr:ECB_02979
ko:K00656	ebr:ECB_02981
ko:K03838	ebr:ECB_02983
ko:K01754	ebr:ECB_02984
ko:K07592	ebr:ECB_02985
ko:K00865	ebr:ECB_02989
ko:K12299	ebr:ECB_02992
ko:K02746	ebr:ECB_02999
ko:K02747	ebr:ECB_03000
ko:K02079	ebr:ECB_03002
ko:K02082	ebr:ECB_03003
ko:K07347	ebr:ECB_03011
ko:K07056	ebr:ECB_03013
ko:K07121	ebr:ECB_03014
ko:K07460	ebr:ECB_03015
ko:K07089	ebr:ECB_03018
ko:K02863	ebr:ECB_03860
ko:K02864	ebr:ECB_03861
ko:K02935	ebr:ECB_03862
ko:K03043	ebr:ECB_03863
ko:K03046	ebr:ECB_03864
ko:K03150	ebr:ECB_03866
ko:K03149	ebr:ECB_03867
ko:K03154	ebr:ECB_03868
ko:K00324	ebr:ECB_01572
ko:K03758	ebr:ECB_01574
ko:K07661	ebr:ECB_01577
ko:K07639	ebr:ECB_01578
ko:K01679	ebr:ECB_01580
ko:K01676	ebr:ECB_01581
ko:K01195	ebr:ECB_01586
ko:K03617	ebr:ECB_01597
ko:K03616	ebr:ECB_01598
ko:K03615	ebr:ECB_01599
ko:K03614	ebr:ECB_01600
ko:K03612	ebr:ECB_01601
ko:K03613	ebr:ECB_01602
ko:K10773	ebr:ECB_01603
ko:K03305	ebr:ECB_01604
ko:K00868	ebr:ECB_01606
ko:K01866	ebr:ECB_01607
ko:K00275	ebr:ECB_01608
ko:K09001	ebr:ECB_01610
ko:K06077	ebr:ECB_01611
ko:K01809	ebr:ECB_01582
ko:K06938	ebr:ECB_01618
ko:K10680	ebr:ECB_01620
ko:K03683	ebr:ECB_01622
ko:K03724	ebr:ECB_01623
ko:K07390	ebr:ECB_01624
ko:K06178	ebr:ECB_01245
ko:K03168	ebr:ECB_01250
ko:K01681	ebr:ECB_01253
ko:K01591	ebr:ECB_01258
ko:K03113	ebr:ECB_01259
ko:K04062	ebr:ECB_01260
ko:K00208	ebr:ECB_01265
ko:K02568	ebr:ECB_02130
ko:K02573	ebr:ECB_02132
ko:K02567	ebr:ECB_02133
ko:K02570	ebr:ECB_02134
ko:K02572	ebr:ECB_02135
ko:K08276	ebr:ECB_02136
ko:K00116	ebr:ECB_02137
ko:K06159	ebr:ECB_02138
ko:K03919	ebr:ECB_02139
ko:K03734	ebr:ECB_02141
ko:K09475	ebr:ECB_02142
ko:K07710	ebr:ECB_02146
ko:K02106	ebr:ECB_02150
ko:K06894	ebr:ECB_02154
ko:K02469	ebr:ECB_02157
ko:K11107	ebr:ECB_02162
ko:K01126	ebr:ECB_02165
ko:K02445	ebr:ECB_02166
ko:K00111	ebr:ECB_02167
ko:K00112	ebr:ECB_02168
ko:K00113	ebr:ECB_02169
ko:K07806	ebr:ECB_02179
ko:K10012	ebr:ECB_02180
ko:K10011	ebr:ECB_02181
ko:K09979	ebr:ECB_03021
ko:K07461	ebr:ECB_03022
ko:K03824	ebr:ECB_03023
ko:K08303	ebr:ECB_03025
ko:K03835	ebr:ECB_03028
ko:K05592	ebr:ECB_03029
ko:K05803	ebr:ECB_03030
ko:K00962	ebr:ECB_03031
ko:K02956	ebr:ECB_03032
ko:K02834	ebr:ECB_03034
ko:K02519	ebr:ECB_03035
ko:K02600	ebr:ECB_03036
ko:K09748	ebr:ECB_03037
ko:K01940	ebr:ECB_03038
ko:K03075	ebr:ECB_03040
ko:K03431	ebr:ECB_03041
ko:K00796	ebr:ECB_03042
ko:K03798	ebr:ECB_03043
ko:K07574	ebr:ECB_03045
ko:K03624	ebr:ECB_03046
ko:K07259	ebr:ECB_03047
ko:K03979	ebr:ECB_03048
ko:K02899	ebr:ECB_03050
ko:K02888	ebr:ECB_03051
ko:K02523	ebr:ECB_03052
ko:K00790	ebr:ECB_03054
ko:K07122	ebr:ECB_03056
ko:K07323	ebr:ECB_03057
ko:K02066	ebr:ECB_03059
ko:K02065	ebr:ECB_03060
ko:K07301	ebr:ECB_03061
ko:K06041	ebr:ECB_03062
ko:K03270	ebr:ECB_03063
ko:K11719	ebr:ECB_03064
ko:K09774	ebr:ECB_03065
ko:K06861	ebr:ECB_03066
ko:K03092	ebr:ECB_03067
ko:K05808	ebr:ECB_03068
ko:K06958	ebr:ECB_03070
ko:K03814	ebr:ECB_03073
ko:K01356	ebr:ECB_03915
ko:K03327	ebr:ECB_03916
ko:K09823	ebr:ECB_03918
ko:K05539	ebr:ECB_03921
ko:K01775	ebr:ECB_03925
ko:K00832	ebr:ECB_03926
ko:K03788	ebr:ECB_03927
ko:K03701	ebr:ECB_03930
ko:K06901	ebr:ECB_03936
ko:K01895	ebr:ECB_03941
ko:K03385	ebr:ECB_03942
ko:K04013	ebr:ECB_03943
ko:K11102	ebr:ECB_03949
ko:K01808	ebr:ECB_03962
ko:K06167	ebr:ECB_03964
ko:K05774	ebr:ECB_03966
ko:K06162	ebr:ECB_03967
ko:K05780	ebr:ECB_03968
ko:K05781	ebr:ECB_03969
ko:K00788	ebr:ECB_03870
ko:K03147	ebr:ECB_03871
ko:K07740	ebr:ECB_03872
ko:K03426	ebr:ECB_03873
ko:K01599	ebr:ECB_03874
ko:K05982	ebr:ECB_03875
ko:K09891	ebr:ECB_03876
ko:K05787	ebr:ECB_03877
ko:K07803	ebr:ECB_03879
ko:K01945	ebr:ECB_03882
ko:K00602	ebr:ECB_03883
ko:K03827	ebr:ECB_03884
ko:K00651	ebr:ECB_03885
ko:K01638	ebr:ECB_03886
ko:K01637	ebr:ECB_03887
ko:K05995	ebr:ECB_03893
ko:K06182	ebr:ECB_03894
ko:K00928	ebr:ECB_03896
ko:K01810	ebr:ECB_03897
ko:K10109	ebr:ECB_03905
ko:K02024	ebr:ECB_03908
ko:K05775	ebr:ECB_03909
ko:K03181	ebr:ECB_03911
ko:K03179	ebr:ECB_03912
ko:K00631	ebr:ECB_03913
ko:K00901	ebr:ECB_03914
ko:K01631	ebr:ECB_03722
ko:K01684	ebr:ECB_03575
ko:K01631	ebr:ECB_03576
ko:K01488	ebr:ECB_01592
ko:K01759	ebr:ECB_01621
ko:K02001	ebr:ECB_02534
ko:K00821	ebr:ECB_03210
ko:K07797	ebr:ECB_02278
ko:K09476	ebr:ECB_00933
ko:K08348	ebr:ECB_01432
ko:K00675	ebr:ECB_01421
ko:K00371	ebr:ECB_01425
ko:K00104	ebr:ECB_02848
ko:K07726	ebr:ECB_03405
ko:K01250	ebr:ECB_00617
ko:K01580	ebr:ECB_01451
ko:K00076	ebr:ECB_01588
ko:K07279	ebr:ECB_02159
ko:K10986	ebr:ECB_03007
ko:K11072	ebr:ECB_01124
ko:K02483	ebr:ECB_01884
ko:K00956	ebr:ECB_02601
ko:K00146	ebr:ECB_01357
ko:K00042	ebr:ECB_02990
ko:K10124	ebr:ECB_03604
ko:K07496	ebr:ECB_01390
ko:K07172	ebr:ECB_02628
ko:K01051	ebr:ECB_00725
ko:K10038	ebr:ECB_00776
ko:K10711	ebr:ECB_03225
ko:K06887	ebr:ECB_03293
ko:K08351	ebr:ECB_03401
ko:K07274	ebr:ECB_03439
ko:K08154	ebr:ECB_03557
ko:K04017	ebr:ECB_03947
ko:K13892	ebr:ECB_00796
ko:K10985	ebr:ECB_03006
ko:K05685	ebr:ECB_00884
ko:K01766	ebr:ECB_02661
ko:K02798	ebr:ECB_02764
ko:K13889	ebr:ECB_00797
ko:K13890	ebr:ECB_00798
ko:K05817	ebr:ECB_02429
ko:K13637	ebr:ECB_04193
ko:K12940	ebr:ECB_01315
ko:K12943	ebr:ECB_02698
ko:K13038	ebr:ECB_03496
ko:K13256	ebr:ECB_03902
ko:K01355	ebr:ECB_00519
ko:K13069	ebr:ECB_01448
ko:K13255	ebr:ECB_04244
ko:K02462	ebr:ECB_03185
ko:K02116	ebr:ECB_03623
ko:K06879	ebr:ECB_02639
ko:K13283	ebr:ECB_03800
ko:K13378	ebr:ECB_02211
ko:K00297	ebr:ECB_03827
ko:K13243	ebr:ECB_01447
ko:K03973	ebr:ECB_01283
ko:K13244	ebr:ECB_00271
ko:K07356	ebr:ECB_00483
ko:K07353	ebr:ECB_00481
ko:K00885	ebr:ECB_03082
ko:K12972	ebr:ECB_01030
ko:K00632	ebr:ECB_03736
ko:K07497	ebr:ECB_04146
ko:K07246	ebr:ECB_01770
ko:K13480	ebr:ECB_02701
ko:K07480	ebr:ECB_00237
ko:K13735	ebr:ECB_00256
ko:K07480	ebr:ECB_00211
ko:K01659	ebr:ECB_00287
ko:K05939	ebr:ECB_02684
ko:K12139	ebr:ECB_02376
ko:K00758	ebr:ECB_04258
ko:K08305	ebr:ECB_02551
ko:K02464	ebr:ECB_03186
ko:K11745	ebr:ECB_00051
ko:K02099	ebr:ECB_00066
ko:K04771	ebr:ECB_00160
ko:K01069	ebr:ECB_00205
ko:K11178	ebr:ECB_00244
ko:K06867	ebr:ECB_00274
ko:K01176	ebr:ECB_03423
ko:K10709	ebr:ECB_03223
ko:K01485	ebr:ECB_00291
ko:K00633	ebr:ECB_00296
ko:K00042	ebr:ECB_00459
ko:K11920	ebr:ECB_00520
ko:K01169	ebr:ECB_00579
ko:K03329	ebr:ECB_00283
ko:K01270	ebr:ECB_00232
ko:K01466	ebr:ECB_00462
ko:K01630	ebr:ECB_02991
ko:K16371	ebr:ECB_02997
ko:K08318	ebr:ECB_03767
ko:K00537	ebr:ECB_02387
ko:K07459	ebr:ECB_00881
ko:K09612	ebr:ECB_02603
ko:K07358	ebr:ECB_04182
ko:K08138	ebr:ECB_03903
ko:K01002	ebr:ECB_04236
ko:K05714	ebr:ECB_00303
ko:K05712	ebr:ECB_00301
ko:K08194	ebr:ECB_03574
ko:K03719	ebr:ECB_00893
ko:K00557	ebr:ECB_03850
ko:K02778	ebr:ECB_01097
ko:K02779	ebr:ECB_01097
ko:K07310	ebr:ECB_01557
ko:K01104	ebr:ECB_01967
ko:K12528	ebr:ECB_02714
ko:K12529	ebr:ECB_02713
ko:K00065	ebr:ECB_02690
ko:K03445	ebr:ECB_03546
ko:K15524	ebr:ECB_00691
ko:K05875	ebr:ECB_01857
ko:K08278	ebr:ECB_00001
ko:K15548	ebr:ECB_03101
ko:K03767	ebr:ECB_03214
ko:K01708	ebr:ECB_02993
ko:K07684	ebr:ECB_01199
ko:K03649	ebr:ECB_02938
ko:K07232	ebr:ECB_01196
ko:K12573	ebr:ECB_04046
ko:K03417	ebr:ECB_00286
