ko:K07591	ebw:BWG_2827
ko:K04045	ebw:BWG_0521
ko:K10004	ebw:BWG_0523
ko:K10002	ebw:BWG_0524
ko:K10003	ebw:BWG_0525
ko:K10001	ebw:BWG_0526
ko:K03820	ebw:BWG_0528
ko:K06189	ebw:BWG_0529
ko:K07042	ebw:BWG_0530
ko:K06168	ebw:BWG_0532
ko:K03184	ebw:BWG_0533
ko:K00868	ebw:BWG_1451
ko:K01866	ebw:BWG_1452
ko:K00275	ebw:BWG_1453
ko:K09001	ebw:BWG_1455
ko:K06077	ebw:BWG_1456
ko:K06938	ebw:BWG_1463
ko:K10680	ebw:BWG_1465
ko:K03683	ebw:BWG_1467
ko:K03724	ebw:BWG_1468
ko:K07390	ebw:BWG_1469
ko:K04564	ebw:BWG_1471
ko:K00574	ebw:BWG_1477
ko:K00793	ebw:BWG_1478
ko:K03327	ebw:BWG_1479
ko:K08354	ebw:BWG_1484
ko:K00873	ebw:BWG_1490
ko:K02426	ebw:BWG_1493
ko:K11717	ebw:BWG_1494
ko:K09015	ebw:BWG_1495
ko:K09013	ebw:BWG_1496
ko:K09014	ebw:BWG_1497
ko:K05997	ebw:BWG_1498
ko:K05887	ebw:BWG_1506
ko:K03785	ebw:BWG_1507
ko:K05590	ebw:BWG_2340
ko:K11249	ebw:BWG_2342
ko:K03648	ebw:BWG_2344
ko:K03214	ebw:BWG_2345
ko:K03672	ebw:BWG_2346
ko:K00998	ebw:BWG_2349
ko:K05811	ebw:BWG_2350
ko:K03695	ebw:BWG_2352
ko:K05810	ebw:BWG_2353
ko:K06180	ebw:BWG_2354
ko:K05807	ebw:BWG_2355
ko:K05809	ebw:BWG_2356
ko:K01626	ebw:BWG_2360
ko:K02884	ebw:BWG_2365
ko:K00554	ebw:BWG_2366
ko:K02860	ebw:BWG_2367
ko:K02959	ebw:BWG_2368
ko:K03106	ebw:BWG_2369
ko:K03687	ebw:BWG_2372
ko:K00858	ebw:BWG_2373
ko:K03631	ebw:BWG_2374
ko:K06186	ebw:BWG_2375
ko:K09801	ebw:BWG_2376
ko:K03664	ebw:BWG_2378
ko:K01246	ebw:BWG_3237
ko:K03826	ebw:BWG_3238
ko:K03704	ebw:BWG_3244
ko:K01879	ebw:BWG_3248
ko:K01878	ebw:BWG_3249
ko:K01805	ebw:BWG_3255
ko:K10543	ebw:BWG_3256
ko:K10545	ebw:BWG_3257
ko:K02529	ebw:BWG_3259
ko:K00880	ebw:BWG_3270
ko:K03833	ebw:BWG_3280
ko:K01042	ebw:BWG_3281
ko:K00009	ebw:BWG_3290
ko:K02562	ebw:BWG_3291
ko:K04485	ebw:BWG_4081
ko:K08309	ebw:BWG_4084
ko:K03720	ebw:BWG_4085
ko:K05804	ebw:BWG_4088
ko:K05805	ebw:BWG_4089
ko:K07663	ebw:BWG_4090
ko:K07641	ebw:BWG_4091
ko:K06143	ebw:BWG_4092
ko:K07773	ebw:BWG_4093
ko:K06195	ebw:BWG_0048
ko:K02528	ebw:BWG_0049
ko:K00097	ebw:BWG_0050
ko:K03771	ebw:BWG_0051
ko:K04744	ebw:BWG_0052
ko:K05801	ebw:BWG_0053
ko:K03580	ebw:BWG_0055
ko:K02336	ebw:BWG_0056
ko:K01804	ebw:BWG_0058
ko:K02063	ebw:BWG_0063
ko:K02064	ebw:BWG_0064
ko:K11925	ebw:BWG_0065
ko:K03291	ebw:BWG_0066
ko:K01704	ebw:BWG_0067
ko:K01703	ebw:BWG_0068
ko:K00052	ebw:BWG_0069
ko:K01649	ebw:BWG_0070
ko:K05798	ebw:BWG_0072
ko:K01652	ebw:BWG_0073
ko:K01653	ebw:BWG_0074
ko:K03435	ebw:BWG_0075
ko:K03925	ebw:BWG_0076
ko:K03438	ebw:BWG_0077
ko:K03586	ebw:BWG_0078
ko:K03587	ebw:BWG_0079
ko:K01928	ebw:BWG_0080
ko:K01929	ebw:BWG_0081
ko:K01000	ebw:BWG_0082
ko:K01925	ebw:BWG_0083
ko:K03588	ebw:BWG_0084
ko:K02563	ebw:BWG_0085
ko:K01924	ebw:BWG_0086
ko:K01921	ebw:BWG_0087
ko:K03589	ebw:BWG_0088
ko:K03590	ebw:BWG_0089
ko:K03531	ebw:BWG_0090
ko:K02535	ebw:BWG_0091
ko:K03070	ebw:BWG_0093
ko:K09862	ebw:BWG_0095
ko:K00859	ebw:BWG_0097
ko:K00364	ebw:BWG_0098
ko:K02682	ebw:BWG_0101
ko:K00767	ebw:BWG_0102
ko:K03806	ebw:BWG_0103
ko:K03608	ebw:BWG_0999
ko:K03609	ebw:BWG_1000
ko:K03610	ebw:BWG_1001
ko:K09902	ebw:BWG_1004
ko:K09160	ebw:BWG_1006
ko:K08323	ebw:BWG_1395
ko:K09771	ebw:BWG_1396
ko:K07309	ebw:BWG_1401
ko:K03281	ebw:BWG_1406
ko:K01935	ebw:BWG_1407
ko:K08224	ebw:BWG_1410
ko:K04775	ebw:BWG_1413
ko:K11742	ebw:BWG_1414
ko:K11743	ebw:BWG_1415
ko:K11744	ebw:BWG_1416
ko:K00325	ebw:BWG_1417
ko:K00324	ebw:BWG_1418
ko:K03758	ebw:BWG_1420
ko:K07661	ebw:BWG_1423
ko:K07639	ebw:BWG_1424
ko:K01676	ebw:BWG_1427
ko:K01809	ebw:BWG_1428
ko:K01195	ebw:BWG_1431
ko:K10773	ebw:BWG_1448
ko:K03305	ebw:BWG_1449
ko:K07751	ebw:BWG_2287
ko:K04755	ebw:BWG_2289
ko:K04044	ebw:BWG_2290
ko:K04082	ebw:BWG_2291
ko:K04487	ebw:BWG_2294
ko:K05820	ebw:BWG_2300
ko:K00600	ebw:BWG_2315
ko:K05916	ebw:BWG_2316
ko:K07715	ebw:BWG_2318
ko:K07711	ebw:BWG_2320
ko:K01952	ebw:BWG_2321
ko:K00997	ebw:BWG_2327
ko:K03474	ebw:BWG_2328
ko:K03584	ebw:BWG_2329
ko:K03685	ebw:BWG_2331
ko:K03100	ebw:BWG_2332
ko:K03596	ebw:BWG_2333
ko:K03598	ebw:BWG_2335
ko:K03597	ebw:BWG_2336
ko:K03088	ebw:BWG_2337
ko:K00278	ebw:BWG_2338
ko:K01993	ebw:BWG_3178
ko:K07007	ebw:BWG_3181
ko:K06144	ebw:BWG_3183
ko:K03305	ebw:BWG_3185
ko:K01414	ebw:BWG_3187
ko:K07115	ebw:BWG_3188
ko:K03893	ebw:BWG_3192
ko:K07285	ebw:BWG_3195
ko:K07507	ebw:BWG_3197
ko:K00428	ebw:BWG_3207
ko:K01194	ebw:BWG_3208
ko:K07058	ebw:BWG_3211
ko:K07290	ebw:BWG_3213
ko:K00874	ebw:BWG_3215
ko:K11103	ebw:BWG_3217
ko:K12372	ebw:BWG_3229
ko:K12371	ebw:BWG_3230
ko:K12370	ebw:BWG_3231
ko:K12369	ebw:BWG_3232
ko:K12368	ebw:BWG_3233
ko:K01305	ebw:BWG_4026
ko:K07559	ebw:BWG_4029
ko:K01154	ebw:BWG_4041
ko:K03427	ebw:BWG_4042
ko:K01153	ebw:BWG_4043
ko:K02317	ebw:BWG_4055
ko:K02344	ebw:BWG_4063
ko:K03789	ebw:BWG_4064
ko:K08723	ebw:BWG_4065
ko:K02837	ebw:BWG_4066
ko:K03424	ebw:BWG_4070
ko:K01839	ebw:BWG_4075
ko:K03800	ebw:BWG_4078
ko:K00872	ebw:BWG_0003
ko:K01733	ebw:BWG_0004
ko:K09861	ebw:BWG_0006
ko:K03310	ebw:BWG_0007
ko:K03831	ebw:BWG_0009
ko:K04043	ebw:BWG_0013
ko:K03686	ebw:BWG_0014
ko:K03313	ebw:BWG_0017
ko:K03717	ebw:BWG_0018
ko:K02968	ebw:BWG_0021
ko:K11753	ebw:BWG_0023
ko:K01870	ebw:BWG_0024
ko:K03101	ebw:BWG_0025
ko:K03774	ebw:BWG_0026
ko:K03527	ebw:BWG_0027
ko:K01956	ebw:BWG_0030
ko:K01955	ebw:BWG_0031
ko:K08277	ebw:BWG_0032
ko:K02182	ebw:BWG_0035
ko:K08298	ebw:BWG_0036
ko:K08297	ebw:BWG_0037
ko:K05245	ebw:BWG_0038
ko:K03521	ebw:BWG_0039
ko:K03439	ebw:BWG_2682
ko:K03575	ebw:BWG_2683
ko:K08306	ebw:BWG_2685
ko:K01581	ebw:BWG_2687
ko:K07150	ebw:BWG_2688
ko:K02654	ebw:BWG_2691
ko:K01638	ebw:BWG_2694
ko:K11473	ebw:BWG_2696
ko:K11472	ebw:BWG_2697
ko:K11474	ebw:BWG_2699
ko:K04653	ebw:BWG_2708
ko:K04651	ebw:BWG_2709
ko:K03561	ebw:BWG_2721
ko:K03611	ebw:BWG_1010
ko:K03314	ebw:BWG_1011
ko:K03603	ebw:BWG_1012
ko:K00285	ebw:BWG_1014
ko:K01775	ebw:BWG_1015
ko:K08308	ebw:BWG_1018
ko:K01194	ebw:BWG_1022
ko:K05881	ebw:BWG_1023
ko:K05879	ebw:BWG_1024
ko:K05878	ebw:BWG_1025
ko:K05880	ebw:BWG_1026
ko:K06942	ebw:BWG_1028
ko:K01056	ebw:BWG_1029
ko:K00948	ebw:BWG_1032
ko:K00919	ebw:BWG_1033
ko:K02494	ebw:BWG_1034
ko:K02492	ebw:BWG_1035
ko:K02835	ebw:BWG_1036
ko:K02493	ebw:BWG_1037
ko:K01627	ebw:BWG_1040
ko:K07300	ebw:BWG_1044
ko:K09824	ebw:BWG_0730
ko:K03704	ebw:BWG_0733
ko:K06891	ebw:BWG_0734
ko:K03694	ebw:BWG_0735
ko:K02518	ebw:BWG_0736
ko:K00684	ebw:BWG_0737
ko:K00384	ebw:BWG_0740
ko:K03466	ebw:BWG_0742
ko:K03634	ebw:BWG_0743
ko:K07478	ebw:BWG_0744
ko:K01875	ebw:BWG_0745
ko:K07306	ebw:BWG_0746
ko:K08219	ebw:BWG_0750
ko:K04069	ebw:BWG_0754
ko:K00656	ebw:BWG_0755
ko:K09907	ebw:BWG_1689
ko:K01887	ebw:BWG_1690
ko:K03516	ebw:BWG_1692
ko:K02400	ebw:BWG_1693
ko:K02401	ebw:BWG_1694
ko:K03414	ebw:BWG_1695
ko:K03413	ebw:BWG_1696
ko:K03412	ebw:BWG_1697
ko:K03408	ebw:BWG_1701
ko:K03407	ebw:BWG_1702
ko:K02557	ebw:BWG_1703
ko:K02556	ebw:BWG_1704
ko:K02402	ebw:BWG_1705
ko:K00697	ebw:BWG_1709
ko:K10538	ebw:BWG_1711
ko:K10539	ebw:BWG_1712
ko:K10537	ebw:BWG_1713
ko:K02217	ebw:BWG_1717
ko:K03834	ebw:BWG_1719
ko:K07039	ebw:BWG_1720
ko:K00995	ebw:BWG_1721
ko:K03703	ebw:BWG_1722
ko:K07689	ebw:BWG_1723
ko:K10010	ebw:BWG_1726
ko:K10009	ebw:BWG_1727
ko:K02424	ebw:BWG_1729
ko:K02425	ebw:BWG_1730
ko:K02405	ebw:BWG_1731
ko:K02406	ebw:BWG_1732
ko:K02407	ebw:BWG_1733
ko:K02422	ebw:BWG_1734
ko:K02680	ebw:BWG_2560
ko:K02679	ebw:BWG_2561
ko:K08484	ebw:BWG_2564
ko:K08311	ebw:BWG_2565
ko:K03573	ebw:BWG_2567
ko:K08227	ebw:BWG_2571
ko:K02529	ebw:BWG_2573
ko:K01586	ebw:BWG_2574
ko:K01815	ebw:BWG_2579
ko:K01751	ebw:BWG_2597
ko:K01464	ebw:BWG_2599
ko:K00926	ebw:BWG_2600
ko:K07402	ebw:BWG_2601
ko:K07141	ebw:BWG_2603
ko:K06901	ebw:BWG_2610
ko:K03656	ebw:BWG_3461
ko:K03732	ebw:BWG_3463
ko:K03671	ebw:BWG_3464
ko:K03628	ebw:BWG_3465
ko:K05790	ebw:BWG_3467
ko:K02472	ebw:BWG_3469
ko:K00973	ebw:BWG_3471
ko:K02805	ebw:BWG_3473
ko:K02853	ebw:BWG_3476
ko:K06871	ebw:BWG_3479
ko:K02498	ebw:BWG_3481
ko:K02496	ebw:BWG_3482
ko:K01749	ebw:BWG_3484
ko:K05851	ebw:BWG_3485
ko:K06202	ebw:BWG_3486
ko:K01778	ebw:BWG_3488
ko:K03733	ebw:BWG_3490
ko:K03657	ebw:BWG_3492
ko:K03284	ebw:BWG_3494
ko:K05786	ebw:BWG_3497
ko:K01058	ebw:BWG_3499
ko:K03654	ebw:BWG_3500
ko:K03576	ebw:BWG_3506
ko:K00549	ebw:BWG_3507
ko:K00757	ebw:BWG_3509
ko:K09760	ebw:BWG_3510
ko:K03183	ebw:BWG_3511
ko:K03690	ebw:BWG_3512
ko:K03688	ebw:BWG_3513
ko:K03116	ebw:BWG_3514
ko:K03117	ebw:BWG_3515
ko:K03118	ebw:BWG_3516
ko:K03424	ebw:BWG_3517
ko:K03554	ebw:BWG_0276
ko:K00847	ebw:BWG_0277
ko:K03547	ebw:BWG_0280
ko:K07636	ebw:BWG_0282
ko:K03311	ebw:BWG_0283
ko:K11736	ebw:BWG_0284
ko:K08682	ebw:BWG_0286
ko:K07568	ebw:BWG_0287
ko:K00773	ebw:BWG_0288
ko:K03210	ebw:BWG_0289
ko:K03072	ebw:BWG_0290
ko:K03074	ebw:BWG_0291
ko:K05517	ebw:BWG_0293
ko:K07738	ebw:BWG_0295
ko:K11752	ebw:BWG_0296
ko:K00794	ebw:BWG_0297
ko:K03625	ebw:BWG_0298
ko:K00946	ebw:BWG_0299
ko:K01095	ebw:BWG_0300
ko:K01662	ebw:BWG_0302
ko:K00795	ebw:BWG_0303
ko:K03602	ebw:BWG_0304
ko:K03151	ebw:BWG_0305
ko:K03152	ebw:BWG_0306
ko:K00077	ebw:BWG_0307
ko:K09767	ebw:BWG_0308
ko:K02300	ebw:BWG_0311
ko:K02299	ebw:BWG_0312
ko:K02298	ebw:BWG_0313
ko:K02297	ebw:BWG_0314
ko:K08218	ebw:BWG_0315
ko:K07286	ebw:BWG_0316
ko:K05527	ebw:BWG_0317
ko:K03545	ebw:BWG_0318
ko:K01358	ebw:BWG_0319
ko:K03544	ebw:BWG_0320
ko:K01338	ebw:BWG_0321
ko:K03530	ebw:BWG_0322
ko:K03770	ebw:BWG_0323
ko:K02237	ebw:BWG_0324
ko:K06920	ebw:BWG_0326
ko:K11938	ebw:BWG_0328
ko:K05800	ebw:BWG_0329
ko:K04752	ebw:BWG_0332
ko:K10857	ebw:BWG_1658
ko:K01354	ebw:BWG_1659
ko:K09918	ebw:BWG_1662
ko:K08289	ebw:BWG_1663
ko:K01625	ebw:BWG_1664
ko:K01690	ebw:BWG_1665
ko:K00036	ebw:BWG_1666
ko:K00873	ebw:BWG_1668
ko:K02560	ebw:BWG_1669
ko:K09817	ebw:BWG_1672
ko:K09816	ebw:BWG_1673
ko:K03551	ebw:BWG_1674
ko:K03550	ebw:BWG_1675
ko:K01159	ebw:BWG_1677
ko:K08310	ebw:BWG_1679
ko:K01876	ebw:BWG_1680
ko:K07136	ebw:BWG_1683
ko:K00313	ebw:BWG_2502
ko:K10026	ebw:BWG_2512
ko:K06872	ebw:BWG_2513
ko:K01689	ebw:BWG_2514
ko:K01937	ebw:BWG_2515
ko:K03215	ebw:BWG_2523
ko:K01706	ebw:BWG_2525
ko:K06175	ebw:BWG_2529
ko:K06966	ebw:BWG_2533
ko:K03837	ebw:BWG_2534
ko:K01752	ebw:BWG_2535
ko:K00048	ebw:BWG_2537
ko:K02429	ebw:BWG_2539
ko:K01818	ebw:BWG_2540
ko:K02431	ebw:BWG_2542
ko:K02430	ebw:BWG_2543
ko:K06968	ebw:BWG_2544
ko:K02426	ebw:BWG_2549
ko:K08304	ebw:BWG_2551
ko:K01448	ebw:BWG_2552
ko:K03581	ebw:BWG_2554
ko:K03582	ebw:BWG_2555
ko:K01407	ebw:BWG_2556
ko:K03583	ebw:BWG_2557
ko:K01223	ebw:BWG_3412
ko:K02039	ebw:BWG_3415
ko:K02036	ebw:BWG_3416
ko:K02038	ebw:BWG_3417
ko:K02037	ebw:BWG_3418
ko:K02040	ebw:BWG_3419
ko:K00820	ebw:BWG_3420
ko:K04042	ebw:BWG_3421
ko:K02114	ebw:BWG_3422
ko:K02112	ebw:BWG_3423
ko:K02115	ebw:BWG_3424
ko:K02111	ebw:BWG_3425
ko:K02113	ebw:BWG_3426
ko:K02109	ebw:BWG_3427
ko:K02110	ebw:BWG_3428
ko:K02108	ebw:BWG_3429
ko:K03501	ebw:BWG_3431
ko:K03495	ebw:BWG_3432
ko:K06205	ebw:BWG_3433
ko:K01914	ebw:BWG_3435
ko:K03924	ebw:BWG_3437
ko:K03549	ebw:BWG_3438
ko:K06726	ebw:BWG_3439
ko:K10441	ebw:BWG_3440
ko:K09897	ebw:BWG_3451
ko:K07391	ebw:BWG_3452
ko:K11258	ebw:BWG_3454
ko:K00826	ebw:BWG_3455
ko:K01687	ebw:BWG_3456
ko:K01754	ebw:BWG_3457
ko:K02521	ebw:BWG_3458
ko:K00053	ebw:BWG_3459
ko:K11750	ebw:BWG_0221
ko:K11926	ebw:BWG_0222
ko:K11929	ebw:BWG_0223
ko:K00931	ebw:BWG_0224
ko:K00147	ebw:BWG_0225
ko:K01666	ebw:BWG_0241
ko:K09912	ebw:BWG_0243
ko:K03119	ebw:BWG_0255
ko:K01698	ebw:BWG_0256
ko:K01921	ebw:BWG_0265
ko:K00286	ebw:BWG_0270
ko:K09768	ebw:BWG_0271
ko:K00891	ebw:BWG_0272
ko:K09913	ebw:BWG_0275
ko:K03522	ebw:BWG_0040
ko:K00313	ebw:BWG_0041
ko:K11746	ebw:BWG_0044
ko:K03805	ebw:BWG_0478
ko:K03387	ebw:BWG_0480
ko:K11932	ebw:BWG_0481
ko:K06140	ebw:BWG_0483
ko:K05964	ebw:BWG_0487
ko:K01643	ebw:BWG_0488
ko:K01644	ebw:BWG_0489
ko:K01646	ebw:BWG_0490
ko:K01910	ebw:BWG_0491
ko:K07700	ebw:BWG_0492
ko:K07702	ebw:BWG_0493
ko:K03704	ebw:BWG_0496
ko:K06199	ebw:BWG_0497
ko:K03425	ebw:BWG_0498
ko:K03644	ebw:BWG_0499
ko:K03801	ebw:BWG_0501
ko:K09158	ebw:BWG_0502
ko:K03642	ebw:BWG_0504
ko:K05837	ebw:BWG_0505
ko:K05515	ebw:BWG_0506
ko:K00783	ebw:BWG_0507
ko:K09710	ebw:BWG_0508
ko:K11073	ebw:BWG_0707
ko:K11076	ebw:BWG_0708
ko:K11075	ebw:BWG_0709
ko:K11074	ebw:BWG_0710
ko:K03212	ebw:BWG_0712
ko:K09996	ebw:BWG_0713
ko:K09999	ebw:BWG_0715
ko:K09997	ebw:BWG_0716
ko:K11066	ebw:BWG_0720
ko:K01620	ebw:BWG_0723
ko:K00156	ebw:BWG_0724
ko:K11933	ebw:BWG_0725
ko:K06188	ebw:BWG_0728
ko:K12974	ebw:BWG_2146
ko:K12975	ebw:BWG_3234
ko:K07126	ebw:BWG_0515
ko:K13288	ebw:BWG_3877
ko:K11754	ebw:BWG_2089
ko:K13069	ebw:BWG_1311
ko:K12962	ebw:BWG_2031
ko:K09946	ebw:BWG_1870
ko:K02458	ebw:BWG_3021
ko:K12981	ebw:BWG_3315
ko:K02851	ebw:BWG_3466
ko:K01460	ebw:BWG_2706
ko:K01034	ebw:BWG_1995
ko:K00906	ebw:BWG_3672
ko:K02451	ebw:BWG_3013
ko:K00215	ebw:BWG_0029
ko:K01534	ebw:BWG_3160
ko:K08172	ebw:BWG_1778
ko:K01467	ebw:BWG_3865
ko:K12687	ebw:BWG_1791
ko:K08485	ebw:BWG_2908
ko:K02505	ebw:BWG_0099
ko:K00854	ebw:BWG_3254
ko:K06183	ebw:BWG_1959
ko:K04028	ebw:BWG_2218
ko:K11072	ebw:BWG_0974
ko:K00244	ebw:BWG_3869
ko:K00537	ebw:BWG_3193
ko:K03386	ebw:BWG_0479
ko:K02000	ebw:BWG_2420
ko:K08324	ebw:BWG_1344
ko:K04753	ebw:BWG_2730
ko:K12944	ebw:BWG_2024
ko:K00951	ebw:BWG_2519
ko:K13301	ebw:BWG_0092
ko:K12340	ebw:BWG_2748
ko:K03079	ebw:BWG_3909
ko:K14762	ebw:BWG_3293
ko:K01424	ebw:BWG_1580
ko:K04016	ebw:BWG_3788
ko:K13926	ebw:BWG_3177
ko:K12410	ebw:BWG_0968
ko:K07679	ebw:BWG_2138
ko:K09979	ebw:BWG_2858
ko:K07726	ebw:BWG_3243
ko:K01487	ebw:BWG_2609
ko:K07675	ebw:BWG_3359
ko:K08092	ebw:BWG_3265
ko:K00835	ebw:BWG_3262
ko:K11264	ebw:BWG_2642
ko:K02798	ebw:BWG_2656
ko:K03836	ebw:BWG_3400
ko:K01130	ebw:BWG_3480
ko:K01061	ebw:BWG_3508
ko:K03292	ebw:BWG_3546
ko:K03292	ebw:BWG_3547
ko:K08318	ebw:BWG_3552
