ko:K18929	hcn:HPB14_00660
ko:K01000	hcn:HPB14_04245
ko:K15846	hcn:HPB14_04250
ko:K02902	hcn:HPB14_04255
ko:K03550	hcn:HPB14_04290
ko:K03980	hcn:HPB14_04300
ko:K01883	hcn:HPB14_04305
ko:K02013	hcn:HPB14_04320
ko:K02015	hcn:HPB14_04325
ko:K04654	hcn:HPB14_04360
ko:K01689	hcn:HPB14_00745
ko:K00891	hcn:HPB14_00760
ko:K01698	hcn:HPB14_00785
ko:K08303	hcn:HPB14_00810
ko:K02836	hcn:HPB14_00820
ko:K03750	hcn:HPB14_00825
ko:K02421	hcn:HPB14_00830
ko:K01624	hcn:HPB14_00850
ko:K02356	hcn:HPB14_00855
ko:K03820	hcn:HPB14_00870
ko:K03558	hcn:HPB14_00875
ko:K04567	hcn:HPB14_00880
ko:K00600	hcn:HPB14_00885
ko:K00246	hcn:HPB14_00935
ko:K01803	hcn:HPB14_00940
ko:K00208	hcn:HPB14_00945
ko:K02536	hcn:HPB14_00950
ko:K00789	hcn:HPB14_00955
ko:K00940	hcn:HPB14_00960
ko:K02911	hcn:HPB14_00970
ko:K03621	hcn:HPB14_00975
ko:K00648	hcn:HPB14_00980
ko:K00172	hcn:HPB14_05185
ko:K00171	hcn:HPB14_05190
ko:K00169	hcn:HPB14_05195
ko:K00170	hcn:HPB14_05200
ko:K01756	hcn:HPB14_05205
ko:K03702	hcn:HPB14_05215
ko:K02396	hcn:HPB14_05270
ko:K03775	hcn:HPB14_05295
ko:K03640	hcn:HPB14_05305
ko:K03641	hcn:HPB14_05310
ko:K02114	hcn:HPB14_05330
ko:K02112	hcn:HPB14_05335
ko:K02115	hcn:HPB14_05340
ko:K02111	hcn:HPB14_05345
ko:K02113	hcn:HPB14_05350
ko:K02109	hcn:HPB14_05355
ko:K02109	hcn:HPB14_05360
ko:K03524	hcn:HPB14_05375
ko:K00604	hcn:HPB14_05380
ko:K02884	hcn:HPB14_05420
ko:K00554	hcn:HPB14_05425
ko:K02860	hcn:HPB14_05430
ko:K06960	hcn:HPB14_05435
ko:K02959	hcn:HPB14_05440
ko:K00937	hcn:HPB14_02130
ko:K01154	hcn:HPB14_02135
ko:K03427	hcn:HPB14_02140
ko:K01153	hcn:HPB14_02145
ko:K01153	hcn:HPB14_02150
ko:K08602	hcn:HPB14_02180
ko:K02020	hcn:HPB14_02195
ko:K02018	hcn:HPB14_02200
ko:K06207	hcn:HPB14_02230
ko:K03781	hcn:HPB14_02260
ko:K01159	hcn:HPB14_02295
ko:K03781	hcn:HPB14_02305
ko:K06193	hcn:HPB14_02320
ko:K01521	hcn:HPB14_02325
ko:K02390	hcn:HPB14_02330
ko:K04651	hcn:HPB14_02335
ko:K00748	hcn:HPB14_02345
ko:K03624	hcn:HPB14_02350
ko:K03525	hcn:HPB14_02370
ko:K09792	hcn:HPB14_02375
ko:K03273	hcn:HPB14_02380
ko:K03274	hcn:HPB14_02385
ko:K03272	hcn:HPB14_02390
ko:K03271	hcn:HPB14_02395
ko:K00364	hcn:HPB14_02405
ko:K01613	hcn:HPB14_06495
ko:K03179	hcn:HPB14_06510
ko:K03570	hcn:HPB14_06650
ko:K03569	hcn:HPB14_06655
ko:K03544	hcn:HPB14_06660
ko:K00677	hcn:HPB14_06665
ko:K02372	hcn:HPB14_06670
ko:K13626	hcn:HPB14_06675
ko:K05807	hcn:HPB14_06685
ko:K01338	hcn:HPB14_06690
ko:K01173	hcn:HPB14_06700
ko:K01012	hcn:HPB14_06715
ko:K07058	hcn:HPB14_06720
ko:K09457	hcn:HPB14_06755
ko:K01924	hcn:HPB14_03555
ko:K07456	hcn:HPB14_03565
ko:K07270	hcn:HPB14_03575
ko:K07270	hcn:HPB14_03580
ko:K01876	hcn:HPB14_03590
ko:K03415	hcn:HPB14_03595
ko:K01972	hcn:HPB14_03600
ko:K01599	hcn:HPB14_03655
ko:K02406	hcn:HPB14_03670
ko:K03611	hcn:HPB14_03715
ko:K00177	hcn:HPB14_03730
ko:K00175	hcn:HPB14_03735
ko:K00174	hcn:HPB14_03740
ko:K00176	hcn:HPB14_03745
ko:K07082	hcn:HPB14_03750
ko:K10773	hcn:HPB14_03765
ko:K02417	hcn:HPB14_03770
ko:K01465	hcn:HPB14_03785
ko:K06891	hcn:HPB14_00155
ko:K03694	hcn:HPB14_00160
ko:K01579	hcn:HPB14_00165
ko:K09747	hcn:HPB14_00170
ko:K01711	hcn:HPB14_00210
ko:K02377	hcn:HPB14_00215
ko:K04656	hcn:HPB14_00230
ko:K00912	hcn:HPB14_01615
ko:K00053	hcn:HPB14_01625
ko:K03609	hcn:HPB14_01630
ko:K03608	hcn:HPB14_01635
ko:K04096	hcn:HPB14_01640
ko:K07447	hcn:HPB14_01645
ko:K06180	hcn:HPB14_01665
ko:K07462	hcn:HPB14_01670
ko:K01937	hcn:HPB14_01675
ko:K02409	hcn:HPB14_01685
ko:K02410	hcn:HPB14_01690
ko:K02411	hcn:HPB14_01695
ko:K01662	hcn:HPB14_01700
ko:K03596	hcn:HPB14_01705
ko:K02392	hcn:HPB14_01720
ko:K03466	hcn:HPB14_01730
ko:K00615	hcn:HPB14_01740
ko:K11753	hcn:HPB14_01745
ko:K06442	hcn:HPB14_01750
ko:K00609	hcn:HPB14_01760
ko:K07241	hcn:HPB14_01795
ko:K03798	hcn:HPB14_01840
ko:K02687	hcn:HPB14_01845
ko:K03413	hcn:HPB14_01850
ko:K02169	hcn:HPB14_05965
ko:K03075	hcn:HPB14_05970
ko:K02838	hcn:HPB14_05975
ko:K00762	hcn:HPB14_05980
ko:K12410	hcn:HPB14_05990
ko:K00330	hcn:HPB14_05995
ko:K00331	hcn:HPB14_06000
ko:K00332	hcn:HPB14_06005
ko:K00333	hcn:HPB14_06010
ko:K00334	hcn:HPB14_06015
ko:K00337	hcn:HPB14_06030
ko:K00338	hcn:HPB14_06035
ko:K00339	hcn:HPB14_06040
ko:K00340	hcn:HPB14_06045
ko:K00341	hcn:HPB14_06050
ko:K00342	hcn:HPB14_06055
ko:K00343	hcn:HPB14_06060
ko:K15778	hcn:HPB14_06070
ko:K03811	hcn:HPB14_06100
ko:K03707	hcn:HPB14_06115
ko:K01657	hcn:HPB14_06135
ko:K00766	hcn:HPB14_06145
ko:K13498	hcn:HPB14_06150
ko:K01696	hcn:HPB14_06155
ko:K01695	hcn:HPB14_06160
ko:K02879	hcn:HPB14_06175
ko:K03040	hcn:HPB14_06180
ko:K02986	hcn:HPB14_06185
ko:K02948	hcn:HPB14_06190
ko:K02952	hcn:HPB14_06195
ko:K02919	hcn:HPB14_06200
ko:K02518	hcn:HPB14_06205
ko:K01265	hcn:HPB14_06210
ko:K03076	hcn:HPB14_06215
ko:K02876	hcn:HPB14_06220
ko:K02988	hcn:HPB14_06225
ko:K13821	hcn:HPB14_00255
ko:K03190	hcn:HPB14_00325
ko:K03189	hcn:HPB14_00330
ko:K03188	hcn:HPB14_00335
ko:K03187	hcn:HPB14_00340
ko:K01428	hcn:HPB14_00355
ko:K03101	hcn:HPB14_00370
ko:K03431	hcn:HPB14_00375
ko:K02968	hcn:HPB14_00380
ko:K02835	hcn:HPB14_00385
ko:K02996	hcn:HPB14_00405
ko:K02871	hcn:HPB14_00410
ko:K00116	hcn:HPB14_00420
ko:K03086	hcn:HPB14_00430
ko:K13292	hcn:HPB14_04650
ko:K02527	hcn:HPB14_04660
ko:K07164	hcn:HPB14_04665
ko:K01878	hcn:HPB14_04675
ko:K00057	hcn:HPB14_04680
ko:K01879	hcn:HPB14_04725
ko:K15633	hcn:HPB14_04735
ko:K02435	hcn:HPB14_04740
ko:K00833	hcn:HPB14_04745
ko:K03770	hcn:HPB14_04750
ko:K03590	hcn:HPB14_04755
ko:K03531	hcn:HPB14_04760
ko:K15257	hcn:HPB14_04815
ko:K01772	hcn:HPB14_04820
ko:K01874	hcn:HPB14_04825
ko:K00574	hcn:HPB14_04830
ko:K15846	hcn:HPB14_04845
ko:K01951	hcn:HPB14_04855
ko:K02503	hcn:HPB14_04885
ko:K01889	hcn:HPB14_04890
ko:K01929	hcn:HPB14_02960
ko:K01921	hcn:HPB14_02970
ko:K01095	hcn:HPB14_02975
ko:K04075	hcn:HPB14_03035
ko:K07791	hcn:HPB14_03065
ko:K06895	hcn:HPB14_03085
ko:K02343	hcn:HPB14_03090
ko:K06925	hcn:HPB14_03095
ko:K06861	hcn:HPB14_03100
ko:K03092	hcn:HPB14_03105
ko:K07023	hcn:HPB14_03115
ko:K03438	hcn:HPB14_03140
ko:K03701	hcn:HPB14_03150
ko:K02469	hcn:HPB14_03185
ko:K00901	hcn:HPB14_03190
ko:K10856	hcn:HPB14_03205
ko:K02106	hcn:HPB14_03225
ko:K01029	hcn:HPB14_03230
ko:K01028	hcn:HPB14_03235
ko:K07501	hcn:HPB14_03245
ko:K04759	hcn:HPB14_03250
ko:K02419	hcn:HPB14_03265
ko:K03655	hcn:HPB14_07325
ko:K01142	hcn:HPB14_07340
ko:K02313	hcn:HPB14_07350
ko:K00820	hcn:HPB14_07365
ko:K01154	hcn:HPB14_07380
ko:K01153	hcn:HPB14_07395
ko:K07043	hcn:HPB14_07400
ko:K01476	hcn:HPB14_07410
ko:K00259	hcn:HPB14_07420
ko:K00858	hcn:HPB14_07435
ko:K03631	hcn:HPB14_07440
ko:K01783	hcn:HPB14_07465
ko:K03841	hcn:HPB14_07470
ko:K00413	hcn:HPB14_07490
ko:K00412	hcn:HPB14_07495
ko:K00411	hcn:HPB14_07500
ko:K03723	hcn:HPB14_07505
ko:K11754	hcn:HPB14_07525
ko:K01869	hcn:HPB14_07535
ko:K03074	hcn:HPB14_07545
ko:K03072	hcn:HPB14_07550
ko:K03210	hcn:HPB14_07555
ko:K03313	hcn:HPB14_07560
ko:K02967	hcn:HPB14_07575
ko:K02357	hcn:HPB14_07580
ko:K03587	hcn:HPB14_07585
ko:K02408	hcn:HPB14_07590
ko:K04079	hcn:HPB14_01020
ko:K03495	hcn:HPB14_01035
ko:K14445	hcn:HPB14_01040
ko:K00981	hcn:HPB14_01045
ko:K00099	hcn:HPB14_01050
ko:K04487	hcn:HPB14_01080
ko:K13819	hcn:HPB14_01085
ko:K04485	hcn:HPB14_01100
ko:K12267	hcn:HPB14_01105
ko:K07090	hcn:HPB14_01115
ko:K00979	hcn:HPB14_01135
ko:K03981	hcn:HPB14_01140
ko:K01749	hcn:HPB14_01170
ko:K01881	hcn:HPB14_01175
ko:K02492	hcn:HPB14_01180
ko:K02523	hcn:HPB14_01185
ko:K04047	hcn:HPB14_01200
ko:K07710	hcn:HPB14_01205
ko:K02394	hcn:HPB14_01215
ko:K05592	hcn:HPB14_01220
ko:K13895	hcn:HPB14_01240
ko:K01939	hcn:HPB14_01260
ko:K11749	hcn:HPB14_01275
ko:K03601	hcn:HPB14_01280
ko:K03695	hcn:HPB14_01305
ko:K03106	hcn:HPB14_05445
ko:K01873	hcn:HPB14_05450
ko:K02563	hcn:HPB14_05460
ko:K00286	hcn:HPB14_05475
ko:K07042	hcn:HPB14_05490
ko:K03839	hcn:HPB14_05495
ko:K00384	hcn:HPB14_05510
ko:K01810	hcn:HPB14_05520
ko:K06200	hcn:HPB14_05530
ko:K02029	hcn:HPB14_05535
ko:K02429	hcn:HPB14_05560
ko:K06901	hcn:HPB14_05565
ko:K01839	hcn:HPB14_05580
ko:K08159	hcn:HPB14_05615
ko:K00133	hcn:HPB14_05630
ko:K01892	hcn:HPB14_05635
ko:K02355	hcn:HPB14_05655
ko:K02992	hcn:HPB14_05660
ko:K02950	hcn:HPB14_05665
ko:K02935	hcn:HPB14_05680
ko:K02864	hcn:HPB14_05685
ko:K02863	hcn:HPB14_05690
ko:K02867	hcn:HPB14_05695
ko:K02601	hcn:HPB14_05700
ko:K03073	hcn:HPB14_05705
ko:K09805	hcn:HPB14_02415
ko:K03427	hcn:HPB14_02425
ko:K01154	hcn:HPB14_02430
ko:K01153	hcn:HPB14_02435
ko:K00878	hcn:HPB14_02440
ko:K00941	hcn:HPB14_02445
ko:K00788	hcn:HPB14_02450
ko:K13038	hcn:HPB14_02460
ko:K15894	hcn:HPB14_02465
ko:K09860	hcn:HPB14_02480
ko:K03530	hcn:HPB14_02485
ko:K03977	hcn:HPB14_02490
ko:K00797	hcn:HPB14_02500
ko:K00859	hcn:HPB14_02505
ko:K02108	hcn:HPB14_02520
ko:K07270	hcn:HPB14_02530
ko:K00384	hcn:HPB14_02535
ko:K03671	hcn:HPB14_02540
ko:K07460	hcn:HPB14_02545
ko:K00003	hcn:HPB14_02550
ko:K03703	hcn:HPB14_02555
ko:K05847	hcn:HPB14_02570
ko:K02557	hcn:HPB14_02585
ko:K02556	hcn:HPB14_02590
ko:K02415	hcn:HPB14_02620
ko:K00997	hcn:HPB14_02625
ko:K07043	hcn:HPB14_02635
ko:K07270	hcn:HPB14_02640
ko:K14652	hcn:HPB14_02650
ko:K03636	hcn:HPB14_02665
ko:K03831	hcn:HPB14_02675
ko:K09710	hcn:HPB14_06760
ko:K00791	hcn:HPB14_06765
ko:K00075	hcn:HPB14_06785
ko:K02420	hcn:HPB14_06790
ko:K02412	hcn:HPB14_06795
ko:K01870	hcn:HPB14_06805
ko:K06941	hcn:HPB14_06835
ko:K06041	hcn:HPB14_06840
ko:K02528	hcn:HPB14_06850
ko:K01154	hcn:HPB14_06870
ko:K01433	hcn:HPB14_06875
ko:K04773	hcn:HPB14_06880
ko:K03563	hcn:HPB14_06915
ko:K00919	hcn:HPB14_06920
ko:K03664	hcn:HPB14_06925
ko:K03561	hcn:HPB14_06930
ko:K02914	hcn:HPB14_06940
ko:K03536	hcn:HPB14_06945
ko:K03217	hcn:HPB14_06955
ko:K03650	hcn:HPB14_06965
ko:K07337	hcn:HPB14_06995
ko:K06178	hcn:HPB14_07005
ko:K02337	hcn:HPB14_07010
ko:K00428	hcn:HPB14_07015
ko:K02065	hcn:HPB14_07035
ko:K02066	hcn:HPB14_07040
ko:K01491	hcn:HPB14_03805
ko:K03100	hcn:HPB14_03810
ko:K01808	hcn:HPB14_03820
ko:K00759	hcn:HPB14_03830
ko:K01255	hcn:HPB14_03840
ko:K06942	hcn:HPB14_03845
ko:K01778	hcn:HPB14_03860
ko:K02970	hcn:HPB14_03880
ko:K02078	hcn:HPB14_03890
ko:K09458	hcn:HPB14_03900
ko:K01962	hcn:HPB14_03905
ko:K03218	hcn:HPB14_03925
ko:K07056	hcn:HPB14_03930
ko:K02909	hcn:HPB14_03935
ko:K03628	hcn:HPB14_03940
ko:K01776	hcn:HPB14_03945
ko:K03667	hcn:HPB14_04000
ko:K01419	hcn:HPB14_04005
ko:K02939	hcn:HPB14_04010
ko:K01915	hcn:HPB14_04020
ko:K06950	hcn:HPB14_01865
ko:K03501	hcn:HPB14_01870
ko:K07568	hcn:HPB14_01875
ko:K03118	hcn:HPB14_01880
ko:K03117	hcn:HPB14_01885
ko:K03551	hcn:HPB14_01890
ko:K00606	hcn:HPB14_01895
ko:K03610	hcn:HPB14_01920
ko:K02535	hcn:HPB14_01925
ko:K00872	hcn:HPB14_01935
ko:K02519	hcn:HPB14_01945
ko:K02834	hcn:HPB14_01950
ko:K09748	hcn:HPB14_01955
ko:K01895	hcn:HPB14_01960
ko:K02400	hcn:HPB14_01985
ko:K02956	hcn:HPB14_01990
ko:K03786	hcn:HPB14_02000
ko:K00950	hcn:HPB14_02010
ko:K02404	hcn:HPB14_02015
ko:K00645	hcn:HPB14_00440
ko:K01733	hcn:HPB14_00480
ko:K09765	hcn:HPB14_00490
ko:K07173	hcn:HPB14_00515
ko:K04043	hcn:HPB14_00535
ko:K03687	hcn:HPB14_00540
ko:K03705	hcn:HPB14_00545
ko:K01628	hcn:HPB14_00550
ko:K02406	hcn:HPB14_00565
ko:K03168	hcn:HPB14_00570
ko:K01868	hcn:HPB14_00595
ko:K02520	hcn:HPB14_00600
ko:K02916	hcn:HPB14_00605
ko:K02887	hcn:HPB14_00610
ko:K01752	hcn:HPB14_00630
ko:K03837	hcn:HPB14_00635
ko:K01626	hcn:HPB14_00640
ko:K03564	hcn:HPB14_00650
ko:K00782	hcn:HPB14_00655
ko:K03303	hcn:HPB14_00670
ko:K03303	hcn:HPB14_00675
ko:K03575	hcn:HPB14_00680
ko:K00404	hcn:HPB14_00690
ko:K00405	hcn:HPB14_00695
ko:K00407	hcn:HPB14_00700
ko:K00406	hcn:HPB14_00705
ko:K01890	hcn:HPB14_04895
ko:K00800	hcn:HPB14_04900
ko:K03527	hcn:HPB14_04905
ko:K02945	hcn:HPB14_04910
ko:K03182	hcn:HPB14_04925
ko:K06997	hcn:HPB14_04930
ko:K03269	hcn:HPB14_04935
ko:K03415	hcn:HPB14_04940
ko:K03407	hcn:HPB14_04945
ko:K03408	hcn:HPB14_04950
ko:K11065	hcn:HPB14_04955
ko:K04564	hcn:HPB14_04960
ko:K15256	hcn:HPB14_04965
ko:K04066	hcn:HPB14_04970
ko:K02493	hcn:HPB14_05005
ko:K00262	hcn:HPB14_05010
ko:K01772	hcn:HPB14_05030
ko:K09761	hcn:HPB14_05040
ko:K01494	hcn:HPB14_05050
ko:K02160	hcn:HPB14_05055
ko:K01961	hcn:HPB14_05060
ko:K00573	hcn:HPB14_05095
ko:K07091	hcn:HPB14_05100
ko:K06173	hcn:HPB14_05105
ko:K01625	hcn:HPB14_05135
ko:K01690	hcn:HPB14_05140
ko:K00036	hcn:HPB14_05145
ko:K01057	hcn:HPB14_05150
ko:K13979	hcn:HPB14_05160
ko:K04562	hcn:HPB14_02020
ko:K02405	hcn:HPB14_02025
ko:K02416	hcn:HPB14_02030
ko:K02417	hcn:HPB14_02035
ko:K07478	hcn:HPB14_02055
ko:K05516	hcn:HPB14_02065
ko:K12506	hcn:HPB14_02085
ko:K00995	hcn:HPB14_02100
ko:K01714	hcn:HPB14_02115
ko:K02881	hcn:HPB14_06230
ko:K02933	hcn:HPB14_06235
ko:K02994	hcn:HPB14_06240
ko:K02954	hcn:HPB14_06245
ko:K02931	hcn:HPB14_06250
ko:K02895	hcn:HPB14_06255
ko:K02874	hcn:HPB14_06260
ko:K02961	hcn:HPB14_06265
ko:K02904	hcn:HPB14_06270
ko:K02878	hcn:HPB14_06275
ko:K02982	hcn:HPB14_06280
ko:K02890	hcn:HPB14_06285
ko:K02965	hcn:HPB14_06290
ko:K02886	hcn:HPB14_06295
ko:K02892	hcn:HPB14_06300
ko:K02926	hcn:HPB14_06305
ko:K02906	hcn:HPB14_06310
ko:K02946	hcn:HPB14_06315
ko:K07133	hcn:HPB14_06320
ko:K03470	hcn:HPB14_06330
ko:K07787	hcn:HPB14_06360
ko:K03686	hcn:HPB14_06375
ko:K00566	hcn:HPB14_06385
ko:K00969	hcn:HPB14_06395
ko:K07722	hcn:HPB14_06400
ko:K03561	hcn:HPB14_06405
ko:K03832	hcn:HPB14_06415
ko:K03284	hcn:HPB14_06430
ko:K00927	hcn:HPB14_06435
ko:K00134	hcn:HPB14_06440
ko:K03648	hcn:HPB14_06445
ko:K00655	hcn:HPB14_06450
ko:K03797	hcn:HPB14_06460
ko:K00767	hcn:HPB14_06485
ko:K03517	hcn:HPB14_06490
ko:K04042	hcn:HPB14_03270
ko:K07090	hcn:HPB14_03305
ko:K00812	hcn:HPB14_03325
ko:K11473	hcn:HPB14_03340
ko:K01736	hcn:HPB14_03355
ko:K03685	hcn:HPB14_03360
ko:K02434	hcn:HPB14_03380
ko:K07277	hcn:HPB14_03395
ko:K02217	hcn:HPB14_03405
ko:K01079	hcn:HPB14_03410
ko:K01744	hcn:HPB14_03425
ko:K00790	hcn:HPB14_03430
ko:K00963	hcn:HPB14_03440
ko:K08309	hcn:HPB14_03445
ko:K02221	hcn:HPB14_03450
ko:K06920	hcn:HPB14_03480
ko:K03620	hcn:HPB14_03510
ko:K03923	hcn:HPB14_03525
ko:K02388	hcn:HPB14_07595
ko:K02387	hcn:HPB14_07600
ko:K03588	hcn:HPB14_07605
ko:K02016	hcn:HPB14_07610
ko:K02073	hcn:HPB14_07620
ko:K05515	hcn:HPB14_07625
ko:K03978	hcn:HPB14_07635
ko:K09774	hcn:HPB14_07640
ko:K03270	hcn:HPB14_07650
ko:K03642	hcn:HPB14_07655
ko:K08307	hcn:HPB14_07660
ko:K03424	hcn:HPB14_07665
ko:K00793	hcn:HPB14_07670
ko:K04061	hcn:HPB14_07675
ko:K02071	hcn:HPB14_07680
ko:K02072	hcn:HPB14_07685
ko:K03474	hcn:HPB14_07705
ko:K00097	hcn:HPB14_07710
ko:K02392	hcn:HPB14_07720
ko:K01465	hcn:HPB14_01315
ko:K06168	hcn:HPB14_01330
ko:K09778	hcn:HPB14_01335
ko:K06940	hcn:HPB14_01355
ko:K01609	hcn:HPB14_01365
ko:K01524	hcn:HPB14_01375
ko:K02841	hcn:HPB14_01380
ko:K02517	hcn:HPB14_01385
ko:K00773	hcn:HPB14_01390
ko:K09944	hcn:HPB14_01395
ko:K01735	hcn:HPB14_01400
ko:K01586	hcn:HPB14_01435
ko:K01163	hcn:HPB14_01445
ko:K02397	hcn:HPB14_01460
ko:K02888	hcn:HPB14_01465
ko:K02899	hcn:HPB14_01470
ko:K12368	hcn:HPB14_01475
ko:K12370	hcn:HPB14_01485
ko:K12372	hcn:HPB14_01495
ko:K03979	hcn:HPB14_01500
ko:K01845	hcn:HPB14_01515
ko:K07226	hcn:HPB14_01555
ko:K01887	hcn:HPB14_01560
ko:K03116	hcn:HPB14_01565
ko:K00942	hcn:HPB14_01570
ko:K02393	hcn:HPB14_01595
ko:K02913	hcn:HPB14_05710
ko:K02358	hcn:HPB14_05715
ko:K00640	hcn:HPB14_05740
ko:K02110	hcn:HPB14_05745
ko:K00962	hcn:HPB14_05750
ko:K04744	hcn:HPB14_05760
ko:K01945	hcn:HPB14_05770
ko:K00806	hcn:HPB14_05780
ko:K06199	hcn:HPB14_05805
ko:K08311	hcn:HPB14_05825
ko:K00928	hcn:HPB14_05830
ko:K02341	hcn:HPB14_05840
ko:K00796	hcn:HPB14_05845
ko:K09804	hcn:HPB14_05865
ko:K01956	hcn:HPB14_05870
ko:K06287	hcn:HPB14_05885
ko:K01872	hcn:HPB14_05890
ko:K09794	hcn:HPB14_05895
ko:K02963	hcn:HPB14_05910
ko:K02990	hcn:HPB14_05920
ko:K02340	hcn:HPB14_05930
ko:K12573	hcn:HPB14_05935
ko:K00014	hcn:HPB14_05940
ko:K13894	hcn:HPB14_05950
ko:K13893	hcn:HPB14_05955
ko:K01867	hcn:HPB14_05960
ko:K14232	hcn:HPB14_t07813
ko:K14219	hcn:HPB14_t07807
ko:K16052	hcn:HPB14_04835
ko:K14224	hcn:HPB14_t07767
ko:K14221	hcn:HPB14_t07769
ko:K14237	hcn:HPB14_t07771
ko:K14224	hcn:HPB14_t07773
ko:K14229	hcn:HPB14_t07775
ko:K14237	hcn:HPB14_t07777
ko:K14220	hcn:HPB14_t07781
ko:K14219	hcn:HPB14_t07785
ko:K14233	hcn:HPB14_t07787
ko:K14232	hcn:HPB14_t07789
