ko:K00499	lpm:LP6_2245
ko:K14228	lpm:LP6_2318
ko:K14228	lpm:LP6_3012
ko:K14226	lpm:LP6_1843
ko:K14224	lpm:LP6_1857
ko:K14224	lpm:LP6_1858
ko:K14218	lpm:LP6_2781
ko:K14231	lpm:LP6_1911
ko:K14222	lpm:LP6_2319
ko:K01977	lpm:LP6_2782
ko:K01424	lpm:LP6_2903
ko:K03616	lpm:LP6_2911
ko:K02258	lpm:LP6_2926
ko:K02274	lpm:LP6_2927
ko:K01262	lpm:LP6_0082
ko:K07304	lpm:LP6_0109
ko:K02050	lpm:LP6_0125
ko:K02049	lpm:LP6_0126
ko:K06889	lpm:LP6_0168
ko:K07397	lpm:LP6_0168
ko:K02056	lpm:LP6_0189
ko:K07030	lpm:LP6_0205
ko:K01959	lpm:LP6_2696
ko:K01081	lpm:LP6_2709
ko:K01507	lpm:LP6_2793
ko:K03177	lpm:LP6_2799
ko:K02427	lpm:LP6_2826
ko:K05994	lpm:LP6_2842
ko:K00569	lpm:LP6_2864
ko:K00088	lpm:LP6_2872
ko:K01426	lpm:LP6_2881
ko:K07114	lpm:LP6_2883
ko:K07114	lpm:LP6_2884
ko:K07114	lpm:LP6_2885
ko:K03793	lpm:LP6_2892
ko:K01585	lpm:LP6_0006
ko:K03294	lpm:LP6_0027
ko:K03294	lpm:LP6_0052
ko:K12064	lpm:LP6_2113
ko:K15894	lpm:LP6_0759
ko:K03563	lpm:LP6_0771
ko:K03524	lpm:LP6_0773
ko:K06133	lpm:LP6_0774
ko:K01962	lpm:LP6_0775
ko:K04075	lpm:LP6_0776
ko:K01251	lpm:LP6_0790
ko:K03570	lpm:LP6_0797
ko:K06181	lpm:LP6_0798
ko:K00031	lpm:LP6_0800
ko:K06891	lpm:LP6_0801
ko:K03694	lpm:LP6_0802
ko:K03601	lpm:LP6_0807
ko:K12543	lpm:LP6_0808
ko:K11175	lpm:LP6_1651
ko:K00764	lpm:LP6_1653
ko:K01923	lpm:LP6_1654
ko:K01952	lpm:LP6_1655
ko:K01933	lpm:LP6_1656
ko:K01952	lpm:LP6_1657
ko:K04084	lpm:LP6_1659
ko:K01681	lpm:LP6_1669
ko:K13821	lpm:LP6_1673
ko:K03607	lpm:LP6_1675
ko:K03648	lpm:LP6_1677
ko:K01295	lpm:LP6_1682
ko:K00673	lpm:LP6_1683
ko:K06447	lpm:LP6_1684
ko:K01484	lpm:LP6_1685
ko:K02838	lpm:LP6_1688
ko:K09903	lpm:LP6_1689
ko:K02357	lpm:LP6_1690
ko:K02967	lpm:LP6_1691
ko:K01265	lpm:LP6_1696
ko:K00990	lpm:LP6_1697
ko:K11991	lpm:LP6_1698
ko:K01951	lpm:LP6_1699
ko:K01626	lpm:LP6_2563
ko:K16868	lpm:LP6_2567
ko:K13771	lpm:LP6_2568
ko:K06886	lpm:LP6_2569
ko:K03282	lpm:LP6_2574
ko:K06878	lpm:LP6_2582
ko:K07783	lpm:LP6_2588
ko:K03642	lpm:LP6_2589
ko:K17713	lpm:LP6_1520
ko:K03701	lpm:LP6_0377
ko:K03744	lpm:LP6_0378
ko:K03799	lpm:LP6_0379
ko:K07394	lpm:LP6_0383
ko:K07043	lpm:LP6_0384
ko:K02884	lpm:LP6_0388
ko:K00554	lpm:LP6_0389
ko:K02860	lpm:LP6_0390
ko:K02959	lpm:LP6_0391
ko:K03106	lpm:LP6_0392
ko:K02259	lpm:LP6_0404
ko:K07152	lpm:LP6_0406
ko:K00036	lpm:LP6_0409
ko:K01057	lpm:LP6_0410
ko:K01690	lpm:LP6_0411
ko:K01625	lpm:LP6_0413
ko:K07727	lpm:LP6_0416
ko:K01772	lpm:LP6_0418
ko:K03704	lpm:LP6_0419
ko:K03787	lpm:LP6_1264
ko:K06194	lpm:LP6_1265
ko:K00451	lpm:LP6_1267
ko:K01159	lpm:LP6_1269
ko:K03550	lpm:LP6_1270
ko:K06190	lpm:LP6_1277
ko:K08307	lpm:LP6_1278
ko:K07115	lpm:LP6_1280
ko:K01491	lpm:LP6_1282
ko:K06173	lpm:LP6_1287
ko:K01817	lpm:LP6_1288
ko:K01696	lpm:LP6_1289
ko:K01695	lpm:LP6_1290
ko:K01886	lpm:LP6_1291
ko:K01883	lpm:LP6_1292
ko:K07014	lpm:LP6_1293
ko:K02453	lpm:LP6_1302
ko:K05810	lpm:LP6_1313
ko:K06180	lpm:LP6_1314
ko:K06168	lpm:LP6_1315
ko:K05591	lpm:LP6_2145
ko:K03549	lpm:LP6_2148
ko:K03762	lpm:LP6_2154
ko:K00275	lpm:LP6_2160
ko:K13652	lpm:LP6_2176
ko:K00570	lpm:LP6_2181
ko:K02237	lpm:LP6_2192
ko:K02563	lpm:LP6_2194
ko:K00767	lpm:LP6_2195
ko:K01442	lpm:LP6_2198
ko:K07460	lpm:LP6_3033
ko:K07121	lpm:LP6_3034
ko:K07056	lpm:LP6_3035
ko:K00496	lpm:LP6_3036
ko:K03321	lpm:LP6_3037
ko:K03650	lpm:LP6_3040
ko:K03217	lpm:LP6_3041
ko:K03536	lpm:LP6_3042
ko:K02914	lpm:LP6_3043
ko:K02474	lpm:LP6_0816
ko:K01609	lpm:LP6_0823
ko:K00766	lpm:LP6_0824
ko:K06861	lpm:LP6_0826
ko:K09774	lpm:LP6_0827
ko:K11719	lpm:LP6_0828
ko:K03270	lpm:LP6_0829
ko:K06041	lpm:LP6_0830
ko:K02065	lpm:LP6_0831
ko:K02066	lpm:LP6_0832
ko:K07323	lpm:LP6_0834
ko:K07122	lpm:LP6_0835
ko:K00790	lpm:LP6_0837
ko:K09810	lpm:LP6_0839
ko:K09808	lpm:LP6_0840
ko:K10941	lpm:LP6_0843
ko:K02194	lpm:LP6_0847
ko:K02195	lpm:LP6_0848
ko:K02197	lpm:LP6_0849
ko:K02198	lpm:LP6_0850
ko:K02199	lpm:LP6_0851
ko:K00602	lpm:LP6_0452
ko:K02687	lpm:LP6_0453
ko:K01961	lpm:LP6_0454
ko:K02160	lpm:LP6_0455
ko:K03786	lpm:LP6_0456
ko:K01960	lpm:LP6_0457
ko:K01623	lpm:LP6_0461
ko:K17103	lpm:LP6_0465
ko:K05808	lpm:LP6_0467
ko:K03092	lpm:LP6_0468
ko:K02913	lpm:LP6_0469
ko:K02902	lpm:LP6_0470
ko:K03439	lpm:LP6_0472
ko:K04088	lpm:LP6_0475
ko:K04087	lpm:LP6_0476
ko:K01939	lpm:LP6_0477
ko:K02422	lpm:LP6_1318
ko:K02407	lpm:LP6_1319
ko:K02406	lpm:LP6_1321
ko:K01963	lpm:LP6_1322
ko:K11754	lpm:LP6_1323
ko:K03749	lpm:LP6_1324
ko:K03558	lpm:LP6_1325
ko:K00969	lpm:LP6_1326
ko:K02340	lpm:LP6_1327
ko:K03643	lpm:LP6_1328
ko:K01869	lpm:LP6_1329
ko:K03820	lpm:LP6_1330
ko:K07516	lpm:LP6_1333
ko:K02460	lpm:LP6_1339
ko:K02459	lpm:LP6_1340
ko:K02458	lpm:LP6_1341
ko:K02457	lpm:LP6_1342
ko:K02456	lpm:LP6_1343
ko:K02455	lpm:LP6_1344
ko:K01915	lpm:LP6_1345
ko:K09861	lpm:LP6_1347
ko:K04079	lpm:LP6_1350
ko:K03557	lpm:LP6_1351
ko:K00748	lpm:LP6_1352
ko:K03470	lpm:LP6_1354
ko:K05837	lpm:LP6_1355
ko:K05515	lpm:LP6_1356
ko:K00783	lpm:LP6_1357
ko:K09710	lpm:LP6_1358
ko:K03305	lpm:LP6_1359
ko:K01712	lpm:LP6_1360
ko:K01745	lpm:LP6_1361
ko:K00154	lpm:LP6_1362
ko:K15724	lpm:LP6_1369
ko:K00566	lpm:LP6_1370
ko:K07040	lpm:LP6_1371
ko:K02911	lpm:LP6_1372
ko:K03321	lpm:LP6_2200
ko:K01756	lpm:LP6_2201
ko:K00278	lpm:LP6_2202
ko:K03517	lpm:LP6_2203
ko:K08218	lpm:LP6_2206
ko:K03773	lpm:LP6_2207
ko:K01752	lpm:LP6_2208
ko:K04080	lpm:LP6_2218
ko:K13993	lpm:LP6_2219
ko:K01673	lpm:LP6_2221
ko:K03305	lpm:LP6_2225
ko:K14415	lpm:LP6_2228
ko:K07071	lpm:LP6_2241
ko:K00648	lpm:LP6_2255
ko:K00951	lpm:LP6_1438
ko:K09165	lpm:LP6_0854
ko:K03652	lpm:LP6_0856
ko:K03654	lpm:LP6_0857
ko:K02837	lpm:LP6_0862
ko:K00325	lpm:LP6_0864
ko:K00324	lpm:LP6_0865
ko:K00324	lpm:LP6_0866
ko:K03609	lpm:LP6_1701
ko:K03608	lpm:LP6_1702
ko:K03281	lpm:LP6_1710
ko:K13503	lpm:LP6_1711
ko:K02435	lpm:LP6_1712
ko:K02434	lpm:LP6_1714
ko:K03557	lpm:LP6_1720
ko:K04487	lpm:LP6_1723
ko:K15396	lpm:LP6_1724
ko:K04773	lpm:LP6_1726
ko:K03695	lpm:LP6_1727
ko:K02558	lpm:LP6_1730
ko:K02413	lpm:LP6_1733
ko:K02412	lpm:LP6_1734
ko:K02411	lpm:LP6_1735
ko:K07461	lpm:LP6_0480
ko:K03402	lpm:LP6_0481
ko:K02029	lpm:LP6_0483
ko:K01940	lpm:LP6_0485
ko:K01755	lpm:LP6_0486
ko:K00611	lpm:LP6_0487
ko:K01999	lpm:LP6_0489
ko:K03797	lpm:LP6_0490
ko:K15633	lpm:LP6_0492
ko:K00806	lpm:LP6_0495
ko:K00981	lpm:LP6_0496
ko:K11749	lpm:LP6_0497
ko:K07277	lpm:LP6_0498
ko:K06142	lpm:LP6_0499
ko:K02536	lpm:LP6_0500
ko:K02372	lpm:LP6_0501
ko:K00677	lpm:LP6_0502
ko:K06199	lpm:LP6_0503
ko:K01875	lpm:LP6_0504
ko:K00242	lpm:LP6_0522
ko:K00239	lpm:LP6_0523
ko:K00240	lpm:LP6_0524
ko:K00164	lpm:LP6_0525
ko:K00658	lpm:LP6_0526
ko:K01903	lpm:LP6_0527
ko:K01902	lpm:LP6_0528
ko:K00275	lpm:LP6_0529
ko:K03621	lpm:LP6_1373
ko:K00648	lpm:LP6_1374
ko:K00645	lpm:LP6_1375
ko:K02078	lpm:LP6_1377
ko:K09458	lpm:LP6_1378
ko:K07082	lpm:LP6_1379
ko:K00943	lpm:LP6_1380
ko:K02341	lpm:LP6_1381
ko:K02676	lpm:LP6_1382
ko:K03424	lpm:LP6_1383
ko:K09001	lpm:LP6_1384
ko:K08160	lpm:LP6_1386
ko:K07501	lpm:LP6_1390
ko:K00111	lpm:LP6_1394
ko:K00864	lpm:LP6_1395
ko:K01647	lpm:LP6_1396
ko:K00757	lpm:LP6_1397
ko:K02469	lpm:LP6_1398
ko:K00831	lpm:LP6_1399
ko:K00800	lpm:LP6_1400
ko:K00945	lpm:LP6_1401
ko:K02945	lpm:LP6_1402
ko:K13017	lpm:LP6_1405
ko:K01591	lpm:LP6_1406
ko:K07001	lpm:LP6_1407
ko:K07124	lpm:LP6_1408
ko:K03179	lpm:LP6_1411
ko:K03815	lpm:LP6_1415
ko:K06189	lpm:LP6_1420
ko:K07042	lpm:LP6_1421
ko:K07053	lpm:LP6_1423
ko:K01867	lpm:LP6_1425
ko:K05896	lpm:LP6_1426
ko:K00648	lpm:LP6_2260
ko:K02078	lpm:LP6_2261
ko:K08154	lpm:LP6_2262
ko:K04561	lpm:LP6_2264
ko:K02410	lpm:LP6_1736
ko:K02409	lpm:LP6_1737
ko:K02408	lpm:LP6_1738
ko:K07478	lpm:LP6_1741
ko:K03634	lpm:LP6_1742
ko:K03466	lpm:LP6_1743
ko:K00384	lpm:LP6_1744
ko:K00684	lpm:LP6_1745
ko:K02518	lpm:LP6_1747
ko:K03592	lpm:LP6_1748
ko:K00252	lpm:LP6_2612
ko:K11381	lpm:LP6_2613
ko:K08641	lpm:LP6_2616
ko:K07259	lpm:LP6_2620
ko:K03500	lpm:LP6_2624
ko:K00604	lpm:LP6_2625
ko:K01462	lpm:LP6_2626
ko:K04096	lpm:LP6_2628
ko:K03168	lpm:LP6_2630
ko:K02535	lpm:LP6_2639
ko:K03531	lpm:LP6_2640
ko:K03590	lpm:LP6_2641
ko:K03589	lpm:LP6_2642
ko:K01921	lpm:LP6_2643
ko:K00075	lpm:LP6_2644
ko:K01924	lpm:LP6_2645
ko:K03588	lpm:LP6_2646
ko:K01925	lpm:LP6_2647
ko:K01000	lpm:LP6_2648
ko:K01929	lpm:LP6_2649
ko:K00761	lpm:LP6_2271
ko:K11103	lpm:LP6_2274
ko:K03975	lpm:LP6_2276
ko:K01915	lpm:LP6_2281
ko:K09930	lpm:LP6_2283
ko:K03821	lpm:LP6_2289
ko:K00925	lpm:LP6_2291
ko:K05516	lpm:LP6_2292
ko:K09941	lpm:LP6_2295
ko:K05813	lpm:LP6_2302
ko:K01126	lpm:LP6_2303
ko:K00263	lpm:LP6_2305
ko:K00457	lpm:LP6_2307
ko:K16171	lpm:LP6_2308
ko:K01893	lpm:LP6_2311
ko:K02313	lpm:LP6_0001
ko:K02338	lpm:LP6_0002
ko:K03629	lpm:LP6_0003
ko:K02470	lpm:LP6_0004
ko:K10536	lpm:LP6_0005
ko:K12251	lpm:LP6_0007
ko:K03666	lpm:LP6_0010
ko:K03665	lpm:LP6_0011
ko:K06911	lpm:LP6_0014
ko:K01207	lpm:LP6_0874
ko:K02452	lpm:LP6_0884
ko:K07301	lpm:LP6_0886
ko:K03575	lpm:LP6_0888
ko:K02399	lpm:LP6_0896
ko:K02398	lpm:LP6_0897
ko:K02386	lpm:LP6_0898
ko:K03525	lpm:LP6_0901
ko:K03438	lpm:LP6_0902
ko:K03586	lpm:LP6_0903
ko:K03587	lpm:LP6_0904
ko:K01928	lpm:LP6_0905
ko:K03473	lpm:LP6_0906
ko:K03521	lpm:LP6_0910
ko:K03522	lpm:LP6_0911
ko:K00259	lpm:LP6_0912
ko:K05366	lpm:LP6_0913
ko:K02662	lpm:LP6_0915
ko:K02666	lpm:LP6_0919
ko:K00891	lpm:LP6_0920
ko:K01735	lpm:LP6_0921
ko:K04567	lpm:LP6_1754
ko:K02836	lpm:LP6_1755
ko:K02557	lpm:LP6_1757
ko:K02556	lpm:LP6_1758
ko:K02405	lpm:LP6_1759
ko:K04562	lpm:LP6_1760
ko:K02404	lpm:LP6_1761
ko:K02400	lpm:LP6_1762
ko:K02401	lpm:LP6_1763
ko:K02421	lpm:LP6_1764
ko:K02420	lpm:LP6_1765
ko:K02419	lpm:LP6_1766
ko:K02418	lpm:LP6_1767
ko:K02417	lpm:LP6_1768
ko:K02416	lpm:LP6_1769
ko:K01872	lpm:LP6_1777
ko:K03565	lpm:LP6_1778
ko:K03557	lpm:LP6_0535
ko:K00948	lpm:LP6_0536
ko:K02494	lpm:LP6_0539
ko:K00954	lpm:LP6_0538
ko:K00655	lpm:LP6_0542
ko:K02346	lpm:LP6_0545
ko:K00023	lpm:LP6_0551
ko:K00023	lpm:LP6_0552
ko:K06373	lpm:LP6_0556
ko:K03306	lpm:LP6_0564
ko:K07220	lpm:LP6_0565
ko:K07735	lpm:LP6_0567
ko:K07447	lpm:LP6_0568
ko:K00609	lpm:LP6_0569
ko:K07391	lpm:LP6_0571
ko:K04752	lpm:LP6_0573
ko:K05939	lpm:LP6_0578
ko:K03821	lpm:LP6_0581
ko:K09014	lpm:LP6_0583
ko:K09013	lpm:LP6_0584
ko:K09015	lpm:LP6_0585
ko:K11717	lpm:LP6_0586
ko:K04568	lpm:LP6_0588
ko:K06968	lpm:LP6_0589
ko:K06024	lpm:LP6_1427
ko:K06178	lpm:LP6_1428
ko:K03215	lpm:LP6_1437
ko:K14261	lpm:LP6_1440
ko:K07462	lpm:LP6_1442
ko:K05539	lpm:LP6_1443
ko:K03070	lpm:LP6_1444
ko:K00859	lpm:LP6_1448
ko:K00833	lpm:LP6_1452
ko:K01012	lpm:LP6_1453
ko:K02170	lpm:LP6_1455
ko:K01935	lpm:LP6_1456
ko:K01876	lpm:LP6_1458
ko:K05802	lpm:LP6_1459
ko:K03573	lpm:LP6_1460
ko:K03555	lpm:LP6_1783
ko:K07278	lpm:LP6_1784
ko:K09800	lpm:LP6_1785
ko:K01698	lpm:LP6_1786
ko:K06076	lpm:LP6_1788
ko:K12526	lpm:LP6_1789
ko:K04761	lpm:LP6_1793
ko:K00912	lpm:LP6_1796
ko:K00253	lpm:LP6_1802
ko:K01969	lpm:LP6_1805
ko:K13766	lpm:LP6_1806
ko:K01968	lpm:LP6_1807
ko:K03528	lpm:LP6_2650
ko:K03529	lpm:LP6_2651
ko:K03624	lpm:LP6_2655
ko:K01955	lpm:LP6_2656
ko:K07007	lpm:LP6_2658
ko:K11720	lpm:LP6_2660
ko:K07091	lpm:LP6_2661
ko:K01255	lpm:LP6_2662
ko:K02339	lpm:LP6_2663
ko:K01255	lpm:LP6_2665
ko:K03980	lpm:LP6_2666
ko:K02968	lpm:LP6_2667
ko:K03703	lpm:LP6_2676
ko:K07689	lpm:LP6_2677
ko:K00500	lpm:LP6_2678
ko:K03979	lpm:LP6_2680
ko:K02899	lpm:LP6_2681
ko:K02888	lpm:LP6_2682
ko:K02897	lpm:LP6_2683
ko:K01056	lpm:LP6_2684
ko:K06942	lpm:LP6_2685
ko:K02523	lpm:LP6_2687
ko:K04759	lpm:LP6_2689
ko:K04758	lpm:LP6_2690
ko:K06916	lpm:LP6_2691
ko:K07018	lpm:LP6_2692
ko:K00606	lpm:LP6_2693
ko:K01918	lpm:LP6_2694
ko:K03089	lpm:LP6_2699
ko:K09811	lpm:LP6_2700
ko:K09812	lpm:LP6_2701
ko:K03110	lpm:LP6_2702
ko:K01256	lpm:LP6_1476
ko:K03789	lpm:LP6_1480
ko:K00382	lpm:LP6_1481
ko:K00627	lpm:LP6_1482
ko:K09810	lpm:LP6_2313
ko:K09808	lpm:LP6_2314
ko:K06911	lpm:LP6_2315
ko:K01118	lpm:LP6_2316
ko:K01091	lpm:LP6_2322
ko:K08300	lpm:LP6_2324
ko:K03580	lpm:LP6_2326
ko:K00133	lpm:LP6_2329
ko:K01736	lpm:LP6_2330
ko:K07320	lpm:LP6_2331
ko:K00057	lpm:LP6_2335
ko:K01776	lpm:LP6_2336
ko:K01714	lpm:LP6_2341
ko:K00019	lpm:LP6_2343
ko:K07001	lpm:LP6_2344
ko:K02556	lpm:LP6_2345
ko:K02557	lpm:LP6_2346
ko:K03837	lpm:LP6_2348
ko:K02670	lpm:LP6_2350
ko:K04485	lpm:LP6_2353
ko:K03602	lpm:LP6_2356
ko:K00795	lpm:LP6_2357
ko:K02169	lpm:LP6_2359
ko:K11749	lpm:LP6_2360
ko:K02492	lpm:LP6_2363
ko:K02835	lpm:LP6_2364
ko:K02493	lpm:LP6_2365
ko:K06204	lpm:LP6_2366
ko:K09889	lpm:LP6_0022
ko:K13979	lpm:LP6_0593
ko:K01462	lpm:LP6_0596
ko:K06048	lpm:LP6_0598
ko:K06879	lpm:LP6_0600
ko:K01246	lpm:LP6_0602
ko:K02655	lpm:LP6_0610
ko:K02673	lpm:LP6_0612
ko:K02672	lpm:LP6_0613
ko:K02671	lpm:LP6_0614
ko:K08084	lpm:LP6_0615
ko:K01839	lpm:LP6_0622
ko:K01419	lpm:LP6_0623
ko:K03667	lpm:LP6_0624
ko:K07058	lpm:LP6_0627
ko:K03809	lpm:LP6_0629
ko:K01142	lpm:LP6_0631
ko:K12297	lpm:LP6_0023
ko:K12973	lpm:LP6_0026
ko:K03306	lpm:LP6_0028
ko:K06134	lpm:LP6_0029
ko:K09996	lpm:LP6_0037
ko:K07038	lpm:LP6_0040
ko:K01626	lpm:LP6_0069
ko:K07002	lpm:LP6_0073
ko:K00812	lpm:LP6_0076
ko:K03702	lpm:LP6_0077
ko:K11753	lpm:LP6_0924
ko:K01870	lpm:LP6_0925
ko:K03101	lpm:LP6_0926
ko:K03584	lpm:LP6_0931
ko:K03474	lpm:LP6_0934
ko:K00174	lpm:LP6_0935
ko:K00175	lpm:LP6_0936
ko:K03568	lpm:LP6_0939
ko:K07001	lpm:LP6_0940
ko:K03723	lpm:LP6_0942
ko:K09760	lpm:LP6_0943
ko:K01972	lpm:LP6_0946
ko:K02034	lpm:LP6_0949
ko:K02337	lpm:LP6_0950
ko:K06885	lpm:LP6_0969
ko:K01640	lpm:LP6_1808
ko:K02071	lpm:LP6_1811
ko:K02072	lpm:LP6_1812
ko:K02073	lpm:LP6_1813
ko:K15984	lpm:LP6_1816
ko:K03273	lpm:LP6_1817
ko:K01879	lpm:LP6_1818
ko:K01878	lpm:LP6_1819
ko:K03657	lpm:LP6_1821
ko:K07560	lpm:LP6_1823
ko:K04754	lpm:LP6_1824
ko:K01920	lpm:LP6_1825
ko:K01919	lpm:LP6_1826
ko:K00876	lpm:LP6_1832
ko:K00208	lpm:LP6_1833
ko:K03770	lpm:LP6_1834
ko:K03530	lpm:LP6_1837
ko:K01338	lpm:LP6_1838
ko:K03544	lpm:LP6_1839
ko:K01358	lpm:LP6_1840
ko:K03545	lpm:LP6_1841
ko:K06158	lpm:LP6_1847
ko:K03685	lpm:LP6_1848
ko:K03100	lpm:LP6_1850
ko:K03596	lpm:LP6_1851
ko:K02461	lpm:LP6_1853
ko:K02462	lpm:LP6_1854
ko:K01129	lpm:LP6_1856
ko:K01666	lpm:LP6_2713
ko:K12982	lpm:LP6_2727
ko:K00791	lpm:LP6_2729
ko:K03572	lpm:LP6_2730
ko:K01448	lpm:LP6_2731
ko:K06925	lpm:LP6_2732
ko:K03600	lpm:LP6_2734
ko:K03599	lpm:LP6_2735
ko:K00413	lpm:LP6_2736
ko:K00412	lpm:LP6_2737
ko:K00411	lpm:LP6_2738
ko:K02996	lpm:LP6_2739
ko:K02871	lpm:LP6_2740
ko:K04764	lpm:LP6_2742
ko:K01890	lpm:LP6_2743
ko:K01889	lpm:LP6_2744
ko:K02887	lpm:LP6_2745
ko:K02916	lpm:LP6_2746
ko:K02520	lpm:LP6_2747
ko:K01868	lpm:LP6_2748
ko:K09131	lpm:LP6_2750
ko:K06048	lpm:LP6_2753
ko:K01142	lpm:LP6_0632
ko:K02909	lpm:LP6_0633
ko:K00029	lpm:LP6_0634
ko:K03834	lpm:LP6_0638
ko:K03834	lpm:LP6_0639
ko:K01993	lpm:LP6_0642
ko:K00163	lpm:LP6_1483
ko:K03807	lpm:LP6_1484
ko:K03642	lpm:LP6_1486
ko:K00824	lpm:LP6_1488
ko:K09158	lpm:LP6_1489
ko:K03801	lpm:LP6_1490
ko:K12541	lpm:LP6_1494
ko:K12542	lpm:LP6_1495
ko:K00760	lpm:LP6_1497
ko:K02652	lpm:LP6_1500
ko:K02654	lpm:LP6_1502
ko:K09773	lpm:LP6_1506
ko:K01720	lpm:LP6_1507
ko:K15461	lpm:LP6_1510
ko:K03305	lpm:LP6_1511
ko:K01845	lpm:LP6_1512
ko:K08973	lpm:LP6_1514
ko:K00950	lpm:LP6_1517
ko:K03977	lpm:LP6_1519
ko:K01892	lpm:LP6_1522
ko:K02656	lpm:LP6_1524
ko:K06941	lpm:LP6_1525
ko:K00940	lpm:LP6_1526
ko:K06169	lpm:LP6_1528
ko:K03269	lpm:LP6_1530
ko:K03610	lpm:LP6_1531
ko:K09996	lpm:LP6_1533
ko:K01665	lpm:LP6_1535
ko:K02527	lpm:LP6_2368
ko:K05801	lpm:LP6_2369
ko:K05592	lpm:LP6_2373
