ko:K01006	lmot:LMOSLCC2540_1949
ko:K03527	lmot:LMOSLCC2540_1530
ko:K06967	lmot:LMOSLCC2540_1532
ko:K03086	lmot:LMOSLCC2540_1533
ko:K09768	lmot:LMOSLCC2540_1535
ko:K09773	lmot:LMOSLCC2540_1536
ko:K01879	lmot:LMOSLCC2540_1537
ko:K01878	lmot:LMOSLCC2540_1538
ko:K03584	lmot:LMOSLCC2540_1539
ko:K07042	lmot:LMOSLCC2540_1544
ko:K07037	lmot:LMOSLCC2540_1545
ko:K09117	lmot:LMOSLCC2540_1547
ko:K02970	lmot:LMOSLCC2540_1548
ko:K09761	lmot:LMOSLCC2540_1549
ko:K02687	lmot:LMOSLCC2540_1550
ko:K03686	lmot:LMOSLCC2540_1551
ko:K04043	lmot:LMOSLCC2540_1552
ko:K03687	lmot:LMOSLCC2540_1553
ko:K03705	lmot:LMOSLCC2540_1554
ko:K03596	lmot:LMOSLCC2540_1558
ko:K02968	lmot:LMOSLCC2540_1559
ko:K02340	lmot:LMOSLCC2540_1560
ko:K02237	lmot:LMOSLCC2540_1563
ko:K09710	lmot:LMOSLCC2540_1565
ko:K01624	lmot:LMOSLCC2540_2230
ko:K01624	lmot:LMOSLCC2540_2231
ko:K03710	lmot:LMOSLCC2540_2242
ko:K03671	lmot:LMOSLCC2540_2250
ko:K08177	lmot:LMOSLCC2540_2269
ko:K00969	lmot:LMOSLCC2540_1567
ko:K07574	lmot:LMOSLCC2540_1568
ko:K00014	lmot:LMOSLCC2540_1569
ko:K07015	lmot:LMOSLCC2540_1571
ko:K03624	lmot:LMOSLCC2540_1575
ko:K00876	lmot:LMOSLCC2540_1576
ko:K07082	lmot:LMOSLCC2540_1578
ko:K07447	lmot:LMOSLCC2540_1581
ko:K01872	lmot:LMOSLCC2540_1583
ko:K02003	lmot:LMOSLCC2540_1584
ko:K03581	lmot:LMOSLCC2540_1588
ko:K00566	lmot:LMOSLCC2540_1591
ko:K04487	lmot:LMOSLCC2540_1592
ko:K07478	lmot:LMOSLCC2540_1593
ko:K03320	lmot:LMOSLCC2540_1595
ko:K04751	lmot:LMOSLCC2540_1596
ko:K01876	lmot:LMOSLCC2540_1598
ko:K01892	lmot:LMOSLCC2540_1599
ko:K01448	lmot:LMOSLCC2540_1600
ko:K07560	lmot:LMOSLCC2540_1601
ko:K00759	lmot:LMOSLCC2540_1603
ko:K07462	lmot:LMOSLCC2540_1604
ko:K12257	lmot:LMOSLCC2540_1606
ko:K03210	lmot:LMOSLCC2540_1608
ko:K00773	lmot:LMOSLCC2540_1609
ko:K07568	lmot:LMOSLCC2540_1610
ko:K03551	lmot:LMOSLCC2540_1611
ko:K03550	lmot:LMOSLCC2540_1612
ko:K08600	lmot:LMOSLCC2540_2280
ko:K02013	lmot:LMOSLCC2540_2281
ko:K02015	lmot:LMOSLCC2540_2282
ko:K02016	lmot:LMOSLCC2540_2283
ko:K08602	lmot:LMOSLCC2540_2287
ko:K15581	lmot:LMOSLCC2540_2294
ko:K15580	lmot:LMOSLCC2540_2295
ko:K01867	lmot:LMOSLCC2540_2297
ko:K09458	lmot:LMOSLCC2540_2300
ko:K00648	lmot:LMOSLCC2540_2301
ko:K03695	lmot:LMOSLCC2540_2305
ko:K06890	lmot:LMOSLCC2540_2306
ko:K01772	lmot:LMOSLCC2540_2310
ko:K01599	lmot:LMOSLCC2540_2311
ko:K02503	lmot:LMOSLCC2540_2315
ko:K05340	lmot:LMOSLCC2540_0443
ko:K03924	lmot:LMOSLCC2540_0470
ko:K09703	lmot:LMOSLCC2540_0473
ko:K06885	lmot:LMOSLCC2540_0483
ko:K06941	lmot:LMOSLCC2540_0487
ko:K13653	lmot:LMOSLCC2540_0488
ko:K02911	lmot:LMOSLCC2540_0492
ko:K03979	lmot:LMOSLCC2540_1616
ko:K00864	lmot:LMOSLCC2540_1617
ko:K02440	lmot:LMOSLCC2540_1618
ko:K02899	lmot:LMOSLCC2540_1619
ko:K02888	lmot:LMOSLCC2540_1621
ko:K08301	lmot:LMOSLCC2540_1622
ko:K03609	lmot:LMOSLCC2540_1623
ko:K03610	lmot:LMOSLCC2540_1624
ko:K03571	lmot:LMOSLCC2540_1625
ko:K03570	lmot:LMOSLCC2540_1626
ko:K03569	lmot:LMOSLCC2540_1627
ko:K03630	lmot:LMOSLCC2540_1628
ko:K11754	lmot:LMOSLCC2540_1631
ko:K01873	lmot:LMOSLCC2540_1632
ko:K01845	lmot:LMOSLCC2540_1633
ko:K01698	lmot:LMOSLCC2540_1634
ko:K01749	lmot:LMOSLCC2540_1636
ko:K02492	lmot:LMOSLCC2540_1637
ko:K03978	lmot:LMOSLCC2540_1638
ko:K01868	lmot:LMOSLCC2540_1639
ko:K07738	lmot:LMOSLCC2540_1642
ko:K00859	lmot:LMOSLCC2540_1643
ko:K00031	lmot:LMOSLCC2540_1646
ko:K01647	lmot:LMOSLCC2540_1647
ko:K07113	lmot:LMOSLCC2540_1649
ko:K00873	lmot:LMOSLCC2540_1650
ko:K00850	lmot:LMOSLCC2540_1651
ko:K01962	lmot:LMOSLCC2540_1652
ko:K01963	lmot:LMOSLCC2540_1653
ko:K02337	lmot:LMOSLCC2540_1654
ko:K00259	lmot:LMOSLCC2540_1659
ko:K00014	lmot:LMOSLCC2540_2335
ko:K13531	lmot:LMOSLCC2540_2341
ko:K13530	lmot:LMOSLCC2540_2342
ko:K06180	lmot:LMOSLCC2540_2343
ko:K07220	lmot:LMOSLCC2540_2347
ko:K03306	lmot:LMOSLCC2540_2348
ko:K06901	lmot:LMOSLCC2540_2353
ko:K05520	lmot:LMOSLCC2540_2355
ko:K02759	lmot:LMOSLCC2540_2357
ko:K02250	lmot:LMOSLCC2540_2368
ko:K02768	lmot:LMOSLCC2540_2370
ko:K02769	lmot:LMOSLCC2540_2370
ko:K02770	lmot:LMOSLCC2540_2370
ko:K00925	lmot:LMOSLCC2540_1661
ko:K11065	lmot:LMOSLCC2540_1663
ko:K04773	lmot:LMOSLCC2540_1665
ko:K00858	lmot:LMOSLCC2540_1666
ko:K00611	lmot:LMOSLCC2540_1667
ko:K00930	lmot:LMOSLCC2540_1669
ko:K00620	lmot:LMOSLCC2540_1670
ko:K00145	lmot:LMOSLCC2540_1671
ko:K03151	lmot:LMOSLCC2540_1672
ko:K04487	lmot:LMOSLCC2540_1673
ko:K02986	lmot:LMOSLCC2540_1676
ko:K01866	lmot:LMOSLCC2540_1677
ko:K02529	lmot:LMOSLCC2540_1678
ko:K13853	lmot:LMOSLCC2540_1679
ko:K01924	lmot:LMOSLCC2540_1684
ko:K03466	lmot:LMOSLCC2540_1685
ko:K06878	lmot:LMOSLCC2540_1686
ko:K03439	lmot:LMOSLCC2540_1695
ko:K00824	lmot:LMOSLCC2540_1699
ko:K00299	lmot:LMOSLCC2540_2386
ko:K01421	lmot:LMOSLCC2540_2395
ko:K01695	lmot:LMOSLCC2540_1707
ko:K01696	lmot:LMOSLCC2540_1708
ko:K01817	lmot:LMOSLCC2540_1709
ko:K01609	lmot:LMOSLCC2540_1710
ko:K00766	lmot:LMOSLCC2540_1711
ko:K01657	lmot:LMOSLCC2540_1713
ko:K04072	lmot:LMOSLCC2540_1714
ko:K01246	lmot:LMOSLCC2540_1719
ko:K01681	lmot:LMOSLCC2540_1721
ko:K03547	lmot:LMOSLCC2540_1726
ko:K00655	lmot:LMOSLCC2540_1727
ko:K02357	lmot:LMOSLCC2540_1737
ko:K02967	lmot:LMOSLCC2540_1738
ko:K07106	lmot:LMOSLCC2540_1741
ko:K01869	lmot:LMOSLCC2540_1743
ko:K07139	lmot:LMOSLCC2540_1744
ko:K01953	lmot:LMOSLCC2540_1746
ko:K00789	lmot:LMOSLCC2540_1747
ko:K01810	lmot:LMOSLCC2540_2402
ko:K14155	lmot:LMOSLCC2540_2405
ko:K02003	lmot:LMOSLCC2540_2407
ko:K02760	lmot:LMOSLCC2540_2408
ko:K00928	lmot:LMOSLCC2540_2409
ko:K05566	lmot:LMOSLCC2540_2414
ko:K05567	lmot:LMOSLCC2540_2415
ko:K05569	lmot:LMOSLCC2540_2417
ko:K05571	lmot:LMOSLCC2540_2419
ko:K09775	lmot:LMOSLCC2540_2421
ko:K03885	lmot:LMOSLCC2540_2425
ko:K07090	lmot:LMOSLCC2540_2439
ko:K09014	lmot:LMOSLCC2540_2443
ko:K11717	lmot:LMOSLCC2540_2445
ko:K09015	lmot:LMOSLCC2540_2446
ko:K09013	lmot:LMOSLCC2540_2447
ko:K08998	lmot:LMOSLCC2540_1753
ko:K01911	lmot:LMOSLCC2540_1755
ko:K01661	lmot:LMOSLCC2540_1756
ko:K02551	lmot:LMOSLCC2540_1758
ko:K02548	lmot:LMOSLCC2540_1760
ko:K00549	lmot:LMOSLCC2540_1764
ko:K01845	lmot:LMOSLCC2540_1768
ko:K10780	lmot:LMOSLCC2540_1771
ko:K03575	lmot:LMOSLCC2540_1772
ko:K07038	lmot:LMOSLCC2540_1773
ko:K02073	lmot:LMOSLCC2540_2449
ko:K02072	lmot:LMOSLCC2540_2450
ko:K02071	lmot:LMOSLCC2540_2451
ko:K02437	lmot:LMOSLCC2540_2457
ko:K05837	lmot:LMOSLCC2540_2459
ko:K05837	lmot:LMOSLCC2540_2460
ko:K02013	lmot:LMOSLCC2540_2461
ko:K02015	lmot:LMOSLCC2540_2462
ko:K02016	lmot:LMOSLCC2540_2463
ko:K03664	lmot:LMOSLCC2540_2481
ko:K12573	lmot:LMOSLCC2540_2482
ko:K03928	lmot:LMOSLCC2540_2483
ko:K03075	lmot:LMOSLCC2540_2484
ko:K01689	lmot:LMOSLCC2540_2488
ko:K15633	lmot:LMOSLCC2540_2489
ko:K01803	lmot:LMOSLCC2540_2490
ko:K00927	lmot:LMOSLCC2540_2491
ko:K00134	lmot:LMOSLCC2540_2492
ko:K05311	lmot:LMOSLCC2540_2493
ko:K03092	lmot:LMOSLCC2540_2494
ko:K01273	lmot:LMOSLCC2540_2495
ko:K00014	lmot:LMOSLCC2540_0496
ko:K03785	lmot:LMOSLCC2540_0497
ko:K06978	lmot:LMOSLCC2540_0499
ko:K01808	lmot:LMOSLCC2540_0504
ko:K01783	lmot:LMOSLCC2540_0505
ko:K02773	lmot:LMOSLCC2540_0509
ko:K01783	lmot:LMOSLCC2540_0511
ko:K02774	lmot:LMOSLCC2540_0513
ko:K00948	lmot:LMOSLCC2540_0515
ko:K07282	lmot:LMOSLCC2540_0522
ko:K08987	lmot:LMOSLCC2540_0524
ko:K07166	lmot:LMOSLCC2540_0538
ko:K09157	lmot:LMOSLCC2540_0539
ko:K02083	lmot:LMOSLCC2540_0542
ko:K03565	lmot:LMOSLCC2540_1776
ko:K07071	lmot:LMOSLCC2540_1777
ko:K14205	lmot:LMOSLCC2540_1778
ko:K03790	lmot:LMOSLCC2540_1781
ko:K07058	lmot:LMOSLCC2540_1789
ko:K01265	lmot:LMOSLCC2540_1792
ko:K03839	lmot:LMOSLCC2540_1793
ko:K03569	lmot:LMOSLCC2540_1796
ko:K02759	lmot:LMOSLCC2540_1802
ko:K02760	lmot:LMOSLCC2540_1803
ko:K02529	lmot:LMOSLCC2540_1807
ko:K05349	lmot:LMOSLCC2540_1809
ko:K00266	lmot:LMOSLCC2540_1813
ko:K08317	lmot:LMOSLCC2540_1817
ko:K02029	lmot:LMOSLCC2540_1820
ko:K01358	lmot:LMOSLCC2540_2501
ko:K06958	lmot:LMOSLCC2540_2507
ko:K00384	lmot:LMOSLCC2540_2511
ko:K06019	lmot:LMOSLCC2540_2514
ko:K13292	lmot:LMOSLCC2540_2515
ko:K08972	lmot:LMOSLCC2540_2517
ko:K03701	lmot:LMOSLCC2540_2521
ko:K03702	lmot:LMOSLCC2540_2522
ko:K07023	lmot:LMOSLCC2540_2524
ko:K02039	lmot:LMOSLCC2540_2527
ko:K02036	lmot:LMOSLCC2540_2528
ko:K02036	lmot:LMOSLCC2540_2529
ko:K02038	lmot:LMOSLCC2540_2530
ko:K02037	lmot:LMOSLCC2540_2531
ko:K02040	lmot:LMOSLCC2540_2532
ko:K07636	lmot:LMOSLCC2540_2533
ko:K06131	lmot:LMOSLCC2540_2536
ko:K09811	lmot:LMOSLCC2540_2539
ko:K09812	lmot:LMOSLCC2540_2540
ko:K01486	lmot:LMOSLCC2540_1822
ko:K02003	lmot:LMOSLCC2540_1827
ko:K00891	lmot:LMOSLCC2540_1829
ko:K03215	lmot:LMOSLCC2540_1831
ko:K02434	lmot:LMOSLCC2540_1834
ko:K02435	lmot:LMOSLCC2540_1836
ko:K01972	lmot:LMOSLCC2540_1838
ko:K03657	lmot:LMOSLCC2540_1839
ko:K03308	lmot:LMOSLCC2540_1841
ko:K01945	lmot:LMOSLCC2540_1844
ko:K00602	lmot:LMOSLCC2540_1845
ko:K11175	lmot:LMOSLCC2540_1846
ko:K01933	lmot:LMOSLCC2540_1847
ko:K00764	lmot:LMOSLCC2540_1848
ko:K01952	lmot:LMOSLCC2540_1849
ko:K01952	lmot:LMOSLCC2540_1850
ko:K01952	lmot:LMOSLCC2540_1851
ko:K01923	lmot:LMOSLCC2540_1852
ko:K01756	lmot:LMOSLCC2540_1853
ko:K01589	lmot:LMOSLCC2540_1854
ko:K01588	lmot:LMOSLCC2540_1855
ko:K06950	lmot:LMOSLCC2540_1857
ko:K02013	lmot:LMOSLCC2540_1858
ko:K01142	lmot:LMOSLCC2540_1862
ko:K02836	lmot:LMOSLCC2540_2542
ko:K03070	lmot:LMOSLCC2540_2543
ko:K05946	lmot:LMOSLCC2540_2554
ko:K02372	lmot:LMOSLCC2540_2557
ko:K03569	lmot:LMOSLCC2540_2558
ko:K00790	lmot:LMOSLCC2540_2559
ko:K02114	lmot:LMOSLCC2540_2561
ko:K02112	lmot:LMOSLCC2540_2562
ko:K02115	lmot:LMOSLCC2540_2563
ko:K02111	lmot:LMOSLCC2540_2564
ko:K02113	lmot:LMOSLCC2540_2565
ko:K02109	lmot:LMOSLCC2540_2566
ko:K02110	lmot:LMOSLCC2540_2567
ko:K02108	lmot:LMOSLCC2540_2568
ko:K00761	lmot:LMOSLCC2540_2571
ko:K00600	lmot:LMOSLCC2540_2572
ko:K07566	lmot:LMOSLCC2540_2574
ko:K02493	lmot:LMOSLCC2540_2575
ko:K02835	lmot:LMOSLCC2540_2576
ko:K00872	lmot:LMOSLCC2540_2578
ko:K01733	lmot:LMOSLCC2540_2579
ko:K00003	lmot:LMOSLCC2540_2580
ko:K02909	lmot:LMOSLCC2540_2581
ko:K03628	lmot:LMOSLCC2540_2584
ko:K00790	lmot:LMOSLCC2540_2585
ko:K07707	lmot:LMOSLCC2540_0057
ko:K02939	lmot:LMOSLCC2540_0059
ko:K01939	lmot:LMOSLCC2540_0062
ko:K10778	lmot:LMOSLCC2540_0085
ko:K02110	lmot:LMOSLCC2540_0096
ko:K02113	lmot:LMOSLCC2540_0097
ko:K02111	lmot:LMOSLCC2540_0098
ko:K02115	lmot:LMOSLCC2540_0099
ko:K03466	lmot:LMOSLCC2540_0069
ko:K02761	lmot:LMOSLCC2540_0040
ko:K13252	lmot:LMOSLCC2540_0042
ko:K10536	lmot:LMOSLCC2540_0044
ko:K10536	lmot:LMOSLCC2540_0046
ko:K03481	lmot:LMOSLCC2540_0047
ko:K03975	lmot:LMOSLCC2540_0048
ko:K02990	lmot:LMOSLCC2540_0050
ko:K02963	lmot:LMOSLCC2540_0052
ko:K07813	lmot:LMOSLCC2540_0054
ko:K00926	lmot:LMOSLCC2540_0045
ko:K02112	lmot:LMOSLCC2540_0100
ko:K00989	lmot:LMOSLCC2540_1219
ko:K07095	lmot:LMOSLCC2540_1221
ko:K00147	lmot:LMOSLCC2540_1310
ko:K00931	lmot:LMOSLCC2540_1311
ko:K03217	lmot:LMOSLCC2540_1430
ko:K03545	lmot:LMOSLCC2540_1318
ko:K03544	lmot:LMOSLCC2540_1319
ko:K03100	lmot:LMOSLCC2540_1320
ko:K03100	lmot:LMOSLCC2540_1321
ko:K03100	lmot:LMOSLCC2540_1322
ko:K14540	lmot:LMOSLCC2540_1323
ko:K03470	lmot:LMOSLCC2540_1324
ko:K03893	lmot:LMOSLCC2540_1351
ko:K11749	lmot:LMOSLCC2540_1368
ko:K01881	lmot:LMOSLCC2540_1369
ko:K03763	lmot:LMOSLCC2540_1370
ko:K09748	lmot:LMOSLCC2540_1371
ko:K01512	lmot:LMOSLCC2540_1432
ko:K07146	lmot:LMOSLCC2540_1435
ko:K03466	lmot:LMOSLCC2540_1437
ko:K00286	lmot:LMOSLCC2540_1438
ko:K07335	lmot:LMOSLCC2540_1440
ko:K02887	lmot:LMOSLCC2540_1863
ko:K02916	lmot:LMOSLCC2540_1864
ko:K02520	lmot:LMOSLCC2540_1865
ko:K02884	lmot:LMOSLCC2540_1868
ko:K00554	lmot:LMOSLCC2540_1873
ko:K02860	lmot:LMOSLCC2540_1874
ko:K07010	lmot:LMOSLCC2540_1876
ko:K06960	lmot:LMOSLCC2540_1877
ko:K02959	lmot:LMOSLCC2540_1878
ko:K03106	lmot:LMOSLCC2540_1882
ko:K03110	lmot:LMOSLCC2540_1884
ko:K03529	lmot:LMOSLCC2540_1885
ko:K03685	lmot:LMOSLCC2540_1886
ko:K02078	lmot:LMOSLCC2540_1888
ko:K00645	lmot:LMOSLCC2540_1890
ko:K03621	lmot:LMOSLCC2540_1891
ko:K03655	lmot:LMOSLCC2540_1893
ko:K01752	lmot:LMOSLCC2540_1894
ko:K01752	lmot:LMOSLCC2540_1895
ko:K02902	lmot:LMOSLCC2540_1898
ko:K01783	lmot:LMOSLCC2540_1900
ko:K06949	lmot:LMOSLCC2540_1901
ko:K03500	lmot:LMOSLCC2540_1904
ko:K00604	lmot:LMOSLCC2540_1905
ko:K04066	lmot:LMOSLCC2540_1906
ko:K13038	lmot:LMOSLCC2540_1907
ko:K13678	lmot:LMOSLCC2540_2587
ko:K01937	lmot:LMOSLCC2540_2592
ko:K01887	lmot:LMOSLCC2540_2595
ko:K01821	lmot:LMOSLCC2540_2598
ko:K06885	lmot:LMOSLCC2540_2599
ko:K08281	lmot:LMOSLCC2540_2606
ko:K16264	lmot:LMOSLCC2540_2610
ko:K02003	lmot:LMOSLCC2540_2616
ko:K02379	lmot:LMOSLCC2540_2620
ko:K00123	lmot:LMOSLCC2540_2622
ko:K03060	lmot:LMOSLCC2540_1908
ko:K00942	lmot:LMOSLCC2540_1909
ko:K00762	lmot:LMOSLCC2540_1913
ko:K01591	lmot:LMOSLCC2540_1914
ko:K01955	lmot:LMOSLCC2540_1917
ko:K01956	lmot:LMOSLCC2540_1918
ko:K01465	lmot:LMOSLCC2540_1919
ko:K00609	lmot:LMOSLCC2540_1920
ko:K02825	lmot:LMOSLCC2540_1922
ko:K06180	lmot:LMOSLCC2540_1925
ko:K03101	lmot:LMOSLCC2540_1926
ko:K06901	lmot:LMOSLCC2540_1927
ko:K03327	lmot:LMOSLCC2540_1928
ko:K03797	lmot:LMOSLCC2540_1933
ko:K11068	lmot:LMOSLCC2540_1946
ko:K09773	lmot:LMOSLCC2540_1948
ko:K02996	lmot:LMOSLCC2540_2637
ko:K02871	lmot:LMOSLCC2540_2638
ko:K06173	lmot:LMOSLCC2540_2639
ko:K07507	lmot:LMOSLCC2540_2643
ko:K02879	lmot:LMOSLCC2540_2646
ko:K03040	lmot:LMOSLCC2540_2647
ko:K02948	lmot:LMOSLCC2540_2648
ko:K02952	lmot:LMOSLCC2540_2649
ko:K02919	lmot:LMOSLCC2540_2650
ko:K02518	lmot:LMOSLCC2540_2651
ko:K03076	lmot:LMOSLCC2540_2653
ko:K02876	lmot:LMOSLCC2540_2654
ko:K02907	lmot:LMOSLCC2540_2655
ko:K02988	lmot:LMOSLCC2540_2656
ko:K02881	lmot:LMOSLCC2540_2657
ko:K02933	lmot:LMOSLCC2540_2658
ko:K02994	lmot:LMOSLCC2540_2659
ko:K02954	lmot:LMOSLCC2540_2660
ko:K02931	lmot:LMOSLCC2540_2661
ko:K02895	lmot:LMOSLCC2540_2662
ko:K02874	lmot:LMOSLCC2540_2663
ko:K02961	lmot:LMOSLCC2540_2664
ko:K02904	lmot:LMOSLCC2540_2665
ko:K02878	lmot:LMOSLCC2540_2666
ko:K02982	lmot:LMOSLCC2540_2667
ko:K02890	lmot:LMOSLCC2540_2668
ko:K02965	lmot:LMOSLCC2540_2669
ko:K02886	lmot:LMOSLCC2540_2670
ko:K02892	lmot:LMOSLCC2540_2671
ko:K02926	lmot:LMOSLCC2540_2672
ko:K02906	lmot:LMOSLCC2540_2673
ko:K02946	lmot:LMOSLCC2540_2674
ko:K02057	lmot:LMOSLCC2540_1442
ko:K02057	lmot:LMOSLCC2540_1443
ko:K04096	lmot:LMOSLCC2540_1325
ko:K03168	lmot:LMOSLCC2540_1326
ko:K04094	lmot:LMOSLCC2540_1327
ko:K03733	lmot:LMOSLCC2540_1328
ko:K01419	lmot:LMOSLCC2540_1329
ko:K03667	lmot:LMOSLCC2540_1330
ko:K03706	lmot:LMOSLCC2540_1331
ko:K07107	lmot:LMOSLCC2540_1332
ko:K08591	lmot:LMOSLCC2540_1335
ko:K02622	lmot:LMOSLCC2540_1337
ko:K02621	lmot:LMOSLCC2540_1338
ko:K07173	lmot:LMOSLCC2540_1339
ko:K01126	lmot:LMOSLCC2540_1343
ko:K00111	lmot:LMOSLCC2540_1344
ko:K00791	lmot:LMOSLCC2540_1345
ko:K03666	lmot:LMOSLCC2540_1346
ko:K03665	lmot:LMOSLCC2540_1347
ko:K02600	lmot:LMOSLCC2540_1372
ko:K07742	lmot:LMOSLCC2540_1373
ko:K02519	lmot:LMOSLCC2540_1375
ko:K02834	lmot:LMOSLCC2540_1377
ko:K11753	lmot:LMOSLCC2540_1379
ko:K02956	lmot:LMOSLCC2540_1380
ko:K00962	lmot:LMOSLCC2540_1381
ko:K06949	lmot:LMOSLCC2540_1382
ko:K02913	lmot:LMOSLCC2540_1385
ko:K02247	lmot:LMOSLCC2540_1393
ko:K03631	lmot:LMOSLCC2540_1418
ko:K00382	lmot:LMOSLCC2540_1421
ko:K00166	lmot:LMOSLCC2540_1422
ko:K00167	lmot:LMOSLCC2540_1423
ko:K09699	lmot:LMOSLCC2540_1424
ko:K01915	lmot:LMOSLCC2540_1350
ko:K01356	lmot:LMOSLCC2540_1353
ko:K00615	lmot:LMOSLCC2540_1356
ko:K09903	lmot:LMOSLCC2540_1363
ko:K02838	lmot:LMOSLCC2540_1364
ko:K00806	lmot:LMOSLCC2540_1365
ko:K00981	lmot:LMOSLCC2540_1366
ko:K00099	lmot:LMOSLCC2540_1367
ko:K00605	lmot:LMOSLCC2540_1398
ko:K00282	lmot:LMOSLCC2540_1399
ko:K00283	lmot:LMOSLCC2540_1400
