ko:K12978	fpj:LA02_140
ko:K00426	fpj:LA02_247
ko:K01713	fpj:LA02_249
ko:K04066	fpj:LA02_250
ko:K07058	fpj:LA02_252
ko:K03809	fpj:LA02_253
ko:K06077	fpj:LA02_254
ko:K02077	fpj:LA02_256
ko:K02074	fpj:LA02_257
ko:K02075	fpj:LA02_258
ko:K00760	fpj:LA02_260
ko:K01939	fpj:LA02_261
ko:K01697	fpj:LA02_1057
ko:K01442	fpj:LA02_1060
ko:K03650	fpj:LA02_1063
ko:K05808	fpj:LA02_1065
ko:K02806	fpj:LA02_1066
ko:K02533	fpj:LA02_1067
ko:K03470	fpj:LA02_1068
ko:K03600	fpj:LA02_1074
ko:K03599	fpj:LA02_1075
ko:K02996	fpj:LA02_1076
ko:K02871	fpj:LA02_1077
ko:K08304	fpj:LA02_1079
ko:K03687	fpj:LA02_1080
ko:K04043	fpj:LA02_1081
ko:K03686	fpj:LA02_1082
ko:K01916	fpj:LA02_1085
ko:K03543	fpj:LA02_1087
ko:K03446	fpj:LA02_1088
ko:K01897	fpj:LA02_1090
ko:K03305	fpj:LA02_1091
ko:K09761	fpj:LA02_1092
ko:K02067	fpj:LA02_1095
ko:K02065	fpj:LA02_1096
ko:K02066	fpj:LA02_1097
ko:K06180	fpj:LA02_1099
ko:K05807	fpj:LA02_1100
ko:K01091	fpj:LA02_1868
ko:K00384	fpj:LA02_1869
ko:K03572	fpj:LA02_1873
ko:K06949	fpj:LA02_1876
ko:K11073	fpj:LA02_1877
ko:K03548	fpj:LA02_1879
ko:K07462	fpj:LA02_1880
ko:K03524	fpj:LA02_1881
ko:K04568	fpj:LA02_1882
ko:K16052	fpj:LA02_1883
ko:K01961	fpj:LA02_1885
ko:K02160	fpj:LA02_1886
ko:K03786	fpj:LA02_1887
ko:K01525	fpj:LA02_1888
ko:K02528	fpj:LA02_1889
ko:K03771	fpj:LA02_1890
ko:K04744	fpj:LA02_1891
ko:K01887	fpj:LA02_1892
ko:K03305	fpj:LA02_1893
ko:K01424	fpj:LA02_1894
ko:K03216	fpj:LA02_1895
ko:K01698	fpj:LA02_1896
ko:K07574	fpj:LA02_1897
ko:K02341	fpj:LA02_1898
ko:K04774	fpj:LA02_1899
ko:K03599	fpj:LA02_1900
ko:K11179	fpj:LA02_1901
ko:K03588	fpj:LA02_1906
ko:K01925	fpj:LA02_1907
ko:K01000	fpj:LA02_1908
ko:K01610	fpj:LA02_1909
ko:K01886	fpj:LA02_1910
ko:K03305	fpj:LA02_1912
ko:K15738	fpj:LA02_1913
ko:K03218	fpj:LA02_1916
ko:K12262	fpj:LA02_539
ko:K03834	fpj:LA02_543
ko:K03501	fpj:LA02_545
ko:K06997	fpj:LA02_547
ko:K06186	fpj:LA02_552
ko:K01826	fpj:LA02_554
ko:K02968	fpj:LA02_555
ko:K03596	fpj:LA02_556
ko:K00566	fpj:LA02_557
ko:K01462	fpj:LA02_559
ko:K00794	fpj:LA02_560
ko:K14652	fpj:LA02_561
ko:K00793	fpj:LA02_562
ko:K11752	fpj:LA02_563
ko:K03316	fpj:LA02_565
ko:K03316	fpj:LA02_566
ko:K04773	fpj:LA02_569
ko:K01011	fpj:LA02_571
ko:K03071	fpj:LA02_572
ko:K03565	fpj:LA02_574
ko:K03111	fpj:LA02_575
ko:K00925	fpj:LA02_576
ko:K13788	fpj:LA02_577
ko:K00135	fpj:LA02_578
ko:K01876	fpj:LA02_582
ko:K01147	fpj:LA02_584
ko:K06999	fpj:LA02_585
ko:K01749	fpj:LA02_586
ko:K06199	fpj:LA02_587
ko:K02990	fpj:LA02_1383
ko:K02963	fpj:LA02_1384
ko:K02939	fpj:LA02_1385
ko:K06941	fpj:LA02_1387
ko:K02656	fpj:LA02_1388
ko:K06178	fpj:LA02_1389
ko:K03789	fpj:LA02_1391
ko:K02523	fpj:LA02_1394
ko:K03773	fpj:LA02_1395
ko:K14058	fpj:LA02_1396
ko:K07107	fpj:LA02_1397
ko:K07259	fpj:LA02_1399
ko:K02970	fpj:LA02_1401
ko:K09117	fpj:LA02_1402
ko:K03086	fpj:LA02_1404
ko:K03801	fpj:LA02_1406
ko:K09158	fpj:LA02_1407
ko:K07258	fpj:LA02_1408
ko:K01507	fpj:LA02_1409
ko:K03270	fpj:LA02_1410
ko:K11719	fpj:LA02_1411
ko:K06861	fpj:LA02_1413
ko:K06173	fpj:LA02_1416
ko:K01951	fpj:LA02_1417
ko:K01662	fpj:LA02_1418
ko:K03551	fpj:LA02_1421
ko:K07727	fpj:LA02_1423
ko:K03305	fpj:LA02_1427
ko:K01889	fpj:LA02_1429
ko:K01890	fpj:LA02_1430
ko:K06131	fpj:LA02_1436
ko:K06131	fpj:LA02_1437
ko:K02050	fpj:LA02_592
ko:K02049	fpj:LA02_593
ko:K09125	fpj:LA02_596
ko:K02494	fpj:LA02_601
ko:K00919	fpj:LA02_602
ko:K02221	fpj:LA02_606
ko:K02050	fpj:LA02_607
ko:K02238	fpj:LA02_612
ko:K07566	fpj:LA02_615
ko:K02945	fpj:LA02_616
ko:K01921	fpj:LA02_618
ko:K03589	fpj:LA02_619
ko:K03590	fpj:LA02_620
ko:K03531	fpj:LA02_621
ko:K02535	fpj:LA02_623
ko:K02343	fpj:LA02_622
ko:K02836	fpj:LA02_624
ko:K07461	fpj:LA02_625
ko:K04567	fpj:LA02_626
ko:K01425	fpj:LA02_629
ko:K07223	fpj:LA02_639
ko:K01681	fpj:LA02_640
ko:K02669	fpj:LA02_641
ko:K06955	fpj:LA02_642
ko:K00426	fpj:LA02_644
ko:K00425	fpj:LA02_645
ko:K07071	fpj:LA02_647
ko:K07645	fpj:LA02_646
ko:K03593	fpj:LA02_1439
ko:K01494	fpj:LA02_1441
ko:K16053	fpj:LA02_1440
ko:K03643	fpj:LA02_1442
ko:K01869	fpj:LA02_1443
ko:K07447	fpj:LA02_1444
ko:K07735	fpj:LA02_1445
ko:K03574	fpj:LA02_1446
ko:K03671	fpj:LA02_1451
ko:K09015	fpj:LA02_1453
ko:K09013	fpj:LA02_1454
ko:K09014	fpj:LA02_1455
ko:K03499	fpj:LA02_1457
ko:K02518	fpj:LA02_1460
ko:K07090	fpj:LA02_1461
ko:K03106	fpj:LA02_1463
ko:K01626	fpj:LA02_1464
ko:K03923	fpj:LA02_1469
ko:K06987	fpj:LA02_1470
ko:K01142	fpj:LA02_1471
ko:K00383	fpj:LA02_1475
ko:K03305	fpj:LA02_1477
ko:K11927	fpj:LA02_1478
ko:K01495	fpj:LA02_1479
ko:K01658	fpj:LA02_1489
ko:K03342	fpj:LA02_1490
ko:K01633	fpj:LA02_1492
ko:K00335	fpj:LA02_319
ko:K18138	fpj:LA02_653
ko:K03585	fpj:LA02_654
ko:K03611	fpj:LA02_655
ko:K00974	fpj:LA02_656
ko:K11085	fpj:LA02_657
ko:K00912	fpj:LA02_658
ko:K03525	fpj:LA02_660
ko:K01839	fpj:LA02_661
ko:K01619	fpj:LA02_662
ko:K11535	fpj:LA02_663
ko:K11535	fpj:LA02_664
ko:K00943	fpj:LA02_665
ko:K02837	fpj:LA02_666
ko:K03110	fpj:LA02_668
ko:K03657	fpj:LA02_669
ko:K15580	fpj:LA02_670
ko:K15581	fpj:LA02_671
ko:K15582	fpj:LA02_672
ko:K15583	fpj:LA02_673
ko:K10823	fpj:LA02_674
ko:K00864	fpj:LA02_678
ko:K00111	fpj:LA02_679
ko:K02440	fpj:LA02_681
ko:K03442	fpj:LA02_683
ko:K02358	fpj:LA02_689
ko:K03073	fpj:LA02_691
ko:K02601	fpj:LA02_692
ko:K02867	fpj:LA02_693
ko:K02863	fpj:LA02_694
ko:K02864	fpj:LA02_695
ko:K02935	fpj:LA02_696
ko:K03043	fpj:LA02_697
ko:K03046	fpj:LA02_698
ko:K01409	fpj:LA02_700
ko:K00789	fpj:LA02_703
ko:K02959	fpj:LA02_704
ko:K02860	fpj:LA02_705
ko:K00554	fpj:LA02_706
ko:K02884	fpj:LA02_707
ko:K13941	fpj:LA02_1493
ko:K00833	fpj:LA02_1496
ko:K01012	fpj:LA02_1497
ko:K00652	fpj:LA02_1498
ko:K02169	fpj:LA02_1499
ko:K01935	fpj:LA02_1501
ko:K03524	fpj:LA02_1500
ko:K00845	fpj:LA02_1502
ko:K01574	fpj:LA02_1504
ko:K00019	fpj:LA02_1505
ko:K01207	fpj:LA02_1506
ko:K05916	fpj:LA02_1507
ko:K13771	fpj:LA02_1508
ko:K01845	fpj:LA02_1510
ko:K01920	fpj:LA02_1511
ko:K00604	fpj:LA02_1512
ko:K03325	fpj:LA02_1516
ko:K03297	fpj:LA02_1517
ko:K12297	fpj:LA02_1518
ko:K07733	fpj:LA02_1521
ko:K11900	fpj:LA02_1529
ko:K11901	fpj:LA02_1530
ko:K12373	fpj:LA02_1535
ko:K00820	fpj:LA02_1537
ko:K06956	fpj:LA02_1538
ko:K06207	fpj:LA02_1544
ko:K00681	fpj:LA02_1546
ko:K04754	fpj:LA02_1547
ko:K04763	fpj:LA02_708
ko:K08311	fpj:LA02_717
ko:K03806	fpj:LA02_719
ko:K02622	fpj:LA02_724
ko:K17713	fpj:LA02_726
ko:K02492	fpj:LA02_728
ko:K02835	fpj:LA02_729
ko:K02493	fpj:LA02_731
ko:K00783	fpj:LA02_730
ko:K09861	fpj:LA02_732
ko:K07107	fpj:LA02_737
ko:K02078	fpj:LA02_743
ko:K02078	fpj:LA02_744
ko:K00647	fpj:LA02_747
ko:K00059	fpj:LA02_749
ko:K09458	fpj:LA02_750
ko:K04759	fpj:LA02_753
ko:K04758	fpj:LA02_754
ko:K04078	fpj:LA02_757
ko:K04077	fpj:LA02_758
ko:K07007	fpj:LA02_764
ko:K09801	fpj:LA02_1550
ko:K03664	fpj:LA02_1552
ko:K14058	fpj:LA02_1553
ko:K01166	fpj:LA02_1554
ko:K11755	fpj:LA02_1555
ko:K02500	fpj:LA02_1556
ko:K01814	fpj:LA02_1557
ko:K02501	fpj:LA02_1558
ko:K01089	fpj:LA02_1559
ko:K00817	fpj:LA02_1560
ko:K00013	fpj:LA02_1561
ko:K00765	fpj:LA02_1562
ko:K03554	fpj:LA02_1567
ko:K07146	fpj:LA02_1570
ko:K00228	fpj:LA02_1571
ko:K00831	fpj:LA02_1572
ko:K00945	fpj:LA02_1574
ko:K00278	fpj:LA02_1576
ko:K00767	fpj:LA02_1577
ko:K03517	fpj:LA02_1578
ko:K00942	fpj:LA02_1579
ko:K05592	fpj:LA02_1580
ko:K03769	fpj:LA02_1581
ko:K08137	fpj:LA02_1585
ko:K00965	fpj:LA02_1586
ko:K00849	fpj:LA02_1587
ko:K00979	fpj:LA02_1590
ko:K09791	fpj:LA02_1591
ko:K03703	fpj:LA02_1595
ko:K03684	fpj:LA02_1596
ko:K09966	fpj:LA02_1599
ko:K03657	fpj:LA02_1372
ko:K00262	fpj:LA02_766
ko:K01586	fpj:LA02_768
ko:K00567	fpj:LA02_770
ko:K05516	fpj:LA02_777
ko:K03834	fpj:LA02_778
ko:K00951	fpj:LA02_780
ko:K15984	fpj:LA02_785
ko:K03733	fpj:LA02_786
ko:K03071	fpj:LA02_788
ko:K03555	fpj:LA02_789
ko:K01962	fpj:LA02_790
ko:K07106	fpj:LA02_794
ko:K03316	fpj:LA02_796
ko:K01867	fpj:LA02_798
ko:K00859	fpj:LA02_802
ko:K00163	fpj:LA02_804
ko:K00627	fpj:LA02_805
ko:K00382	fpj:LA02_806
ko:K03648	fpj:LA02_807
ko:K02469	fpj:LA02_811
ko:K00099	fpj:LA02_812
ko:K07277	fpj:LA02_813
ko:K06142	fpj:LA02_814
ko:K02536	fpj:LA02_815
ko:K02372	fpj:LA02_816
ko:K00677	fpj:LA02_817
ko:K00748	fpj:LA02_818
ko:K01879	fpj:LA02_1601
ko:K03424	fpj:LA02_1602
ko:K03629	fpj:LA02_1603
ko:K01895	fpj:LA02_1612
ko:K00963	fpj:LA02_1613
ko:K01156	fpj:LA02_1618
ko:K07316	fpj:LA02_1622
ko:K02970	fpj:LA02_1631
ko:K03704	fpj:LA02_1633
ko:K04762	fpj:LA02_1641
ko:K18930	fpj:LA02_1642
ko:K01866	fpj:LA02_1645
ko:K03800	fpj:LA02_1646
ko:K01419	fpj:LA02_1648
ko:K03667	fpj:LA02_1649
ko:K03305	fpj:LA02_1650
ko:K10716	fpj:LA02_1651
ko:K00322	fpj:LA02_1652
ko:K02654	fpj:LA02_1653
ko:K17836	fpj:LA02_1655
ko:K00602	fpj:LA02_262
ko:K03098	fpj:LA02_264
ko:K02340	fpj:LA02_265
ko:K01915	fpj:LA02_266
ko:K07733	fpj:LA02_269
ko:K03075	fpj:LA02_273
ko:K01803	fpj:LA02_274
ko:K03431	fpj:LA02_275
ko:K00759	fpj:LA02_276
ko:K00658	fpj:LA02_277
ko:K00164	fpj:LA02_278
ko:K00240	fpj:LA02_279
ko:K00239	fpj:LA02_280
ko:K00242	fpj:LA02_281
ko:K00241	fpj:LA02_282
ko:K01647	fpj:LA02_283
ko:K08218	fpj:LA02_284
ko:K04564	fpj:LA02_286
ko:K07390	fpj:LA02_287
ko:K02114	fpj:LA02_289
ko:K02112	fpj:LA02_290
ko:K02115	fpj:LA02_291
ko:K02111	fpj:LA02_292
ko:K02113	fpj:LA02_293
ko:K02109	fpj:LA02_294
ko:K02110	fpj:LA02_295
ko:K02108	fpj:LA02_296
ko:K06179	fpj:LA02_299
ko:K06916	fpj:LA02_300
ko:K01892	fpj:LA02_302
ko:K02834	fpj:LA02_303
ko:K02519	fpj:LA02_304
ko:K02600	fpj:LA02_305
ko:K09748	fpj:LA02_306
ko:K01599	fpj:LA02_308
ko:K07391	fpj:LA02_309
ko:K09806	fpj:LA02_310
ko:K00343	fpj:LA02_311
ko:K00342	fpj:LA02_312
ko:K00600	fpj:LA02_1103
ko:K09889	fpj:LA02_1104
ko:K04075	fpj:LA02_1109
ko:K00058	fpj:LA02_1110
ko:K13292	fpj:LA02_1112
ko:K08300	fpj:LA02_1113
ko:K04487	fpj:LA02_1114
ko:K03584	fpj:LA02_1116
ko:K03975	fpj:LA02_1117
ko:K03975	fpj:LA02_1118
ko:K05527	fpj:LA02_1119
ko:K01934	fpj:LA02_1120
ko:K09895	fpj:LA02_1121
ko:K03185	fpj:LA02_1122
ko:K18800	fpj:LA02_1123
ko:K09474	fpj:LA02_1124
ko:K07568	fpj:LA02_1126
ko:K01576	fpj:LA02_1130
ko:K09125	fpj:LA02_1134
ko:K01759	fpj:LA02_1136
ko:K06966	fpj:LA02_1140
ko:K00208	fpj:LA02_1141
ko:K09930	fpj:LA02_1144
ko:K09929	fpj:LA02_1145
ko:K06041	fpj:LA02_1147
ko:K01783	fpj:LA02_1148
ko:K01784	fpj:LA02_1151
ko:K12995	fpj:LA02_1152
ko:K02536	fpj:LA02_1155
ko:K02558	fpj:LA02_1917
ko:K00762	fpj:LA02_1918
ko:K03269	fpj:LA02_1919
ko:K01733	fpj:LA02_1924
ko:K00872	fpj:LA02_1925
ko:K12524	fpj:LA02_1926
ko:K00133	fpj:LA02_1927
ko:K01929	fpj:LA02_1929
ko:K07023	fpj:LA02_1930
ko:K01928	fpj:LA02_1931
ko:K01878	fpj:LA02_1932
ko:K00705	fpj:LA02_1935
ko:K00688	fpj:LA02_1936
ko:K00703	fpj:LA02_1937
ko:K00975	fpj:LA02_1938
ko:K01835	fpj:LA02_1939
ko:K00700	fpj:LA02_1940
ko:K00014	fpj:LA02_1942
ko:K00651	fpj:LA02_1943
ko:K01740	fpj:LA02_1944
ko:K00283	fpj:LA02_1948
ko:K00282	fpj:LA02_1949
ko:K02437	fpj:LA02_1950
ko:K00605	fpj:LA02_1951
ko:K09810	fpj:LA02_1953
ko:K09808	fpj:LA02_1954
ko:K01462	fpj:LA02_1956
ko:K02337	fpj:LA02_1965
ko:K16052	fpj:LA02_1966
ko:K03449	fpj:LA02_4
ko:K03497	fpj:LA02_10
ko:K03496	fpj:LA02_11
ko:K03168	fpj:LA02_12
ko:K01414	fpj:LA02_19
ko:K07460	fpj:LA02_21
ko:K01589	fpj:LA02_20
ko:K01588	fpj:LA02_22
ko:K11175	fpj:LA02_23
ko:K01933	fpj:LA02_25
ko:K01491	fpj:LA02_26
ko:K03631	fpj:LA02_31
ko:K00812	fpj:LA02_32
ko:K00121	fpj:LA02_33
ko:K01004	fpj:LA02_822
ko:K00795	fpj:LA02_823
ko:K02527	fpj:LA02_824
ko:K02428	fpj:LA02_825
ko:K00286	fpj:LA02_826
ko:K03100	fpj:LA02_828
ko:K03685	fpj:LA02_829
ko:K03177	fpj:LA02_830
ko:K12573	fpj:LA02_831
ko:K00574	fpj:LA02_836
ko:K09701	fpj:LA02_837
ko:K07337	fpj:LA02_844
ko:K09859	fpj:LA02_847
ko:K01476	fpj:LA02_849
ko:K09794	fpj:LA02_851
ko:K07516	fpj:LA02_855
ko:K01897	fpj:LA02_857
ko:K00537	fpj:LA02_858
ko:K00031	fpj:LA02_859
ko:K03578	fpj:LA02_861
ko:K13012	fpj:LA02_863
ko:K01784	fpj:LA02_864
ko:K00971	fpj:LA02_865
ko:K01711	fpj:LA02_866
ko:K02377	fpj:LA02_868
ko:K00973	fpj:LA02_869
ko:K01790	fpj:LA02_870
ko:K00067	fpj:LA02_871
ko:K01056	fpj:LA02_1656
ko:K06942	fpj:LA02_1657
ko:K02897	fpj:LA02_1660
ko:K00948	fpj:LA02_1661
ko:K06987	fpj:LA02_1662
ko:K03455	fpj:LA02_1666
ko:K09760	fpj:LA02_1671
ko:K03550	fpj:LA02_1672
ko:K01159	fpj:LA02_1675
ko:K03644	fpj:LA02_1678
ko:K02217	fpj:LA02_1679
ko:K03305	fpj:LA02_1680
ko:K03675	fpj:LA02_1682
ko:K03616	fpj:LA02_1683
ko:K10773	fpj:LA02_1684
ko:K03723	fpj:LA02_1688
ko:K00053	fpj:LA02_1690
ko:K01653	fpj:LA02_1691
ko:K01652	fpj:LA02_1692
ko:K01687	fpj:LA02_1693
ko:K01733	fpj:LA02_1694
ko:K03978	fpj:LA02_1695
ko:K01104	fpj:LA02_1696
ko:K04087	fpj:LA02_1697
ko:K04088	fpj:LA02_1698
ko:K03665	fpj:LA02_1700
ko:K03666	fpj:LA02_1701
ko:K00791	fpj:LA02_1702
ko:K03770	fpj:LA02_1703
ko:K03530	fpj:LA02_1704
ko:K01338	fpj:LA02_1705
ko:K03544	fpj:LA02_1706
ko:K01358	fpj:LA02_1707
ko:K04565	fpj:LA02_39
ko:K07305	fpj:LA02_40
ko:K01736	fpj:LA02_43
ko:K04485	fpj:LA02_46
ko:K00057	fpj:LA02_47
ko:K01534	fpj:LA02_52
ko:K03744	fpj:LA02_55
ko:K03799	fpj:LA02_56
ko:K00989	fpj:LA02_59
ko:K03181	fpj:LA02_60
ko:K03179	fpj:LA02_61
ko:K03453	fpj:LA02_69
ko:K06876	fpj:LA02_71
ko:K01669	fpj:LA02_73
ko:K14441	fpj:LA02_77
ko:K03640	fpj:LA02_78
ko:K03641	fpj:LA02_80
ko:K03646	fpj:LA02_81
ko:K03560	fpj:LA02_82
ko:K03562	fpj:LA02_83
ko:K17103	fpj:LA02_85
ko:K06208	fpj:LA02_86
ko:K03527	fpj:LA02_87
ko:K03774	fpj:LA02_88
ko:K04096	fpj:LA02_90
ko:K09758	fpj:LA02_93
ko:K06901	fpj:LA02_94
ko:K00012	fpj:LA02_885
ko:K01784	fpj:LA02_886
ko:K01840	fpj:LA02_903
ko:K00957	fpj:LA02_904
ko:K00956	fpj:LA02_906
ko:K00860	fpj:LA02_908
ko:K01953	fpj:LA02_920
ko:K03628	fpj:LA02_927
ko:K03671	fpj:LA02_928
ko:K01524	fpj:LA02_929
ko:K07478	fpj:LA02_930
ko:K03040	fpj:LA02_931
ko:K03545	fpj:LA02_1708
ko:K01673	fpj:LA02_1712
ko:K01424	fpj:LA02_1713
ko:K03469	fpj:LA02_1714
ko:K00800	fpj:LA02_1716
ko:K03089	fpj:LA02_1717
ko:K03074	fpj:LA02_1719
ko:K03072	fpj:LA02_1720
ko:K03210	fpj:LA02_1721
ko:K00773	fpj:LA02_1729
ko:K08591	fpj:LA02_1730
ko:K02071	fpj:LA02_1731
ko:K01770	fpj:LA02_1735
ko:K03802	fpj:LA02_1737
ko:K01126	fpj:LA02_1738
ko:K02652	fpj:LA02_1740
ko:K02653	fpj:LA02_1741
ko:K00954	fpj:LA02_1744
ko:K13628	fpj:LA02_1746
ko:K11717	fpj:LA02_1747
ko:K01752	fpj:LA02_1748
ko:K04518	fpj:LA02_1751
ko:K01775	fpj:LA02_1753
ko:K09799	fpj:LA02_1758
ko:K01079	fpj:LA02_1757
ko:K00341	fpj:LA02_313
ko:K00340	fpj:LA02_314
ko:K00339	fpj:LA02_315
ko:K00338	fpj:LA02_316
ko:K00337	fpj:LA02_317
ko:K00334	fpj:LA02_320
ko:K00333	fpj:LA02_321
ko:K00332	fpj:LA02_322
ko:K00331	fpj:LA02_323
ko:K00330	fpj:LA02_324
ko:K03711	fpj:LA02_325
ko:K00836	fpj:LA02_327
ko:K13745	fpj:LA02_328
ko:K03897	fpj:LA02_330
ko:K02434	fpj:LA02_337
ko:K02433	fpj:LA02_338
ko:K02435	fpj:LA02_339
ko:K01756	fpj:LA02_342
ko:K01952	fpj:LA02_347
ko:K00764	fpj:LA02_348
ko:K01580	fpj:LA02_349
ko:K06133	fpj:LA02_350
ko:K12340	fpj:LA02_351
ko:K00573	fpj:LA02_352
ko:K08303	fpj:LA02_358
ko:K18552	fpj:LA02_360
ko:K02471	fpj:LA02_361
ko:K03979	fpj:LA02_364
ko:K00648	fpj:LA02_1157
ko:K02078	fpj:LA02_1158
ko:K02805	fpj:LA02_1159
ko:K00012	fpj:LA02_1161
ko:K00012	fpj:LA02_1163
ko:K07025	fpj:LA02_1167
ko:K13282	fpj:LA02_1169
ko:K01424	fpj:LA02_1170
ko:K06187	fpj:LA02_1182
ko:K09747	fpj:LA02_1183
ko:K02563	fpj:LA02_1184
ko:K02437	fpj:LA02_1185
ko:K01868	fpj:LA02_1188
ko:K02520	fpj:LA02_1189
ko:K02916	fpj:LA02_1190
ko:K02887	fpj:LA02_1191
ko:K01807	fpj:LA02_1194
ko:K03495	fpj:LA02_1197
ko:K01141	fpj:LA02_1202
ko:K03702	fpj:LA02_1205
ko:K01776	fpj:LA02_1207
ko:K03147	fpj:LA02_1208
ko:K03153	fpj:LA02_1209
ko:K03154	fpj:LA02_1210
ko:K03149	fpj:LA02_1211
ko:K14153	fpj:LA02_1212
ko:K08309	fpj:LA02_1971
ko:K08309	fpj:LA02_1972
ko:K18284	fpj:LA02_1973
ko:K02621	fpj:LA02_1974
ko:K01265	fpj:LA02_1976
ko:K03704	fpj:LA02_1978
ko:K02970	fpj:LA02_1979
ko:K00820	fpj:LA02_1981
ko:K04042	fpj:LA02_1982
ko:K01613	fpj:LA02_1986
ko:K01874	fpj:LA02_2001
ko:K06190	fpj:LA02_2005
ko:K00845	fpj:LA02_2007
ko:K03183	fpj:LA02_2008
ko:K03690	fpj:LA02_2009
ko:K03688	fpj:LA02_2010
ko:K02503	fpj:LA02_2011
ko:K00075	fpj:LA02_2018
ko:K00790	fpj:LA02_2019
ko:K03977	fpj:LA02_2020
ko:K07667	fpj:LA02_366
ko:K07646	fpj:LA02_368
ko:K01548	fpj:LA02_369
ko:K01547	fpj:LA02_370
ko:K01546	fpj:LA02_371
ko:K01118	fpj:LA02_372
ko:K07784	fpj:LA02_374
ko:K00812	fpj:LA02_381
ko:K01586	fpj:LA02_382
ko:K00674	fpj:LA02_383
ko:K01714	fpj:LA02_384
ko:K00215	fpj:LA02_385
ko:K00928	fpj:LA02_386
ko:K01259	fpj:LA02_387
ko:K03424	fpj:LA02_388
ko:K03811	fpj:LA02_389
ko:K03281	fpj:LA02_393
ko:K01299	fpj:LA02_394
ko:K01696	fpj:LA02_395
ko:K01695	fpj:LA02_397
ko:K03811	fpj:LA02_396
ko:K03695	fpj:LA02_398
ko:K01183	fpj:LA02_399
ko:K08289	fpj:LA02_400
ko:K05524	fpj:LA02_402
ko:K00655	fpj:LA02_403
ko:K00655	fpj:LA02_404
ko:K03313	fpj:LA02_406
ko:K12262	fpj:LA02_409
ko:K04651	fpj:LA02_411
ko:K04652	fpj:LA02_412
ko:K03564	fpj:LA02_413
ko:K04656	fpj:LA02_414
ko:K04653	fpj:LA02_415
ko:K04654	fpj:LA02_416
ko:K04655	fpj:LA02_417
ko:K07241	fpj:LA02_422
ko:K03601	fpj:LA02_1224
ko:K11312	fpj:LA02_1250
ko:K07638	fpj:LA02_1257
ko:K03526	fpj:LA02_1261
ko:K05810	fpj:LA02_1262
ko:K01262	fpj:LA02_1263
ko:K01173	fpj:LA02_1265
ko:K17836	fpj:LA02_1264
ko:K03820	fpj:LA02_1267
ko:K06189	fpj:LA02_1268
ko:K07042	fpj:LA02_1269
ko:K06168	fpj:LA02_1271
ko:K00027	fpj:LA02_2023
ko:K11753	fpj:LA02_2024
ko:K01870	fpj:LA02_2025
