ko:K01966	cpz:CpPAT10_0492
ko:K00817	cpz:CpPAT10_0121
ko:K14445	cpz:CpPAT10_0122
ko:K03480	cpz:CpPAT10_0123
ko:K06996	cpz:CpPAT10_0126
ko:K04561	cpz:CpPAT10_0127
ko:K00375	cpz:CpPAT10_0129
ko:K06215	cpz:CpPAT10_0130
ko:K08681	cpz:CpPAT10_0131
ko:K00773	cpz:CpPAT10_0136
ko:K00098	cpz:CpPAT10_0140
ko:K02343	cpz:CpPAT10_0145
ko:K09747	cpz:CpPAT10_0146
ko:K06187	cpz:CpPAT10_0147
ko:K01649	cpz:CpPAT10_0161
ko:K05346	cpz:CpPAT10_0162
ko:K02283	cpz:CpPAT10_0223
ko:K12510	cpz:CpPAT10_0224
ko:K03704	cpz:CpPAT10_0230
ko:K03168	cpz:CpPAT10_0231
ko:K02341	cpz:CpPAT10_0234
ko:K00973	cpz:CpPAT10_0238
ko:K03919	cpz:CpPAT10_0085
ko:K01246	cpz:CpPAT10_0086
ko:K06996	cpz:CpPAT10_0089
ko:K00864	cpz:CpPAT10_0092
ko:K02440	cpz:CpPAT10_0093
ko:K05845	cpz:CpPAT10_0098
ko:K00928	cpz:CpPAT10_0172
ko:K00133	cpz:CpPAT10_0174
ko:K03088	cpz:CpPAT10_0175
ko:K03781	cpz:CpPAT10_0176
ko:K02011	cpz:CpPAT10_0184
ko:K02012	cpz:CpPAT10_0185
ko:K02445	cpz:CpPAT10_0186
ko:K05571	cpz:CpPAT10_0189
ko:K03579	cpz:CpPAT10_0084
ko:K05569	cpz:CpPAT10_0191
ko:K05567	cpz:CpPAT10_0193
ko:K09117	cpz:CpPAT10_0205
ko:K10773	cpz:CpPAT10_0213
ko:K02492	cpz:CpPAT10_0278
ko:K01749	cpz:CpPAT10_0279
ko:K13542	cpz:CpPAT10_0280
ko:K01698	cpz:CpPAT10_0281
ko:K01599	cpz:CpPAT10_0284
ko:K00231	cpz:CpPAT10_0285
ko:K01845	cpz:CpPAT10_0287
ko:K07399	cpz:CpPAT10_0291
ko:K02013	cpz:CpPAT10_0293
ko:K02016	cpz:CpPAT10_0294
ko:K02015	cpz:CpPAT10_0295
ko:K02548	cpz:CpPAT10_0299
ko:K01911	cpz:CpPAT10_0300
ko:K01661	cpz:CpPAT10_0301
ko:K02551	cpz:CpPAT10_0304
ko:K03183	cpz:CpPAT10_0307
ko:K03073	cpz:CpPAT10_0311
ko:K02601	cpz:CpPAT10_0312
ko:K02867	cpz:CpPAT10_0313
ko:K02863	cpz:CpPAT10_0314
ko:K02864	cpz:CpPAT10_0318
ko:K02935	cpz:CpPAT10_0319
ko:K03043	cpz:CpPAT10_0327
ko:K03046	cpz:CpPAT10_0328
ko:K00382	cpz:CpPAT10_0245
ko:K07110	cpz:CpPAT10_0246
ko:K00239	cpz:CpPAT10_0248
ko:K00240	cpz:CpPAT10_0249
ko:K04069	cpz:CpPAT10_0255
ko:K00656	cpz:CpPAT10_0257
ko:K00075	cpz:CpPAT10_0260
ko:K01524	cpz:CpPAT10_0267
ko:K00286	cpz:CpPAT10_0269
ko:K07089	cpz:CpPAT10_0335
ko:K04069	cpz:CpPAT10_0336
ko:K02950	cpz:CpPAT10_0339
ko:K02992	cpz:CpPAT10_0340
ko:K02355	cpz:CpPAT10_0341
ko:K02358	cpz:CpPAT10_0342
ko:K02946	cpz:CpPAT10_0351
ko:K02906	cpz:CpPAT10_0352
ko:K02926	cpz:CpPAT10_0353
ko:K02892	cpz:CpPAT10_0354
ko:K02886	cpz:CpPAT10_0355
ko:K02965	cpz:CpPAT10_0356
ko:K02890	cpz:CpPAT10_0357
ko:K02982	cpz:CpPAT10_0358
ko:K02878	cpz:CpPAT10_0359
ko:K02904	cpz:CpPAT10_0360
ko:K02961	cpz:CpPAT10_0361
ko:K02034	cpz:CpPAT10_0364
ko:K02874	cpz:CpPAT10_0367
ko:K02895	cpz:CpPAT10_0368
ko:K02931	cpz:CpPAT10_0369
ko:K03837	cpz:CpPAT10_0370
ko:K01752	cpz:CpPAT10_0371
ko:K02994	cpz:CpPAT10_0374
ko:K02933	cpz:CpPAT10_0375
ko:K02881	cpz:CpPAT10_0376
ko:K02988	cpz:CpPAT10_0377
ko:K02907	cpz:CpPAT10_0378
ko:K02876	cpz:CpPAT10_0379
ko:K03076	cpz:CpPAT10_0388
ko:K02518	cpz:CpPAT10_0393
ko:K02952	cpz:CpPAT10_0394
ko:K02948	cpz:CpPAT10_0395
ko:K02986	cpz:CpPAT10_0396
ko:K03040	cpz:CpPAT10_0397
ko:K02879	cpz:CpPAT10_0398
ko:K06173	cpz:CpPAT10_0399
ko:K03466	cpz:CpPAT10_0404
ko:K02871	cpz:CpPAT10_0408
ko:K02996	cpz:CpPAT10_0409
ko:K03431	cpz:CpPAT10_0410
ko:K01775	cpz:CpPAT10_0416
ko:K06925	cpz:CpPAT10_0417
ko:K07085	cpz:CpPAT10_0418
ko:K03789	cpz:CpPAT10_0421
ko:K04077	cpz:CpPAT10_0424
ko:K03088	cpz:CpPAT10_0425
ko:K01951	cpz:CpPAT10_0432
ko:K02072	cpz:CpPAT10_0439
ko:K02071	cpz:CpPAT10_0440
ko:K02073	cpz:CpPAT10_0441
ko:K02073	cpz:CpPAT10_0442
ko:K03216	cpz:CpPAT10_0449
ko:K01491	cpz:CpPAT10_0450
ko:K02016	cpz:CpPAT10_0456
ko:K02015	cpz:CpPAT10_0457
ko:K02013	cpz:CpPAT10_0458
ko:K00031	cpz:CpPAT10_0461
ko:K10005	cpz:CpPAT10_0648
ko:K10006	cpz:CpPAT10_0649
ko:K10007	cpz:CpPAT10_0650
ko:K01644	cpz:CpPAT10_0651
ko:K02963	cpz:CpPAT10_0654
ko:K02954	cpz:CpPAT10_0655
ko:K02913	cpz:CpPAT10_0656
ko:K02902	cpz:CpPAT10_0657
ko:K02911	cpz:CpPAT10_0659
ko:K03282	cpz:CpPAT10_0665
ko:K00963	cpz:CpPAT10_0668
ko:K01142	cpz:CpPAT10_0464
ko:K01867	cpz:CpPAT10_0466
ko:K07058	cpz:CpPAT10_0467
ko:K00761	cpz:CpPAT10_0473
ko:K00382	cpz:CpPAT10_0477
ko:K06287	cpz:CpPAT10_0487
ko:K02529	cpz:CpPAT10_0489
ko:K01589	cpz:CpPAT10_0495
ko:K01588	cpz:CpPAT10_0496
ko:K01809	cpz:CpPAT10_0512
ko:K01251	cpz:CpPAT10_0516
ko:K00943	cpz:CpPAT10_0517
ko:K03704	cpz:CpPAT10_0597
ko:K06901	cpz:CpPAT10_0601
ko:K00831	cpz:CpPAT10_0605
ko:K01647	cpz:CpPAT10_0606
ko:K14393	cpz:CpPAT10_0613
ko:K03327	cpz:CpPAT10_0619
ko:K01697	cpz:CpPAT10_0620
ko:K01586	cpz:CpPAT10_0621
ko:K02034	cpz:CpPAT10_0626
ko:K03724	cpz:CpPAT10_0635
ko:K01810	cpz:CpPAT10_0639
ko:K03657	cpz:CpPAT10_0642
ko:K11175	cpz:CpPAT10_0645
ko:K00602	cpz:CpPAT10_0646
ko:K10008	cpz:CpPAT10_0647
ko:K02275	cpz:CpPAT10_1422
ko:K01953	cpz:CpPAT10_1423
ko:K02231	cpz:CpPAT10_1426
ko:K00768	cpz:CpPAT10_1427
ko:K02233	cpz:CpPAT10_1428
ko:K00826	cpz:CpPAT10_1429
ko:K01255	cpz:CpPAT10_1430
ko:K00281	cpz:CpPAT10_1433
ko:K00605	cpz:CpPAT10_1434
ko:K02437	cpz:CpPAT10_1435
ko:K03801	cpz:CpPAT10_1437
ko:K03644	cpz:CpPAT10_1438
ko:K01915	cpz:CpPAT10_1441
ko:K03427	cpz:CpPAT10_1462
ko:K02003	cpz:CpPAT10_1467
ko:K07084	cpz:CpPAT10_1474
ko:K01733	cpz:CpPAT10_1477
ko:K03750	cpz:CpPAT10_0669
ko:K03790	cpz:CpPAT10_0670
ko:K15977	cpz:CpPAT10_0672
ko:K07056	cpz:CpPAT10_0678
ko:K01874	cpz:CpPAT10_0679
ko:K03424	cpz:CpPAT10_0680
ko:K02528	cpz:CpPAT10_0682
ko:K00919	cpz:CpPAT10_0683
ko:K03811	cpz:CpPAT10_0688
ko:K00134	cpz:CpPAT10_0693
ko:K02837	cpz:CpPAT10_0696
ko:K01056	cpz:CpPAT10_0698
ko:K00459	cpz:CpPAT10_0699
ko:K01056	cpz:CpPAT10_0700
ko:K00982	cpz:CpPAT10_1481
ko:K01915	cpz:CpPAT10_1482
ko:K00849	cpz:CpPAT10_1486
ko:K07164	cpz:CpPAT10_1489
ko:K00817	cpz:CpPAT10_1491
ko:K02227	cpz:CpPAT10_1495
ko:K00163	cpz:CpPAT10_1498
ko:K02078	cpz:CpPAT10_1500
ko:K00820	cpz:CpPAT10_1508
ko:K01129	cpz:CpPAT10_1511
ko:K01880	cpz:CpPAT10_1516
ko:K00806	cpz:CpPAT10_1521
ko:K03584	cpz:CpPAT10_1522
ko:K00868	cpz:CpPAT10_1524
ko:K07042	cpz:CpPAT10_1526
ko:K09761	cpz:CpPAT10_1528
ko:K03686	cpz:CpPAT10_1529
ko:K00566	cpz:CpPAT10_0863
ko:K01972	cpz:CpPAT10_0866
ko:K02435	cpz:CpPAT10_0868
ko:K02015	cpz:CpPAT10_0874
ko:K02013	cpz:CpPAT10_0875
ko:K02016	cpz:CpPAT10_0876
ko:K02434	cpz:CpPAT10_0879
ko:K06895	cpz:CpPAT10_0881
ko:K05596	cpz:CpPAT10_0882
ko:K01687	cpz:CpPAT10_0885
ko:K01653	cpz:CpPAT10_0890
ko:K00053	cpz:CpPAT10_0891
ko:K00052	cpz:CpPAT10_0896
ko:K02361	cpz:CpPAT10_0901
ko:K01012	cpz:CpPAT10_0904
ko:K01703	cpz:CpPAT10_0907
ko:K01704	cpz:CpPAT10_0908
ko:K00057	cpz:CpPAT10_0910
ko:K01921	cpz:CpPAT10_0911
ko:K00946	cpz:CpPAT10_0913
ko:K06199	cpz:CpPAT10_1691
ko:K06199	cpz:CpPAT10_1692
ko:K02003	cpz:CpPAT10_1694
ko:K00790	cpz:CpPAT10_1695
ko:K01738	cpz:CpPAT10_1699
ko:K00640	cpz:CpPAT10_1700
ko:K06975	cpz:CpPAT10_1701
ko:K00005	cpz:CpPAT10_1702
ko:K00425	cpz:CpPAT10_1703
ko:K00426	cpz:CpPAT10_1704
ko:K02039	cpz:CpPAT10_1709
ko:K02036	cpz:CpPAT10_1711
ko:K02037	cpz:CpPAT10_1713
ko:K02040	cpz:CpPAT10_1714
ko:K06980	cpz:CpPAT10_1720
ko:K01933	cpz:CpPAT10_1722
ko:K00764	cpz:CpPAT10_1723
ko:K11068	cpz:CpPAT10_1727
ko:K01952	cpz:CpPAT10_1728
ko:K01952	cpz:CpPAT10_1729
ko:K03070	cpz:CpPAT10_0523
ko:K06949	cpz:CpPAT10_0529
ko:K00800	cpz:CpPAT10_0530
ko:K03088	cpz:CpPAT10_0533
ko:K03657	cpz:CpPAT10_0544
ko:K03426	cpz:CpPAT10_0546
ko:K02860	cpz:CpPAT10_1321
ko:K02959	cpz:CpPAT10_1323
ko:K03106	cpz:CpPAT10_1324
ko:K00990	cpz:CpPAT10_1325
ko:K04751	cpz:CpPAT10_1326
ko:K03110	cpz:CpPAT10_1327
ko:K01512	cpz:CpPAT10_1330
ko:K03310	cpz:CpPAT10_1331
ko:K03685	cpz:CpPAT10_1333
ko:K07040	cpz:CpPAT10_1334
ko:K00259	cpz:CpPAT10_1337
ko:K00262	cpz:CpPAT10_1338
ko:K00865	cpz:CpPAT10_1339
ko:K00688	cpz:CpPAT10_1343
ko:K00873	cpz:CpPAT10_1345
ko:K01609	cpz:CpPAT10_1347
ko:K02500	cpz:CpPAT10_1350
ko:K02501	cpz:CpPAT10_1353
ko:K01693	cpz:CpPAT10_1356
ko:K00817	cpz:CpPAT10_1357
ko:K00013	cpz:CpPAT10_1358
ko:K04762	cpz:CpPAT10_1368
ko:K02337	cpz:CpPAT10_1372
ko:K05786	cpz:CpPAT10_1373
ko:K03657	cpz:CpPAT10_0547
ko:K07043	cpz:CpPAT10_0549
ko:K11738	cpz:CpPAT10_0569
ko:K02836	cpz:CpPAT10_0577
ko:K09812	cpz:CpPAT10_0580
ko:K09811	cpz:CpPAT10_0581
ko:K01626	cpz:CpPAT10_1409
ko:K03664	cpz:CpPAT10_0582
ko:K01673	cpz:CpPAT10_0584
ko:K00655	cpz:CpPAT10_1412
ko:K02276	cpz:CpPAT10_1420
ko:K02016	cpz:CpPAT10_0585
ko:K02015	cpz:CpPAT10_0586
ko:K02015	cpz:CpPAT10_0587
ko:K02013	cpz:CpPAT10_0588
ko:K06180	cpz:CpPAT10_1375
ko:K03101	cpz:CpPAT10_1376
ko:K02346	cpz:CpPAT10_1380
ko:K01870	cpz:CpPAT10_1381
ko:K02221	cpz:CpPAT10_1384
ko:K09772	cpz:CpPAT10_1385
ko:K05810	cpz:CpPAT10_1386
ko:K03531	cpz:CpPAT10_1387
ko:K03589	cpz:CpPAT10_1388
ko:K01924	cpz:CpPAT10_1389
ko:K02563	cpz:CpPAT10_1390
ko:K03588	cpz:CpPAT10_1391
ko:K01925	cpz:CpPAT10_1392
ko:K01000	cpz:CpPAT10_1393
ko:K01929	cpz:CpPAT10_1394
ko:K01928	cpz:CpPAT10_1395
ko:K03587	cpz:CpPAT10_1396
ko:K03438	cpz:CpPAT10_1398
ko:K03925	cpz:CpPAT10_1399
ko:K00297	cpz:CpPAT10_1404
ko:K02897	cpz:CpPAT10_0701
ko:K00948	cpz:CpPAT10_0703
ko:K04042	cpz:CpPAT10_0704
ko:K03723	cpz:CpPAT10_0708
ko:K03758	cpz:CpPAT10_0709
ko:K01689	cpz:CpPAT10_0712
ko:K01524	cpz:CpPAT10_0715
ko:K03624	cpz:CpPAT10_0719
ko:K00600	cpz:CpPAT10_0726
ko:K03823	cpz:CpPAT10_0732
ko:K03602	cpz:CpPAT10_0738
ko:K03601	cpz:CpPAT10_0739
ko:K03527	cpz:CpPAT10_0740
ko:K06942	cpz:CpPAT10_0743
ko:K06193	cpz:CpPAT10_0746
ko:K09781	cpz:CpPAT10_0751
ko:K00077	cpz:CpPAT10_0752
ko:K00705	cpz:CpPAT10_1534
ko:K01284	cpz:CpPAT10_1537
ko:K03311	cpz:CpPAT10_1545
ko:K07088	cpz:CpPAT10_1550
ko:K02034	cpz:CpPAT10_1553
ko:K06997	cpz:CpPAT10_1557
ko:K07112	cpz:CpPAT10_1558
ko:K03596	cpz:CpPAT10_1568
ko:K02968	cpz:CpPAT10_1570
ko:K02340	cpz:CpPAT10_1573
ko:K02237	cpz:CpPAT10_1575
ko:K09710	cpz:CpPAT10_1578
ko:K00969	cpz:CpPAT10_1579
ko:K00147	cpz:CpPAT10_1580
ko:K09790	cpz:CpPAT10_1582
ko:K07085	cpz:CpPAT10_1583
ko:K05896	cpz:CpPAT10_0967
ko:K01935	cpz:CpPAT10_0969
ko:K03305	cpz:CpPAT10_0970
ko:K00833	cpz:CpPAT10_0971
ko:K01935	cpz:CpPAT10_0972
ko:K06024	cpz:CpPAT10_0973
ko:K06178	cpz:CpPAT10_0974
ko:K00945	cpz:CpPAT10_0975
ko:K03977	cpz:CpPAT10_0976
ko:K02016	cpz:CpPAT10_0981
ko:K02015	cpz:CpPAT10_0983
ko:K02013	cpz:CpPAT10_0984
ko:K09858	cpz:CpPAT10_0991
ko:K03070	cpz:CpPAT10_0994
ko:K08999	cpz:CpPAT10_0997
ko:K03284	cpz:CpPAT10_1006
ko:K03885	cpz:CpPAT10_1008
ko:K00574	cpz:CpPAT10_1009
ko:K01918	cpz:CpPAT10_1786
ko:K00950	cpz:CpPAT10_1790
ko:K01633	cpz:CpPAT10_1791
ko:K00796	cpz:CpPAT10_1792
ko:K01495	cpz:CpPAT10_1793
ko:K03798	cpz:CpPAT10_1794
ko:K00760	cpz:CpPAT10_1795
ko:K04075	cpz:CpPAT10_1796
ko:K07259	cpz:CpPAT10_1797
ko:K11103	cpz:CpPAT10_1800
ko:K04077	cpz:CpPAT10_1809
ko:K05567	cpz:CpPAT10_1815
ko:K05569	cpz:CpPAT10_1817
ko:K05571	cpz:CpPAT10_1819
ko:K06048	cpz:CpPAT10_1821
ko:K01462	cpz:CpPAT10_1824
ko:K01142	cpz:CpPAT10_1826
ko:K06131	cpz:CpPAT10_1827
ko:K00925	cpz:CpPAT10_1834
ko:K13788	cpz:CpPAT10_1835
ko:K00528	cpz:CpPAT10_1836
ko:K01772	cpz:CpPAT10_1071
ko:K01681	cpz:CpPAT10_1074
ko:K01951	cpz:CpPAT10_1076
ko:K07166	cpz:CpPAT10_1077
ko:K09157	cpz:CpPAT10_1078
ko:K11717	cpz:CpPAT10_1086
ko:K09013	cpz:CpPAT10_1087
ko:K09015	cpz:CpPAT10_1088
ko:K09014	cpz:CpPAT10_1089
ko:K02259	cpz:CpPAT10_1094
ko:K00615	cpz:CpPAT10_1096
ko:K00036	cpz:CpPAT10_1098
ko:K01057	cpz:CpPAT10_1100
ko:K03075	cpz:CpPAT10_1101
ko:K01595	cpz:CpPAT10_1102
ko:K01803	cpz:CpPAT10_1103
ko:K00927	cpz:CpPAT10_1104
ko:K00134	cpz:CpPAT10_1105
ko:K06958	cpz:CpPAT10_1108
ko:K03703	cpz:CpPAT10_1109
ko:K00794	cpz:CpPAT10_1111
ko:K14652	cpz:CpPAT10_1112
ko:K00793	cpz:CpPAT10_1113
ko:K11752	cpz:CpPAT10_1114
ko:K01783	cpz:CpPAT10_1115
ko:K03686	cpz:CpPAT10_1898
ko:K03687	cpz:CpPAT10_1899
ko:K04043	cpz:CpPAT10_1900
ko:K03306	cpz:CpPAT10_1913
ko:K02013	cpz:CpPAT10_1919
ko:K02015	cpz:CpPAT10_1920
ko:K02016	cpz:CpPAT10_1921
ko:K03190	cpz:CpPAT10_1922
ko:K03189	cpz:CpPAT10_1923
ko:K03188	cpz:CpPAT10_1924
ko:K03187	cpz:CpPAT10_1925
ko:K01428	cpz:CpPAT10_1926
ko:K01429	cpz:CpPAT10_1927
ko:K01430	cpz:CpPAT10_1928
ko:K14260	cpz:CpPAT10_1931
ko:K04567	cpz:CpPAT10_1933
ko:K01494	cpz:CpPAT10_1938
ko:K01207	cpz:CpPAT10_1941
ko:K04756	cpz:CpPAT10_1217
ko:K04761	cpz:CpPAT10_1219
ko:K03578	cpz:CpPAT10_1221
ko:K07738	cpz:CpPAT10_1222
ko:K01356	cpz:CpPAT10_1224
ko:K02768	cpz:CpPAT10_1229
ko:K02769	cpz:CpPAT10_1229
ko:K02770	cpz:CpPAT10_1229
ko:K00299	cpz:CpPAT10_1233
ko:K03665	cpz:CpPAT10_1235
ko:K01778	cpz:CpPAT10_1238
ko:K00791	cpz:CpPAT10_1239
ko:K06168	cpz:CpPAT10_1244
ko:K03565	cpz:CpPAT10_1245
ko:K03523	cpz:CpPAT10_1248
ko:K00995	cpz:CpPAT10_1254
ko:K09780	cpz:CpPAT10_1255
ko:K03466	cpz:CpPAT10_1258
ko:K01714	cpz:CpPAT10_1261
ko:K00215	cpz:CpPAT10_1263
ko:K00962	cpz:CpPAT10_1264
ko:K02956	cpz:CpPAT10_1266
ko:K11753	cpz:CpPAT10_1268
ko:K01421	cpz:CpPAT10_2054
ko:K01869	cpz:CpPAT10_2055
ko:K02003	cpz:CpPAT10_2056
ko:K01443	cpz:CpPAT10_2064
ko:K01714	cpz:CpPAT10_2072
ko:K01792	cpz:CpPAT10_2076
ko:K09946	cpz:CpPAT10_2079
ko:K01657	cpz:CpPAT10_2086
ko:K00766	cpz:CpPAT10_2088
ko:K13498	cpz:CpPAT10_2089
ko:K01696	cpz:CpPAT10_2090
ko:K01695	cpz:CpPAT10_2091
ko:K14347	cpz:CpPAT10_2093
ko:K07735	cpz:CpPAT10_2097
ko:K03500	cpz:CpPAT10_1116
ko:K00604	cpz:CpPAT10_1117
ko:K01462	cpz:CpPAT10_1118
ko:K04066	cpz:CpPAT10_1119
ko:K00789	cpz:CpPAT10_1120
ko:K13038	cpz:CpPAT10_1121
ko:K03060	cpz:CpPAT10_1122
ko:K00942	cpz:CpPAT10_1123
ko:K01591	cpz:CpPAT10_1126
ko:K01955	cpz:CpPAT10_1127
ko:K01956	cpz:CpPAT10_1128
ko:K01465	cpz:CpPAT10_1129
ko:K00609	cpz:CpPAT10_1130
ko:K02825	cpz:CpPAT10_1131
ko:K07071	cpz:CpPAT10_1132
ko:K03625	cpz:CpPAT10_1134
