ko:K06896	sjj:SPJ_0697
ko:K02761	sjj:SPJ_1713
ko:K01695	sjj:SPJ_1719
ko:K01696	sjj:SPJ_1720
ko:K01817	sjj:SPJ_1721
ko:K01609	sjj:SPJ_1722
ko:K02003	sjj:SPJ_0724
ko:K00383	sjj:SPJ_0726
ko:K01874	sjj:SPJ_0730
ko:K00059	sjj:SPJ_0737
ko:K01256	sjj:SPJ_0742
ko:K03722	sjj:SPJ_0748
ko:K05837	sjj:SPJ_0749
ko:K03152	sjj:SPJ_0750
ko:K02470	sjj:SPJ_0752
ko:K06286	sjj:SPJ_0753
ko:K03697	sjj:SPJ_0759
ko:K01807	sjj:SPJ_0766
ko:K01839	sjj:SPJ_0767
ko:K03783	sjj:SPJ_0769
ko:K03784	sjj:SPJ_0773
ko:K02968	sjj:SPJ_0775
ko:K00867	sjj:SPJ_0776
ko:K00756	sjj:SPJ_0779
ko:K01619	sjj:SPJ_0780
ko:K01489	sjj:SPJ_0781
ko:K00766	sjj:SPJ_1723
ko:K01658	sjj:SPJ_1724
ko:K01657	sjj:SPJ_1725
ko:K07507	sjj:SPJ_1729
ko:K02011	sjj:SPJ_1730
ko:K02012	sjj:SPJ_1732
ko:K02039	sjj:SPJ_1737
ko:K01142	sjj:SPJ_1749
ko:K03816	sjj:SPJ_1752
ko:K00849	sjj:SPJ_1758
ko:K02529	sjj:SPJ_1759
ko:K03811	sjj:SPJ_1764
ko:K05845	sjj:SPJ_1766
ko:K05846	sjj:SPJ_1766
ko:K02015	sjj:SPJ_1774
ko:K02015	sjj:SPJ_1775
ko:K02013	sjj:SPJ_1776
ko:K02016	sjj:SPJ_1777
ko:K08998	sjj:SPJ_1778
ko:K06178	sjj:SPJ_1779
ko:K06024	sjj:SPJ_1780
ko:K05896	sjj:SPJ_1781
ko:K06890	sjj:SPJ_1965
ko:K01512	sjj:SPJ_1967
ko:K03217	sjj:SPJ_1968
ko:K04069	sjj:SPJ_1969
ko:K01586	sjj:SPJ_1970
ko:K09685	sjj:SPJ_1971
ko:K03698	sjj:SPJ_1972
ko:K09760	sjj:SPJ_1973
ko:K01783	sjj:SPJ_1975
ko:K06949	sjj:SPJ_1976
ko:K02528	sjj:SPJ_1977
ko:K01873	sjj:SPJ_0529
ko:K01889	sjj:SPJ_0534
ko:K01890	sjj:SPJ_0536
ko:K00549	sjj:SPJ_0540
ko:K00962	sjj:SPJ_0542
ko:K00640	sjj:SPJ_0543
ko:K01883	sjj:SPJ_0545
ko:K11145	sjj:SPJ_0546
ko:K02003	sjj:SPJ_0553
ko:K01624	sjj:SPJ_0557
ko:K07462	sjj:SPJ_0563
ko:K03703	sjj:SPJ_0569
ko:K03311	sjj:SPJ_0578
ko:K02867	sjj:SPJ_0582
ko:K02863	sjj:SPJ_0583
ko:K11065	sjj:SPJ_1546
ko:K02003	sjj:SPJ_1549
ko:K01834	sjj:SPJ_1551
ko:K01870	sjj:SPJ_1554
ko:K04074	sjj:SPJ_1556
ko:K02221	sjj:SPJ_1558
ko:K09772	sjj:SPJ_1559
ko:K06997	sjj:SPJ_1560
ko:K03531	sjj:SPJ_1561
ko:K03590	sjj:SPJ_1562
ko:K01929	sjj:SPJ_1565
ko:K01921	sjj:SPJ_1566
ko:K06187	sjj:SPJ_1567
ko:K01639	sjj:SPJ_1571
ko:K02026	sjj:SPJ_1575
ko:K02025	sjj:SPJ_1576
ko:K01788	sjj:SPJ_1579
ko:K02026	sjj:SPJ_1582
ko:K02025	sjj:SPJ_1583
ko:K03655	sjj:SPJ_1590
ko:K01775	sjj:SPJ_1591
ko:K00997	sjj:SPJ_1592
ko:K01626	sjj:SPJ_1593
ko:K01626	sjj:SPJ_1594
ko:K03070	sjj:SPJ_1595
ko:K07058	sjj:SPJ_0606
ko:K06196	sjj:SPJ_0607
ko:K00845	sjj:SPJ_0619
ko:K00560	sjj:SPJ_0620
ko:K00791	sjj:SPJ_0622
ko:K03665	sjj:SPJ_0623
ko:K00784	sjj:SPJ_0625
ko:K07124	sjj:SPJ_0626
ko:K06207	sjj:SPJ_0631
ko:K02003	sjj:SPJ_0637
ko:K01925	sjj:SPJ_0638
ko:K02563	sjj:SPJ_0639
ko:K03589	sjj:SPJ_0640
ko:K01591	sjj:SPJ_0641
ko:K00762	sjj:SPJ_0642
ko:K04567	sjj:SPJ_0654
ko:K00878	sjj:SPJ_0657
ko:K00788	sjj:SPJ_0658
ko:K03977	sjj:SPJ_1604
ko:K11144	sjj:SPJ_1606
ko:K03346	sjj:SPJ_1607
ko:K07738	sjj:SPJ_1608
ko:K00847	sjj:SPJ_1616
ko:K01641	sjj:SPJ_1622
ko:K03500	sjj:SPJ_1630
ko:K00604	sjj:SPJ_1631
ko:K04066	sjj:SPJ_1632
ko:K03060	sjj:SPJ_1633
ko:K00942	sjj:SPJ_1634
ko:K09710	sjj:SPJ_1640
ko:K00969	sjj:SPJ_1643
ko:K07574	sjj:SPJ_1644
ko:K07015	sjj:SPJ_1646
ko:K03070	sjj:SPJ_1656
ko:K03076	sjj:SPJ_1660
ko:K00262	sjj:SPJ_1219
ko:K03707	sjj:SPJ_0662
ko:K00878	sjj:SPJ_0664
ko:K00788	sjj:SPJ_0665
ko:K00158	sjj:SPJ_0670
ko:K01809	sjj:SPJ_0675
ko:K03308	sjj:SPJ_0676
ko:K07007	sjj:SPJ_0680
ko:K01493	sjj:SPJ_0683
ko:K00761	sjj:SPJ_0684
ko:K01358	sjj:SPJ_0685
ko:K01999	sjj:SPJ_0687
ko:K01997	sjj:SPJ_0688
ko:K01998	sjj:SPJ_0689
ko:K01995	sjj:SPJ_0690
ko:K01996	sjj:SPJ_0691
ko:K02836	sjj:SPJ_0693
ko:K09812	sjj:SPJ_0694
ko:K00797	sjj:SPJ_0859
ko:K10536	sjj:SPJ_0862
ko:K03101	sjj:SPJ_0868
ko:K06180	sjj:SPJ_0869
ko:K00931	sjj:SPJ_0871
ko:K00147	sjj:SPJ_0872
ko:K00286	sjj:SPJ_0873
ko:K00943	sjj:SPJ_0874
ko:K02341	sjj:SPJ_0875
ko:K07056	sjj:SPJ_0877
ko:K04094	sjj:SPJ_0882
ko:K09903	sjj:SPJ_0883
ko:K02838	sjj:SPJ_0884
ko:K00243	sjj:SPJ_0885
ko:K06217	sjj:SPJ_0888
ko:K02237	sjj:SPJ_0895
ko:K02238	sjj:SPJ_0896
ko:K02520	sjj:SPJ_0900
ko:K02916	sjj:SPJ_0901
ko:K02887	sjj:SPJ_0902
ko:K07042	sjj:SPJ_0908
ko:K03595	sjj:SPJ_0910
ko:K10563	sjj:SPJ_0911
ko:K00859	sjj:SPJ_0912
ko:K02913	sjj:SPJ_0914
ko:K03075	sjj:SPJ_0915
ko:K03664	sjj:SPJ_0917
ko:K08602	sjj:SPJ_0920
ko:K06878	sjj:SPJ_1905
ko:K07533	sjj:SPJ_0922
ko:K03976	sjj:SPJ_0926
ko:K08974	sjj:SPJ_0927
ko:K04042	sjj:SPJ_0929
ko:K01243	sjj:SPJ_0932
ko:K02342	sjj:SPJ_0934
ko:K01126	sjj:SPJ_0935
ko:K06196	sjj:SPJ_0940
ko:K09815	sjj:SPJ_0943
ko:K01258	sjj:SPJ_0948
ko:K01772	sjj:SPJ_0949
ko:K03282	sjj:SPJ_0950
ko:K00133	sjj:SPJ_0954
ko:K01714	sjj:SPJ_0955
ko:K03650	sjj:SPJ_0956
ko:K01821	sjj:SPJ_0957
ko:K00857	sjj:SPJ_0958
ko:K02835	sjj:SPJ_0959
ko:K02493	sjj:SPJ_0960
ko:K07566	sjj:SPJ_0961
ko:K00600	sjj:SPJ_0963
ko:K02016	sjj:SPJ_0969
ko:K02015	sjj:SPJ_0970
ko:K02015	sjj:SPJ_0971
ko:K02013	sjj:SPJ_0972
ko:K11031	sjj:SPJ_1920
ko:K03553	sjj:SPJ_1934
ko:K06925	sjj:SPJ_1938
ko:K02003	sjj:SPJ_1950
ko:K00940	sjj:SPJ_1952
ko:K03046	sjj:SPJ_1953
ko:K03043	sjj:SPJ_1954
ko:K00790	sjj:SPJ_1959
ko:K07177	sjj:SPJ_1961
ko:K00954	sjj:SPJ_1962
ko:K01914	sjj:SPJ_1964
ko:K00793	sjj:SPJ_0194
ko:K11752	sjj:SPJ_0195
ko:K03550	sjj:SPJ_0196
ko:K01246	sjj:SPJ_0197
ko:K03284	sjj:SPJ_0201
ko:K03701	sjj:SPJ_0202
ko:K01262	sjj:SPJ_0203
ko:K07447	sjj:SPJ_0207
ko:K06131	sjj:SPJ_0211
ko:K04068	sjj:SPJ_0216
ko:K02946	sjj:SPJ_0218
ko:K02906	sjj:SPJ_0219
ko:K02926	sjj:SPJ_0220
ko:K02892	sjj:SPJ_0221
ko:K02886	sjj:SPJ_0222
ko:K02965	sjj:SPJ_0223
ko:K02890	sjj:SPJ_0224
ko:K02982	sjj:SPJ_0225
ko:K02878	sjj:SPJ_0226
ko:K02904	sjj:SPJ_0227
ko:K02961	sjj:SPJ_0228
ko:K02874	sjj:SPJ_0229
ko:K02895	sjj:SPJ_0230
ko:K02931	sjj:SPJ_0231
ko:K02954	sjj:SPJ_0232
ko:K02994	sjj:SPJ_0233
ko:K02933	sjj:SPJ_0234
ko:K02881	sjj:SPJ_0235
ko:K02988	sjj:SPJ_0236
ko:K02907	sjj:SPJ_0237
ko:K02876	sjj:SPJ_0238
ko:K03076	sjj:SPJ_0239
ko:K00939	sjj:SPJ_0240
ko:K02518	sjj:SPJ_0241
ko:K02919	sjj:SPJ_0242
ko:K02952	sjj:SPJ_0243
ko:K02948	sjj:SPJ_0244
ko:K03040	sjj:SPJ_0245
ko:K02879	sjj:SPJ_0246
ko:K07166	sjj:SPJ_0247
ko:K09157	sjj:SPJ_0248
ko:K04069	sjj:SPJ_0257
ko:K02759	sjj:SPJ_0260
ko:K02760	sjj:SPJ_0261
ko:K02761	sjj:SPJ_0262
ko:K02124	sjj:SPJ_1237
ko:K02123	sjj:SPJ_1238
ko:K01639	sjj:SPJ_1245
ko:K01788	sjj:SPJ_1246
ko:K02935	sjj:SPJ_1254
ko:K02864	sjj:SPJ_1255
ko:K00872	sjj:SPJ_1260
ko:K00003	sjj:SPJ_1261
ko:K00891	sjj:SPJ_1270
ko:K00800	sjj:SPJ_1271
ko:K01736	sjj:SPJ_1274
ko:K01735	sjj:SPJ_1275
ko:K00014	sjj:SPJ_1276
ko:K03785	sjj:SPJ_1277
ko:K06969	sjj:SPJ_1278
ko:K01872	sjj:SPJ_1282
ko:K11069	sjj:SPJ_1285
ko:K11070	sjj:SPJ_1286
ko:K11071	sjj:SPJ_1287
ko:K00075	sjj:SPJ_1289
ko:K01575	sjj:SPJ_1291
ko:K02314	sjj:SPJ_2229
ko:K02939	sjj:SPJ_2230
ko:K05808	sjj:SPJ_2232
ko:K02240	sjj:SPJ_2234
ko:K01738	sjj:SPJ_2236
ko:K02357	sjj:SPJ_2240
ko:K02967	sjj:SPJ_2241
ko:K03571	sjj:SPJ_2243
ko:K03570	sjj:SPJ_2244
ko:K00995	sjj:SPJ_2248
ko:K03629	sjj:SPJ_2253
ko:K00088	sjj:SPJ_2254
ko:K01867	sjj:SPJ_2255
ko:K00783	sjj:SPJ_2268
ko:K03497	sjj:SPJ_2270
ko:K00656	sjj:SPJ_0263
ko:K00005	sjj:SPJ_0265
ko:K01869	sjj:SPJ_0266
ko:K03551	sjj:SPJ_0269
ko:K09962	sjj:SPJ_0270
ko:K00806	sjj:SPJ_0271
ko:K00981	sjj:SPJ_0272
ko:K01881	sjj:SPJ_0274
ko:K00820	sjj:SPJ_0276
ko:K02950	sjj:SPJ_0279
ko:K02992	sjj:SPJ_0280
ko:K02355	sjj:SPJ_0281
ko:K03763	sjj:SPJ_0282
ko:K07473	sjj:SPJ_0283
ko:K01372	sjj:SPJ_0289
ko:K02796	sjj:SPJ_0290
ko:K02795	sjj:SPJ_0291
ko:K02793	sjj:SPJ_0292
ko:K02794	sjj:SPJ_0292
ko:K06901	sjj:SPJ_0296
ko:K00796	sjj:SPJ_0298
ko:K01495	sjj:SPJ_0300
ko:K02871	sjj:SPJ_0304
ko:K02996	sjj:SPJ_0305
ko:K00432	sjj:SPJ_0309
ko:K01727	sjj:SPJ_0310
ko:K01625	sjj:SPJ_0312
ko:K00874	sjj:SPJ_0313
ko:K00046	sjj:SPJ_0315
ko:K02744	sjj:SPJ_0316
ko:K02745	sjj:SPJ_0318
ko:K02746	sjj:SPJ_0319
ko:K02747	sjj:SPJ_0320
ko:K03210	sjj:SPJ_0321
ko:K02039	sjj:SPJ_1294
ko:K02036	sjj:SPJ_1295
ko:K02036	sjj:SPJ_1296
ko:K02038	sjj:SPJ_1297
ko:K02037	sjj:SPJ_1298
ko:K02040	sjj:SPJ_1299
ko:K01092	sjj:SPJ_1302
ko:K06023	sjj:SPJ_1312
ko:K02970	sjj:SPJ_1313
ko:K02564	sjj:SPJ_1314
ko:K07568	sjj:SPJ_1315
ko:K00763	sjj:SPJ_1319
ko:K08303	sjj:SPJ_1327
ko:K01951	sjj:SPJ_1344
ko:K03710	sjj:SPJ_1345
ko:K01462	sjj:SPJ_1355
ko:K03218	sjj:SPJ_1356
ko:K00384	sjj:SPJ_1357
ko:K02086	sjj:SPJ_1481
ko:K00651	sjj:SPJ_1482
ko:K00759	sjj:SPJ_1483
ko:K10112	sjj:SPJ_1487
ko:K03706	sjj:SPJ_1490
ko:K05592	sjj:SPJ_1491
ko:K01928	sjj:SPJ_1494
ko:K07009	sjj:SPJ_1495
ko:K06173	sjj:SPJ_1503
ko:K06193	sjj:SPJ_1508
ko:K00945	sjj:SPJ_1509
ko:K06967	sjj:SPJ_1517
ko:K00655	sjj:SPJ_1519
ko:K02956	sjj:SPJ_1521
ko:K07118	sjj:SPJ_1522
ko:K01868	sjj:SPJ_1524
ko:K07560	sjj:SPJ_1538
ko:K07386	sjj:SPJ_1542
ko:K03584	sjj:SPJ_0060
ko:K03621	sjj:SPJ_0061
ko:K02078	sjj:SPJ_0062
ko:K01923	sjj:SPJ_0075
ko:K01952	sjj:SPJ_0077
ko:K00764	sjj:SPJ_0078
ko:K01933	sjj:SPJ_0079
ko:K11175	sjj:SPJ_0080
ko:K00602	sjj:SPJ_0082
ko:K01945	sjj:SPJ_0083
ko:K01588	sjj:SPJ_0084
ko:K01589	sjj:SPJ_0085
ko:K01756	sjj:SPJ_0087
ko:K02795	sjj:SPJ_0092
ko:K02796	sjj:SPJ_0093
ko:K02082	sjj:SPJ_0095
ko:K01785	sjj:SPJ_0096
ko:K07104	sjj:SPJ_0097
ko:K03498	sjj:SPJ_0103
ko:K03499	sjj:SPJ_0104
ko:K02986	sjj:SPJ_0111
ko:K07146	sjj:SPJ_0118
ko:K03449	sjj:SPJ_0124
ko:K03596	sjj:SPJ_1118
ko:K07313	sjj:SPJ_1119
ko:K03631	sjj:SPJ_1120
ko:K03402	sjj:SPJ_1121
ko:K06442	sjj:SPJ_1122
ko:K03602	sjj:SPJ_1124
ko:K03601	sjj:SPJ_1125
ko:K00876	sjj:SPJ_1126
ko:K03177	sjj:SPJ_1128
ko:K02469	sjj:SPJ_1134
ko:K00016	sjj:SPJ_1135
ko:K07652	sjj:SPJ_1140
ko:K07668	sjj:SPJ_1141
ko:K03575	sjj:SPJ_1142
ko:K01938	sjj:SPJ_1143
ko:K03702	sjj:SPJ_1152
ko:K00036	sjj:SPJ_1156
ko:K03110	sjj:SPJ_1157
ko:K03529	sjj:SPJ_1160
ko:K03685	sjj:SPJ_1161
ko:K00364	sjj:SPJ_1163
ko:K01704	sjj:SPJ_1169
ko:K00052	sjj:SPJ_1171
ko:K06201	sjj:SPJ_1175
ko:K07658	sjj:SPJ_2103
ko:K07636	sjj:SPJ_2104
ko:K02040	sjj:SPJ_2105
ko:K02037	sjj:SPJ_2106
ko:K02038	sjj:SPJ_2107
ko:K02036	sjj:SPJ_2108
ko:K02039	sjj:SPJ_2109
ko:K00057	sjj:SPJ_2112
ko:K00963	sjj:SPJ_2113
ko:K05823	sjj:SPJ_2116
ko:K01866	sjj:SPJ_2120
ko:K00563	sjj:SPJ_2123
ko:K00688	sjj:SPJ_2127
ko:K00705	sjj:SPJ_2128
ko:K02529	sjj:SPJ_2133
ko:K01876	sjj:SPJ_2136
ko:K01892	sjj:SPJ_2144
ko:K01687	sjj:SPJ_2151
ko:K00615	sjj:SPJ_2152
ko:K00615	sjj:SPJ_2153
ko:K03475	sjj:SPJ_2154
ko:K02822	sjj:SPJ_2155
ko:K02911	sjj:SPJ_2159
ko:K02913	sjj:SPJ_2160
ko:K01091	sjj:SPJ_0127
ko:K01752	sjj:SPJ_0128
ko:K01752	sjj:SPJ_0129
ko:K02003	sjj:SPJ_0134
ko:K01755	sjj:SPJ_0138
ko:K00566	sjj:SPJ_0151
ko:K03495	sjj:SPJ_0153
ko:K03789	sjj:SPJ_0160
ko:K01409	sjj:SPJ_0161
ko:K00012	sjj:SPJ_0170
ko:K02073	sjj:SPJ_0178
ko:K01439	sjj:SPJ_0179
ko:K02071	sjj:SPJ_0180
ko:K02072	sjj:SPJ_0181
ko:K03647	sjj:SPJ_0187
ko:K03572	sjj:SPJ_0191
ko:K00794	sjj:SPJ_0192
ko:K09790	sjj:SPJ_1176
ko:K03168	sjj:SPJ_1177
ko:K04096	sjj:SPJ_1180
ko:K13292	sjj:SPJ_1311
ko:K03484	sjj:SPJ_1620
ko:K04517	sjj:SPJ_1273
ko:K00841	sjj:SPJ_0059
ko:K02794	sjj:SPJ_0091
ko:K10682	sjj:SPJ_0109
ko:K00297	sjj:SPJ_0541
ko:K11209	sjj:SPJ_1458
ko:K12267	sjj:SPJ_0609
ko:K12268	sjj:SPJ_1659
ko:K12269	sjj:SPJ_1658
ko:K01628	sjj:SPJ_2192
ko:K07052	sjj:SPJ_0198
ko:K06183	sjj:SPJ_0288
ko:K07052	sjj:SPJ_0297
ko:K03574	sjj:SPJ_0679
ko:K03767	sjj:SPJ_0708
ko:K01215	sjj:SPJ_0334
ko:K01104	sjj:SPJ_0336
ko:K02799	sjj:SPJ_0383
ko:K02800	sjj:SPJ_0383
ko:K01759	sjj:SPJ_0903
ko:K01515	sjj:SPJ_0930
ko:K03483	sjj:SPJ_0384
ko:K02798	sjj:SPJ_0385
ko:K01992	sjj:SPJ_0489
ko:K07052	sjj:SPJ_0507
ko:K07729	sjj:SPJ_1321
ko:K03438	sjj:SPJ_0327
ko:K01000	sjj:SPJ_0330
ko:K04086	sjj:SPJ_0331
ko:K07173	sjj:SPJ_0332
ko:K02035	sjj:SPJ_0353
ko:K05366	sjj:SPJ_0355
ko:K01200	sjj:SPJ_1056
ko:K01934	sjj:SPJ_2115
ko:K03588	sjj:SPJ_1005
ko:K01595	sjj:SPJ_1006
ko:K01989	sjj:SPJ_1007
ko:K05832	sjj:SPJ_1008
ko:K05833	sjj:SPJ_1009
ko:K02316	sjj:SPJ_1010
ko:K03086	sjj:SPJ_1011
ko:K03979	sjj:SPJ_1017
ko:K00790	sjj:SPJ_1019
ko:K01265	sjj:SPJ_1022
ko:K03657	sjj:SPJ_1025
ko:K03630	sjj:SPJ_1027
ko:K07010	sjj:SPJ_1026
ko:K01926	sjj:SPJ_1028
ko:K04487	sjj:SPJ_1031
ko:K00948	sjj:SPJ_1032
ko:K07816	sjj:SPJ_1034
ko:K00858	sjj:SPJ_1035
ko:K06180	sjj:SPJ_1036
ko:K09747	sjj:SPJ_1041
ko:K02888	sjj:SPJ_1043
ko:K07584	sjj:SPJ_1044
ko:K02899	sjj:SPJ_1045
ko:K11753	sjj:SPJ_1048
ko:K03530	sjj:SPJ_1051
ko:K06158	sjj:SPJ_1052
ko:K02003	sjj:SPJ_1979
ko:K05985	sjj:SPJ_1983
ko:K03424	sjj:SPJ_1984
ko:K02914	sjj:SPJ_1986
ko:K02529	sjj:SPJ_1993
ko:K07778	sjj:SPJ_1995
ko:K02601	sjj:SPJ_2015
ko:K03073	sjj:SPJ_2016
ko:K02913	sjj:SPJ_2017
ko:K06180	sjj:SPJ_2019
ko:K00134	sjj:SPJ_2020
ko:K00767	sjj:SPJ_2023
ko:K05350	sjj:SPJ_2027
ko:K02761	sjj:SPJ_2028
ko:K02760	sjj:SPJ_2029
ko:K02759	sjj:SPJ_2030
ko:K03210	sjj:SPJ_2035
ko:K00615	sjj:SPJ_2036
ko:K03476	sjj:SPJ_2037
ko:K02313	sjj:SPJ_0001
ko:K02338	sjj:SPJ_0002
ko:K06942	sjj:SPJ_0004
ko:K01056	sjj:SPJ_0005
ko:K03723	sjj:SPJ_0006
ko:K04075	sjj:SPJ_0011
ko:K00760	sjj:SPJ_0012
ko:K03798	sjj:SPJ_0013
ko:K01939	sjj:SPJ_0028
ko:K07504	sjj:SPJ_0032
ko:K01520	sjj:SPJ_0045
ko:K04485	sjj:SPJ_0047
ko:K01673	sjj:SPJ_0048
ko:K00948	sjj:SPJ_0051
ko:K02335	sjj:SPJ_0056
ko:K06929	sjj:SPJ_0057
ko:K01972	sjj:SPJ_1055
ko:K00700	sjj:SPJ_1058
ko:K00975	sjj:SPJ_1059
ko:K00975	sjj:SPJ_1060
ko:K00865	sjj:SPJ_1065
ko:K01689	sjj:SPJ_1066
ko:K03470	sjj:SPJ_1076
ko:K03800	sjj:SPJ_1079
ko:K00382	sjj:SPJ_1080
ko:K00627	sjj:SPJ_1081
ko:K00162	sjj:SPJ_1082
ko:K00161	sjj:SPJ_1083
ko:K03327	sjj:SPJ_1084
ko:K01465	sjj:SPJ_1085
ko:K03648	sjj:SPJ_1087
ko:K08483	sjj:SPJ_1094
ko:K06191	sjj:SPJ_1097
ko:K00525	sjj:SPJ_1098
ko:K00526	sjj:SPJ_1099
ko:K02530	sjj:SPJ_1100
ko:K01220	sjj:SPJ_1102
ko:K02787	sjj:SPJ_1103
ko:K02788	sjj:SPJ_1103
ko:K01635	sjj:SPJ_1106
ko:K02821	sjj:SPJ_2042
ko:K02822	sjj:SPJ_2043
ko:K03475	sjj:SPJ_2044
ko:K06346	sjj:SPJ_2046
ko:K03217	sjj:SPJ_2047
ko:K03536	sjj:SPJ_2048
ko:K00925	sjj:SPJ_2050
ko:K02245	sjj:SPJ_2057
ko:K02244	sjj:SPJ_2058
ko:K02243	sjj:SPJ_2059
ko:K01443	sjj:SPJ_2062
ko:K00773	sjj:SPJ_2064
ko:K01304	sjj:SPJ_2066
ko:K08987	sjj:SPJ_2067
ko:K01733	sjj:SPJ_2072
ko:K09698	sjj:SPJ_2091
ko:K01810	sjj:SPJ_2092
ko:K07010	sjj:SPJ_2094
ko:K03555	sjj:SPJ_2098
ko:K03402	sjj:SPJ_2099
ko:K01887	sjj:SPJ_2100
ko:K09705	sjj:SPJ_2102
ko:K03700	sjj:SPJ_0356
ko:K07444	sjj:SPJ_0359
ko:K00033	sjj:SPJ_0361
ko:K00869	sjj:SPJ_0368
ko:K01597	sjj:SPJ_0369
ko:K00938	sjj:SPJ_0370
ko:K01823	sjj:SPJ_0371
ko:K00009	sjj:SPJ_0386
ko:K03545	sjj:SPJ_0388
ko:K00567	sjj:SPJ_1362
ko:K11068	sjj:SPJ_1365
ko:K08681	sjj:SPJ_1366
ko:K06215	sjj:SPJ_1367
ko:K03734	sjj:SPJ_1370
ko:K01879	sjj:SPJ_1374
ko:K01878	sjj:SPJ_1375
ko:K02358	sjj:SPJ_1388
ko:K02440	sjj:SPJ_1391
ko:K02114	sjj:SPJ_1409
ko:K02112	sjj:SPJ_1410
ko:K02115	sjj:SPJ_1411
ko:K02111	sjj:SPJ_1412
ko:K02113	sjj:SPJ_1413
ko:K02109	sjj:SPJ_1414
ko:K02108	sjj:SPJ_1415
ko:K02110	sjj:SPJ_1416
ko:K03581	sjj:SPJ_0389
ko:K03100	sjj:SPJ_0390
ko:K03471	sjj:SPJ_0391
ko:K07456	sjj:SPJ_0394
ko:K03310	sjj:SPJ_0395
ko:K11041	sjj:SPJ_0397
ko:K01875	sjj:SPJ_0398
ko:K00928	sjj:SPJ_0400
ko:K00648	sjj:SPJ_0403
ko:K02078	sjj:SPJ_0404
ko:K02371	sjj:SPJ_0405
ko:K00645	sjj:SPJ_0406
ko:K00059	sjj:SPJ_0407
ko:K09458	sjj:SPJ_0408
ko:K02160	sjj:SPJ_0409
ko:K02372	sjj:SPJ_0410
ko:K01963	sjj:SPJ_0412
ko:K01962	sjj:SPJ_0413
ko:K03625	sjj:SPJ_0417
ko:K02356	sjj:SPJ_0419
ko:K02434	sjj:SPJ_0420
ko:K02433	sjj:SPJ_0421
ko:K02435	sjj:SPJ_0422
ko:K02837	sjj:SPJ_0423
ko:K02902	sjj:SPJ_0425
ko:K07030	sjj:SPJ_0427
ko:K01652	sjj:SPJ_0428
