ko:K03605	dmd:dcmb_134
ko:K03072	dmd:dcmb_347
ko:K04066	dmd:dcmb_350
ko:K02884	dmd:dcmb_351
ko:K00554	dmd:dcmb_352
ko:K03925	dmd:dcmb_353
ko:K03438	dmd:dcmb_354
ko:K03590	dmd:dcmb_355
ko:K03531	dmd:dcmb_356
ko:K07738	dmd:dcmb_357
ko:K09117	dmd:dcmb_361
ko:K02970	dmd:dcmb_362
ko:K03797	dmd:dcmb_378
ko:K01889	dmd:dcmb_379
ko:K01890	dmd:dcmb_380
ko:K01881	dmd:dcmb_382
ko:K00099	dmd:dcmb_385
ko:K00981	dmd:dcmb_386
ko:K00806	dmd:dcmb_387
ko:K02838	dmd:dcmb_388
ko:K09903	dmd:dcmb_389
ko:K02357	dmd:dcmb_390
ko:K02967	dmd:dcmb_391
ko:K01952	dmd:dcmb_392
ko:K01952	dmd:dcmb_393
ko:K06215	dmd:dcmb_394
ko:K07056	dmd:dcmb_399
ko:K04069	dmd:dcmb_1171
ko:K09767	dmd:dcmb_1175
ko:K00859	dmd:dcmb_1182
ko:K02888	dmd:dcmb_1184
ko:K02899	dmd:dcmb_1185
ko:K02909	dmd:dcmb_1186
ko:K01814	dmd:dcmb_1190
ko:K02435	dmd:dcmb_1193
ko:K10907	dmd:dcmb_1201
ko:K01867	dmd:dcmb_1202
ko:K03527	dmd:dcmb_1203
ko:K03088	dmd:dcmb_1207
ko:K02662	dmd:dcmb_1218
ko:K02669	dmd:dcmb_1219
ko:K02654	dmd:dcmb_1221
ko:K05947	dmd:dcmb_1222
ko:K02313	dmd:dcmb_1
ko:K03979	dmd:dcmb_2
ko:K00969	dmd:dcmb_3
ko:K02470	dmd:dcmb_4
ko:K01892	dmd:dcmb_6
ko:K08591	dmd:dcmb_8
ko:K00826	dmd:dcmb_9
ko:K02346	dmd:dcmb_10
ko:K01591	dmd:dcmb_12
ko:K11754	dmd:dcmb_15
ko:K07560	dmd:dcmb_18
ko:K02237	dmd:dcmb_24
ko:K16264	dmd:dcmb_31
ko:K07220	dmd:dcmb_32
ko:K03306	dmd:dcmb_33
ko:K00942	dmd:dcmb_34
ko:K09777	dmd:dcmb_35
ko:K00528	dmd:dcmb_36
ko:K00266	dmd:dcmb_37
ko:K06942	dmd:dcmb_44
ko:K02340	dmd:dcmb_46
ko:K01872	dmd:dcmb_49
ko:K07447	dmd:dcmb_50
ko:K00773	dmd:dcmb_51
ko:K03696	dmd:dcmb_55
ko:K04485	dmd:dcmb_56
ko:K00991	dmd:dcmb_57
ko:K01770	dmd:dcmb_58
ko:K03893	dmd:dcmb_843
ko:K09740	dmd:dcmb_853
ko:K02669	dmd:dcmb_856
ko:K00330	dmd:dcmb_857
ko:K00331	dmd:dcmb_858
ko:K00332	dmd:dcmb_859
ko:K00333	dmd:dcmb_860
ko:K00337	dmd:dcmb_861
ko:K05580	dmd:dcmb_862
ko:K00339	dmd:dcmb_863
ko:K00341	dmd:dcmb_865
ko:K00342	dmd:dcmb_866
ko:K00343	dmd:dcmb_867
ko:K03424	dmd:dcmb_868
ko:K10773	dmd:dcmb_869
ko:K02232	dmd:dcmb_870
ko:K01995	dmd:dcmb_872
ko:K01912	dmd:dcmb_874
ko:K01996	dmd:dcmb_875
ko:K01999	dmd:dcmb_876
ko:K01998	dmd:dcmb_878
ko:K01997	dmd:dcmb_879
ko:K00179	dmd:dcmb_881
ko:K00180	dmd:dcmb_882
ko:K08982	dmd:dcmb_886
ko:K13993	dmd:dcmb_888
ko:K03594	dmd:dcmb_889
ko:K04564	dmd:dcmb_890
ko:K14219	dmd:dcmb_892
ko:K01874	dmd:dcmb_401
ko:K03798	dmd:dcmb_403
ko:K01151	dmd:dcmb_404
ko:K09710	dmd:dcmb_405
ko:K00940	dmd:dcmb_406
ko:K06925	dmd:dcmb_408
ko:K00946	dmd:dcmb_409
ko:K03183	dmd:dcmb_410
ko:K03183	dmd:dcmb_411
ko:K01735	dmd:dcmb_412
ko:K02548	dmd:dcmb_413
ko:K02528	dmd:dcmb_416
ko:K00919	dmd:dcmb_417
ko:K10716	dmd:dcmb_420
ko:K09695	dmd:dcmb_422
ko:K09694	dmd:dcmb_423
ko:K09125	dmd:dcmb_436
ko:K09122	dmd:dcmb_438
ko:K03525	dmd:dcmb_440
ko:K13038	dmd:dcmb_441
ko:K01873	dmd:dcmb_442
ko:K03070	dmd:dcmb_446
ko:K00948	dmd:dcmb_447
ko:K00600	dmd:dcmb_448
ko:K03466	dmd:dcmb_451
ko:K03702	dmd:dcmb_452
ko:K03550	dmd:dcmb_453
ko:K04070	dmd:dcmb_1227
ko:K07042	dmd:dcmb_1229
ko:K03101	dmd:dcmb_1233
ko:K06180	dmd:dcmb_1234
ko:K00767	dmd:dcmb_1240
ko:K00278	dmd:dcmb_1241
ko:K03210	dmd:dcmb_1242
ko:K06168	dmd:dcmb_1243
ko:K03282	dmd:dcmb_1245
ko:K00611	dmd:dcmb_1253
ko:K03977	dmd:dcmb_1254
ko:K08591	dmd:dcmb_1255
ko:K00057	dmd:dcmb_1256
ko:K03686	dmd:dcmb_1257
ko:K04043	dmd:dcmb_1258
ko:K03687	dmd:dcmb_1259
ko:K03705	dmd:dcmb_1260
ko:K07502	dmd:dcmb_1263
ko:K03628	dmd:dcmb_1266
ko:K01937	dmd:dcmb_1268
ko:K03686	dmd:dcmb_1269
ko:K03696	dmd:dcmb_1271
ko:K00764	dmd:dcmb_1273
ko:K01933	dmd:dcmb_1274
ko:K00602	dmd:dcmb_1276
ko:K00763	dmd:dcmb_1277
ko:K01159	dmd:dcmb_454
ko:K00997	dmd:dcmb_456
ko:K00334	dmd:dcmb_457
ko:K00024	dmd:dcmb_462
ko:K01677	dmd:dcmb_464
ko:K01678	dmd:dcmb_465
ko:K02503	dmd:dcmb_466
ko:K00858	dmd:dcmb_469
ko:K14170	dmd:dcmb_472
ko:K01736	dmd:dcmb_473
ko:K00800	dmd:dcmb_474
ko:K00891	dmd:dcmb_475
ko:K00014	dmd:dcmb_476
ko:K03785	dmd:dcmb_477
ko:K01735	dmd:dcmb_478
ko:K02950	dmd:dcmb_480
ko:K02992	dmd:dcmb_481
ko:K02355	dmd:dcmb_482
ko:K02946	dmd:dcmb_483
ko:K02906	dmd:dcmb_484
ko:K02926	dmd:dcmb_485
ko:K02892	dmd:dcmb_486
ko:K02886	dmd:dcmb_487
ko:K02965	dmd:dcmb_488
ko:K02890	dmd:dcmb_489
ko:K02982	dmd:dcmb_490
ko:K02878	dmd:dcmb_491
ko:K02904	dmd:dcmb_492
ko:K02961	dmd:dcmb_493
ko:K02874	dmd:dcmb_494
ko:K02895	dmd:dcmb_495
ko:K02931	dmd:dcmb_496
ko:K02954	dmd:dcmb_497
ko:K02994	dmd:dcmb_498
ko:K02933	dmd:dcmb_499
ko:K02881	dmd:dcmb_500
ko:K02988	dmd:dcmb_501
ko:K02907	dmd:dcmb_502
ko:K02876	dmd:dcmb_503
ko:K03076	dmd:dcmb_504
ko:K01265	dmd:dcmb_506
ko:K02518	dmd:dcmb_507
ko:K02919	dmd:dcmb_508
ko:K02952	dmd:dcmb_509
ko:K04075	dmd:dcmb_1280
ko:K04078	dmd:dcmb_1286
ko:K04077	dmd:dcmb_1287
ko:K04651	dmd:dcmb_1289
ko:K04656	dmd:dcmb_1291
ko:K04653	dmd:dcmb_1292
ko:K04654	dmd:dcmb_1293
ko:K02897	dmd:dcmb_1311
ko:K01975	dmd:dcmb_1313
ko:K05808	dmd:dcmb_1316
ko:K03630	dmd:dcmb_1319
ko:K02337	dmd:dcmb_1321
ko:K01657	dmd:dcmb_1330
ko:K00766	dmd:dcmb_1332
ko:K01609	dmd:dcmb_1333
ko:K01817	dmd:dcmb_1334
ko:K02948	dmd:dcmb_510
ko:K02986	dmd:dcmb_511
ko:K03040	dmd:dcmb_512
ko:K02879	dmd:dcmb_513
ko:K06173	dmd:dcmb_514
ko:K02871	dmd:dcmb_515
ko:K02996	dmd:dcmb_516
ko:K15916	dmd:dcmb_518
ko:K00789	dmd:dcmb_521
ko:K01251	dmd:dcmb_522
ko:K08963	dmd:dcmb_527
ko:K03592	dmd:dcmb_535
ko:K03568	dmd:dcmb_536
ko:K03431	dmd:dcmb_537
ko:K04042	dmd:dcmb_538
ko:K00973	dmd:dcmb_539
ko:K00820	dmd:dcmb_540
ko:K01586	dmd:dcmb_543
ko:K02341	dmd:dcmb_544
ko:K02939	dmd:dcmb_550
ko:K00384	dmd:dcmb_551
ko:K03621	dmd:dcmb_552
ko:K03701	dmd:dcmb_555
ko:K03086	dmd:dcmb_559
ko:K01129	dmd:dcmb_561
ko:K08999	dmd:dcmb_563
ko:K01696	dmd:dcmb_1336
ko:K01695	dmd:dcmb_1337
ko:K02034	dmd:dcmb_1346
ko:K06199	dmd:dcmb_1352
ko:K04759	dmd:dcmb_1357
ko:K04758	dmd:dcmb_1358
ko:K03664	dmd:dcmb_1360
ko:K07667	dmd:dcmb_1368
ko:K01883	dmd:dcmb_59
ko:K07667	dmd:dcmb_79
ko:K07667	dmd:dcmb_85
ko:K15342	dmd:dcmb_100
ko:K02500	dmd:dcmb_895
ko:K09458	dmd:dcmb_898
ko:K07462	dmd:dcmb_899
ko:K08591	dmd:dcmb_900
ko:K13292	dmd:dcmb_901
ko:K02956	dmd:dcmb_904
ko:K00962	dmd:dcmb_905
ko:K00215	dmd:dcmb_906
ko:K00133	dmd:dcmb_907
ko:K01714	dmd:dcmb_908
ko:K01939	dmd:dcmb_911
ko:K00995	dmd:dcmb_912
ko:K01858	dmd:dcmb_914
ko:K02834	dmd:dcmb_917
ko:K02519	dmd:dcmb_918
ko:K07742	dmd:dcmb_919
ko:K02600	dmd:dcmb_920
ko:K07391	dmd:dcmb_921
ko:K02935	dmd:dcmb_925
ko:K02864	dmd:dcmb_926
ko:K02863	dmd:dcmb_927
ko:K02867	dmd:dcmb_928
ko:K02601	dmd:dcmb_929
ko:K03073	dmd:dcmb_930
ko:K02913	dmd:dcmb_931
ko:K02358	dmd:dcmb_932
ko:K07089	dmd:dcmb_940
ko:K02108	dmd:dcmb_565
ko:K02110	dmd:dcmb_566
ko:K02109	dmd:dcmb_567
ko:K02113	dmd:dcmb_568
ko:K02111	dmd:dcmb_569
ko:K02115	dmd:dcmb_570
ko:K02112	dmd:dcmb_571
ko:K02114	dmd:dcmb_572
ko:K02860	dmd:dcmb_573
ko:K06960	dmd:dcmb_574
ko:K02959	dmd:dcmb_575
ko:K05982	dmd:dcmb_576
ko:K02836	dmd:dcmb_577
ko:K03630	dmd:dcmb_579
ko:K01875	dmd:dcmb_584
ko:K04567	dmd:dcmb_585
ko:K03584	dmd:dcmb_587
ko:K03284	dmd:dcmb_589
ko:K06187	dmd:dcmb_590
ko:K09747	dmd:dcmb_591
ko:K02343	dmd:dcmb_592
ko:K00134	dmd:dcmb_598
ko:K01689	dmd:dcmb_601
ko:K06966	dmd:dcmb_602
ko:K01056	dmd:dcmb_603
ko:K01972	dmd:dcmb_604
ko:K08681	dmd:dcmb_606
ko:K01866	dmd:dcmb_609
ko:K11753	dmd:dcmb_610
ko:K03043	dmd:dcmb_611
ko:K03046	dmd:dcmb_612
ko:K03551	dmd:dcmb_613
ko:K09765	dmd:dcmb_614
ko:K03789	dmd:dcmb_615
ko:K01915	dmd:dcmb_1392
ko:K15342	dmd:dcmb_1405
ko:K07739	dmd:dcmb_619
ko:K01921	dmd:dcmb_635
ko:K09817	dmd:dcmb_638
ko:K09816	dmd:dcmb_639
ko:K03531	dmd:dcmb_641
ko:K03590	dmd:dcmb_642
ko:K07130	dmd:dcmb_645
ko:K01783	dmd:dcmb_646
ko:K01808	dmd:dcmb_647
ko:K00615	dmd:dcmb_648
ko:K02016	dmd:dcmb_653
ko:K02015	dmd:dcmb_654
ko:K02013	dmd:dcmb_655
ko:K02227	dmd:dcmb_657
ko:K00768	dmd:dcmb_659
ko:K02233	dmd:dcmb_660
ko:K02231	dmd:dcmb_662
ko:K03671	dmd:dcmb_663
ko:K14138	dmd:dcmb_668
ko:K00194	dmd:dcmb_669
ko:K01491	dmd:dcmb_670
ko:K07321	dmd:dcmb_671
ko:K03075	dmd:dcmb_1447
ko:K02434	dmd:dcmb_1448
ko:K12141	dmd:dcmb_1459
ko:K12140	dmd:dcmb_1460
ko:K03744	dmd:dcmb_1474
ko:K03799	dmd:dcmb_1475
ko:K00640	dmd:dcmb_1476
ko:K03926	dmd:dcmb_1477
ko:K03517	dmd:dcmb_1478
ko:K03183	dmd:dcmb_1479
ko:K03734	dmd:dcmb_1482
ko:K03118	dmd:dcmb_1485
ko:K03116	dmd:dcmb_1486
ko:K03116	dmd:dcmb_1487
ko:K03116	dmd:dcmb_1488
ko:K00796	dmd:dcmb_1489
ko:K00950	dmd:dcmb_1490
ko:K01737	dmd:dcmb_1491
ko:K03565	dmd:dcmb_1493
ko:K03752	dmd:dcmb_124
ko:K03152	dmd:dcmb_142
ko:K01960	dmd:dcmb_143
ko:K00766	dmd:dcmb_148
ko:K02224	dmd:dcmb_150
ko:K07636	dmd:dcmb_159
ko:K01734	dmd:dcmb_160
ko:K02040	dmd:dcmb_161
ko:K02037	dmd:dcmb_162
ko:K02038	dmd:dcmb_163
ko:K02036	dmd:dcmb_164
ko:K02039	dmd:dcmb_165
ko:K01912	dmd:dcmb_951
ko:K03685	dmd:dcmb_962
ko:K01512	dmd:dcmb_964
ko:K01255	dmd:dcmb_967
ko:K06001	dmd:dcmb_971
ko:K01870	dmd:dcmb_974
ko:K03217	dmd:dcmb_976
ko:K08998	dmd:dcmb_978
ko:K03536	dmd:dcmb_979
ko:K02914	dmd:dcmb_980
ko:K02963	dmd:dcmb_981
ko:K02990	dmd:dcmb_983
ko:K03631	dmd:dcmb_989
ko:K15581	dmd:dcmb_997
ko:K15580	dmd:dcmb_998
ko:K03215	dmd:dcmb_1002
ko:K01673	dmd:dcmb_1003
ko:K06287	dmd:dcmb_1005
ko:K01938	dmd:dcmb_673
ko:K01876	dmd:dcmb_676
ko:K03545	dmd:dcmb_677
ko:K01358	dmd:dcmb_678
ko:K02356	dmd:dcmb_682
ko:K03168	dmd:dcmb_685
ko:K04096	dmd:dcmb_686
ko:K00172	dmd:dcmb_691
ko:K00171	dmd:dcmb_692
ko:K00169	dmd:dcmb_693
ko:K00170	dmd:dcmb_694
ko:K00334	dmd:dcmb_695
ko:K03665	dmd:dcmb_705
ko:K10206	dmd:dcmb_707
ko:K01778	dmd:dcmb_708
ko:K00791	dmd:dcmb_709
ko:K01803	dmd:dcmb_710
ko:K00927	dmd:dcmb_712
ko:K01662	dmd:dcmb_713
ko:K00760	dmd:dcmb_717
ko:K02887	dmd:dcmb_718
ko:K02916	dmd:dcmb_719
ko:K02520	dmd:dcmb_720
ko:K01868	dmd:dcmb_721
ko:K06997	dmd:dcmb_726
ko:K09769	dmd:dcmb_1495
ko:K07053	dmd:dcmb_1496
ko:K02594	dmd:dcmb_1500
ko:K00145	dmd:dcmb_1512
ko:K02469	dmd:dcmb_1516
ko:K00928	dmd:dcmb_1519
ko:K06973	dmd:dcmb_1524
ko:K02968	dmd:dcmb_1525
ko:K01356	dmd:dcmb_1526
ko:K01628	dmd:dcmb_1527
ko:K00604	dmd:dcmb_1528
ko:K07043	dmd:dcmb_173
ko:K01620	dmd:dcmb_175
ko:K07667	dmd:dcmb_180
ko:K02380	dmd:dcmb_189
ko:K00123	dmd:dcmb_191
ko:K00954	dmd:dcmb_193
ko:K03558	dmd:dcmb_195
ko:K00286	dmd:dcmb_196
ko:K01869	dmd:dcmb_197
ko:K07007	dmd:dcmb_198
ko:K03271	dmd:dcmb_210
ko:K13963	dmd:dcmb_224
ko:K11068	dmd:dcmb_225
ko:K06158	dmd:dcmb_226
ko:K01950	dmd:dcmb_1007
ko:K01915	dmd:dcmb_1008
ko:K04751	dmd:dcmb_1009
ko:K03320	dmd:dcmb_1010
ko:K02500	dmd:dcmb_1014
ko:K02501	dmd:dcmb_1017
ko:K01738	dmd:dcmb_1020
ko:K02227	dmd:dcmb_1023
ko:K03523	dmd:dcmb_1048
ko:K00794	dmd:dcmb_1051
ko:K14652	dmd:dcmb_1052
ko:K00793	dmd:dcmb_1053
ko:K11752	dmd:dcmb_1054
ko:K09807	dmd:dcmb_1055
ko:K03100	dmd:dcmb_1056
ko:K00762	dmd:dcmb_1057
ko:K07007	dmd:dcmb_228
ko:K04487	dmd:dcmb_253
ko:K07006	dmd:dcmb_256
ko:K07454	dmd:dcmb_259
ko:K03572	dmd:dcmb_1059
ko:K03657	dmd:dcmb_1060
ko:K02825	dmd:dcmb_1061
ko:K00609	dmd:dcmb_1062
ko:K01465	dmd:dcmb_1063
ko:K01956	dmd:dcmb_1064
ko:K01955	dmd:dcmb_1065
ko:K01495	dmd:dcmb_1067
ko:K01733	dmd:dcmb_1068
ko:K00003	dmd:dcmb_1069
ko:K01895	dmd:dcmb_1072
ko:K02835	dmd:dcmb_1073
ko:K02493	dmd:dcmb_1074
ko:K02355	dmd:dcmb_1075
ko:K03703	dmd:dcmb_1079
ko:K03824	dmd:dcmb_1080
ko:K03555	dmd:dcmb_1082
ko:K01622	dmd:dcmb_1087
ko:K02338	dmd:dcmb_1089
ko:K01433	dmd:dcmb_1100
ko:K01462	dmd:dcmb_728
ko:K15987	dmd:dcmb_734
ko:K03624	dmd:dcmb_738
ko:K03147	dmd:dcmb_743
ko:K03501	dmd:dcmb_744
ko:K00943	dmd:dcmb_747
ko:K00566	dmd:dcmb_748
ko:K03470	dmd:dcmb_749
ko:K07460	dmd:dcmb_750
ko:K00788	dmd:dcmb_751
ko:K07477	dmd:dcmb_752
ko:K15987	dmd:dcmb_753
ko:K01880	dmd:dcmb_756
ko:K03547	dmd:dcmb_757
ko:K06178	dmd:dcmb_758
ko:K01486	dmd:dcmb_760
ko:K00760	dmd:dcmb_761
ko:K07568	dmd:dcmb_765
ko:K03787	dmd:dcmb_766
ko:K01579	dmd:dcmb_769
ko:K00606	dmd:dcmb_770
ko:K01918	dmd:dcmb_771
ko:K09013	dmd:dcmb_782
ko:K02013	dmd:dcmb_784
ko:K14219	dmd:dcmb_1327
ko:K00970	dmd:dcmb_348
ko:K01507	dmd:dcmb_381
ko:K00088	dmd:dcmb_398
ko:K06990	dmd:dcmb_1170
ko:K02433	dmd:dcmb_1194
ko:K07729	dmd:dcmb_1197
ko:K01635	dmd:dcmb_1204
ko:K16370	dmd:dcmb_1205
ko:K02454	dmd:dcmb_1211
ko:K02653	dmd:dcmb_1212
ko:K00974	dmd:dcmb_421
ko:K01885	dmd:dcmb_1224
ko:K10563	dmd:dcmb_1247
ko:K00616	dmd:dcmb_1267
ko:K13640	dmd:dcmb_1270
ko:K01966	dmd:dcmb_458
ko:K00030	dmd:dcmb_461
ko:K01515	dmd:dcmb_467
ko:K00619	dmd:dcmb_468
ko:K04517	dmd:dcmb_471
ko:K03856	dmd:dcmb_479
ko:K00939	dmd:dcmb_505
ko:K06013	dmd:dcmb_1282
ko:K01409	dmd:dcmb_1285
ko:K04652	dmd:dcmb_1290
ko:K04655	dmd:dcmb_1294
ko:K05595	dmd:dcmb_1307
ko:K00567	dmd:dcmb_1317
ko:K14475	dmd:dcmb_1318
ko:K03856	dmd:dcmb_1335
ko:K07028	dmd:dcmb_523
ko:K00772	dmd:dcmb_526
ko:K07159	dmd:dcmb_534
ko:K06910	dmd:dcmb_541
ko:K02033	dmd:dcmb_1347
ko:K02035	dmd:dcmb_1348
ko:K07730	dmd:dcmb_1353
ko:K00058	dmd:dcmb_607
ko:K14128	dmd:dcmb_620
ko:K14126	dmd:dcmb_621
ko:K00442	dmd:dcmb_622
ko:K06196	dmd:dcmb_625
ko:K03711	dmd:dcmb_636
ko:K09815	dmd:dcmb_637
ko:K00197	dmd:dcmb_667
ko:K04518	dmd:dcmb_1445
ko:K03386	dmd:dcmb_1469
ko:K09981	dmd:dcmb_1473
ko:K14231	dmd:dcmb_774
ko:K00852	dmd:dcmb_679
ko:K01262	dmd:dcmb_683
ko:K00065	dmd:dcmb_704
ko:K15635	dmd:dcmb_711
ko:K07457	dmd:dcmb_1498
ko:K03455	dmd:dcmb_1513
ko:K15635	dmd:dcmb_1521
ko:K02499	dmd:dcmb_1523
ko:K07052	dmd:dcmb_741
ko:K02004	dmd:dcmb_823
ko:K07316	dmd:dcmb_72
ko:K01156	dmd:dcmb_73
ko:K09720	dmd:dcmb_896
ko:K06877	dmd:dcmb_902
ko:K09764	dmd:dcmb_903
ko:K08256	dmd:dcmb_913
ko:K03177	dmd:dcmb_916
ko:K15521	dmd:dcmb_937
ko:K14226	dmd:dcmb_893
ko:K04763	dmd:dcmb_116
ko:K03711	dmd:dcmb_19
ko:K02238	dmd:dcmb_23
ko:K03499	dmd:dcmb_25
ko:K03499	dmd:dcmb_26
ko:K03498	dmd:dcmb_28
ko:K03499	dmd:dcmb_29
ko:K00845	dmd:dcmb_48
ko:K06994	dmd:dcmb_839
ko:K07159	dmd:dcmb_850
ko:K04488	dmd:dcmb_885
ko:K00196	dmd:dcmb_1018
ko:K06281	dmd:dcmb_135
ko:K06282	dmd:dcmb_136
ko:K00124	dmd:dcmb_137
ko:K01959	dmd:dcmb_144
ko:K06346	dmd:dcmb_975
ko:K10823	dmd:dcmb_994
ko:K15583	dmd:dcmb_995
ko:K15582	dmd:dcmb_996
ko:K05794	dmd:dcmb_188
ko:K01784	dmd:dcmb_207
ko:K07031	dmd:dcmb_209
ko:K00441	dmd:dcmb_217
ko:K03711	dmd:dcmb_1033
ko:K03399	dmd:dcmb_245
ko:K02823	dmd:dcmb_1066
ko:K00966	dmd:dcmb_1071
ko:K04763	dmd:dcmb_1078
ko:K02428	dmd:dcmb_1088
ko:K03325	dmd:dcmb_1102
ko:K07304	dmd:dcmb_1103
ko:K07305	dmd:dcmb_1104
ko:K07343	dmd:dcmb_1106
ko:K03325	dmd:dcmb_334
ko:K07030	dmd:dcmb_1122
ko:K00059	dmd:dcmb_1136
ko:K03743	dmd:dcmb_1150
ko:K00184	dmd:dcmb_128
ko:K02028	dmd:dcmb_429
ko:K01992	dmd:dcmb_1506
ko:K14091	dmd:dcmb_835
ko:K01990	dmd:dcmb_1505
ko:K02029	dmd:dcmb_430
ko:K14237	dmd:dcmb_1328
ko:K14228	dmd:dcmb_1302
ko:K07012	dmd:dcmb_95
ko:K01992	dmd:dcmb_1199
ko:K01992	dmd:dcmb_819
ko:K14223	dmd:dcmb_960
ko:K01990	dmd:dcmb_780
ko:K01990	dmd:dcmb_818
ko:K00336	dmd:dcmb_169
ko:K00951	dmd:dcmb_5
ko:K00185	dmd:dcmb_127
ko:K01897	dmd:dcmb_970
ko:K01897	dmd:dcmb_880
ko:K02030	dmd:dcmb_431
ko:K14227	dmd:dcmb_954
ko:K14222	dmd:dcmb_1300
ko:K14232	dmd:dcmb_729
ko:K14088	dmd:dcmb_829
ko:K14086	dmd:dcmb_827
ko:K15580	dmd:dcmb_580
ko:K14225	dmd:dcmb_701
ko:K01704	dmd:dcmb_460
ko:K01703	dmd:dcmb_459
ko:K01992	dmd:dcmb_138
ko:K01990	dmd:dcmb_1198
ko:K01990	dmd:dcmb_140
ko:K01990	dmd:dcmb_529
ko:K01990	dmd:dcmb_763
ko:K14090	dmd:dcmb_834
ko:K07576	dmd:dcmb_999
ko:K03711	dmd:dcmb_1359
ko:K17686	dmd:dcmb_887
ko:K01985	dmd:dcmb_54
ko:K14218	dmd:dcmb_60
ko:K14218	dmd:dcmb_337
ko:K14237	dmd:dcmb_177
ko:K14237	dmd:dcmb_1047
ko:K14234	dmd:dcmb_935
ko:K14233	dmd:dcmb_581
ko:K14233	dmd:dcmb_687
ko:K14233	dmd:dcmb_688
ko:K14233	dmd:dcmb_1246
ko:K14219	dmd:dcmb_715
ko:K14218	dmd:dcmb_1449
ko:K17758	dmd:dcmb_439
ko:K17759	dmd:dcmb_439
ko:K02226	dmd:dcmb_661
ko:K14230	dmd:dcmb_434
ko:K01658	dmd:dcmb_1331
ko:K01843	dmd:dcmb_223
ko:K01843	dmd:dcmb_634
ko:K12574	dmd:dcmb_450
ko:K17734	dmd:dcmb_293
ko:K14234	dmd:dcmb_396
ko:K14234	dmd:dcmb_933
ko:K14232	dmd:dcmb_698
ko:K14232	dmd:dcmb_1522
ko:K14230	dmd:dcmb_703
ko:K14230	dmd:dcmb_1173
ko:K02614	dmd:dcmb_871
ko:K07045	dmd:dcmb_1312
ko:K00329	dmd:dcmb_1183
ko:K00356	dmd:dcmb_1183
ko:K00091	dmd:dcmb_1467
ko:K14235	dmd:dcmb_1297
ko:K01977	dmd:dcmb_955
ko:K01980	dmd:dcmb_53
ko:K14219	dmd:dcmb_1471
ko:K14228	dmd:dcmb_724
ko:K14228	dmd:dcmb_1326
ko:K14223	dmd:dcmb_776
ko:K14220	dmd:dcmb_777
ko:K14229	dmd:dcmb_785
ko:K14236	dmd:dcmb_934
ko:K14221	dmd:dcmb_984
ko:K02650	dmd:dcmb_1220
ko:K07667	dmd:dcmb_93
ko:K07668	dmd:dcmb_1378
ko:K07667	dmd:dcmb_1386
