ko:K06147	tmm:Tmari_0285
ko:K02034	tmm:Tmari_0056
ko:K01812	tmm:Tmari_0061
ko:K01625	tmm:Tmari_0063
ko:K00874	tmm:Tmari_0064
ko:K01686	tmm:Tmari_0066
ko:K02034	tmm:Tmari_0070
ko:K05349	tmm:Tmari_0073
ko:K01060	tmm:Tmari_0074
ko:K02013	tmm:Tmari_0075
ko:K02015	tmm:Tmari_0076
ko:K02016	tmm:Tmari_0077
ko:K13626	tmm:Tmari_0078
ko:K02397	tmm:Tmari_0079
ko:K02396	tmm:Tmari_0080
ko:K02398	tmm:Tmari_0082
ko:K03980	tmm:Tmari_0083
ko:K00969	tmm:Tmari_0094
ko:K03979	tmm:Tmari_0095
ko:K01972	tmm:Tmari_0097
ko:K07335	tmm:Tmari_0099
ko:K02057	tmm:Tmari_0101
ko:K02057	tmm:Tmari_0102
ko:K00384	tmm:Tmari_0871
ko:K03587	tmm:Tmari_0872
ko:K03438	tmm:Tmari_0874
ko:K03696	tmm:Tmari_0875
ko:K01689	tmm:Tmari_0879
ko:K00174	tmm:Tmari_0880
ko:K00176	tmm:Tmari_0881
ko:K00651	tmm:Tmari_0883
ko:K01740	tmm:Tmari_0884
ko:K03525	tmm:Tmari_0885
ko:K00099	tmm:Tmari_0891
ko:K11749	tmm:Tmari_0892
ko:K06153	tmm:Tmari_0895
ko:K00703	tmm:Tmari_0897
ko:K00965	tmm:Tmari_0898
ko:K02405	tmm:Tmari_0904
ko:K03411	tmm:Tmari_0905
ko:K03410	tmm:Tmari_0906
ko:K04562	tmm:Tmari_0908
ko:K02404	tmm:Tmari_0909
ko:K02400	tmm:Tmari_0910
ko:K02401	tmm:Tmari_0911
ko:K02421	tmm:Tmari_0912
ko:K08963	tmm:Tmari_0913
ko:K07220	tmm:Tmari_0916
ko:K03470	tmm:Tmari_0917
ko:K03306	tmm:Tmari_0919
ko:K07397	tmm:Tmari_0921
ko:K03060	tmm:Tmari_1696
ko:K00942	tmm:Tmari_1697
ko:K09777	tmm:Tmari_1698
ko:K04487	tmm:Tmari_1700
ko:K00655	tmm:Tmari_1701
ko:K03151	tmm:Tmari_1702
ko:K02654	tmm:Tmari_1704
ko:K06969	tmm:Tmari_1705
ko:K00812	tmm:Tmari_1706
ko:K04567	tmm:Tmari_1713
ko:K03624	tmm:Tmari_1714
ko:K07738	tmm:Tmari_1715
ko:K06958	tmm:Tmari_1718
ko:K00075	tmm:Tmari_1722
ko:K06941	tmm:Tmari_1723
ko:K06949	tmm:Tmari_1725
ko:K01783	tmm:Tmari_1726
ko:K03555	tmm:Tmari_1727
ko:K00606	tmm:Tmari_1736
ko:K03551	tmm:Tmari_1738
ko:K06997	tmm:Tmari_1739
ko:K02221	tmm:Tmari_1740
ko:K00858	tmm:Tmari_1741
ko:K02039	tmm:Tmari_1742
ko:K07238	tmm:Tmari_1746
ko:K02034	tmm:Tmari_0530
ko:K11070	tmm:Tmari_1385
ko:K02034	tmm:Tmari_0300
ko:K01818	tmm:Tmari_0305
ko:K01811	tmm:Tmari_0306
ko:K12308	tmm:Tmari_0308
ko:K08982	tmm:Tmari_0313
ko:K00762	tmm:Tmari_0329
ko:K01591	tmm:Tmari_0330
ko:K01465	tmm:Tmari_0333
ko:K00800	tmm:Tmari_0343
ko:K00014	tmm:Tmari_0344
ko:K01736	tmm:Tmari_0345
ko:K13829	tmm:Tmari_0346
ko:K03786	tmm:Tmari_0347
ko:K02003	tmm:Tmari_0350
ko:K03924	tmm:Tmari_1138
ko:K01999	tmm:Tmari_1141
ko:K01997	tmm:Tmari_1142
ko:K01998	tmm:Tmari_1143
ko:K01995	tmm:Tmari_1144
ko:K01996	tmm:Tmari_1145
ko:K00031	tmm:Tmari_1155
ko:K02034	tmm:Tmari_1160
ko:K01057	tmm:Tmari_1161
ko:K00036	tmm:Tmari_1162
ko:K06213	tmm:Tmari_1168
ko:K00174	tmm:Tmari_1171
ko:K00175	tmm:Tmari_1172
ko:K00688	tmm:Tmari_1175
ko:K02422	tmm:Tmari_1186
ko:K05919	tmm:Tmari_0658
ko:K02078	tmm:Tmari_0662
ko:K01738	tmm:Tmari_0665
ko:K00640	tmm:Tmari_0666
ko:K03424	tmm:Tmari_0667
ko:K02389	tmm:Tmari_0673
ko:K02390	tmm:Tmari_0674
ko:K02385	tmm:Tmari_0675
ko:K02556	tmm:Tmari_0676
ko:K02557	tmm:Tmari_0677
ko:K02415	tmm:Tmari_0678
ko:K02416	tmm:Tmari_0679
ko:K02417	tmm:Tmari_0680
ko:K02343	tmm:Tmari_0686
ko:K09747	tmm:Tmari_0687
ko:K00134	tmm:Tmari_0688
ko:K09117	tmm:Tmari_0690
ko:K00997	tmm:Tmari_0692
ko:K03545	tmm:Tmari_0694
ko:K01358	tmm:Tmari_0695
ko:K02420	tmm:Tmari_0697
ko:K02419	tmm:Tmari_0698
ko:K02418	tmm:Tmari_0699
ko:K03413	tmm:Tmari_0700
ko:K03408	tmm:Tmari_0701
ko:K03407	tmm:Tmari_0702
ko:K00573	tmm:Tmari_0704
ko:K02003	tmm:Tmari_0705
ko:K03501	tmm:Tmari_0707
ko:K03800	tmm:Tmari_0708
ko:K07056	tmm:Tmari_0709
ko:K07001	tmm:Tmari_0712
ko:K02988	tmm:Tmari_1491
ko:K02881	tmm:Tmari_1492
ko:K02933	tmm:Tmari_1493
ko:K02994	tmm:Tmari_1494
ko:K02954	tmm:Tmari_1495
ko:K02931	tmm:Tmari_1496
ko:K02895	tmm:Tmari_1497
ko:K02874	tmm:Tmari_1498
ko:K02961	tmm:Tmari_1499
ko:K02904	tmm:Tmari_1500
ko:K02878	tmm:Tmari_1501
ko:K02982	tmm:Tmari_1502
ko:K02890	tmm:Tmari_1503
ko:K02965	tmm:Tmari_1504
ko:K02886	tmm:Tmari_1505
ko:K02892	tmm:Tmari_1506
ko:K02926	tmm:Tmari_1507
ko:K02906	tmm:Tmari_1508
ko:K02946	tmm:Tmari_1509
ko:K02358	tmm:Tmari_1510
ko:K02355	tmm:Tmari_1511
ko:K02992	tmm:Tmari_1512
ko:K02950	tmm:Tmari_1513
ko:K07037	tmm:Tmari_1516
ko:K07042	tmm:Tmari_1517
ko:K06973	tmm:Tmari_1519
ko:K03500	tmm:Tmari_1520
ko:K05823	tmm:Tmari_1524
ko:K01586	tmm:Tmari_1525
ko:K00928	tmm:Tmari_1526
ko:K00215	tmm:Tmari_1528
ko:K01714	tmm:Tmari_1529
ko:K01778	tmm:Tmari_1530
ko:K00133	tmm:Tmari_1531
ko:K02548	tmm:Tmari_1536
ko:K03521	tmm:Tmari_1538
ko:K03522	tmm:Tmari_1539
ko:K00313	tmm:Tmari_1540
ko:K00790	tmm:Tmari_0105
ko:K04070	tmm:Tmari_0106
ko:K10441	tmm:Tmari_0112
ko:K09817	tmm:Tmari_0122
ko:K09816	tmm:Tmari_0123
ko:K01295	tmm:Tmari_0127
ko:K02406	tmm:Tmari_0130
ko:K06941	tmm:Tmari_0134
ko:K01695	tmm:Tmari_0135
ko:K01696	tmm:Tmari_0136
ko:K01817	tmm:Tmari_0137
ko:K01609	tmm:Tmari_0138
ko:K13497	tmm:Tmari_0139
ko:K01657	tmm:Tmari_0140
ko:K03544	tmm:Tmari_0144
ko:K09710	tmm:Tmari_0145
ko:K00820	tmm:Tmari_0146
ko:K03621	tmm:Tmari_0147
ko:K02911	tmm:Tmari_0148
ko:K07040	tmm:Tmari_0149
ko:K14170	tmm:Tmari_0152
ko:K04070	tmm:Tmari_0926
ko:K03439	tmm:Tmari_0927
ko:K02313	tmm:Tmari_0928
ko:K12960	tmm:Tmari_0938
ko:K01579	tmm:Tmari_0941
ko:K01915	tmm:Tmari_0945
ko:K02529	tmm:Tmari_0951
ko:K00864	tmm:Tmari_0954
ko:K00615	tmm:Tmari_0955
ko:K00615	tmm:Tmari_0956
ko:K10441	tmm:Tmari_0958
ko:K06726	tmm:Tmari_0961
ko:K03744	tmm:Tmari_0963
ko:K06872	tmm:Tmari_0964
ko:K08602	tmm:Tmari_0965
ko:K11145	tmm:Tmari_1748
ko:K03218	tmm:Tmari_1749
ko:K01620	tmm:Tmari_1752
ko:K00176	tmm:Tmari_1766
ko:K00174	tmm:Tmari_1767
ko:K00175	tmm:Tmari_1768
ko:K00177	tmm:Tmari_1769
ko:K03702	tmm:Tmari_1770
ko:K00615	tmm:Tmari_1771
ko:K02356	tmm:Tmari_1772
ko:K03625	tmm:Tmari_1774
ko:K01938	tmm:Tmari_1775
ko:K01491	tmm:Tmari_1776
ko:K03601	tmm:Tmari_1777
ko:K03602	tmm:Tmari_1778
ko:K01662	tmm:Tmari_1779
ko:K02600	tmm:Tmari_1787
ko:K09748	tmm:Tmari_1788
ko:K01940	tmm:Tmari_1789
ko:K01755	tmm:Tmari_1790
ko:K00145	tmm:Tmari_1791
ko:K00620	tmm:Tmari_1792
ko:K00930	tmm:Tmari_1793
ko:K01754	tmm:Tmari_0354
ko:K01151	tmm:Tmari_0360
ko:K10773	tmm:Tmari_0364
ko:K03402	tmm:Tmari_0369
ko:K04043	tmm:Tmari_0371
ko:K13993	tmm:Tmari_0372
ko:K07090	tmm:Tmari_0374
ko:K00057	tmm:Tmari_0376
ko:K00382	tmm:Tmari_0379
ko:K13057	tmm:Tmari_0389
ko:K03320	tmm:Tmari_0399
ko:K00175	tmm:Tmari_0402
ko:K03529	tmm:Tmari_1189
ko:K01734	tmm:Tmari_1192
ko:K00849	tmm:Tmari_1197
ko:K00965	tmm:Tmari_1198
ko:K07407	tmm:Tmari_1199
ko:K12308	tmm:Tmari_1202
ko:K02034	tmm:Tmari_1204
ko:K02529	tmm:Tmari_1207
ko:K01224	tmm:Tmari_1208
ko:K10110	tmm:Tmari_1209
ko:K10109	tmm:Tmari_1210
ko:K10108	tmm:Tmari_1211
ko:K05569	tmm:Tmari_1212
ko:K05571	tmm:Tmari_1214
ko:K05566	tmm:Tmari_1216
ko:K05567	tmm:Tmari_1217
ko:K00342	tmm:Tmari_1219
ko:K00337	tmm:Tmari_1220
ko:K00331	tmm:Tmari_1221
ko:K00332	tmm:Tmari_1222
ko:K00333	tmm:Tmari_1223
ko:K00266	tmm:Tmari_1224
ko:K02529	tmm:Tmari_1225
ko:K02034	tmm:Tmari_1228
ko:K03408	tmm:Tmari_0719
ko:K01883	tmm:Tmari_0720
ko:K00600	tmm:Tmari_0721
ko:K00761	tmm:Tmari_0722
ko:K12573	tmm:Tmari_0723
ko:K07301	tmm:Tmari_0725
ko:K03568	tmm:Tmari_0727
ko:K03592	tmm:Tmari_0728
ko:K07560	tmm:Tmari_0731
ko:K09765	tmm:Tmari_0732
ko:K04094	tmm:Tmari_0735
ko:K01809	tmm:Tmari_0737
ko:K01868	tmm:Tmari_0741
ko:K00954	tmm:Tmari_0742
ko:K03797	tmm:Tmari_0748
ko:K00876	tmm:Tmari_0752
ko:K07406	tmm:Tmari_0753
ko:K03183	tmm:Tmari_0754
ko:K00362	tmm:Tmari_0755
ko:K02406	tmm:Tmari_0759
ko:K02967	tmm:Tmari_0763
ko:K02523	tmm:Tmari_1543
ko:K08980	tmm:Tmari_1544
ko:K02394	tmm:Tmari_1547
ko:K02393	tmm:Tmari_1548
ko:K02386	tmm:Tmari_1549
ko:K02392	tmm:Tmari_1550
ko:K02392	tmm:Tmari_1551
ko:K03569	tmm:Tmari_1552
ko:K07447	tmm:Tmari_1553
ko:K07462	tmm:Tmari_1554
ko:K06885	tmm:Tmari_1555
ko:K09141	tmm:Tmari_1559
ko:K04069	tmm:Tmari_1560
ko:K03734	tmm:Tmari_1561
ko:K06287	tmm:Tmari_1564
ko:K03630	tmm:Tmari_1565
ko:K00773	tmm:Tmari_1569
ko:K01512	tmm:Tmari_1572
ko:K03106	tmm:Tmari_1573
ko:K02959	tmm:Tmari_1574
ko:K06960	tmm:Tmari_1575
ko:K02860	tmm:Tmari_1576
ko:K00554	tmm:Tmari_1577
ko:K02884	tmm:Tmari_1579
ko:K03100	tmm:Tmari_1580
ko:K06173	tmm:Tmari_1582
ko:K06442	tmm:Tmari_1584
ko:K03070	tmm:Tmari_1586
ko:K02836	tmm:Tmari_1587
ko:K09776	tmm:Tmari_1590
ko:K13292	tmm:Tmari_0156
ko:K08999	tmm:Tmari_0158
ko:K13789	tmm:Tmari_0159
ko:K03550	tmm:Tmari_0163
ko:K11754	tmm:Tmari_0164
ko:K01839	tmm:Tmari_0165
ko:K01869	tmm:Tmari_0166
ko:K01926	tmm:Tmari_0167
ko:K07015	tmm:Tmari_0169
ko:K01251	tmm:Tmari_0170
ko:K03170	tmm:Tmari_0171
ko:K15987	tmm:Tmari_0172
ko:K02078	tmm:Tmari_0173
ko:K09116	tmm:Tmari_0174
ko:K04066	tmm:Tmari_0176
ko:K02340	tmm:Tmari_0179
ko:K03431	tmm:Tmari_0182
ko:K02016	tmm:Tmari_0187
ko:K02015	tmm:Tmari_0188
ko:K02013	tmm:Tmari_0189
ko:K06416	tmm:Tmari_0190
ko:K02069	tmm:Tmari_0191
ko:K02068	tmm:Tmari_0192
ko:K01524	tmm:Tmari_0193
ko:K09129	tmm:Tmari_0194
ko:K03696	tmm:Tmari_0196
ko:K07237	tmm:Tmari_0982
ko:K07236	tmm:Tmari_0983
ko:K07235	tmm:Tmari_0984
ko:K07112	tmm:Tmari_0985
ko:K06894	tmm:Tmari_0987
ko:K09934	tmm:Tmari_0989
ko:K07089	tmm:Tmari_1001
ko:K00261	tmm:Tmari_1018
ko:K03928	tmm:Tmari_1024
ko:K09000	tmm:Tmari_1802
ko:K09127	tmm:Tmari_1803
ko:K15342	tmm:Tmari_1807
ko:K01873	tmm:Tmari_1827
ko:K07240	tmm:Tmari_1828
ko:K07240	tmm:Tmari_1829
ko:K01951	tmm:Tmari_1830
ko:K03653	tmm:Tmari_1831
ko:K04088	tmm:Tmari_1832
ko:K04087	tmm:Tmari_1833
ko:K00794	tmm:Tmari_1835
ko:K14652	tmm:Tmari_1836
ko:K00793	tmm:Tmari_1837
ko:K11752	tmm:Tmari_1838
ko:K07406	tmm:Tmari_1843
ko:K10110	tmm:Tmari_1845
ko:K10109	tmm:Tmari_1846
ko:K10108	tmm:Tmari_1847
ko:K04485	tmm:Tmari_0197
ko:K00177	tmm:Tmari_0403
ko:K00901	tmm:Tmari_0404
ko:K03412	tmm:Tmari_0405
ko:K07243	tmm:Tmari_0414
ko:K17237	tmm:Tmari_0415
ko:K17238	tmm:Tmari_0416
ko:K17239	tmm:Tmari_0417
ko:K00005	tmm:Tmari_0420
ko:K07088	tmm:Tmari_0421
ko:K17243	tmm:Tmari_0427
ko:K17241	tmm:Tmari_0429
ko:K01728	tmm:Tmari_0430
ko:K07406	tmm:Tmari_0431
ko:K01060	tmm:Tmari_0432
ko:K01744	tmm:Tmari_0441
ko:K01588	tmm:Tmari_0443
ko:K01589	tmm:Tmari_0444
ko:K02913	tmm:Tmari_0448
ko:K03073	tmm:Tmari_0449
ko:K02601	tmm:Tmari_0450
ko:K02867	tmm:Tmari_0451
ko:K04069	tmm:Tmari_1243
ko:K03657	tmm:Tmari_1244
ko:K09775	tmm:Tmari_1245
ko:K06942	tmm:Tmari_1246
ko:K01923	tmm:Tmari_1248
ko:K01952	tmm:Tmari_1249
ko:K01952	tmm:Tmari_1250
ko:K01952	tmm:Tmari_1251
ko:K00764	tmm:Tmari_1252
ko:K11175	tmm:Tmari_1253
ko:K00602	tmm:Tmari_1254
ko:K01945	tmm:Tmari_1255
ko:K01933	tmm:Tmari_1256
ko:K01950	tmm:Tmari_1258
ko:K00812	tmm:Tmari_1260
ko:K06915	tmm:Tmari_1262
ko:K02039	tmm:Tmari_1265
ko:K02036	tmm:Tmari_1266
ko:K02038	tmm:Tmari_1267
ko:K02037	tmm:Tmari_1268
ko:K02040	tmm:Tmari_1269
ko:K07133	tmm:Tmari_1270
ko:K03150	tmm:Tmari_1272
ko:K01012	tmm:Tmari_1274
ko:K02434	tmm:Tmari_1278
ko:K07456	tmm:Tmari_1283
ko:K14540	tmm:Tmari_0769
ko:K02343	tmm:Tmari_0772
ko:K02519	tmm:Tmari_0776
ko:K09122	tmm:Tmari_0780
ko:K03147	tmm:Tmari_0789
ko:K09457	tmm:Tmari_0792
ko:K09125	tmm:Tmari_0793
ko:K05979	tmm:Tmari_0798
ko:K00645	tmm:Tmari_0799
ko:K03523	tmm:Tmari_0800
ko:K02372	tmm:Tmari_0802
ko:K09458	tmm:Tmari_0803
ko:K01937	tmm:Tmari_0804
ko:K04486	tmm:Tmari_0805
ko:K01207	tmm:Tmari_0810
ko:K00820	tmm:Tmari_0814
ko:K01443	tmm:Tmari_0815
ko:K02520	tmm:Tmari_1598
ko:K02916	tmm:Tmari_1599
ko:K02887	tmm:Tmari_1600
ko:K03088	tmm:Tmari_1606
ko:K08369	tmm:Tmari_1611
ko:K09903	tmm:Tmari_1612
ko:K02357	tmm:Tmari_1613
ko:K08301	tmm:Tmari_1614
ko:K05808	tmm:Tmari_1615
ko:K02114	tmm:Tmari_1617
ko:K02112	tmm:Tmari_1618
ko:K02115	tmm:Tmari_1619
ko:K02111	tmm:Tmari_1620
ko:K02113	tmm:Tmari_1621
ko:K02109	tmm:Tmari_1622
ko:K02110	tmm:Tmari_1623
ko:K02108	tmm:Tmari_1624
ko:K01126	tmm:Tmari_1630
ko:K03596	tmm:Tmari_1632
ko:K01056	tmm:Tmari_1635
ko:K02897	tmm:Tmari_1636
ko:K00948	tmm:Tmari_1637
ko:K04042	tmm:Tmari_1638
ko:K06925	tmm:Tmari_1641
ko:K01338	tmm:Tmari_1642
ko:K03547	tmm:Tmari_1644
ko:K03655	tmm:Tmari_0203
ko:K00760	tmm:Tmari_0204
ko:K00873	tmm:Tmari_0206
ko:K00850	tmm:Tmari_0207
ko:K00605	tmm:Tmari_0209
ko:K02437	tmm:Tmari_0210
ko:K00282	tmm:Tmari_0211
ko:K00283	tmm:Tmari_0212
ko:K01878	tmm:Tmari_0214
ko:K01879	tmm:Tmari_0215
ko:K02412	tmm:Tmari_0216
ko:K02411	tmm:Tmari_0217
ko:K02410	tmm:Tmari_0218
ko:K02409	tmm:Tmari_0219
ko:K03524	tmm:Tmari_0222
ko:K07150	tmm:Tmari_0224
ko:K00334	tmm:Tmari_0225
ko:K07088	tmm:Tmari_0227
ko:K07095	tmm:Tmari_0228
ko:K01924	tmm:Tmari_0229
ko:K02563	tmm:Tmari_0230
ko:K03588	tmm:Tmari_0231
ko:K01925	tmm:Tmari_0232
ko:K01000	tmm:Tmari_0233
ko:K01929	tmm:Tmari_0234
ko:K01928	tmm:Tmari_0235
ko:K00975	tmm:Tmari_0237
ko:K00975	tmm:Tmari_0238
ko:K01012	tmm:Tmari_0241
ko:K05820	tmm:Tmari_1036
ko:K11755	tmm:Tmari_1039
ko:K02500	tmm:Tmari_1040
ko:K01814	tmm:Tmari_1041
ko:K02501	tmm:Tmari_1042
ko:K01693	tmm:Tmari_1043
ko:K00817	tmm:Tmari_1044
ko:K00013	tmm:Tmari_1045
ko:K00765	tmm:Tmari_1046
ko:K01892	tmm:Tmari_1047
ko:K03610	tmm:Tmari_1051
ko:K02237	tmm:Tmari_1056
ko:K06142	tmm:Tmari_1057
ko:K06861	tmm:Tmari_1058
ko:K06966	tmm:Tmari_1059
ko:K03926	tmm:Tmari_1060
ko:K10716	tmm:Tmari_1061
ko:K06416	tmm:Tmari_1063
ko:K01195	tmm:Tmari_1066
ko:K02034	tmm:Tmari_1069
ko:K07406	tmm:Tmari_1072
ko:K00848	tmm:Tmari_1077
ko:K07095	tmm:Tmari_1080
ko:K01918	tmm:Tmari_1081
ko:K02687	tmm:Tmari_1083
ko:K10441	tmm:Tmari_1856
ko:K02529	tmm:Tmari_1871
ko:K03565	tmm:Tmari_1873
ko:K01975	tmm:Tmari_1875
ko:K00995	tmm:Tmari_1876
ko:K14441	tmm:Tmari_1877
ko:K05982	tmm:Tmari_1880
ko:K16785	tmm:Tmari_1883
ko:K03609	tmm:Tmari_1885
ko:K01581	tmm:Tmari_1888
ko:K03704	tmm:Tmari_1889
ko:K09711	tmm:Tmari_1892
ko:K01703	tmm:Tmari_0551
ko:K01704	tmm:Tmari_0552
ko:K00052	tmm:Tmari_0553
ko:K01955	tmm:Tmari_0554
ko:K01956	tmm:Tmari_0555
ko:K07053	tmm:Tmari_0556
ko:K02863	tmm:Tmari_0452
ko:K02864	tmm:Tmari_0453
ko:K02935	tmm:Tmari_0454
ko:K03043	tmm:Tmari_0455
ko:K03046	tmm:Tmari_0456
ko:K02337	tmm:Tmari_0458
ko:K06180	tmm:Tmari_0459
ko:K03101	tmm:Tmari_0460
ko:K03413	tmm:Tmari_0465
ko:K08681	tmm:Tmari_0469
ko:K06215	tmm:Tmari_0470
ko:K00763	tmm:Tmari_0471
ko:K01866	tmm:Tmari_0475
ko:K03075	tmm:Tmari_0476
ko:K03701	tmm:Tmari_0477
ko:K02493	tmm:Tmari_0485
ko:K12410	tmm:Tmari_0487
ko:K01867	tmm:Tmari_0489
ko:K05896	tmm:Tmari_0490
ko:K06024	tmm:Tmari_0491
ko:K07175	tmm:Tmari_0492
ko:K00549	tmm:Tmari_1293
ko:K06871	tmm:Tmari_1308
ko:K06871	tmm:Tmari_1324
ko:K06871	tmm:Tmari_1330
ko:K06871	tmm:Tmari_1331
ko:K03091	tmm:Tmari_0531
ko:K16264	tmm:Tmari_0535
ko:K06001	tmm:Tmari_0536
ko:K01677	tmm:Tmari_0537
ko:K01678	tmm:Tmari_0538
ko:K00872	tmm:Tmari_0542
ko:K01733	tmm:Tmari_0543
ko:K12524	tmm:Tmari_0544
ko:K01652	tmm:Tmari_0545
ko:K01653	tmm:Tmari_0546
ko:K00053	tmm:Tmari_0547
ko:K01687	tmm:Tmari_0548
ko:K01649	tmm:Tmari_0549
ko:K01649	tmm:Tmari_0550
ko:K02956	tmm:Tmari_1351
ko:K00962	tmm:Tmari_1352
ko:K07053	tmm:Tmari_1359
ko:K14415	tmm:Tmari_1364
ko:K01870	tmm:Tmari_1368
ko:K02669	tmm:Tmari_1369
ko:K02835	tmm:Tmari_1370
ko:K02387	tmm:Tmari_1371
ko:K02388	tmm:Tmari_1372
ko:K02408	tmm:Tmari_1373
ko:K09013	tmm:Tmari_1375
ko:K09014	tmm:Tmari_1376
ko:K11717	tmm:Tmari_1378
ko:K01875	tmm:Tmari_1386
ko:K09761	tmm:Tmari_1387
ko:K03284	tmm:Tmari_0558
ko:K06206	tmm:Tmari_0563
ko:K09766	tmm:Tmari_0567
ko:K03110	tmm:Tmari_0568
ko:K03820	tmm:Tmari_0571
ko:K07568	tmm:Tmari_0572
ko:K01159	tmm:Tmari_0573
ko:K03763	tmm:Tmari_0574
ko:K00286	tmm:Tmari_0576
ko:K04075	tmm:Tmari_0577
ko:K03798	tmm:Tmari_0578
ko:K03569	tmm:Tmari_0586
ko:K05515	tmm:Tmari_0589
ko:K02029	tmm:Tmari_0591
ko:K06901	tmm:Tmari_0593
ko:K07137	tmm:Tmari_0599
ko:K00919	tmm:Tmari_1390
ko:K00759	tmm:Tmari_1391
ko:K01810	tmm:Tmari_1392
ko:K00859	tmm:Tmari_1394
ko:K03696	tmm:Tmari_1398
ko:K00991	tmm:Tmari_1400
ko:K04083	tmm:Tmari_1401
ko:K01872	tmm:Tmari_1403
ko:K00981	tmm:Tmari_1404
ko:K00806	tmm:Tmari_1405
ko:K02838	tmm:Tmari_1406
ko:K01193	tmm:Tmari_1420
ko:K09013	tmm:Tmari_1423
ko:K01858	tmm:Tmari_1426
ko:K01926	tmm:Tmari_1433
ko:K02440	tmm:Tmari_1435
ko:K00864	tmm:Tmari_1436
ko:K00111	tmm:Tmari_1438
ko:K00172	tmm:Tmari_0012
ko:K00171	tmm:Tmari_0013
ko:K00169	tmm:Tmari_0014
ko:K00170	tmm:Tmari_0015
ko:K06199	tmm:Tmari_0017
ko:K03572	tmm:Tmari_0019
ko:K05349	tmm:Tmari_0022
ko:K02034	tmm:Tmari_0026
ko:K07138	tmm:Tmari_0031
ko:K01737	tmm:Tmari_0035
ko:K09007	tmm:Tmari_0036
ko:K00796	tmm:Tmari_0037
ko:K00950	tmm:Tmari_0038
ko:K04758	tmm:Tmari_0047
ko:K04759	tmm:Tmari_0048
ko:K05946	tmm:Tmari_0819
ko:K01889	tmm:Tmari_0822
ko:K01890	tmm:Tmari_0823
ko:K00826	tmm:Tmari_0833
ko:K02470	tmm:Tmari_0835
ko:K03590	tmm:Tmari_0837
ko:K03531	tmm:Tmari_0838
ko:K02652	tmm:Tmari_0839
ko:K05837	tmm:Tmari_0841
ko:K00783	tmm:Tmari_0846
ko:K03686	tmm:Tmari_0851
ko:K03687	tmm:Tmari_0852
ko:K03705	tmm:Tmari_0853
ko:K07566	tmm:Tmari_0854
ko:K02834	tmm:Tmari_0857
ko:K11753	tmm:Tmari_0859
ko:K03210	tmm:Tmari_0861
ko:K03072	tmm:Tmari_0862
ko:K03074	tmm:Tmari_0863
ko:K00973	tmm:Tmari_0864
ko:K02939	tmm:Tmari_0865
ko:K00528	tmm:Tmari_1648
ko:K00266	tmm:Tmari_1649
ko:K06989	tmm:Tmari_1652
ko:K03517	tmm:Tmari_1653
ko:K00767	tmm:Tmari_1654
ko:K09770	tmm:Tmari_1655
ko:K02355	tmm:Tmari_1660
