ko:K04042	mab:MAB_1148c
ko:K02048	mab:MAB_1652
ko:K02046	mab:MAB_1653
ko:K02047	mab:MAB_1654
ko:K02045	mab:MAB_1655
ko:K00957	mab:MAB_1660c
ko:K00390	mab:MAB_1661c
ko:K03705	mab:MAB_1665
ko:K03686	mab:MAB_1666
ko:K09761	mab:MAB_1667
ko:K06217	mab:MAB_1668
ko:K03595	mab:MAB_1672
ko:K03584	mab:MAB_1675
ko:K00836	mab:MAB_1684
ko:K02078	mab:MAB_1691
ko:K03322	mab:MAB_1031c
ko:K02228	mab:MAB_1037
ko:K01714	mab:MAB_1047c
ko:K01810	mab:MAB_1051c
ko:K03657	mab:MAB_1054
ko:K00655	mab:MAB_1984
ko:K01626	mab:MAB_1987
ko:K08884	mab:MAB_1988c
ko:K00297	mab:MAB_1993
ko:K03925	mab:MAB_1997
ko:K03438	mab:MAB_1998
ko:K01928	mab:MAB_2001
ko:K01929	mab:MAB_2002
ko:K08296	mab:MAB_1419c
ko:K01887	mab:MAB_1433
ko:K01586	mab:MAB_1434
ko:K00003	mab:MAB_1435
ko:K00872	mab:MAB_1437
ko:K03628	mab:MAB_1438
ko:K02909	mab:MAB_1441
ko:K02835	mab:MAB_1442
ko:K02493	mab:MAB_1443
ko:K02108	mab:MAB_1447
ko:K02110	mab:MAB_1448
ko:K02026	mab:MAB_1716c
ko:K02025	mab:MAB_1717c
ko:K03568	mab:MAB_1718
ko:K03424	mab:MAB_1129
ko:K02528	mab:MAB_1131
ko:K06994	mab:MAB_1137c
ko:K00919	mab:MAB_1139
ko:K02897	mab:MAB_1143c
ko:K00948	mab:MAB_1147c
ko:K01586	mab:MAB_1156c
ko:K03723	mab:MAB_1157
ko:K02428	mab:MAB_1158
ko:K07243	mab:MAB_1159
ko:K07224	mab:MAB_1162c
ko:K01689	mab:MAB_1165
ko:K01523	mab:MAB_2131
ko:K00330	mab:MAB_2134
ko:K00331	mab:MAB_2135
ko:K00332	mab:MAB_2136
ko:K00333	mab:MAB_2137
ko:K00334	mab:MAB_2138
ko:K00336	mab:MAB_2140
ko:K00337	mab:MAB_2141
ko:K00339	mab:MAB_2143
ko:K00340	mab:MAB_2144
ko:K00341	mab:MAB_2145
ko:K00342	mab:MAB_2146
ko:K00343	mab:MAB_2147
ko:K06978	mab:MAB_0501c
ko:K09153	mab:MAB_0504c
ko:K01507	mab:MAB_0518c
ko:K01693	mab:MAB_2668c
ko:K00817	mab:MAB_2669c
ko:K00013	mab:MAB_2670c
ko:K00767	mab:MAB_2672c
ko:K03517	mab:MAB_2674c
ko:K00116	mab:MAB_2681
ko:K01935	mab:MAB_2686c
ko:K01754	mab:MAB_2691c
ko:K00252	mab:MAB_0822
ko:K00574	mab:MAB_0310c
ko:K01689	mab:MAB_0312c
ko:K09747	mab:MAB_0319
ko:K07009	mab:MAB_0323c
ko:K02963	mab:MAB_0331c
ko:K00140	mab:MAB_1189c
ko:K01754	mab:MAB_1199
ko:K03624	mab:MAB_1201c
ko:K06888	mab:MAB_1205
ko:K05917	mab:MAB_1214c
ko:K07259	mab:MAB_0519
ko:K02115	mab:MAB_1452
ko:K02112	mab:MAB_1453
ko:K02114	mab:MAB_1454
ko:K05838	mab:MAB_1465
ko:K00700	mab:MAB_1467c
ko:K00688	mab:MAB_1469
ko:K03722	mab:MAB_1471c
ko:K01776	mab:MAB_1482
ko:K10680	mab:MAB_0830
ko:K03647	mab:MAB_3414c
ko:K06191	mab:MAB_3415c
ko:K01738	mab:MAB_0406c
ko:K02031	mab:MAB_0429
ko:K02032	mab:MAB_0429
ko:K02283	mab:MAB_0433
ko:K06048	mab:MAB_2558
ko:K01673	mab:MAB_2564
ko:K02040	mab:MAB_0746
ko:K02037	mab:MAB_0747
ko:K02038	mab:MAB_0748
ko:K02036	mab:MAB_0749
ko:K02039	mab:MAB_0751c
ko:K07044	mab:MAB_2069
ko:K03466	mab:MAB_2099
ko:K06910	mab:MAB_2103
ko:K06153	mab:MAB_2108
ko:K00817	mab:MAB_0220c
ko:K05846	mab:MAB_0263
ko:K05846	mab:MAB_0264
ko:K01665	mab:MAB_1124c
ko:K03088	mab:MAB_1126c
ko:K07552	mab:MAB_1395
ko:K01000	mab:MAB_2003
ko:K01925	mab:MAB_2004
ko:K03588	mab:MAB_2005
ko:K01924	mab:MAB_2007
ko:K03589	mab:MAB_2008
ko:K03531	mab:MAB_2009
ko:K05810	mab:MAB_2010
ko:K06997	mab:MAB_2011
ko:K09772	mab:MAB_2012
ko:K02221	mab:MAB_2016
ko:K09458	mab:MAB_2028
ko:K09458	mab:MAB_2030
ko:K08987	mab:MAB_0070
ko:K07044	mab:MAB_0089c
ko:K00266	mab:MAB_0092
ko:K00762	mab:MAB_4260c
ko:K01644	mab:MAB_4737
ko:K05592	mab:MAB_1403
ko:K06048	mab:MAB_4183c
ko:K01465	mab:MAB_2830c
ko:K00609	mab:MAB_2831c
ko:K10805	mab:MAB_2638c
ko:K10805	mab:MAB_2891c
ko:K03781	mab:MAB_0351
ko:K00847	mab:MAB_0359
ko:K01443	mab:MAB_0362c
ko:K01919	mab:MAB_0369
ko:K07008	mab:MAB_0371
ko:K03924	mab:MAB_0389c
ko:K03527	mab:MAB_1257
ko:K05846	mab:MAB_1225
ko:K05846	mab:MAB_1227
ko:K02600	mab:MAB_3135c
ko:K06178	mab:MAB_2370
ko:K10979	mab:MAB_1032c
ko:K00606	mab:MAB_1916c
ko:K01725	mab:MAB_0054c
ko:K05895	mab:MAB_2197
ko:K07006	mab:MAB_2203
ko:K07113	mab:MAB_2204
ko:K03820	mab:MAB_2206
ko:K06978	mab:MAB_2222c
ko:K03710	mab:MAB_2239
ko:K02051	mab:MAB_2241
ko:K02954	mab:MAB_0332c
ko:K02913	mab:MAB_0333c
ko:K02902	mab:MAB_0334c
ko:K02909	mab:MAB_0336
ko:K01649	mab:MAB_0337c
ko:K06200	mab:MAB_1260c
ko:K06942	mab:MAB_1266
ko:K08981	mab:MAB_1270
ko:K01738	mab:MAB_1273
ko:K04073	mab:MAB_0625
ko:K01666	mab:MAB_0626
ko:K05571	mab:MAB_0631c
ko:K05570	mab:MAB_0632c
ko:K05569	mab:MAB_0633c
ko:K05568	mab:MAB_0634c
ko:K05567	mab:MAB_0635c
ko:K01613	mab:MAB_0639c
ko:K03750	mab:MAB_0640c
ko:K03924	mab:MAB_0653
ko:K03545	mab:MAB_1580
ko:K03544	mab:MAB_1583
ko:K00831	mab:MAB_0928c
ko:K00528	mab:MAB_0930
ko:K01647	mab:MAB_0932c
ko:K00275	mab:MAB_0933
ko:K01647	mab:MAB_0944
ko:K03710	mab:MAB_0953
ko:K09861	mab:MAB_0975c
ko:K06996	mab:MAB_0976
ko:K03648	mab:MAB_3283c
ko:K00991	mab:MAB_0569
ko:K01770	mab:MAB_0570
ko:K03218	mab:MAB_0572
ko:K01126	mab:MAB_0573
ko:K06188	mab:MAB_0589
ko:K03564	mab:MAB_1515c
ko:K06994	mab:MAB_1520c
ko:K06915	mab:MAB_1534
ko:K06902	mab:MAB_1538
ko:K00451	mab:MAB_0890c
ko:K00457	mab:MAB_0893
ko:K00382	mab:MAB_0894c
ko:K00627	mab:MAB_0895c
ko:K00688	mab:MAB_1854c
ko:K00957	mab:MAB_1545c
ko:K06959	mab:MAB_1549c
ko:K03111	mab:MAB_1559
ko:K07107	mab:MAB_1562
ko:K06886	mab:MAB_1566c
ko:K01256	mab:MAB_1571c
ko:K01808	mab:MAB_1574
ko:K05522	mab:MAB_1575
ko:K06199	mab:MAB_2440
ko:K06153	mab:MAB_2450
ko:K02051	mab:MAB_2462
ko:K02078	mab:MAB_1878c
ko:K00645	mab:MAB_1879c
ko:K07107	mab:MAB_1888
ko:K07241	mab:MAB_1897c
ko:K02227	mab:MAB_1898
ko:K00817	mab:MAB_1902
ko:K07164	mab:MAB_1904
ko:K07226	mab:MAB_1906
ko:K03924	mab:MAB_1909c
ko:K02379	mab:MAB_1592c
ko:K03752	mab:MAB_1598
ko:K01873	mab:MAB_1603
ko:K00940	mab:MAB_1606
ko:K02888	mab:MAB_1610
ko:K02899	mab:MAB_1611
ko:K03979	mab:MAB_1612
ko:K00931	mab:MAB_1613
ko:K00852	mab:MAB_1617c
ko:K00147	mab:MAB_1618
ko:K07161	mab:MAB_1620
ko:K00969	mab:MAB_1621
ko:K09710	mab:MAB_1622
ko:K02238	mab:MAB_1627
ko:K02340	mab:MAB_1633
ko:K02968	mab:MAB_1634c
ko:K03596	mab:MAB_1640
ko:K07107	mab:MAB_0982c
ko:K00982	mab:MAB_1921
ko:K05523	mab:MAB_1932c
ko:K01915	mab:MAB_1933c
ko:K03644	mab:MAB_1942c
ko:K03801	mab:MAB_1943c
ko:K07071	mab:MAB_1944c
ko:K09131	mab:MAB_1946
ko:K01255	mab:MAB_1948c
ko:K00605	mab:MAB_1949
ko:K02233	mab:MAB_1952c
ko:K02231	mab:MAB_1954c
ko:K00865	mab:MAB_1956
ko:K00856	mab:MAB_1959
ko:K09771	mab:MAB_2597
ko:K01996	mab:MAB_2622c
ko:K01997	mab:MAB_2625c
ko:K01999	mab:MAB_2626c
ko:K03891	mab:MAB_1966c
ko:K03890	mab:MAB_1967c
ko:K03889	mab:MAB_1968c
ko:K02276	mab:MAB_1969c
ko:K00766	mab:MAB_1970
ko:K02342	mab:MAB_1971c
ko:K07507	mab:MAB_0146
ko:K01875	mab:MAB_0153
ko:K07225	mab:MAB_2484c
ko:K00380	mab:MAB_2485c
ko:K05593	mab:MAB_2493c
ko:K03602	mab:MAB_1254c
ko:K01673	mab:MAB_3211c
ko:K01933	mab:MAB_0728
ko:K01903	mab:MAB_1056
ko:K00548	mab:MAB_2129
ko:K01889	mab:MAB_2334
ko:K04567	mab:MAB_0544
ko:K00616	mab:MAB_2760
ko:K01644	mab:MAB_1369
ko:K01902	mab:MAB_1057
ko:K03811	mab:MAB_3190c
ko:K00989	mab:MAB_1484
ko:K02346	mab:MAB_0977c
ko:K00162	mab:MAB_4917c
ko:K01657	mab:MAB_2647c
ko:K03786	mab:MAB_2840c
ko:K03043	mab:MAB_3869c
ko:K13540	mab:MAB_2198c
ko:K02335	mab:MAB_2615c
ko:K02337	mab:MAB_2696c
ko:K03582	mab:MAB_0399c
ko:K03581	mab:MAB_0398c
ko:K03583	mab:MAB_0400c
ko:K01448	mab:MAB_0318c
ko:K03046	mab:MAB_3868c
ko:K01664	mab:MAB_0032
ko:K01673	mab:MAB_3098
ko:K11387	mab:MAB_0189c
ko:K01673	mab:MAB_4126c
ko:K03789	mab:MAB_3735c
ko:K11105	mab:MAB_4717c
ko:K07669	mab:MAB_1076
ko:K03601	mab:MAB_1255c
ko:K01756	mab:MAB_0687
ko:K16786	mab:MAB_1713
ko:K16787	mab:MAB_1713
ko:K03088	mab:MAB_4553
ko:K07032	mab:MAB_4555c
ko:K03744	mab:MAB_4557c
ko:K07393	mab:MAB_4580c
ko:K06975	mab:MAB_3942
ko:K01661	mab:MAB_3945
ko:K03306	mab:MAB_3950c
ko:K00772	mab:MAB_3956c
ko:K00384	mab:MAB_4940
ko:K03671	mab:MAB_4941
ko:K06346	mab:MAB_4952c
ko:K03217	mab:MAB_4953c
ko:K03536	mab:MAB_4954c
ko:K02914	mab:MAB_4955c
ko:K00383	mab:MAB_p09
ko:K04756	mab:MAB_4407c
ko:K04761	mab:MAB_4409
ko:K02433	mab:MAB_4415
ko:K00252	mab:MAB_4609c
ko:K00232	mab:MAB_3588
ko:K07507	mab:MAB_3593
ko:K00943	mab:MAB_3594c
ko:K01251	mab:MAB_3595c
ko:K00496	mab:MAB_3598c
ko:K00067	mab:MAB_3613c
ko:K01588	mab:MAB_3619c
ko:K01589	mab:MAB_3620c
ko:K08681	mab:MAB_2890c
ko:K06215	mab:MAB_2892c
ko:K00995	mab:MAB_2896c
ko:K01868	mab:MAB_2898c
ko:K00077	mab:MAB_2908c
ko:K03821	mab:MAB_2917
ko:K07402	mab:MAB_2924c
ko:K07127	mab:MAB_2930c
ko:K02575	mab:MAB_3523c
ko:K03088	mab:MAB_3543c
ko:K00800	mab:MAB_3546
ko:K06949	mab:MAB_3547
ko:K01649	mab:MAB_3553
ko:K00077	mab:MAB_3554
ko:K00648	mab:MAB_3574c
ko:K03313	mab:MAB_2991c
ko:K03499	mab:MAB_2994
ko:K03499	mab:MAB_2995
ko:K03088	mab:MAB_2999c
ko:K00886	mab:MAB_3008
ko:K03086	mab:MAB_3009
ko:K09767	mab:MAB_3912
ko:K00057	mab:MAB_3915
ko:K03799	mab:MAB_3927c
ko:K02274	mab:MAB_3389c
ko:K02016	mab:MAB_3390
ko:K05710	mab:MAB_4369c
ko:K05708	mab:MAB_4370c
ko:K04073	mab:MAB_4374
ko:K01666	mab:MAB_4375
ko:K06994	mab:MAB_4382c
ko:K02016	mab:MAB_4390
ko:K01803	mab:MAB_2777c
ko:K00927	mab:MAB_2778c
ko:K00134	mab:MAB_2779c
ko:K09762	mab:MAB_2781c
ko:K00681	mab:MAB_2788
ko:K03736	mab:MAB_2789c
ko:K03735	mab:MAB_2790c
ko:K00794	mab:MAB_2795c
ko:K00793	mab:MAB_2797c
ko:K02072	mab:MAB_2802c
ko:K02071	mab:MAB_2803c
ko:K02073	mab:MAB_2804c
ko:K01783	mab:MAB_2809c
ko:K01464	mab:MAB_2817c
ko:K00789	mab:MAB_2820c
ko:K00942	mab:MAB_2823c
ko:K01790	mab:MAB_3780
ko:K01265	mab:MAB_3782c
ko:K00939	mab:MAB_3783c
ko:K00099	mab:MAB_3171c
ko:K06941	mab:MAB_3175c
ko:K00981	mab:MAB_3186c
ko:K02838	mab:MAB_3187c
ko:K09903	mab:MAB_3188c
ko:K05350	mab:MAB_3192c
ko:K02357	mab:MAB_3195c
ko:K02967	mab:MAB_3196c
ko:K07157	mab:MAB_4165
ko:K00528	mab:MAB_4171c
ko:K07560	mab:MAB_4175c
ko:K03306	mab:MAB_4845
ko:K02036	mab:MAB_4849c
ko:K02038	mab:MAB_4850c
ko:K02037	mab:MAB_4851c
ko:K02040	mab:MAB_4852c
ko:K03325	mab:MAB_4863
ko:K03470	mab:MAB_3222c
ko:K02884	mab:MAB_3224c
ko:K00554	mab:MAB_3226c
ko:K02860	mab:MAB_3227c
ko:K06960	mab:MAB_3228c
ko:K02959	mab:MAB_3229c
ko:K07258	mab:MAB_3234
ko:K03106	mab:MAB_3237c
ko:K00990	mab:MAB_3238c
ko:K03320	mab:MAB_3240c
ko:K01823	mab:MAB_3242
ko:K03529	mab:MAB_3246c
ko:K07667	mab:MAB_3250c
ko:K07040	mab:MAB_3257c
ko:K01191	mab:MAB_4227c
ko:K01591	mab:MAB_2826c
ko:K01735	mab:MAB_2841c
ko:K00891	mab:MAB_2842c
ko:K01736	mab:MAB_2843c
ko:K02654	mab:MAB_2844c
ko:K00014	mab:MAB_2848c
ko:K07082	mab:MAB_2849c
ko:K01872	mab:MAB_2851c
ko:K07478	mab:MAB_2853c
ko:K07054	mab:MAB_2867
ko:K07032	mab:MAB_2869
ko:K00759	mab:MAB_2877c
ko:K02035	mab:MAB_2878c
ko:K10764	mab:MAB_4242c
ko:K08289	mab:MAB_4245c
ko:K01624	mab:MAB_4254c
ko:K03975	mab:MAB_4255
ko:K07107	mab:MAB_4256c
ko:K03695	mab:MAB_4265c
ko:K04773	mab:MAB_3789c
ko:K02876	mab:MAB_3793c
ko:K02907	mab:MAB_3794c
ko:K02988	mab:MAB_3795c
ko:K02881	mab:MAB_3796c
ko:K02933	mab:MAB_3797c
ko:K02994	mab:MAB_3798c
ko:K02954	mab:MAB_3804c
ko:K02931	mab:MAB_3805c
ko:K02895	mab:MAB_3806c
ko:K02874	mab:MAB_3807c
ko:K03761	mab:MAB_3808c
ko:K02961	mab:MAB_3811c
ko:K02904	mab:MAB_3812c
ko:K02878	mab:MAB_3813c
ko:K02982	mab:MAB_3814c
ko:K02890	mab:MAB_3815c
ko:K02965	mab:MAB_3816c
ko:K02886	mab:MAB_3817c
ko:K02892	mab:MAB_3818c
ko:K02926	mab:MAB_3819c
ko:K02906	mab:MAB_3820c
ko:K02946	mab:MAB_3821c
ko:K00275	mab:MAB_3823
ko:K03736	mab:MAB_3827c
ko:K03735	mab:MAB_3828c
ko:K00101	mab:MAB_3834c
ko:K00957	mab:MAB_4181
ko:K01462	mab:MAB_4187
ko:K01142	mab:MAB_4189
ko:K07020	mab:MAB_4198
ko:K03885	mab:MAB_4199
ko:K03088	mab:MAB_4200
ko:K00135	mab:MAB_4208
ko:K04096	mab:MAB_3212c
ko:K07391	mab:MAB_3213c
ko:K07460	mab:MAB_3214c
ko:K07734	mab:MAB_4792
ko:K01057	mab:MAB_2763
ko:K02164	mab:MAB_2769
ko:K07054	mab:MAB_2775c
ko:K00382	mab:MAB_4127c
ko:K00697	mab:MAB_4145
ko:K02067	mab:MAB_4148c
ko:K02067	mab:MAB_4149c
ko:K02067	mab:MAB_4151c
ko:K02067	mab:MAB_4152c
ko:K02066	mab:MAB_4154c
ko:K02066	mab:MAB_4155c
ko:K02224	mab:MAB_3155c
ko:K02348	mab:MAB_3158c
ko:K00116	mab:MAB_3159c
ko:K02232	mab:MAB_3163c
ko:K01265	mab:MAB_3164c
ko:K02048	mab:MAB_4447
ko:K05303	mab:MAB_4108c
ko:K01322	mab:MAB_4130
ko:K05337	mab:MAB_4157c
ko:K00666	mab:MAB_4160
ko:K07068	mab:MAB_4167
