ko:K22317	sbs:Sbal117_1657
ko:K04744	sbs:Sbal117_1080
ko:K07102	sbs:Sbal117_1081
ko:K05801	sbs:Sbal117_1083
ko:K08289	sbs:Sbal117_1090
ko:K02045	sbs:Sbal117_1095
ko:K02047	sbs:Sbal117_1096
ko:K02046	sbs:Sbal117_1097
ko:K02048	sbs:Sbal117_1098
ko:K12339	sbs:Sbal117_1099
ko:K06938	sbs:Sbal117_1101
ko:K03641	sbs:Sbal117_1863
ko:K03640	sbs:Sbal117_1864
ko:K01895	sbs:Sbal117_1869
ko:K00833	sbs:Sbal117_1874
ko:K01012	sbs:Sbal117_1875
ko:K02169	sbs:Sbal117_1877
ko:K01935	sbs:Sbal117_1878
ko:K05787	sbs:Sbal117_1879
ko:K09915	sbs:Sbal117_1882
ko:K00243	sbs:Sbal117_1883
ko:K01611	sbs:Sbal117_1886
ko:K00275	sbs:Sbal117_1887
ko:K09768	sbs:Sbal117_1888
ko:K03611	sbs:Sbal117_1893
ko:K03314	sbs:Sbal117_1894
ko:K03603	sbs:Sbal117_1895
ko:K09786	sbs:Sbal117_1897
ko:K07180	sbs:Sbal117_1898
ko:K04564	sbs:Sbal117_1899
ko:K07390	sbs:Sbal117_1900
ko:K09938	sbs:Sbal117_1902
ko:K10763	sbs:Sbal117_1903
ko:K00164	sbs:Sbal117_2652
ko:K00240	sbs:Sbal117_2653
ko:K00239	sbs:Sbal117_2654
ko:K00242	sbs:Sbal117_2655
ko:K01647	sbs:Sbal117_2657
ko:K09900	sbs:Sbal117_2661
ko:K09907	sbs:Sbal117_2666
ko:K00428	sbs:Sbal117_2670
ko:K06899	sbs:Sbal117_2671
ko:K09904	sbs:Sbal117_2672
ko:K07014	sbs:Sbal117_2673
ko:K00892	sbs:Sbal117_2681
ko:K01772	sbs:Sbal117_2682
ko:K05838	sbs:Sbal117_2684
ko:K04079	sbs:Sbal117_2685
ko:K07287	sbs:Sbal117_2688
ko:K01714	sbs:Sbal117_2689
ko:K03567	sbs:Sbal117_2690
ko:K03564	sbs:Sbal117_2691
ko:K06895	sbs:Sbal117_2692
ko:K05596	sbs:Sbal117_2693
ko:K03799	sbs:Sbal117_2694
ko:K05995	sbs:Sbal117_2695
ko:K00995	sbs:Sbal117_2697
ko:K03703	sbs:Sbal117_2698
ko:K06189	sbs:Sbal117_3401
ko:K03820	sbs:Sbal117_3402
ko:K01869	sbs:Sbal117_3406
ko:K03643	sbs:Sbal117_3407
ko:K02340	sbs:Sbal117_3408
ko:K00969	sbs:Sbal117_3409
ko:K09710	sbs:Sbal117_3410
ko:K00783	sbs:Sbal117_3411
ko:K05515	sbs:Sbal117_3412
ko:K05837	sbs:Sbal117_3413
ko:K03642	sbs:Sbal117_3415
ko:K09158	sbs:Sbal117_3417
ko:K03801	sbs:Sbal117_3418
ko:K03644	sbs:Sbal117_3419
ko:K03789	sbs:Sbal117_3420
ko:K04047	sbs:Sbal117_3422
ko:K09781	sbs:Sbal117_3431
ko:K01807	sbs:Sbal117_3432
ko:K06969	sbs:Sbal117_3433
ko:K09930	sbs:Sbal117_3435
ko:K06213	sbs:Sbal117_3439
ko:K01955	sbs:Sbal117_3443
ko:K01956	sbs:Sbal117_3444
ko:K00215	sbs:Sbal117_3445
ko:K03773	sbs:Sbal117_3446
ko:K01754	sbs:Sbal117_4186
ko:K01687	sbs:Sbal117_4187
ko:K11258	sbs:Sbal117_4188
ko:K02011	sbs:Sbal117_0739
ko:K07223	sbs:Sbal117_0742
ko:K07118	sbs:Sbal117_0744
ko:K03402	sbs:Sbal117_0745
ko:K00024	sbs:Sbal117_0746
ko:K13938	sbs:Sbal117_0748
ko:K09888	sbs:Sbal117_0750
ko:K09895	sbs:Sbal117_0752
ko:K03185	sbs:Sbal117_0753
ko:K00605	sbs:Sbal117_0755
ko:K02437	sbs:Sbal117_0756
ko:K00281	sbs:Sbal117_0757
ko:K10680	sbs:Sbal117_0766
ko:K01868	sbs:Sbal117_0767
ko:K13979	sbs:Sbal117_0773
ko:K09136	sbs:Sbal117_0784
ko:K06175	sbs:Sbal117_1550
ko:K01433	sbs:Sbal117_1554
ko:K00990	sbs:Sbal117_1557
ko:K01265	sbs:Sbal117_1558
ko:K02967	sbs:Sbal117_1559
ko:K02357	sbs:Sbal117_1560
ko:K09903	sbs:Sbal117_1561
ko:K02838	sbs:Sbal117_1562
ko:K00806	sbs:Sbal117_1563
ko:K00981	sbs:Sbal117_1564
ko:K00099	sbs:Sbal117_1565
ko:K11749	sbs:Sbal117_1566
ko:K07277	sbs:Sbal117_1567
ko:K06142	sbs:Sbal117_1568
ko:K02536	sbs:Sbal117_1569
ko:K02372	sbs:Sbal117_1570
ko:K00677	sbs:Sbal117_1571
ko:K00748	sbs:Sbal117_1572
ko:K03470	sbs:Sbal117_1573
ko:K02337	sbs:Sbal117_1574
ko:K04075	sbs:Sbal117_1575
ko:K03704	sbs:Sbal117_1578
ko:K00067	sbs:Sbal117_1582
ko:K00847	sbs:Sbal117_1584
ko:K02572	sbs:Sbal117_1590
ko:K00963	sbs:Sbal117_1592
ko:K00500	sbs:Sbal117_1593
ko:K00134	sbs:Sbal117_2339
ko:K00134	sbs:Sbal117_2341
ko:K03517	sbs:Sbal117_2342
ko:K01652	sbs:Sbal117_4189
ko:K00053	sbs:Sbal117_4190
ko:K02521	sbs:Sbal117_4191
ko:K07391	sbs:Sbal117_4199
ko:K00826	sbs:Sbal117_4210
ko:K09892	sbs:Sbal117_4215
ko:K03673	sbs:Sbal117_4217
ko:K00375	sbs:Sbal117_4229
ko:K01118	sbs:Sbal117_4230
ko:K09699	sbs:Sbal117_2343
ko:K00167	sbs:Sbal117_2344
ko:K00166	sbs:Sbal117_2345
ko:K05526	sbs:Sbal117_2346
ko:K03645	sbs:Sbal117_2349
ko:K03839	sbs:Sbal117_2353
ko:K02356	sbs:Sbal117_2355
ko:K01915	sbs:Sbal117_2356
ko:K14260	sbs:Sbal117_2358
ko:K01129	sbs:Sbal117_2360
ko:K01625	sbs:Sbal117_2361
ko:K01690	sbs:Sbal117_2362
ko:K01057	sbs:Sbal117_2363
ko:K00036	sbs:Sbal117_2364
ko:K00873	sbs:Sbal117_2366
ko:K01283	sbs:Sbal117_2369
ko:K09858	sbs:Sbal117_2372
ko:K01738	sbs:Sbal117_2376
ko:K10026	sbs:Sbal117_2377
ko:K06920	sbs:Sbal117_2378
ko:K03702	sbs:Sbal117_2380
ko:K15894	sbs:Sbal117_3106
ko:K09794	sbs:Sbal117_3115
ko:K00426	sbs:Sbal117_3118
ko:K00425	sbs:Sbal117_3119
ko:K01952	sbs:Sbal117_3120
ko:K11991	sbs:Sbal117_3122
ko:K01951	sbs:Sbal117_3123
ko:K03601	sbs:Sbal117_3125
ko:K03977	sbs:Sbal117_3126
ko:K01892	sbs:Sbal117_3129
ko:K15539	sbs:Sbal117_3131
ko:K02656	sbs:Sbal117_3132
ko:K06941	sbs:Sbal117_3133
ko:K15977	sbs:Sbal117_3137
ko:K06911	sbs:Sbal117_3138
ko:K09954	sbs:Sbal117_3142
ko:K09933	sbs:Sbal117_3148
ko:K01620	sbs:Sbal117_3151
ko:K01153	sbs:Sbal117_3874
ko:K07113	sbs:Sbal117_3879
ko:K03926	sbs:Sbal117_3880
ko:K04084	sbs:Sbal117_3881
ko:K00849	sbs:Sbal117_3883
ko:K01713	sbs:Sbal117_3898
ko:K01744	sbs:Sbal117_3901
ko:K07791	sbs:Sbal117_3902
ko:K00246	sbs:Sbal117_3903
ko:K03701	sbs:Sbal117_3909
ko:K05592	sbs:Sbal117_3911
ko:K07038	sbs:Sbal117_4662
ko:K03453	sbs:Sbal117_0321
ko:K02197	sbs:Sbal117_0326
ko:K02196	sbs:Sbal117_0327
ko:K02195	sbs:Sbal117_0328
ko:K02194	sbs:Sbal117_0329
ko:K02198	sbs:Sbal117_0333
ko:K02199	sbs:Sbal117_0334
ko:K06006	sbs:Sbal117_0363
ko:K05916	sbs:Sbal117_1117
ko:K06180	sbs:Sbal117_1120
ko:K05810	sbs:Sbal117_1121
ko:K03695	sbs:Sbal117_1122
ko:K01573	sbs:Sbal117_1127
ko:K01919	sbs:Sbal117_1134
ko:K01589	sbs:Sbal117_1138
ko:K01588	sbs:Sbal117_1139
ko:K03321	sbs:Sbal117_1140
ko:K03088	sbs:Sbal117_1142
ko:K01810	sbs:Sbal117_1147
ko:K03310	sbs:Sbal117_1151
ko:K09861	sbs:Sbal117_1152
ko:K02968	sbs:Sbal117_1155
ko:K03980	sbs:Sbal117_1156
ko:K11753	sbs:Sbal117_1157
ko:K01870	sbs:Sbal117_1158
ko:K03101	sbs:Sbal117_1159
ko:K03811	sbs:Sbal117_1921
ko:K01524	sbs:Sbal117_1950
ko:K00937	sbs:Sbal117_1951
ko:K04046	sbs:Sbal117_1952
ko:K05805	sbs:Sbal117_1953
ko:K01716	sbs:Sbal117_2702
ko:K03812	sbs:Sbal117_2703
ko:K15738	sbs:Sbal117_2705
ko:K12297	sbs:Sbal117_2707
ko:K06187	sbs:Sbal117_2709
ko:K09747	sbs:Sbal117_2710
ko:K02343	sbs:Sbal117_2711
ko:K00759	sbs:Sbal117_2712
ko:K09790	sbs:Sbal117_2713
ko:K09929	sbs:Sbal117_2715
ko:K09930	sbs:Sbal117_2716
ko:K05541	sbs:Sbal117_2718
ko:K03775	sbs:Sbal117_2726
ko:K03415	sbs:Sbal117_2730
ko:K07157	sbs:Sbal117_2732
ko:K03088	sbs:Sbal117_2733
ko:K03686	sbs:Sbal117_3455
ko:K04043	sbs:Sbal117_3456
ko:K00147	sbs:Sbal117_3460
ko:K00931	sbs:Sbal117_3461
ko:K06901	sbs:Sbal117_3462
ko:K00154	sbs:Sbal117_3470
ko:K06214	sbs:Sbal117_3472
ko:K04338	sbs:Sbal117_3473
ko:K04337	sbs:Sbal117_3474
ko:K02003	sbs:Sbal117_3479
ko:K01465	sbs:Sbal117_3483
ko:K00375	sbs:Sbal117_3491
ko:K00005	sbs:Sbal117_3495
ko:K02232	sbs:Sbal117_3500
ko:K02231	sbs:Sbal117_3501
ko:K02233	sbs:Sbal117_3502
ko:K00768	sbs:Sbal117_3503
ko:K02015	sbs:Sbal117_3504
ko:K02013	sbs:Sbal117_3505
ko:K01581	sbs:Sbal117_4241
ko:K06156	sbs:Sbal117_4245
ko:K06145	sbs:Sbal117_4246
ko:K07136	sbs:Sbal117_4248
ko:K07056	sbs:Sbal117_4254
ko:K07121	sbs:Sbal117_4255
ko:K07460	sbs:Sbal117_4256
ko:K01867	sbs:Sbal117_4261
ko:K01091	sbs:Sbal117_4262
ko:K01783	sbs:Sbal117_4263
ko:K03112	sbs:Sbal117_4267
ko:K01735	sbs:Sbal117_4268
ko:K00891	sbs:Sbal117_4269
ko:K02666	sbs:Sbal117_4270
ko:K02662	sbs:Sbal117_4274
ko:K05366	sbs:Sbal117_4275
ko:K01755	sbs:Sbal117_4276
ko:K01940	sbs:Sbal117_4277
ko:K00611	sbs:Sbal117_4278
ko:K00930	sbs:Sbal117_4279
ko:K00145	sbs:Sbal117_4280
ko:K01595	sbs:Sbal117_4281
ko:K03826	sbs:Sbal117_4284
ko:K02379	sbs:Sbal117_4286
ko:K07101	sbs:Sbal117_0793
ko:K01126	sbs:Sbal117_0794
ko:K03576	sbs:Sbal117_0806
ko:K00549	sbs:Sbal117_0807
ko:K03088	sbs:Sbal117_0830
ko:K00948	sbs:Sbal117_0832
ko:K00919	sbs:Sbal117_0833
ko:K02494	sbs:Sbal117_0834
ko:K02492	sbs:Sbal117_0835
ko:K02835	sbs:Sbal117_0836
ko:K02493	sbs:Sbal117_0837
ko:K01627	sbs:Sbal117_0843
ko:K03721	sbs:Sbal117_1595
ko:K09962	sbs:Sbal117_1599
ko:K07275	sbs:Sbal117_1600
ko:K09914	sbs:Sbal117_1602
ko:K00651	sbs:Sbal117_1603
ko:K00140	sbs:Sbal117_1606
ko:K03098	sbs:Sbal117_1617
ko:K01993	sbs:Sbal117_1629
ko:K03100	sbs:Sbal117_1632
ko:K09941	sbs:Sbal117_1637
ko:K02037	sbs:Sbal117_1644
ko:K02038	sbs:Sbal117_1645
ko:K02036	sbs:Sbal117_1646
ko:K02039	sbs:Sbal117_1647
ko:K10773	sbs:Sbal117_2389
ko:K09760	sbs:Sbal117_2396
ko:K08309	sbs:Sbal117_2397
ko:K03924	sbs:Sbal117_2399
ko:K03583	sbs:Sbal117_2402
ko:K03582	sbs:Sbal117_2403
ko:K03581	sbs:Sbal117_2404
ko:K01921	sbs:Sbal117_2407
ko:K03500	sbs:Sbal117_2409
ko:K02429	sbs:Sbal117_2410
ko:K00156	sbs:Sbal117_2420
ko:K02000	sbs:Sbal117_2423
ko:K02001	sbs:Sbal117_2424
ko:K02002	sbs:Sbal117_2425
ko:K01462	sbs:Sbal117_2428
ko:K07443	sbs:Sbal117_2429
ko:K11065	sbs:Sbal117_3154
ko:K03113	sbs:Sbal117_3158
ko:K07735	sbs:Sbal117_3159
ko:K07447	sbs:Sbal117_3160
ko:K01772	sbs:Sbal117_3161
ko:K00432	sbs:Sbal117_3162
ko:K02670	sbs:Sbal117_3163
ko:K02669	sbs:Sbal117_3164
ko:K06997	sbs:Sbal117_3165
ko:K00286	sbs:Sbal117_3166
ko:K02221	sbs:Sbal117_3167
ko:K09131	sbs:Sbal117_3168
ko:K01425	sbs:Sbal117_3176
ko:K09923	sbs:Sbal117_3177
ko:K03439	sbs:Sbal117_3178
ko:K03575	sbs:Sbal117_3179
ko:K00574	sbs:Sbal117_3190
ko:K09701	sbs:Sbal117_3191
ko:K01669	sbs:Sbal117_3195
ko:K00297	sbs:Sbal117_3931
ko:K12525	sbs:Sbal117_3932
ko:K03764	sbs:Sbal117_3934
ko:K07090	sbs:Sbal117_3935
ko:K01923	sbs:Sbal117_3942
ko:K00757	sbs:Sbal117_3951
ko:K03811	sbs:Sbal117_3952
ko:K09807	sbs:Sbal117_3956
ko:K14441	sbs:Sbal117_3957
ko:K09890	sbs:Sbal117_3959
ko:K03592	sbs:Sbal117_3962
ko:K09889	sbs:Sbal117_3963
ko:K01993	sbs:Sbal117_3971
ko:K03568	sbs:Sbal117_3973
ko:K08301	sbs:Sbal117_3976
ko:K06287	sbs:Sbal117_3977
ko:K03571	sbs:Sbal117_3978
ko:K03570	sbs:Sbal117_3979
ko:K03427	sbs:Sbal117_4744
ko:K01154	sbs:Sbal117_4745
ko:K01153	sbs:Sbal117_4747
ko:K02914	sbs:Sbal117_0001
ko:K02313	sbs:Sbal117_0002
ko:K02338	sbs:Sbal117_0003
ko:K03629	sbs:Sbal117_0004
ko:K02470	sbs:Sbal117_0005
ko:K07712	sbs:Sbal117_0367
ko:K07708	sbs:Sbal117_0368
ko:K08325	sbs:Sbal117_0373
ko:K09913	sbs:Sbal117_0375
ko:K09940	sbs:Sbal117_0384
ko:K00311	sbs:Sbal117_0386
ko:K03639	sbs:Sbal117_0387
ko:K03637	sbs:Sbal117_0388
ko:K03636	sbs:Sbal117_0389
ko:K02020	sbs:Sbal117_0391
ko:K02018	sbs:Sbal117_0392
ko:K01915	sbs:Sbal117_0409
ko:K06207	sbs:Sbal117_0410
ko:K01761	sbs:Sbal117_0415
ko:K07058	sbs:Sbal117_0418
ko:K03774	sbs:Sbal117_1160
ko:K03527	sbs:Sbal117_1161
ko:K02671	sbs:Sbal117_1162
ko:K02672	sbs:Sbal117_1163
ko:K02673	sbs:Sbal117_1164
ko:K02655	sbs:Sbal117_1166
ko:K04751	sbs:Sbal117_1172
ko:K03885	sbs:Sbal117_1173
ko:K02529	sbs:Sbal117_1174
ko:K00820	sbs:Sbal117_1188
ko:K01443	sbs:Sbal117_1189
ko:K06995	sbs:Sbal117_1193
ko:K00140	sbs:Sbal117_1194
ko:K00822	sbs:Sbal117_1195
ko:K03642	sbs:Sbal117_1202
ko:K07010	sbs:Sbal117_1208
ko:K01915	sbs:Sbal117_1209
ko:K11073	sbs:Sbal117_1210
ko:K11076	sbs:Sbal117_1211
ko:K11075	sbs:Sbal117_1212
ko:K11074	sbs:Sbal117_1213
ko:K09897	sbs:Sbal117_1967
ko:K00901	sbs:Sbal117_1969
ko:K14540	sbs:Sbal117_1973
ko:K12267	sbs:Sbal117_1975
ko:K01698	sbs:Sbal117_1976
ko:K03684	sbs:Sbal117_1983
ko:K03608	sbs:Sbal117_1984
ko:K03609	sbs:Sbal117_1985
ko:K03610	sbs:Sbal117_1986
ko:K09902	sbs:Sbal117_1987
ko:K09160	sbs:Sbal117_1989
ko:K01889	sbs:Sbal117_1991
ko:K01890	sbs:Sbal117_1992
ko:K04764	sbs:Sbal117_1993
ko:K02560	sbs:Sbal117_1994
ko:K04651	sbs:Sbal117_1997
ko:K04654	sbs:Sbal117_1999
ko:K04653	sbs:Sbal117_2000
ko:K04656	sbs:Sbal117_2002
ko:K03620	sbs:Sbal117_2005
ko:K03734	sbs:Sbal117_2011
ko:K03670	sbs:Sbal117_2014
ko:K03669	sbs:Sbal117_2015
ko:K00451	sbs:Sbal117_2751
ko:K00457	sbs:Sbal117_2752
ko:K09919	sbs:Sbal117_2756
ko:K01284	sbs:Sbal117_2763
ko:K03827	sbs:Sbal117_2765
ko:K01284	sbs:Sbal117_2766
ko:K03273	sbs:Sbal117_2769
ko:K00648	sbs:Sbal117_2771
ko:K14393	sbs:Sbal117_2775
ko:K03673	sbs:Sbal117_2777
ko:K01972	sbs:Sbal117_2785
ko:K01972	sbs:Sbal117_2786
ko:K03528	sbs:Sbal117_2787
ko:K03529	sbs:Sbal117_2788
ko:K06203	sbs:Sbal117_2789
ko:K01738	sbs:Sbal117_2793
ko:K01061	sbs:Sbal117_3517
ko:K07300	sbs:Sbal117_3523
ko:K07262	sbs:Sbal117_3525
ko:K10679	sbs:Sbal117_3535
ko:K00860	sbs:Sbal117_3545
ko:K00957	sbs:Sbal117_3548
ko:K01058	sbs:Sbal117_3550
ko:K03814	sbs:Sbal117_3553
ko:K00390	sbs:Sbal117_3555
ko:K00381	sbs:Sbal117_3556
ko:K00123	sbs:Sbal117_4292
ko:K00123	sbs:Sbal117_4296
ko:K02879	sbs:Sbal117_4300
ko:K03040	sbs:Sbal117_4301
ko:K02986	sbs:Sbal117_4302
ko:K02948	sbs:Sbal117_4303
ko:K02952	sbs:Sbal117_4304
ko:K02919	sbs:Sbal117_4305
ko:K03076	sbs:Sbal117_4306
ko:K02876	sbs:Sbal117_4307
ko:K02907	sbs:Sbal117_4308
ko:K02988	sbs:Sbal117_4309
ko:K02881	sbs:Sbal117_4310
ko:K02933	sbs:Sbal117_4311
ko:K02994	sbs:Sbal117_4312
ko:K02954	sbs:Sbal117_4313
ko:K02931	sbs:Sbal117_4314
ko:K02895	sbs:Sbal117_4315
ko:K02874	sbs:Sbal117_4316
ko:K02961	sbs:Sbal117_4317
ko:K02904	sbs:Sbal117_4318
ko:K02878	sbs:Sbal117_4319
ko:K02982	sbs:Sbal117_4320
ko:K02890	sbs:Sbal117_4321
ko:K02965	sbs:Sbal117_4322
ko:K02886	sbs:Sbal117_4323
ko:K02892	sbs:Sbal117_4324
ko:K02926	sbs:Sbal117_4325
ko:K02906	sbs:Sbal117_4326
ko:K02946	sbs:Sbal117_4327
ko:K02358	sbs:Sbal117_4328
ko:K02355	sbs:Sbal117_4329
ko:K02992	sbs:Sbal117_4330
ko:K02950	sbs:Sbal117_4331
ko:K03046	sbs:Sbal117_4332
ko:K03043	sbs:Sbal117_4333
ko:K02935	sbs:Sbal117_4334
ko:K02864	sbs:Sbal117_4335
ko:K02863	sbs:Sbal117_4336
ko:K02867	sbs:Sbal117_4337
ko:K02601	sbs:Sbal117_4338
ko:K03073	sbs:Sbal117_4339
ko:K01879	sbs:Sbal117_0013
ko:K01878	sbs:Sbal117_0014
ko:K01246	sbs:Sbal117_0015
ko:K01825	sbs:Sbal117_0021
ko:K03500	sbs:Sbal117_0030
ko:K00604	sbs:Sbal117_0031
ko:K01462	sbs:Sbal117_0032
ko:K04096	sbs:Sbal117_0034
ko:K07479	sbs:Sbal117_0036
ko:K07566	sbs:Sbal117_0037
ko:K00228	sbs:Sbal117_0038
ko:K06886	sbs:Sbal117_0039
ko:K00014	sbs:Sbal117_0040
ko:K07560	sbs:Sbal117_0421
ko:K01118	sbs:Sbal117_0423
ko:K05782	sbs:Sbal117_0427
ko:K03829	sbs:Sbal117_0428
ko:K09458	sbs:Sbal117_0430
ko:K07107	sbs:Sbal117_0438
ko:K01745	sbs:Sbal117_0439
ko:K02078	sbs:Sbal117_0444
ko:K02078	sbs:Sbal117_0445
ko:K03655	sbs:Sbal117_0449
ko:K07693	sbs:Sbal117_0450
ko:K07778	sbs:Sbal117_0451
ko:K07301	sbs:Sbal117_0453
ko:K03060	sbs:Sbal117_0457
ko:K00942	sbs:Sbal117_0458
ko:K03305	sbs:Sbal117_1219
ko:K02529	sbs:Sbal117_1227
ko:K02429	sbs:Sbal117_1230
ko:K00847	sbs:Sbal117_1232
ko:K03086	sbs:Sbal117_1244
ko:K09117	sbs:Sbal117_1246
ko:K02970	sbs:Sbal117_1247
ko:K08591	sbs:Sbal117_1249
ko:K01633	sbs:Sbal117_1250
ko:K00950	sbs:Sbal117_1251
ko:K06153	sbs:Sbal117_1252
ko:K00563	sbs:Sbal117_1253
ko:K02451	sbs:Sbal117_1257
ko:K01845	sbs:Sbal117_1260
ko:K00609	sbs:Sbal117_1261
ko:K15724	sbs:Sbal117_1264
ko:K02897	sbs:Sbal117_2020
ko:K09800	sbs:Sbal117_2021
ko:K07278	sbs:Sbal117_2022
ko:K13051	sbs:Sbal117_2023
ko:K03578	sbs:Sbal117_2026
ko:K02570	sbs:Sbal117_2028
ko:K02567	sbs:Sbal117_2029
ko:K02568	sbs:Sbal117_2030
ko:K01893	sbs:Sbal117_2033
ko:K01665	sbs:Sbal117_2036
ko:K01676	sbs:Sbal117_2037
ko:K04072	sbs:Sbal117_2041
ko:K03219	sbs:Sbal117_2061
ko:K03220	sbs:Sbal117_2062
ko:K00656	sbs:Sbal117_2803
ko:K04069	sbs:Sbal117_2804
ko:K09899	sbs:Sbal117_2805
ko:K00925	sbs:Sbal117_2806
ko:K13788	sbs:Sbal117_2807
ko:K06969	sbs:Sbal117_2812
ko:K07589	sbs:Sbal117_2814
ko:K07071	sbs:Sbal117_2815
ko:K03312	sbs:Sbal117_2816
ko:K03100	sbs:Sbal117_2817
ko:K02003	sbs:Sbal117_2819
ko:K10804	sbs:Sbal117_2820
ko:K14205	sbs:Sbal117_2823
ko:K06178	sbs:Sbal117_2829
ko:K06024	sbs:Sbal117_2830
ko:K05896	sbs:Sbal117_2831
ko:K07053	sbs:Sbal117_2833
ko:K01657	sbs:Sbal117_2834
ko:K00766	sbs:Sbal117_2836
ko:K13498	sbs:Sbal117_2837
ko:K01696	sbs:Sbal117_2838
ko:K01695	sbs:Sbal117_2839
ko:K03897	sbs:Sbal117_2841
ko:K13255	sbs:Sbal117_2845
ko:K06190	sbs:Sbal117_2846
ko:K09780	sbs:Sbal117_2847
ko:K01142	sbs:Sbal117_2848
ko:K00324	sbs:Sbal117_3558
ko:K00325	sbs:Sbal117_3559
ko:K03272	sbs:Sbal117_3564
ko:K02517	sbs:Sbal117_3565
ko:K07795	sbs:Sbal117_3578
ko:K06916	sbs:Sbal117_3581
ko:K07086	sbs:Sbal117_3585
ko:K00982	sbs:Sbal117_3587
ko:K00797	sbs:Sbal117_3590
ko:K09980	sbs:Sbal117_3591
ko:K07220	sbs:Sbal117_3597
ko:K03306	sbs:Sbal117_3598
ko:K07184	sbs:Sbal117_3599
ko:K13821	sbs:Sbal117_3600
ko:K05873	sbs:Sbal117_3603
ko:K11927	sbs:Sbal117_3608
ko:K03524	sbs:Sbal117_4342
ko:K00075	sbs:Sbal117_4343
ko:K01776	sbs:Sbal117_4345
ko:K01008	sbs:Sbal117_4350
ko:K06917	sbs:Sbal117_4351
ko:K08312	sbs:Sbal117_4356
ko:K02462	sbs:Sbal117_4365
ko:K02461	sbs:Sbal117_4366
ko:K02460	sbs:Sbal117_4368
ko:K02459	sbs:Sbal117_4369
ko:K02458	sbs:Sbal117_4370
ko:K02457	sbs:Sbal117_4371
ko:K02456	sbs:Sbal117_4372
ko:K02455	sbs:Sbal117_4373
ko:K02453	sbs:Sbal117_4375
ko:K02452	sbs:Sbal117_4376
ko:K04762	sbs:Sbal117_4377
ko:K04083	sbs:Sbal117_4378
ko:K01610	sbs:Sbal117_4379
ko:K09894	sbs:Sbal117_0049
ko:K03978	sbs:Sbal117_0052
ko:K02439	sbs:Sbal117_0056
ko:K00060	sbs:Sbal117_0057
ko:K02527	sbs:Sbal117_0060
ko:K11211	sbs:Sbal117_0061
ko:K00954	sbs:Sbal117_0068
ko:K08679	sbs:Sbal117_0070
ko:K00012	sbs:Sbal117_0071
