ko:K01215	stx:MGAS1882_1587
ko:K07668	stx:MGAS1882_0461
ko:K07652	stx:MGAS1882_0462
ko:K03685	stx:MGAS1882_0464
ko:K14230	stx:MGAS1882_0032
ko:K16509	stx:MGAS1882_0951
ko:K03529	stx:MGAS1882_0465
ko:K00014	stx:MGAS1882_0467
ko:K00789	stx:MGAS1882_0471
ko:K00014	stx:MGAS1882_1249
ko:K07720	stx:MGAS1882_1251
ko:K07718	stx:MGAS1882_1252
ko:K05350	stx:MGAS1882_1259
ko:K01197	stx:MGAS1882_1260
ko:K09704	stx:MGAS1882_1262
ko:K01191	stx:MGAS1882_1263
ko:K07706	stx:MGAS1882_1264
ko:K03565	stx:MGAS1882_1266
ko:K07586	stx:MGAS1882_1267
ko:K05808	stx:MGAS1882_1282
ko:K02242	stx:MGAS1882_1283
ko:K02240	stx:MGAS1882_1284
ko:K01738	stx:MGAS1882_1286
ko:K07570	stx:MGAS1882_1287
ko:K03768	stx:MGAS1882_1288
ko:K11618	stx:MGAS1882_1289
ko:K11617	stx:MGAS1882_1290
ko:K03500	stx:MGAS1882_1294
ko:K00604	stx:MGAS1882_1295
ko:K04066	stx:MGAS1882_1296
ko:K03060	stx:MGAS1882_1297
ko:K00942	stx:MGAS1882_1298
ko:K14233	stx:MGAS1882_0031
ko:K14233	stx:MGAS1882_0101
ko:K03699	stx:MGAS1882_0343
ko:K00012	stx:MGAS1882_0475
ko:K01893	stx:MGAS1882_0488
ko:K03110	stx:MGAS1882_0497
ko:K03488	stx:MGAS1882_0499
ko:K02755	stx:MGAS1882_0500
ko:K02756	stx:MGAS1882_0500
ko:K02757	stx:MGAS1882_0500
ko:K01223	stx:MGAS1882_0501
ko:K07089	stx:MGAS1882_0503
ko:K06959	stx:MGAS1882_0505
ko:K03095	stx:MGAS1882_0506
ko:K06023	stx:MGAS1882_0508
ko:K13292	stx:MGAS1882_0509
ko:K08303	stx:MGAS1882_0514
ko:K04567	stx:MGAS1882_0518
ko:K07025	stx:MGAS1882_0519
ko:K03976	stx:MGAS1882_0521
ko:K07273	stx:MGAS1882_0523
ko:K00432	stx:MGAS1882_0526
ko:K00626	stx:MGAS1882_1301
ko:K01034	stx:MGAS1882_1302
ko:K00019	stx:MGAS1882_1304
ko:K07173	stx:MGAS1882_1306
ko:K07444	stx:MGAS1882_1308
ko:K03700	stx:MGAS1882_1311
ko:K05366	stx:MGAS1882_1312
ko:K01372	stx:MGAS1882_1313
ko:K01916	stx:MGAS1882_1314
ko:K00763	stx:MGAS1882_1315
ko:K00384	stx:MGAS1882_1317
ko:K02029	stx:MGAS1882_1320
ko:K01000	stx:MGAS1882_1322
ko:K12556	stx:MGAS1882_1323
ko:K03438	stx:MGAS1882_1325
ko:K00147	stx:MGAS1882_1328
ko:K00931	stx:MGAS1882_1329
ko:K00615	stx:MGAS1882_1333
ko:K00616	stx:MGAS1882_1334
ko:K02440	stx:MGAS1882_1337
ko:K00864	stx:MGAS1882_1339
ko:K01879	stx:MGAS1882_1343
ko:K01878	stx:MGAS1882_1344
ko:K01443	stx:MGAS1882_1347
ko:K03324	stx:MGAS1882_1348
ko:K02160	stx:MGAS1882_1395
ko:K09458	stx:MGAS1882_1396
ko:K00059	stx:MGAS1882_1397
ko:K14231	stx:MGAS1882_0033
ko:K14231	stx:MGAS1882_0103
ko:K14233	stx:MGAS1882_0036
ko:K14224	stx:MGAS1882_0100
ko:K14224	stx:MGAS1882_1270
ko:K14224	stx:MGAS1882_1787
ko:K02313	stx:MGAS1882_0001
ko:K02338	stx:MGAS1882_0002
ko:K06942	stx:MGAS1882_0004
ko:K01056	stx:MGAS1882_0005
ko:K03723	stx:MGAS1882_0006
ko:K04075	stx:MGAS1882_0011
ko:K00760	stx:MGAS1882_0012
ko:K03798	stx:MGAS1882_0013
ko:K03294	stx:MGAS1882_0014
ko:K00948	stx:MGAS1882_0039
ko:K03584	stx:MGAS1882_0040
ko:K03621	stx:MGAS1882_0041
ko:K02078	stx:MGAS1882_0042
ko:K01923	stx:MGAS1882_0043
ko:K07816	stx:MGAS1882_0844
ko:K00858	stx:MGAS1882_0845
ko:K06180	stx:MGAS1882_0846
ko:K00625	stx:MGAS1882_0847
ko:K05847	stx:MGAS1882_0850
ko:K05845	stx:MGAS1882_0851
ko:K05846	stx:MGAS1882_0851
ko:K00364	stx:MGAS1882_0852
ko:K03816	stx:MGAS1882_0853
ko:K03734	stx:MGAS1882_0855
ko:K01821	stx:MGAS1882_0856
ko:K02835	stx:MGAS1882_0858
ko:K02493	stx:MGAS1882_0859
ko:K07566	stx:MGAS1882_0860
ko:K00600	stx:MGAS1882_0862
ko:K06147	stx:MGAS1882_0866
ko:K00016	stx:MGAS1882_0868
ko:K02469	stx:MGAS1882_0869
ko:K08234	stx:MGAS1882_0871
ko:K11068	stx:MGAS1882_0874
ko:K14540	stx:MGAS1882_0876
ko:K03470	stx:MGAS1882_0877
ko:K04096	stx:MGAS1882_0878
ko:K03168	stx:MGAS1882_0879
ko:K07035	stx:MGAS1882_0882
ko:K03778	stx:MGAS1882_0883
ko:K04094	stx:MGAS1882_0886
ko:K01571	stx:MGAS1882_0887
ko:K05966	stx:MGAS1882_0891
ko:K03300	stx:MGAS1882_0893
ko:K15051	stx:MGAS1882_1644
ko:K00005	stx:MGAS1882_1647
ko:K00656	stx:MGAS1882_1649
ko:K02761	stx:MGAS1882_1650
ko:K02760	stx:MGAS1882_1651
ko:K02759	stx:MGAS1882_1652
ko:K04069	stx:MGAS1882_1655
ko:K03073	stx:MGAS1882_1656
ko:K02913	stx:MGAS1882_1657
ko:K12555	stx:MGAS1882_1658
ko:K06180	stx:MGAS1882_1661
ko:K04077	stx:MGAS1882_1666
ko:K04078	stx:MGAS1882_1667
ko:K03696	stx:MGAS1882_1669
ko:K03708	stx:MGAS1882_1670
ko:K03704	stx:MGAS1882_1671
ko:K03386	stx:MGAS1882_1673
ko:K03387	stx:MGAS1882_1674
ko:K01468	stx:MGAS1882_1675
ko:K01712	stx:MGAS1882_1676
ko:K00603	stx:MGAS1882_1677
ko:K01938	stx:MGAS1882_1679
ko:K01745	stx:MGAS1882_1682
ko:K01479	stx:MGAS1882_1683
ko:K02967	stx:MGAS1882_1685
ko:K02357	stx:MGAS1882_1686
ko:K07386	stx:MGAS1882_1687
ko:K01226	stx:MGAS1882_1688
ko:K02817	stx:MGAS1882_1689
ko:K02818	stx:MGAS1882_1689
ko:K02819	stx:MGAS1882_1689
ko:K03486	stx:MGAS1882_1690
ko:K16511	stx:MGAS1882_0265
ko:K00773	stx:MGAS1882_0209
ko:K03523	stx:MGAS1882_0211
ko:K11991	stx:MGAS1882_0213
ko:K01810	stx:MGAS1882_0216
ko:K00963	stx:MGAS1882_0220
ko:K00057	stx:MGAS1882_0221
ko:K09765	stx:MGAS1882_0225
ko:K04485	stx:MGAS1882_0227
ko:K01673	stx:MGAS1882_0228
ko:K09698	stx:MGAS1882_0230
ko:K07706	stx:MGAS1882_0231
ko:K07707	stx:MGAS1882_0233
ko:K03536	stx:MGAS1882_0235
ko:K03217	stx:MGAS1882_0236
ko:K06346	stx:MGAS1882_0237
ko:K02914	stx:MGAS1882_0238
ko:K01788	stx:MGAS1882_0239
ko:K02025	stx:MGAS1882_0241
ko:K01639	stx:MGAS1882_0244
ko:K03424	stx:MGAS1882_0247
ko:K05985	stx:MGAS1882_0248
ko:K02528	stx:MGAS1882_0249
ko:K06949	stx:MGAS1882_0250
ko:K01783	stx:MGAS1882_0251
ko:K00949	stx:MGAS1882_0252
ko:K09760	stx:MGAS1882_0253
ko:K03698	stx:MGAS1882_0254
ko:K09685	stx:MGAS1882_0255
ko:K02950	stx:MGAS1882_0257
ko:K02992	stx:MGAS1882_0258
ko:K02343	stx:MGAS1882_1047
ko:K02355	stx:MGAS1882_0259
ko:K03524	stx:MGAS1882_1045
ko:K01689	stx:MGAS1882_0581
ko:K07004	stx:MGAS1882_0595
ko:K01972	stx:MGAS1882_0597
ko:K02110	stx:MGAS1882_0599
ko:K02108	stx:MGAS1882_0600
ko:K02109	stx:MGAS1882_0601
ko:K02113	stx:MGAS1882_0602
ko:K02111	stx:MGAS1882_0603
ko:K02115	stx:MGAS1882_0604
ko:K02112	stx:MGAS1882_0605
ko:K02114	stx:MGAS1882_0606
ko:K00790	stx:MGAS1882_0608
ko:K01889	stx:MGAS1882_0611
ko:K01890	stx:MGAS1882_0612
ko:K02004	stx:MGAS1882_0615
ko:K02003	stx:MGAS1882_0616
ko:K07054	stx:MGAS1882_0617
ko:K02970	stx:MGAS1882_0621
ko:K03282	stx:MGAS1882_0622
ko:K03086	stx:MGAS1882_0624
ko:K00067	stx:MGAS1882_0626
ko:K12996	stx:MGAS1882_0627
ko:K12997	stx:MGAS1882_0628
ko:K01635	stx:MGAS1882_1546
ko:K00917	stx:MGAS1882_1547
ko:K01819	stx:MGAS1882_1548
ko:K01819	stx:MGAS1882_1549
ko:K02945	stx:MGAS1882_0739
ko:K07146	stx:MGAS1882_0742
ko:K00799	stx:MGAS1882_0744
ko:K11041	stx:MGAS1882_0745
ko:K00791	stx:MGAS1882_0747
ko:K03665	stx:MGAS1882_0748
ko:K00784	stx:MGAS1882_0750
ko:K07124	stx:MGAS1882_0751
ko:K07462	stx:MGAS1882_0752
ko:K00759	stx:MGAS1882_0753
ko:K02086	stx:MGAS1882_0754
ko:K10773	stx:MGAS1882_0755
ko:K06967	stx:MGAS1882_0756
ko:K00973	stx:MGAS1882_0759
ko:K01790	stx:MGAS1882_0760
ko:K01989	stx:MGAS1882_0766
ko:K05832	stx:MGAS1882_0768
ko:K05833	stx:MGAS1882_0769
ko:K03930	stx:MGAS1882_0771
ko:K06158	stx:MGAS1882_0773
ko:K00161	stx:MGAS1882_0774
ko:K00162	stx:MGAS1882_0775
ko:K00627	stx:MGAS1882_0776
ko:K00382	stx:MGAS1882_0778
ko:K01727	stx:MGAS1882_0780
ko:K03800	stx:MGAS1882_0781
ko:K07009	stx:MGAS1882_0782
ko:K01928	stx:MGAS1882_0783
ko:K03431	stx:MGAS1882_0786
ko:K02786	stx:MGAS1882_1545
ko:K01952	stx:MGAS1882_0044
ko:K00764	stx:MGAS1882_0045
ko:K01933	stx:MGAS1882_0046
ko:K11175	stx:MGAS1882_0047
ko:K00602	stx:MGAS1882_0048
ko:K01945	stx:MGAS1882_0050
ko:K01588	stx:MGAS1882_0051
ko:K01589	stx:MGAS1882_0052
ko:K01756	stx:MGAS1882_0054
ko:K03551	stx:MGAS1882_0056
ko:K01104	stx:MGAS1882_0057
ko:K04072	stx:MGAS1882_0060
ko:K13953	stx:MGAS1882_0061
ko:K02946	stx:MGAS1882_0063
ko:K02906	stx:MGAS1882_0064
ko:K02926	stx:MGAS1882_0065
ko:K02892	stx:MGAS1882_0066
ko:K02886	stx:MGAS1882_0067
ko:K02965	stx:MGAS1882_0068
ko:K02890	stx:MGAS1882_0069
ko:K02982	stx:MGAS1882_0070
ko:K02878	stx:MGAS1882_0071
ko:K02904	stx:MGAS1882_0072
ko:K02961	stx:MGAS1882_0073
ko:K02874	stx:MGAS1882_0074
ko:K02895	stx:MGAS1882_0075
ko:K02931	stx:MGAS1882_0076
ko:K02954	stx:MGAS1882_0077
ko:K02994	stx:MGAS1882_0078
ko:K02933	stx:MGAS1882_0079
ko:K02881	stx:MGAS1882_0080
ko:K02988	stx:MGAS1882_0081
ko:K02907	stx:MGAS1882_0082
ko:K02876	stx:MGAS1882_0083
ko:K03076	stx:MGAS1882_0084
ko:K00939	stx:MGAS1882_0085
ko:K02518	stx:MGAS1882_0086
ko:K02919	stx:MGAS1882_0087
ko:K02952	stx:MGAS1882_0088
ko:K02948	stx:MGAS1882_0089
ko:K03040	stx:MGAS1882_0090
ko:K02879	stx:MGAS1882_0091
ko:K01572	stx:MGAS1882_0896
ko:K01646	stx:MGAS1882_0898
ko:K01644	stx:MGAS1882_0899
ko:K00876	stx:MGAS1882_1051
ko:K08483	stx:MGAS1882_1055
ko:K11189	stx:MGAS1882_1056
ko:K07052	stx:MGAS1882_1062
ko:K07729	stx:MGAS1882_1064
ko:K01872	stx:MGAS1882_1066
ko:K07533	stx:MGAS1882_1067
ko:K08177	stx:MGAS1882_1069
ko:K08602	stx:MGAS1882_1070
ko:K06198	stx:MGAS1882_1071
ko:K06183	stx:MGAS1882_1072
ko:K02564	stx:MGAS1882_1073
ko:K07568	stx:MGAS1882_1074
ko:K04564	stx:MGAS1882_1079
ko:K02340	stx:MGAS1882_1080
ko:K02238	stx:MGAS1882_1081
ko:K02237	stx:MGAS1882_1082
ko:K00655	stx:MGAS1882_1083
ko:K07461	stx:MGAS1882_1085
ko:K03549	stx:MGAS1882_1086
ko:K05592	stx:MGAS1882_1087
ko:K02837	stx:MGAS1882_1088
ko:K01929	stx:MGAS1882_1091
ko:K01921	stx:MGAS1882_1092
ko:K06187	stx:MGAS1882_1093
ko:K00645	stx:MGAS1882_1398
ko:K02371	stx:MGAS1882_1399
ko:K02078	stx:MGAS1882_1400
ko:K00648	stx:MGAS1882_1401
ko:K03686	stx:MGAS1882_1404
ko:K04043	stx:MGAS1882_1405
ko:K03687	stx:MGAS1882_1406
ko:K03705	stx:MGAS1882_1407
ko:K02434	stx:MGAS1882_1413
ko:K02433	stx:MGAS1882_1414
ko:K02435	stx:MGAS1882_1415
ko:K01006	stx:MGAS1882_1416
ko:K03706	stx:MGAS1882_1419
ko:K14260	stx:MGAS1882_1420
ko:K01424	stx:MGAS1882_1423
ko:K03655	stx:MGAS1882_1426
ko:K02013	stx:MGAS1882_1433
ko:K02015	stx:MGAS1882_1434
ko:K02016	stx:MGAS1882_1435
ko:K01775	stx:MGAS1882_1439
ko:K00997	stx:MGAS1882_1440
ko:K03070	stx:MGAS1882_1441
ko:K01809	stx:MGAS1882_1442
ko:K00847	stx:MGAS1882_1443
ko:K02530	stx:MGAS1882_1550
ko:K02996	stx:MGAS1882_1554
ko:K02871	stx:MGAS1882_1555
ko:K07729	stx:MGAS1882_1556
ko:K06962	stx:MGAS1882_1559
ko:K03218	stx:MGAS1882_1560
ko:K11145	stx:MGAS1882_1562
ko:K01883	stx:MGAS1882_1563
ko:K00640	stx:MGAS1882_1566
ko:K00962	stx:MGAS1882_1568
ko:K00616	stx:MGAS1882_1569
ko:K03475	stx:MGAS1882_1570
ko:K02822	stx:MGAS1882_1571
ko:K02821	stx:MGAS1882_1572
ko:K02956	stx:MGAS1882_1573
ko:K01462	stx:MGAS1882_1576
ko:K03763	stx:MGAS1882_1579
ko:K01881	stx:MGAS1882_1580
ko:K11749	stx:MGAS1882_1581
ko:K00981	stx:MGAS1882_1582
ko:K00806	stx:MGAS1882_1583
ko:K03210	stx:MGAS1882_1584
ko:K07560	stx:MGAS1882_1591
ko:K01977	stx:MGAS1882_0016
ko:K01977	stx:MGAS1882_1529
ko:K01977	stx:MGAS1882_0281
ko:K01977	stx:MGAS1882_1280
ko:K01977	stx:MGAS1882_0093
ko:K01643	stx:MGAS1882_0900
ko:K05964	stx:MGAS1882_0901
ko:K01571	stx:MGAS1882_0902
ko:K01910	stx:MGAS1882_0903
ko:K03106	stx:MGAS1882_0907
ko:K09787	stx:MGAS1882_0908
ko:K03710	stx:MGAS1882_0909
ko:K01951	stx:MGAS1882_0911
ko:K05363	stx:MGAS1882_0912
ko:K00868	stx:MGAS1882_0915
ko:K06131	stx:MGAS1882_0918
ko:K01938	stx:MGAS1882_0919
ko:K03800	stx:MGAS1882_0920
ko:K01835	stx:MGAS1882_0930
ko:K02057	stx:MGAS1882_0931
ko:K02057	stx:MGAS1882_0932
ko:K02056	stx:MGAS1882_0933
ko:K07335	stx:MGAS1882_0934
ko:K01489	stx:MGAS1882_0935
ko:K00564	stx:MGAS1882_0936
ko:K00867	stx:MGAS1882_0937
ko:K02968	stx:MGAS1882_0938
ko:K14982	stx:MGAS1882_0939
ko:K14983	stx:MGAS1882_0940
ko:K01256	stx:MGAS1882_0941
ko:K02039	stx:MGAS1882_0942
ko:K02036	stx:MGAS1882_0943
ko:K02036	stx:MGAS1882_0944
ko:K07104	stx:MGAS1882_1693
ko:K09861	stx:MGAS1882_1694
ko:K03810	stx:MGAS1882_1697
ko:K07447	stx:MGAS1882_1702
ko:K01246	stx:MGAS1882_1707
ko:K03550	stx:MGAS1882_1708
ko:K08152	stx:MGAS1882_1709
ko:K03572	stx:MGAS1882_1710
ko:K16264	stx:MGAS1882_0676
ko:K03555	stx:MGAS1882_1731
ko:K03402	stx:MGAS1882_1733
ko:K01887	stx:MGAS1882_1734
ko:K01876	stx:MGAS1882_1739
ko:K01892	stx:MGAS1882_1740
ko:K02911	stx:MGAS1882_1741
ko:K02913	stx:MGAS1882_1742
ko:K07272	stx:MGAS1882_0632
ko:K09153	stx:MGAS1882_0635
ko:K01258	stx:MGAS1882_0638
ko:K05337	stx:MGAS1882_0640
ko:K00945	stx:MGAS1882_0642
ko:K02520	stx:MGAS1882_0643
ko:K02916	stx:MGAS1882_0644
ko:K02887	stx:MGAS1882_0645
ko:K06969	stx:MGAS1882_0647
ko:K03785	stx:MGAS1882_0648
ko:K01736	stx:MGAS1882_0649
ko:K00383	stx:MGAS1882_0651
ko:K11754	stx:MGAS1882_0652
ko:K04487	stx:MGAS1882_0654
ko:K03151	stx:MGAS1882_0655
ko:K07282	stx:MGAS1882_0656
ko:K02888	stx:MGAS1882_0657
ko:K07584	stx:MGAS1882_0658
ko:K02899	stx:MGAS1882_0659
ko:K03101	stx:MGAS1882_0661
ko:K06180	stx:MGAS1882_0662
ko:K02825	stx:MGAS1882_0663
ko:K02824	stx:MGAS1882_0664
ko:K00609	stx:MGAS1882_0665
ko:K01956	stx:MGAS1882_0666
ko:K01955	stx:MGAS1882_0667
ko:K02005	stx:MGAS1882_0668
ko:K02003	stx:MGAS1882_0669
ko:K02004	stx:MGAS1882_0670
ko:K01126	stx:MGAS1882_0671
ko:K02959	stx:MGAS1882_0672
ko:K06960	stx:MGAS1882_0673
ko:K07006	stx:MGAS1882_0675
ko:K02860	stx:MGAS1882_0678
ko:K00554	stx:MGAS1882_0679
