ko:K13613	bmp:NG74_01767
ko:K09787	bmp:NG74_01642
ko:K03106	bmp:NG74_01643
ko:K02959	bmp:NG74_01644
ko:K06960	bmp:NG74_01645
ko:K02860	bmp:NG74_01647
ko:K00554	bmp:NG74_01648
ko:K02884	bmp:NG74_01649
ko:K14540	bmp:NG74_01650
ko:K03470	bmp:NG74_01651
ko:K04061	bmp:NG74_01653
ko:K01903	bmp:NG74_01654
ko:K01902	bmp:NG74_01655
ko:K04096	bmp:NG74_01656
ko:K03168	bmp:NG74_01657
ko:K04094	bmp:NG74_01658
ko:K03733	bmp:NG74_01659
ko:K01419	bmp:NG74_01660
ko:K03667	bmp:NG74_01661
ko:K01687	bmp:NG74_02094
ko:K06950	bmp:NG74_02096
ko:K00432	bmp:NG74_02097
ko:K00651	bmp:NG74_02098
ko:K03704	bmp:NG74_02101
ko:K03469	bmp:NG74_02105
ko:K09125	bmp:NG74_02106
ko:K03469	bmp:NG74_02107
ko:K06429	bmp:NG74_02108
ko:K16168	bmp:NG74_02113
ko:K16167	bmp:NG74_02114
ko:K07443	bmp:NG74_02116
ko:K16169	bmp:NG74_02120
ko:K03816	bmp:NG74_02121
ko:K01299	bmp:NG74_02123
ko:K07444	bmp:NG74_02127
ko:K06327	bmp:NG74_02132
ko:K07502	bmp:NG74_02134
ko:K06877	bmp:NG74_02135
ko:K06430	bmp:NG74_02142
ko:K03700	bmp:NG74_02144
ko:K05366	bmp:NG74_02145
ko:K10773	bmp:NG74_02147
ko:K02086	bmp:NG74_02148
ko:K06370	bmp:NG74_02617
ko:K03517	bmp:NG74_02618
ko:K00767	bmp:NG74_02619
ko:K00278	bmp:NG74_02620
ko:K04487	bmp:NG74_02621
ko:K07105	bmp:NG74_02622
ko:K04518	bmp:NG74_02623
ko:K06209	bmp:NG74_02624
ko:K03979	bmp:NG74_02625
ko:K06375	bmp:NG74_02626
ko:K02899	bmp:NG74_02627
ko:K07584	bmp:NG74_02628
ko:K02888	bmp:NG74_02629
ko:K06402	bmp:NG74_02631
ko:K06401	bmp:NG74_02632
ko:K03609	bmp:NG74_02633
ko:K03610	bmp:NG74_02634
ko:K03571	bmp:NG74_02635
ko:K03570	bmp:NG74_02636
ko:K03569	bmp:NG74_02637
ko:K03630	bmp:NG74_02638
ko:K06287	bmp:NG74_02639
ko:K06380	bmp:NG74_02640
ko:K02236	bmp:NG74_02641
ko:K11754	bmp:NG74_02642
ko:K01873	bmp:NG74_02643
ko:K06417	bmp:NG74_02647
ko:K01845	bmp:NG74_02648
ko:K01698	bmp:NG74_02649
ko:K01719	bmp:NG74_02650
ko:K01749	bmp:NG74_02651
ko:K02497	bmp:NG74_02652
ko:K02492	bmp:NG74_02653
ko:K03978	bmp:NG74_02655
ko:K01338	bmp:NG74_02656
ko:K04076	bmp:NG74_02657
ko:K03544	bmp:NG74_02658
ko:K03545	bmp:NG74_02659
ko:K01704	bmp:NG74_02661
ko:K01703	bmp:NG74_02662
ko:K00052	bmp:NG74_02663
ko:K01649	bmp:NG74_02664
ko:K00053	bmp:NG74_02665
ko:K01653	bmp:NG74_02666
ko:K01652	bmp:NG74_02667
ko:K02015	bmp:NG74_03191
ko:K02015	bmp:NG74_03192
ko:K02016	bmp:NG74_03193
ko:K01740	bmp:NG74_03194
ko:K03624	bmp:NG74_03200
ko:K00384	bmp:NG74_03204
ko:K03671	bmp:NG74_03205
ko:K02437	bmp:NG74_03209
ko:K16137	bmp:NG74_03211
ko:K03758	bmp:NG74_03213
ko:K06427	bmp:NG74_03215
ko:K07038	bmp:NG74_03216
ko:K07219	bmp:NG74_03218
ko:K02020	bmp:NG74_03219
ko:K02018	bmp:NG74_03220
ko:K01992	bmp:NG74_03224
ko:K03316	bmp:NG74_03228
ko:K00381	bmp:NG74_03229
ko:K00380	bmp:NG74_03230
ko:K03657	bmp:NG74_03231
ko:K03611	bmp:NG74_03234
ko:K01534	bmp:NG74_03236
ko:K17686	bmp:NG74_03237
ko:K07213	bmp:NG74_03238
ko:K01118	bmp:NG74_03241
ko:K00658	bmp:NG74_01990
ko:K00164	bmp:NG74_01991
ko:K03327	bmp:NG74_01999
ko:K17763	bmp:NG74_02000
ko:K05786	bmp:NG74_02004
ko:K06999	bmp:NG74_02011
ko:K15975	bmp:NG74_02012
ko:K03307	bmp:NG74_02014
ko:K01201	bmp:NG74_02015
ko:K01223	bmp:NG74_02016
ko:K03489	bmp:NG74_02017
ko:K03797	bmp:NG74_02018
ko:K07260	bmp:NG74_02021
ko:K03784	bmp:NG74_02022
ko:K01843	bmp:NG74_02031
ko:K01438	bmp:NG74_02033
ko:K01034	bmp:NG74_02035
ko:K09773	bmp:NG74_02458
ko:K01879	bmp:NG74_02460
ko:K01878	bmp:NG74_02461
ko:K03584	bmp:NG74_02463
ko:K01489	bmp:NG74_02466
ko:K07042	bmp:NG74_02468
ko:K07037	bmp:NG74_02469
ko:K06438	bmp:NG74_02471
ko:K07403	bmp:NG74_02475
ko:K09117	bmp:NG74_02476
ko:K02970	bmp:NG74_02477
ko:K03324	bmp:NG74_02478
ko:K18707	bmp:NG74_02479
ko:K09761	bmp:NG74_02480
ko:K02687	bmp:NG74_02481
ko:K03686	bmp:NG74_02482
ko:K04043	bmp:NG74_02483
ko:K03687	bmp:NG74_02484
ko:K03705	bmp:NG74_02485
ko:K03596	bmp:NG74_02487
ko:K06385	bmp:NG74_02489
ko:K06012	bmp:NG74_02490
ko:K02968	bmp:NG74_02491
ko:K02340	bmp:NG74_02492
ko:K02238	bmp:NG74_02493
ko:K02237	bmp:NG74_02495
ko:K02239	bmp:NG74_02496
ko:K09710	bmp:NG74_02498
ko:K00969	bmp:NG74_02500
ko:K07574	bmp:NG74_02501
ko:K00014	bmp:NG74_02502
ko:K06948	bmp:NG74_02503
ko:K07015	bmp:NG74_02504
ko:K10716	bmp:NG74_02987
ko:K01810	bmp:NG74_02990
ko:K09779	bmp:NG74_02996
ko:K07570	bmp:NG74_02997
ko:K10907	bmp:NG74_02998
ko:K14155	bmp:NG74_03002
ko:K07697	bmp:NG74_03003
ko:K06347	bmp:NG74_03004
ko:K06348	bmp:NG74_03005
ko:K18770	bmp:NG74_03007
ko:K11614	bmp:NG74_03010
ko:K07335	bmp:NG74_03012
ko:K02056	bmp:NG74_03013
ko:K02057	bmp:NG74_03014
ko:K02057	bmp:NG74_03015
ko:K05565	bmp:NG74_03017
ko:K05566	bmp:NG74_03018
ko:K05567	bmp:NG74_03019
ko:K05568	bmp:NG74_03020
ko:K05569	bmp:NG74_03021
ko:K05570	bmp:NG74_03022
ko:K05571	bmp:NG74_03023
ko:K07691	bmp:NG74_03025
ko:K07680	bmp:NG74_03026
ko:K02251	bmp:NG74_03028
ko:K00763	bmp:NG74_03032
ko:K04751	bmp:NG74_03544
ko:K03588	bmp:NG74_03545
ko:K06386	bmp:NG74_03548
ko:K03823	bmp:NG74_03549
ko:K06131	bmp:NG74_03552
ko:K01181	bmp:NG74_03554
ko:K01428	bmp:NG74_03556
ko:K01429	bmp:NG74_03557
ko:K01430	bmp:NG74_03558
ko:K03639	bmp:NG74_03562
ko:K02379	bmp:NG74_03563
ko:K07114	bmp:NG74_03565
ko:K07114	bmp:NG74_03566
ko:K06381	bmp:NG74_03567
ko:K00790	bmp:NG74_03568
ko:K02114	bmp:NG74_03572
ko:K02112	bmp:NG74_03573
ko:K02115	bmp:NG74_03574
ko:K02111	bmp:NG74_03575
ko:K02113	bmp:NG74_03576
ko:K02109	bmp:NG74_03577
ko:K02110	bmp:NG74_03578
ko:K02108	bmp:NG74_03579
ko:K02116	bmp:NG74_03580
ko:K00761	bmp:NG74_03581
ko:K00600	bmp:NG74_03582
ko:K01808	bmp:NG74_03584
ko:K07566	bmp:NG74_03587
ko:K06387	bmp:NG74_03589
ko:K02493	bmp:NG74_03592
ko:K02835	bmp:NG74_03593
ko:K08234	bmp:NG74_03594
ko:K04079	bmp:NG74_03856
ko:K07693	bmp:NG74_03859
ko:K07778	bmp:NG74_03860
ko:K10255	bmp:NG74_03861
ko:K00128	bmp:NG74_03863
ko:K03799	bmp:NG74_03870
ko:K03386	bmp:NG74_03872
ko:K03387	bmp:NG74_03873
ko:K11737	bmp:NG74_03875
ko:K04041	bmp:NG74_03877
ko:K03518	bmp:NG74_03878
ko:K07141	bmp:NG74_03881
ko:K00783	bmp:NG74_03889
ko:K01476	bmp:NG74_03898
ko:K02205	bmp:NG74_03899
ko:K00819	bmp:NG74_03900
ko:K06714	bmp:NG74_03903
ko:K06885	bmp:NG74_03964
ko:K06888	bmp:NG74_03966
ko:K07052	bmp:NG74_03967
ko:K08369	bmp:NG74_03968
ko:K01759	bmp:NG74_03969
ko:K01142	bmp:NG74_03971
ko:K13531	bmp:NG74_03972
ko:K13530	bmp:NG74_03973
ko:K02963	bmp:NG74_03974
ko:K02990	bmp:NG74_03976
ko:K06942	bmp:NG74_03977
ko:K03501	bmp:NG74_03985
ko:K03495	bmp:NG74_03986
ko:K03650	bmp:NG74_03987
ko:K06346	bmp:NG74_03988
ko:K03217	bmp:NG74_03989
ko:K03536	bmp:NG74_03990
ko:K01223	bmp:NG74_00341
ko:K08094	bmp:NG74_00344
ko:K08093	bmp:NG74_00345
ko:K15656	bmp:NG74_00349
ko:K15657	bmp:NG74_00350
ko:K06133	bmp:NG74_00352
ko:K10010	bmp:NG74_00354
ko:K10009	bmp:NG74_00355
ko:K02424	bmp:NG74_00356
ko:K03186	bmp:NG74_00358
ko:K03305	bmp:NG74_00362
ko:K06295	bmp:NG74_00365
ko:K06297	bmp:NG74_00366
ko:K06296	bmp:NG74_00367
ko:K16961	bmp:NG74_00370
ko:K16962	bmp:NG74_00371
ko:K16963	bmp:NG74_00372
ko:K02003	bmp:NG74_00375
ko:K02004	bmp:NG74_00376
ko:K00928	bmp:NG74_00381
ko:K02015	bmp:NG74_00382
ko:K02015	bmp:NG74_00383
ko:K02013	bmp:NG74_00384
ko:K02016	bmp:NG74_00385
ko:K06925	bmp:NG74_00616
ko:K03789	bmp:NG74_00618
ko:K01409	bmp:NG74_00619
ko:K06158	bmp:NG74_00620
ko:K03637	bmp:NG74_00621
ko:K01926	bmp:NG74_00622
ko:K03116	bmp:NG74_00623
ko:K03118	bmp:NG74_00624
ko:K07052	bmp:NG74_00626
ko:K04078	bmp:NG74_00627
ko:K04077	bmp:NG74_00628
ko:K00008	bmp:NG74_00634
ko:K00847	bmp:NG74_00636
ko:K03969	bmp:NG74_00638
ko:K06872	bmp:NG74_00640
ko:K03088	bmp:NG74_00644
ko:K00004	bmp:NG74_00645
ko:K06324	bmp:NG74_00650
ko:K11735	bmp:NG74_00651
ko:K03924	bmp:NG74_00653
ko:K01951	bmp:NG74_00656
ko:K01841	bmp:NG74_00659
ko:K00812	bmp:NG74_00660
ko:K03088	bmp:NG74_00662
ko:K06901	bmp:NG74_00665
ko:K01588	bmp:NG74_00671
ko:K01589	bmp:NG74_00672
ko:K06956	bmp:NG74_00947
ko:K01081	bmp:NG74_00952
ko:K07284	bmp:NG74_00953
ko:K06180	bmp:NG74_00954
ko:K02443	bmp:NG74_00960
ko:K02440	bmp:NG74_00961
ko:K00864	bmp:NG74_00962
ko:K00111	bmp:NG74_00963
ko:K01835	bmp:NG74_00964
ko:K02480	bmp:NG74_00965
ko:K03206	bmp:NG74_00967
ko:K13771	bmp:NG74_00971
ko:K01077	bmp:NG74_00974
ko:K01647	bmp:NG74_00977
ko:K03294	bmp:NG74_00979
ko:K03308	bmp:NG74_00980
ko:K03088	bmp:NG74_00983
ko:K00655	bmp:NG74_00984
ko:K11358	bmp:NG74_00987
ko:K00646	bmp:NG74_00988
ko:K06199	bmp:NG74_00990
ko:K06199	bmp:NG74_00991
ko:K01126	bmp:NG74_00992
ko:K16052	bmp:NG74_00994
ko:K12410	bmp:NG74_00995
ko:K00824	bmp:NG74_00997
ko:K07404	bmp:NG74_01333
ko:K01433	bmp:NG74_01340
ko:K00931	bmp:NG74_01342
ko:K00147	bmp:NG74_01343
ko:K05820	bmp:NG74_01351
ko:K00549	bmp:NG74_01353
ko:K13275	bmp:NG74_01355
ko:K17763	bmp:NG74_01356
ko:K16785	bmp:NG74_01357
ko:K16786	bmp:NG74_01358
ko:K16787	bmp:NG74_01358
ko:K16925	bmp:NG74_01359
ko:K06213	bmp:NG74_01364
ko:K15973	bmp:NG74_01368
ko:K10979	bmp:NG74_01371
ko:K03093	bmp:NG74_01375
ko:K06421	bmp:NG74_01377
ko:K03799	bmp:NG74_01379
ko:K13533	bmp:NG74_01384
ko:K00567	bmp:NG74_01385
ko:K08963	bmp:NG74_01387
ko:K17734	bmp:NG74_01774
ko:K00791	bmp:NG74_01782
ko:K03666	bmp:NG74_01783
ko:K03647	bmp:NG74_01786
ko:K01448	bmp:NG74_01790
ko:K06413	bmp:NG74_01791
ko:K03665	bmp:NG74_01792
ko:K03713	bmp:NG74_01794
ko:K01915	bmp:NG74_01795
ko:K03292	bmp:NG74_01805
ko:K01198	bmp:NG74_01806
ko:K01805	bmp:NG74_01808
ko:K00854	bmp:NG74_01809
ko:K13953	bmp:NG74_01817
ko:K06408	bmp:NG74_02251
ko:K06407	bmp:NG74_02253
ko:K06406	bmp:NG74_02254
ko:K06405	bmp:NG74_02255
ko:K06404	bmp:NG74_02256
ko:K06403	bmp:NG74_02257
ko:K03091	bmp:NG74_02258
ko:K06379	bmp:NG74_02259
ko:K07258	bmp:NG74_02261
ko:K03783	bmp:NG74_02262
ko:K01839	bmp:NG74_02263
ko:K04763	bmp:NG74_02264
ko:K03711	bmp:NG74_02266
ko:K06384	bmp:NG74_02267
ko:K00027	bmp:NG74_02270
ko:K03315	bmp:NG74_02271
ko:K01744	bmp:NG74_02272
ko:K01424	bmp:NG74_02273
ko:K01515	bmp:NG74_02276
ko:K06889	bmp:NG74_02280
ko:K02346	bmp:NG74_02286
ko:K00867	bmp:NG74_02292
ko:K01753	bmp:NG74_02293
ko:K07124	bmp:NG74_02294
ko:K00286	bmp:NG74_02297
ko:K15313	bmp:NG74_02298
ko:K15311	bmp:NG74_02299
ko:K00027	bmp:NG74_02773
ko:K02337	bmp:NG74_02774
ko:K00059	bmp:NG74_02782
ko:K01755	bmp:NG74_02784
ko:K01940	bmp:NG74_02785
ko:K03638	bmp:NG74_02786
ko:K00925	bmp:NG74_02787
ko:K11065	bmp:NG74_02789
ko:K04773	bmp:NG74_02793
ko:K00858	bmp:NG74_02794
ko:K01895	bmp:NG74_02796
ko:K03151	bmp:NG74_02798
ko:K04487	bmp:NG74_02799
ko:K03311	bmp:NG74_02800
ko:K06286	bmp:NG74_02801
ko:K04486	bmp:NG74_02802
ko:K02986	bmp:NG74_02806
ko:K00128	bmp:NG74_02807
ko:K05916	bmp:NG74_02810
ko:K05520	bmp:NG74_02812
ko:K01866	bmp:NG74_02821
ko:K01895	bmp:NG74_02823
ko:K04766	bmp:NG74_02824
ko:K01838	bmp:NG74_03346
ko:K01182	bmp:NG74_03347
ko:K00691	bmp:NG74_03348
ko:K15772	bmp:NG74_03350
ko:K15771	bmp:NG74_03351
ko:K15770	bmp:NG74_03352
ko:K06966	bmp:NG74_03355
ko:K03321	bmp:NG74_03357
ko:K01673	bmp:NG74_03358
ko:K00090	bmp:NG74_03359
ko:K00675	bmp:NG74_03361
ko:K11184	bmp:NG74_03362
ko:K09762	bmp:NG74_03363
ko:K06958	bmp:NG74_03365
ko:K03574	bmp:NG74_03366
ko:K00384	bmp:NG74_03367
ko:K18104	bmp:NG74_03373
ko:K11755	bmp:NG74_03374
ko:K02500	bmp:NG74_03375
ko:K01814	bmp:NG74_03376
ko:K02501	bmp:NG74_03377
ko:K01693	bmp:NG74_03378
ko:K00013	bmp:NG74_03379
ko:K00765	bmp:NG74_03380
ko:K02502	bmp:NG74_03381
ko:K06019	bmp:NG74_03384
ko:K13292	bmp:NG74_03385
ko:K06023	bmp:NG74_03386
ko:K01443	bmp:NG74_03387
ko:K02564	bmp:NG74_03388
ko:K03710	bmp:NG74_03389
ko:K08972	bmp:NG74_03392
ko:K02313	bmp:NG74_00001
ko:K02338	bmp:NG74_00002
ko:K03629	bmp:NG74_00004
ko:K02470	bmp:NG74_00006
ko:K02469	bmp:NG74_00007
ko:K00088	bmp:NG74_00014
ko:K07258	bmp:NG74_00015
ko:K06215	bmp:NG74_00016
ko:K08681	bmp:NG74_00017
ko:K01875	bmp:NG74_00019
ko:K00865	bmp:NG74_00020
ko:K15519	bmp:NG74_00022
ko:K15518	bmp:NG74_00023
ko:K06306	bmp:NG74_00024
ko:K11991	bmp:NG74_00026
ko:K02343	bmp:NG74_00030
ko:K09747	bmp:NG74_00031
ko:K06187	bmp:NG74_00032
ko:K06317	bmp:NG74_00034
ko:K00943	bmp:NG74_00044
ko:K09770	bmp:NG74_00046
ko:K02341	bmp:NG74_00047
ko:K07461	bmp:NG74_00051
ko:K07056	bmp:NG74_00052
ko:K06284	bmp:NG74_00053
ko:K01874	bmp:NG74_00054
ko:K03424	bmp:NG74_00055
ko:K05985	bmp:NG74_00057
ko:K02528	bmp:NG74_00058
ko:K06436	bmp:NG74_00059
ko:K06423	bmp:NG74_00061
ko:K01992	bmp:NG74_00233
ko:K01992	bmp:NG74_00234
ko:K01126	bmp:NG74_00244
ko:K02445	bmp:NG74_00245
ko:K00483	bmp:NG74_00247
ko:K08317	bmp:NG74_00252
ko:K08289	bmp:NG74_00253
ko:K17103	bmp:NG74_00254
ko:K01613	bmp:NG74_00256
ko:K07146	bmp:NG74_00258
ko:K11102	bmp:NG74_00259
ko:K00826	bmp:NG74_00260
ko:K16235	bmp:NG74_00261
ko:K00547	bmp:NG74_00262
ko:K11626	bmp:NG74_00263
ko:K01425	bmp:NG74_00264
ko:K07717	bmp:NG74_00265
ko:K07719	bmp:NG74_00266
ko:K01449	bmp:NG74_00271
ko:K01113	bmp:NG74_00272
ko:K03116	bmp:NG74_00273
ko:K03118	bmp:NG74_00274
ko:K01304	bmp:NG74_00275
ko:K01424	bmp:NG74_00279
ko:K07039	bmp:NG74_00281
ko:K07118	bmp:NG74_00506
ko:K16137	bmp:NG74_00508
ko:K10255	bmp:NG74_00509
ko:K03704	bmp:NG74_00511
ko:K07736	bmp:NG74_00513
ko:K07090	bmp:NG74_00520
ko:K01779	bmp:NG74_00521
ko:K01751	bmp:NG74_00526
ko:K09022	bmp:NG74_00528
ko:K03837	bmp:NG74_00529
ko:K06016	bmp:NG74_00532
ko:K03574	bmp:NG74_00535
ko:K16264	bmp:NG74_00539
ko:K07222	bmp:NG74_00540
ko:K01714	bmp:NG74_00544
ko:K13979	bmp:NG74_00549
ko:K00375	bmp:NG74_00552
ko:K07734	bmp:NG74_00553
ko:K00375	bmp:NG74_00558
ko:K06439	bmp:NG74_00559
ko:K06425	bmp:NG74_00832
ko:K01232	bmp:NG74_00833
ko:K03481	bmp:NG74_00834
ko:K02749	bmp:NG74_00835
ko:K02750	bmp:NG74_00835
ko:K07104	bmp:NG74_00839
ko:K00355	bmp:NG74_00842
ko:K03623	bmp:NG74_00845
ko:K14205	bmp:NG74_00849
ko:K07071	bmp:NG74_00854
ko:K03565	bmp:NG74_00855
ko:K07038	bmp:NG74_00866
ko:K03575	bmp:NG74_00867
ko:K10780	bmp:NG74_00869
ko:K06422	bmp:NG74_00870
ko:K07586	bmp:NG74_00872
ko:K11085	bmp:NG74_00873
ko:K01845	bmp:NG74_00875
ko:K03564	bmp:NG74_00876
ko:K09825	bmp:NG74_00877
ko:K03088	bmp:NG74_01222
ko:K17836	bmp:NG74_01229
ko:K01224	bmp:NG74_01233
ko:K00965	bmp:NG74_01234
ko:K01784	bmp:NG74_01235
ko:K00849	bmp:NG74_01236
ko:K02787	bmp:NG74_01237
ko:K02788	bmp:NG74_01237
ko:K02786	bmp:NG74_01238
ko:K01220	bmp:NG74_01239
ko:K02530	bmp:NG74_01240
ko:K07507	bmp:NG74_01244
ko:K00123	bmp:NG74_01249
ko:K01719	bmp:NG74_01254
ko:K02069	bmp:NG74_01255
ko:K02068	bmp:NG74_01256
ko:K03885	bmp:NG74_01260
ko:K01812	bmp:NG74_01261
ko:K03292	bmp:NG74_01262
ko:K02529	bmp:NG74_01263
ko:K00041	bmp:NG74_01264
ko:K01685	bmp:NG74_01265
ko:K07090	bmp:NG74_01266
ko:K06359	bmp:NG74_01268
ko:K03706	bmp:NG74_01662
ko:K02387	bmp:NG74_01663
ko:K02388	bmp:NG74_01664
ko:K02408	bmp:NG74_01665
ko:K02409	bmp:NG74_01666
ko:K02410	bmp:NG74_01667
ko:K02411	bmp:NG74_01668
ko:K02412	bmp:NG74_01669
ko:K02413	bmp:NG74_01670
ko:K02414	bmp:NG74_01672
ko:K02389	bmp:NG74_01673
ko:K02390	bmp:NG74_01674
ko:K02415	bmp:NG74_01675
ko:K02416	bmp:NG74_01676
ko:K02417	bmp:NG74_01677
ko:K03413	bmp:NG74_01678
ko:K02418	bmp:NG74_01679
ko:K02419	bmp:NG74_01680
ko:K02420	bmp:NG74_01681
ko:K02421	bmp:NG74_01682
ko:K02401	bmp:NG74_01683
ko:K02400	bmp:NG74_01684
ko:K02404	bmp:NG74_01685
ko:K04562	bmp:NG74_01686
ko:K03412	bmp:NG74_01687
ko:K03407	bmp:NG74_01688
ko:K03408	bmp:NG74_01689
ko:K03410	bmp:NG74_01690
ko:K03411	bmp:NG74_01691
ko:K02405	bmp:NG74_01692
ko:K02967	bmp:NG74_01694
ko:K02357	bmp:NG74_01695
ko:K09903	bmp:NG74_01696
ko:K02838	bmp:NG74_01697
ko:K00806	bmp:NG74_01698
ko:K00981	bmp:NG74_01699
ko:K00099	bmp:NG74_01700
ko:K11749	bmp:NG74_01701
ko:K01881	bmp:NG74_01702
